Orthogroup	Prbb	Syat
OG0000037	Prbb.g_00164	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prbb.g_02129	Syat.g_02688, Syat.g_02686
OG0000039	Prbb.g_00692	Syat.g_01278
OG0000041	Prbb.g_01868	Syat.g_00785, Syat.g_03006
OG0000042	Prbb.g_02069	Syat.g_00223, Syat.g_02222
OG0000044	Prbb.g_00079	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prbb.g_01347, Prbb.g_01094	Syat.g_00935
OG0000046	Prbb.g_00379	Syat.g_01626, Syat.g_01026
OG0000048	Prbb.g_00325	Syat.g_02046
OG0000052	Prbb.g_00112	Syat.g_02140
OG0000053	Prbb.g_01705	Syat.g_01330
OG0000054	Prbb.g_00607	Syat.g_00987, Syat.g_03390
OG0000055	Prbb.g_01897	Syat.g_00693
OG0000057	Prbb.g_01359, Prbb.g_00706	Syat.g_00817, Syat.g_02055
OG0000058	Prbb.g_00851	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Prbb.g_01946	Syat.g_01832
OG0000060	Prbb.g_01153	Syat.g_01384, Syat.g_01383, Syat.g_01047
OG0000061	Prbb.g_01517	Syat.g_03260
OG0000062	Prbb.g_01768	Syat.g_03107
OG0000063	Prbb.g_01921	Syat.g_02303
OG0000065	Prbb.g_00162	Syat.g_01571
OG0000066	Prbb.g_00542	Syat.g_03283
OG0000067	Prbb.g_00783	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prbb.g_01639	Syat.g_00085, Syat.g_01295
OG0000069	Prbb.g_01324, Prbb.g_01729	Syat.g_00090, Syat.g_00879
OG0000070	Prbb.g_00455	Syat.g_01032, Syat.g_01040
OG0000071	Prbb.g_01586	Syat.g_01153
OG0000072	Prbb.g_00228	Syat.g_02856, Syat.g_01597
OG0000073	Prbb.g_00503	Syat.g_03201
OG0000075	Prbb.g_02036	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbb.g_02061	Syat.g_02206
OG0000077	Prbb.g_00133	Syat.g_01481
OG0000078	Prbb.g_00297	Syat.g_00184
OG0000079	Prbb.g_00308	Syat.g_01879
OG0000081	Prbb.g_00534	Syat.g_00980
OG0000082	Prbb.g_01882	Syat.g_00035
OG0000085	Prbb.g_01816	Syat.g_03113
OG0000086	Prbb.g_00143	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbb.g_00196	Syat.g_02912
OG0000088	Prbb.g_00223	Syat.g_02862
OG0000089	Prbb.g_00416	Syat.g_02953
OG0000090	Prbb.g_00536	Syat.g_03270
OG0000091	Prbb.g_00643	Syat.g_00939, Syat.g_00862
OG0000092	Prbb.g_00937	Syat.g_00825
OG0000094	Prbb.g_00892	Syat.g_00698, Syat.g_01034
OG0000095	Prbb.g_01070	Syat.g_00808
OG0000097	Prbb.g_01470	Syat.g_00907, Syat.g_00535
OG0000098	Prbb.g_01608	Syat.g_03281
OG0000099	Prbb.g_00388	Syat.g_02130
OG0000100	Prbb.g_01763	Syat.g_00517
OG0000101	Prbb.g_02001	Syat.g_01661
OG0000102	Prbb.g_02066	Syat.g_00974
OG0000103	Prbb.g_02174	Syat.g_02399
OG0000104	Prbb.g_02185	Syat.g_02385
OG0000105	Prbb.g_00327	Syat.g_02052
OG0000106	Prbb.g_01197, Prbb.g_01329	Syat.g_00957
OG0000107	Prbb.g_01923	Syat.g_02009, Syat.g_01862
OG0000108	Prbb.g_00484, Prbb.g_00485	Syat.g_03170
OG0000109	Prbb.g_00498	Syat.g_03187
OG0000110	Prbb.g_00578	Syat.g_00049
OG0000111	Prbb.g_00707	Syat.g_00816
OG0000112	Prbb.g_00983	Syat.g_00593
OG0000113	Prbb.g_00807, Prbb.g_01218	Syat.g_00509
OG0000114	Prbb.g_00932	Syat.g_00426
OG0000115	Prbb.g_01780	Syat.g_01328
OG0000116	Prbb.g_01528	Syat.g_02641
OG0000117	Prbb.g_01399	Syat.g_00224
OG0000118	Prbb.g_01598	Syat.g_01168
OG0000119	Prbb.g_01632	Syat.g_00309
OG0000120	Prbb.g_00678	Syat.g_02132
OG0000121	Prbb.g_01688	Syat.g_01223
OG0000123	Prbb.g_02008	Syat.g_01653
OG0000125	Prbb.g_02131	Syat.g_02684
OG0000126	Prbb.g_02183	Syat.g_00976
OG0000128	Prbb.g_00012	Syat.g_02331
OG0000129	Prbb.g_00059	Syat.g_02693, Syat.g_02694
OG0000130	Prbb.g_00124	Syat.g_01469
OG0000131	Prbb.g_00202	Syat.g_02898
OG0000132	Prbb.g_00221	Syat.g_02864
OG0000133	Prbb.g_00373	Syat.g_00588
OG0000134	Prbb.g_00418	Syat.g_02956
OG0000135	Prbb.g_01326	Syat.g_02501
OG0000136	Prbb.g_00446	Syat.g_01292
OG0000137	Prbb.g_00478	Syat.g_01371
OG0000138	Prbb.g_00499	Syat.g_03188
OG0000139	Prbb.g_00540	Syat.g_03276
OG0000140	Prbb.g_00541	Syat.g_03280
OG0000141	Prbb.g_00608	Syat.g_03398
OG0000142	Prbb.g_00636	Syat.g_00117
OG0000143	Prbb.g_00640	Syat.g_00130
OG0000144	Prbb.g_00653	Syat.g_00369
OG0000145	Prbb.g_01099	Syat.g_03202
OG0000146	Prbb.g_00982	Syat.g_00594
OG0000147	Prbb.g_00981	Syat.g_00595
OG0000148	Prbb.g_00801	Syat.g_00503
OG0000149	Prbb.g_00832	Syat.g_00747
OG0000150	Prbb.g_00840	Syat.g_03399
OG0000151	Prbb.g_00943	Syat.g_00801, Syat.g_00440
OG0000152	Prbb.g_00991	Syat.g_00578
OG0000153	Prbb.g_01009	Syat.g_00542
OG0000154	Prbb.g_01040	Syat.g_00708
OG0000155	Prbb.g_01495	Syat.g_00287
OG0000156	Prbb.g_01575	Syat.g_03228
OG0000157	Prbb.g_01576	Syat.g_02012, Syat.g_03227
OG0000158	Prbb.g_02044	Syat.g_02163
OG0000160	Prbb.g_01687	Syat.g_01224
OG0000161	Prbb.g_01693	Syat.g_01180
OG0000162	Prbb.g_01699	Syat.g_01281
OG0000163	Prbb.g_01735	Syat.g_02979
OG0000164	Prbb.g_01845	Syat.g_03040
OG0000165	Prbb.g_01853	Syat.g_03033
OG0000166	Prbb.g_01964	Syat.g_01822
OG0000167	Prbb.g_02034	Syat.g_02148
OG0000168	Prbb.g_02045	Syat.g_02164
OG0000169	Prbb.g_02055	Syat.g_02192
OG0000170	Prbb.g_02057	Syat.g_02201
OG0000171	Prbb.g_02078	Syat.g_02230
OG0000172	Prbb.g_02101	Syat.g_02260
OG0000173	Prbb.g_02116	Syat.g_02284
OG0000174	Prbb.g_02147	Syat.g_02504
OG0000175	Prbb.g_02165	Syat.g_02416
OG0000176	Prbb.g_00004	Syat.g_02372
OG0000177	Prbb.g_00005	Syat.g_02338
OG0000178	Prbb.g_00007, Prbb.g_00006	Syat.g_02337
OG0000179	Prbb.g_00017	Syat.g_02322
OG0000180	Prbb.g_00018	Syat.g_02321
OG0000181	Prbb.g_00019	Syat.g_02320
OG0000182	Prbb.g_00020	Syat.g_02319
OG0000183	Prbb.g_00024	Syat.g_02315
OG0000184	Prbb.g_00061	Syat.g_02704
OG0000185	Prbb.g_00064	Syat.g_02719
OG0000186	Prbb.g_00119	Syat.g_01463
OG0000187	Prbb.g_00120	Syat.g_01467
OG0000188	Prbb.g_00137	Syat.g_01489
OG0000189	Prbb.g_00151	Syat.g_00386, Syat.g_01557
OG0000190	Prbb.g_00152	Syat.g_00330
OG0000191	Prbb.g_00175	Syat.g_03344, Syat.g_02939
OG0000192	Prbb.g_00179	Syat.g_02933
OG0000193	Prbb.g_00203	Syat.g_02897
OG0000194	Prbb.g_00206	Syat.g_02894
OG0000195	Prbb.g_00208	Syat.g_02892
OG0000196	Prbb.g_00218	Syat.g_02867
OG0000197	Prbb.g_00219	Syat.g_02866
OG0000198	Prbb.g_00220	Syat.g_02865
OG0000199	Prbb.g_00227	Syat.g_02857
OG0000200	Prbb.g_00240	Syat.g_02840
OG0000201	Prbb.g_00249	Syat.g_02821
OG0000202	Prbb.g_00250	Syat.g_02820
OG0000203	Prbb.g_00251	Syat.g_02819
OG0000204	Prbb.g_00252	Syat.g_02818
OG0000205	Prbb.g_00259	Syat.g_02809
OG0000206	Prbb.g_00263	Syat.g_02785
OG0000207	Prbb.g_00265	Syat.g_02778
OG0000208	Prbb.g_00266	Syat.g_02777
OG0000209	Prbb.g_00275	Syat.g_02735
OG0000210	Prbb.g_00276	Syat.g_02734
OG0000211	Prbb.g_00290	Syat.g_01452
OG0000212	Prbb.g_00298	Syat.g_01442
OG0000213	Prbb.g_00313	Syat.g_01889
OG0000214	Prbb.g_00321	Syat.g_02042
OG0000215	Prbb.g_00344	Syat.g_02075
OG0000216	Prbb.g_00345	Syat.g_02079
OG0000217	Prbb.g_00348	Syat.g_02085
OG0000218	Prbb.g_00350	Syat.g_02087
OG0000219	Prbb.g_00351	Syat.g_02088
OG0000220	Prbb.g_00352	Syat.g_02089
OG0000221	Prbb.g_00353	Syat.g_02095
OG0000222	Prbb.g_00361	Syat.g_02109
OG0000223	Prbb.g_00374	Syat.g_02570
OG0000224	Prbb.g_00376	Syat.g_02139
OG0000225	Prbb.g_00405	Syat.g_01595
OG0000226	Prbb.g_00409	Syat.g_01588
OG0000228	Prbb.g_00415	Syat.g_02952
OG0000229	Prbb.g_00441	Syat.g_02970
OG0000230	Prbb.g_00443	Syat.g_02972
OG0000231	Prbb.g_00454	Syat.g_01283
OG0000232	Prbb.g_00462	Syat.g_01313
OG0000233	Prbb.g_00470	Syat.g_01407
OG0000234	Prbb.g_00479	Syat.g_01369
OG0000235	Prbb.g_00483	Syat.g_03169
OG0000236	Prbb.g_00497	Syat.g_03186
OG0000237	Prbb.g_00510	Syat.g_03214
OG0000238	Prbb.g_00516	Syat.g_03219
OG0000239	Prbb.g_00528	Syat.g_01105
OG0000240	Prbb.g_00529	Syat.g_01104
OG0000241	Prbb.g_00533	Syat.g_00111
OG0000242	Prbb.g_00535	Syat.g_01077
OG0000243	Prbb.g_00546	Syat.g_00092
OG0000244	Prbb.g_00550	Syat.g_00082
OG0000245	Prbb.g_00552	Syat.g_00080
OG0000246	Prbb.g_00556	Syat.g_00076
OG0000247	Prbb.g_00566	Syat.g_00065
OG0000248	Prbb.g_00568	Syat.g_00062
OG0000249	Prbb.g_00570	Syat.g_00060
OG0000250	Prbb.g_00575	Syat.g_00053
OG0000251	Prbb.g_00591	Syat.g_00027
OG0000252	Prbb.g_00593	Syat.g_00022
OG0000253	Prbb.g_00595	Syat.g_00021
OG0000254	Prbb.g_00612	Syat.g_03407
OG0000255	Prbb.g_00618	Syat.g_02405
OG0000256	Prbb.g_00628	Syat.g_03306
OG0000257	Prbb.g_00631	Syat.g_00109
OG0000258	Prbb.g_00644	Syat.g_00382
OG0000259	Prbb.g_00661	Syat.g_00342
OG0000260	Prbb.g_00665	Syat.g_00392
OG0000261	Prbb.g_00668	Syat.g_00400
OG0000262	Prbb.g_00673	Syat.g_00407
OG0000263	Prbb.g_00686	Syat.g_00200
OG0000266	Prbb.g_00723	Syat.g_00671
OG0000267	Prbb.g_00736	Syat.g_00636
OG0000268	Prbb.g_00737	Syat.g_00634
OG0000269	Prbb.g_00778	Syat.g_00474, Syat.g_00126
OG0000270	Prbb.g_00781	Syat.g_00477
OG0000271	Prbb.g_00789	Syat.g_00485
OG0000272	Prbb.g_00790	Syat.g_00486
OG0000273	Prbb.g_00814	Syat.g_00520
OG0000274	Prbb.g_00815	Syat.g_00521
OG0000275	Prbb.g_00817	Syat.g_00718
OG0000276	Prbb.g_00823	Syat.g_00725
OG0000277	Prbb.g_00824	Syat.g_00738
OG0000278	Prbb.g_00828	Syat.g_00741
OG0000279	Prbb.g_00835	Syat.g_00755
OG0000280	Prbb.g_01370	Syat.g_01669
OG0000281	Prbb.g_00841	Syat.g_00960
OG0000282	Prbb.g_00934	Syat.g_00431
OG0000283	Prbb.g_00965	Syat.g_00620
OG0000284	Prbb.g_00970	Syat.g_00614
OG0000285	Prbb.g_00975	Syat.g_00607
OG0000286	Prbb.g_00990	Syat.g_00579
OG0000287	Prbb.g_00101	Syat.g_00550
OG0000288	Prbb.g_01039	Syat.g_00709
OG0000289	Prbb.g_01051	Syat.g_00695
OG0000290	Prbb.g_01067	Syat.g_00805
OG0000291	Prbb.g_01069	Syat.g_00807
OG0000292	Prbb.g_01238	Syat.g_02388
OG0000293	Prbb.g_01527	Syat.g_03241
OG0000294	Prbb.g_01526	Syat.g_03248
OG0000295	Prbb.g_01502	Syat.g_00297
OG0000296	Prbb.g_01500	Syat.g_00295
OG0000297	Prbb.g_01491	Syat.g_00226
OG0000298	Prbb.g_01490	Syat.g_00225
OG0000299	Prbb.g_01471	Syat.g_00910
OG0000300	Prbb.g_01468	Syat.g_00904
OG0000301	Prbb.g_01467	Syat.g_00903
OG0000302	Prbb.g_01464	Syat.g_00901
OG0000303	Prbb.g_01459	Syat.g_00892
OG0000304	Prbb.g_01456	Syat.g_00885
OG0000305	Prbb.g_01789	Syat.g_00809
OG0000306	Prbb.g_00845	Syat.g_01704
OG0000307	Prbb.g_01648	Syat.g_01304
OG0000308	Prbb.g_01649	Syat.g_01306
OG0000309	Prbb.g_01653	Syat.g_01417
OG0000310	Prbb.g_01671	Syat.g_01246
OG0000311	Prbb.g_01673	Syat.g_01242
OG0000312	Prbb.g_01676	Syat.g_01237
OG0000313	Prbb.g_01690	Syat.g_01183
OG0000314	Prbb.g_01711	Syat.g_01341
OG0000315	Prbb.g_01721	Syat.g_01351
OG0000316	Prbb.g_01746	Syat.g_03082
OG0000317	Prbb.g_01821	Syat.g_03120
OG0000318	Prbb.g_01824	Syat.g_03125
OG0000319	Prbb.g_01835	Syat.g_03055
OG0000320	Prbb.g_01837	Syat.g_03053
OG0000321	Prbb.g_01838	Syat.g_03052
OG0000322	Prbb.g_01839	Syat.g_03051
OG0000323	Prbb.g_01848	Syat.g_03038
OG0000324	Prbb.g_01875	Syat.g_02998
OG0000325	Prbb.g_01924	Syat.g_01861
OG0000326	Prbb.g_01930	Syat.g_01854
OG0000327	Prbb.g_01959	Syat.g_01827
OG0000328	Prbb.g_01960	Syat.g_01826
OG0000329	Prbb.g_01977	Syat.g_01808
OG0000330	Prbb.g_01978	Syat.g_01807
OG0000331	Prbb.g_01979	Syat.g_01806
OG0000332	Prbb.g_01993	Syat.g_01790
OG0000333	Prbb.g_01995	Syat.g_01787
OG0000334	Prbb.g_02004	Syat.g_01657
OG0000335	Prbb.g_02009	Syat.g_01652
OG0000336	Prbb.g_02013	Syat.g_01648
OG0000337	Prbb.g_02031	Syat.g_02144
OG0000338	Prbb.g_02032	Syat.g_02146
OG0000339	Prbb.g_02037	Syat.g_02155, Syat.g_01055
OG0000340	Prbb.g_02046	Syat.g_02165
OG0000341	Prbb.g_02048	Syat.g_02167
OG0000342	Prbb.g_02049	Syat.g_02168
OG0000343	Prbb.g_02050	Syat.g_02185
OG0000344	Prbb.g_02053	Syat.g_02189
OG0000345	Prbb.g_02058	Syat.g_02202
OG0000346	Prbb.g_02062	Syat.g_02207
OG0000347	Prbb.g_02082	Syat.g_02234
OG0000348	Prbb.g_02104	Syat.g_02264
OG0000349	Prbb.g_02122	Syat.g_02291
OG0000350	Prbb.g_02143	Syat.g_01847
OG0000351	Prbb.g_02168	Syat.g_02411
OG0000352	Prbb.g_02169	Syat.g_02410
OG0000353	Prbb.g_02188	Syat.g_00955, Syat.g_02377
OG0000355	Prbb.g_00001	Syat.g_02375
OG0000356	Prbb.g_00002	Syat.g_02374
OG0000357	Prbb.g_00003	Syat.g_02373
OG0000358	Prbb.g_00008	Syat.g_02336
OG0000359	Prbb.g_00009	Syat.g_02334
OG0000360	Prbb.g_00010	Syat.g_02333
OG0000361	Prbb.g_00011	Syat.g_02332
OG0000362	Prbb.g_00013	Syat.g_02330
OG0000363	Prbb.g_00015	Syat.g_02328
OG0000364	Prbb.g_00016	Syat.g_03122
OG0000365	Prbb.g_00021	Syat.g_02318
OG0000366	Prbb.g_00022	Syat.g_02317
OG0000367	Prbb.g_00023	Syat.g_02316
OG0000368	Prbb.g_00025	Syat.g_02314
OG0000369	Prbb.g_00026	Syat.g_02313
OG0000370	Prbb.g_00027	Syat.g_02312
OG0000371	Prbb.g_00033	Syat.g_02304
OG0000372	Prbb.g_00035	Syat.g_02298
OG0000373	Prbb.g_00036	Syat.g_02297
OG0000374	Prbb.g_00037	Syat.g_02296
OG0000375	Prbb.g_00055	Syat.g_02295
OG0000376	Prbb.g_00057	Syat.g_02293
OG0000377	Prbb.g_00060	Syat.g_02695
OG0000378	Prbb.g_00062	Syat.g_02715
OG0000379	Prbb.g_00065	Syat.g_02720
OG0000380	Prbb.g_00121	Syat.g_01468
OG0000381	Prbb.g_00125	Syat.g_01470
OG0000382	Prbb.g_00136	Syat.g_01488
OG0000383	Prbb.g_00138	Syat.g_01521
OG0000384	Prbb.g_00139	Syat.g_01522
OG0000385	Prbb.g_00140	Syat.g_01523
OG0000386	Prbb.g_00141	Syat.g_01524
OG0000387	Prbb.g_00154	Syat.g_01561
OG0000388	Prbb.g_00158	Syat.g_01565
OG0000389	Prbb.g_00161	Syat.g_01569
OG0000390	Prbb.g_00170	Syat.g_02945
OG0000391	Prbb.g_00174	Syat.g_02940
OG0000392	Prbb.g_00177	Syat.g_02934
OG0000393	Prbb.g_00180	Syat.g_02931
OG0000394	Prbb.g_00181	Syat.g_02930
OG0000395	Prbb.g_00182	Syat.g_02929
OG0000396	Prbb.g_00185	Syat.g_02927
OG0000397	Prbb.g_00187	Syat.g_02925
OG0000398	Prbb.g_00190	Syat.g_02920
OG0000399	Prbb.g_00191	Syat.g_02919
OG0000400	Prbb.g_00192	Syat.g_02918
OG0000401	Prbb.g_00193	Syat.g_02917
OG0000402	Prbb.g_01101	Syat.g_02915
OG0000403	Prbb.g_00194	Syat.g_02914
OG0000404	Prbb.g_00195	Syat.g_02913
OG0000405	Prbb.g_00200	Syat.g_02900
OG0000406	Prbb.g_00204	Syat.g_02896
OG0000407	Prbb.g_00205	Syat.g_02895
OG0000408	Prbb.g_00207	Syat.g_02893
OG0000409	Prbb.g_00209	Syat.g_02891
OG0000410	Prbb.g_00210	Syat.g_02890
OG0000411	Prbb.g_00211	Syat.g_02889
OG0000412	Prbb.g_00212	Syat.g_02888
OG0000413	Prbb.g_00213	Syat.g_02886
OG0000414	Prbb.g_00214	Syat.g_02885
OG0000415	Prbb.g_00215	Syat.g_02884
OG0000416	Prbb.g_00216	Syat.g_02883
OG0000417	Prbb.g_00217	Syat.g_02868
OG0000418	Prbb.g_00222	Syat.g_02863
OG0000419	Prbb.g_00224	Syat.g_02861
OG0000420	Prbb.g_00225	Syat.g_02859
OG0000421	Prbb.g_00229	Syat.g_02855
OG0000422	Prbb.g_00230	Syat.g_02854
OG0000423	Prbb.g_00231	Syat.g_02853
OG0000424	Prbb.g_00232	Syat.g_02852
OG0000425	Prbb.g_00233	Syat.g_02851
OG0000426	Prbb.g_00234	Syat.g_02850
OG0000427	Prbb.g_00235	Syat.g_02849
OG0000428	Prbb.g_00237	Syat.g_02846
OG0000429	Prbb.g_00238	Syat.g_02843
OG0000430	Prbb.g_00239	Syat.g_02841
OG0000431	Prbb.g_00241	Syat.g_02838
OG0000432	Prbb.g_00245	Syat.g_02832
OG0000433	Prbb.g_00246	Syat.g_02829
OG0000434	Prbb.g_00247	Syat.g_02828
OG0000435	Prbb.g_00248	Syat.g_02824
OG0000436	Prbb.g_00253	Syat.g_02817
OG0000437	Prbb.g_00254	Syat.g_02558
OG0000438	Prbb.g_00255	Syat.g_02813
OG0000439	Prbb.g_00257	Syat.g_02811
OG0000440	Prbb.g_00258	Syat.g_02810
OG0000441	Prbb.g_00260	Syat.g_02807
OG0000442	Prbb.g_00261	Syat.g_02797
OG0000443	Prbb.g_00262	Syat.g_02787
OG0000444	Prbb.g_00267	Syat.g_02756
OG0000445	Prbb.g_00268	Syat.g_02755
OG0000446	Prbb.g_00269	Syat.g_02753
OG0000447	Prbb.g_00270	Syat.g_02749
OG0000448	Prbb.g_00271	Syat.g_02748
OG0000449	Prbb.g_00272	Syat.g_02747
OG0000450	Prbb.g_00273	Syat.g_02738
OG0000451	Prbb.g_00274	Syat.g_02737
OG0000452	Prbb.g_00277	Syat.g_02732
OG0000453	Prbb.g_00278	Syat.g_02731
OG0000454	Prbb.g_00279	Syat.g_02730
OG0000455	Prbb.g_00280	Syat.g_02729
OG0000456	Prbb.g_00281	Syat.g_02728
OG0000457	Prbb.g_00282	Syat.g_02726
OG0000458	Prbb.g_00283	Syat.g_02725
OG0000459	Prbb.g_00284	Syat.g_02724
OG0000460	Prbb.g_00292	Syat.g_01450
OG0000461	Prbb.g_00300	Syat.g_01866
OG0000462	Prbb.g_00302	Syat.g_01868
OG0000463	Prbb.g_00303	Syat.g_01869
OG0000464	Prbb.g_00304	Syat.g_01870
OG0000465	Prbb.g_00305	Syat.g_01872
OG0000466	Prbb.g_00306	Syat.g_01877
OG0000467	Prbb.g_00307	Syat.g_01878
OG0000468	Prbb.g_00309	Syat.g_01884
OG0000469	Prbb.g_00316	Syat.g_02000
OG0000470	Prbb.g_00318	Syat.g_02038
OG0000471	Prbb.g_00319	Syat.g_02039
OG0000472	Prbb.g_00320	Syat.g_02041
OG0000473	Prbb.g_00322	Syat.g_02043
OG0000474	Prbb.g_00323	Syat.g_02044
OG0000475	Prbb.g_00324	Syat.g_02045
OG0000476	Prbb.g_00326	Syat.g_02047
OG0000477	Prbb.g_00328	Syat.g_02053
OG0000478	Prbb.g_00329	Syat.g_02054
OG0000479	Prbb.g_00330	Syat.g_02056
OG0000480	Prbb.g_00334	Syat.g_02063
OG0000481	Prbb.g_00336	Syat.g_02066
OG0000482	Prbb.g_00337	Syat.g_02067
OG0000483	Prbb.g_00340	Syat.g_02071
OG0000484	Prbb.g_00341	Syat.g_02072
OG0000485	Prbb.g_00342	Syat.g_02073
OG0000486	Prbb.g_00343	Syat.g_02074
OG0000487	Prbb.g_00346	Syat.g_02080
OG0000488	Prbb.g_00349	Syat.g_02086
OG0000489	Prbb.g_00354	Syat.g_02097
OG0000490	Prbb.g_00359	Syat.g_02106
OG0000491	Prbb.g_00360	Syat.g_02107
OG0000492	Prbb.g_00362	Syat.g_02110
OG0000493	Prbb.g_00363	Syat.g_02111
OG0000494	Prbb.g_00364	Syat.g_02112
OG0000495	Prbb.g_00365	Syat.g_02120
OG0000496	Prbb.g_00366	Syat.g_02121
OG0000497	Prbb.g_00367	Syat.g_02122
OG0000498	Prbb.g_00368	Syat.g_02123
OG0000499	Prbb.g_00369	Syat.g_02124
OG0000500	Prbb.g_00370	Syat.g_02125
OG0000501	Prbb.g_00372	Syat.g_02128
OG0000502	Prbb.g_00375	Syat.g_02135
OG0000503	Prbb.g_00394	Syat.g_01614
OG0000504	Prbb.g_00396	Syat.g_01612
OG0000505	Prbb.g_00397	Syat.g_01611
OG0000506	Prbb.g_00398	Syat.g_01609
OG0000507	Prbb.g_00401	Syat.g_01603
OG0000508	Prbb.g_00404	Syat.g_01596
OG0000509	Prbb.g_00406	Syat.g_01591
OG0000510	Prbb.g_00407	Syat.g_01590
OG0000511	Prbb.g_00408	Syat.g_01589
OG0000512	Prbb.g_00410	Syat.g_01587
OG0000513	Prbb.g_00419	Syat.g_02957
OG0000514	Prbb.g_00436	Syat.g_02962
OG0000515	Prbb.g_00437	Syat.g_02963
OG0000516	Prbb.g_00438	Syat.g_02965
OG0000517	Prbb.g_00440	Syat.g_02969
OG0000518	Prbb.g_00451	Syat.g_01286
OG0000519	Prbb.g_00452	Syat.g_01285
OG0000520	Prbb.g_00453	Syat.g_01284
OG0000521	Prbb.g_00458	Syat.g_01319
OG0000522	Prbb.g_00460	Syat.g_01317
OG0000523	Prbb.g_00461	Syat.g_01316
OG0000524	Prbb.g_00468	Syat.g_01409
OG0000525	Prbb.g_00472	Syat.g_01382
OG0000526	Prbb.g_00473	Syat.g_01380
OG0000527	Prbb.g_00476	Syat.g_01373
OG0000528	Prbb.g_00482	Syat.g_03167
OG0000529	Prbb.g_00486	Syat.g_03171
OG0000530	Prbb.g_00489	Syat.g_03174
OG0000531	Prbb.g_00490	Syat.g_03175
OG0000532	Prbb.g_00491	Syat.g_03178
OG0000533	Prbb.g_00492	Syat.g_03180
OG0000534	Prbb.g_00493	Syat.g_03181
OG0000535	Prbb.g_00494	Syat.g_03182
OG0000536	Prbb.g_00495	Syat.g_03183
OG0000537	Prbb.g_00496	Syat.g_03185
OG0000538	Prbb.g_00504	Syat.g_03204
OG0000539	Prbb.g_00505	Syat.g_03206
OG0000540	Prbb.g_00506	Syat.g_03207
OG0000541	Prbb.g_00507	Syat.g_03208
OG0000542	Prbb.g_00509	Syat.g_03213
OG0000543	Prbb.g_00511	Syat.g_03215
OG0000544	Prbb.g_00512	Syat.g_03216
OG0000545	Prbb.g_00514	Syat.g_03218
OG0000546	Prbb.g_00517	Syat.g_03220
OG0000547	Prbb.g_00519	Syat.g_03222
OG0000548	Prbb.g_00520	Syat.g_03223
OG0000549	Prbb.g_00523	Syat.g_01795
OG0000550	Prbb.g_00527	Syat.g_01107
OG0000551	Prbb.g_00530	Syat.g_01103
OG0000552	Prbb.g_00531	Syat.g_01102
OG0000553	Prbb.g_00532	Syat.g_01098
OG0000554	Prbb.g_00537	Syat.g_03271
OG0000555	Prbb.g_00545	Syat.g_00093
OG0000556	Prbb.g_00547	Syat.g_00088
OG0000557	Prbb.g_00548	Syat.g_00083
OG0000558	Prbb.g_00551	Syat.g_00081
OG0000559	Prbb.g_00555	Syat.g_00077
