Orthogroup	Prbb	Syai
OG0000070	Prbb.g_00455	Syai.g_02196
OG0000071	Prbb.g_01586	Syai.g_02179
OG0000072	Prbb.g_00228	Syai.g_02636
OG0000073	Prbb.g_00503	Syai.g_00659
OG0000075	Prbb.g_02036	Syai.g_00161
OG0000076	Prbb.g_02061	Syai.g_00111
OG0000077	Prbb.g_00133	Syai.g_02486
OG0000078	Prbb.g_00297	Syai.g_00543
OG0000079	Prbb.g_00308	Syai.g_00300
OG0000081	Prbb.g_00534	Syai.g_00553, Syai.g_02292
OG0000082	Prbb.g_01882	Syai.g_00781
OG0000084	Prbb.g_01683	Syai.g_01196, Syai.g_00958
OG0000085	Prbb.g_01816	Syai.g_02365
OG0000086	Prbb.g_00143	Syai.g_02507
OG0000087	Prbb.g_00196	Syai.g_02592
OG0000088	Prbb.g_00223	Syai.g_02630
OG0000089	Prbb.g_00416	Syai.g_00517
OG0000090	Prbb.g_00536	Syai.g_00707
OG0000091	Prbb.g_00643	Syai.g_01112
OG0000092	Prbb.g_00937	Syai.g_01358
OG0000093	Prbb.g_00768	Syai.g_01306
OG0000094	Prbb.g_00892	Syai.g_01424
OG0000095	Prbb.g_01070	Syai.g_02007
OG0000097	Prbb.g_01470	Syai.g_01787
OG0000098	Prbb.g_01608	Syai.g_01718
OG0000099	Prbb.g_00388	Syai.g_00199
OG0000100	Prbb.g_01763	Syai.g_01372
OG0000101	Prbb.g_02001	Syai.g_00404
OG0000102	Prbb.g_02066	Syai.g_00106
OG0000103	Prbb.g_02174	Syai.g_02912
OG0000104	Prbb.g_02185	Syai.g_02929
OG0000105	Prbb.g_00327	Syai.g_00267
OG0000106	Prbb.g_01197, Prbb.g_01329	Syai.g_01601
OG0000107	Prbb.g_01923	Syai.g_00319
OG0000108	Prbb.g_00484, Prbb.g_00485	Syai.g_00638
OG0000109	Prbb.g_00498	Syai.g_00653
OG0000110	Prbb.g_00578	Syai.g_00878, Syai.g_00766
OG0000111	Prbb.g_00707	Syai.g_00884, Syai.g_01998
OG0000112	Prbb.g_00983	Syai.g_01512
OG0000113	Prbb.g_00807, Prbb.g_01218	Syai.g_01367
OG0000114	Prbb.g_00932	Syai.g_01261
OG0000115	Prbb.g_01780	Syai.g_00932
OG0000116	Prbb.g_01528	Syai.g_02156
OG0000117	Prbb.g_01399	Syai.g_01756
OG0000118	Prbb.g_01598	Syai.g_00818
OG0000119	Prbb.g_01632	Syai.g_02127
OG0000120	Prbb.g_00678	Syai.g_00198
OG0000121	Prbb.g_01688	Syai.g_00951
OG0000122	Prbb.g_01727	Syai.g_01143
OG0000123	Prbb.g_02008	Syai.g_00411
OG0000125	Prbb.g_02131	Syai.g_02782
OG0000126	Prbb.g_02183	Syai.g_02927
OG0000127	Prbb.g_01346	Syai.g_01872, Syai.g_01906, Syai.g_01855
OG0000128	Prbb.g_00012	Syai.g_00012
OG0000129	Prbb.g_00059	Syai.g_02771
OG0000130	Prbb.g_00124	Syai.g_02474
OG0000131	Prbb.g_00202	Syai.g_02608
OG0000132	Prbb.g_00221	Syai.g_02628
OG0000133	Prbb.g_00373	Syai.g_01507
OG0000134	Prbb.g_00418	Syai.g_00520
OG0000135	Prbb.g_01326	Syai.g_02826
OG0000136	Prbb.g_00446	Syai.g_02217
OG0000137	Prbb.g_00478	Syai.g_00865
OG0000138	Prbb.g_00499	Syai.g_00654
OG0000139	Prbb.g_00540	Syai.g_00714
OG0000140	Prbb.g_00541	Syai.g_00716
OG0000141	Prbb.g_00608	Syai.g_01041
OG0000142	Prbb.g_00636	Syai.g_01104
OG0000143	Prbb.g_00640	Syai.g_01108
OG0000144	Prbb.g_00653	Syai.g_01608
OG0000145	Prbb.g_01099	Syai.g_00660
OG0000146	Prbb.g_00982	Syai.g_01513
OG0000147	Prbb.g_00981	Syai.g_01514
OG0000148	Prbb.g_00801	Syai.g_01361
OG0000149	Prbb.g_00832	Syai.g_02059
OG0000150	Prbb.g_00840	Syai.g_00717
OG0000151	Prbb.g_00943	Syai.g_01280
OG0000152	Prbb.g_00991	Syai.g_01503
OG0000153	Prbb.g_01009	Syai.g_01461
OG0000154	Prbb.g_01040	Syai.g_01434
OG0000155	Prbb.g_01495	Syai.g_02109
OG0000156	Prbb.g_01575	Syai.g_02162
OG0000157	Prbb.g_01576	Syai.g_02163
OG0000158	Prbb.g_02044	Syai.g_00135
OG0000160	Prbb.g_01687	Syai.g_00952
OG0000161	Prbb.g_01693	Syai.g_00946
OG0000162	Prbb.g_01699	Syai.g_00939
OG0000163	Prbb.g_01735	Syai.g_02300
OG0000164	Prbb.g_01845	Syai.g_02411
OG0000165	Prbb.g_01853	Syai.g_02244
OG0000166	Prbb.g_01964	Syai.g_00364
OG0000167	Prbb.g_02034	Syai.g_00164
OG0000168	Prbb.g_02045	Syai.g_00134
OG0000169	Prbb.g_02055	Syai.g_00123
OG0000170	Prbb.g_02057	Syai.g_00116
OG0000171	Prbb.g_02078	Syai.g_00090
OG0000172	Prbb.g_02101	Syai.g_00083
OG0000173	Prbb.g_02116	Syai.g_00064
OG0000174	Prbb.g_02147	Syai.g_02828
OG0000175	Prbb.g_02165	Syai.g_02901
OG0000176	Prbb.g_00004	Syai.g_00004
OG0000177	Prbb.g_00005	Syai.g_00005
OG0000178	Prbb.g_00007, Prbb.g_00006	Syai.g_00006
OG0000179	Prbb.g_00017	Syai.g_00023
OG0000180	Prbb.g_00018	Syai.g_00024
OG0000181	Prbb.g_00019	Syai.g_00025
OG0000182	Prbb.g_00020	Syai.g_00026
OG0000183	Prbb.g_00024	Syai.g_00030
OG0000184	Prbb.g_00061	Syai.g_02756
OG0000185	Prbb.g_00064	Syai.g_02734
OG0000186	Prbb.g_00119	Syai.g_02469
OG0000187	Prbb.g_00120	Syai.g_02471
OG0000188	Prbb.g_00137	Syai.g_00696, Syai.g_02494
OG0000189	Prbb.g_00151	Syai.g_02530
OG0000190	Prbb.g_00152	Syai.g_02532
OG0000191	Prbb.g_00175	Syai.g_02562
OG0000192	Prbb.g_00179	Syai.g_02569
OG0000193	Prbb.g_00203	Syai.g_02609
OG0000194	Prbb.g_00206	Syai.g_02612
OG0000195	Prbb.g_00208	Syai.g_02614
OG0000196	Prbb.g_00218	Syai.g_02625
OG0000197	Prbb.g_00219	Syai.g_02626
OG0000198	Prbb.g_00220	Syai.g_02627
OG0000199	Prbb.g_00227	Syai.g_02635
OG0000200	Prbb.g_00240	Syai.g_02651
OG0000201	Prbb.g_00249	Syai.g_02667
OG0000202	Prbb.g_00250	Syai.g_02668
OG0000203	Prbb.g_00251	Syai.g_02669
OG0000204	Prbb.g_00252	Syai.g_02670
OG0000205	Prbb.g_00259	Syai.g_02677
OG0000206	Prbb.g_00263	Syai.g_02684
OG0000207	Prbb.g_00265	Syai.g_02686
OG0000208	Prbb.g_00266	Syai.g_02687
OG0000209	Prbb.g_00275	Syai.g_02699
OG0000210	Prbb.g_00276	Syai.g_02700
OG0000211	Prbb.g_00290	Syai.g_00533
OG0000212	Prbb.g_00298	Syai.g_00544
OG0000213	Prbb.g_00313	Syai.g_00292
OG0000214	Prbb.g_00321	Syai.g_00276
OG0000215	Prbb.g_00344	Syai.g_00245
OG0000216	Prbb.g_00345	Syai.g_00241
OG0000217	Prbb.g_00348	Syai.g_00237
OG0000218	Prbb.g_00350	Syai.g_00235
OG0000219	Prbb.g_00351	Syai.g_00234
OG0000220	Prbb.g_00352	Syai.g_00233
OG0000221	Prbb.g_00353	Syai.g_00227
OG0000222	Prbb.g_00361	Syai.g_00215
OG0000223	Prbb.g_00374	Syai.g_00194
OG0000224	Prbb.g_00376	Syai.g_00186
OG0000225	Prbb.g_00405	Syai.g_00502
OG0000226	Prbb.g_00409	Syai.g_00506
OG0000227	Prbb.g_00411	Syai.g_00508
OG0000228	Prbb.g_00415	Syai.g_00516
OG0000229	Prbb.g_00441	Syai.g_02228
OG0000230	Prbb.g_00443	Syai.g_02226
OG0000231	Prbb.g_00454	Syai.g_02208
OG0000232	Prbb.g_00462	Syai.g_00846
OG0000233	Prbb.g_00470	Syai.g_00855
OG0000234	Prbb.g_00479	Syai.g_00866
OG0000235	Prbb.g_00483	Syai.g_00637
OG0000236	Prbb.g_00497	Syai.g_00652
OG0000237	Prbb.g_00510	Syai.g_00669
OG0000238	Prbb.g_00516	Syai.g_00674
OG0000239	Prbb.g_00528	Syai.g_00691
OG0000240	Prbb.g_00529	Syai.g_00692
OG0000241	Prbb.g_00533	Syai.g_01085, Syai.g_01089
OG0000242	Prbb.g_00535	Syai.g_00705
OG0000243	Prbb.g_00546	Syai.g_00726
OG0000244	Prbb.g_00550	Syai.g_00731
OG0000245	Prbb.g_00552	Syai.g_00733
OG0000246	Prbb.g_00556	Syai.g_00737
OG0000247	Prbb.g_00566	Syai.g_00748
OG0000248	Prbb.g_00568	Syai.g_00751
OG0000249	Prbb.g_00570	Syai.g_00753
OG0000250	Prbb.g_00575	Syai.g_00762
OG0000251	Prbb.g_00591	Syai.g_00789
OG0000252	Prbb.g_00593	Syai.g_00797
OG0000253	Prbb.g_00595	Syai.g_00798
OG0000254	Prbb.g_00612	Syai.g_01045
OG0000255	Prbb.g_00618	Syai.g_01061
OG0000256	Prbb.g_00628	Syai.g_01077
OG0000257	Prbb.g_00631	Syai.g_01084
OG0000258	Prbb.g_00644	Syai.g_01113
OG0000259	Prbb.g_00661	Syai.g_01229
OG0000260	Prbb.g_00665	Syai.g_01232
OG0000261	Prbb.g_00668	Syai.g_01235
OG0000262	Prbb.g_00673	Syai.g_01240
OG0000263	Prbb.g_00686	Syai.g_01776
OG0000264	Prbb.g_00697, Prbb.g_00698	Syai.g_01962
OG0000265	Prbb.g_00713	Syai.g_02245
OG0000266	Prbb.g_00723	Syai.g_01401
OG0000267	Prbb.g_00736	Syai.g_01569
OG0000268	Prbb.g_00737	Syai.g_01568
OG0000269	Prbb.g_00778	Syai.g_01316
OG0000270	Prbb.g_00781	Syai.g_01319
OG0000271	Prbb.g_00789	Syai.g_01327
OG0000272	Prbb.g_00790	Syai.g_01328
OG0000273	Prbb.g_00814	Syai.g_02037
OG0000274	Prbb.g_00815	Syai.g_02038
OG0000275	Prbb.g_00817	Syai.g_02043
OG0000276	Prbb.g_00823	Syai.g_02051
OG0000277	Prbb.g_00824	Syai.g_02052
OG0000278	Prbb.g_00828	Syai.g_02055
OG0000279	Prbb.g_00835	Syai.g_02063
OG0000280	Prbb.g_01370	Syai.g_02084
OG0000281	Prbb.g_00841	Syai.g_01719
OG0000282	Prbb.g_00934	Syai.g_01263
OG0000283	Prbb.g_00965	Syai.g_01554
OG0000284	Prbb.g_00970	Syai.g_01548
OG0000285	Prbb.g_00975	Syai.g_01522
OG0000286	Prbb.g_00990	Syai.g_01504
OG0000287	Prbb.g_00101	Syai.g_01469
OG0000288	Prbb.g_01039	Syai.g_01435
OG0000289	Prbb.g_01051	Syai.g_01421
OG0000290	Prbb.g_01067	Syai.g_02010
OG0000291	Prbb.g_01069	Syai.g_02008
OG0000292	Prbb.g_01238	Syai.g_02926
OG0000293	Prbb.g_01527	Syai.g_02155
OG0000294	Prbb.g_01526	Syai.g_02154
OG0000295	Prbb.g_01502	Syai.g_02117
OG0000296	Prbb.g_01500	Syai.g_02115
OG0000297	Prbb.g_01491	Syai.g_01754
OG0000298	Prbb.g_01490	Syai.g_01755
OG0000299	Prbb.g_01471	Syai.g_01783
OG0000300	Prbb.g_01468	Syai.g_01790
OG0000301	Prbb.g_01467	Syai.g_01791
OG0000302	Prbb.g_01464	Syai.g_01793
OG0000303	Prbb.g_01459	Syai.g_01802
OG0000304	Prbb.g_01456	Syai.g_01826
OG0000305	Prbb.g_01789	Syai.g_02005
OG0000306	Prbb.g_00845	Syai.g_02090
OG0000307	Prbb.g_01648	Syai.g_00619
OG0000308	Prbb.g_01649	Syai.g_00617
OG0000309	Prbb.g_01653	Syai.g_00612
OG0000310	Prbb.g_01671	Syai.g_00989
OG0000311	Prbb.g_01673	Syai.g_00985
OG0000312	Prbb.g_01676	Syai.g_00966
OG0000313	Prbb.g_01690	Syai.g_00949
OG0000314	Prbb.g_01711	Syai.g_00908
OG0000315	Prbb.g_01721	Syai.g_00897
OG0000316	Prbb.g_01746	Syai.g_02320, Syai.g_02322
OG0000317	Prbb.g_01821	Syai.g_02373
OG0000318	Prbb.g_01824	Syai.g_02379
OG0000319	Prbb.g_01835	Syai.g_02395
OG0000320	Prbb.g_01837	Syai.g_02397
OG0000321	Prbb.g_01838	Syai.g_02398
OG0000322	Prbb.g_01839	Syai.g_02399
OG0000323	Prbb.g_01848	Syai.g_02413
OG0000324	Prbb.g_01875	Syai.g_02272
OG0000325	Prbb.g_01924	Syai.g_00320
OG0000326	Prbb.g_01930	Syai.g_00327
OG0000327	Prbb.g_01959	Syai.g_00359
OG0000328	Prbb.g_01960	Syai.g_00360
OG0000329	Prbb.g_01977	Syai.g_00378
OG0000330	Prbb.g_01978	Syai.g_00379
OG0000331	Prbb.g_01979	Syai.g_00380
OG0000332	Prbb.g_01993	Syai.g_00395
OG0000333	Prbb.g_01995	Syai.g_00398
OG0000334	Prbb.g_02004	Syai.g_00407
OG0000335	Prbb.g_02009	Syai.g_00412
OG0000336	Prbb.g_02013	Syai.g_00416
OG0000337	Prbb.g_02031	Syai.g_00169
OG0000338	Prbb.g_02032	Syai.g_00166
OG0000339	Prbb.g_02037	Syai.g_00160
OG0000340	Prbb.g_02046	Syai.g_00133
OG0000341	Prbb.g_02048	Syai.g_00131
OG0000342	Prbb.g_02049	Syai.g_00130
OG0000343	Prbb.g_02050	Syai.g_00129
OG0000344	Prbb.g_02053	Syai.g_00125
OG0000345	Prbb.g_02058	Syai.g_00115
OG0000346	Prbb.g_02062	Syai.g_00110
OG0000347	Prbb.g_02082	Syai.g_00087
OG0000348	Prbb.g_02104	Syai.g_00076
OG0000349	Prbb.g_02122	Syai.g_00057
OG0000350	Prbb.g_02143	Syai.g_00334
OG0000351	Prbb.g_02168	Syai.g_02904
OG0000352	Prbb.g_02169	Syai.g_02905
OG0000353	Prbb.g_02188	Syai.g_02932
OG0000355	Prbb.g_00001	Syai.g_00001
OG0000356	Prbb.g_00002	Syai.g_00002
OG0000357	Prbb.g_00003	Syai.g_00003
OG0000358	Prbb.g_00008	Syai.g_00007
OG0000359	Prbb.g_00009	Syai.g_00009
OG0000360	Prbb.g_00010	Syai.g_00010
OG0000361	Prbb.g_00011	Syai.g_00011
OG0000362	Prbb.g_00013	Syai.g_00013
OG0000363	Prbb.g_00015	Syai.g_00015
OG0000364	Prbb.g_00016	Syai.g_00016
OG0000365	Prbb.g_00021	Syai.g_00027
OG0000366	Prbb.g_00022	Syai.g_00028
OG0000367	Prbb.g_00023	Syai.g_00029
OG0000368	Prbb.g_00025	Syai.g_00031
OG0000369	Prbb.g_00026	Syai.g_00032
OG0000370	Prbb.g_00027	Syai.g_00033
OG0000371	Prbb.g_00033	Syai.g_00041
OG0000372	Prbb.g_00035	Syai.g_00047
OG0000373	Prbb.g_00036	Syai.g_00048
OG0000374	Prbb.g_00037	Syai.g_00049
OG0000375	Prbb.g_00055	Syai.g_00053
OG0000376	Prbb.g_00057	Syai.g_00055
OG0000377	Prbb.g_00060	Syai.g_02769
OG0000378	Prbb.g_00062	Syai.g_02751
OG0000379	Prbb.g_00065	Syai.g_02733
OG0000380	Prbb.g_00121	Syai.g_02472
OG0000381	Prbb.g_00125	Syai.g_02475
OG0000382	Prbb.g_00136	Syai.g_02493
OG0000383	Prbb.g_00138	Syai.g_02498
OG0000384	Prbb.g_00139	Syai.g_02499
OG0000385	Prbb.g_00140	Syai.g_02500
OG0000386	Prbb.g_00141	Syai.g_02501
OG0000387	Prbb.g_00154	Syai.g_02534
OG0000388	Prbb.g_00158	Syai.g_02538
OG0000389	Prbb.g_00161	Syai.g_02542
OG0000390	Prbb.g_00170	Syai.g_02556
OG0000391	Prbb.g_00174	Syai.g_02561
OG0000392	Prbb.g_00177	Syai.g_02568
OG0000393	Prbb.g_00180	Syai.g_02570
OG0000394	Prbb.g_00181	Syai.g_02571
OG0000395	Prbb.g_00182	Syai.g_02572
OG0000396	Prbb.g_00185	Syai.g_02575
OG0000397	Prbb.g_00187	Syai.g_02577
OG0000398	Prbb.g_00190	Syai.g_02582
OG0000399	Prbb.g_00191	Syai.g_02583
OG0000400	Prbb.g_00192	Syai.g_02584
OG0000401	Prbb.g_00193	Syai.g_02585
OG0000402	Prbb.g_01101	Syai.g_02588
OG0000403	Prbb.g_00194	Syai.g_02589
OG0000404	Prbb.g_00195	Syai.g_02590
OG0000405	Prbb.g_00200	Syai.g_02606
OG0000406	Prbb.g_00204	Syai.g_02610
OG0000407	Prbb.g_00205	Syai.g_02611
OG0000408	Prbb.g_00207	Syai.g_02613
OG0000409	Prbb.g_00209	Syai.g_02615
OG0000410	Prbb.g_00210	Syai.g_02616
OG0000411	Prbb.g_00211	Syai.g_02617
OG0000412	Prbb.g_00212	Syai.g_02618
OG0000413	Prbb.g_00213	Syai.g_02620
OG0000414	Prbb.g_00214	Syai.g_02621
OG0000415	Prbb.g_00215	Syai.g_02622
OG0000416	Prbb.g_00216	Syai.g_02623
OG0000417	Prbb.g_00217	Syai.g_02624
OG0000418	Prbb.g_00222	Syai.g_02629
OG0000419	Prbb.g_00224	Syai.g_02631
OG0000420	Prbb.g_00225	Syai.g_02633
OG0000421	Prbb.g_00229	Syai.g_02638
OG0000422	Prbb.g_00230	Syai.g_02639
OG0000423	Prbb.g_00231	Syai.g_02640
OG0000424	Prbb.g_00232	Syai.g_02641
OG0000425	Prbb.g_00233	Syai.g_02642
OG0000426	Prbb.g_00234	Syai.g_02643
OG0000427	Prbb.g_00235	Syai.g_02644
OG0000428	Prbb.g_00237	Syai.g_02647
OG0000429	Prbb.g_00238	Syai.g_02649
OG0000430	Prbb.g_00239	Syai.g_02650
OG0000431	Prbb.g_00241	Syai.g_02654
OG0000432	Prbb.g_00245	Syai.g_02660
OG0000433	Prbb.g_00246	Syai.g_02662
OG0000434	Prbb.g_00247	Syai.g_02663
OG0000435	Prbb.g_00248	Syai.g_02666
OG0000436	Prbb.g_00253	Syai.g_02671
OG0000437	Prbb.g_00254	Syai.g_02672
OG0000438	Prbb.g_00255	Syai.g_02673
OG0000439	Prbb.g_00257	Syai.g_02675
OG0000440	Prbb.g_00258	Syai.g_02676
OG0000441	Prbb.g_00260	Syai.g_02681
OG0000442	Prbb.g_00261	Syai.g_02682
OG0000443	Prbb.g_00262	Syai.g_02683
OG0000444	Prbb.g_00267	Syai.g_02688
OG0000445	Prbb.g_00268	Syai.g_02689
OG0000446	Prbb.g_00269	Syai.g_02690
OG0000447	Prbb.g_00270	Syai.g_02693
OG0000448	Prbb.g_00271	Syai.g_02694
OG0000449	Prbb.g_00272	Syai.g_02695
OG0000450	Prbb.g_00273	Syai.g_02696
OG0000451	Prbb.g_00274	Syai.g_02697
OG0000452	Prbb.g_00277	Syai.g_02701
OG0000453	Prbb.g_00278	Syai.g_02702
OG0000454	Prbb.g_00279	Syai.g_02703
OG0000455	Prbb.g_00280	Syai.g_02704
OG0000456	Prbb.g_00281	Syai.g_02705
OG0000457	Prbb.g_00282	Syai.g_02707
OG0000458	Prbb.g_00283	Syai.g_02708
OG0000459	Prbb.g_00284	Syai.g_02709
OG0000460	Prbb.g_00292	Syai.g_00535
OG0000461	Prbb.g_00300	Syai.g_00314
OG0000462	Prbb.g_00302	Syai.g_00311
OG0000463	Prbb.g_00303	Syai.g_00310
OG0000464	Prbb.g_00304	Syai.g_00309
OG0000465	Prbb.g_00305	Syai.g_00307
OG0000466	Prbb.g_00306	Syai.g_00303
OG0000467	Prbb.g_00307	Syai.g_00301
OG0000468	Prbb.g_00309	Syai.g_00296
OG0000469	Prbb.g_00316	Syai.g_00282
OG0000470	Prbb.g_00318	Syai.g_00280
OG0000471	Prbb.g_00319	Syai.g_00279
OG0000472	Prbb.g_00320	Syai.g_00277
OG0000473	Prbb.g_00322	Syai.g_00275
OG0000474	Prbb.g_00323	Syai.g_00274
OG0000475	Prbb.g_00324	Syai.g_00273
OG0000476	Prbb.g_00326	Syai.g_00271
OG0000477	Prbb.g_00328	Syai.g_00265
OG0000478	Prbb.g_00329	Syai.g_00264
OG0000479	Prbb.g_00330	Syai.g_00263
OG0000480	Prbb.g_00334	Syai.g_00256
OG0000481	Prbb.g_00336	Syai.g_00254
OG0000482	Prbb.g_00337	Syai.g_00253
OG0000483	Prbb.g_00340	Syai.g_00249
OG0000484	Prbb.g_00341	Syai.g_00248
OG0000485	Prbb.g_00342	Syai.g_00247
OG0000486	Prbb.g_00343	Syai.g_00246
OG0000487	Prbb.g_00346	Syai.g_00240
OG0000488	Prbb.g_00349	Syai.g_00236
OG0000489	Prbb.g_00354	Syai.g_00226
OG0000490	Prbb.g_00359	Syai.g_00218
OG0000491	Prbb.g_00360	Syai.g_00217
OG0000492	Prbb.g_00362	Syai.g_00214
OG0000493	Prbb.g_00363	Syai.g_00213
OG0000494	Prbb.g_00364	Syai.g_00212
OG0000495	Prbb.g_00365	Syai.g_00211
OG0000496	Prbb.g_00366	Syai.g_00210
OG0000497	Prbb.g_00367	Syai.g_00209
OG0000498	Prbb.g_00368	Syai.g_00208
OG0000499	Prbb.g_00369	Syai.g_00207
OG0000500	Prbb.g_00370	Syai.g_00206
OG0000501	Prbb.g_00372	Syai.g_00203
OG0000502	Prbb.g_00375	Syai.g_00192
OG0000503	Prbb.g_00394	Syai.g_00486
OG0000504	Prbb.g_00396	Syai.g_00488
OG0000505	Prbb.g_00397	Syai.g_00489
OG0000506	Prbb.g_00398	Syai.g_00491
OG0000507	Prbb.g_00401	Syai.g_00497
OG0000508	Prbb.g_00404	Syai.g_00501
OG0000509	Prbb.g_00406	Syai.g_00503
OG0000510	Prbb.g_00407	Syai.g_00504
OG0000511	Prbb.g_00408	Syai.g_00505
OG0000512	Prbb.g_00410	Syai.g_00507
OG0000513	Prbb.g_00419	Syai.g_00521
OG0000514	Prbb.g_00436	Syai.g_00528
OG0000515	Prbb.g_00437	Syai.g_00529
OG0000516	Prbb.g_00438	Syai.g_02223
OG0000517	Prbb.g_00440	Syai.g_02229
OG0000518	Prbb.g_00451	Syai.g_02211
OG0000519	Prbb.g_00452	Syai.g_02210
OG0000520	Prbb.g_00453	Syai.g_02209
OG0000521	Prbb.g_00458	Syai.g_00842
OG0000522	Prbb.g_00460	Syai.g_00844
OG0000523	Prbb.g_00461	Syai.g_00845
OG0000524	Prbb.g_00468	Syai.g_00852
OG0000525	Prbb.g_00472	Syai.g_00856
OG0000526	Prbb.g_00473	Syai.g_00859
OG0000527	Prbb.g_00476	Syai.g_00863
OG0000528	Prbb.g_00482	Syai.g_00633
OG0000529	Prbb.g_00486	Syai.g_00639
OG0000530	Prbb.g_00489	Syai.g_00642
OG0000531	Prbb.g_00490	Syai.g_00643
OG0000532	Prbb.g_00491	Syai.g_00646
OG0000533	Prbb.g_00492	Syai.g_00647
OG0000534	Prbb.g_00493	Syai.g_00648
OG0000535	Prbb.g_00494	Syai.g_00649
OG0000536	Prbb.g_00495	Syai.g_00650
OG0000537	Prbb.g_00496	Syai.g_00651
OG0000538	Prbb.g_00504	Syai.g_00662
OG0000539	Prbb.g_00505	Syai.g_00663
OG0000540	Prbb.g_00506	Syai.g_00664
OG0000541	Prbb.g_00507	Syai.g_00665
OG0000542	Prbb.g_00509	Syai.g_00668
OG0000543	Prbb.g_00511	Syai.g_00670
OG0000544	Prbb.g_00512	Syai.g_00671
OG0000545	Prbb.g_00514	Syai.g_00673
OG0000546	Prbb.g_00517	Syai.g_00675
OG0000547	Prbb.g_00519	Syai.g_00677
OG0000548	Prbb.g_00520	Syai.g_00678
OG0000549	Prbb.g_00523	Syai.g_00684
OG0000550	Prbb.g_00527	Syai.g_00689
OG0000551	Prbb.g_00530	Syai.g_00694
