Orthogroup	Prau	Syan
OG0000063	Prau.g_00032, Prau.g_01295	Syan.g_01739
OG0000065	Prau.g_00108	Syan.g_02974
OG0000066	Prau.g_00579	Syan.g_01156
OG0000067	Prau.g_00854	Syan.g_00690
OG0000068	Prau.g_01409	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prau.g_01285, Prau.g_01642	Syan.g_00278
OG0000070	Prau.g_00491	Syan.g_00289
OG0000071	Prau.g_01371	Syan.g_01213
OG0000072	Prau.g_00172	Syan.g_03038, Syan.g_02999
OG0000073	Prau.g_00540	Syan.g_02741
OG0000075	Prau.g_01901	Syan.g_00981, Syan.g_01937
OG0000076	Prau.g_00037, Prau.g_01925	Syan.g_01896
OG0000079	Prau.g_00254	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prau.g_00624	Syan.g_00952
OG0000085	Prau.g_01725	Syan.g_01387
OG0000086	Prau.g_00089	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prau.g_00140	Syan.g_02268
OG0000088	Prau.g_00167	Syan.g_03031
OG0000089	Prau.g_00358	Syan.g_02316
OG0000090	Prau.g_00573	Syan.g_01166
OG0000091	Prau.g_00682	Syan.g_00235, Syan.g_00808
OG0000092	Prau.g_00451, Prau.g_00961, Prau.g_00052	Syan.g_02502
OG0000094	Prau.g_01070	Syan.g_00353, Syan.g_00065
OG0000097	Prau.g_01247	Syan.g_00160, Syan.g_00733
OG0000098	Prau.g_01391	Syan.g_00043
OG0000099	Prau.g_01434, Prau.g_01435	Syan.g_01968
OG0000100	Prau.g_01605	Syan.g_00658
OG0000101	Prau.g_01869	Syan.g_02199
OG0000102	Prau.g_01930	Syan.g_01891
OG0000103	Prau.g_02009	Syan.g_01692
OG0000104	Prau.g_02018	Syan.g_01792
OG0000105	Prau.g_00276	Syan.g_02031
OG0000106	Prau.g_00373	Syan.g_00076
OG0000107	Prau.g_00389	Syan.g_02106
OG0000108	Prau.g_00521	Syan.g_02764
OG0000109	Prau.g_00535	Syan.g_02748
OG0000110	Prau.g_00614	Syan.g_00882
OG0000111	Prau.g_00739	Syan.g_00187
OG0000112	Prau.g_00818	Syan.g_00556, Syan.g_00252
OG0000113	Prau.g_00876	Syan.g_00664
OG0000114	Prau.g_00956	Syan.g_00741
OG0000115	Prau.g_01148	Syan.g_02810
OG0000116	Prau.g_01197	Syan.g_02710, Syan.g_00460
OG0000117	Prau.g_01318	Syan.g_02644
OG0000118	Prau.g_01383	Syan.g_01241, Syan.g_01237
OG0000119	Prau.g_01405	Syan.g_02672
OG0000120	Prau.g_01430	Syan.g_01966
OG0000121	Prau.g_01533	Syan.g_01273
OG0000123	Prau.g_01876	Syan.g_02190
OG0000124	Prau.g_01941	Syan.g_01873
OG0000125	Prau.g_01978	Syan.g_01573
OG0000126	Prau.g_02017	Syan.g_01705
OG0000127	Prau.g_01292	Syan.g_00162
OG0000128	Prau.g_00011	Syan.g_01768
OG0000129	Prau.g_00051	Syan.g_01563
OG0000130	Prau.g_00071	Syan.g_02906, Syan.g_02907
OG0000131	Prau.g_00146	Syan.g_03008
OG0000132	Prau.g_00165	Syan.g_03029
OG0000133	Prau.g_00324	Syan.g_00561
OG0000134	Prau.g_00359	Syan.g_02319
OG0000135	Prau.g_00386	Syan.g_01616
OG0000136	Prau.g_00482	Syan.g_01342
OG0000137	Prau.g_00516	Syan.g_02846
OG0000138	Prau.g_00536	Syan.g_02747
OG0000140	Prau.g_00578	Syan.g_00042
OG0000141	Prau.g_00645	Syan.g_01032
OG0000142	Prau.g_00675	Syan.g_00816
OG0000143	Prau.g_00679	Syan.g_00812
OG0000144	Prau.g_00692	Syan.g_00782
OG0000145	Prau.g_00816	Syan.g_02740
OG0000146	Prau.g_00819	Syan.g_00555, Syan.g_00253
OG0000147	Prau.g_00820	Syan.g_00254, Syan.g_00554
OG0000148	Prau.g_00870	Syan.g_00670
OG0000149	Prau.g_00900	Syan.g_00393
OG0000150	Prau.g_00909	Syan.g_01031
OG0000151	Prau.g_00966	Syan.g_00731
OG0000152	Prau.g_01015	Syan.g_00565
OG0000153	Prau.g_01034	Syan.g_00601
OG0000154	Prau.g_01063	Syan.g_00363
OG0000155	Prau.g_01226	Syan.g_02654
OG0000156	Prau.g_01359	Syan.g_02717
OG0000157	Prau.g_01360	Syan.g_02718
OG0000158	Prau.g_01436	Syan.g_01078, Syan.g_01926
OG0000159	Prau.g_01433, Prau.g_01457	Syan.g_01120
OG0000160	Prau.g_01532	Syan.g_01274
OG0000161	Prau.g_01538	Syan.g_01268
OG0000162	Prau.g_01544	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prau.g_01578	Syan.g_02405
OG0000164	Prau.g_01756	Syan.g_01440
OG0000165	Prau.g_01763	Syan.g_01448
OG0000166	Prau.g_01833	Syan.g_02239
OG0000167	Prau.g_01899	Syan.g_01941
OG0000168	Prau.g_01909	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prau.g_01919	Syan.g_01912
OG0000170	Prau.g_01921	Syan.g_01901
OG0000171	Prau.g_01940	Syan.g_01875
OG0000172	Prau.g_01949	Syan.g_01810
OG0000173	Prau.g_01964	Syan.g_01720
OG0000174	Prau.g_01991	Syan.g_01619
OG0000175	Prau.g_02001	Syan.g_01678, Syan.g_00258
OG0000176	Prau.g_00004	Syan.g_01801
OG0000177	Prau.g_00005	Syan.g_01775
OG0000178	Prau.g_00006	Syan.g_01774
OG0000179	Prau.g_00016	Syan.g_01759
OG0000180	Prau.g_00017	Syan.g_01758
OG0000181	Prau.g_00018	Syan.g_01757
OG0000182	Prau.g_00019	Syan.g_01756
OG0000183	Prau.g_00023	Syan.g_01752
OG0000184	Prau.g_00054	Syan.g_01549
OG0000185	Prau.g_00057	Syan.g_01540
OG0000186	Prau.g_00066	Syan.g_02902
OG0000187	Prau.g_00067	Syan.g_02904
OG0000188	Prau.g_00083	Syan.g_02926
OG0000189	Prau.g_00097	Syan.g_02966
OG0000190	Prau.g_00098	Syan.g_00971
OG0000191	Prau.g_00118	Syan.g_02300
OG0000192	Prau.g_00122	Syan.g_02294
OG0000193	Prau.g_00147	Syan.g_03009
OG0000194	Prau.g_00150	Syan.g_03012
OG0000195	Prau.g_00152	Syan.g_03014
OG0000196	Prau.g_00162	Syan.g_03026
OG0000197	Prau.g_00163	Syan.g_03027
OG0000198	Prau.g_00164	Syan.g_03028
OG0000199	Prau.g_00171	Syan.g_03037
OG0000200	Prau.g_00185	Syan.g_03055
OG0000201	Prau.g_00193	Syan.g_03074
OG0000202	Prau.g_00194	Syan.g_03075
OG0000203	Prau.g_00195	Syan.g_03076
OG0000204	Prau.g_00196	Syan.g_03077
OG0000205	Prau.g_00203	Syan.g_03087
OG0000206	Prau.g_00208	Syan.g_03095
OG0000207	Prau.g_00210	Syan.g_03100
OG0000208	Prau.g_00211	Syan.g_03101
OG0000209	Prau.g_00220	Syan.g_01521
OG0000210	Prau.g_00221	Syan.g_01522
OG0000211	Prau.g_00234	Syan.g_02416
OG0000212	Prau.g_00241	Syan.g_01508, Syan.g_02438
OG0000213	Prau.g_00259	Syan.g_02059
OG0000214	Prau.g_00269	Syan.g_02040
OG0000215	Prau.g_00294	Syan.g_02010
OG0000216	Prau.g_00296	Syan.g_02006
OG0000217	Prau.g_00299	Syan.g_02001
OG0000218	Prau.g_00301	Syan.g_01999
OG0000219	Prau.g_00302	Syan.g_01998
OG0000220	Prau.g_00303	Syan.g_01997
OG0000221	Prau.g_00304	Syan.g_01994
OG0000222	Prau.g_00312	Syan.g_01981
OG0000223	Prau.g_00325	Syan.g_00228
OG0000224	Prau.g_00327	Syan.g_01959
OG0000225	Prau.g_00348	Syan.g_02997
OG0000226	Prau.g_00352	Syan.g_02990
OG0000227	Prau.g_00354	Syan.g_02988
OG0000228	Prau.g_00357	Syan.g_02315
OG0000229	Prau.g_00477	Syan.g_02396
OG0000230	Prau.g_00479	Syan.g_02398
OG0000231	Prau.g_00490	Syan.g_01333
OG0000232	Prau.g_00499	Syan.g_02801
OG0000233	Prau.g_00505	Syan.g_02876
OG0000234	Prau.g_00517	Syan.g_02844
OG0000235	Prau.g_00520	Syan.g_02765
OG0000236	Prau.g_00534	Syan.g_02749
OG0000237	Prau.g_00547	Syan.g_02731
OG0000238	Prau.g_00553	Syan.g_02726
OG0000239	Prau.g_00565	Syan.g_01187
OG0000240	Prau.g_00566	Syan.g_01186
OG0000241	Prau.g_00570	Syan.g_00822
OG0000242	Prau.g_00572	Syan.g_01168
OG0000243	Prau.g_00583	Syan.g_00840
OG0000244	Prau.g_00586	Syan.g_00848
OG0000245	Prau.g_00588	Syan.g_00850
OG0000246	Prau.g_00592	Syan.g_00854
OG0000247	Prau.g_00602	Syan.g_00866
OG0000248	Prau.g_00604	Syan.g_00869
OG0000249	Prau.g_00606	Syan.g_00871
OG0000250	Prau.g_00611	Syan.g_00878
OG0000251	Prau.g_00629	Syan.g_00961
OG0000252	Prau.g_00632	Syan.g_00966
OG0000253	Prau.g_00633	Syan.g_01000
OG0000254	Prau.g_00649	Syan.g_01026
OG0000255	Prau.g_00655	Syan.g_00978
OG0000256	Prau.g_00667	Syan.g_00001, Syan.g_01135
OG0000257	Prau.g_00670	Syan.g_00827
OG0000258	Prau.g_00683	Syan.g_00803
OG0000259	Prau.g_00700	Syan.g_00772
OG0000260	Prau.g_00703	Syan.g_00769
OG0000261	Prau.g_00705	Syan.g_00765
OG0000262	Prau.g_00709	Syan.g_00760
OG0000263	Prau.g_00721	Syan.g_02618
OG0000264	Prau.g_00731	Syan.g_00540
OG0000266	Prau.g_00765	Syan.g_00330
OG0000267	Prau.g_00776	Syan.g_00470
OG0000268	Prau.g_00777	Syan.g_00471
OG0000269	Prau.g_00849	Syan.g_00695
OG0000270	Prau.g_00852	Syan.g_00692
OG0000271	Prau.g_00860	Syan.g_00684
OG0000272	Prau.g_00861	Syan.g_00683
OG0000273	Prau.g_00884	Syan.g_00654
OG0000274	Prau.g_00885	Syan.g_00653
OG0000275	Prau.g_00887	Syan.g_00373
OG0000276	Prau.g_00892	Syan.g_00380
OG0000277	Prau.g_00893	Syan.g_00381
OG0000278	Prau.g_00896	Syan.g_00384
OG0000279	Prau.g_00904	Syan.g_00398
OG0000280	Prau.g_00905	Syan.g_00518
OG0000282	Prau.g_00958	Syan.g_00739
OG0000283	Prau.g_00992	Syan.g_00491
OG0000284	Prau.g_00997	Syan.g_00497
OG0000285	Prau.g_01002	Syan.g_00533
OG0000286	Prau.g_01014	Syan.g_00564
OG0000287	Prau.g_01031	Syan.g_00593
OG0000288	Prau.g_01062	Syan.g_00364
OG0000289	Prau.g_01073	Syan.g_00350
OG0000290	Prau.g_01086	Syan.g_00293
OG0000291	Prau.g_01088	Syan.g_00291
OG0000292	Prau.g_01136	Syan.g_01703
OG0000293	Prau.g_01198	Syan.g_02709
OG0000294	Prau.g_01199	Syan.g_02708
OG0000295	Prau.g_01218	Syan.g_02662
OG0000296	Prau.g_01220	Syan.g_02660
OG0000299	Prau.g_01246	Syan.g_02601
OG0000301	Prau.g_01250	Syan.g_02592
OG0000302	Prau.g_01252	Syan.g_02591
OG0000303	Prau.g_01259	Syan.g_02582
OG0000304	Prau.g_01263	Syan.g_02556
OG0000305	Prau.g_01401	Syan.g_00195
OG0000306	Prau.g_01404	Syan.g_00087
OG0000307	Prau.g_01418	Syan.g_02782
OG0000308	Prau.g_01419	Syan.g_02784
OG0000309	Prau.g_01423	Syan.g_02883
OG0000310	Prau.g_01513	Syan.g_01304
OG0000311	Prau.g_01515	Syan.g_01299
OG0000312	Prau.g_01518	Syan.g_01290
OG0000313	Prau.g_01535	Syan.g_01271
OG0000314	Prau.g_01558	Syan.g_02823
OG0000315	Prau.g_01568	Syan.g_02833
OG0000316	Prau.g_01588	Syan.g_01354
OG0000317	Prau.g_01730	Syan.g_01396
OG0000318	Prau.g_01733	Syan.g_01401
OG0000319	Prau.g_01746	Syan.g_01425
OG0000320	Prau.g_01748	Syan.g_01427
OG0000321	Prau.g_01749	Syan.g_01428
OG0000322	Prau.g_01750	Syan.g_01429
OG0000323	Prau.g_01759	Syan.g_01442
OG0000324	Prau.g_01785	Syan.g_01472
OG0000325	Prau.g_01795	Syan.g_02107
OG0000326	Prau.g_01801	Syan.g_02114
OG0000327	Prau.g_01828	Syan.g_02244
OG0000328	Prau.g_01829	Syan.g_02243
OG0000329	Prau.g_01846	Syan.g_02225
OG0000330	Prau.g_01847	Syan.g_02224
OG0000331	Prau.g_01848	Syan.g_02223
OG0000332	Prau.g_01862	Syan.g_02208
OG0000333	Prau.g_01864	Syan.g_02205
OG0000334	Prau.g_01872	Syan.g_00247, Syan.g_02194
OG0000335	Prau.g_01877	Syan.g_02189
OG0000336	Prau.g_01881	Syan.g_02185
OG0000337	Prau.g_01897	Syan.g_01949
OG0000338	Prau.g_01898	Syan.g_01943
OG0000339	Prau.g_01902	Syan.g_01935, Syan.g_00264
OG0000340	Prau.g_01910	Syan.g_01923
OG0000341	Prau.g_01912	Syan.g_01921
OG0000342	Prau.g_01913	Syan.g_01920
OG0000343	Prau.g_01914	Syan.g_01918
OG0000344	Prau.g_01917	Syan.g_01914
OG0000345	Prau.g_01922	Syan.g_01900
OG0000346	Prau.g_01926	Syan.g_01895
OG0000347	Prau.g_01942	Syan.g_01867
OG0000348	Prau.g_01952	Syan.g_01803
OG0000349	Prau.g_01969	Syan.g_01727
OG0000350	Prau.g_01987, Prau.g_01297	Syan.g_02121
OG0000351	Prau.g_02004	Syan.g_01682
OG0000352	Prau.g_02005	Syan.g_01683
OG0000353	Prau.g_02021	Syan.g_01795
OG0000355	Prau.g_00001	Syan.g_01797
OG0000356	Prau.g_00002	Syan.g_01798
OG0000357	Prau.g_00003	Syan.g_01800
OG0000358	Prau.g_00007	Syan.g_01773
OG0000359	Prau.g_00008	Syan.g_01771
OG0000360	Prau.g_00009	Syan.g_01770
OG0000361	Prau.g_00010	Syan.g_01769
OG0000362	Prau.g_00012	Syan.g_01767
OG0000363	Prau.g_00014	Syan.g_01765
OG0000364	Prau.g_00015	Syan.g_01398
OG0000365	Prau.g_00020	Syan.g_01755
OG0000366	Prau.g_00021	Syan.g_01754
OG0000367	Prau.g_00022	Syan.g_01753
OG0000368	Prau.g_00024	Syan.g_01751
OG0000369	Prau.g_00025	Syan.g_01750
OG0000370	Prau.g_00026	Syan.g_01749
OG0000371	Prau.g_00031	Syan.g_01740
OG0000372	Prau.g_00034	Syan.g_01734
OG0000373	Prau.g_00035	Syan.g_01733
OG0000374	Prau.g_00036	Syan.g_01732
OG0000375	Prau.g_00047	Syan.g_01731
OG0000376	Prau.g_00049	Syan.g_01729
OG0000377	Prau.g_00053	Syan.g_01555
OG0000378	Prau.g_00055	Syan.g_01543
OG0000379	Prau.g_00058	Syan.g_01539
OG0000380	Prau.g_00068	Syan.g_02905
OG0000381	Prau.g_00072	Syan.g_02908
OG0000382	Prau.g_00082	Syan.g_02925
OG0000383	Prau.g_00084	Syan.g_02936
OG0000384	Prau.g_00085	Syan.g_02937
OG0000385	Prau.g_00086	Syan.g_02938
OG0000386	Prau.g_00087	Syan.g_02939
OG0000387	Prau.g_00100	Syan.g_00967
OG0000388	Prau.g_00103	Syan.g_02970
OG0000389	Prau.g_00107	Syan.g_02973
OG0000390	Prau.g_00114	Syan.g_02306
OG0000391	Prau.g_00117	Syan.g_02301
OG0000392	Prau.g_00121	Syan.g_02295
OG0000393	Prau.g_00123	Syan.g_02292
OG0000394	Prau.g_00124	Syan.g_02291
OG0000395	Prau.g_00125	Syan.g_02290
OG0000396	Prau.g_00128	Syan.g_02287
OG0000397	Prau.g_00130	Syan.g_02285
OG0000398	Prau.g_00132	Syan.g_02279
OG0000399	Prau.g_00133	Syan.g_02278
OG0000400	Prau.g_00134	Syan.g_02277
OG0000401	Prau.g_00135	Syan.g_02274
OG0000402	Prau.g_00137	Syan.g_02272
OG0000403	Prau.g_00138	Syan.g_02271
OG0000404	Prau.g_00139	Syan.g_02269
OG0000405	Prau.g_00143	Syan.g_03005
OG0000406	Prau.g_00148	Syan.g_03010
OG0000407	Prau.g_00149	Syan.g_03011
OG0000408	Prau.g_00151	Syan.g_03013
OG0000409	Prau.g_00153	Syan.g_03015
OG0000410	Prau.g_00154	Syan.g_03016
OG0000411	Prau.g_00155	Syan.g_03017
OG0000412	Prau.g_00156	Syan.g_03018
OG0000413	Prau.g_00157	Syan.g_03020
OG0000414	Prau.g_00158	Syan.g_03021
OG0000415	Prau.g_00159	Syan.g_03022
OG0000416	Prau.g_00160	Syan.g_03023
OG0000417	Prau.g_00161	Syan.g_03025
OG0000418	Prau.g_00166	Syan.g_03030
OG0000419	Prau.g_00168	Syan.g_03033
OG0000420	Prau.g_00169	Syan.g_03035
OG0000421	Prau.g_00174	Syan.g_03040
OG0000422	Prau.g_00175	Syan.g_03041
OG0000423	Prau.g_00176	Syan.g_03042
OG0000424	Prau.g_00177	Syan.g_03043
OG0000425	Prau.g_00178	Syan.g_03044
OG0000426	Prau.g_00179	Syan.g_03045
OG0000427	Prau.g_00180	Syan.g_03046
OG0000428	Prau.g_00182	Syan.g_03049
OG0000429	Prau.g_00183	Syan.g_03051
OG0000430	Prau.g_00184	Syan.g_03053
OG0000431	Prau.g_00186	Syan.g_03058
OG0000432	Prau.g_00189	Syan.g_03065
OG0000433	Prau.g_00190	Syan.g_03068
OG0000434	Prau.g_00191	Syan.g_03069
OG0000435	Prau.g_00192	Syan.g_03071
OG0000436	Prau.g_00197	Syan.g_03079
OG0000437	Prau.g_00198	Syan.g_03080
OG0000438	Prau.g_00199	Syan.g_03083
OG0000439	Prau.g_00201	Syan.g_03085
OG0000440	Prau.g_00202	Syan.g_03086
OG0000441	Prau.g_00205	Syan.g_03089
OG0000442	Prau.g_00206	Syan.g_03090
OG0000443	Prau.g_00207	Syan.g_03094
OG0000444	Prau.g_00212	Syan.g_03102
OG0000445	Prau.g_00213	Syan.g_03103
OG0000446	Prau.g_00214	Syan.g_03105
OG0000447	Prau.g_00215	Syan.g_03111
OG0000448	Prau.g_00216	Syan.g_03112
OG0000449	Prau.g_00217	Syan.g_03113
OG0000450	Prau.g_00218	Syan.g_01518
OG0000451	Prau.g_00219	Syan.g_01519
OG0000452	Prau.g_00222	Syan.g_01523
OG0000453	Prau.g_00223	Syan.g_01524
OG0000454	Prau.g_00224	Syan.g_01525
OG0000455	Prau.g_00225	Syan.g_01526
OG0000456	Prau.g_00226	Syan.g_01527
OG0000457	Prau.g_00227	Syan.g_01529
OG0000458	Prau.g_00228	Syan.g_01530
OG0000459	Prau.g_00229	Syan.g_01531
OG0000460	Prau.g_00236	Syan.g_02423
OG0000461	Prau.g_00244	Syan.g_02099
OG0000462	Prau.g_00246	Syan.g_02096
OG0000463	Prau.g_00247	Syan.g_02095
OG0000464	Prau.g_00248	Syan.g_02094
OG0000465	Prau.g_00249	Syan.g_02092
OG0000466	Prau.g_00252	Syan.g_02087
OG0000467	Prau.g_00253	Syan.g_02086
OG0000468	Prau.g_00255	Syan.g_02063
OG0000469	Prau.g_00264	Syan.g_02046
OG0000470	Prau.g_00266	Syan.g_02044
OG0000471	Prau.g_00267	Syan.g_02043
OG0000472	Prau.g_00268	Syan.g_02041
OG0000473	Prau.g_00270	Syan.g_02039
OG0000474	Prau.g_00271	Syan.g_02038
OG0000475	Prau.g_00272	Syan.g_02037
OG0000476	Prau.g_00273	Syan.g_02035
OG0000477	Prau.g_00277	Syan.g_02029
OG0000478	Prau.g_00278	Syan.g_02028
OG0000479	Prau.g_00279	Syan.g_02027
OG0000480	Prau.g_00284	Syan.g_02020
OG0000481	Prau.g_00286	Syan.g_00975
OG0000482	Prau.g_00287	Syan.g_02018
OG0000483	Prau.g_00290	Syan.g_02014
OG0000484	Prau.g_00291	Syan.g_02013
OG0000485	Prau.g_00292	Syan.g_02012
OG0000486	Prau.g_00293	Syan.g_02011
OG0000487	Prau.g_00297	Syan.g_02005
OG0000488	Prau.g_00300	Syan.g_02000
OG0000489	Prau.g_00305	Syan.g_01993
OG0000490	Prau.g_00310	Syan.g_01985
OG0000491	Prau.g_00311	Syan.g_01983
OG0000492	Prau.g_00313	Syan.g_01980
OG0000493	Prau.g_00314	Syan.g_01979
OG0000494	Prau.g_00315	Syan.g_01978
OG0000495	Prau.g_00316	Syan.g_01977
OG0000496	Prau.g_00317	Syan.g_01976
OG0000497	Prau.g_00318	Syan.g_01975
OG0000498	Prau.g_00319	Syan.g_01974
OG0000499	Prau.g_00320	Syan.g_01973
OG0000500	Prau.g_00321	Syan.g_01972
OG0000501	Prau.g_00323	Syan.g_01969
OG0000502	Prau.g_00326	Syan.g_01961
OG0000503	Prau.g_00336	Syan.g_02144
OG0000504	Prau.g_00337	Syan.g_02142
OG0000505	Prau.g_00338	Syan.g_02141
OG0000506	Prau.g_00340	Syan.g_02139
OG0000507	Prau.g_00343	Syan.g_02133
OG0000508	Prau.g_00347	Syan.g_02998
OG0000509	Prau.g_00349	Syan.g_02993
OG0000510	Prau.g_00350	Syan.g_02992
OG0000511	Prau.g_00351	Syan.g_02991
OG0000512	Prau.g_00353	Syan.g_02989
OG0000513	Prau.g_00360	Syan.g_02320
OG0000514	Prau.g_00472	Syan.g_02326
OG0000515	Prau.g_00473	Syan.g_02327
OG0000516	Prau.g_00474	Syan.g_02389
OG0000517	Prau.g_00476	Syan.g_02395
OG0000518	Prau.g_00487	Syan.g_01336
OG0000519	Prau.g_00488	Syan.g_01335
OG0000520	Prau.g_00489	Syan.g_01334
OG0000521	Prau.g_00494	Syan.g_02805
OG0000522	Prau.g_00496	Syan.g_02803
OG0000523	Prau.g_00497	Syan.g_02802
OG0000524	Prau.g_00503	Syan.g_02878
OG0000525	Prau.g_00506	Syan.g_02853
OG0000526	Prau.g_00507	Syan.g_02852
OG0000527	Prau.g_00514	Syan.g_02848
OG0000528	Prau.g_00519	Syan.g_02767
OG0000529	Prau.g_00522	Syan.g_02763
OG0000530	Prau.g_00525	Syan.g_02760
OG0000531	Prau.g_00526	Syan.g_02759
OG0000532	Prau.g_00528	Syan.g_02756
OG0000533	Prau.g_00529	Syan.g_02754
OG0000534	Prau.g_00530	Syan.g_02753
OG0000535	Prau.g_00531	Syan.g_02752
OG0000536	Prau.g_00532	Syan.g_02751
OG0000537	Prau.g_00533	Syan.g_02750
OG0000538	Prau.g_00541	Syan.g_02738
OG0000539	Prau.g_00542	Syan.g_02737
OG0000540	Prau.g_00543	Syan.g_02736
OG0000541	Prau.g_00544	Syan.g_02735
OG0000542	Prau.g_00546	Syan.g_02732
OG0000543	Prau.g_00548	Syan.g_02730
OG0000544	Prau.g_00549	Syan.g_02729
OG0000545	Prau.g_00551	Syan.g_02727
OG0000546	Prau.g_00554	Syan.g_02725
OG0000547	Prau.g_00556	Syan.g_02723
OG0000548	Prau.g_00557	Syan.g_02722
OG0000549	Prau.g_00559	Syan.g_01194
OG0000550	Prau.g_00564	Syan.g_01189
OG0000551	Prau.g_00567	Syan.g_01184
OG0000552	Prau.g_00568	Syan.g_01183
OG0000553	Prau.g_00569	Syan.g_01179
OG0000554	Prau.g_00574	Syan.g_01165
OG0000555	Prau.g_00582	Syan.g_00839
OG0000556	Prau.g_00584	Syan.g_00842
OG0000557	Prau.g_00585	Syan.g_00847
OG0000558	Prau.g_00587	Syan.g_00849
OG0000559	Prau.g_00591	Syan.g_00853
OG0000560	Prau.g_00594	Syan.g_00856
OG0000561	Prau.g_00595	Syan.g_00857
OG0000562	Prau.g_00596	Syan.g_00858
OG0000563	Prau.g_00597	Syan.g_00859
OG0000564	Prau.g_00598	Syan.g_00860
OG0000565	Prau.g_00601	Syan.g_00864
OG0000566	Prau.g_00603	Syan.g_00868
OG0000567	Prau.g_00607	Syan.g_00872
OG0000568	Prau.g_00608	Syan.g_00874
OG0000569	Prau.g_00609	Syan.g_00875
OG0000570	Prau.g_00610	Syan.g_00876
OG0000571	Prau.g_00612	Syan.g_00879
OG0000572	Prau.g_00625	Syan.g_00954
OG0000573	Prau.g_00630	Syan.g_00963
OG0000574	Prau.g_00631	Syan.g_00965
OG0000575	Prau.g_00635	Syan.g_01003
OG0000576	Prau.g_00637	Syan.g_01007
OG0000577	Prau.g_00638	Syan.g_01008
OG0000578	Prau.g_00639	Syan.g_01009
OG0000579	Prau.g_00640	Syan.g_01010
OG0000580	Prau.g_00641	Syan.g_01011
OG0000581	Prau.g_00643	Syan.g_01018
OG0000582	Prau.g_00646	Syan.g_01030
OG0000583	Prau.g_00647	Syan.g_01029
OG0000584	Prau.g_00648	Syan.g_01028
OG0000585	Prau.g_00650	Syan.g_01024
OG0000586	Prau.g_00651	Syan.g_01022
OG0000587	Prau.g_00652	Syan.g_01020
OG0000588	Prau.g_00656	Syan.g_00215
OG0000589	Prau.g_00661	Syan.g_00016
OG0000590	Prau.g_00662	Syan.g_00015
OG0000591	Prau.g_00665	Syan.g_00003
OG0000592	Prau.g_00666	Syan.g_00002
OG0000593	Prau.g_00672	Syan.g_00820
OG0000594	Prau.g_00673	Syan.g_00819
