Orthogroup	Prau	Syap
OG0000154	Prau.g_01063	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prau.g_01226	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prau.g_01359	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prau.g_01360	Syap.g_00249, Syap.g_00286
OG0000158	Prau.g_01436	Syap.g_01075
OG0000159	Prau.g_01433, Prau.g_01457	Syap.g_00852
OG0000160	Prau.g_01532	Syap.g_02470, Syap.g_02469
OG0000161	Prau.g_01538	Syap.g_02476
OG0000162	Prau.g_01544	Syap.g_02531
OG0000164	Prau.g_01756	Syap.g_01391, Syap.g_01392
OG0000165	Prau.g_01763	Syap.g_01381, Syap.g_01382
OG0000166	Prau.g_01833	Syap.g_00512, Syap.g_01238
OG0000167	Prau.g_01899	Syap.g_02080
OG0000168	Prau.g_01909	Syap.g_01076
OG0000169	Prau.g_01919	Syap.g_01049, Syap.g_01093
OG0000170	Prau.g_01921	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prau.g_01940	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prau.g_01949	Syap.g_01143, Syap.g_00635
OG0000173	Prau.g_01964	Syap.g_00982, Syap.g_00983
OG0000174	Prau.g_01991	Syap.g_02092
OG0000175	Prau.g_02001	Syap.g_02654
OG0000176	Prau.g_00004	Syap.g_00059
OG0000177	Prau.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Prau.g_00006	Syap.g_00062
OG0000179	Prau.g_00016	Syap.g_00077, Syap.g_02638
OG0000180	Prau.g_00017	Syap.g_00078, Syap.g_02640
OG0000181	Prau.g_00018	Syap.g_00079, Syap.g_02641
OG0000182	Prau.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Prau.g_00023	Syap.g_00084
OG0000184	Prau.g_00054	Syap.g_01337
OG0000185	Prau.g_00057	Syap.g_01322
OG0000186	Prau.g_00066	Syap.g_01684
OG0000187	Prau.g_00067	Syap.g_01686
OG0000188	Prau.g_00083	Syap.g_02547
OG0000191	Prau.g_00118	Syap.g_02233
OG0000192	Prau.g_00122	Syap.g_02224
OG0000193	Prau.g_00147	Syap.g_02187, Syap.g_02188
OG0000194	Prau.g_00150	Syap.g_02183
OG0000195	Prau.g_00152	Syap.g_02180
OG0000196	Prau.g_00162	Syap.g_01208, Syap.g_02167
OG0000197	Prau.g_00163	Syap.g_01207, Syap.g_02166
OG0000198	Prau.g_00164	Syap.g_01206
OG0000199	Prau.g_00171	Syap.g_01197
OG0000200	Prau.g_00185	Syap.g_01181
OG0000201	Prau.g_00193	Syap.g_02265
OG0000202	Prau.g_00194	Syap.g_02264
OG0000203	Prau.g_00195	Syap.g_01601
OG0000204	Prau.g_00196	Syap.g_01602
OG0000205	Prau.g_00203	Syap.g_01616
OG0000206	Prau.g_00208	Syap.g_01628
OG0000207	Prau.g_00210	Syap.g_01426, Syap.g_00424
OG0000208	Prau.g_00211	Syap.g_00426, Syap.g_01425
OG0000209	Prau.g_00220	Syap.g_01906
OG0000210	Prau.g_00221	Syap.g_01905
OG0000211	Prau.g_00234	Syap.g_01160
OG0000212	Prau.g_00241	Syap.g_02664
OG0000213	Prau.g_00259	Syap.g_00107, Syap.g_01599
OG0000214	Prau.g_00269	Syap.g_02344, Syap.g_02345
OG0000215	Prau.g_00294	Syap.g_01347, Syap.g_01629
OG0000216	Prau.g_00296	Syap.g_01634
OG0000217	Prau.g_00299	Syap.g_01638
OG0000218	Prau.g_00301	Syap.g_01641, Syap.g_01640
OG0000219	Prau.g_00302	Syap.g_01642, Syap.g_01643
OG0000220	Prau.g_00303	Syap.g_01645
OG0000221	Prau.g_00304	Syap.g_01646
OG0000222	Prau.g_00312	Syap.g_01669
OG0000223	Prau.g_00325	Syap.g_02072, Syap.g_02073
OG0000224	Prau.g_00327	Syap.g_02064
OG0000225	Prau.g_00348	Syap.g_00553, Syap.g_00552
OG0000226	Prau.g_00352	Syap.g_02029, Syap.g_02144
OG0000227	Prau.g_00354	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prau.g_00357	Syap.g_00116, Syap.g_02041
OG0000229	Prau.g_00477	Syap.g_02059
OG0000230	Prau.g_00479	Syap.g_02061
OG0000231	Prau.g_00490	Syap.g_02533
OG0000232	Prau.g_00499	Syap.g_02510, Syap.g_02511
OG0000233	Prau.g_00505	Syap.g_02133
OG0000234	Prau.g_00517	Syap.g_02755
OG0000235	Prau.g_00520	Syap.g_00732, Syap.g_02258
OG0000236	Prau.g_00534	Syap.g_02238
OG0000237	Prau.g_00547	Syap.g_00262, Syap.g_00263
OG0000238	Prau.g_00553	Syap.g_00257, Syap.g_00258
OG0000239	Prau.g_00565	Syap.g_02744
OG0000240	Prau.g_00566	Syap.g_02742
OG0000241	Prau.g_00570	Syap.g_00888
OG0000242	Prau.g_00572	Syap.g_01455
OG0000243	Prau.g_00583	Syap.g_01938
OG0000244	Prau.g_00586	Syap.g_01146, Syap.g_01145
OG0000245	Prau.g_00588	Syap.g_01148
OG0000246	Prau.g_00592	Syap.g_00308
OG0000247	Prau.g_00602	Syap.g_00288, Syap.g_00293
OG0000248	Prau.g_00604	Syap.g_00290
OG0000249	Prau.g_00606	Syap.g_01296, Syap.g_01295
OG0000250	Prau.g_00611	Syap.g_01306
OG0000251	Prau.g_00629	Syap.g_00442
OG0000252	Prau.g_00632	Syap.g_01857
OG0000253	Prau.g_00633	Syap.g_00443
OG0000254	Prau.g_00649	Syap.g_01527, Syap.g_01528
OG0000256	Prau.g_00667	Syap.g_01287
OG0000257	Prau.g_00670	Syap.g_00886
OG0000258	Prau.g_00683	Syap.g_00907
OG0000260	Prau.g_00703	Syap.g_01970
OG0000261	Prau.g_00705	Syap.g_01962, Syap.g_01961
OG0000262	Prau.g_00709	Syap.g_01954
OG0000263	Prau.g_00721	Syap.g_00432, Syap.g_00433
OG0000266	Prau.g_00765	Syap.g_00519
OG0000267	Prau.g_00776	Syap.g_02333, Syap.g_02332
OG0000268	Prau.g_00777	Syap.g_00646
OG0000269	Prau.g_00849	Syap.g_00188
OG0000270	Prau.g_00852	Syap.g_00192
OG0000271	Prau.g_00860	Syap.g_00200, Syap.g_00201
OG0000272	Prau.g_00861	Syap.g_00202
OG0000273	Prau.g_00884	Syap.g_02703
OG0000274	Prau.g_00885	Syap.g_02702
OG0000275	Prau.g_00887	Syap.g_01847
OG0000276	Prau.g_00892	Syap.g_01838, Syap.g_01839
OG0000277	Prau.g_00893	Syap.g_01837
OG0000278	Prau.g_00896	Syap.g_01834
OG0000279	Prau.g_00904	Syap.g_00829, Syap.g_00830
OG0000280	Prau.g_00905	Syap.g_00365
OG0000281	Prau.g_00910	Syap.g_01977
OG0000282	Prau.g_00958	Syap.g_01252
OG0000283	Prau.g_00992	Syap.g_01728
OG0000284	Prau.g_00997	Syap.g_01736
OG0000285	Prau.g_01002	Syap.g_01746, Syap.g_01744
OG0000286	Prau.g_01014	Syap.g_02014, Syap.g_02013
OG0000288	Prau.g_01062	Syap.g_02764, Syap.g_02763
OG0000289	Prau.g_01073	Syap.g_02784
OG0000290	Prau.g_01086	Syap.g_01552
OG0000292	Prau.g_01136	Syap.g_02314
OG0000293	Prau.g_01198	Syap.g_00240
OG0000294	Prau.g_01199	Syap.g_00239
OG0000295	Prau.g_01218	Syap.g_00206
OG0000296	Prau.g_01220	Syap.g_00204
OG0000299	Prau.g_01246	Syap.g_02620
OG0000302	Prau.g_01252	Syap.g_02444, Syap.g_02445
OG0000303	Prau.g_01259	Syap.g_02435
OG0000304	Prau.g_01263	Syap.g_02430
OG0000305	Prau.g_01401	Syap.g_01557
OG0000306	Prau.g_01404	Syap.g_01966
OG0000307	Prau.g_01418	Syap.g_02517
OG0000308	Prau.g_01419	Syap.g_02514, Syap.g_02515
OG0000309	Prau.g_01423	Syap.g_02198, Syap.g_02446
OG0000310	Prau.g_01513	Syap.g_02660, Syap.g_02661
OG0000311	Prau.g_01515	Syap.g_02657
OG0000312	Prau.g_01518	Syap.g_02114
OG0000313	Prau.g_01535	Syap.g_02473
OG0000315	Prau.g_01568	Syap.g_00017
OG0000316	Prau.g_01588	Syap.g_00030
OG0000317	Prau.g_01730	Syap.g_00618
OG0000318	Prau.g_01733	Syap.g_00622, Syap.g_02786
OG0000319	Prau.g_01746	Syap.g_01764, Syap.g_01771
OG0000320	Prau.g_01748	Syap.g_01761, Syap.g_01769
OG0000321	Prau.g_01749	Syap.g_01760, Syap.g_01768
OG0000322	Prau.g_01750	Syap.g_01759, Syap.g_01767
OG0000323	Prau.g_01759	Syap.g_01389
OG0000324	Prau.g_01785	Syap.g_01503
OG0000325	Prau.g_01795	Syap.g_02680
OG0000326	Prau.g_01801	Syap.g_00544
OG0000327	Prau.g_01828	Syap.g_01233, Syap.g_01913
OG0000328	Prau.g_01829	Syap.g_01234, Syap.g_01912
OG0000329	Prau.g_01846	Syap.g_00498
OG0000330	Prau.g_01847	Syap.g_00497
OG0000331	Prau.g_01848	Syap.g_00496
OG0000332	Prau.g_01862	Syap.g_00481
OG0000333	Prau.g_01864	Syap.g_00478
OG0000334	Prau.g_01872	Syap.g_00468
OG0000335	Prau.g_01877	Syap.g_00101, Syap.g_00463
OG0000336	Prau.g_01881	Syap.g_00417, Syap.g_00607
OG0000337	Prau.g_01897	Syap.g_01054
OG0000338	Prau.g_01898	Syap.g_01059
OG0000339	Prau.g_01902	Syap.g_01068
OG0000340	Prau.g_01910	Syap.g_01077
OG0000341	Prau.g_01912	Syap.g_01079
OG0000342	Prau.g_01913	Syap.g_01080, Syap.g_02477
OG0000343	Prau.g_01914	Syap.g_01086, Syap.g_02078
OG0000344	Prau.g_01917	Syap.g_01091
OG0000345	Prau.g_01922	Syap.g_01107, Syap.g_01470
OG0000346	Prau.g_01926	Syap.g_01113
OG0000347	Prau.g_01942	Syap.g_01131, Syap.g_02459
OG0000348	Prau.g_01952	Syap.g_00632
OG0000349	Prau.g_01969	Syap.g_00110, Syap.g_01813
OG0000351	Prau.g_02004	Syap.g_02594
OG0000352	Prau.g_02005	Syap.g_02596, Syap.g_02597
OG0000353	Prau.g_02021	Syap.g_00054
OG0000355	Prau.g_00001	Syap.g_00056
OG0000356	Prau.g_00002	Syap.g_00057
OG0000357	Prau.g_00003	Syap.g_00058
OG0000358	Prau.g_00007	Syap.g_00063
OG0000359	Prau.g_00008	Syap.g_00065
OG0000360	Prau.g_00009	Syap.g_00067
OG0000361	Prau.g_00010	Syap.g_00068
OG0000362	Prau.g_00012	Syap.g_00070
OG0000363	Prau.g_00014	Syap.g_00072
OG0000364	Prau.g_00015	Syap.g_00620
OG0000365	Prau.g_00020	Syap.g_00081
OG0000366	Prau.g_00021	Syap.g_00082
OG0000367	Prau.g_00022	Syap.g_00083
OG0000368	Prau.g_00024	Syap.g_00085
OG0000369	Prau.g_00025	Syap.g_00086
OG0000370	Prau.g_00026	Syap.g_00087
OG0000372	Prau.g_00034	Syap.g_01805
OG0000373	Prau.g_00035	Syap.g_01806
OG0000374	Prau.g_00036	Syap.g_01807
OG0000375	Prau.g_00047	Syap.g_01808
OG0000376	Prau.g_00049	Syap.g_01811
OG0000377	Prau.g_00053	Syap.g_00128
OG0000378	Prau.g_00055	Syap.g_01326
OG0000380	Prau.g_00068	Syap.g_01687
OG0000381	Prau.g_00072	Syap.g_01690
OG0000382	Prau.g_00082	Syap.g_02548
OG0000383	Prau.g_00084	Syap.g_02359
OG0000384	Prau.g_00085	Syap.g_02360
OG0000385	Prau.g_00086	Syap.g_02361
OG0000386	Prau.g_00087	Syap.g_02362
OG0000387	Prau.g_00100	Syap.g_01864
OG0000391	Prau.g_00117	Syap.g_02234
OG0000392	Prau.g_00121	Syap.g_02225
OG0000393	Prau.g_00123	Syap.g_02222
OG0000394	Prau.g_00124	Syap.g_02221
OG0000395	Prau.g_00125	Syap.g_02220
OG0000396	Prau.g_00128	Syap.g_02217
OG0000397	Prau.g_00130	Syap.g_02215
OG0000398	Prau.g_00132	Syap.g_02211
OG0000399	Prau.g_00133	Syap.g_02210
OG0000400	Prau.g_00134	Syap.g_02209
OG0000401	Prau.g_00135	Syap.g_02208
OG0000402	Prau.g_00137	Syap.g_02206
OG0000403	Prau.g_00138	Syap.g_02205
OG0000404	Prau.g_00139	Syap.g_02204, Syap.g_02618
OG0000405	Prau.g_00143	Syap.g_02191
OG0000406	Prau.g_00148	Syap.g_02186
OG0000407	Prau.g_00149	Syap.g_02185
OG0000408	Prau.g_00151	Syap.g_02181, Syap.g_02182
OG0000409	Prau.g_00153	Syap.g_02179
OG0000410	Prau.g_00154	Syap.g_02178
OG0000411	Prau.g_00155	Syap.g_02177
OG0000412	Prau.g_00156	Syap.g_02176
OG0000413	Prau.g_00157	Syap.g_02174
OG0000414	Prau.g_00158	Syap.g_02173
OG0000415	Prau.g_00159	Syap.g_02172
OG0000416	Prau.g_00160	Syap.g_02171
OG0000417	Prau.g_00161	Syap.g_02169
OG0000418	Prau.g_00166	Syap.g_01204
OG0000419	Prau.g_00168	Syap.g_01201
OG0000420	Prau.g_00169	Syap.g_01199
OG0000421	Prau.g_00174	Syap.g_01195
OG0000422	Prau.g_00175	Syap.g_01194
OG0000423	Prau.g_00176	Syap.g_01193
OG0000424	Prau.g_00177	Syap.g_01192
OG0000425	Prau.g_00178	Syap.g_01191
OG0000426	Prau.g_00179	Syap.g_01190
OG0000427	Prau.g_00180	Syap.g_01189
OG0000428	Prau.g_00182	Syap.g_01186
OG0000429	Prau.g_00183	Syap.g_01184
OG0000430	Prau.g_00184	Syap.g_01182
OG0000431	Prau.g_00186	Syap.g_01179
OG0000432	Prau.g_00189	Syap.g_02277
OG0000433	Prau.g_00190	Syap.g_02272
OG0000434	Prau.g_00191	Syap.g_02271
OG0000435	Prau.g_00192	Syap.g_02268
OG0000436	Prau.g_00197	Syap.g_01607
OG0000437	Prau.g_00198	Syap.g_01608
OG0000438	Prau.g_00199	Syap.g_01612
OG0000439	Prau.g_00201	Syap.g_01614
OG0000440	Prau.g_00202	Syap.g_01615
OG0000441	Prau.g_00205	Syap.g_01619
OG0000442	Prau.g_00206	Syap.g_01620
OG0000443	Prau.g_00207	Syap.g_01622
OG0000444	Prau.g_00212	Syap.g_01424
OG0000445	Prau.g_00213	Syap.g_01421
OG0000446	Prau.g_00214	Syap.g_01419
OG0000447	Prau.g_00215	Syap.g_01410
OG0000448	Prau.g_00216	Syap.g_01407
OG0000449	Prau.g_00217	Syap.g_01406
OG0000450	Prau.g_00218	Syap.g_01909
OG0000451	Prau.g_00219	Syap.g_01908
OG0000452	Prau.g_00222	Syap.g_01904
OG0000453	Prau.g_00223	Syap.g_01903
OG0000454	Prau.g_00224	Syap.g_01902
OG0000455	Prau.g_00225	Syap.g_01901
OG0000456	Prau.g_00226	Syap.g_01900
OG0000457	Prau.g_00227	Syap.g_01896
OG0000458	Prau.g_00228	Syap.g_01895
OG0000459	Prau.g_00229	Syap.g_01894
OG0000460	Prau.g_00236	Syap.g_01159
OG0000461	Prau.g_00244	Syap.g_01575
OG0000462	Prau.g_00246	Syap.g_01578
OG0000463	Prau.g_00247	Syap.g_01579
OG0000464	Prau.g_00248	Syap.g_01580
OG0000465	Prau.g_00249	Syap.g_01582
OG0000466	Prau.g_00252	Syap.g_01587
OG0000467	Prau.g_00253	Syap.g_01588
OG0000468	Prau.g_00255	Syap.g_01593
OG0000469	Prau.g_00264	Syap.g_02352
OG0000470	Prau.g_00266	Syap.g_02349
OG0000471	Prau.g_00267	Syap.g_02348
OG0000472	Prau.g_00268	Syap.g_02347
OG0000473	Prau.g_00270	Syap.g_02343
OG0000474	Prau.g_00271	Syap.g_02342
OG0000475	Prau.g_00272	Syap.g_02341
OG0000476	Prau.g_00273	Syap.g_02339
OG0000477	Prau.g_00277	Syap.g_01367
OG0000478	Prau.g_00278	Syap.g_01366
OG0000479	Prau.g_00279	Syap.g_01364
OG0000480	Prau.g_00284	Syap.g_01357
OG0000482	Prau.g_00287	Syap.g_01355
OG0000483	Prau.g_00290	Syap.g_01344
OG0000484	Prau.g_00291	Syap.g_01350
OG0000485	Prau.g_00292	Syap.g_01349
OG0000487	Prau.g_00297	Syap.g_01635
OG0000488	Prau.g_00300	Syap.g_01639
OG0000489	Prau.g_00305	Syap.g_02482
OG0000490	Prau.g_00310	Syap.g_01673
OG0000491	Prau.g_00311	Syap.g_01670
OG0000492	Prau.g_00313	Syap.g_01668
OG0000493	Prau.g_00314	Syap.g_01667
OG0000494	Prau.g_00315	Syap.g_01666
OG0000495	Prau.g_00316	Syap.g_01665
OG0000496	Prau.g_00317	Syap.g_01663
OG0000497	Prau.g_00318	Syap.g_01662
OG0000498	Prau.g_00319	Syap.g_01661
OG0000499	Prau.g_00320	Syap.g_01660
OG0000500	Prau.g_00321	Syap.g_01659
OG0000501	Prau.g_00323	Syap.g_01656
OG0000502	Prau.g_00326	Syap.g_02066
OG0000503	Prau.g_00336	Syap.g_00569
OG0000504	Prau.g_00337	Syap.g_00567
OG0000505	Prau.g_00338	Syap.g_00566
OG0000506	Prau.g_00340	Syap.g_00564
OG0000507	Prau.g_00343	Syap.g_00558
OG0000508	Prau.g_00347	Syap.g_00554
OG0000509	Prau.g_00349	Syap.g_00551
OG0000510	Prau.g_00350	Syap.g_00550
OG0000511	Prau.g_00351	Syap.g_00548
OG0000512	Prau.g_00353	Syap.g_02145
OG0000513	Prau.g_00360	Syap.g_02048
OG0000514	Prau.g_00472	Syap.g_02051
OG0000515	Prau.g_00473	Syap.g_02052
OG0000516	Prau.g_00474	Syap.g_02054
OG0000517	Prau.g_00476	Syap.g_02057
OG0000519	Prau.g_00488	Syap.g_00457
OG0000520	Prau.g_00489	Syap.g_00456
OG0000521	Prau.g_00494	Syap.g_01997
OG0000522	Prau.g_00496	Syap.g_01995
OG0000523	Prau.g_00497	Syap.g_02507
OG0000524	Prau.g_00503	Syap.g_02135
OG0000525	Prau.g_00506	Syap.g_02159
OG0000526	Prau.g_00507	Syap.g_02157
OG0000527	Prau.g_00514	Syap.g_02758
OG0000528	Prau.g_00519	Syap.g_02261
OG0000529	Prau.g_00522	Syap.g_02254
OG0000530	Prau.g_00525	Syap.g_02252
OG0000531	Prau.g_00526	Syap.g_02251
OG0000532	Prau.g_00528	Syap.g_02247
OG0000533	Prau.g_00529	Syap.g_02244
OG0000534	Prau.g_00530	Syap.g_02243
OG0000535	Prau.g_00531	Syap.g_02242
OG0000536	Prau.g_00532	Syap.g_02241
OG0000537	Prau.g_00533	Syap.g_02240
OG0000538	Prau.g_00541	Syap.g_00271
OG0000539	Prau.g_00542	Syap.g_00270
OG0000540	Prau.g_00543	Syap.g_00269
OG0000541	Prau.g_00544	Syap.g_00268
OG0000542	Prau.g_00546	Syap.g_00264
OG0000543	Prau.g_00548	Syap.g_00261
OG0000544	Prau.g_00549	Syap.g_00260
OG0000545	Prau.g_00551	Syap.g_00259
OG0000546	Prau.g_00554	Syap.g_00256
OG0000547	Prau.g_00556	Syap.g_00254
OG0000548	Prau.g_00557	Syap.g_00253
OG0000549	Prau.g_00559	Syap.g_00758
OG0000550	Prau.g_00564	Syap.g_02747
OG0000551	Prau.g_00567	Syap.g_02739
OG0000552	Prau.g_00568	Syap.g_02738
OG0000553	Prau.g_00569	Syap.g_02735
OG0000554	Prau.g_00574	Syap.g_01450
OG0000555	Prau.g_00582	Syap.g_01941
OG0000556	Prau.g_00584	Syap.g_01933
OG0000557	Prau.g_00585	Syap.g_01931
OG0000558	Prau.g_00587	Syap.g_01147
OG0000560	Prau.g_00594	Syap.g_00305
OG0000561	Prau.g_00595	Syap.g_00304
OG0000562	Prau.g_00596	Syap.g_00302
OG0000563	Prau.g_00597	Syap.g_00301
OG0000564	Prau.g_00598	Syap.g_00300
OG0000565	Prau.g_00601	Syap.g_00296
OG0000566	Prau.g_00603	Syap.g_00291
OG0000567	Prau.g_00607	Syap.g_01297
OG0000568	Prau.g_00608	Syap.g_01302
OG0000569	Prau.g_00609	Syap.g_01303
OG0000570	Prau.g_00610	Syap.g_01304
OG0000571	Prau.g_00612	Syap.g_01307
OG0000573	Prau.g_00630	Syap.g_00765
OG0000574	Prau.g_00631	Syap.g_00759
OG0000575	Prau.g_00635	Syap.g_00445
OG0000576	Prau.g_00637	Syap.g_00450
OG0000577	Prau.g_00638	Syap.g_00451
OG0000578	Prau.g_00639	Syap.g_00452
OG0000579	Prau.g_00640	Syap.g_00453
OG0000580	Prau.g_00641	Syap.g_00454
OG0000581	Prau.g_00643	Syap.g_01521
OG0000582	Prau.g_00646	Syap.g_01533
OG0000583	Prau.g_00647	Syap.g_01532
OG0000584	Prau.g_00648	Syap.g_01530
OG0000585	Prau.g_00650	Syap.g_01526
OG0000586	Prau.g_00651	Syap.g_01525
OG0000587	Prau.g_00652	Syap.g_01523
OG0000588	Prau.g_00656	Syap.g_00776
OG0000589	Prau.g_00661	Syap.g_00941
OG0000590	Prau.g_00662	Syap.g_00940
OG0000591	Prau.g_00665	Syap.g_01289
OG0000592	Prau.g_00666	Syap.g_01288
OG0000593	Prau.g_00672	Syap.g_00890
OG0000594	Prau.g_00673	Syap.g_00891
OG0000595	Prau.g_00674	Syap.g_00892
OG0000596	Prau.g_00678	Syap.g_00898
OG0000597	Prau.g_00680	Syap.g_00903
OG0000598	Prau.g_00681	Syap.g_00904
OG0000599	Prau.g_00684	Syap.g_00908
