Orthogroup	Prau	Syaa
OG0000068	Prau.g_01409	Syaa.g_02059
OG0000069	Prau.g_01285, Prau.g_01642	Syaa.g_01256
OG0000070	Prau.g_00491	Syaa.g_00718
OG0000071	Prau.g_01371	Syaa.g_00735
OG0000072	Prau.g_00172	Syaa.g_02480
OG0000073	Prau.g_00540	Syaa.g_02030
OG0000074	Prau.g_00722	Syaa.g_00372
OG0000075	Prau.g_01901	Syaa.g_00157
OG0000076	Prau.g_00037, Prau.g_01925	Syaa.g_00123
OG0000077	Prau.g_00079	Syaa.g_00341
OG0000078	Prau.g_00240	Syaa.g_02103
OG0000079	Prau.g_00254	Syaa.g_00303
OG0000081	Prau.g_00571	Syaa.g_02089
OG0000082	Prau.g_00624	Syaa.g_01905
OG0000084	Prau.g_01524	Syaa.g_01770
OG0000085	Prau.g_01725	Syaa.g_00564
OG0000086	Prau.g_00089	Syaa.g_00324
OG0000087	Prau.g_00140	Syaa.g_02433
OG0000088	Prau.g_00167	Syaa.g_02474
OG0000089	Prau.g_00358	Syaa.g_02149
OG0000090	Prau.g_00573	Syaa.g_01980
OG0000091	Prau.g_00682	Syaa.g_01625
OG0000094	Prau.g_01070	Syaa.g_01288
OG0000097	Prau.g_01247	Syaa.g_00979
OG0000099	Prau.g_01434, Prau.g_01435	Syaa.g_00202
OG0000100	Prau.g_01605	Syaa.g_01201
OG0000101	Prau.g_01869	Syaa.g_02249
OG0000102	Prau.g_01930	Syaa.g_00118
OG0000103	Prau.g_02009	Syaa.g_02740
OG0000104	Prau.g_02018	Syaa.g_02754
OG0000105	Prau.g_00276	Syaa.g_00270
OG0000106	Prau.g_00373	Syaa.g_01439
OG0000107	Prau.g_00389	Syaa.g_02351
OG0000108	Prau.g_00521	Syaa.g_02051
OG0000109	Prau.g_00535	Syaa.g_02036
OG0000110	Prau.g_00614	Syaa.g_01918
OG0000111	Prau.g_00739	Syaa.g_00888
OG0000112	Prau.g_00818	Syaa.g_01366
OG0000113	Prau.g_00876	Syaa.g_01196
OG0000114	Prau.g_00956	Syaa.g_01094
OG0000115	Prau.g_01148	Syaa.g_01795
OG0000116	Prau.g_01197	Syaa.g_00757
OG0000117	Prau.g_01318	Syaa.g_01009
OG0000118	Prau.g_01383	Syaa.g_01874
OG0000119	Prau.g_01405	Syaa.g_00785
OG0000120	Prau.g_01430	Syaa.g_00201
OG0000121	Prau.g_01533	Syaa.g_01777
OG0000122	Prau.g_01571	Syaa.g_01598
OG0000123	Prau.g_01876	Syaa.g_02242
OG0000124	Prau.g_01941	Syaa.g_00092
OG0000125	Prau.g_01978	Syaa.g_02598
OG0000126	Prau.g_02017	Syaa.g_02752
OG0000127	Prau.g_01292	Syaa.g_00377, Syaa.g_00390
OG0000128	Prau.g_00011	Syaa.g_00012
OG0000129	Prau.g_00051	Syaa.g_02586
OG0000130	Prau.g_00071	Syaa.g_00354
OG0000131	Prau.g_00146	Syaa.g_02448
OG0000132	Prau.g_00165	Syaa.g_02472
OG0000133	Prau.g_00324	Syaa.g_01361
OG0000134	Prau.g_00359	Syaa.g_02146
OG0000135	Prau.g_00386	Syaa.g_02649
OG0000136	Prau.g_00482	Syaa.g_00708
OG0000137	Prau.g_00516	Syaa.g_01842
OG0000138	Prau.g_00536	Syaa.g_02035
OG0000139	Prau.g_00577	Syaa.g_01974
OG0000140	Prau.g_00578	Syaa.g_01971
OG0000141	Prau.g_00645	Syaa.g_01689
OG0000142	Prau.g_00675	Syaa.g_01633
OG0000143	Prau.g_00679	Syaa.g_01629
OG0000144	Prau.g_00692	Syaa.g_01446
OG0000145	Prau.g_00816	Syaa.g_02029
OG0000146	Prau.g_00819	Syaa.g_01367
OG0000147	Prau.g_00820	Syaa.g_01368
OG0000148	Prau.g_00870	Syaa.g_01190
OG0000149	Prau.g_00900	Syaa.g_00826
OG0000150	Prau.g_00909	Syaa.g_01688
OG0000151	Prau.g_00966	Syaa.g_01107
OG0000152	Prau.g_01015	Syaa.g_01357
OG0000153	Prau.g_01034	Syaa.g_01324
OG0000154	Prau.g_01063	Syaa.g_01298
OG0000155	Prau.g_01226	Syaa.g_00804
OG0000156	Prau.g_01359	Syaa.g_00751
OG0000157	Prau.g_01360	Syaa.g_00750
OG0000158	Prau.g_01436	Syaa.g_00148
OG0000160	Prau.g_01532	Syaa.g_01776
OG0000161	Prau.g_01538	Syaa.g_01782
OG0000162	Prau.g_01544	Syaa.g_01788
OG0000163	Prau.g_01578	Syaa.g_00624
OG0000164	Prau.g_01756	Syaa.g_00507
OG0000165	Prau.g_01763	Syaa.g_00681
OG0000166	Prau.g_01833	Syaa.g_02289
OG0000167	Prau.g_01899	Syaa.g_00160
OG0000168	Prau.g_01909	Syaa.g_00145
OG0000169	Prau.g_01919	Syaa.g_00134
OG0000170	Prau.g_01921	Syaa.g_00128
OG0000171	Prau.g_01940	Syaa.g_00093
OG0000172	Prau.g_01949	Syaa.g_00079
OG0000173	Prau.g_01964	Syaa.g_00060
OG0000174	Prau.g_01991	Syaa.g_02651
OG0000175	Prau.g_02001	Syaa.g_02726
OG0000176	Prau.g_00004	Syaa.g_00004
OG0000177	Prau.g_00005	Syaa.g_00005
OG0000178	Prau.g_00006	Syaa.g_00006
OG0000179	Prau.g_00016	Syaa.g_00023
OG0000180	Prau.g_00017	Syaa.g_00024
OG0000181	Prau.g_00018	Syaa.g_00025
OG0000182	Prau.g_00019	Syaa.g_00026
OG0000183	Prau.g_00023	Syaa.g_00030
OG0000184	Prau.g_00054	Syaa.g_02578
OG0000185	Prau.g_00057	Syaa.g_02575
OG0000186	Prau.g_00066	Syaa.g_00359
OG0000187	Prau.g_00067	Syaa.g_00358
OG0000188	Prau.g_00083	Syaa.g_00334
OG0000189	Prau.g_00097	Syaa.g_02367
OG0000190	Prau.g_00098	Syaa.g_02369
OG0000191	Prau.g_00118	Syaa.g_02404
OG0000192	Prau.g_00122	Syaa.g_02410
OG0000193	Prau.g_00147	Syaa.g_02449
OG0000194	Prau.g_00150	Syaa.g_02452
OG0000195	Prau.g_00152	Syaa.g_02459
OG0000196	Prau.g_00162	Syaa.g_02469
OG0000197	Prau.g_00163	Syaa.g_02470
OG0000198	Prau.g_00164	Syaa.g_02471
OG0000199	Prau.g_00171	Syaa.g_02479
OG0000200	Prau.g_00185	Syaa.g_02496
OG0000201	Prau.g_00193	Syaa.g_02521
OG0000202	Prau.g_00194	Syaa.g_02522
OG0000203	Prau.g_00195	Syaa.g_02523
OG0000204	Prau.g_00196	Syaa.g_02524
OG0000205	Prau.g_00203	Syaa.g_02531
OG0000206	Prau.g_00208	Syaa.g_02538
OG0000207	Prau.g_00210	Syaa.g_02540
OG0000208	Prau.g_00211	Syaa.g_02541
OG0000209	Prau.g_00220	Syaa.g_02556
OG0000210	Prau.g_00221	Syaa.g_02557
OG0000212	Prau.g_00241	Syaa.g_02102
OG0000213	Prau.g_00259	Syaa.g_00295
OG0000214	Prau.g_00269	Syaa.g_00279
OG0000215	Prau.g_00294	Syaa.g_00248
OG0000216	Prau.g_00296	Syaa.g_00244
OG0000217	Prau.g_00299	Syaa.g_00240
OG0000218	Prau.g_00301	Syaa.g_00238
OG0000219	Prau.g_00302	Syaa.g_00237
OG0000220	Prau.g_00303	Syaa.g_00236
OG0000221	Prau.g_00304	Syaa.g_00229
OG0000222	Prau.g_00312	Syaa.g_00215
OG0000223	Prau.g_00325	Syaa.g_00192
OG0000224	Prau.g_00327	Syaa.g_00183
OG0000225	Prau.g_00348	Syaa.g_02166
OG0000226	Prau.g_00352	Syaa.g_02162
OG0000227	Prau.g_00354	Syaa.g_02160
OG0000228	Prau.g_00357	Syaa.g_02150
OG0000229	Prau.g_00477	Syaa.g_00703
OG0000230	Prau.g_00479	Syaa.g_00705
OG0000231	Prau.g_00490	Syaa.g_00717
OG0000232	Prau.g_00499	Syaa.g_01858
OG0000233	Prau.g_00505	Syaa.g_01853
OG0000234	Prau.g_00517	Syaa.g_01841
OG0000235	Prau.g_00520	Syaa.g_02052
OG0000236	Prau.g_00534	Syaa.g_02037
OG0000237	Prau.g_00547	Syaa.g_02020
OG0000238	Prau.g_00553	Syaa.g_02015
OG0000239	Prau.g_00565	Syaa.g_01996
OG0000240	Prau.g_00566	Syaa.g_01995
OG0000241	Prau.g_00570	Syaa.g_01644
OG0000242	Prau.g_00572	Syaa.g_01982
OG0000243	Prau.g_00583	Syaa.g_01960
OG0000244	Prau.g_00586	Syaa.g_01954
OG0000245	Prau.g_00588	Syaa.g_01952
OG0000246	Prau.g_00592	Syaa.g_01948
OG0000247	Prau.g_00602	Syaa.g_01937
OG0000248	Prau.g_00604	Syaa.g_01934
OG0000249	Prau.g_00606	Syaa.g_01932
OG0000250	Prau.g_00611	Syaa.g_01922
OG0000251	Prau.g_00629	Syaa.g_01897
OG0000252	Prau.g_00632	Syaa.g_01894
OG0000253	Prau.g_00633	Syaa.g_01893
OG0000254	Prau.g_00649	Syaa.g_01684
OG0000255	Prau.g_00655	Syaa.g_01668
OG0000256	Prau.g_00667	Syaa.g_01651
OG0000257	Prau.g_00670	Syaa.g_01645
OG0000258	Prau.g_00683	Syaa.g_01624
OG0000259	Prau.g_00700	Syaa.g_01063
OG0000260	Prau.g_00703	Syaa.g_01066
OG0000261	Prau.g_00705	Syaa.g_01069
OG0000262	Prau.g_00709	Syaa.g_01074
OG0000263	Prau.g_00721	Syaa.g_00989
OG0000264	Prau.g_00731	Syaa.g_00910
OG0000265	Prau.g_00755	Syaa.g_00931, Syaa.g_01498
OG0000266	Prau.g_00765	Syaa.g_01257, Syaa.g_01258
OG0000267	Prau.g_00776	Syaa.g_01409
OG0000268	Prau.g_00777	Syaa.g_01408
OG0000269	Prau.g_00849	Syaa.g_01149
OG0000270	Prau.g_00852	Syaa.g_01152
OG0000271	Prau.g_00860	Syaa.g_01160
OG0000272	Prau.g_00861	Syaa.g_01161
OG0000273	Prau.g_00884	Syaa.g_00844
OG0000274	Prau.g_00885	Syaa.g_00843
OG0000275	Prau.g_00887	Syaa.g_00840
OG0000276	Prau.g_00892	Syaa.g_00834
OG0000277	Prau.g_00893	Syaa.g_00833
OG0000278	Prau.g_00896	Syaa.g_00830
OG0000279	Prau.g_00904	Syaa.g_00822
OG0000280	Prau.g_00905	Syaa.g_00815
OG0000282	Prau.g_00958	Syaa.g_01096
OG0000283	Prau.g_00992	Syaa.g_01396
OG0000284	Prau.g_00997	Syaa.g_01390
OG0000285	Prau.g_01002	Syaa.g_01377
OG0000286	Prau.g_01014	Syaa.g_01358
OG0000288	Prau.g_01062	Syaa.g_01299
OG0000289	Prau.g_01073	Syaa.g_01285
OG0000290	Prau.g_01086	Syaa.g_00875
OG0000291	Prau.g_01088	Syaa.g_00877
OG0000292	Prau.g_01136	Syaa.g_02751
OG0000293	Prau.g_01198	Syaa.g_00758
OG0000294	Prau.g_01199	Syaa.g_00759
OG0000295	Prau.g_01218	Syaa.g_00796
OG0000296	Prau.g_01220	Syaa.g_00798
OG0000297	Prau.g_01228	Syaa.g_01021
OG0000298	Prau.g_01229	Syaa.g_01010
OG0000299	Prau.g_01246	Syaa.g_00982
OG0000300	Prau.g_01249	Syaa.g_00976
OG0000301	Prau.g_01250	Syaa.g_00975
OG0000302	Prau.g_01252	Syaa.g_00972
OG0000303	Prau.g_01259	Syaa.g_00963
OG0000304	Prau.g_01263	Syaa.g_00957
OG0000305	Prau.g_01401	Syaa.g_00881
OG0000306	Prau.g_01404	Syaa.g_00807
OG0000307	Prau.g_01418	Syaa.g_02068
OG0000308	Prau.g_01419	Syaa.g_02070
OG0000309	Prau.g_01423	Syaa.g_02075
OG0000310	Prau.g_01513	Syaa.g_01752
OG0000311	Prau.g_01515	Syaa.g_01757
OG0000312	Prau.g_01518	Syaa.g_01762
OG0000313	Prau.g_01535	Syaa.g_01779
OG0000314	Prau.g_01558	Syaa.g_01806
OG0000315	Prau.g_01568	Syaa.g_01816
OG0000316	Prau.g_01588	Syaa.g_00598
OG0000317	Prau.g_01730	Syaa.g_00556
OG0000318	Prau.g_01733	Syaa.g_00550
OG0000319	Prau.g_01746	Syaa.g_00532
OG0000320	Prau.g_01748	Syaa.g_00530
OG0000321	Prau.g_01749	Syaa.g_00529
OG0000322	Prau.g_01750	Syaa.g_00528
OG0000323	Prau.g_01759	Syaa.g_00496
OG0000324	Prau.g_01785	Syaa.g_00653
OG0000325	Prau.g_01795	Syaa.g_02350
OG0000326	Prau.g_01801	Syaa.g_02343
OG0000327	Prau.g_01828	Syaa.g_02294
OG0000328	Prau.g_01829	Syaa.g_02293
OG0000329	Prau.g_01846	Syaa.g_02275
OG0000330	Prau.g_01847	Syaa.g_02274
OG0000331	Prau.g_01848	Syaa.g_02273
OG0000332	Prau.g_01862	Syaa.g_02258
OG0000333	Prau.g_01864	Syaa.g_02255
OG0000334	Prau.g_01872	Syaa.g_02246
OG0000335	Prau.g_01877	Syaa.g_02241
OG0000336	Prau.g_01881	Syaa.g_02237
OG0000337	Prau.g_01897	Syaa.g_00167
OG0000338	Prau.g_01898	Syaa.g_00162
OG0000339	Prau.g_01902	Syaa.g_00156
OG0000340	Prau.g_01910	Syaa.g_00144
OG0000341	Prau.g_01912	Syaa.g_00142
OG0000342	Prau.g_01913	Syaa.g_00141
OG0000343	Prau.g_01914	Syaa.g_00140
OG0000344	Prau.g_01917	Syaa.g_00136
OG0000345	Prau.g_01922	Syaa.g_00127
OG0000346	Prau.g_01926	Syaa.g_00122
OG0000347	Prau.g_01942	Syaa.g_00088
OG0000348	Prau.g_01952	Syaa.g_00071
OG0000349	Prau.g_01969	Syaa.g_00053
OG0000350	Prau.g_01987, Prau.g_01297	Syaa.g_02336
OG0000351	Prau.g_02004	Syaa.g_02730
OG0000352	Prau.g_02005	Syaa.g_02731
OG0000353	Prau.g_02021	Syaa.g_02757
OG0000355	Prau.g_00001	Syaa.g_00001
OG0000356	Prau.g_00002	Syaa.g_00002
OG0000357	Prau.g_00003	Syaa.g_00003
OG0000358	Prau.g_00007	Syaa.g_00007
OG0000359	Prau.g_00008	Syaa.g_00009
OG0000360	Prau.g_00009	Syaa.g_00010
OG0000361	Prau.g_00010	Syaa.g_00011
OG0000362	Prau.g_00012	Syaa.g_00013
OG0000363	Prau.g_00014	Syaa.g_00015
OG0000364	Prau.g_00015	Syaa.g_00016
OG0000365	Prau.g_00020	Syaa.g_00027
OG0000366	Prau.g_00021	Syaa.g_00028
OG0000367	Prau.g_00022	Syaa.g_00029
OG0000368	Prau.g_00024	Syaa.g_00031
OG0000369	Prau.g_00025	Syaa.g_00032
OG0000370	Prau.g_00026	Syaa.g_00033
OG0000371	Prau.g_00031	Syaa.g_00041
OG0000372	Prau.g_00034	Syaa.g_00046
OG0000373	Prau.g_00035	Syaa.g_00047
OG0000374	Prau.g_00036	Syaa.g_00048
OG0000375	Prau.g_00047	Syaa.g_00049
OG0000376	Prau.g_00049	Syaa.g_00051
OG0000377	Prau.g_00053	Syaa.g_02585
OG0000378	Prau.g_00055	Syaa.g_02577
OG0000379	Prau.g_00058	Syaa.g_02574
OG0000380	Prau.g_00068	Syaa.g_00357
OG0000381	Prau.g_00072	Syaa.g_00353
OG0000382	Prau.g_00082	Syaa.g_00335
OG0000383	Prau.g_00084	Syaa.g_00333
OG0000384	Prau.g_00085	Syaa.g_00332
OG0000385	Prau.g_00086	Syaa.g_00331
OG0000386	Prau.g_00087	Syaa.g_00330
OG0000387	Prau.g_00100	Syaa.g_02371
OG0000388	Prau.g_00103	Syaa.g_02375
OG0000389	Prau.g_00107	Syaa.g_02379
OG0000390	Prau.g_00114	Syaa.g_02398
OG0000391	Prau.g_00117	Syaa.g_02403
OG0000392	Prau.g_00121	Syaa.g_02409
OG0000393	Prau.g_00123	Syaa.g_02412
OG0000394	Prau.g_00124	Syaa.g_02413
OG0000395	Prau.g_00125	Syaa.g_02414
OG0000396	Prau.g_00128	Syaa.g_02417
OG0000397	Prau.g_00130	Syaa.g_02419
OG0000398	Prau.g_00132	Syaa.g_02424
OG0000399	Prau.g_00133	Syaa.g_02425
OG0000400	Prau.g_00134	Syaa.g_02426
OG0000401	Prau.g_00135	Syaa.g_02427
OG0000402	Prau.g_00137	Syaa.g_02429
OG0000403	Prau.g_00138	Syaa.g_02430
OG0000404	Prau.g_00139	Syaa.g_02431
OG0000405	Prau.g_00143	Syaa.g_02446
OG0000406	Prau.g_00148	Syaa.g_02450
OG0000407	Prau.g_00149	Syaa.g_02451
OG0000408	Prau.g_00151	Syaa.g_02458
OG0000409	Prau.g_00153	Syaa.g_02460
OG0000410	Prau.g_00154	Syaa.g_02461
OG0000411	Prau.g_00155	Syaa.g_02462
OG0000412	Prau.g_00156	Syaa.g_02463
OG0000413	Prau.g_00157	Syaa.g_02465
OG0000415	Prau.g_00159	Syaa.g_02466
OG0000416	Prau.g_00160	Syaa.g_02467
OG0000417	Prau.g_00161	Syaa.g_02468
OG0000418	Prau.g_00166	Syaa.g_02473
OG0000419	Prau.g_00168	Syaa.g_02475
OG0000420	Prau.g_00169	Syaa.g_02477
OG0000421	Prau.g_00174	Syaa.g_02482
OG0000422	Prau.g_00175	Syaa.g_02483
OG0000423	Prau.g_00176	Syaa.g_02484
OG0000424	Prau.g_00177	Syaa.g_02485
OG0000425	Prau.g_00178	Syaa.g_02486
OG0000426	Prau.g_00179	Syaa.g_02487
OG0000427	Prau.g_00180	Syaa.g_02488
OG0000428	Prau.g_00182	Syaa.g_02491
OG0000429	Prau.g_00183	Syaa.g_02493
OG0000430	Prau.g_00184	Syaa.g_02495
OG0000431	Prau.g_00186	Syaa.g_02498
OG0000432	Prau.g_00189	Syaa.g_02504
OG0000433	Prau.g_00190	Syaa.g_02513
OG0000434	Prau.g_00191	Syaa.g_02514
OG0000435	Prau.g_00192	Syaa.g_02516
OG0000436	Prau.g_00197	Syaa.g_02525
OG0000437	Prau.g_00198	Syaa.g_02526
OG0000438	Prau.g_00199	Syaa.g_02527
OG0000439	Prau.g_00201	Syaa.g_02529
OG0000440	Prau.g_00202	Syaa.g_02530
OG0000441	Prau.g_00205	Syaa.g_02534
OG0000442	Prau.g_00206	Syaa.g_02535
OG0000443	Prau.g_00207	Syaa.g_02536
OG0000444	Prau.g_00212	Syaa.g_02542
OG0000445	Prau.g_00213	Syaa.g_02543
OG0000446	Prau.g_00214	Syaa.g_02545
OG0000447	Prau.g_00215	Syaa.g_02548
OG0000448	Prau.g_00216	Syaa.g_02549
OG0000449	Prau.g_00217	Syaa.g_02550
OG0000450	Prau.g_00218	Syaa.g_02553
OG0000451	Prau.g_00219	Syaa.g_02554
OG0000452	Prau.g_00222	Syaa.g_02558
OG0000453	Prau.g_00223	Syaa.g_02559
OG0000454	Prau.g_00224	Syaa.g_02560
OG0000455	Prau.g_00225	Syaa.g_02561
OG0000456	Prau.g_00226	Syaa.g_02562
OG0000457	Prau.g_00227	Syaa.g_02564
OG0000458	Prau.g_00228	Syaa.g_02565
OG0000459	Prau.g_00229	Syaa.g_02566
OG0000460	Prau.g_00236	Syaa.g_02111
OG0000461	Prau.g_00244	Syaa.g_00318
OG0000462	Prau.g_00246	Syaa.g_00315
OG0000463	Prau.g_00247	Syaa.g_00314
OG0000464	Prau.g_00248	Syaa.g_00313
OG0000465	Prau.g_00249	Syaa.g_00311
OG0000466	Prau.g_00252	Syaa.g_00306
OG0000467	Prau.g_00253	Syaa.g_00304
OG0000468	Prau.g_00255	Syaa.g_00299
OG0000469	Prau.g_00264	Syaa.g_00285
OG0000470	Prau.g_00266	Syaa.g_00283
OG0000471	Prau.g_00267	Syaa.g_00282
OG0000472	Prau.g_00268	Syaa.g_00280
OG0000473	Prau.g_00270	Syaa.g_00278
OG0000474	Prau.g_00271	Syaa.g_00277
OG0000475	Prau.g_00272	Syaa.g_00276
OG0000476	Prau.g_00273	Syaa.g_00274
OG0000477	Prau.g_00277	Syaa.g_00268
OG0000478	Prau.g_00278	Syaa.g_00267
OG0000479	Prau.g_00279	Syaa.g_00266
OG0000480	Prau.g_00284	Syaa.g_00259
OG0000481	Prau.g_00286	Syaa.g_00257
OG0000482	Prau.g_00287	Syaa.g_00256
OG0000483	Prau.g_00290	Syaa.g_00252
OG0000484	Prau.g_00291	Syaa.g_00251
OG0000485	Prau.g_00292	Syaa.g_00250
OG0000486	Prau.g_00293	Syaa.g_00249
OG0000487	Prau.g_00297	Syaa.g_00243
OG0000488	Prau.g_00300	Syaa.g_00239
OG0000489	Prau.g_00305	Syaa.g_00228
OG0000490	Prau.g_00310	Syaa.g_00220
OG0000491	Prau.g_00311	Syaa.g_00218
OG0000492	Prau.g_00313	Syaa.g_00214
OG0000493	Prau.g_00314	Syaa.g_00213
OG0000494	Prau.g_00315	Syaa.g_00212
OG0000495	Prau.g_00316	Syaa.g_00211
OG0000496	Prau.g_00317	Syaa.g_00210
OG0000497	Prau.g_00318	Syaa.g_00209
OG0000498	Prau.g_00319	Syaa.g_00208
OG0000499	Prau.g_00320	Syaa.g_00207
OG0000500	Prau.g_00321	Syaa.g_00206
OG0000501	Prau.g_00323	Syaa.g_00203
OG0000502	Prau.g_00326	Syaa.g_00190
OG0000503	Prau.g_00336	Syaa.g_02182
OG0000504	Prau.g_00337	Syaa.g_02180
OG0000505	Prau.g_00338	Syaa.g_02179
OG0000506	Prau.g_00340	Syaa.g_02177
OG0000507	Prau.g_00343	Syaa.g_02171
OG0000508	Prau.g_00347	Syaa.g_02167
OG0000509	Prau.g_00349	Syaa.g_02165
OG0000510	Prau.g_00350	Syaa.g_02164
OG0000511	Prau.g_00351	Syaa.g_02163
OG0000512	Prau.g_00353	Syaa.g_02161
OG0000513	Prau.g_00360	Syaa.g_02145
OG0000514	Prau.g_00472	Syaa.g_02118
OG0000515	Prau.g_00473	Syaa.g_02117
OG0000516	Prau.g_00474	Syaa.g_00698
OG0000517	Prau.g_00476	Syaa.g_00702
OG0000518	Prau.g_00487	Syaa.g_00714
OG0000519	Prau.g_00488	Syaa.g_00715
OG0000520	Prau.g_00489	Syaa.g_00716
OG0000521	Prau.g_00494	Syaa.g_01864
OG0000522	Prau.g_00496	Syaa.g_01862
OG0000523	Prau.g_00497	Syaa.g_01859
OG0000524	Prau.g_00503	Syaa.g_01856
OG0000525	Prau.g_00506	Syaa.g_01851
OG0000526	Prau.g_00507	Syaa.g_01848
OG0000527	Prau.g_00514	Syaa.g_01844
OG0000528	Prau.g_00519	Syaa.g_02054
OG0000529	Prau.g_00522	Syaa.g_02050
OG0000530	Prau.g_00525	Syaa.g_02047
OG0000531	Prau.g_00526	Syaa.g_02046
OG0000532	Prau.g_00528	Syaa.g_02043
OG0000533	Prau.g_00529	Syaa.g_02042
OG0000534	Prau.g_00530	Syaa.g_02041
OG0000535	Prau.g_00531	Syaa.g_02040
OG0000536	Prau.g_00532	Syaa.g_02039
OG0000537	Prau.g_00533	Syaa.g_02038
OG0000538	Prau.g_00541	Syaa.g_02027
OG0000539	Prau.g_00542	Syaa.g_02026
OG0000540	Prau.g_00543	Syaa.g_02025
OG0000541	Prau.g_00544	Syaa.g_02024
OG0000542	Prau.g_00546	Syaa.g_02021
OG0000543	Prau.g_00548	Syaa.g_02019
OG0000544	Prau.g_00549	Syaa.g_02018
OG0000545	Prau.g_00551	Syaa.g_02016
OG0000546	Prau.g_00554	Syaa.g_02014
OG0000547	Prau.g_00556	Syaa.g_02012
OG0000548	Prau.g_00557	Syaa.g_02011
OG0000549	Prau.g_00559	Syaa.g_02003
OG0000550	Prau.g_00564	Syaa.g_01998
OG0000551	Prau.g_00567	Syaa.g_01993
OG0000552	Prau.g_00568	Syaa.g_01992
OG0000553	Prau.g_00569	Syaa.g_01990
OG0000554	Prau.g_00574	Syaa.g_01979
OG0000555	Prau.g_00582	Syaa.g_01961
OG0000556	Prau.g_00584	Syaa.g_01957
OG0000557	Prau.g_00585	Syaa.g_01955
OG0000558	Prau.g_00587	Syaa.g_01953
OG0000559	Prau.g_00591	Syaa.g_01949
OG0000560	Prau.g_00594	Syaa.g_01946
OG0000561	Prau.g_00595	Syaa.g_01945
OG0000562	Prau.g_00596	Syaa.g_01944
OG0000563	Prau.g_00597	Syaa.g_01943
OG0000564	Prau.g_00598	Syaa.g_01942
OG0000565	Prau.g_00601	Syaa.g_01939
OG0000566	Prau.g_00603	Syaa.g_01935
OG0000567	Prau.g_00607	Syaa.g_01931
OG0000568	Prau.g_00608	Syaa.g_01928
