Orthogroup	Prad	Syam
OG0000063	Prad.g_01953, Prad.g_00081	Syam.g_00039
OG0000065	Prad.g_01886	Syam.g_02121
OG0000066	Prad.g_00090	Syam.g_00552, Syam.g_00662
OG0000067	Prad.g_01146	Syam.g_01290
OG0000068	Prad.g_00594	Syam.g_00575
OG0000069	Prad.g_00952, Prad.g_00400	Syam.g_01521
OG0000070	Prad.g_00057	Syam.g_01847
OG0000071	Prad.g_00628	Syam.g_01830
OG0000072	Prad.g_01820	Syam.g_02219
OG0000073	Prad.g_00130	Syam.g_00604
OG0000074	Prad.g_01256	Syam.g_00533
OG0000075	Prad.g_00775	Syam.g_00148
OG0000076	Prad.g_01631	Syam.g_00115
OG0000077	Prad.g_01915	Syam.g_02074
OG0000078	Prad.g_01752	Syam.g_00514
OG0000079	Prad.g_01739	Syam.g_00270
OG0000081	Prad.g_00098	Syam.g_00520, Syam.g_01918
OG0000082	Prad.g_01374	Syam.g_01730
OG0000084	Prad.g_00519	Syam.g_00441
OG0000085	Prad.g_00948	Syam.g_01979
OG0000086	Prad.g_01905	Syam.g_02092
OG0000087	Prad.g_01854	Syam.g_02175
OG0000088	Prad.g_01825	Syam.g_02213
OG0000089	Prad.g_00755	Syam.g_00489
OG0000090	Prad.g_00096	Syam.g_00651
OG0000091	Prad.g_01431	Syam.g_01460
OG0000093	Prad.g_00218	Syam.g_01305
OG0000094	Prad.g_01038	Syam.g_01198
OG0000095	Prad.g_01018	Syam.g_00774
OG0000097	Prad.g_01454	Syam.g_00874
OG0000098	Prad.g_00612	Syam.g_00944
OG0000099	Prad.g_00566	Syam.g_00173
OG0000100	Prad.g_00440	Syam.g_01259
OG0000101	Prad.g_00807	Syam.g_00371
OG0000102	Prad.g_01626	Syam.g_00110
OG0000103	Prad.g_01548	Syam.g_02428
OG0000104	Prad.g_01540	Syam.g_02442
OG0000105	Prad.g_01717	Syam.g_00238
OG0000106	Prad.g_00739	Syam.g_01039
OG0000107	Prad.g_00724	Syam.g_00288
OG0000108	Prad.g_00027	Syam.g_00583
OG0000109	Prad.g_00013	Syam.g_00598
OG0000110	Prad.g_01364	Syam.g_01743
OG0000111	Prad.g_01273	Syam.g_00783
OG0000112	Prad.g_01109	Syam.g_01115
OG0000113	Prad.g_01168	Syam.g_01264
OG0000114	Prad.g_00245	Syam.g_01349
OG0000115	Prad.g_00641	Syam.g_01634
OG0000116	Prad.g_01506	Syam.g_01807
OG0000117	Prad.g_01214	Syam.g_00904
OG0000118	Prad.g_00616	Syam.g_01698
OG0000120	Prad.g_00564	Syam.g_00172
OG0000121	Prad.g_00513	Syam.g_01615
OG0000122	Prad.g_00474	Syam.g_01436
OG0000123	Prad.g_00800	Syam.g_00379
OG0000124	Prad.g_01616	Syam.g_00096
OG0000125	Prad.g_01580	Syam.g_02319
OG0000126	Prad.g_01541	Syam.g_02440
OG0000128	Prad.g_01975	Syam.g_00012
OG0000129	Prad.g_01943	Syam.g_02307
OG0000130	Prad.g_01924	Syam.g_02062
OG0000131	Prad.g_01846	Syam.g_02191
OG0000132	Prad.g_01827	Syam.g_02211
OG0000133	Prad.g_01669	Syam.g_01120
OG0000134	Prad.g_00754	Syam.g_00492
OG0000135	Prad.g_00727	Syam.g_02347
OG0000136	Prad.g_00066	Syam.g_01857
OG0000137	Prad.g_00032	Syam.g_01668
OG0000138	Prad.g_00012	Syam.g_00599
OG0000139	Prad.g_00092	Syam.g_00657
OG0000140	Prad.g_00091	Syam.g_00659
OG0000141	Prad.g_01396	Syam.g_01514
OG0000142	Prad.g_01424	Syam.g_01468
OG0000143	Prad.g_01428	Syam.g_01464
OG0000144	Prad.g_01226	Syam.g_01032
OG0000145	Prad.g_01107	Syam.g_00605
OG0000146	Prad.g_01110	Syam.g_01114
OG0000147	Prad.g_01111	Syam.g_01113
OG0000148	Prad.g_01162	Syam.g_01270
OG0000149	Prad.g_00301	Syam.g_00725
OG0000150	Prad.g_00293	Syam.g_00660
OG0000151	Prad.g_00235	Syam.g_01338
OG0000152	Prad.g_00186	Syam.g_01124
OG0000153	Prad.g_00167	Syam.g_01160
OG0000154	Prad.g_00139	Syam.g_01187
OG0000155	Prad.g_01476	Syam.g_01763
OG0000156	Prad.g_00359	Syam.g_01814
OG0000157	Prad.g_00360	Syam.g_01815
OG0000158	Prad.g_00567	Syam.g_00139
OG0000160	Prad.g_00514	Syam.g_01614
OG0000161	Prad.g_00508	Syam.g_01620
OG0000162	Prad.g_00502	Syam.g_01627
OG0000163	Prad.g_00467	Syam.g_01927
OG0000164	Prad.g_00917	Syam.g_02023
OG0000165	Prad.g_00910	Syam.g_01879, Syam.g_01878
OG0000166	Prad.g_00843	Syam.g_00330
OG0000167	Prad.g_00777	Syam.g_00151
OG0000168	Prad.g_00767	Syam.g_00138
OG0000169	Prad.g_01637	Syam.g_00127
OG0000170	Prad.g_01635	Syam.g_00120
OG0000171	Prad.g_01617	Syam.g_00097
OG0000172	Prad.g_01609	Syam.g_00075
OG0000173	Prad.g_01594	Syam.g_00057
OG0000174	Prad.g_01566	Syam.g_02349
OG0000175	Prad.g_01556	Syam.g_02417
OG0000176	Prad.g_01532	Syam.g_00004
OG0000177	Prad.g_01531	Syam.g_00005
OG0000178	Prad.g_01530	Syam.g_00006
OG0000179	Prad.g_01970	Syam.g_00021
OG0000180	Prad.g_01969	Syam.g_00022
OG0000181	Prad.g_01968	Syam.g_00023
OG0000182	Prad.g_01967	Syam.g_00024
OG0000183	Prad.g_01963	Syam.g_00028
OG0000184	Prad.g_01940	Syam.g_02298
OG0000185	Prad.g_01937	Syam.g_02295
OG0000186	Prad.g_01929	Syam.g_02058
OG0000187	Prad.g_01928	Syam.g_02059
OG0000188	Prad.g_01911	Syam.g_02081
OG0000189	Prad.g_01897	Syam.g_02108
OG0000190	Prad.g_01896	Syam.g_02110
OG0000191	Prad.g_01876	Syam.g_02142
OG0000192	Prad.g_01872	Syam.g_02148
OG0000193	Prad.g_01845	Syam.g_02192
OG0000194	Prad.g_01842	Syam.g_02195
OG0000195	Prad.g_01840	Syam.g_02197
OG0000196	Prad.g_01830	Syam.g_02208
OG0000197	Prad.g_01829	Syam.g_02209
OG0000198	Prad.g_01828	Syam.g_02210
OG0000199	Prad.g_01821	Syam.g_02218
OG0000200	Prad.g_01807	Syam.g_02234
OG0000201	Prad.g_01799	Syam.g_02248
OG0000202	Prad.g_01798	Syam.g_02249
OG0000203	Prad.g_01797	Syam.g_02250
OG0000204	Prad.g_01796	Syam.g_02251
OG0000205	Prad.g_01789	Syam.g_02258
OG0000206	Prad.g_01784	Syam.g_02264
OG0000207	Prad.g_01782	Syam.g_02266
OG0000208	Prad.g_01781	Syam.g_02267
OG0000209	Prad.g_01772	Syam.g_02278
OG0000210	Prad.g_01771	Syam.g_02279
OG0000211	Prad.g_01758	Syam.g_00504
OG0000212	Prad.g_01751	Syam.g_00515
OG0000213	Prad.g_01734	Syam.g_00263
OG0000214	Prad.g_01724	Syam.g_00247
OG0000215	Prad.g_01699	Syam.g_00216
OG0000216	Prad.g_01697	Syam.g_00212
OG0000217	Prad.g_01694	Syam.g_00208
OG0000218	Prad.g_01692	Syam.g_00206
OG0000219	Prad.g_01691	Syam.g_00205
OG0000220	Prad.g_01690	Syam.g_00204
OG0000221	Prad.g_01689	Syam.g_00198
OG0000222	Prad.g_01681	Syam.g_00186
OG0000223	Prad.g_01668	Syam.g_00168
OG0000224	Prad.g_01666	Syam.g_00164
OG0000225	Prad.g_01645	Syam.g_00473
OG0000226	Prad.g_00761	Syam.g_00477
OG0000227	Prad.g_00759	Syam.g_00479
OG0000228	Prad.g_00756	Syam.g_00488
OG0000229	Prad.g_00666	Syam.g_01867
OG0000230	Prad.g_00069	Syam.g_01865
OG0000231	Prad.g_00058	Syam.g_01848
OG0000232	Prad.g_00049	Syam.g_01692
OG0000233	Prad.g_00043	Syam.g_01678
OG0000234	Prad.g_00031	Syam.g_01667
OG0000235	Prad.g_00028	Syam.g_00582
OG0000236	Prad.g_00014	Syam.g_00597
OG0000237	Prad.g_00123	Syam.g_00614
OG0000238	Prad.g_00117	Syam.g_00619
OG0000239	Prad.g_00104	Syam.g_00637
OG0000240	Prad.g_00103	Syam.g_00638
OG0000241	Prad.g_00099	Syam.g_01477
OG0000242	Prad.g_00097	Syam.g_00649
OG0000243	Prad.g_01333	Syam.g_00668
OG0000244	Prad.g_01336	Syam.g_00674
OG0000245	Prad.g_01338	Syam.g_00676
OG0000246	Prad.g_01342	Syam.g_00680
OG0000247	Prad.g_01352	Syam.g_00692
OG0000248	Prad.g_01354	Syam.g_00695
OG0000249	Prad.g_01356	Syam.g_00697
OG0000250	Prad.g_01361	Syam.g_01747
OG0000251	Prad.g_01380	Syam.g_01722
OG0000252	Prad.g_01383	Syam.g_01719
OG0000253	Prad.g_01384	Syam.g_01718
OG0000254	Prad.g_01400	Syam.g_01510
OG0000255	Prad.g_01406	Syam.g_01500
OG0000256	Prad.g_01416	Syam.g_01484
OG0000257	Prad.g_01419	Syam.g_01478
OG0000258	Prad.g_01432	Syam.g_01459
OG0000259	Prad.g_01234	Syam.g_01378
OG0000260	Prad.g_01237	Syam.g_01375
OG0000261	Prad.g_01239	Syam.g_01372
OG0000262	Prad.g_01243	Syam.g_01367
OG0000263	Prad.g_01255	Syam.g_00885
OG0000264	Prad.g_01265	Syam.g_00805
OG0000265	Prad.g_01049	Syam.g_01880
OG0000266	Prad.g_01059	Syam.g_01234
OG0000267	Prad.g_01070	Syam.g_01071
OG0000268	Prad.g_01071	Syam.g_01072
OG0000269	Prad.g_01141	Syam.g_01295
OG0000270	Prad.g_01144	Syam.g_01292
OG0000271	Prad.g_01152	Syam.g_01284
OG0000272	Prad.g_01153	Syam.g_01283
OG0000273	Prad.g_01176	Syam.g_00745
OG0000274	Prad.g_01177	Syam.g_00744
OG0000275	Prad.g_01180	Syam.g_00741
OG0000276	Prad.g_01185	Syam.g_00733
OG0000277	Prad.g_00308	Syam.g_00732
OG0000278	Prad.g_00305	Syam.g_00729
OG0000279	Prad.g_00298	Syam.g_00721
OG0000280	Prad.g_00297	Syam.g_00701
OG0000281	Prad.g_00292	Syam.g_00943
OG0000282	Prad.g_00243	Syam.g_01347
OG0000283	Prad.g_00209	Syam.g_01087
OG0000284	Prad.g_00204	Syam.g_01093
OG0000285	Prad.g_00199	Syam.g_01105
OG0000286	Prad.g_00187	Syam.g_01123
OG0000287	Prad.g_00170	Syam.g_01153
OG0000288	Prad.g_00140	Syam.g_01186
OG0000289	Prad.g_01035	Syam.g_01201
OG0000290	Prad.g_01021	Syam.g_00771
OG0000291	Prad.g_01019	Syam.g_00773
OG0000292	Prad.g_00972	Syam.g_02439
OG0000293	Prad.g_01505	Syam.g_01806
OG0000294	Prad.g_01504	Syam.g_01805
OG0000295	Prad.g_01484	Syam.g_01771
OG0000296	Prad.g_01482	Syam.g_01769
OG0000297	Prad.g_01474	Syam.g_00906
OG0000298	Prad.g_01473	Syam.g_00905
OG0000299	Prad.g_01455	Syam.g_00878
OG0000300	Prad.g_01452	Syam.g_00871
OG0000301	Prad.g_01451	Syam.g_00870
OG0000302	Prad.g_01449	Syam.g_00868
OG0000303	Prad.g_01442	Syam.g_00859
OG0000304	Prad.g_01438	Syam.g_00853
OG0000305	Prad.g_00602	Syam.g_00776
OG0000306	Prad.g_00599	Syam.g_01757
OG0000307	Prad.g_00585	Syam.g_00566
OG0000308	Prad.g_00584	Syam.g_00564
OG0000309	Prad.g_00580	Syam.g_00559
OG0000310	Prad.g_00530	Syam.g_01591
OG0000311	Prad.g_00528	Syam.g_01595
OG0000312	Prad.g_00525	Syam.g_01601
OG0000313	Prad.g_00511	Syam.g_01617
OG0000314	Prad.g_00487	Syam.g_01647
OG0000315	Prad.g_00477	Syam.g_01658
OG0000316	Prad.g_00457	Syam.g_01945
OG0000317	Prad.g_00943	Syam.g_01987
OG0000318	Prad.g_00940	Syam.g_01991
OG0000319	Prad.g_00927	Syam.g_02006
OG0000320	Prad.g_00925	Syam.g_02008
OG0000321	Prad.g_00924	Syam.g_02009
OG0000322	Prad.g_00923	Syam.g_02010
OG0000323	Prad.g_00914	Syam.g_02025
OG0000324	Prad.g_00887	Syam.g_01906
OG0000325	Prad.g_00878	Syam.g_00289
OG0000326	Prad.g_00872	Syam.g_00296
OG0000327	Prad.g_00848	Syam.g_00325
OG0000328	Prad.g_00847	Syam.g_00326
OG0000329	Prad.g_00830	Syam.g_00344
OG0000330	Prad.g_00829	Syam.g_00345
OG0000331	Prad.g_00828	Syam.g_00346
OG0000332	Prad.g_00814	Syam.g_00361
OG0000333	Prad.g_00812	Syam.g_00364
OG0000334	Prad.g_00804	Syam.g_00375
OG0000335	Prad.g_00799	Syam.g_00380
OG0000336	Prad.g_00795	Syam.g_00384
OG0000337	Prad.g_00779	Syam.g_00155
OG0000338	Prad.g_00778	Syam.g_00153
OG0000339	Prad.g_00774	Syam.g_00147
OG0000340	Prad.g_00766, Prad.g_01294	Syam.g_00137
OG0000341	Prad.g_00764	Syam.g_00135
OG0000342	Prad.g_00763	Syam.g_00134
OG0000343	Prad.g_00762	Syam.g_00133
OG0000344	Prad.g_01639	Syam.g_00129
OG0000345	Prad.g_01634	Syam.g_00119
OG0000346	Prad.g_01630	Syam.g_00114
OG0000347	Prad.g_01615	Syam.g_00083
OG0000348	Prad.g_01606	Syam.g_00068
OG0000349	Prad.g_01589	Syam.g_00050
OG0000350	Prad.g_01570	Syam.g_00303
OG0000351	Prad.g_01553	Syam.g_02420
OG0000352	Prad.g_01552	Syam.g_02421
OG0000353	Prad.g_01537	Syam.g_02445
OG0000354	Prad.g_01041	Syam.g_00626, Syam.g_00625
OG0000355	Prad.g_01535	Syam.g_00001
OG0000356	Prad.g_01534	Syam.g_00002
OG0000357	Prad.g_01533	Syam.g_00003
OG0000358	Prad.g_01529	Syam.g_00007
OG0000359	Prad.g_01528	Syam.g_00009
OG0000360	Prad.g_01527	Syam.g_00010
OG0000361	Prad.g_01976	Syam.g_00011
OG0000362	Prad.g_01974	Syam.g_00013
OG0000363	Prad.g_01972	Syam.g_00015
OG0000364	Prad.g_01971	Syam.g_00016
OG0000365	Prad.g_01966	Syam.g_00025
OG0000366	Prad.g_01965	Syam.g_00026
OG0000367	Prad.g_01964	Syam.g_00027
OG0000368	Prad.g_01962	Syam.g_00029
OG0000369	Prad.g_01961	Syam.g_00030
OG0000370	Prad.g_01960	Syam.g_00031
OG0000371	Prad.g_01954	Syam.g_00038
OG0000372	Prad.g_01951	Syam.g_00043
OG0000373	Prad.g_01950	Syam.g_00044
OG0000374	Prad.g_01949	Syam.g_00045
OG0000375	Prad.g_01947	Syam.g_00046
OG0000376	Prad.g_01945	Syam.g_00048
OG0000377	Prad.g_01941	Syam.g_02306
OG0000378	Prad.g_01939	Syam.g_02297
OG0000379	Prad.g_01936	Syam.g_02294
OG0000380	Prad.g_01927	Syam.g_02060
OG0000381	Prad.g_01923	Syam.g_02063
OG0000382	Prad.g_01912	Syam.g_02080
OG0000383	Prad.g_01910	Syam.g_02083
OG0000384	Prad.g_01909	Syam.g_02084
OG0000385	Prad.g_01908	Syam.g_02085
OG0000386	Prad.g_01907	Syam.g_02086
OG0000387	Prad.g_01894	Syam.g_02112
OG0000388	Prad.g_01891	Syam.g_02116
OG0000389	Prad.g_01887	Syam.g_02120
OG0000390	Prad.g_01880, Prad.g_00011	Syam.g_02136
OG0000391	Prad.g_01877	Syam.g_02141
OG0000392	Prad.g_01873	Syam.g_02147
OG0000393	Prad.g_01871	Syam.g_02149
OG0000394	Prad.g_01870	Syam.g_02150
OG0000395	Prad.g_01869	Syam.g_02151
OG0000396	Prad.g_01866	Syam.g_02153
OG0000397	Prad.g_01864	Syam.g_02160
OG0000398	Prad.g_01862	Syam.g_02165
OG0000399	Prad.g_01861	Syam.g_02166
OG0000400	Prad.g_01860	Syam.g_02167
OG0000401	Prad.g_01859	Syam.g_02168
OG0000402	Prad.g_01857	Syam.g_02171
OG0000403	Prad.g_01856	Syam.g_02172
OG0000404	Prad.g_01855	Syam.g_02173
OG0000405	Prad.g_01851	Syam.g_02189
OG0000406	Prad.g_01844	Syam.g_02193
OG0000407	Prad.g_01843	Syam.g_02194
OG0000408	Prad.g_01841	Syam.g_02196
OG0000409	Prad.g_01839	Syam.g_02198
OG0000410	Prad.g_01838	Syam.g_02199
OG0000411	Prad.g_01837	Syam.g_02200
OG0000412	Prad.g_01836	Syam.g_02201
OG0000413	Prad.g_01835	Syam.g_02203
OG0000414	Prad.g_01834	Syam.g_02204
OG0000415	Prad.g_01833	Syam.g_02205
OG0000416	Prad.g_01832	Syam.g_02206
OG0000417	Prad.g_01831	Syam.g_02207
OG0000418	Prad.g_01826	Syam.g_02212
OG0000419	Prad.g_01824	Syam.g_02214
OG0000420	Prad.g_01823	Syam.g_02216
OG0000421	Prad.g_01818	Syam.g_02221
OG0000422	Prad.g_01817	Syam.g_02222
OG0000423	Prad.g_01816	Syam.g_02223
OG0000424	Prad.g_01815	Syam.g_02224
OG0000425	Prad.g_01814	Syam.g_02225
OG0000426	Prad.g_01813	Syam.g_02226
OG0000427	Prad.g_01812	Syam.g_02227
OG0000428	Prad.g_01810	Syam.g_02230
OG0000429	Prad.g_01809	Syam.g_02232
OG0000430	Prad.g_01808	Syam.g_02233
OG0000431	Prad.g_01806	Syam.g_02237
OG0000432	Prad.g_01803	Syam.g_02243
OG0000433	Prad.g_01802	Syam.g_02244
OG0000434	Prad.g_01801	Syam.g_02245
OG0000435	Prad.g_01800	Syam.g_02246
OG0000436	Prad.g_01795	Syam.g_02252
OG0000437	Prad.g_01794	Syam.g_02253
OG0000438	Prad.g_01793	Syam.g_02254
OG0000439	Prad.g_01791	Syam.g_02256
OG0000440	Prad.g_01790	Syam.g_02257
OG0000441	Prad.g_01787	Syam.g_02261
OG0000442	Prad.g_01786	Syam.g_02262
OG0000443	Prad.g_01785	Syam.g_02263
OG0000444	Prad.g_01780	Syam.g_02268
OG0000445	Prad.g_01779	Syam.g_02269
OG0000446	Prad.g_01778	Syam.g_02270
OG0000447	Prad.g_01777	Syam.g_02272
OG0000448	Prad.g_01776	Syam.g_02273
OG0000449	Prad.g_01775	Syam.g_02274
OG0000450	Prad.g_01774	Syam.g_02275
OG0000451	Prad.g_01773	Syam.g_02276
OG0000452	Prad.g_01770	Syam.g_02280
OG0000453	Prad.g_01769	Syam.g_02281
OG0000454	Prad.g_01768	Syam.g_02282
OG0000455	Prad.g_01767	Syam.g_02283
OG0000456	Prad.g_01766	Syam.g_02284
OG0000457	Prad.g_01765	Syam.g_02286
OG0000458	Prad.g_01764	Syam.g_02287
OG0000459	Prad.g_01763	Syam.g_02288
OG0000460	Prad.g_01756	Syam.g_00506
OG0000461	Prad.g_01749	Syam.g_00284
OG0000462	Prad.g_01747	Syam.g_00281
OG0000463	Prad.g_01746	Syam.g_00280
OG0000464	Prad.g_01745	Syam.g_00279
OG0000465	Prad.g_01744	Syam.g_00277
OG0000466	Prad.g_01741	Syam.g_00273
OG0000467	Prad.g_01740	Syam.g_00271
OG0000468	Prad.g_01738	Syam.g_00266
OG0000469	Prad.g_01729	Syam.g_00253
OG0000470	Prad.g_01727	Syam.g_00251
OG0000471	Prad.g_01726	Syam.g_00250
OG0000472	Prad.g_01725	Syam.g_00248
OG0000473	Prad.g_01723	Syam.g_00246
OG0000474	Prad.g_01722	Syam.g_00245
OG0000475	Prad.g_01721	Syam.g_00244
OG0000476	Prad.g_01720	Syam.g_00242
OG0000477	Prad.g_01716	Syam.g_00236
OG0000478	Prad.g_01715	Syam.g_00235
OG0000479	Prad.g_01714	Syam.g_00234
OG0000480	Prad.g_01709	Syam.g_00227
OG0000481	Prad.g_01707	Syam.g_00225
OG0000482	Prad.g_01706	Syam.g_00224
OG0000483	Prad.g_01703	Syam.g_00220
OG0000484	Prad.g_01702	Syam.g_00219
OG0000485	Prad.g_01701	Syam.g_00218
OG0000486	Prad.g_01700	Syam.g_00217
OG0000487	Prad.g_01696	Syam.g_00211
OG0000488	Prad.g_01693	Syam.g_00207
OG0000489	Prad.g_01688	Syam.g_00197
OG0000490	Prad.g_01683	Syam.g_00189
OG0000491	Prad.g_01682	Syam.g_00187
OG0000492	Prad.g_01680	Syam.g_00185
OG0000493	Prad.g_01679	Syam.g_00184
OG0000494	Prad.g_01678	Syam.g_00183
OG0000495	Prad.g_01677	Syam.g_00182
OG0000496	Prad.g_01676	Syam.g_00181
OG0000497	Prad.g_01675	Syam.g_00180
OG0000498	Prad.g_01674	Syam.g_00179
OG0000499	Prad.g_01673	Syam.g_00178
OG0000500	Prad.g_01672	Syam.g_00177
OG0000501	Prad.g_01670	Syam.g_00174
OG0000502	Prad.g_01667	Syam.g_00165
OG0000503	Prad.g_01657	Syam.g_00457
OG0000504	Prad.g_01656	Syam.g_00459
OG0000505	Prad.g_01655	Syam.g_00460
OG0000506	Prad.g_01653	Syam.g_00462
OG0000507	Prad.g_01650	Syam.g_00468
OG0000508	Prad.g_01646	Syam.g_00472
OG0000509	Prad.g_01644	Syam.g_00474
OG0000510	Prad.g_01643	Syam.g_00475
OG0000511	Prad.g_01642	Syam.g_00476
OG0000512	Prad.g_00760	Syam.g_00478
OG0000513	Prad.g_00753	Syam.g_00493
OG0000514	Prad.g_00671	Syam.g_00499
OG0000515	Prad.g_00670	Syam.g_00500
OG0000516	Prad.g_00669	Syam.g_01862
OG0000517	Prad.g_00667	Syam.g_01868
OG0000518	Prad.g_00061	Syam.g_01851
OG0000519	Prad.g_00060	Syam.g_01850
OG0000520	Prad.g_00059	Syam.g_01849
OG0000521	Prad.g_00054	Syam.g_01696
OG0000522	Prad.g_00052	Syam.g_01694
OG0000523	Prad.g_00051	Syam.g_01693
OG0000524	Prad.g_00045	Syam.g_01681
OG0000525	Prad.g_00042	Syam.g_01677
OG0000526	Prad.g_00041	Syam.g_01674
OG0000527	Prad.g_00034	Syam.g_01670
OG0000528	Prad.g_00029	Syam.g_00580
OG0000529	Prad.g_00026	Syam.g_00584
OG0000530	Prad.g_00023	Syam.g_00587
OG0000531	Prad.g_00022	Syam.g_00588
OG0000532	Prad.g_00020	Syam.g_00591
OG0000533	Prad.g_00019	Syam.g_00592
OG0000534	Prad.g_00018	Syam.g_00593
OG0000535	Prad.g_00017	Syam.g_00594
OG0000536	Prad.g_00016	Syam.g_00595
OG0000537	Prad.g_00015	Syam.g_00596
OG0000538	Prad.g_00129	Syam.g_00607
OG0000539	Prad.g_00128	Syam.g_00608
OG0000540	Prad.g_00127	Syam.g_00609
OG0000541	Prad.g_00126	Syam.g_00610
OG0000542	Prad.g_00124	Syam.g_00613
OG0000543	Prad.g_00122	Syam.g_00615
OG0000544	Prad.g_00121	Syam.g_00616
OG0000545	Prad.g_00119	Syam.g_00618
OG0000546	Prad.g_00116	Syam.g_00620
OG0000547	Prad.g_00114	Syam.g_00622
OG0000548	Prad.g_00113	Syam.g_00623
OG0000549	Prad.g_00111	Syam.g_00630
OG0000550	Prad.g_00106	Syam.g_00635
OG0000551	Prad.g_00102	Syam.g_00640
OG0000552	Prad.g_00101	Syam.g_00641
OG0000553	Prad.g_00100	Syam.g_00643
OG0000554	Prad.g_00095	Syam.g_00652
OG0000555	Prad.g_01332	Syam.g_00667
OG0000556	Prad.g_01334	Syam.g_00670
OG0000557	Prad.g_01335	Syam.g_00672
OG0000558	Prad.g_01337	Syam.g_00675
OG0000559	Prad.g_01341	Syam.g_00679
OG0000560	Prad.g_01344	Syam.g_00682
OG0000561	Prad.g_01345	Syam.g_00683
OG0000562	Prad.g_01346	Syam.g_00684
OG0000563	Prad.g_01347	Syam.g_00685
OG0000564	Prad.g_01348	Syam.g_00686
OG0000565	Prad.g_01351	Syam.g_00690
OG0000566	Prad.g_01353	Syam.g_00694
OG0000567	Prad.g_01357	Syam.g_00698
OG0000568	Prad.g_01358	Syam.g_01751
OG0000569	Prad.g_01359	Syam.g_01750
OG0000570	Prad.g_01360	Syam.g_01749
OG0000571	Prad.g_01362	Syam.g_01745
OG0000572	Prad.g_01375	Syam.g_01729
OG0000573	Prad.g_01381	Syam.g_01721
OG0000574	Prad.g_01382	Syam.g_01720
OG0000575	Prad.g_01386	Syam.g_01716
OG0000576	Prad.g_01388	Syam.g_01714
OG0000577	Prad.g_01389	Syam.g_01713
OG0000578	Prad.g_01390	Syam.g_01712
OG0000579	Prad.g_01391	Syam.g_01711
OG0000580	Prad.g_01392	Syam.g_01710
OG0000581	Prad.g_01394	Syam.g_01704
OG0000582	Prad.g_01397	Syam.g_01513
OG0000583	Prad.g_01398	Syam.g_01512
OG0000584	Prad.g_01399	Syam.g_01511
