Orthogroup	Prbk	Prbb
OG0000123	Prbk.g_01121	Prbb.g_00586
OG0000124	Prbk.g_00740	Prbb.g_00652
OG0000125	Prbk.g_00739	Prbb.g_00653
OG0000126	Prbk.g_00738	Prbb.g_00654
OG0000127	Prbk.g_01385	Prbb.g_00692
OG0000128	Prbk.g_00616	Prbb.g_00715
OG0000129	Prbk.g_02370	Prbb.g_00737
OG0000130	Prbk.g_01642	Prbb.g_00954
OG0000131	Prbk.g_02466	Prbb.g_00781
OG0000132	Prbk.g_02530	Prbb.g_00817
OG0000133	Prbk.g_02438	Prbb.g_00950
OG0000134	Prbk.g_02444	Prbb.g_00768
OG0000135	Prbk.g_02316	Prbb.g_00995
OG0000136	Prbk.g_00059	Prbb.g_01067
OG0000137	Prbk.g_02197	Prbb.g_01890
OG0000138	Prbk.g_01025	Prbb.g_01523
OG0000139	Prbk.g_00144	Prbb.g_01510
OG0000140	Prbk.g_00121	Prbb.g_01456
OG0000141	Prbk.g_00066	Prbb.g_01060
OG0000142	Prbk.g_01169	Prbb.g_01598
OG0000143	Prbk.g_02052	Prbb.g_01639
OG0000144	Prbk.g_00243	Prbb.g_01673
OG0000145	Prbk.g_00260	Prbb.g_01687
OG0000146	Prbk.g_01212	Prbb.g_01721
OG0000147	Prbk.g_00932	Prbb.g_01767
OG0000148	Prbk.g_00931	Prbb.g_01768
OG0000149	Prbk.g_00913	Prbb.g_01821
OG0000150	Prbk.g_01417	Prbb.g_01858
OG0000151	Prbk.g_01414	Prbb.g_01860
OG0000152	Prbk.g_01381	Prbb.g_01880
OG0000153	Prbk.g_00987	Prbb.g_01959
OG0000154	Prbk.g_00950	Prbb.g_01995
OG0000155	Prbk.g_00811	Prbb.g_02014
OG0000156	Prbk.g_00528	Prbb.g_02046
OG0000157	Prbk.g_01540	Prbb.g_02082
OG0000158	Prbk.g_02252	Prbb.g_02168
OG0000160	Prbk.g_02279	Prbb.g_00001
OG0000161	Prbk.g_02280	Prbb.g_00002
OG0000162	Prbk.g_02282	Prbb.g_00004
OG0000163	Prbk.g_02283	Prbb.g_00005
OG0000164	Prbk.g_02284	Prbb.g_00007
OG0000165	Prbk.g_02285	Prbb.g_00008
OG0000166	Prbk.g_02287	Prbb.g_00009
OG0000167	Prbk.g_02288	Prbb.g_00010
OG0000168	Prbk.g_02289	Prbb.g_00011
OG0000169	Prbk.g_02291	Prbb.g_00013
OG0000170	Prbk.g_01639	Prbb.g_00015
OG0000171	Prbk.g_01638	Prbb.g_00016
OG0000172	Prbk.g_01633	Prbb.g_00017
OG0000173	Prbk.g_01632	Prbb.g_00018
OG0000174	Prbk.g_01631	Prbb.g_00019
OG0000175	Prbk.g_01630	Prbb.g_00020
OG0000176	Prbk.g_01629	Prbb.g_00021
OG0000177	Prbk.g_01628	Prbb.g_00022
OG0000178	Prbk.g_01627	Prbb.g_00023
OG0000179	Prbk.g_01625	Prbb.g_00025
OG0000180	Prbk.g_01624	Prbb.g_00026
OG0000181	Prbk.g_01623	Prbb.g_00027
OG0000182	Prbk.g_01622	Prbb.g_00028
OG0000183	Prbk.g_01621	Prbb.g_00029
OG0000184	Prbk.g_01619	Prbb.g_00030
OG0000185	Prbk.g_01614	Prbb.g_00033
OG0000186	Prbk.g_01609	Prbb.g_00035
OG0000187	Prbk.g_01608	Prbb.g_00036
OG0000188	Prbk.g_01607	Prbb.g_00037
OG0000189	Prbk.g_01606	Prbb.g_00055
OG0000190	Prbk.g_01604	Prbb.g_00057
OG0000191	Prbk.g_02158	Prbb.g_00058
OG0000192	Prbk.g_02156	Prbb.g_00059
OG0000193	Prbk.g_02155	Prbb.g_00060
OG0000194	Prbk.g_02148	Prbb.g_00061
OG0000195	Prbk.g_02141	Prbb.g_00062
OG0000196	Prbk.g_02133	Prbb.g_00063
OG0000197	Prbk.g_02125	Prbb.g_00065
OG0000198	Prbk.g_02124	Prbb.g_00066
OG0000199	Prbk.g_02123	Prbb.g_00067
OG0000200	Prbk.g_01326	Prbb.g_00119
OG0000201	Prbk.g_01324	Prbb.g_00120
OG0000202	Prbk.g_01323	Prbb.g_00121
OG0000203	Prbk.g_01320	Prbb.g_00124
OG0000204	Prbk.g_01319	Prbb.g_00125
OG0000205	Prbk.g_01315	Prbb.g_00128
OG0000206	Prbk.g_01313	Prbb.g_00130
OG0000207	Prbk.g_01309	Prbb.g_00132
OG0000208	Prbk.g_01308	Prbb.g_00133
OG0000209	Prbk.g_01665	Prbb.g_00134
OG0000210	Prbk.g_01307	Prbb.g_00135
OG0000211	Prbk.g_01304	Prbb.g_00136
OG0000212	Prbk.g_01303	Prbb.g_00137
OG0000213	Prbk.g_01302	Prbb.g_00138
OG0000214	Prbk.g_01301	Prbb.g_00139
OG0000215	Prbk.g_01300	Prbb.g_00140
OG0000216	Prbk.g_01299	Prbb.g_00141
OG0000217	Prbk.g_01295	Prbb.g_00143
OG0000218	Prbk.g_01294	Prbb.g_00144
OG0000219	Prbk.g_00035	Prbb.g_00145
OG0000220	Prbk.g_00031	Prbb.g_00146
OG0000221	Prbk.g_00026	Prbb.g_00149
OG0000222	Prbk.g_00025	Prbb.g_00150
OG0000223	Prbk.g_00024	Prbb.g_00151
OG0000224	Prbk.g_00022	Prbb.g_00152
OG0000225	Prbk.g_00021	Prbb.g_00153
OG0000226	Prbk.g_00020	Prbb.g_00154
OG0000227	Prbk.g_00018	Prbb.g_00156
OG0000228	Prbk.g_00017	Prbb.g_00157
OG0000229	Prbk.g_00016	Prbb.g_00158
OG0000230	Prbk.g_00015	Prbb.g_00159
OG0000231	Prbk.g_00014	Prbb.g_00160
OG0000232	Prbk.g_00012	Prbb.g_00161
OG0000233	Prbk.g_00011	Prbb.g_00162
OG0000234	Prbk.g_00010	Prbb.g_00163
OG0000235	Prbk.g_00007	Prbb.g_00164
OG0000236	Prbk.g_00003	Prbb.g_00167
OG0000237	Prbk.g_00001	Prbb.g_00168
OG0000238	Prbk.g_00190	Prbb.g_00169
OG0000239	Prbk.g_00192	Prbb.g_00171
OG0000240	Prbk.g_00194	Prbb.g_00173
OG0000241	Prbk.g_00196	Prbb.g_00174
OG0000242	Prbk.g_00197	Prbb.g_00175
OG0000243	Prbk.g_00202	Prbb.g_00177
OG0000244	Prbk.g_00207	Prbb.g_00180
OG0000245	Prbk.g_00208	Prbb.g_00181
OG0000246	Prbk.g_00209	Prbb.g_00182
OG0000247	Prbk.g_00542	Prbb.g_00185
OG0000248	Prbk.g_00544	Prbb.g_00187
OG0000249	Prbk.g_00547	Prbb.g_00189
OG0000250	Prbk.g_00549	Prbb.g_00190
OG0000251	Prbk.g_00550	Prbb.g_00191
OG0000252	Prbk.g_00551	Prbb.g_00192
OG0000253	Prbk.g_00552	Prbb.g_00193
OG0000254	Prbk.g_00554	Prbb.g_01101
OG0000255	Prbk.g_00555	Prbb.g_00194
OG0000256	Prbk.g_00560	Prbb.g_00197
OG0000257	Prbk.g_00749	Prbb.g_00200
OG0000258	Prbk.g_00751	Prbb.g_00202
OG0000259	Prbk.g_00752	Prbb.g_00203
OG0000260	Prbk.g_00753	Prbb.g_00204
OG0000261	Prbk.g_00754	Prbb.g_00205
OG0000262	Prbk.g_00755	Prbb.g_00206
OG0000263	Prbk.g_00757	Prbb.g_00208
OG0000264	Prbk.g_00758	Prbb.g_00209
OG0000265	Prbk.g_00759	Prbb.g_00210
OG0000266	Prbk.g_00760	Prbb.g_00211
OG0000267	Prbk.g_00761	Prbb.g_00212
OG0000268	Prbk.g_00763	Prbb.g_00213
OG0000269	Prbk.g_00765	Prbb.g_00215
OG0000270	Prbk.g_00766	Prbb.g_00216
OG0000271	Prbk.g_00767	Prbb.g_00217
OG0000272	Prbk.g_00768	Prbb.g_00218
OG0000273	Prbk.g_00769	Prbb.g_00219
OG0000274	Prbk.g_00770	Prbb.g_00220
OG0000275	Prbk.g_00771	Prbb.g_00221
OG0000276	Prbk.g_00772	Prbb.g_00222
OG0000277	Prbk.g_00774	Prbb.g_00224
OG0000278	Prbk.g_00775	Prbb.g_00225
OG0000279	Prbk.g_00776	Prbb.g_00226
OG0000280	Prbk.g_00778	Prbb.g_00228
OG0000281	Prbk.g_00779	Prbb.g_00229
OG0000282	Prbk.g_00780	Prbb.g_00230
OG0000283	Prbk.g_00781	Prbb.g_00231
OG0000284	Prbk.g_00782	Prbb.g_00232
OG0000285	Prbk.g_00783	Prbb.g_00233
OG0000286	Prbk.g_00784	Prbb.g_00234
OG0000287	Prbk.g_00785	Prbb.g_00235
OG0000288	Prbk.g_02425	Prbb.g_00237
OG0000289	Prbk.g_01283	Prbb.g_00238
OG0000290	Prbk.g_01281	Prbb.g_00239
OG0000291	Prbk.g_01277	Prbb.g_00241
OG0000292	Prbk.g_01275	Prbb.g_00243
OG0000293	Prbk.g_01272	Prbb.g_00244
OG0000294	Prbk.g_01270	Prbb.g_00245
OG0000295	Prbk.g_01267	Prbb.g_00246
OG0000296	Prbk.g_01266	Prbb.g_00247
OG0000297	Prbk.g_01263	Prbb.g_00248
OG0000298	Prbk.g_01260	Prbb.g_00250
OG0000299	Prbk.g_01259	Prbb.g_00251
OG0000300	Prbk.g_01258	Prbb.g_00252
OG0000301	Prbk.g_01257	Prbb.g_00253
OG0000302	Prbk.g_01256	Prbb.g_00254
OG0000303	Prbk.g_01255	Prbb.g_00255
OG0000304	Prbk.g_01253	Prbb.g_00257
OG0000305	Prbk.g_01252	Prbb.g_00258
OG0000306	Prbk.g_01245	Prbb.g_00260
OG0000307	Prbk.g_01244	Prbb.g_00261
OG0000308	Prbk.g_00631	Prbb.g_00262
OG0000309	Prbk.g_00632	Prbb.g_00263
OG0000310	Prbk.g_00633	Prbb.g_00264
OG0000311	Prbk.g_00686	Prbb.g_00265
OG0000312	Prbk.g_00685	Prbb.g_00266
OG0000313	Prbk.g_00683	Prbb.g_00267
OG0000314	Prbk.g_00682	Prbb.g_00268
OG0000315	Prbk.g_00680	Prbb.g_00269
OG0000316	Prbk.g_00670	Prbb.g_00270
OG0000317	Prbk.g_00669	Prbb.g_00271
OG0000318	Prbk.g_00668	Prbb.g_00272
OG0000319	Prbk.g_00662	Prbb.g_00273
OG0000320	Prbk.g_00661	Prbb.g_00274
OG0000321	Prbk.g_00658	Prbb.g_00275
OG0000322	Prbk.g_00657	Prbb.g_00276
OG0000323	Prbk.g_00656	Prbb.g_00277
OG0000324	Prbk.g_00655	Prbb.g_00278
OG0000325	Prbk.g_00654	Prbb.g_00279
OG0000326	Prbk.g_00653	Prbb.g_00280
OG0000327	Prbk.g_00652	Prbb.g_00281
OG0000328	Prbk.g_00650	Prbb.g_00282
OG0000329	Prbk.g_00649	Prbb.g_00283
OG0000330	Prbk.g_00648	Prbb.g_00284
OG0000331	Prbk.g_01364	Prbb.g_00285
OG0000332	Prbk.g_01136	Prbb.g_00286
OG0000333	Prbk.g_01135	Prbb.g_00287
OG0000334	Prbk.g_01134	Prbb.g_00288
OG0000335	Prbk.g_01368	Prbb.g_00290
OG0000336	Prbk.g_01369	Prbb.g_00292
OG0000337	Prbk.g_01521	Prbb.g_00293
OG0000338	Prbk.g_01514	Prbb.g_00298
OG0000339	Prbk.g_01900	Prbb.g_00300
OG0000340	Prbk.g_01012	Prbb.g_00302
OG0000341	Prbk.g_01011	Prbb.g_00303
OG0000342	Prbk.g_01010	Prbb.g_00304
OG0000343	Prbk.g_01008	Prbb.g_00305
OG0000344	Prbk.g_01003	Prbb.g_00306
OG0000345	Prbk.g_00371	Prbb.g_00309
OG0000346	Prbk.g_00372	Prbb.g_00310
OG0000347	Prbk.g_00374	Prbb.g_00313
OG0000348	Prbk.g_00376	Prbb.g_00314
OG0000349	Prbk.g_00378	Prbb.g_00315
OG0000350	Prbk.g_00384	Prbb.g_00316
OG0000351	Prbk.g_01365	Prbb.g_00317
OG0000352	Prbk.g_00397	Prbb.g_00318
OG0000353	Prbk.g_00398	Prbb.g_00319
OG0000354	Prbk.g_00400	Prbb.g_00320
OG0000355	Prbk.g_00401	Prbb.g_00321
OG0000356	Prbk.g_00402	Prbb.g_00322
OG0000357	Prbk.g_00403	Prbb.g_00323
OG0000358	Prbk.g_00404	Prbb.g_00324
OG0000359	Prbk.g_00406	Prbb.g_00326
OG0000360	Prbk.g_00411	Prbb.g_00328
OG0000361	Prbk.g_00412	Prbb.g_00329
OG0000362	Prbk.g_00413	Prbb.g_00330
OG0000363	Prbk.g_00415	Prbb.g_00331
OG0000364	Prbk.g_00420	Prbb.g_00334
OG0000365	Prbk.g_00421	Prbb.g_00335
OG0000366	Prbk.g_00423	Prbb.g_00337
OG0000367	Prbk.g_00425	Prbb.g_00338
OG0000368	Prbk.g_00426	Prbb.g_00339
OG0000369	Prbk.g_00427	Prbb.g_00340
OG0000370	Prbk.g_00428	Prbb.g_00341
OG0000371	Prbk.g_00429	Prbb.g_00342
OG0000372	Prbk.g_00430	Prbb.g_00343
OG0000373	Prbk.g_00431	Prbb.g_00344
OG0000374	Prbk.g_00434	Prbb.g_00345
OG0000375	Prbk.g_00435	Prbb.g_00346
OG0000376	Prbk.g_00439	Prbb.g_00349
OG0000377	Prbk.g_00442	Prbb.g_00350
OG0000378	Prbk.g_00443	Prbb.g_00351
OG0000379	Prbk.g_00444	Prbb.g_00352
OG0000380	Prbk.g_00449	Prbb.g_00353
OG0000381	Prbk.g_00450	Prbb.g_00354
OG0000382	Prbk.g_00451	Prbb.g_00355
OG0000383	Prbk.g_00453	Prbb.g_00356
OG0000384	Prbk.g_00456	Prbb.g_00359
OG0000385	Prbk.g_00457	Prbb.g_00360
OG0000386	Prbk.g_00458	Prbb.g_00361
OG0000387	Prbk.g_00460	Prbb.g_00362
OG0000388	Prbk.g_00461	Prbb.g_00363
OG0000389	Prbk.g_00462	Prbb.g_00364
OG0000390	Prbk.g_00463	Prbb.g_00365
OG0000391	Prbk.g_00464	Prbb.g_00366
OG0000392	Prbk.g_00465	Prbb.g_00367
OG0000393	Prbk.g_00466	Prbb.g_00368
OG0000394	Prbk.g_00467	Prbb.g_00369
OG0000395	Prbk.g_00468	Prbb.g_00370
OG0000396	Prbk.g_00471	Prbb.g_00372
OG0000397	Prbk.g_00481	Prbb.g_00374
OG0000398	Prbk.g_00483	Prbb.g_00375
OG0000399	Prbk.g_00853	Prbb.g_00378
OG0000400	Prbk.g_00860	Prbb.g_00384
OG0000401	Prbk.g_00861	Prbb.g_00739
OG0000402	Prbk.g_00871	Prbb.g_00394
OG0000403	Prbk.g_00873	Prbb.g_00396
OG0000404	Prbk.g_00874	Prbb.g_00397
OG0000405	Prbk.g_00876	Prbb.g_00398
OG0000406	Prbk.g_00881	Prbb.g_00401
OG0000407	Prbk.g_00882	Prbb.g_00402
OG0000408	Prbk.g_00888	Prbb.g_00404
OG0000409	Prbk.g_00889	Prbb.g_00405
OG0000410	Prbk.g_00890	Prbb.g_00406
OG0000411	Prbk.g_00891	Prbb.g_00407
OG0000412	Prbk.g_00892	Prbb.g_00408
OG0000413	Prbk.g_00893	Prbb.g_00409
OG0000414	Prbk.g_00894	Prbb.g_00410
OG0000415	Prbk.g_00895	Prbb.g_00411
OG0000416	Prbk.g_00365	Prbb.g_00415
OG0000417	Prbk.g_00364	Prbb.g_00416
OG0000418	Prbk.g_00361	Prbb.g_00418
OG0000419	Prbk.g_00360	Prbb.g_00419
OG0000420	Prbk.g_02556	Prbb.g_00836
OG0000421	Prbk.g_01321	Prbb.g_01094
OG0000422	Prbk.g_00924	Prbb.g_01124
OG0000423	Prbk.g_01693	Prbb.g_01288
OG0000424	Prbk.g_01902	Prbb.g_01923
OG0000425	Prbk.g_00352	Prbb.g_00436
OG0000426	Prbk.g_00351	Prbb.g_00437
OG0000427	Prbk.g_00339	Prbb.g_00438
OG0000428	Prbk.g_00329	Prbb.g_00440
OG0000429	Prbk.g_00328	Prbb.g_00441
OG0000430	Prbk.g_00326	Prbb.g_00443
OG0000431	Prbk.g_00325	Prbb.g_00444
OG0000432	Prbk.g_00324	Prbb.g_00445
OG0000433	Prbk.g_00323	Prbb.g_00446
OG0000434	Prbk.g_00321	Prbb.g_00447
OG0000435	Prbk.g_00320	Prbb.g_00448
OG0000436	Prbk.g_00319	Prbb.g_00449
OG0000437	Prbk.g_00318	Prbb.g_00450
OG0000438	Prbk.g_00317	Prbb.g_00451
OG0000439	Prbk.g_00316	Prbb.g_00452
OG0000440	Prbk.g_00315	Prbb.g_00453
OG0000441	Prbk.g_00311	Prbb.g_00454
OG0000442	Prbk.g_00310	Prbb.g_00455
OG0000443	Prbk.g_00309	Prbb.g_00456
OG0000444	Prbk.g_00308	Prbb.g_00457
OG0000445	Prbk.g_00301	Prbb.g_00458
OG0000446	Prbk.g_00299	Prbb.g_00460
OG0000447	Prbk.g_00298	Prbb.g_00461
OG0000448	Prbk.g_00295	Prbb.g_00462
OG0000449	Prbk.g_02088	Prbb.g_00468
OG0000450	Prbk.g_02089	Prbb.g_00469
OG0000451	Prbk.g_02092	Prbb.g_00470
OG0000452	Prbk.g_02105	Prbb.g_00472
OG0000453	Prbk.g_02107	Prbb.g_00473
OG0000454	Prbk.g_02109	Prbb.g_00475
OG0000455	Prbk.g_02111	Prbb.g_00476
OG0000456	Prbk.g_02053	Prbb.g_00480
OG0000457	Prbk.g_02056	Prbb.g_00482
OG0000458	Prbk.g_02060	Prbb.g_00483
OG0000459	Prbk.g_02062	Prbb.g_00486
OG0000460	Prbk.g_02064	Prbb.g_00488
OG0000461	Prbk.g_02065	Prbb.g_00489
OG0000462	Prbk.g_02066	Prbb.g_00490
OG0000463	Prbk.g_02069	Prbb.g_00491
OG0000464	Prbk.g_02071	Prbb.g_00492
OG0000465	Prbk.g_02072	Prbb.g_00493
OG0000466	Prbk.g_02073	Prbb.g_00494
OG0000467	Prbk.g_02074	Prbb.g_00495
OG0000468	Prbk.g_02075	Prbb.g_00496
OG0000469	Prbk.g_02076	Prbb.g_00497
OG0000470	Prbk.g_02077	Prbb.g_00498
OG0000471	Prbk.g_02078	Prbb.g_00499
OG0000472	Prbk.g_01865	Prbb.g_00504
OG0000473	Prbk.g_01041	Prbb.g_00505
OG0000474	Prbk.g_01042	Prbb.g_00506
OG0000475	Prbk.g_01043	Prbb.g_00507
OG0000476	Prbk.g_01046	Prbb.g_00509
OG0000477	Prbk.g_01047	Prbb.g_00510
OG0000478	Prbk.g_01048	Prbb.g_00511
OG0000479	Prbk.g_01049	Prbb.g_00512
OG0000480	Prbk.g_01050	Prbb.g_00514
OG0000481	Prbk.g_01051	Prbb.g_00516
OG0000482	Prbk.g_01052	Prbb.g_00517
OG0000483	Prbk.g_01054	Prbb.g_00519
OG0000484	Prbk.g_01055	Prbb.g_00520
OG0000485	Prbk.g_01056	Prbb.g_00521
OG0000486	Prbk.g_01061	Prbb.g_00523
OG0000487	Prbk.g_01066	Prbb.g_00527
OG0000488	Prbk.g_01067	Prbb.g_00528
OG0000489	Prbk.g_01068	Prbb.g_00529
OG0000490	Prbk.g_01070	Prbb.g_00530
OG0000491	Prbk.g_01071	Prbb.g_00531
OG0000492	Prbk.g_01076	Prbb.g_00532
OG0000493	Prbk.g_01965	Prbb.g_00533
OG0000494	Prbk.g_01772	Prbb.g_00534
OG0000495	Prbk.g_01081	Prbb.g_00537
OG0000496	Prbk.g_01083	Prbb.g_00538
OG0000497	Prbk.g_01085	Prbb.g_00539
OG0000498	Prbk.g_01086	Prbb.g_00540
OG0000499	Prbk.g_01092	Prbb.g_00541
OG0000500	Prbk.g_01095	Prbb.g_00543
OG0000501	Prbk.g_01097	Prbb.g_00544
OG0000502	Prbk.g_01099	Prbb.g_00545
OG0000503	Prbk.g_02686	Prbb.g_00547
OG0000504	Prbk.g_01898	Prbb.g_00548
OG0000505	Prbk.g_01897	Prbb.g_00550
OG0000506	Prbk.g_01895	Prbb.g_00551
OG0000507	Prbk.g_01894	Prbb.g_00552
OG0000508	Prbk.g_01893	Prbb.g_00553
OG0000509	Prbk.g_01892	Prbb.g_00554
OG0000510	Prbk.g_01891	Prbb.g_00555
OG0000511	Prbk.g_01889	Prbb.g_00557
OG0000512	Prbk.g_01888	Prbb.g_00558
OG0000513	Prbk.g_01887	Prbb.g_00559
OG0000514	Prbk.g_01886	Prbb.g_00560
OG0000515	Prbk.g_01885	Prbb.g_00561
OG0000516	Prbk.g_01884	Prbb.g_00562
OG0000517	Prbk.g_01882	Prbb.g_00564
OG0000518	Prbk.g_01881	Prbb.g_00565
OG0000519	Prbk.g_01879	Prbb.g_00566
OG0000520	Prbk.g_01877	Prbb.g_00567
OG0000521	Prbk.g_01876	Prbb.g_00568
OG0000522	Prbk.g_01875	Prbb.g_00569
OG0000523	Prbk.g_01874	Prbb.g_00570
OG0000524	Prbk.g_01873	Prbb.g_00571
OG0000525	Prbk.g_01871	Prbb.g_00572
OG0000526	Prbk.g_01104	Prbb.g_00573
OG0000527	Prbk.g_01105	Prbb.g_00574
OG0000528	Prbk.g_01106	Prbb.g_00575
OG0000529	Prbk.g_01108	Prbb.g_00576
OG0000530	Prbk.g_01109	Prbb.g_00577
OG0000531	Prbk.g_01110	Prbb.g_00578
OG0000532	Prbk.g_01111	Prbb.g_00579
OG0000533	Prbk.g_01115	Prbb.g_00580
OG0000534	Prbk.g_01116	Prbb.g_00581
OG0000535	Prbk.g_01117	Prbb.g_00582
OG0000536	Prbk.g_01118	Prbb.g_00583
OG0000537	Prbk.g_01119	Prbb.g_00584
OG0000538	Prbk.g_01120	Prbb.g_00585
OG0000539	Prbk.g_01124	Prbb.g_00587
OG0000540	Prbk.g_01125	Prbb.g_00588
