Orthogroup	Prbk	Pray
OG0000093	Prbk.g_00992	Pray.g_01258
OG0000094	Prbk.g_00948	Pray.g_01303
OG0000095	Prbk.g_00512	Pray.g_01337
OG0000096	Prbk.g_01603	Pray.g_01409
OG0000098	Prbk.g_02281	Pray.g_01464
OG0000099	Prbk.g_01626	Pray.g_01485
OG0000101	Prbk.g_02126	Pray.g_00234
OG0000102	Prbk.g_00191	Pray.g_00176
OG0000103	Prbk.g_00206	Pray.g_00168
OG0000104	Prbk.g_00559	Pray.g_00150
OG0000105	Prbk.g_00777	Pray.g_00651
OG0000106	Prbk.g_01280	Pray.g_00665
OG0000107	Prbk.g_01261	Pray.g_00673
OG0000108	Prbk.g_01251	Pray.g_00683
OG0000109	Prbk.g_01515	Pray.g_00720
OG0000110	Prbk.g_01001	Pray.g_00732
OG0000111	Prbk.g_00409	Pray.g_00753
OG0000113	Prbk.g_00438	Pray.g_00775
OG0000114	Prbk.g_00492	Pray.g_00803
OG0000115	Prbk.g_02112	Pray.g_00964
OG0000116	Prbk.g_02114	Pray.g_00966
OG0000117	Prbk.g_02061	Pray.g_00970
OG0000118	Prbk.g_01862	Pray.g_00990
OG0000119	Prbk.g_01078	Pray.g_01023
OG0000120	Prbk.g_01080	Pray.g_01024, Pray.g_01228
OG0000121	Prbk.g_02684	Pray.g_01218
OG0000122	Prbk.g_01890	Pray.g_01209
OG0000123	Prbk.g_01121	Pray.g_01178
OG0000124	Prbk.g_00740	Pray.g_01112
OG0000125	Prbk.g_00739	Pray.g_01111
OG0000126	Prbk.g_00738	Pray.g_01110
OG0000127	Prbk.g_01385	Pray.g_01077
OG0000128	Prbk.g_00616	Pray.g_01038
OG0000129	Prbk.g_02370	Pray.g_00275
OG0000130	Prbk.g_01642	Pray.g_00333
OG0000131	Prbk.g_02466	Pray.g_00346
OG0000132	Prbk.g_02530	Pray.g_00382
OG0000133	Prbk.g_02438	Pray.g_00469
OG0000134	Prbk.g_02444	Pray.g_00479
OG0000135	Prbk.g_02316	Pray.g_00515
OG0000136	Prbk.g_00059	Pray.g_00581
OG0000137	Prbk.g_02197	Pray.g_00094
OG0000139	Prbk.g_00144	Pray.g_00057
OG0000140	Prbk.g_00121	Pray.g_00006
OG0000141	Prbk.g_00066	Pray.g_00250
OG0000142	Prbk.g_01169	Pray.g_01858
OG0000143	Prbk.g_02052	Pray.g_01829
OG0000144	Prbk.g_00243	Pray.g_01735
OG0000145	Prbk.g_00260	Pray.g_01721
OG0000146	Prbk.g_01212	Pray.g_01685
OG0000147	Prbk.g_00932	Pray.g_01645
OG0000148	Prbk.g_00931	Pray.g_01644
OG0000149	Prbk.g_00913	Pray.g_01561
OG0000150	Prbk.g_01417	Pray.g_01523
OG0000151	Prbk.g_01414	Pray.g_01520
OG0000152	Prbk.g_01381	Pray.g_01229
OG0000153	Prbk.g_00987	Pray.g_01265
OG0000154	Prbk.g_00950	Pray.g_01301
OG0000155	Prbk.g_00811	Pray.g_01319
OG0000156	Prbk.g_00528	Pray.g_01348
OG0000157	Prbk.g_01540	Pray.g_01381
OG0000158	Prbk.g_02252	Pray.g_01444
OG0000160	Prbk.g_02279	Pray.g_01462
OG0000161	Prbk.g_02280	Pray.g_01463
OG0000162	Prbk.g_02282	Pray.g_01465
OG0000163	Prbk.g_02283	Pray.g_01467
OG0000164	Prbk.g_02284	Pray.g_01468
OG0000165	Prbk.g_02285	Pray.g_01469
OG0000166	Prbk.g_02287	Pray.g_01470
OG0000167	Prbk.g_02288	Pray.g_01471
OG0000168	Prbk.g_02289	Pray.g_01472
OG0000169	Prbk.g_02291	Pray.g_01474
OG0000170	Prbk.g_01639	Pray.g_01476
OG0000171	Prbk.g_01638	Pray.g_01477
OG0000172	Prbk.g_01633	Pray.g_01478
OG0000173	Prbk.g_01632	Pray.g_01479
OG0000174	Prbk.g_01631	Pray.g_01480
OG0000175	Prbk.g_01630	Pray.g_01481
OG0000176	Prbk.g_01629	Pray.g_01482
OG0000177	Prbk.g_01628	Pray.g_01483
OG0000178	Prbk.g_01627	Pray.g_01484
OG0000179	Prbk.g_01625	Pray.g_01486
OG0000180	Prbk.g_01624	Pray.g_01487
OG0000181	Prbk.g_01623	Pray.g_01488
OG0000182	Prbk.g_01622	Pray.g_01489
OG0000183	Prbk.g_01621	Pray.g_01490
OG0000184	Prbk.g_01619	Pray.g_01491
OG0000185	Prbk.g_01614	Pray.g_01494
OG0000186	Prbk.g_01609	Pray.g_01497
OG0000187	Prbk.g_01608	Pray.g_01498
OG0000188	Prbk.g_01607	Pray.g_01499
OG0000189	Prbk.g_01606	Pray.g_00243
OG0000190	Prbk.g_01604	Pray.g_00241
OG0000191	Prbk.g_02158	Pray.g_00240
OG0000192	Prbk.g_02156	Pray.g_00239
OG0000193	Prbk.g_02155	Pray.g_00238
OG0000194	Prbk.g_02148	Pray.g_00237
OG0000195	Prbk.g_02141	Pray.g_00236
OG0000196	Prbk.g_02133	Pray.g_00235
OG0000197	Prbk.g_02125	Pray.g_00233
OG0000198	Prbk.g_02124	Pray.g_00232
OG0000199	Prbk.g_02123	Pray.g_00231
OG0000200	Prbk.g_01326	Pray.g_00225
OG0000201	Prbk.g_01324	Pray.g_00224
OG0000202	Prbk.g_01323	Pray.g_00223
OG0000203	Prbk.g_01320	Pray.g_00220
OG0000204	Prbk.g_01319	Pray.g_00219
OG0000205	Prbk.g_01315	Pray.g_00216
OG0000206	Prbk.g_01313	Pray.g_00214
OG0000207	Prbk.g_01309	Pray.g_00212
OG0000208	Prbk.g_01308	Pray.g_00211
OG0000209	Prbk.g_01665	Pray.g_00210
OG0000210	Prbk.g_01307	Pray.g_00209
OG0000211	Prbk.g_01304	Pray.g_00208
OG0000212	Prbk.g_01303	Pray.g_00207
OG0000213	Prbk.g_01302	Pray.g_00206
OG0000214	Prbk.g_01301	Pray.g_00205
OG0000215	Prbk.g_01300	Pray.g_00204
OG0000216	Prbk.g_01299	Pray.g_00203
OG0000217	Prbk.g_01295	Pray.g_00201
OG0000218	Prbk.g_01294	Pray.g_00200
OG0000219	Prbk.g_00035	Pray.g_00199
OG0000220	Prbk.g_00031	Pray.g_00198
OG0000221	Prbk.g_00026	Pray.g_00195
OG0000222	Prbk.g_00025	Pray.g_00194
OG0000223	Prbk.g_00024	Pray.g_00193
OG0000224	Prbk.g_00022	Pray.g_00192
OG0000225	Prbk.g_00021	Pray.g_00191
OG0000226	Prbk.g_00020	Pray.g_00190
OG0000227	Prbk.g_00018	Pray.g_00189
OG0000228	Prbk.g_00017	Pray.g_00188
OG0000229	Prbk.g_00016	Pray.g_00187
OG0000230	Prbk.g_00015	Pray.g_00186
OG0000231	Prbk.g_00014	Pray.g_00185
OG0000232	Prbk.g_00012	Pray.g_00183
OG0000233	Prbk.g_00011	Pray.g_00182
OG0000234	Prbk.g_00010	Pray.g_00181
OG0000235	Prbk.g_00007	Pray.g_00180
OG0000236	Prbk.g_00003	Pray.g_00179
OG0000237	Prbk.g_00001	Pray.g_00178
OG0000238	Prbk.g_00190	Pray.g_00177
OG0000239	Prbk.g_00192	Pray.g_00175
OG0000240	Prbk.g_00194	Pray.g_00174
OG0000241	Prbk.g_00196	Pray.g_00173
OG0000242	Prbk.g_00197	Pray.g_00172
OG0000243	Prbk.g_00202	Pray.g_00169
OG0000244	Prbk.g_00207	Pray.g_00167
OG0000245	Prbk.g_00208	Pray.g_00166
OG0000246	Prbk.g_00209	Pray.g_00165
OG0000247	Prbk.g_00542	Pray.g_00162
OG0000248	Prbk.g_00544	Pray.g_00160
OG0000249	Prbk.g_00547	Pray.g_00159
OG0000250	Prbk.g_00549	Pray.g_00158
OG0000251	Prbk.g_00550	Pray.g_00157
OG0000252	Prbk.g_00551	Pray.g_00156
OG0000253	Prbk.g_00552	Pray.g_00155
OG0000254	Prbk.g_00554	Pray.g_00153
OG0000255	Prbk.g_00555	Pray.g_00152
OG0000256	Prbk.g_00560	Pray.g_00149
OG0000257	Prbk.g_00749	Pray.g_00147
OG0000258	Prbk.g_00751	Pray.g_00144
OG0000259	Prbk.g_00752	Pray.g_00143
OG0000260	Prbk.g_00753	Pray.g_00142
OG0000261	Prbk.g_00754	Pray.g_00141
OG0000262	Prbk.g_00755	Pray.g_00140
OG0000263	Prbk.g_00757	Pray.g_00138
OG0000264	Prbk.g_00758	Pray.g_00137
OG0000265	Prbk.g_00759	Pray.g_00136
OG0000266	Prbk.g_00760	Pray.g_00635
OG0000267	Prbk.g_00761	Pray.g_00636
OG0000268	Prbk.g_00763	Pray.g_00637
OG0000269	Prbk.g_00765	Pray.g_00639
OG0000270	Prbk.g_00766	Pray.g_00640
OG0000271	Prbk.g_00767	Pray.g_00641
OG0000272	Prbk.g_00768	Pray.g_00642
OG0000273	Prbk.g_00769	Pray.g_00643
OG0000274	Prbk.g_00770	Pray.g_00644
OG0000275	Prbk.g_00771	Pray.g_00645
OG0000276	Prbk.g_00772	Pray.g_00646
OG0000277	Prbk.g_00774	Pray.g_00648
OG0000278	Prbk.g_00775	Pray.g_00649
OG0000279	Prbk.g_00776	Pray.g_00650
OG0000280	Prbk.g_00778	Pray.g_00652
OG0000281	Prbk.g_00779	Pray.g_00654
OG0000282	Prbk.g_00780	Pray.g_00655
OG0000283	Prbk.g_00781	Pray.g_00656
OG0000284	Prbk.g_00782	Pray.g_00657
OG0000285	Prbk.g_00783	Pray.g_00658
OG0000286	Prbk.g_00784	Pray.g_00659
OG0000287	Prbk.g_00785	Pray.g_00660
OG0000288	Prbk.g_02425	Pray.g_00662
OG0000289	Prbk.g_01283	Pray.g_00663
OG0000290	Prbk.g_01281	Pray.g_00664
OG0000291	Prbk.g_01277	Pray.g_00666
OG0000292	Prbk.g_01275	Pray.g_00667
OG0000293	Prbk.g_01272	Pray.g_00668
OG0000294	Prbk.g_01270	Pray.g_00669
OG0000295	Prbk.g_01267	Pray.g_00670
OG0000296	Prbk.g_01266	Pray.g_00671
OG0000297	Prbk.g_01263	Pray.g_00672
OG0000298	Prbk.g_01260	Pray.g_00674
OG0000299	Prbk.g_01259	Pray.g_00675
OG0000300	Prbk.g_01258	Pray.g_00676
OG0000301	Prbk.g_01257	Pray.g_00677
OG0000302	Prbk.g_01256	Pray.g_00678
OG0000303	Prbk.g_01255	Pray.g_00679
OG0000304	Prbk.g_01253	Pray.g_00681
OG0000305	Prbk.g_01252	Pray.g_00682
OG0000306	Prbk.g_01245	Pray.g_00685
OG0000307	Prbk.g_01244	Pray.g_00686
OG0000308	Prbk.g_00631	Pray.g_00687
OG0000309	Prbk.g_00632	Pray.g_00688
OG0000310	Prbk.g_00633	Pray.g_00689
OG0000311	Prbk.g_00686	Pray.g_00690
OG0000312	Prbk.g_00685	Pray.g_00691
OG0000313	Prbk.g_00683	Pray.g_00692
OG0000314	Prbk.g_00682	Pray.g_00693
OG0000315	Prbk.g_00680	Pray.g_00694
OG0000316	Prbk.g_00670	Pray.g_00695
OG0000317	Prbk.g_00669	Pray.g_00696
OG0000318	Prbk.g_00668	Pray.g_00697
OG0000319	Prbk.g_00662	Pray.g_00698
OG0000320	Prbk.g_00661	Pray.g_00699
OG0000321	Prbk.g_00658	Pray.g_00700
OG0000322	Prbk.g_00657	Pray.g_00701
OG0000323	Prbk.g_00656	Pray.g_00702
OG0000324	Prbk.g_00655	Pray.g_00703
OG0000325	Prbk.g_00654	Pray.g_00704
OG0000326	Prbk.g_00653	Pray.g_00705
OG0000327	Prbk.g_00652	Pray.g_00706
OG0000328	Prbk.g_00650	Pray.g_00707
OG0000329	Prbk.g_00649	Pray.g_00708
OG0000330	Prbk.g_00648	Pray.g_00709
OG0000331	Prbk.g_01364	Pray.g_00710
OG0000332	Prbk.g_01136	Pray.g_00711
OG0000333	Prbk.g_01135	Pray.g_00712
OG0000334	Prbk.g_01134	Pray.g_00713
OG0000335	Prbk.g_01368	Pray.g_00714
OG0000336	Prbk.g_01369	Pray.g_00716
OG0000337	Prbk.g_01521	Pray.g_00717
OG0000338	Prbk.g_01514	Pray.g_00721
OG0000339	Prbk.g_01900	Pray.g_00723
OG0000340	Prbk.g_01012	Pray.g_00725
OG0000341	Prbk.g_01011	Pray.g_00726
OG0000342	Prbk.g_01010	Pray.g_00727
OG0000343	Prbk.g_01008	Pray.g_00728
OG0000344	Prbk.g_01003	Pray.g_00731
OG0000345	Prbk.g_00371	Pray.g_00734
OG0000346	Prbk.g_00372	Pray.g_00735
OG0000347	Prbk.g_00374	Pray.g_00738
OG0000348	Prbk.g_00376	Pray.g_00739
OG0000349	Prbk.g_00378	Pray.g_00740
OG0000350	Prbk.g_00384	Pray.g_00742
OG0000351	Prbk.g_01365	Pray.g_00743
OG0000352	Prbk.g_00397	Pray.g_00744
OG0000353	Prbk.g_00398	Pray.g_00745
OG0000354	Prbk.g_00400	Pray.g_00746
OG0000355	Prbk.g_00401	Pray.g_00747
OG0000356	Prbk.g_00402	Pray.g_00748
OG0000357	Prbk.g_00403	Pray.g_00749
OG0000358	Prbk.g_00404	Pray.g_00750
OG0000359	Prbk.g_00406	Pray.g_00751
OG0000360	Prbk.g_00411	Pray.g_00754
OG0000361	Prbk.g_00412	Pray.g_00755
OG0000362	Prbk.g_00413	Pray.g_00756
OG0000363	Prbk.g_00415	Pray.g_00757
OG0000364	Prbk.g_00420	Pray.g_00761
OG0000365	Prbk.g_00421	Pray.g_00762
OG0000366	Prbk.g_00423	Pray.g_00764
OG0000367	Prbk.g_00425	Pray.g_00765
OG0000368	Prbk.g_00426	Pray.g_00766
OG0000369	Prbk.g_00427	Pray.g_00767
OG0000370	Prbk.g_00428	Pray.g_00768
OG0000371	Prbk.g_00429	Pray.g_00769
OG0000372	Prbk.g_00430	Pray.g_00770
OG0000373	Prbk.g_00431	Pray.g_00771
OG0000374	Prbk.g_00434	Pray.g_00772
OG0000375	Prbk.g_00435	Pray.g_00773
OG0000376	Prbk.g_00439	Pray.g_00776
OG0000377	Prbk.g_00442	Pray.g_00777
OG0000378	Prbk.g_00443	Pray.g_00778
OG0000379	Prbk.g_00444	Pray.g_00779
OG0000380	Prbk.g_00449	Pray.g_00780
OG0000381	Prbk.g_00450	Pray.g_00781
OG0000382	Prbk.g_00451	Pray.g_00782
OG0000383	Prbk.g_00453	Pray.g_00783
OG0000384	Prbk.g_00456	Pray.g_00786
OG0000385	Prbk.g_00457	Pray.g_00787
OG0000386	Prbk.g_00458	Pray.g_00788
OG0000387	Prbk.g_00460	Pray.g_00789
OG0000388	Prbk.g_00461	Pray.g_00790
OG0000389	Prbk.g_00462	Pray.g_00791
OG0000390	Prbk.g_00463	Pray.g_00792
OG0000391	Prbk.g_00464	Pray.g_00793
OG0000392	Prbk.g_00465	Pray.g_00794
OG0000393	Prbk.g_00466	Pray.g_00795
OG0000394	Prbk.g_00467	Pray.g_00796
OG0000395	Prbk.g_00468	Pray.g_00797
OG0000396	Prbk.g_00471	Pray.g_00799
OG0000397	Prbk.g_00481	Pray.g_00801
OG0000398	Prbk.g_00483	Pray.g_00802
OG0000399	Prbk.g_00853	Pray.g_00805
OG0000400	Prbk.g_00860	Pray.g_00806
OG0000401	Prbk.g_00861	Pray.g_00807
OG0000402	Prbk.g_00871	Pray.g_00812
OG0000403	Prbk.g_00873	Pray.g_00813
OG0000404	Prbk.g_00874	Pray.g_00814
OG0000405	Prbk.g_00876	Pray.g_00816
OG0000406	Prbk.g_00881	Pray.g_00819
OG0000407	Prbk.g_00882	Pray.g_00820
OG0000408	Prbk.g_00888	Pray.g_00823
OG0000409	Prbk.g_00889	Pray.g_00824
OG0000410	Prbk.g_00890	Pray.g_00825
OG0000411	Prbk.g_00891	Pray.g_00826
OG0000412	Prbk.g_00892	Pray.g_00827
OG0000413	Prbk.g_00893	Pray.g_00828
OG0000414	Prbk.g_00894	Pray.g_00829
OG0000415	Prbk.g_00895	Pray.g_00830
OG0000416	Prbk.g_00365	Pray.g_00833
OG0000417	Prbk.g_00364	Pray.g_00834
OG0000418	Prbk.g_00361	Pray.g_00835
OG0000419	Prbk.g_00360	Pray.g_00836
OG0000420	Prbk.g_02556	Pray.g_00837
OG0000421	Prbk.g_01321	Pray.g_00849
OG0000422	Prbk.g_00924	Pray.g_00857
OG0000423	Prbk.g_01693	Pray.g_00858
OG0000424	Prbk.g_01902	Pray.g_00864
OG0000425	Prbk.g_00352	Pray.g_00921
OG0000426	Prbk.g_00351	Pray.g_00922
OG0000427	Prbk.g_00339	Pray.g_00923
OG0000428	Prbk.g_00329	Pray.g_00925
OG0000429	Prbk.g_00328	Pray.g_00926
OG0000430	Prbk.g_00326	Pray.g_00928
OG0000431	Prbk.g_00325	Pray.g_00929
OG0000432	Prbk.g_00324	Pray.g_00930
OG0000433	Prbk.g_00323	Pray.g_00931
OG0000434	Prbk.g_00321	Pray.g_00932
OG0000435	Prbk.g_00320	Pray.g_00933
OG0000436	Prbk.g_00319	Pray.g_00934
OG0000437	Prbk.g_00318	Pray.g_00935
OG0000438	Prbk.g_00317	Pray.g_00936
OG0000439	Prbk.g_00316	Pray.g_00937
OG0000440	Prbk.g_00315	Pray.g_00938
OG0000441	Prbk.g_00311	Pray.g_00939
OG0000442	Prbk.g_00310	Pray.g_00940
OG0000443	Prbk.g_00309	Pray.g_00941
OG0000444	Prbk.g_00308	Pray.g_00942
OG0000445	Prbk.g_00301	Pray.g_00943
OG0000446	Prbk.g_00299	Pray.g_00945
OG0000447	Prbk.g_00298	Pray.g_00946
OG0000448	Prbk.g_00295	Pray.g_00948
OG0000449	Prbk.g_02088	Pray.g_00951
OG0000450	Prbk.g_02089	Pray.g_00952
OG0000451	Prbk.g_02092	Pray.g_00953
OG0000452	Prbk.g_02105	Pray.g_00954
OG0000453	Prbk.g_02107	Pray.g_00955
OG0000454	Prbk.g_02109	Pray.g_00961
OG0000455	Prbk.g_02111	Pray.g_00963
OG0000456	Prbk.g_02053	Pray.g_00967
OG0000457	Prbk.g_02056	Pray.g_00968
OG0000458	Prbk.g_02060	Pray.g_00969
OG0000459	Prbk.g_02062	Pray.g_00971
OG0000460	Prbk.g_02064	Pray.g_00973
OG0000461	Prbk.g_02065	Pray.g_00974
OG0000462	Prbk.g_02066	Pray.g_00975
OG0000463	Prbk.g_02069	Pray.g_00977
OG0000464	Prbk.g_02071	Pray.g_00978
OG0000465	Prbk.g_02072	Pray.g_00979
OG0000466	Prbk.g_02073	Pray.g_00980
OG0000467	Prbk.g_02074	Pray.g_00981
OG0000468	Prbk.g_02075	Pray.g_00982
OG0000469	Prbk.g_02076	Pray.g_00983
OG0000470	Prbk.g_02077	Pray.g_00984
OG0000471	Prbk.g_02078	Pray.g_00985
OG0000472	Prbk.g_01865	Pray.g_00991
OG0000473	Prbk.g_01041	Pray.g_00992
OG0000474	Prbk.g_01042	Pray.g_00993
OG0000475	Prbk.g_01043	Pray.g_00994
OG0000476	Prbk.g_01046	Pray.g_00996
OG0000477	Prbk.g_01047	Pray.g_00997
OG0000478	Prbk.g_01048	Pray.g_00998
OG0000479	Prbk.g_01049	Pray.g_00999
OG0000480	Prbk.g_01050	Pray.g_01001
OG0000481	Prbk.g_01051	Pray.g_01003
OG0000482	Prbk.g_01052	Pray.g_01004
OG0000483	Prbk.g_01054	Pray.g_01006
OG0000484	Prbk.g_01055	Pray.g_01007
OG0000485	Prbk.g_01056	Pray.g_01008
OG0000486	Prbk.g_01061	Pray.g_01009
OG0000487	Prbk.g_01066	Pray.g_01014
OG0000488	Prbk.g_01067	Pray.g_01016
OG0000489	Prbk.g_01068	Pray.g_01017
OG0000490	Prbk.g_01070	Pray.g_01018
OG0000491	Prbk.g_01071	Pray.g_01019
OG0000492	Prbk.g_01076	Pray.g_01020
OG0000493	Prbk.g_01965	Pray.g_01021
OG0000494	Prbk.g_01772	Pray.g_01022
OG0000495	Prbk.g_01081	Pray.g_01227
OG0000496	Prbk.g_01083	Pray.g_01226
OG0000497	Prbk.g_01085	Pray.g_01225
OG0000498	Prbk.g_01086	Pray.g_01224
OG0000499	Prbk.g_01092	Pray.g_01223
OG0000500	Prbk.g_01095	Pray.g_01221
OG0000501	Prbk.g_01097	Pray.g_01220
OG0000502	Prbk.g_01099	Pray.g_01219
OG0000503	Prbk.g_02686	Pray.g_01217
OG0000504	Prbk.g_01898	Pray.g_01216
OG0000505	Prbk.g_01897	Pray.g_01215
OG0000506	Prbk.g_01895	Pray.g_01214
OG0000507	Prbk.g_01894	Pray.g_01213
OG0000508	Prbk.g_01893	Pray.g_01212
OG0000509	Prbk.g_01892	Pray.g_01211
OG0000510	Prbk.g_01891	Pray.g_01210
OG0000511	Prbk.g_01889	Pray.g_01208
OG0000512	Prbk.g_01888	Pray.g_01207
OG0000513	Prbk.g_01887	Pray.g_01206
OG0000514	Prbk.g_01886	Pray.g_01205
OG0000515	Prbk.g_01885	Pray.g_01204
OG0000516	Prbk.g_01884	Pray.g_01203
OG0000517	Prbk.g_01882	Pray.g_01201
OG0000518	Prbk.g_01881	Pray.g_01200
OG0000519	Prbk.g_01879	Pray.g_01199
OG0000520	Prbk.g_01877	Pray.g_01198
OG0000521	Prbk.g_01876	Pray.g_01197
OG0000522	Prbk.g_01875	Pray.g_01196
OG0000523	Prbk.g_01874	Pray.g_01195
OG0000524	Prbk.g_01873	Pray.g_01194
OG0000525	Prbk.g_01871	Pray.g_01193
OG0000526	Prbk.g_01104	Pray.g_01192
OG0000527	Prbk.g_01105	Pray.g_01191
OG0000528	Prbk.g_01106	Pray.g_01190
OG0000529	Prbk.g_01108	Pray.g_01189
OG0000530	Prbk.g_01109	Pray.g_01188
OG0000531	Prbk.g_01110	Pray.g_01187
OG0000532	Prbk.g_01111	Pray.g_01186
OG0000533	Prbk.g_01115	Pray.g_01184
OG0000534	Prbk.g_01116	Pray.g_01183
OG0000535	Prbk.g_01117	Pray.g_01182
OG0000536	Prbk.g_01118	Pray.g_01181
OG0000537	Prbk.g_01119	Pray.g_01180
OG0000538	Prbk.g_01120	Pray.g_01179
OG0000539	Prbk.g_01124	Pray.g_01176
OG0000540	Prbk.g_01125	Pray.g_01175
OG0000541	Prbk.g_01126	Pray.g_01174
OG0000542	Prbk.g_01130	Pray.g_01172
OG0000543	Prbk.g_01131	Pray.g_01171
OG0000544	Prbk.g_01132	Pray.g_01170
OG0000545	Prbk.g_01133	Pray.g_01169
OG0000546	Prbk.g_01139	Pray.g_01168
OG0000547	Prbk.g_01140	Pray.g_01167
OG0000548	Prbk.g_01141	Pray.g_01166
OG0000549	Prbk.g_01143	Pray.g_01164
OG0000550	Prbk.g_01144	Pray.g_01163
OG0000551	Prbk.g_01145	Pray.g_01162
OG0000552	Prbk.g_01146	Pray.g_01161
OG0000553	Prbk.g_01147	Pray.g_01160
OG0000554	Prbk.g_01148	Pray.g_01159
OG0000555	Prbk.g_01151	Pray.g_01158
OG0000556	Prbk.g_01153	Pray.g_01157
OG0000557	Prbk.g_01154	Pray.g_01156
OG0000558	Prbk.g_01155	Pray.g_01155
OG0000559	Prbk.g_01156	Pray.g_01154
OG0000560	Prbk.g_01157	Pray.g_01153
OG0000561	Prbk.g_01158	Pray.g_01152
OG0000562	Prbk.g_01159	Pray.g_01151
OG0000563	Prbk.g_01161	Pray.g_01150
OG0000564	Prbk.g_01163	Pray.g_01149
OG0000565	Prbk.g_02602	Pray.g_01148
OG0000566	Prbk.g_02603	Pray.g_01147
OG0000567	Prbk.g_02604	Pray.g_01146
OG0000568	Prbk.g_02605	Pray.g_01145
OG0000569	Prbk.g_02608	Pray.g_01142
OG0000570	Prbk.g_02609	Pray.g_01141
OG0000571	Prbk.g_02611	Pray.g_01139
OG0000572	Prbk.g_02616	Pray.g_01138
OG0000573	Prbk.g_02617	Pray.g_01137
OG0000574	Prbk.g_02618	Pray.g_01136
OG0000575	Prbk.g_02621	Pray.g_01135
OG0000576	Prbk.g_02623	Pray.g_01134
OG0000577	Prbk.g_02624	Pray.g_01133
