Orthogroup	Prbn	Syal
OG0000093	Prbn.g_00846	Syal.g_02233
OG0000094	Prbn.g_01369	Syal.g_01907
OG0000095	Prbn.g_01471	Syal.g_01823
OG0000097	Prbn.g_00408	Syal.g_01735, Syal.g_01553
OG0000098	Prbn.g_01216	Syal.g_02196
OG0000099	Prbn.g_00173	Syal.g_01323
OG0000100	Prbn.g_00903	Syal.g_02448
OG0000101	Prbn.g_01881	Syal.g_00275
OG0000102	Prbn.g_00991	Syal.g_01488
OG0000103	Prbn.g_00907	Syal.g_00077, Syal.g_01897
OG0000104	Prbn.g_00296	Syal.g_00092
OG0000105	Prbn.g_00041	Syal.g_01255
OG0000106	Prbn.g_00829	Syal.g_02577
OG0000107	Prbn.g_01810	Syal.g_00194
OG0000108	Prbn.g_00634	Syal.g_02897
OG0000109	Prbn.g_00620	Syal.g_02913
OG0000110	Prbn.g_00541	Syal.g_02782
OG0000111	Prbn.g_01561	Syal.g_01813
OG0000112	Prbn.g_00468	Syal.g_02000
OG0000113	Prbn.g_01523	Syal.g_02443
OG0000114	Prbn.g_01621	Syal.g_02286
OG0000115	Prbn.g_01120	Syal.g_00404
OG0000116	Prbn.g_01178	Syal.g_01630
OG0000117	Prbn.g_00389	Syal.g_01704
OG0000118	Prbn.g_01071	Syal.g_01583
OG0000119	Prbn.g_01135, Prbn.g_00885	Syal.g_02056
OG0000120	Prbn.g_00170	Syal.g_01324
OG0000121	Prbn.g_00214	Syal.g_00374
OG0000122	Prbn.g_01113, Prbn.g_00255	Syal.g_02602
OG0000123	Prbn.g_01888	Syal.g_00283
OG0000124	Prbn.g_00979	Syal.g_01519
OG0000125	Prbn.g_00944	Syal.g_01075
OG0000126	Prbn.g_00295	Syal.g_00090
OG0000128	Prbn.g_00002, Prbn.g_00003	Syal.g_00109
OG0000129	Prbn.g_00737	Syal.g_01062
OG0000130	Prbn.g_00708	Syal.g_00751
OG0000131	Prbn.g_01269	Syal.g_00886
OG0000132	Prbn.g_01249	Syal.g_00906
OG0000133	Prbn.g_00088	Syal.g_01995
OG0000134	Prbn.g_00694	Syal.g_00552
OG0000135	Prbn.g_01102	Syal.g_01119
OG0000136	Prbn.g_00672	Syal.g_00520
OG0000137	Prbn.g_00639	Syal.g_00463
OG0000138	Prbn.g_00619	Syal.g_02914
OG0000139	Prbn.g_00579	Syal.g_02832
OG0000140	Prbn.g_00578	Syal.g_02830
OG0000141	Prbn.g_00507	Syal.g_02738
OG0000142	Prbn.g_00426	Syal.g_02636
OG0000143	Prbn.g_00430	Syal.g_02632
OG0000144	Prbn.g_00444	Syal.g_02515
OG0000145	Prbn.g_01100	Syal.g_02921
OG0000146	Prbn.g_00469	Syal.g_02001
OG0000147	Prbn.g_00470	Syal.g_02002
OG0000148	Prbn.g_01529	Syal.g_02437
OG0000149	Prbn.g_01497	Syal.g_02475
OG0000150	Prbn.g_01487	Syal.g_02737
OG0000151	Prbn.g_01611	Syal.g_02263
OG0000152	Prbn.g_01418	Syal.g_01991
OG0000153	Prbn.g_01399	Syal.g_01958
OG0000154	Prbn.g_01379	Syal.g_01918
OG0000155	Prbn.g_01210	Syal.g_01695
OG0000156	Prbn.g_01095	Syal.g_01620
OG0000157	Prbn.g_01094	Syal.g_01619
OG0000158	Prbn.g_01014	Syal.g_01431
OG0000159	Prbn.g_00717	Syal.g_01400
OG0000160	Prbn.g_00213	Syal.g_00372
OG0000161	Prbn.g_00219	Syal.g_00384
OG0000162	Prbn.g_00225	Syal.g_00396
OG0000163	Prbn.g_00264	Syal.g_02971
OG0000164	Prbn.g_01770	Syal.g_00623
OG0000165	Prbn.g_01777	Syal.g_00632
OG0000166	Prbn.g_01844	Syal.g_00236
OG0000167	Prbn.g_01915	Syal.g_01347
OG0000168	Prbn.g_01013	Syal.g_01433
OG0000169	Prbn.g_01003	Syal.g_01447
OG0000170	Prbn.g_01000	Syal.g_01454
OG0000171	Prbn.g_00980	Syal.g_01518
OG0000172	Prbn.g_00973	Syal.g_00174, Syal.g_00173
OG0000173	Prbn.g_00958	Syal.g_00155
OG0000174	Prbn.g_00929	Syal.g_01121
OG0000175	Prbn.g_00916	Syal.g_01172
OG0000176	Prbn.g_00010	Syal.g_00101
OG0000177	Prbn.g_00009	Syal.g_00102
OG0000178	Prbn.g_00008	Syal.g_00103
OG0000179	Prbn.g_00766	Syal.g_00118
OG0000180	Prbn.g_00765	Syal.g_00119
OG0000181	Prbn.g_00764	Syal.g_00120
OG0000182	Prbn.g_00763	Syal.g_00121
OG0000183	Prbn.g_00759	Syal.g_00125
OG0000184	Prbn.g_00733	Syal.g_02678, Syal.g_01050
OG0000185	Prbn.g_00730	Syal.g_01025
OG0000186	Prbn.g_00714	Syal.g_02684, Syal.g_00747
OG0000187	Prbn.g_00713	Syal.g_02685, Syal.g_00748
OG0000188	Prbn.g_01339	Syal.g_00771
OG0000189	Prbn.g_01325	Syal.g_00807
OG0000190	Prbn.g_01323	Syal.g_01364
OG0000191	Prbn.g_01300	Syal.g_00841
OG0000192	Prbn.g_01295	Syal.g_00847
OG0000193	Prbn.g_01268	Syal.g_00887
OG0000194	Prbn.g_01265	Syal.g_00890
OG0000195	Prbn.g_01263	Syal.g_00892
OG0000196	Prbn.g_01252	Syal.g_00903
OG0000197	Prbn.g_01251	Syal.g_00904
OG0000198	Prbn.g_01250	Syal.g_00905
OG0000199	Prbn.g_01243, Prbn.g_00384	Syal.g_00913
OG0000200	Prbn.g_00370	Syal.g_00932
OG0000201	Prbn.g_00361	Syal.g_00949
OG0000202	Prbn.g_00360	Syal.g_00950
OG0000203	Prbn.g_00359	Syal.g_00951
OG0000204	Prbn.g_00358	Syal.g_00952
OG0000205	Prbn.g_00351	Syal.g_00959
OG0000206	Prbn.g_00346	Syal.g_00971
OG0000207	Prbn.g_00343	Syal.g_00974
OG0000208	Prbn.g_00342	Syal.g_00975
OG0000209	Prbn.g_00333	Syal.g_01000
OG0000210	Prbn.g_00332	Syal.g_01001
OG0000211	Prbn.g_00317	Syal.g_00688
OG0000212	Prbn.g_00309	Syal.g_00679
OG0000213	Prbn.g_00024	Syal.g_01229
OG0000214	Prbn.g_00034	Syal.g_01246
OG0000215	Prbn.g_00061	Syal.g_01277
OG0000216	Prbn.g_00062	Syal.g_01281
OG0000217	Prbn.g_00065	Syal.g_01285
OG0000218	Prbn.g_00067	Syal.g_01287
OG0000219	Prbn.g_00068	Syal.g_01288
OG0000220	Prbn.g_00069	Syal.g_01289
OG0000221	Prbn.g_00070	Syal.g_01297
OG0000222	Prbn.g_00077	Syal.g_01309
OG0000223	Prbn.g_00089	Syal.g_01327
OG0000224	Prbn.g_00091	Syal.g_01329
OG0000225	Prbn.g_00117	Syal.g_00363
OG0000226	Prbn.g_00121	Syal.g_00367
OG0000227	Prbn.g_00123	Syal.g_00369
OG0000228	Prbn.g_00697	Syal.g_00556
OG0000229	Prbn.g_00677	Syal.g_00525
OG0000230	Prbn.g_00675	Syal.g_00523
OG0000231	Prbn.g_00664	Syal.g_00510
OG0000232	Prbn.g_00653	Syal.g_00495
OG0000233	Prbn.g_00647	Syal.g_00487
OG0000234	Prbn.g_00638	Syal.g_00461
OG0000235	Prbn.g_00635	Syal.g_02896
OG0000236	Prbn.g_00621	Syal.g_02912
OG0000237	Prbn.g_00608	Syal.g_02930
OG0000238	Prbn.g_00602	Syal.g_02935
OG0000239	Prbn.g_00591	Syal.g_02951
OG0000240	Prbn.g_00590	Syal.g_02952
OG0000241	Prbn.g_00586	Syal.g_02696
OG0000242	Prbn.g_00584	Syal.g_02840
OG0000243	Prbn.g_00573	Syal.g_02822
OG0000244	Prbn.g_00570	Syal.g_02815
OG0000245	Prbn.g_00568	Syal.g_02813
OG0000246	Prbn.g_00564	Syal.g_02809
OG0000247	Prbn.g_00554	Syal.g_02797
OG0000248	Prbn.g_00551	Syal.g_02794
OG0000249	Prbn.g_00549	Syal.g_02792
OG0000250	Prbn.g_00544	Syal.g_02786
OG0000251	Prbn.g_00524	Syal.g_02760
OG0000252	Prbn.g_00521	Syal.g_02757
OG0000253	Prbn.g_00520	Syal.g_02755
OG0000254	Prbn.g_00503	Syal.g_02732
OG0000255	Prbn.g_00497	Syal.g_02719
OG0000256	Prbn.g_00487	Syal.g_02705
OG0000257	Prbn.g_00421	Syal.g_02697
OG0000258	Prbn.g_00435	Syal.g_02623
OG0000259	Prbn.g_00835	Syal.g_02182
OG0000260	Prbn.g_00838	Syal.g_02188
OG0000261	Prbn.g_00841	Syal.g_02199
OG0000262	Prbn.g_00845	Syal.g_02204
OG0000263	Prbn.g_01583	Syal.g_01720
OG0000264	Prbn.g_01572	Syal.g_01788
OG0000265	Prbn.g_01554	Syal.g_02534
OG0000266	Prbn.g_00864	Syal.g_02421
OG0000267	Prbn.g_01350	Syal.g_02043
OG0000268	Prbn.g_01351	Syal.g_02042
OG0000269	Prbn.g_01551	Syal.g_02409
OG0000270	Prbn.g_01548	Syal.g_02412
OG0000271	Prbn.g_01540	Syal.g_01871
OG0000272	Prbn.g_01539	Syal.g_01872
OG0000273	Prbn.g_01515	Syal.g_02454
OG0000274	Prbn.g_01514	Syal.g_02455
OG0000275	Prbn.g_01511	Syal.g_02458
OG0000276	Prbn.g_01505	Syal.g_02467
OG0000277	Prbn.g_01504	Syal.g_02468
OG0000278	Prbn.g_01501	Syal.g_02471
OG0000279	Prbn.g_01494	Syal.g_02479
OG0000280	Prbn.g_01493	Syal.g_02493
OG0000281	Prbn.g_01486	Syal.g_02190
OG0000282	Prbn.g_01619	Syal.g_02284
OG0000283	Prbn.g_01442	Syal.g_02028, Syal.g_02131
OG0000284	Prbn.g_01437	Syal.g_02023
OG0000285	Prbn.g_01432	Syal.g_02012
OG0000286	Prbn.g_01419	Syal.g_01992
OG0000287	Prbn.g_01123	Syal.g_01965
OG0000288	Prbn.g_01380	Syal.g_01919
OG0000289	Prbn.g_01364	Syal.g_01904
OG0000290	Prbn.g_01468	Syal.g_01826
OG0000291	Prbn.g_01470	Syal.g_01824
OG0000292	Prbn.g_01144	Syal.g_00089
OG0000293	Prbn.g_01179	Syal.g_01631
OG0000294	Prbn.g_01180	Syal.g_01632
OG0000295	Prbn.g_01203	Syal.g_01687
OG0000296	Prbn.g_01205	Syal.g_01689
OG0000297	Prbn.g_00387	Syal.g_01702
OG0000298	Prbn.g_00388	Syal.g_01703
OG0000299	Prbn.g_00407	Syal.g_01732
OG0000300	Prbn.g_00410	Syal.g_01738
OG0000301	Prbn.g_00411	Syal.g_01739
OG0000302	Prbn.g_00413	Syal.g_01740
OG0000303	Prbn.g_00419	Syal.g_01763
OG0000304	Prbn.g_00482	Syal.g_01756
OG0000305	Prbn.g_01146	Syal.g_01821
OG0000306	Prbn.g_01482	Syal.g_02579
OG0000307	Prbn.g_00159	Syal.g_02880
OG0000308	Prbn.g_00160	Syal.g_02878
OG0000309	Prbn.g_00164	Syal.g_02873
OG0000310	Prbn.g_00198	Syal.g_01537
OG0000311	Prbn.g_00200	Syal.g_00061
OG0000312	Prbn.g_00203	Syal.g_00031
OG0000313	Prbn.g_00216	Syal.g_00381
OG0000314	Prbn.g_00239	Syal.g_00416
OG0000315	Prbn.g_00249	Syal.g_00426
OG0000316	Prbn.g_00274	Syal.g_02987
OG0000317	Prbn.g_01742	Syal.g_00583
OG0000318	Prbn.g_01746	Syal.g_00588
OG0000319	Prbn.g_01759	Syal.g_00608
OG0000320	Prbn.g_01761	Syal.g_00610
OG0000321	Prbn.g_01762	Syal.g_00611
OG0000322	Prbn.g_01763	Syal.g_00612
OG0000323	Prbn.g_01773	Syal.g_00626
OG0000324	Prbn.g_01800	Syal.g_00656
OG0000325	Prbn.g_01811	Syal.g_00195
OG0000326	Prbn.g_01818	Syal.g_00202
OG0000327	Prbn.g_01839	Syal.g_00230
OG0000328	Prbn.g_01840	Syal.g_00231
OG0000329	Prbn.g_01857	Syal.g_00249
OG0000330	Prbn.g_01858	Syal.g_00250
OG0000331	Prbn.g_01859	Syal.g_00251
OG0000332	Prbn.g_01873	Syal.g_00266
OG0000333	Prbn.g_01875	Syal.g_00269
OG0000334	Prbn.g_01884	Syal.g_00279
OG0000335	Prbn.g_01889	Syal.g_00284
OG0000336	Prbn.g_01893	Syal.g_00288
OG0000337	Prbn.g_01911	Syal.g_01343
OG0000338	Prbn.g_01912	Syal.g_01345
OG0000339	Prbn.g_01918	Syal.g_01351
OG0000340	Prbn.g_01012	Syal.g_01434
OG0000341	Prbn.g_01010	Syal.g_01436
OG0000342	Prbn.g_01009	Syal.g_01437
OG0000343	Prbn.g_01008	Syal.g_01441
OG0000344	Prbn.g_01005	Syal.g_01445
OG0000345	Prbn.g_00999	Syal.g_01455
OG0000346	Prbn.g_00995	Syal.g_01460
OG0000347	Prbn.g_00978	Syal.g_01525
OG0000348	Prbn.g_00970	Syal.g_00170
OG0000349	Prbn.g_00953	Syal.g_00148
OG0000350	Prbn.g_00798	Syal.g_00209
OG0000351	Prbn.g_00913	Syal.g_01175
OG0000352	Prbn.g_00912	Syal.g_01176
OG0000353	Prbn.g_00299	Syal.g_00095
OG0000355	Prbn.g_00301	Syal.g_00098
OG0000356	Prbn.g_00302	Syal.g_00099
OG0000357	Prbn.g_00011	Syal.g_00100
OG0000358	Prbn.g_00007	Syal.g_00104
OG0000359	Prbn.g_00006	Syal.g_00106
OG0000360	Prbn.g_00005	Syal.g_00107
OG0000361	Prbn.g_00004	Syal.g_00108
OG0000362	Prbn.g_00001	Syal.g_00110
OG0000363	Prbn.g_00768	Syal.g_00112
OG0000364	Prbn.g_00767	Syal.g_00113
OG0000365	Prbn.g_00762	Syal.g_00122
OG0000366	Prbn.g_00761	Syal.g_00123
OG0000367	Prbn.g_00760	Syal.g_00124
OG0000368	Prbn.g_00758	Syal.g_00126
OG0000369	Prbn.g_00757	Syal.g_00127
OG0000370	Prbn.g_00756	Syal.g_00128
OG0000371	Prbn.g_00749	Syal.g_00135
OG0000372	Prbn.g_00746	Syal.g_00141
OG0000373	Prbn.g_00745	Syal.g_00142
OG0000374	Prbn.g_00744	Syal.g_00143
OG0000375	Prbn.g_00742	Syal.g_00144
OG0000376	Prbn.g_00740	Syal.g_00146
OG0000377	Prbn.g_00736	Syal.g_01061
OG0000378	Prbn.g_00732	Syal.g_01027
OG0000379	Prbn.g_00729	Syal.g_02681, Syal.g_01024
OG0000380	Prbn.g_00712	Syal.g_00749
OG0000381	Prbn.g_00707	Syal.g_00752
OG0000382	Prbn.g_01340	Syal.g_00770
OG0000383	Prbn.g_01338	Syal.g_00775
OG0000384	Prbn.g_01337	Syal.g_00776
OG0000385	Prbn.g_01336	Syal.g_00777
OG0000386	Prbn.g_01335	Syal.g_00778
OG0000387	Prbn.g_01321	Syal.g_00811
OG0000388	Prbn.g_01317	Syal.g_00815
OG0000389	Prbn.g_01314	Syal.g_00819
OG0000390	Prbn.g_01304	Syal.g_00835
OG0000391	Prbn.g_01301	Syal.g_00840
OG0000392	Prbn.g_01297	Syal.g_00846
OG0000393	Prbn.g_01294	Syal.g_00849
OG0000394	Prbn.g_01293	Syal.g_00850
OG0000395	Prbn.g_01292	Syal.g_00851
OG0000396	Prbn.g_01290	Syal.g_00854
OG0000397	Prbn.g_01288	Syal.g_00857
OG0000398	Prbn.g_01285	Syal.g_00862
OG0000399	Prbn.g_01284	Syal.g_00863
OG0000400	Prbn.g_01283	Syal.g_00864
OG0000401	Prbn.g_01282	Syal.g_00865
OG0000402	Prbn.g_01356	Syal.g_00867
OG0000403	Prbn.g_01280	Syal.g_00868
OG0000404	Prbn.g_01279	Syal.g_00870
OG0000405	Prbn.g_01275	Syal.g_00883
OG0000406	Prbn.g_01267	Syal.g_00888
OG0000407	Prbn.g_01266	Syal.g_00889
OG0000408	Prbn.g_01264	Syal.g_00891
OG0000409	Prbn.g_01262	Syal.g_00893
OG0000410	Prbn.g_01261	Syal.g_00894
OG0000411	Prbn.g_01260	Syal.g_00895
OG0000412	Prbn.g_01259	Syal.g_00896
OG0000413	Prbn.g_01257	Syal.g_00898
OG0000414	Prbn.g_01256	Syal.g_00899
OG0000415	Prbn.g_01255	Syal.g_00900
OG0000416	Prbn.g_01254	Syal.g_00901
OG0000417	Prbn.g_01253	Syal.g_00902
OG0000418	Prbn.g_01248	Syal.g_00907
OG0000419	Prbn.g_01246	Syal.g_00909
OG0000420	Prbn.g_01245	Syal.g_00911
OG0000421	Prbn.g_00381	Syal.g_00916
OG0000422	Prbn.g_00380	Syal.g_00917
OG0000423	Prbn.g_00379	Syal.g_00918
OG0000424	Prbn.g_00378	Syal.g_00919
OG0000425	Prbn.g_00377	Syal.g_00920
OG0000426	Prbn.g_00376	Syal.g_00921
OG0000427	Prbn.g_00375	Syal.g_00922
OG0000428	Prbn.g_00373	Syal.g_00925
OG0000429	Prbn.g_00372	Syal.g_00929
OG0000430	Prbn.g_00371	Syal.g_00931
OG0000431	Prbn.g_00369	Syal.g_00934
OG0000432	Prbn.g_00365	Syal.g_00940
OG0000433	Prbn.g_00364	Syal.g_00943
OG0000434	Prbn.g_00363	Syal.g_00944
OG0000435	Prbn.g_00362	Syal.g_00946
OG0000436	Prbn.g_00357	Syal.g_00953
OG0000437	Prbn.g_00356	Syal.g_00954
OG0000438	Prbn.g_00355	Syal.g_00955
OG0000439	Prbn.g_00353	Syal.g_00957
OG0000440	Prbn.g_00352	Syal.g_00958
OG0000441	Prbn.g_00349	Syal.g_00962
OG0000442	Prbn.g_00348	Syal.g_00964
OG0000443	Prbn.g_00347	Syal.g_00966
OG0000444	Prbn.g_00341	Syal.g_00978
OG0000445	Prbn.g_00340	Syal.g_00979
OG0000446	Prbn.g_00339	Syal.g_00981
OG0000447	Prbn.g_00338	Syal.g_00989
OG0000448	Prbn.g_00337	Syal.g_00990
OG0000449	Prbn.g_00336	Syal.g_00991
OG0000450	Prbn.g_00335	Syal.g_00997
OG0000451	Prbn.g_00334	Syal.g_00998
OG0000452	Prbn.g_00331	Syal.g_01002
OG0000453	Prbn.g_00330	Syal.g_01003
OG0000454	Prbn.g_00329	Syal.g_01004
OG0000455	Prbn.g_00328	Syal.g_01005
OG0000456	Prbn.g_00327	Syal.g_01006
OG0000457	Prbn.g_00325	Syal.g_01008
OG0000458	Prbn.g_00324	Syal.g_01009
OG0000459	Prbn.g_00323	Syal.g_01010
OG0000460	Prbn.g_00315	Syal.g_00686
OG0000461	Prbn.g_00307	Syal.g_01199
OG0000462	Prbn.g_00305	Syal.g_01202
OG0000463	Prbn.g_00304	Syal.g_01203
OG0000464	Prbn.g_00012	Syal.g_01204
OG0000465	Prbn.g_00013	Syal.g_01205
OG0000466	Prbn.g_00016	Syal.g_01210
OG0000467	Prbn.g_00017	Syal.g_01212
OG0000468	Prbn.g_00020	Syal.g_01225
OG0000469	Prbn.g_00028	Syal.g_01240
OG0000470	Prbn.g_00030	Syal.g_01242
OG0000471	Prbn.g_00031	Syal.g_01243
OG0000472	Prbn.g_00033	Syal.g_01245
OG0000473	Prbn.g_00035	Syal.g_01247
OG0000474	Prbn.g_00036	Syal.g_01248
OG0000475	Prbn.g_00037	Syal.g_01249
OG0000476	Prbn.g_00039	Syal.g_01251
OG0000477	Prbn.g_00042	Syal.g_01257
OG0000478	Prbn.g_00043	Syal.g_01258
OG0000479	Prbn.g_00044	Syal.g_01259
OG0000480	Prbn.g_00049	Syal.g_01266
OG0000481	Prbn.g_00052	Syal.g_01268
OG0000482	Prbn.g_00053	Syal.g_01269
OG0000483	Prbn.g_00056	Syal.g_01273
OG0000484	Prbn.g_00057	Syal.g_01274
OG0000485	Prbn.g_00059	Syal.g_01275
OG0000486	Prbn.g_00060	Syal.g_01276
OG0000487	Prbn.g_00063	Syal.g_01282
OG0000488	Prbn.g_00066	Syal.g_01286
OG0000489	Prbn.g_00071	Syal.g_01298
OG0000490	Prbn.g_00075	Syal.g_01307
OG0000491	Prbn.g_00076	Syal.g_01308
OG0000492	Prbn.g_00078	Syal.g_01310
OG0000493	Prbn.g_00079	Syal.g_01311
OG0000494	Prbn.g_00080	Syal.g_01312
OG0000495	Prbn.g_00081	Syal.g_01313
OG0000496	Prbn.g_00082	Syal.g_01314
OG0000497	Prbn.g_00083	Syal.g_01315
OG0000498	Prbn.g_00084	Syal.g_01316
OG0000499	Prbn.g_00085	Syal.g_01317
OG0000500	Prbn.g_00086	Syal.g_01318
OG0000501	Prbn.g_00087	Syal.g_01321
OG0000502	Prbn.g_00090	Syal.g_01328
OG0000503	Prbn.g_00105	Syal.g_00347
OG0000504	Prbn.g_00107	Syal.g_00349
OG0000505	Prbn.g_00108	Syal.g_00350
OG0000506	Prbn.g_00109	Syal.g_00352
OG0000507	Prbn.g_00112	Syal.g_00358
OG0000508	Prbn.g_00116	Syal.g_00362
OG0000509	Prbn.g_00118	Syal.g_00364
OG0000510	Prbn.g_00119	Syal.g_00365
OG0000511	Prbn.g_00120	Syal.g_00366
OG0000512	Prbn.g_00122	Syal.g_00368
OG0000513	Prbn.g_00693	Syal.g_00551
OG0000514	Prbn.g_00682	Syal.g_00539
OG0000515	Prbn.g_00681	Syal.g_00538
OG0000516	Prbn.g_00680	Syal.g_00534
OG0000517	Prbn.g_00678	Syal.g_00526
OG0000518	Prbn.g_00667	Syal.g_00514
OG0000519	Prbn.g_00666	Syal.g_00513
OG0000520	Prbn.g_00665	Syal.g_00512
OG0000521	Prbn.g_00657	Syal.g_00502
OG0000522	Prbn.g_00655	Syal.g_00500
OG0000523	Prbn.g_00654	Syal.g_00499
OG0000524	Prbn.g_00649	Syal.g_00491
OG0000525	Prbn.g_00645	Syal.g_00473
OG0000526	Prbn.g_00644	Syal.g_00471
OG0000527	Prbn.g_00641	Syal.g_00465
OG0000528	Prbn.g_00636	Syal.g_02893
OG0000529	Prbn.g_00633	Syal.g_02898
OG0000530	Prbn.g_00630	Syal.g_02901
OG0000531	Prbn.g_00629	Syal.g_02902
OG0000532	Prbn.g_00627	Syal.g_02905
OG0000533	Prbn.g_00626	Syal.g_02907
OG0000534	Prbn.g_00625	Syal.g_02908
OG0000535	Prbn.g_00624	Syal.g_02909
OG0000536	Prbn.g_00623	Syal.g_02910
OG0000537	Prbn.g_00622	Syal.g_02911
OG0000538	Prbn.g_00613	Syal.g_02923
OG0000539	Prbn.g_00612	Syal.g_02924
OG0000540	Prbn.g_00611	Syal.g_02925
OG0000541	Prbn.g_00610	Syal.g_02926
OG0000542	Prbn.g_00609	Syal.g_02929
OG0000543	Prbn.g_00607	Syal.g_02931
OG0000544	Prbn.g_00606	Syal.g_02932
OG0000545	Prbn.g_00604	Syal.g_02934
OG0000546	Prbn.g_00601	Syal.g_02936
OG0000547	Prbn.g_00599	Syal.g_02938
OG0000548	Prbn.g_00598	Syal.g_02939
OG0000549	Prbn.g_00596	Syal.g_02945
OG0000550	Prbn.g_00592	Syal.g_02949
OG0000551	Prbn.g_00589	Syal.g_02953
OG0000552	Prbn.g_00588	Syal.g_02954
OG0000553	Prbn.g_00587	Syal.g_02843
OG0000554	Prbn.g_00582	Syal.g_02837
OG0000555	Prbn.g_00574	Syal.g_02823
OG0000556	Prbn.g_00572	Syal.g_02819
OG0000557	Prbn.g_00571	Syal.g_02816
OG0000558	Prbn.g_00569	Syal.g_02814
