Orthogroup	Praa	Syap
OG0000202	Praa.g_00193	Syap.g_02264
OG0000203	Praa.g_00194	Syap.g_01601
OG0000204	Praa.g_00195	Syap.g_01602
OG0000205	Praa.g_00202	Syap.g_01616
OG0000206	Praa.g_00207	Syap.g_01628
OG0000207	Praa.g_00209	Syap.g_01426, Syap.g_00424
OG0000208	Praa.g_00210	Syap.g_00426, Syap.g_01425
OG0000209	Praa.g_00219	Syap.g_01906
OG0000210	Praa.g_00220	Syap.g_01905
OG0000211	Praa.g_00233	Syap.g_01160
OG0000212	Praa.g_00240	Syap.g_02664
OG0000213	Praa.g_00257	Syap.g_00107, Syap.g_01599
OG0000214	Praa.g_00267	Syap.g_02344, Syap.g_02345
OG0000215	Praa.g_00292	Syap.g_01347, Syap.g_01629
OG0000216	Praa.g_00294	Syap.g_01634
OG0000217	Praa.g_00297	Syap.g_01638
OG0000218	Praa.g_00299	Syap.g_01641, Syap.g_01640
OG0000219	Praa.g_00300	Syap.g_01642, Syap.g_01643
OG0000220	Praa.g_00301	Syap.g_01645
OG0000221	Praa.g_00302	Syap.g_01646
OG0000222	Praa.g_00310	Syap.g_01669
OG0000223	Praa.g_00323	Syap.g_02072, Syap.g_02073
OG0000224	Praa.g_00325	Syap.g_02064
OG0000225	Praa.g_00345	Syap.g_00553, Syap.g_00552
OG0000226	Praa.g_00349	Syap.g_02029, Syap.g_02144
OG0000227	Praa.g_00351	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Praa.g_00354	Syap.g_00116, Syap.g_02041
OG0000229	Praa.g_00436	Syap.g_02059
OG0000230	Praa.g_00437	Syap.g_02061
OG0000231	Praa.g_00448	Syap.g_02533
OG0000232	Praa.g_00457	Syap.g_02510, Syap.g_02511
OG0000233	Praa.g_00463	Syap.g_02133
OG0000234	Praa.g_00476	Syap.g_02755
OG0000235	Praa.g_00479	Syap.g_00732, Syap.g_02258
OG0000236	Praa.g_00493	Syap.g_02238
OG0000237	Praa.g_00506	Syap.g_00262, Syap.g_00263
OG0000238	Praa.g_00512	Syap.g_00257, Syap.g_00258
OG0000239	Praa.g_00525	Syap.g_02744
OG0000240	Praa.g_00526	Syap.g_02742
OG0000241	Praa.g_00530	Syap.g_00888
OG0000242	Praa.g_00532	Syap.g_01455
OG0000243	Praa.g_00544	Syap.g_01938
OG0000244	Praa.g_00547	Syap.g_01146, Syap.g_01145
OG0000245	Praa.g_00549	Syap.g_01148
OG0000246	Praa.g_00553	Syap.g_00308
OG0000247	Praa.g_00563	Syap.g_00288, Syap.g_00293
OG0000248	Praa.g_00565	Syap.g_00290
OG0000249	Praa.g_00567	Syap.g_01296, Syap.g_01295
OG0000250	Praa.g_00572	Syap.g_01306
OG0000251	Praa.g_00591	Syap.g_00442
OG0000252	Praa.g_00594	Syap.g_01857
OG0000253	Praa.g_00595	Syap.g_00443
OG0000254	Praa.g_00611	Syap.g_01527, Syap.g_01528
OG0000256	Praa.g_00627	Syap.g_01287
OG0000257	Praa.g_00630	Syap.g_00886
OG0000258	Praa.g_00643	Syap.g_00907
OG0000260	Praa.g_00663	Syap.g_01970
OG0000261	Praa.g_00665	Syap.g_01962, Syap.g_01961
OG0000262	Praa.g_00669	Syap.g_01954
OG0000263	Praa.g_00681	Syap.g_00432, Syap.g_00433
OG0000266	Praa.g_00721	Syap.g_00519
OG0000267	Praa.g_00732	Syap.g_02333, Syap.g_02332
OG0000268	Praa.g_00733	Syap.g_00646
OG0000269	Praa.g_00798	Syap.g_00188
OG0000270	Praa.g_00801	Syap.g_00192
OG0000271	Praa.g_00809	Syap.g_00200, Syap.g_00201
OG0000272	Praa.g_00810, Praa.g_00811	Syap.g_00202
OG0000273	Praa.g_00834	Syap.g_02703
OG0000274	Praa.g_00835	Syap.g_02702
OG0000275	Praa.g_00838	Syap.g_01847
OG0000276	Praa.g_00843	Syap.g_01838, Syap.g_01839
OG0000277	Praa.g_00844	Syap.g_01837
OG0000278	Praa.g_00847	Syap.g_01834
OG0000279	Praa.g_00854	Syap.g_00829, Syap.g_00830
OG0000280	Praa.g_00855	Syap.g_00365
OG0000281	Praa.g_00860	Syap.g_01977
OG0000282	Praa.g_00909	Syap.g_01252
OG0000283	Praa.g_00941	Syap.g_01728
OG0000284	Praa.g_00946	Syap.g_01736
OG0000285	Praa.g_00951	Syap.g_01746, Syap.g_01744
OG0000286	Praa.g_00963	Syap.g_02014, Syap.g_02013
OG0000288	Praa.g_01012	Syap.g_02764, Syap.g_02763
OG0000289	Praa.g_01023	Syap.g_02784
OG0000290	Praa.g_01036	Syap.g_01552
OG0000292	Praa.g_01089	Syap.g_02314
OG0000293	Praa.g_01151	Syap.g_00240
OG0000294	Praa.g_01152	Syap.g_00239
OG0000295	Praa.g_01171	Syap.g_00206
OG0000296	Praa.g_01173	Syap.g_00204
OG0000299	Praa.g_01199	Syap.g_02620
OG0000302	Praa.g_01205	Syap.g_02444, Syap.g_02445
OG0000303	Praa.g_01212	Syap.g_02435
OG0000304	Praa.g_01216	Syap.g_02430
OG0000305	Praa.g_01358	Syap.g_01557
OG0000306	Praa.g_01361	Syap.g_01966
OG0000307	Praa.g_01375	Syap.g_02517
OG0000308	Praa.g_01376	Syap.g_02514, Syap.g_02515
OG0000309	Praa.g_01380	Syap.g_02198, Syap.g_02446
OG0000310	Praa.g_01461	Syap.g_02660, Syap.g_02661
OG0000311	Praa.g_01463	Syap.g_02657
OG0000312	Praa.g_01466	Syap.g_02114
OG0000313	Praa.g_01480	Syap.g_02473
OG0000315	Praa.g_01513	Syap.g_00017
OG0000316	Praa.g_01533	Syap.g_00030
OG0000317	Praa.g_01633	Syap.g_00618
OG0000318	Praa.g_01636	Syap.g_00622, Syap.g_02786
OG0000319	Praa.g_01649	Syap.g_01764, Syap.g_01771
OG0000320	Praa.g_01651	Syap.g_01761, Syap.g_01769
OG0000321	Praa.g_01652	Syap.g_01760, Syap.g_01768
OG0000322	Praa.g_01653	Syap.g_01759, Syap.g_01767
OG0000323	Praa.g_01662	Syap.g_01389
OG0000324	Praa.g_01690	Syap.g_01503
OG0000325	Praa.g_01700	Syap.g_02680
OG0000326	Praa.g_01706	Syap.g_00544
OG0000327	Praa.g_01734	Syap.g_01233, Syap.g_01913
OG0000328	Praa.g_01735	Syap.g_01234, Syap.g_01912
OG0000329	Praa.g_01752	Syap.g_00498
OG0000330	Praa.g_01753	Syap.g_00497
OG0000331	Praa.g_01754	Syap.g_00496
OG0000332	Praa.g_01768	Syap.g_00481
OG0000333	Praa.g_01770	Syap.g_00478
OG0000334	Praa.g_01778	Syap.g_00468
OG0000335	Praa.g_01783	Syap.g_00101, Syap.g_00463
OG0000336	Praa.g_01787	Syap.g_00417, Syap.g_00607
OG0000337	Praa.g_01804	Syap.g_01054
OG0000338	Praa.g_01805	Syap.g_01059
OG0000339	Praa.g_01809	Syap.g_01068
OG0000340	Praa.g_01817	Syap.g_01077
OG0000341	Praa.g_01819	Syap.g_01079
OG0000342	Praa.g_01820	Syap.g_01080, Syap.g_02477
OG0000343	Praa.g_01821	Syap.g_01086, Syap.g_02078
OG0000344	Praa.g_01824	Syap.g_01091
OG0000345	Praa.g_01829	Syap.g_01107, Syap.g_01470
OG0000346	Praa.g_01833	Syap.g_01113
OG0000347	Praa.g_01849	Syap.g_01131, Syap.g_02459
OG0000348	Praa.g_01859	Syap.g_00632
OG0000349	Praa.g_01876	Syap.g_00110, Syap.g_01813
OG0000351	Praa.g_01911	Syap.g_02594
OG0000352	Praa.g_01912	Syap.g_02596, Syap.g_02597
OG0000353	Praa.g_01927	Syap.g_00054
OG0000355	Praa.g_00001	Syap.g_00056
OG0000356	Praa.g_00002	Syap.g_00057
OG0000357	Praa.g_00003	Syap.g_00058
OG0000358	Praa.g_00007	Syap.g_00063
OG0000359	Praa.g_00008	Syap.g_00065
OG0000360	Praa.g_00009	Syap.g_00067
OG0000361	Praa.g_00010	Syap.g_00068
OG0000362	Praa.g_00012	Syap.g_00070
OG0000363	Praa.g_00014	Syap.g_00072
OG0000364	Praa.g_00015	Syap.g_00620
OG0000365	Praa.g_00020	Syap.g_00081
OG0000366	Praa.g_00021	Syap.g_00082
OG0000367	Praa.g_00022	Syap.g_00083
OG0000368	Praa.g_00024	Syap.g_00085
OG0000369	Praa.g_00025	Syap.g_00086
OG0000370	Praa.g_00026	Syap.g_00087
OG0000372	Praa.g_00035	Syap.g_01805
OG0000373	Praa.g_00036	Syap.g_01806
OG0000374	Praa.g_00037	Syap.g_01807
OG0000375	Praa.g_00040	Syap.g_01808
OG0000376	Praa.g_00042	Syap.g_01811
OG0000377	Praa.g_00045	Syap.g_00128
OG0000378	Praa.g_00047	Syap.g_01326
OG0000380	Praa.g_00066	Syap.g_01687
OG0000381	Praa.g_00070	Syap.g_01690
OG0000382	Praa.g_00081	Syap.g_02548
OG0000383	Praa.g_00083	Syap.g_02359
OG0000384	Praa.g_00084	Syap.g_02360
OG0000385	Praa.g_00085	Syap.g_02361
OG0000386	Praa.g_00086	Syap.g_02362
OG0000387	Praa.g_00099	Syap.g_01864
OG0000391	Praa.g_00116	Syap.g_02234
OG0000392	Praa.g_00120	Syap.g_02225
OG0000393	Praa.g_00122	Syap.g_02222
OG0000394	Praa.g_00123	Syap.g_02221
OG0000395	Praa.g_00124	Syap.g_02220
OG0000396	Praa.g_00127	Syap.g_02217
OG0000397	Praa.g_00129	Syap.g_02215
OG0000398	Praa.g_00131	Syap.g_02211
OG0000399	Praa.g_00132	Syap.g_02210
OG0000400	Praa.g_00133	Syap.g_02209
OG0000401	Praa.g_00134	Syap.g_02208
OG0000402	Praa.g_00136	Syap.g_02206
OG0000403	Praa.g_00137	Syap.g_02205
OG0000404	Praa.g_00138	Syap.g_02204, Syap.g_02618
OG0000405	Praa.g_00142	Syap.g_02191
OG0000406	Praa.g_00147	Syap.g_02186
OG0000407	Praa.g_00148	Syap.g_02185
OG0000408	Praa.g_00150	Syap.g_02181, Syap.g_02182
OG0000409	Praa.g_00152	Syap.g_02179
OG0000410	Praa.g_00153	Syap.g_02178
OG0000411	Praa.g_00154	Syap.g_02177
OG0000412	Praa.g_00155	Syap.g_02176
OG0000413	Praa.g_00156	Syap.g_02174
OG0000414	Praa.g_00157	Syap.g_02173
OG0000415	Praa.g_00158	Syap.g_02172
OG0000416	Praa.g_00159	Syap.g_02171
OG0000417	Praa.g_00160	Syap.g_02169
OG0000418	Praa.g_00165	Syap.g_01204
OG0000419	Praa.g_00167	Syap.g_01201
OG0000420	Praa.g_00168	Syap.g_01199
OG0000421	Praa.g_00173	Syap.g_01195
OG0000422	Praa.g_00174	Syap.g_01194
OG0000423	Praa.g_00175	Syap.g_01193
OG0000424	Praa.g_00176	Syap.g_01192
OG0000425	Praa.g_00177	Syap.g_01191
OG0000426	Praa.g_00178	Syap.g_01190
OG0000427	Praa.g_00179	Syap.g_01189
OG0000428	Praa.g_00181	Syap.g_01186
OG0000429	Praa.g_00182	Syap.g_01184
OG0000430	Praa.g_00183	Syap.g_01182
OG0000431	Praa.g_00185	Syap.g_01179
OG0000432	Praa.g_00188	Syap.g_02277
OG0000433	Praa.g_00189	Syap.g_02272
OG0000434	Praa.g_00190	Syap.g_02271
OG0000435	Praa.g_00191	Syap.g_02268
OG0000436	Praa.g_00196	Syap.g_01607
OG0000437	Praa.g_00197	Syap.g_01608
OG0000438	Praa.g_00198	Syap.g_01612
OG0000439	Praa.g_00200	Syap.g_01614
OG0000440	Praa.g_00201	Syap.g_01615
OG0000441	Praa.g_00204	Syap.g_01619
OG0000442	Praa.g_00205	Syap.g_01620
OG0000443	Praa.g_00206	Syap.g_01622
OG0000444	Praa.g_00211	Syap.g_01424
OG0000445	Praa.g_00212	Syap.g_01421
OG0000446	Praa.g_00213	Syap.g_01419
OG0000447	Praa.g_00214	Syap.g_01410
OG0000448	Praa.g_00215	Syap.g_01407
OG0000449	Praa.g_00216	Syap.g_01406
OG0000450	Praa.g_00217	Syap.g_01909
OG0000451	Praa.g_00218	Syap.g_01908
OG0000452	Praa.g_00221	Syap.g_01904
OG0000453	Praa.g_00222	Syap.g_01903
OG0000454	Praa.g_00223	Syap.g_01902
OG0000455	Praa.g_00224	Syap.g_01901
OG0000456	Praa.g_00225	Syap.g_01900
OG0000457	Praa.g_00226	Syap.g_01896
OG0000458	Praa.g_00227	Syap.g_01895
OG0000459	Praa.g_00228	Syap.g_01894
OG0000460	Praa.g_00235	Syap.g_01159
OG0000461	Praa.g_00242	Syap.g_01575
OG0000462	Praa.g_00244	Syap.g_01578
OG0000463	Praa.g_00245	Syap.g_01579
OG0000464	Praa.g_00246	Syap.g_01580
OG0000465	Praa.g_00247	Syap.g_01582
OG0000466	Praa.g_00250	Syap.g_01587
OG0000467	Praa.g_00251	Syap.g_01588
OG0000468	Praa.g_00253	Syap.g_01593
OG0000469	Praa.g_00262	Syap.g_02352
OG0000470	Praa.g_00264	Syap.g_02349
OG0000471	Praa.g_00265	Syap.g_02348
OG0000472	Praa.g_00266	Syap.g_02347
OG0000473	Praa.g_00268	Syap.g_02343
OG0000474	Praa.g_00269	Syap.g_02342
OG0000475	Praa.g_00270	Syap.g_02341
OG0000476	Praa.g_00271	Syap.g_02339
OG0000477	Praa.g_00275	Syap.g_01367
OG0000478	Praa.g_00276	Syap.g_01366
OG0000479	Praa.g_00277	Syap.g_01364
OG0000480	Praa.g_00282	Syap.g_01357
OG0000482	Praa.g_00285	Syap.g_01355
OG0000483	Praa.g_00288	Syap.g_01344
OG0000484	Praa.g_00289	Syap.g_01350
OG0000485	Praa.g_00290	Syap.g_01349
OG0000487	Praa.g_00295	Syap.g_01635
OG0000488	Praa.g_00298	Syap.g_01639
OG0000489	Praa.g_00303	Syap.g_02482
OG0000490	Praa.g_00308	Syap.g_01673
OG0000491	Praa.g_00309	Syap.g_01670
OG0000492	Praa.g_00311	Syap.g_01668
OG0000493	Praa.g_00312	Syap.g_01667
OG0000494	Praa.g_00313	Syap.g_01666
OG0000495	Praa.g_00314	Syap.g_01665
OG0000496	Praa.g_00315	Syap.g_01663
OG0000497	Praa.g_00316	Syap.g_01662
OG0000498	Praa.g_00317	Syap.g_01661
OG0000499	Praa.g_00318	Syap.g_01660
OG0000500	Praa.g_00319	Syap.g_01659
OG0000501	Praa.g_00321	Syap.g_01656
OG0000502	Praa.g_00324	Syap.g_02066
OG0000503	Praa.g_00334	Syap.g_00569
OG0000504	Praa.g_00335	Syap.g_00567
OG0000505	Praa.g_00336	Syap.g_00566
OG0000506	Praa.g_00338	Syap.g_00564
OG0000507	Praa.g_00340	Syap.g_00558
OG0000508	Praa.g_00344	Syap.g_00554
OG0000509	Praa.g_00346	Syap.g_00551
OG0000510	Praa.g_00347	Syap.g_00550
OG0000511	Praa.g_00348	Syap.g_00548
OG0000512	Praa.g_00350	Syap.g_02145
OG0000513	Praa.g_00357	Syap.g_02048
OG0000514	Praa.g_00431	Syap.g_02051
OG0000515	Praa.g_00432	Syap.g_02052
OG0000516	Praa.g_00433	Syap.g_02054
OG0000517	Praa.g_00435	Syap.g_02057
OG0000519	Praa.g_00446	Syap.g_00457
OG0000520	Praa.g_00447	Syap.g_00456
OG0000521	Praa.g_00452	Syap.g_01997
OG0000522	Praa.g_00454	Syap.g_01995
OG0000523	Praa.g_00455	Syap.g_02507
OG0000524	Praa.g_00461	Syap.g_02135
OG0000525	Praa.g_00464	Syap.g_02159
OG0000526	Praa.g_00465	Syap.g_02157
OG0000527	Praa.g_00473	Syap.g_02758
OG0000528	Praa.g_00478	Syap.g_02261
OG0000529	Praa.g_00481	Syap.g_02254
OG0000530	Praa.g_00484	Syap.g_02252
OG0000531	Praa.g_00485	Syap.g_02251
OG0000532	Praa.g_00487	Syap.g_02247
OG0000533	Praa.g_00488	Syap.g_02244
OG0000534	Praa.g_00489	Syap.g_02243
OG0000535	Praa.g_00490	Syap.g_02242
OG0000536	Praa.g_00491	Syap.g_02241
OG0000537	Praa.g_00492	Syap.g_02240
OG0000538	Praa.g_00500	Syap.g_00271
OG0000539	Praa.g_00501	Syap.g_00270
OG0000540	Praa.g_00502	Syap.g_00269
OG0000541	Praa.g_00503	Syap.g_00268
OG0000542	Praa.g_00505	Syap.g_00264
OG0000543	Praa.g_00507	Syap.g_00261
OG0000544	Praa.g_00508	Syap.g_00260
OG0000545	Praa.g_00510	Syap.g_00259
OG0000546	Praa.g_00513	Syap.g_00256
OG0000547	Praa.g_00515	Syap.g_00254
OG0000548	Praa.g_00516	Syap.g_00253
OG0000549	Praa.g_00518	Syap.g_00758
OG0000550	Praa.g_00523	Syap.g_02747
OG0000551	Praa.g_00527	Syap.g_02739
OG0000552	Praa.g_00528	Syap.g_02738
OG0000553	Praa.g_00529	Syap.g_02735
OG0000554	Praa.g_00534	Syap.g_01450
OG0000555	Praa.g_00543	Syap.g_01941
OG0000556	Praa.g_00545	Syap.g_01933
OG0000557	Praa.g_00546	Syap.g_01931
OG0000558	Praa.g_00548	Syap.g_01147
OG0000560	Praa.g_00555	Syap.g_00305
OG0000561	Praa.g_00556	Syap.g_00304
OG0000562	Praa.g_00557	Syap.g_00302
OG0000563	Praa.g_00558	Syap.g_00301
OG0000564	Praa.g_00559	Syap.g_00300
OG0000565	Praa.g_00562	Syap.g_00296
OG0000566	Praa.g_00564	Syap.g_00291
OG0000567	Praa.g_00568	Syap.g_01297
OG0000568	Praa.g_00569	Syap.g_01302
OG0000569	Praa.g_00570	Syap.g_01303
OG0000570	Praa.g_00571	Syap.g_01304
OG0000571	Praa.g_00573	Syap.g_01307
OG0000573	Praa.g_00592	Syap.g_00765
OG0000574	Praa.g_00593	Syap.g_00759
OG0000575	Praa.g_00597	Syap.g_00445
OG0000576	Praa.g_00599	Syap.g_00450
OG0000577	Praa.g_00600	Syap.g_00451
OG0000578	Praa.g_00601	Syap.g_00452
OG0000579	Praa.g_00602	Syap.g_00453
OG0000580	Praa.g_00603	Syap.g_00454
OG0000581	Praa.g_00605	Syap.g_01521
OG0000582	Praa.g_00608	Syap.g_01533
OG0000583	Praa.g_00609	Syap.g_01532
OG0000584	Praa.g_00610	Syap.g_01530
OG0000585	Praa.g_00612	Syap.g_01526
OG0000586	Praa.g_00613	Syap.g_01525
OG0000587	Praa.g_00614	Syap.g_01523
OG0000588	Praa.g_00618	Syap.g_00776
OG0000589	Praa.g_00621	Syap.g_00941
OG0000590	Praa.g_00622	Syap.g_00940
OG0000591	Praa.g_00625	Syap.g_01289
OG0000592	Praa.g_00626	Syap.g_01288
OG0000593	Praa.g_00632	Syap.g_00890
OG0000594	Praa.g_00633	Syap.g_00891
OG0000595	Praa.g_00634	Syap.g_00892
OG0000596	Praa.g_00638	Syap.g_00898
OG0000597	Praa.g_00640	Syap.g_00903
OG0000598	Praa.g_00641	Syap.g_00904
OG0000599	Praa.g_00644	Syap.g_00908
OG0000600	Praa.g_00645	Syap.g_00909
OG0000601	Praa.g_00646	Syap.g_00910
OG0000602	Praa.g_00648	Syap.g_00640
OG0000603	Praa.g_00649	Syap.g_00641
OG0000604	Praa.g_00650	Syap.g_02769
OG0000605	Praa.g_00651	Syap.g_02501, Syap.g_02771
OG0000606	Praa.g_00654	Syap.g_02506
