Orthogroup	Syad	Prbe
OG0000122	Syad.g_02122	Prbe.g_01625, Prbe.g_00268
OG0000123	Syad.g_00701	Prbe.g_00829
OG0000124	Syad.g_00320	Prbe.g_00745
OG0000125	Syad.g_03040	Prbe.g_01158
OG0000126	Syad.g_00156	Prbe.g_01060
OG0000128	Syad.g_00174	Prbe.g_01076
OG0000129	Syad.g_03028	Prbe.g_00145
OG0000130	Syad.g_02728	Prbe.g_00174
OG0000131	Syad.g_02876	Prbe.g_01692
OG0000132	Syad.g_02897	Prbe.g_01712
OG0000133	Syad.g_01761	Prbe.g_01875
OG0000134	Syad.g_00788	Prbe.g_01917
OG0000135	Syad.g_00063	Prbe.g_00911
OG0000136	Syad.g_02445	Prbe.g_01939
OG0000137	Syad.g_02353	Prbe.g_00658
OG0000138	Syad.g_00920	Prbe.g_00638
OG0000139	Syad.g_00983	Prbe.g_00598
OG0000140	Syad.g_00987	Prbe.g_00597
OG0000141	Syad.g_02208	Prbe.g_00526
OG0000142	Syad.g_02152	Prbe.g_01485
OG0000143	Syad.g_02148	Prbe.g_01481
OG0000144	Syad.g_02024	Prbe.g_01467
OG0000145	Syad.g_00927	Prbe.g_00909
OG0000146	Syad.g_01767	Prbe.g_00488
OG0000147	Syad.g_01768	Prbe.g_00489
OG0000148	Syad.g_01861	Prbe.g_01239
OG0000149	Syad.g_01221	Prbe.g_01271
OG0000150	Syad.g_02207, Syad.g_00989	Prbe.g_01281
OG0000151	Syad.g_01956	Prbe.g_00427
OG0000152	Syad.g_01757	Prbe.g_01350
OG0000153	Syad.g_01713	Prbe.g_01369
OG0000154	Syad.g_01686	Prbe.g_01389
OG0000155	Syad.g_01189	Prbe.g_01528
OG0000156	Syad.g_01116	Prbe.g_00904
OG0000157	Syad.g_01115	Prbe.g_00903
OG0000158	Syad.g_00374	Prbe.g_00792
OG0000160	Syad.g_02279	Prbe.g_00310
OG0000161	Syad.g_02287	Prbe.g_00304
OG0000162	Syad.g_02293	Prbe.g_00298
OG0000163	Syad.g_02542	Prbe.g_00259
OG0000164	Syad.g_02659	Prbe.g_00961
OG0000165	Syad.g_02476	Prbe.g_00954
OG0000166	Syad.g_00654	Prbe.g_01083
OG0000167	Syad.g_00419	Prbe.g_00802
OG0000168	Syad.g_00371	Prbe.g_00791
OG0000169	Syad.g_00360	Prbe.g_00781
OG0000170	Syad.g_00353	Prbe.g_00778
OG0000171	Syad.g_00321	Prbe.g_00758
OG0000172	Syad.g_00244	Prbe.g_00751
OG0000173	Syad.g_00220	Prbe.g_01143
OG0000174	Syad.g_00065	Prbe.g_01173
OG0000175	Syad.g_00129	Prbe.g_01186
OG0000176	Syad.g_00166	Prbe.g_01069
OG0000177	Syad.g_00167	Prbe.g_01070
OG0000178	Syad.g_00168	Prbe.g_01071
OG0000179	Syad.g_00183	Prbe.g_00116
OG0000180	Syad.g_00184	Prbe.g_00117
OG0000181	Syad.g_00185	Prbe.g_00118
OG0000182	Syad.g_00186	Prbe.g_00119
OG0000183	Syad.g_00190	Prbe.g_00123
OG0000184	Syad.g_03018	Prbe.g_00149
OG0000185	Syad.g_03006	Prbe.g_00152
OG0000186	Syad.g_02722	Prbe.g_00168
OG0000187	Syad.g_02724	Prbe.g_00169
OG0000188	Syad.g_02759	Prbe.g_00186
OG0000189	Syad.g_02788	Prbe.g_01636
OG0000190	Syad.g_02790	Prbe.g_01638
OG0000191	Syad.g_02824	Prbe.g_01661
OG0000192	Syad.g_02834	Prbe.g_01666
OG0000193	Syad.g_02877	Prbe.g_01693
OG0000194	Syad.g_02880	Prbe.g_01696
OG0000195	Syad.g_02884	Prbe.g_01698
OG0000196	Syad.g_02894	Prbe.g_01709
OG0000197	Syad.g_02895	Prbe.g_01710
OG0000198	Syad.g_02896	Prbe.g_01711
OG0000199	Syad.g_02904	Prbe.g_01718
OG0000200	Syad.g_02921	Prbe.g_01732
OG0000201	Syad.g_02937	Prbe.g_01741
OG0000202	Syad.g_02938	Prbe.g_01742
OG0000203	Syad.g_02939	Prbe.g_01743
OG0000204	Syad.g_02940	Prbe.g_01744
OG0000205	Syad.g_02948	Prbe.g_01751
OG0000206	Syad.g_02955	Prbe.g_01756
OG0000207	Syad.g_02957	Prbe.g_01759
OG0000208	Syad.g_02958	Prbe.g_01760
OG0000209	Syad.g_02981	Prbe.g_01769
OG0000210	Syad.g_02982	Prbe.g_01770
OG0000211	Syad.g_00813	Prbe.g_01785
OG0000212	Syad.g_00825	Prbe.g_01793
OG0000213	Syad.g_00556	Prbe.g_01811
OG0000214	Syad.g_00538	Prbe.g_01821
OG0000215	Syad.g_00508	Prbe.g_01848
OG0000216	Syad.g_00504, Syad.g_00285	Prbe.g_01849
OG0000217	Syad.g_00500	Prbe.g_01852
OG0000218	Syad.g_00498	Prbe.g_01854
OG0000219	Syad.g_00497	Prbe.g_01855
OG0000220	Syad.g_00496	Prbe.g_01856
OG0000221	Syad.g_00488	Prbe.g_01857
OG0000222	Syad.g_00473	Prbe.g_01864
OG0000223	Syad.g_00451	Prbe.g_01876
OG0000224	Syad.g_00444	Prbe.g_01878
OG0000225	Syad.g_00777	Prbe.g_01904
OG0000226	Syad.g_00781	Prbe.g_01908
OG0000227	Syad.g_00783	Prbe.g_01910
OG0000228	Syad.g_00784	Prbe.g_01914
OG0000229	Syad.g_02450	Prbe.g_01934
OG0000230	Syad.g_02448	Prbe.g_01936
OG0000231	Syad.g_02436	Prbe.g_01947
OG0000232	Syad.g_02392	Prbe.g_00672
OG0000233	Syad.g_02382	Prbe.g_00666
OG0000234	Syad.g_02351	Prbe.g_00657
OG0000235	Syad.g_00903	Prbe.g_00654
OG0000236	Syad.g_00918	Prbe.g_00640
OG0000237	Syad.g_00936	Prbe.g_00627
OG0000238	Syad.g_00941	Prbe.g_00621
OG0000239	Syad.g_00957	Prbe.g_00610
OG0000240	Syad.g_00958	Prbe.g_00609
OG0000241	Syad.g_02160	Prbe.g_00605
OG0000242	Syad.g_00975	Prbe.g_00603
OG0000243	Syad.g_01000	Prbe.g_00592
OG0000244	Syad.g_01012	Prbe.g_00589
OG0000245	Syad.g_01014	Prbe.g_00587
OG0000246	Syad.g_01017	Prbe.g_00583
OG0000247	Syad.g_01029	Prbe.g_00573
OG0000248	Syad.g_01032	Prbe.g_00570
OG0000249	Syad.g_01034	Prbe.g_00568
OG0000250	Syad.g_01044	Prbe.g_00563
OG0000251	Syad.g_01071	Prbe.g_00543
OG0000252	Syad.g_01078	Prbe.g_00540
OG0000253	Syad.g_01081	Prbe.g_00539
OG0000254	Syad.g_02203	Prbe.g_00522
OG0000255	Syad.g_02185	Prbe.g_00516
OG0000256	Syad.g_02167	Prbe.g_00506
OG0000257	Syad.g_02161	Prbe.g_01490
OG0000258	Syad.g_02143	Prbe.g_01476
OG0000259	Syad.g_01576	Prbe.g_01459
OG0000260	Syad.g_01587	Prbe.g_01456
OG0000261	Syad.g_01590	Prbe.g_01453
OG0000262	Syad.g_01595	Prbe.g_01449
OG0000263	Syad.g_01475	Prbe.g_00455
OG0000264	Syad.g_01360	Prbe.g_00466
OG0000265	Syad.g_01383	Prbe.g_01214
OG0000266	Syad.g_01804	Prbe.g_01430
OG0000267	Syad.g_01645	Prbe.g_01418
OG0000268	Syad.g_01646	Prbe.g_01417
OG0000269	Syad.g_01894	Prbe.g_01217
OG0000270	Syad.g_01891	Prbe.g_01220
OG0000271	Syad.g_01883	Prbe.g_01228
OG0000272	Syad.g_01882	Prbe.g_01229
OG0000273	Syad.g_01247	Prbe.g_01253
OG0000274	Syad.g_01246	Prbe.g_01254
OG0000275	Syad.g_01242	Prbe.g_01257
OG0000276	Syad.g_01229	Prbe.g_01263
OG0000277	Syad.g_01228	Prbe.g_01264
OG0000278	Syad.g_01225	Prbe.g_01267
OG0000279	Syad.g_01208	Prbe.g_01274
OG0000280	Syad.g_01198	Prbe.g_01275
OG0000281	Syad.g_00624	Prbe.g_01282
OG0000282	Syad.g_01619	Prbe.g_00419
OG0000283	Syad.g_01661	Prbe.g_01326
OG0000284	Syad.g_01787	Prbe.g_01331
OG0000285	Syad.g_01776	Prbe.g_01336
OG0000286	Syad.g_01758	Prbe.g_01349
OG0000287	Syad.g_01720	Prbe.g_01615
OG0000288	Syad.g_01687	Prbe.g_01388
OG0000289	Syad.g_01672	Prbe.g_01404
OG0000290	Syad.g_01287	Prbe.g_01300
OG0000291	Syad.g_01289	Prbe.g_01298
OG0000292	Syad.g_00155	Prbe.g_01594
OG0000293	Syad.g_01124	Prbe.g_01559
OG0000294	Syad.g_01125	Prbe.g_01558
OG0000295	Syad.g_01181	Prbe.g_01535
OG0000296	Syad.g_01183	Prbe.g_01533
OG0000297	Syad.g_01512	Prbe.g_01524
OG0000298	Syad.g_01511	Prbe.g_01523
OG0000299	Syad.g_01462	Prbe.g_01504
OG0000300	Syad.g_01455	Prbe.g_01501
OG0000301	Syad.g_01454	Prbe.g_01500
OG0000302	Syad.g_01453	Prbe.g_01498
OG0000303	Syad.g_01442	Prbe.g_01492
OG0000304	Syad.g_01436	Prbe.g_00501
OG0000305	Syad.g_01292	Prbe.g_01592
OG0000306	Syad.g_01989	Prbe.g_01286
OG0000307	Syad.g_00883	Prbe.g_00364
OG0000308	Syad.g_00881	Prbe.g_00363
OG0000309	Syad.g_00876	Prbe.g_00359
OG0000310	Syad.g_02250	Prbe.g_00325
OG0000311	Syad.g_02254	Prbe.g_00323
OG0000312	Syad.g_02265	Prbe.g_00320
OG0000313	Syad.g_02284	Prbe.g_00307
OG0000314	Syad.g_02313	Prbe.g_00284
OG0000315	Syad.g_02323	Prbe.g_00274
OG0000316	Syad.g_02564	Prbe.g_00249
OG0000317	Syad.g_02620	Prbe.g_00988
OG0000318	Syad.g_02624	Prbe.g_00984
OG0000319	Syad.g_02642	Prbe.g_00971
OG0000320	Syad.g_02644	Prbe.g_00969
OG0000321	Syad.g_02645	Prbe.g_00968
OG0000322	Syad.g_02646	Prbe.g_00967
OG0000323	Syad.g_02661	Prbe.g_00958
OG0000324	Syad.g_02505	Prbe.g_00931
OG0000325	Syad.g_00591	Prbe.g_00920
OG0000326	Syad.g_00598	Prbe.g_01109
OG0000327	Syad.g_00649	Prbe.g_01088
OG0000328	Syad.g_00650	Prbe.g_01087
OG0000329	Syad.g_00668	Prbe.g_00860
OG0000330	Syad.g_00669	Prbe.g_00859
OG0000331	Syad.g_00670	Prbe.g_00858
OG0000332	Syad.g_00685	Prbe.g_00844
OG0000333	Syad.g_00688	Prbe.g_00842
OG0000334	Syad.g_00697	Prbe.g_00833
OG0000335	Syad.g_00702	Prbe.g_00828
OG0000336	Syad.g_00706	Prbe.g_00824
OG0000337	Syad.g_00425, Syad.g_00427	Prbe.g_00806
OG0000338	Syad.g_00421	Prbe.g_00805
OG0000339	Syad.g_00414	Prbe.g_00799
OG0000340	Syad.g_00370	Prbe.g_00790
OG0000341	Syad.g_00368	Prbe.g_00788
OG0000342	Syad.g_00367	Prbe.g_00787
OG0000343	Syad.g_00366	Prbe.g_00786
OG0000344	Syad.g_00362	Prbe.g_00783
OG0000345	Syad.g_00352	Prbe.g_00777
OG0000346	Syad.g_00347	Prbe.g_00773
OG0000347	Syad.g_00318	Prbe.g_00746
OG0000348	Syad.g_00233	Prbe.g_00754
OG0000349	Syad.g_00213	Prbe.g_01149
OG0000350	Syad.g_00605	Prbe.g_00709
OG0000351	Syad.g_00134	Prbe.g_01189
OG0000352	Syad.g_00135	Prbe.g_01190
OG0000353	Syad.g_00161	Prbe.g_01064
OG0000355	Syad.g_00163	Prbe.g_01066
OG0000356	Syad.g_00164	Prbe.g_01067
OG0000357	Syad.g_00165	Prbe.g_01068
OG0000358	Syad.g_00169	Prbe.g_01072
OG0000359	Syad.g_00171	Prbe.g_01073
OG0000360	Syad.g_00172	Prbe.g_01074
OG0000361	Syad.g_00173	Prbe.g_01075
OG0000362	Syad.g_00175	Prbe.g_01077
OG0000363	Syad.g_00177	Prbe.g_00114
OG0000364	Syad.g_00178	Prbe.g_00115
OG0000365	Syad.g_00187	Prbe.g_00120
OG0000366	Syad.g_00188	Prbe.g_00121
OG0000367	Syad.g_00189	Prbe.g_00122
OG0000368	Syad.g_00191	Prbe.g_00124
OG0000369	Syad.g_00192	Prbe.g_00125
OG0000370	Syad.g_00193	Prbe.g_00126
OG0000371	Syad.g_00201	Prbe.g_00133
OG0000372	Syad.g_00206	Prbe.g_00136
OG0000373	Syad.g_00207	Prbe.g_00137
OG0000374	Syad.g_00208	Prbe.g_00138
OG0000375	Syad.g_00209	Prbe.g_00140
OG0000376	Syad.g_00211	Prbe.g_00142
OG0000377	Syad.g_03027	Prbe.g_00146
OG0000378	Syad.g_03012	Prbe.g_00150
OG0000379	Syad.g_03005	Prbe.g_00153
OG0000380	Syad.g_02725	Prbe.g_00170
OG0000381	Syad.g_02729	Prbe.g_00175
OG0000382	Syad.g_02758	Prbe.g_00185
OG0000383	Syad.g_02761	Prbe.g_00187
OG0000384	Syad.g_02762	Prbe.g_00188
OG0000385	Syad.g_02763	Prbe.g_00189
OG0000386	Syad.g_02764	Prbe.g_00190
OG0000387	Syad.g_02792	Prbe.g_01640
OG0000388	Syad.g_02796	Prbe.g_01644
OG0000389	Syad.g_02800	Prbe.g_01647
OG0000390	Syad.g_02818	Prbe.g_01657
OG0000391	Syad.g_02823	Prbe.g_01660
OG0000392	Syad.g_02833	Prbe.g_01664
OG0000393	Syad.g_02837	Prbe.g_01667
OG0000394	Syad.g_02838	Prbe.g_01668
OG0000395	Syad.g_02839	Prbe.g_01669
OG0000396	Syad.g_02843	Prbe.g_01671
OG0000397	Syad.g_02845	Prbe.g_01673
OG0000398	Syad.g_02850	Prbe.g_01676
OG0000399	Syad.g_02851	Prbe.g_01677
OG0000400	Syad.g_02852	Prbe.g_01678
OG0000401	Syad.g_02853	Prbe.g_01679
OG0000402	Syad.g_02855	Prbe.g_01412
OG0000403	Syad.g_02856	Prbe.g_01681
OG0000404	Syad.g_02858	Prbe.g_01682
OG0000405	Syad.g_02874	Prbe.g_01686
OG0000406	Syad.g_02878	Prbe.g_01694
OG0000407	Syad.g_02879	Prbe.g_01695
OG0000408	Syad.g_02883	Prbe.g_01697
OG0000409	Syad.g_02885	Prbe.g_01699
OG0000410	Syad.g_02886	Prbe.g_01700
OG0000411	Syad.g_02887	Prbe.g_01701
OG0000412	Syad.g_02888	Prbe.g_01702
OG0000413	Syad.g_02890	Prbe.g_01704
OG0000415	Syad.g_02891	Prbe.g_01706
OG0000416	Syad.g_02892	Prbe.g_01707
OG0000417	Syad.g_02893	Prbe.g_01708
OG0000418	Syad.g_02898	Prbe.g_01713
OG0000419	Syad.g_02900	Prbe.g_01715
OG0000420	Syad.g_02902	Prbe.g_01716
OG0000421	Syad.g_02907	Prbe.g_01721
OG0000422	Syad.g_02908	Prbe.g_01722
OG0000423	Syad.g_02909	Prbe.g_01723
OG0000424	Syad.g_02910	Prbe.g_01724
OG0000425	Syad.g_02911	Prbe.g_01725
OG0000426	Syad.g_02912	Prbe.g_01726
OG0000427	Syad.g_02913	Prbe.g_01727
OG0000428	Syad.g_02916	Prbe.g_01729
OG0000429	Syad.g_02918	Prbe.g_01730
OG0000430	Syad.g_02920	Prbe.g_01731
OG0000431	Syad.g_02923	Prbe.g_01733
OG0000432	Syad.g_02930	Prbe.g_01737
OG0000433	Syad.g_02933	Prbe.g_01738
OG0000434	Syad.g_02934	Prbe.g_01739
OG0000435	Syad.g_02936	Prbe.g_01740
OG0000436	Syad.g_02942	Prbe.g_01745
OG0000437	Syad.g_02943	Prbe.g_01746
OG0000438	Syad.g_02944	Prbe.g_01747
OG0000439	Syad.g_02946	Prbe.g_01749
OG0000440	Syad.g_02947	Prbe.g_01750
OG0000441	Syad.g_02951	Prbe.g_01753
OG0000442	Syad.g_02952	Prbe.g_01754
OG0000443	Syad.g_02953	Prbe.g_01755
OG0000444	Syad.g_02964	Prbe.g_01761
OG0000445	Syad.g_02965	Prbe.g_01762
OG0000446	Syad.g_02967	Prbe.g_01763
OG0000447	Syad.g_02970	Prbe.g_01764
OG0000448	Syad.g_02971	Prbe.g_01765
OG0000449	Syad.g_02972	Prbe.g_01766
OG0000450	Syad.g_02978	Prbe.g_01767
OG0000451	Syad.g_02979	Prbe.g_01768
OG0000452	Syad.g_02983	Prbe.g_01771
OG0000453	Syad.g_02984	Prbe.g_01772
OG0000454	Syad.g_02985	Prbe.g_01773
OG0000455	Syad.g_02986	Prbe.g_01774
OG0000456	Syad.g_02987	Prbe.g_01775
OG0000457	Syad.g_02989	Prbe.g_01777
OG0000458	Syad.g_02998	Prbe.g_01778
OG0000459	Syad.g_02999	Prbe.g_01779
OG0000460	Syad.g_00815	Prbe.g_01787
OG0000461	Syad.g_00579	Prbe.g_01795
OG0000462	Syad.g_00576	Prbe.g_01797
OG0000463	Syad.g_00575	Prbe.g_01798
OG0000464	Syad.g_00574	Prbe.g_01799
OG0000465	Syad.g_00573	Prbe.g_01800
OG0000466	Syad.g_00568	Prbe.g_01803
OG0000467	Syad.g_00566	Prbe.g_01804
OG0000468	Syad.g_00561	Prbe.g_01807
OG0000469	Syad.g_00545	Prbe.g_01815
OG0000470	Syad.g_00542	Prbe.g_01817
OG0000471	Syad.g_00541	Prbe.g_01818
OG0000472	Syad.g_00539	Prbe.g_01820
OG0000473	Syad.g_00537	Prbe.g_01822
OG0000474	Syad.g_00536	Prbe.g_01823
OG0000475	Syad.g_00535	Prbe.g_01824
OG0000476	Syad.g_00533	Prbe.g_01826
OG0000477	Syad.g_00528	Prbe.g_01829
OG0000478	Syad.g_00527	Prbe.g_01830
OG0000479	Syad.g_00526	Prbe.g_01831
OG0000480	Syad.g_00520	Prbe.g_01836
OG0000481	Syad.g_00518	Prbe.g_01839
OG0000482	Syad.g_00517	Prbe.g_01840
OG0000483	Syad.g_00513	Prbe.g_01843
OG0000484	Syad.g_00512	Prbe.g_01844
OG0000485	Syad.g_00511	Prbe.g_01846
OG0000486	Syad.g_00510	Prbe.g_01847
OG0000487	Syad.g_00503	Prbe.g_01850
OG0000488	Syad.g_00499	Prbe.g_01853
OG0000489	Syad.g_00487	Prbe.g_01858
OG0000490	Syad.g_00475	Prbe.g_01862
OG0000491	Syad.g_00474	Prbe.g_01863
OG0000492	Syad.g_00472	Prbe.g_01865
OG0000493	Syad.g_00471	Prbe.g_01866
OG0000494	Syad.g_00470	Prbe.g_01867
OG0000495	Syad.g_00469	Prbe.g_01868
OG0000496	Syad.g_00468	Prbe.g_01869
OG0000497	Syad.g_00467	Prbe.g_01870
OG0000498	Syad.g_00466	Prbe.g_01871
OG0000499	Syad.g_00465	Prbe.g_01872
OG0000500	Syad.g_00464	Prbe.g_01873
OG0000501	Syad.g_00461	Prbe.g_01874
OG0000502	Syad.g_00449	Prbe.g_01877
OG0000503	Syad.g_00761	Prbe.g_01892
OG0000504	Syad.g_00763	Prbe.g_01894
OG0000505	Syad.g_00764	Prbe.g_01895
OG0000506	Syad.g_00766	Prbe.g_01896
OG0000507	Syad.g_00772	Prbe.g_01899
OG0000508	Syad.g_00776	Prbe.g_01903
OG0000509	Syad.g_00778	Prbe.g_01905
OG0000510	Syad.g_00779	Prbe.g_01906
OG0000511	Syad.g_00780	Prbe.g_01907
OG0000512	Syad.g_00782	Prbe.g_01909
OG0000513	Syad.g_00789	Prbe.g_01918
OG0000514	Syad.g_00795	Prbe.g_01929
OG0000515	Syad.g_00796	Prbe.g_01930
OG0000516	Syad.g_02456	Prbe.g_01931
OG0000517	Syad.g_02451	Prbe.g_01933
OG0000518	Syad.g_02439	Prbe.g_01944
OG0000519	Syad.g_02438	Prbe.g_01945
OG0000520	Syad.g_02437	Prbe.g_01946
OG0000521	Syad.g_01108	Prbe.g_00676
OG0000522	Syad.g_01109	Prbe.g_00674
OG0000523	Syad.g_01110	Prbe.g_00673
OG0000524	Syad.g_02386	Prbe.g_00668
OG0000525	Syad.g_02363	Prbe.g_00664
OG0000526	Syad.g_02360	Prbe.g_00663
OG0000527	Syad.g_02355	Prbe.g_00660
OG0000528	Syad.g_00897	Prbe.g_00655
OG0000529	Syad.g_00905	Prbe.g_00652
OG0000530	Syad.g_00908	Prbe.g_00649
OG0000531	Syad.g_00909	Prbe.g_00648
OG0000532	Syad.g_00912	Prbe.g_00646
OG0000533	Syad.g_00913	Prbe.g_00645
OG0000534	Syad.g_00914	Prbe.g_00644
OG0000535	Syad.g_00915	Prbe.g_00643
OG0000536	Syad.g_00916	Prbe.g_00642
OG0000537	Syad.g_00917	Prbe.g_00641
OG0000538	Syad.g_00929	Prbe.g_00632
OG0000539	Syad.g_00930	Prbe.g_00631
OG0000540	Syad.g_00931	Prbe.g_00630
OG0000541	Syad.g_00932	Prbe.g_00629
OG0000542	Syad.g_00935	Prbe.g_00628
OG0000543	Syad.g_00937	Prbe.g_00626
OG0000544	Syad.g_00938	Prbe.g_00625
OG0000545	Syad.g_00940	Prbe.g_00623
OG0000546	Syad.g_00942	Prbe.g_00620
OG0000547	Syad.g_00944	Prbe.g_00618
OG0000548	Syad.g_00945	Prbe.g_00617
OG0000549	Syad.g_00952	Prbe.g_00615
OG0000550	Syad.g_00956	Prbe.g_00611
OG0000551	Syad.g_00960	Prbe.g_00608
OG0000552	Syad.g_00961	Prbe.g_00607
OG0000553	Syad.g_00965	Prbe.g_00606
OG0000554	Syad.g_00978	Prbe.g_00601
OG0000555	Syad.g_00999	Prbe.g_00593
OG0000556	Syad.g_01003	Prbe.g_00591
