Orthogroup	Syad	Prak
OG0000053	Syad.g_02302	Prak.g_01590, Prak.g_01412
OG0000054	Syad.g_02209	Prak.g_00568
OG0000055	Syad.g_01255	Prak.g_01221
OG0000057	Syad.g_01301	Prak.g_00829
OG0000058	Syad.g_00452	Prak.g_01351
OG0000059	Syad.g_00642	Prak.g_01732
OG0000061	Syad.g_01152	Prak.g_01172
OG0000062	Syad.g_02598	Prak.g_01476
OG0000063	Syad.g_00202	Prak.g_01530
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Prak.g_00072
OG0000065	Syad.g_02574, Syad.g_02801	Prak.g_00113
OG0000066	Syad.g_00992	Prak.g_00498, Prak.g_01557
OG0000067	Syad.g_01889	Prak.g_00845
OG0000068	Syad.g_00891	Prak.g_01329
OG0000070	Syad.g_02424	Prak.g_00412
OG0000071	Syad.g_02405	Prak.g_01277
OG0000072	Syad.g_02905	Prak.g_00183
OG0000073	Syad.g_00926	Prak.g_00461
OG0000075	Syad.g_00416	Prak.g_01816
OG0000076	Syad.g_00348	Prak.g_01842
OG0000077	Syad.g_02741	Prak.g_00083
OG0000078	Syad.g_00824	Prak.g_00256
OG0000079	Syad.g_00565	Prak.g_00269
OG0000081	Syad.g_00833	Prak.g_00490
OG0000082	Syad.g_01063	Prak.g_00546, Prak.g_01634
OG0000084	Syad.g_02272	Prak.g_01388
OG0000085	Syad.g_02612	Prak.g_01637, Prak.g_01516
OG0000086	Syad.g_02770	Prak.g_00092
OG0000087	Syad.g_02860	Prak.g_00147
OG0000088	Syad.g_02899	Prak.g_00178
OG0000089	Syad.g_00785, Syad.g_02829	Prak.g_00379
OG0000090	Syad.g_00977	Prak.g_00492
OG0000091	Syad.g_02144	Prak.g_01100
OG0000092	Syad.g_01190	Prak.g_00775
OG0000097	Syad.g_01458	Prak.g_01126
OG0000098	Syad.g_00625	Prak.g_01305
OG0000099	Syad.g_00460	Prak.g_01352
OG0000100	Syad.g_01846	Prak.g_01470
OG0000101	Syad.g_00694	Prak.g_01780
OG0000102	Syad.g_00343	Prak.g_01847
OG0000103	Syad.g_00143	Prak.g_01932
OG0000104	Syad.g_00158	Prak.g_01941
OG0000105	Syad.g_00530	Prak.g_00292
OG0000106	Syad.g_01993	Prak.g_00687
OG0000107	Syad.g_00590	Prak.g_01709
OG0000108	Syad.g_00904	Prak.g_00441
OG0000109	Syad.g_00919	Prak.g_00455
OG0000110	Syad.g_01048	Prak.g_00535
OG0000111	Syad.g_01300	Prak.g_00830
OG0000112	Syad.g_01766	Prak.g_00608
OG0000113	Syad.g_01851	Prak.g_00868
OG0000114	Syad.g_01617	Prak.g_00770
OG0000115	Syad.g_02300	Prak.g_01241
OG0000116	Syad.g_01123	Prak.g_01183
OG0000117	Syad.g_01510	Prak.g_01145
OG0000118	Syad.g_01104	Prak.g_01290
OG0000119	Syad.g_01168	Prak.g_01226, Prak.g_01488
OG0000120	Syad.g_00459	Prak.g_01349
OG0000121	Syad.g_02280	Prak.g_01393
OG0000122	Syad.g_02122	Prak.g_01248, Prak.g_01434
OG0000123	Syad.g_00701	Prak.g_01787
OG0000124	Syad.g_00320	Prak.g_01859
OG0000125	Syad.g_03040	Prak.g_01895
OG0000126	Syad.g_00156	Prak.g_01940
OG0000128	Syad.g_00174	Prak.g_00011
OG0000129	Syad.g_03028	Prak.g_00045
OG0000130	Syad.g_02728	Prak.g_00074
OG0000131	Syad.g_02876	Prak.g_00156
OG0000132	Syad.g_02897	Prak.g_00176
OG0000133	Syad.g_01761	Prak.g_00339
OG0000134	Syad.g_00788	Prak.g_00381
OG0000135	Syad.g_00063	Prak.g_01259
OG0000136	Syad.g_02445	Prak.g_00403
OG0000137	Syad.g_02353	Prak.g_00436
OG0000138	Syad.g_00920	Prak.g_00456
OG0000139	Syad.g_00983	Prak.g_00496
OG0000140	Syad.g_00987	Prak.g_00497
OG0000141	Syad.g_02208	Prak.g_00569
OG0000142	Syad.g_02152	Prak.g_01108
OG0000143	Syad.g_02148	Prak.g_01104
OG0000144	Syad.g_02024	Prak.g_01090
OG0000145	Syad.g_00927	Prak.g_01261
OG0000146	Syad.g_01767	Prak.g_00607
OG0000147	Syad.g_01768	Prak.g_00606
OG0000148	Syad.g_01861	Prak.g_00862
OG0000149	Syad.g_01221	Prak.g_00894
OG0000150	Syad.g_02207, Syad.g_00989	Prak.g_00904
OG0000151	Syad.g_01956	Prak.g_00780
OG0000152	Syad.g_01757	Prak.g_00973
OG0000153	Syad.g_01713	Prak.g_00992
OG0000154	Syad.g_01686	Prak.g_01012
OG0000155	Syad.g_01189	Prak.g_01151
OG0000156	Syad.g_01116	Prak.g_01266
OG0000157	Syad.g_01115	Prak.g_01267
OG0000158	Syad.g_00374	Prak.g_01824
OG0000160	Syad.g_02279	Prak.g_01392
OG0000161	Syad.g_02287	Prak.g_01398
OG0000162	Syad.g_02293	Prak.g_01404
OG0000163	Syad.g_02542	Prak.g_01443
OG0000164	Syad.g_02659	Prak.g_01669
OG0000165	Syad.g_02476	Prak.g_01676
OG0000166	Syad.g_00654	Prak.g_01743
OG0000167	Syad.g_00419	Prak.g_01814
OG0000168	Syad.g_00371	Prak.g_01825
OG0000169	Syad.g_00360	Prak.g_01835
OG0000170	Syad.g_00353	Prak.g_01838
OG0000171	Syad.g_00321	Prak.g_01858
OG0000172	Syad.g_00244	Prak.g_01865
OG0000173	Syad.g_00220	Prak.g_01880
OG0000174	Syad.g_00065	Prak.g_01910
OG0000175	Syad.g_00129	Prak.g_01923
OG0000176	Syad.g_00166	Prak.g_00004
OG0000177	Syad.g_00167	Prak.g_00005
OG0000178	Syad.g_00168	Prak.g_00006
OG0000179	Syad.g_00183	Prak.g_00016
OG0000180	Syad.g_00184	Prak.g_00017
OG0000181	Syad.g_00185	Prak.g_00018
OG0000182	Syad.g_00186	Prak.g_00019
OG0000183	Syad.g_00190	Prak.g_00023
OG0000184	Syad.g_03018	Prak.g_00049
OG0000185	Syad.g_03006	Prak.g_00052
OG0000186	Syad.g_02722	Prak.g_00068
OG0000187	Syad.g_02724	Prak.g_00069
OG0000188	Syad.g_02759	Prak.g_00086
OG0000189	Syad.g_02788	Prak.g_00100
OG0000190	Syad.g_02790	Prak.g_00102
OG0000191	Syad.g_02824	Prak.g_00125
OG0000192	Syad.g_02834	Prak.g_00130
OG0000193	Syad.g_02877	Prak.g_00157
OG0000194	Syad.g_02880	Prak.g_00160
OG0000195	Syad.g_02884	Prak.g_00162
OG0000196	Syad.g_02894	Prak.g_00173
OG0000197	Syad.g_02895	Prak.g_00174
OG0000198	Syad.g_02896	Prak.g_00175
OG0000199	Syad.g_02904	Prak.g_00182
OG0000200	Syad.g_02921	Prak.g_00196
OG0000201	Syad.g_02937	Prak.g_00205
OG0000202	Syad.g_02938	Prak.g_00206
OG0000203	Syad.g_02939	Prak.g_00207
OG0000204	Syad.g_02940	Prak.g_00208
OG0000205	Syad.g_02948	Prak.g_00215
OG0000206	Syad.g_02955	Prak.g_00220
OG0000207	Syad.g_02957	Prak.g_00223
OG0000208	Syad.g_02958	Prak.g_00224
OG0000209	Syad.g_02981	Prak.g_00233
OG0000210	Syad.g_02982	Prak.g_00234
OG0000211	Syad.g_00813	Prak.g_00249
OG0000212	Syad.g_00825	Prak.g_00257
OG0000213	Syad.g_00556	Prak.g_00275
OG0000214	Syad.g_00538	Prak.g_00285
OG0000215	Syad.g_00508	Prak.g_00312
OG0000216	Syad.g_00504, Syad.g_00285	Prak.g_00313
OG0000217	Syad.g_00500	Prak.g_00316
OG0000218	Syad.g_00498	Prak.g_00318
OG0000219	Syad.g_00497	Prak.g_00319
OG0000220	Syad.g_00496	Prak.g_00320
OG0000221	Syad.g_00488	Prak.g_00321
OG0000222	Syad.g_00473	Prak.g_00328
OG0000223	Syad.g_00451	Prak.g_00340
OG0000224	Syad.g_00444	Prak.g_00342
OG0000225	Syad.g_00777	Prak.g_00368
OG0000226	Syad.g_00781	Prak.g_00372
OG0000227	Syad.g_00783	Prak.g_00374
OG0000228	Syad.g_00784	Prak.g_00378
OG0000229	Syad.g_02450	Prak.g_00398
OG0000230	Syad.g_02448	Prak.g_00400
OG0000231	Syad.g_02436	Prak.g_00411
OG0000232	Syad.g_02392	Prak.g_00422
OG0000233	Syad.g_02382	Prak.g_00428
OG0000234	Syad.g_02351	Prak.g_00437
OG0000235	Syad.g_00903	Prak.g_00440
OG0000236	Syad.g_00918	Prak.g_00454
OG0000237	Syad.g_00936	Prak.g_00467
OG0000238	Syad.g_00941	Prak.g_00473
OG0000239	Syad.g_00957	Prak.g_00484
OG0000240	Syad.g_00958	Prak.g_00485
OG0000241	Syad.g_02160	Prak.g_00489
OG0000242	Syad.g_00975	Prak.g_00491
OG0000243	Syad.g_01000	Prak.g_00502
OG0000244	Syad.g_01012	Prak.g_00506
OG0000245	Syad.g_01014	Prak.g_00508
OG0000246	Syad.g_01017	Prak.g_00512
OG0000247	Syad.g_01029	Prak.g_00522
OG0000248	Syad.g_01032	Prak.g_00525
OG0000249	Syad.g_01034	Prak.g_00527
OG0000250	Syad.g_01044	Prak.g_00532
OG0000251	Syad.g_01071	Prak.g_00552
OG0000252	Syad.g_01078	Prak.g_00555
OG0000253	Syad.g_01081	Prak.g_00556
OG0000254	Syad.g_02203	Prak.g_00573
OG0000255	Syad.g_02185	Prak.g_00579
OG0000256	Syad.g_02167	Prak.g_00589
OG0000257	Syad.g_02161	Prak.g_01113
OG0000258	Syad.g_02143	Prak.g_01099
OG0000259	Syad.g_01576	Prak.g_01082
OG0000260	Syad.g_01587	Prak.g_01079
OG0000261	Syad.g_01590	Prak.g_01076
OG0000262	Syad.g_01595	Prak.g_01072
OG0000263	Syad.g_01475	Prak.g_00808
OG0000264	Syad.g_01360	Prak.g_00819
OG0000265	Syad.g_01383	Prak.g_00837
OG0000266	Syad.g_01804	Prak.g_01053
OG0000267	Syad.g_01645	Prak.g_01041
OG0000268	Syad.g_01646	Prak.g_01040
OG0000269	Syad.g_01894	Prak.g_00840
OG0000270	Syad.g_01891	Prak.g_00843
OG0000271	Syad.g_01883	Prak.g_00851
OG0000272	Syad.g_01882	Prak.g_00852
OG0000273	Syad.g_01247	Prak.g_00876
OG0000274	Syad.g_01246	Prak.g_00877
OG0000275	Syad.g_01242	Prak.g_00880
OG0000276	Syad.g_01229	Prak.g_00886
OG0000277	Syad.g_01228	Prak.g_00887
OG0000278	Syad.g_01225	Prak.g_00890
OG0000279	Syad.g_01208	Prak.g_00897
OG0000280	Syad.g_01198	Prak.g_00898
OG0000281	Syad.g_00624	Prak.g_00905
OG0000282	Syad.g_01619	Prak.g_00772
OG0000283	Syad.g_01661	Prak.g_00949
OG0000284	Syad.g_01787	Prak.g_00954
OG0000285	Syad.g_01776	Prak.g_00959
OG0000286	Syad.g_01758	Prak.g_00972
OG0000287	Syad.g_01720	Prak.g_01238
OG0000288	Syad.g_01687	Prak.g_01011
OG0000289	Syad.g_01672	Prak.g_01027
OG0000290	Syad.g_01287	Prak.g_00923
OG0000291	Syad.g_01289	Prak.g_00921
OG0000292	Syad.g_00155	Prak.g_01217
OG0000293	Syad.g_01124	Prak.g_01182
OG0000294	Syad.g_01125	Prak.g_01181
OG0000295	Syad.g_01181	Prak.g_01158
OG0000296	Syad.g_01183	Prak.g_01156
OG0000297	Syad.g_01512	Prak.g_01147
OG0000298	Syad.g_01511	Prak.g_01146
OG0000299	Syad.g_01462	Prak.g_01127
OG0000300	Syad.g_01455	Prak.g_01124
OG0000301	Syad.g_01454	Prak.g_01123
OG0000302	Syad.g_01453	Prak.g_01121
OG0000303	Syad.g_01442	Prak.g_01115
OG0000304	Syad.g_01436	Prak.g_00594
OG0000305	Syad.g_01292	Prak.g_01215
OG0000306	Syad.g_01989	Prak.g_00909
OG0000307	Syad.g_00883	Prak.g_01338
OG0000308	Syad.g_00881	Prak.g_01339
OG0000309	Syad.g_00876	Prak.g_01343
OG0000310	Syad.g_02250	Prak.g_01377
OG0000311	Syad.g_02254	Prak.g_01379
OG0000312	Syad.g_02265	Prak.g_01382
OG0000313	Syad.g_02284	Prak.g_01395
OG0000314	Syad.g_02313	Prak.g_01418
OG0000315	Syad.g_02323	Prak.g_01428
OG0000316	Syad.g_02564	Prak.g_01453
OG0000317	Syad.g_02620	Prak.g_01642
OG0000318	Syad.g_02624	Prak.g_01646
OG0000319	Syad.g_02642	Prak.g_01659
OG0000320	Syad.g_02644	Prak.g_01661
OG0000321	Syad.g_02645	Prak.g_01662
OG0000322	Syad.g_02646	Prak.g_01663
OG0000323	Syad.g_02661	Prak.g_01672
OG0000324	Syad.g_02505	Prak.g_01699
OG0000325	Syad.g_00591	Prak.g_01710
OG0000326	Syad.g_00598	Prak.g_01717
OG0000327	Syad.g_00649	Prak.g_01738
OG0000328	Syad.g_00650	Prak.g_01739
OG0000329	Syad.g_00668	Prak.g_01756
OG0000330	Syad.g_00669	Prak.g_01757
OG0000331	Syad.g_00670	Prak.g_01758
OG0000332	Syad.g_00685	Prak.g_01772
OG0000333	Syad.g_00688	Prak.g_01774
OG0000334	Syad.g_00697	Prak.g_01783
OG0000335	Syad.g_00702	Prak.g_01788
OG0000336	Syad.g_00706	Prak.g_01792
OG0000337	Syad.g_00425, Syad.g_00427	Prak.g_01810
OG0000338	Syad.g_00421	Prak.g_01811
OG0000339	Syad.g_00414	Prak.g_01817
OG0000340	Syad.g_00370	Prak.g_01826
OG0000341	Syad.g_00368	Prak.g_01828
OG0000342	Syad.g_00367	Prak.g_01829
OG0000343	Syad.g_00366	Prak.g_01830
OG0000344	Syad.g_00362	Prak.g_01833
OG0000345	Syad.g_00352	Prak.g_01839
OG0000346	Syad.g_00347	Prak.g_01843
OG0000347	Syad.g_00318	Prak.g_01860
OG0000348	Syad.g_00233	Prak.g_01868
OG0000349	Syad.g_00213	Prak.g_01886
OG0000350	Syad.g_00605	Prak.g_00656
OG0000351	Syad.g_00134	Prak.g_01926
OG0000352	Syad.g_00135	Prak.g_01927
OG0000353	Syad.g_00161	Prak.g_01944
OG0000355	Syad.g_00163	Prak.g_00001
OG0000356	Syad.g_00164	Prak.g_00002
OG0000357	Syad.g_00165	Prak.g_00003
OG0000358	Syad.g_00169	Prak.g_00007
OG0000359	Syad.g_00171	Prak.g_00008
OG0000360	Syad.g_00172	Prak.g_00009
OG0000361	Syad.g_00173	Prak.g_00010
OG0000362	Syad.g_00175	Prak.g_00012
OG0000363	Syad.g_00177	Prak.g_00014
OG0000364	Syad.g_00178	Prak.g_00015
OG0000365	Syad.g_00187	Prak.g_00020
OG0000366	Syad.g_00188	Prak.g_00021
OG0000367	Syad.g_00189	Prak.g_00022
OG0000368	Syad.g_00191	Prak.g_00024
OG0000369	Syad.g_00192	Prak.g_00025
OG0000370	Syad.g_00193	Prak.g_00026
OG0000371	Syad.g_00201	Prak.g_00033
OG0000372	Syad.g_00206	Prak.g_00036
OG0000373	Syad.g_00207	Prak.g_00037
OG0000374	Syad.g_00208	Prak.g_00038
OG0000375	Syad.g_00209	Prak.g_00040
OG0000376	Syad.g_00211	Prak.g_00042
OG0000377	Syad.g_03027	Prak.g_00046
OG0000378	Syad.g_03012	Prak.g_00050
OG0000379	Syad.g_03005	Prak.g_00053
OG0000380	Syad.g_02725	Prak.g_00070
OG0000381	Syad.g_02729	Prak.g_00075
OG0000382	Syad.g_02758	Prak.g_00085
OG0000383	Syad.g_02761	Prak.g_00087
OG0000384	Syad.g_02762	Prak.g_00088
OG0000385	Syad.g_02763	Prak.g_00089
OG0000386	Syad.g_02764	Prak.g_00090
OG0000387	Syad.g_02792	Prak.g_00104
OG0000388	Syad.g_02796	Prak.g_00108
OG0000389	Syad.g_02800	Prak.g_00111
OG0000390	Syad.g_02818	Prak.g_00121
OG0000391	Syad.g_02823	Prak.g_00124
OG0000392	Syad.g_02833	Prak.g_00128
OG0000393	Syad.g_02837	Prak.g_00131
OG0000394	Syad.g_02838	Prak.g_00132
OG0000395	Syad.g_02839	Prak.g_00133
OG0000396	Syad.g_02843	Prak.g_00135
OG0000397	Syad.g_02845	Prak.g_00137
OG0000398	Syad.g_02850	Prak.g_00140
OG0000399	Syad.g_02851	Prak.g_00141
OG0000400	Syad.g_02852	Prak.g_00142
OG0000401	Syad.g_02853	Prak.g_00143
OG0000402	Syad.g_02855	Prak.g_01035
OG0000403	Syad.g_02856	Prak.g_00145
OG0000404	Syad.g_02858	Prak.g_00146
OG0000405	Syad.g_02874	Prak.g_00150
OG0000406	Syad.g_02878	Prak.g_00158
OG0000407	Syad.g_02879	Prak.g_00159
OG0000408	Syad.g_02883	Prak.g_00161
OG0000409	Syad.g_02885	Prak.g_00163
OG0000410	Syad.g_02886	Prak.g_00164
OG0000411	Syad.g_02887	Prak.g_00165
OG0000412	Syad.g_02888	Prak.g_00166
OG0000413	Syad.g_02890	Prak.g_00168
OG0000415	Syad.g_02891	Prak.g_00170
OG0000416	Syad.g_02892	Prak.g_00171
OG0000417	Syad.g_02893	Prak.g_00172
OG0000418	Syad.g_02898	Prak.g_00177
OG0000419	Syad.g_02900	Prak.g_00179
OG0000420	Syad.g_02902	Prak.g_00180
OG0000421	Syad.g_02907	Prak.g_00185
OG0000422	Syad.g_02908	Prak.g_00186
OG0000423	Syad.g_02909	Prak.g_00187
OG0000424	Syad.g_02910	Prak.g_00188
OG0000425	Syad.g_02911	Prak.g_00189
OG0000426	Syad.g_02912	Prak.g_00190
OG0000427	Syad.g_02913	Prak.g_00191
OG0000428	Syad.g_02916	Prak.g_00193
OG0000429	Syad.g_02918	Prak.g_00194
OG0000430	Syad.g_02920	Prak.g_00195
OG0000431	Syad.g_02923	Prak.g_00197
OG0000432	Syad.g_02930	Prak.g_00201
OG0000433	Syad.g_02933	Prak.g_00202
OG0000434	Syad.g_02934	Prak.g_00203
OG0000435	Syad.g_02936	Prak.g_00204
OG0000436	Syad.g_02942	Prak.g_00209
OG0000437	Syad.g_02943	Prak.g_00210
OG0000438	Syad.g_02944	Prak.g_00211
OG0000439	Syad.g_02946	Prak.g_00213
OG0000440	Syad.g_02947	Prak.g_00214
OG0000441	Syad.g_02951	Prak.g_00217
OG0000442	Syad.g_02952	Prak.g_00218
OG0000443	Syad.g_02953	Prak.g_00219
OG0000444	Syad.g_02964	Prak.g_00225
OG0000445	Syad.g_02965	Prak.g_00226
OG0000446	Syad.g_02967	Prak.g_00227
OG0000447	Syad.g_02970	Prak.g_00228
OG0000448	Syad.g_02971	Prak.g_00229
OG0000449	Syad.g_02972	Prak.g_00230
OG0000450	Syad.g_02978	Prak.g_00231
OG0000451	Syad.g_02979	Prak.g_00232
OG0000452	Syad.g_02983	Prak.g_00235
OG0000453	Syad.g_02984	Prak.g_00236
OG0000454	Syad.g_02985	Prak.g_00237
OG0000455	Syad.g_02986	Prak.g_00238
OG0000456	Syad.g_02987	Prak.g_00239
OG0000457	Syad.g_02989	Prak.g_00241
OG0000458	Syad.g_02998	Prak.g_00242
OG0000459	Syad.g_02999	Prak.g_00243
OG0000460	Syad.g_00815	Prak.g_00251
OG0000461	Syad.g_00579	Prak.g_00259
OG0000462	Syad.g_00576	Prak.g_00261
OG0000463	Syad.g_00575	Prak.g_00262
OG0000464	Syad.g_00574	Prak.g_00263
OG0000465	Syad.g_00573	Prak.g_00264
OG0000466	Syad.g_00568	Prak.g_00267
OG0000467	Syad.g_00566	Prak.g_00268
OG0000468	Syad.g_00561	Prak.g_00271
OG0000469	Syad.g_00545	Prak.g_00279
OG0000470	Syad.g_00542	Prak.g_00281
OG0000471	Syad.g_00541	Prak.g_00282
OG0000472	Syad.g_00539	Prak.g_00284
OG0000473	Syad.g_00537	Prak.g_00286
OG0000474	Syad.g_00536	Prak.g_00287
OG0000475	Syad.g_00535	Prak.g_00288
OG0000476	Syad.g_00533	Prak.g_00290
OG0000477	Syad.g_00528	Prak.g_00293
OG0000478	Syad.g_00527	Prak.g_00294
OG0000479	Syad.g_00526	Prak.g_00295
OG0000480	Syad.g_00520	Prak.g_00300
OG0000481	Syad.g_00518	Prak.g_00303
OG0000482	Syad.g_00517	Prak.g_00304
OG0000483	Syad.g_00513	Prak.g_00307
OG0000484	Syad.g_00512	Prak.g_00308
OG0000485	Syad.g_00511	Prak.g_00310
OG0000486	Syad.g_00510	Prak.g_00311
OG0000487	Syad.g_00503	Prak.g_00314
OG0000488	Syad.g_00499	Prak.g_00317
OG0000489	Syad.g_00487	Prak.g_00322
OG0000490	Syad.g_00475	Prak.g_00326
OG0000491	Syad.g_00474	Prak.g_00327
OG0000492	Syad.g_00472	Prak.g_00329
OG0000493	Syad.g_00471	Prak.g_00330
OG0000494	Syad.g_00470	Prak.g_00331
OG0000495	Syad.g_00469	Prak.g_00332
OG0000496	Syad.g_00468	Prak.g_00333
OG0000497	Syad.g_00467	Prak.g_00334
OG0000498	Syad.g_00466	Prak.g_00335
OG0000499	Syad.g_00465	Prak.g_00336
OG0000500	Syad.g_00464	Prak.g_00337
OG0000501	Syad.g_00461	Prak.g_00338
OG0000502	Syad.g_00449	Prak.g_00341
OG0000503	Syad.g_00761	Prak.g_00356
OG0000504	Syad.g_00763	Prak.g_00358
OG0000505	Syad.g_00764	Prak.g_00359
OG0000506	Syad.g_00766	Prak.g_00360
OG0000507	Syad.g_00772	Prak.g_00363
OG0000508	Syad.g_00776	Prak.g_00367
OG0000509	Syad.g_00778	Prak.g_00369
OG0000510	Syad.g_00779	Prak.g_00370
OG0000511	Syad.g_00780	Prak.g_00371
OG0000512	Syad.g_00782	Prak.g_00373
OG0000513	Syad.g_00789	Prak.g_00382
OG0000514	Syad.g_00795	Prak.g_00393
OG0000515	Syad.g_00796	Prak.g_00394
OG0000516	Syad.g_02456	Prak.g_00395
OG0000517	Syad.g_02451	Prak.g_00397
OG0000518	Syad.g_02439	Prak.g_00408
OG0000519	Syad.g_02438	Prak.g_00409
OG0000520	Syad.g_02437	Prak.g_00410
OG0000521	Syad.g_01108	Prak.g_00418
OG0000522	Syad.g_01109	Prak.g_00420
OG0000523	Syad.g_01110	Prak.g_00421
OG0000524	Syad.g_02386	Prak.g_00426
OG0000525	Syad.g_02363	Prak.g_00430
OG0000526	Syad.g_02360	Prak.g_00431
OG0000527	Syad.g_02355	Prak.g_00434
OG0000528	Syad.g_00897	Prak.g_00439
OG0000529	Syad.g_00905	Prak.g_00442
OG0000530	Syad.g_00908	Prak.g_00445
OG0000531	Syad.g_00909	Prak.g_00446
OG0000532	Syad.g_00912	Prak.g_00448
OG0000533	Syad.g_00913	Prak.g_00449
OG0000534	Syad.g_00914	Prak.g_00450
OG0000535	Syad.g_00915	Prak.g_00451
OG0000536	Syad.g_00916	Prak.g_00452
OG0000537	Syad.g_00917	Prak.g_00453
OG0000538	Syad.g_00929	Prak.g_00462
OG0000539	Syad.g_00930	Prak.g_00463
OG0000540	Syad.g_00931	Prak.g_00464
OG0000541	Syad.g_00932	Prak.g_00465
OG0000542	Syad.g_00935	Prak.g_00466
OG0000543	Syad.g_00937	Prak.g_00468
OG0000544	Syad.g_00938	Prak.g_00469
OG0000545	Syad.g_00940	Prak.g_00471
OG0000546	Syad.g_00942	Prak.g_00474
OG0000547	Syad.g_00944	Prak.g_00476
OG0000548	Syad.g_00945	Prak.g_00477
OG0000549	Syad.g_00952	Prak.g_00479
OG0000550	Syad.g_00956	Prak.g_00483
OG0000551	Syad.g_00960	Prak.g_00486
OG0000552	Syad.g_00961	Prak.g_00487
OG0000553	Syad.g_00965	Prak.g_00488
OG0000554	Syad.g_00978	Prak.g_00493
OG0000555	Syad.g_00999	Prak.g_00501
OG0000556	Syad.g_01003	Prak.g_00503
OG0000557	Syad.g_01011	Prak.g_00504
OG0000558	Syad.g_01013	Prak.g_00507
OG0000559	Syad.g_01016	Prak.g_00511
OG0000560	Syad.g_01019	Prak.g_00514
OG0000561	Syad.g_01020	Prak.g_00515
OG0000562	Syad.g_01021	Prak.g_00516
OG0000563	Syad.g_01022	Prak.g_00517
OG0000564	Syad.g_01023	Prak.g_00518
OG0000565	Syad.g_01027	Prak.g_00520
OG0000566	Syad.g_01031	Prak.g_00524
OG0000567	Syad.g_01035	Prak.g_00528
OG0000568	Syad.g_01040	Prak.g_00529
OG0000569	Syad.g_01041	Prak.g_00530
OG0000570	Syad.g_01042	Prak.g_00531
OG0000571	Syad.g_01046	Prak.g_00533
OG0000572	Syad.g_01064	Prak.g_00547
OG0000573	Syad.g_01072	Prak.g_00553
OG0000574	Syad.g_01077	Prak.g_00554
OG0000575	Syad.g_01083	Prak.g_00558
OG0000576	Syad.g_01085	Prak.g_00560
OG0000577	Syad.g_01086	Prak.g_00561
OG0000578	Syad.g_01087	Prak.g_00562
OG0000579	Syad.g_01088	Prak.g_00563
