Orthogroup	Syad	Pral
OG0000097	Syad.g_01458	Pral.g_01416
OG0000098	Syad.g_00625	Pral.g_01239
OG0000099	Syad.g_00460	Pral.g_01201
OG0000100	Syad.g_01846	Pral.g_01078
OG0000101	Syad.g_00694	Pral.g_00243
OG0000102	Syad.g_00343	Pral.g_00310
OG0000103	Syad.g_00143	Pral.g_00397
OG0000104	Syad.g_00158	Pral.g_00406
OG0000105	Syad.g_00530	Pral.g_00765
OG0000106	Syad.g_01993	Pral.g_01859
OG0000107	Syad.g_00590	Pral.g_00171
OG0000108	Syad.g_00904	Pral.g_00611
OG0000109	Syad.g_00919	Pral.g_00596
OG0000110	Syad.g_01048	Pral.g_00513
OG0000111	Syad.g_01300	Pral.g_01739
OG0000112	Syad.g_01766	Pral.g_01635
OG0000113	Syad.g_01851	Pral.g_01511
OG0000114	Syad.g_01617	Pral.g_01799
OG0000115	Syad.g_02300	Pral.g_01141
OG0000116	Syad.g_01123	Pral.g_01356
OG0000117	Syad.g_01510	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881
OG0000118	Syad.g_01104	Pral.g_01269
OG0000119	Syad.g_01168	Pral.g_01861, Pral.g_01063
OG0000120	Syad.g_00459	Pral.g_00702
OG0000121	Syad.g_02280	Pral.g_01159
OG0000122	Syad.g_02122	Pral.g_01116
OG0000123	Syad.g_00701	Pral.g_00250
OG0000124	Syad.g_00320	Pral.g_00322
OG0000125	Syad.g_03040	Pral.g_00358
OG0000126	Syad.g_00156	Pral.g_00405
OG0000128	Syad.g_00174	Pral.g_00421
OG0000129	Syad.g_03028	Pral.g_01000
OG0000130	Syad.g_02728	Pral.g_00978
OG0000131	Syad.g_02876	Pral.g_00900
OG0000132	Syad.g_02897	Pral.g_00880
OG0000133	Syad.g_01761	Pral.g_00717
OG0000134	Syad.g_00788	Pral.g_00674
OG0000135	Syad.g_00063	Pral.g_01034
OG0000136	Syad.g_02445	Pral.g_00653
OG0000137	Syad.g_02353	Pral.g_00617
OG0000138	Syad.g_00920	Pral.g_00595
OG0000139	Syad.g_00983	Pral.g_00553
OG0000140	Syad.g_00987	Pral.g_00552
OG0000141	Syad.g_02208	Pral.g_00481
OG0000142	Syad.g_02152	Pral.g_01436
OG0000143	Syad.g_02148	Pral.g_01440
OG0000144	Syad.g_02024	Pral.g_01453
OG0000145	Syad.g_00927	Pral.g_01037
OG0000146	Syad.g_01767	Pral.g_01636
OG0000147	Syad.g_01768	Pral.g_01637
OG0000148	Syad.g_01861	Pral.g_01505
OG0000149	Syad.g_01221	Pral.g_01535
OG0000150	Syad.g_02207, Syad.g_00989	Pral.g_01545
OG0000151	Syad.g_01956	Pral.g_01789
OG0000152	Syad.g_01757	Pral.g_01627
OG0000153	Syad.g_01713	Pral.g_01578
OG0000154	Syad.g_01686	Pral.g_01595
OG0000155	Syad.g_01189	Pral.g_01390
OG0000156	Syad.g_01116	Pral.g_01292
OG0000157	Syad.g_01115	Pral.g_01291
OG0000158	Syad.g_00374	Pral.g_00287
OG0000160	Syad.g_02279	Pral.g_01160
OG0000161	Syad.g_02287	Pral.g_01154
OG0000162	Syad.g_02293	Pral.g_01148
OG0000163	Syad.g_02542	Pral.g_01106
OG0000164	Syad.g_02659	Pral.g_00131
OG0000165	Syad.g_02476	Pral.g_00138
OG0000166	Syad.g_00654	Pral.g_00206
OG0000167	Syad.g_00419	Pral.g_00277
OG0000168	Syad.g_00371	Pral.g_00288
OG0000169	Syad.g_00360	Pral.g_00298
OG0000170	Syad.g_00353	Pral.g_00301
OG0000171	Syad.g_00321	Pral.g_00321
OG0000172	Syad.g_00244	Pral.g_00328
OG0000173	Syad.g_00220	Pral.g_00343
OG0000174	Syad.g_00065	Pral.g_00375
OG0000175	Syad.g_00129	Pral.g_00387
OG0000176	Syad.g_00166	Pral.g_00414
OG0000177	Syad.g_00167	Pral.g_00415
OG0000178	Syad.g_00168	Pral.g_00416
OG0000179	Syad.g_00183	Pral.g_01028
OG0000180	Syad.g_00184	Pral.g_01027
OG0000181	Syad.g_00185	Pral.g_01026
OG0000182	Syad.g_00186	Pral.g_01025
OG0000183	Syad.g_00190	Pral.g_01021
OG0000184	Syad.g_03018	Pral.g_00996
OG0000185	Syad.g_03006	Pral.g_00993
OG0000186	Syad.g_02722	Pral.g_00984
OG0000187	Syad.g_02724	Pral.g_00983
OG0000188	Syad.g_02759	Pral.g_00965
OG0000189	Syad.g_02788	Pral.g_00951
OG0000190	Syad.g_02790	Pral.g_00950
OG0000191	Syad.g_02824	Pral.g_00928
OG0000192	Syad.g_02834	Pral.g_00923
OG0000193	Syad.g_02877	Pral.g_00899
OG0000194	Syad.g_02880	Pral.g_00896
OG0000195	Syad.g_02884	Pral.g_00894
OG0000196	Syad.g_02894	Pral.g_00883
OG0000197	Syad.g_02895	Pral.g_00882
OG0000198	Syad.g_02896	Pral.g_00881
OG0000199	Syad.g_02904	Pral.g_00873
OG0000200	Syad.g_02921	Pral.g_00860
OG0000201	Syad.g_02937	Pral.g_00851
OG0000202	Syad.g_02938	Pral.g_00850
OG0000203	Syad.g_02939	Pral.g_00849
OG0000204	Syad.g_02940	Pral.g_00848
OG0000205	Syad.g_02948	Pral.g_00842
OG0000206	Syad.g_02955	Pral.g_00837
OG0000207	Syad.g_02957	Pral.g_00835
OG0000208	Syad.g_02958	Pral.g_00834
OG0000209	Syad.g_02981	Pral.g_00825
OG0000210	Syad.g_02982	Pral.g_00824
OG0000211	Syad.g_00813	Pral.g_00807
OG0000212	Syad.g_00825	Pral.g_00799
OG0000213	Syad.g_00556	Pral.g_00781
OG0000214	Syad.g_00538	Pral.g_00772
OG0000215	Syad.g_00508	Pral.g_00746
OG0000216	Syad.g_00504, Syad.g_00285	Pral.g_00744
OG0000217	Syad.g_00500	Pral.g_00741
OG0000218	Syad.g_00498	Pral.g_00739
OG0000219	Syad.g_00497	Pral.g_00738
OG0000220	Syad.g_00496	Pral.g_00737
OG0000221	Syad.g_00488	Pral.g_00736
OG0000222	Syad.g_00473	Pral.g_00729
OG0000223	Syad.g_00451	Pral.g_00716
OG0000224	Syad.g_00444	Pral.g_00714
OG0000225	Syad.g_00777	Pral.g_00686
OG0000226	Syad.g_00781	Pral.g_00682
OG0000227	Syad.g_00783	Pral.g_00680
OG0000228	Syad.g_00784	Pral.g_00677
OG0000229	Syad.g_02450	Pral.g_00658
OG0000230	Syad.g_02448	Pral.g_00656
OG0000231	Syad.g_02436	Pral.g_00644
OG0000232	Syad.g_02392	Pral.g_00631
OG0000233	Syad.g_02382	Pral.g_00625
OG0000234	Syad.g_02351	Pral.g_00616
OG0000235	Syad.g_00903	Pral.g_00612
OG0000236	Syad.g_00918	Pral.g_00597
OG0000237	Syad.g_00936	Pral.g_00584
OG0000238	Syad.g_00941	Pral.g_00578
OG0000239	Syad.g_00957	Pral.g_00565
OG0000240	Syad.g_00958	Pral.g_00564
OG0000241	Syad.g_02160	Pral.g_00560
OG0000242	Syad.g_00975	Pral.g_00558
OG0000243	Syad.g_01000	Pral.g_00547
OG0000244	Syad.g_01012	Pral.g_00544
OG0000245	Syad.g_01014	Pral.g_00542
OG0000246	Syad.g_01017	Pral.g_00538
OG0000247	Syad.g_01029	Pral.g_00527
OG0000248	Syad.g_01032	Pral.g_00524
OG0000249	Syad.g_01034	Pral.g_00522
OG0000250	Syad.g_01044	Pral.g_00516
OG0000251	Syad.g_01071	Pral.g_00498
OG0000252	Syad.g_01078	Pral.g_00495
OG0000253	Syad.g_01081	Pral.g_00494
OG0000254	Syad.g_02203	Pral.g_00477
OG0000255	Syad.g_02185	Pral.g_00470
OG0000256	Syad.g_02167	Pral.g_00460
OG0000257	Syad.g_02161	Pral.g_01430
OG0000258	Syad.g_02143	Pral.g_01444
OG0000259	Syad.g_01576	Pral.g_01461
OG0000260	Syad.g_01587	Pral.g_01464
OG0000261	Syad.g_01590	Pral.g_01467
OG0000262	Syad.g_01595	Pral.g_01471
OG0000263	Syad.g_01475	Pral.g_01761
OG0000264	Syad.g_01360	Pral.g_01750
OG0000265	Syad.g_01383	Pral.g_01729
OG0000266	Syad.g_01804	Pral.g_01719
OG0000267	Syad.g_01645	Pral.g_01706
OG0000268	Syad.g_01646	Pral.g_01705
OG0000269	Syad.g_01894	Pral.g_01483
OG0000270	Syad.g_01891	Pral.g_01486
OG0000271	Syad.g_01883	Pral.g_01494
OG0000272	Syad.g_01882	Pral.g_01495
OG0000273	Syad.g_01247	Pral.g_01518
OG0000274	Syad.g_01246	Pral.g_01519
OG0000275	Syad.g_01242	Pral.g_01522
OG0000276	Syad.g_01229	Pral.g_01527
OG0000277	Syad.g_01228	Pral.g_01528
OG0000278	Syad.g_01225	Pral.g_01531
OG0000279	Syad.g_01208	Pral.g_01538
OG0000280	Syad.g_01198	Pral.g_01539
OG0000281	Syad.g_00624	Pral.g_01546
OG0000282	Syad.g_01619	Pral.g_01797
OG0000283	Syad.g_01661	Pral.g_01655
OG0000284	Syad.g_01787	Pral.g_01650
OG0000285	Syad.g_01776	Pral.g_01644
OG0000286	Syad.g_01758	Pral.g_01628
OG0000287	Syad.g_01720	Pral.g_00050
OG0000288	Syad.g_01687	Pral.g_01594
OG0000289	Syad.g_01672	Pral.g_01609
OG0000290	Syad.g_01287	Pral.g_01564
OG0000291	Syad.g_01289	Pral.g_01562
OG0000292	Syad.g_00155	Pral.g_01316
OG0000293	Syad.g_01124	Pral.g_01357
OG0000294	Syad.g_01125	Pral.g_01358
OG0000295	Syad.g_01181	Pral.g_01382
OG0000296	Syad.g_01183	Pral.g_01384
OG0000297	Syad.g_01512	Pral.g_01394
OG0000298	Syad.g_01511	Pral.g_01395
OG0000299	Syad.g_01462	Pral.g_01415
OG0000300	Syad.g_01455	Pral.g_01419
OG0000301	Syad.g_01454	Pral.g_01420
OG0000302	Syad.g_01453	Pral.g_01422
OG0000303	Syad.g_01442	Pral.g_01428
OG0000304	Syad.g_01436	Pral.g_00455
OG0000305	Syad.g_01292	Pral.g_01323
OG0000306	Syad.g_01989	Pral.g_01550
OG0000307	Syad.g_00883	Pral.g_01213
OG0000308	Syad.g_00881	Pral.g_01212
OG0000309	Syad.g_00876	Pral.g_01208
OG0000310	Syad.g_02250	Pral.g_01181
OG0000311	Syad.g_02254	Pral.g_01179
OG0000312	Syad.g_02265	Pral.g_01176
OG0000313	Syad.g_02284	Pral.g_01157
OG0000314	Syad.g_02313	Pral.g_01133
OG0000315	Syad.g_02323	Pral.g_01123
OG0000316	Syad.g_02564	Pral.g_01095
OG0000317	Syad.g_02620	Pral.g_00104
OG0000318	Syad.g_02624	Pral.g_00108
OG0000319	Syad.g_02642	Pral.g_00121
OG0000320	Syad.g_02644	Pral.g_00123
OG0000321	Syad.g_02645	Pral.g_00124
OG0000322	Syad.g_02646	Pral.g_00125
OG0000323	Syad.g_02661	Pral.g_00134
OG0000324	Syad.g_02505	Pral.g_00162
OG0000325	Syad.g_00591	Pral.g_00172
OG0000326	Syad.g_00598	Pral.g_00179
OG0000327	Syad.g_00649	Pral.g_00201
OG0000328	Syad.g_00650	Pral.g_00202
OG0000329	Syad.g_00668	Pral.g_00219
OG0000330	Syad.g_00669	Pral.g_00220
OG0000331	Syad.g_00670	Pral.g_00221
OG0000332	Syad.g_00685	Pral.g_00235
OG0000333	Syad.g_00688	Pral.g_00237
OG0000334	Syad.g_00697	Pral.g_00246
OG0000335	Syad.g_00702	Pral.g_00251
OG0000336	Syad.g_00706	Pral.g_00255
OG0000337	Syad.g_00425, Syad.g_00427	Pral.g_00274
OG0000338	Syad.g_00421	Pral.g_00275
OG0000339	Syad.g_00414	Pral.g_00280
OG0000340	Syad.g_00370	Pral.g_00289
OG0000341	Syad.g_00368	Pral.g_00291
OG0000342	Syad.g_00367	Pral.g_00292
OG0000343	Syad.g_00366	Pral.g_00293
OG0000344	Syad.g_00362	Pral.g_00296
OG0000345	Syad.g_00352	Pral.g_00302
OG0000346	Syad.g_00347	Pral.g_00306
OG0000347	Syad.g_00318	Pral.g_00323
OG0000348	Syad.g_00233	Pral.g_00331
OG0000349	Syad.g_00213	Pral.g_00349
OG0000350	Syad.g_00605	Pral.g_00370
OG0000351	Syad.g_00134	Pral.g_00390
OG0000352	Syad.g_00135	Pral.g_00391
OG0000353	Syad.g_00161	Pral.g_00409
OG0000354	Syad.g_00181	Pral.g_01677
OG0000355	Syad.g_00163	Pral.g_00411
OG0000356	Syad.g_00164	Pral.g_00412
OG0000357	Syad.g_00165	Pral.g_00413
OG0000358	Syad.g_00169	Pral.g_00417
OG0000359	Syad.g_00171	Pral.g_00418
OG0000360	Syad.g_00172	Pral.g_00419
OG0000361	Syad.g_00173	Pral.g_00420
OG0000362	Syad.g_00175	Pral.g_00422
OG0000363	Syad.g_00177	Pral.g_01030
OG0000364	Syad.g_00178	Pral.g_01029
OG0000365	Syad.g_00187	Pral.g_01024
OG0000366	Syad.g_00188	Pral.g_01023
OG0000367	Syad.g_00189	Pral.g_01022
OG0000368	Syad.g_00191	Pral.g_01020
OG0000369	Syad.g_00192	Pral.g_01019
OG0000370	Syad.g_00193	Pral.g_01018
OG0000371	Syad.g_00201	Pral.g_01011
OG0000372	Syad.g_00206	Pral.g_01009
OG0000373	Syad.g_00207	Pral.g_01008
OG0000374	Syad.g_00208	Pral.g_01007
OG0000375	Syad.g_00209	Pral.g_01005
OG0000376	Syad.g_00211	Pral.g_01003
OG0000377	Syad.g_03027	Pral.g_00999
OG0000378	Syad.g_03012	Pral.g_00995
OG0000379	Syad.g_03005	Pral.g_00992
OG0000380	Syad.g_02725	Pral.g_00982
OG0000381	Syad.g_02729	Pral.g_00977
OG0000382	Syad.g_02758	Pral.g_00966
OG0000383	Syad.g_02761	Pral.g_00964
OG0000384	Syad.g_02762	Pral.g_00963
OG0000385	Syad.g_02763	Pral.g_00962
OG0000386	Syad.g_02764	Pral.g_00961
OG0000387	Syad.g_02792	Pral.g_00948
OG0000388	Syad.g_02796	Pral.g_00944
OG0000389	Syad.g_02800	Pral.g_00941
OG0000390	Syad.g_02818	Pral.g_00932
OG0000391	Syad.g_02823	Pral.g_00929
OG0000392	Syad.g_02833	Pral.g_00925
OG0000393	Syad.g_02837	Pral.g_00922
OG0000394	Syad.g_02838	Pral.g_00921
OG0000395	Syad.g_02839	Pral.g_00920
OG0000396	Syad.g_02843	Pral.g_00918
OG0000397	Syad.g_02845	Pral.g_00916
OG0000398	Syad.g_02850	Pral.g_00913
OG0000399	Syad.g_02851	Pral.g_00912
OG0000400	Syad.g_02852	Pral.g_00911
OG0000401	Syad.g_02853	Pral.g_00910
OG0000402	Syad.g_02855	Pral.g_00450
OG0000403	Syad.g_02856	Pral.g_00908
OG0000404	Syad.g_02858	Pral.g_00907
OG0000405	Syad.g_02874	Pral.g_00903
OG0000406	Syad.g_02878	Pral.g_00898
OG0000407	Syad.g_02879	Pral.g_00897
OG0000408	Syad.g_02883	Pral.g_00895
OG0000409	Syad.g_02885	Pral.g_00893
OG0000410	Syad.g_02886	Pral.g_00892
OG0000411	Syad.g_02887	Pral.g_00891
OG0000412	Syad.g_02888	Pral.g_00890
OG0000413	Syad.g_02890	Pral.g_00888
OG0000415	Syad.g_02891	Pral.g_00886
OG0000416	Syad.g_02892	Pral.g_00885
OG0000417	Syad.g_02893	Pral.g_00884
OG0000418	Syad.g_02898	Pral.g_00879
OG0000419	Syad.g_02900	Pral.g_00877
OG0000420	Syad.g_02902	Pral.g_00875
OG0000421	Syad.g_02907	Pral.g_00871
OG0000422	Syad.g_02908	Pral.g_00870
OG0000423	Syad.g_02909	Pral.g_00869
OG0000424	Syad.g_02910	Pral.g_00868
OG0000425	Syad.g_02911	Pral.g_00867
OG0000426	Syad.g_02912	Pral.g_00866
OG0000427	Syad.g_02913	Pral.g_00865
OG0000428	Syad.g_02916	Pral.g_00863
OG0000429	Syad.g_02918	Pral.g_00862
OG0000430	Syad.g_02920	Pral.g_00861
OG0000431	Syad.g_02923	Pral.g_00859
OG0000432	Syad.g_02930	Pral.g_00855
OG0000433	Syad.g_02933	Pral.g_00854
OG0000434	Syad.g_02934	Pral.g_00853
OG0000435	Syad.g_02936	Pral.g_00852
OG0000436	Syad.g_02942	Pral.g_00847
OG0000437	Syad.g_02943	Pral.g_00846
OG0000438	Syad.g_02944	Pral.g_00845
OG0000439	Syad.g_02946	Pral.g_00844
OG0000440	Syad.g_02947	Pral.g_00843
OG0000441	Syad.g_02951	Pral.g_00840
OG0000442	Syad.g_02952	Pral.g_00839
OG0000443	Syad.g_02953	Pral.g_00838
OG0000444	Syad.g_02964	Pral.g_00833
OG0000445	Syad.g_02965	Pral.g_00832
OG0000446	Syad.g_02967	Pral.g_00831
OG0000447	Syad.g_02970	Pral.g_00830
OG0000448	Syad.g_02971	Pral.g_00829
OG0000449	Syad.g_02972	Pral.g_00828
OG0000450	Syad.g_02978	Pral.g_00827
OG0000451	Syad.g_02979	Pral.g_00826
OG0000452	Syad.g_02983	Pral.g_00823
OG0000453	Syad.g_02984	Pral.g_00822
OG0000454	Syad.g_02985	Pral.g_00821
OG0000455	Syad.g_02986	Pral.g_00820
OG0000456	Syad.g_02987	Pral.g_00819
OG0000457	Syad.g_02989	Pral.g_00817
OG0000458	Syad.g_02998	Pral.g_00816
OG0000459	Syad.g_02999	Pral.g_00815
OG0000460	Syad.g_00815	Pral.g_00805
OG0000461	Syad.g_00579	Pral.g_00796
OG0000462	Syad.g_00576	Pral.g_00795
OG0000463	Syad.g_00575	Pral.g_00794
OG0000464	Syad.g_00574	Pral.g_00793
OG0000465	Syad.g_00573	Pral.g_00792
OG0000466	Syad.g_00568	Pral.g_00789
OG0000467	Syad.g_00566	Pral.g_00788
OG0000468	Syad.g_00561	Pral.g_00785
OG0000469	Syad.g_00545	Pral.g_00777
OG0000470	Syad.g_00542	Pral.g_00775
OG0000471	Syad.g_00541	Pral.g_00774
OG0000472	Syad.g_00539	Pral.g_00773
OG0000473	Syad.g_00537	Pral.g_00771
OG0000474	Syad.g_00536	Pral.g_00770
OG0000475	Syad.g_00535	Pral.g_00769
OG0000476	Syad.g_00533	Pral.g_00767
OG0000477	Syad.g_00528	Pral.g_00764
OG0000478	Syad.g_00527	Pral.g_00763
OG0000479	Syad.g_00526	Pral.g_00762
OG0000480	Syad.g_00520	Pral.g_00756
OG0000481	Syad.g_00518	Pral.g_00754
OG0000482	Syad.g_00517	Pral.g_00753
OG0000483	Syad.g_00513	Pral.g_00750
OG0000484	Syad.g_00512	Pral.g_00749
OG0000485	Syad.g_00511	Pral.g_00748
OG0000486	Syad.g_00510	Pral.g_00747
OG0000487	Syad.g_00503	Pral.g_00743
OG0000488	Syad.g_00499	Pral.g_00740
OG0000489	Syad.g_00487	Pral.g_00735
OG0000490	Syad.g_00475	Pral.g_00731
OG0000491	Syad.g_00474	Pral.g_00730
OG0000492	Syad.g_00472	Pral.g_00728
OG0000493	Syad.g_00471	Pral.g_00727
OG0000494	Syad.g_00470	Pral.g_00726
OG0000495	Syad.g_00469	Pral.g_00725
OG0000496	Syad.g_00468	Pral.g_00724
OG0000497	Syad.g_00467	Pral.g_00723
OG0000498	Syad.g_00466	Pral.g_00722
OG0000499	Syad.g_00465	Pral.g_00721
OG0000500	Syad.g_00464	Pral.g_00720
OG0000501	Syad.g_00461	Pral.g_00718
OG0000502	Syad.g_00449	Pral.g_00715
OG0000503	Syad.g_00761	Pral.g_00698
OG0000504	Syad.g_00763	Pral.g_00696
OG0000505	Syad.g_00764	Pral.g_00695
OG0000506	Syad.g_00766	Pral.g_00694
OG0000507	Syad.g_00772	Pral.g_00691
OG0000508	Syad.g_00776	Pral.g_00687
OG0000509	Syad.g_00778	Pral.g_00685
OG0000510	Syad.g_00779	Pral.g_00684
OG0000511	Syad.g_00780	Pral.g_00683
OG0000512	Syad.g_00782	Pral.g_00681
OG0000513	Syad.g_00789	Pral.g_00673
OG0000514	Syad.g_00795	Pral.g_00663
OG0000515	Syad.g_00796	Pral.g_00662
OG0000516	Syad.g_02456	Pral.g_00661
OG0000517	Syad.g_02451	Pral.g_00659
OG0000518	Syad.g_02439	Pral.g_00647
OG0000519	Syad.g_02438	Pral.g_00646
OG0000520	Syad.g_02437	Pral.g_00645
OG0000521	Syad.g_01108	Pral.g_00635
OG0000522	Syad.g_01109	Pral.g_00633
OG0000523	Syad.g_01110	Pral.g_00632
OG0000524	Syad.g_02386	Pral.g_00627
OG0000525	Syad.g_02363	Pral.g_00623
OG0000526	Syad.g_02360	Pral.g_00622
OG0000527	Syad.g_02355	Pral.g_00619
OG0000528	Syad.g_00897	Pral.g_00613
OG0000529	Syad.g_00905	Pral.g_00610
OG0000530	Syad.g_00908	Pral.g_00607
OG0000531	Syad.g_00909	Pral.g_00606
OG0000532	Syad.g_00912	Pral.g_00603
OG0000533	Syad.g_00913	Pral.g_00602
OG0000534	Syad.g_00914	Pral.g_00601
OG0000535	Syad.g_00915	Pral.g_00600
OG0000536	Syad.g_00916	Pral.g_00599
OG0000537	Syad.g_00917	Pral.g_00598
OG0000538	Syad.g_00929	Pral.g_00590
OG0000539	Syad.g_00930	Pral.g_00589
OG0000540	Syad.g_00931	Pral.g_00588
OG0000541	Syad.g_00932	Pral.g_00587
OG0000542	Syad.g_00935	Pral.g_00585
OG0000543	Syad.g_00937	Pral.g_00583
OG0000544	Syad.g_00938	Pral.g_00582
OG0000545	Syad.g_00940	Pral.g_00580
OG0000546	Syad.g_00942	Pral.g_00577
OG0000547	Syad.g_00944	Pral.g_00575
OG0000548	Syad.g_00945	Pral.g_00574
OG0000549	Syad.g_00952	Pral.g_00571
OG0000550	Syad.g_00956	Pral.g_00566
OG0000551	Syad.g_00960	Pral.g_00563
OG0000552	Syad.g_00961	Pral.g_00562
OG0000553	Syad.g_00965	Pral.g_00561
OG0000554	Syad.g_00978	Pral.g_00556
OG0000555	Syad.g_00999	Pral.g_00548
OG0000556	Syad.g_01003	Pral.g_00546
OG0000557	Syad.g_01011	Pral.g_00545
OG0000558	Syad.g_01013	Pral.g_00543
OG0000559	Syad.g_01016	Pral.g_00539
OG0000560	Syad.g_01019	Pral.g_00536
OG0000561	Syad.g_01020	Pral.g_00535
OG0000562	Syad.g_01021	Pral.g_00534
OG0000563	Syad.g_01022	Pral.g_00533
OG0000564	Syad.g_01023	Pral.g_00532
OG0000565	Syad.g_01027	Pral.g_00529
OG0000566	Syad.g_01031	Pral.g_00525
OG0000567	Syad.g_01035	Pral.g_00521
OG0000568	Syad.g_01040	Pral.g_00520
OG0000569	Syad.g_01041	Pral.g_00519
OG0000570	Syad.g_01042	Pral.g_00518
OG0000571	Syad.g_01046	Pral.g_00515
OG0000572	Syad.g_01064	Pral.g_00503
OG0000573	Syad.g_01072	Pral.g_00497
OG0000574	Syad.g_01077	Pral.g_00496
OG0000575	Syad.g_01083	Pral.g_00492
OG0000576	Syad.g_01085	Pral.g_00490
OG0000577	Syad.g_01086	Pral.g_00489
OG0000578	Syad.g_01087	Pral.g_00488
OG0000579	Syad.g_01088	Pral.g_00487
OG0000580	Syad.g_01089	Pral.g_00486
OG0000581	Syad.g_01097	Pral.g_00483
OG0000582	Syad.g_02206	Pral.g_00480
