Orthogroup	Syad	Prbh
OG0000066	Syad.g_00992	Prbh.g_01856
OG0000067	Syad.g_01889	Prbh.g_00953
OG0000068	Syad.g_00891	Prbh.g_00009
OG0000070	Syad.g_02424	Prbh.g_00382
OG0000071	Syad.g_02405	Prbh.g_01373
OG0000072	Syad.g_02905	Prbh.g_00611
OG0000073	Syad.g_00926	Prbh.g_00330
OG0000075	Syad.g_00416	Prbh.g_01607
OG0000076	Syad.g_00348	Prbh.g_01581
OG0000077	Syad.g_02741	Prbh.g_00704
OG0000078	Syad.g_00824	Prbh.g_00540
OG0000079	Syad.g_00565	Prbh.g_00527
OG0000081	Syad.g_00833	Prbh.g_00298
OG0000082	Syad.g_01063	Prbh.g_01855
OG0000084	Syad.g_02272	Prbh.g_00093
OG0000085	Syad.g_02612	Prbh.g_01408
OG0000086	Syad.g_02770	Prbh.g_00695
OG0000087	Syad.g_02860	Prbh.g_00642
OG0000088	Syad.g_02899	Prbh.g_00616
OG0000089	Syad.g_00785, Syad.g_02829	Prbh.g_00415
OG0000090	Syad.g_00977	Prbh.g_00296
OG0000091	Syad.g_02144	Prbh.g_01211
OG0000092	Syad.g_01190	Prbh.g_00883
OG0000097	Syad.g_01458	Prbh.g_01236
OG0000098	Syad.g_00625	Prbh.g_01935
OG0000099	Syad.g_00460	Prbh.g_00032
OG0000100	Syad.g_01846	Prbh.g_00179
OG0000101	Syad.g_00694	Prbh.g_01644
OG0000102	Syad.g_00343	Prbh.g_01576
OG0000103	Syad.g_00143	Prbh.g_01489
OG0000104	Syad.g_00158	Prbh.g_01480
OG0000105	Syad.g_00530	Prbh.g_00505
OG0000106	Syad.g_01993	Prbh.g_00821
OG0000107	Syad.g_00590	Prbh.g_01718
OG0000108	Syad.g_00904	Prbh.g_00351
OG0000109	Syad.g_00919	Prbh.g_00337
OG0000110	Syad.g_01048	Prbh.g_00254
OG0000111	Syad.g_01300	Prbh.g_00937
OG0000112	Syad.g_01766	Prbh.g_01078
OG0000113	Syad.g_01851	Prbh.g_00976
OG0000114	Syad.g_01617	Prbh.g_00878
OG0000115	Syad.g_02300	Prbh.g_01344
OG0000116	Syad.g_01123	Prbh.g_01294
OG0000117	Syad.g_01510	Prbh.g_01255
OG0000118	Syad.g_01104	Prbh.g_01385
OG0000119	Syad.g_01168	Prbh.g_01333, Prbh.g_00194
OG0000120	Syad.g_00459	Prbh.g_00031
OG0000121	Syad.g_02280	Prbh.g_00101
OG0000122	Syad.g_02122	Prbh.g_01347, Prbh.g_00143
OG0000123	Syad.g_00701	Prbh.g_01637
OG0000124	Syad.g_00320	Prbh.g_01564
OG0000125	Syad.g_03040	Prbh.g_01528
OG0000126	Syad.g_00156	Prbh.g_01481
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Prbh.g_01938
OG0000128	Syad.g_00174	Prbh.g_01953
OG0000129	Syad.g_03028	Prbh.g_00738
OG0000130	Syad.g_02728	Prbh.g_00713
OG0000131	Syad.g_02876	Prbh.g_00637
OG0000132	Syad.g_02897	Prbh.g_00618
OG0000133	Syad.g_01761	Prbh.g_00457
OG0000134	Syad.g_00788	Prbh.g_00413
OG0000135	Syad.g_00063	Prbh.g_01825
OG0000136	Syad.g_02445	Prbh.g_00391
OG0000137	Syad.g_02353	Prbh.g_00356
OG0000138	Syad.g_00920	Prbh.g_00336
OG0000139	Syad.g_00983	Prbh.g_00292
OG0000140	Syad.g_00987	Prbh.g_00291
OG0000141	Syad.g_02208	Prbh.g_00222
OG0000142	Syad.g_02152	Prbh.g_01218
OG0000143	Syad.g_02148	Prbh.g_01215
OG0000144	Syad.g_02024	Prbh.g_01201
OG0000145	Syad.g_00927	Prbh.g_01880
OG0000146	Syad.g_01767	Prbh.g_01077
OG0000147	Syad.g_01768	Prbh.g_01076
OG0000148	Syad.g_01861	Prbh.g_00970
OG0000149	Syad.g_01221	Prbh.g_01002
OG0000150	Syad.g_02207, Syad.g_00989	Prbh.g_01012
OG0000151	Syad.g_01956	Prbh.g_00888
OG0000152	Syad.g_01757	Prbh.g_01086
OG0000153	Syad.g_01713	Prbh.g_01104
OG0000154	Syad.g_01686	Prbh.g_01121
OG0000155	Syad.g_01189	Prbh.g_01261
OG0000156	Syad.g_01116	Prbh.g_01362
OG0000157	Syad.g_01115	Prbh.g_01363
OG0000158	Syad.g_00374	Prbh.g_01599
OG0000160	Syad.g_02279	Prbh.g_00100
OG0000161	Syad.g_02287	Prbh.g_01288, Prbh.g_00106
OG0000162	Syad.g_02293	Prbh.g_00112
OG0000163	Syad.g_02542	Prbh.g_00151
OG0000164	Syad.g_02659	Prbh.g_01758
OG0000165	Syad.g_02476	Prbh.g_01750
OG0000166	Syad.g_00654	Prbh.g_01681
OG0000167	Syad.g_00419	Prbh.g_01609
OG0000168	Syad.g_00371	Prbh.g_01598
OG0000169	Syad.g_00360	Prbh.g_01588
OG0000170	Syad.g_00353	Prbh.g_01585
OG0000171	Syad.g_00321	Prbh.g_01565
OG0000172	Syad.g_00244	Prbh.g_01558
OG0000173	Syad.g_00220	Prbh.g_01543
OG0000174	Syad.g_00065	Prbh.g_01512
OG0000175	Syad.g_00129	Prbh.g_01500
OG0000176	Syad.g_00166	Prbh.g_01472
OG0000177	Syad.g_00167	Prbh.g_01471
OG0000178	Syad.g_00168	Prbh.g_01470
OG0000179	Syad.g_00183	Prbh.g_00764
OG0000180	Syad.g_00184	Prbh.g_00763
OG0000181	Syad.g_00185	Prbh.g_00762
OG0000182	Syad.g_00186	Prbh.g_00761
OG0000183	Syad.g_00190	Prbh.g_00757
OG0000184	Syad.g_03018	Prbh.g_00734
OG0000185	Syad.g_03006	Prbh.g_00731
OG0000186	Syad.g_02722	Prbh.g_00719
OG0000187	Syad.g_02724	Prbh.g_00718
OG0000188	Syad.g_02759	Prbh.g_00701
OG0000189	Syad.g_02788	Prbh.g_00687
OG0000190	Syad.g_02790	Prbh.g_00686
OG0000191	Syad.g_02824	Prbh.g_00664
OG0000192	Syad.g_02834	Prbh.g_00659
OG0000193	Syad.g_02877	Prbh.g_00636
OG0000194	Syad.g_02880	Prbh.g_00633
OG0000195	Syad.g_02884	Prbh.g_00631
OG0000196	Syad.g_02894	Prbh.g_00621
OG0000197	Syad.g_02895	Prbh.g_00620
OG0000198	Syad.g_02896	Prbh.g_00619
OG0000199	Syad.g_02904	Prbh.g_00612
OG0000200	Syad.g_02921	Prbh.g_00599
OG0000201	Syad.g_02937	Prbh.g_00590
OG0000202	Syad.g_02938	Prbh.g_00589
OG0000203	Syad.g_02939	Prbh.g_00588
OG0000204	Syad.g_02940	Prbh.g_00587
OG0000205	Syad.g_02948	Prbh.g_00580
OG0000206	Syad.g_02955	Prbh.g_00575
OG0000207	Syad.g_02957	Prbh.g_00573
OG0000208	Syad.g_02958	Prbh.g_00572
OG0000209	Syad.g_02981	Prbh.g_00563
OG0000210	Syad.g_02982	Prbh.g_00562
OG0000211	Syad.g_00813	Prbh.g_00547
OG0000212	Syad.g_00825	Prbh.g_00539
OG0000213	Syad.g_00556	Prbh.g_00521
OG0000214	Syad.g_00538	Prbh.g_00512
OG0000215	Syad.g_00508	Prbh.g_00485
OG0000216	Syad.g_00504, Syad.g_00285	Prbh.g_00484
OG0000217	Syad.g_00500	Prbh.g_00481
OG0000218	Syad.g_00498	Prbh.g_00479
OG0000219	Syad.g_00497	Prbh.g_00478
OG0000220	Syad.g_00496	Prbh.g_00477
OG0000221	Syad.g_00488	Prbh.g_00476
OG0000222	Syad.g_00473	Prbh.g_00469
OG0000223	Syad.g_00451	Prbh.g_00456
OG0000224	Syad.g_00444	Prbh.g_00454
OG0000225	Syad.g_00777	Prbh.g_00426
OG0000226	Syad.g_00781	Prbh.g_00422
OG0000227	Syad.g_00783	Prbh.g_00420
OG0000228	Syad.g_00784	Prbh.g_00416
OG0000229	Syad.g_02450	Prbh.g_00396
OG0000230	Syad.g_02448	Prbh.g_00394
OG0000231	Syad.g_02436	Prbh.g_00383
OG0000232	Syad.g_02392	Prbh.g_00370
OG0000233	Syad.g_02382	Prbh.g_00365
OG0000234	Syad.g_02351	Prbh.g_00355
OG0000235	Syad.g_00903	Prbh.g_00352
OG0000236	Syad.g_00918	Prbh.g_00338
OG0000237	Syad.g_00936	Prbh.g_00324
OG0000238	Syad.g_00941	Prbh.g_00318
OG0000239	Syad.g_00957	Prbh.g_00305
OG0000240	Syad.g_00958	Prbh.g_00304
OG0000241	Syad.g_02160	Prbh.g_00299
OG0000242	Syad.g_00975	Prbh.g_00297
OG0000243	Syad.g_01000	Prbh.g_00287
OG0000244	Syad.g_01012	Prbh.g_00284
OG0000245	Syad.g_01014	Prbh.g_00282
OG0000246	Syad.g_01017	Prbh.g_00278
OG0000247	Syad.g_01029	Prbh.g_00267
OG0000248	Syad.g_01032	Prbh.g_00264
OG0000249	Syad.g_01034	Prbh.g_00262
OG0000250	Syad.g_01044	Prbh.g_00257
OG0000251	Syad.g_01071	Prbh.g_00239
OG0000252	Syad.g_01078	Prbh.g_00236
OG0000253	Syad.g_01081	Prbh.g_00235
OG0000254	Syad.g_02203	Prbh.g_00218
OG0000255	Syad.g_02185	Prbh.g_00212
OG0000256	Syad.g_02167	Prbh.g_01455
OG0000257	Syad.g_02161	Prbh.g_01223
OG0000258	Syad.g_02143	Prbh.g_01210
OG0000259	Syad.g_01576	Prbh.g_01193
OG0000260	Syad.g_01587	Prbh.g_01190
OG0000261	Syad.g_01590	Prbh.g_01187
OG0000262	Syad.g_01595	Prbh.g_01182
OG0000263	Syad.g_01475	Prbh.g_00915
OG0000264	Syad.g_01360	Prbh.g_00926
OG0000265	Syad.g_01383	Prbh.g_00945
OG0000266	Syad.g_01804	Prbh.g_01163
OG0000267	Syad.g_01645	Prbh.g_01150
OG0000268	Syad.g_01646	Prbh.g_01149
OG0000269	Syad.g_01894	Prbh.g_00948
OG0000270	Syad.g_01891	Prbh.g_00951
OG0000271	Syad.g_01883	Prbh.g_00959
OG0000272	Syad.g_01882	Prbh.g_00960
OG0000273	Syad.g_01247	Prbh.g_00983
OG0000274	Syad.g_01246	Prbh.g_00984
OG0000275	Syad.g_01242	Prbh.g_00987
OG0000276	Syad.g_01229	Prbh.g_00993
OG0000277	Syad.g_01228	Prbh.g_00994
OG0000278	Syad.g_01225	Prbh.g_00997
OG0000279	Syad.g_01208	Prbh.g_01005
OG0000280	Syad.g_01198	Prbh.g_01006
OG0000281	Syad.g_00624	Prbh.g_01013
OG0000282	Syad.g_01619	Prbh.g_00880
OG0000283	Syad.g_01661	Prbh.g_01059
OG0000284	Syad.g_01787	Prbh.g_01064
OG0000285	Syad.g_01776	Prbh.g_01069
OG0000286	Syad.g_01758	Prbh.g_01085
OG0000287	Syad.g_01720	Prbh.g_01342
OG0000288	Syad.g_01687	Prbh.g_01120
OG0000289	Syad.g_01672	Prbh.g_01135
OG0000290	Syad.g_01287	Prbh.g_01034
OG0000291	Syad.g_01289	Prbh.g_01032
OG0000292	Syad.g_00155	Prbh.g_01328
OG0000293	Syad.g_01124	Prbh.g_01293
OG0000294	Syad.g_01125	Prbh.g_01292
OG0000295	Syad.g_01181	Prbh.g_01268
OG0000296	Syad.g_01183	Prbh.g_01266
OG0000297	Syad.g_01512	Prbh.g_01257
OG0000298	Syad.g_01511	Prbh.g_01256
OG0000299	Syad.g_01462	Prbh.g_01237
OG0000300	Syad.g_01455	Prbh.g_01234
OG0000301	Syad.g_01454	Prbh.g_01233
OG0000302	Syad.g_01453	Prbh.g_01231
OG0000303	Syad.g_01442	Prbh.g_01225
OG0000304	Syad.g_01436	Prbh.g_01450
OG0000305	Syad.g_01292	Prbh.g_01326
OG0000306	Syad.g_01989	Prbh.g_01017
OG0000307	Syad.g_00883	Prbh.g_00019
OG0000308	Syad.g_00881	Prbh.g_00020
OG0000309	Syad.g_00876	Prbh.g_00024
OG0000310	Syad.g_02250	Prbh.g_00082
OG0000311	Syad.g_02254	Prbh.g_00084
OG0000312	Syad.g_02265	Prbh.g_00087
OG0000313	Syad.g_02284	Prbh.g_00103
OG0000314	Syad.g_02313	Prbh.g_00126
OG0000315	Syad.g_02323	Prbh.g_00136
OG0000316	Syad.g_02564	Prbh.g_00162
OG0000317	Syad.g_02620	Prbh.g_01785
OG0000318	Syad.g_02624	Prbh.g_01781
OG0000319	Syad.g_02642	Prbh.g_01768
OG0000320	Syad.g_02644	Prbh.g_01766
OG0000321	Syad.g_02645	Prbh.g_01765
OG0000322	Syad.g_02646	Prbh.g_01764
OG0000323	Syad.g_02661	Prbh.g_01755
OG0000324	Syad.g_02505	Prbh.g_01727
OG0000325	Syad.g_00591	Prbh.g_01717
OG0000326	Syad.g_00598	Prbh.g_01710
OG0000327	Syad.g_00649	Prbh.g_01686
OG0000328	Syad.g_00650	Prbh.g_01685
OG0000329	Syad.g_00668	Prbh.g_01668
OG0000330	Syad.g_00669	Prbh.g_01667
OG0000331	Syad.g_00670	Prbh.g_01666
OG0000332	Syad.g_00685	Prbh.g_01652
OG0000333	Syad.g_00688	Prbh.g_01650
OG0000334	Syad.g_00697	Prbh.g_01641
OG0000335	Syad.g_00702	Prbh.g_01636
OG0000336	Syad.g_00706	Prbh.g_01632
OG0000337	Syad.g_00425, Syad.g_00427	Prbh.g_01613
OG0000338	Syad.g_00421	Prbh.g_01612
OG0000339	Syad.g_00414	Prbh.g_01606
OG0000340	Syad.g_00370	Prbh.g_01597
OG0000341	Syad.g_00368	Prbh.g_01595
OG0000342	Syad.g_00367	Prbh.g_01594
OG0000343	Syad.g_00366	Prbh.g_01593
OG0000344	Syad.g_00362	Prbh.g_01590
OG0000345	Syad.g_00352	Prbh.g_01584
OG0000346	Syad.g_00347	Prbh.g_01580
OG0000347	Syad.g_00318	Prbh.g_01563
OG0000348	Syad.g_00233	Prbh.g_01555
OG0000349	Syad.g_00213	Prbh.g_01537
OG0000350	Syad.g_00605	Prbh.g_01516
OG0000351	Syad.g_00134	Prbh.g_01497
OG0000352	Syad.g_00135	Prbh.g_01496
OG0000353	Syad.g_00161	Prbh.g_01477
OG0000355	Syad.g_00163	Prbh.g_01475
OG0000356	Syad.g_00164	Prbh.g_01474
OG0000357	Syad.g_00165	Prbh.g_01473
OG0000358	Syad.g_00169	Prbh.g_01469
OG0000359	Syad.g_00171	Prbh.g_01468
OG0000360	Syad.g_00172	Prbh.g_01467
OG0000361	Syad.g_00173	Prbh.g_01466
OG0000362	Syad.g_00175	Prbh.g_01952
OG0000363	Syad.g_00177	Prbh.g_00766
OG0000364	Syad.g_00178	Prbh.g_00765
OG0000365	Syad.g_00187	Prbh.g_00760
OG0000366	Syad.g_00188	Prbh.g_00759
OG0000367	Syad.g_00189	Prbh.g_00758
OG0000368	Syad.g_00191	Prbh.g_00756
OG0000369	Syad.g_00192	Prbh.g_00755
OG0000370	Syad.g_00193	Prbh.g_00754
OG0000371	Syad.g_00201	Prbh.g_00748
OG0000372	Syad.g_00206	Prbh.g_00746
OG0000373	Syad.g_00207	Prbh.g_00745
OG0000374	Syad.g_00208	Prbh.g_00744
OG0000375	Syad.g_00209	Prbh.g_00743
OG0000376	Syad.g_00211	Prbh.g_00741
OG0000377	Syad.g_03027	Prbh.g_00737
OG0000378	Syad.g_03012	Prbh.g_00733
OG0000379	Syad.g_03005	Prbh.g_00730
OG0000380	Syad.g_02725	Prbh.g_00717
OG0000381	Syad.g_02729	Prbh.g_00712
OG0000382	Syad.g_02758	Prbh.g_00702
OG0000383	Syad.g_02761	Prbh.g_00700
OG0000384	Syad.g_02762	Prbh.g_00699
OG0000385	Syad.g_02763	Prbh.g_00698
OG0000386	Syad.g_02764	Prbh.g_00697
OG0000387	Syad.g_02792	Prbh.g_00684
OG0000388	Syad.g_02796	Prbh.g_00680
OG0000389	Syad.g_02800	Prbh.g_00677
OG0000390	Syad.g_02818	Prbh.g_00668
OG0000391	Syad.g_02823	Prbh.g_00665
OG0000392	Syad.g_02833	Prbh.g_00661
OG0000393	Syad.g_02837	Prbh.g_00658
OG0000394	Syad.g_02838	Prbh.g_00657
OG0000395	Syad.g_02839	Prbh.g_00656
OG0000396	Syad.g_02843	Prbh.g_00654
OG0000397	Syad.g_02845	Prbh.g_00652
OG0000398	Syad.g_02850	Prbh.g_00649
OG0000399	Syad.g_02851	Prbh.g_00648
OG0000400	Syad.g_02852	Prbh.g_00647
OG0000401	Syad.g_02853	Prbh.g_00646
OG0000402	Syad.g_02855	Prbh.g_01144
OG0000403	Syad.g_02856	Prbh.g_00644
OG0000404	Syad.g_02858	Prbh.g_00643
OG0000405	Syad.g_02874	Prbh.g_00639
OG0000406	Syad.g_02878	Prbh.g_00635
OG0000407	Syad.g_02879	Prbh.g_00634
OG0000408	Syad.g_02883	Prbh.g_00632
OG0000409	Syad.g_02885	Prbh.g_00630
OG0000410	Syad.g_02886	Prbh.g_00629
OG0000411	Syad.g_02887	Prbh.g_00628
OG0000412	Syad.g_02888	Prbh.g_00627
OG0000413	Syad.g_02890	Prbh.g_00626
OG0000415	Syad.g_02891	Prbh.g_00624
OG0000416	Syad.g_02892	Prbh.g_00623
OG0000417	Syad.g_02893	Prbh.g_00622
OG0000418	Syad.g_02898	Prbh.g_00617
OG0000419	Syad.g_02900	Prbh.g_00615
OG0000420	Syad.g_02902	Prbh.g_00614
OG0000421	Syad.g_02907	Prbh.g_00610
OG0000422	Syad.g_02908	Prbh.g_00609
OG0000423	Syad.g_02909	Prbh.g_00608
OG0000424	Syad.g_02910	Prbh.g_00607
OG0000425	Syad.g_02911	Prbh.g_00606
OG0000426	Syad.g_02912	Prbh.g_00605
OG0000427	Syad.g_02913	Prbh.g_00604
OG0000428	Syad.g_02916	Prbh.g_00602
OG0000429	Syad.g_02918	Prbh.g_00601
OG0000430	Syad.g_02920	Prbh.g_00600
OG0000431	Syad.g_02923	Prbh.g_00598
OG0000432	Syad.g_02930	Prbh.g_00594
OG0000433	Syad.g_02933	Prbh.g_00593
OG0000434	Syad.g_02934	Prbh.g_00592
OG0000435	Syad.g_02936	Prbh.g_00591
OG0000436	Syad.g_02942	Prbh.g_00586
OG0000437	Syad.g_02943	Prbh.g_00585
OG0000438	Syad.g_02944	Prbh.g_00584
OG0000439	Syad.g_02946	Prbh.g_00582
OG0000440	Syad.g_02947	Prbh.g_00581
OG0000441	Syad.g_02951	Prbh.g_00578
OG0000442	Syad.g_02952	Prbh.g_00577
OG0000443	Syad.g_02953	Prbh.g_00576
OG0000444	Syad.g_02964	Prbh.g_00571
OG0000445	Syad.g_02965	Prbh.g_00570
OG0000446	Syad.g_02967	Prbh.g_00569
OG0000447	Syad.g_02970	Prbh.g_00568
OG0000448	Syad.g_02971	Prbh.g_00567
OG0000449	Syad.g_02972	Prbh.g_00566
OG0000450	Syad.g_02978	Prbh.g_00565
OG0000451	Syad.g_02979	Prbh.g_00564
OG0000452	Syad.g_02983	Prbh.g_00561
OG0000453	Syad.g_02984	Prbh.g_00560
OG0000454	Syad.g_02985	Prbh.g_00559
OG0000455	Syad.g_02986	Prbh.g_00558
OG0000456	Syad.g_02987	Prbh.g_00557
OG0000457	Syad.g_02989	Prbh.g_00555
OG0000458	Syad.g_02998	Prbh.g_00554
OG0000459	Syad.g_02999	Prbh.g_00553
OG0000460	Syad.g_00815	Prbh.g_00545
OG0000461	Syad.g_00579	Prbh.g_00537
OG0000462	Syad.g_00576	Prbh.g_00535
OG0000463	Syad.g_00575	Prbh.g_00534
OG0000464	Syad.g_00574	Prbh.g_00533
OG0000465	Syad.g_00573	Prbh.g_00532
OG0000466	Syad.g_00568	Prbh.g_00529
OG0000467	Syad.g_00566	Prbh.g_00528
OG0000468	Syad.g_00561	Prbh.g_00525
OG0000469	Syad.g_00545	Prbh.g_00517
OG0000470	Syad.g_00542	Prbh.g_00515
OG0000471	Syad.g_00541	Prbh.g_00514
OG0000472	Syad.g_00539	Prbh.g_00513
OG0000473	Syad.g_00537	Prbh.g_00511
OG0000474	Syad.g_00536	Prbh.g_00510
OG0000475	Syad.g_00535	Prbh.g_00509
OG0000476	Syad.g_00533	Prbh.g_00507
OG0000477	Syad.g_00528	Prbh.g_00504
OG0000478	Syad.g_00527	Prbh.g_00503
OG0000479	Syad.g_00526	Prbh.g_00502
OG0000480	Syad.g_00520	Prbh.g_00497
OG0000481	Syad.g_00518	Prbh.g_00494
OG0000482	Syad.g_00517	Prbh.g_00493
OG0000483	Syad.g_00513	Prbh.g_00490
OG0000484	Syad.g_00512	Prbh.g_00489
OG0000485	Syad.g_00511	Prbh.g_00487
OG0000486	Syad.g_00510	Prbh.g_00486
OG0000487	Syad.g_00503	Prbh.g_00483
OG0000488	Syad.g_00499	Prbh.g_00480
OG0000489	Syad.g_00487	Prbh.g_00475
OG0000490	Syad.g_00475	Prbh.g_00471
OG0000491	Syad.g_00474	Prbh.g_00470
OG0000492	Syad.g_00472	Prbh.g_00468
OG0000493	Syad.g_00471	Prbh.g_00467
OG0000494	Syad.g_00470	Prbh.g_00466
OG0000495	Syad.g_00469	Prbh.g_00465
OG0000496	Syad.g_00468	Prbh.g_00464
OG0000497	Syad.g_00467	Prbh.g_00463
OG0000498	Syad.g_00466	Prbh.g_00462
OG0000499	Syad.g_00465	Prbh.g_00461
OG0000500	Syad.g_00464	Prbh.g_00460
OG0000501	Syad.g_00461	Prbh.g_00458
OG0000502	Syad.g_00449	Prbh.g_00455
OG0000503	Syad.g_00761	Prbh.g_00439
OG0000504	Syad.g_00763	Prbh.g_00437
OG0000505	Syad.g_00764	Prbh.g_00436
OG0000506	Syad.g_00766	Prbh.g_00435
OG0000507	Syad.g_00772	Prbh.g_00431
OG0000508	Syad.g_00776	Prbh.g_00427
OG0000509	Syad.g_00778	Prbh.g_00425
OG0000510	Syad.g_00779	Prbh.g_00424
OG0000511	Syad.g_00780	Prbh.g_00423
OG0000512	Syad.g_00782	Prbh.g_00421
OG0000513	Syad.g_00789	Prbh.g_00412
OG0000514	Syad.g_00795	Prbh.g_00401
OG0000515	Syad.g_00796	Prbh.g_00400
OG0000516	Syad.g_02456	Prbh.g_00399
OG0000517	Syad.g_02451	Prbh.g_00397
OG0000518	Syad.g_02439	Prbh.g_00386
OG0000519	Syad.g_02438	Prbh.g_00385
OG0000520	Syad.g_02437	Prbh.g_00384
OG0000521	Syad.g_01108	Prbh.g_00374
OG0000522	Syad.g_01109	Prbh.g_00372
OG0000523	Syad.g_01110	Prbh.g_00371
OG0000524	Syad.g_02386	Prbh.g_00367
OG0000525	Syad.g_02363	Prbh.g_00363
OG0000526	Syad.g_02360	Prbh.g_00361
OG0000527	Syad.g_02355	Prbh.g_00358
OG0000528	Syad.g_00897	Prbh.g_00353
OG0000529	Syad.g_00905	Prbh.g_00350
OG0000530	Syad.g_00908	Prbh.g_00347
OG0000531	Syad.g_00909	Prbh.g_00346
OG0000532	Syad.g_00912	Prbh.g_00344
OG0000533	Syad.g_00913	Prbh.g_00343
OG0000534	Syad.g_00914	Prbh.g_00342
OG0000535	Syad.g_00915	Prbh.g_00341
OG0000536	Syad.g_00916	Prbh.g_00340
OG0000537	Syad.g_00917	Prbh.g_00339
OG0000538	Syad.g_00929	Prbh.g_00329
OG0000539	Syad.g_00930	Prbh.g_00328
OG0000540	Syad.g_00931	Prbh.g_00327
OG0000541	Syad.g_00932	Prbh.g_00326
OG0000542	Syad.g_00935	Prbh.g_00325
OG0000543	Syad.g_00937	Prbh.g_00323
OG0000544	Syad.g_00938	Prbh.g_00322
OG0000545	Syad.g_00940	Prbh.g_00320
OG0000546	Syad.g_00942	Prbh.g_00317
OG0000547	Syad.g_00944	Prbh.g_00315
OG0000548	Syad.g_00945	Prbh.g_00314
OG0000549	Syad.g_00952	Prbh.g_00311
OG0000550	Syad.g_00956	Prbh.g_00306
OG0000551	Syad.g_00960	Prbh.g_00303
OG0000552	Syad.g_00961	Prbh.g_00302
OG0000553	Syad.g_00965	Prbh.g_00301
