Orthogroup	Syad	Prav
OG0000091	Syad.g_02144	Prav.g_01240
OG0000092	Syad.g_01190	Prav.g_00504, Prav.g_01735
OG0000094	Syad.g_01676	Prav.g_00914
OG0000097	Syad.g_01458	Prav.g_01840
OG0000098	Syad.g_00625	Prav.g_01455
OG0000099	Syad.g_00460	Prav.g_01514
OG0000100	Syad.g_01846	Prav.g_01652
OG0000101	Syad.g_00694	Prav.g_00632
OG0000102	Syad.g_00343	Prav.g_00694
OG0000103	Syad.g_00143	Prav.g_00773
OG0000104	Syad.g_00158	Prav.g_00782
OG0000105	Syad.g_00530	Prav.g_01920
OG0000106	Syad.g_01993	Prav.g_00989
OG0000107	Syad.g_00590	Prav.g_01001
OG0000108	Syad.g_00904	Prav.g_01078
OG0000109	Syad.g_00919	Prav.g_01092
OG0000110	Syad.g_01048	Prav.g_01172
OG0000111	Syad.g_01300	Prav.g_01297
OG0000112	Syad.g_01766	Prav.g_00364
OG0000113	Syad.g_01851	Prav.g_00419
OG0000114	Syad.g_01617	Prav.g_00499
OG0000115	Syad.g_02300	Prav.g_00010
OG0000116	Syad.g_01123	Prav.g_00055
OG0000117	Syad.g_01510	Prav.g_01390
OG0000118	Syad.g_01104	Prav.g_01450
OG0000119	Syad.g_01168	Prav.g_01469
OG0000120	Syad.g_00459	Prav.g_01513
OG0000121	Syad.g_02280	Prav.g_01580
OG0000122	Syad.g_02122	Prav.g_01618
OG0000123	Syad.g_00701	Prav.g_00639
OG0000124	Syad.g_00320	Prav.g_00705
OG0000125	Syad.g_03040	Prav.g_00741
OG0000126	Syad.g_00156	Prav.g_00781
OG0000128	Syad.g_00174	Prav.g_00079
OG0000129	Syad.g_03028	Prav.g_00115
OG0000130	Syad.g_02728	Prav.g_00134
OG0000131	Syad.g_02876	Prav.g_00212
OG0000132	Syad.g_02897	Prav.g_00874
OG0000133	Syad.g_01761	Prav.g_01968
OG0000134	Syad.g_00788	Prav.g_00976
OG0000135	Syad.g_00063	Prav.g_00999
OG0000136	Syad.g_02445	Prav.g_01040
OG0000137	Syad.g_02353	Prav.g_01073
OG0000138	Syad.g_00920	Prav.g_01093
OG0000139	Syad.g_00983	Prav.g_01135
OG0000140	Syad.g_00987	Prav.g_01136
OG0000141	Syad.g_02208	Prav.g_01203
OG0000142	Syad.g_02152	Prav.g_01233
OG0000143	Syad.g_02148	Prav.g_01237
OG0000144	Syad.g_02024	Prav.g_01250
OG0000145	Syad.g_00927	Prav.g_00362
OG0000146	Syad.g_01767	Prav.g_00365
OG0000147	Syad.g_01768	Prav.g_00366
OG0000148	Syad.g_01861	Prav.g_00413
OG0000149	Syad.g_01221	Prav.g_00443
OG0000150	Syad.g_02207, Syad.g_00989	Prav.g_00451
OG0000151	Syad.g_01956	Prav.g_00509
OG0000152	Syad.g_01757	Prav.g_00556
OG0000153	Syad.g_01713	Prav.g_00575
OG0000154	Syad.g_01686	Prav.g_00907
OG0000155	Syad.g_01189	Prav.g_01861
OG0000156	Syad.g_01116	Prav.g_01427
OG0000157	Syad.g_01115	Prav.g_01428
OG0000158	Syad.g_00374	Prav.g_01505
OG0000160	Syad.g_02279	Prav.g_01579
OG0000161	Syad.g_02287	Prav.g_01585
OG0000162	Syad.g_02293	Prav.g_01591
OG0000163	Syad.g_02542	Prav.g_01625
OG0000164	Syad.g_02659	Prav.g_01785
OG0000165	Syad.g_02476	Prav.g_01792
OG0000166	Syad.g_00654	Prav.g_00596
OG0000167	Syad.g_00419	Prav.g_00663
OG0000168	Syad.g_00371	Prav.g_00673
OG0000169	Syad.g_00360	Prav.g_00683
OG0000170	Syad.g_00353	Prav.g_00685
OG0000171	Syad.g_00321	Prav.g_00704
OG0000172	Syad.g_00244	Prav.g_00712
OG0000173	Syad.g_00220	Prav.g_00727
OG0000174	Syad.g_00065	Prav.g_00755
OG0000175	Syad.g_00129	Prav.g_00765
OG0000176	Syad.g_00166	Prav.g_00790
OG0000177	Syad.g_00167	Prav.g_00791
OG0000178	Syad.g_00168	Prav.g_00792
OG0000179	Syad.g_00183	Prav.g_00084
OG0000180	Syad.g_00184	Prav.g_00085
OG0000181	Syad.g_00185	Prav.g_00086
OG0000182	Syad.g_00186	Prav.g_00087
OG0000183	Syad.g_00190	Prav.g_00091
OG0000184	Syad.g_03018	Prav.g_00117
OG0000185	Syad.g_03006	Prav.g_00120
OG0000186	Syad.g_02722	Prav.g_00129
OG0000187	Syad.g_02724	Prav.g_00130
OG0000188	Syad.g_02759	Prav.g_00147
OG0000189	Syad.g_02788	Prav.g_00161
OG0000190	Syad.g_02790	Prav.g_00162
OG0000191	Syad.g_02824	Prav.g_00182
OG0000192	Syad.g_02834	Prav.g_00186
OG0000193	Syad.g_02877	Prav.g_00213
OG0000194	Syad.g_02880	Prav.g_00216
OG0000195	Syad.g_02884	Prav.g_00887
OG0000196	Syad.g_02894	Prav.g_00877
OG0000197	Syad.g_02895	Prav.g_00876
OG0000198	Syad.g_02896	Prav.g_00875
OG0000199	Syad.g_02904	Prav.g_00868
OG0000200	Syad.g_02921	Prav.g_00854
OG0000201	Syad.g_02937	Prav.g_00846
OG0000202	Syad.g_02938	Prav.g_00845
OG0000203	Syad.g_02939	Prav.g_00844
OG0000204	Syad.g_02940	Prav.g_00843
OG0000205	Syad.g_02948	Prav.g_00836
OG0000206	Syad.g_02955	Prav.g_00831
OG0000207	Syad.g_02957	Prav.g_00829
OG0000208	Syad.g_02958	Prav.g_00828
OG0000209	Syad.g_02981	Prav.g_00819
OG0000210	Syad.g_02982	Prav.g_00818
OG0000212	Syad.g_00825	Prav.g_00798
OG0000213	Syad.g_00556	Prav.g_01904
OG0000214	Syad.g_00538	Prav.g_01914
OG0000215	Syad.g_00508	Prav.g_01938
OG0000216	Syad.g_00504, Syad.g_00285	Prav.g_01940
OG0000217	Syad.g_00500	Prav.g_01943
OG0000218	Syad.g_00498	Prav.g_01945
OG0000219	Syad.g_00497	Prav.g_01946
OG0000220	Syad.g_00496	Prav.g_01947
OG0000221	Syad.g_00488	Prav.g_01948
OG0000222	Syad.g_00473	Prav.g_01956
OG0000223	Syad.g_00451	Prav.g_01969
OG0000224	Syad.g_00444	Prav.g_01971
OG0000225	Syad.g_00777	Prav.g_01992
OG0000226	Syad.g_00781	Prav.g_01996
OG0000227	Syad.g_00783	Prav.g_01998
OG0000228	Syad.g_00784	Prav.g_00974
OG0000229	Syad.g_02450	Prav.g_01035
OG0000230	Syad.g_02448	Prav.g_01037
OG0000231	Syad.g_02436	Prav.g_01048
OG0000232	Syad.g_02392	Prav.g_01056
OG0000233	Syad.g_02382	Prav.g_01061
OG0000234	Syad.g_02351	Prav.g_01074
OG0000235	Syad.g_00903	Prav.g_01077
OG0000236	Syad.g_00918	Prav.g_01091
OG0000237	Syad.g_00936	Prav.g_01104
OG0000238	Syad.g_00941	Prav.g_01110
OG0000239	Syad.g_00957	Prav.g_01123
OG0000240	Syad.g_00958	Prav.g_01124
OG0000241	Syad.g_02160	Prav.g_01128
OG0000242	Syad.g_00975	Prav.g_01130
OG0000243	Syad.g_01000	Prav.g_00954, Prav.g_01141
OG0000244	Syad.g_01012	Prav.g_01144
OG0000245	Syad.g_01014	Prav.g_01146
OG0000246	Syad.g_01017	Prav.g_01150
OG0000247	Syad.g_01029	Prav.g_01160
OG0000248	Syad.g_01032	Prav.g_01162
OG0000249	Syad.g_01034	Prav.g_01164
OG0000250	Syad.g_01044	Prav.g_01169
OG0000251	Syad.g_01071	Prav.g_01187
OG0000252	Syad.g_01078	Prav.g_01190
OG0000253	Syad.g_01081	Prav.g_01191
OG0000254	Syad.g_02203	Prav.g_01207
OG0000255	Syad.g_02185	Prav.g_01213
OG0000256	Syad.g_02167	Prav.g_01225
OG0000257	Syad.g_02161	Prav.g_01228
OG0000258	Syad.g_02143	Prav.g_01241
OG0000259	Syad.g_01576	Prav.g_01258
OG0000260	Syad.g_01587	Prav.g_01261
OG0000261	Syad.g_01590	Prav.g_01263
OG0000262	Syad.g_01595	Prav.g_01267
OG0000263	Syad.g_01475	Prav.g_01279
OG0000264	Syad.g_01360	Prav.g_01289
OG0000265	Syad.g_01383	Prav.g_00306
OG0000266	Syad.g_01804	Prav.g_00316
OG0000267	Syad.g_01645	Prav.g_00327
OG0000268	Syad.g_01646	Prav.g_00328
OG0000269	Syad.g_01894	Prav.g_00392
OG0000270	Syad.g_01891	Prav.g_00395
OG0000271	Syad.g_01883	Prav.g_00403
OG0000272	Syad.g_01882	Prav.g_00404
OG0000273	Syad.g_01247	Prav.g_00427
OG0000274	Syad.g_01246	Prav.g_00428
OG0000275	Syad.g_01242	Prav.g_00430
OG0000276	Syad.g_01229	Prav.g_00435
OG0000277	Syad.g_01228	Prav.g_00436
OG0000278	Syad.g_01225	Prav.g_00439
OG0000279	Syad.g_01208	Prav.g_00446
OG0000280	Syad.g_01198	Prav.g_00447
OG0000281	Syad.g_00624	Prav.g_00452
OG0000282	Syad.g_01619	Prav.g_00501
OG0000283	Syad.g_01661	Prav.g_00533
OG0000284	Syad.g_01787	Prav.g_00538
OG0000285	Syad.g_01776	Prav.g_00543
OG0000286	Syad.g_01758	Prav.g_00555
OG0000288	Syad.g_01687	Prav.g_00906
OG0000289	Syad.g_01672	Prav.g_00917
OG0000290	Syad.g_01287	Prav.g_00930
OG0000291	Syad.g_01289	Prav.g_00932
OG0000292	Syad.g_00155	Prav.g_00261
OG0000293	Syad.g_01124	Prav.g_00056
OG0000294	Syad.g_01125	Prav.g_00057
OG0000295	Syad.g_01181	Prav.g_00077
OG0000296	Syad.g_01183	Prav.g_01867
OG0000297	Syad.g_01512	Prav.g_01859
OG0000298	Syad.g_01511	Prav.g_01858
OG0000299	Syad.g_01462	Prav.g_01841
OG0000300	Syad.g_01455	Prav.g_01838
OG0000301	Syad.g_01454	Prav.g_00955, Prav.g_01837
OG0000302	Syad.g_01453	Prav.g_01835
OG0000303	Syad.g_01442	Prav.g_01828
OG0000304	Syad.g_01436	Prav.g_01824
OG0000305	Syad.g_01292	Prav.g_01465
OG0000306	Syad.g_01989	Prav.g_01468
OG0000307	Syad.g_00883	Prav.g_01482
OG0000308	Syad.g_00881	Prav.g_01483
OG0000309	Syad.g_00876	Prav.g_01487
OG0000310	Syad.g_02250	Prav.g_01563
OG0000311	Syad.g_02254	Prav.g_01565
OG0000312	Syad.g_02265	Prav.g_01568
OG0000313	Syad.g_02284	Prav.g_01582
OG0000314	Syad.g_02313	Prav.g_01605
OG0000315	Syad.g_02323	Prav.g_01615
OG0000316	Syad.g_02564	Prav.g_01635
OG0000317	Syad.g_02620	Prav.g_01759
OG0000318	Syad.g_02624	Prav.g_01762
OG0000319	Syad.g_02642	Prav.g_01775
OG0000320	Syad.g_02644	Prav.g_01777
OG0000321	Syad.g_02645	Prav.g_01778
OG0000322	Syad.g_02646	Prav.g_01779
OG0000323	Syad.g_02661	Prav.g_01788
OG0000324	Syad.g_02505	Prav.g_01815
OG0000325	Syad.g_00591	Prav.g_00269
OG0000326	Syad.g_00598	Prav.g_00275
OG0000327	Syad.g_00649	Prav.g_00591
OG0000328	Syad.g_00650	Prav.g_00592
OG0000329	Syad.g_00668	Prav.g_00609
OG0000330	Syad.g_00669	Prav.g_00610
OG0000331	Syad.g_00670	Prav.g_00611
OG0000332	Syad.g_00685	Prav.g_00625
OG0000333	Syad.g_00688	Prav.g_00627
OG0000334	Syad.g_00697	Prav.g_00635
OG0000335	Syad.g_00702	Prav.g_00640
OG0000336	Syad.g_00706	Prav.g_00644
OG0000337	Syad.g_00425, Syad.g_00427	Prav.g_00661
OG0000338	Syad.g_00421	Prav.g_00662
OG0000339	Syad.g_00414	Prav.g_00666
OG0000340	Syad.g_00370	Prav.g_00674
OG0000341	Syad.g_00368	Prav.g_00676
OG0000342	Syad.g_00367	Prav.g_00677
OG0000343	Syad.g_00366	Prav.g_00678
OG0000344	Syad.g_00362	Prav.g_00681
OG0000345	Syad.g_00352	Prav.g_00686
OG0000346	Syad.g_00347	Prav.g_00690
OG0000347	Syad.g_00318	Prav.g_00706
OG0000348	Syad.g_00233	Prav.g_00715
OG0000349	Syad.g_00213	Prav.g_00732
OG0000350	Syad.g_00605	Prav.g_00751
OG0000351	Syad.g_00134	Prav.g_00768
OG0000352	Syad.g_00135	Prav.g_00769
OG0000353	Syad.g_00161	Prav.g_00785
OG0000354	Syad.g_00181	Prav.g_01352
OG0000355	Syad.g_00163	Prav.g_00787
OG0000356	Syad.g_00164	Prav.g_00788
OG0000357	Syad.g_00165	Prav.g_00789
OG0000358	Syad.g_00169	Prav.g_00793
OG0000359	Syad.g_00171	Prav.g_00794
OG0000360	Syad.g_00172	Prav.g_00795
OG0000361	Syad.g_00173	Prav.g_00078
OG0000362	Syad.g_00175	Prav.g_00080
OG0000363	Syad.g_00177	Prav.g_00082
OG0000364	Syad.g_00178	Prav.g_00083
OG0000365	Syad.g_00187	Prav.g_00088
OG0000366	Syad.g_00188	Prav.g_00089
OG0000367	Syad.g_00189	Prav.g_00090
OG0000368	Syad.g_00191	Prav.g_00092
OG0000369	Syad.g_00192	Prav.g_00093
OG0000370	Syad.g_00193	Prav.g_00094
OG0000371	Syad.g_00201	Prav.g_00100
OG0000372	Syad.g_00206	Prav.g_00103
OG0000373	Syad.g_00207	Prav.g_00104
OG0000374	Syad.g_00208	Prav.g_00105
OG0000375	Syad.g_00209	Prav.g_00111
OG0000376	Syad.g_00211	Prav.g_00113
OG0000377	Syad.g_03027	Prav.g_00116
OG0000378	Syad.g_03012	Prav.g_00118
OG0000379	Syad.g_03005	Prav.g_00121
OG0000380	Syad.g_02725	Prav.g_00131
OG0000381	Syad.g_02729	Prav.g_00135
OG0000382	Syad.g_02758	Prav.g_00146
OG0000383	Syad.g_02761	Prav.g_00148
OG0000384	Syad.g_02762	Prav.g_00149
OG0000385	Syad.g_02763	Prav.g_00150
OG0000386	Syad.g_02764	Prav.g_00151
OG0000387	Syad.g_02792	Prav.g_00164
OG0000388	Syad.g_02796	Prav.g_00167
OG0000389	Syad.g_02800	Prav.g_00171
OG0000390	Syad.g_02818	Prav.g_00178
OG0000391	Syad.g_02823	Prav.g_00181
OG0000392	Syad.g_02833	Prav.g_00185
OG0000393	Syad.g_02837	Prav.g_00187
OG0000394	Syad.g_02838	Prav.g_00188
OG0000395	Syad.g_02839	Prav.g_00189
OG0000396	Syad.g_02843	Prav.g_00192
OG0000397	Syad.g_02845	Prav.g_00194
OG0000398	Syad.g_02850	Prav.g_00196
OG0000399	Syad.g_02851	Prav.g_00197
OG0000400	Syad.g_02852	Prav.g_00198
OG0000401	Syad.g_02853	Prav.g_00199
OG0000402	Syad.g_02855	Prav.g_00201
OG0000403	Syad.g_02856	Prav.g_00202
OG0000404	Syad.g_02858	Prav.g_00203
OG0000405	Syad.g_02874	Prav.g_00207
OG0000406	Syad.g_02878	Prav.g_00214
OG0000407	Syad.g_02879	Prav.g_00215
OG0000409	Syad.g_02885	Prav.g_00886
OG0000410	Syad.g_02886	Prav.g_00885
OG0000411	Syad.g_02887	Prav.g_00884
OG0000412	Syad.g_02888	Prav.g_00883
OG0000413	Syad.g_02890	Prav.g_00882
OG0000415	Syad.g_02891	Prav.g_00880
OG0000416	Syad.g_02892	Prav.g_00879
OG0000417	Syad.g_02893	Prav.g_00878
OG0000418	Syad.g_02898	Prav.g_00873
OG0000419	Syad.g_02900	Prav.g_00871
OG0000420	Syad.g_02902	Prav.g_00870
OG0000421	Syad.g_02907	Prav.g_00865
OG0000422	Syad.g_02908	Prav.g_00864
OG0000423	Syad.g_02909	Prav.g_00863
OG0000424	Syad.g_02910	Prav.g_00862
OG0000425	Syad.g_02911	Prav.g_00861
OG0000426	Syad.g_02912	Prav.g_00860
OG0000427	Syad.g_02913	Prav.g_00859
OG0000428	Syad.g_02916	Prav.g_00857
OG0000429	Syad.g_02918	Prav.g_00856
OG0000430	Syad.g_02920	Prav.g_00855
OG0000431	Syad.g_02923	Prav.g_00853
OG0000432	Syad.g_02930	Prav.g_00850
OG0000433	Syad.g_02933	Prav.g_00849
OG0000434	Syad.g_02934	Prav.g_00848
OG0000435	Syad.g_02936	Prav.g_00847
OG0000436	Syad.g_02942	Prav.g_00842
OG0000437	Syad.g_02943	Prav.g_00841
OG0000438	Syad.g_02944	Prav.g_00840
OG0000439	Syad.g_02946	Prav.g_00838
OG0000440	Syad.g_02947	Prav.g_00837
OG0000441	Syad.g_02951	Prav.g_00834
OG0000442	Syad.g_02952	Prav.g_00833
OG0000443	Syad.g_02953	Prav.g_00832
OG0000444	Syad.g_02964	Prav.g_00827
OG0000445	Syad.g_02965	Prav.g_00826
OG0000446	Syad.g_02967	Prav.g_00825
OG0000447	Syad.g_02970	Prav.g_00824
OG0000448	Syad.g_02971	Prav.g_00823
OG0000449	Syad.g_02972	Prav.g_00822
OG0000450	Syad.g_02978	Prav.g_00821
OG0000451	Syad.g_02979	Prav.g_00820
OG0000452	Syad.g_02983	Prav.g_00817
OG0000453	Syad.g_02984	Prav.g_00816
OG0000454	Syad.g_02985	Prav.g_00815
OG0000455	Syad.g_02986	Prav.g_00814
OG0000456	Syad.g_02987	Prav.g_00813
OG0000457	Syad.g_02989	Prav.g_00812
OG0000458	Syad.g_02998	Prav.g_00811
OG0000459	Syad.g_02999	Prav.g_00810
OG0000460	Syad.g_00815	Prav.g_00803
OG0000461	Syad.g_00579	Prav.g_01889
OG0000462	Syad.g_00576	Prav.g_01891
OG0000463	Syad.g_00575	Prav.g_01892
OG0000464	Syad.g_00574	Prav.g_01893
OG0000465	Syad.g_00573	Prav.g_01894
OG0000466	Syad.g_00568	Prav.g_01897
OG0000467	Syad.g_00566	Prav.g_01898
OG0000468	Syad.g_00561	Prav.g_01900
OG0000469	Syad.g_00545	Prav.g_01909
OG0000470	Syad.g_00542	Prav.g_01911
OG0000471	Syad.g_00541	Prav.g_01912
OG0000472	Syad.g_00539	Prav.g_01913
OG0000473	Syad.g_00537	Prav.g_01915
OG0000474	Syad.g_00536	Prav.g_01916
OG0000475	Syad.g_00535	Prav.g_01917
OG0000476	Syad.g_00533	Prav.g_01918
OG0000477	Syad.g_00528	Prav.g_01921
OG0000478	Syad.g_00527	Prav.g_01922
OG0000479	Syad.g_00526	Prav.g_01923
OG0000480	Syad.g_00520	Prav.g_01928
OG0000481	Syad.g_00518	Prav.g_01930
OG0000482	Syad.g_00517	Prav.g_01931
OG0000483	Syad.g_00513	Prav.g_01934
OG0000484	Syad.g_00512	Prav.g_01935
OG0000485	Syad.g_00511	Prav.g_01936
OG0000486	Syad.g_00510	Prav.g_01937
OG0000487	Syad.g_00503	Prav.g_01941
OG0000488	Syad.g_00499	Prav.g_01944
OG0000489	Syad.g_00487	Prav.g_01949
OG0000490	Syad.g_00475	Prav.g_01954
OG0000491	Syad.g_00474	Prav.g_01955
OG0000492	Syad.g_00472	Prav.g_01957
OG0000493	Syad.g_00471	Prav.g_01958
OG0000494	Syad.g_00470	Prav.g_01959
OG0000495	Syad.g_00469	Prav.g_01960
OG0000496	Syad.g_00468	Prav.g_01961
OG0000497	Syad.g_00467	Prav.g_01962
OG0000498	Syad.g_00466	Prav.g_01963
OG0000499	Syad.g_00465	Prav.g_01964
OG0000500	Syad.g_00464	Prav.g_01965
OG0000501	Syad.g_00461	Prav.g_01967
OG0000502	Syad.g_00449	Prav.g_01970
OG0000503	Syad.g_00761	Prav.g_01980
OG0000504	Syad.g_00763	Prav.g_01981
OG0000505	Syad.g_00764	Prav.g_01982
OG0000506	Syad.g_00766	Prav.g_01984
OG0000507	Syad.g_00772	Prav.g_01987
OG0000508	Syad.g_00776	Prav.g_01991
OG0000509	Syad.g_00778	Prav.g_01993
OG0000510	Syad.g_00779	Prav.g_01994
OG0000511	Syad.g_00780	Prav.g_01995
OG0000512	Syad.g_00782	Prav.g_01997
OG0000513	Syad.g_00789	Prav.g_00977
OG0000514	Syad.g_00795	Prav.g_01030
OG0000515	Syad.g_00796	Prav.g_01031
OG0000516	Syad.g_02456	Prav.g_01032
OG0000517	Syad.g_02451	Prav.g_01034
OG0000518	Syad.g_02439	Prav.g_01045
OG0000519	Syad.g_02438	Prav.g_01046
OG0000520	Syad.g_02437	Prav.g_01047
OG0000521	Syad.g_01108	Prav.g_01052
OG0000522	Syad.g_01109	Prav.g_01053
OG0000523	Syad.g_01110	Prav.g_01054
OG0000524	Syad.g_02386	Prav.g_01059
OG0000525	Syad.g_02363	Prav.g_01062
OG0000526	Syad.g_02360	Prav.g_01063
OG0000527	Syad.g_02355	Prav.g_01071
OG0000528	Syad.g_00897	Prav.g_01076
OG0000529	Syad.g_00905	Prav.g_01079
OG0000530	Syad.g_00908	Prav.g_01082
OG0000531	Syad.g_00909	Prav.g_01083
OG0000532	Syad.g_00912	Prav.g_01085
OG0000533	Syad.g_00913	Prav.g_01086
OG0000534	Syad.g_00914	Prav.g_01087
OG0000535	Syad.g_00915	Prav.g_01088
OG0000536	Syad.g_00916	Prav.g_01089
OG0000537	Syad.g_00917	Prav.g_01090
OG0000538	Syad.g_00929	Prav.g_01098
OG0000539	Syad.g_00930	Prav.g_01099
OG0000540	Syad.g_00931	Prav.g_01100
OG0000541	Syad.g_00932	Prav.g_01101
OG0000542	Syad.g_00935	Prav.g_01103
OG0000543	Syad.g_00937	Prav.g_01105
OG0000544	Syad.g_00938	Prav.g_01106
OG0000545	Syad.g_00940	Prav.g_01108
OG0000546	Syad.g_00942	Prav.g_01111
OG0000547	Syad.g_00944	Prav.g_01113
OG0000548	Syad.g_00945	Prav.g_01114
OG0000549	Syad.g_00952	Prav.g_01116
OG0000550	Syad.g_00956	Prav.g_01121
OG0000551	Syad.g_00960	Prav.g_01125
OG0000552	Syad.g_00961	Prav.g_01126
OG0000553	Syad.g_00965	Prav.g_01127
OG0000554	Syad.g_00978	Prav.g_01132
OG0000555	Syad.g_00999	Prav.g_01140
OG0000556	Syad.g_01003	Prav.g_01142
OG0000557	Syad.g_01011	Prav.g_01143
OG0000558	Syad.g_01013	Prav.g_01145
OG0000559	Syad.g_01016	Prav.g_01149
OG0000560	Syad.g_01019	Prav.g_01152
OG0000561	Syad.g_01020	Prav.g_01153
OG0000562	Syad.g_01021	Prav.g_01154
OG0000563	Syad.g_01022	Prav.g_01155
OG0000564	Syad.g_01023	Prav.g_01156
OG0000565	Syad.g_01027	Prav.g_01159
OG0000566	Syad.g_01031	Prav.g_01161
OG0000567	Syad.g_01035	Prav.g_01165
OG0000568	Syad.g_01040	Prav.g_01166
OG0000569	Syad.g_01041	Prav.g_01167
OG0000570	Syad.g_01042	Prav.g_01168
OG0000571	Syad.g_01046	Prav.g_01170
OG0000572	Syad.g_01064	Prav.g_01183
OG0000573	Syad.g_01072	Prav.g_01188
OG0000574	Syad.g_01077	Prav.g_01189
OG0000575	Syad.g_01083	Prav.g_01193
OG0000576	Syad.g_01085	Prav.g_01195
OG0000577	Syad.g_01086	Prav.g_01196
OG0000578	Syad.g_01087	Prav.g_01197
OG0000579	Syad.g_01088	Prav.g_01198
OG0000580	Syad.g_01089	Prav.g_01199
OG0000581	Syad.g_01097	Prav.g_01201
OG0000582	Syad.g_02206	Prav.g_01204
OG0000583	Syad.g_02205	Prav.g_01205
OG0000584	Syad.g_02204	Prav.g_01206
OG0000585	Syad.g_02202	Prav.g_01208
OG0000586	Syad.g_02201	Prav.g_01209
OG0000587	Syad.g_02199	Prav.g_01210
