Orthogroup	Prav	Syan
OG0000099	Prav.g_01514	Syan.g_01968
OG0000100	Prav.g_01652	Syan.g_00658
OG0000101	Prav.g_00632	Syan.g_02199
OG0000102	Prav.g_00694	Syan.g_01891
OG0000103	Prav.g_00773	Syan.g_01692
OG0000104	Prav.g_00782	Syan.g_01792
OG0000105	Prav.g_01920	Syan.g_02031
OG0000106	Prav.g_00989	Syan.g_00076
OG0000107	Prav.g_01001	Syan.g_02106
OG0000108	Prav.g_01078	Syan.g_02764
OG0000109	Prav.g_01092	Syan.g_02748
OG0000110	Prav.g_01172	Syan.g_00882
OG0000111	Prav.g_01297	Syan.g_00187
OG0000112	Prav.g_00364	Syan.g_00556, Syan.g_00252
OG0000113	Prav.g_00419	Syan.g_00664
OG0000114	Prav.g_00499	Syan.g_00741
OG0000115	Prav.g_00010	Syan.g_02810
OG0000116	Prav.g_00055	Syan.g_02710, Syan.g_00460
OG0000117	Prav.g_01390	Syan.g_02644
OG0000118	Prav.g_01450	Syan.g_01241, Syan.g_01237
OG0000119	Prav.g_01469	Syan.g_02672
OG0000120	Prav.g_01513	Syan.g_01966
OG0000121	Prav.g_01580	Syan.g_01273
OG0000123	Prav.g_00639	Syan.g_02190
OG0000124	Prav.g_00705	Syan.g_01873
OG0000125	Prav.g_00741	Syan.g_01573
OG0000126	Prav.g_00781	Syan.g_01705
OG0000127	Prav.g_00965	Syan.g_01071
OG0000128	Prav.g_00079	Syan.g_01768
OG0000129	Prav.g_00115	Syan.g_01563
OG0000130	Prav.g_00134	Syan.g_02906, Syan.g_02907
OG0000131	Prav.g_00212	Syan.g_03008
OG0000132	Prav.g_00874	Syan.g_03029
OG0000133	Prav.g_01968	Syan.g_00561
OG0000134	Prav.g_00976	Syan.g_02319
OG0000135	Prav.g_00999	Syan.g_01616
OG0000136	Prav.g_01040	Syan.g_01342
OG0000137	Prav.g_01073	Syan.g_02846
OG0000138	Prav.g_01093	Syan.g_02747
OG0000140	Prav.g_01136	Syan.g_00042
OG0000141	Prav.g_01203	Syan.g_01032
OG0000142	Prav.g_01233	Syan.g_00816
OG0000143	Prav.g_01237	Syan.g_00812
OG0000144	Prav.g_01250	Syan.g_00782
OG0000145	Prav.g_00362	Syan.g_02740
OG0000146	Prav.g_00365	Syan.g_00555, Syan.g_00253
OG0000147	Prav.g_00366	Syan.g_00254, Syan.g_00554
OG0000148	Prav.g_00413	Syan.g_00670
OG0000149	Prav.g_00443	Syan.g_00393
OG0000150	Prav.g_00451	Syan.g_01031
OG0000151	Prav.g_00509	Syan.g_00731
OG0000152	Prav.g_00556	Syan.g_00565
OG0000153	Prav.g_00575	Syan.g_00601
OG0000154	Prav.g_00907	Syan.g_00363
OG0000155	Prav.g_01861	Syan.g_02654
OG0000156	Prav.g_01427	Syan.g_02717
OG0000157	Prav.g_01428	Syan.g_02718
OG0000158	Prav.g_01505	Syan.g_01078, Syan.g_01926
OG0000159	Prav.g_01506	Syan.g_01120
OG0000160	Prav.g_01579	Syan.g_01274
OG0000161	Prav.g_01585	Syan.g_01268
OG0000162	Prav.g_01591	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prav.g_01625	Syan.g_02405
OG0000164	Prav.g_01785	Syan.g_01440
OG0000165	Prav.g_01792	Syan.g_01448
OG0000166	Prav.g_00596	Syan.g_02239
OG0000167	Prav.g_00663	Syan.g_01941
OG0000168	Prav.g_00673	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prav.g_00683	Syan.g_01912
OG0000170	Prav.g_00685	Syan.g_01901
OG0000171	Prav.g_00704	Syan.g_01875
OG0000172	Prav.g_00712	Syan.g_01810
OG0000173	Prav.g_00727	Syan.g_01720
OG0000174	Prav.g_00755	Syan.g_01619
OG0000175	Prav.g_00765	Syan.g_01678, Syan.g_00258
OG0000176	Prav.g_00790	Syan.g_01801
OG0000177	Prav.g_00791	Syan.g_01775
OG0000178	Prav.g_00792	Syan.g_01774
OG0000179	Prav.g_00084	Syan.g_01759
OG0000180	Prav.g_00085	Syan.g_01758
OG0000181	Prav.g_00086	Syan.g_01757
OG0000182	Prav.g_00087	Syan.g_01756
OG0000183	Prav.g_00091	Syan.g_01752
OG0000184	Prav.g_00117	Syan.g_01549
OG0000185	Prav.g_00120	Syan.g_01540
OG0000186	Prav.g_00129	Syan.g_02902
OG0000187	Prav.g_00130	Syan.g_02904
OG0000188	Prav.g_00147	Syan.g_02926
OG0000189	Prav.g_00161	Syan.g_02966
OG0000190	Prav.g_00162	Syan.g_00971
OG0000191	Prav.g_00182	Syan.g_02300
OG0000192	Prav.g_00186	Syan.g_02294
OG0000193	Prav.g_00213	Syan.g_03009
OG0000194	Prav.g_00216	Syan.g_03012
OG0000195	Prav.g_00887	Syan.g_03014
OG0000196	Prav.g_00877	Syan.g_03026
OG0000197	Prav.g_00876	Syan.g_03027
OG0000198	Prav.g_00875	Syan.g_03028
OG0000199	Prav.g_00868	Syan.g_03037
OG0000200	Prav.g_00854	Syan.g_03055
OG0000201	Prav.g_00846	Syan.g_03074
OG0000202	Prav.g_00845	Syan.g_03075
OG0000203	Prav.g_00844	Syan.g_03076
OG0000204	Prav.g_00843	Syan.g_03077
OG0000205	Prav.g_00836	Syan.g_03087
OG0000206	Prav.g_00831	Syan.g_03095
OG0000207	Prav.g_00829	Syan.g_03100
OG0000208	Prav.g_00828	Syan.g_03101
OG0000209	Prav.g_00819	Syan.g_01521
OG0000210	Prav.g_00818	Syan.g_01522
OG0000211	Prav.g_00805	Syan.g_02416
OG0000212	Prav.g_00798	Syan.g_01508, Syan.g_02438
OG0000213	Prav.g_01904	Syan.g_02059
OG0000214	Prav.g_01914	Syan.g_02040
OG0000215	Prav.g_01938	Syan.g_02010
OG0000216	Prav.g_01940	Syan.g_02006
OG0000217	Prav.g_01943	Syan.g_02001
OG0000218	Prav.g_01945	Syan.g_01999
OG0000219	Prav.g_01946	Syan.g_01998
OG0000220	Prav.g_01947	Syan.g_01997
OG0000221	Prav.g_01948	Syan.g_01994
OG0000222	Prav.g_01956	Syan.g_01981
OG0000223	Prav.g_01969	Syan.g_00228
OG0000224	Prav.g_01971	Syan.g_01959
OG0000225	Prav.g_01992	Syan.g_02997
OG0000226	Prav.g_01996	Syan.g_02990
OG0000227	Prav.g_01998	Syan.g_02988
OG0000228	Prav.g_00974	Syan.g_02315
OG0000229	Prav.g_01035	Syan.g_02396
OG0000230	Prav.g_01037	Syan.g_02398
OG0000231	Prav.g_01048	Syan.g_01333
OG0000232	Prav.g_01056	Syan.g_02801
OG0000233	Prav.g_01061	Syan.g_02876
OG0000234	Prav.g_01074	Syan.g_02844
OG0000235	Prav.g_01077	Syan.g_02765
OG0000236	Prav.g_01091	Syan.g_02749
OG0000237	Prav.g_01104	Syan.g_02731
OG0000238	Prav.g_01110	Syan.g_02726
OG0000239	Prav.g_01123	Syan.g_01187
OG0000240	Prav.g_01124	Syan.g_01186
OG0000241	Prav.g_01128	Syan.g_00822
OG0000242	Prav.g_01130	Syan.g_01168
OG0000243	Prav.g_00954, Prav.g_01141	Syan.g_00840
OG0000244	Prav.g_01144	Syan.g_00848
OG0000245	Prav.g_01146	Syan.g_00850
OG0000246	Prav.g_01150	Syan.g_00854
OG0000247	Prav.g_01160	Syan.g_00866
OG0000248	Prav.g_01162	Syan.g_00869
OG0000249	Prav.g_01164	Syan.g_00871
OG0000250	Prav.g_01169	Syan.g_00878
OG0000251	Prav.g_01187	Syan.g_00961
OG0000252	Prav.g_01190	Syan.g_00966
OG0000253	Prav.g_01191	Syan.g_01000
OG0000254	Prav.g_01207	Syan.g_01026
OG0000255	Prav.g_01213	Syan.g_00978
OG0000256	Prav.g_01225	Syan.g_00001, Syan.g_01135
OG0000257	Prav.g_01228	Syan.g_00827
OG0000258	Prav.g_01241	Syan.g_00803
OG0000259	Prav.g_01258	Syan.g_00772
OG0000260	Prav.g_01261	Syan.g_00769
OG0000261	Prav.g_01263	Syan.g_00765
OG0000262	Prav.g_01267	Syan.g_00760
OG0000263	Prav.g_01279	Syan.g_02618
OG0000264	Prav.g_01289	Syan.g_00540
OG0000266	Prav.g_00316	Syan.g_00330
OG0000267	Prav.g_00327	Syan.g_00470
OG0000268	Prav.g_00328	Syan.g_00471
OG0000269	Prav.g_00392	Syan.g_00695
OG0000270	Prav.g_00395	Syan.g_00692
OG0000271	Prav.g_00403	Syan.g_00684
OG0000272	Prav.g_00404	Syan.g_00683
OG0000273	Prav.g_00427	Syan.g_00654
OG0000274	Prav.g_00428	Syan.g_00653
OG0000275	Prav.g_00430	Syan.g_00373
OG0000276	Prav.g_00435	Syan.g_00380
OG0000277	Prav.g_00436	Syan.g_00381
OG0000278	Prav.g_00439	Syan.g_00384
OG0000279	Prav.g_00446	Syan.g_00398
OG0000280	Prav.g_00447	Syan.g_00518
OG0000282	Prav.g_00501	Syan.g_00739
OG0000283	Prav.g_00533	Syan.g_00491
OG0000284	Prav.g_00538	Syan.g_00497
OG0000285	Prav.g_00543	Syan.g_00533
OG0000286	Prav.g_00555	Syan.g_00564
OG0000287	Prav.g_00572	Syan.g_00593
OG0000288	Prav.g_00906	Syan.g_00364
OG0000289	Prav.g_00917	Syan.g_00350
OG0000290	Prav.g_00930	Syan.g_00293
OG0000291	Prav.g_00932	Syan.g_00291
OG0000292	Prav.g_00261	Syan.g_01703
OG0000293	Prav.g_00056	Syan.g_02709
OG0000294	Prav.g_00057	Syan.g_02708
OG0000295	Prav.g_00077	Syan.g_02662
OG0000296	Prav.g_01867	Syan.g_02660
OG0000299	Prav.g_01841	Syan.g_02601
OG0000301	Prav.g_00955, Prav.g_01837	Syan.g_02592
OG0000302	Prav.g_01835	Syan.g_02591
OG0000303	Prav.g_01828	Syan.g_02582
OG0000304	Prav.g_01824	Syan.g_02556
OG0000305	Prav.g_01465	Syan.g_00195
OG0000306	Prav.g_01468	Syan.g_00087
OG0000307	Prav.g_01482	Syan.g_02782
OG0000308	Prav.g_01483	Syan.g_02784
OG0000309	Prav.g_01487	Syan.g_02883
OG0000310	Prav.g_01563	Syan.g_01304
OG0000311	Prav.g_01565	Syan.g_01299
OG0000312	Prav.g_01568	Syan.g_01290
OG0000313	Prav.g_01582	Syan.g_01271
OG0000314	Prav.g_01605	Syan.g_02823
OG0000315	Prav.g_01615	Syan.g_02833
OG0000316	Prav.g_01635	Syan.g_01354
OG0000317	Prav.g_01759	Syan.g_01396
OG0000318	Prav.g_01762	Syan.g_01401
OG0000319	Prav.g_01775	Syan.g_01425
OG0000320	Prav.g_01777	Syan.g_01427
OG0000321	Prav.g_01778	Syan.g_01428
OG0000322	Prav.g_01779	Syan.g_01429
OG0000323	Prav.g_01788	Syan.g_01442
OG0000324	Prav.g_01815	Syan.g_01472
OG0000325	Prav.g_00269	Syan.g_02107
OG0000326	Prav.g_00275	Syan.g_02114
OG0000327	Prav.g_00591	Syan.g_02244
OG0000328	Prav.g_00592	Syan.g_02243
OG0000329	Prav.g_00609	Syan.g_02225
OG0000330	Prav.g_00610	Syan.g_02224
OG0000331	Prav.g_00611	Syan.g_02223
OG0000332	Prav.g_00625	Syan.g_02208
OG0000333	Prav.g_00627	Syan.g_02205
OG0000334	Prav.g_00635	Syan.g_00247, Syan.g_02194
OG0000335	Prav.g_00640	Syan.g_02189
OG0000336	Prav.g_00644	Syan.g_02185
OG0000337	Prav.g_00661	Syan.g_01949
OG0000338	Prav.g_00662	Syan.g_01943
OG0000339	Prav.g_00666	Syan.g_01935, Syan.g_00264
OG0000340	Prav.g_00674	Syan.g_01923
OG0000341	Prav.g_00676	Syan.g_01921
OG0000342	Prav.g_00677	Syan.g_01920
OG0000343	Prav.g_00678	Syan.g_01918
OG0000344	Prav.g_00681	Syan.g_01914
OG0000345	Prav.g_00686	Syan.g_01900
OG0000346	Prav.g_00690	Syan.g_01895
OG0000347	Prav.g_00706	Syan.g_01867
OG0000348	Prav.g_00715	Syan.g_01803
OG0000349	Prav.g_00732	Syan.g_01727
OG0000350	Prav.g_00751	Syan.g_02121
OG0000351	Prav.g_00768	Syan.g_01682
OG0000352	Prav.g_00769	Syan.g_01683
OG0000353	Prav.g_00785	Syan.g_01795
OG0000354	Prav.g_01352	Syan.g_01761
OG0000355	Prav.g_00787	Syan.g_01797
OG0000356	Prav.g_00788	Syan.g_01798
OG0000357	Prav.g_00789	Syan.g_01800
OG0000358	Prav.g_00793	Syan.g_01773
OG0000359	Prav.g_00794	Syan.g_01771
OG0000360	Prav.g_00795	Syan.g_01770
OG0000361	Prav.g_00078	Syan.g_01769
OG0000362	Prav.g_00080	Syan.g_01767
OG0000363	Prav.g_00082	Syan.g_01765
OG0000364	Prav.g_00083	Syan.g_01398
OG0000365	Prav.g_00088	Syan.g_01755
OG0000366	Prav.g_00089	Syan.g_01754
OG0000367	Prav.g_00090	Syan.g_01753
OG0000368	Prav.g_00092	Syan.g_01751
OG0000369	Prav.g_00093	Syan.g_01750
OG0000370	Prav.g_00094	Syan.g_01749
OG0000371	Prav.g_00100	Syan.g_01740
OG0000372	Prav.g_00103	Syan.g_01734
OG0000373	Prav.g_00104	Syan.g_01733
OG0000374	Prav.g_00105	Syan.g_01732
OG0000375	Prav.g_00111	Syan.g_01731
OG0000376	Prav.g_00113	Syan.g_01729
OG0000377	Prav.g_00116	Syan.g_01555
OG0000378	Prav.g_00118	Syan.g_01543
OG0000379	Prav.g_00121	Syan.g_01539
OG0000380	Prav.g_00131	Syan.g_02905
OG0000381	Prav.g_00135	Syan.g_02908
OG0000382	Prav.g_00146	Syan.g_02925
OG0000383	Prav.g_00148	Syan.g_02936
OG0000384	Prav.g_00149	Syan.g_02937
OG0000385	Prav.g_00150	Syan.g_02938
OG0000386	Prav.g_00151	Syan.g_02939
OG0000387	Prav.g_00164	Syan.g_00967
OG0000388	Prav.g_00167	Syan.g_02970
OG0000389	Prav.g_00171	Syan.g_02973
OG0000390	Prav.g_00178	Syan.g_02306
OG0000391	Prav.g_00181	Syan.g_02301
OG0000392	Prav.g_00185	Syan.g_02295
OG0000393	Prav.g_00187	Syan.g_02292
OG0000394	Prav.g_00188	Syan.g_02291
OG0000395	Prav.g_00189	Syan.g_02290
OG0000396	Prav.g_00192	Syan.g_02287
OG0000397	Prav.g_00194	Syan.g_02285
OG0000398	Prav.g_00196	Syan.g_02279
OG0000399	Prav.g_00197	Syan.g_02278
OG0000400	Prav.g_00198	Syan.g_02277
OG0000401	Prav.g_00199	Syan.g_02274
OG0000402	Prav.g_00201	Syan.g_02272
OG0000403	Prav.g_00202	Syan.g_02271
OG0000404	Prav.g_00203	Syan.g_02269
OG0000405	Prav.g_00207	Syan.g_03005
OG0000406	Prav.g_00214	Syan.g_03010
OG0000407	Prav.g_00215	Syan.g_03011
OG0000409	Prav.g_00886	Syan.g_03015
OG0000410	Prav.g_00885	Syan.g_03016
OG0000411	Prav.g_00884	Syan.g_03017
OG0000412	Prav.g_00883	Syan.g_03018
OG0000413	Prav.g_00882	Syan.g_03020
OG0000414	Prav.g_00881	Syan.g_03021
OG0000415	Prav.g_00880	Syan.g_03022
OG0000416	Prav.g_00879	Syan.g_03023
OG0000417	Prav.g_00878	Syan.g_03025
OG0000418	Prav.g_00873	Syan.g_03030
OG0000419	Prav.g_00871	Syan.g_03033
OG0000420	Prav.g_00870	Syan.g_03035
OG0000421	Prav.g_00865	Syan.g_03040
OG0000422	Prav.g_00864	Syan.g_03041
OG0000423	Prav.g_00863	Syan.g_03042
OG0000424	Prav.g_00862	Syan.g_03043
OG0000425	Prav.g_00861	Syan.g_03044
OG0000426	Prav.g_00860	Syan.g_03045
OG0000427	Prav.g_00859	Syan.g_03046
OG0000428	Prav.g_00857	Syan.g_03049
OG0000429	Prav.g_00856	Syan.g_03051
OG0000430	Prav.g_00855	Syan.g_03053
OG0000431	Prav.g_00853	Syan.g_03058
OG0000432	Prav.g_00850	Syan.g_03065
OG0000433	Prav.g_00849	Syan.g_03068
OG0000434	Prav.g_00848	Syan.g_03069
OG0000435	Prav.g_00847	Syan.g_03071
OG0000436	Prav.g_00842	Syan.g_03079
OG0000437	Prav.g_00841	Syan.g_03080
OG0000438	Prav.g_00840	Syan.g_03083
OG0000439	Prav.g_00838	Syan.g_03085
OG0000440	Prav.g_00837	Syan.g_03086
OG0000441	Prav.g_00834	Syan.g_03089
OG0000442	Prav.g_00833	Syan.g_03090
OG0000443	Prav.g_00832	Syan.g_03094
OG0000444	Prav.g_00827	Syan.g_03102
OG0000445	Prav.g_00826	Syan.g_03103
OG0000446	Prav.g_00825	Syan.g_03105
OG0000447	Prav.g_00824	Syan.g_03111
OG0000448	Prav.g_00823	Syan.g_03112
OG0000449	Prav.g_00822	Syan.g_03113
OG0000450	Prav.g_00821	Syan.g_01518
OG0000451	Prav.g_00820	Syan.g_01519
OG0000452	Prav.g_00817	Syan.g_01523
OG0000453	Prav.g_00816	Syan.g_01524
OG0000454	Prav.g_00815	Syan.g_01525
OG0000455	Prav.g_00814	Syan.g_01526
OG0000456	Prav.g_00813	Syan.g_01527
OG0000457	Prav.g_00812	Syan.g_01529
OG0000458	Prav.g_00811	Syan.g_01530
OG0000459	Prav.g_00810	Syan.g_01531
OG0000460	Prav.g_00803	Syan.g_02423
OG0000461	Prav.g_01889	Syan.g_02099
OG0000462	Prav.g_01891	Syan.g_02096
OG0000463	Prav.g_01892	Syan.g_02095
OG0000464	Prav.g_01893	Syan.g_02094
OG0000465	Prav.g_01894	Syan.g_02092
OG0000466	Prav.g_01897	Syan.g_02087
OG0000467	Prav.g_01898	Syan.g_02086
OG0000468	Prav.g_01900	Syan.g_02063
OG0000469	Prav.g_01909	Syan.g_02046
OG0000470	Prav.g_01911	Syan.g_02044
OG0000471	Prav.g_01912	Syan.g_02043
OG0000472	Prav.g_01913	Syan.g_02041
OG0000473	Prav.g_01915	Syan.g_02039
OG0000474	Prav.g_01916	Syan.g_02038
OG0000475	Prav.g_01917	Syan.g_02037
OG0000476	Prav.g_01918	Syan.g_02035
OG0000477	Prav.g_01921	Syan.g_02029
OG0000478	Prav.g_01922	Syan.g_02028
OG0000479	Prav.g_01923	Syan.g_02027
OG0000480	Prav.g_01928	Syan.g_02020
OG0000481	Prav.g_01930	Syan.g_00975
OG0000482	Prav.g_01931	Syan.g_02018
OG0000483	Prav.g_01934	Syan.g_02014
OG0000484	Prav.g_01935	Syan.g_02013
OG0000485	Prav.g_01936	Syan.g_02012
OG0000486	Prav.g_01937	Syan.g_02011
OG0000487	Prav.g_01941	Syan.g_02005
OG0000488	Prav.g_01944	Syan.g_02000
OG0000489	Prav.g_01949	Syan.g_01993
OG0000490	Prav.g_01954	Syan.g_01985
OG0000491	Prav.g_01955	Syan.g_01983
OG0000492	Prav.g_01957	Syan.g_01980
OG0000493	Prav.g_01958	Syan.g_01979
OG0000494	Prav.g_01959	Syan.g_01978
OG0000495	Prav.g_01960	Syan.g_01977
OG0000496	Prav.g_01961	Syan.g_01976
OG0000497	Prav.g_01962	Syan.g_01975
OG0000498	Prav.g_01963	Syan.g_01974
OG0000499	Prav.g_01964	Syan.g_01973
OG0000500	Prav.g_01965	Syan.g_01972
OG0000501	Prav.g_01967	Syan.g_01969
OG0000502	Prav.g_01970	Syan.g_01961
OG0000503	Prav.g_01980	Syan.g_02144
OG0000504	Prav.g_01981	Syan.g_02142
OG0000505	Prav.g_01982	Syan.g_02141
OG0000506	Prav.g_01984	Syan.g_02139
OG0000507	Prav.g_01987	Syan.g_02133
OG0000508	Prav.g_01991	Syan.g_02998
OG0000509	Prav.g_01993	Syan.g_02993
OG0000510	Prav.g_01994	Syan.g_02992
OG0000511	Prav.g_01995	Syan.g_02991
OG0000512	Prav.g_01997	Syan.g_02989
OG0000513	Prav.g_00977	Syan.g_02320
OG0000514	Prav.g_01030	Syan.g_02326
OG0000515	Prav.g_01031	Syan.g_02327
OG0000516	Prav.g_01032	Syan.g_02389
OG0000517	Prav.g_01034	Syan.g_02395
OG0000518	Prav.g_01045	Syan.g_01336
OG0000519	Prav.g_01046	Syan.g_01335
OG0000520	Prav.g_01047	Syan.g_01334
OG0000521	Prav.g_01052	Syan.g_02805
OG0000522	Prav.g_01053	Syan.g_02803
OG0000523	Prav.g_01054	Syan.g_02802
OG0000524	Prav.g_01059	Syan.g_02878
OG0000525	Prav.g_01062	Syan.g_02853
OG0000526	Prav.g_01063	Syan.g_02852
OG0000527	Prav.g_01071	Syan.g_02848
OG0000528	Prav.g_01076	Syan.g_02767
OG0000529	Prav.g_01079	Syan.g_02763
OG0000530	Prav.g_01082	Syan.g_02760
OG0000531	Prav.g_01083	Syan.g_02759
OG0000532	Prav.g_01085	Syan.g_02756
OG0000533	Prav.g_01086	Syan.g_02754
OG0000534	Prav.g_01087	Syan.g_02753
OG0000535	Prav.g_01088	Syan.g_02752
OG0000536	Prav.g_01089	Syan.g_02751
OG0000537	Prav.g_01090	Syan.g_02750
OG0000538	Prav.g_01098	Syan.g_02738
OG0000539	Prav.g_01099	Syan.g_02737
OG0000540	Prav.g_01100	Syan.g_02736
OG0000541	Prav.g_01101	Syan.g_02735
OG0000542	Prav.g_01103	Syan.g_02732
OG0000543	Prav.g_01105	Syan.g_02730
OG0000544	Prav.g_01106	Syan.g_02729
OG0000545	Prav.g_01108	Syan.g_02727
OG0000546	Prav.g_01111	Syan.g_02725
OG0000547	Prav.g_01113	Syan.g_02723
OG0000548	Prav.g_01114	Syan.g_02722
OG0000549	Prav.g_01116	Syan.g_01194
OG0000550	Prav.g_01121	Syan.g_01189
OG0000551	Prav.g_01125	Syan.g_01184
OG0000552	Prav.g_01126	Syan.g_01183
OG0000553	Prav.g_01127	Syan.g_01179
OG0000554	Prav.g_01132	Syan.g_01165
OG0000555	Prav.g_01140	Syan.g_00839
OG0000556	Prav.g_01142	Syan.g_00842
OG0000557	Prav.g_01143	Syan.g_00847
OG0000558	Prav.g_01145	Syan.g_00849
OG0000559	Prav.g_01149	Syan.g_00853
OG0000560	Prav.g_01152	Syan.g_00856
OG0000561	Prav.g_01153	Syan.g_00857
OG0000562	Prav.g_01154	Syan.g_00858
OG0000563	Prav.g_01155	Syan.g_00859
OG0000564	Prav.g_01156	Syan.g_00860
OG0000565	Prav.g_01159	Syan.g_00864
OG0000566	Prav.g_01161	Syan.g_00868
OG0000567	Prav.g_01165	Syan.g_00872
OG0000568	Prav.g_01166	Syan.g_00874
OG0000569	Prav.g_01167	Syan.g_00875
OG0000570	Prav.g_01168	Syan.g_00876
OG0000571	Prav.g_01170	Syan.g_00879
OG0000572	Prav.g_01183	Syan.g_00954
OG0000573	Prav.g_01188	Syan.g_00963
OG0000574	Prav.g_01189	Syan.g_00965
OG0000575	Prav.g_01193	Syan.g_01003
OG0000576	Prav.g_01195	Syan.g_01007
OG0000577	Prav.g_01196	Syan.g_01008
OG0000578	Prav.g_01197	Syan.g_01009
OG0000579	Prav.g_01198	Syan.g_01010
OG0000580	Prav.g_01199	Syan.g_01011
OG0000581	Prav.g_01201	Syan.g_01018
OG0000582	Prav.g_01204	Syan.g_01030
OG0000583	Prav.g_01205	Syan.g_01029
OG0000584	Prav.g_01206	Syan.g_01028
OG0000585	Prav.g_01208	Syan.g_01024
OG0000586	Prav.g_01209	Syan.g_01022
OG0000587	Prav.g_01210	Syan.g_01020
OG0000588	Prav.g_01214	Syan.g_00215
OG0000589	Prav.g_01219	Syan.g_00016
OG0000590	Prav.g_01220	Syan.g_00015
OG0000591	Prav.g_01223	Syan.g_00003
OG0000592	Prav.g_01224	Syan.g_00002
OG0000593	Prav.g_01230	Syan.g_00820
OG0000594	Prav.g_01231	Syan.g_00819
