Orthogroup	Prae	Praj
OG0000055	Prae.g_00828	Praj.g_00793, Praj.g_01176
OG0000056	Prae.g_01322	Praj.g_00043
OG0000057	Prae.g_00240	Praj.g_00277
OG0000058	Prae.g_00449	Praj.g_00467
OG0000059	Prae.g_00672	Praj.g_01313, Praj.g_00691
OG0000061	Prae.g_01128, Prae.g_00984	Praj.g_01563
OG0000062	Prae.g_01130	Praj.g_01832
OG0000063	Prae.g_01263	Praj.g_01355
OG0000065	Prae.g_01329	Praj.g_01528
OG0000066	Prae.g_01389	Praj.g_00664
OG0000067	Prae.g_01245	Praj.g_01158
OG0000068	Prae.g_01758	Praj.g_01952
OG0000071	Prae.g_00011	Praj.g_00011
OG0000072	Prae.g_00323	Praj.g_00357
OG0000073	Prae.g_00643	Praj.g_00659
OG0000074	Prae.g_00665	Praj.g_00684
OG0000075	Prae.g_00813	Praj.g_00776
OG0000076	Prae.g_01040	Praj.g_01024
OG0000078	Prae.g_01390	Praj.g_00372
OG0000079	Prae.g_01537	Praj.g_01714
OG0000080	Prae.g_01588	Praj.g_01166
OG0000081	Prae.g_01789	Praj.g_01985
OG0000083	Prae.g_00003, Prae.g_01306	Praj.g_00003
OG0000084	Prae.g_00006	Praj.g_00006
OG0000085	Prae.g_00023	Praj.g_00023
OG0000086	Prae.g_00041	Praj.g_01154
OG0000087	Prae.g_00051	Praj.g_00053
OG0000088	Prae.g_00112	Praj.g_00153
OG0000089	Prae.g_00121	Praj.g_00162
OG0000090	Prae.g_00139	Praj.g_00179
OG0000091	Prae.g_00172	Praj.g_00209
OG0000092	Prae.g_00173	Praj.g_00210
OG0000093	Prae.g_00187	Praj.g_00223
OG0000094	Prae.g_00205	Praj.g_00242
OG0000095	Prae.g_00210	Praj.g_00246
OG0000096	Prae.g_00254	Praj.g_00290
OG0000097	Prae.g_01440	Praj.g_00310
OG0000099	Prae.g_00295	Praj.g_00329
OG0000100	Prae.g_00298	Praj.g_00332
OG0000101	Prae.g_00356	Praj.g_00405
OG0000102	Prae.g_00382	Praj.g_01279
OG0000103	Prae.g_00450	Praj.g_00468
OG0000104	Prae.g_00454	Praj.g_00473
OG0000105	Prae.g_00473	Praj.g_00491
OG0000106	Prae.g_00506	Praj.g_00523
OG0000107	Prae.g_00508	Praj.g_00524
OG0000108	Prae.g_00518	Praj.g_00534
OG0000109	Prae.g_00527	Praj.g_00543
OG0000110	Prae.g_00543, Prae.g_01301	Praj.g_00559
OG0000111	Prae.g_00625	Praj.g_00639
OG0000112	Prae.g_00626	Praj.g_00640
OG0000113	Prae.g_00733	Praj.g_00722
OG0000114	Prae.g_00804	Praj.g_00767
OG0000115	Prae.g_00964	Praj.g_01601, Praj.g_00946
OG0000116	Prae.g_00968	Praj.g_00950
OG0000117	Prae.g_01037	Praj.g_01021
OG0000118	Prae.g_01090	Praj.g_01196
OG0000119	Prae.g_01133	Praj.g_01835
OG0000120	Prae.g_01169	Praj.g_01455
OG0000121	Prae.g_01188	Praj.g_01433
OG0000122	Prae.g_01207	Praj.g_01413
OG0000123	Prae.g_01220	Praj.g_01402
OG0000124	Prae.g_01434	Praj.g_01014
OG0000125	Prae.g_01341	Praj.g_01540
OG0000126	Prae.g_01368	Praj.g_01575
OG0000127	Prae.g_01446	Praj.g_01618
OG0000128	Prae.g_01460	Praj.g_01633
OG0000129	Prae.g_01496	Praj.g_01667
OG0000130	Prae.g_01621	Praj.g_01766
OG0000131	Prae.g_01659	Praj.g_01803
OG0000132	Prae.g_01662	Praj.g_01805
OG0000133	Prae.g_01717	Praj.g_01910
OG0000134	Prae.g_01753	Praj.g_01946
OG0000135	Prae.g_01755	Praj.g_01948
OG0000136	Prae.g_01800	Praj.g_01997
OG0000137	Prae.g_01832	Praj.g_02034
OG0000138	Prae.g_01867	Praj.g_02091
OG0000139	Prae.g_01894	Praj.g_02128
OG0000140	Prae.g_00001	Praj.g_00001
OG0000141	Prae.g_00002	Praj.g_00002
OG0000142	Prae.g_00004	Praj.g_00004
OG0000143	Prae.g_00005	Praj.g_00005
OG0000144	Prae.g_00007	Praj.g_00007
OG0000145	Prae.g_00008	Praj.g_00008
OG0000146	Prae.g_00009	Praj.g_00009
OG0000147	Prae.g_00010	Praj.g_00010
OG0000148	Prae.g_00012	Praj.g_00012
OG0000149	Prae.g_00014	Praj.g_00014
OG0000150	Prae.g_00015	Praj.g_00015
OG0000151	Prae.g_00016	Praj.g_00016
OG0000152	Prae.g_00017	Praj.g_00017
OG0000153	Prae.g_00018	Praj.g_00018
OG0000154	Prae.g_00019	Praj.g_00019
OG0000155	Prae.g_00020	Praj.g_00020
OG0000156	Prae.g_00021	Praj.g_00021
OG0000157	Prae.g_00022	Praj.g_00022
OG0000158	Prae.g_00024	Praj.g_00024
OG0000159	Prae.g_00025	Praj.g_00025
OG0000160	Prae.g_00026	Praj.g_00026
OG0000161	Prae.g_00027	Praj.g_00027
OG0000162	Prae.g_00028	Praj.g_00028
OG0000163	Prae.g_00029	Praj.g_00029
OG0000164	Prae.g_00032	Praj.g_00032
OG0000165	Prae.g_00035	Praj.g_00034
OG0000166	Prae.g_00036	Praj.g_00035
OG0000167	Prae.g_00037	Praj.g_00036
OG0000168	Prae.g_00042	Praj.g_00044
OG0000169	Prae.g_00044	Praj.g_00046
OG0000170	Prae.g_00045	Praj.g_00047
OG0000171	Prae.g_00046	Praj.g_00048
OG0000172	Prae.g_00047	Praj.g_00049
OG0000173	Prae.g_00048	Praj.g_00050
OG0000174	Prae.g_00049	Praj.g_00051
OG0000175	Prae.g_00050	Praj.g_00052
OG0000176	Prae.g_00052	Praj.g_00054
OG0000177	Prae.g_00053	Praj.g_00055
OG0000178	Prae.g_00054	Praj.g_00056
OG0000179	Prae.g_00064	Praj.g_00102
OG0000180	Prae.g_00065	Praj.g_00103
OG0000181	Prae.g_00066	Praj.g_00104
OG0000182	Prae.g_00069	Praj.g_00107
OG0000183	Prae.g_00070	Praj.g_00108
OG0000184	Prae.g_00073	Praj.g_00111
OG0000185	Prae.g_00077	Praj.g_00115
OG0000186	Prae.g_00078	Praj.g_00116
OG0000187	Prae.g_00079	Praj.g_00117
OG0000188	Prae.g_00080	Praj.g_00118
OG0000189	Prae.g_00081	Praj.g_00119
OG0000190	Prae.g_00082	Praj.g_00120
OG0000191	Prae.g_00083	Praj.g_00121
OG0000192	Prae.g_00084	Praj.g_00122
OG0000193	Prae.g_00085	Praj.g_00123
OG0000194	Prae.g_00086	Praj.g_00124
OG0000195	Prae.g_00088	Praj.g_00126
OG0000196	Prae.g_00089	Praj.g_00127
OG0000197	Prae.g_00090	Praj.g_00128
OG0000198	Prae.g_00091	Praj.g_00129
OG0000199	Prae.g_00094	Praj.g_00132
OG0000200	Prae.g_00095	Praj.g_00133
OG0000201	Prae.g_00096	Praj.g_00134
OG0000202	Prae.g_00097	Praj.g_00135
OG0000203	Prae.g_00098	Praj.g_00136
OG0000204	Prae.g_00099	Praj.g_00137
OG0000205	Prae.g_00100	Praj.g_00139
OG0000206	Prae.g_00101	Praj.g_00140
OG0000207	Prae.g_00102	Praj.g_00141
OG0000208	Prae.g_00103	Praj.g_00142
OG0000209	Prae.g_00104	Praj.g_00143
OG0000210	Prae.g_00105	Praj.g_00144
OG0000211	Prae.g_00106	Praj.g_00145
OG0000212	Prae.g_00107	Praj.g_00146
OG0000213	Prae.g_00108	Praj.g_00147
OG0000214	Prae.g_00110	Praj.g_00151
OG0000215	Prae.g_00111	Praj.g_00152
OG0000216	Prae.g_00113	Praj.g_00154
OG0000217	Prae.g_00115	Praj.g_00156
OG0000218	Prae.g_00116	Praj.g_00157
OG0000219	Prae.g_00117	Praj.g_00158
OG0000220	Prae.g_00120	Praj.g_00160
OG0000221	Prae.g_00122	Praj.g_00163
OG0000222	Prae.g_00123	Praj.g_00164
OG0000223	Prae.g_00124	Praj.g_00165
OG0000224	Prae.g_00127	Praj.g_00168
OG0000225	Prae.g_00129	Praj.g_00170
OG0000226	Prae.g_00130	Praj.g_00172
OG0000227	Prae.g_00131	Praj.g_00173
OG0000228	Prae.g_00132	Praj.g_00174
OG0000229	Prae.g_00133	Praj.g_00175
OG0000230	Prae.g_00134	Praj.g_00176
OG0000231	Prae.g_00136	Praj.g_01057
OG0000232	Prae.g_00137	Praj.g_00177
OG0000233	Prae.g_00140	Praj.g_00180
OG0000234	Prae.g_00142	Praj.g_00183
OG0000235	Prae.g_00148	Praj.g_00185
OG0000236	Prae.g_00149	Praj.g_00186
OG0000237	Prae.g_00150	Praj.g_00187
OG0000238	Prae.g_00151	Praj.g_00188
OG0000239	Prae.g_00152	Praj.g_00189
OG0000240	Prae.g_00154	Praj.g_00191
OG0000241	Prae.g_00155	Praj.g_00192
OG0000242	Prae.g_00156	Praj.g_00193
OG0000243	Prae.g_00157	Praj.g_00194
OG0000244	Prae.g_00158	Praj.g_00195
OG0000245	Prae.g_00159	Praj.g_00196
OG0000246	Prae.g_00161	Praj.g_00198
OG0000247	Prae.g_00162	Praj.g_00199
OG0000248	Prae.g_00163	Praj.g_00200
OG0000249	Prae.g_00164	Praj.g_00201
OG0000250	Prae.g_00165	Praj.g_00202
OG0000251	Prae.g_00166	Praj.g_00203
OG0000252	Prae.g_00167	Praj.g_00204
OG0000253	Prae.g_00168	Praj.g_00205
OG0000254	Prae.g_00170	Praj.g_00207
OG0000255	Prae.g_00171	Praj.g_00208
OG0000256	Prae.g_00174	Praj.g_00211
OG0000257	Prae.g_00176	Praj.g_00212
OG0000258	Prae.g_00177	Praj.g_00213
OG0000259	Prae.g_00178	Praj.g_00214
OG0000260	Prae.g_00179	Praj.g_00215
OG0000261	Prae.g_00180	Praj.g_00216
OG0000262	Prae.g_00181	Praj.g_00217
OG0000263	Prae.g_00182	Praj.g_00218
OG0000264	Prae.g_00184	Praj.g_00220
OG0000265	Prae.g_00185	Praj.g_00221
OG0000266	Prae.g_00186	Praj.g_00222
OG0000267	Prae.g_00188	Praj.g_00224
OG0000268	Prae.g_00189	Praj.g_00226
OG0000269	Prae.g_00190	Praj.g_00227
OG0000270	Prae.g_00191	Praj.g_00228
OG0000271	Prae.g_00192	Praj.g_00229
OG0000272	Prae.g_00193	Praj.g_00230
OG0000273	Prae.g_00194	Praj.g_00231
OG0000274	Prae.g_00195	Praj.g_00232
OG0000275	Prae.g_00196	Praj.g_00233
OG0000276	Prae.g_00197	Praj.g_00234
OG0000277	Prae.g_00198	Praj.g_00235
OG0000278	Prae.g_00199	Praj.g_00236
OG0000279	Prae.g_00200	Praj.g_00237
OG0000280	Prae.g_00201	Praj.g_00238
OG0000281	Prae.g_00203	Praj.g_00240
OG0000282	Prae.g_00204	Praj.g_00241
OG0000283	Prae.g_00207	Praj.g_00243
OG0000284	Prae.g_00208	Praj.g_00244
OG0000285	Prae.g_00209	Praj.g_00245
OG0000286	Prae.g_00211	Praj.g_00247
OG0000287	Prae.g_00212	Praj.g_00248
OG0000288	Prae.g_00213	Praj.g_00249
OG0000289	Prae.g_00214	Praj.g_00250
OG0000290	Prae.g_00215	Praj.g_00251
OG0000291	Prae.g_00216	Praj.g_00252
OG0000292	Prae.g_00217	Praj.g_00253
OG0000293	Prae.g_00218	Praj.g_00254
OG0000294	Prae.g_00219	Praj.g_00255
OG0000295	Prae.g_00220	Praj.g_00256
OG0000296	Prae.g_00221	Praj.g_00257
OG0000297	Prae.g_00222	Praj.g_00258
OG0000298	Prae.g_00223	Praj.g_00259
OG0000299	Prae.g_00224	Praj.g_00260
OG0000300	Prae.g_00225	Praj.g_00261
OG0000301	Prae.g_00226	Praj.g_00262
OG0000302	Prae.g_00227	Praj.g_00263
OG0000303	Prae.g_00228	Praj.g_00264
OG0000304	Prae.g_00229	Praj.g_00265
OG0000305	Prae.g_00230	Praj.g_00266
OG0000306	Prae.g_00231	Praj.g_00267
OG0000307	Prae.g_00232	Praj.g_00268
OG0000308	Prae.g_00233	Praj.g_00269
OG0000309	Prae.g_00234	Praj.g_00270
OG0000310	Prae.g_00235	Praj.g_00271
OG0000311	Prae.g_00236	Praj.g_00273
OG0000312	Prae.g_00238	Praj.g_00275
OG0000313	Prae.g_00239	Praj.g_00276
OG0000314	Prae.g_00242	Praj.g_00280
OG0000315	Prae.g_00243	Praj.g_00281
OG0000316	Prae.g_00245	Praj.g_00283
OG0000317	Prae.g_00247	Praj.g_00285
OG0000318	Prae.g_00248	Praj.g_00286
OG0000319	Prae.g_00249	Praj.g_00287
OG0000320	Prae.g_00250	Praj.g_00288
OG0000321	Prae.g_00253	Praj.g_00289
OG0000322	Prae.g_00256	Praj.g_00292
OG0000323	Prae.g_00257	Praj.g_00293
OG0000324	Prae.g_00260	Praj.g_00296
OG0000325	Prae.g_00262	Praj.g_00297
OG0000326	Prae.g_00263	Praj.g_00298
OG0000327	Prae.g_00265	Praj.g_00299
OG0000328	Prae.g_00266	Praj.g_00300
OG0000329	Prae.g_00267	Praj.g_00301
OG0000330	Prae.g_00268	Praj.g_00302
OG0000331	Prae.g_00269	Praj.g_00303
OG0000332	Prae.g_00270	Praj.g_00304
OG0000333	Prae.g_00271	Praj.g_00305
OG0000334	Prae.g_00272	Praj.g_00306
OG0000335	Prae.g_00273	Praj.g_00307
OG0000336	Prae.g_00274	Praj.g_00309
OG0000337	Prae.g_00276	Praj.g_00311
OG0000338	Prae.g_00277	Praj.g_00312
OG0000339	Prae.g_00278	Praj.g_00313
OG0000340	Prae.g_00279	Praj.g_00314
OG0000341	Prae.g_00283	Praj.g_00318
OG0000342	Prae.g_00284	Praj.g_00319
OG0000343	Prae.g_00286	Praj.g_00321
OG0000344	Prae.g_00287	Praj.g_00322
OG0000345	Prae.g_00288	Praj.g_00323
OG0000346	Prae.g_00289	Praj.g_00324
OG0000347	Prae.g_00290	Praj.g_00325
OG0000348	Prae.g_00291	Praj.g_00326
OG0000349	Prae.g_00292	Praj.g_00327
OG0000350	Prae.g_00293	Praj.g_00328
OG0000351	Prae.g_00296	Praj.g_00330
OG0000352	Prae.g_00299	Praj.g_00333
OG0000353	Prae.g_00300	Praj.g_00334
OG0000354	Prae.g_00301	Praj.g_00335
OG0000355	Prae.g_00302	Praj.g_00336
OG0000356	Prae.g_00303	Praj.g_00337
OG0000357	Prae.g_00304	Praj.g_00338
OG0000358	Prae.g_00305	Praj.g_00339
OG0000359	Prae.g_00306	Praj.g_00340
OG0000360	Prae.g_00309	Praj.g_00343
OG0000361	Prae.g_00310	Praj.g_00344
OG0000362	Prae.g_00311	Praj.g_00345
OG0000363	Prae.g_00312	Praj.g_00346
OG0000364	Prae.g_00313	Praj.g_00347
OG0000365	Prae.g_00314	Praj.g_00348
OG0000366	Prae.g_00315	Praj.g_00349
OG0000367	Prae.g_00316	Praj.g_00350
OG0000368	Prae.g_00317	Praj.g_00351
OG0000369	Prae.g_00318	Praj.g_00352
OG0000370	Prae.g_00319	Praj.g_00353
OG0000371	Prae.g_00320	Praj.g_00354
OG0000372	Prae.g_00322	Praj.g_00356
OG0000373	Prae.g_00324	Praj.g_00358
OG0000374	Prae.g_00325	Praj.g_00359
OG0000375	Prae.g_00326	Praj.g_00360
OG0000376	Prae.g_00328	Praj.g_00362
OG0000377	Prae.g_00329	Praj.g_00368
OG0000378	Prae.g_00330	Praj.g_00724
OG0000379	Prae.g_00335	Praj.g_00380
OG0000380	Prae.g_00336	Praj.g_00382
OG0000381	Prae.g_00337	Praj.g_00383
OG0000382	Prae.g_00338	Praj.g_00384
OG0000383	Prae.g_00341	Praj.g_00387
OG0000384	Prae.g_00342	Praj.g_00388
OG0000385	Prae.g_00344	Praj.g_00390
OG0000386	Prae.g_00345	Praj.g_00391
OG0000387	Prae.g_00346	Praj.g_00392
OG0000388	Prae.g_00347	Praj.g_00393
OG0000389	Prae.g_00348	Praj.g_00394
OG0000390	Prae.g_00349	Praj.g_00395
OG0000391	Prae.g_00350	Praj.g_00396
OG0000392	Prae.g_00351	Praj.g_00397
OG0000393	Prae.g_00354	Praj.g_00402
OG0000394	Prae.g_00355	Praj.g_00403
OG0000395	Prae.g_00357	Praj.g_00406
OG0000396	Prae.g_00358	Praj.g_00824
OG0000397	Prae.g_00371	Praj.g_01049
OG0000398	Prae.g_00379	Praj.g_01081
OG0000399	Prae.g_00380	Praj.g_01244
OG0000400	Prae.g_00385	Praj.g_01869
OG0000401	Prae.g_00405	Praj.g_00425
OG0000402	Prae.g_00406	Praj.g_00426
OG0000403	Prae.g_00407	Praj.g_00427
OG0000404	Prae.g_00409	Praj.g_00429
OG0000405	Prae.g_00410	Praj.g_00430
OG0000406	Prae.g_00412	Praj.g_00432
OG0000407	Prae.g_00413	Praj.g_00433
OG0000408	Prae.g_00414	Praj.g_00434
OG0000409	Prae.g_00415	Praj.g_00435
OG0000410	Prae.g_00416	Praj.g_00436
OG0000411	Prae.g_00417	Praj.g_00437
OG0000412	Prae.g_00418	Praj.g_00438
OG0000413	Prae.g_00419	Praj.g_00439
OG0000414	Prae.g_00420	Praj.g_00440
OG0000415	Prae.g_00421	Praj.g_00441
OG0000416	Prae.g_00422	Praj.g_00442
OG0000417	Prae.g_00423	Praj.g_00443
OG0000418	Prae.g_00424	Praj.g_00444
OG0000419	Prae.g_00425	Praj.g_00445
OG0000420	Prae.g_00426	Praj.g_00446
OG0000421	Prae.g_00427	Praj.g_00447
OG0000422	Prae.g_00429	Praj.g_00449
OG0000423	Prae.g_00430	Praj.g_00450
OG0000424	Prae.g_00432	Praj.g_00451
OG0000425	Prae.g_00435	Praj.g_00457
OG0000426	Prae.g_00436	Praj.g_00458
OG0000427	Prae.g_00437	Praj.g_00459
OG0000428	Prae.g_00438	Praj.g_00461
OG0000429	Prae.g_00439	Praj.g_00462
OG0000430	Prae.g_00445	Praj.g_00464
OG0000431	Prae.g_00447	Praj.g_00465
OG0000432	Prae.g_00448	Praj.g_00466
OG0000433	Prae.g_00451	Praj.g_00469
OG0000434	Prae.g_00452	Praj.g_00471
OG0000435	Prae.g_00453	Praj.g_00472
OG0000436	Prae.g_00455	Praj.g_00474
OG0000437	Prae.g_00457	Praj.g_00476
OG0000438	Prae.g_00458	Praj.g_00477
OG0000439	Prae.g_00459	Praj.g_00478
OG0000440	Prae.g_00461	Praj.g_00479
OG0000441	Prae.g_00462	Praj.g_00480
OG0000442	Prae.g_00463	Praj.g_00481
OG0000443	Prae.g_00464	Praj.g_00482
OG0000444	Prae.g_00465	Praj.g_00483
OG0000445	Prae.g_00466	Praj.g_00484
OG0000446	Prae.g_00467	Praj.g_00485
OG0000447	Prae.g_00468	Praj.g_00486
OG0000448	Prae.g_00469	Praj.g_00487
OG0000449	Prae.g_00474	Praj.g_00492
OG0000450	Prae.g_00475	Praj.g_00493
OG0000451	Prae.g_00476	Praj.g_00494
OG0000452	Prae.g_00477	Praj.g_00495
OG0000453	Prae.g_00479	Praj.g_00497
OG0000454	Prae.g_00480	Praj.g_00498
OG0000455	Prae.g_00481	Praj.g_00499
OG0000456	Prae.g_00482	Praj.g_00500
OG0000457	Prae.g_00484	Praj.g_00502
OG0000458	Prae.g_00486	Praj.g_00504
OG0000459	Prae.g_00487	Praj.g_00505
OG0000460	Prae.g_00489	Praj.g_00507
OG0000461	Prae.g_00490	Praj.g_00508
OG0000462	Prae.g_00491	Praj.g_00509
OG0000463	Prae.g_00492	Praj.g_00511
OG0000464	Prae.g_00497	Praj.g_00515
OG0000465	Prae.g_00499	Praj.g_00516
OG0000466	Prae.g_00500	Praj.g_00517
OG0000467	Prae.g_00501	Praj.g_00518
OG0000468	Prae.g_00502	Praj.g_00519
OG0000469	Prae.g_00503	Praj.g_00520
OG0000470	Prae.g_00504	Praj.g_00521
OG0000471	Prae.g_00505	Praj.g_00522
OG0000472	Prae.g_00509	Praj.g_00525
OG0000473	Prae.g_00510	Praj.g_00526
OG0000474	Prae.g_00511	Praj.g_00527
OG0000475	Prae.g_00512	Praj.g_00528
OG0000476	Prae.g_00513	Praj.g_00529
OG0000477	Prae.g_00515	Praj.g_00531
OG0000478	Prae.g_00516	Praj.g_00532
OG0000479	Prae.g_00517	Praj.g_00533
OG0000480	Prae.g_00519	Praj.g_00535
OG0000481	Prae.g_00520	Praj.g_00536
OG0000482	Prae.g_00521	Praj.g_00537
OG0000483	Prae.g_00522	Praj.g_00538
OG0000484	Prae.g_00523	Praj.g_00539
OG0000485	Prae.g_00524	Praj.g_00540
OG0000486	Prae.g_00525	Praj.g_00541
OG0000487	Prae.g_00526	Praj.g_00542
OG0000488	Prae.g_00528	Praj.g_00544
OG0000489	Prae.g_00529	Praj.g_00545
OG0000490	Prae.g_00530	Praj.g_00546
OG0000491	Prae.g_00531	Praj.g_00547
OG0000492	Prae.g_00532	Praj.g_00548
OG0000493	Prae.g_00533	Praj.g_00549
OG0000494	Prae.g_00535	Praj.g_00551
OG0000495	Prae.g_00536	Praj.g_00552
OG0000496	Prae.g_00537	Praj.g_00553
OG0000497	Prae.g_00538	Praj.g_00554
OG0000498	Prae.g_00539	Praj.g_00555
OG0000499	Prae.g_00541	Praj.g_00557
OG0000500	Prae.g_00542	Praj.g_00558
OG0000501	Prae.g_00544	Praj.g_00560
OG0000502	Prae.g_00545	Praj.g_00561
OG0000503	Prae.g_00546	Praj.g_00562
OG0000504	Prae.g_00547	Praj.g_00563
OG0000505	Prae.g_00548	Praj.g_00564
OG0000506	Prae.g_00549	Praj.g_00565
OG0000507	Prae.g_00550	Praj.g_00566
OG0000508	Prae.g_00552	Praj.g_00567
OG0000509	Prae.g_00553	Praj.g_00568
OG0000510	Prae.g_00554	Praj.g_00569
OG0000511	Prae.g_00555	Praj.g_00570
OG0000512	Prae.g_00556	Praj.g_00571
OG0000513	Prae.g_00557	Praj.g_00572
OG0000514	Prae.g_00558	Praj.g_00573
OG0000515	Prae.g_00560	Praj.g_00574
OG0000516	Prae.g_00561	Praj.g_00575
OG0000517	Prae.g_00562	Praj.g_00576
OG0000518	Prae.g_00565	Praj.g_00578
OG0000519	Prae.g_00566	Praj.g_00579
OG0000520	Prae.g_00567	Praj.g_00581
OG0000521	Prae.g_00568	Praj.g_00580
OG0000522	Prae.g_00569	Praj.g_00582
OG0000523	Prae.g_00570	Praj.g_00583
OG0000524	Prae.g_00571	Praj.g_00584
OG0000525	Prae.g_00573	Praj.g_00586
OG0000526	Prae.g_00574	Praj.g_00587
OG0000527	Prae.g_00575	Praj.g_00588
OG0000528	Prae.g_00576	Praj.g_00589
OG0000529	Prae.g_00577	Praj.g_00590
OG0000530	Prae.g_00578	Praj.g_00591
OG0000531	Prae.g_00579	Praj.g_00593
OG0000532	Prae.g_00580	Praj.g_00594
OG0000533	Prae.g_00581	Praj.g_00595
OG0000534	Prae.g_00582	Praj.g_00596
OG0000535	Prae.g_00583	Praj.g_00597
OG0000536	Prae.g_00584	Praj.g_00598
OG0000537	Prae.g_00585	Praj.g_00599
OG0000538	Prae.g_00586	Praj.g_00600
OG0000539	Prae.g_00587	Praj.g_00601
OG0000540	Prae.g_00588	Praj.g_00602
OG0000541	Prae.g_00589	Praj.g_00603
OG0000542	Prae.g_00590	Praj.g_00604
OG0000543	Prae.g_00591	Praj.g_00605
OG0000544	Prae.g_00592	Praj.g_00606
OG0000545	Prae.g_00595	Praj.g_00609
OG0000546	Prae.g_00596	Praj.g_00610
OG0000547	Prae.g_00598	Praj.g_00611
OG0000548	Prae.g_00599	Praj.g_00613
OG0000549	Prae.g_00600	Praj.g_00614
OG0000550	Prae.g_00601	Praj.g_00615
OG0000551	Prae.g_00602	Praj.g_00616
OG0000552	Prae.g_00603	Praj.g_00617
OG0000553	Prae.g_00604	Praj.g_00618
OG0000554	Prae.g_00605	Praj.g_00619
OG0000555	Prae.g_00606	Praj.g_00620
OG0000556	Prae.g_00607	Praj.g_00621
OG0000557	Prae.g_00608	Praj.g_00622
OG0000558	Prae.g_00609	Praj.g_00623
OG0000559	Prae.g_00610	Praj.g_00624
OG0000560	Prae.g_00612	Praj.g_00626
OG0000561	Prae.g_00613	Praj.g_00627
OG0000562	Prae.g_00614	Praj.g_00628
OG0000563	Prae.g_00615	Praj.g_00629
OG0000564	Prae.g_00616	Praj.g_00630
OG0000565	Prae.g_00617	Praj.g_00631
OG0000566	Prae.g_00618	Praj.g_00632
OG0000567	Prae.g_00619	Praj.g_00633
OG0000568	Prae.g_00620	Praj.g_00634
OG0000569	Prae.g_00621	Praj.g_00635
OG0000570	Prae.g_00622	Praj.g_00636
