Orthogroup	Syaj	Syar
OG0000044	Syaj.g_01344	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Syaj.g_00132	Syar.g_02592
OG0000046	Syaj.g_02781	Syar.g_03233
OG0000048	Syaj.g_02578	Syar.g_00213
OG0000051	Syaj.g_02898	Syar.g_01597
OG0000052	Syaj.g_02476	Syar.g_02742, Syar.g_02751
OG0000053	Syaj.g_01409	Syar.g_01413
OG0000055	Syaj.g_00394	Syar.g_01386
OG0000056	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794, Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962	Syar.g_01662
OG0000057	Syaj.g_00438	Syar.g_00006
OG0000060	Syaj.g_01469, Syaj.g_00067	Syar.g_01260
OG0000061	Syaj.g_00302	Syar.g_01539
OG0000062	Syaj.g_01700	Syar.g_02911
OG0000063	Syaj.g_02302	Syar.g_00509
OG0000064	Syaj.g_01253	Syar.g_03117
OG0000065	Syaj.g_00007, Syaj.g_01887	Syar.g_03119
OG0000066	Syaj.g_00157	Syar.g_02228
OG0000067	Syaj.g_01023	Syar.g_02639
OG0000068	Syaj.g_00059	Syar.g_02329, Syar.g_01461
OG0000070	Syaj.g_01529	Syar.g_02223
OG0000071	Syaj.g_01511	Syar.g_02777
OG0000072	Syaj.g_01992	Syar.g_00107
OG0000073	Syaj.g_00093	Syar.g_01493
OG0000075	Syaj.g_02457	Syar.g_03065, Syar.g_00659
OG0000076	Syaj.g_02417	Syar.g_00608
OG0000077	Syaj.g_01831	Syar.g_03051
OG0000078	Syaj.g_02880	Syar.g_01366, Syar.g_03265
OG0000079	Syaj.g_02609	Syar.g_00166
OG0000081	Syaj.g_02888	Syar.g_01898
OG0000082	Syaj.g_00229	Syar.g_02202
OG0000085	Syaj.g_01707	Syar.g_02919
OG0000086	Syaj.g_01848	Syar.g_03085
OG0000087	Syaj.g_01945	Syar.g_00068
OG0000088	Syaj.g_01986	Syar.g_00101
OG0000089	Syaj.g_02829, Syaj.g_01915	Syar.g_01162
OG0000090	Syaj.g_00144	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syaj.g_01275	Syar.g_01891, Syar.g_02426
OG0000092	Syaj.g_00339	Syar.g_01960
OG0000093	Syaj.g_01042	Syar.g_02623
OG0000094	Syaj.g_00804	Syar.g_01789
OG0000095	Syaj.g_00427	Syar.g_01932
OG0000097	Syaj.g_00589	Syar.g_01706
OG0000098	Syaj.g_02671	Syar.g_02343
OG0000099	Syaj.g_02503	Syar.g_00715
OG0000100	Syaj.g_00987	Syar.g_02477
OG0000101	Syaj.g_02738	Syar.g_03154
OG0000102	Syaj.g_02411	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syaj.g_02243	Syar.g_00014
OG0000104	Syaj.g_02258	Syar.g_00466
OG0000105	Syaj.g_02573	Syar.g_00218
OG0000106	Syaj.g_01130	Syar.g_01748
OG0000107	Syaj.g_02637	Syar.g_00149
OG0000108	Syaj.g_00072	Syar.g_01469
OG0000109	Syaj.g_00087	Syar.g_03310
OG0000110	Syaj.g_00215	Syar.g_02295
OG0000111	Syaj.g_00437	Syar.g_01940, Syar.g_00005
OG0000112	Syaj.g_00907	Syar.g_02548
OG0000113	Syaj.g_00992	Syar.g_02664
OG0000114	Syaj.g_00741	Syar.g_01616
OG0000115	Syaj.g_01402	Syar.g_02854, Syar.g_01415
OG0000116	Syaj.g_00289	Syar.g_01525, Syar.g_02255
OG0000117	Syaj.g_00637	Syar.g_01969
OG0000118	Syaj.g_00267	Syar.g_02793
OG0000120	Syaj.g_02502	Syar.g_00713
OG0000121	Syaj.g_01383	Syar.g_02806
OG0000123	Syaj.g_02745	Syar.g_01079
OG0000124	Syaj.g_02388	Syar.g_00586
OG0000125	Syaj.g_02117	Syar.g_00338
OG0000126	Syaj.g_02256	Syar.g_00887, Syar.g_00888
OG0000128	Syaj.g_02274	Syar.g_00482
OG0000129	Syaj.g_02106	Syar.g_00324
OG0000130	Syaj.g_01818	Syar.g_03040
OG0000131	Syaj.g_01964	Syar.g_00078, Syar.g_02216
OG0000132	Syaj.g_01984, Syaj.g_00688	Syar.g_00099
OG0000133	Syaj.g_00902	Syar.g_02543
OG0000134	Syaj.g_02832	Syar.g_01165
OG0000135	Syaj.g_02167	Syar.g_00698
OG0000136	Syaj.g_01550	Syar.g_02874
OG0000137	Syaj.g_01444	Syar.g_01273
OG0000138	Syaj.g_02631, Syaj.g_00088	Syar.g_01486
OG0000139	Syaj.g_00150	Syar.g_03245
OG0000140	Syaj.g_00153	Syar.g_02344, Syar.g_03246
OG0000141	Syaj.g_01340	Syar.g_02129
OG0000142	Syaj.g_01283	Syar.g_02418
OG0000143	Syaj.g_01279	Syar.g_02422
OG0000144	Syaj.g_01151	Syar.g_02441
OG0000145	Syaj.g_00094	Syar.g_01494
OG0000146	Syaj.g_00908	Syar.g_02549
OG0000147	Syaj.g_00909	Syar.g_02550
OG0000148	Syaj.g_01003	Syar.g_02658
OG0000149	Syaj.g_00369	Syar.g_01830
OG0000150	Syaj.g_01339, Syaj.g_00154	Syar.g_02130
OG0000151	Syaj.g_01074	Syar.g_02038
OG0000152	Syaj.g_00898	Syar.g_02539
OG0000153	Syaj.g_00842	Syar.g_02503
OG0000154	Syaj.g_00814	Syar.g_01800
OG0000155	Syaj.g_00338	Syar.g_01959
OG0000156	Syaj.g_00282	Syar.g_01517
OG0000157	Syaj.g_00281	Syar.g_01516
OG0000158	Syaj.g_02445	Syar.g_00650
OG0000160	Syaj.g_01382	Syar.g_02807
OG0000161	Syaj.g_01389	Syar.g_02801
OG0000162	Syaj.g_01395	Syar.g_02863
OG0000163	Syaj.g_01639	Syar.g_01186
OG0000164	Syaj.g_01758	Syar.g_03168
OG0000165	Syaj.g_01582	Syar.g_02976
OG0000166	Syaj.g_02698	Syar.g_01034
OG0000167	Syaj.g_02460	Syar.g_00662
OG0000168	Syaj.g_02444	Syar.g_00246
OG0000169	Syaj.g_02431, Syaj.g_02429	Syar.g_00262
OG0000170	Syaj.g_02422	Syar.g_00613
OG0000171	Syaj.g_02389	Syar.g_00587
OG0000172	Syaj.g_02365	Syar.g_00547
OG0000173	Syaj.g_02321	Syar.g_00528
OG0000174	Syaj.g_02169	Syar.g_00701
OG0000175	Syaj.g_02229	Syar.g_00438
OG0000176	Syaj.g_02266	Syar.g_00474
OG0000177	Syaj.g_02267	Syar.g_00475
OG0000178	Syaj.g_02268	Syar.g_00476
OG0000179	Syaj.g_02283	Syar.g_00489
OG0000180	Syaj.g_02284	Syar.g_00490
OG0000181	Syaj.g_02285	Syar.g_00491
OG0000182	Syaj.g_02286	Syar.g_00492
OG0000183	Syaj.g_02290	Syar.g_00496
OG0000184	Syaj.g_02098	Syar.g_00897
OG0000185	Syaj.g_02087	Syar.g_00909
OG0000186	Syaj.g_01812	Syar.g_03036
OG0000187	Syaj.g_01814	Syar.g_03038
OG0000188	Syaj.g_01837	Syar.g_03058
OG0000189	Syaj.g_01874	Syar.g_03104
OG0000190	Syaj.g_01876	Syar.g_03107, Syar.g_02374
OG0000191	Syaj.g_01910	Syar.g_00039
OG0000192	Syaj.g_01919	Syar.g_00046
OG0000193	Syaj.g_01965	Syar.g_00079
OG0000194	Syaj.g_01968	Syar.g_00082
OG0000195	Syaj.g_01971	Syar.g_00023
OG0000196	Syaj.g_01981	Syar.g_00096
OG0000197	Syaj.g_01982	Syar.g_00097
OG0000198	Syaj.g_01983	Syar.g_00098
OG0000199	Syaj.g_01991	Syar.g_00106
OG0000200	Syaj.g_02008	Syar.g_00124
OG0000201	Syaj.g_02024	Syar.g_01000
OG0000202	Syaj.g_02025	Syar.g_00998
OG0000203	Syaj.g_02026	Syar.g_00997, Syar.g_00020
OG0000204	Syaj.g_02027	Syar.g_00996
OG0000205	Syaj.g_02035	Syar.g_00988
OG0000206	Syaj.g_02043	Syar.g_00963
OG0000207	Syaj.g_02045	Syar.g_00957
OG0000208	Syaj.g_02046	Syar.g_00956
OG0000209	Syaj.g_02070	Syar.g_00936, Syar.g_03261
OG0000210	Syaj.g_02071	Syar.g_00935
OG0000211	Syaj.g_02856	Syar.g_03026
OG0000212	Syaj.g_02881	Syar.g_03017
OG0000213	Syaj.g_02601	Syar.g_00187
OG0000214	Syaj.g_02582	Syar.g_00209
OG0000215	Syaj.g_02551	Syar.g_00239
OG0000216	Syaj.g_02547	Syar.g_00244
OG0000217	Syaj.g_02543	Syar.g_00854
OG0000218	Syaj.g_02541	Syar.g_00852
OG0000219	Syaj.g_02540	Syar.g_00851
OG0000220	Syaj.g_02539	Syar.g_00850, Syar.g_02026
OG0000221	Syaj.g_02530	Syar.g_00834
OG0000222	Syaj.g_02516	Syar.g_02119, Syar.g_00728
OG0000223	Syaj.g_02494	Syar.g_00649
OG0000224	Syaj.g_02487	Syar.g_00273, Syar.g_00762
OG0000225	Syaj.g_02821	Syar.g_01142
OG0000226	Syaj.g_02825	Syar.g_01146
OG0000227	Syaj.g_02827	Syar.g_01148
OG0000228	Syaj.g_02828	Syar.g_01161
OG0000229	Syaj.g_01555	Syar.g_01177, Syar.g_03273
OG0000230	Syaj.g_01553	Syar.g_01179
OG0000231	Syaj.g_01541	Syar.g_03151
OG0000232	Syaj.g_01497	Syar.g_01424
OG0000233	Syaj.g_01481	Syar.g_01247
OG0000234	Syaj.g_01442	Syar.g_01275
OG0000235	Syaj.g_00071	Syar.g_01468
OG0000236	Syaj.g_00086	Syar.g_01484
OG0000237	Syaj.g_00103	Syar.g_01503
OG0000238	Syaj.g_00108	Syar.g_01508
OG0000239	Syaj.g_00125	Syar.g_02687
OG0000240	Syaj.g_00126	Syar.g_02686, Syar.g_03278
OG0000241	Syaj.g_01291	Syar.g_02410
OG0000242	Syaj.g_00142	Syar.g_01926
OG0000243	Syaj.g_00164	Syar.g_02335
OG0000244	Syaj.g_00180	Syar.g_02327
OG0000245	Syaj.g_00182	Syar.g_02325
OG0000246	Syaj.g_00186	Syar.g_02321
OG0000247	Syaj.g_00197	Syar.g_02310
OG0000248	Syaj.g_00200	Syar.g_02307, Syar.g_03293
OG0000249	Syaj.g_00202	Syar.g_02305
OG0000250	Syaj.g_00211	Syar.g_02299
OG0000251	Syaj.g_00237	Syar.g_02194
OG0000252	Syaj.g_00243	Syar.g_02189, Syar.g_03263
OG0000253	Syaj.g_00245	Syar.g_02028
OG0000254	Syaj.g_01335	Syar.g_02169
OG0000255	Syaj.g_01315	Syar.g_02224
OG0000256	Syaj.g_01297	Syar.g_02244
OG0000257	Syaj.g_01292	Syar.g_02407, Syar.g_01762
OG0000258	Syaj.g_01274	Syar.g_02427
OG0000259	Syaj.g_00707	Syar.g_02472
OG0000260	Syaj.g_00712	Syar.g_02475
OG0000261	Syaj.g_00715	Syar.g_01916
OG0000262	Syaj.g_00720	Syar.g_01690
OG0000263	Syaj.g_00605	Syar.g_01991
OG0000264	Syaj.g_00485	Syar.g_02135
OG0000266	Syaj.g_00946	Syar.g_01570
OG0000267	Syaj.g_00770	Syar.g_01873
OG0000268	Syaj.g_00771	Syar.g_02589
OG0000269	Syaj.g_01031	Syar.g_02634
OG0000270	Syaj.g_01025	Syar.g_00744, Syar.g_02637
OG0000271	Syaj.g_01017	Syar.g_02645
OG0000272	Syaj.g_01016	Syar.g_02646
OG0000273	Syaj.g_00389	Syar.g_00008
OG0000274	Syaj.g_00388	Syar.g_02482
OG0000275	Syaj.g_00384	Syar.g_01810
OG0000276	Syaj.g_00377	Syar.g_01817
OG0000277	Syaj.g_00376	Syar.g_03242
OG0000278	Syaj.g_00373	Syar.g_01821
OG0000279	Syaj.g_00357	Syar.g_01838
OG0000280	Syaj.g_00348	Syar.g_02067, Syar.g_00734
OG0000281	Syaj.g_02670	Syar.g_02218
OG0000282	Syaj.g_00743	Syar.g_01614
OG0000283	Syaj.g_00790	Syar.g_02574
OG0000284	Syaj.g_00930	Syar.g_03258, Syar.g_02568
OG0000285	Syaj.g_00917	Syar.g_02560
OG0000286	Syaj.g_00899	Syar.g_02540
OG0000287	Syaj.g_00849	Syar.g_02512
OG0000288	Syaj.g_00815	Syar.g_01801
OG0000289	Syaj.g_00800	Syar.g_01786
OG0000290	Syaj.g_00424	Syar.g_01928
OG0000291	Syaj.g_00426	Syar.g_01930
OG0000292	Syaj.g_02255	Syar.g_00463
OG0000293	Syaj.g_00290	Syar.g_01526, Syar.g_03297
OG0000294	Syaj.g_00291	Syar.g_03296
OG0000295	Syaj.g_00330	Syar.g_01951, Syar.g_03208
OG0000296	Syaj.g_00332	Syar.g_01953
OG0000297	Syaj.g_00639	Syar.g_03216
OG0000298	Syaj.g_00638	Syar.g_03215
OG0000299	Syaj.g_00592	Syar.g_01704
OG0000300	Syaj.g_00586	Syar.g_01646
OG0000301	Syaj.g_00585	Syar.g_01712
OG0000302	Syaj.g_00582	Syar.g_01713
OG0000303	Syaj.g_00572	Syar.g_01723
OG0000304	Syaj.g_00566	Syar.g_01728
OG0000305	Syaj.g_00429	Syar.g_01933, Syar.g_03163
OG0000306	Syaj.g_01126	Syar.g_01884
OG0000307	Syaj.g_00051	Syar.g_01452
OG0000308	Syaj.g_00049	Syar.g_01450
OG0000309	Syaj.g_00044	Syar.g_01239
OG0000310	Syaj.g_01358	Syar.g_02826
OG0000311	Syaj.g_01362	Syar.g_02823
OG0000312	Syaj.g_01368	Syar.g_02818
OG0000313	Syaj.g_01386	Syar.g_02804
OG0000314	Syaj.g_01420	Syar.g_01403
OG0000315	Syaj.g_01430	Syar.g_01393
OG0000316	Syaj.g_01664	Syar.g_02885
OG0000317	Syaj.g_01715	Syar.g_02926
OG0000318	Syaj.g_01722	Syar.g_02930
OG0000319	Syaj.g_01741	Syar.g_02954
OG0000320	Syaj.g_01743	Syar.g_02956
OG0000321	Syaj.g_01744	Syar.g_02957
OG0000322	Syaj.g_01745	Syar.g_02958
OG0000323	Syaj.g_01760	Syar.g_02973
OG0000324	Syaj.g_01609	Syar.g_00350, Syar.g_03001
OG0000325	Syaj.g_02638	Syar.g_00148
OG0000326	Syaj.g_02645	Syar.g_03134
OG0000327	Syaj.g_02693	Syar.g_01029
OG0000328	Syaj.g_02694	Syar.g_01030
OG0000329	Syaj.g_02712	Syar.g_03189
OG0000330	Syaj.g_02713	Syar.g_01049
OG0000331	Syaj.g_02714	Syar.g_03191
OG0000332	Syaj.g_02729	Syar.g_03299
OG0000333	Syaj.g_02732	Syar.g_01067
OG0000334	Syaj.g_02741	Syar.g_01076
OG0000335	Syaj.g_02746	Syar.g_01080
OG0000336	Syaj.g_02750	Syar.g_01084
OG0000337	Syaj.g_02466	Syar.g_00285
OG0000338	Syaj.g_02462	Syar.g_00287
OG0000339	Syaj.g_02455	Syar.g_00658
OG0000340	Syaj.g_02443	Syar.g_00247
OG0000341	Syaj.g_02441	Syar.g_00249
OG0000342	Syaj.g_02440	Syar.g_00250
OG0000343	Syaj.g_02437	Syar.g_00256
OG0000344	Syaj.g_02433	Syar.g_00260
OG0000345	Syaj.g_02421	Syar.g_00612
OG0000346	Syaj.g_02416	Syar.g_00607
OG0000347	Syaj.g_02383	Syar.g_00558
OG0000348	Syaj.g_02333	Syar.g_00544
OG0000349	Syaj.g_02314	Syar.g_00521
OG0000350	Syaj.g_02652	Syar.g_00132
OG0000351	Syaj.g_02234	Syar.g_00442
OG0000352	Syaj.g_02235	Syar.g_00443
OG0000353	Syaj.g_02261	Syar.g_00469
OG0000354	Syaj.g_00114	Syar.g_01514
OG0000354	Syaj.g_02281	Syar.g_00487
OG0000355	Syaj.g_02263	Syar.g_00471
OG0000356	Syaj.g_02264	Syar.g_00472
OG0000357	Syaj.g_02265	Syar.g_00473
OG0000358	Syaj.g_02269	Syar.g_00477
OG0000359	Syaj.g_02271	Syar.g_00479
OG0000360	Syaj.g_02272	Syar.g_00480
OG0000361	Syaj.g_02273	Syar.g_00481
OG0000362	Syaj.g_02275	Syar.g_00483
OG0000363	Syaj.g_02277	Syar.g_00484
OG0000364	Syaj.g_02278	Syar.g_02928
OG0000365	Syaj.g_02287	Syar.g_00493
OG0000366	Syaj.g_02288	Syar.g_00494
OG0000367	Syaj.g_02289	Syar.g_00495
OG0000368	Syaj.g_02291	Syar.g_00497
OG0000369	Syaj.g_02292	Syar.g_00498
OG0000370	Syaj.g_02293	Syar.g_00499
OG0000371	Syaj.g_02301	Syar.g_00508
OG0000372	Syaj.g_02307	Syar.g_00514
OG0000373	Syaj.g_02308	Syar.g_00515
OG0000374	Syaj.g_02309	Syar.g_00516
OG0000375	Syaj.g_02310	Syar.g_00517
OG0000376	Syaj.g_02312	Syar.g_00519
OG0000377	Syaj.g_02105	Syar.g_00322
OG0000378	Syaj.g_02091	Syar.g_00905
OG0000379	Syaj.g_02086	Syar.g_00910
OG0000380	Syaj.g_01815	Syar.g_03039
OG0000381	Syaj.g_01819	Syar.g_03041
OG0000382	Syaj.g_01836	Syar.g_03057
OG0000383	Syaj.g_01839	Syar.g_03074
OG0000384	Syaj.g_01840	Syar.g_03075
OG0000385	Syaj.g_01841	Syar.g_03076
OG0000386	Syaj.g_01842	Syar.g_03077
OG0000387	Syaj.g_01878	Syar.g_03109
OG0000388	Syaj.g_01882	Syar.g_03113
OG0000389	Syaj.g_01886	Syar.g_03118
OG0000390	Syaj.g_01904	Syar.g_00033
OG0000391	Syaj.g_01909	Syar.g_00038
OG0000392	Syaj.g_01918	Syar.g_00045
OG0000393	Syaj.g_01922	Syar.g_00048
OG0000394	Syaj.g_01923	Syar.g_00049
OG0000395	Syaj.g_01924	Syar.g_00050
OG0000396	Syaj.g_01928	Syar.g_00053
OG0000397	Syaj.g_01930	Syar.g_00055
OG0000398	Syaj.g_01935	Syar.g_00060
OG0000399	Syaj.g_01936	Syar.g_00061
OG0000400	Syaj.g_01937	Syar.g_00062
OG0000401	Syaj.g_01938	Syar.g_00063
OG0000402	Syaj.g_01940	Syar.g_00065
OG0000403	Syaj.g_01941	Syar.g_00066
OG0000404	Syaj.g_01943	Syar.g_00067
OG0000405	Syaj.g_01961	Syar.g_00076
OG0000406	Syaj.g_01966	Syar.g_00080
OG0000407	Syaj.g_01967	Syar.g_00081
OG0000408	Syaj.g_01970	Syar.g_00083
OG0000409	Syaj.g_01972	Syar.g_00085
OG0000410	Syaj.g_01973	Syar.g_00086
OG0000411	Syaj.g_01974	Syar.g_00087
OG0000412	Syaj.g_01975	Syar.g_00088
OG0000413	Syaj.g_01977	Syar.g_00090
OG0000415	Syaj.g_01978	Syar.g_00092
OG0000416	Syaj.g_01979	Syar.g_00093
OG0000417	Syaj.g_01980	Syar.g_00095
OG0000418	Syaj.g_01985	Syar.g_00100
OG0000419	Syaj.g_01987	Syar.g_00102
OG0000420	Syaj.g_01989	Syar.g_00104
OG0000421	Syaj.g_01994	Syar.g_00109
OG0000422	Syaj.g_01995	Syar.g_00110
OG0000423	Syaj.g_01996	Syar.g_00111
OG0000424	Syaj.g_01997	Syar.g_00112
OG0000425	Syaj.g_01998	Syar.g_00113
OG0000426	Syaj.g_01999	Syar.g_00114
OG0000427	Syaj.g_02000	Syar.g_00115
OG0000428	Syaj.g_02003	Syar.g_00118
OG0000429	Syaj.g_02005	Syar.g_00121
OG0000430	Syaj.g_02007	Syar.g_00123
OG0000431	Syaj.g_02010	Syar.g_00127
OG0000432	Syaj.g_02017	Syar.g_01009
OG0000433	Syaj.g_02020	Syar.g_01007
OG0000434	Syaj.g_02021	Syar.g_01006
OG0000435	Syaj.g_02023	Syar.g_01003
OG0000436	Syaj.g_02029	Syar.g_00994
OG0000437	Syaj.g_02030	Syar.g_00993
OG0000438	Syaj.g_02031	Syar.g_00992
OG0000439	Syaj.g_02033	Syar.g_00990
OG0000440	Syaj.g_02034	Syar.g_00989
OG0000441	Syaj.g_02038	Syar.g_00986
OG0000442	Syaj.g_02039	Syar.g_00977
OG0000443	Syaj.g_02040	Syar.g_00964
OG0000444	Syaj.g_02052	Syar.g_00954
OG0000445	Syaj.g_02053	Syar.g_00953
OG0000446	Syaj.g_02055	Syar.g_00951
OG0000447	Syaj.g_02058	Syar.g_00948
OG0000448	Syaj.g_02059	Syar.g_00947
OG0000449	Syaj.g_02060	Syar.g_00946
OG0000450	Syaj.g_02067	Syar.g_00939
OG0000451	Syaj.g_02068	Syar.g_00938
OG0000452	Syaj.g_02072	Syar.g_00934
OG0000453	Syaj.g_02073	Syar.g_00933
OG0000454	Syaj.g_02074	Syar.g_00932
OG0000455	Syaj.g_02075	Syar.g_00931
OG0000456	Syaj.g_02076	Syar.g_00930
OG0000457	Syaj.g_02078	Syar.g_00928
OG0000458	Syaj.g_02079	Syar.g_00918
OG0000459	Syaj.g_02080	Syar.g_00917
OG0000460	Syaj.g_02858	Syar.g_03024
OG0000461	Syaj.g_02623	Syar.g_00153
OG0000462	Syaj.g_02620	Syar.g_00155
OG0000463	Syaj.g_02619	Syar.g_00156
OG0000464	Syaj.g_02618	Syar.g_00157
OG0000465	Syaj.g_02617	Syar.g_00159
OG0000466	Syaj.g_02612	Syar.g_00164
OG0000467	Syaj.g_02610	Syar.g_00165
OG0000468	Syaj.g_02605	Syar.g_00170
OG0000469	Syaj.g_02590	Syar.g_00203
OG0000470	Syaj.g_02586	Syar.g_00206
OG0000471	Syaj.g_02585	Syar.g_00207
OG0000472	Syaj.g_02583	Syar.g_00208
OG0000473	Syaj.g_02581	Syar.g_00210
OG0000474	Syaj.g_02580	Syar.g_00211
OG0000475	Syaj.g_02579	Syar.g_00212
OG0000476	Syaj.g_02577	Syar.g_00214
OG0000477	Syaj.g_02571	Syar.g_00219
OG0000478	Syaj.g_02570	Syar.g_00220
OG0000479	Syaj.g_02569	Syar.g_00221
OG0000480	Syaj.g_02562	Syar.g_00228
OG0000481	Syaj.g_02560	Syar.g_00230
OG0000482	Syaj.g_02559	Syar.g_00231
OG0000483	Syaj.g_02555	Syar.g_00235
OG0000484	Syaj.g_02554	Syar.g_00236
OG0000485	Syaj.g_02553	Syar.g_00237
OG0000486	Syaj.g_02552	Syar.g_00238
OG0000487	Syaj.g_02546	Syar.g_00245
OG0000488	Syaj.g_02542	Syar.g_00853
OG0000489	Syaj.g_02529	Syar.g_00833
OG0000490	Syaj.g_02519	Syar.g_00823
OG0000491	Syaj.g_02517	Syar.g_00822
OG0000492	Syaj.g_02515	Syar.g_00727
OG0000493	Syaj.g_02514	Syar.g_00726
OG0000494	Syaj.g_02513	Syar.g_00725
OG0000495	Syaj.g_02512	Syar.g_00724
OG0000496	Syaj.g_02511	Syar.g_00723
OG0000497	Syaj.g_02510	Syar.g_00722
OG0000498	Syaj.g_02509	Syar.g_00721
OG0000499	Syaj.g_02508	Syar.g_00720
OG0000500	Syaj.g_02507	Syar.g_00719
OG0000501	Syaj.g_02504	Syar.g_00716
OG0000502	Syaj.g_02492	Syar.g_00275
OG0000503	Syaj.g_02805	Syar.g_01118
OG0000504	Syaj.g_02807	Syar.g_01120
OG0000505	Syaj.g_02808	Syar.g_01121
OG0000506	Syaj.g_02810	Syar.g_01123
OG0000507	Syaj.g_02816	Syar.g_01129
OG0000508	Syaj.g_02820	Syar.g_01141
OG0000509	Syaj.g_02822	Syar.g_01143
OG0000510	Syaj.g_02823	Syar.g_01144
OG0000511	Syaj.g_02824	Syar.g_01145
OG0000512	Syaj.g_02826	Syar.g_01147
OG0000513	Syaj.g_02833	Syar.g_01166
OG0000514	Syaj.g_02839	Syar.g_01169
OG0000515	Syaj.g_02840	Syar.g_01170
OG0000516	Syaj.g_01561	Syar.g_01172
OG0000517	Syaj.g_01556	Syar.g_01176
OG0000518	Syaj.g_01544	Syar.g_02868
OG0000519	Syaj.g_01543	Syar.g_02867
OG0000520	Syaj.g_01542	Syar.g_02866
OG0000521	Syaj.g_00271	Syar.g_01419
OG0000522	Syaj.g_00273	Syar.g_01421
OG0000523	Syaj.g_00274	Syar.g_01422
OG0000524	Syaj.g_01485	Syar.g_01244
OG0000525	Syaj.g_01454	Syar.g_01263
OG0000526	Syaj.g_01451	Syar.g_01266
OG0000527	Syaj.g_01446	Syar.g_01271
OG0000528	Syaj.g_00065	Syar.g_01466
OG0000529	Syaj.g_00073	Syar.g_01470
OG0000530	Syaj.g_00076	Syar.g_01473
OG0000531	Syaj.g_00077	Syar.g_01474
OG0000532	Syaj.g_00080	Syar.g_01477
OG0000533	Syaj.g_00081	Syar.g_01479
OG0000534	Syaj.g_00082	Syar.g_01480
OG0000535	Syaj.g_00083	Syar.g_01481
OG0000536	Syaj.g_00084	Syar.g_01482
OG0000537	Syaj.g_00085	Syar.g_01483
OG0000538	Syaj.g_00096	Syar.g_01496
OG0000539	Syaj.g_00097	Syar.g_01497
OG0000540	Syaj.g_00098	Syar.g_01498
OG0000541	Syaj.g_00099	Syar.g_01499
OG0000542	Syaj.g_00102	Syar.g_01502
OG0000543	Syaj.g_00104	Syar.g_01504
OG0000544	Syaj.g_00105	Syar.g_01505
OG0000545	Syaj.g_00107	Syar.g_01507
OG0000546	Syaj.g_00109	Syar.g_01509
OG0000547	Syaj.g_00111	Syar.g_01511
OG0000548	Syaj.g_00112	Syar.g_01512
OG0000549	Syaj.g_00118	Syar.g_02693
OG0000550	Syaj.g_00123	Syar.g_02689
OG0000551	Syaj.g_00128	Syar.g_02684
