Orthogroup	Syaj	Prbh
OG0000189	Syaj.g_01874	Prbh.g_00687
OG0000190	Syaj.g_01876	Prbh.g_00686
OG0000191	Syaj.g_01910	Prbh.g_00664
OG0000192	Syaj.g_01919	Prbh.g_00659
OG0000193	Syaj.g_01965	Prbh.g_00636
OG0000194	Syaj.g_01968	Prbh.g_00633
OG0000195	Syaj.g_01971	Prbh.g_00631
OG0000196	Syaj.g_01981	Prbh.g_00621
OG0000197	Syaj.g_01982	Prbh.g_00620
OG0000198	Syaj.g_01983	Prbh.g_00619
OG0000199	Syaj.g_01991	Prbh.g_00612
OG0000200	Syaj.g_02008	Prbh.g_00599
OG0000201	Syaj.g_02024	Prbh.g_00590
OG0000202	Syaj.g_02025	Prbh.g_00589
OG0000203	Syaj.g_02026	Prbh.g_00588
OG0000204	Syaj.g_02027	Prbh.g_00587
OG0000205	Syaj.g_02035	Prbh.g_00580
OG0000206	Syaj.g_02043	Prbh.g_00575
OG0000207	Syaj.g_02045	Prbh.g_00573
OG0000208	Syaj.g_02046	Prbh.g_00572
OG0000209	Syaj.g_02070	Prbh.g_00563
OG0000210	Syaj.g_02071	Prbh.g_00562
OG0000211	Syaj.g_02856	Prbh.g_00547
OG0000212	Syaj.g_02881	Prbh.g_00539
OG0000213	Syaj.g_02601	Prbh.g_00521
OG0000214	Syaj.g_02582	Prbh.g_00512
OG0000215	Syaj.g_02551	Prbh.g_00485
OG0000216	Syaj.g_02547	Prbh.g_00484
OG0000217	Syaj.g_02543	Prbh.g_00481
OG0000218	Syaj.g_02541	Prbh.g_00479
OG0000219	Syaj.g_02540	Prbh.g_00478
OG0000220	Syaj.g_02539	Prbh.g_00477
OG0000221	Syaj.g_02530	Prbh.g_00476
OG0000222	Syaj.g_02516	Prbh.g_00469
OG0000223	Syaj.g_02494	Prbh.g_00456
OG0000224	Syaj.g_02487	Prbh.g_00454
OG0000225	Syaj.g_02821	Prbh.g_00426
OG0000226	Syaj.g_02825	Prbh.g_00422
OG0000227	Syaj.g_02827	Prbh.g_00420
OG0000228	Syaj.g_02828	Prbh.g_00416
OG0000229	Syaj.g_01555	Prbh.g_00396
OG0000230	Syaj.g_01553	Prbh.g_00394
OG0000231	Syaj.g_01541	Prbh.g_00383
OG0000232	Syaj.g_01497	Prbh.g_00370
OG0000233	Syaj.g_01481	Prbh.g_00365
OG0000234	Syaj.g_01442	Prbh.g_00355
OG0000235	Syaj.g_00071	Prbh.g_00352
OG0000236	Syaj.g_00086	Prbh.g_00338
OG0000237	Syaj.g_00103	Prbh.g_00324
OG0000238	Syaj.g_00108	Prbh.g_00318
OG0000239	Syaj.g_00125	Prbh.g_00305
OG0000240	Syaj.g_00126	Prbh.g_00304
OG0000241	Syaj.g_01291	Prbh.g_00299
OG0000242	Syaj.g_00142	Prbh.g_00297
OG0000243	Syaj.g_00164	Prbh.g_00287
OG0000244	Syaj.g_00180	Prbh.g_00284
OG0000245	Syaj.g_00182	Prbh.g_00282
OG0000246	Syaj.g_00186	Prbh.g_00278
OG0000247	Syaj.g_00197	Prbh.g_00267
OG0000248	Syaj.g_00200	Prbh.g_00264
OG0000249	Syaj.g_00202	Prbh.g_00262
OG0000250	Syaj.g_00211	Prbh.g_00257
OG0000251	Syaj.g_00237	Prbh.g_00239
OG0000252	Syaj.g_00243	Prbh.g_00236
OG0000253	Syaj.g_00245	Prbh.g_00235
OG0000254	Syaj.g_01335	Prbh.g_00218
OG0000255	Syaj.g_01315	Prbh.g_00212
OG0000256	Syaj.g_01297	Prbh.g_01455
OG0000257	Syaj.g_01292	Prbh.g_01223
OG0000258	Syaj.g_01274	Prbh.g_01210
OG0000259	Syaj.g_00707	Prbh.g_01193
OG0000260	Syaj.g_00712	Prbh.g_01190
OG0000261	Syaj.g_00715	Prbh.g_01187
OG0000262	Syaj.g_00720	Prbh.g_01182
OG0000263	Syaj.g_00605	Prbh.g_00915
OG0000264	Syaj.g_00485	Prbh.g_00926
OG0000265	Syaj.g_00510	Prbh.g_00945
OG0000266	Syaj.g_00946	Prbh.g_01163
OG0000267	Syaj.g_00770	Prbh.g_01150
OG0000268	Syaj.g_00771	Prbh.g_01149
OG0000269	Syaj.g_01031	Prbh.g_00948
OG0000270	Syaj.g_01025	Prbh.g_00951
OG0000271	Syaj.g_01017	Prbh.g_00959
OG0000272	Syaj.g_01016	Prbh.g_00960
OG0000273	Syaj.g_00389	Prbh.g_00983
OG0000274	Syaj.g_00388	Prbh.g_00984
OG0000275	Syaj.g_00384	Prbh.g_00987
OG0000276	Syaj.g_00377	Prbh.g_00993
OG0000277	Syaj.g_00376	Prbh.g_00994
OG0000278	Syaj.g_00373	Prbh.g_00997
OG0000279	Syaj.g_00357	Prbh.g_01005
OG0000280	Syaj.g_00348	Prbh.g_01006
OG0000281	Syaj.g_02670	Prbh.g_01013
OG0000282	Syaj.g_00743	Prbh.g_00880
OG0000283	Syaj.g_00790	Prbh.g_01059
OG0000284	Syaj.g_00930	Prbh.g_01064
OG0000285	Syaj.g_00917	Prbh.g_01069
OG0000286	Syaj.g_00899	Prbh.g_01085
OG0000287	Syaj.g_00849	Prbh.g_01342
OG0000288	Syaj.g_00815	Prbh.g_01120
OG0000289	Syaj.g_00800	Prbh.g_01135
OG0000290	Syaj.g_00424	Prbh.g_01034
OG0000291	Syaj.g_00426	Prbh.g_01032
OG0000292	Syaj.g_02255	Prbh.g_01328
OG0000293	Syaj.g_00290	Prbh.g_01293
OG0000294	Syaj.g_00291	Prbh.g_01292
OG0000295	Syaj.g_00330	Prbh.g_01268
OG0000296	Syaj.g_00332	Prbh.g_01266
OG0000297	Syaj.g_00639	Prbh.g_01257
OG0000298	Syaj.g_00638	Prbh.g_01256
OG0000299	Syaj.g_00592	Prbh.g_01237
OG0000300	Syaj.g_00586	Prbh.g_01234
OG0000301	Syaj.g_00585	Prbh.g_01233
OG0000302	Syaj.g_00582	Prbh.g_01231
OG0000303	Syaj.g_00572	Prbh.g_01225
OG0000304	Syaj.g_00566	Prbh.g_01450
OG0000305	Syaj.g_00429	Prbh.g_01326
OG0000306	Syaj.g_01126	Prbh.g_01017
OG0000307	Syaj.g_00051	Prbh.g_00019
OG0000308	Syaj.g_00049	Prbh.g_00020
OG0000309	Syaj.g_00044	Prbh.g_00024
OG0000310	Syaj.g_01358	Prbh.g_00082
OG0000311	Syaj.g_01362	Prbh.g_00084
OG0000312	Syaj.g_01368	Prbh.g_00087
OG0000313	Syaj.g_01386	Prbh.g_00103
OG0000314	Syaj.g_01420	Prbh.g_00126
OG0000315	Syaj.g_01430	Prbh.g_00136
OG0000316	Syaj.g_01664	Prbh.g_00162
OG0000317	Syaj.g_01715	Prbh.g_01785
OG0000318	Syaj.g_01722	Prbh.g_01781
OG0000319	Syaj.g_01741	Prbh.g_01768
OG0000320	Syaj.g_01743	Prbh.g_01766
OG0000321	Syaj.g_01744	Prbh.g_01765
OG0000322	Syaj.g_01745	Prbh.g_01764
OG0000323	Syaj.g_01760	Prbh.g_01755
OG0000324	Syaj.g_01609	Prbh.g_01727
OG0000325	Syaj.g_02638	Prbh.g_01717
OG0000326	Syaj.g_02645	Prbh.g_01710
OG0000327	Syaj.g_02693	Prbh.g_01686
OG0000328	Syaj.g_02694	Prbh.g_01685
OG0000329	Syaj.g_02712	Prbh.g_01668
OG0000330	Syaj.g_02713	Prbh.g_01667
OG0000331	Syaj.g_02714	Prbh.g_01666
OG0000332	Syaj.g_02729	Prbh.g_01652
OG0000333	Syaj.g_02732	Prbh.g_01650
OG0000334	Syaj.g_02741	Prbh.g_01641
OG0000335	Syaj.g_02746	Prbh.g_01636
OG0000336	Syaj.g_02750	Prbh.g_01632
OG0000337	Syaj.g_02466	Prbh.g_01613
OG0000338	Syaj.g_02462	Prbh.g_01612
OG0000339	Syaj.g_02455	Prbh.g_01606
OG0000340	Syaj.g_02443	Prbh.g_01597
OG0000341	Syaj.g_02441	Prbh.g_01595
OG0000342	Syaj.g_02440	Prbh.g_01594
OG0000343	Syaj.g_02437	Prbh.g_01593
OG0000344	Syaj.g_02433	Prbh.g_01590
OG0000345	Syaj.g_02421	Prbh.g_01584
OG0000346	Syaj.g_02416	Prbh.g_01580
OG0000347	Syaj.g_02383	Prbh.g_01563
OG0000348	Syaj.g_02333	Prbh.g_01555
OG0000349	Syaj.g_02314	Prbh.g_01537
OG0000350	Syaj.g_02652	Prbh.g_01516
OG0000351	Syaj.g_02234	Prbh.g_01497
OG0000352	Syaj.g_02235	Prbh.g_01496
OG0000353	Syaj.g_02261	Prbh.g_01477
OG0000355	Syaj.g_02263	Prbh.g_01475
OG0000356	Syaj.g_02264	Prbh.g_01474
OG0000357	Syaj.g_02265	Prbh.g_01473
OG0000358	Syaj.g_02269	Prbh.g_01469
OG0000359	Syaj.g_02271	Prbh.g_01468
OG0000360	Syaj.g_02272	Prbh.g_01467
OG0000361	Syaj.g_02273	Prbh.g_01466
OG0000362	Syaj.g_02275	Prbh.g_01952
OG0000363	Syaj.g_02277	Prbh.g_00766
OG0000364	Syaj.g_02278	Prbh.g_00765
OG0000365	Syaj.g_02287	Prbh.g_00760
OG0000366	Syaj.g_02288	Prbh.g_00759
OG0000367	Syaj.g_02289	Prbh.g_00758
OG0000368	Syaj.g_02291	Prbh.g_00756
OG0000369	Syaj.g_02292	Prbh.g_00755
OG0000370	Syaj.g_02293	Prbh.g_00754
OG0000371	Syaj.g_02301	Prbh.g_00748
OG0000372	Syaj.g_02307	Prbh.g_00746
OG0000373	Syaj.g_02308	Prbh.g_00745
OG0000374	Syaj.g_02309	Prbh.g_00744
OG0000375	Syaj.g_02310	Prbh.g_00743
OG0000376	Syaj.g_02312	Prbh.g_00741
OG0000377	Syaj.g_02105	Prbh.g_00737
OG0000378	Syaj.g_02091	Prbh.g_00733
OG0000379	Syaj.g_02086	Prbh.g_00730
OG0000380	Syaj.g_01815	Prbh.g_00717
OG0000381	Syaj.g_01819	Prbh.g_00712
OG0000382	Syaj.g_01836	Prbh.g_00702
OG0000383	Syaj.g_01839	Prbh.g_00700
OG0000384	Syaj.g_01840	Prbh.g_00699
OG0000385	Syaj.g_01841	Prbh.g_00698
OG0000386	Syaj.g_01842	Prbh.g_00697
OG0000387	Syaj.g_01878	Prbh.g_00684
OG0000388	Syaj.g_01882	Prbh.g_00680
OG0000389	Syaj.g_01886	Prbh.g_00677
OG0000390	Syaj.g_01904	Prbh.g_00668
OG0000391	Syaj.g_01909	Prbh.g_00665
OG0000392	Syaj.g_01918	Prbh.g_00661
OG0000393	Syaj.g_01922	Prbh.g_00658
OG0000394	Syaj.g_01923	Prbh.g_00657
OG0000395	Syaj.g_01924	Prbh.g_00656
OG0000396	Syaj.g_01928	Prbh.g_00654
OG0000397	Syaj.g_01930	Prbh.g_00652
OG0000398	Syaj.g_01935	Prbh.g_00649
OG0000399	Syaj.g_01936	Prbh.g_00648
OG0000400	Syaj.g_01937	Prbh.g_00647
OG0000401	Syaj.g_01938	Prbh.g_00646
OG0000402	Syaj.g_01940	Prbh.g_01144
OG0000403	Syaj.g_01941	Prbh.g_00644
OG0000404	Syaj.g_01943	Prbh.g_00643
OG0000405	Syaj.g_01961	Prbh.g_00639
OG0000406	Syaj.g_01966	Prbh.g_00635
OG0000407	Syaj.g_01967	Prbh.g_00634
OG0000408	Syaj.g_01970	Prbh.g_00632
OG0000409	Syaj.g_01972	Prbh.g_00630
OG0000410	Syaj.g_01973	Prbh.g_00629
OG0000411	Syaj.g_01974	Prbh.g_00628
OG0000412	Syaj.g_01975	Prbh.g_00627
OG0000413	Syaj.g_01977	Prbh.g_00626
OG0000415	Syaj.g_01978	Prbh.g_00624
OG0000416	Syaj.g_01979	Prbh.g_00623
OG0000417	Syaj.g_01980	Prbh.g_00622
OG0000418	Syaj.g_01985	Prbh.g_00617
OG0000419	Syaj.g_01987	Prbh.g_00615
OG0000420	Syaj.g_01989	Prbh.g_00614
OG0000421	Syaj.g_01994	Prbh.g_00610
OG0000422	Syaj.g_01995	Prbh.g_00609
OG0000423	Syaj.g_01996	Prbh.g_00608
OG0000424	Syaj.g_01997	Prbh.g_00607
OG0000425	Syaj.g_01998	Prbh.g_00606
OG0000426	Syaj.g_01999	Prbh.g_00605
OG0000427	Syaj.g_02000	Prbh.g_00604
OG0000428	Syaj.g_02003	Prbh.g_00602
OG0000429	Syaj.g_02005	Prbh.g_00601
OG0000430	Syaj.g_02007	Prbh.g_00600
OG0000431	Syaj.g_02010	Prbh.g_00598
OG0000432	Syaj.g_02017	Prbh.g_00594
OG0000433	Syaj.g_02020	Prbh.g_00593
OG0000434	Syaj.g_02021	Prbh.g_00592
OG0000435	Syaj.g_02023	Prbh.g_00591
OG0000436	Syaj.g_02029	Prbh.g_00586
OG0000437	Syaj.g_02030	Prbh.g_00585
OG0000438	Syaj.g_02031	Prbh.g_00584
OG0000439	Syaj.g_02033	Prbh.g_00582
OG0000440	Syaj.g_02034	Prbh.g_00581
OG0000441	Syaj.g_02038	Prbh.g_00578
OG0000442	Syaj.g_02039	Prbh.g_00577
OG0000443	Syaj.g_02040	Prbh.g_00576
OG0000444	Syaj.g_02052	Prbh.g_00571
OG0000445	Syaj.g_02053	Prbh.g_00570
OG0000446	Syaj.g_02055	Prbh.g_00569
OG0000447	Syaj.g_02058	Prbh.g_00568
OG0000448	Syaj.g_02059	Prbh.g_00567
OG0000449	Syaj.g_02060	Prbh.g_00566
OG0000450	Syaj.g_02067	Prbh.g_00565
OG0000451	Syaj.g_02068	Prbh.g_00564
OG0000452	Syaj.g_02072	Prbh.g_00561
OG0000453	Syaj.g_02073	Prbh.g_00560
OG0000454	Syaj.g_02074	Prbh.g_00559
OG0000455	Syaj.g_02075	Prbh.g_00558
OG0000456	Syaj.g_02076	Prbh.g_00557
OG0000457	Syaj.g_02078	Prbh.g_00555
OG0000458	Syaj.g_02079	Prbh.g_00554
OG0000459	Syaj.g_02080	Prbh.g_00553
OG0000460	Syaj.g_02858	Prbh.g_00545
OG0000461	Syaj.g_02623	Prbh.g_00537
OG0000462	Syaj.g_02620	Prbh.g_00535
OG0000463	Syaj.g_02619	Prbh.g_00534
OG0000464	Syaj.g_02618	Prbh.g_00533
OG0000465	Syaj.g_02617	Prbh.g_00532
OG0000466	Syaj.g_02612	Prbh.g_00529
OG0000467	Syaj.g_02610	Prbh.g_00528
OG0000468	Syaj.g_02605	Prbh.g_00525
OG0000469	Syaj.g_02590	Prbh.g_00517
OG0000470	Syaj.g_02586	Prbh.g_00515
OG0000471	Syaj.g_02585	Prbh.g_00514
OG0000472	Syaj.g_02583	Prbh.g_00513
OG0000473	Syaj.g_02581	Prbh.g_00511
OG0000474	Syaj.g_02580	Prbh.g_00510
OG0000475	Syaj.g_02579	Prbh.g_00509
OG0000476	Syaj.g_02577	Prbh.g_00507
OG0000477	Syaj.g_02571	Prbh.g_00504
OG0000478	Syaj.g_02570	Prbh.g_00503
OG0000479	Syaj.g_02569	Prbh.g_00502
OG0000480	Syaj.g_02562	Prbh.g_00497
OG0000481	Syaj.g_02560	Prbh.g_00494
OG0000482	Syaj.g_02559	Prbh.g_00493
OG0000483	Syaj.g_02555	Prbh.g_00490
OG0000484	Syaj.g_02554	Prbh.g_00489
OG0000485	Syaj.g_02553	Prbh.g_00487
OG0000486	Syaj.g_02552	Prbh.g_00486
OG0000487	Syaj.g_02546	Prbh.g_00483
OG0000488	Syaj.g_02542	Prbh.g_00480
OG0000489	Syaj.g_02529	Prbh.g_00475
OG0000490	Syaj.g_02519	Prbh.g_00471
OG0000491	Syaj.g_02517	Prbh.g_00470
OG0000492	Syaj.g_02515	Prbh.g_00468
OG0000493	Syaj.g_02514	Prbh.g_00467
OG0000494	Syaj.g_02513	Prbh.g_00466
OG0000495	Syaj.g_02512	Prbh.g_00465
OG0000496	Syaj.g_02511	Prbh.g_00464
OG0000497	Syaj.g_02510	Prbh.g_00463
OG0000498	Syaj.g_02509	Prbh.g_00462
OG0000499	Syaj.g_02508	Prbh.g_00461
OG0000500	Syaj.g_02507	Prbh.g_00460
OG0000501	Syaj.g_02504	Prbh.g_00458
OG0000502	Syaj.g_02492	Prbh.g_00455
OG0000503	Syaj.g_02805	Prbh.g_00439
OG0000504	Syaj.g_02807	Prbh.g_00437
OG0000505	Syaj.g_02808	Prbh.g_00436
OG0000506	Syaj.g_02810	Prbh.g_00435
OG0000507	Syaj.g_02816	Prbh.g_00431
OG0000508	Syaj.g_02820	Prbh.g_00427
OG0000509	Syaj.g_02822	Prbh.g_00425
OG0000510	Syaj.g_02823	Prbh.g_00424
OG0000511	Syaj.g_02824	Prbh.g_00423
OG0000512	Syaj.g_02826	Prbh.g_00421
OG0000513	Syaj.g_02833	Prbh.g_00412
OG0000514	Syaj.g_02839	Prbh.g_00401
OG0000515	Syaj.g_02840	Prbh.g_00400
OG0000516	Syaj.g_01561	Prbh.g_00399
OG0000517	Syaj.g_01556	Prbh.g_00397
OG0000518	Syaj.g_01544	Prbh.g_00386
OG0000519	Syaj.g_01543	Prbh.g_00385
OG0000520	Syaj.g_01542	Prbh.g_00384
OG0000521	Syaj.g_00271	Prbh.g_00374
OG0000522	Syaj.g_00273	Prbh.g_00372
OG0000523	Syaj.g_00274	Prbh.g_00371
OG0000524	Syaj.g_01485	Prbh.g_00367
OG0000525	Syaj.g_01454	Prbh.g_00363
OG0000526	Syaj.g_01451	Prbh.g_00361
OG0000527	Syaj.g_01446	Prbh.g_00358
OG0000528	Syaj.g_00065	Prbh.g_00353
OG0000529	Syaj.g_00073	Prbh.g_00350
OG0000530	Syaj.g_00076	Prbh.g_00347
OG0000531	Syaj.g_00077	Prbh.g_00346
