Orthogroup	Syaj	Prbn
OG0000029	Syaj.g_01229	Prbn.g_01836, Prbn.g_00126, Prbn.g_01676
OG0000030	Syaj.g_02396, Syaj.g_02395	Prbn.g_00985
OG0000032	Syaj.g_01432	Prbn.g_00251
OG0000033	Syaj.g_01990	Prbn.g_01244
OG0000034	Syaj.g_01959	Prbn.g_01073
OG0000035	Syaj.g_01378	Prbn.g_00212
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbn.g_01310
OG0000038	Syaj.g_02115	Prbn.g_00946
OG0000039	Syaj.g_00392, Syaj.g_00275	Prbn.g_01577
OG0000041	Syaj.g_01602	Prbn.g_01793
OG0000042	Syaj.g_02399	Prbn.g_00988
OG0000043	Syaj.g_01247	Prbn.g_01168
OG0000046	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781	Prbn.g_00093
OG0000047	Syaj.g_02799	Prbn.g_00690
OG0000048	Syaj.g_02578	Prbn.g_01097, Prbn.g_00038
OG0000050	Syaj.g_01242	Prbn.g_01937
OG0000052	Syaj.g_02476	Prbn.g_00190
OG0000053	Syaj.g_01409	Prbn.g_01690, Prbn.g_00233
OG0000054	Syaj.g_01341	Prbn.g_00508
OG0000055	Syaj.g_00394	Prbn.g_01140
OG0000057	Syaj.g_00438	Prbn.g_01562
OG0000058	Syaj.g_02495	Prbn.g_00172
OG0000059	Syaj.g_02686	Prbn.g_01833
OG0000061	Syaj.g_00302	Prbn.g_01189
OG0000062	Syaj.g_01700	Prbn.g_00897
OG0000063	Syaj.g_02302	Prbn.g_00130
OG0000064	Syaj.g_00041, Syaj.g_01253	Prbn.g_00710
OG0000065	Syaj.g_00007, Syaj.g_01887	Prbn.g_01312
OG0000066	Syaj.g_00157	Prbn.g_00577, Prbn.g_01657
OG0000067	Syaj.g_01023	Prbn.g_01546
OG0000068	Syaj.g_00059	Prbn.g_01240
OG0000070	Syaj.g_01529	Prbn.g_00663
OG0000071	Syaj.g_01511	Prbn.g_01084
OG0000072	Syaj.g_01992	Prbn.g_00383
OG0000073	Syaj.g_00093	Prbn.g_00614
OG0000075	Syaj.g_02457	Prbn.g_01917
OG0000076	Syaj.g_02417	Prbn.g_00996
OG0000077	Syaj.g_01831	Prbn.g_01342
OG0000078	Syaj.g_02880	Prbn.g_00310
OG0000079	Syaj.g_02609	Prbn.g_00018
OG0000081	Syaj.g_02888	Prbn.g_00585
OG0000082	Syaj.g_00229	Prbn.g_00530, Prbn.g_01734
OG0000084	Syaj.g_01375	Prbn.g_00209
OG0000085	Syaj.g_01707	Prbn.g_01737, Prbn.g_00144
OG0000086	Syaj.g_01848	Prbn.g_01333
OG0000087	Syaj.g_01945	Prbn.g_01278
OG0000088	Syaj.g_01986	Prbn.g_01247
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbn.g_00696
OG0000090	Syaj.g_00144	Prbn.g_00583
OG0000091	Syaj.g_01275	Prbn.g_00434
OG0000092	Syaj.g_00339	Prbn.g_01616
OG0000097	Syaj.g_00589	Prbn.g_00408
OG0000098	Syaj.g_02671	Prbn.g_01216
OG0000099	Syaj.g_02503	Prbn.g_00173
OG0000100	Syaj.g_00987	Prbn.g_00903
OG0000101	Syaj.g_02738	Prbn.g_01881
OG0000102	Syaj.g_02411	Prbn.g_00991
OG0000103	Syaj.g_02243	Prbn.g_00907
OG0000104	Syaj.g_02258	Prbn.g_00296
OG0000105	Syaj.g_02573	Prbn.g_00041
OG0000106	Syaj.g_01130	Prbn.g_00829
OG0000107	Syaj.g_02637	Prbn.g_01810
OG0000108	Syaj.g_00072	Prbn.g_00634
OG0000109	Syaj.g_00087	Prbn.g_00620
OG0000110	Syaj.g_00215	Prbn.g_00541
OG0000111	Syaj.g_00437	Prbn.g_01561
OG0000112	Syaj.g_00907	Prbn.g_00468
OG0000113	Syaj.g_00992	Prbn.g_01523
OG0000114	Syaj.g_00741	Prbn.g_01621
OG0000115	Syaj.g_01402	Prbn.g_01120
OG0000116	Syaj.g_00289	Prbn.g_01178
OG0000117	Syaj.g_00637	Prbn.g_00389
OG0000118	Syaj.g_00267	Prbn.g_01071
OG0000119	Syaj.g_00317	Prbn.g_01135, Prbn.g_00885
OG0000120	Syaj.g_02502	Prbn.g_00170
OG0000121	Syaj.g_01383	Prbn.g_00214
OG0000122	Syaj.g_01250	Prbn.g_01113, Prbn.g_00255
OG0000123	Syaj.g_02745	Prbn.g_01888
OG0000124	Syaj.g_02388	Prbn.g_00979
OG0000125	Syaj.g_02117	Prbn.g_00944
OG0000126	Syaj.g_02256	Prbn.g_00295
OG0000128	Syaj.g_02274	Prbn.g_00002, Prbn.g_00003
OG0000129	Syaj.g_02106	Prbn.g_00737
OG0000130	Syaj.g_01818	Prbn.g_00708
OG0000131	Syaj.g_01964	Prbn.g_01269
OG0000132	Syaj.g_01984, Syaj.g_00688	Prbn.g_01249
OG0000133	Syaj.g_00902	Prbn.g_00088
OG0000134	Syaj.g_02832	Prbn.g_00694
OG0000135	Syaj.g_02167	Prbn.g_01102
OG0000136	Syaj.g_01550	Prbn.g_00672
OG0000137	Syaj.g_01444	Prbn.g_00639
OG0000138	Syaj.g_00088	Prbn.g_00619
OG0000139	Syaj.g_00150	Prbn.g_00579
OG0000140	Syaj.g_00153	Prbn.g_00578
OG0000141	Syaj.g_01340	Prbn.g_00507
OG0000142	Syaj.g_01283	Prbn.g_00426
OG0000143	Syaj.g_01279	Prbn.g_00430
OG0000144	Syaj.g_01151	Prbn.g_00444
OG0000145	Syaj.g_00094	Prbn.g_01100
OG0000146	Syaj.g_00908	Prbn.g_00469
OG0000147	Syaj.g_00909	Prbn.g_00470
OG0000148	Syaj.g_01003	Prbn.g_01529
OG0000149	Syaj.g_00369	Prbn.g_01497
OG0000150	Syaj.g_01339, Syaj.g_00154	Prbn.g_01487
OG0000151	Syaj.g_01074	Prbn.g_01611
OG0000152	Syaj.g_00898	Prbn.g_01418
OG0000153	Syaj.g_00842	Prbn.g_01399
OG0000154	Syaj.g_00814	Prbn.g_01379
OG0000155	Syaj.g_00338	Prbn.g_01210
OG0000156	Syaj.g_00282	Prbn.g_01095
OG0000157	Syaj.g_00281	Prbn.g_01094
OG0000158	Syaj.g_02445	Prbn.g_01014
OG0000160	Syaj.g_01382	Prbn.g_00213
OG0000161	Syaj.g_01389	Prbn.g_00219
OG0000162	Syaj.g_01395	Prbn.g_00225
OG0000163	Syaj.g_01639	Prbn.g_00264
OG0000164	Syaj.g_01758	Prbn.g_01770
OG0000165	Syaj.g_01582	Prbn.g_01777
OG0000166	Syaj.g_02698	Prbn.g_01844
OG0000167	Syaj.g_02460	Prbn.g_01915
OG0000168	Syaj.g_02444	Prbn.g_01013
OG0000169	Syaj.g_02431, Syaj.g_02429	Prbn.g_01003
OG0000170	Syaj.g_02422	Prbn.g_01000
OG0000171	Syaj.g_02389	Prbn.g_00980
OG0000172	Syaj.g_02365	Prbn.g_00973
OG0000173	Syaj.g_02321	Prbn.g_00958
OG0000174	Syaj.g_02169	Prbn.g_00929
OG0000175	Syaj.g_02229	Prbn.g_00916
OG0000176	Syaj.g_02266	Prbn.g_00010
OG0000177	Syaj.g_02267	Prbn.g_00009
OG0000178	Syaj.g_02268	Prbn.g_00008
OG0000179	Syaj.g_02283	Prbn.g_00766
OG0000180	Syaj.g_02284	Prbn.g_00765
OG0000181	Syaj.g_02285	Prbn.g_00764
OG0000182	Syaj.g_02286	Prbn.g_00763
OG0000183	Syaj.g_02290	Prbn.g_00759
OG0000184	Syaj.g_02098	Prbn.g_00733
OG0000185	Syaj.g_02087	Prbn.g_00730
OG0000186	Syaj.g_01812	Prbn.g_00714
OG0000187	Syaj.g_01814	Prbn.g_00713
OG0000188	Syaj.g_01837	Prbn.g_01339
OG0000189	Syaj.g_01874	Prbn.g_01325
OG0000190	Syaj.g_01876	Prbn.g_01323
OG0000191	Syaj.g_01910	Prbn.g_01300
OG0000192	Syaj.g_01919	Prbn.g_01295
OG0000193	Syaj.g_01965	Prbn.g_01268
OG0000194	Syaj.g_01968	Prbn.g_01265
OG0000195	Syaj.g_01971	Prbn.g_01263
OG0000196	Syaj.g_01981	Prbn.g_01252
OG0000197	Syaj.g_01982	Prbn.g_01251
OG0000198	Syaj.g_01983	Prbn.g_01250
OG0000199	Syaj.g_01991	Prbn.g_01243, Prbn.g_00384
OG0000200	Syaj.g_02008	Prbn.g_00370
OG0000201	Syaj.g_02024	Prbn.g_00361
OG0000202	Syaj.g_02025	Prbn.g_00360
OG0000203	Syaj.g_02026	Prbn.g_00359
OG0000204	Syaj.g_02027	Prbn.g_00358
OG0000205	Syaj.g_02035	Prbn.g_00351
OG0000206	Syaj.g_02043	Prbn.g_00346
OG0000207	Syaj.g_02045	Prbn.g_00343
OG0000208	Syaj.g_02046	Prbn.g_00342
OG0000209	Syaj.g_02070	Prbn.g_00333
OG0000210	Syaj.g_02071	Prbn.g_00332
OG0000211	Syaj.g_02856	Prbn.g_00317
OG0000212	Syaj.g_02881	Prbn.g_00309
OG0000213	Syaj.g_02601	Prbn.g_00024
OG0000214	Syaj.g_02582	Prbn.g_00034
OG0000215	Syaj.g_02551	Prbn.g_00061
OG0000216	Syaj.g_02547	Prbn.g_00062
OG0000217	Syaj.g_02543	Prbn.g_00065
OG0000218	Syaj.g_02541	Prbn.g_00067
OG0000219	Syaj.g_02540	Prbn.g_00068
OG0000220	Syaj.g_02539	Prbn.g_00069
OG0000221	Syaj.g_02530	Prbn.g_00070
OG0000222	Syaj.g_02516	Prbn.g_00077
OG0000223	Syaj.g_02494	Prbn.g_00089
OG0000224	Syaj.g_02487	Prbn.g_00091
OG0000225	Syaj.g_02821	Prbn.g_00117
OG0000226	Syaj.g_02825	Prbn.g_00121
OG0000227	Syaj.g_02827	Prbn.g_00123
OG0000228	Syaj.g_02828	Prbn.g_00697
OG0000229	Syaj.g_01555	Prbn.g_00677
OG0000230	Syaj.g_01553	Prbn.g_00675
OG0000231	Syaj.g_01541	Prbn.g_00664
OG0000232	Syaj.g_01497	Prbn.g_00653
OG0000233	Syaj.g_01481	Prbn.g_00647
OG0000234	Syaj.g_01442	Prbn.g_00638
OG0000235	Syaj.g_00071	Prbn.g_00635
OG0000236	Syaj.g_00086	Prbn.g_00621
OG0000237	Syaj.g_00103	Prbn.g_00608
OG0000238	Syaj.g_00108	Prbn.g_00602
OG0000239	Syaj.g_00125	Prbn.g_00591
OG0000240	Syaj.g_00126	Prbn.g_00590
OG0000241	Syaj.g_01291	Prbn.g_00586
OG0000242	Syaj.g_00142	Prbn.g_00584
OG0000243	Syaj.g_00164	Prbn.g_00573
OG0000244	Syaj.g_00180	Prbn.g_00570
OG0000245	Syaj.g_00182	Prbn.g_00568
OG0000246	Syaj.g_00186	Prbn.g_00564
OG0000247	Syaj.g_00197	Prbn.g_00554
OG0000248	Syaj.g_00200	Prbn.g_00551
OG0000249	Syaj.g_00202	Prbn.g_00549
OG0000250	Syaj.g_00211	Prbn.g_00544
OG0000251	Syaj.g_00237	Prbn.g_00524
OG0000252	Syaj.g_00243	Prbn.g_00521
OG0000253	Syaj.g_00245	Prbn.g_00520
OG0000254	Syaj.g_01335	Prbn.g_00503
OG0000255	Syaj.g_01315	Prbn.g_00497
OG0000256	Syaj.g_01297	Prbn.g_00487
OG0000257	Syaj.g_01292	Prbn.g_00421
OG0000258	Syaj.g_01274	Prbn.g_00435
OG0000259	Syaj.g_00707	Prbn.g_00835
OG0000260	Syaj.g_00712	Prbn.g_00838
OG0000261	Syaj.g_00715	Prbn.g_00841
OG0000262	Syaj.g_00720	Prbn.g_00845
OG0000263	Syaj.g_00605	Prbn.g_01583
OG0000264	Syaj.g_00485	Prbn.g_01572
OG0000265	Syaj.g_00510	Prbn.g_01554
OG0000266	Syaj.g_00946	Prbn.g_00864
OG0000267	Syaj.g_00770	Prbn.g_01350
OG0000268	Syaj.g_00771	Prbn.g_01351
OG0000269	Syaj.g_01031	Prbn.g_01551
OG0000270	Syaj.g_01025	Prbn.g_01548
OG0000271	Syaj.g_01017	Prbn.g_01540
OG0000272	Syaj.g_01016	Prbn.g_01539
OG0000273	Syaj.g_00389	Prbn.g_01515
OG0000274	Syaj.g_00388	Prbn.g_01514
OG0000275	Syaj.g_00384	Prbn.g_01511
OG0000276	Syaj.g_00377	Prbn.g_01505
OG0000277	Syaj.g_00376	Prbn.g_01504
OG0000278	Syaj.g_00373	Prbn.g_01501
OG0000279	Syaj.g_00357	Prbn.g_01494
OG0000280	Syaj.g_00348	Prbn.g_01493
OG0000281	Syaj.g_02670	Prbn.g_01486
OG0000282	Syaj.g_00743	Prbn.g_01619
OG0000283	Syaj.g_00790	Prbn.g_01442
OG0000284	Syaj.g_00930	Prbn.g_01437
OG0000285	Syaj.g_00917	Prbn.g_01432
OG0000286	Syaj.g_00899	Prbn.g_01419
OG0000287	Syaj.g_00849	Prbn.g_01123
OG0000288	Syaj.g_00815	Prbn.g_01380
OG0000289	Syaj.g_00800	Prbn.g_01364
OG0000290	Syaj.g_00424	Prbn.g_01468
OG0000291	Syaj.g_00426	Prbn.g_01470
OG0000292	Syaj.g_02255	Prbn.g_01144
OG0000293	Syaj.g_00290	Prbn.g_01179
OG0000294	Syaj.g_00291	Prbn.g_01180
OG0000295	Syaj.g_00330	Prbn.g_01203
OG0000296	Syaj.g_00332	Prbn.g_01205
OG0000297	Syaj.g_00639	Prbn.g_00387
OG0000298	Syaj.g_00638	Prbn.g_00388
OG0000299	Syaj.g_00592	Prbn.g_00407
OG0000300	Syaj.g_00586	Prbn.g_00410
OG0000301	Syaj.g_00585	Prbn.g_00411
OG0000302	Syaj.g_00582	Prbn.g_00413
OG0000303	Syaj.g_00572	Prbn.g_00419
OG0000304	Syaj.g_00566	Prbn.g_00482
OG0000305	Syaj.g_00429	Prbn.g_01146
OG0000306	Syaj.g_01126	Prbn.g_01482
OG0000307	Syaj.g_00051	Prbn.g_00159
OG0000308	Syaj.g_00049	Prbn.g_00160
OG0000309	Syaj.g_00044	Prbn.g_00164
OG0000310	Syaj.g_01358	Prbn.g_00198
OG0000311	Syaj.g_01362	Prbn.g_00200
OG0000312	Syaj.g_01368	Prbn.g_00203
OG0000313	Syaj.g_01386	Prbn.g_00216
OG0000314	Syaj.g_01420	Prbn.g_00239
OG0000315	Syaj.g_01430	Prbn.g_00249
OG0000316	Syaj.g_01664	Prbn.g_00274
OG0000317	Syaj.g_01715	Prbn.g_01742
OG0000318	Syaj.g_01722	Prbn.g_01746
OG0000319	Syaj.g_01741	Prbn.g_01759
OG0000320	Syaj.g_01743	Prbn.g_01761
OG0000321	Syaj.g_01744	Prbn.g_01762
OG0000322	Syaj.g_01745	Prbn.g_01763
OG0000323	Syaj.g_01760	Prbn.g_01773
OG0000324	Syaj.g_01609	Prbn.g_01800
OG0000325	Syaj.g_02638	Prbn.g_01811
OG0000326	Syaj.g_02645	Prbn.g_01818
OG0000327	Syaj.g_02693	Prbn.g_01839
OG0000328	Syaj.g_02694	Prbn.g_01840
OG0000329	Syaj.g_02712	Prbn.g_01857
OG0000330	Syaj.g_02713	Prbn.g_01858
OG0000331	Syaj.g_02714	Prbn.g_01859
OG0000332	Syaj.g_02729	Prbn.g_01873
OG0000333	Syaj.g_02732	Prbn.g_01875
OG0000334	Syaj.g_02741	Prbn.g_01884
OG0000335	Syaj.g_02746	Prbn.g_01889
OG0000336	Syaj.g_02750	Prbn.g_01893
OG0000337	Syaj.g_02466	Prbn.g_01911
OG0000338	Syaj.g_02462	Prbn.g_01912
OG0000339	Syaj.g_02455	Prbn.g_01918
OG0000340	Syaj.g_02443	Prbn.g_01012
OG0000341	Syaj.g_02441	Prbn.g_01010
OG0000342	Syaj.g_02440	Prbn.g_01009
OG0000343	Syaj.g_02437	Prbn.g_01008
OG0000344	Syaj.g_02433	Prbn.g_01005
OG0000345	Syaj.g_02421	Prbn.g_00999
OG0000346	Syaj.g_02416	Prbn.g_00995
OG0000347	Syaj.g_02383	Prbn.g_00978
OG0000348	Syaj.g_02333	Prbn.g_00970
OG0000349	Syaj.g_02314	Prbn.g_00953
OG0000350	Syaj.g_02652	Prbn.g_00798
OG0000351	Syaj.g_02234	Prbn.g_00913
OG0000352	Syaj.g_02235	Prbn.g_00912
OG0000353	Syaj.g_02261	Prbn.g_00299
OG0000355	Syaj.g_02263	Prbn.g_00301
OG0000356	Syaj.g_02264	Prbn.g_00302
OG0000357	Syaj.g_02265	Prbn.g_00011
OG0000358	Syaj.g_02269	Prbn.g_00007
OG0000359	Syaj.g_02271	Prbn.g_00006
OG0000360	Syaj.g_02272	Prbn.g_00005
OG0000361	Syaj.g_02273	Prbn.g_00004
OG0000362	Syaj.g_02275	Prbn.g_00001
OG0000363	Syaj.g_02277	Prbn.g_00768
OG0000364	Syaj.g_02278	Prbn.g_00767
OG0000365	Syaj.g_02287	Prbn.g_00762
OG0000366	Syaj.g_02288	Prbn.g_00761
OG0000367	Syaj.g_02289	Prbn.g_00760
OG0000368	Syaj.g_02291	Prbn.g_00758
OG0000369	Syaj.g_02292	Prbn.g_00757
OG0000370	Syaj.g_02293	Prbn.g_00756
OG0000371	Syaj.g_02301	Prbn.g_00749
OG0000372	Syaj.g_02307	Prbn.g_00746
OG0000373	Syaj.g_02308	Prbn.g_00745
OG0000374	Syaj.g_02309	Prbn.g_00744
OG0000375	Syaj.g_02310	Prbn.g_00742
OG0000376	Syaj.g_02312	Prbn.g_00740
OG0000377	Syaj.g_02105	Prbn.g_00736
OG0000378	Syaj.g_02091	Prbn.g_00732
OG0000379	Syaj.g_02086	Prbn.g_00729
OG0000380	Syaj.g_01815	Prbn.g_00712
OG0000381	Syaj.g_01819	Prbn.g_00707
OG0000382	Syaj.g_01836	Prbn.g_01340
OG0000383	Syaj.g_01839	Prbn.g_01338
OG0000384	Syaj.g_01840	Prbn.g_01337
OG0000385	Syaj.g_01841	Prbn.g_01336
OG0000386	Syaj.g_01842	Prbn.g_01335
OG0000387	Syaj.g_01878	Prbn.g_01321
OG0000388	Syaj.g_01882	Prbn.g_01317
OG0000389	Syaj.g_01886	Prbn.g_01314
OG0000390	Syaj.g_01904	Prbn.g_01304
OG0000391	Syaj.g_01909	Prbn.g_01301
OG0000392	Syaj.g_01918	Prbn.g_01297
OG0000393	Syaj.g_01922	Prbn.g_01294
OG0000394	Syaj.g_01923	Prbn.g_01293
OG0000395	Syaj.g_01924	Prbn.g_01292
OG0000396	Syaj.g_01928	Prbn.g_01290
OG0000397	Syaj.g_01930	Prbn.g_01288
OG0000398	Syaj.g_01935	Prbn.g_01285
OG0000399	Syaj.g_01936	Prbn.g_01284
OG0000400	Syaj.g_01937	Prbn.g_01283
OG0000401	Syaj.g_01938	Prbn.g_01282
OG0000402	Syaj.g_01940	Prbn.g_01356
OG0000403	Syaj.g_01941	Prbn.g_01280
OG0000404	Syaj.g_01943	Prbn.g_01279
OG0000405	Syaj.g_01961	Prbn.g_01275
OG0000406	Syaj.g_01966	Prbn.g_01267
OG0000407	Syaj.g_01967	Prbn.g_01266
OG0000408	Syaj.g_01970	Prbn.g_01264
OG0000409	Syaj.g_01972	Prbn.g_01262
OG0000410	Syaj.g_01973	Prbn.g_01261
OG0000411	Syaj.g_01974	Prbn.g_01260
OG0000412	Syaj.g_01975	Prbn.g_01259
OG0000413	Syaj.g_01977	Prbn.g_01257
OG0000415	Syaj.g_01978	Prbn.g_01255
OG0000416	Syaj.g_01979	Prbn.g_01254
OG0000417	Syaj.g_01980	Prbn.g_01253
OG0000418	Syaj.g_01985	Prbn.g_01248
OG0000419	Syaj.g_01987	Prbn.g_01246
OG0000420	Syaj.g_01989	Prbn.g_01245
OG0000421	Syaj.g_01994	Prbn.g_00381
OG0000422	Syaj.g_01995	Prbn.g_00380
OG0000423	Syaj.g_01996	Prbn.g_00379
OG0000424	Syaj.g_01997	Prbn.g_00378
OG0000425	Syaj.g_01998	Prbn.g_00377
OG0000426	Syaj.g_01999	Prbn.g_00376
OG0000427	Syaj.g_02000	Prbn.g_00375
OG0000428	Syaj.g_02003	Prbn.g_00373
OG0000429	Syaj.g_02005	Prbn.g_00372
OG0000430	Syaj.g_02007	Prbn.g_00371
OG0000431	Syaj.g_02010	Prbn.g_00369
OG0000432	Syaj.g_02017	Prbn.g_00365
OG0000433	Syaj.g_02020	Prbn.g_00364
OG0000434	Syaj.g_02021	Prbn.g_00363
OG0000435	Syaj.g_02023	Prbn.g_00362
OG0000436	Syaj.g_02029	Prbn.g_00357
OG0000437	Syaj.g_02030	Prbn.g_00356
OG0000438	Syaj.g_02031	Prbn.g_00355
OG0000439	Syaj.g_02033	Prbn.g_00353
OG0000440	Syaj.g_02034	Prbn.g_00352
OG0000441	Syaj.g_02038	Prbn.g_00349
OG0000442	Syaj.g_02039	Prbn.g_00348
OG0000443	Syaj.g_02040	Prbn.g_00347
OG0000444	Syaj.g_02052	Prbn.g_00341
OG0000445	Syaj.g_02053	Prbn.g_00340
OG0000446	Syaj.g_02055	Prbn.g_00339
OG0000447	Syaj.g_02058	Prbn.g_00338
OG0000448	Syaj.g_02059	Prbn.g_00337
OG0000449	Syaj.g_02060	Prbn.g_00336
OG0000450	Syaj.g_02067	Prbn.g_00335
OG0000451	Syaj.g_02068	Prbn.g_00334
OG0000452	Syaj.g_02072	Prbn.g_00331
OG0000453	Syaj.g_02073	Prbn.g_00330
OG0000454	Syaj.g_02074	Prbn.g_00329
OG0000455	Syaj.g_02075	Prbn.g_00328
OG0000456	Syaj.g_02076	Prbn.g_00327
OG0000457	Syaj.g_02078	Prbn.g_00325
OG0000458	Syaj.g_02079	Prbn.g_00324
OG0000459	Syaj.g_02080	Prbn.g_00323
OG0000460	Syaj.g_02858	Prbn.g_00315
OG0000461	Syaj.g_02623	Prbn.g_00307
OG0000462	Syaj.g_02620	Prbn.g_00305
OG0000463	Syaj.g_02619	Prbn.g_00304
OG0000464	Syaj.g_02618	Prbn.g_00012
OG0000465	Syaj.g_02617	Prbn.g_00013
OG0000466	Syaj.g_02612	Prbn.g_00016
OG0000467	Syaj.g_02610	Prbn.g_00017
OG0000468	Syaj.g_02605	Prbn.g_00020
OG0000469	Syaj.g_02590	Prbn.g_00028
OG0000470	Syaj.g_02586	Prbn.g_00030
OG0000471	Syaj.g_02585	Prbn.g_00031
OG0000472	Syaj.g_02583	Prbn.g_00033
OG0000473	Syaj.g_02581	Prbn.g_00035
OG0000474	Syaj.g_02580	Prbn.g_00036
OG0000475	Syaj.g_02579	Prbn.g_00037
OG0000476	Syaj.g_02577	Prbn.g_00039
OG0000477	Syaj.g_02571	Prbn.g_00042
OG0000478	Syaj.g_02570	Prbn.g_00043
OG0000479	Syaj.g_02569	Prbn.g_00044
OG0000480	Syaj.g_02562	Prbn.g_00049
OG0000481	Syaj.g_02560	Prbn.g_00052
OG0000482	Syaj.g_02559	Prbn.g_00053
OG0000483	Syaj.g_02555	Prbn.g_00056
OG0000484	Syaj.g_02554	Prbn.g_00057
OG0000485	Syaj.g_02553	Prbn.g_00059
OG0000486	Syaj.g_02552	Prbn.g_00060
OG0000487	Syaj.g_02546	Prbn.g_00063
OG0000488	Syaj.g_02542	Prbn.g_00066
OG0000489	Syaj.g_02529	Prbn.g_00071
OG0000490	Syaj.g_02519	Prbn.g_00075
OG0000491	Syaj.g_02517	Prbn.g_00076
OG0000492	Syaj.g_02515	Prbn.g_00078
OG0000493	Syaj.g_02514	Prbn.g_00079
OG0000494	Syaj.g_02513	Prbn.g_00080
OG0000495	Syaj.g_02512	Prbn.g_00081
OG0000496	Syaj.g_02511	Prbn.g_00082
OG0000497	Syaj.g_02510	Prbn.g_00083
OG0000498	Syaj.g_02509	Prbn.g_00084
OG0000499	Syaj.g_02508	Prbn.g_00085
OG0000500	Syaj.g_02507	Prbn.g_00086
OG0000501	Syaj.g_02504	Prbn.g_00087
OG0000502	Syaj.g_02492	Prbn.g_00090
OG0000503	Syaj.g_02805	Prbn.g_00105
OG0000504	Syaj.g_02807	Prbn.g_00107
OG0000505	Syaj.g_02808	Prbn.g_00108
OG0000506	Syaj.g_02810	Prbn.g_00109
OG0000507	Syaj.g_02816	Prbn.g_00112
OG0000508	Syaj.g_02820	Prbn.g_00116
OG0000509	Syaj.g_02822	Prbn.g_00118
OG0000510	Syaj.g_02823	Prbn.g_00119
OG0000511	Syaj.g_02824	Prbn.g_00120
OG0000512	Syaj.g_02826	Prbn.g_00122
OG0000513	Syaj.g_02833	Prbn.g_00693
OG0000514	Syaj.g_02839	Prbn.g_00682
OG0000515	Syaj.g_02840	Prbn.g_00681
OG0000516	Syaj.g_01561	Prbn.g_00680
OG0000517	Syaj.g_01556	Prbn.g_00678
OG0000518	Syaj.g_01544	Prbn.g_00667
OG0000519	Syaj.g_01543	Prbn.g_00666
OG0000520	Syaj.g_01542	Prbn.g_00665
OG0000521	Syaj.g_00271	Prbn.g_00657
OG0000522	Syaj.g_00273	Prbn.g_00655
OG0000523	Syaj.g_00274	Prbn.g_00654
OG0000524	Syaj.g_01485	Prbn.g_00649
OG0000525	Syaj.g_01454	Prbn.g_00645
OG0000526	Syaj.g_01451	Prbn.g_00644
OG0000527	Syaj.g_01446	Prbn.g_00641
OG0000528	Syaj.g_00065	Prbn.g_00636
OG0000529	Syaj.g_00073	Prbn.g_00633
OG0000530	Syaj.g_00076	Prbn.g_00630
OG0000531	Syaj.g_00077	Prbn.g_00629
OG0000532	Syaj.g_00080	Prbn.g_00627
OG0000533	Syaj.g_00081	Prbn.g_00626
OG0000534	Syaj.g_00082	Prbn.g_00625
OG0000535	Syaj.g_00083	Prbn.g_00624
OG0000536	Syaj.g_00084	Prbn.g_00623
