Orthogroup	Praw	Syat
OG0000134	Praw.g_00775	Syat.g_02956
OG0000135	Praw.g_00751	Syat.g_02501
OG0000136	Praw.g_00706	Syat.g_01292
OG0000137	Praw.g_00672	Syat.g_01371
OG0000138	Praw.g_00653	Syat.g_03188
OG0000140	Praw.g_00610	Syat.g_03280
OG0000141	Praw.g_00143	Syat.g_03398
OG0000142	Praw.g_01887	Syat.g_00117
OG0000143	Praw.g_01883	Syat.g_00130
OG0000144	Praw.g_01870	Syat.g_00369
OG0000145	Praw.g_01745	Syat.g_03202
OG0000146	Praw.g_01731	Syat.g_00594
OG0000147	Praw.g_01730	Syat.g_00595
OG0000148	Praw.g_01681	Syat.g_00503
OG0000149	Praw.g_01652	Syat.g_00747
OG0000150	Praw.g_01644	Syat.g_03399
OG0000151	Praw.g_01587	Syat.g_00801, Syat.g_00440
OG0000152	Praw.g_01539	Syat.g_00578
OG0000153	Praw.g_01520	Syat.g_00542
OG0000154	Praw.g_01493	Syat.g_00708
OG0000155	Praw.g_00254	Syat.g_00287
OG0000156	Praw.g_00968	Syat.g_03228
OG0000157	Praw.g_00969	Syat.g_02012, Syat.g_03227
OG0000158	Praw.g_01052	Syat.g_02163
OG0000159	Praw.g_01054	Syat.g_01187
OG0000160	Praw.g_01079, Praw.g_01080	Syat.g_01224
OG0000161	Praw.g_00344	Syat.g_01180
OG0000162	Praw.g_00350	Syat.g_01281
OG0000163	Praw.g_00384	Syat.g_02979
OG0000164	Praw.g_00539	Syat.g_03040
OG0000165	Praw.g_00546	Syat.g_03033
OG0000166	Praw.g_00132	Syat.g_01822
OG0000167	Praw.g_00066	Syat.g_02148
OG0000168	Praw.g_00056	Syat.g_02164
OG0000169	Praw.g_00046	Syat.g_02192
OG0000170	Praw.g_00044	Syat.g_02201
OG0000171	Praw.g_00024	Syat.g_02230
OG0000172	Praw.g_00016	Syat.g_02260
OG0000173	Praw.g_00001	Syat.g_02284
OG0000174	Praw.g_01166	Syat.g_02504
OG0000175	Praw.g_01156	Syat.g_02416
OG0000176	Praw.g_01132	Syat.g_02372
OG0000177	Praw.g_01131	Syat.g_02338
OG0000178	Praw.g_01130	Syat.g_02337
OG0000179	Praw.g_01412	Syat.g_02322
OG0000180	Praw.g_01411	Syat.g_02321
OG0000181	Praw.g_01410	Syat.g_02320
OG0000182	Praw.g_01409	Syat.g_02319
OG0000183	Praw.g_01405	Syat.g_02315
OG0000184	Praw.g_01382	Syat.g_02704
OG0000185	Praw.g_01379	Syat.g_02719
OG0000186	Praw.g_01370	Syat.g_01463
OG0000187	Praw.g_01369	Syat.g_01467
OG0000188	Praw.g_01352	Syat.g_01489
OG0000189	Praw.g_01339	Syat.g_01557
OG0000190	Praw.g_01338	Syat.g_00330
OG0000191	Praw.g_01318	Syat.g_03344, Syat.g_02939
OG0000192	Praw.g_01314	Syat.g_02933
OG0000193	Praw.g_01289	Syat.g_02897
OG0000194	Praw.g_01286	Syat.g_02894
OG0000195	Praw.g_01284	Syat.g_02892
OG0000196	Praw.g_01274	Syat.g_02867
OG0000197	Praw.g_01273	Syat.g_02866
OG0000198	Praw.g_01272	Syat.g_02865
OG0000199	Praw.g_01265	Syat.g_02857
OG0000200	Praw.g_01251	Syat.g_02840
OG0000201	Praw.g_01243	Syat.g_02821
OG0000202	Praw.g_01242	Syat.g_02820
OG0000203	Praw.g_01241	Syat.g_02819
OG0000204	Praw.g_01240	Syat.g_02818
OG0000205	Praw.g_01233	Syat.g_02809
OG0000206	Praw.g_01228	Syat.g_02785
OG0000207	Praw.g_01226	Syat.g_02778
OG0000208	Praw.g_01225	Syat.g_02777
OG0000209	Praw.g_01216	Syat.g_02735
OG0000210	Praw.g_01215	Syat.g_02734
OG0000211	Praw.g_01202	Syat.g_01452
OG0000212	Praw.g_01195	Syat.g_01442
OG0000213	Praw.g_00876	Syat.g_01889
OG0000214	Praw.g_00867	Syat.g_02042
OG0000215	Praw.g_00842	Syat.g_02075
OG0000216	Praw.g_00840	Syat.g_02079
OG0000217	Praw.g_00837	Syat.g_02085
OG0000218	Praw.g_00835	Syat.g_02087
OG0000219	Praw.g_00834	Syat.g_02088
OG0000220	Praw.g_00833	Syat.g_02089
OG0000221	Praw.g_00832	Syat.g_02095
OG0000222	Praw.g_00824	Syat.g_02109
OG0000223	Praw.g_00811	Syat.g_02570
OG0000224	Praw.g_00809	Syat.g_02139
OG0000225	Praw.g_00786	Syat.g_01595
OG0000226	Praw.g_00782	Syat.g_01588
OG0000228	Praw.g_00777	Syat.g_02952
OG0000229	Praw.g_00711	Syat.g_02970
OG0000230	Praw.g_00709	Syat.g_02972
OG0000231	Praw.g_00698	Syat.g_01283
OG0000232	Praw.g_00689	Syat.g_01313
OG0000233	Praw.g_00684	Syat.g_01407
OG0000234	Praw.g_00671	Syat.g_01369
OG0000235	Praw.g_00668	Syat.g_03169
OG0000236	Praw.g_00655	Syat.g_03186
OG0000237	Praw.g_00642	Syat.g_03214
OG0000238	Praw.g_00636	Syat.g_03219
OG0000239	Praw.g_00623	Syat.g_01105
OG0000240	Praw.g_00622	Syat.g_01104
OG0000241	Praw.g_00618	Syat.g_00111
OG0000242	Praw.g_00616	Syat.g_01077
OG0000243	Praw.g_00605	Syat.g_00092
OG0000244	Praw.g_00602	Syat.g_00082
OG0000245	Praw.g_00600	Syat.g_00080
OG0000246	Praw.g_00596	Syat.g_00076
OG0000247	Praw.g_00586	Syat.g_00065
OG0000248	Praw.g_00584	Syat.g_00062
OG0000249	Praw.g_00582	Syat.g_00060
OG0000250	Praw.g_00577	Syat.g_00053
OG0000251	Praw.g_01937	Syat.g_00027
OG0000252	Praw.g_01940	Syat.g_00022
OG0000253	Praw.g_01941	Syat.g_00021
OG0000254	Praw.g_00147	Syat.g_03407
OG0000255	Praw.g_00153	Syat.g_02405
OG0000256	Praw.g_00163	Syat.g_03306
OG0000257	Praw.g_00166	Syat.g_00109
OG0000258	Praw.g_01879	Syat.g_00382
OG0000259	Praw.g_01862	Syat.g_00342
OG0000260	Praw.g_01859	Syat.g_00392
OG0000261	Praw.g_01857	Syat.g_00400
OG0000262	Praw.g_01853	Syat.g_00407
OG0000263	Praw.g_01841	Syat.g_00200
OG0000266	Praw.g_01799	Syat.g_00671
OG0000267	Praw.g_01788	Syat.g_00636
OG0000268	Praw.g_01787	Syat.g_00634
OG0000269	Praw.g_01702	Syat.g_00474, Syat.g_00126
OG0000270	Praw.g_01699	Syat.g_00477
OG0000271	Praw.g_01691	Syat.g_00485
OG0000272	Praw.g_01690	Syat.g_00486
OG0000273	Praw.g_01668	Syat.g_00520
OG0000274	Praw.g_01667	Syat.g_00521
OG0000275	Praw.g_01665	Syat.g_00718
OG0000276	Praw.g_01660	Syat.g_00725
OG0000277	Praw.g_01659	Syat.g_00738
OG0000278	Praw.g_01656	Syat.g_00741
OG0000279	Praw.g_01649	Syat.g_00755
OG0000280	Praw.g_01648	Syat.g_01669
OG0000281	Praw.g_01643	Syat.g_00960
OG0000282	Praw.g_01595	Syat.g_00431
OG0000283	Praw.g_01562	Syat.g_00620
OG0000284	Praw.g_01557	Syat.g_00614
OG0000285	Praw.g_01552	Syat.g_00607
OG0000286	Praw.g_01540	Syat.g_00579
OG0000287	Praw.g_01523	Syat.g_00550
OG0000288	Praw.g_01494	Syat.g_00709
OG0000289	Praw.g_01483	Syat.g_00695
OG0000290	Praw.g_01470	Syat.g_00805
OG0000292	Praw.g_01418	Syat.g_02388
OG0000293	Praw.g_00225	Syat.g_03241
OG0000294	Praw.g_00226	Syat.g_03248
OG0000295	Praw.g_00246	Syat.g_00297
OG0000296	Praw.g_00248	Syat.g_00295
OG0000299	Praw.g_00274	Syat.g_00910
OG0000300	Praw.g_00277	Syat.g_00904
OG0000301	Praw.g_00278	Syat.g_00903
OG0000302	Praw.g_00280	Syat.g_00901
OG0000303	Praw.g_00287	Syat.g_00892
OG0000304	Praw.g_00291	Syat.g_00885
OG0000305	Praw.g_01008	Syat.g_00809
OG0000306	Praw.g_01011	Syat.g_01704
OG0000307	Praw.g_01025	Syat.g_01304
OG0000308	Praw.g_01026	Syat.g_01306
OG0000309	Praw.g_01030	Syat.g_01417
OG0000310	Praw.g_01098	Syat.g_01246
OG0000311	Praw.g_01096	Syat.g_01242
OG0000312	Praw.g_01093	Syat.g_01237
OG0000313	Praw.g_01076	Syat.g_01183
OG0000314	Praw.g_00363	Syat.g_01341
OG0000315	Praw.g_00374	Syat.g_01351
OG0000316	Praw.g_00394	Syat.g_03082
OG0000317	Praw.g_00513	Syat.g_03120
OG0000318	Praw.g_00516	Syat.g_03125
OG0000319	Praw.g_00529	Syat.g_03055
OG0000320	Praw.g_00531	Syat.g_03053
OG0000321	Praw.g_00532	Syat.g_03052
OG0000322	Praw.g_00533	Syat.g_03051
OG0000323	Praw.g_00542	Syat.g_03038
OG0000324	Praw.g_00569	Syat.g_02998
OG0000325	Praw.g_01916	Syat.g_01861
OG0000326	Praw.g_01910	Syat.g_01854
OG0000327	Praw.g_00137	Syat.g_01827
OG0000328	Praw.g_00136	Syat.g_01826
OG0000329	Praw.g_00119	Syat.g_01808
OG0000330	Praw.g_00118	Syat.g_01807
OG0000331	Praw.g_00117	Syat.g_01806
OG0000332	Praw.g_00103	Syat.g_01790
OG0000333	Praw.g_00101	Syat.g_01787
OG0000334	Praw.g_00093	Syat.g_01657
OG0000335	Praw.g_00088	Syat.g_01652
OG0000336	Praw.g_00084	Syat.g_01648
OG0000337	Praw.g_00068	Syat.g_02144
OG0000338	Praw.g_00067	Syat.g_02146
OG0000339	Praw.g_00063	Syat.g_02155, Syat.g_01055
OG0000340	Praw.g_00055	Syat.g_02165
OG0000341	Praw.g_00053	Syat.g_02167
OG0000342	Praw.g_00052	Syat.g_02168
OG0000343	Praw.g_00051	Syat.g_02185
OG0000344	Praw.g_00048	Syat.g_02189
OG0000345	Praw.g_00043	Syat.g_02202
OG0000346	Praw.g_00038	Syat.g_02207
OG0000347	Praw.g_00022	Syat.g_02234
OG0000348	Praw.g_00013	Syat.g_02264
OG0000349	Praw.g_01189	Syat.g_02291
OG0000350	Praw.g_01170	Syat.g_01847
OG0000351	Praw.g_01153	Syat.g_02411
OG0000352	Praw.g_01152	Syat.g_02410
OG0000353	Praw.g_01137	Syat.g_00955, Syat.g_02377
OG0000354	Praw.g_00910	Syat.g_02325
OG0000355	Praw.g_01135	Syat.g_02375
OG0000356	Praw.g_01134	Syat.g_02374
OG0000357	Praw.g_01133	Syat.g_02373
OG0000358	Praw.g_01129	Syat.g_02336
OG0000359	Praw.g_01128	Syat.g_02334
OG0000360	Praw.g_01127	Syat.g_02333
OG0000361	Praw.g_01126	Syat.g_02332
OG0000362	Praw.g_01124	Syat.g_02330
OG0000363	Praw.g_01414	Syat.g_02328
OG0000364	Praw.g_01413	Syat.g_03122
OG0000365	Praw.g_01408	Syat.g_02318
OG0000366	Praw.g_01407	Syat.g_02317
OG0000367	Praw.g_01406	Syat.g_02316
OG0000368	Praw.g_01404	Syat.g_02314
OG0000369	Praw.g_01403	Syat.g_02313
OG0000370	Praw.g_01402	Syat.g_02312
OG0000371	Praw.g_01396	Syat.g_02304
OG0000372	Praw.g_01393	Syat.g_02298
OG0000373	Praw.g_01392	Syat.g_02297
OG0000374	Praw.g_01391	Syat.g_02296
OG0000375	Praw.g_01388	Syat.g_02295
OG0000376	Praw.g_01386	Syat.g_02293
OG0000377	Praw.g_01383	Syat.g_02695
OG0000378	Praw.g_01381	Syat.g_02715
OG0000379	Praw.g_01378	Syat.g_02720
OG0000380	Praw.g_01368	Syat.g_01468
OG0000381	Praw.g_01364	Syat.g_01470
OG0000382	Praw.g_01353	Syat.g_01488
OG0000383	Praw.g_01351	Syat.g_01521
OG0000384	Praw.g_01350	Syat.g_01522
OG0000385	Praw.g_01349	Syat.g_01523
OG0000386	Praw.g_01348	Syat.g_01524
OG0000387	Praw.g_01336	Syat.g_01561
OG0000388	Praw.g_01333	Syat.g_01565
OG0000389	Praw.g_01329	Syat.g_01569
OG0000390	Praw.g_01322	Syat.g_02945
OG0000391	Praw.g_01319	Syat.g_02940
OG0000392	Praw.g_01315	Syat.g_02934
OG0000393	Praw.g_01313	Syat.g_02931
OG0000394	Praw.g_01312	Syat.g_02930
OG0000395	Praw.g_01311	Syat.g_02929
OG0000396	Praw.g_01308	Syat.g_02927
OG0000397	Praw.g_01306	Syat.g_02925
OG0000398	Praw.g_01304	Syat.g_02920
OG0000399	Praw.g_01303	Syat.g_02919
OG0000400	Praw.g_01302	Syat.g_02918
OG0000401	Praw.g_01301	Syat.g_02917
OG0000402	Praw.g_01299	Syat.g_02915
OG0000403	Praw.g_01298	Syat.g_02914
OG0000404	Praw.g_01297	Syat.g_02913
OG0000405	Praw.g_01293	Syat.g_02900
OG0000406	Praw.g_01288	Syat.g_02896
OG0000407	Praw.g_01287	Syat.g_02895
OG0000408	Praw.g_01285	Syat.g_02893
OG0000409	Praw.g_01283	Syat.g_02891
OG0000410	Praw.g_01282	Syat.g_02890
OG0000411	Praw.g_01281	Syat.g_02889
OG0000412	Praw.g_01280	Syat.g_02888
OG0000413	Praw.g_01279	Syat.g_02886
OG0000414	Praw.g_01278	Syat.g_02885
OG0000415	Praw.g_01277	Syat.g_02884
OG0000416	Praw.g_01276	Syat.g_02883
OG0000417	Praw.g_01275	Syat.g_02868
OG0000418	Praw.g_01270	Syat.g_02863
OG0000419	Praw.g_01268	Syat.g_02861
OG0000420	Praw.g_01267	Syat.g_02859
OG0000421	Praw.g_01262	Syat.g_02855
OG0000422	Praw.g_01261	Syat.g_02854
OG0000423	Praw.g_01260	Syat.g_02853
OG0000424	Praw.g_01259	Syat.g_02852
OG0000425	Praw.g_01258	Syat.g_02851
OG0000426	Praw.g_01257	Syat.g_02850
OG0000427	Praw.g_01256	Syat.g_02849
OG0000428	Praw.g_01254	Syat.g_02846
OG0000429	Praw.g_01253	Syat.g_02843
OG0000430	Praw.g_01252	Syat.g_02841
OG0000431	Praw.g_01250	Syat.g_02838
OG0000432	Praw.g_01247	Syat.g_02832
OG0000433	Praw.g_01246	Syat.g_02829
OG0000434	Praw.g_01245	Syat.g_02828
OG0000435	Praw.g_01244	Syat.g_02824
OG0000436	Praw.g_01239	Syat.g_02817
OG0000437	Praw.g_01238	Syat.g_02558
OG0000438	Praw.g_01237	Syat.g_02813
OG0000439	Praw.g_01235	Syat.g_02811
OG0000440	Praw.g_01234	Syat.g_02810
OG0000441	Praw.g_01231	Syat.g_02807
OG0000442	Praw.g_01230	Syat.g_02797
OG0000443	Praw.g_01229	Syat.g_02787
OG0000444	Praw.g_01224	Syat.g_02756
OG0000445	Praw.g_01223	Syat.g_02755
OG0000446	Praw.g_01222	Syat.g_02753
OG0000447	Praw.g_01221	Syat.g_02749
OG0000448	Praw.g_01220	Syat.g_02748
OG0000449	Praw.g_01219	Syat.g_02747
OG0000450	Praw.g_01218	Syat.g_02738
OG0000451	Praw.g_01217	Syat.g_02737
OG0000452	Praw.g_01214	Syat.g_02732
OG0000453	Praw.g_01213	Syat.g_02731
OG0000454	Praw.g_01212	Syat.g_02730
OG0000455	Praw.g_01211	Syat.g_02729
OG0000456	Praw.g_01210	Syat.g_02728
OG0000457	Praw.g_01209	Syat.g_02726
OG0000458	Praw.g_01208	Syat.g_02725
OG0000459	Praw.g_01207	Syat.g_02724
OG0000460	Praw.g_01200	Syat.g_01450
OG0000461	Praw.g_00891	Syat.g_01866
OG0000462	Praw.g_00889	Syat.g_01868
OG0000463	Praw.g_00888	Syat.g_01869
OG0000464	Praw.g_00887	Syat.g_01870
OG0000465	Praw.g_00886	Syat.g_01872
OG0000466	Praw.g_00883	Syat.g_01877
OG0000467	Praw.g_00882	Syat.g_01878
OG0000468	Praw.g_00880	Syat.g_01884
OG0000469	Praw.g_00872	Syat.g_02000
OG0000470	Praw.g_00870	Syat.g_02038
OG0000471	Praw.g_00869	Syat.g_02039
OG0000472	Praw.g_00868	Syat.g_02041
OG0000473	Praw.g_00866	Syat.g_02043
OG0000474	Praw.g_00865	Syat.g_02044
OG0000475	Praw.g_00864	Syat.g_02045
OG0000476	Praw.g_00863	Syat.g_02047
OG0000477	Praw.g_00859	Syat.g_02053
OG0000478	Praw.g_00858	Syat.g_02054
OG0000479	Praw.g_00857	Syat.g_02056
OG0000480	Praw.g_00852	Syat.g_02063
OG0000481	Praw.g_00850	Syat.g_02066
OG0000482	Praw.g_00849	Syat.g_02067
OG0000483	Praw.g_00846	Syat.g_02071
OG0000484	Praw.g_00845	Syat.g_02072
OG0000485	Praw.g_00844	Syat.g_02073
OG0000486	Praw.g_00843	Syat.g_02074
OG0000487	Praw.g_00839	Syat.g_02080
OG0000488	Praw.g_00836	Syat.g_02086
OG0000489	Praw.g_00831	Syat.g_02097
OG0000490	Praw.g_00826	Syat.g_02106
OG0000491	Praw.g_00825	Syat.g_02107
OG0000492	Praw.g_00823	Syat.g_02110
OG0000493	Praw.g_00822	Syat.g_02111
OG0000494	Praw.g_00821	Syat.g_02112
OG0000495	Praw.g_00820	Syat.g_02120
OG0000496	Praw.g_00819	Syat.g_02121
OG0000497	Praw.g_00818	Syat.g_02122
OG0000498	Praw.g_00817	Syat.g_02123
OG0000499	Praw.g_00816	Syat.g_02124
OG0000500	Praw.g_00815	Syat.g_02125
OG0000501	Praw.g_00813	Syat.g_02128
OG0000502	Praw.g_00810	Syat.g_02135
OG0000503	Praw.g_00796	Syat.g_01614
OG0000504	Praw.g_00795	Syat.g_01612
OG0000505	Praw.g_00794	Syat.g_01611
OG0000506	Praw.g_00792	Syat.g_01609
OG0000507	Praw.g_00790	Syat.g_01603
OG0000508	Praw.g_00787	Syat.g_01596
OG0000509	Praw.g_00785	Syat.g_01591
OG0000510	Praw.g_00784	Syat.g_01590
OG0000511	Praw.g_00783	Syat.g_01589
OG0000512	Praw.g_00781	Syat.g_01587
OG0000513	Praw.g_00774	Syat.g_02957
OG0000514	Praw.g_00716	Syat.g_02962
OG0000515	Praw.g_00715	Syat.g_02963
OG0000516	Praw.g_00714	Syat.g_02965
OG0000517	Praw.g_00712	Syat.g_02969
OG0000518	Praw.g_00701	Syat.g_01286
OG0000519	Praw.g_00700	Syat.g_01285
OG0000520	Praw.g_00699	Syat.g_01284
OG0000521	Praw.g_00694	Syat.g_01319
OG0000522	Praw.g_00692	Syat.g_01317
OG0000523	Praw.g_00691	Syat.g_01316
OG0000524	Praw.g_00686	Syat.g_01409
OG0000525	Praw.g_00683	Syat.g_01382
OG0000526	Praw.g_00682	Syat.g_01380
OG0000527	Praw.g_00674	Syat.g_01373
OG0000528	Praw.g_00669	Syat.g_03167
OG0000529	Praw.g_00666	Syat.g_03171
OG0000530	Praw.g_00664	Syat.g_03174
OG0000531	Praw.g_00663	Syat.g_03175
OG0000532	Praw.g_00661	Syat.g_03178
OG0000533	Praw.g_00660	Syat.g_03180
OG0000534	Praw.g_00659	Syat.g_03181
OG0000535	Praw.g_00658	Syat.g_03182
OG0000536	Praw.g_00657	Syat.g_03183
OG0000537	Praw.g_00656	Syat.g_03185
OG0000538	Praw.g_00648	Syat.g_03204
OG0000539	Praw.g_00647	Syat.g_03206
OG0000540	Praw.g_00646	Syat.g_03207
OG0000541	Praw.g_00645	Syat.g_03208
OG0000542	Praw.g_00643	Syat.g_03213
OG0000543	Praw.g_00641	Syat.g_03215
OG0000544	Praw.g_00640	Syat.g_03216
OG0000545	Praw.g_00638	Syat.g_03218
OG0000546	Praw.g_00635	Syat.g_03220
OG0000547	Praw.g_00633	Syat.g_03222
OG0000548	Praw.g_00632	Syat.g_03223
OG0000549	Praw.g_00630	Syat.g_01795
OG0000550	Praw.g_00625	Syat.g_01107
OG0000551	Praw.g_00621	Syat.g_01103
OG0000552	Praw.g_00620	Syat.g_01102
OG0000553	Praw.g_00619	Syat.g_01098
OG0000554	Praw.g_00614	Syat.g_03271
OG0000555	Praw.g_00606	Syat.g_00093
OG0000556	Praw.g_00604	Syat.g_00088
OG0000557	Praw.g_00603	Syat.g_00083
OG0000558	Praw.g_00601	Syat.g_00081
OG0000559	Praw.g_00597	Syat.g_00077
OG0000560	Praw.g_00594	Syat.g_00074
OG0000561	Praw.g_00593	Syat.g_00073
OG0000562	Praw.g_00592	Syat.g_00072
OG0000563	Praw.g_00591	Syat.g_00071
OG0000564	Praw.g_00590	Syat.g_00070
OG0000565	Praw.g_00587	Syat.g_00067
OG0000566	Praw.g_00585	Syat.g_00063
OG0000567	Praw.g_00581	Syat.g_00059
OG0000568	Praw.g_00580	Syat.g_00057
OG0000569	Praw.g_00579	Syat.g_00056
OG0000570	Praw.g_00578	Syat.g_00055
OG0000571	Praw.g_00576	Syat.g_00052
OG0000572	Praw.g_01933	Syat.g_00033
OG0000573	Praw.g_01938	Syat.g_00024
OG0000574	Praw.g_01939	Syat.g_00023
OG0000575	Praw.g_01943	Syat.g_00018
OG0000576	Praw.g_01945	Syat.g_00014
OG0000577	Praw.g_01946	Syat.g_00013
OG0000578	Praw.g_01947	Syat.g_00012
OG0000579	Praw.g_01948	Syat.g_00011
OG0000580	Praw.g_01949	Syat.g_00010
OG0000581	Praw.g_00141	Syat.g_00003
OG0000582	Praw.g_00144	Syat.g_03403
OG0000583	Praw.g_00145	Syat.g_03404
OG0000584	Praw.g_00146	Syat.g_03405
OG0000585	Praw.g_00148	Syat.g_03408
OG0000586	Praw.g_00149	Syat.g_03409
OG0000587	Praw.g_00150	Syat.g_00001
OG0000588	Praw.g_00154	Syat.g_00338
OG0000589	Praw.g_00157	Syat.g_03318
OG0000590	Praw.g_00158	Syat.g_03317
OG0000591	Praw.g_00161	Syat.g_03308
OG0000592	Praw.g_00162	Syat.g_03307
OG0000593	Praw.g_00168	Syat.g_00113
OG0000594	Praw.g_00169	Syat.g_00114
OG0000595	Praw.g_01888	Syat.g_00115
OG0000596	Praw.g_01884	Syat.g_00129
OG0000597	Praw.g_01882	Syat.g_00132
OG0000598	Praw.g_01881	Syat.g_00133
OG0000599	Praw.g_01878	Syat.g_00381
OG0000600	Praw.g_01877	Syat.g_00380
OG0000601	Praw.g_01876	Syat.g_00379
OG0000602	Praw.g_01874	Syat.g_00375
OG0000603	Praw.g_01873	Syat.g_00374
OG0000604	Praw.g_01872	Syat.g_00372
OG0000605	Praw.g_01871	Syat.g_00370
OG0000606	Praw.g_01868	Syat.g_00367
OG0000607	Praw.g_01865	Syat.g_00364
OG0000608	Praw.g_01864	Syat.g_00363
