Orthogroup	Praw	Syam
OG0000086	Praw.g_01346	Syam.g_02092
OG0000087	Praw.g_01296	Syam.g_02175
OG0000088	Praw.g_01269	Syam.g_02213
OG0000089	Praw.g_00776	Syam.g_00489
OG0000090	Praw.g_00615	Syam.g_00651
OG0000091	Praw.g_01880	Syam.g_01460
OG0000094	Praw.g_01486	Syam.g_01198
OG0000097	Praw.g_00275	Syam.g_00874
OG0000098	Praw.g_00997	Syam.g_00944
OG0000099	Praw.g_01051	Syam.g_00173
OG0000100	Praw.g_00411	Syam.g_01259
OG0000101	Praw.g_00096	Syam.g_00371
OG0000102	Praw.g_00034	Syam.g_00110
OG0000103	Praw.g_01148	Syam.g_02428
OG0000104	Praw.g_01140	Syam.g_02442
OG0000105	Praw.g_00860	Syam.g_00238
OG0000106	Praw.g_00762	Syam.g_01039
OG0000107	Praw.g_00748	Syam.g_00288
OG0000108	Praw.g_00667	Syam.g_00583
OG0000109	Praw.g_00654	Syam.g_00598
OG0000110	Praw.g_01922	Syam.g_01743
OG0000112	Praw.g_01732	Syam.g_01115
OG0000113	Praw.g_01675	Syam.g_01264
OG0000114	Praw.g_01597	Syam.g_01349
OG0000115	Praw.g_00178	Syam.g_01634
OG0000116	Praw.g_00224	Syam.g_01807
OG0000117	Praw.g_00926	Syam.g_00904
OG0000118	Praw.g_00993	Syam.g_01698
OG0000120	Praw.g_01050	Syam.g_00172
OG0000121	Praw.g_01078	Syam.g_01615
OG0000122	Praw.g_00377	Syam.g_01436
OG0000123	Praw.g_00089	Syam.g_00379
OG0000124	Praw.g_00023	Syam.g_00096
OG0000125	Praw.g_01180	Syam.g_02319
OG0000126	Praw.g_01141	Syam.g_02440
OG0000128	Praw.g_01125	Syam.g_00012
OG0000129	Praw.g_01384	Syam.g_02307
OG0000130	Praw.g_01365	Syam.g_02062
OG0000131	Praw.g_01290	Syam.g_02191
OG0000132	Praw.g_01271	Syam.g_02211
OG0000133	Praw.g_00812	Syam.g_01120
OG0000134	Praw.g_00775	Syam.g_00492
OG0000135	Praw.g_00751	Syam.g_02347
OG0000136	Praw.g_00706	Syam.g_01857
OG0000137	Praw.g_00672	Syam.g_01668
OG0000138	Praw.g_00653	Syam.g_00599
OG0000139	Praw.g_00611	Syam.g_00657
OG0000140	Praw.g_00610	Syam.g_00659
OG0000141	Praw.g_00143	Syam.g_01514
OG0000142	Praw.g_01887	Syam.g_01468
OG0000143	Praw.g_01883	Syam.g_01464
OG0000144	Praw.g_01870	Syam.g_01032
OG0000145	Praw.g_01745	Syam.g_00605
OG0000146	Praw.g_01731	Syam.g_01114
OG0000147	Praw.g_01730	Syam.g_01113
OG0000148	Praw.g_01681	Syam.g_01270
OG0000149	Praw.g_01652	Syam.g_00725
OG0000150	Praw.g_01644	Syam.g_00660
OG0000151	Praw.g_01587	Syam.g_01338
OG0000152	Praw.g_01539	Syam.g_01124
OG0000153	Praw.g_01520	Syam.g_01160
OG0000154	Praw.g_01493	Syam.g_01187
OG0000155	Praw.g_00254	Syam.g_01763
OG0000156	Praw.g_00968	Syam.g_01814
OG0000157	Praw.g_00969	Syam.g_01815
OG0000158	Praw.g_01052	Syam.g_00139
OG0000160	Praw.g_01079, Praw.g_01080	Syam.g_01614
OG0000161	Praw.g_00344	Syam.g_01620
OG0000162	Praw.g_00350	Syam.g_01627
OG0000163	Praw.g_00384	Syam.g_01927
OG0000164	Praw.g_00539	Syam.g_02023
OG0000165	Praw.g_00546	Syam.g_01879, Syam.g_01878
OG0000166	Praw.g_00132	Syam.g_00330
OG0000167	Praw.g_00066	Syam.g_00151
OG0000168	Praw.g_00056	Syam.g_00138
OG0000169	Praw.g_00046	Syam.g_00127
OG0000170	Praw.g_00044	Syam.g_00120
OG0000171	Praw.g_00024	Syam.g_00097
OG0000172	Praw.g_00016	Syam.g_00075
OG0000173	Praw.g_00001	Syam.g_00057
OG0000174	Praw.g_01166	Syam.g_02349
OG0000175	Praw.g_01156	Syam.g_02417
OG0000176	Praw.g_01132	Syam.g_00004
OG0000177	Praw.g_01131	Syam.g_00005
OG0000178	Praw.g_01130	Syam.g_00006
OG0000179	Praw.g_01412	Syam.g_00021
OG0000180	Praw.g_01411	Syam.g_00022
OG0000181	Praw.g_01410	Syam.g_00023
OG0000182	Praw.g_01409	Syam.g_00024
OG0000183	Praw.g_01405	Syam.g_00028
OG0000184	Praw.g_01382	Syam.g_02298
OG0000185	Praw.g_01379	Syam.g_02295
OG0000186	Praw.g_01370	Syam.g_02058
OG0000187	Praw.g_01369	Syam.g_02059
OG0000188	Praw.g_01352	Syam.g_02081
OG0000189	Praw.g_01339	Syam.g_02108
OG0000190	Praw.g_01338	Syam.g_02110
OG0000191	Praw.g_01318	Syam.g_02142
OG0000192	Praw.g_01314	Syam.g_02148
OG0000193	Praw.g_01289	Syam.g_02192
OG0000194	Praw.g_01286	Syam.g_02195
OG0000195	Praw.g_01284	Syam.g_02197
OG0000196	Praw.g_01274	Syam.g_02208
OG0000197	Praw.g_01273	Syam.g_02209
OG0000198	Praw.g_01272	Syam.g_02210
OG0000199	Praw.g_01265	Syam.g_02218
OG0000200	Praw.g_01251	Syam.g_02234
OG0000202	Praw.g_01242	Syam.g_02249
OG0000203	Praw.g_01241	Syam.g_02250
OG0000204	Praw.g_01240	Syam.g_02251
OG0000205	Praw.g_01233	Syam.g_02258
OG0000206	Praw.g_01228	Syam.g_02264
OG0000207	Praw.g_01226	Syam.g_02266
OG0000208	Praw.g_01225	Syam.g_02267
OG0000209	Praw.g_01216	Syam.g_02278
OG0000210	Praw.g_01215	Syam.g_02279
OG0000212	Praw.g_01195	Syam.g_00515
OG0000213	Praw.g_00876	Syam.g_00263
OG0000214	Praw.g_00867	Syam.g_00247
OG0000215	Praw.g_00842	Syam.g_00216
OG0000216	Praw.g_00840	Syam.g_00212
OG0000217	Praw.g_00837	Syam.g_00208
OG0000218	Praw.g_00835	Syam.g_00206
OG0000219	Praw.g_00834	Syam.g_00205
OG0000220	Praw.g_00833	Syam.g_00204
OG0000221	Praw.g_00832	Syam.g_00198
OG0000222	Praw.g_00824	Syam.g_00186
OG0000223	Praw.g_00811	Syam.g_00168
OG0000224	Praw.g_00809	Syam.g_00164
OG0000225	Praw.g_00786	Syam.g_00473
OG0000226	Praw.g_00782	Syam.g_00477
OG0000227	Praw.g_00780	Syam.g_00479
OG0000228	Praw.g_00777	Syam.g_00488
OG0000229	Praw.g_00711	Syam.g_01867
OG0000230	Praw.g_00709	Syam.g_01865
OG0000231	Praw.g_00698	Syam.g_01848
OG0000232	Praw.g_00689	Syam.g_01692
OG0000233	Praw.g_00684	Syam.g_01678
OG0000234	Praw.g_00671	Syam.g_01667
OG0000235	Praw.g_00668	Syam.g_00582
OG0000236	Praw.g_00655	Syam.g_00597
OG0000237	Praw.g_00642	Syam.g_00614
OG0000238	Praw.g_00636	Syam.g_00619
OG0000239	Praw.g_00623	Syam.g_00637
OG0000240	Praw.g_00622	Syam.g_00638
OG0000241	Praw.g_00618	Syam.g_01477
OG0000242	Praw.g_00616	Syam.g_00649
OG0000243	Praw.g_00605	Syam.g_00668
OG0000244	Praw.g_00602	Syam.g_00674
OG0000245	Praw.g_00600	Syam.g_00676
OG0000246	Praw.g_00596	Syam.g_00680
OG0000247	Praw.g_00586	Syam.g_00692
OG0000248	Praw.g_00584	Syam.g_00695
OG0000249	Praw.g_00582	Syam.g_00697
OG0000250	Praw.g_00577	Syam.g_01747
OG0000251	Praw.g_01937	Syam.g_01722
OG0000252	Praw.g_01940	Syam.g_01719
OG0000253	Praw.g_01941	Syam.g_01718
OG0000254	Praw.g_00147	Syam.g_01510
OG0000255	Praw.g_00153	Syam.g_01500
OG0000256	Praw.g_00163	Syam.g_01484
OG0000257	Praw.g_00166	Syam.g_01478
OG0000258	Praw.g_01879	Syam.g_01459
OG0000259	Praw.g_01862	Syam.g_01378
OG0000260	Praw.g_01859	Syam.g_01375
OG0000261	Praw.g_01857	Syam.g_01372
OG0000262	Praw.g_01853	Syam.g_01367
OG0000263	Praw.g_01841	Syam.g_00885
OG0000264	Praw.g_01831	Syam.g_00805
OG0000265	Praw.g_01809	Syam.g_01880
OG0000266	Praw.g_01799	Syam.g_01234
OG0000267	Praw.g_01788	Syam.g_01071
OG0000268	Praw.g_01787	Syam.g_01072
OG0000269	Praw.g_01702	Syam.g_01295
OG0000270	Praw.g_01699	Syam.g_01292
OG0000271	Praw.g_01691	Syam.g_01284
OG0000272	Praw.g_01690	Syam.g_01283
OG0000273	Praw.g_01668	Syam.g_00745
OG0000274	Praw.g_01667	Syam.g_00744
OG0000275	Praw.g_01665	Syam.g_00741
OG0000276	Praw.g_01660	Syam.g_00733
OG0000277	Praw.g_01659	Syam.g_00732
OG0000278	Praw.g_01656	Syam.g_00729
OG0000279	Praw.g_01649	Syam.g_00721
OG0000280	Praw.g_01648	Syam.g_00701
OG0000281	Praw.g_01643	Syam.g_00943
OG0000282	Praw.g_01595	Syam.g_01347
OG0000283	Praw.g_01562	Syam.g_01087
OG0000284	Praw.g_01557	Syam.g_01093
OG0000285	Praw.g_01552	Syam.g_01105
OG0000286	Praw.g_01540	Syam.g_01123
OG0000288	Praw.g_01494	Syam.g_01186
OG0000289	Praw.g_01483	Syam.g_01201
OG0000290	Praw.g_01470	Syam.g_00771
OG0000291	Praw.g_01468	Syam.g_00773
OG0000292	Praw.g_01418	Syam.g_02439
OG0000293	Praw.g_00225	Syam.g_01806
OG0000294	Praw.g_00226	Syam.g_01805
OG0000295	Praw.g_00246	Syam.g_01771
OG0000296	Praw.g_00248	Syam.g_01769
OG0000297	Praw.g_00256	Syam.g_00906
OG0000298	Praw.g_00257	Syam.g_00905
OG0000299	Praw.g_00274	Syam.g_00878
OG0000300	Praw.g_00277	Syam.g_00871
OG0000301	Praw.g_00278	Syam.g_00870
OG0000302	Praw.g_00280	Syam.g_00868
OG0000303	Praw.g_00287	Syam.g_00859
OG0000304	Praw.g_00291	Syam.g_00853
OG0000305	Praw.g_01008	Syam.g_00776
OG0000306	Praw.g_01011	Syam.g_01757
OG0000307	Praw.g_01025	Syam.g_00566
OG0000308	Praw.g_01026	Syam.g_00564
OG0000309	Praw.g_01030	Syam.g_00559
OG0000310	Praw.g_01098	Syam.g_01591
OG0000311	Praw.g_01096	Syam.g_01595
OG0000312	Praw.g_01093	Syam.g_01601
OG0000313	Praw.g_01076	Syam.g_01617
OG0000314	Praw.g_00363	Syam.g_01647
OG0000315	Praw.g_00374	Syam.g_01658
OG0000316	Praw.g_00394	Syam.g_01945
OG0000317	Praw.g_00513	Syam.g_01987
OG0000318	Praw.g_00516	Syam.g_01991
OG0000319	Praw.g_00529	Syam.g_02006
OG0000320	Praw.g_00531	Syam.g_02008
OG0000321	Praw.g_00532	Syam.g_02009
OG0000322	Praw.g_00533	Syam.g_02010
OG0000323	Praw.g_00542	Syam.g_02025
OG0000324	Praw.g_00569	Syam.g_01906
OG0000325	Praw.g_01916	Syam.g_00289
OG0000326	Praw.g_01910	Syam.g_00296
OG0000327	Praw.g_00137	Syam.g_00325
OG0000328	Praw.g_00136	Syam.g_00326
OG0000329	Praw.g_00119	Syam.g_00344
OG0000330	Praw.g_00118	Syam.g_00345
OG0000331	Praw.g_00117	Syam.g_00346
OG0000332	Praw.g_00103	Syam.g_00361
OG0000333	Praw.g_00101	Syam.g_00364
OG0000334	Praw.g_00093	Syam.g_00375
OG0000335	Praw.g_00088	Syam.g_00380
OG0000336	Praw.g_00084	Syam.g_00384
OG0000337	Praw.g_00068	Syam.g_00155
OG0000338	Praw.g_00067	Syam.g_00153
OG0000339	Praw.g_00063	Syam.g_00147
OG0000340	Praw.g_00055	Syam.g_00137
OG0000341	Praw.g_00053	Syam.g_00135
OG0000342	Praw.g_00052	Syam.g_00134
OG0000343	Praw.g_00051	Syam.g_00133
OG0000344	Praw.g_00048	Syam.g_00129
OG0000345	Praw.g_00043	Syam.g_00119
OG0000346	Praw.g_00038	Syam.g_00114
OG0000347	Praw.g_00022	Syam.g_00083
OG0000348	Praw.g_00013	Syam.g_00068
OG0000349	Praw.g_01189	Syam.g_00050
OG0000350	Praw.g_01170	Syam.g_00303
OG0000351	Praw.g_01153	Syam.g_02420
OG0000352	Praw.g_01152	Syam.g_02421
OG0000353	Praw.g_01137	Syam.g_02445
OG0000355	Praw.g_01135	Syam.g_00001
OG0000356	Praw.g_01134	Syam.g_00002
OG0000357	Praw.g_01133	Syam.g_00003
OG0000358	Praw.g_01129	Syam.g_00007
OG0000359	Praw.g_01128	Syam.g_00009
OG0000360	Praw.g_01127	Syam.g_00010
OG0000361	Praw.g_01126	Syam.g_00011
OG0000362	Praw.g_01124	Syam.g_00013
OG0000363	Praw.g_01414	Syam.g_00015
OG0000364	Praw.g_01413	Syam.g_00016
OG0000365	Praw.g_01408	Syam.g_00025
OG0000366	Praw.g_01407	Syam.g_00026
OG0000367	Praw.g_01406	Syam.g_00027
OG0000368	Praw.g_01404	Syam.g_00029
OG0000369	Praw.g_01403	Syam.g_00030
OG0000370	Praw.g_01402	Syam.g_00031
OG0000371	Praw.g_01396	Syam.g_00038
OG0000372	Praw.g_01393	Syam.g_00043
OG0000373	Praw.g_01392	Syam.g_00044
OG0000374	Praw.g_01391	Syam.g_00045
OG0000375	Praw.g_01388	Syam.g_00046
OG0000376	Praw.g_01386	Syam.g_00048
OG0000377	Praw.g_01383	Syam.g_02306
OG0000378	Praw.g_01381	Syam.g_02297
OG0000379	Praw.g_01378	Syam.g_02294
OG0000380	Praw.g_01368	Syam.g_02060
OG0000381	Praw.g_01364	Syam.g_02063
OG0000382	Praw.g_01353	Syam.g_02080
OG0000383	Praw.g_01351	Syam.g_02083
OG0000384	Praw.g_01350	Syam.g_02084
OG0000385	Praw.g_01349	Syam.g_02085
OG0000386	Praw.g_01348	Syam.g_02086
OG0000387	Praw.g_01336	Syam.g_02112
OG0000388	Praw.g_01333	Syam.g_02116
OG0000389	Praw.g_01329	Syam.g_02120
OG0000390	Praw.g_01322	Syam.g_02136
OG0000391	Praw.g_01319	Syam.g_02141
OG0000392	Praw.g_01315	Syam.g_02147
OG0000393	Praw.g_01313	Syam.g_02149
OG0000394	Praw.g_01312	Syam.g_02150
OG0000395	Praw.g_01311	Syam.g_02151
OG0000396	Praw.g_01308	Syam.g_02153
OG0000397	Praw.g_01306	Syam.g_02160
OG0000398	Praw.g_01304	Syam.g_02165
OG0000399	Praw.g_01303	Syam.g_02166
OG0000400	Praw.g_01302	Syam.g_02167
OG0000401	Praw.g_01301	Syam.g_02168
OG0000402	Praw.g_01299	Syam.g_02171
OG0000403	Praw.g_01298	Syam.g_02172
OG0000404	Praw.g_01297	Syam.g_02173
OG0000405	Praw.g_01293	Syam.g_02189
OG0000406	Praw.g_01288	Syam.g_02193
OG0000407	Praw.g_01287	Syam.g_02194
OG0000408	Praw.g_01285	Syam.g_02196
OG0000409	Praw.g_01283	Syam.g_02198
OG0000410	Praw.g_01282	Syam.g_02199
OG0000411	Praw.g_01281	Syam.g_02200
OG0000412	Praw.g_01280	Syam.g_02201
OG0000413	Praw.g_01279	Syam.g_02203
OG0000414	Praw.g_01278	Syam.g_02204
OG0000415	Praw.g_01277	Syam.g_02205
OG0000416	Praw.g_01276	Syam.g_02206
OG0000417	Praw.g_01275	Syam.g_02207
OG0000418	Praw.g_01270	Syam.g_02212
OG0000419	Praw.g_01268	Syam.g_02214
OG0000420	Praw.g_01267	Syam.g_02216
OG0000421	Praw.g_01262	Syam.g_02221
OG0000422	Praw.g_01261	Syam.g_02222
OG0000423	Praw.g_01260	Syam.g_02223
OG0000424	Praw.g_01259	Syam.g_02224
OG0000425	Praw.g_01258	Syam.g_02225
OG0000426	Praw.g_01257	Syam.g_02226
OG0000427	Praw.g_01256	Syam.g_02227
OG0000428	Praw.g_01254	Syam.g_02230
OG0000429	Praw.g_01253	Syam.g_02232
OG0000430	Praw.g_01252	Syam.g_02233
OG0000431	Praw.g_01250	Syam.g_02237
OG0000432	Praw.g_01247	Syam.g_02243
OG0000433	Praw.g_01246	Syam.g_02244
OG0000434	Praw.g_01245	Syam.g_02245
OG0000435	Praw.g_01244	Syam.g_02246
OG0000436	Praw.g_01239	Syam.g_02252
OG0000437	Praw.g_01238	Syam.g_02253
OG0000438	Praw.g_01237	Syam.g_02254
OG0000439	Praw.g_01235	Syam.g_02256
OG0000440	Praw.g_01234	Syam.g_02257
OG0000441	Praw.g_01231	Syam.g_02261
OG0000442	Praw.g_01230	Syam.g_02262
OG0000443	Praw.g_01229	Syam.g_02263
OG0000444	Praw.g_01224	Syam.g_02268
OG0000445	Praw.g_01223	Syam.g_02269
OG0000446	Praw.g_01222	Syam.g_02270
OG0000447	Praw.g_01221	Syam.g_02272
OG0000448	Praw.g_01220	Syam.g_02273
OG0000449	Praw.g_01219	Syam.g_02274
OG0000450	Praw.g_01218	Syam.g_02275
OG0000451	Praw.g_01217	Syam.g_02276
OG0000452	Praw.g_01214	Syam.g_02280
OG0000453	Praw.g_01213	Syam.g_02281
OG0000454	Praw.g_01212	Syam.g_02282
OG0000455	Praw.g_01211	Syam.g_02283
OG0000456	Praw.g_01210	Syam.g_02284
OG0000457	Praw.g_01209	Syam.g_02286
OG0000458	Praw.g_01208	Syam.g_02287
OG0000459	Praw.g_01207	Syam.g_02288
OG0000460	Praw.g_01200	Syam.g_00506
OG0000461	Praw.g_00891	Syam.g_00284
OG0000462	Praw.g_00889	Syam.g_00281
OG0000463	Praw.g_00888	Syam.g_00280
OG0000464	Praw.g_00887	Syam.g_00279
OG0000465	Praw.g_00886	Syam.g_00277
OG0000466	Praw.g_00883	Syam.g_00273
OG0000467	Praw.g_00882	Syam.g_00271
OG0000468	Praw.g_00880	Syam.g_00266
OG0000469	Praw.g_00872	Syam.g_00253
OG0000470	Praw.g_00870	Syam.g_00251
OG0000471	Praw.g_00869	Syam.g_00250
OG0000472	Praw.g_00868	Syam.g_00248
OG0000473	Praw.g_00866	Syam.g_00246
OG0000474	Praw.g_00865	Syam.g_00245
OG0000475	Praw.g_00864	Syam.g_00244
OG0000476	Praw.g_00863	Syam.g_00242
OG0000477	Praw.g_00859	Syam.g_00236
OG0000478	Praw.g_00858	Syam.g_00235
OG0000479	Praw.g_00857	Syam.g_00234
OG0000480	Praw.g_00852	Syam.g_00227
OG0000481	Praw.g_00850	Syam.g_00225
OG0000482	Praw.g_00849	Syam.g_00224
OG0000483	Praw.g_00846	Syam.g_00220
OG0000484	Praw.g_00845	Syam.g_00219
OG0000485	Praw.g_00844	Syam.g_00218
OG0000486	Praw.g_00843	Syam.g_00217
OG0000487	Praw.g_00839	Syam.g_00211
OG0000488	Praw.g_00836	Syam.g_00207
OG0000489	Praw.g_00831	Syam.g_00197
OG0000490	Praw.g_00826	Syam.g_00189
OG0000491	Praw.g_00825	Syam.g_00187
OG0000492	Praw.g_00823	Syam.g_00185
OG0000493	Praw.g_00822	Syam.g_00184
OG0000494	Praw.g_00821	Syam.g_00183
OG0000495	Praw.g_00820	Syam.g_00182
OG0000496	Praw.g_00819	Syam.g_00181
OG0000497	Praw.g_00818	Syam.g_00180
OG0000498	Praw.g_00817	Syam.g_00179
OG0000499	Praw.g_00816	Syam.g_00178
OG0000500	Praw.g_00815	Syam.g_00177
OG0000501	Praw.g_00813	Syam.g_00174
OG0000502	Praw.g_00810	Syam.g_00165
OG0000503	Praw.g_00796	Syam.g_00457
OG0000504	Praw.g_00795	Syam.g_00459
OG0000505	Praw.g_00794	Syam.g_00460
OG0000506	Praw.g_00792	Syam.g_00462
OG0000507	Praw.g_00790	Syam.g_00468
OG0000508	Praw.g_00787	Syam.g_00472
OG0000509	Praw.g_00785	Syam.g_00474
OG0000510	Praw.g_00784	Syam.g_00475
OG0000511	Praw.g_00783	Syam.g_00476
OG0000512	Praw.g_00781	Syam.g_00478
OG0000513	Praw.g_00774	Syam.g_00493
OG0000514	Praw.g_00716	Syam.g_00499
OG0000515	Praw.g_00715	Syam.g_00500
OG0000516	Praw.g_00714	Syam.g_01862
OG0000517	Praw.g_00712	Syam.g_01868
OG0000518	Praw.g_00701	Syam.g_01851
OG0000519	Praw.g_00700	Syam.g_01850
OG0000520	Praw.g_00699	Syam.g_01849
OG0000521	Praw.g_00694	Syam.g_01696
OG0000522	Praw.g_00692	Syam.g_01694
OG0000523	Praw.g_00691	Syam.g_01693
OG0000524	Praw.g_00686	Syam.g_01681
OG0000525	Praw.g_00683	Syam.g_01677
OG0000526	Praw.g_00682	Syam.g_01674
OG0000527	Praw.g_00674	Syam.g_01670
OG0000528	Praw.g_00669	Syam.g_00580
OG0000529	Praw.g_00666	Syam.g_00584
OG0000530	Praw.g_00664	Syam.g_00587
OG0000531	Praw.g_00663	Syam.g_00588
OG0000532	Praw.g_00661	Syam.g_00591
OG0000533	Praw.g_00660	Syam.g_00592
OG0000534	Praw.g_00659	Syam.g_00593
OG0000535	Praw.g_00658	Syam.g_00594
OG0000536	Praw.g_00657	Syam.g_00595
OG0000537	Praw.g_00656	Syam.g_00596
OG0000538	Praw.g_00648	Syam.g_00607
OG0000539	Praw.g_00647	Syam.g_00608
OG0000540	Praw.g_00646	Syam.g_00609
OG0000541	Praw.g_00645	Syam.g_00610
OG0000542	Praw.g_00643	Syam.g_00613
OG0000543	Praw.g_00641	Syam.g_00615
OG0000544	Praw.g_00640	Syam.g_00616
OG0000545	Praw.g_00638	Syam.g_00618
OG0000546	Praw.g_00635	Syam.g_00620
OG0000547	Praw.g_00633	Syam.g_00622
OG0000548	Praw.g_00632	Syam.g_00623
OG0000549	Praw.g_00630	Syam.g_00630
OG0000550	Praw.g_00625	Syam.g_00635
OG0000551	Praw.g_00621	Syam.g_00640
OG0000552	Praw.g_00620	Syam.g_00641
OG0000553	Praw.g_00619	Syam.g_00643
OG0000554	Praw.g_00614	Syam.g_00652
OG0000555	Praw.g_00606	Syam.g_00667
OG0000556	Praw.g_00604	Syam.g_00670
OG0000557	Praw.g_00603	Syam.g_00672
OG0000558	Praw.g_00601	Syam.g_00675
OG0000559	Praw.g_00597	Syam.g_00679
OG0000560	Praw.g_00594	Syam.g_00682
OG0000561	Praw.g_00593	Syam.g_00683
OG0000562	Praw.g_00592	Syam.g_00684
OG0000563	Praw.g_00591	Syam.g_00685
OG0000564	Praw.g_00590	Syam.g_00686
OG0000565	Praw.g_00587	Syam.g_00690
OG0000566	Praw.g_00585	Syam.g_00694
OG0000567	Praw.g_00581	Syam.g_00698
OG0000568	Praw.g_00580	Syam.g_01751
OG0000569	Praw.g_00579	Syam.g_01750
OG0000570	Praw.g_00578	Syam.g_01749
OG0000571	Praw.g_00576	Syam.g_01745
OG0000572	Praw.g_01933	Syam.g_01729
OG0000573	Praw.g_01938	Syam.g_01721
OG0000574	Praw.g_01939	Syam.g_01720
OG0000575	Praw.g_01943	Syam.g_01716
OG0000576	Praw.g_01945	Syam.g_01714
OG0000577	Praw.g_01946	Syam.g_01713
OG0000578	Praw.g_01947	Syam.g_01712
OG0000579	Praw.g_01948	Syam.g_01711
OG0000580	Praw.g_01949	Syam.g_01710
OG0000581	Praw.g_00141	Syam.g_01704
OG0000582	Praw.g_00144	Syam.g_01513
OG0000583	Praw.g_00145	Syam.g_01512
OG0000584	Praw.g_00146	Syam.g_01511
OG0000585	Praw.g_00148	Syam.g_01509
OG0000586	Praw.g_00149	Syam.g_01508
OG0000587	Praw.g_00150	Syam.g_01506
OG0000588	Praw.g_00154	Syam.g_01498
OG0000589	Praw.g_00157	Syam.g_01494
OG0000590	Praw.g_00158	Syam.g_01493
OG0000591	Praw.g_00161	Syam.g_01486
OG0000592	Praw.g_00162	Syam.g_01485
OG0000593	Praw.g_00168	Syam.g_01471
OG0000594	Praw.g_00169	Syam.g_01470
OG0000595	Praw.g_01888	Syam.g_01469
OG0000596	Praw.g_01884	Syam.g_01465
