Orthogroup	Praw	Prat
OG0000030	Praw.g_00029	Prat.g_01799
OG0000033	Praw.g_01266	Prat.g_00170
OG0000034	Praw.g_00991	Prat.g_01259
OG0000035	Praw.g_01081, Praw.g_01083	Prat.g_01353
OG0000037	Praw.g_01326	Prat.g_00106
OG0000038	Praw.g_01182	Prat.g_01839
OG0000039	Praw.g_01836	Prat.g_00760
OG0000040	Praw.g_00476	Prat.g_01578
OG0000041	Praw.g_00562	Prat.g_01640
OG0000042	Praw.g_00032	Prat.g_01796
OG0000043	Praw.g_01627	Prat.g_01176
OG0000045	Praw.g_00761	Prat.g_01203
OG0000048	Praw.g_00504, Praw.g_00758	Prat.g_00278
OG0000053	Praw.g_00357	Prat.g_01375
OG0000054	Praw.g_00142	Prat.g_00569
OG0000055	Praw.g_01716	Prat.g_00852
OG0000057	Praw.g_01824	Prat.g_00775
OG0000058	Praw.g_01055	Prat.g_01311
OG0000059	Praw.g_01894	Prat.g_01679
OG0000061	Praw.g_00234	Prat.g_01156
OG0000062	Praw.g_00415	Prat.g_01442
OG0000063	Praw.g_01395	Prat.g_01516
OG0000065	Praw.g_01328	Prat.g_00104
OG0000066	Praw.g_00609	Prat.g_01499
OG0000067	Praw.g_01697	Prat.g_01037
OG0000068	Praw.g_01016	Prat.g_01291
OG0000069	Praw.g_00448	Prat.g_01400
OG0000070	Praw.g_00697	Prat.g_00412
OG0000071	Praw.g_00981	Prat.g_01249
OG0000072	Praw.g_01264	Prat.g_00172
OG0000073	Praw.g_00649	Prat.g_00462
OG0000074	Praw.g_01840	Prat.g_00755
OG0000075	Praw.g_00064	Prat.g_01761
OG0000076	Praw.g_00039	Prat.g_01788
OG0000077	Praw.g_01356	Prat.g_00075
OG0000078	Praw.g_01196	Prat.g_00245
OG0000081	Praw.g_00617	Prat.g_00493
OG0000082	Praw.g_01932	Prat.g_01507
OG0000083	Praw.g_01769, Praw.g_00958, Praw.g_01775	Prat.g_00824
OG0000084	Praw.g_01087	Prat.g_01348
OG0000085	Praw.g_00508	Prat.g_01584
OG0000086	Praw.g_01346	Prat.g_00086
OG0000087	Praw.g_01296	Prat.g_00138
OG0000088	Praw.g_01269	Prat.g_00166
OG0000089	Praw.g_00776	Prat.g_00370
OG0000090	Praw.g_00615	Prat.g_00495
OG0000091	Praw.g_01880	Prat.g_01082
OG0000092	Praw.g_01592	Prat.g_00721
OG0000093	Praw.g_01571	Prat.g_01053
OG0000094	Praw.g_01486	Prat.g_00943
OG0000095	Praw.g_01467	Prat.g_00965
OG0000096	Praw.g_00482, Praw.g_00184, Praw.g_00945	Prat.g_00634
OG0000097	Praw.g_00275	Prat.g_01111
OG0000098	Praw.g_00997	Prat.g_01282
OG0000099	Praw.g_01051	Prat.g_01312
OG0000100	Praw.g_00411	Prat.g_01437
OG0000101	Praw.g_00096	Prat.g_01726
OG0000102	Praw.g_00034	Prat.g_01793
OG0000103	Praw.g_01148	Prat.g_01880
OG0000104	Praw.g_01140	Prat.g_01889
OG0000105	Praw.g_00860	Prat.g_00281
OG0000106	Praw.g_00762	Prat.g_00637
OG0000107	Praw.g_00748	Prat.g_01656
OG0000108	Praw.g_00667	Prat.g_00440
OG0000109	Praw.g_00654	Prat.g_00455
OG0000110	Praw.g_01922	Prat.g_00539
OG0000111	Praw.g_01823	Prat.g_00776
OG0000112	Praw.g_01732	Prat.g_00888
OG0000113	Praw.g_01675	Prat.g_01014
OG0000114	Praw.g_01597	Prat.g_00716
OG0000115	Praw.g_00178	Prat.g_01373
OG0000116	Praw.g_00224	Prat.g_01166
OG0000117	Praw.g_00926	Prat.g_01129
OG0000118	Praw.g_00993	Prat.g_01261
OG0000119	Praw.g_01012	Prat.g_00647, Prat.g_01452
OG0000120	Praw.g_01050	Prat.g_00344
OG0000121	Praw.g_01078	Prat.g_01355
OG0000122	Praw.g_00377	Prat.g_00781, Prat.g_01398
OG0000123	Praw.g_00089	Prat.g_01733
OG0000124	Praw.g_00023	Prat.g_01805
OG0000125	Praw.g_01180	Prat.g_01841
OG0000126	Praw.g_01141	Prat.g_01888
OG0000128	Praw.g_01125	Prat.g_00012, Prat.g_00011
OG0000129	Praw.g_01384	Prat.g_00047
OG0000130	Praw.g_01365	Prat.g_00066
OG0000131	Praw.g_01290	Prat.g_00144
OG0000132	Praw.g_01271	Prat.g_00164
OG0000133	Praw.g_00812	Prat.g_00329
OG0000134	Praw.g_00775	Prat.g_00372
OG0000135	Praw.g_00751	Prat.g_01477
OG0000136	Praw.g_00706	Prat.g_00401
OG0000137	Praw.g_00672	Prat.g_00434
OG0000138	Praw.g_00653	Prat.g_00456
OG0000139	Praw.g_00611	Prat.g_00499
OG0000140	Praw.g_00610	Prat.g_00500
OG0000141	Praw.g_00143	Prat.g_00570
OG0000142	Praw.g_01887	Prat.g_01090
OG0000143	Praw.g_01883	Prat.g_01086
OG0000144	Praw.g_01870	Prat.g_01072
OG0000145	Praw.g_01745	Prat.g_01472
OG0000146	Praw.g_01731	Prat.g_00887
OG0000147	Praw.g_01730	Prat.g_00886
OG0000148	Praw.g_01681	Prat.g_01020
OG0000149	Praw.g_01652	Prat.g_00991
OG0000150	Praw.g_01644	Prat.g_00981
OG0000151	Praw.g_01587	Prat.g_00726
OG0000152	Praw.g_01539	Prat.g_01277
OG0000153	Praw.g_01520	Prat.g_00915
OG0000154	Praw.g_01493	Prat.g_00934
OG0000155	Praw.g_00254	Prat.g_01135
OG0000156	Praw.g_00968	Prat.g_01238
OG0000157	Praw.g_00969	Prat.g_01239
OG0000158	Praw.g_01052	Prat.g_01769
OG0000160	Praw.g_01079, Praw.g_01080	Prat.g_01354
OG0000161	Praw.g_00344	Prat.g_01360
OG0000162	Praw.g_00350	Prat.g_01366
OG0000163	Praw.g_00384	Prat.g_01409
OG0000164	Praw.g_00539	Prat.g_01615
OG0000165	Praw.g_00546	Prat.g_01623
OG0000166	Praw.g_00132	Prat.g_01690
OG0000167	Praw.g_00066	Prat.g_01759
OG0000168	Praw.g_00056	Prat.g_01770
OG0000169	Praw.g_00046	Prat.g_01781
OG0000170	Praw.g_00044	Prat.g_01784
OG0000171	Praw.g_00024	Prat.g_01804
OG0000172	Praw.g_00016	Prat.g_01811
OG0000173	Praw.g_00001	Prat.g_01826
OG0000174	Praw.g_01166	Prat.g_01858
OG0000175	Praw.g_01156	Prat.g_01870
OG0000176	Praw.g_01132	Prat.g_00004
OG0000177	Praw.g_01131	Prat.g_00005
OG0000178	Praw.g_01130	Prat.g_00006
OG0000179	Praw.g_01412	Prat.g_00017
OG0000180	Praw.g_01411	Prat.g_00018
OG0000181	Praw.g_01410	Prat.g_00019
OG0000182	Praw.g_01409	Prat.g_00020
OG0000183	Praw.g_01405	Prat.g_01314, Prat.g_00024
OG0000184	Praw.g_01382	Prat.g_00051
OG0000185	Praw.g_01379	Prat.g_00054
OG0000186	Praw.g_01370	Prat.g_00060
OG0000187	Praw.g_01369	Prat.g_00061
OG0000188	Praw.g_01352	Prat.g_00080
OG0000189	Praw.g_01339	Prat.g_00093
OG0000190	Praw.g_01338	Prat.g_00094
OG0000191	Praw.g_01318	Prat.g_00116
OG0000192	Praw.g_01314	Prat.g_00121
OG0000193	Praw.g_01289	Prat.g_00145
OG0000194	Praw.g_01286	Prat.g_00148
OG0000195	Praw.g_01284	Prat.g_00150
OG0000196	Praw.g_01274	Prat.g_00161
OG0000197	Praw.g_01273	Prat.g_00162
OG0000198	Praw.g_01272	Prat.g_00163
OG0000199	Praw.g_01265	Prat.g_00171
OG0000200	Praw.g_01251	Prat.g_00185
OG0000201	Praw.g_01243	Prat.g_00194
OG0000202	Praw.g_01242	Prat.g_00195
OG0000203	Praw.g_01241	Prat.g_00196
OG0000204	Praw.g_01240	Prat.g_00197
OG0000205	Praw.g_01233	Prat.g_00204
OG0000206	Praw.g_01228	Prat.g_00209
OG0000207	Praw.g_01226	Prat.g_00211
OG0000208	Praw.g_01225	Prat.g_00212
OG0000209	Praw.g_01216	Prat.g_00221
OG0000210	Praw.g_01215	Prat.g_00222
OG0000211	Praw.g_01202	Prat.g_00238
OG0000212	Praw.g_01195	Prat.g_00246
OG0000213	Praw.g_00876	Prat.g_00264
OG0000214	Praw.g_00867	Prat.g_00274
OG0000215	Praw.g_00842	Prat.g_00300
OG0000216	Praw.g_00840	Prat.g_00302
OG0000217	Praw.g_00837	Prat.g_00305
OG0000218	Praw.g_00835	Prat.g_00307
OG0000219	Praw.g_00834	Prat.g_00308
OG0000220	Praw.g_00833	Prat.g_00309
OG0000221	Praw.g_00832	Prat.g_00310
OG0000222	Praw.g_00824	Prat.g_00317
OG0000223	Praw.g_00811	Prat.g_00330
OG0000224	Praw.g_00809	Prat.g_00332
OG0000225	Praw.g_00786	Prat.g_00360
OG0000226	Praw.g_00782	Prat.g_00364
OG0000227	Praw.g_00780	Prat.g_00366
OG0000228	Praw.g_00777	Prat.g_00369
OG0000229	Praw.g_00711	Prat.g_00396
OG0000230	Praw.g_00709	Prat.g_00398
OG0000231	Praw.g_00698	Prat.g_00411
OG0000232	Praw.g_00689	Prat.g_00419
OG0000233	Praw.g_00684	Prat.g_00426
OG0000234	Praw.g_00671	Prat.g_00435
OG0000235	Praw.g_00668	Prat.g_00439
OG0000236	Praw.g_00655	Prat.g_00454
OG0000237	Praw.g_00642	Prat.g_00469
OG0000238	Praw.g_00636	Prat.g_00475
OG0000239	Praw.g_00623	Prat.g_00487
OG0000240	Praw.g_00622	Prat.g_00488
OG0000241	Praw.g_00618	Prat.g_00492
OG0000242	Praw.g_00616	Prat.g_00494
OG0000243	Praw.g_00605	Prat.g_00504
OG0000244	Praw.g_00602	Prat.g_00507
OG0000245	Praw.g_00600	Prat.g_00509
OG0000246	Praw.g_00596	Prat.g_00514, Prat.g_00513
OG0000247	Praw.g_00586	Prat.g_00525
OG0000248	Praw.g_00584	Prat.g_00528
OG0000249	Praw.g_00582	Prat.g_00530
OG0000250	Praw.g_00577	Prat.g_00536
OG0000251	Praw.g_01937	Prat.g_00553
OG0000252	Praw.g_01940	Prat.g_00556
OG0000253	Praw.g_01941	Prat.g_00557
OG0000254	Praw.g_00147	Prat.g_00574
OG0000255	Praw.g_00153	Prat.g_00581
OG0000256	Praw.g_00163	Prat.g_00591
OG0000257	Praw.g_00166	Prat.g_01097
OG0000258	Praw.g_01879	Prat.g_01081
OG0000259	Praw.g_01862	Prat.g_01064
OG0000260	Praw.g_01859	Prat.g_01061
OG0000261	Praw.g_01857	Prat.g_01058
OG0000262	Praw.g_01853	Prat.g_01054
OG0000263	Praw.g_01841	Prat.g_00754
OG0000264	Praw.g_01831	Prat.g_00765
OG0000265	Praw.g_01809	Prat.g_00788
OG0000266	Praw.g_01799	Prat.g_00801
OG0000267	Praw.g_01788	Prat.g_00814
OG0000268	Praw.g_01787	Prat.g_00815
OG0000269	Praw.g_01702	Prat.g_01042
OG0000270	Praw.g_01699	Prat.g_01039
OG0000271	Praw.g_01691	Prat.g_01031
OG0000272	Praw.g_01690	Prat.g_01030
OG0000273	Praw.g_01668	Prat.g_01007
OG0000274	Praw.g_01667	Prat.g_01006
OG0000275	Praw.g_01665	Prat.g_01004
OG0000276	Praw.g_01660	Prat.g_00999
OG0000277	Praw.g_01659	Prat.g_00998
OG0000278	Praw.g_01656	Prat.g_00995
OG0000279	Praw.g_01649	Prat.g_00988
OG0000280	Praw.g_01648	Prat.g_00987
OG0000281	Praw.g_01643	Prat.g_00980
OG0000282	Praw.g_01595	Prat.g_00718
OG0000283	Praw.g_01562	Prat.g_00868
OG0000284	Praw.g_01557	Prat.g_00873
OG0000285	Praw.g_01552	Prat.g_00879
OG0000286	Praw.g_01540	Prat.g_00895
OG0000287	Praw.g_01523	Prat.g_00912
OG0000288	Praw.g_01494	Prat.g_00933
OG0000289	Praw.g_01483	Prat.g_00948
OG0000290	Praw.g_01470	Prat.g_00962
OG0000291	Praw.g_01468	Prat.g_00964
OG0000292	Praw.g_01418	Prat.g_01208
OG0000293	Praw.g_00225	Prat.g_01165
OG0000294	Praw.g_00226	Prat.g_01164
OG0000295	Praw.g_00246	Prat.g_01142
OG0000296	Praw.g_00248	Prat.g_01140
OG0000297	Praw.g_00256	Prat.g_01131
OG0000298	Praw.g_00257	Prat.g_01130
OG0000299	Praw.g_00274	Prat.g_01112
OG0000300	Praw.g_00277	Prat.g_01108
OG0000301	Praw.g_00278	Prat.g_01107
OG0000302	Praw.g_00280	Prat.g_01105
OG0000303	Praw.g_00287	Prat.g_01099
OG0000304	Praw.g_00291	Prat.g_00595
OG0000305	Praw.g_01008	Prat.g_01200
OG0000306	Praw.g_01011	Prat.g_00976
OG0000307	Praw.g_01025	Prat.g_01300
OG0000308	Praw.g_01026	Prat.g_01301
OG0000309	Praw.g_01030	Prat.g_01305
OG0000310	Praw.g_01098	Prat.g_01336
OG0000311	Praw.g_01096	Prat.g_01338
OG0000312	Praw.g_01093	Prat.g_01341
OG0000313	Praw.g_01076	Prat.g_01357
OG0000314	Praw.g_00363	Prat.g_01382
OG0000315	Praw.g_00374	Prat.g_01392
OG0000316	Praw.g_00394	Prat.g_01420
OG0000317	Praw.g_00513	Prat.g_01589
OG0000318	Praw.g_00516	Prat.g_01593
OG0000319	Praw.g_00529	Prat.g_01605
OG0000320	Praw.g_00531	Prat.g_01607
OG0000321	Praw.g_00532	Prat.g_01608
OG0000322	Praw.g_00533	Prat.g_01609
OG0000323	Praw.g_00542	Prat.g_01618
OG0000324	Praw.g_00569	Prat.g_01647
OG0000325	Praw.g_01916	Prat.g_01657
OG0000326	Praw.g_01910	Prat.g_01664
OG0000327	Praw.g_00137	Prat.g_01685
OG0000328	Praw.g_00136	Prat.g_01686
OG0000329	Praw.g_00119	Prat.g_01703
OG0000330	Praw.g_00118	Prat.g_01704
OG0000331	Praw.g_00117	Prat.g_01705
OG0000332	Praw.g_00103	Prat.g_01718
OG0000333	Praw.g_00101	Prat.g_01720
OG0000334	Praw.g_00093	Prat.g_01729
OG0000335	Praw.g_00088	Prat.g_01734
OG0000336	Praw.g_00084	Prat.g_01738
OG0000337	Praw.g_00068	Prat.g_01756
OG0000338	Praw.g_00067	Prat.g_01757
OG0000339	Praw.g_00063	Prat.g_01762
OG0000340	Praw.g_00055	Prat.g_01771
OG0000341	Praw.g_00053	Prat.g_01773
OG0000342	Praw.g_00052	Prat.g_01775
OG0000343	Praw.g_00051	Prat.g_01776
OG0000344	Praw.g_00048	Prat.g_01779
OG0000345	Praw.g_00043	Prat.g_01785
OG0000346	Praw.g_00038	Prat.g_01789
OG0000347	Praw.g_00022	Prat.g_01806
OG0000348	Praw.g_00013	Prat.g_01814
OG0000349	Praw.g_01189	Prat.g_01832
OG0000350	Praw.g_01170	Prat.g_01853
OG0000351	Praw.g_01153	Prat.g_01873
OG0000352	Praw.g_01152	Prat.g_01874
OG0000353	Praw.g_01137	Prat.g_01892
OG0000354	Praw.g_00910	Prat.g_00845
OG0000355	Praw.g_01135	Prat.g_00001
OG0000356	Praw.g_01134	Prat.g_00002
OG0000357	Praw.g_01133	Prat.g_00003
OG0000358	Praw.g_01129	Prat.g_00007
OG0000359	Praw.g_01128	Prat.g_00008
OG0000360	Praw.g_01127	Prat.g_00009
OG0000361	Praw.g_01126	Prat.g_00010
OG0000362	Praw.g_01124	Prat.g_00013
OG0000363	Praw.g_01414	Prat.g_00015
OG0000364	Praw.g_01413	Prat.g_00016
OG0000365	Praw.g_01408	Prat.g_00021
OG0000366	Praw.g_01407	Prat.g_00022
OG0000367	Praw.g_01406	Prat.g_00023
OG0000368	Praw.g_01404	Prat.g_00025
OG0000369	Praw.g_01403	Prat.g_00026
OG0000370	Praw.g_01402	Prat.g_00027
OG0000371	Praw.g_01396	Prat.g_00034
OG0000372	Praw.g_01393	Prat.g_00036
OG0000373	Praw.g_01392	Prat.g_00037
OG0000374	Praw.g_01391	Prat.g_00038
OG0000375	Praw.g_01388	Prat.g_00042
OG0000376	Praw.g_01386	Prat.g_00044
OG0000377	Praw.g_01383	Prat.g_00048
OG0000378	Praw.g_01381	Prat.g_00052
OG0000379	Praw.g_01378	Prat.g_00055
OG0000380	Praw.g_01368	Prat.g_00062
OG0000381	Praw.g_01364	Prat.g_00067
OG0000382	Praw.g_01353	Prat.g_00079
OG0000383	Praw.g_01351	Prat.g_00081
OG0000384	Praw.g_01350	Prat.g_00082
OG0000385	Praw.g_01349	Prat.g_00083
OG0000386	Praw.g_01348	Prat.g_00084
OG0000387	Praw.g_01336	Prat.g_00096
OG0000388	Praw.g_01333	Prat.g_00100
OG0000389	Praw.g_01329	Prat.g_00103
OG0000390	Praw.g_01322	Prat.g_00112
OG0000391	Praw.g_01319	Prat.g_00115
OG0000392	Praw.g_01315	Prat.g_00118
OG0000393	Praw.g_01313	Prat.g_00122
OG0000394	Praw.g_01312	Prat.g_00123
OG0000395	Praw.g_01311	Prat.g_00124
OG0000396	Praw.g_01308	Prat.g_00126
OG0000397	Praw.g_01306	Prat.g_00128
OG0000398	Praw.g_01304	Prat.g_00131
OG0000399	Praw.g_01303	Prat.g_00132
OG0000400	Praw.g_01302	Prat.g_00133
OG0000401	Praw.g_01301	Prat.g_00134
OG0000402	Praw.g_01299	Prat.g_00601
OG0000403	Praw.g_01298	Prat.g_00136
OG0000404	Praw.g_01297	Prat.g_00137
OG0000405	Praw.g_01293	Prat.g_00141
OG0000406	Praw.g_01288	Prat.g_00146
OG0000407	Praw.g_01287	Prat.g_00147
OG0000408	Praw.g_01285	Prat.g_00149
OG0000409	Praw.g_01283	Prat.g_00151
OG0000410	Praw.g_01282	Prat.g_00152
OG0000411	Praw.g_01281	Prat.g_00153
OG0000412	Praw.g_01280	Prat.g_00154
OG0000413	Praw.g_01279	Prat.g_00156
OG0000414	Praw.g_01278	Prat.g_00157
OG0000415	Praw.g_01277	Prat.g_00158
OG0000416	Praw.g_01276	Prat.g_00159
OG0000417	Praw.g_01275	Prat.g_00160
OG0000418	Praw.g_01270	Prat.g_00165
OG0000419	Praw.g_01268	Prat.g_00167
OG0000420	Praw.g_01267	Prat.g_00169
OG0000421	Praw.g_01262	Prat.g_00174
OG0000422	Praw.g_01261	Prat.g_00175
OG0000423	Praw.g_01260	Prat.g_00176
OG0000424	Praw.g_01259	Prat.g_00177
OG0000425	Praw.g_01258	Prat.g_00178
OG0000426	Praw.g_01257	Prat.g_00179
OG0000427	Praw.g_01256	Prat.g_00180
OG0000428	Praw.g_01254	Prat.g_00182
OG0000429	Praw.g_01253	Prat.g_00183
OG0000430	Praw.g_01252	Prat.g_00184
OG0000431	Praw.g_01250	Prat.g_00186
OG0000432	Praw.g_01247	Prat.g_00190
OG0000433	Praw.g_01246	Prat.g_00191
OG0000434	Praw.g_01245	Prat.g_00192
OG0000435	Praw.g_01244	Prat.g_00193
OG0000436	Praw.g_01239	Prat.g_00198
OG0000437	Praw.g_01238	Prat.g_00199
OG0000438	Praw.g_01237	Prat.g_00200
OG0000439	Praw.g_01235	Prat.g_00202
OG0000440	Praw.g_01234	Prat.g_00203
OG0000441	Praw.g_01231	Prat.g_00206
OG0000442	Praw.g_01230	Prat.g_00207
OG0000443	Praw.g_01229	Prat.g_00208
OG0000444	Praw.g_01224	Prat.g_00213
OG0000445	Praw.g_01223	Prat.g_00214
OG0000446	Praw.g_01222	Prat.g_00215
OG0000447	Praw.g_01221	Prat.g_00216
OG0000448	Praw.g_01220	Prat.g_00217
OG0000449	Praw.g_01219	Prat.g_00218
OG0000450	Praw.g_01218	Prat.g_00219
OG0000451	Praw.g_01217	Prat.g_00220
OG0000452	Praw.g_01214	Prat.g_00223
OG0000453	Praw.g_01213	Prat.g_00224
OG0000454	Praw.g_01212	Prat.g_00225
OG0000455	Praw.g_01211	Prat.g_00226
OG0000456	Praw.g_01210	Prat.g_00227
OG0000457	Praw.g_01209	Prat.g_00229
OG0000458	Praw.g_01208	Prat.g_00230
OG0000459	Praw.g_01207	Prat.g_00231
OG0000460	Praw.g_01200	Prat.g_00240
OG0000461	Praw.g_00891	Prat.g_00249
OG0000462	Praw.g_00889	Prat.g_00250
OG0000463	Praw.g_00888	Prat.g_00251
OG0000464	Praw.g_00887	Prat.g_00252
OG0000465	Praw.g_00886	Prat.g_00253
OG0000466	Praw.g_00883	Prat.g_00256
OG0000467	Praw.g_00882	Prat.g_00257
OG0000468	Praw.g_00880	Prat.g_00260
OG0000469	Praw.g_00872	Prat.g_00269
OG0000470	Praw.g_00870	Prat.g_00271
OG0000471	Praw.g_00869	Prat.g_00272
OG0000472	Praw.g_00868	Prat.g_00273
OG0000473	Praw.g_00866	Prat.g_00275
OG0000474	Praw.g_00865	Prat.g_00276
OG0000475	Praw.g_00864	Prat.g_00277
OG0000476	Praw.g_00863	Prat.g_00279
OG0000477	Praw.g_00859	Prat.g_00282
OG0000478	Praw.g_00858	Prat.g_00283
OG0000479	Praw.g_00857	Prat.g_00284
OG0000480	Praw.g_00852	Prat.g_00290
OG0000481	Praw.g_00850	Prat.g_00292
OG0000482	Praw.g_00849	Prat.g_00293
OG0000483	Praw.g_00846	Prat.g_00296
OG0000484	Praw.g_00845	Prat.g_00297
OG0000485	Praw.g_00844	Prat.g_00298
OG0000486	Praw.g_00843	Prat.g_00299
OG0000487	Praw.g_00839	Prat.g_00303
OG0000488	Praw.g_00836	Prat.g_00306
OG0000489	Praw.g_00831	Prat.g_00311
OG0000490	Praw.g_00826	Prat.g_00315
OG0000491	Praw.g_00825	Prat.g_00316
OG0000492	Praw.g_00823	Prat.g_00318
OG0000493	Praw.g_00822	Prat.g_00319
OG0000494	Praw.g_00821	Prat.g_00320
OG0000495	Praw.g_00820	Prat.g_00321
OG0000496	Praw.g_00819	Prat.g_00322
OG0000497	Praw.g_00818	Prat.g_00323
OG0000498	Praw.g_00817	Prat.g_00324
OG0000499	Praw.g_00816	Prat.g_00325
OG0000500	Praw.g_00815	Prat.g_00326
OG0000501	Praw.g_00813	Prat.g_00328
OG0000502	Praw.g_00810	Prat.g_00331
OG0000503	Praw.g_00796	Prat.g_00348
OG0000504	Praw.g_00795	Prat.g_00350
OG0000505	Praw.g_00794	Prat.g_00351
OG0000506	Praw.g_00792	Prat.g_00352
OG0000507	Praw.g_00790	Prat.g_00355
OG0000508	Praw.g_00787	Prat.g_00359
OG0000509	Praw.g_00785	Prat.g_00361
OG0000510	Praw.g_00784	Prat.g_00362
OG0000511	Praw.g_00783	Prat.g_00363
OG0000512	Praw.g_00781	Prat.g_00365
OG0000513	Praw.g_00774	Prat.g_00373
OG0000514	Praw.g_00716	Prat.g_00390
OG0000515	Praw.g_00715	Prat.g_00391
OG0000516	Praw.g_00714	Prat.g_00392
OG0000517	Praw.g_00712	Prat.g_00395
OG0000518	Praw.g_00701	Prat.g_00407
OG0000519	Praw.g_00700	Prat.g_00408
OG0000520	Praw.g_00699	Prat.g_00410
OG0000521	Praw.g_00694	Prat.g_00415
OG0000522	Praw.g_00692	Prat.g_00417
OG0000523	Praw.g_00691	Prat.g_00418
OG0000524	Praw.g_00686	Prat.g_00424
OG0000525	Praw.g_00683	Prat.g_00428
OG0000526	Praw.g_00682	Prat.g_00429
OG0000527	Praw.g_00674	Prat.g_00432
OG0000528	Praw.g_00669	Prat.g_00438
OG0000529	Praw.g_00666	Prat.g_00441
OG0000530	Praw.g_00664	Prat.g_00444
OG0000531	Praw.g_00663	Prat.g_00445
OG0000532	Praw.g_00661	Prat.g_00447
OG0000533	Praw.g_00660	Prat.g_00448
OG0000534	Praw.g_00659	Prat.g_00449
OG0000535	Praw.g_00658	Prat.g_00450
OG0000536	Praw.g_00657	Prat.g_00451
OG0000537	Praw.g_00656	Prat.g_00453
OG0000538	Praw.g_00648	Prat.g_00463
OG0000539	Praw.g_00647	Prat.g_00464
OG0000540	Praw.g_00646	Prat.g_00465
OG0000541	Praw.g_00645	Prat.g_00466
OG0000542	Praw.g_00643	Prat.g_00468
OG0000543	Praw.g_00641	Prat.g_00470
OG0000544	Praw.g_00640	Prat.g_00471
OG0000545	Praw.g_00638	Prat.g_00473
OG0000546	Praw.g_00635	Prat.g_00476
OG0000547	Praw.g_00633	Prat.g_00478
OG0000548	Praw.g_00632	Prat.g_00479
OG0000549	Praw.g_00630	Prat.g_00482
OG0000550	Praw.g_00625	Prat.g_00486
OG0000551	Praw.g_00621	Prat.g_00489
OG0000552	Praw.g_00620	Prat.g_00490
OG0000553	Praw.g_00619	Prat.g_00491
OG0000554	Praw.g_00614	Prat.g_00496
OG0000555	Praw.g_00606	Prat.g_00503
OG0000556	Praw.g_00604	Prat.g_00505
OG0000557	Praw.g_00603	Prat.g_00506
OG0000558	Praw.g_00601	Prat.g_00508
OG0000559	Praw.g_00597	Prat.g_00512
OG0000560	Praw.g_00594	Prat.g_00516
OG0000561	Praw.g_00593	Prat.g_00517
OG0000562	Praw.g_00592	Prat.g_00518
OG0000563	Praw.g_00591	Prat.g_00519
OG0000564	Praw.g_00590	Prat.g_00520
OG0000565	Praw.g_00587	Prat.g_00523
OG0000566	Praw.g_00585	Prat.g_00527
OG0000567	Praw.g_00581	Prat.g_00531
OG0000568	Praw.g_00580	Prat.g_00532
OG0000569	Praw.g_00579	Prat.g_00533
OG0000570	Praw.g_00578	Prat.g_00534
OG0000571	Praw.g_00576	Prat.g_00537
OG0000572	Praw.g_01933	Prat.g_00549
OG0000573	Praw.g_01938	Prat.g_00554
OG0000574	Praw.g_01939	Prat.g_00555
OG0000575	Praw.g_01943	Prat.g_00559
OG0000576	Praw.g_01945	Prat.g_00561
OG0000577	Praw.g_01946	Prat.g_00562
OG0000578	Praw.g_01947	Prat.g_00563
OG0000579	Praw.g_01948	Prat.g_00564
OG0000580	Praw.g_01949	Prat.g_00565
