Orthogroup	Pran	Prbb
OG0000070	Pran.g_00903, Pran.g_00568	Prbb.g_01070
OG0000071	Pran.g_01466	Prbb.g_01399
OG0000072	Pran.g_00938, Pran.g_00876	Prbb.g_01586
OG0000074	Pran.g_00752	Prbb.g_00678
OG0000075	Pran.g_01105	Prbb.g_02001
OG0000077	Pran.g_01268	Prbb.g_00012
OG0000078	Pran.g_01872	Prbb.g_00373
OG0000079	Pran.g_01812	Prbb.g_01326
OG0000080	Pran.g_01509	Prbb.g_00673
OG0000081	Pran.g_01487	Prbb.g_00697, Prbb.g_00698
OG0000082	Pran.g_01336	Prbb.g_00790
OG0000083	Pran.g_00179	Prbb.g_00909, Prbb.g_01198
OG0000084	Pran.g_00487	Prbb.g_00991
OG0000085	Pran.g_00135	Prbb.g_01238
OG0000086	Pran.g_00093	Prbb.g_01887
OG0000088	Pran.g_01784	Prbb.g_01306
OG0000090	Pran.g_00806	Prbb.g_00388
OG0000091	Pran.g_00787	Prbb.g_01694
OG0000092	Pran.g_00575, Pran.g_00912	Prbb.g_01208
OG0000094	Pran.g_01102	Prbb.g_01997
OG0000095	Pran.g_01135	Prbb.g_02034
OG0000096	Pran.g_01204	Prbb.g_02123
OG0000097	Pran.g_01222	Prbb.g_02143
OG0000098	Pran.g_01260	Prbb.g_00003
OG0000099	Pran.g_00401	Prbb.g_00024
OG0000101	Pran.g_00376	Prbb.g_00064
OG0000102	Pran.g_00320	Prbb.g_00170
OG0000103	Pran.g_00312	Prbb.g_00179
OG0000104	Pran.g_00295	Prbb.g_00196
OG0000105	Pran.g_00262	Prbb.g_00227
OG0000106	Pran.g_00248	Prbb.g_00240
OG0000107	Pran.g_00240	Prbb.g_00249
OG0000108	Pran.g_00230	Prbb.g_00259
OG0000109	Pran.g_00194	Prbb.g_00041, Prbb.g_00297
OG0000110	Pran.g_01941	Prbb.g_00307
OG0000111	Pran.g_01920	Prbb.g_00327
OG0000113	Pran.g_01897	Prbb.g_00348
OG0000114	Pran.g_01869	Prbb.g_00376
OG0000115	Pran.g_01704	Prbb.g_00477
OG0000116	Pran.g_01702	Prbb.g_00479
OG0000117	Pran.g_01698	Prbb.g_00484, Prbb.g_00485
OG0000118	Pran.g_01679	Prbb.g_00503
OG0000119	Pran.g_01646	Prbb.g_00535
OG0000120	Pran.g_01645	Prbb.g_00536
OG0000121	Pran.g_01635	Prbb.g_00546
OG0000122	Pran.g_01626	Prbb.g_00556
OG0000123	Pran.g_01594	Prbb.g_00586
OG0000124	Pran.g_01527	Prbb.g_00652
OG0000125	Pran.g_01526	Prbb.g_00653
OG0000126	Pran.g_01525	Prbb.g_00654
OG0000127	Pran.g_01492	Prbb.g_00692
OG0000128	Pran.g_01458	Prbb.g_00715
OG0000129	Pran.g_01438	Prbb.g_00737
OG0000130	Pran.g_01358	Prbb.g_00954
OG0000131	Pran.g_01345	Prbb.g_00781
OG0000132	Pran.g_01310	Prbb.g_00817
OG0000133	Pran.g_00445	Prbb.g_00950
OG0000134	Pran.g_00455	Prbb.g_00768
OG0000135	Pran.g_00491	Prbb.g_00995
OG0000136	Pran.g_00565	Prbb.g_01067
OG0000137	Pran.g_00090	Prbb.g_01890
OG0000138	Pran.g_00065	Prbb.g_01523
OG0000139	Pran.g_00054	Prbb.g_01510
OG0000140	Pran.g_00003	Prbb.g_01456
OG0000141	Pran.g_00918	Prbb.g_01060
OG0000142	Pran.g_00864	Prbb.g_01598
OG0000143	Pran.g_00841	Prbb.g_01639
OG0000144	Pran.g_00746	Prbb.g_01673
OG0000145	Pran.g_00732	Prbb.g_01687
OG0000146	Pran.g_00696	Prbb.g_01721
OG0000147	Pran.g_00656	Prbb.g_01767
OG0000148	Pran.g_00655	Prbb.g_01768
OG0000149	Pran.g_00968	Prbb.g_01821
OG0000150	Pran.g_01006	Prbb.g_01858
OG0000151	Pran.g_01009	Prbb.g_01860
OG0000152	Pran.g_01043, Pran.g_01028	Prbb.g_01880
OG0000153	Pran.g_01063	Prbb.g_01959
OG0000154	Pran.g_01100	Prbb.g_01995
OG0000155	Pran.g_01118	Prbb.g_02014
OG0000156	Pran.g_01145	Prbb.g_02046
OG0000157	Pran.g_01177	Prbb.g_02082
OG0000158	Pran.g_01239	Prbb.g_02168
OG0000160	Pran.g_01258	Prbb.g_00001
OG0000161	Pran.g_01259	Prbb.g_00002
OG0000162	Pran.g_01261	Prbb.g_00004
OG0000163	Pran.g_01262	Prbb.g_00005
OG0000164	Pran.g_01263	Prbb.g_00007
OG0000165	Pran.g_01264	Prbb.g_00008
OG0000166	Pran.g_01265	Prbb.g_00009
OG0000167	Pran.g_01266	Prbb.g_00010
OG0000168	Pran.g_01267	Prbb.g_00011
OG0000169	Pran.g_01269	Prbb.g_00013
OG0000170	Pran.g_00410	Prbb.g_00015
OG0000171	Pran.g_00409	Prbb.g_00016
OG0000172	Pran.g_00408	Prbb.g_00017
OG0000173	Pran.g_00407	Prbb.g_00018
OG0000174	Pran.g_00406	Prbb.g_00019
OG0000175	Pran.g_00405	Prbb.g_00020
OG0000176	Pran.g_00404	Prbb.g_00021
OG0000177	Pran.g_00403	Prbb.g_00022
OG0000178	Pran.g_00402	Prbb.g_00023
OG0000179	Pran.g_00400	Prbb.g_00025
OG0000180	Pran.g_00399	Prbb.g_00026
OG0000181	Pran.g_00398	Prbb.g_00027
OG0000182	Pran.g_00397	Prbb.g_00028
OG0000183	Pran.g_00396	Prbb.g_00029
OG0000184	Pran.g_00395	Prbb.g_00030
OG0000185	Pran.g_00392	Prbb.g_00033
OG0000186	Pran.g_00389	Prbb.g_00035
OG0000187	Pran.g_00388	Prbb.g_00036
OG0000188	Pran.g_00387	Prbb.g_00037
OG0000189	Pran.g_00385	Prbb.g_00055
OG0000190	Pran.g_00383	Prbb.g_00057
OG0000191	Pran.g_00382	Prbb.g_00058
OG0000192	Pran.g_00381	Prbb.g_00059
OG0000193	Pran.g_00380	Prbb.g_00060
OG0000194	Pran.g_00379	Prbb.g_00061
OG0000195	Pran.g_00378	Prbb.g_00062
OG0000196	Pran.g_00377	Prbb.g_00063
OG0000197	Pran.g_00375	Prbb.g_00065
OG0000198	Pran.g_00374	Prbb.g_00066
OG0000199	Pran.g_00373	Prbb.g_00067
OG0000200	Pran.g_00368	Prbb.g_00119
OG0000201	Pran.g_00367	Prbb.g_00120
OG0000202	Pran.g_00366	Prbb.g_00121
OG0000203	Pran.g_00363	Prbb.g_00124
OG0000204	Pran.g_00362	Prbb.g_00125
OG0000205	Pran.g_00359	Prbb.g_00128
OG0000206	Pran.g_00357	Prbb.g_00130
OG0000207	Pran.g_00355	Prbb.g_00132
OG0000208	Pran.g_00354	Prbb.g_00133
OG0000209	Pran.g_00353	Prbb.g_00134
OG0000210	Pran.g_00352	Prbb.g_00135
OG0000211	Pran.g_00351	Prbb.g_00136
OG0000212	Pran.g_00350	Prbb.g_00137
OG0000213	Pran.g_00349	Prbb.g_00138
OG0000214	Pran.g_00348	Prbb.g_00139
OG0000215	Pran.g_00347	Prbb.g_00140
OG0000216	Pran.g_00346	Prbb.g_00141
OG0000217	Pran.g_00344	Prbb.g_00143
OG0000218	Pran.g_00343	Prbb.g_00144
OG0000219	Pran.g_00342	Prbb.g_00145
OG0000220	Pran.g_00341	Prbb.g_00146
OG0000221	Pran.g_00339	Prbb.g_00149
OG0000222	Pran.g_00338	Prbb.g_00150
OG0000223	Pran.g_00337	Prbb.g_00151
OG0000224	Pran.g_00336	Prbb.g_00152
OG0000225	Pran.g_00335	Prbb.g_00153
OG0000226	Pran.g_00334	Prbb.g_00154
OG0000227	Pran.g_00333	Prbb.g_00156
OG0000228	Pran.g_00332	Prbb.g_00157
OG0000229	Pran.g_00331	Prbb.g_00158
OG0000230	Pran.g_00330	Prbb.g_00159
OG0000231	Pran.g_00329	Prbb.g_00160
OG0000232	Pran.g_00327	Prbb.g_00161
OG0000233	Pran.g_00326	Prbb.g_00162
OG0000234	Pran.g_00325	Prbb.g_00163
OG0000235	Pran.g_00324	Prbb.g_00164
OG0000236	Pran.g_00323	Prbb.g_00167
OG0000237	Pran.g_00322	Prbb.g_00168
OG0000238	Pran.g_00321	Prbb.g_00169
OG0000239	Pran.g_00319	Prbb.g_00171
OG0000240	Pran.g_00318	Prbb.g_00173
OG0000241	Pran.g_00317	Prbb.g_00174
OG0000242	Pran.g_00316	Prbb.g_00175
OG0000243	Pran.g_00313	Prbb.g_00177
OG0000244	Pran.g_00311	Prbb.g_00180
OG0000245	Pran.g_00310	Prbb.g_00181
OG0000246	Pran.g_00309	Prbb.g_00182
OG0000247	Pran.g_00307	Prbb.g_00185
OG0000248	Pran.g_00305	Prbb.g_00187
OG0000249	Pran.g_00304	Prbb.g_00189
OG0000250	Pran.g_00303	Prbb.g_00190
OG0000251	Pran.g_00302	Prbb.g_00191
OG0000252	Pran.g_00301	Prbb.g_00192
OG0000253	Pran.g_00300	Prbb.g_00193
OG0000254	Pran.g_00298	Prbb.g_01101
OG0000255	Pran.g_00297	Prbb.g_00194
OG0000256	Pran.g_00294	Prbb.g_00197
OG0000257	Pran.g_00292	Prbb.g_00200
OG0000258	Pran.g_00288	Prbb.g_00202
OG0000259	Pran.g_00287	Prbb.g_00203
OG0000260	Pran.g_00286	Prbb.g_00204
OG0000261	Pran.g_00285	Prbb.g_00205
OG0000262	Pran.g_00283	Prbb.g_00206
OG0000263	Pran.g_00281	Prbb.g_00208
OG0000264	Pran.g_00280	Prbb.g_00209
OG0000265	Pran.g_00279	Prbb.g_00210
OG0000266	Pran.g_00278	Prbb.g_00211
OG0000267	Pran.g_00277	Prbb.g_00212
OG0000268	Pran.g_00276	Prbb.g_00213
OG0000269	Pran.g_00274	Prbb.g_00215
OG0000270	Pran.g_00273	Prbb.g_00216
OG0000271	Pran.g_00272	Prbb.g_00217
OG0000272	Pran.g_00271	Prbb.g_00218
OG0000273	Pran.g_00270	Prbb.g_00219
OG0000274	Pran.g_00269	Prbb.g_00220
OG0000275	Pran.g_00268	Prbb.g_00221
OG0000276	Pran.g_00267	Prbb.g_00222
OG0000277	Pran.g_00265	Prbb.g_00224
OG0000278	Pran.g_00264	Prbb.g_00225
OG0000279	Pran.g_00263	Prbb.g_00226
OG0000280	Pran.g_00261	Prbb.g_00228
OG0000281	Pran.g_00259	Prbb.g_00229
OG0000282	Pran.g_00258	Prbb.g_00230
OG0000283	Pran.g_00257	Prbb.g_00231
OG0000284	Pran.g_00256	Prbb.g_00232
OG0000285	Pran.g_00255	Prbb.g_00233
OG0000286	Pran.g_00254	Prbb.g_00234
OG0000287	Pran.g_00253	Prbb.g_00235
OG0000288	Pran.g_00251	Prbb.g_00237
OG0000289	Pran.g_00250	Prbb.g_00238
OG0000290	Pran.g_00249	Prbb.g_00239
OG0000291	Pran.g_00247	Prbb.g_00241
OG0000292	Pran.g_00246	Prbb.g_00243
OG0000293	Pran.g_00245	Prbb.g_00244
OG0000294	Pran.g_00244	Prbb.g_00245
OG0000295	Pran.g_00243	Prbb.g_00246
OG0000296	Pran.g_00242	Prbb.g_00247
OG0000297	Pran.g_00241	Prbb.g_00248
OG0000298	Pran.g_00239	Prbb.g_00250
OG0000299	Pran.g_00238	Prbb.g_00251
OG0000300	Pran.g_00237	Prbb.g_00252
OG0000301	Pran.g_00236	Prbb.g_00253
OG0000302	Pran.g_00235	Prbb.g_00254
OG0000303	Pran.g_00234	Prbb.g_00255
OG0000304	Pran.g_00232	Prbb.g_00257
OG0000305	Pran.g_00231	Prbb.g_00258
OG0000306	Pran.g_00228	Prbb.g_00260
OG0000307	Pran.g_00227	Prbb.g_00261
OG0000308	Pran.g_00226	Prbb.g_00262
OG0000309	Pran.g_00225	Prbb.g_00263
OG0000310	Pran.g_00224	Prbb.g_00264
OG0000311	Pran.g_00223	Prbb.g_00265
OG0000312	Pran.g_00222	Prbb.g_00266
OG0000313	Pran.g_00221	Prbb.g_00267
OG0000314	Pran.g_00220	Prbb.g_00268
OG0000315	Pran.g_00219	Prbb.g_00269
OG0000316	Pran.g_00218	Prbb.g_00270
OG0000317	Pran.g_00217	Prbb.g_00271
OG0000318	Pran.g_00216	Prbb.g_00272
OG0000319	Pran.g_00215	Prbb.g_00273
OG0000320	Pran.g_00214	Prbb.g_00274
OG0000321	Pran.g_00213	Prbb.g_00275
OG0000322	Pran.g_00212	Prbb.g_00276
OG0000323	Pran.g_00211	Prbb.g_00277
OG0000324	Pran.g_00210	Prbb.g_00278
OG0000325	Pran.g_00209	Prbb.g_00279
OG0000326	Pran.g_00208	Prbb.g_00280
OG0000327	Pran.g_00207	Prbb.g_00281
OG0000328	Pran.g_00206	Prbb.g_00282
OG0000329	Pran.g_00205	Prbb.g_00283
OG0000330	Pran.g_00204	Prbb.g_00284
OG0000331	Pran.g_00203	Prbb.g_00285
OG0000332	Pran.g_00202	Prbb.g_00286
OG0000333	Pran.g_00201	Prbb.g_00287
OG0000334	Pran.g_00200	Prbb.g_00288
OG0000335	Pran.g_00199	Prbb.g_00290
OG0000336	Pran.g_00197	Prbb.g_00292
OG0000337	Pran.g_00196	Prbb.g_00293
OG0000338	Pran.g_00193	Prbb.g_00298
OG0000339	Pran.g_01950	Prbb.g_00300
OG0000340	Pran.g_01948	Prbb.g_00302
OG0000341	Pran.g_01947	Prbb.g_00303
OG0000342	Pran.g_01946	Prbb.g_00304
OG0000343	Pran.g_01945	Prbb.g_00305
OG0000344	Pran.g_01942	Prbb.g_00306
OG0000345	Pran.g_01939	Prbb.g_00309
OG0000346	Pran.g_01938	Prbb.g_00310
OG0000347	Pran.g_01935	Prbb.g_00313
OG0000348	Pran.g_01934	Prbb.g_00314
OG0000349	Pran.g_01933	Prbb.g_00315
OG0000350	Pran.g_01931	Prbb.g_00316
OG0000351	Pran.g_01930	Prbb.g_00317
OG0000352	Pran.g_01929	Prbb.g_00318
OG0000353	Pran.g_01928	Prbb.g_00319
OG0000354	Pran.g_01927	Prbb.g_00320
OG0000355	Pran.g_01926	Prbb.g_00321
OG0000356	Pran.g_01925	Prbb.g_00322
OG0000357	Pran.g_01924	Prbb.g_00323
OG0000358	Pran.g_01923	Prbb.g_00324
OG0000359	Pran.g_01922	Prbb.g_00326
OG0000360	Pran.g_01919	Prbb.g_00328
OG0000361	Pran.g_01918	Prbb.g_00329
OG0000362	Pran.g_01917	Prbb.g_00330
OG0000363	Pran.g_01916	Prbb.g_00331
OG0000364	Pran.g_01912	Prbb.g_00334
OG0000365	Pran.g_01911	Prbb.g_00335
OG0000366	Pran.g_01909	Prbb.g_00337
OG0000367	Pran.g_01908	Prbb.g_00338
OG0000368	Pran.g_01907	Prbb.g_00339
OG0000369	Pran.g_01906	Prbb.g_00340
OG0000370	Pran.g_01905	Prbb.g_00341
OG0000371	Pran.g_01904	Prbb.g_00342
OG0000372	Pran.g_01903	Prbb.g_00343
OG0000373	Pran.g_01902	Prbb.g_00344
OG0000374	Pran.g_01900	Prbb.g_00345
OG0000375	Pran.g_01899	Prbb.g_00346
OG0000376	Pran.g_01896	Prbb.g_00349
OG0000377	Pran.g_01895	Prbb.g_00350
OG0000378	Pran.g_01894	Prbb.g_00351
OG0000379	Pran.g_01893	Prbb.g_00352
OG0000380	Pran.g_01892	Prbb.g_00353
OG0000381	Pran.g_01891	Prbb.g_00354
OG0000382	Pran.g_01890	Prbb.g_00355
OG0000383	Pran.g_01889	Prbb.g_00356
OG0000384	Pran.g_01886	Prbb.g_00359
OG0000385	Pran.g_01885	Prbb.g_00360
OG0000386	Pran.g_01884	Prbb.g_00361
OG0000387	Pran.g_01883	Prbb.g_00362
OG0000388	Pran.g_01882	Prbb.g_00363
OG0000389	Pran.g_01881	Prbb.g_00364
OG0000390	Pran.g_01880	Prbb.g_00365
OG0000391	Pran.g_01879	Prbb.g_00366
OG0000392	Pran.g_01878	Prbb.g_00367
OG0000393	Pran.g_01877	Prbb.g_00368
OG0000394	Pran.g_01876	Prbb.g_00369
OG0000395	Pran.g_01875	Prbb.g_00370
OG0000396	Pran.g_01873	Prbb.g_00372
OG0000397	Pran.g_01871	Prbb.g_00374
OG0000398	Pran.g_01870	Prbb.g_00375
OG0000399	Pran.g_01867	Prbb.g_00378
OG0000400	Pran.g_01866	Prbb.g_00384
OG0000401	Pran.g_01865	Prbb.g_00739
OG0000402	Pran.g_01860	Prbb.g_00394
OG0000403	Pran.g_01859	Prbb.g_00396
OG0000404	Pran.g_01858	Prbb.g_00397
OG0000405	Pran.g_01857	Prbb.g_00398
OG0000406	Pran.g_01854	Prbb.g_00401
OG0000407	Pran.g_01853	Prbb.g_00402
OG0000408	Pran.g_01850	Prbb.g_00404
OG0000409	Pran.g_01849	Prbb.g_00405
OG0000410	Pran.g_01848	Prbb.g_00406
OG0000411	Pran.g_01847	Prbb.g_00407
OG0000412	Pran.g_01846	Prbb.g_00408
OG0000413	Pran.g_01845	Prbb.g_00409
OG0000414	Pran.g_01844	Prbb.g_00410
OG0000415	Pran.g_01843	Prbb.g_00411
OG0000416	Pran.g_01840	Prbb.g_00415
OG0000417	Pran.g_01839	Prbb.g_00416
OG0000418	Pran.g_01838	Prbb.g_00418
OG0000419	Pran.g_01837	Prbb.g_00419
OG0000420	Pran.g_01835	Prbb.g_00836
OG0000421	Pran.g_01823	Prbb.g_01094
OG0000422	Pran.g_01816	Prbb.g_01124
OG0000423	Pran.g_01815	Prbb.g_01288
OG0000424	Pran.g_01808	Prbb.g_01923
OG0000425	Pran.g_01749	Prbb.g_00436
OG0000426	Pran.g_01748	Prbb.g_00437
OG0000427	Pran.g_01747	Prbb.g_00438
OG0000428	Pran.g_01745	Prbb.g_00440
OG0000429	Pran.g_01744	Prbb.g_00441
OG0000430	Pran.g_01742	Prbb.g_00443
OG0000431	Pran.g_01741	Prbb.g_00444
OG0000432	Pran.g_01740	Prbb.g_00445
OG0000433	Pran.g_01739	Prbb.g_00446
OG0000434	Pran.g_01738	Prbb.g_00447
OG0000435	Pran.g_01737	Prbb.g_00448
OG0000436	Pran.g_01736	Prbb.g_00449
OG0000437	Pran.g_01735	Prbb.g_00450
OG0000438	Pran.g_01734	Prbb.g_00451
OG0000439	Pran.g_01733	Prbb.g_00452
OG0000440	Pran.g_01729	Prbb.g_00453
OG0000441	Pran.g_01728	Prbb.g_00454
OG0000442	Pran.g_01727	Prbb.g_00455
OG0000443	Pran.g_01726	Prbb.g_00456
OG0000444	Pran.g_01725	Prbb.g_00457
OG0000445	Pran.g_01724	Prbb.g_00458
OG0000446	Pran.g_01723	Prbb.g_00460
OG0000447	Pran.g_01722	Prbb.g_00461
OG0000448	Pran.g_01720	Prbb.g_00462
OG0000449	Pran.g_01717	Prbb.g_00468
OG0000450	Pran.g_01716	Prbb.g_00469
OG0000451	Pran.g_01715	Prbb.g_00470
OG0000452	Pran.g_01714	Prbb.g_00472
OG0000453	Pran.g_01713	Prbb.g_00473
OG0000454	Pran.g_01707	Prbb.g_00475
OG0000455	Pran.g_01705	Prbb.g_00476
OG0000456	Pran.g_01701	Prbb.g_00480
OG0000457	Pran.g_01700	Prbb.g_00482
OG0000458	Pran.g_01699	Prbb.g_00483
OG0000459	Pran.g_01697	Prbb.g_00486
OG0000460	Pran.g_01695	Prbb.g_00488
OG0000461	Pran.g_01694	Prbb.g_00489
OG0000462	Pran.g_01693	Prbb.g_00490
OG0000463	Pran.g_01691	Prbb.g_00491
OG0000464	Pran.g_01690	Prbb.g_00492
OG0000465	Pran.g_01689	Prbb.g_00493
OG0000466	Pran.g_01688	Prbb.g_00494
OG0000467	Pran.g_01687	Prbb.g_00495
OG0000468	Pran.g_01686	Prbb.g_00496
OG0000469	Pran.g_01685	Prbb.g_00497
OG0000470	Pran.g_01684	Prbb.g_00498
OG0000471	Pran.g_01683	Prbb.g_00499
OG0000472	Pran.g_01678	Prbb.g_00504
OG0000473	Pran.g_01677	Prbb.g_00505
OG0000474	Pran.g_01676	Prbb.g_00506
OG0000475	Pran.g_01675	Prbb.g_00507
OG0000476	Pran.g_01673	Prbb.g_00509
OG0000477	Pran.g_01672	Prbb.g_00510
OG0000478	Pran.g_01671	Prbb.g_00511
OG0000479	Pran.g_01670	Prbb.g_00512
OG0000480	Pran.g_01668	Prbb.g_00514
OG0000481	Pran.g_01666	Prbb.g_00516
OG0000482	Pran.g_01665	Prbb.g_00517
OG0000483	Pran.g_01663	Prbb.g_00519
OG0000484	Pran.g_01662	Prbb.g_00520
OG0000485	Pran.g_01661	Prbb.g_00521
OG0000486	Pran.g_01660	Prbb.g_00523
OG0000487	Pran.g_01655	Prbb.g_00527
OG0000488	Pran.g_01653	Prbb.g_00528
OG0000489	Pran.g_01652	Prbb.g_00529
OG0000490	Pran.g_01651	Prbb.g_00530
OG0000491	Pran.g_01650	Prbb.g_00531
OG0000492	Pran.g_01649	Prbb.g_00532
OG0000493	Pran.g_01648	Prbb.g_00533
OG0000494	Pran.g_01647	Prbb.g_00534
OG0000495	Pran.g_01644	Prbb.g_00537
OG0000496	Pran.g_01643	Prbb.g_00538
OG0000497	Pran.g_01642	Prbb.g_00539
OG0000498	Pran.g_01641	Prbb.g_00540
OG0000499	Pran.g_01640	Prbb.g_00541
OG0000500	Pran.g_01638	Prbb.g_00543
OG0000501	Pran.g_01637	Prbb.g_00544
OG0000502	Pran.g_01636	Prbb.g_00545
OG0000503	Pran.g_01634	Prbb.g_00547
OG0000504	Pran.g_01633	Prbb.g_00548
OG0000505	Pran.g_01632	Prbb.g_00550
OG0000506	Pran.g_01631	Prbb.g_00551
OG0000507	Pran.g_01630	Prbb.g_00552
OG0000508	Pran.g_01629	Prbb.g_00553
OG0000509	Pran.g_01628	Prbb.g_00554
OG0000510	Pran.g_01627	Prbb.g_00555
OG0000511	Pran.g_01625	Prbb.g_00557
OG0000512	Pran.g_01624	Prbb.g_00558
OG0000513	Pran.g_01623	Prbb.g_00559
OG0000514	Pran.g_01622	Prbb.g_00560
OG0000515	Pran.g_01621	Prbb.g_00561
OG0000516	Pran.g_01620	Prbb.g_00562
OG0000517	Pran.g_01618	Prbb.g_00564
OG0000518	Pran.g_01617	Prbb.g_00565
OG0000519	Pran.g_01616	Prbb.g_00566
OG0000520	Pran.g_01614	Prbb.g_00567
OG0000521	Pran.g_01613	Prbb.g_00568
OG0000522	Pran.g_01612	Prbb.g_00569
OG0000523	Pran.g_01611	Prbb.g_00570
OG0000524	Pran.g_01610	Prbb.g_00571
OG0000525	Pran.g_01609	Prbb.g_00572
OG0000526	Pran.g_01608	Prbb.g_00573
OG0000527	Pran.g_01607	Prbb.g_00574
OG0000528	Pran.g_01606	Prbb.g_00575
OG0000529	Pran.g_01605	Prbb.g_00576
OG0000530	Pran.g_01604	Prbb.g_00577
OG0000531	Pran.g_01603	Prbb.g_00578
OG0000532	Pran.g_01602	Prbb.g_00579
OG0000533	Pran.g_01600	Prbb.g_00580
OG0000534	Pran.g_01599	Prbb.g_00581
OG0000535	Pran.g_01598	Prbb.g_00582
OG0000536	Pran.g_01597	Prbb.g_00583
OG0000537	Pran.g_01596	Prbb.g_00584
OG0000538	Pran.g_01595	Prbb.g_00585
OG0000539	Pran.g_01592	Prbb.g_00587
OG0000540	Pran.g_01591	Prbb.g_00588
OG0000541	Pran.g_01590	Prbb.g_00589
OG0000542	Pran.g_01587	Prbb.g_00591
OG0000543	Pran.g_01586	Prbb.g_00592
OG0000544	Pran.g_01585	Prbb.g_00594
OG0000545	Pran.g_01584	Prbb.g_00593
OG0000546	Pran.g_01583	Prbb.g_00595
OG0000547	Pran.g_01582	Prbb.g_00596
OG0000548	Pran.g_01581	Prbb.g_00597
