Orthogroup	Prag	Pral
OG0000051	Prag.g_00354	Pral.g_01687
OG0000053	Prag.g_00692	Pral.g_01729
OG0000054	Prag.g_01662	Pral.g_00099
OG0000055	Prag.g_01861	Pral.g_00305
OG0000056	Prag.g_00031	Pral.g_01012
OG0000057	Prag.g_00150	Pral.g_00887
OG0000058	Prag.g_00364	Pral.g_01859
OG0000059	Prag.g_00518	Pral.g_00551
OG0000062	Prag.g_00828	Pral.g_01511
OG0000063	Prag.g_01108	Pral.g_00019
OG0000065	Prag.g_00230	Pral.g_00803
OG0000066	Prag.g_00454	Pral.g_00617
OG0000067	Prag.g_00676	Pral.g_01740
OG0000068	Prag.g_00732	Pral.g_00445
OG0000070	Prag.g_01036	Pral.g_01561
OG0000071	Prag.g_01298	Pral.g_01396, Pral.g_01398, Pral.g_01397, Pral.g_01881
OG0000072	Prag.g_01355	Pral.g_01281
OG0000073	Prag.g_01628	Pral.g_00441
OG0000074	Prag.g_01423	Pral.g_00702
OG0000075	Prag.g_01804	Pral.g_00243
OG0000077	Prag.g_00011	Pral.g_00421
OG0000078	Prag.g_00313	Pral.g_00717
OG0000079	Prag.g_00375	Pral.g_01034
OG0000080	Prag.g_00647	Pral.g_01471
OG0000081	Prag.g_00669	Pral.g_01750
OG0000082	Prag.g_00813	Pral.g_01495
OG0000083	Prag.g_00876	Pral.g_01347
OG0000084	Prag.g_00964	Pral.g_01627
OG0000085	Prag.g_01085	Pral.g_01316
OG0000086	Prag.g_01120	Pral.g_00078, Pral.g_00056
OG0000090	Prag.g_01424	Pral.g_01201
OG0000091	Prag.g_01498	Pral.g_01153
OG0000092	Prag.g_01617	Pral.g_00065
OG0000093	Prag.g_01755	Pral.g_00195
OG0000094	Prag.g_01801	Pral.g_00239
OG0000095	Prag.g_01834	Pral.g_00277
OG0000096	Prag.g_01905	Pral.g_00350
OG0000098	Prag.g_00003	Pral.g_00413
OG0000099	Prag.g_00023	Pral.g_01021
OG0000100	Prag.g_00039, Prag.g_00391	Pral.g_01886
OG0000101	Prag.g_00049	Pral.g_00993
OG0000102	Prag.g_00106	Pral.g_00932
OG0000103	Prag.g_00114	Pral.g_00923
OG0000104	Prag.g_00132	Pral.g_00906
OG0000105	Prag.g_00163	Pral.g_00873
OG0000106	Prag.g_00177	Pral.g_00860
OG0000107	Prag.g_00185	Pral.g_00851
OG0000108	Prag.g_00195	Pral.g_00842
OG0000109	Prag.g_00232	Pral.g_00800
OG0000110	Prag.g_00244	Pral.g_00788
OG0000111	Prag.g_00265	Pral.g_00765
OG0000112	Prag.g_00275	Pral.g_00754
OG0000113	Prag.g_00288	Pral.g_00741
OG0000114	Prag.g_00316	Pral.g_00714
OG0000115	Prag.g_00453	Pral.g_01832, Pral.g_00618
OG0000116	Prag.g_00455	Pral.g_00616
OG0000117	Prag.g_00459	Pral.g_00611
OG0000118	Prag.g_00478	Pral.g_00591
OG0000119	Prag.g_00511	Pral.g_00558
OG0000120	Prag.g_00512	Pral.g_00557
OG0000121	Prag.g_00522	Pral.g_00547
OG0000122	Prag.g_00531	Pral.g_00538
OG0000123	Prag.g_00562	Pral.g_00504
OG0000124	Prag.g_00629	Pral.g_01452
OG0000125	Prag.g_00630	Pral.g_01453
OG0000126	Prag.g_00631	Pral.g_01454
OG0000127	Prag.g_00664	Pral.g_01755
OG0000128	Prag.g_00694	Pral.g_01727
OG0000129	Prag.g_00714	Pral.g_01705
OG0000130	Prag.g_00791	Pral.g_01665
OG0000131	Prag.g_00804	Pral.g_01486
OG0000132	Prag.g_00838	Pral.g_01522
OG0000133	Prag.g_00922	Pral.g_01782
OG0000134	Prag.g_00932	Pral.g_01472
OG0000135	Prag.g_00968	Pral.g_01623
OG0000136	Prag.g_01033	Pral.g_01564
OG0000137	Prag.g_01123	Pral.g_00075
OG0000139	Prag.g_01159	Pral.g_01373, Pral.g_01187
OG0000140	Prag.g_01210	Pral.g_00455
OG0000141	Prag.g_01219	Pral.g_01064
OG0000142	Prag.g_01367	Pral.g_01269
OG0000143	Prag.g_01389	Pral.g_01222
OG0000144	Prag.g_01475	Pral.g_01179
OG0000145	Prag.g_01491	Pral.g_01160
OG0000146	Prag.g_01527	Pral.g_01123
OG0000147	Prag.g_01567	Pral.g_01074
OG0000148	Prag.g_01568	Pral.g_01073
OG0000149	Prag.g_01667	Pral.g_00104
OG0000150	Prag.g_01705	Pral.g_00143
OG0000151	Prag.g_01708	Pral.g_00146
OG0000152	Prag.g_01728	Pral.g_00167
OG0000153	Prag.g_01763	Pral.g_00201
OG0000154	Prag.g_01799	Pral.g_00237
OG0000155	Prag.g_01817	Pral.g_00256
OG0000156	Prag.g_01845	Pral.g_00289
OG0000157	Prag.g_01878	Pral.g_00323
OG0000158	Prag.g_01940	Pral.g_00390
OG0000160	Prag.g_00001	Pral.g_00411
OG0000161	Prag.g_00002	Pral.g_00412
OG0000162	Prag.g_00004	Pral.g_00414
OG0000163	Prag.g_00005	Pral.g_00415
OG0000164	Prag.g_00006	Pral.g_00416
OG0000165	Prag.g_00007	Pral.g_00417
OG0000166	Prag.g_00008	Pral.g_00418
OG0000167	Prag.g_00009	Pral.g_00419
OG0000168	Prag.g_00010	Pral.g_00420
OG0000169	Prag.g_00012	Pral.g_00422
OG0000170	Prag.g_00014	Pral.g_01030
OG0000171	Prag.g_00015	Pral.g_01029
OG0000172	Prag.g_00016	Pral.g_01028
OG0000173	Prag.g_00017	Pral.g_01027
OG0000174	Prag.g_00018	Pral.g_01026
OG0000175	Prag.g_00019	Pral.g_01025
OG0000176	Prag.g_00020	Pral.g_01024
OG0000177	Prag.g_00021	Pral.g_01023
OG0000178	Prag.g_00022	Pral.g_01022
OG0000179	Prag.g_00024	Pral.g_01020
OG0000180	Prag.g_00025	Pral.g_01019
OG0000181	Prag.g_00026	Pral.g_01018
OG0000182	Prag.g_00027	Pral.g_01017
OG0000183	Prag.g_00028	Pral.g_01016
OG0000184	Prag.g_00029	Pral.g_01014
OG0000185	Prag.g_00032	Pral.g_01011
OG0000186	Prag.g_00035	Pral.g_01009
OG0000187	Prag.g_00036	Pral.g_01008
OG0000188	Prag.g_00037	Pral.g_01007
OG0000189	Prag.g_00040	Pral.g_01005
OG0000190	Prag.g_00042	Pral.g_01003
OG0000191	Prag.g_00043	Pral.g_01001
OG0000192	Prag.g_00044	Pral.g_01000
OG0000193	Prag.g_00045	Pral.g_00999
OG0000194	Prag.g_00046	Pral.g_00996
OG0000195	Prag.g_00047	Pral.g_00995
OG0000196	Prag.g_00048	Pral.g_00994
OG0000197	Prag.g_00050	Pral.g_00992
OG0000198	Prag.g_00051	Pral.g_00991
OG0000199	Prag.g_00052	Pral.g_00990
OG0000200	Prag.g_00058	Pral.g_00984
OG0000201	Prag.g_00059	Pral.g_00983
OG0000202	Prag.g_00060	Pral.g_00982
OG0000203	Prag.g_00063	Pral.g_00978
OG0000204	Prag.g_00064	Pral.g_00977
OG0000205	Prag.g_00067	Pral.g_00974
OG0000206	Prag.g_00069	Pral.g_00972
OG0000207	Prag.g_00071	Pral.g_00970
OG0000208	Prag.g_00072	Pral.g_00969
OG0000209	Prag.g_00073	Pral.g_00048
OG0000210	Prag.g_00074	Pral.g_00968
OG0000211	Prag.g_00075	Pral.g_00966
OG0000212	Prag.g_00076	Pral.g_00965
OG0000213	Prag.g_00077	Pral.g_00964
OG0000214	Prag.g_00078	Pral.g_00963
OG0000215	Prag.g_00079	Pral.g_00962
OG0000216	Prag.g_00080	Pral.g_00961
OG0000217	Prag.g_00082	Pral.g_00959
OG0000218	Prag.g_00083	Pral.g_00958
OG0000219	Prag.g_00084	Pral.g_00957
OG0000220	Prag.g_00085	Pral.g_00956
OG0000221	Prag.g_00087	Pral.g_00953
OG0000222	Prag.g_00088	Pral.g_00952
OG0000223	Prag.g_00089	Pral.g_00951
OG0000224	Prag.g_00090	Pral.g_00950
OG0000225	Prag.g_00091	Pral.g_00949
OG0000226	Prag.g_00092	Pral.g_00948
OG0000227	Prag.g_00093	Pral.g_00946
OG0000228	Prag.g_00094	Pral.g_00945
OG0000229	Prag.g_00095	Pral.g_00944
OG0000230	Prag.g_00096	Pral.g_00943
OG0000231	Prag.g_00097	Pral.g_00942
OG0000232	Prag.g_00099	Pral.g_00941
OG0000233	Prag.g_00100	Pral.g_00940
OG0000234	Prag.g_00101	Pral.g_00939
OG0000235	Prag.g_00102	Pral.g_00938
OG0000236	Prag.g_00103	Pral.g_00935
OG0000237	Prag.g_00104	Pral.g_00934
OG0000238	Prag.g_00105	Pral.g_00933
OG0000239	Prag.g_00107	Pral.g_00931
OG0000240	Prag.g_00108	Pral.g_00930
OG0000241	Prag.g_00109	Pral.g_00929
OG0000242	Prag.g_00110	Pral.g_00928
OG0000243	Prag.g_00113	Pral.g_00925
OG0000244	Prag.g_00115	Pral.g_00922
OG0000245	Prag.g_00116	Pral.g_00921
OG0000246	Prag.g_00117	Pral.g_00920
OG0000247	Prag.g_00120	Pral.g_00918
OG0000248	Prag.g_00122	Pral.g_00916
OG0000249	Prag.g_00123	Pral.g_00914
OG0000250	Prag.g_00124	Pral.g_00913
OG0000251	Prag.g_00125	Pral.g_00912
OG0000252	Prag.g_00126	Pral.g_00911
OG0000253	Prag.g_00127	Pral.g_00910
OG0000254	Prag.g_00129	Pral.g_00450
OG0000255	Prag.g_00130	Pral.g_00908
OG0000256	Prag.g_00133	Pral.g_00905
OG0000257	Prag.g_00135	Pral.g_00903
OG0000258	Prag.g_00138	Pral.g_00900
OG0000259	Prag.g_00139	Pral.g_00899
OG0000260	Prag.g_00140	Pral.g_00898
OG0000261	Prag.g_00141	Pral.g_00897
OG0000262	Prag.g_00142	Pral.g_00896
OG0000263	Prag.g_00144	Pral.g_00894
OG0000264	Prag.g_00145	Pral.g_00893
OG0000265	Prag.g_00146	Pral.g_00892
OG0000266	Prag.g_00147	Pral.g_00891
OG0000267	Prag.g_00148	Pral.g_00890
OG0000268	Prag.g_00149	Pral.g_00888
OG0000269	Prag.g_00151	Pral.g_00886
OG0000270	Prag.g_00152	Pral.g_00885
OG0000271	Prag.g_00153	Pral.g_00884
OG0000272	Prag.g_00154	Pral.g_00883
OG0000273	Prag.g_00155	Pral.g_00882
OG0000274	Prag.g_00156	Pral.g_00881
OG0000275	Prag.g_00157	Pral.g_00880
OG0000276	Prag.g_00158	Pral.g_00879
OG0000277	Prag.g_00160	Pral.g_00877
OG0000278	Prag.g_00161	Pral.g_00875
OG0000279	Prag.g_00162	Pral.g_00874
OG0000280	Prag.g_00164	Pral.g_00872
OG0000281	Prag.g_00166	Pral.g_00871
OG0000282	Prag.g_00167	Pral.g_00870
OG0000283	Prag.g_00168	Pral.g_00869
OG0000284	Prag.g_00169	Pral.g_00868
OG0000285	Prag.g_00170	Pral.g_00867
OG0000286	Prag.g_00171	Pral.g_00866
OG0000287	Prag.g_00172	Pral.g_00865
OG0000288	Prag.g_00174	Pral.g_00863
OG0000289	Prag.g_00175	Pral.g_00862
OG0000290	Prag.g_00176	Pral.g_00861
OG0000291	Prag.g_00178	Pral.g_00859
OG0000292	Prag.g_00179	Pral.g_00857
OG0000293	Prag.g_00180	Pral.g_00856
OG0000294	Prag.g_00181	Pral.g_00855
OG0000295	Prag.g_00182	Pral.g_00854
OG0000296	Prag.g_00183	Pral.g_00853
OG0000297	Prag.g_00184	Pral.g_00852
OG0000298	Prag.g_00186	Pral.g_00850
OG0000299	Prag.g_00187	Pral.g_00849
OG0000300	Prag.g_00188	Pral.g_00848
OG0000301	Prag.g_00189	Pral.g_00847
OG0000302	Prag.g_00190	Pral.g_00846
OG0000303	Prag.g_00191	Pral.g_00845
OG0000304	Prag.g_00193	Pral.g_00844
OG0000305	Prag.g_00194	Pral.g_00843
OG0000306	Prag.g_00197	Pral.g_00840
OG0000307	Prag.g_00198	Pral.g_00839
OG0000308	Prag.g_00199	Pral.g_00838
OG0000309	Prag.g_00200	Pral.g_00837
OG0000310	Prag.g_00201	Pral.g_00836
OG0000311	Prag.g_00202	Pral.g_00835
OG0000312	Prag.g_00203	Pral.g_00834
OG0000313	Prag.g_00204	Pral.g_00833
OG0000314	Prag.g_00205	Pral.g_00832
OG0000315	Prag.g_00206	Pral.g_00831
OG0000316	Prag.g_00207	Pral.g_00830
OG0000317	Prag.g_00208	Pral.g_00829
OG0000318	Prag.g_00209	Pral.g_00828
OG0000319	Prag.g_00210	Pral.g_00827
OG0000320	Prag.g_00211	Pral.g_00826
OG0000321	Prag.g_00212	Pral.g_00825
OG0000322	Prag.g_00213	Pral.g_00824
OG0000323	Prag.g_00214	Pral.g_00823
OG0000324	Prag.g_00215	Pral.g_00822
OG0000325	Prag.g_00216	Pral.g_00821
OG0000326	Prag.g_00217	Pral.g_00820
OG0000327	Prag.g_00218	Pral.g_00819
OG0000328	Prag.g_00219	Pral.g_00817
OG0000329	Prag.g_00220	Pral.g_00816
OG0000330	Prag.g_00221	Pral.g_00815
OG0000331	Prag.g_00222	Pral.g_00812
OG0000332	Prag.g_00223	Pral.g_00811
OG0000333	Prag.g_00224	Pral.g_00810
OG0000334	Prag.g_00225	Pral.g_00809
OG0000335	Prag.g_00226	Pral.g_00807
OG0000336	Prag.g_00228	Pral.g_00805
OG0000337	Prag.g_00229	Pral.g_00804
OG0000338	Prag.g_00233	Pral.g_00799
OG0000339	Prag.g_00235	Pral.g_00796
OG0000340	Prag.g_00237	Pral.g_00795
OG0000341	Prag.g_00238	Pral.g_00794
OG0000342	Prag.g_00239	Pral.g_00793
OG0000343	Prag.g_00240	Pral.g_00792
OG0000344	Prag.g_00243	Pral.g_00789
OG0000345	Prag.g_00245	Pral.g_00785
OG0000346	Prag.g_00246	Pral.g_00784
OG0000347	Prag.g_00249	Pral.g_00781
OG0000348	Prag.g_00250	Pral.g_00780
OG0000349	Prag.g_00251	Pral.g_00779
OG0000350	Prag.g_00253	Pral.g_00777
OG0000351	Prag.g_00254	Pral.g_00776
OG0000352	Prag.g_00255	Pral.g_00775
OG0000353	Prag.g_00256	Pral.g_00774
OG0000354	Prag.g_00257	Pral.g_00773
OG0000355	Prag.g_00258	Pral.g_00772
OG0000356	Prag.g_00259	Pral.g_00771
OG0000357	Prag.g_00260	Pral.g_00770
OG0000358	Prag.g_00261	Pral.g_00769
OG0000359	Prag.g_00262	Pral.g_00767
OG0000360	Prag.g_00266	Pral.g_00764
OG0000361	Prag.g_00267	Pral.g_00763
OG0000362	Prag.g_00268	Pral.g_00762
OG0000363	Prag.g_00269	Pral.g_00761
OG0000364	Prag.g_00273	Pral.g_00756
OG0000365	Prag.g_00274	Pral.g_00755
OG0000366	Prag.g_00276	Pral.g_00753
OG0000367	Prag.g_00277	Pral.g_00752
OG0000368	Prag.g_00278	Pral.g_00751
OG0000369	Prag.g_00279	Pral.g_00750
OG0000370	Prag.g_00280	Pral.g_00749
OG0000371	Prag.g_00281	Pral.g_00748
OG0000372	Prag.g_00282	Pral.g_00747
OG0000373	Prag.g_00283	Pral.g_00746
OG0000374	Prag.g_00285	Pral.g_00744
OG0000375	Prag.g_00286	Pral.g_00743
OG0000376	Prag.g_00289	Pral.g_00740
OG0000377	Prag.g_00290	Pral.g_00739
OG0000378	Prag.g_00291	Pral.g_00738
OG0000379	Prag.g_00292	Pral.g_00737
OG0000380	Prag.g_00293	Pral.g_00736
OG0000381	Prag.g_00294	Pral.g_00735
OG0000382	Prag.g_00295	Pral.g_00734
OG0000383	Prag.g_00296	Pral.g_00733
OG0000384	Prag.g_00299	Pral.g_00731
OG0000385	Prag.g_00300	Pral.g_00730
OG0000386	Prag.g_00301	Pral.g_00729
OG0000387	Prag.g_00302	Pral.g_00728
OG0000388	Prag.g_00303	Pral.g_00727
OG0000389	Prag.g_00304	Pral.g_00726
OG0000390	Prag.g_00305	Pral.g_00725
OG0000391	Prag.g_00306	Pral.g_00724
OG0000392	Prag.g_00307	Pral.g_00723
OG0000393	Prag.g_00308	Pral.g_00722
OG0000394	Prag.g_00309	Pral.g_00721
OG0000395	Prag.g_00310	Pral.g_00720
OG0000396	Prag.g_00312	Pral.g_00718
OG0000397	Prag.g_00314	Pral.g_00716
OG0000398	Prag.g_00315	Pral.g_00715
OG0000399	Prag.g_00318	Pral.g_00712
OG0000400	Prag.g_00319	Pral.g_00706
OG0000401	Prag.g_00320	Pral.g_00705
OG0000402	Prag.g_00329	Pral.g_00698
OG0000403	Prag.g_00330	Pral.g_00696
OG0000404	Prag.g_00331	Pral.g_00695
OG0000405	Prag.g_00333	Pral.g_00694
OG0000406	Prag.g_00336	Pral.g_00691
OG0000407	Prag.g_00337	Pral.g_00690
OG0000408	Prag.g_00339	Pral.g_00687
OG0000409	Prag.g_00340	Pral.g_00686
OG0000410	Prag.g_00341	Pral.g_00685
OG0000411	Prag.g_00342	Pral.g_00684
OG0000412	Prag.g_00343	Pral.g_00683
OG0000413	Prag.g_00344	Pral.g_00682
OG0000414	Prag.g_00345	Pral.g_00681
OG0000415	Prag.g_00346	Pral.g_00680
OG0000416	Prag.g_00349	Pral.g_00677
OG0000417	Prag.g_00350	Pral.g_00676
OG0000418	Prag.g_00351	Pral.g_00674
OG0000419	Prag.g_00352	Pral.g_00673
OG0000420	Prag.g_00353	Pral.g_01541
OG0000421	Prag.g_00365	Pral.g_01322
OG0000422	Prag.g_00372	Pral.g_01039
OG0000423	Prag.g_00373	Pral.g_01840
OG0000424	Prag.g_00378	Pral.g_00171
OG0000425	Prag.g_00410	Pral.g_00663
OG0000426	Prag.g_00411	Pral.g_00662
OG0000427	Prag.g_00412	Pral.g_00661
OG0000428	Prag.g_00414	Pral.g_00659
OG0000429	Prag.g_00415	Pral.g_00658
OG0000430	Prag.g_00417	Pral.g_00656
OG0000431	Prag.g_00418	Pral.g_00655
OG0000432	Prag.g_00419	Pral.g_00654
OG0000433	Prag.g_00420	Pral.g_00653
OG0000434	Prag.g_00421	Pral.g_00651
OG0000435	Prag.g_00422	Pral.g_00650
OG0000436	Prag.g_00423	Pral.g_00649
OG0000437	Prag.g_00424	Pral.g_00648
OG0000438	Prag.g_00425	Pral.g_00647
OG0000439	Prag.g_00426	Pral.g_00646
OG0000440	Prag.g_00427	Pral.g_00645
OG0000441	Prag.g_00428	Pral.g_00644
OG0000442	Prag.g_00429	Pral.g_00643
OG0000443	Prag.g_00430	Pral.g_00642
OG0000444	Prag.g_00431	Pral.g_00641
OG0000445	Prag.g_00432	Pral.g_00635
OG0000446	Prag.g_00434	Pral.g_00633
OG0000447	Prag.g_00435	Pral.g_00632
OG0000448	Prag.g_00437	Pral.g_00631
OG0000449	Prag.g_00440	Pral.g_00627
OG0000450	Prag.g_00441	Pral.g_00626
OG0000451	Prag.g_00442	Pral.g_00625
OG0000452	Prag.g_00443	Pral.g_00623
OG0000453	Prag.g_00444	Pral.g_00622
OG0000454	Prag.g_00450	Pral.g_00621
OG0000455	Prag.g_00452	Pral.g_00619
OG0000456	Prag.g_00456	Pral.g_00615
OG0000457	Prag.g_00457	Pral.g_00613
OG0000458	Prag.g_00458	Pral.g_00612
OG0000459	Prag.g_00460	Pral.g_00610
OG0000460	Prag.g_00462	Pral.g_00608
OG0000461	Prag.g_00463	Pral.g_00607
OG0000462	Prag.g_00464	Pral.g_00606
OG0000463	Prag.g_00466	Pral.g_00603
OG0000464	Prag.g_00467	Pral.g_00602
OG0000465	Prag.g_00468	Pral.g_00601
OG0000466	Prag.g_00469	Pral.g_00600
OG0000467	Prag.g_00470	Pral.g_00599
OG0000468	Prag.g_00471	Pral.g_00598
OG0000469	Prag.g_00472	Pral.g_00597
OG0000470	Prag.g_00473	Pral.g_00596
OG0000471	Prag.g_00474	Pral.g_00595
OG0000472	Prag.g_00479	Pral.g_00590
OG0000473	Prag.g_00480	Pral.g_00589
OG0000474	Prag.g_00481	Pral.g_00588
OG0000475	Prag.g_00482	Pral.g_00587
OG0000476	Prag.g_00484	Pral.g_00585
OG0000477	Prag.g_00485	Pral.g_00584
OG0000478	Prag.g_00486	Pral.g_00583
OG0000479	Prag.g_00487	Pral.g_00582
OG0000480	Prag.g_00489	Pral.g_00580
OG0000481	Prag.g_00491	Pral.g_00578
OG0000482	Prag.g_00492	Pral.g_00577
OG0000483	Prag.g_00494	Pral.g_00575
OG0000484	Prag.g_00495	Pral.g_00574
OG0000485	Prag.g_00496	Pral.g_00573
OG0000486	Prag.g_00497	Pral.g_00571
OG0000487	Prag.g_00502	Pral.g_00566
OG0000488	Prag.g_00504	Pral.g_00565
OG0000489	Prag.g_00505	Pral.g_00564
OG0000490	Prag.g_00506	Pral.g_00563
OG0000491	Prag.g_00507	Pral.g_00562
OG0000492	Prag.g_00508	Pral.g_00561
OG0000493	Prag.g_00509	Pral.g_00560
OG0000494	Prag.g_00510	Pral.g_00559
OG0000495	Prag.g_00513	Pral.g_00556
OG0000496	Prag.g_00514	Pral.g_00555
OG0000497	Prag.g_00515	Pral.g_00554
OG0000498	Prag.g_00516	Pral.g_00553
OG0000499	Prag.g_00517	Pral.g_00552
OG0000500	Prag.g_00519	Pral.g_00550
OG0000501	Prag.g_00520	Pral.g_00549
OG0000502	Prag.g_00521	Pral.g_00548
OG0000503	Prag.g_00523	Pral.g_00546
OG0000504	Prag.g_00524	Pral.g_00545
OG0000505	Prag.g_00525	Pral.g_00544
OG0000506	Prag.g_00526	Pral.g_00543
OG0000507	Prag.g_00527	Pral.g_00542
OG0000508	Prag.g_00528	Pral.g_00541
OG0000509	Prag.g_00529	Pral.g_00540
OG0000510	Prag.g_00530	Pral.g_00539
OG0000511	Prag.g_00532	Pral.g_00537
OG0000512	Prag.g_00533	Pral.g_00536
OG0000513	Prag.g_00534	Pral.g_00535
OG0000514	Prag.g_00535	Pral.g_00534
OG0000515	Prag.g_00536	Pral.g_00533
OG0000516	Prag.g_00537	Pral.g_00532
OG0000517	Prag.g_00539	Pral.g_00530
OG0000518	Prag.g_00540	Pral.g_00529
OG0000519	Prag.g_00541	Pral.g_00527
OG0000520	Prag.g_00542	Pral.g_00525
OG0000521	Prag.g_00543	Pral.g_00524
OG0000522	Prag.g_00544	Pral.g_00523
OG0000523	Prag.g_00545	Pral.g_00522
OG0000524	Prag.g_00546	Pral.g_00521
OG0000525	Prag.g_00547	Pral.g_00520
OG0000526	Prag.g_00548	Pral.g_00519
OG0000527	Prag.g_00549	Pral.g_00518
OG0000528	Prag.g_00550	Pral.g_00516
OG0000529	Prag.g_00551	Pral.g_00515
OG0000530	Prag.g_00552	Pral.g_00514
OG0000531	Prag.g_00553	Pral.g_00513
OG0000532	Prag.g_00554	Pral.g_00512
OG0000533	Prag.g_00556	Pral.g_00510
OG0000534	Prag.g_00557	Pral.g_00509
OG0000535	Prag.g_00558	Pral.g_00508
OG0000536	Prag.g_00559	Pral.g_00507
OG0000537	Prag.g_00560	Pral.g_00506
OG0000538	Prag.g_00561	Pral.g_00505
OG0000539	Prag.g_00564	Pral.g_00503
OG0000540	Prag.g_00565	Pral.g_00502
OG0000541	Prag.g_00566	Pral.g_00501
OG0000542	Prag.g_00569	Pral.g_00498
OG0000543	Prag.g_00570	Pral.g_00497
OG0000544	Prag.g_00571	Pral.g_00496
OG0000545	Prag.g_00572	Pral.g_00495
OG0000546	Prag.g_00573	Pral.g_00494
OG0000547	Prag.g_00574	Pral.g_00493
OG0000548	Prag.g_00575	Pral.g_00492
OG0000549	Prag.g_00577	Pral.g_00490
OG0000550	Prag.g_00578	Pral.g_00489
OG0000551	Prag.g_00579	Pral.g_00488
OG0000552	Prag.g_00580	Pral.g_00487
OG0000553	Prag.g_00581	Pral.g_00486
OG0000554	Prag.g_00582	Pral.g_00485
OG0000555	Prag.g_00583	Pral.g_00483
OG0000556	Prag.g_00584	Pral.g_00482
OG0000557	Prag.g_00585	Pral.g_00481
OG0000558	Prag.g_00586	Pral.g_00480
OG0000559	Prag.g_00587	Pral.g_00479
OG0000560	Prag.g_00588	Pral.g_00478
OG0000561	Prag.g_00589	Pral.g_00477
OG0000562	Prag.g_00590	Pral.g_00476
OG0000563	Prag.g_00591	Pral.g_00475
OG0000564	Prag.g_00592	Pral.g_00474
OG0000565	Prag.g_00593	Pral.g_00472
OG0000566	Prag.g_00594	Pral.g_00471
OG0000567	Prag.g_00595	Pral.g_00470
OG0000568	Prag.g_00596	Pral.g_00469
OG0000569	Prag.g_00599	Pral.g_00466
OG0000570	Prag.g_00600	Pral.g_00465
OG0000571	Prag.g_00602	Pral.g_00464
OG0000572	Prag.g_00603	Pral.g_00462
OG0000573	Prag.g_00604	Pral.g_00461
OG0000574	Prag.g_00605	Pral.g_00460
OG0000575	Prag.g_00606	Pral.g_00459
OG0000576	Prag.g_00607	Pral.g_00458
OG0000577	Prag.g_00608	Pral.g_01430
OG0000578	Prag.g_00609	Pral.g_01432
OG0000579	Prag.g_00610	Pral.g_01433
OG0000580	Prag.g_00611	Pral.g_01434
OG0000581	Prag.g_00612	Pral.g_01435
OG0000582	Prag.g_00613	Pral.g_01436
OG0000583	Prag.g_00614	Pral.g_01437
