Orthogroup	Prag	Prbl
OG0000057	Prag.g_00150	Prbl.g_00290
OG0000058	Prag.g_00364	Prbl.g_00411
OG0000059	Prag.g_00518	Prbl.g_00752
OG0000061	Prag.g_00751	Prbl.g_01943
OG0000062	Prag.g_00828	Prbl.g_02310
OG0000063	Prag.g_01108	Prbl.g_00138
OG0000066	Prag.g_00454	Prbl.g_01340
OG0000067	Prag.g_00676	Prbl.g_00025
OG0000070	Prag.g_01036	Prbl.g_00927
OG0000071	Prag.g_01298	Prbl.g_01384
OG0000072	Prag.g_01355	Prbl.g_01722
OG0000074	Prag.g_01423	Prbl.g_00892
OG0000075	Prag.g_01804	Prbl.g_01126, Prbl.g_01000
OG0000076	Prag.g_01416	Prbl.g_00889
OG0000077	Prag.g_00011	Prbl.g_02109
OG0000078	Prag.g_00313	Prbl.g_00897
OG0000079	Prag.g_00375	Prbl.g_02190
OG0000080	Prag.g_00647	Prbl.g_01395
OG0000081	Prag.g_00669	Prbl.g_01859
OG0000082	Prag.g_00813	Prbl.g_02328
OG0000084	Prag.g_00964	Prbl.g_02478
OG0000085	Prag.g_01085	Prbl.g_02128
OG0000086	Prag.g_01120	Prbl.g_02204
OG0000090	Prag.g_01424	Prbl.g_00893
OG0000091	Prag.g_01498	Prbl.g_00226
OG0000092	Prag.g_01617	Prbl.g_00462
OG0000093	Prag.g_01755	Prbl.g_00952
OG0000094	Prag.g_01801	Prbl.g_00996
OG0000095	Prag.g_01834	Prbl.g_00857
OG0000096	Prag.g_01905	Prbl.g_01991
OG0000098	Prag.g_00003	Prbl.g_02118
OG0000099	Prag.g_00023	Prbl.g_01968
OG0000101	Prag.g_00049	Prbl.g_02273
OG0000102	Prag.g_00106	Prbl.g_01331
OG0000103	Prag.g_00114	Prbl.g_01316
OG0000104	Prag.g_00132	Prbl.g_00810
OG0000105	Prag.g_00163	Prbl.g_00277
OG0000106	Prag.g_00177	Prbl.g_00069
OG0000107	Prag.g_00185	Prbl.g_00088
OG0000108	Prag.g_00195	Prbl.g_00098
OG0000109	Prag.g_00232	Prbl.g_00193
OG0000110	Prag.g_00244	Prbl.g_01506
OG0000111	Prag.g_00265	Prbl.g_01461
OG0000112	Prag.g_00275	Prbl.g_01448
OG0000113	Prag.g_00288	Prbl.g_01432
OG0000114	Prag.g_00316	Prbl.g_00877
OG0000115	Prag.g_00453	Prbl.g_01341
OG0000116	Prag.g_00455	Prbl.g_01339
OG0000117	Prag.g_00459	Prbl.g_00511
OG0000118	Prag.g_00478	Prbl.g_00533
OG0000119	Prag.g_00511	Prbl.g_00768
OG0000120	Prag.g_00512	Prbl.g_00766
OG0000121	Prag.g_00522	Prbl.g_02647
OG0000122	Prag.g_00531	Prbl.g_01886
OG0000123	Prag.g_00562	Prbl.g_01784
OG0000124	Prag.g_00629	Prbl.g_01043
OG0000125	Prag.g_00630	Prbl.g_01042
OG0000126	Prag.g_00631	Prbl.g_01041
OG0000127	Prag.g_00664	Prbl.g_00318
OG0000128	Prag.g_00694	Prbl.g_02564
OG0000129	Prag.g_00714	Prbl.g_02432
OG0000130	Prag.g_00791	Prbl.g_01099
OG0000131	Prag.g_00804	Prbl.g_02337
OG0000132	Prag.g_00838	Prbl.g_01538
OG0000133	Prag.g_00922	Prbl.g_02365
OG0000134	Prag.g_00932	Prbl.g_02359
OG0000135	Prag.g_00968	Prbl.g_02486
OG0000136	Prag.g_01033	Prbl.g_00930
OG0000137	Prag.g_01123	Prbl.g_02202
OG0000139	Prag.g_01159	Prbl.g_02091
OG0000140	Prag.g_01210	Prbl.g_01102
OG0000141	Prag.g_01219	Prbl.g_00937
OG0000142	Prag.g_01367	Prbl.g_01736
OG0000143	Prag.g_01389	Prbl.g_00502
OG0000144	Prag.g_01475	Prbl.g_00258
OG0000145	Prag.g_01491	Prbl.g_00241
OG0000146	Prag.g_01527	Prbl.g_00709
OG0000147	Prag.g_01567	Prbl.g_00418
OG0000148	Prag.g_01568	Prbl.g_00417
OG0000149	Prag.g_01667	Prbl.g_00399
OG0000150	Prag.g_01705	Prbl.g_00350
OG0000151	Prag.g_01708	Prbl.g_00347
OG0000152	Prag.g_01728	Prbl.g_02620
OG0000153	Prag.g_01763	Prbl.g_00957
OG0000154	Prag.g_01799	Prbl.g_00994
OG0000155	Prag.g_01817	Prbl.g_01141
OG0000156	Prag.g_01845	Prbl.g_00841
OG0000157	Prag.g_01878	Prbl.g_02053
OG0000158	Prag.g_01940	Prbl.g_02147
OG0000160	Prag.g_00001	Prbl.g_02120
OG0000161	Prag.g_00002	Prbl.g_02119
OG0000162	Prag.g_00004	Prbl.g_02117
OG0000163	Prag.g_00005	Prbl.g_02116
OG0000164	Prag.g_00006	Prbl.g_02115
OG0000165	Prag.g_00007	Prbl.g_02114
OG0000166	Prag.g_00008	Prbl.g_02112
OG0000167	Prag.g_00009	Prbl.g_02111
OG0000168	Prag.g_00010	Prbl.g_02110
OG0000169	Prag.g_00012	Prbl.g_02108
OG0000170	Prag.g_00014	Prbl.g_01955
OG0000171	Prag.g_00015	Prbl.g_01956
OG0000172	Prag.g_00016	Prbl.g_01961
OG0000173	Prag.g_00017	Prbl.g_01962
OG0000174	Prag.g_00018	Prbl.g_01963
OG0000175	Prag.g_00019	Prbl.g_01964
OG0000176	Prag.g_00020	Prbl.g_01965
OG0000177	Prag.g_00021	Prbl.g_01966
OG0000178	Prag.g_00022	Prbl.g_01967
OG0000179	Prag.g_00024	Prbl.g_01969
OG0000180	Prag.g_00025	Prbl.g_01970
OG0000181	Prag.g_00026	Prbl.g_01971
OG0000182	Prag.g_00027	Prbl.g_01972
OG0000183	Prag.g_00028	Prbl.g_01973
OG0000184	Prag.g_00029	Prbl.g_01975
OG0000185	Prag.g_00032	Prbl.g_01980
OG0000186	Prag.g_00035	Prbl.g_01985
OG0000187	Prag.g_00036	Prbl.g_01986
OG0000188	Prag.g_00037	Prbl.g_01987
OG0000189	Prag.g_00040	Prbl.g_01988
OG0000190	Prag.g_00042	Prbl.g_01990
OG0000191	Prag.g_00043	Prbl.g_02241
OG0000192	Prag.g_00044	Prbl.g_02243
OG0000193	Prag.g_00045	Prbl.g_02244
OG0000194	Prag.g_00046	Prbl.g_02251
OG0000195	Prag.g_00047	Prbl.g_02258
OG0000196	Prag.g_00048	Prbl.g_02266
OG0000197	Prag.g_00050	Prbl.g_02274
OG0000198	Prag.g_00051	Prbl.g_02275
OG0000199	Prag.g_00052	Prbl.g_02276
OG0000200	Prag.g_00058	Prbl.g_00614
OG0000201	Prag.g_00059	Prbl.g_00613
OG0000202	Prag.g_00060	Prbl.g_00612
OG0000203	Prag.g_00063	Prbl.g_00608
OG0000204	Prag.g_00064	Prbl.g_00607
OG0000205	Prag.g_00067	Prbl.g_00603
OG0000206	Prag.g_00069	Prbl.g_00601
OG0000207	Prag.g_00071	Prbl.g_00597
OG0000208	Prag.g_00072	Prbl.g_00596
OG0000209	Prag.g_00073	Prbl.g_01075
OG0000210	Prag.g_00074	Prbl.g_00595
OG0000211	Prag.g_00075	Prbl.g_00592
OG0000212	Prag.g_00076	Prbl.g_00591
OG0000213	Prag.g_00077	Prbl.g_00590
OG0000214	Prag.g_00078	Prbl.g_00589
OG0000215	Prag.g_00079	Prbl.g_00588
OG0000216	Prag.g_00080	Prbl.g_00587
OG0000217	Prag.g_00082	Prbl.g_00583
OG0000218	Prag.g_00083	Prbl.g_00582
OG0000219	Prag.g_00084	Prbl.g_00576
OG0000220	Prag.g_00085	Prbl.g_00572
OG0000221	Prag.g_00087	Prbl.g_00567
OG0000222	Prag.g_00088	Prbl.g_00566
OG0000223	Prag.g_00089	Prbl.g_00565
OG0000224	Prag.g_00090	Prbl.g_00563
OG0000225	Prag.g_00091	Prbl.g_00562
OG0000226	Prag.g_00092	Prbl.g_00561
OG0000227	Prag.g_00093	Prbl.g_00559
OG0000228	Prag.g_00094	Prbl.g_00558
OG0000229	Prag.g_00095	Prbl.g_00557
OG0000230	Prag.g_00096	Prbl.g_00556
OG0000231	Prag.g_00097	Prbl.g_00555
OG0000232	Prag.g_00099	Prbl.g_00553
OG0000233	Prag.g_00100	Prbl.g_00552
OG0000234	Prag.g_00101	Prbl.g_00551
OG0000235	Prag.g_00102	Prbl.g_00548
OG0000236	Prag.g_00103	Prbl.g_00544
OG0000237	Prag.g_00104	Prbl.g_00542
OG0000238	Prag.g_00105	Prbl.g_01332
OG0000239	Prag.g_00107	Prbl.g_01330
OG0000240	Prag.g_00108	Prbl.g_01328
OG0000241	Prag.g_00109	Prbl.g_01326
OG0000242	Prag.g_00110	Prbl.g_01325
OG0000243	Prag.g_00113	Prbl.g_01320
OG0000244	Prag.g_00115	Prbl.g_01315
OG0000245	Prag.g_00116	Prbl.g_01314
OG0000246	Prag.g_00117	Prbl.g_01313
OG0000247	Prag.g_00120	Prbl.g_00827
OG0000248	Prag.g_00122	Prbl.g_00825
OG0000249	Prag.g_00123	Prbl.g_00822
OG0000250	Prag.g_00124	Prbl.g_00820
OG0000251	Prag.g_00125	Prbl.g_00819
OG0000252	Prag.g_00126	Prbl.g_00818
OG0000253	Prag.g_00127	Prbl.g_00817
OG0000254	Prag.g_00129	Prbl.g_00815
OG0000255	Prag.g_00130	Prbl.g_00814
OG0000256	Prag.g_00133	Prbl.g_00809
OG0000257	Prag.g_00135	Prbl.g_00305
OG0000258	Prag.g_00138	Prbl.g_00303
OG0000259	Prag.g_00139	Prbl.g_00302
OG0000260	Prag.g_00140	Prbl.g_00301
OG0000261	Prag.g_00141	Prbl.g_00300
OG0000262	Prag.g_00142	Prbl.g_00299
OG0000263	Prag.g_00144	Prbl.g_00297
OG0000264	Prag.g_00145	Prbl.g_00296
OG0000265	Prag.g_00146	Prbl.g_00295
OG0000266	Prag.g_00147	Prbl.g_00294
OG0000267	Prag.g_00148	Prbl.g_00293
OG0000268	Prag.g_00149	Prbl.g_00291
OG0000269	Prag.g_00151	Prbl.g_00289
OG0000270	Prag.g_00152	Prbl.g_00288
OG0000271	Prag.g_00153	Prbl.g_00287
OG0000272	Prag.g_00154	Prbl.g_00286
OG0000273	Prag.g_00155	Prbl.g_00285
OG0000274	Prag.g_00156	Prbl.g_00284
OG0000275	Prag.g_00157	Prbl.g_00283
OG0000276	Prag.g_00158	Prbl.g_00282
OG0000277	Prag.g_00160	Prbl.g_00280
OG0000278	Prag.g_00161	Prbl.g_00279
OG0000279	Prag.g_00162	Prbl.g_00278
OG0000280	Prag.g_00164	Prbl.g_00276
OG0000281	Prag.g_00166	Prbl.g_00275
OG0000282	Prag.g_00167	Prbl.g_00274
OG0000283	Prag.g_00168	Prbl.g_00273
OG0000284	Prag.g_00169	Prbl.g_00272
OG0000285	Prag.g_00170	Prbl.g_00271
OG0000286	Prag.g_00171	Prbl.g_00270
OG0000287	Prag.g_00172	Prbl.g_00269
OG0000288	Prag.g_00174	Prbl.g_02377
OG0000289	Prag.g_00175	Prbl.g_00066
OG0000290	Prag.g_00176	Prbl.g_00068
OG0000291	Prag.g_00178	Prbl.g_00072
OG0000292	Prag.g_00179	Prbl.g_00074
OG0000293	Prag.g_00180	Prbl.g_00077
OG0000294	Prag.g_00181	Prbl.g_00079
OG0000295	Prag.g_00182	Prbl.g_00082
OG0000296	Prag.g_00183	Prbl.g_00083
OG0000297	Prag.g_00184	Prbl.g_00086
OG0000298	Prag.g_00186	Prbl.g_00089
OG0000299	Prag.g_00187	Prbl.g_00090
OG0000300	Prag.g_00188	Prbl.g_00091
OG0000301	Prag.g_00189	Prbl.g_00092
OG0000302	Prag.g_00190	Prbl.g_00093
OG0000303	Prag.g_00191	Prbl.g_00094
OG0000304	Prag.g_00193	Prbl.g_00096
OG0000305	Prag.g_00194	Prbl.g_00097
OG0000306	Prag.g_00197	Prbl.g_00104
OG0000307	Prag.g_00198	Prbl.g_00105
OG0000308	Prag.g_00199	Prbl.g_01283
OG0000309	Prag.g_00200	Prbl.g_01282
OG0000310	Prag.g_00201	Prbl.g_01281
OG0000311	Prag.g_00202	Prbl.g_00130
OG0000312	Prag.g_00203	Prbl.g_00129
OG0000313	Prag.g_00204	Prbl.g_00127
OG0000314	Prag.g_00205	Prbl.g_00126
OG0000315	Prag.g_00206	Prbl.g_00124
OG0000316	Prag.g_00207	Prbl.g_01244
OG0000317	Prag.g_00208	Prbl.g_01245
OG0000318	Prag.g_00209	Prbl.g_01246
OG0000319	Prag.g_00210	Prbl.g_01252
OG0000320	Prag.g_00211	Prbl.g_01253
OG0000321	Prag.g_00212	Prbl.g_01256
OG0000322	Prag.g_00213	Prbl.g_01257
OG0000323	Prag.g_00214	Prbl.g_01258
OG0000324	Prag.g_00215	Prbl.g_01259
OG0000325	Prag.g_00216	Prbl.g_01260
OG0000326	Prag.g_00217	Prbl.g_01261
OG0000327	Prag.g_00218	Prbl.g_01262
OG0000328	Prag.g_00219	Prbl.g_01264
OG0000329	Prag.g_00220	Prbl.g_01265
OG0000330	Prag.g_00221	Prbl.g_01266
OG0000331	Prag.g_00222	Prbl.g_01918
OG0000332	Prag.g_00223	Prbl.g_01769
OG0000333	Prag.g_00224	Prbl.g_01770
OG0000334	Prag.g_00225	Prbl.g_01771
OG0000335	Prag.g_00226	Prbl.g_01922
OG0000336	Prag.g_00228	Prbl.g_01923
OG0000337	Prag.g_00229	Prbl.g_00199
OG0000338	Prag.g_00233	Prbl.g_00192
OG0000339	Prag.g_00235	Prbl.g_02679
OG0000340	Prag.g_00237	Prbl.g_02666
OG0000341	Prag.g_00238	Prbl.g_01516
OG0000342	Prag.g_00239	Prbl.g_01515
OG0000343	Prag.g_00240	Prbl.g_01513
OG0000344	Prag.g_00243	Prbl.g_01508
OG0000345	Prag.g_00245	Prbl.g_01499
OG0000346	Prag.g_00246	Prbl.g_01498
OG0000347	Prag.g_00249	Prbl.g_01496
OG0000348	Prag.g_00250	Prbl.g_01494
OG0000349	Prag.g_00251	Prbl.g_01492
OG0000350	Prag.g_00253	Prbl.g_01486
OG0000351	Prag.g_00254	Prbl.g_01919
OG0000352	Prag.g_00255	Prbl.g_01473
OG0000353	Prag.g_00256	Prbl.g_01472
OG0000354	Prag.g_00257	Prbl.g_01470
OG0000355	Prag.g_00258	Prbl.g_01469
OG0000356	Prag.g_00259	Prbl.g_01468
OG0000357	Prag.g_00260	Prbl.g_01467
OG0000358	Prag.g_00261	Prbl.g_01466
OG0000359	Prag.g_00262	Prbl.g_01464
OG0000360	Prag.g_00266	Prbl.g_01459
OG0000361	Prag.g_00267	Prbl.g_01458
OG0000362	Prag.g_00268	Prbl.g_01457
OG0000363	Prag.g_00269	Prbl.g_01455
OG0000364	Prag.g_00273	Prbl.g_01450
OG0000365	Prag.g_00274	Prbl.g_01449
OG0000366	Prag.g_00276	Prbl.g_01447
OG0000367	Prag.g_00277	Prbl.g_01445
OG0000368	Prag.g_00278	Prbl.g_01444
OG0000369	Prag.g_00279	Prbl.g_01443
OG0000370	Prag.g_00280	Prbl.g_01442
OG0000371	Prag.g_00281	Prbl.g_01441
OG0000372	Prag.g_00282	Prbl.g_01440
OG0000373	Prag.g_00283	Prbl.g_01439
OG0000374	Prag.g_00285	Prbl.g_01436
OG0000375	Prag.g_00286	Prbl.g_01435
OG0000376	Prag.g_00289	Prbl.g_01431
OG0000377	Prag.g_00290	Prbl.g_01428
OG0000378	Prag.g_00291	Prbl.g_01427
OG0000379	Prag.g_00292	Prbl.g_01426
OG0000380	Prag.g_00293	Prbl.g_01421
OG0000381	Prag.g_00294	Prbl.g_01420
OG0000382	Prag.g_00295	Prbl.g_01419
OG0000383	Prag.g_00296	Prbl.g_01417
OG0000384	Prag.g_00299	Prbl.g_01414
OG0000385	Prag.g_00300	Prbl.g_01413
OG0000386	Prag.g_00301	Prbl.g_00911
OG0000387	Prag.g_00302	Prbl.g_00909
OG0000388	Prag.g_00303	Prbl.g_00908
OG0000389	Prag.g_00304	Prbl.g_00907
OG0000390	Prag.g_00305	Prbl.g_00906
OG0000391	Prag.g_00306	Prbl.g_00905
OG0000392	Prag.g_00307	Prbl.g_00904
OG0000393	Prag.g_00308	Prbl.g_00903
OG0000394	Prag.g_00309	Prbl.g_00902
OG0000395	Prag.g_00310	Prbl.g_00901
OG0000396	Prag.g_00312	Prbl.g_00898
OG0000397	Prag.g_00314	Prbl.g_00888
OG0000398	Prag.g_00315	Prbl.g_00886
OG0000399	Prag.g_00318	Prbl.g_01183
OG0000400	Prag.g_00319	Prbl.g_01190
OG0000401	Prag.g_00320	Prbl.g_01191
OG0000402	Prag.g_00329	Prbl.g_01201
OG0000403	Prag.g_00330	Prbl.g_01203
OG0000404	Prag.g_00331	Prbl.g_01204
OG0000405	Prag.g_00333	Prbl.g_01206
OG0000406	Prag.g_00336	Prbl.g_01210
OG0000407	Prag.g_00337	Prbl.g_01211
OG0000408	Prag.g_00339	Prbl.g_01217
OG0000409	Prag.g_00340	Prbl.g_01218
OG0000410	Prag.g_00341	Prbl.g_01219
OG0000411	Prag.g_00342	Prbl.g_01220
OG0000412	Prag.g_00343	Prbl.g_01221
OG0000413	Prag.g_00344	Prbl.g_01222
OG0000414	Prag.g_00345	Prbl.g_01223
OG0000415	Prag.g_00346	Prbl.g_01224
OG0000416	Prag.g_00349	Prbl.g_02673
OG0000417	Prag.g_00350	Prbl.g_02674
OG0000418	Prag.g_00351	Prbl.g_02677
OG0000419	Prag.g_00352	Prbl.g_02678
OG0000420	Prag.g_00353	Prbl.g_01564
OG0000421	Prag.g_00365	Prbl.g_00609
OG0000422	Prag.g_00372	Prbl.g_00410
OG0000423	Prag.g_00373	Prbl.g_01693
OG0000424	Prag.g_00378	Prbl.g_02681
OG0000425	Prag.g_00410	Prbl.g_00676
OG0000426	Prag.g_00411	Prbl.g_00675
OG0000427	Prag.g_00412	Prbl.g_00663
OG0000428	Prag.g_00414	Prbl.g_00653
OG0000429	Prag.g_00415	Prbl.g_00652
OG0000430	Prag.g_00417	Prbl.g_00650
OG0000431	Prag.g_00418	Prbl.g_00649
OG0000432	Prag.g_00419	Prbl.g_00648
OG0000433	Prag.g_00420	Prbl.g_00647
OG0000434	Prag.g_00421	Prbl.g_00645
OG0000435	Prag.g_00422	Prbl.g_00644
OG0000436	Prag.g_00423	Prbl.g_00643
OG0000437	Prag.g_00424	Prbl.g_00642
OG0000438	Prag.g_00425	Prbl.g_00641
OG0000439	Prag.g_00426	Prbl.g_00640
OG0000440	Prag.g_00427	Prbl.g_00639
OG0000441	Prag.g_00428	Prbl.g_00635
OG0000442	Prag.g_00429	Prbl.g_00634
OG0000443	Prag.g_00430	Prbl.g_00633
OG0000444	Prag.g_00431	Prbl.g_00632
OG0000445	Prag.g_00432	Prbl.g_00625
OG0000446	Prag.g_00434	Prbl.g_00623
OG0000447	Prag.g_00435	Prbl.g_00622
OG0000448	Prag.g_00437	Prbl.g_00619
OG0000449	Prag.g_00440	Prbl.g_01364
OG0000450	Prag.g_00441	Prbl.g_01363
OG0000451	Prag.g_00442	Prbl.g_01360
OG0000452	Prag.g_00443	Prbl.g_01348
OG0000453	Prag.g_00444	Prbl.g_01346
OG0000454	Prag.g_00450	Prbl.g_01344
OG0000455	Prag.g_00452	Prbl.g_01342
OG0000456	Prag.g_00456	Prbl.g_00503
OG0000457	Prag.g_00457	Prbl.g_00506
OG0000458	Prag.g_00458	Prbl.g_00510
OG0000459	Prag.g_00460	Prbl.g_00512
OG0000460	Prag.g_00462	Prbl.g_00514
OG0000461	Prag.g_00463	Prbl.g_00515
OG0000462	Prag.g_00464	Prbl.g_00516
OG0000463	Prag.g_00466	Prbl.g_00519
OG0000464	Prag.g_00467	Prbl.g_00521
OG0000465	Prag.g_00468	Prbl.g_00522
OG0000466	Prag.g_00469	Prbl.g_00523
OG0000467	Prag.g_00470	Prbl.g_00524
OG0000468	Prag.g_00471	Prbl.g_00525
OG0000469	Prag.g_00472	Prbl.g_00526
OG0000470	Prag.g_00473	Prbl.g_00527
OG0000471	Prag.g_00474	Prbl.g_00528
OG0000472	Prag.g_00479	Prbl.g_00536
OG0000473	Prag.g_00480	Prbl.g_00806
OG0000474	Prag.g_00481	Prbl.g_00805
OG0000475	Prag.g_00482	Prbl.g_00804
OG0000476	Prag.g_00484	Prbl.g_00801
OG0000477	Prag.g_00485	Prbl.g_00800
OG0000478	Prag.g_00486	Prbl.g_00799
OG0000479	Prag.g_00487	Prbl.g_00798
OG0000480	Prag.g_00489	Prbl.g_00797
OG0000481	Prag.g_00491	Prbl.g_00795
OG0000482	Prag.g_00492	Prbl.g_00794
OG0000483	Prag.g_00494	Prbl.g_00792
OG0000484	Prag.g_00495	Prbl.g_00791
OG0000485	Prag.g_00496	Prbl.g_00790
OG0000486	Prag.g_00497	Prbl.g_00785
OG0000487	Prag.g_00502	Prbl.g_00780
OG0000488	Prag.g_00504	Prbl.g_00779
OG0000489	Prag.g_00505	Prbl.g_00778
OG0000490	Prag.g_00506	Prbl.g_00776
OG0000491	Prag.g_00507	Prbl.g_00775
OG0000492	Prag.g_00508	Prbl.g_00770
OG0000493	Prag.g_00509	Prbl.g_01526
OG0000494	Prag.g_00510	Prbl.g_00032
OG0000495	Prag.g_00513	Prbl.g_00765
OG0000496	Prag.g_00514	Prbl.g_00763
OG0000497	Prag.g_00515	Prbl.g_00761
OG0000498	Prag.g_00516	Prbl.g_00760
OG0000499	Prag.g_00517	Prbl.g_00754
OG0000500	Prag.g_00519	Prbl.g_00751
OG0000501	Prag.g_00520	Prbl.g_00749
OG0000502	Prag.g_00521	Prbl.g_00747
OG0000503	Prag.g_00523	Prbl.g_02645
OG0000504	Prag.g_00524	Prbl.g_01878
OG0000505	Prag.g_00525	Prbl.g_01879
OG0000506	Prag.g_00526	Prbl.g_01881
OG0000507	Prag.g_00527	Prbl.g_01882
OG0000508	Prag.g_00528	Prbl.g_01883
OG0000509	Prag.g_00529	Prbl.g_01884
OG0000510	Prag.g_00530	Prbl.g_01885
OG0000511	Prag.g_00532	Prbl.g_01887
OG0000512	Prag.g_00533	Prbl.g_01888
OG0000513	Prag.g_00534	Prbl.g_01889
OG0000514	Prag.g_00535	Prbl.g_01890
OG0000515	Prag.g_00536	Prbl.g_01891
OG0000516	Prag.g_00537	Prbl.g_01892
OG0000517	Prag.g_00539	Prbl.g_01894
OG0000518	Prag.g_00540	Prbl.g_01895
OG0000519	Prag.g_00541	Prbl.g_01897
OG0000520	Prag.g_00542	Prbl.g_01899
OG0000521	Prag.g_00543	Prbl.g_01900
OG0000522	Prag.g_00544	Prbl.g_01901
OG0000523	Prag.g_00545	Prbl.g_01902
OG0000524	Prag.g_00546	Prbl.g_01903
OG0000525	Prag.g_00547	Prbl.g_01905
OG0000526	Prag.g_00548	Prbl.g_01801
OG0000527	Prag.g_00549	Prbl.g_01800
OG0000528	Prag.g_00550	Prbl.g_01799
OG0000529	Prag.g_00551	Prbl.g_01797
OG0000530	Prag.g_00552	Prbl.g_01796
OG0000531	Prag.g_00553	Prbl.g_01795
OG0000532	Prag.g_00554	Prbl.g_01794
OG0000533	Prag.g_00556	Prbl.g_01790
OG0000534	Prag.g_00557	Prbl.g_01789
OG0000535	Prag.g_00558	Prbl.g_01788
OG0000536	Prag.g_00559	Prbl.g_01787
OG0000537	Prag.g_00560	Prbl.g_01786
OG0000538	Prag.g_00561	Prbl.g_01785
OG0000539	Prag.g_00564	Prbl.g_01781
OG0000540	Prag.g_00565	Prbl.g_01780
OG0000541	Prag.g_00566	Prbl.g_01779
OG0000542	Prag.g_00569	Prbl.g_01775
OG0000543	Prag.g_00570	Prbl.g_01774
OG0000544	Prag.g_00571	Prbl.g_01773
OG0000545	Prag.g_00572	Prbl.g_01772
OG0000546	Prag.g_00573	Prbl.g_01766
OG0000547	Prag.g_00574	Prbl.g_01765
OG0000548	Prag.g_00575	Prbl.g_01764
OG0000549	Prag.g_00577	Prbl.g_01762
OG0000550	Prag.g_00578	Prbl.g_01761
OG0000551	Prag.g_00579	Prbl.g_01760
OG0000552	Prag.g_00580	Prbl.g_01759
OG0000553	Prag.g_00581	Prbl.g_01758
OG0000554	Prag.g_00582	Prbl.g_01757
OG0000555	Prag.g_00583	Prbl.g_01754
OG0000556	Prag.g_00584	Prbl.g_01752
OG0000557	Prag.g_00585	Prbl.g_01751
OG0000558	Prag.g_00586	Prbl.g_01750
OG0000559	Prag.g_00587	Prbl.g_01749
OG0000560	Prag.g_00588	Prbl.g_01748
OG0000561	Prag.g_00589	Prbl.g_01747
OG0000562	Prag.g_00590	Prbl.g_01746
OG0000563	Prag.g_00591	Prbl.g_01744
OG0000564	Prag.g_00592	Prbl.g_01742
OG0000565	Prag.g_00593	Prbl.g_01610
OG0000566	Prag.g_00594	Prbl.g_01611
OG0000567	Prag.g_00595	Prbl.g_01612
OG0000568	Prag.g_00596	Prbl.g_01613
OG0000569	Prag.g_00599	Prbl.g_01616
OG0000570	Prag.g_00600	Prbl.g_01617
OG0000571	Prag.g_00602	Prbl.g_01619
OG0000572	Prag.g_00603	Prbl.g_01624
OG0000573	Prag.g_00604	Prbl.g_01625
OG0000574	Prag.g_00605	Prbl.g_01626
OG0000575	Prag.g_00606	Prbl.g_01629
OG0000576	Prag.g_00607	Prbl.g_01631
OG0000577	Prag.g_00608	Prbl.g_01632
