Orthogroup	Prbc	Syam
OG0000032	Prbc.g_00746	Syam.g_01660
OG0000033	Prbc.g_00402	Syam.g_02217
OG0000034	Prbc.g_00575	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbc.g_00709	Syam.g_01612
OG0000037	Prbc.g_00464	Syam.g_02125
OG0000038	Prbc.g_00995	Syam.g_02317
OG0000039	Prbc.g_01768	Syam.g_00749
OG0000041	Prbc.g_00877	Syam.g_01899
OG0000042	Prbc.g_00203	Syam.g_00107
OG0000043	Prbc.g_00135	Syam.g_01041
OG0000044	Prbc.g_00533	Syam.g_01562
OG0000045	Prbc.g_02137	Syam.g_02028
OG0000046	Prbc.g_01220	Syam.g_00403, Syam.g_00410, Syam.g_00420
OG0000047	Prbc.g_01273, Prbc.g_01227	Syam.g_00434
OG0000048	Prbc.g_01165	Syam.g_00243
OG0000052	Prbc.g_00518, Prbc.g_00517	Syam.g_00161
OG0000053	Prbc.g_00728	Syam.g_01636
OG0000054	Prbc.g_01683	Syam.g_01515
OG0000055	Prbc.g_01822	Syam.g_00754
OG0000057	Prbc.g_01780, Prbc.g_00055	Syam.g_00784
OG0000058	Prbc.g_01928	Syam.g_00169
OG0000059	Prbc.g_00958	Syam.g_00320
OG0000061	Prbc.g_01446	Syam.g_01795
OG0000063	Prbc.g_00932	Syam.g_00039
OG0000065	Prbc.g_00466	Syam.g_02121
OG0000066	Prbc.g_01618	Syam.g_00552, Syam.g_00662
OG0000067	Prbc.g_01858	Syam.g_01290
OG0000068	Prbc.g_00657	Syam.g_00575
OG0000070	Prbc.g_01511	Syam.g_01847
OG0000071	Prbc.g_00566	Syam.g_01830
OG0000072	Prbc.g_00400	Syam.g_02219
OG0000073	Prbc.g_01579	Syam.g_00604
OG0000075	Prbc.g_00236	Syam.g_00148
OG0000076	Prbc.g_00211	Syam.g_00115
OG0000077	Prbc.g_00495	Syam.g_02074
OG0000078	Prbc.g_00330	Syam.g_00514
OG0000079	Prbc.g_01148	Syam.g_00270
OG0000081	Prbc.g_01610	Syam.g_00520
OG0000082	Prbc.g_00891	Syam.g_01730
OG0000085	Prbc.g_00826	Syam.g_01979
OG0000086	Prbc.g_00485	Syam.g_02092
OG0000087	Prbc.g_00432	Syam.g_02175
OG0000088	Prbc.g_00405	Syam.g_02213
OG0000089	Prbc.g_01268	Syam.g_00489
OG0000090	Prbc.g_01612	Syam.g_00651
OG0000091	Prbc.g_01719	Syam.g_01460
OG0000097	Prbc.g_01400	Syam.g_00874
OG0000098	Prbc.g_00585	Syam.g_00944
OG0000099	Prbc.g_01229	Syam.g_00173
OG0000100	Prbc.g_00785	Syam.g_01259
OG0000101	Prbc.g_00284	Syam.g_00371
OG0000102	Prbc.g_00206	Syam.g_00110
OG0000103	Prbc.g_01053	Syam.g_02428
OG0000104	Prbc.g_01065	Syam.g_02442
OG0000105	Prbc.g_01167	Syam.g_00238
OG0000106	Prbc.g_00134, Prbc.g_00641	Syam.g_01039
OG0000107	Prbc.g_00934	Syam.g_00288
OG0000108	Prbc.g_01540	Syam.g_00583
OG0000109	Prbc.g_01553	Syam.g_00598
OG0000110	Prbc.g_01654	Syam.g_01743
OG0000112	Prbc.g_02028	Syam.g_01115
OG0000113	Prbc.g_01882, Prbc.g_00153	Syam.g_01264
OG0000114	Prbc.g_01977	Syam.g_01349
OG0000115	Prbc.g_00801	Syam.g_01634
OG0000116	Prbc.g_01457	Syam.g_01807
OG0000117	Prbc.g_00102	Syam.g_00904
OG0000118	Prbc.g_00577	Syam.g_01698
OG0000120	Prbc.g_01753	Syam.g_00172
OG0000121	Prbc.g_00711	Syam.g_01615
OG0000122	Prbc.g_00750	Syam.g_01436
OG0000123	Prbc.g_00277	Syam.g_00379
OG0000124	Prbc.g_00193	Syam.g_00096
OG0000125	Prbc.g_00997	Syam.g_02319
OG0000126	Prbc.g_01063	Syam.g_02440
OG0000127	Prbc.g_01367	Syam.g_02032
OG0000128	Prbc.g_01081	Syam.g_00012
OG0000129	Prbc.g_01122	Syam.g_02307
OG0000130	Prbc.g_00504	Syam.g_02062
OG0000131	Prbc.g_00426	Syam.g_02191
OG0000132	Prbc.g_00407	Syam.g_02211
OG0000133	Prbc.g_01214	Syam.g_01120
OG0000134	Prbc.g_01270	Syam.g_00492
OG0000135	Prbc.g_02198, Prbc.g_02183	Syam.g_02347
OG0000136	Prbc.g_01502	Syam.g_01857
OG0000137	Prbc.g_01534	Syam.g_01668
OG0000138	Prbc.g_01554	Syam.g_00599
OG0000139	Prbc.g_01616	Syam.g_00657
OG0000140	Prbc.g_01617	Syam.g_00659
OG0000141	Prbc.g_01684	Syam.g_01514
OG0000142	Prbc.g_01712	Syam.g_01468
OG0000143	Prbc.g_01716	Syam.g_01464
OG0000144	Prbc.g_01729	Syam.g_01032
OG0000145	Prbc.g_02142	Syam.g_00605
OG0000146	Prbc.g_02027	Syam.g_01114
OG0000147	Prbc.g_02026	Syam.g_01113
OG0000148	Prbc.g_01876	Syam.g_01270
OG0000149	Prbc.g_01908	Syam.g_00725
OG0000150	Prbc.g_01916	Syam.g_00660
OG0000151	Prbc.g_01988	Syam.g_01338
OG0000152	Prbc.g_02036	Syam.g_01124
OG0000153	Prbc.g_02054	Syam.g_01160
OG0000154	Prbc.g_02083	Syam.g_01187
OG0000155	Prbc.g_01424	Syam.g_01763
OG0000156	Prbc.g_00555	Syam.g_01814
OG0000157	Prbc.g_00556	Syam.g_01815
OG0000158	Prbc.g_00228	Syam.g_00139
OG0000160	Prbc.g_00710	Syam.g_01614
OG0000161	Prbc.g_00716	Syam.g_01620
OG0000162	Prbc.g_00722	Syam.g_01627
OG0000163	Prbc.g_00758	Syam.g_01927
OG0000164	Prbc.g_00854	Syam.g_02023
OG0000165	Prbc.g_00862	Syam.g_01879, Syam.g_01878
OG0000166	Prbc.g_00321	Syam.g_00330
OG0000167	Prbc.g_00238	Syam.g_00151
OG0000168	Prbc.g_00227	Syam.g_00138
OG0000169	Prbc.g_00217	Syam.g_00127
OG0000170	Prbc.g_00215	Syam.g_00120
OG0000171	Prbc.g_00194	Syam.g_00097
OG0000172	Prbc.g_00967	Syam.g_00075
OG0000173	Prbc.g_00982	Syam.g_00057
OG0000174	Prbc.g_01013	Syam.g_02349
OG0000175	Prbc.g_01044	Syam.g_02417
OG0000176	Prbc.g_01074	Syam.g_00004
OG0000177	Prbc.g_01075	Syam.g_00005
OG0000178	Prbc.g_01076	Syam.g_00006
OG0000179	Prbc.g_01086	Syam.g_00021
OG0000180	Prbc.g_01087	Syam.g_00022
OG0000181	Prbc.g_01088	Syam.g_00023
OG0000182	Prbc.g_01089	Syam.g_00024
OG0000183	Prbc.g_01093	Syam.g_00028
OG0000184	Prbc.g_01124	Syam.g_02298
OG0000185	Prbc.g_01127	Syam.g_02295
OG0000186	Prbc.g_00509	Syam.g_02058
OG0000187	Prbc.g_00508	Syam.g_02059
OG0000188	Prbc.g_00491	Syam.g_02081
OG0000189	Prbc.g_00477	Syam.g_02108
OG0000190	Prbc.g_00476	Syam.g_02110
OG0000191	Prbc.g_00453	Syam.g_02142
OG0000192	Prbc.g_00449	Syam.g_02148
OG0000193	Prbc.g_00425	Syam.g_02192
OG0000194	Prbc.g_00422	Syam.g_02195
OG0000195	Prbc.g_00420	Syam.g_02197
OG0000196	Prbc.g_00410	Syam.g_02208
OG0000197	Prbc.g_00409	Syam.g_02209
OG0000198	Prbc.g_00408	Syam.g_02210
OG0000199	Prbc.g_00401	Syam.g_02218
OG0000200	Prbc.g_00388	Syam.g_02234
OG0000202	Prbc.g_00378	Syam.g_02249
OG0000203	Prbc.g_00377	Syam.g_02250
OG0000204	Prbc.g_00376	Syam.g_02251
OG0000205	Prbc.g_00369	Syam.g_02258
OG0000206	Prbc.g_00365	Syam.g_02264
OG0000207	Prbc.g_00363	Syam.g_02266
OG0000208	Prbc.g_00362	Syam.g_02267
OG0000209	Prbc.g_00352	Syam.g_02278
OG0000210	Prbc.g_00351	Syam.g_02279
OG0000212	Prbc.g_00329	Syam.g_00515
OG0000213	Prbc.g_01153	Syam.g_00263
OG0000214	Prbc.g_01161	Syam.g_00247
OG0000215	Prbc.g_01185	Syam.g_00216
OG0000216	Prbc.g_01186	Syam.g_00212
OG0000217	Prbc.g_01189	Syam.g_00208
OG0000218	Prbc.g_01191	Syam.g_00206
OG0000219	Prbc.g_01192	Syam.g_00205
OG0000220	Prbc.g_01193	Syam.g_00204
OG0000221	Prbc.g_01194	Syam.g_00198
OG0000222	Prbc.g_01202	Syam.g_00186
OG0000223	Prbc.g_01215	Syam.g_00168
OG0000224	Prbc.g_01217	Syam.g_00164
OG0000225	Prbc.g_01257	Syam.g_00473
OG0000226	Prbc.g_01261	Syam.g_00477
OG0000227	Prbc.g_01263	Syam.g_00479
OG0000228	Prbc.g_01267	Syam.g_00488
OG0000229	Prbc.g_01497	Syam.g_01867
OG0000230	Prbc.g_01499	Syam.g_01865
OG0000231	Prbc.g_01510	Syam.g_01848
OG0000232	Prbc.g_01518	Syam.g_01692
OG0000233	Prbc.g_01526	Syam.g_01678
OG0000234	Prbc.g_01535	Syam.g_01667
OG0000235	Prbc.g_01539	Syam.g_00582
OG0000236	Prbc.g_01552	Syam.g_00597
OG0000237	Prbc.g_01586	Syam.g_00614
OG0000238	Prbc.g_01592	Syam.g_00619
OG0000239	Prbc.g_01604	Syam.g_00637
OG0000240	Prbc.g_01605	Syam.g_00638
OG0000241	Prbc.g_01609	Syam.g_01477
OG0000242	Prbc.g_01611	Syam.g_00649
OG0000243	Prbc.g_01622	Syam.g_00668
OG0000244	Prbc.g_01626	Syam.g_00674
OG0000245	Prbc.g_01628	Syam.g_00676
OG0000246	Prbc.g_01632	Syam.g_00680
OG0000247	Prbc.g_01642	Syam.g_00692
OG0000248	Prbc.g_01644	Syam.g_00695
OG0000249	Prbc.g_01646	Syam.g_00697
OG0000250	Prbc.g_01651	Syam.g_01747
OG0000251	Prbc.g_01667	Syam.g_01722
OG0000252	Prbc.g_01669	Syam.g_01719
OG0000253	Prbc.g_01671	Syam.g_01718
OG0000254	Prbc.g_01688	Syam.g_01510
OG0000255	Prbc.g_01694	Syam.g_01500
OG0000256	Prbc.g_01704	Syam.g_01484
OG0000257	Prbc.g_01707	Syam.g_01478
OG0000258	Prbc.g_01720	Syam.g_01459
OG0000259	Prbc.g_01737	Syam.g_01378
OG0000260	Prbc.g_01740	Syam.g_01375
OG0000261	Prbc.g_01743	Syam.g_01372
OG0000262	Prbc.g_01748	Syam.g_01367
OG0000263	Prbc.g_01762	Syam.g_00885
OG0000264	Prbc.g_01773	Syam.g_00805
OG0000265	Prbc.g_01787	Syam.g_01880
OG0000266	Prbc.g_01797	Syam.g_01234
OG0000267	Prbc.g_01810	Syam.g_01071
OG0000268	Prbc.g_01811	Syam.g_01072
OG0000269	Prbc.g_01853	Syam.g_01295
OG0000270	Prbc.g_01856	Syam.g_01292
OG0000271	Prbc.g_01864	Syam.g_01284
OG0000272	Prbc.g_01865	Syam.g_01283
OG0000273	Prbc.g_01890	Syam.g_00745
OG0000274	Prbc.g_01891	Syam.g_00744
OG0000275	Prbc.g_01893	Syam.g_00741
OG0000276	Prbc.g_01899	Syam.g_00733
OG0000277	Prbc.g_01900	Syam.g_00732
OG0000278	Prbc.g_01904	Syam.g_00729
OG0000279	Prbc.g_01911	Syam.g_00721
OG0000280	Prbc.g_00068	Syam.g_00701
OG0000281	Prbc.g_01917	Syam.g_00943
OG0000282	Prbc.g_01979	Syam.g_01347
OG0000283	Prbc.g_02010	Syam.g_01087
OG0000284	Prbc.g_02015	Syam.g_01093
OG0000285	Prbc.g_02020	Syam.g_01105
OG0000286	Prbc.g_02035	Syam.g_01123
OG0000287	Prbc.g_02190	Syam.g_01153
OG0000288	Prbc.g_02082	Syam.g_01186
OG0000289	Prbc.g_02094	Syam.g_01201
OG0000290	Prbc.g_02110	Syam.g_00771
OG0000291	Prbc.g_02112	Syam.g_00773
OG0000292	Prbc.g_00173	Syam.g_02439
OG0000293	Prbc.g_01456	Syam.g_01806
OG0000294	Prbc.g_01455	Syam.g_01805
OG0000295	Prbc.g_01431	Syam.g_01771
OG0000296	Prbc.g_01429	Syam.g_01769
OG0000297	Prbc.g_01421	Syam.g_00906
OG0000298	Prbc.g_01420	Syam.g_00905
OG0000299	Prbc.g_01401	Syam.g_00878
OG0000300	Prbc.g_01398	Syam.g_00871
OG0000301	Prbc.g_01397	Syam.g_00870
OG0000302	Prbc.g_01395	Syam.g_00868
OG0000303	Prbc.g_01390	Syam.g_00859
OG0000304	Prbc.g_01387	Syam.g_00853
OG0000305	Prbc.g_00810	Syam.g_00776
OG0000306	Prbc.g_01921	Syam.g_01757
OG0000307	Prbc.g_00666	Syam.g_00566
OG0000308	Prbc.g_00667	Syam.g_00564
OG0000309	Prbc.g_00671	Syam.g_00559
OG0000310	Prbc.g_00693	Syam.g_01591
OG0000311	Prbc.g_00695	Syam.g_01595
OG0000312	Prbc.g_00698	Syam.g_01601
OG0000313	Prbc.g_00713	Syam.g_01617
OG0000314	Prbc.g_00734	Syam.g_01647
OG0000315	Prbc.g_00744	Syam.g_01658
OG0000316	Prbc.g_00768	Syam.g_01945
OG0000317	Prbc.g_00830	Syam.g_01987
OG0000318	Prbc.g_00833	Syam.g_01991
OG0000319	Prbc.g_00844	Syam.g_02006
OG0000320	Prbc.g_00846	Syam.g_02008
OG0000321	Prbc.g_00847	Syam.g_02009
OG0000322	Prbc.g_00848	Syam.g_02010
OG0000323	Prbc.g_00857	Syam.g_02025
OG0000324	Prbc.g_00884	Syam.g_01906
OG0000325	Prbc.g_00935	Syam.g_00289
OG0000326	Prbc.g_00941	Syam.g_00296
OG0000327	Prbc.g_00326	Syam.g_00325
OG0000328	Prbc.g_00325	Syam.g_00326
OG0000329	Prbc.g_00308	Syam.g_00344
OG0000330	Prbc.g_00307	Syam.g_00345
OG0000331	Prbc.g_00306	Syam.g_00346
OG0000332	Prbc.g_00292	Syam.g_00361
OG0000333	Prbc.g_00290	Syam.g_00364
OG0000334	Prbc.g_00281	Syam.g_00375
OG0000335	Prbc.g_00276	Syam.g_00380
OG0000336	Prbc.g_00272	Syam.g_00384
OG0000337	Prbc.g_00241	Syam.g_00155
OG0000338	Prbc.g_00240	Syam.g_00153
OG0000339	Prbc.g_00235	Syam.g_00147
OG0000340	Prbc.g_00226	Syam.g_00137
OG0000341	Prbc.g_00224	Syam.g_00135
OG0000342	Prbc.g_00223	Syam.g_00134
OG0000343	Prbc.g_00222	Syam.g_00133
OG0000344	Prbc.g_00219	Syam.g_00129
OG0000345	Prbc.g_00214	Syam.g_00119
OG0000346	Prbc.g_00210	Syam.g_00114
OG0000347	Prbc.g_00190	Syam.g_00083
OG0000348	Prbc.g_00970	Syam.g_00068
OG0000349	Prbc.g_00988	Syam.g_00050
OG0000350	Prbc.g_01009	Syam.g_00303
OG0000351	Prbc.g_01047	Syam.g_02420
OG0000352	Prbc.g_01048	Syam.g_02421
OG0000353	Prbc.g_01068	Syam.g_02445
OG0000355	Prbc.g_01071	Syam.g_00001
OG0000356	Prbc.g_01072	Syam.g_00002
OG0000357	Prbc.g_01073	Syam.g_00003
OG0000358	Prbc.g_01077	Syam.g_00007
OG0000359	Prbc.g_01078	Syam.g_00009
OG0000360	Prbc.g_01079	Syam.g_00010
OG0000361	Prbc.g_01080	Syam.g_00011
OG0000362	Prbc.g_01082	Syam.g_00013
OG0000363	Prbc.g_01084	Syam.g_00015
OG0000364	Prbc.g_01085	Syam.g_00016
OG0000365	Prbc.g_01090	Syam.g_00025
OG0000366	Prbc.g_01091	Syam.g_00026
OG0000367	Prbc.g_01092	Syam.g_00027
OG0000368	Prbc.g_01094	Syam.g_00029
OG0000369	Prbc.g_01095	Syam.g_00030
OG0000370	Prbc.g_01096	Syam.g_00031
OG0000371	Prbc.g_01102	Syam.g_00038
OG0000372	Prbc.g_01104	Syam.g_00043
OG0000373	Prbc.g_01105	Syam.g_00044
OG0000374	Prbc.g_01106	Syam.g_00045
OG0000375	Prbc.g_01118	Syam.g_00046
OG0000376	Prbc.g_01120	Syam.g_00048
OG0000377	Prbc.g_01123	Syam.g_02306
OG0000378	Prbc.g_01125	Syam.g_02297
OG0000379	Prbc.g_01128	Syam.g_02294
OG0000380	Prbc.g_00507	Syam.g_02060
OG0000381	Prbc.g_00503	Syam.g_02063
OG0000382	Prbc.g_00492	Syam.g_02080
OG0000383	Prbc.g_00490	Syam.g_02083
OG0000384	Prbc.g_00489	Syam.g_02084
OG0000385	Prbc.g_00488	Syam.g_02085
OG0000386	Prbc.g_00487	Syam.g_02086
OG0000387	Prbc.g_00474	Syam.g_02112
OG0000388	Prbc.g_00470	Syam.g_02116
OG0000389	Prbc.g_00467	Syam.g_02120
OG0000390	Prbc.g_00458	Syam.g_02136
OG0000391	Prbc.g_00454	Syam.g_02141
OG0000392	Prbc.g_00451	Syam.g_02147
OG0000393	Prbc.g_00448	Syam.g_02149
OG0000394	Prbc.g_00447	Syam.g_02150
OG0000395	Prbc.g_00446	Syam.g_02151
OG0000396	Prbc.g_00443	Syam.g_02153
OG0000397	Prbc.g_00441	Syam.g_02160
OG0000398	Prbc.g_00438	Syam.g_02165
OG0000399	Prbc.g_00437	Syam.g_02166
OG0000400	Prbc.g_00436	Syam.g_02167
OG0000401	Prbc.g_00435	Syam.g_02168
OG0000402	Prbc.g_02145	Syam.g_02171
OG0000403	Prbc.g_00434	Syam.g_02172
OG0000404	Prbc.g_00433	Syam.g_02173
OG0000405	Prbc.g_00428	Syam.g_02189
OG0000406	Prbc.g_00424	Syam.g_02193
OG0000407	Prbc.g_00423	Syam.g_02194
OG0000408	Prbc.g_00421	Syam.g_02196
OG0000409	Prbc.g_00419	Syam.g_02198
OG0000410	Prbc.g_00418	Syam.g_02199
OG0000411	Prbc.g_00417	Syam.g_02200
OG0000412	Prbc.g_00416	Syam.g_02201
OG0000413	Prbc.g_00415	Syam.g_02203
OG0000414	Prbc.g_00414	Syam.g_02204
OG0000415	Prbc.g_00413	Syam.g_02205
OG0000416	Prbc.g_00412	Syam.g_02206
OG0000417	Prbc.g_00411	Syam.g_02207
OG0000418	Prbc.g_00406	Syam.g_02212
OG0000419	Prbc.g_00404	Syam.g_02214
OG0000420	Prbc.g_00403	Syam.g_02216
OG0000421	Prbc.g_00399	Syam.g_02221
OG0000422	Prbc.g_00398	Syam.g_02222
OG0000423	Prbc.g_00397	Syam.g_02223
OG0000424	Prbc.g_00396	Syam.g_02224
OG0000425	Prbc.g_00395	Syam.g_02225
OG0000426	Prbc.g_00394	Syam.g_02226
OG0000427	Prbc.g_00393	Syam.g_02227
OG0000428	Prbc.g_00391	Syam.g_02230
OG0000429	Prbc.g_00390	Syam.g_02232
OG0000430	Prbc.g_00389	Syam.g_02233
OG0000431	Prbc.g_00387	Syam.g_02237
OG0000432	Prbc.g_00383	Syam.g_02243
OG0000433	Prbc.g_00382	Syam.g_02244
OG0000434	Prbc.g_00381	Syam.g_02245
OG0000435	Prbc.g_00380	Syam.g_02246
OG0000436	Prbc.g_00375	Syam.g_02252
OG0000437	Prbc.g_00374	Syam.g_02253
OG0000438	Prbc.g_00373	Syam.g_02254
OG0000439	Prbc.g_00371	Syam.g_02256
OG0000440	Prbc.g_00370	Syam.g_02257
OG0000441	Prbc.g_00368	Syam.g_02261
OG0000442	Prbc.g_00367	Syam.g_02262
OG0000443	Prbc.g_00366	Syam.g_02263
OG0000444	Prbc.g_00361	Syam.g_02268
OG0000445	Prbc.g_00360	Syam.g_02269
OG0000446	Prbc.g_00358	Syam.g_02270
OG0000447	Prbc.g_00357	Syam.g_02272
OG0000448	Prbc.g_00356	Syam.g_02273
OG0000449	Prbc.g_00355	Syam.g_02274
OG0000450	Prbc.g_00354	Syam.g_02275
OG0000451	Prbc.g_00353	Syam.g_02276
OG0000452	Prbc.g_00350	Syam.g_02280
OG0000453	Prbc.g_00349	Syam.g_02281
OG0000454	Prbc.g_00348	Syam.g_02282
OG0000455	Prbc.g_00347	Syam.g_02283
OG0000456	Prbc.g_00346	Syam.g_02284
OG0000457	Prbc.g_00345	Syam.g_02286
OG0000458	Prbc.g_00344	Syam.g_02287
OG0000459	Prbc.g_00343	Syam.g_02288
OG0000460	Prbc.g_00335	Syam.g_00506
OG0000461	Prbc.g_01140	Syam.g_00284
OG0000462	Prbc.g_01142	Syam.g_00281
OG0000463	Prbc.g_01143	Syam.g_00280
OG0000464	Prbc.g_01144	Syam.g_00279
OG0000465	Prbc.g_01145	Syam.g_00277
OG0000466	Prbc.g_01146	Syam.g_00273
OG0000467	Prbc.g_01147	Syam.g_00271
OG0000468	Prbc.g_01149	Syam.g_00266
OG0000469	Prbc.g_01156	Syam.g_00253
OG0000470	Prbc.g_01158	Syam.g_00251
OG0000471	Prbc.g_01159	Syam.g_00250
OG0000472	Prbc.g_01160	Syam.g_00248
OG0000473	Prbc.g_01162	Syam.g_00246
OG0000474	Prbc.g_01163	Syam.g_00245
OG0000475	Prbc.g_01164	Syam.g_00244
OG0000476	Prbc.g_01166	Syam.g_00242
OG0000477	Prbc.g_01168	Syam.g_00236
OG0000478	Prbc.g_01169	Syam.g_00235
OG0000479	Prbc.g_01170	Syam.g_00234
OG0000480	Prbc.g_01175	Syam.g_00227
OG0000481	Prbc.g_01177	Syam.g_00225
OG0000482	Prbc.g_01178	Syam.g_00224
OG0000483	Prbc.g_01181	Syam.g_00220
OG0000484	Prbc.g_01182	Syam.g_00219
OG0000485	Prbc.g_01183	Syam.g_00218
OG0000486	Prbc.g_01184	Syam.g_00217
OG0000487	Prbc.g_01187	Syam.g_00211
OG0000488	Prbc.g_01190	Syam.g_00207
OG0000489	Prbc.g_01195	Syam.g_00197
OG0000490	Prbc.g_01200	Syam.g_00189
OG0000491	Prbc.g_01201	Syam.g_00187
OG0000492	Prbc.g_01203	Syam.g_00185
OG0000493	Prbc.g_01204	Syam.g_00184
OG0000494	Prbc.g_01205	Syam.g_00183
OG0000495	Prbc.g_01206	Syam.g_00182
OG0000496	Prbc.g_01207	Syam.g_00181
OG0000497	Prbc.g_01208	Syam.g_00180
OG0000498	Prbc.g_01209	Syam.g_00179
OG0000499	Prbc.g_01210	Syam.g_00178
OG0000500	Prbc.g_01211	Syam.g_00177
OG0000501	Prbc.g_01213	Syam.g_00174
OG0000502	Prbc.g_01216	Syam.g_00165
OG0000503	Prbc.g_01246	Syam.g_00457
OG0000504	Prbc.g_01248	Syam.g_00459
OG0000505	Prbc.g_01249	Syam.g_00460
OG0000506	Prbc.g_01250	Syam.g_00462
OG0000507	Prbc.g_01253	Syam.g_00468
OG0000508	Prbc.g_01256	Syam.g_00472
OG0000509	Prbc.g_01258	Syam.g_00474
OG0000510	Prbc.g_01259	Syam.g_00475
OG0000511	Prbc.g_01260	Syam.g_00476
OG0000512	Prbc.g_01262	Syam.g_00478
OG0000513	Prbc.g_01271	Syam.g_00493
OG0000514	Prbc.g_01492	Syam.g_00499
OG0000515	Prbc.g_01493	Syam.g_00500
OG0000516	Prbc.g_01494	Syam.g_01862
OG0000517	Prbc.g_01496	Syam.g_01868
OG0000518	Prbc.g_01507	Syam.g_01851
OG0000519	Prbc.g_01508	Syam.g_01850
OG0000520	Prbc.g_01509	Syam.g_01849
OG0000521	Prbc.g_01514	Syam.g_01696
OG0000522	Prbc.g_01516	Syam.g_01694
OG0000523	Prbc.g_01517	Syam.g_01693
OG0000524	Prbc.g_01524	Syam.g_01681
OG0000525	Prbc.g_01528	Syam.g_01677
OG0000526	Prbc.g_01529	Syam.g_01674
OG0000527	Prbc.g_01532	Syam.g_01670
OG0000528	Prbc.g_01538	Syam.g_00580
OG0000529	Prbc.g_01541	Syam.g_00584
OG0000530	Prbc.g_01544	Syam.g_00587
OG0000531	Prbc.g_01545	Syam.g_00588
OG0000532	Prbc.g_01546	Syam.g_00591
OG0000533	Prbc.g_01547	Syam.g_00592
OG0000534	Prbc.g_01548	Syam.g_00593
OG0000535	Prbc.g_01549	Syam.g_00594
OG0000536	Prbc.g_01550	Syam.g_00595
OG0000537	Prbc.g_01551	Syam.g_00596
OG0000538	Prbc.g_01580	Syam.g_00607
OG0000539	Prbc.g_01581	Syam.g_00608
OG0000540	Prbc.g_01582	Syam.g_00609
OG0000541	Prbc.g_01583	Syam.g_00610
OG0000542	Prbc.g_01585	Syam.g_00613
OG0000543	Prbc.g_01587	Syam.g_00615
OG0000544	Prbc.g_01588	Syam.g_00616
OG0000545	Prbc.g_01590	Syam.g_00618
OG0000546	Prbc.g_01593	Syam.g_00620
OG0000547	Prbc.g_01595	Syam.g_00622
OG0000548	Prbc.g_01596	Syam.g_00623
OG0000549	Prbc.g_01599	Syam.g_00630
OG0000550	Prbc.g_01603	Syam.g_00635
OG0000551	Prbc.g_01606	Syam.g_00640
OG0000552	Prbc.g_01607	Syam.g_00641
OG0000553	Prbc.g_01608	Syam.g_00643
OG0000554	Prbc.g_01613	Syam.g_00652
OG0000555	Prbc.g_01621	Syam.g_00667
OG0000556	Prbc.g_01623	Syam.g_00670
OG0000557	Prbc.g_01624	Syam.g_00672
OG0000558	Prbc.g_01627	Syam.g_00675
OG0000559	Prbc.g_01631	Syam.g_00679
OG0000560	Prbc.g_01634	Syam.g_00682
OG0000561	Prbc.g_01635	Syam.g_00683
OG0000562	Prbc.g_01636	Syam.g_00684
OG0000563	Prbc.g_01637	Syam.g_00685
OG0000564	Prbc.g_01638	Syam.g_00686
OG0000565	Prbc.g_01641	Syam.g_00690
OG0000566	Prbc.g_01643	Syam.g_00694
OG0000567	Prbc.g_01647	Syam.g_00698
OG0000568	Prbc.g_01648	Syam.g_01751
OG0000569	Prbc.g_01649	Syam.g_01750
