Orthogroup	Prbc	Syag
OG0000039	Prbc.g_01768	Syag.g_01325, Syag.g_02155
OG0000041	Prbc.g_00877	Syag.g_01750
OG0000042	Prbc.g_00203	Syag.g_01094, Syag.g_02378
OG0000043	Prbc.g_01953	Syag.g_00564
OG0000045	Prbc.g_02137	Syag.g_00223
OG0000046	Prbc.g_01220	Syag.g_02805, Syag.g_02812, Syag.g_02819
OG0000047	Prbc.g_01273, Prbc.g_01227	Syag.g_00768
OG0000048	Prbc.g_01165	Syag.g_02611
OG0000053	Prbc.g_00728	Syag.g_01391
OG0000054	Prbc.g_01683	Syag.g_00350
OG0000055	Prbc.g_01822	Syag.g_00946
OG0000055	Prbc.g_00907	Syag.g_01799
OG0000057	Prbc.g_01780, Prbc.g_00055	Syag.g_00985
OG0000058	Prbc.g_01928	Syag.g_02477
OG0000059	Prbc.g_00958	Syag.g_02721
OG0000061	Prbc.g_01446	Syag.g_01141
OG0000063	Prbc.g_00932	Syag.g_02313
OG0000065	Prbc.g_00466	Syag.g_00182, Syag.g_01885
OG0000066	Prbc.g_01618	Syag.g_01443
OG0000067	Prbc.g_01858	Syag.g_00667
OG0000068	Prbc.g_00657	Syag.g_01537
OG0000070	Prbc.g_01511	Syag.g_00049
OG0000071	Prbc.g_00566	Syag.g_01192
OG0000072	Prbc.g_00400	Syag.g_01980, Syag.g_02859
OG0000073	Prbc.g_01579	Syag.g_01505
OG0000075	Prbc.g_00236	Syag.g_02434
OG0000076	Prbc.g_00211	Syag.g_02393
OG0000077	Prbc.g_00495	Syag.g_01831
OG0000078	Prbc.g_00330	Syag.g_01778
OG0000079	Prbc.g_01148	Syag.g_02659, Syag.g_02652
OG0000080	Prbc.g_00679	Syag.g_00124, Syag.g_02500, Syag.g_02499
OG0000082	Prbc.g_00891	Syag.g_00318
OG0000084	Prbc.g_00705	Syag.g_01425
OG0000085	Prbc.g_00826	Syag.g_01676
OG0000086	Prbc.g_00485	Syag.g_01853
OG0000087	Prbc.g_00432	Syag.g_01939
OG0000088	Prbc.g_00405	Syag.g_01974
OG0000089	Prbc.g_01268	Syag.g_00005
OG0000090	Prbc.g_01612	Syag.g_01454
OG0000091	Prbc.g_01719	Syag.g_00418
OG0000092	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263	Syag.g_00242
OG0000097	Prbc.g_01400	Syag.g_01065
OG0000098	Prbc.g_00585	Syag.g_00578
OG0000099	Prbc.g_01229	Syag.g_02536
OG0000100	Prbc.g_00785	Syag.g_00704
OG0000101	Prbc.g_00284	Syag.g_02773
OG0000102	Prbc.g_00206	Syag.g_02387
OG0000103	Prbc.g_01053	Syag.g_02253
OG0000104	Prbc.g_01065	Syag.g_02268
OG0000105	Prbc.g_01167	Syag.g_02606
OG0000106	Prbc.g_00134, Prbc.g_00641	Syag.g_00462
OG0000108	Prbc.g_01540	Syag.g_01528
OG0000109	Prbc.g_01553	Syag.g_01512
OG0000110	Prbc.g_01654	Syag.g_00303
OG0000111	Prbc.g_01781	Syag.g_00984
OG0000112	Prbc.g_02028	Syag.g_00801
OG0000113	Prbc.g_01882, Prbc.g_00153	Syag.g_00699
OG0000114	Prbc.g_01977	Syag.g_00609
OG0000115	Prbc.g_00801	Syag.g_01397
OG0000116	Prbc.g_01457	Syag.g_01156
OG0000117	Prbc.g_00102	Syag.g_01097
OG0000118	Prbc.g_00577	Syag.g_01232
OG0000120	Prbc.g_01753	Syag.g_02535
OG0000121	Prbc.g_00711	Syag.g_01414
OG0000122	Prbc.g_00750	Syag.g_00446
OG0000123	Prbc.g_00277	Syag.g_02781
OG0000124	Prbc.g_00193	Syag.g_02367
OG0000125	Prbc.g_00997	Syag.g_02136, Syag.g_02134
OG0000126	Prbc.g_01063	Syag.g_02266
OG0000128	Prbc.g_01081	Syag.g_02284
OG0000129	Prbc.g_01122	Syag.g_02121
OG0000130	Prbc.g_00504	Syag.g_01819
OG0000131	Prbc.g_00426	Syag.g_01951
OG0000132	Prbc.g_00407	Syag.g_01972
OG0000133	Prbc.g_01214	Syag.g_00806
OG0000134	Prbc.g_01270	Syag.g_00008
OG0000135	Prbc.g_02198, Prbc.g_02183	Syag.g_02171
OG0000136	Prbc.g_01502	Syag.g_00038
OG0000137	Prbc.g_01534	Syag.g_01356
OG0000138	Prbc.g_01554	Syag.g_01511
OG0000139	Prbc.g_01616	Syag.g_01448
OG0000140	Prbc.g_01617	Syag.g_01446
OG0000141	Prbc.g_01684	Syag.g_00351
OG0000142	Prbc.g_01712	Syag.g_00410
OG0000143	Prbc.g_01716	Syag.g_00414
OG0000144	Prbc.g_01729	Syag.g_00493
OG0000145	Prbc.g_02142	Syag.g_01504
OG0000146	Prbc.g_02027	Syag.g_00800
OG0000147	Prbc.g_02026	Syag.g_00799
OG0000148	Prbc.g_01876	Syag.g_00693
OG0000149	Prbc.g_01908	Syag.g_00731
OG0000150	Prbc.g_01916	Syag.g_00352
OG0000151	Prbc.g_01988	Syag.g_00623
OG0000152	Prbc.g_02036	Syag.g_00810
OG0000153	Prbc.g_02054	Syag.g_00845
OG0000154	Prbc.g_02083	Syag.g_00870
OG0000155	Prbc.g_01424	Syag.g_01107
OG0000156	Prbc.g_00555	Syag.g_01166
OG0000157	Prbc.g_00556	Syag.g_01167
OG0000158	Prbc.g_00228	Syag.g_02422
OG0000160	Prbc.g_00710	Syag.g_01415
OG0000161	Prbc.g_00716	Syag.g_01409
OG0000162	Prbc.g_00722	Syag.g_01402
OG0000163	Prbc.g_00758	Syag.g_01618
OG0000164	Prbc.g_00854	Syag.g_01725
OG0000165	Prbc.g_00862	Syag.g_01733
OG0000166	Prbc.g_00321	Syag.g_02733
OG0000167	Prbc.g_00238	Syag.g_02437
OG0000168	Prbc.g_00227	Syag.g_02417
OG0000169	Prbc.g_00217	Syag.g_02405
OG0000170	Prbc.g_00215	Syag.g_02398
OG0000171	Prbc.g_00194	Syag.g_02368
OG0000172	Prbc.g_00967	Syag.g_02360
OG0000173	Prbc.g_00982	Syag.g_02337
OG0000174	Prbc.g_01013	Syag.g_02175
OG0000175	Prbc.g_01044	Syag.g_02240
OG0000176	Prbc.g_01074	Syag.g_02276
OG0000177	Prbc.g_01075	Syag.g_02277
OG0000178	Prbc.g_01076	Syag.g_02278
OG0000179	Prbc.g_01086	Syag.g_02293
OG0000180	Prbc.g_01087	Syag.g_02294
OG0000181	Prbc.g_01088	Syag.g_02295
OG0000182	Prbc.g_01089	Syag.g_02296
OG0000183	Prbc.g_01093	Syag.g_02300
OG0000184	Prbc.g_01124	Syag.g_02110
OG0000185	Prbc.g_01127	Syag.g_02092
OG0000186	Prbc.g_00509	Syag.g_01815
OG0000187	Prbc.g_00508	Syag.g_01816
OG0000188	Prbc.g_00491	Syag.g_01839
OG0000189	Prbc.g_00477	Syag.g_01872
OG0000190	Prbc.g_00476	Syag.g_01874
OG0000191	Prbc.g_00453	Syag.g_01909
OG0000192	Prbc.g_00449	Syag.g_01915
OG0000193	Prbc.g_00425	Syag.g_01952
OG0000194	Prbc.g_00422	Syag.g_01955
OG0000195	Prbc.g_00420	Syag.g_01957
OG0000196	Prbc.g_00410	Syag.g_01968
OG0000197	Prbc.g_00409	Syag.g_01969
OG0000198	Prbc.g_00408	Syag.g_00108, Syag.g_01971
OG0000199	Prbc.g_00401	Syag.g_01979
OG0000200	Prbc.g_00388	Syag.g_01996
OG0000201	Prbc.g_00379	Syag.g_02019
OG0000202	Prbc.g_00378	Syag.g_02024
OG0000203	Prbc.g_00377	Syag.g_02025
OG0000204	Prbc.g_00376	Syag.g_02020, Syag.g_02026
OG0000205	Prbc.g_00369	Syag.g_02035
OG0000206	Prbc.g_00365	Syag.g_02047
OG0000207	Prbc.g_00363	Syag.g_02051
OG0000208	Prbc.g_00362	Syag.g_02052
OG0000209	Prbc.g_00352	Syag.g_02069
OG0000210	Prbc.g_00351	Syag.g_02070
OG0000212	Prbc.g_00329	Syag.g_01777
OG0000213	Prbc.g_01153	Syag.g_02632
OG0000214	Prbc.g_01161	Syag.g_02615
OG0000215	Prbc.g_01185	Syag.g_02584
OG0000216	Prbc.g_01186	Syag.g_02580
OG0000217	Prbc.g_01189	Syag.g_02576
OG0000218	Prbc.g_01191	Syag.g_02574
OG0000219	Prbc.g_01192	Syag.g_02573
OG0000220	Prbc.g_01193	Syag.g_02572
OG0000221	Prbc.g_01194	Syag.g_02566
OG0000222	Prbc.g_01202	Syag.g_02550
OG0000223	Prbc.g_01215	Syag.g_02475
OG0000224	Prbc.g_01217	Syag.g_02471
OG0000225	Prbc.g_01257	Syag.g_02861
OG0000226	Prbc.g_01261	Syag.g_02865
OG0000227	Prbc.g_01263	Syag.g_02867
OG0000228	Prbc.g_01267	Syag.g_00004
OG0000229	Prbc.g_01497	Syag.g_00033
OG0000230	Prbc.g_01499	Syag.g_00035
OG0000231	Prbc.g_01510	Syag.g_00048
OG0000232	Prbc.g_01518	Syag.g_00059
OG0000233	Prbc.g_01526	Syag.g_01330
OG0000234	Prbc.g_01535	Syag.g_01358
OG0000235	Prbc.g_01539	Syag.g_01529
OG0000236	Prbc.g_01552	Syag.g_01513
OG0000237	Prbc.g_01586	Syag.g_01495
OG0000238	Prbc.g_01592	Syag.g_01490
OG0000239	Prbc.g_01604	Syag.g_01472
OG0000240	Prbc.g_01605	Syag.g_01471
OG0000241	Prbc.g_01609	Syag.g_00396
OG0000242	Prbc.g_01611	Syag.g_01456
OG0000243	Prbc.g_01622	Syag.g_00255
OG0000244	Prbc.g_01626	Syag.g_00268
OG0000245	Prbc.g_01628	Syag.g_00270
OG0000246	Prbc.g_01632	Syag.g_00274
OG0000247	Prbc.g_01642	Syag.g_00286
OG0000248	Prbc.g_01644	Syag.g_00289
OG0000249	Prbc.g_01646	Syag.g_00291
OG0000250	Prbc.g_01651	Syag.g_00299
OG0000251	Prbc.g_01667	Syag.g_00328
OG0000252	Prbc.g_01669	Syag.g_00331
OG0000253	Prbc.g_01671	Syag.g_00333
OG0000254	Prbc.g_01688	Syag.g_00356
OG0000255	Prbc.g_01694	Syag.g_00369
OG0000256	Prbc.g_01704	Syag.g_00385
OG0000257	Prbc.g_01707	Syag.g_00395
OG0000258	Prbc.g_01720	Syag.g_00423
OG0000259	Prbc.g_01737	Syag.g_00560
OG0000260	Prbc.g_01740	Syag.g_00570
OG0000261	Prbc.g_01743	Syag.g_00581
OG0000262	Prbc.g_01748	Syag.g_00586
OG0000263	Prbc.g_01762	Syag.g_01079
OG0000264	Prbc.g_01773	Syag.g_01011
OG0000265	Prbc.g_01787	Syag.g_01021
OG0000266	Prbc.g_01797	Syag.g_00907
OG0000267	Prbc.g_01810	Syag.g_00762
OG0000268	Prbc.g_01811	Syag.g_00763
OG0000269	Prbc.g_01853	Syag.g_00662
OG0000270	Prbc.g_01856	Syag.g_00665
OG0000271	Prbc.g_01864	Syag.g_00673
OG0000274	Prbc.g_01891	Syag.g_00714
OG0000275	Prbc.g_01893	Syag.g_00717
OG0000276	Prbc.g_01899	Syag.g_00723
OG0000277	Prbc.g_01900	Syag.g_00724
OG0000278	Prbc.g_01904	Syag.g_00727
OG0000279	Prbc.g_01911	Syag.g_00735
OG0000280	Prbc.g_00068	Syag.g_00741
OG0000281	Prbc.g_01917	Syag.g_00572
OG0000282	Prbc.g_01979	Syag.g_00611
OG0000283	Prbc.g_02010	Syag.g_00775
OG0000284	Prbc.g_02015	Syag.g_00780
OG0000285	Prbc.g_02020	Syag.g_00791
OG0000286	Prbc.g_02035	Syag.g_00809
OG0000287	Prbc.g_02190	Syag.g_00838
OG0000288	Prbc.g_02082	Syag.g_00869
OG0000289	Prbc.g_02094	Syag.g_00884
OG0000290	Prbc.g_02110	Syag.g_00970
OG0000291	Prbc.g_02112	Syag.g_00972
OG0000292	Prbc.g_00173	Syag.g_02265
OG0000293	Prbc.g_01456	Syag.g_01155
OG0000294	Prbc.g_01455	Syag.g_01154
OG0000295	Prbc.g_01431	Syag.g_01115
OG0000296	Prbc.g_01429	Syag.g_01113
OG0000297	Prbc.g_01421	Syag.g_01099
OG0000298	Prbc.g_01420	Syag.g_01098
OG0000299	Prbc.g_01401	Syag.g_01067
OG0000301	Prbc.g_01397	Syag.g_01061
OG0000302	Prbc.g_01395	Syag.g_01060
OG0000303	Prbc.g_01390	Syag.g_01048
OG0000304	Prbc.g_01387	Syag.g_01041
OG0000305	Prbc.g_00810	Syag.g_00977
OG0000306	Prbc.g_01921	Syag.g_00460
OG0000307	Prbc.g_00666	Syag.g_01546
OG0000308	Prbc.g_00667	Syag.g_01548
OG0000309	Prbc.g_00671	Syag.g_01553
OG0000310	Prbc.g_00693	Syag.g_01291
OG0000311	Prbc.g_00695	Syag.g_01300
OG0000312	Prbc.g_00698	Syag.g_01434
OG0000313	Prbc.g_00713	Syag.g_00966, Syag.g_01412
OG0000314	Prbc.g_00734	Syag.g_01380
OG0000315	Prbc.g_00744	Syag.g_01369
OG0000316	Prbc.g_00768	Syag.g_01641
OG0000317	Prbc.g_00830	Syag.g_01684
OG0000318	Prbc.g_00833	Syag.g_01688
OG0000319	Prbc.g_00844	Syag.g_01710
OG0000320	Prbc.g_00846	Syag.g_01712
OG0000321	Prbc.g_00847	Syag.g_01713
OG0000322	Prbc.g_00848	Syag.g_01714
OG0000323	Prbc.g_00857	Syag.g_01728
OG0000324	Prbc.g_00884	Syag.g_01757
OG0000325	Prbc.g_00935	Syag.g_02690
OG0000326	Prbc.g_00941	Syag.g_02698
OG0000327	Prbc.g_00326	Syag.g_02728
OG0000328	Prbc.g_00325	Syag.g_02729
OG0000329	Prbc.g_00308	Syag.g_02747
OG0000330	Prbc.g_00307	Syag.g_02748
OG0000331	Prbc.g_00306	Syag.g_02749
OG0000332	Prbc.g_00292	Syag.g_02764
OG0000333	Prbc.g_00290	Syag.g_02767
OG0000334	Prbc.g_00281	Syag.g_02777
OG0000335	Prbc.g_00276	Syag.g_02782
OG0000336	Prbc.g_00272	Syag.g_02786
OG0000337	Prbc.g_00241	Syag.g_02445
OG0000338	Prbc.g_00240	Syag.g_02440
OG0000340	Prbc.g_00226	Syag.g_02416
OG0000341	Prbc.g_00224	Syag.g_02414
OG0000342	Prbc.g_00223	Syag.g_02413
OG0000343	Prbc.g_00222	Syag.g_02411
OG0000344	Prbc.g_00219	Syag.g_02407
OG0000345	Prbc.g_00214	Syag.g_02397
OG0000346	Prbc.g_00210	Syag.g_02392
OG0000347	Prbc.g_00190	Syag.g_02366
OG0000348	Prbc.g_00970	Syag.g_02357
OG0000349	Prbc.g_00988	Syag.g_02330
OG0000350	Prbc.g_01009	Syag.g_02705
OG0000351	Prbc.g_01047	Syag.g_02244
OG0000352	Prbc.g_01048	Syag.g_02245
OG0000353	Prbc.g_01068	Syag.g_02271
OG0000355	Prbc.g_01071	Syag.g_02273
OG0000356	Prbc.g_01072	Syag.g_02274
OG0000357	Prbc.g_01073	Syag.g_02275
OG0000358	Prbc.g_01077	Syag.g_02279
OG0000359	Prbc.g_01078	Syag.g_02281
OG0000360	Prbc.g_01079	Syag.g_02282
OG0000361	Prbc.g_01080	Syag.g_02283
OG0000362	Prbc.g_01082	Syag.g_02285
OG0000363	Prbc.g_01084	Syag.g_02287
OG0000364	Prbc.g_01085	Syag.g_02288
OG0000365	Prbc.g_01090	Syag.g_02297
OG0000366	Prbc.g_01091	Syag.g_02298
OG0000367	Prbc.g_01092	Syag.g_02299
OG0000368	Prbc.g_01094	Syag.g_02301
OG0000369	Prbc.g_01095	Syag.g_02302
OG0000370	Prbc.g_01096	Syag.g_02303
OG0000371	Prbc.g_01102	Syag.g_02312
OG0000372	Prbc.g_01104	Syag.g_02317
OG0000373	Prbc.g_01105	Syag.g_02318
OG0000374	Prbc.g_01106	Syag.g_02319
OG0000375	Prbc.g_01118	Syag.g_02326
OG0000376	Prbc.g_01120	Syag.g_02328
OG0000377	Prbc.g_01123	Syag.g_02119
OG0000378	Prbc.g_01125	Syag.g_02099
OG0000379	Prbc.g_01128	Syag.g_02091
OG0000380	Prbc.g_00507	Syag.g_01817
OG0000381	Prbc.g_00503	Syag.g_01820
OG0000382	Prbc.g_00492	Syag.g_01838
OG0000383	Prbc.g_00490	Syag.g_01843
OG0000384	Prbc.g_00489	Syag.g_01844
OG0000385	Prbc.g_00488	Syag.g_01845
OG0000386	Prbc.g_00487	Syag.g_01846
OG0000387	Prbc.g_00474	Syag.g_01876
OG0000388	Prbc.g_00470	Syag.g_01880
OG0000389	Prbc.g_00467	Syag.g_01884
OG0000390	Prbc.g_00458	Syag.g_01903
OG0000391	Prbc.g_00454	Syag.g_01908
OG0000392	Prbc.g_00451	Syag.g_01914
OG0000393	Prbc.g_00448	Syag.g_01917
OG0000394	Prbc.g_00447	Syag.g_01918
OG0000395	Prbc.g_00446	Syag.g_01919
OG0000396	Prbc.g_00443	Syag.g_01922
OG0000397	Prbc.g_00441	Syag.g_01924
OG0000398	Prbc.g_00438	Syag.g_01929
OG0000399	Prbc.g_00437	Syag.g_01930
OG0000400	Prbc.g_00436	Syag.g_01931
OG0000401	Prbc.g_00435	Syag.g_01932
OG0000402	Prbc.g_02145	Syag.g_01934
OG0000403	Prbc.g_00434	Syag.g_01935
OG0000404	Prbc.g_00433	Syag.g_01937
OG0000405	Prbc.g_00428	Syag.g_01949
OG0000406	Prbc.g_00424	Syag.g_01953
OG0000407	Prbc.g_00423	Syag.g_01954
OG0000408	Prbc.g_00421	Syag.g_01956
OG0000409	Prbc.g_00419	Syag.g_01958
OG0000410	Prbc.g_00418	Syag.g_01959
OG0000411	Prbc.g_00417	Syag.g_01960
OG0000412	Prbc.g_00416	Syag.g_01961
OG0000413	Prbc.g_00415	Syag.g_01963
OG0000414	Prbc.g_00414	Syag.g_01964
OG0000415	Prbc.g_00413	Syag.g_01965
OG0000416	Prbc.g_00412	Syag.g_01966
OG0000417	Prbc.g_00411	Syag.g_01967
OG0000418	Prbc.g_00406	Syag.g_01973
OG0000419	Prbc.g_00404	Syag.g_01975
OG0000420	Prbc.g_00403	Syag.g_01977
OG0000421	Prbc.g_00399	Syag.g_01982
OG0000422	Prbc.g_00398	Syag.g_01983
OG0000423	Prbc.g_00397	Syag.g_01984
OG0000424	Prbc.g_00396	Syag.g_01985
OG0000425	Prbc.g_00395	Syag.g_01986
OG0000426	Prbc.g_00394	Syag.g_01987
OG0000427	Prbc.g_00393	Syag.g_01988
OG0000428	Prbc.g_00391	Syag.g_01991
OG0000429	Prbc.g_00390	Syag.g_01993
OG0000430	Prbc.g_00389	Syag.g_01995
OG0000431	Prbc.g_00387	Syag.g_01998
OG0000432	Prbc.g_00383	Syag.g_02007
OG0000433	Prbc.g_00382	Syag.g_02009
OG0000434	Prbc.g_00381	Syag.g_02010
OG0000435	Prbc.g_00380	Syag.g_02017
OG0000436	Prbc.g_00375	Syag.g_02028
OG0000437	Prbc.g_00374	Syag.g_02029
OG0000438	Prbc.g_00373	Syag.g_02031
OG0000439	Prbc.g_00371	Syag.g_02033
OG0000440	Prbc.g_00370	Syag.g_02034
OG0000441	Prbc.g_00368	Syag.g_02041
OG0000442	Prbc.g_00367	Syag.g_02044
OG0000443	Prbc.g_00366	Syag.g_02046
OG0000444	Prbc.g_00361	Syag.g_02053
OG0000445	Prbc.g_00360	Syag.g_02054
OG0000446	Prbc.g_00358	Syag.g_02056
OG0000447	Prbc.g_00357	Syag.g_02059
OG0000448	Prbc.g_00356	Syag.g_02060
OG0000449	Prbc.g_00355	Syag.g_02061
OG0000450	Prbc.g_00354	Syag.g_02066
OG0000451	Prbc.g_00353	Syag.g_02067
OG0000452	Prbc.g_00350	Syag.g_02071
OG0000453	Prbc.g_00349	Syag.g_02072
OG0000454	Prbc.g_00348	Syag.g_02073
OG0000455	Prbc.g_00347	Syag.g_02074
OG0000456	Prbc.g_00346	Syag.g_02075
OG0000457	Prbc.g_00345	Syag.g_02077
OG0000458	Prbc.g_00344	Syag.g_02080
OG0000459	Prbc.g_00343	Syag.g_02081
OG0000460	Prbc.g_00335	Syag.g_01786
OG0000461	Prbc.g_01140	Syag.g_02675
OG0000462	Prbc.g_01142	Syag.g_02672
OG0000463	Prbc.g_01143	Syag.g_02671
OG0000464	Prbc.g_01144	Syag.g_02670
OG0000465	Prbc.g_01145	Syag.g_02668
OG0000466	Prbc.g_01146	Syag.g_02662
OG0000467	Prbc.g_01147	Syag.g_02660
OG0000468	Prbc.g_01149	Syag.g_02636
OG0000469	Prbc.g_01156	Syag.g_02621
OG0000470	Prbc.g_01158	Syag.g_02619
OG0000471	Prbc.g_01159	Syag.g_02618
OG0000472	Prbc.g_01160	Syag.g_02616
OG0000473	Prbc.g_01162	Syag.g_02614
OG0000474	Prbc.g_01163	Syag.g_02613
OG0000475	Prbc.g_01164	Syag.g_02612
OG0000476	Prbc.g_01166	Syag.g_02610
OG0000477	Prbc.g_01168	Syag.g_02604
OG0000478	Prbc.g_01169	Syag.g_02603
OG0000479	Prbc.g_01170	Syag.g_02602
OG0000480	Prbc.g_01175	Syag.g_02595
OG0000481	Prbc.g_01177	Syag.g_02593
OG0000482	Prbc.g_01178	Syag.g_02592
OG0000483	Prbc.g_01181	Syag.g_02588
OG0000484	Prbc.g_01182	Syag.g_02587
OG0000485	Prbc.g_01183	Syag.g_02586
OG0000486	Prbc.g_01184	Syag.g_02585
OG0000487	Prbc.g_01187	Syag.g_02579
OG0000488	Prbc.g_01190	Syag.g_02575
OG0000489	Prbc.g_01195	Syag.g_02565
OG0000490	Prbc.g_01200	Syag.g_02553
OG0000491	Prbc.g_01201	Syag.g_02551
OG0000492	Prbc.g_01203	Syag.g_02549
OG0000493	Prbc.g_01204	Syag.g_02548
OG0000494	Prbc.g_01205	Syag.g_02547
OG0000495	Prbc.g_01206	Syag.g_02546
OG0000496	Prbc.g_01207	Syag.g_02545
OG0000497	Prbc.g_01208	Syag.g_02544
OG0000498	Prbc.g_01209	Syag.g_02543
OG0000499	Prbc.g_01210	Syag.g_02542
OG0000500	Prbc.g_01211	Syag.g_02541
OG0000501	Prbc.g_01213	Syag.g_02538
OG0000502	Prbc.g_01216	Syag.g_02467
OG0000503	Prbc.g_01246	Syag.g_02843
OG0000504	Prbc.g_01248	Syag.g_02845
OG0000505	Prbc.g_01249	Syag.g_02846
OG0000506	Prbc.g_01250	Syag.g_02849
OG0000507	Prbc.g_01253	Syag.g_02855
OG0000508	Prbc.g_01256	Syag.g_02860
OG0000509	Prbc.g_01258	Syag.g_02862
OG0000510	Prbc.g_01259	Syag.g_02863
OG0000511	Prbc.g_01260	Syag.g_02864
OG0000512	Prbc.g_01262	Syag.g_02866
OG0000513	Prbc.g_01271	Syag.g_00009
OG0000514	Prbc.g_01492	Syag.g_00018
OG0000515	Prbc.g_01493	Syag.g_00019
OG0000516	Prbc.g_01494	Syag.g_00025
OG0000517	Prbc.g_01496	Syag.g_00032
OG0000518	Prbc.g_01507	Syag.g_00044
OG0000519	Prbc.g_01508	Syag.g_00045
OG0000520	Prbc.g_01509	Syag.g_00046
OG0000521	Prbc.g_01514	Syag.g_00054
OG0000522	Prbc.g_01516	Syag.g_00056
OG0000523	Prbc.g_01517	Syag.g_00057
OG0000524	Prbc.g_01524	Syag.g_01327
OG0000525	Prbc.g_01528	Syag.g_01345
OG0000526	Prbc.g_01529	Syag.g_01348
OG0000527	Prbc.g_01532	Syag.g_01354
OG0000528	Prbc.g_01538	Syag.g_01532
OG0000529	Prbc.g_01541	Syag.g_01527
OG0000530	Prbc.g_01544	Syag.g_01524
OG0000531	Prbc.g_01545	Syag.g_01523
OG0000532	Prbc.g_01546	Syag.g_01520
OG0000533	Prbc.g_01547	Syag.g_01518
OG0000534	Prbc.g_01548	Syag.g_01517
OG0000535	Prbc.g_01549	Syag.g_01516
OG0000536	Prbc.g_01550	Syag.g_01515
OG0000537	Prbc.g_01551	Syag.g_01514
OG0000538	Prbc.g_01580	Syag.g_01502
OG0000539	Prbc.g_01581	Syag.g_01501
OG0000540	Prbc.g_01582	Syag.g_01500
OG0000541	Prbc.g_01583	Syag.g_01499
OG0000542	Prbc.g_01585	Syag.g_01496
OG0000543	Prbc.g_01587	Syag.g_01494
OG0000544	Prbc.g_01588	Syag.g_01493
OG0000545	Prbc.g_01590	Syag.g_01491
OG0000546	Prbc.g_01593	Syag.g_01489
OG0000547	Prbc.g_01595	Syag.g_01487
OG0000548	Prbc.g_01596	Syag.g_01486
OG0000549	Prbc.g_01599	Syag.g_01480
OG0000550	Prbc.g_01603	Syag.g_01474
OG0000551	Prbc.g_01606	Syag.g_01470
OG0000552	Prbc.g_01607	Syag.g_01469
OG0000553	Prbc.g_01608	Syag.g_01464
OG0000554	Prbc.g_01613	Syag.g_01453
OG0000555	Prbc.g_01621	Syag.g_00075
OG0000556	Prbc.g_01623	Syag.g_00257
OG0000557	Prbc.g_01624	Syag.g_00267
OG0000558	Prbc.g_01627	Syag.g_00269
OG0000559	Prbc.g_01631	Syag.g_00273
OG0000560	Prbc.g_01634	Syag.g_00276
OG0000561	Prbc.g_01635	Syag.g_00277
OG0000562	Prbc.g_01636	Syag.g_00278
OG0000563	Prbc.g_01637	Syag.g_00279
OG0000564	Prbc.g_01638	Syag.g_00280
OG0000565	Prbc.g_01641	Syag.g_00284
OG0000566	Prbc.g_01643	Syag.g_00288
