Orthogroup	Prbc	Praa
OG0000069	Prbc.g_02181, Prbc.g_00752	Praa.g_01590
OG0000070	Prbc.g_01511	Praa.g_00449
OG0000071	Prbc.g_00566	Praa.g_01318
OG0000072	Prbc.g_00400	Praa.g_00171
OG0000073	Prbc.g_01579	Praa.g_00499
OG0000074	Prbc.g_01763	Praa.g_00682
OG0000075	Prbc.g_00236	Praa.g_01808
OG0000076	Prbc.g_00211	Praa.g_01832
OG0000077	Prbc.g_00495	Praa.g_00078
OG0000078	Prbc.g_00330	Praa.g_00239
OG0000079	Prbc.g_01148	Praa.g_00252
OG0000080	Prbc.g_00679	Praa.g_01423, Praa.g_00385
OG0000081	Prbc.g_01610	Praa.g_00531
OG0000082	Prbc.g_00891	Praa.g_00585
OG0000083	Prbc.g_02193, Prbc.g_01233	Praa.g_00742, Praa.g_01294, Praa.g_00735
OG0000084	Prbc.g_00705	Praa.g_01472
OG0000085	Prbc.g_00826	Praa.g_01628
OG0000086	Prbc.g_00485	Praa.g_00088
OG0000087	Prbc.g_00432	Praa.g_00139
OG0000088	Prbc.g_00405	Praa.g_00166
OG0000089	Prbc.g_01268	Praa.g_00355
OG0000090	Prbc.g_01612	Praa.g_00533
OG0000091	Prbc.g_01719	Praa.g_00642
OG0000092	Prbc.g_01982	Praa.g_00912
OG0000093	Prbc.g_01843	Praa.g_00932
OG0000094	Prbc.g_01935	Praa.g_01020
OG0000095	Prbc.g_02113	Praa.g_01039
OG0000096	Prbc.g_01323	Praa.g_01110, Praa.g_01280
OG0000097	Prbc.g_01400	Praa.g_01200
OG0000098	Prbc.g_00585	Praa.g_01348
OG0000099	Prbc.g_01229	Praa.g_01394
OG0000100	Prbc.g_00785	Praa.g_01551
OG0000101	Prbc.g_00284	Praa.g_01775
OG0000102	Prbc.g_00206	Praa.g_01837
OG0000103	Prbc.g_01053	Praa.g_01916
OG0000104	Prbc.g_01065	Praa.g_01924
OG0000105	Prbc.g_01167	Praa.g_00274
OG0000106	Prbc.g_00134, Prbc.g_00641	Praa.g_00369
OG0000107	Prbc.g_00934	Praa.g_00383
OG0000108	Prbc.g_01540	Praa.g_00480
OG0000109	Prbc.g_01553	Praa.g_00494
OG0000110	Prbc.g_01654	Praa.g_00575
OG0000111	Prbc.g_01781	Praa.g_00699
OG0000112	Prbc.g_02028	Praa.g_00766
OG0000113	Prbc.g_01882, Prbc.g_00153	Praa.g_00826
OG0000114	Prbc.g_01977	Praa.g_00907
OG0000115	Prbc.g_00801	Praa.g_01101
OG0000116	Prbc.g_01457	Praa.g_01150
OG0000117	Prbc.g_00102	Praa.g_01255
OG0000118	Prbc.g_00577	Praa.g_01330
OG0000119	Prbc.g_00650	Praa.g_01362
OG0000120	Prbc.g_01753	Praa.g_01387
OG0000121	Prbc.g_00711	Praa.g_01478
OG0000122	Prbc.g_00750	Praa.g_01516
OG0000123	Prbc.g_00277	Praa.g_01782
OG0000124	Prbc.g_00193	Praa.g_01848
OG0000125	Prbc.g_00997	Praa.g_01885
OG0000126	Prbc.g_01063	Praa.g_01923
OG0000128	Prbc.g_01081	Praa.g_00011
OG0000129	Prbc.g_01122	Praa.g_00044
OG0000130	Prbc.g_00504	Praa.g_00069
OG0000131	Prbc.g_00426	Praa.g_00145
OG0000132	Prbc.g_00407	Praa.g_00164
OG0000133	Prbc.g_01214	Praa.g_00322
OG0000134	Prbc.g_01270	Praa.g_00356
OG0000135	Prbc.g_02198, Prbc.g_02183	Praa.g_00381
OG0000136	Prbc.g_01502	Praa.g_00440
OG0000137	Prbc.g_01534	Praa.g_01414, Praa.g_00475
OG0000138	Prbc.g_01554	Praa.g_00495
OG0000139	Prbc.g_01616	Praa.g_00537
OG0000140	Prbc.g_01617	Praa.g_00538
OG0000141	Prbc.g_01684	Praa.g_00607
OG0000142	Prbc.g_01712	Praa.g_00635
OG0000143	Prbc.g_01716	Praa.g_00639
OG0000144	Prbc.g_01729	Praa.g_00652
OG0000145	Prbc.g_02142	Praa.g_00764
OG0000146	Prbc.g_02027	Praa.g_00767
OG0000147	Prbc.g_02026	Praa.g_00768
OG0000148	Prbc.g_01876	Praa.g_00820
OG0000149	Prbc.g_01908	Praa.g_00851
OG0000150	Prbc.g_01916	Praa.g_00859
OG0000151	Prbc.g_01988	Praa.g_00917
OG0000152	Prbc.g_02036	Praa.g_00964
OG0000153	Prbc.g_02054	Praa.g_00983
OG0000154	Prbc.g_02083	Praa.g_01013
OG0000155	Prbc.g_01424	Praa.g_01179
OG0000156	Prbc.g_00555	Praa.g_01307
OG0000157	Prbc.g_00556	Praa.g_01308
OG0000158	Prbc.g_00228	Praa.g_01395
OG0000160	Prbc.g_00710	Praa.g_01477
OG0000161	Prbc.g_00716	Praa.g_01483
OG0000162	Prbc.g_00722	Praa.g_01489
OG0000163	Prbc.g_00758	Praa.g_01523
OG0000164	Prbc.g_00854	Praa.g_01659
OG0000165	Prbc.g_00862	Praa.g_01667
OG0000166	Prbc.g_00321	Praa.g_01739
OG0000167	Prbc.g_00238	Praa.g_01806
OG0000168	Prbc.g_00227	Praa.g_01816
OG0000169	Prbc.g_00217	Praa.g_01826
OG0000170	Prbc.g_00215	Praa.g_01828
OG0000171	Prbc.g_00194	Praa.g_01847
OG0000172	Prbc.g_00967	Praa.g_01856
OG0000173	Prbc.g_00982	Praa.g_01871
OG0000174	Prbc.g_01013	Praa.g_01898
OG0000175	Prbc.g_01044	Praa.g_01908
OG0000176	Prbc.g_01074	Praa.g_00004
OG0000177	Prbc.g_01075	Praa.g_00005
OG0000178	Prbc.g_01076	Praa.g_00006
OG0000179	Prbc.g_01086	Praa.g_00016
OG0000180	Prbc.g_01087	Praa.g_00017
OG0000181	Prbc.g_01088	Praa.g_00018
OG0000182	Prbc.g_01089	Praa.g_00019
OG0000183	Prbc.g_01093	Praa.g_00023
OG0000184	Prbc.g_01124	Praa.g_00046
OG0000185	Prbc.g_01127	Praa.g_00049
OG0000186	Prbc.g_00509	Praa.g_00064
OG0000187	Prbc.g_00508	Praa.g_00065
OG0000188	Prbc.g_00491	Praa.g_00082
OG0000189	Prbc.g_00477	Praa.g_00096
OG0000190	Prbc.g_00476	Praa.g_00097
OG0000191	Prbc.g_00453	Praa.g_00117
OG0000192	Prbc.g_00449	Praa.g_00121
OG0000193	Prbc.g_00425	Praa.g_00146
OG0000194	Prbc.g_00422	Praa.g_00149
OG0000195	Prbc.g_00420	Praa.g_00151
OG0000196	Prbc.g_00410	Praa.g_00161
OG0000197	Prbc.g_00409	Praa.g_00162
OG0000198	Prbc.g_00408	Praa.g_00163
OG0000199	Prbc.g_00401	Praa.g_00170
OG0000200	Prbc.g_00388	Praa.g_00184
OG0000201	Prbc.g_00379	Praa.g_00192
OG0000202	Prbc.g_00378	Praa.g_00193
OG0000203	Prbc.g_00377	Praa.g_00194
OG0000204	Prbc.g_00376	Praa.g_00195
OG0000205	Prbc.g_00369	Praa.g_00202
OG0000206	Prbc.g_00365	Praa.g_00207
OG0000207	Prbc.g_00363	Praa.g_00209
OG0000208	Prbc.g_00362	Praa.g_00210
OG0000209	Prbc.g_00352	Praa.g_00219
OG0000210	Prbc.g_00351	Praa.g_00220
OG0000211	Prbc.g_00337	Praa.g_00233
OG0000212	Prbc.g_00329	Praa.g_00240
OG0000213	Prbc.g_01153	Praa.g_00257
OG0000214	Prbc.g_01161	Praa.g_00267
OG0000215	Prbc.g_01185	Praa.g_00292
OG0000216	Prbc.g_01186	Praa.g_00294
OG0000217	Prbc.g_01189	Praa.g_00297
OG0000218	Prbc.g_01191	Praa.g_00299
OG0000219	Prbc.g_01192	Praa.g_00300
OG0000220	Prbc.g_01193	Praa.g_00301
OG0000221	Prbc.g_01194	Praa.g_00302
OG0000222	Prbc.g_01202	Praa.g_00310
OG0000223	Prbc.g_01215	Praa.g_00323
OG0000224	Prbc.g_01217	Praa.g_00325
OG0000225	Prbc.g_01257	Praa.g_00345
OG0000226	Prbc.g_01261	Praa.g_00349
OG0000227	Prbc.g_01263	Praa.g_00351
OG0000228	Prbc.g_01267	Praa.g_00354
OG0000229	Prbc.g_01497	Praa.g_00436
OG0000230	Prbc.g_01499	Praa.g_00437
OG0000231	Prbc.g_01510	Praa.g_00448
OG0000232	Prbc.g_01518	Praa.g_00457
OG0000233	Prbc.g_01526	Praa.g_00463
OG0000234	Prbc.g_01535	Praa.g_00476
OG0000235	Prbc.g_01539	Praa.g_00479
OG0000236	Prbc.g_01552	Praa.g_00493
OG0000237	Prbc.g_01586	Praa.g_00506
OG0000238	Prbc.g_01592	Praa.g_00512
OG0000239	Prbc.g_01604	Praa.g_00525
OG0000240	Prbc.g_01605	Praa.g_00526
OG0000241	Prbc.g_01609	Praa.g_00530
OG0000242	Prbc.g_01611	Praa.g_00532
OG0000243	Prbc.g_01622	Praa.g_00544
OG0000244	Prbc.g_01626	Praa.g_00547
OG0000245	Prbc.g_01628	Praa.g_00549
OG0000246	Prbc.g_01632	Praa.g_00553
OG0000247	Prbc.g_01642	Praa.g_00563
OG0000248	Prbc.g_01644	Praa.g_00565
OG0000249	Prbc.g_01646	Praa.g_00567
OG0000250	Prbc.g_01651	Praa.g_00572
OG0000251	Prbc.g_01667	Praa.g_00591
OG0000252	Prbc.g_01669	Praa.g_00594
OG0000253	Prbc.g_01671	Praa.g_00595
OG0000254	Prbc.g_01688	Praa.g_00611
OG0000255	Prbc.g_01694	Praa.g_00617
OG0000256	Prbc.g_01704	Praa.g_00627
OG0000257	Prbc.g_01707	Praa.g_00630
OG0000258	Prbc.g_01720	Praa.g_00643
OG0000259	Prbc.g_01737	Praa.g_00660
OG0000260	Prbc.g_01740	Praa.g_00663
OG0000261	Prbc.g_01743	Praa.g_00665
OG0000262	Prbc.g_01748	Praa.g_00669
OG0000263	Prbc.g_01762	Praa.g_00681
OG0000264	Prbc.g_01773	Praa.g_00691
OG0000265	Prbc.g_01787	Praa.g_00711
OG0000266	Prbc.g_01797	Praa.g_00721
OG0000267	Prbc.g_01810	Praa.g_00732
OG0000268	Prbc.g_01811	Praa.g_00733
OG0000269	Prbc.g_01853	Praa.g_00798
OG0000270	Prbc.g_01856	Praa.g_00801
OG0000271	Prbc.g_01864	Praa.g_00809
OG0000272	Prbc.g_01865	Praa.g_00810, Praa.g_00811
OG0000273	Prbc.g_01890	Praa.g_00834
OG0000274	Prbc.g_01891	Praa.g_00835
OG0000275	Prbc.g_01893	Praa.g_00838
OG0000276	Prbc.g_01899	Praa.g_00843
OG0000277	Prbc.g_01900	Praa.g_00844
OG0000278	Prbc.g_01904	Praa.g_00847
OG0000279	Prbc.g_01911	Praa.g_00854
OG0000280	Prbc.g_00068	Praa.g_00855
OG0000281	Prbc.g_01917	Praa.g_00860
OG0000282	Prbc.g_01979	Praa.g_00909
OG0000283	Prbc.g_02010	Praa.g_00941
OG0000284	Prbc.g_02015	Praa.g_00946
OG0000285	Prbc.g_02020	Praa.g_00951
OG0000286	Prbc.g_02035	Praa.g_00963
OG0000287	Prbc.g_02190	Praa.g_00980
OG0000288	Prbc.g_02082	Praa.g_01012
OG0000289	Prbc.g_02094	Praa.g_01023
OG0000290	Prbc.g_02110	Praa.g_01036
OG0000291	Prbc.g_02112	Praa.g_01038
OG0000292	Prbc.g_00173	Praa.g_01089
OG0000293	Prbc.g_01456	Praa.g_01151
OG0000294	Prbc.g_01455	Praa.g_01152
OG0000295	Prbc.g_01431	Praa.g_01171
OG0000296	Prbc.g_01429	Praa.g_01173
OG0000297	Prbc.g_01421	Praa.g_01181
OG0000298	Prbc.g_01420	Praa.g_01182
OG0000299	Prbc.g_01401	Praa.g_01199
OG0000300	Prbc.g_01398	Praa.g_01202
OG0000301	Prbc.g_01397	Praa.g_01203
OG0000302	Prbc.g_01395	Praa.g_01205
OG0000303	Prbc.g_01390	Praa.g_01212
OG0000304	Prbc.g_01387	Praa.g_01216
OG0000305	Prbc.g_00810	Praa.g_01358
OG0000306	Prbc.g_01921	Praa.g_01361
OG0000307	Prbc.g_00666	Praa.g_01375
OG0000308	Prbc.g_00667	Praa.g_01376
OG0000309	Prbc.g_00671	Praa.g_01380
OG0000310	Prbc.g_00693	Praa.g_01461
OG0000311	Prbc.g_00695	Praa.g_01463
OG0000312	Prbc.g_00698	Praa.g_01466
OG0000313	Prbc.g_00713	Praa.g_01480
OG0000314	Prbc.g_00734	Praa.g_01503
OG0000315	Prbc.g_00744	Praa.g_01513
OG0000316	Prbc.g_00768	Praa.g_01533
OG0000317	Prbc.g_00830	Praa.g_01633
OG0000318	Prbc.g_00833	Praa.g_01636
OG0000319	Prbc.g_00844	Praa.g_01649
OG0000320	Prbc.g_00846	Praa.g_01651
OG0000321	Prbc.g_00847	Praa.g_01652
OG0000322	Prbc.g_00848	Praa.g_01653
OG0000323	Prbc.g_00857	Praa.g_01662
OG0000324	Prbc.g_00884	Praa.g_01690
OG0000325	Prbc.g_00935	Praa.g_01700
OG0000326	Prbc.g_00941	Praa.g_01706
OG0000327	Prbc.g_00326	Praa.g_01734
OG0000328	Prbc.g_00325	Praa.g_01735
OG0000329	Prbc.g_00308	Praa.g_01752
OG0000330	Prbc.g_00307	Praa.g_01753
OG0000331	Prbc.g_00306	Praa.g_01754
OG0000332	Prbc.g_00292	Praa.g_01768
OG0000333	Prbc.g_00290	Praa.g_01770
OG0000334	Prbc.g_00281	Praa.g_01778
OG0000335	Prbc.g_00276	Praa.g_01783
OG0000336	Prbc.g_00272	Praa.g_01787
OG0000337	Prbc.g_00241	Praa.g_01804
OG0000338	Prbc.g_00240	Praa.g_01805
OG0000339	Prbc.g_00235	Praa.g_01809
OG0000340	Prbc.g_00226	Praa.g_01817
OG0000341	Prbc.g_00224	Praa.g_01819
OG0000342	Prbc.g_00223	Praa.g_01820
OG0000343	Prbc.g_00222	Praa.g_01821
OG0000344	Prbc.g_00219	Praa.g_01824
OG0000345	Prbc.g_00214	Praa.g_01829
OG0000346	Prbc.g_00210	Praa.g_01833
OG0000347	Prbc.g_00190	Praa.g_01849
OG0000348	Prbc.g_00970	Praa.g_01859
OG0000349	Prbc.g_00988	Praa.g_01876
OG0000350	Prbc.g_01009	Praa.g_01894
OG0000351	Prbc.g_01047	Praa.g_01911
OG0000352	Prbc.g_01048	Praa.g_01912
OG0000353	Prbc.g_01068	Praa.g_01927
OG0000355	Prbc.g_01071	Praa.g_00001
OG0000356	Prbc.g_01072	Praa.g_00002
OG0000357	Prbc.g_01073	Praa.g_00003
OG0000358	Prbc.g_01077	Praa.g_00007
OG0000359	Prbc.g_01078	Praa.g_00008
OG0000360	Prbc.g_01079	Praa.g_00009
OG0000361	Prbc.g_01080	Praa.g_00010
OG0000362	Prbc.g_01082	Praa.g_00012
OG0000363	Prbc.g_01084	Praa.g_00014
OG0000364	Prbc.g_01085	Praa.g_00015
OG0000365	Prbc.g_01090	Praa.g_00020
OG0000366	Prbc.g_01091	Praa.g_00021
OG0000367	Prbc.g_01092	Praa.g_00022
OG0000368	Prbc.g_01094	Praa.g_00024
OG0000369	Prbc.g_01095	Praa.g_00025
OG0000370	Prbc.g_01096	Praa.g_00026
OG0000371	Prbc.g_01102	Praa.g_00032
OG0000372	Prbc.g_01104	Praa.g_00035
OG0000373	Prbc.g_01105	Praa.g_00036
OG0000374	Prbc.g_01106	Praa.g_00037
OG0000375	Prbc.g_01118	Praa.g_00040
OG0000376	Prbc.g_01120	Praa.g_00042
OG0000377	Prbc.g_01123	Praa.g_00045
OG0000378	Prbc.g_01125	Praa.g_00047
OG0000379	Prbc.g_01128	Praa.g_00050
OG0000380	Prbc.g_00507	Praa.g_00066
OG0000381	Prbc.g_00503	Praa.g_00070
OG0000382	Prbc.g_00492	Praa.g_00081
OG0000383	Prbc.g_00490	Praa.g_00083
OG0000384	Prbc.g_00489	Praa.g_00084
OG0000385	Prbc.g_00488	Praa.g_00085
OG0000386	Prbc.g_00487	Praa.g_00086
OG0000387	Prbc.g_00474	Praa.g_00099
OG0000388	Prbc.g_00470	Praa.g_00102
OG0000389	Prbc.g_00467	Praa.g_00106
OG0000390	Prbc.g_00458	Praa.g_00113
OG0000391	Prbc.g_00454	Praa.g_00116
OG0000392	Prbc.g_00451	Praa.g_00120
OG0000393	Prbc.g_00448	Praa.g_00122
OG0000394	Prbc.g_00447	Praa.g_00123
OG0000395	Prbc.g_00446	Praa.g_00124
OG0000396	Prbc.g_00443	Praa.g_00127
OG0000397	Prbc.g_00441	Praa.g_00129
OG0000398	Prbc.g_00438	Praa.g_00131
OG0000399	Prbc.g_00437	Praa.g_00132
OG0000400	Prbc.g_00436	Praa.g_00133
OG0000401	Prbc.g_00435	Praa.g_00134
OG0000402	Prbc.g_02145	Praa.g_00136
OG0000403	Prbc.g_00434	Praa.g_00137
OG0000404	Prbc.g_00433	Praa.g_00138
OG0000405	Prbc.g_00428	Praa.g_00142
OG0000406	Prbc.g_00424	Praa.g_00147
OG0000407	Prbc.g_00423	Praa.g_00148
OG0000408	Prbc.g_00421	Praa.g_00150
OG0000409	Prbc.g_00419	Praa.g_00152
OG0000410	Prbc.g_00418	Praa.g_00153
OG0000411	Prbc.g_00417	Praa.g_00154
OG0000412	Prbc.g_00416	Praa.g_00155
OG0000413	Prbc.g_00415	Praa.g_00156
OG0000414	Prbc.g_00414	Praa.g_00157
OG0000415	Prbc.g_00413	Praa.g_00158
OG0000416	Prbc.g_00412	Praa.g_00159
OG0000417	Prbc.g_00411	Praa.g_00160
OG0000418	Prbc.g_00406	Praa.g_00165
OG0000419	Prbc.g_00404	Praa.g_00167
OG0000420	Prbc.g_00403	Praa.g_00168
OG0000421	Prbc.g_00399	Praa.g_00173
OG0000422	Prbc.g_00398	Praa.g_00174
OG0000423	Prbc.g_00397	Praa.g_00175
OG0000424	Prbc.g_00396	Praa.g_00176
OG0000425	Prbc.g_00395	Praa.g_00177
OG0000426	Prbc.g_00394	Praa.g_00178
OG0000427	Prbc.g_00393	Praa.g_00179
OG0000428	Prbc.g_00391	Praa.g_00181
OG0000429	Prbc.g_00390	Praa.g_00182
OG0000430	Prbc.g_00389	Praa.g_00183
OG0000431	Prbc.g_00387	Praa.g_00185
OG0000432	Prbc.g_00383	Praa.g_00188
OG0000433	Prbc.g_00382	Praa.g_00189
OG0000434	Prbc.g_00381	Praa.g_00190
OG0000435	Prbc.g_00380	Praa.g_00191
OG0000436	Prbc.g_00375	Praa.g_00196
OG0000437	Prbc.g_00374	Praa.g_00197
OG0000438	Prbc.g_00373	Praa.g_00198
OG0000439	Prbc.g_00371	Praa.g_00200
OG0000440	Prbc.g_00370	Praa.g_00201
OG0000441	Prbc.g_00368	Praa.g_00204
OG0000442	Prbc.g_00367	Praa.g_00205
OG0000443	Prbc.g_00366	Praa.g_00206
OG0000444	Prbc.g_00361	Praa.g_00211
OG0000445	Prbc.g_00360	Praa.g_00212
OG0000446	Prbc.g_00358	Praa.g_00213
OG0000447	Prbc.g_00357	Praa.g_00214
OG0000448	Prbc.g_00356	Praa.g_00215
OG0000449	Prbc.g_00355	Praa.g_00216
OG0000450	Prbc.g_00354	Praa.g_00217
OG0000451	Prbc.g_00353	Praa.g_00218
OG0000452	Prbc.g_00350	Praa.g_00221
OG0000453	Prbc.g_00349	Praa.g_00222
OG0000454	Prbc.g_00348	Praa.g_00223
OG0000455	Prbc.g_00347	Praa.g_00224
OG0000456	Prbc.g_00346	Praa.g_00225
OG0000457	Prbc.g_00345	Praa.g_00226
OG0000458	Prbc.g_00344	Praa.g_00227
OG0000459	Prbc.g_00343	Praa.g_00228
OG0000460	Prbc.g_00335	Praa.g_00235
OG0000461	Prbc.g_01140	Praa.g_00242
OG0000462	Prbc.g_01142	Praa.g_00244
OG0000463	Prbc.g_01143	Praa.g_00245
OG0000464	Prbc.g_01144	Praa.g_00246
OG0000465	Prbc.g_01145	Praa.g_00247
OG0000466	Prbc.g_01146	Praa.g_00250
OG0000467	Prbc.g_01147	Praa.g_00251
OG0000468	Prbc.g_01149	Praa.g_00253
OG0000469	Prbc.g_01156	Praa.g_00262
OG0000470	Prbc.g_01158	Praa.g_00264
OG0000471	Prbc.g_01159	Praa.g_00265
OG0000472	Prbc.g_01160	Praa.g_00266
OG0000473	Prbc.g_01162	Praa.g_00268
OG0000474	Prbc.g_01163	Praa.g_00269
OG0000475	Prbc.g_01164	Praa.g_00270
OG0000476	Prbc.g_01166	Praa.g_00271
OG0000477	Prbc.g_01168	Praa.g_00275
OG0000478	Prbc.g_01169	Praa.g_00276
OG0000479	Prbc.g_01170	Praa.g_00277
OG0000480	Prbc.g_01175	Praa.g_00282
OG0000481	Prbc.g_01177	Praa.g_00284
OG0000482	Prbc.g_01178	Praa.g_00285
OG0000483	Prbc.g_01181	Praa.g_00288
OG0000484	Prbc.g_01182	Praa.g_00289
OG0000485	Prbc.g_01183	Praa.g_00290
OG0000486	Prbc.g_01184	Praa.g_00291
OG0000487	Prbc.g_01187	Praa.g_00295
OG0000488	Prbc.g_01190	Praa.g_00298
OG0000489	Prbc.g_01195	Praa.g_00303
OG0000490	Prbc.g_01200	Praa.g_00308
OG0000491	Prbc.g_01201	Praa.g_00309
OG0000492	Prbc.g_01203	Praa.g_00311
OG0000493	Prbc.g_01204	Praa.g_00312
OG0000494	Prbc.g_01205	Praa.g_00313
OG0000495	Prbc.g_01206	Praa.g_00314
OG0000496	Prbc.g_01207	Praa.g_00315
OG0000497	Prbc.g_01208	Praa.g_00316
OG0000498	Prbc.g_01209	Praa.g_00317
OG0000499	Prbc.g_01210	Praa.g_00318
OG0000500	Prbc.g_01211	Praa.g_00319
OG0000501	Prbc.g_01213	Praa.g_00321
OG0000502	Prbc.g_01216	Praa.g_00324
OG0000503	Prbc.g_01246	Praa.g_00334
OG0000504	Prbc.g_01248	Praa.g_00335
OG0000505	Prbc.g_01249	Praa.g_00336
OG0000506	Prbc.g_01250	Praa.g_00338
OG0000507	Prbc.g_01253	Praa.g_00340
OG0000508	Prbc.g_01256	Praa.g_00344
OG0000509	Prbc.g_01258	Praa.g_00346
OG0000510	Prbc.g_01259	Praa.g_00347
OG0000511	Prbc.g_01260	Praa.g_00348
OG0000512	Prbc.g_01262	Praa.g_00350
OG0000513	Prbc.g_01271	Praa.g_00357
OG0000514	Prbc.g_01492	Praa.g_00431
OG0000515	Prbc.g_01493	Praa.g_00432
OG0000516	Prbc.g_01494	Praa.g_00433
OG0000517	Prbc.g_01496	Praa.g_00435
OG0000518	Prbc.g_01507	Praa.g_00445
OG0000519	Prbc.g_01508	Praa.g_00446
OG0000520	Prbc.g_01509	Praa.g_00447
OG0000521	Prbc.g_01514	Praa.g_00452
OG0000522	Prbc.g_01516	Praa.g_00454
OG0000523	Prbc.g_01517	Praa.g_00455
OG0000524	Prbc.g_01524	Praa.g_00461
OG0000525	Prbc.g_01528	Praa.g_00464
OG0000526	Prbc.g_01529	Praa.g_00465
OG0000527	Prbc.g_01532	Praa.g_00473
OG0000528	Prbc.g_01538	Praa.g_00478
OG0000529	Prbc.g_01541	Praa.g_00481
OG0000530	Prbc.g_01544	Praa.g_00484
OG0000531	Prbc.g_01545	Praa.g_00485
OG0000532	Prbc.g_01546	Praa.g_00487
OG0000533	Prbc.g_01547	Praa.g_00488
OG0000534	Prbc.g_01548	Praa.g_00489
OG0000535	Prbc.g_01549	Praa.g_00490
OG0000536	Prbc.g_01550	Praa.g_00491
OG0000537	Prbc.g_01551	Praa.g_00492
OG0000538	Prbc.g_01580	Praa.g_00500
OG0000539	Prbc.g_01581	Praa.g_00501
OG0000540	Prbc.g_01582	Praa.g_00502
OG0000541	Prbc.g_01583	Praa.g_00503
OG0000542	Prbc.g_01585	Praa.g_00505
OG0000543	Prbc.g_01587	Praa.g_00507
OG0000544	Prbc.g_01588	Praa.g_00508
OG0000545	Prbc.g_01590	Praa.g_00510
OG0000546	Prbc.g_01593	Praa.g_00513
