Orthogroup	Prbc	Syad
OG0000284	Prbc.g_02015	Syad.g_01787
OG0000285	Prbc.g_02020	Syad.g_01776
OG0000286	Prbc.g_02035	Syad.g_01758
OG0000287	Prbc.g_02190	Syad.g_01720
OG0000288	Prbc.g_02082	Syad.g_01687
OG0000289	Prbc.g_02094	Syad.g_01672
OG0000290	Prbc.g_02110	Syad.g_01287
OG0000291	Prbc.g_02112	Syad.g_01289
OG0000292	Prbc.g_00173	Syad.g_00155
OG0000293	Prbc.g_01456	Syad.g_01124
OG0000294	Prbc.g_01455	Syad.g_01125
OG0000295	Prbc.g_01431	Syad.g_01181
OG0000296	Prbc.g_01429	Syad.g_01183
OG0000297	Prbc.g_01421	Syad.g_01512
OG0000298	Prbc.g_01420	Syad.g_01511
OG0000299	Prbc.g_01401	Syad.g_01462
OG0000300	Prbc.g_01398	Syad.g_01455
OG0000301	Prbc.g_01397	Syad.g_01454
OG0000302	Prbc.g_01395	Syad.g_01453
OG0000303	Prbc.g_01390	Syad.g_01442
OG0000304	Prbc.g_01387	Syad.g_01436
OG0000305	Prbc.g_00810	Syad.g_01292
OG0000306	Prbc.g_01921	Syad.g_01989
OG0000307	Prbc.g_00666	Syad.g_00883
OG0000308	Prbc.g_00667	Syad.g_00881
OG0000309	Prbc.g_00671	Syad.g_00876
OG0000310	Prbc.g_00693	Syad.g_02250
OG0000311	Prbc.g_00695	Syad.g_02254
OG0000312	Prbc.g_00698	Syad.g_02265
OG0000313	Prbc.g_00713	Syad.g_02284
OG0000314	Prbc.g_00734	Syad.g_02313
OG0000315	Prbc.g_00744	Syad.g_02323
OG0000316	Prbc.g_00768	Syad.g_02564
OG0000317	Prbc.g_00830	Syad.g_02620
OG0000318	Prbc.g_00833	Syad.g_02624
OG0000319	Prbc.g_00844	Syad.g_02642
OG0000320	Prbc.g_00846	Syad.g_02644
OG0000321	Prbc.g_00847	Syad.g_02645
OG0000322	Prbc.g_00848	Syad.g_02646
OG0000323	Prbc.g_00857	Syad.g_02661
OG0000324	Prbc.g_00884	Syad.g_02505
OG0000325	Prbc.g_00935	Syad.g_00591
OG0000326	Prbc.g_00941	Syad.g_00598
OG0000327	Prbc.g_00326	Syad.g_00649
OG0000328	Prbc.g_00325	Syad.g_00650
OG0000329	Prbc.g_00308	Syad.g_00668
OG0000330	Prbc.g_00307	Syad.g_00669
OG0000331	Prbc.g_00306	Syad.g_00670
OG0000332	Prbc.g_00292	Syad.g_00685
OG0000333	Prbc.g_00290	Syad.g_00688
OG0000334	Prbc.g_00281	Syad.g_00697
OG0000335	Prbc.g_00276	Syad.g_00702
OG0000336	Prbc.g_00272	Syad.g_00706
OG0000337	Prbc.g_00241	Syad.g_00425, Syad.g_00427
OG0000338	Prbc.g_00240	Syad.g_00421
OG0000339	Prbc.g_00235	Syad.g_00414
OG0000340	Prbc.g_00226	Syad.g_00370
OG0000341	Prbc.g_00224	Syad.g_00368
OG0000342	Prbc.g_00223	Syad.g_00367
OG0000343	Prbc.g_00222	Syad.g_00366
OG0000344	Prbc.g_00219	Syad.g_00362
OG0000345	Prbc.g_00214	Syad.g_00352
OG0000346	Prbc.g_00210	Syad.g_00347
OG0000347	Prbc.g_00190	Syad.g_00318
OG0000348	Prbc.g_00970	Syad.g_00233
OG0000349	Prbc.g_00988	Syad.g_00213
OG0000350	Prbc.g_01009	Syad.g_00605
OG0000351	Prbc.g_01047	Syad.g_00134
OG0000352	Prbc.g_01048	Syad.g_00135
OG0000353	Prbc.g_01068	Syad.g_00161
OG0000355	Prbc.g_01071	Syad.g_00163
OG0000356	Prbc.g_01072	Syad.g_00164
OG0000357	Prbc.g_01073	Syad.g_00165
OG0000358	Prbc.g_01077	Syad.g_00169
OG0000359	Prbc.g_01078	Syad.g_00171
OG0000360	Prbc.g_01079	Syad.g_00172
OG0000361	Prbc.g_01080	Syad.g_00173
OG0000362	Prbc.g_01082	Syad.g_00175
OG0000363	Prbc.g_01084	Syad.g_00177
OG0000364	Prbc.g_01085	Syad.g_00178
OG0000365	Prbc.g_01090	Syad.g_00187
OG0000366	Prbc.g_01091	Syad.g_00188
OG0000367	Prbc.g_01092	Syad.g_00189
OG0000368	Prbc.g_01094	Syad.g_00191
OG0000369	Prbc.g_01095	Syad.g_00192
OG0000370	Prbc.g_01096	Syad.g_00193
OG0000371	Prbc.g_01102	Syad.g_00201
OG0000372	Prbc.g_01104	Syad.g_00206
OG0000373	Prbc.g_01105	Syad.g_00207
OG0000374	Prbc.g_01106	Syad.g_00208
OG0000375	Prbc.g_01118	Syad.g_00209
OG0000376	Prbc.g_01120	Syad.g_00211
OG0000377	Prbc.g_01123	Syad.g_03027
OG0000378	Prbc.g_01125	Syad.g_03012
OG0000379	Prbc.g_01128	Syad.g_03005
OG0000380	Prbc.g_00507	Syad.g_02725
OG0000381	Prbc.g_00503	Syad.g_02729
OG0000382	Prbc.g_00492	Syad.g_02758
OG0000383	Prbc.g_00490	Syad.g_02761
OG0000384	Prbc.g_00489	Syad.g_02762
OG0000385	Prbc.g_00488	Syad.g_02763
OG0000386	Prbc.g_00487	Syad.g_02764
OG0000387	Prbc.g_00474	Syad.g_02792
OG0000388	Prbc.g_00470	Syad.g_02796
OG0000389	Prbc.g_00467	Syad.g_02800
OG0000390	Prbc.g_00458	Syad.g_02818
OG0000391	Prbc.g_00454	Syad.g_02823
OG0000392	Prbc.g_00451	Syad.g_02833
OG0000393	Prbc.g_00448	Syad.g_02837
OG0000394	Prbc.g_00447	Syad.g_02838
OG0000395	Prbc.g_00446	Syad.g_02839
OG0000396	Prbc.g_00443	Syad.g_02843
OG0000397	Prbc.g_00441	Syad.g_02845
OG0000398	Prbc.g_00438	Syad.g_02850
OG0000399	Prbc.g_00437	Syad.g_02851
OG0000400	Prbc.g_00436	Syad.g_02852
OG0000401	Prbc.g_00435	Syad.g_02853
OG0000402	Prbc.g_02145	Syad.g_02855
OG0000403	Prbc.g_00434	Syad.g_02856
OG0000404	Prbc.g_00433	Syad.g_02858
OG0000405	Prbc.g_00428	Syad.g_02874
OG0000406	Prbc.g_00424	Syad.g_02878
OG0000407	Prbc.g_00423	Syad.g_02879
OG0000408	Prbc.g_00421	Syad.g_02883
OG0000409	Prbc.g_00419	Syad.g_02885
OG0000410	Prbc.g_00418	Syad.g_02886
OG0000411	Prbc.g_00417	Syad.g_02887
OG0000412	Prbc.g_00416	Syad.g_02888
OG0000413	Prbc.g_00415	Syad.g_02890
OG0000415	Prbc.g_00413	Syad.g_02891
OG0000416	Prbc.g_00412	Syad.g_02892
OG0000417	Prbc.g_00411	Syad.g_02893
OG0000418	Prbc.g_00406	Syad.g_02898
OG0000419	Prbc.g_00404	Syad.g_02900
OG0000420	Prbc.g_00403	Syad.g_02902
OG0000421	Prbc.g_00399	Syad.g_02907
OG0000422	Prbc.g_00398	Syad.g_02908
OG0000423	Prbc.g_00397	Syad.g_02909
OG0000424	Prbc.g_00396	Syad.g_02910
OG0000425	Prbc.g_00395	Syad.g_02911
OG0000426	Prbc.g_00394	Syad.g_02912
OG0000427	Prbc.g_00393	Syad.g_02913
OG0000428	Prbc.g_00391	Syad.g_02916
OG0000429	Prbc.g_00390	Syad.g_02918
OG0000430	Prbc.g_00389	Syad.g_02920
OG0000431	Prbc.g_00387	Syad.g_02923
OG0000432	Prbc.g_00383	Syad.g_02930
OG0000433	Prbc.g_00382	Syad.g_02933
OG0000434	Prbc.g_00381	Syad.g_02934
OG0000435	Prbc.g_00380	Syad.g_02936
OG0000436	Prbc.g_00375	Syad.g_02942
OG0000437	Prbc.g_00374	Syad.g_02943
OG0000438	Prbc.g_00373	Syad.g_02944
OG0000439	Prbc.g_00371	Syad.g_02946
OG0000440	Prbc.g_00370	Syad.g_02947
OG0000441	Prbc.g_00368	Syad.g_02951
OG0000442	Prbc.g_00367	Syad.g_02952
OG0000443	Prbc.g_00366	Syad.g_02953
OG0000444	Prbc.g_00361	Syad.g_02964
OG0000445	Prbc.g_00360	Syad.g_02965
OG0000446	Prbc.g_00358	Syad.g_02967
OG0000447	Prbc.g_00357	Syad.g_02970
OG0000448	Prbc.g_00356	Syad.g_02971
OG0000449	Prbc.g_00355	Syad.g_02972
OG0000450	Prbc.g_00354	Syad.g_02978
OG0000451	Prbc.g_00353	Syad.g_02979
OG0000452	Prbc.g_00350	Syad.g_02983
OG0000453	Prbc.g_00349	Syad.g_02984
OG0000454	Prbc.g_00348	Syad.g_02985
OG0000455	Prbc.g_00347	Syad.g_02986
OG0000456	Prbc.g_00346	Syad.g_02987
OG0000457	Prbc.g_00345	Syad.g_02989
OG0000458	Prbc.g_00344	Syad.g_02998
OG0000459	Prbc.g_00343	Syad.g_02999
OG0000460	Prbc.g_00335	Syad.g_00815
OG0000461	Prbc.g_01140	Syad.g_00579
OG0000462	Prbc.g_01142	Syad.g_00576
OG0000463	Prbc.g_01143	Syad.g_00575
OG0000464	Prbc.g_01144	Syad.g_00574
OG0000465	Prbc.g_01145	Syad.g_00573
OG0000466	Prbc.g_01146	Syad.g_00568
OG0000467	Prbc.g_01147	Syad.g_00566
OG0000468	Prbc.g_01149	Syad.g_00561
OG0000469	Prbc.g_01156	Syad.g_00545
OG0000470	Prbc.g_01158	Syad.g_00542
OG0000471	Prbc.g_01159	Syad.g_00541
OG0000472	Prbc.g_01160	Syad.g_00539
OG0000473	Prbc.g_01162	Syad.g_00537
OG0000474	Prbc.g_01163	Syad.g_00536
OG0000475	Prbc.g_01164	Syad.g_00535
OG0000476	Prbc.g_01166	Syad.g_00533
OG0000477	Prbc.g_01168	Syad.g_00528
OG0000478	Prbc.g_01169	Syad.g_00527
OG0000479	Prbc.g_01170	Syad.g_00526
OG0000480	Prbc.g_01175	Syad.g_00520
OG0000481	Prbc.g_01177	Syad.g_00518
OG0000482	Prbc.g_01178	Syad.g_00517
OG0000483	Prbc.g_01181	Syad.g_00513
OG0000484	Prbc.g_01182	Syad.g_00512
OG0000485	Prbc.g_01183	Syad.g_00511
OG0000486	Prbc.g_01184	Syad.g_00510
OG0000487	Prbc.g_01187	Syad.g_00503
OG0000488	Prbc.g_01190	Syad.g_00499
OG0000489	Prbc.g_01195	Syad.g_00487
OG0000490	Prbc.g_01200	Syad.g_00475
OG0000491	Prbc.g_01201	Syad.g_00474
OG0000492	Prbc.g_01203	Syad.g_00472
OG0000493	Prbc.g_01204	Syad.g_00471
OG0000494	Prbc.g_01205	Syad.g_00470
OG0000495	Prbc.g_01206	Syad.g_00469
OG0000496	Prbc.g_01207	Syad.g_00468
OG0000497	Prbc.g_01208	Syad.g_00467
OG0000498	Prbc.g_01209	Syad.g_00466
OG0000499	Prbc.g_01210	Syad.g_00465
OG0000500	Prbc.g_01211	Syad.g_00464
OG0000501	Prbc.g_01213	Syad.g_00461
OG0000502	Prbc.g_01216	Syad.g_00449
OG0000503	Prbc.g_01246	Syad.g_00761
OG0000504	Prbc.g_01248	Syad.g_00763
OG0000505	Prbc.g_01249	Syad.g_00764
OG0000506	Prbc.g_01250	Syad.g_00766
OG0000507	Prbc.g_01253	Syad.g_00772
OG0000508	Prbc.g_01256	Syad.g_00776
OG0000509	Prbc.g_01258	Syad.g_00778
OG0000510	Prbc.g_01259	Syad.g_00779
OG0000511	Prbc.g_01260	Syad.g_00780
OG0000512	Prbc.g_01262	Syad.g_00782
OG0000513	Prbc.g_01271	Syad.g_00789
OG0000514	Prbc.g_01492	Syad.g_00795
OG0000515	Prbc.g_01493	Syad.g_00796
OG0000516	Prbc.g_01494	Syad.g_02456
OG0000517	Prbc.g_01496	Syad.g_02451
OG0000518	Prbc.g_01507	Syad.g_02439
OG0000519	Prbc.g_01508	Syad.g_02438
OG0000520	Prbc.g_01509	Syad.g_02437
OG0000521	Prbc.g_01514	Syad.g_01108
OG0000522	Prbc.g_01516	Syad.g_01109
OG0000523	Prbc.g_01517	Syad.g_01110
OG0000524	Prbc.g_01524	Syad.g_02386
OG0000525	Prbc.g_01528	Syad.g_02363
OG0000526	Prbc.g_01529	Syad.g_02360
OG0000527	Prbc.g_01532	Syad.g_02355
OG0000528	Prbc.g_01538	Syad.g_00897
OG0000529	Prbc.g_01541	Syad.g_00905
OG0000530	Prbc.g_01544	Syad.g_00908
OG0000531	Prbc.g_01545	Syad.g_00909
OG0000532	Prbc.g_01546	Syad.g_00912
OG0000533	Prbc.g_01547	Syad.g_00913
OG0000534	Prbc.g_01548	Syad.g_00914
OG0000535	Prbc.g_01549	Syad.g_00915
OG0000536	Prbc.g_01550	Syad.g_00916
OG0000537	Prbc.g_01551	Syad.g_00917
OG0000538	Prbc.g_01580	Syad.g_00929
OG0000539	Prbc.g_01581	Syad.g_00930
OG0000540	Prbc.g_01582	Syad.g_00931
OG0000541	Prbc.g_01583	Syad.g_00932
OG0000542	Prbc.g_01585	Syad.g_00935
OG0000543	Prbc.g_01587	Syad.g_00937
OG0000544	Prbc.g_01588	Syad.g_00938
OG0000545	Prbc.g_01590	Syad.g_00940
OG0000546	Prbc.g_01593	Syad.g_00942
OG0000547	Prbc.g_01595	Syad.g_00944
OG0000548	Prbc.g_01596	Syad.g_00945
OG0000549	Prbc.g_01599	Syad.g_00952
OG0000550	Prbc.g_01603	Syad.g_00956
OG0000551	Prbc.g_01606	Syad.g_00960
OG0000552	Prbc.g_01607	Syad.g_00961
OG0000553	Prbc.g_01608	Syad.g_00965
OG0000554	Prbc.g_01613	Syad.g_00978
OG0000555	Prbc.g_01621	Syad.g_00999
OG0000556	Prbc.g_01623	Syad.g_01003
OG0000557	Prbc.g_01624	Syad.g_01011
OG0000558	Prbc.g_01627	Syad.g_01013
