Orthogroup	Prbc	Prbi
OG0000089	Prbc.g_01268	Prbi.g_00380
OG0000090	Prbc.g_01612	Prbi.g_00536
OG0000091	Prbc.g_01719	Prbi.g_00645
OG0000092	Prbc.g_01982	Prbi.g_00956
OG0000093	Prbc.g_01843	Prbi.g_00977
OG0000094	Prbc.g_01935	Prbi.g_01067
OG0000095	Prbc.g_02113	Prbi.g_01086
OG0000096	Prbc.g_01323	Prbi.g_01156, Prbi.g_01352
OG0000097	Prbc.g_01400	Prbi.g_01248
OG0000098	Prbc.g_00585	Prbi.g_01421
OG0000099	Prbc.g_01229	Prbi.g_01462
OG0000100	Prbc.g_00785	Prbi.g_01664
OG0000101	Prbc.g_00284	Prbi.g_01938
OG0000102	Prbc.g_00206	Prbi.g_01999
OG0000103	Prbc.g_01053	Prbi.g_02091
OG0000104	Prbc.g_01065	Prbi.g_02099
OG0000105	Prbc.g_01167	Prbi.g_00298
OG0000106	Prbc.g_00134, Prbc.g_00641	Prbi.g_00394
OG0000107	Prbc.g_00934	Prbi.g_00409
OG0000108	Prbc.g_01540	Prbi.g_00483
OG0000109	Prbc.g_01553	Prbi.g_00497
OG0000110	Prbc.g_01654	Prbi.g_00577
OG0000111	Prbc.g_01781	Prbi.g_00703
OG0000112	Prbc.g_02028	Prbi.g_00811
OG0000113	Prbc.g_01882, Prbc.g_00153	Prbi.g_00869
OG0000114	Prbc.g_01977	Prbi.g_00951
OG0000115	Prbc.g_00801	Prbi.g_01148
OG0000116	Prbc.g_01457	Prbi.g_01197
OG0000117	Prbc.g_00102	Prbi.g_01330
OG0000118	Prbc.g_00577	Prbi.g_01403
OG0000119	Prbc.g_00650	Prbi.g_01435
OG0000120	Prbc.g_01753	Prbi.g_01460
OG0000121	Prbc.g_00711	Prbi.g_01593
OG0000122	Prbc.g_00750	Prbi.g_01630
OG0000123	Prbc.g_00277	Prbi.g_01945
OG0000124	Prbc.g_00193	Prbi.g_02010
OG0000125	Prbc.g_00997	Prbi.g_02059
OG0000126	Prbc.g_01063	Prbi.g_02098
OG0000127	Prbc.g_00002, Prbc.g_00016	Prbi.g_01300, Prbi.g_01549
OG0000128	Prbc.g_01081	Prbi.g_00011
OG0000129	Prbc.g_01122	Prbi.g_00053
OG0000130	Prbc.g_00504	Prbi.g_00076
OG0000131	Prbc.g_00426	Prbi.g_00169
OG0000132	Prbc.g_00407	Prbi.g_00188
OG0000133	Prbc.g_01214	Prbi.g_00346
OG0000134	Prbc.g_01270	Prbi.g_00381
OG0000135	Prbc.g_02198, Prbc.g_02183	Prbi.g_00407
OG0000136	Prbc.g_01502	Prbi.g_00442
OG0000137	Prbc.g_01534	Prbi.g_00478
OG0000138	Prbc.g_01554	Prbi.g_00498
OG0000139	Prbc.g_01616	Prbi.g_00540
OG0000140	Prbc.g_01617	Prbi.g_00541
OG0000141	Prbc.g_01684	Prbi.g_00609
OG0000142	Prbc.g_01712	Prbi.g_00638
OG0000143	Prbc.g_01716	Prbi.g_00642
OG0000144	Prbc.g_01729	Prbi.g_00655
OG0000145	Prbc.g_02142	Prbi.g_00807
OG0000146	Prbc.g_02027	Prbi.g_00812
OG0000147	Prbc.g_02026	Prbi.g_00813
OG0000148	Prbc.g_01876	Prbi.g_00863
OG0000149	Prbc.g_01908	Prbi.g_00894
OG0000150	Prbc.g_01916	Prbi.g_00902
OG0000151	Prbc.g_01988	Prbi.g_00961
OG0000152	Prbc.g_02036	Prbi.g_01009
OG0000153	Prbc.g_02054	Prbi.g_01028
OG0000154	Prbc.g_02083	Prbi.g_01060
OG0000155	Prbc.g_01424	Prbi.g_01227
OG0000156	Prbc.g_00555	Prbi.g_01380
OG0000157	Prbc.g_00556	Prbi.g_01381
OG0000158	Prbc.g_00228	Prbi.g_01489
OG0000160	Prbc.g_00710	Prbi.g_01592
OG0000161	Prbc.g_00716	Prbi.g_01598
OG0000162	Prbc.g_00722	Prbi.g_01604
OG0000163	Prbc.g_00758	Prbi.g_01637
OG0000164	Prbc.g_00854	Prbi.g_01811
OG0000165	Prbc.g_00862	Prbi.g_01818
OG0000166	Prbc.g_00321	Prbi.g_01902
OG0000167	Prbc.g_00238	Prbi.g_01968
OG0000168	Prbc.g_00227	Prbi.g_01978
OG0000169	Prbc.g_00217	Prbi.g_01988
OG0000170	Prbc.g_00215	Prbi.g_01990
OG0000171	Prbc.g_00194	Prbi.g_02009
OG0000172	Prbc.g_00967	Prbi.g_02030
OG0000173	Prbc.g_00982	Prbi.g_02045
OG0000174	Prbc.g_01013	Prbi.g_02073
OG0000175	Prbc.g_01044	Prbi.g_02083
OG0000176	Prbc.g_01074	Prbi.g_00004
OG0000177	Prbc.g_01075	Prbi.g_00005
OG0000178	Prbc.g_01076	Prbi.g_00006
OG0000179	Prbc.g_01086	Prbi.g_00016
OG0000180	Prbc.g_01087	Prbi.g_00017
OG0000181	Prbc.g_01088	Prbi.g_00018
OG0000182	Prbc.g_01089	Prbi.g_00019
OG0000183	Prbc.g_01093	Prbi.g_00023
OG0000184	Prbc.g_01124	Prbi.g_00057
OG0000185	Prbc.g_01127	Prbi.g_00060
OG0000186	Prbc.g_00509	Prbi.g_00071
OG0000187	Prbc.g_00508	Prbi.g_00072
OG0000188	Prbc.g_00491	Prbi.g_00089
OG0000189	Prbc.g_00477	Prbi.g_00103
OG0000190	Prbc.g_00476	Prbi.g_00104
OG0000191	Prbc.g_00453	Prbi.g_00125
OG0000192	Prbc.g_00449	Prbi.g_00129
OG0000193	Prbc.g_00425	Prbi.g_00170
OG0000194	Prbc.g_00422	Prbi.g_00173
OG0000195	Prbc.g_00420	Prbi.g_00175
OG0000196	Prbc.g_00410	Prbi.g_00185
OG0000197	Prbc.g_00409	Prbi.g_00186
OG0000198	Prbc.g_00408	Prbi.g_00187
OG0000199	Prbc.g_00401	Prbi.g_00194
OG0000200	Prbc.g_00388	Prbi.g_00208
OG0000201	Prbc.g_00379	Prbi.g_00216
OG0000202	Prbc.g_00378	Prbi.g_00217
OG0000203	Prbc.g_00377	Prbi.g_00218
OG0000204	Prbc.g_00376	Prbi.g_00219
OG0000205	Prbc.g_00369	Prbi.g_00226
OG0000206	Prbc.g_00365	Prbi.g_00231
OG0000207	Prbc.g_00363	Prbi.g_00233
OG0000208	Prbc.g_00362	Prbi.g_00234
OG0000209	Prbc.g_00352	Prbi.g_00243
OG0000210	Prbc.g_00351	Prbi.g_00244
OG0000211	Prbc.g_00337	Prbi.g_00257
OG0000212	Prbc.g_00329	Prbi.g_00264
OG0000213	Prbc.g_01153	Prbi.g_00281
OG0000214	Prbc.g_01161	Prbi.g_00291
OG0000215	Prbc.g_01185	Prbi.g_00316
OG0000216	Prbc.g_01186	Prbi.g_00318
OG0000217	Prbc.g_01189	Prbi.g_00321
OG0000218	Prbc.g_01191	Prbi.g_00323
OG0000219	Prbc.g_01192	Prbi.g_00324
OG0000220	Prbc.g_01193	Prbi.g_00325
OG0000221	Prbc.g_01194	Prbi.g_00326
OG0000222	Prbc.g_01202	Prbi.g_00334
OG0000223	Prbc.g_01215	Prbi.g_00347
OG0000224	Prbc.g_01217	Prbi.g_00349
OG0000225	Prbc.g_01257	Prbi.g_00370
OG0000226	Prbc.g_01261	Prbi.g_00374
OG0000227	Prbc.g_01263	Prbi.g_00376
OG0000228	Prbc.g_01267	Prbi.g_00379
OG0000229	Prbc.g_01497	Prbi.g_00437
OG0000230	Prbc.g_01499	Prbi.g_00439
OG0000231	Prbc.g_01510	Prbi.g_00450
OG0000232	Prbc.g_01518	Prbi.g_00459
OG0000233	Prbc.g_01526	Prbi.g_00465
OG0000234	Prbc.g_01535	Prbi.g_00479
OG0000235	Prbc.g_01539	Prbi.g_00482
OG0000236	Prbc.g_01552	Prbi.g_00496
OG0000237	Prbc.g_01586	Prbi.g_00509
OG0000238	Prbc.g_01592	Prbi.g_00515
OG0000239	Prbc.g_01604	Prbi.g_00528
OG0000240	Prbc.g_01605	Prbi.g_00529
OG0000241	Prbc.g_01609	Prbi.g_00533
OG0000242	Prbc.g_01611	Prbi.g_00535
OG0000243	Prbc.g_01622	Prbi.g_00546
OG0000244	Prbc.g_01626	Prbi.g_00549
OG0000245	Prbc.g_01628	Prbi.g_00551
OG0000246	Prbc.g_01632	Prbi.g_00555
OG0000247	Prbc.g_01642	Prbi.g_00565
OG0000248	Prbc.g_01644	Prbi.g_00567
OG0000249	Prbc.g_01646	Prbi.g_00569
OG0000250	Prbc.g_01651	Prbi.g_00574
OG0000251	Prbc.g_01667	Prbi.g_00593
OG0000252	Prbc.g_01669	Prbi.g_00596
OG0000253	Prbc.g_01671	Prbi.g_00597
OG0000254	Prbc.g_01688	Prbi.g_00613
OG0000255	Prbc.g_01694	Prbi.g_00619
OG0000256	Prbc.g_01704	Prbi.g_00629
OG0000257	Prbc.g_01707	Prbi.g_00632
OG0000258	Prbc.g_01720	Prbi.g_00646
OG0000259	Prbc.g_01737	Prbi.g_00663
OG0000260	Prbc.g_01740	Prbi.g_00666
OG0000261	Prbc.g_01743	Prbi.g_00668
OG0000262	Prbc.g_01748	Prbi.g_00672
OG0000263	Prbc.g_01762	Prbi.g_00684
OG0000264	Prbc.g_01773	Prbi.g_00694
OG0000265	Prbc.g_01787	Prbi.g_00745
OG0000266	Prbc.g_01797	Prbi.g_00755
OG0000267	Prbc.g_01810	Prbi.g_00766
OG0000268	Prbc.g_01811	Prbi.g_00767
OG0000269	Prbc.g_01853	Prbi.g_00842
OG0000270	Prbc.g_01856	Prbi.g_00845
OG0000271	Prbc.g_01864	Prbi.g_00853
OG0000272	Prbc.g_01865	Prbi.g_00854
OG0000273	Prbc.g_01890	Prbi.g_00877
OG0000274	Prbc.g_01891	Prbi.g_00878
OG0000275	Prbc.g_01893	Prbi.g_00881
OG0000276	Prbc.g_01899	Prbi.g_00886
OG0000277	Prbc.g_01900	Prbi.g_00887
OG0000278	Prbc.g_01904	Prbi.g_00890
OG0000279	Prbc.g_01911	Prbi.g_00897
OG0000280	Prbc.g_00068	Prbi.g_00898
OG0000281	Prbc.g_01917	Prbi.g_00903
OG0000282	Prbc.g_01979	Prbi.g_00953
OG0000283	Prbc.g_02010	Prbi.g_00986
OG0000284	Prbc.g_02015	Prbi.g_00991
OG0000285	Prbc.g_02020	Prbi.g_00996
OG0000286	Prbc.g_02035	Prbi.g_01008
OG0000287	Prbc.g_02190	Prbi.g_01025
OG0000288	Prbc.g_02082	Prbi.g_01059
OG0000289	Prbc.g_02094	Prbi.g_01070
OG0000290	Prbc.g_02110	Prbi.g_01083
OG0000291	Prbc.g_02112	Prbi.g_01085
OG0000292	Prbc.g_00173	Prbi.g_01136
OG0000293	Prbc.g_01456	Prbi.g_01198
OG0000294	Prbc.g_01455	Prbi.g_01199
OG0000295	Prbc.g_01431	Prbi.g_01219
OG0000296	Prbc.g_01429	Prbi.g_01221
OG0000297	Prbc.g_01421	Prbi.g_01229
OG0000298	Prbc.g_01420	Prbi.g_01230
OG0000299	Prbc.g_01401	Prbi.g_01247
OG0000300	Prbc.g_01398	Prbi.g_01250
OG0000301	Prbc.g_01397	Prbi.g_01251
OG0000302	Prbc.g_01395	Prbi.g_01253
OG0000303	Prbc.g_01390	Prbi.g_01260
OG0000304	Prbc.g_01387	Prbi.g_01264
OG0000305	Prbc.g_00810	Prbi.g_01431
OG0000306	Prbc.g_01921	Prbi.g_01434
OG0000307	Prbc.g_00666	Prbi.g_01448
OG0000308	Prbc.g_00667	Prbi.g_01449
OG0000309	Prbc.g_00671	Prbi.g_01453
OG0000310	Prbc.g_00693	Prbi.g_01574
OG0000311	Prbc.g_00695	Prbi.g_01576
OG0000312	Prbc.g_00698	Prbi.g_01579
OG0000313	Prbc.g_00713	Prbi.g_01595
OG0000314	Prbc.g_00734	Prbi.g_01617
OG0000315	Prbc.g_00744	Prbi.g_01627
OG0000316	Prbc.g_00768	Prbi.g_01647
OG0000317	Prbc.g_00830	Prbi.g_01785
OG0000318	Prbc.g_00833	Prbi.g_01788
OG0000319	Prbc.g_00844	Prbi.g_01801
OG0000320	Prbc.g_00846	Prbi.g_01803
OG0000321	Prbc.g_00847	Prbi.g_01804
OG0000322	Prbc.g_00848	Prbi.g_01805
OG0000323	Prbc.g_00857	Prbi.g_01814
OG0000324	Prbc.g_00884	Prbi.g_01840
OG0000325	Prbc.g_00935	Prbi.g_01849
OG0000326	Prbc.g_00941	Prbi.g_01855
OG0000327	Prbc.g_00326	Prbi.g_01897
OG0000328	Prbc.g_00325	Prbi.g_01898
OG0000329	Prbc.g_00308	Prbi.g_01915
OG0000330	Prbc.g_00307	Prbi.g_01916
OG0000331	Prbc.g_00306	Prbi.g_01917
OG0000332	Prbc.g_00292	Prbi.g_01931
OG0000333	Prbc.g_00290	Prbi.g_01933
OG0000334	Prbc.g_00281	Prbi.g_01941
OG0000335	Prbc.g_00276	Prbi.g_01946
OG0000336	Prbc.g_00272	Prbi.g_01950
OG0000337	Prbc.g_00241	Prbi.g_01966
OG0000338	Prbc.g_00240	Prbi.g_01967
OG0000339	Prbc.g_00235	Prbi.g_01971
OG0000340	Prbc.g_00226	Prbi.g_01979
OG0000341	Prbc.g_00224	Prbi.g_01981
OG0000342	Prbc.g_00223	Prbi.g_01982
OG0000343	Prbc.g_00222	Prbi.g_01983
OG0000344	Prbc.g_00219	Prbi.g_01986
OG0000345	Prbc.g_00214	Prbi.g_01991
OG0000346	Prbc.g_00210	Prbi.g_01995
OG0000347	Prbc.g_00190	Prbi.g_02011
OG0000348	Prbc.g_00970	Prbi.g_02033
OG0000349	Prbc.g_00988	Prbi.g_02050
OG0000350	Prbc.g_01009	Prbi.g_02069
OG0000351	Prbc.g_01047	Prbi.g_02086
OG0000352	Prbc.g_01048	Prbi.g_02087
OG0000353	Prbc.g_01068	Prbi.g_02102
OG0000355	Prbc.g_01071	Prbi.g_00001
OG0000356	Prbc.g_01072	Prbi.g_00002
OG0000357	Prbc.g_01073	Prbi.g_00003
OG0000358	Prbc.g_01077	Prbi.g_00007
OG0000359	Prbc.g_01078	Prbi.g_00008
OG0000360	Prbc.g_01079	Prbi.g_00009
OG0000361	Prbc.g_01080	Prbi.g_00010
OG0000362	Prbc.g_01082	Prbi.g_00012
OG0000363	Prbc.g_01084	Prbi.g_00014
OG0000364	Prbc.g_01085	Prbi.g_00015
OG0000365	Prbc.g_01090	Prbi.g_00020
OG0000366	Prbc.g_01091	Prbi.g_00021
OG0000367	Prbc.g_01092	Prbi.g_00022
OG0000368	Prbc.g_01094	Prbi.g_00024
OG0000369	Prbc.g_01095	Prbi.g_00025
OG0000370	Prbc.g_01096	Prbi.g_00026
OG0000371	Prbc.g_01102	Prbi.g_00032
OG0000372	Prbc.g_01104	Prbi.g_00035
OG0000373	Prbc.g_01105	Prbi.g_00036
OG0000374	Prbc.g_01106	Prbi.g_00037
OG0000375	Prbc.g_01118	Prbi.g_00049
OG0000376	Prbc.g_01120	Prbi.g_00051
OG0000377	Prbc.g_01123	Prbi.g_00056
OG0000378	Prbc.g_01125	Prbi.g_00058
OG0000379	Prbc.g_01128	Prbi.g_00061
OG0000380	Prbc.g_00507	Prbi.g_00073
OG0000381	Prbc.g_00503	Prbi.g_00077
OG0000382	Prbc.g_00492	Prbi.g_00088
OG0000383	Prbc.g_00490	Prbi.g_00090
OG0000384	Prbc.g_00489	Prbi.g_00091
OG0000385	Prbc.g_00488	Prbi.g_00092
OG0000386	Prbc.g_00487	Prbi.g_00093
OG0000387	Prbc.g_00474	Prbi.g_00106
OG0000388	Prbc.g_00470	Prbi.g_00109
OG0000389	Prbc.g_00467	Prbi.g_00113
OG0000390	Prbc.g_00458	Prbi.g_00120
OG0000391	Prbc.g_00454	Prbi.g_00124
OG0000392	Prbc.g_00451	Prbi.g_00128
OG0000393	Prbc.g_00448	Prbi.g_00130
OG0000394	Prbc.g_00447	Prbi.g_00131
OG0000395	Prbc.g_00446	Prbi.g_00132
OG0000396	Prbc.g_00443	Prbi.g_00135
OG0000397	Prbc.g_00441	Prbi.g_00137
OG0000398	Prbc.g_00438	Prbi.g_00139
OG0000399	Prbc.g_00437	Prbi.g_00140
OG0000400	Prbc.g_00436	Prbi.g_00141
OG0000401	Prbc.g_00435	Prbi.g_00142
OG0000402	Prbc.g_02145	Prbi.g_00144
OG0000403	Prbc.g_00434	Prbi.g_00145
OG0000404	Prbc.g_00433	Prbi.g_00146
OG0000405	Prbc.g_00428	Prbi.g_00150
OG0000406	Prbc.g_00424	Prbi.g_00171
OG0000407	Prbc.g_00423	Prbi.g_00172
OG0000408	Prbc.g_00421	Prbi.g_00174
OG0000409	Prbc.g_00419	Prbi.g_00176
OG0000410	Prbc.g_00418	Prbi.g_00177
OG0000411	Prbc.g_00417	Prbi.g_00178
OG0000412	Prbc.g_00416	Prbi.g_00179
OG0000413	Prbc.g_00415	Prbi.g_00180
OG0000414	Prbc.g_00414	Prbi.g_00181
OG0000415	Prbc.g_00413	Prbi.g_00182
OG0000416	Prbc.g_00412	Prbi.g_00183
OG0000417	Prbc.g_00411	Prbi.g_00184
OG0000418	Prbc.g_00406	Prbi.g_00189
OG0000419	Prbc.g_00404	Prbi.g_00191
OG0000420	Prbc.g_00403	Prbi.g_00192
OG0000421	Prbc.g_00399	Prbi.g_00197
OG0000422	Prbc.g_00398	Prbi.g_00198
OG0000423	Prbc.g_00397	Prbi.g_00199
OG0000424	Prbc.g_00396	Prbi.g_00200
OG0000425	Prbc.g_00395	Prbi.g_00201
OG0000426	Prbc.g_00394	Prbi.g_00202
OG0000427	Prbc.g_00393	Prbi.g_00203
OG0000428	Prbc.g_00391	Prbi.g_00205
OG0000429	Prbc.g_00390	Prbi.g_00206
OG0000430	Prbc.g_00389	Prbi.g_00207
OG0000431	Prbc.g_00387	Prbi.g_00209
OG0000432	Prbc.g_00383	Prbi.g_00212
OG0000433	Prbc.g_00382	Prbi.g_00213
OG0000434	Prbc.g_00381	Prbi.g_00214
OG0000435	Prbc.g_00380	Prbi.g_00215
OG0000436	Prbc.g_00375	Prbi.g_00220
OG0000437	Prbc.g_00374	Prbi.g_00221
OG0000438	Prbc.g_00373	Prbi.g_00222
OG0000439	Prbc.g_00371	Prbi.g_00224
OG0000440	Prbc.g_00370	Prbi.g_00225
OG0000441	Prbc.g_00368	Prbi.g_00228
OG0000442	Prbc.g_00367	Prbi.g_00229
OG0000443	Prbc.g_00366	Prbi.g_00230
OG0000444	Prbc.g_00361	Prbi.g_00235
OG0000445	Prbc.g_00360	Prbi.g_00236
OG0000446	Prbc.g_00358	Prbi.g_00237
OG0000447	Prbc.g_00357	Prbi.g_00238
OG0000448	Prbc.g_00356	Prbi.g_00239
OG0000449	Prbc.g_00355	Prbi.g_00240
OG0000450	Prbc.g_00354	Prbi.g_00241
OG0000451	Prbc.g_00353	Prbi.g_00242
OG0000452	Prbc.g_00350	Prbi.g_00245
OG0000453	Prbc.g_00349	Prbi.g_00246
OG0000454	Prbc.g_00348	Prbi.g_00247
OG0000455	Prbc.g_00347	Prbi.g_00248
OG0000456	Prbc.g_00346	Prbi.g_00249
OG0000457	Prbc.g_00345	Prbi.g_00250
OG0000458	Prbc.g_00344	Prbi.g_00251
OG0000459	Prbc.g_00343	Prbi.g_00252
OG0000460	Prbc.g_00335	Prbi.g_00259
OG0000461	Prbc.g_01140	Prbi.g_00266
OG0000462	Prbc.g_01142	Prbi.g_00268
OG0000463	Prbc.g_01143	Prbi.g_00269
OG0000464	Prbc.g_01144	Prbi.g_00270
OG0000465	Prbc.g_01145	Prbi.g_00271
OG0000466	Prbc.g_01146	Prbi.g_00274
OG0000467	Prbc.g_01147	Prbi.g_00275
OG0000468	Prbc.g_01149	Prbi.g_00277
OG0000469	Prbc.g_01156	Prbi.g_00286
OG0000470	Prbc.g_01158	Prbi.g_00288
OG0000471	Prbc.g_01159	Prbi.g_00289
OG0000472	Prbc.g_01160	Prbi.g_00290
OG0000473	Prbc.g_01162	Prbi.g_00292
OG0000474	Prbc.g_01163	Prbi.g_00293
OG0000475	Prbc.g_01164	Prbi.g_00294
OG0000476	Prbc.g_01166	Prbi.g_00295
OG0000477	Prbc.g_01168	Prbi.g_00299
OG0000478	Prbc.g_01169	Prbi.g_00300
OG0000479	Prbc.g_01170	Prbi.g_00301
OG0000480	Prbc.g_01175	Prbi.g_00306
OG0000481	Prbc.g_01177	Prbi.g_00308
OG0000482	Prbc.g_01178	Prbi.g_00309
OG0000483	Prbc.g_01181	Prbi.g_00312
OG0000484	Prbc.g_01182	Prbi.g_00313
OG0000485	Prbc.g_01183	Prbi.g_00314
OG0000486	Prbc.g_01184	Prbi.g_00315
OG0000487	Prbc.g_01187	Prbi.g_00319
OG0000488	Prbc.g_01190	Prbi.g_00322
OG0000489	Prbc.g_01195	Prbi.g_00327
OG0000490	Prbc.g_01200	Prbi.g_00332
OG0000491	Prbc.g_01201	Prbi.g_00333
OG0000492	Prbc.g_01203	Prbi.g_00335
OG0000493	Prbc.g_01204	Prbi.g_00336
OG0000494	Prbc.g_01205	Prbi.g_00337
OG0000495	Prbc.g_01206	Prbi.g_00338
OG0000496	Prbc.g_01207	Prbi.g_00339
OG0000497	Prbc.g_01208	Prbi.g_00340
OG0000498	Prbc.g_01209	Prbi.g_00341
OG0000499	Prbc.g_01210	Prbi.g_00342
OG0000500	Prbc.g_01211	Prbi.g_00343
OG0000501	Prbc.g_01213	Prbi.g_00345
OG0000502	Prbc.g_01216	Prbi.g_00348
OG0000503	Prbc.g_01246	Prbi.g_00358
OG0000504	Prbc.g_01248	Prbi.g_00359
OG0000505	Prbc.g_01249	Prbi.g_00360
OG0000506	Prbc.g_01250	Prbi.g_00362
OG0000507	Prbc.g_01253	Prbi.g_00365
OG0000508	Prbc.g_01256	Prbi.g_00369
OG0000509	Prbc.g_01258	Prbi.g_00371
OG0000510	Prbc.g_01259	Prbi.g_00372
OG0000511	Prbc.g_01260	Prbi.g_00373
OG0000512	Prbc.g_01262	Prbi.g_00375
OG0000513	Prbc.g_01271	Prbi.g_00382
OG0000514	Prbc.g_01492	Prbi.g_00432
OG0000515	Prbc.g_01493	Prbi.g_00433
OG0000516	Prbc.g_01494	Prbi.g_00434
OG0000517	Prbc.g_01496	Prbi.g_00436
OG0000518	Prbc.g_01507	Prbi.g_00447
OG0000519	Prbc.g_01508	Prbi.g_00448
