Orthogroup	Syam	Prac
OG0000138	Syam.g_00599	Prac.g_01049
OG0000139	Syam.g_00657	Prac.g_00835
OG0000140	Syam.g_00659	Prac.g_00834
OG0000141	Syam.g_01514	Prac.g_00764
OG0000142	Syam.g_01468	Prac.g_00736
OG0000143	Syam.g_01464	Prac.g_00732
OG0000144	Syam.g_01032	Prac.g_00719
OG0000145	Syam.g_00605	Prac.g_01508
OG0000146	Syam.g_01114	Prac.g_01506
OG0000147	Syam.g_01113	Prac.g_01505
OG0000148	Syam.g_01270	Prac.g_01459
OG0000149	Syam.g_00725	Prac.g_01429
OG0000150	Syam.g_00660	Prac.g_01421
OG0000151	Syam.g_01338	Prac.g_01374
OG0000152	Syam.g_01124	Prac.g_01327
OG0000153	Syam.g_01160	Prac.g_01308
OG0000154	Syam.g_01187	Prac.g_01282
OG0000155	Syam.g_01763	Prac.g_00965
OG0000156	Syam.g_01814	Prac.g_00164
OG0000157	Syam.g_01815	Prac.g_00165
OG0000158	Syam.g_00139	Prac.g_00447
OG0000160	Syam.g_01614	Prac.g_00410
OG0000161	Syam.g_01620	Prac.g_00404
OG0000162	Syam.g_01627	Prac.g_00398
OG0000163	Syam.g_01927	Prac.g_00364
OG0000164	Syam.g_02023	Prac.g_00601
OG0000165	Syam.g_01879, Syam.g_01878	Prac.g_00594
OG0000166	Syam.g_00330	Prac.g_00512
OG0000167	Syam.g_00151	Prac.g_00015
OG0000168	Syam.g_00138	Prac.g_00025
OG0000169	Syam.g_00127	Prac.g_00035
OG0000170	Syam.g_00120	Prac.g_00037
OG0000171	Syam.g_00097	Prac.g_00055
OG0000172	Syam.g_00075	Prac.g_00063
OG0000173	Syam.g_00057	Prac.g_00078
OG0000174	Syam.g_02349	Prac.g_00105
OG0000175	Syam.g_02417	Prac.g_00115
OG0000176	Syam.g_00004	Prac.g_01943
OG0000177	Syam.g_00005	Prac.g_01942
OG0000178	Syam.g_00006	Prac.g_01941
OG0000179	Syam.g_00021	Prac.g_01931
OG0000180	Syam.g_00022	Prac.g_01930
OG0000181	Syam.g_00023	Prac.g_01929
OG0000182	Syam.g_00024	Prac.g_01928
OG0000183	Syam.g_00028	Prac.g_01924
OG0000184	Syam.g_02298	Prac.g_01885
OG0000185	Syam.g_02295	Prac.g_01882
OG0000186	Syam.g_02058	Prac.g_01867
OG0000187	Syam.g_02059	Prac.g_01866
OG0000188	Syam.g_02081	Prac.g_01849
OG0000189	Syam.g_02108	Prac.g_01835
OG0000190	Syam.g_02110	Prac.g_01834
OG0000191	Syam.g_02142	Prac.g_01814
OG0000192	Syam.g_02148	Prac.g_01810
OG0000193	Syam.g_02192	Prac.g_01784
OG0000194	Syam.g_02195	Prac.g_01781
OG0000195	Syam.g_02197	Prac.g_01779
OG0000196	Syam.g_02208	Prac.g_01769
OG0000197	Syam.g_02209	Prac.g_01768
OG0000198	Syam.g_02210	Prac.g_01767
OG0000199	Syam.g_02218	Prac.g_01760
OG0000200	Syam.g_02234	Prac.g_01746
OG0000202	Syam.g_02249	Prac.g_01737
OG0000203	Syam.g_02250	Prac.g_01736
OG0000204	Syam.g_02251	Prac.g_01735
OG0000205	Syam.g_02258	Prac.g_01728
OG0000206	Syam.g_02264	Prac.g_01723
OG0000207	Syam.g_02266	Prac.g_01721
OG0000208	Syam.g_02267	Prac.g_01720
OG0000209	Syam.g_02278	Prac.g_01711
OG0000210	Syam.g_02279	Prac.g_01710
OG0000212	Syam.g_00515	Prac.g_01690
OG0000213	Syam.g_00263	Prac.g_01674
OG0000214	Syam.g_00247	Prac.g_01664
OG0000215	Syam.g_00216	Prac.g_01639
OG0000216	Syam.g_00212	Prac.g_01637
OG0000217	Syam.g_00208	Prac.g_01634
OG0000218	Syam.g_00206	Prac.g_01632
OG0000219	Syam.g_00205	Prac.g_01631
OG0000220	Syam.g_00204	Prac.g_01630
OG0000221	Syam.g_00198	Prac.g_01629
OG0000222	Syam.g_00186	Prac.g_01621
OG0000223	Syam.g_00168	Prac.g_01608
OG0000224	Syam.g_00164	Prac.g_01606
OG0000225	Syam.g_00473	Prac.g_01188
OG0000226	Syam.g_00477	Prac.g_01184
OG0000227	Syam.g_00479	Prac.g_01182
OG0000228	Syam.g_00488	Prac.g_01179
OG0000229	Syam.g_01867	Prac.g_01111
OG0000230	Syam.g_01865	Prac.g_01109
OG0000231	Syam.g_01848	Prac.g_01098
OG0000232	Syam.g_01692	Prac.g_01089
OG0000233	Syam.g_01678	Prac.g_01082
OG0000234	Syam.g_01667	Prac.g_01068
OG0000235	Syam.g_00582	Prac.g_01065
OG0000236	Syam.g_00597	Prac.g_01051
OG0000237	Syam.g_00614	Prac.g_00865
OG0000238	Syam.g_00619	Prac.g_00859
OG0000239	Syam.g_00637	Prac.g_00847
OG0000240	Syam.g_00638	Prac.g_00846
OG0000241	Syam.g_01477	Prac.g_00842
OG0000242	Syam.g_00649	Prac.g_00840
OG0000243	Syam.g_00668	Prac.g_00829
OG0000244	Syam.g_00674	Prac.g_00826
OG0000245	Syam.g_00676	Prac.g_00824
OG0000246	Syam.g_00680	Prac.g_00820
OG0000247	Syam.g_00692	Prac.g_00810
OG0000248	Syam.g_00695	Prac.g_00808
OG0000249	Syam.g_00697	Prac.g_00806
OG0000250	Syam.g_01747	Prac.g_00801
OG0000251	Syam.g_01722	Prac.g_00782
OG0000252	Syam.g_01719	Prac.g_00778
OG0000253	Syam.g_01718	Prac.g_00777
OG0000254	Syam.g_01510	Prac.g_00760
OG0000255	Syam.g_01500	Prac.g_00754
OG0000256	Syam.g_01484	Prac.g_00744
OG0000257	Syam.g_01478	Prac.g_00741
OG0000258	Syam.g_01459	Prac.g_00728
OG0000259	Syam.g_01378	Prac.g_00711
OG0000260	Syam.g_01375	Prac.g_00708
OG0000261	Syam.g_01372	Prac.g_00706
OG0000262	Syam.g_01367	Prac.g_00702
OG0000263	Syam.g_00885	Prac.g_00690
OG0000264	Syam.g_00805	Prac.g_00680
OG0000265	Syam.g_01880	Prac.g_01560
OG0000266	Syam.g_01234	Prac.g_01550
OG0000267	Syam.g_01071	Prac.g_01539
OG0000268	Syam.g_01072	Prac.g_01538
OG0000269	Syam.g_01295	Prac.g_01480
OG0000270	Syam.g_01292	Prac.g_01477
OG0000271	Syam.g_01284	Prac.g_01469
OG0000272	Syam.g_01283	Prac.g_01468
OG0000273	Syam.g_00745	Prac.g_01445
OG0000274	Syam.g_00744	Prac.g_01444
OG0000275	Syam.g_00741	Prac.g_01442
OG0000276	Syam.g_00733	Prac.g_01437
OG0000277	Syam.g_00732	Prac.g_01436
OG0000278	Syam.g_00729	Prac.g_01433
OG0000279	Syam.g_00721	Prac.g_01426
OG0000280	Syam.g_00701	Prac.g_01425
OG0000281	Syam.g_00943	Prac.g_01420
OG0000282	Syam.g_01347	Prac.g_01382
OG0000283	Syam.g_01087	Prac.g_01350
OG0000284	Syam.g_01093	Prac.g_01345
OG0000285	Syam.g_01105	Prac.g_01340
OG0000286	Syam.g_01123	Prac.g_01328
OG0000288	Syam.g_01186	Prac.g_01283
OG0000289	Syam.g_01201	Prac.g_01272
OG0000290	Syam.g_00771	Prac.g_01259
OG0000291	Syam.g_00773	Prac.g_01257
OG0000292	Syam.g_02439	Prac.g_01207
OG0000293	Syam.g_01806	Prac.g_00994
OG0000294	Syam.g_01805	Prac.g_00993
OG0000295	Syam.g_01771	Prac.g_00973
OG0000296	Syam.g_01769	Prac.g_00971
OG0000297	Syam.g_00906	Prac.g_00963
OG0000298	Syam.g_00905	Prac.g_00962
OG0000299	Syam.g_00878	Prac.g_00945
OG0000300	Syam.g_00871	Prac.g_00942
OG0000301	Syam.g_00870	Prac.g_00941
OG0000302	Syam.g_00868	Prac.g_00939
OG0000303	Syam.g_00859	Prac.g_00932
OG0000304	Syam.g_00853	Prac.g_00928
OG0000305	Syam.g_00776	Prac.g_00209
OG0000306	Syam.g_01757	Prac.g_00212
OG0000307	Syam.g_00566	Prac.g_00226
OG0000308	Syam.g_00564	Prac.g_00227
OG0000309	Syam.g_00559	Prac.g_00231
OG0000310	Syam.g_01591	Prac.g_00426
OG0000311	Syam.g_01595	Prac.g_00424
OG0000312	Syam.g_01601	Prac.g_00421
OG0000313	Syam.g_01617	Prac.g_00407
OG0000314	Syam.g_01647	Prac.g_00384
OG0000315	Syam.g_01658	Prac.g_00374
OG0000316	Syam.g_01945	Prac.g_00354
OG0000317	Syam.g_01987	Prac.g_00627
OG0000318	Syam.g_01991	Prac.g_00624
OG0000319	Syam.g_02006	Prac.g_00611
OG0000320	Syam.g_02008	Prac.g_00609
OG0000321	Syam.g_02009	Prac.g_00608
OG0000322	Syam.g_02010	Prac.g_00607
OG0000323	Syam.g_02025	Prac.g_00598
OG0000324	Syam.g_01906	Prac.g_00572
OG0000325	Syam.g_00289	Prac.g_00477
OG0000326	Syam.g_00296	Prac.g_00483
OG0000327	Syam.g_00325	Prac.g_00507
OG0000328	Syam.g_00326	Prac.g_00508
OG0000329	Syam.g_00344	Prac.g_00525
OG0000330	Syam.g_00345	Prac.g_00526
OG0000331	Syam.g_00346	Prac.g_00527
OG0000332	Syam.g_00361	Prac.g_00541
OG0000333	Syam.g_00364	Prac.g_00543
OG0000334	Syam.g_00375	Prac.g_00551
OG0000335	Syam.g_00380	Prac.g_00555
OG0000336	Syam.g_00384	Prac.g_00559
OG0000337	Syam.g_00155	Prac.g_00013
OG0000338	Syam.g_00153	Prac.g_00014
OG0000339	Syam.g_00147	Prac.g_00018
OG0000340	Syam.g_00137	Prac.g_00026
OG0000341	Syam.g_00135	Prac.g_00028
OG0000342	Syam.g_00134	Prac.g_00029
OG0000343	Syam.g_00133	Prac.g_00030
OG0000344	Syam.g_00129	Prac.g_00033
OG0000345	Syam.g_00119	Prac.g_00038
OG0000346	Syam.g_00114	Prac.g_00042
OG0000347	Syam.g_00083	Prac.g_00057
OG0000348	Syam.g_00068	Prac.g_00066
OG0000349	Syam.g_00050	Prac.g_00083
OG0000350	Syam.g_00303	Prac.g_00101
OG0000351	Syam.g_02420	Prac.g_00118
OG0000352	Syam.g_02421	Prac.g_00119
OG0000353	Syam.g_02445	Prac.g_01948
OG0000355	Syam.g_00001	Prac.g_01946
OG0000356	Syam.g_00002	Prac.g_01945
OG0000357	Syam.g_00003	Prac.g_01944
OG0000358	Syam.g_00007	Prac.g_01940
OG0000359	Syam.g_00009	Prac.g_01939
OG0000360	Syam.g_00010	Prac.g_01938
OG0000361	Syam.g_00011	Prac.g_01937
OG0000362	Syam.g_00013	Prac.g_01935
OG0000363	Syam.g_00015	Prac.g_01933
OG0000364	Syam.g_00016	Prac.g_01932
OG0000365	Syam.g_00025	Prac.g_01927
OG0000366	Syam.g_00026	Prac.g_01926
OG0000367	Syam.g_00027	Prac.g_01925
OG0000368	Syam.g_00029	Prac.g_01923
OG0000369	Syam.g_00030	Prac.g_01922
OG0000370	Syam.g_00031	Prac.g_01921
OG0000371	Syam.g_00038	Prac.g_01915
OG0000372	Syam.g_00043	Prac.g_01911
OG0000373	Syam.g_00044	Prac.g_01910
OG0000374	Syam.g_00045	Prac.g_01909
OG0000375	Syam.g_00046	Prac.g_01892
OG0000376	Syam.g_00048	Prac.g_01890
OG0000377	Syam.g_02306	Prac.g_01886
OG0000378	Syam.g_02297	Prac.g_01884
OG0000379	Syam.g_02294	Prac.g_01881
OG0000380	Syam.g_02060	Prac.g_01865
OG0000381	Syam.g_02063	Prac.g_01861
OG0000382	Syam.g_02080	Prac.g_01850
OG0000383	Syam.g_02083	Prac.g_01848
OG0000384	Syam.g_02084	Prac.g_01847
OG0000385	Syam.g_02085	Prac.g_01846
OG0000386	Syam.g_02086	Prac.g_01845
OG0000387	Syam.g_02112	Prac.g_01832
OG0000388	Syam.g_02116	Prac.g_01829
OG0000389	Syam.g_02120	Prac.g_01825
OG0000390	Syam.g_02136	Prac.g_01818
OG0000391	Syam.g_02141	Prac.g_01815
OG0000392	Syam.g_02147	Prac.g_01811
OG0000393	Syam.g_02149	Prac.g_01809
OG0000394	Syam.g_02150	Prac.g_01808
OG0000395	Syam.g_02151	Prac.g_01807
OG0000396	Syam.g_02153	Prac.g_01804
OG0000397	Syam.g_02160	Prac.g_01802
OG0000398	Syam.g_02165	Prac.g_01800
OG0000399	Syam.g_02166	Prac.g_01799
OG0000400	Syam.g_02167	Prac.g_01798
OG0000401	Syam.g_02168	Prac.g_01797
OG0000402	Syam.g_02171	Prac.g_01795
OG0000403	Syam.g_02172	Prac.g_01794
OG0000404	Syam.g_02173	Prac.g_01793
OG0000405	Syam.g_02189	Prac.g_01789
OG0000406	Syam.g_02193	Prac.g_01783
OG0000407	Syam.g_02194	Prac.g_01782
OG0000408	Syam.g_02196	Prac.g_01780
OG0000409	Syam.g_02198	Prac.g_01778
OG0000410	Syam.g_02199	Prac.g_01777
OG0000411	Syam.g_02200	Prac.g_01776
OG0000412	Syam.g_02201	Prac.g_01775
OG0000413	Syam.g_02203	Prac.g_01774
OG0000414	Syam.g_02204	Prac.g_01590, Prac.g_01773
OG0000415	Syam.g_02205	Prac.g_01772
OG0000416	Syam.g_02206	Prac.g_01771
OG0000417	Syam.g_02207	Prac.g_01770
OG0000418	Syam.g_02212	Prac.g_01765
OG0000419	Syam.g_02214	Prac.g_01763
OG0000420	Syam.g_02216	Prac.g_01762
OG0000421	Syam.g_02221	Prac.g_01757
OG0000422	Syam.g_02222	Prac.g_01756
OG0000423	Syam.g_02223	Prac.g_01755
OG0000424	Syam.g_02224	Prac.g_01754
OG0000425	Syam.g_02225	Prac.g_01753
OG0000426	Syam.g_02226	Prac.g_01752
OG0000427	Syam.g_02227	Prac.g_01751
OG0000428	Syam.g_02230	Prac.g_01749
OG0000429	Syam.g_02232	Prac.g_01748
OG0000430	Syam.g_02233	Prac.g_01747
OG0000431	Syam.g_02237	Prac.g_01745
OG0000432	Syam.g_02243	Prac.g_01742
OG0000433	Syam.g_02244	Prac.g_01741
OG0000434	Syam.g_02245	Prac.g_01740
OG0000435	Syam.g_02246	Prac.g_01739
OG0000436	Syam.g_02252	Prac.g_01734
OG0000437	Syam.g_02253	Prac.g_01733
OG0000438	Syam.g_02254	Prac.g_01732
OG0000439	Syam.g_02256	Prac.g_01730
OG0000440	Syam.g_02257	Prac.g_01729
OG0000441	Syam.g_02261	Prac.g_01726
OG0000442	Syam.g_02262	Prac.g_01725
OG0000443	Syam.g_02263	Prac.g_01724
OG0000444	Syam.g_02268	Prac.g_01719
OG0000445	Syam.g_02269	Prac.g_01718
OG0000446	Syam.g_02270	Prac.g_01717
OG0000447	Syam.g_02272	Prac.g_01716
OG0000448	Syam.g_02273	Prac.g_01715
OG0000449	Syam.g_02274	Prac.g_01714
OG0000450	Syam.g_02275	Prac.g_01713
OG0000451	Syam.g_02276	Prac.g_01712
OG0000452	Syam.g_02280	Prac.g_01709
OG0000453	Syam.g_02281	Prac.g_01708
OG0000454	Syam.g_02282	Prac.g_01707
OG0000455	Syam.g_02283	Prac.g_01706
OG0000456	Syam.g_02284	Prac.g_01705
OG0000457	Syam.g_02286	Prac.g_01704
OG0000458	Syam.g_02287	Prac.g_01703
OG0000459	Syam.g_02288	Prac.g_01702
OG0000460	Syam.g_00506	Prac.g_01695
OG0000461	Syam.g_00284	Prac.g_01688
OG0000462	Syam.g_00281	Prac.g_01686
OG0000463	Syam.g_00280	Prac.g_01685
OG0000464	Syam.g_00279	Prac.g_01684
OG0000465	Syam.g_00277	Prac.g_01683
OG0000466	Syam.g_00273	Prac.g_01680
OG0000467	Syam.g_00271	Prac.g_01679
OG0000468	Syam.g_00266	Prac.g_01678
OG0000469	Syam.g_00253	Prac.g_01669
OG0000470	Syam.g_00251	Prac.g_01667
OG0000471	Syam.g_00250	Prac.g_01666
OG0000472	Syam.g_00248	Prac.g_01665
OG0000473	Syam.g_00246	Prac.g_01663
OG0000474	Syam.g_00245	Prac.g_01662
OG0000475	Syam.g_00244	Prac.g_01661
OG0000476	Syam.g_00242	Prac.g_01660
OG0000477	Syam.g_00236	Prac.g_01656
OG0000478	Syam.g_00235	Prac.g_01655
OG0000479	Syam.g_00234	Prac.g_01654
OG0000480	Syam.g_00227	Prac.g_01649
OG0000481	Syam.g_00225	Prac.g_01647
OG0000482	Syam.g_00224	Prac.g_01646
OG0000483	Syam.g_00220	Prac.g_01643
OG0000484	Syam.g_00219	Prac.g_01642
OG0000485	Syam.g_00218	Prac.g_01641
OG0000486	Syam.g_00217	Prac.g_01640
OG0000487	Syam.g_00211	Prac.g_01636
OG0000488	Syam.g_00207	Prac.g_01633
OG0000489	Syam.g_00197	Prac.g_01628
OG0000490	Syam.g_00189	Prac.g_01623
OG0000491	Syam.g_00187	Prac.g_01622
OG0000492	Syam.g_00185	Prac.g_01620
OG0000493	Syam.g_00184	Prac.g_01619
OG0000494	Syam.g_00183	Prac.g_01618
OG0000495	Syam.g_00182	Prac.g_01617
OG0000496	Syam.g_00181	Prac.g_01616
OG0000497	Syam.g_00180	Prac.g_01615
OG0000498	Syam.g_00179	Prac.g_01614
OG0000499	Syam.g_00178	Prac.g_01613
OG0000500	Syam.g_00177	Prac.g_01612
OG0000501	Syam.g_00174	Prac.g_01610
OG0000502	Syam.g_00165	Prac.g_01607
OG0000503	Syam.g_00457	Prac.g_01200
OG0000504	Syam.g_00459	Prac.g_01199
OG0000505	Syam.g_00460	Prac.g_01198
OG0000506	Syam.g_00462	Prac.g_01196
OG0000507	Syam.g_00468	Prac.g_01193
OG0000508	Syam.g_00472	Prac.g_01189
OG0000509	Syam.g_00474	Prac.g_01187
OG0000510	Syam.g_00475	Prac.g_01186
OG0000511	Syam.g_00476	Prac.g_01185
OG0000512	Syam.g_00478	Prac.g_01183
OG0000513	Syam.g_00493	Prac.g_01176
OG0000514	Syam.g_00499	Prac.g_01116
OG0000515	Syam.g_00500	Prac.g_01115
OG0000516	Syam.g_01862	Prac.g_01114
OG0000517	Syam.g_01868	Prac.g_01112
OG0000518	Syam.g_01851	Prac.g_01101
OG0000519	Syam.g_01850	Prac.g_01100
OG0000520	Syam.g_01849	Prac.g_01099
OG0000521	Syam.g_01696	Prac.g_01094
OG0000522	Syam.g_01694	Prac.g_01092
OG0000523	Syam.g_01693	Prac.g_01091
OG0000524	Syam.g_01681	Prac.g_01084
OG0000525	Syam.g_01677	Prac.g_01081
OG0000526	Syam.g_01674	Prac.g_01080
OG0000527	Syam.g_01670	Prac.g_01071
OG0000528	Syam.g_00580	Prac.g_01066
OG0000529	Syam.g_00584	Prac.g_01063
OG0000530	Syam.g_00587	Prac.g_01060
OG0000531	Syam.g_00588	Prac.g_01059
OG0000532	Syam.g_00591	Prac.g_01057
OG0000533	Syam.g_00592	Prac.g_01056
OG0000534	Syam.g_00593	Prac.g_01055
OG0000535	Syam.g_00594	Prac.g_01054
OG0000536	Syam.g_00595	Prac.g_01053
OG0000537	Syam.g_00596	Prac.g_01052
OG0000538	Syam.g_00607	Prac.g_00871
OG0000539	Syam.g_00608	Prac.g_00870
OG0000540	Syam.g_00609	Prac.g_00869
OG0000541	Syam.g_00610	Prac.g_00868
OG0000542	Syam.g_00613	Prac.g_00866
OG0000543	Syam.g_00615	Prac.g_00864
OG0000544	Syam.g_00616	Prac.g_00863
OG0000545	Syam.g_00618	Prac.g_00861
OG0000546	Syam.g_00620	Prac.g_00858
OG0000547	Syam.g_00622	Prac.g_00857
OG0000548	Syam.g_00623	Prac.g_00856
OG0000549	Syam.g_00630	Prac.g_00854
OG0000550	Syam.g_00635	Prac.g_00849
OG0000551	Syam.g_00640	Prac.g_00845
OG0000552	Syam.g_00641	Prac.g_00844
OG0000553	Syam.g_00643	Prac.g_00843
OG0000554	Syam.g_00652	Prac.g_00838
OG0000555	Syam.g_00667	Prac.g_00830
OG0000556	Syam.g_00670	Prac.g_00828
OG0000557	Syam.g_00672	Prac.g_00827
OG0000558	Syam.g_00675	Prac.g_00825
OG0000559	Syam.g_00679	Prac.g_00821
OG0000560	Syam.g_00682	Prac.g_00818
OG0000561	Syam.g_00683	Prac.g_00817
OG0000562	Syam.g_00684	Prac.g_00816
OG0000563	Syam.g_00685	Prac.g_00815
OG0000564	Syam.g_00686	Prac.g_00814
OG0000565	Syam.g_00690	Prac.g_00811
OG0000566	Syam.g_00694	Prac.g_00809
OG0000567	Syam.g_00698	Prac.g_00805
OG0000568	Syam.g_01751	Prac.g_00804
OG0000569	Syam.g_01750	Prac.g_00803
OG0000570	Syam.g_01749	Prac.g_00802
OG0000571	Syam.g_01745	Prac.g_00800
OG0000572	Syam.g_01729	Prac.g_00787
OG0000573	Syam.g_01721	Prac.g_00780
OG0000574	Syam.g_01720	Prac.g_00779
OG0000575	Syam.g_01716	Prac.g_00775
OG0000576	Syam.g_01714	Prac.g_00772
OG0000577	Syam.g_01713	Prac.g_00771
OG0000578	Syam.g_01712	Prac.g_00770
OG0000579	Syam.g_01711	Prac.g_00769
OG0000580	Syam.g_01710	Prac.g_00768
OG0000581	Syam.g_01704	Prac.g_00766
OG0000582	Syam.g_01513	Prac.g_00763
OG0000583	Syam.g_01512	Prac.g_00762
OG0000584	Syam.g_01511	Prac.g_00761
OG0000585	Syam.g_01509	Prac.g_00759
OG0000586	Syam.g_01508	Prac.g_00758
OG0000587	Syam.g_01506	Prac.g_00757
OG0000588	Syam.g_01498	Prac.g_00753
OG0000589	Syam.g_01494	Prac.g_00750
OG0000590	Syam.g_01493	Prac.g_00749
OG0000591	Syam.g_01486	Prac.g_00746
OG0000592	Syam.g_01485	Prac.g_00745
OG0000593	Syam.g_01471	Prac.g_00739
OG0000594	Syam.g_01470	Prac.g_00738
OG0000595	Syam.g_01469	Prac.g_00737
OG0000596	Syam.g_01465	Prac.g_00733
OG0000597	Syam.g_01462	Prac.g_00731
OG0000598	Syam.g_01461	Prac.g_00730
OG0000599	Syam.g_01458	Prac.g_00727
