Orthogroup	Syam	Prai
OG0000102	Syam.g_00110	Prai.g_01843
OG0000103	Syam.g_02428	Prai.g_01923
OG0000104	Syam.g_02442	Prai.g_01932
OG0000105	Syam.g_00238	Prai.g_00286, Prai.g_00287
OG0000106	Syam.g_01039	Prai.g_00383
OG0000107	Syam.g_00288	Prai.g_00397
OG0000108	Syam.g_00583	Prai.g_00510
OG0000109	Syam.g_00598	Prai.g_00524
OG0000110	Syam.g_01743	Prai.g_00603
OG0000112	Syam.g_01115	Prai.g_00882
OG0000113	Syam.g_01264	Prai.g_00825
OG0000114	Syam.g_01349	Prai.g_01046
OG0000115	Syam.g_01634	Prai.g_01119
OG0000116	Syam.g_01807	Prai.g_01162
OG0000117	Syam.g_00904	Prai.g_01273
OG0000118	Syam.g_01698	Prai.g_01347
OG0000120	Syam.g_00172	Prai.g_01443
OG0000121	Syam.g_01615	Prai.g_01465
OG0000123	Syam.g_00379	Prai.g_01789
OG0000124	Syam.g_00096	Prai.g_01854
OG0000125	Syam.g_02319	Prai.g_01892
OG0000126	Syam.g_02440	Prai.g_01931
OG0000128	Syam.g_00012	Prai.g_00011
OG0000129	Syam.g_02307	Prai.g_00051
OG0000130	Syam.g_02062	Prai.g_00069
OG0000131	Syam.g_02191	Prai.g_00156
OG0000132	Syam.g_02211	Prai.g_00175
OG0000133	Syam.g_01120	Prai.g_00335
OG0000134	Syam.g_00492	Prai.g_00369
OG0000135	Syam.g_02347	Prai.g_00393
OG0000136	Syam.g_01857	Prai.g_00472
OG0000137	Syam.g_01668	Prai.g_00505
OG0000138	Syam.g_00599	Prai.g_00525
OG0000139	Syam.g_00657	Prai.g_00565
OG0000140	Syam.g_00659	Prai.g_00566
OG0000141	Syam.g_01514	Prai.g_00635
OG0000142	Syam.g_01468	Prai.g_00664
OG0000143	Syam.g_01464	Prai.g_00668
OG0000144	Syam.g_01032	Prai.g_00681
OG0000145	Syam.g_00605	Prai.g_00883
OG0000146	Syam.g_01114	Prai.g_00881
OG0000147	Syam.g_01113	Prai.g_00880
OG0000148	Syam.g_01270	Prai.g_00831
OG0000149	Syam.g_00725	Prai.g_00800
OG0000150	Syam.g_00660	Prai.g_00792
OG0000151	Syam.g_01338	Prai.g_01036
OG0000152	Syam.g_01124	Prai.g_00989
OG0000153	Syam.g_01160	Prai.g_00970
OG0000154	Syam.g_01187	Prai.g_00943
OG0000155	Syam.g_01763	Prai.g_01191
OG0000156	Syam.g_01814	Prai.g_01323
OG0000157	Syam.g_01815	Prai.g_01324
OG0000158	Syam.g_00139	Prai.g_01392
OG0000160	Syam.g_01614	Prai.g_01464
OG0000161	Syam.g_01620	Prai.g_01470
OG0000162	Syam.g_01627	Prai.g_01476
OG0000163	Syam.g_01927	Prai.g_01509
OG0000164	Syam.g_02023	Prai.g_01662
OG0000165	Syam.g_01879, Syam.g_01878	Prai.g_01669
OG0000166	Syam.g_00330	Prai.g_01740
OG0000167	Syam.g_00151	Prai.g_01812
OG0000168	Syam.g_00138	Prai.g_01822
OG0000169	Syam.g_00127	Prai.g_01832
OG0000170	Syam.g_00120	Prai.g_01834
OG0000171	Syam.g_00097	Prai.g_01853
OG0000172	Syam.g_00075	Prai.g_01863
OG0000173	Syam.g_00057	Prai.g_01878
OG0000174	Syam.g_02349	Prai.g_01905
OG0000175	Syam.g_02417	Prai.g_01915
OG0000176	Syam.g_00004	Prai.g_00004
OG0000177	Syam.g_00005	Prai.g_00005
OG0000178	Syam.g_00006	Prai.g_00006
OG0000179	Syam.g_00021	Prai.g_00016
OG0000180	Syam.g_00022	Prai.g_00017
OG0000181	Syam.g_00023	Prai.g_00018
OG0000182	Syam.g_00024	Prai.g_00019
OG0000183	Syam.g_00028	Prai.g_00023
OG0000184	Syam.g_02298	Prai.g_00053
OG0000185	Syam.g_02295	Prai.g_00056
OG0000186	Syam.g_02058	Prai.g_00064
OG0000187	Syam.g_02059	Prai.g_00065
OG0000188	Syam.g_02081	Prai.g_00082
OG0000189	Syam.g_02108	Prai.g_00096
OG0000190	Syam.g_02110	Prai.g_00097
OG0000191	Syam.g_02142	Prai.g_00117
OG0000192	Syam.g_02148	Prai.g_00121
OG0000193	Syam.g_02192	Prai.g_00157
OG0000194	Syam.g_02195	Prai.g_00160
OG0000195	Syam.g_02197	Prai.g_00162
OG0000196	Syam.g_02208	Prai.g_00172
OG0000197	Syam.g_02209	Prai.g_00173
OG0000198	Syam.g_02210	Prai.g_00174
OG0000199	Syam.g_02218	Prai.g_00181
OG0000200	Syam.g_02234	Prai.g_00195
OG0000202	Syam.g_02249	Prai.g_00204
OG0000203	Syam.g_02250	Prai.g_00205
OG0000204	Syam.g_02251	Prai.g_00206
OG0000205	Syam.g_02258	Prai.g_00213
OG0000206	Syam.g_02264	Prai.g_00218
OG0000207	Syam.g_02266	Prai.g_00220
OG0000208	Syam.g_02267	Prai.g_00221
OG0000209	Syam.g_02278	Prai.g_00230
OG0000210	Syam.g_02279	Prai.g_00231
OG0000212	Syam.g_00515	Prai.g_00251
OG0000213	Syam.g_00263	Prai.g_00270
OG0000214	Syam.g_00247	Prai.g_00280
OG0000215	Syam.g_00216	Prai.g_00305
OG0000216	Syam.g_00212	Prai.g_00307
OG0000217	Syam.g_00208	Prai.g_00310
OG0000218	Syam.g_00206	Prai.g_00312
OG0000219	Syam.g_00205	Prai.g_00313
OG0000220	Syam.g_00204	Prai.g_00314
OG0000221	Syam.g_00198	Prai.g_00315
OG0000222	Syam.g_00186	Prai.g_00323
OG0000223	Syam.g_00168	Prai.g_00336
OG0000224	Syam.g_00164	Prai.g_00338
OG0000225	Syam.g_00473	Prai.g_00358
OG0000226	Syam.g_00477	Prai.g_00362
OG0000227	Syam.g_00479	Prai.g_00364
OG0000228	Syam.g_00488	Prai.g_00367
OG0000229	Syam.g_01867	Prai.g_00467
OG0000230	Syam.g_01865	Prai.g_00469
OG0000231	Syam.g_01848	Prai.g_00480
OG0000232	Syam.g_01692	Prai.g_00489
OG0000233	Syam.g_01678	Prai.g_00494
OG0000234	Syam.g_01667	Prai.g_00506
OG0000235	Syam.g_00582	Prai.g_00509
OG0000236	Syam.g_00597	Prai.g_00523
OG0000237	Syam.g_00614	Prai.g_00536
OG0000238	Syam.g_00619	Prai.g_00542
OG0000239	Syam.g_00637	Prai.g_00553
OG0000240	Syam.g_00638	Prai.g_00554
OG0000241	Syam.g_01477	Prai.g_00558
OG0000242	Syam.g_00649	Prai.g_00560
OG0000243	Syam.g_00668	Prai.g_00571
OG0000244	Syam.g_00674	Prai.g_00574
OG0000245	Syam.g_00676	Prai.g_00576
OG0000246	Syam.g_00680	Prai.g_00580
OG0000247	Syam.g_00692	Prai.g_00590
OG0000248	Syam.g_00695	Prai.g_00593
OG0000249	Syam.g_00697	Prai.g_00595
OG0000250	Syam.g_01747	Prai.g_00600
OG0000251	Syam.g_01722	Prai.g_00619
OG0000252	Syam.g_01719	Prai.g_00622
OG0000253	Syam.g_01718	Prai.g_00623
OG0000254	Syam.g_01510	Prai.g_00639
OG0000255	Syam.g_01500	Prai.g_00645
OG0000256	Syam.g_01484	Prai.g_00656
OG0000257	Syam.g_01478	Prai.g_00659
OG0000258	Syam.g_01459	Prai.g_00672
OG0000259	Syam.g_01378	Prai.g_00689
OG0000260	Syam.g_01375	Prai.g_00692
OG0000261	Syam.g_01372	Prai.g_00694
OG0000262	Syam.g_01367	Prai.g_00698
OG0000263	Syam.g_00885	Prai.g_00710
OG0000264	Syam.g_00805	Prai.g_00720
OG0000265	Syam.g_01880	Prai.g_00748
OG0000266	Syam.g_01234	Prai.g_00758
OG0000267	Syam.g_01071	Prai.g_00769
OG0000268	Syam.g_01072	Prai.g_00770
OG0000269	Syam.g_01295	Prai.g_00853
OG0000270	Syam.g_01292	Prai.g_00850
OG0000271	Syam.g_01284	Prai.g_00842
OG0000272	Syam.g_01283	Prai.g_00840, Prai.g_00841
OG0000273	Syam.g_00745	Prai.g_00817
OG0000274	Syam.g_00744	Prai.g_00816
OG0000275	Syam.g_00741	Prai.g_00741, Prai.g_00813
OG0000276	Syam.g_00733	Prai.g_00808
OG0000277	Syam.g_00732	Prai.g_00807
OG0000278	Syam.g_00729	Prai.g_00804
OG0000279	Syam.g_00721	Prai.g_00797
OG0000280	Syam.g_00701	Prai.g_00796
OG0000281	Syam.g_00943	Prai.g_00791
OG0000282	Syam.g_01347	Prai.g_01044
OG0000283	Syam.g_01087	Prai.g_01012
OG0000284	Syam.g_01093	Prai.g_01007
OG0000285	Syam.g_01105	Prai.g_01002
OG0000286	Syam.g_01123	Prai.g_00990
OG0000288	Syam.g_01186	Prai.g_00944
OG0000289	Syam.g_01201	Prai.g_00934
OG0000290	Syam.g_00771	Prai.g_00921
OG0000291	Syam.g_00773	Prai.g_00919
OG0000292	Syam.g_02439	Prai.g_01107
OG0000293	Syam.g_01806	Prai.g_01163
OG0000294	Syam.g_01805	Prai.g_01164
OG0000295	Syam.g_01771	Prai.g_01183
OG0000296	Syam.g_01769	Prai.g_01185
OG0000297	Syam.g_00906	Prai.g_01193
OG0000298	Syam.g_00905	Prai.g_01194
OG0000299	Syam.g_00878	Prai.g_01213
OG0000300	Syam.g_00871	Prai.g_01216
OG0000301	Syam.g_00870	Prai.g_01217
OG0000302	Syam.g_00868	Prai.g_01219
OG0000303	Syam.g_00859	Prai.g_01226
OG0000304	Syam.g_00853	Prai.g_01230
OG0000305	Syam.g_00776	Prai.g_01362
OG0000306	Syam.g_01757	Prai.g_01365
OG0000307	Syam.g_00566	Prai.g_01379
OG0000308	Syam.g_00564	Prai.g_01380
OG0000309	Syam.g_00559	Prai.g_01384
OG0000310	Syam.g_01591	Prai.g_01448
OG0000311	Syam.g_01595	Prai.g_01450
OG0000312	Syam.g_01601	Prai.g_01453
OG0000313	Syam.g_01617	Prai.g_01467
OG0000314	Syam.g_01647	Prai.g_01489
OG0000315	Syam.g_01658	Prai.g_01499
OG0000316	Syam.g_01945	Prai.g_01519
OG0000317	Syam.g_01987	Prai.g_01636
OG0000318	Syam.g_01991	Prai.g_01639
OG0000319	Syam.g_02006	Prai.g_01652
OG0000320	Syam.g_02008	Prai.g_01654
OG0000321	Syam.g_02009	Prai.g_01655
OG0000322	Syam.g_02010	Prai.g_01656
OG0000323	Syam.g_02025	Prai.g_01665
OG0000324	Syam.g_01906	Prai.g_01691
OG0000325	Syam.g_00289	Prai.g_01702
OG0000326	Syam.g_00296	Prai.g_01708
OG0000327	Syam.g_00325	Prai.g_01735
OG0000328	Syam.g_00326	Prai.g_01736
OG0000329	Syam.g_00344	Prai.g_01754
OG0000330	Syam.g_00345	Prai.g_01755
OG0000331	Syam.g_00346	Prai.g_01756
OG0000332	Syam.g_00361	Prai.g_01770
OG0000333	Syam.g_00364	Prai.g_01777
OG0000334	Syam.g_00375	Prai.g_01785
OG0000335	Syam.g_00380	Prai.g_01790
OG0000336	Syam.g_00384	Prai.g_01794
OG0000337	Syam.g_00155	Prai.g_01810
OG0000338	Syam.g_00153	Prai.g_01811
OG0000339	Syam.g_00147	Prai.g_01815
OG0000340	Syam.g_00137	Prai.g_01823
OG0000341	Syam.g_00135	Prai.g_01825
OG0000342	Syam.g_00134	Prai.g_01826
OG0000343	Syam.g_00133	Prai.g_01827
OG0000344	Syam.g_00129	Prai.g_01830
OG0000345	Syam.g_00119	Prai.g_01835
OG0000346	Syam.g_00114	Prai.g_01839
OG0000347	Syam.g_00083	Prai.g_01855
OG0000348	Syam.g_00068	Prai.g_01866
OG0000349	Syam.g_00050	Prai.g_01883
OG0000350	Syam.g_00303	Prai.g_01901
OG0000351	Syam.g_02420	Prai.g_01918
OG0000352	Syam.g_02421	Prai.g_01919
OG0000353	Syam.g_02445	Prai.g_01935
OG0000355	Syam.g_00001	Prai.g_00001
OG0000356	Syam.g_00002	Prai.g_00002
OG0000357	Syam.g_00003	Prai.g_00003
OG0000358	Syam.g_00007	Prai.g_00007
OG0000359	Syam.g_00009	Prai.g_00008
OG0000360	Syam.g_00010	Prai.g_00009
OG0000361	Syam.g_00011	Prai.g_00010
OG0000362	Syam.g_00013	Prai.g_00012
OG0000363	Syam.g_00015	Prai.g_00014
OG0000364	Syam.g_00016	Prai.g_00015
OG0000365	Syam.g_00025	Prai.g_00020
OG0000366	Syam.g_00026	Prai.g_00021
OG0000367	Syam.g_00027	Prai.g_00022
OG0000368	Syam.g_00029	Prai.g_00024
OG0000369	Syam.g_00030	Prai.g_00025
OG0000370	Syam.g_00031	Prai.g_00026
OG0000371	Syam.g_00038	Prai.g_00032
OG0000372	Syam.g_00043	Prai.g_00035
OG0000373	Syam.g_00044	Prai.g_00036
OG0000374	Syam.g_00045	Prai.g_00037
OG0000375	Syam.g_00046	Prai.g_00047
OG0000376	Syam.g_00048	Prai.g_00049
OG0000377	Syam.g_02306	Prai.g_00052
OG0000378	Syam.g_02297	Prai.g_00054
OG0000379	Syam.g_02294	Prai.g_00057
OG0000380	Syam.g_02060	Prai.g_00066
OG0000381	Syam.g_02063	Prai.g_00070
OG0000382	Syam.g_02080	Prai.g_00081
OG0000383	Syam.g_02083	Prai.g_00083
OG0000384	Syam.g_02084	Prai.g_00084
OG0000385	Syam.g_02085	Prai.g_00085
OG0000386	Syam.g_02086	Prai.g_00086
OG0000387	Syam.g_02112	Prai.g_00099
OG0000388	Syam.g_02116	Prai.g_00102
OG0000389	Syam.g_02120	Prai.g_00106
OG0000390	Syam.g_02136	Prai.g_00113
OG0000391	Syam.g_02141	Prai.g_00116
OG0000392	Syam.g_02147	Prai.g_00120
OG0000393	Syam.g_02149	Prai.g_00122
OG0000394	Syam.g_02150	Prai.g_00123
OG0000395	Syam.g_02151	Prai.g_00124
OG0000396	Syam.g_02153	Prai.g_00127
OG0000397	Syam.g_02160	Prai.g_00129
OG0000398	Syam.g_02165	Prai.g_00131
OG0000399	Syam.g_02166	Prai.g_00132
OG0000400	Syam.g_02167	Prai.g_00133
OG0000401	Syam.g_02168	Prai.g_00134
OG0000402	Syam.g_02171	Prai.g_00136
OG0000403	Syam.g_02172	Prai.g_00137
OG0000404	Syam.g_02173	Prai.g_00138
OG0000405	Syam.g_02189	Prai.g_00142
OG0000406	Syam.g_02193	Prai.g_00158
OG0000407	Syam.g_02194	Prai.g_00159
OG0000408	Syam.g_02196	Prai.g_00161
OG0000409	Syam.g_02198	Prai.g_00163
OG0000410	Syam.g_02199	Prai.g_00164
OG0000411	Syam.g_02200	Prai.g_00165
OG0000412	Syam.g_02201	Prai.g_00166
OG0000413	Syam.g_02203	Prai.g_00167
OG0000414	Syam.g_02204	Prai.g_01288, Prai.g_00168
OG0000415	Syam.g_02205	Prai.g_00169
OG0000416	Syam.g_02206	Prai.g_00170
OG0000417	Syam.g_02207	Prai.g_00171
OG0000418	Syam.g_02212	Prai.g_00176
OG0000419	Syam.g_02214	Prai.g_00178
OG0000420	Syam.g_02216	Prai.g_00179
OG0000421	Syam.g_02221	Prai.g_00184
OG0000422	Syam.g_02222	Prai.g_00185
OG0000423	Syam.g_02223	Prai.g_00186
OG0000424	Syam.g_02224	Prai.g_00187
OG0000425	Syam.g_02225	Prai.g_00188
OG0000426	Syam.g_02226	Prai.g_00189
OG0000427	Syam.g_02227	Prai.g_00190
OG0000428	Syam.g_02230	Prai.g_00192
OG0000429	Syam.g_02232	Prai.g_00193
OG0000430	Syam.g_02233	Prai.g_00194
OG0000431	Syam.g_02237	Prai.g_00196
OG0000432	Syam.g_02243	Prai.g_00199
OG0000433	Syam.g_02244	Prai.g_00200
OG0000434	Syam.g_02245	Prai.g_00201
OG0000435	Syam.g_02246	Prai.g_00202
OG0000436	Syam.g_02252	Prai.g_00207
OG0000437	Syam.g_02253	Prai.g_00208
OG0000438	Syam.g_02254	Prai.g_00209
OG0000439	Syam.g_02256	Prai.g_00211
OG0000440	Syam.g_02257	Prai.g_00212
OG0000441	Syam.g_02261	Prai.g_00215
OG0000442	Syam.g_02262	Prai.g_00216
OG0000443	Syam.g_02263	Prai.g_00217
OG0000444	Syam.g_02268	Prai.g_00222
OG0000445	Syam.g_02269	Prai.g_00223
OG0000446	Syam.g_02270	Prai.g_00224
OG0000447	Syam.g_02272	Prai.g_00225
OG0000448	Syam.g_02273	Prai.g_00226
OG0000449	Syam.g_02274	Prai.g_00227
OG0000450	Syam.g_02275	Prai.g_00228
OG0000451	Syam.g_02276	Prai.g_00229
OG0000452	Syam.g_02280	Prai.g_00232
OG0000453	Syam.g_02281	Prai.g_00233
OG0000454	Syam.g_02282	Prai.g_00234
OG0000455	Syam.g_02283	Prai.g_00235
OG0000456	Syam.g_02284	Prai.g_00236
OG0000457	Syam.g_02286	Prai.g_00237
OG0000458	Syam.g_02287	Prai.g_00238
OG0000459	Syam.g_02288	Prai.g_00239
OG0000460	Syam.g_00506	Prai.g_00246
OG0000461	Syam.g_00284	Prai.g_00255
OG0000462	Syam.g_00281	Prai.g_00257
OG0000463	Syam.g_00280	Prai.g_00258
OG0000464	Syam.g_00279	Prai.g_00259
OG0000465	Syam.g_00277	Prai.g_00260
OG0000466	Syam.g_00273	Prai.g_00263
OG0000467	Syam.g_00271	Prai.g_00264
OG0000468	Syam.g_00266	Prai.g_00266
OG0000469	Syam.g_00253	Prai.g_00275
OG0000470	Syam.g_00251	Prai.g_00277
OG0000471	Syam.g_00250	Prai.g_00278
OG0000472	Syam.g_00248	Prai.g_00279
OG0000473	Syam.g_00246	Prai.g_00281
OG0000474	Syam.g_00245	Prai.g_00282
OG0000475	Syam.g_00244	Prai.g_00283
OG0000476	Syam.g_00242	Prai.g_00284
OG0000477	Syam.g_00236	Prai.g_00288
OG0000478	Syam.g_00235	Prai.g_00289
OG0000479	Syam.g_00234	Prai.g_00290
OG0000480	Syam.g_00227	Prai.g_00295
OG0000481	Syam.g_00225	Prai.g_00297
OG0000482	Syam.g_00224	Prai.g_00298
OG0000483	Syam.g_00220	Prai.g_00301
OG0000484	Syam.g_00219	Prai.g_00302
OG0000485	Syam.g_00218	Prai.g_00303
OG0000486	Syam.g_00217	Prai.g_00304
OG0000487	Syam.g_00211	Prai.g_00308
OG0000488	Syam.g_00207	Prai.g_00311
OG0000489	Syam.g_00197	Prai.g_00316
OG0000490	Syam.g_00189	Prai.g_00321
OG0000491	Syam.g_00187	Prai.g_00322
OG0000492	Syam.g_00185	Prai.g_00324
OG0000493	Syam.g_00184	Prai.g_00325
OG0000494	Syam.g_00183	Prai.g_00326
OG0000495	Syam.g_00182	Prai.g_00327
OG0000496	Syam.g_00181	Prai.g_00328
OG0000497	Syam.g_00180	Prai.g_00329
OG0000498	Syam.g_00179	Prai.g_00330
OG0000499	Syam.g_00178	Prai.g_00331
OG0000500	Syam.g_00177	Prai.g_00332
OG0000501	Syam.g_00174	Prai.g_00334
OG0000502	Syam.g_00165	Prai.g_00337
OG0000503	Syam.g_00457	Prai.g_00347
OG0000504	Syam.g_00459	Prai.g_00348
OG0000505	Syam.g_00460	Prai.g_00349
OG0000506	Syam.g_00462	Prai.g_00351
OG0000507	Syam.g_00468	Prai.g_00354
OG0000508	Syam.g_00472	Prai.g_00357
OG0000509	Syam.g_00474	Prai.g_00359
OG0000510	Syam.g_00475	Prai.g_00360
OG0000511	Syam.g_00476	Prai.g_00361
OG0000512	Syam.g_00478	Prai.g_00363
OG0000513	Syam.g_00493	Prai.g_00370
OG0000514	Syam.g_00499	Prai.g_00462
OG0000515	Syam.g_00500	Prai.g_00463
OG0000516	Syam.g_01862	Prai.g_00464
OG0000517	Syam.g_01868	Prai.g_00466
OG0000518	Syam.g_01851	Prai.g_00477
OG0000519	Syam.g_01850	Prai.g_00478
OG0000520	Syam.g_01849	Prai.g_00479
OG0000521	Syam.g_01696	Prai.g_00484
OG0000522	Syam.g_01694	Prai.g_00486
OG0000523	Syam.g_01693	Prai.g_00487
OG0000524	Syam.g_01681	Prai.g_00492
OG0000525	Syam.g_01677	Prai.g_00495
OG0000526	Syam.g_01674	Prai.g_00496
OG0000527	Syam.g_01670	Prai.g_00503
OG0000528	Syam.g_00580	Prai.g_00508
OG0000529	Syam.g_00584	Prai.g_00511
OG0000530	Syam.g_00587	Prai.g_00514
OG0000531	Syam.g_00588	Prai.g_00515
OG0000532	Syam.g_00591	Prai.g_00517
OG0000533	Syam.g_00592	Prai.g_00518
OG0000534	Syam.g_00593	Prai.g_00519
OG0000535	Syam.g_00594	Prai.g_00520
OG0000536	Syam.g_00595	Prai.g_00521
OG0000537	Syam.g_00596	Prai.g_00522
OG0000538	Syam.g_00607	Prai.g_00530
OG0000539	Syam.g_00608	Prai.g_00531
OG0000540	Syam.g_00609	Prai.g_00532
OG0000541	Syam.g_00610	Prai.g_00533
OG0000542	Syam.g_00613	Prai.g_00535
OG0000543	Syam.g_00615	Prai.g_00537
OG0000544	Syam.g_00616	Prai.g_00538
OG0000545	Syam.g_00618	Prai.g_00540
OG0000546	Syam.g_00620	Prai.g_00543
OG0000547	Syam.g_00622	Prai.g_00544
OG0000548	Syam.g_00623	Prai.g_00545
OG0000549	Syam.g_00630	Prai.g_00547
OG0000550	Syam.g_00635	Prai.g_00552
OG0000551	Syam.g_00640	Prai.g_00555
OG0000552	Syam.g_00641	Prai.g_00556
OG0000553	Syam.g_00643	Prai.g_00557
OG0000554	Syam.g_00652	Prai.g_00562
OG0000555	Syam.g_00667	Prai.g_00570
OG0000556	Syam.g_00670	Prai.g_00572
OG0000557	Syam.g_00672	Prai.g_00573
OG0000558	Syam.g_00675	Prai.g_00575
OG0000559	Syam.g_00679	Prai.g_00579
OG0000560	Syam.g_00682	Prai.g_00582
OG0000561	Syam.g_00683	Prai.g_00583
OG0000562	Syam.g_00684	Prai.g_00584
OG0000563	Syam.g_00685	Prai.g_00585
OG0000564	Syam.g_00686	Prai.g_00586
OG0000565	Syam.g_00690	Prai.g_00589
OG0000566	Syam.g_00694	Prai.g_00592
OG0000567	Syam.g_00698	Prai.g_00596
OG0000568	Syam.g_01751	Prai.g_00597
OG0000569	Syam.g_01750	Prai.g_00598
OG0000570	Syam.g_01749	Prai.g_00599
OG0000571	Syam.g_01745	Prai.g_00601
OG0000572	Syam.g_01729	Prai.g_00614
OG0000573	Syam.g_01721	Prai.g_00620
OG0000574	Syam.g_01720	Prai.g_00621
OG0000575	Syam.g_01716	Prai.g_00625
OG0000576	Syam.g_01714	Prai.g_00627
OG0000577	Syam.g_01713	Prai.g_00628
OG0000578	Syam.g_01712	Prai.g_00629
OG0000579	Syam.g_01711	Prai.g_00630
OG0000580	Syam.g_01710	Prai.g_00631
OG0000581	Syam.g_01704	Prai.g_00633
OG0000582	Syam.g_01513	Prai.g_00636
OG0000583	Syam.g_01512	Prai.g_00637
OG0000584	Syam.g_01511	Prai.g_00638
OG0000585	Syam.g_01509	Prai.g_00640
OG0000586	Syam.g_01508	Prai.g_00641
OG0000587	Syam.g_01506	Prai.g_00642
OG0000588	Syam.g_01498	Prai.g_00646
OG0000589	Syam.g_01494	Prai.g_00650
OG0000590	Syam.g_01493	Prai.g_00651
OG0000591	Syam.g_01486	Prai.g_00654
OG0000592	Syam.g_01485	Prai.g_00655
OG0000593	Syam.g_01471	Prai.g_00661
OG0000594	Syam.g_01470	Prai.g_00662
OG0000595	Syam.g_01469	Prai.g_00663
OG0000596	Syam.g_01465	Prai.g_00667
OG0000597	Syam.g_01462	Prai.g_00669
