Orthogroup	Syam	Prap
OG0000173	Syam.g_00057	Prap.g_01542
OG0000174	Syam.g_02349	Prap.g_01513
OG0000175	Syam.g_02417	Prap.g_01500
OG0000176	Syam.g_00004	Prap.g_00050
OG0000177	Syam.g_00005	Prap.g_00049
OG0000178	Syam.g_00006	Prap.g_00048
OG0000179	Syam.g_00021	Prap.g_00939
OG0000180	Syam.g_00022	Prap.g_00938
OG0000181	Syam.g_00023	Prap.g_00937
OG0000182	Syam.g_00024	Prap.g_00936
OG0000183	Syam.g_00028	Prap.g_00932
OG0000184	Syam.g_02298	Prap.g_00906
OG0000185	Syam.g_02295	Prap.g_00903
OG0000186	Syam.g_02058	Prap.g_00887
OG0000187	Syam.g_02059	Prap.g_00886
OG0000188	Syam.g_02081	Prap.g_01096
OG0000189	Syam.g_02108	Prap.g_01082
OG0000190	Syam.g_02110	Prap.g_01080
OG0000191	Syam.g_02142	Prap.g_01057
OG0000192	Syam.g_02148	Prap.g_01052
OG0000193	Syam.g_02192	Prap.g_01025
OG0000194	Syam.g_02195	Prap.g_01022
OG0000195	Syam.g_02197	Prap.g_01020
OG0000196	Syam.g_02208	Prap.g_01009
OG0000197	Syam.g_02209	Prap.g_01008
OG0000198	Syam.g_02210	Prap.g_01007
OG0000199	Syam.g_02218	Prap.g_01000
OG0000200	Syam.g_02234	Prap.g_00986
OG0000202	Syam.g_02249	Prap.g_00976
OG0000203	Syam.g_02250	Prap.g_00975
OG0000204	Syam.g_02251	Prap.g_00974
OG0000205	Syam.g_02258	Prap.g_00967
OG0000206	Syam.g_02264	Prap.g_00962
OG0000207	Syam.g_02266	Prap.g_00959
OG0000208	Syam.g_02267	Prap.g_00958
OG0000209	Syam.g_02278	Prap.g_00949
OG0000210	Syam.g_02279	Prap.g_00948
OG0000211	Syam.g_00504	Prap.g_01479
OG0000212	Syam.g_00515	Prap.g_01471
OG0000213	Syam.g_00263	Prap.g_01453
OG0000214	Syam.g_00247	Prap.g_01443
OG0000215	Syam.g_00216	Prap.g_01416
OG0000216	Syam.g_00212	Prap.g_01415
OG0000217	Syam.g_00208	Prap.g_01412
OG0000218	Syam.g_00206	Prap.g_01410
OG0000219	Syam.g_00205	Prap.g_01409
OG0000220	Syam.g_00204	Prap.g_01408
OG0000221	Syam.g_00198	Prap.g_01407
OG0000222	Syam.g_00186	Prap.g_01400
OG0000223	Syam.g_00168	Prap.g_01388
OG0000224	Syam.g_00164	Prap.g_01386
OG0000225	Syam.g_00473	Prap.g_01360
OG0000226	Syam.g_00477	Prap.g_01356
OG0000227	Syam.g_00479	Prap.g_01354
OG0000228	Syam.g_00488	Prap.g_01350
OG0000229	Syam.g_01867	Prap.g_01330
OG0000230	Syam.g_01865	Prap.g_01328
OG0000231	Syam.g_01848	Prap.g_01317
OG0000232	Syam.g_01692	Prap.g_01306
OG0000233	Syam.g_01678	Prap.g_01300
OG0000234	Syam.g_01667	Prap.g_01291
OG0000235	Syam.g_00582	Prap.g_01288
OG0000236	Syam.g_00597	Prap.g_01274
OG0000237	Syam.g_00614	Prap.g_01261
OG0000238	Syam.g_00619	Prap.g_01255
OG0000239	Syam.g_00637	Prap.g_01244
OG0000240	Syam.g_00638	Prap.g_01243
OG0000241	Syam.g_01477	Prap.g_01239
OG0000242	Syam.g_00649	Prap.g_01237
OG0000243	Syam.g_00668	Prap.g_01226
OG0000244	Syam.g_00674	Prap.g_01223
OG0000245	Syam.g_00676	Prap.g_01221
OG0000246	Syam.g_00680	Prap.g_01217
OG0000247	Syam.g_00692	Prap.g_01207
OG0000248	Syam.g_00695	Prap.g_01204
OG0000249	Syam.g_00697	Prap.g_01202
OG0000250	Syam.g_01747	Prap.g_01197
OG0000251	Syam.g_01722	Prap.g_01177
OG0000252	Syam.g_01719	Prap.g_01174
OG0000253	Syam.g_01718	Prap.g_01173
OG0000254	Syam.g_01510	Prap.g_01156
OG0000255	Syam.g_01500	Prap.g_01150
OG0000256	Syam.g_01484	Prap.g_01140
OG0000257	Syam.g_01478	Prap.g_00397
OG0000258	Syam.g_01459	Prap.g_00383
OG0000259	Syam.g_01378	Prap.g_00366
OG0000260	Syam.g_01375	Prap.g_00363
OG0000261	Syam.g_01372	Prap.g_00360
OG0000262	Syam.g_01367	Prap.g_00356
OG0000263	Syam.g_00885	Prap.g_00820
OG0000264	Syam.g_00805	Prap.g_00809
OG0000265	Syam.g_01880	Prap.g_00791
OG0000266	Syam.g_01234	Prap.g_00337
OG0000267	Syam.g_01071	Prap.g_00325
OG0000268	Syam.g_01072	Prap.g_00324
OG0000269	Syam.g_01295	Prap.g_00788
OG0000270	Syam.g_01292	Prap.g_00785
OG0000271	Syam.g_01284	Prap.g_00777
OG0000272	Syam.g_01283	Prap.g_00776
OG0000273	Syam.g_00745	Prap.g_00752
OG0000274	Syam.g_00744	Prap.g_00751
OG0000275	Syam.g_00741	Prap.g_00748
OG0000276	Syam.g_00733	Prap.g_00742
OG0000277	Syam.g_00732	Prap.g_00741
OG0000278	Syam.g_00729	Prap.g_00738
OG0000279	Syam.g_00721	Prap.g_00731
OG0000280	Syam.g_00701	Prap.g_00730
OG0000281	Syam.g_00943	Prap.g_00723
OG0000282	Syam.g_01347	Prap.g_00856
OG0000283	Syam.g_01087	Prap.g_00680
OG0000284	Syam.g_01093	Prap.g_00675
OG0000285	Syam.g_01105	Prap.g_00243
OG0000286	Syam.g_01123	Prap.g_00256
OG0000287	Syam.g_01153	Prap.g_00522
OG0000288	Syam.g_01186	Prap.g_00295
OG0000289	Syam.g_01201	Prap.g_00311
OG0000290	Syam.g_00771	Prap.g_00705
OG0000291	Syam.g_00773	Prap.g_00707
OG0000292	Syam.g_02439	Prap.g_00501
OG0000293	Syam.g_01806	Prap.g_00466
OG0000294	Syam.g_01805	Prap.g_00465
OG0000295	Syam.g_01771	Prap.g_00442
OG0000296	Syam.g_01769	Prap.g_00440
OG0000297	Syam.g_00906	Prap.g_00431
OG0000298	Syam.g_00905	Prap.g_00430
OG0000299	Syam.g_00878	Prap.g_00411
OG0000300	Syam.g_00871	Prap.g_00408
OG0000301	Syam.g_00870	Prap.g_00407
OG0000302	Syam.g_00868	Prap.g_00405
OG0000303	Syam.g_00859	Prap.g_00399
OG0000304	Syam.g_00853	Prap.g_01135
OG0000305	Syam.g_00776	Prap.g_00499
OG0000306	Syam.g_01757	Prap.g_00719
OG0000307	Syam.g_00566	Prap.g_00068
OG0000308	Syam.g_00564	Prap.g_00069
OG0000309	Syam.g_00559	Prap.g_00073
OG0000310	Syam.g_01591	Prap.g_00107
OG0000311	Syam.g_01595	Prap.g_00109
OG0000312	Syam.g_01601	Prap.g_00112
OG0000313	Syam.g_01617	Prap.g_00125
OG0000314	Syam.g_01647	Prap.g_00148
OG0000315	Syam.g_01658	Prap.g_00158
OG0000316	Syam.g_01945	Prap.g_00183
OG0000317	Syam.g_01987	Prap.g_01782
OG0000318	Syam.g_01991	Prap.g_01778
OG0000319	Syam.g_02006	Prap.g_01765
OG0000320	Syam.g_02008	Prap.g_01763
OG0000321	Syam.g_02009	Prap.g_01762
OG0000322	Syam.g_02010	Prap.g_01761
OG0000323	Syam.g_02025	Prap.g_01751
OG0000324	Syam.g_01906	Prap.g_01724
OG0000325	Syam.g_00289	Prap.g_01713
OG0000326	Syam.g_00296	Prap.g_01706
OG0000327	Syam.g_00325	Prap.g_01685
OG0000328	Syam.g_00326	Prap.g_01684
OG0000329	Syam.g_00344	Prap.g_01667
OG0000330	Syam.g_00345	Prap.g_01666
OG0000331	Syam.g_00346	Prap.g_01665
OG0000332	Syam.g_00361	Prap.g_01651
OG0000333	Syam.g_00364	Prap.g_01648, Prap.g_01649
OG0000334	Syam.g_00375	Prap.g_01639
OG0000335	Syam.g_00380	Prap.g_01634
OG0000336	Syam.g_00384	Prap.g_01630
OG0000337	Syam.g_00155	Prap.g_01612
OG0000338	Syam.g_00153	Prap.g_01611
OG0000339	Syam.g_00147	Prap.g_01605
OG0000340	Syam.g_00137	Prap.g_01596
OG0000341	Syam.g_00135	Prap.g_01594
OG0000342	Syam.g_00134	Prap.g_01593
OG0000343	Syam.g_00133	Prap.g_01592
OG0000344	Syam.g_00129	Prap.g_01589
OG0000345	Syam.g_00119	Prap.g_01583
OG0000346	Syam.g_00114	Prap.g_01579
OG0000347	Syam.g_00083	Prap.g_01562
OG0000348	Syam.g_00068	Prap.g_01554
OG0000349	Syam.g_00050	Prap.g_01537
OG0000350	Syam.g_00303	Prap.g_00623
OG0000351	Syam.g_02420	Prap.g_01497
OG0000352	Syam.g_02421	Prap.g_01496
OG0000353	Syam.g_02445	Prap.g_00055
OG0000355	Syam.g_00001	Prap.g_00053
OG0000356	Syam.g_00002	Prap.g_00052
OG0000357	Syam.g_00003	Prap.g_00051
OG0000358	Syam.g_00007	Prap.g_00047
OG0000359	Syam.g_00009	Prap.g_00046
OG0000360	Syam.g_00010	Prap.g_00045
OG0000361	Syam.g_00011	Prap.g_00044
OG0000362	Syam.g_00013	Prap.g_00042
OG0000363	Syam.g_00015	Prap.g_00941
OG0000364	Syam.g_00016	Prap.g_00940
OG0000365	Syam.g_00025	Prap.g_00935
OG0000366	Syam.g_00026	Prap.g_00934
OG0000367	Syam.g_00027	Prap.g_00933
OG0000368	Syam.g_00029	Prap.g_00931
OG0000369	Syam.g_00030	Prap.g_00930
OG0000370	Syam.g_00031	Prap.g_00929
OG0000371	Syam.g_00038	Prap.g_00922
OG0000372	Syam.g_00043	Prap.g_00919
OG0000373	Syam.g_00044	Prap.g_00918
OG0000374	Syam.g_00045	Prap.g_00917
OG0000375	Syam.g_00046	Prap.g_00915
OG0000376	Syam.g_00048	Prap.g_00913
OG0000377	Syam.g_02306	Prap.g_00909
OG0000378	Syam.g_02297	Prap.g_00905
OG0000379	Syam.g_02294	Prap.g_00902
OG0000380	Syam.g_02060	Prap.g_00885
OG0000381	Syam.g_02063	Prap.g_00880
OG0000382	Syam.g_02080	Prap.g_01097
OG0000383	Syam.g_02083	Prap.g_01095
OG0000384	Syam.g_02084	Prap.g_01094
OG0000385	Syam.g_02085	Prap.g_01093
OG0000386	Syam.g_02086	Prap.g_01092
OG0000387	Syam.g_02112	Prap.g_01078
OG0000388	Syam.g_02116	Prap.g_01074
OG0000389	Syam.g_02120	Prap.g_01071
OG0000390	Syam.g_02136	Prap.g_01061
OG0000391	Syam.g_02141	Prap.g_01058
OG0000392	Syam.g_02147	Prap.g_01054
OG0000393	Syam.g_02149	Prap.g_01051
OG0000394	Syam.g_02150	Prap.g_01050
OG0000395	Syam.g_02151	Prap.g_01049
OG0000396	Syam.g_02153	Prap.g_01047
OG0000397	Syam.g_02160	Prap.g_01045
OG0000398	Syam.g_02165	Prap.g_01042
OG0000399	Syam.g_02166	Prap.g_01041
OG0000400	Syam.g_02167	Prap.g_01040
OG0000401	Syam.g_02168	Prap.g_01039
OG0000402	Syam.g_02171	Prap.g_00319
OG0000403	Syam.g_02172	Prap.g_01037
OG0000404	Syam.g_02173	Prap.g_01036
OG0000405	Syam.g_02189	Prap.g_01032
OG0000406	Syam.g_02193	Prap.g_01024
OG0000407	Syam.g_02194	Prap.g_01023
OG0000408	Syam.g_02196	Prap.g_01021
OG0000409	Syam.g_02198	Prap.g_01019
OG0000410	Syam.g_02199	Prap.g_01018
OG0000411	Syam.g_02200	Prap.g_01017
OG0000412	Syam.g_02201	Prap.g_01016
OG0000413	Syam.g_02203	Prap.g_01014
OG0000414	Syam.g_02204	Prap.g_01013
OG0000415	Syam.g_02205	Prap.g_01012
OG0000416	Syam.g_02206	Prap.g_01011
OG0000417	Syam.g_02207	Prap.g_01010
OG0000418	Syam.g_02212	Prap.g_01005
OG0000419	Syam.g_02214	Prap.g_01003
OG0000420	Syam.g_02216	Prap.g_01002
OG0000421	Syam.g_02221	Prap.g_00997
OG0000422	Syam.g_02222	Prap.g_00996
OG0000423	Syam.g_02223	Prap.g_00995
OG0000424	Syam.g_02224	Prap.g_00994
OG0000425	Syam.g_02225	Prap.g_00993
OG0000426	Syam.g_02226	Prap.g_00992
OG0000427	Syam.g_02227	Prap.g_00991
OG0000428	Syam.g_02230	Prap.g_00989
OG0000429	Syam.g_02232	Prap.g_00988
OG0000430	Syam.g_02233	Prap.g_00987
OG0000431	Syam.g_02237	Prap.g_00985
OG0000432	Syam.g_02243	Prap.g_00981
OG0000433	Syam.g_02244	Prap.g_00980
OG0000434	Syam.g_02245	Prap.g_00979
OG0000435	Syam.g_02246	Prap.g_00978
OG0000436	Syam.g_02252	Prap.g_00973
OG0000437	Syam.g_02253	Prap.g_00972
OG0000438	Syam.g_02254	Prap.g_00971
OG0000439	Syam.g_02256	Prap.g_00969
OG0000440	Syam.g_02257	Prap.g_00968
OG0000441	Syam.g_02261	Prap.g_00965
OG0000442	Syam.g_02262	Prap.g_00964
OG0000443	Syam.g_02263	Prap.g_00963
OG0000444	Syam.g_02268	Prap.g_00957
OG0000445	Syam.g_02269	Prap.g_00956
OG0000446	Syam.g_02270	Prap.g_00955
OG0000447	Syam.g_02272	Prap.g_00954
OG0000448	Syam.g_02273	Prap.g_00953
OG0000449	Syam.g_02274	Prap.g_00952
OG0000450	Syam.g_02275	Prap.g_00951
OG0000451	Syam.g_02276	Prap.g_00950
OG0000452	Syam.g_02280	Prap.g_00947
OG0000453	Syam.g_02281	Prap.g_00946
OG0000454	Syam.g_02282	Prap.g_00945
OG0000455	Syam.g_02283	Prap.g_00944
OG0000456	Syam.g_02284	Prap.g_00943
OG0000457	Syam.g_02286	Prap.g_01487
OG0000458	Syam.g_02287	Prap.g_01486
OG0000459	Syam.g_02288	Prap.g_01485
OG0000460	Syam.g_00506	Prap.g_01477
OG0000461	Syam.g_00284	Prap.g_01469
OG0000462	Syam.g_00281	Prap.g_01467
OG0000463	Syam.g_00280	Prap.g_01466
OG0000464	Syam.g_00279	Prap.g_01465
OG0000465	Syam.g_00277	Prap.g_01464
OG0000466	Syam.g_00273	Prap.g_01461
OG0000467	Syam.g_00271	Prap.g_01460
OG0000468	Syam.g_00266	Prap.g_01457
OG0000469	Syam.g_00253	Prap.g_01449
OG0000470	Syam.g_00251	Prap.g_01447
OG0000471	Syam.g_00250	Prap.g_01446
OG0000472	Syam.g_00248	Prap.g_01444
OG0000473	Syam.g_00246	Prap.g_01442
OG0000474	Syam.g_00245	Prap.g_01441
OG0000475	Syam.g_00244	Prap.g_01440
OG0000476	Syam.g_00242	Prap.g_01438
OG0000477	Syam.g_00236	Prap.g_01435
OG0000478	Syam.g_00235	Prap.g_01434
OG0000479	Syam.g_00234	Prap.g_01433
OG0000480	Syam.g_00227	Prap.g_01428
OG0000481	Syam.g_00225	Prap.g_01425
OG0000482	Syam.g_00224	Prap.g_01424
OG0000483	Syam.g_00220	Prap.g_01421
OG0000484	Syam.g_00219	Prap.g_01420
OG0000485	Syam.g_00218	Prap.g_01418
OG0000486	Syam.g_00217	Prap.g_01417
OG0000487	Syam.g_00211	Prap.g_01414
OG0000488	Syam.g_00207	Prap.g_01411
OG0000489	Syam.g_00197	Prap.g_01406
OG0000490	Syam.g_00189	Prap.g_01402
OG0000491	Syam.g_00187	Prap.g_01401
OG0000492	Syam.g_00185	Prap.g_01399
OG0000493	Syam.g_00184	Prap.g_01398
OG0000494	Syam.g_00183	Prap.g_01397
OG0000495	Syam.g_00182	Prap.g_01396
OG0000496	Syam.g_00181	Prap.g_01395
OG0000497	Syam.g_00180	Prap.g_01394
OG0000498	Syam.g_00179	Prap.g_01393
OG0000499	Syam.g_00178	Prap.g_01392
OG0000500	Syam.g_00177	Prap.g_01391
OG0000501	Syam.g_00174	Prap.g_01390
OG0000502	Syam.g_00165	Prap.g_01387
OG0000503	Syam.g_00457	Prap.g_01372
OG0000504	Syam.g_00459	Prap.g_01370
OG0000505	Syam.g_00460	Prap.g_01369
OG0000506	Syam.g_00462	Prap.g_01368
OG0000507	Syam.g_00468	Prap.g_01365
OG0000508	Syam.g_00472	Prap.g_01361
OG0000509	Syam.g_00474	Prap.g_01359
OG0000510	Syam.g_00475	Prap.g_01358
OG0000511	Syam.g_00476	Prap.g_01357
OG0000512	Syam.g_00478	Prap.g_01355
OG0000513	Syam.g_00493	Prap.g_01346
OG0000514	Syam.g_00499	Prap.g_01335
OG0000515	Syam.g_00500	Prap.g_01334
OG0000516	Syam.g_01862	Prap.g_01333
OG0000517	Syam.g_01868	Prap.g_01331
OG0000518	Syam.g_01851	Prap.g_01320
OG0000519	Syam.g_01850	Prap.g_01319
OG0000520	Syam.g_01849	Prap.g_01318
OG0000521	Syam.g_01696	Prap.g_01310
OG0000522	Syam.g_01694	Prap.g_01308
OG0000523	Syam.g_01693	Prap.g_01307
OG0000524	Syam.g_01681	Prap.g_01302
OG0000525	Syam.g_01677	Prap.g_01298
OG0000526	Syam.g_01674	Prap.g_01297
OG0000527	Syam.g_01670	Prap.g_01294
OG0000528	Syam.g_00580	Prap.g_01289
OG0000529	Syam.g_00584	Prap.g_01286
OG0000530	Syam.g_00587	Prap.g_01283
OG0000531	Syam.g_00588	Prap.g_01282
OG0000532	Syam.g_00591	Prap.g_01280
OG0000533	Syam.g_00592	Prap.g_01279
OG0000534	Syam.g_00593	Prap.g_01278
OG0000535	Syam.g_00594	Prap.g_01277
OG0000536	Syam.g_00595	Prap.g_01276
OG0000537	Syam.g_00596	Prap.g_01275
OG0000538	Syam.g_00607	Prap.g_01266
OG0000539	Syam.g_00608	Prap.g_01265
OG0000540	Syam.g_00609	Prap.g_01264
OG0000541	Syam.g_00610	Prap.g_01263
OG0000542	Syam.g_00613	Prap.g_01262
OG0000543	Syam.g_00615	Prap.g_01260
OG0000544	Syam.g_00616	Prap.g_01259
OG0000545	Syam.g_00618	Prap.g_01257
OG0000546	Syam.g_00620	Prap.g_01254
OG0000547	Syam.g_00622	Prap.g_01252
OG0000548	Syam.g_00623	Prap.g_01251
OG0000549	Syam.g_00630	Prap.g_01249
OG0000550	Syam.g_00635	Prap.g_01245
OG0000551	Syam.g_00640	Prap.g_01242
OG0000552	Syam.g_00641	Prap.g_01241
OG0000553	Syam.g_00643	Prap.g_01240
OG0000554	Syam.g_00652	Prap.g_01235
OG0000555	Syam.g_00667	Prap.g_01227
OG0000556	Syam.g_00670	Prap.g_01225
OG0000557	Syam.g_00672	Prap.g_01224
OG0000558	Syam.g_00675	Prap.g_01222
OG0000559	Syam.g_00679	Prap.g_01218
OG0000560	Syam.g_00682	Prap.g_01215
OG0000561	Syam.g_00683	Prap.g_01214
OG0000562	Syam.g_00684	Prap.g_01213
OG0000563	Syam.g_00685	Prap.g_01212
OG0000564	Syam.g_00686	Prap.g_01211
OG0000565	Syam.g_00690	Prap.g_01209
OG0000566	Syam.g_00694	Prap.g_01205
OG0000567	Syam.g_00698	Prap.g_01201
OG0000568	Syam.g_01751	Prap.g_01200
OG0000569	Syam.g_01750	Prap.g_01199
OG0000570	Syam.g_01749	Prap.g_01198
OG0000571	Syam.g_01745	Prap.g_01196
OG0000572	Syam.g_01729	Prap.g_01182
OG0000573	Syam.g_01721	Prap.g_01176
OG0000574	Syam.g_01720	Prap.g_01175
OG0000575	Syam.g_01716	Prap.g_01171
OG0000576	Syam.g_01714	Prap.g_01169
OG0000577	Syam.g_01713	Prap.g_01168
OG0000578	Syam.g_01712	Prap.g_01167
OG0000579	Syam.g_01711	Prap.g_01166
OG0000580	Syam.g_01710	Prap.g_01165
OG0000581	Syam.g_01704	Prap.g_01162
OG0000582	Syam.g_01513	Prap.g_01159
OG0000583	Syam.g_01512	Prap.g_01158
OG0000584	Syam.g_01511	Prap.g_01157
OG0000585	Syam.g_01509	Prap.g_01155
OG0000586	Syam.g_01508	Prap.g_01154
OG0000587	Syam.g_01506	Prap.g_01153
OG0000588	Syam.g_01498	Prap.g_01149
OG0000589	Syam.g_01494	Prap.g_01147
