Orthogroup	Syam	Prat
OG0000076	Syam.g_00115	Prat.g_01788
OG0000077	Syam.g_02074	Prat.g_00075
OG0000078	Syam.g_00514	Prat.g_00245
OG0000079	Syam.g_00270	Prat.g_00258
OG0000081	Syam.g_00520	Prat.g_00493
OG0000082	Syam.g_01730	Prat.g_01507
OG0000085	Syam.g_01979	Prat.g_01584
OG0000086	Syam.g_02092	Prat.g_00086
OG0000087	Syam.g_02175	Prat.g_00138
OG0000088	Syam.g_02213	Prat.g_00166
OG0000089	Syam.g_00489	Prat.g_00370
OG0000090	Syam.g_00651	Prat.g_00495
OG0000091	Syam.g_01460	Prat.g_01082
OG0000093	Syam.g_01305	Prat.g_01053
OG0000097	Syam.g_00874	Prat.g_01111
OG0000098	Syam.g_00944	Prat.g_01282
OG0000099	Syam.g_00173	Prat.g_01312
OG0000100	Syam.g_01259	Prat.g_01437
OG0000101	Syam.g_00371	Prat.g_01726
OG0000102	Syam.g_00110	Prat.g_01793
OG0000103	Syam.g_02428	Prat.g_01880
OG0000104	Syam.g_02442	Prat.g_01889
OG0000105	Syam.g_00238	Prat.g_00281
OG0000106	Syam.g_01039	Prat.g_00637
OG0000107	Syam.g_00288	Prat.g_01656
OG0000108	Syam.g_00583	Prat.g_00440
OG0000109	Syam.g_00598	Prat.g_00455
OG0000110	Syam.g_01743	Prat.g_00539
OG0000112	Syam.g_01115	Prat.g_00888
OG0000113	Syam.g_01264	Prat.g_01014
OG0000114	Syam.g_01349	Prat.g_00716
OG0000115	Syam.g_01634	Prat.g_01373
OG0000116	Syam.g_01807	Prat.g_01166
OG0000117	Syam.g_00904	Prat.g_01129
OG0000118	Syam.g_01698	Prat.g_01261
OG0000120	Syam.g_00172	Prat.g_00344
OG0000121	Syam.g_01615	Prat.g_01355
OG0000122	Syam.g_01436	Prat.g_00781, Prat.g_01398
OG0000123	Syam.g_00379	Prat.g_01733
OG0000124	Syam.g_00096	Prat.g_01805
OG0000125	Syam.g_02319	Prat.g_01841
OG0000126	Syam.g_02440	Prat.g_01888
OG0000128	Syam.g_00012	Prat.g_00012, Prat.g_00011
OG0000129	Syam.g_02307	Prat.g_00047
OG0000130	Syam.g_02062	Prat.g_00066
OG0000131	Syam.g_02191	Prat.g_00144
OG0000132	Syam.g_02211	Prat.g_00164
OG0000133	Syam.g_01120	Prat.g_00329
OG0000134	Syam.g_00492	Prat.g_00372
OG0000135	Syam.g_02347	Prat.g_01477
OG0000136	Syam.g_01857	Prat.g_00401
OG0000137	Syam.g_01668	Prat.g_00434
OG0000138	Syam.g_00599	Prat.g_00456
OG0000139	Syam.g_00657	Prat.g_00499
OG0000140	Syam.g_00659	Prat.g_00500
OG0000141	Syam.g_01514	Prat.g_00570
OG0000142	Syam.g_01468	Prat.g_01090
OG0000143	Syam.g_01464	Prat.g_01086
OG0000144	Syam.g_01032	Prat.g_01072
OG0000145	Syam.g_00605	Prat.g_01472
OG0000146	Syam.g_01114	Prat.g_00887
OG0000147	Syam.g_01113	Prat.g_00886
OG0000148	Syam.g_01270	Prat.g_01020
OG0000149	Syam.g_00725	Prat.g_00991
OG0000150	Syam.g_00660	Prat.g_00981
OG0000151	Syam.g_01338	Prat.g_00726
OG0000152	Syam.g_01124	Prat.g_00896, Prat.g_01277
OG0000153	Syam.g_01160	Prat.g_00915
OG0000154	Syam.g_01187	Prat.g_00934
OG0000155	Syam.g_01763	Prat.g_01135
OG0000156	Syam.g_01814	Prat.g_01238
OG0000157	Syam.g_01815	Prat.g_01239
OG0000158	Syam.g_00139	Prat.g_01769
OG0000160	Syam.g_01614	Prat.g_01354
OG0000161	Syam.g_01620	Prat.g_01360
OG0000162	Syam.g_01627	Prat.g_01366
OG0000163	Syam.g_01927	Prat.g_01409
OG0000164	Syam.g_02023	Prat.g_01615
OG0000165	Syam.g_01879, Syam.g_01878	Prat.g_01623
OG0000166	Syam.g_00330	Prat.g_01690
OG0000167	Syam.g_00151	Prat.g_01759
OG0000168	Syam.g_00138	Prat.g_01770
OG0000169	Syam.g_00127	Prat.g_01781
OG0000170	Syam.g_00120	Prat.g_01784
OG0000171	Syam.g_00097	Prat.g_01804
OG0000172	Syam.g_00075	Prat.g_01811
OG0000173	Syam.g_00057	Prat.g_01826
OG0000174	Syam.g_02349	Prat.g_01858
OG0000175	Syam.g_02417	Prat.g_01870
OG0000176	Syam.g_00004	Prat.g_00004
OG0000177	Syam.g_00005	Prat.g_00005
OG0000178	Syam.g_00006	Prat.g_00006
OG0000179	Syam.g_00021	Prat.g_00017
OG0000180	Syam.g_00022	Prat.g_00018
OG0000181	Syam.g_00023	Prat.g_00019
OG0000182	Syam.g_00024	Prat.g_00020
OG0000183	Syam.g_00028	Prat.g_01314, Prat.g_00024
OG0000184	Syam.g_02298	Prat.g_00051
OG0000185	Syam.g_02295	Prat.g_00054
OG0000186	Syam.g_02058	Prat.g_00060
OG0000187	Syam.g_02059	Prat.g_00061
OG0000188	Syam.g_02081	Prat.g_00080
OG0000189	Syam.g_02108	Prat.g_00093
OG0000190	Syam.g_02110	Prat.g_00094
OG0000191	Syam.g_02142	Prat.g_00116
OG0000192	Syam.g_02148	Prat.g_00121
OG0000193	Syam.g_02192	Prat.g_00145
OG0000194	Syam.g_02195	Prat.g_00148
OG0000195	Syam.g_02197	Prat.g_00150
OG0000196	Syam.g_02208	Prat.g_00161
OG0000197	Syam.g_02209	Prat.g_00162
OG0000198	Syam.g_02210	Prat.g_00163
OG0000199	Syam.g_02218	Prat.g_00171
OG0000200	Syam.g_02234	Prat.g_00185
OG0000202	Syam.g_02249	Prat.g_00195
OG0000203	Syam.g_02250	Prat.g_00196
OG0000204	Syam.g_02251	Prat.g_00197
OG0000205	Syam.g_02258	Prat.g_00204
OG0000206	Syam.g_02264	Prat.g_00209
OG0000207	Syam.g_02266	Prat.g_00211
OG0000208	Syam.g_02267	Prat.g_00212
OG0000209	Syam.g_02278	Prat.g_00221
OG0000210	Syam.g_02279	Prat.g_00222
OG0000211	Syam.g_00504	Prat.g_00238
OG0000212	Syam.g_00515	Prat.g_00246
OG0000213	Syam.g_00263	Prat.g_00264
OG0000214	Syam.g_00247	Prat.g_00274
OG0000215	Syam.g_00216	Prat.g_00300
OG0000216	Syam.g_00212	Prat.g_00302
OG0000217	Syam.g_00208	Prat.g_00305
OG0000218	Syam.g_00206	Prat.g_00307
OG0000219	Syam.g_00205	Prat.g_00308
OG0000220	Syam.g_00204	Prat.g_00309
OG0000221	Syam.g_00198	Prat.g_00310
OG0000222	Syam.g_00186	Prat.g_00317
OG0000223	Syam.g_00168	Prat.g_00330
OG0000224	Syam.g_00164	Prat.g_00332
OG0000225	Syam.g_00473	Prat.g_00360
OG0000226	Syam.g_00477	Prat.g_00364
OG0000227	Syam.g_00479	Prat.g_00366
OG0000228	Syam.g_00488	Prat.g_00369
OG0000229	Syam.g_01867	Prat.g_00396
OG0000230	Syam.g_01865	Prat.g_00398
OG0000231	Syam.g_01848	Prat.g_00411
OG0000232	Syam.g_01692	Prat.g_00419
OG0000233	Syam.g_01678	Prat.g_00426
OG0000234	Syam.g_01667	Prat.g_00435
OG0000235	Syam.g_00582	Prat.g_00439
OG0000236	Syam.g_00597	Prat.g_00454
OG0000237	Syam.g_00614	Prat.g_00469
OG0000238	Syam.g_00619	Prat.g_00475
OG0000239	Syam.g_00637	Prat.g_00487
OG0000240	Syam.g_00638	Prat.g_00488
OG0000241	Syam.g_01477	Prat.g_00492
OG0000242	Syam.g_00649	Prat.g_00494
OG0000243	Syam.g_00668	Prat.g_00504
OG0000244	Syam.g_00674	Prat.g_00507
OG0000245	Syam.g_00676	Prat.g_00509
OG0000246	Syam.g_00680	Prat.g_00514, Prat.g_00513
OG0000247	Syam.g_00692	Prat.g_00525
OG0000248	Syam.g_00695	Prat.g_00528
OG0000249	Syam.g_00697	Prat.g_00530
OG0000250	Syam.g_01747	Prat.g_00536
OG0000251	Syam.g_01722	Prat.g_00553
OG0000252	Syam.g_01719	Prat.g_00556
OG0000253	Syam.g_01718	Prat.g_00557
OG0000254	Syam.g_01510	Prat.g_00574
OG0000255	Syam.g_01500	Prat.g_00581
OG0000256	Syam.g_01484	Prat.g_00591
OG0000257	Syam.g_01478	Prat.g_01097
OG0000258	Syam.g_01459	Prat.g_01081
OG0000259	Syam.g_01378	Prat.g_01064
OG0000260	Syam.g_01375	Prat.g_01061
OG0000261	Syam.g_01372	Prat.g_01058
OG0000262	Syam.g_01367	Prat.g_01054
OG0000263	Syam.g_00885	Prat.g_00754
OG0000264	Syam.g_00805	Prat.g_00765
OG0000265	Syam.g_01880	Prat.g_00788
OG0000266	Syam.g_01234	Prat.g_00801
OG0000267	Syam.g_01071	Prat.g_00814
OG0000268	Syam.g_01072	Prat.g_00815
OG0000269	Syam.g_01295	Prat.g_01042
OG0000270	Syam.g_01292	Prat.g_01039
OG0000271	Syam.g_01284	Prat.g_01031
OG0000272	Syam.g_01283	Prat.g_01030
OG0000273	Syam.g_00745	Prat.g_01007
OG0000274	Syam.g_00744	Prat.g_01006
OG0000275	Syam.g_00741	Prat.g_01004
OG0000276	Syam.g_00733	Prat.g_00999
OG0000277	Syam.g_00732	Prat.g_00998
OG0000278	Syam.g_00729	Prat.g_00995
OG0000279	Syam.g_00721	Prat.g_00988
OG0000280	Syam.g_00701	Prat.g_00987
OG0000281	Syam.g_00943	Prat.g_00980
OG0000282	Syam.g_01347	Prat.g_00718
OG0000283	Syam.g_01087	Prat.g_00868
OG0000284	Syam.g_01093	Prat.g_00873
OG0000285	Syam.g_01105	Prat.g_00879
OG0000286	Syam.g_01123	Prat.g_00895
OG0000288	Syam.g_01186	Prat.g_00933
OG0000289	Syam.g_01201	Prat.g_00948
OG0000290	Syam.g_00771	Prat.g_00962
OG0000291	Syam.g_00773	Prat.g_00964
OG0000292	Syam.g_02439	Prat.g_01208
OG0000293	Syam.g_01806	Prat.g_01165
OG0000294	Syam.g_01805	Prat.g_01164
OG0000295	Syam.g_01771	Prat.g_01142
OG0000296	Syam.g_01769	Prat.g_01140
OG0000297	Syam.g_00906	Prat.g_01131
OG0000298	Syam.g_00905	Prat.g_01130
OG0000299	Syam.g_00878	Prat.g_01112
OG0000300	Syam.g_00871	Prat.g_01108
OG0000301	Syam.g_00870	Prat.g_01107
OG0000302	Syam.g_00868	Prat.g_01105
OG0000303	Syam.g_00859	Prat.g_01099
OG0000304	Syam.g_00853	Prat.g_00595
OG0000305	Syam.g_00776	Prat.g_01200
OG0000306	Syam.g_01757	Prat.g_00976
OG0000307	Syam.g_00566	Prat.g_01300
OG0000308	Syam.g_00564	Prat.g_01301
OG0000309	Syam.g_00559	Prat.g_01305
OG0000310	Syam.g_01591	Prat.g_01336
OG0000311	Syam.g_01595	Prat.g_01338
OG0000312	Syam.g_01601	Prat.g_01341
OG0000313	Syam.g_01617	Prat.g_01357
OG0000314	Syam.g_01647	Prat.g_01382
OG0000315	Syam.g_01658	Prat.g_01392
OG0000316	Syam.g_01945	Prat.g_01420
OG0000317	Syam.g_01987	Prat.g_01589
OG0000318	Syam.g_01991	Prat.g_01593
OG0000319	Syam.g_02006	Prat.g_01605
OG0000320	Syam.g_02008	Prat.g_01607
OG0000321	Syam.g_02009	Prat.g_01608
OG0000322	Syam.g_02010	Prat.g_01609
OG0000323	Syam.g_02025	Prat.g_01618
OG0000324	Syam.g_01906	Prat.g_01647
OG0000325	Syam.g_00289	Prat.g_01657
OG0000326	Syam.g_00296	Prat.g_01664
OG0000327	Syam.g_00325	Prat.g_01685
OG0000328	Syam.g_00326	Prat.g_01686
OG0000329	Syam.g_00344	Prat.g_01703
OG0000330	Syam.g_00345	Prat.g_01704
OG0000331	Syam.g_00346	Prat.g_01705
OG0000332	Syam.g_00361	Prat.g_01718
OG0000333	Syam.g_00364	Prat.g_01720
OG0000334	Syam.g_00375	Prat.g_01729
OG0000335	Syam.g_00380	Prat.g_01734
OG0000336	Syam.g_00384	Prat.g_01738
OG0000337	Syam.g_00155	Prat.g_01756
OG0000338	Syam.g_00153	Prat.g_01757
OG0000339	Syam.g_00147	Prat.g_01762
OG0000340	Syam.g_00137	Prat.g_01771
OG0000341	Syam.g_00135	Prat.g_01773
OG0000342	Syam.g_00134	Prat.g_01775
OG0000343	Syam.g_00133	Prat.g_01776
OG0000344	Syam.g_00129	Prat.g_01779
OG0000345	Syam.g_00119	Prat.g_01785
OG0000346	Syam.g_00114	Prat.g_01789
OG0000347	Syam.g_00083	Prat.g_01806
OG0000348	Syam.g_00068	Prat.g_01814
OG0000349	Syam.g_00050	Prat.g_01832
OG0000350	Syam.g_00303	Prat.g_01853
OG0000351	Syam.g_02420	Prat.g_01873
OG0000352	Syam.g_02421	Prat.g_01874
OG0000353	Syam.g_02445	Prat.g_01892
OG0000355	Syam.g_00001	Prat.g_00001
OG0000356	Syam.g_00002	Prat.g_00002
OG0000357	Syam.g_00003	Prat.g_00003
OG0000358	Syam.g_00007	Prat.g_00007
OG0000359	Syam.g_00009	Prat.g_00008
OG0000360	Syam.g_00010	Prat.g_00009
OG0000361	Syam.g_00011	Prat.g_00010
OG0000362	Syam.g_00013	Prat.g_00013
OG0000363	Syam.g_00015	Prat.g_00015
OG0000364	Syam.g_00016	Prat.g_00016
OG0000365	Syam.g_00025	Prat.g_00021
OG0000366	Syam.g_00026	Prat.g_00022
OG0000367	Syam.g_00027	Prat.g_00023
OG0000368	Syam.g_00029	Prat.g_00025
OG0000369	Syam.g_00030	Prat.g_00026
OG0000370	Syam.g_00031	Prat.g_00027
OG0000371	Syam.g_00038	Prat.g_00034
OG0000372	Syam.g_00043	Prat.g_00036
OG0000373	Syam.g_00044	Prat.g_00037
OG0000374	Syam.g_00045	Prat.g_00038
OG0000375	Syam.g_00046	Prat.g_00042
OG0000376	Syam.g_00048	Prat.g_00044
OG0000377	Syam.g_02306	Prat.g_00048
OG0000378	Syam.g_02297	Prat.g_00052
OG0000379	Syam.g_02294	Prat.g_00055
OG0000380	Syam.g_02060	Prat.g_00062
OG0000381	Syam.g_02063	Prat.g_00067
OG0000382	Syam.g_02080	Prat.g_00079
OG0000383	Syam.g_02083	Prat.g_00081
OG0000384	Syam.g_02084	Prat.g_00082
OG0000385	Syam.g_02085	Prat.g_00083
OG0000386	Syam.g_02086	Prat.g_00084
OG0000387	Syam.g_02112	Prat.g_00096
OG0000388	Syam.g_02116	Prat.g_00100
OG0000389	Syam.g_02120	Prat.g_00103
OG0000390	Syam.g_02136	Prat.g_00112
OG0000391	Syam.g_02141	Prat.g_00115
OG0000392	Syam.g_02147	Prat.g_00118
OG0000393	Syam.g_02149	Prat.g_00122
OG0000394	Syam.g_02150	Prat.g_00123
OG0000395	Syam.g_02151	Prat.g_00124
OG0000396	Syam.g_02153	Prat.g_00126
OG0000397	Syam.g_02160	Prat.g_00128
OG0000398	Syam.g_02165	Prat.g_00131
OG0000399	Syam.g_02166	Prat.g_00132
OG0000400	Syam.g_02167	Prat.g_00133
OG0000401	Syam.g_02168	Prat.g_00134
OG0000402	Syam.g_02171	Prat.g_00601
OG0000403	Syam.g_02172	Prat.g_00136
OG0000404	Syam.g_02173	Prat.g_00137
OG0000405	Syam.g_02189	Prat.g_00141
OG0000406	Syam.g_02193	Prat.g_00146
OG0000407	Syam.g_02194	Prat.g_00147
OG0000408	Syam.g_02196	Prat.g_00149
OG0000409	Syam.g_02198	Prat.g_00151
OG0000410	Syam.g_02199	Prat.g_00152
OG0000411	Syam.g_02200	Prat.g_00153
OG0000412	Syam.g_02201	Prat.g_00154
OG0000413	Syam.g_02203	Prat.g_00156
OG0000414	Syam.g_02204	Prat.g_00157
OG0000415	Syam.g_02205	Prat.g_00158
OG0000416	Syam.g_02206	Prat.g_00159
OG0000417	Syam.g_02207	Prat.g_00160
OG0000418	Syam.g_02212	Prat.g_00165
OG0000419	Syam.g_02214	Prat.g_00167
OG0000420	Syam.g_02216	Prat.g_00169
OG0000421	Syam.g_02221	Prat.g_00174
OG0000422	Syam.g_02222	Prat.g_00175
OG0000423	Syam.g_02223	Prat.g_00176
OG0000424	Syam.g_02224	Prat.g_00177
OG0000425	Syam.g_02225	Prat.g_00178
OG0000426	Syam.g_02226	Prat.g_00179
OG0000427	Syam.g_02227	Prat.g_00180
OG0000428	Syam.g_02230	Prat.g_00182
OG0000429	Syam.g_02232	Prat.g_00183
OG0000430	Syam.g_02233	Prat.g_00184
OG0000431	Syam.g_02237	Prat.g_00186
OG0000432	Syam.g_02243	Prat.g_00190
OG0000433	Syam.g_02244	Prat.g_00191
OG0000434	Syam.g_02245	Prat.g_00192
OG0000435	Syam.g_02246	Prat.g_00193
OG0000436	Syam.g_02252	Prat.g_00198
OG0000437	Syam.g_02253	Prat.g_00199
OG0000438	Syam.g_02254	Prat.g_00200
OG0000439	Syam.g_02256	Prat.g_00202
OG0000440	Syam.g_02257	Prat.g_00203
OG0000441	Syam.g_02261	Prat.g_00206
OG0000442	Syam.g_02262	Prat.g_00207
OG0000443	Syam.g_02263	Prat.g_00208
OG0000444	Syam.g_02268	Prat.g_00213
OG0000445	Syam.g_02269	Prat.g_00214
OG0000446	Syam.g_02270	Prat.g_00215
OG0000447	Syam.g_02272	Prat.g_00216
OG0000448	Syam.g_02273	Prat.g_00217
OG0000449	Syam.g_02274	Prat.g_00218
OG0000450	Syam.g_02275	Prat.g_00219
OG0000451	Syam.g_02276	Prat.g_00220
OG0000452	Syam.g_02280	Prat.g_00223
OG0000453	Syam.g_02281	Prat.g_00224
OG0000454	Syam.g_02282	Prat.g_00225
OG0000455	Syam.g_02283	Prat.g_00226
OG0000456	Syam.g_02284	Prat.g_00227
OG0000457	Syam.g_02286	Prat.g_00229
OG0000458	Syam.g_02287	Prat.g_00230
OG0000459	Syam.g_02288	Prat.g_00231
OG0000460	Syam.g_00506	Prat.g_00240
OG0000461	Syam.g_00284	Prat.g_00249
OG0000462	Syam.g_00281	Prat.g_00250
OG0000463	Syam.g_00280	Prat.g_00251
OG0000464	Syam.g_00279	Prat.g_00252
OG0000465	Syam.g_00277	Prat.g_00253
OG0000466	Syam.g_00273	Prat.g_00256
OG0000467	Syam.g_00271	Prat.g_00257
OG0000468	Syam.g_00266	Prat.g_00260
OG0000469	Syam.g_00253	Prat.g_00269
OG0000470	Syam.g_00251	Prat.g_00271
OG0000471	Syam.g_00250	Prat.g_00272
OG0000472	Syam.g_00248	Prat.g_00273
OG0000473	Syam.g_00246	Prat.g_00275
OG0000474	Syam.g_00245	Prat.g_00276
OG0000475	Syam.g_00244	Prat.g_00277
OG0000476	Syam.g_00242	Prat.g_00279
OG0000477	Syam.g_00236	Prat.g_00282
OG0000478	Syam.g_00235	Prat.g_00283
OG0000479	Syam.g_00234	Prat.g_00284
OG0000480	Syam.g_00227	Prat.g_00290
OG0000481	Syam.g_00225	Prat.g_00292
OG0000482	Syam.g_00224	Prat.g_00293
OG0000483	Syam.g_00220	Prat.g_00296
OG0000484	Syam.g_00219	Prat.g_00297
OG0000485	Syam.g_00218	Prat.g_00298
OG0000486	Syam.g_00217	Prat.g_00299
OG0000487	Syam.g_00211	Prat.g_00303
OG0000488	Syam.g_00207	Prat.g_00306
OG0000489	Syam.g_00197	Prat.g_00311
OG0000490	Syam.g_00189	Prat.g_00315
OG0000491	Syam.g_00187	Prat.g_00316
OG0000492	Syam.g_00185	Prat.g_00318
OG0000493	Syam.g_00184	Prat.g_00319
OG0000494	Syam.g_00183	Prat.g_00320
OG0000495	Syam.g_00182	Prat.g_00321
OG0000496	Syam.g_00181	Prat.g_00322
OG0000497	Syam.g_00180	Prat.g_00323
OG0000498	Syam.g_00179	Prat.g_00324
OG0000499	Syam.g_00178	Prat.g_00325
OG0000500	Syam.g_00177	Prat.g_00326
OG0000501	Syam.g_00174	Prat.g_00328
OG0000502	Syam.g_00165	Prat.g_00331
OG0000503	Syam.g_00457	Prat.g_00348
OG0000504	Syam.g_00459	Prat.g_00350
OG0000505	Syam.g_00460	Prat.g_00351
OG0000506	Syam.g_00462	Prat.g_00352
OG0000507	Syam.g_00468	Prat.g_00355
OG0000508	Syam.g_00472	Prat.g_00359
OG0000509	Syam.g_00474	Prat.g_00361
OG0000510	Syam.g_00475	Prat.g_00362
OG0000511	Syam.g_00476	Prat.g_00363
OG0000512	Syam.g_00478	Prat.g_00365
OG0000513	Syam.g_00493	Prat.g_00373
OG0000514	Syam.g_00499	Prat.g_00390
OG0000515	Syam.g_00500	Prat.g_00391
OG0000516	Syam.g_01862	Prat.g_00392
OG0000517	Syam.g_01868	Prat.g_00395
OG0000518	Syam.g_01851	Prat.g_00407
OG0000519	Syam.g_01850	Prat.g_00408
OG0000520	Syam.g_01849	Prat.g_00410
OG0000521	Syam.g_01696	Prat.g_00415
OG0000522	Syam.g_01694	Prat.g_00417
OG0000523	Syam.g_01693	Prat.g_00418
OG0000524	Syam.g_01681	Prat.g_00424
OG0000525	Syam.g_01677	Prat.g_00428
OG0000526	Syam.g_01674	Prat.g_00429
OG0000527	Syam.g_01670	Prat.g_00432
OG0000528	Syam.g_00580	Prat.g_00438
OG0000529	Syam.g_00584	Prat.g_00441
OG0000530	Syam.g_00587	Prat.g_00444
OG0000531	Syam.g_00588	Prat.g_00445
OG0000532	Syam.g_00591	Prat.g_00447
OG0000533	Syam.g_00592	Prat.g_00448
OG0000534	Syam.g_00593	Prat.g_00449
OG0000535	Syam.g_00594	Prat.g_00450
OG0000536	Syam.g_00595	Prat.g_00451
OG0000537	Syam.g_00596	Prat.g_00453
OG0000538	Syam.g_00607	Prat.g_00463
OG0000539	Syam.g_00608	Prat.g_00464
OG0000540	Syam.g_00609	Prat.g_00465
OG0000541	Syam.g_00610	Prat.g_00466
OG0000542	Syam.g_00613	Prat.g_00468
OG0000543	Syam.g_00615	Prat.g_00470
OG0000544	Syam.g_00616	Prat.g_00471
OG0000545	Syam.g_00618	Prat.g_00473
OG0000546	Syam.g_00620	Prat.g_00476
OG0000547	Syam.g_00622	Prat.g_00478
OG0000548	Syam.g_00623	Prat.g_00479
OG0000549	Syam.g_00630	Prat.g_00482
OG0000550	Syam.g_00635	Prat.g_00486
OG0000551	Syam.g_00640	Prat.g_00489
OG0000552	Syam.g_00641	Prat.g_00490
OG0000553	Syam.g_00643	Prat.g_00491
OG0000554	Syam.g_00652	Prat.g_00496
OG0000555	Syam.g_00667	Prat.g_00503
OG0000556	Syam.g_00670	Prat.g_00505
OG0000557	Syam.g_00672	Prat.g_00506
OG0000558	Syam.g_00675	Prat.g_00508
OG0000559	Syam.g_00679	Prat.g_00512
OG0000560	Syam.g_00682	Prat.g_00516
OG0000561	Syam.g_00683	Prat.g_00517
OG0000562	Syam.g_00684	Prat.g_00518
OG0000563	Syam.g_00685	Prat.g_00519
OG0000564	Syam.g_00686	Prat.g_00520
OG0000565	Syam.g_00690	Prat.g_00523
OG0000566	Syam.g_00694	Prat.g_00527
OG0000567	Syam.g_00698	Prat.g_00531
OG0000568	Syam.g_01751	Prat.g_00532
OG0000569	Syam.g_01750	Prat.g_00533
OG0000570	Syam.g_01749	Prat.g_00534
OG0000571	Syam.g_01745	Prat.g_00537
OG0000572	Syam.g_01729	Prat.g_00549
OG0000573	Syam.g_01721	Prat.g_00554
OG0000574	Syam.g_01720	Prat.g_00555
OG0000575	Syam.g_01716	Prat.g_00559
OG0000576	Syam.g_01714	Prat.g_00561
OG0000577	Syam.g_01713	Prat.g_00562
OG0000578	Syam.g_01712	Prat.g_00563
OG0000579	Syam.g_01711	Prat.g_00564
OG0000580	Syam.g_01710	Prat.g_00565
OG0000581	Syam.g_01704	Prat.g_00568
OG0000582	Syam.g_01513	Prat.g_00571
OG0000583	Syam.g_01512	Prat.g_00572
OG0000584	Syam.g_01511	Prat.g_00573
OG0000585	Syam.g_01509	Prat.g_00575
OG0000586	Syam.g_01508	Prat.g_00576
OG0000587	Syam.g_01506	Prat.g_00577
OG0000588	Syam.g_01498	Prat.g_00582
OG0000589	Syam.g_01494	Prat.g_00584
