Orthogroup	Syam	Pray
OG0000139	Syam.g_00657	Pray.g_01224
OG0000140	Syam.g_00659	Pray.g_01223
OG0000141	Syam.g_01514	Pray.g_01156
OG0000142	Syam.g_01468	Pray.g_01128
OG0000143	Syam.g_01464	Pray.g_01124
OG0000144	Syam.g_01032	Pray.g_01111
OG0000145	Syam.g_00605	Pray.g_00306
OG0000146	Syam.g_01114	Pray.g_00314
OG0000147	Syam.g_01113	Pray.g_00315
OG0000148	Syam.g_01270	Pray.g_00364
OG0000149	Syam.g_00725	Pray.g_00395
OG0000150	Syam.g_00660	Pray.g_00403
OG0000151	Syam.g_01338	Pray.g_00462
OG0000152	Syam.g_01124	Pray.g_00511
OG0000153	Syam.g_01160	Pray.g_00530
OG0000154	Syam.g_01187	Pray.g_00558
OG0000155	Syam.g_01763	Pray.g_00043
OG0000156	Syam.g_01814	Pray.g_01881
OG0000157	Syam.g_01815	Pray.g_01880
OG0000158	Syam.g_00139	Pray.g_01787
OG0000160	Syam.g_01614	Pray.g_01721
OG0000161	Syam.g_01620	Pray.g_01715
OG0000162	Syam.g_01627	Pray.g_01709
OG0000163	Syam.g_01927	Pray.g_01675
OG0000164	Syam.g_02023	Pray.g_01535
OG0000165	Syam.g_01879, Syam.g_01878	Pray.g_01528
OG0000166	Syam.g_00330	Pray.g_01270
OG0000167	Syam.g_00151	Pray.g_01337
OG0000168	Syam.g_00138	Pray.g_01347
OG0000169	Syam.g_00127	Pray.g_01357
OG0000170	Syam.g_00120	Pray.g_01359
OG0000171	Syam.g_00097	Pray.g_01379
OG0000172	Syam.g_00075	Pray.g_01388
OG0000173	Syam.g_00057	Pray.g_01403
OG0000174	Syam.g_02349	Pray.g_01431
OG0000175	Syam.g_02417	Pray.g_01441
OG0000176	Syam.g_00004	Pray.g_01465, Pray.g_01466
OG0000177	Syam.g_00005	Pray.g_01467
OG0000178	Syam.g_00006	Pray.g_01468
OG0000179	Syam.g_00021	Pray.g_01478
OG0000180	Syam.g_00022	Pray.g_01479
OG0000181	Syam.g_00023	Pray.g_01480
OG0000182	Syam.g_00024	Pray.g_01481
OG0000183	Syam.g_00028	Pray.g_01485
OG0000184	Syam.g_02298	Pray.g_00237
OG0000185	Syam.g_02295	Pray.g_00234
OG0000186	Syam.g_02058	Pray.g_00225
OG0000187	Syam.g_02059	Pray.g_00224
OG0000188	Syam.g_02081	Pray.g_00207
OG0000189	Syam.g_02108	Pray.g_00193
OG0000190	Syam.g_02110	Pray.g_00192
OG0000191	Syam.g_02142	Pray.g_00172
OG0000192	Syam.g_02148	Pray.g_00168
OG0000193	Syam.g_02192	Pray.g_00143
OG0000194	Syam.g_02195	Pray.g_00140
OG0000195	Syam.g_02197	Pray.g_00138
OG0000196	Syam.g_02208	Pray.g_00642
OG0000197	Syam.g_02209	Pray.g_00643
OG0000198	Syam.g_02210	Pray.g_00644
OG0000199	Syam.g_02218	Pray.g_00651
OG0000200	Syam.g_02234	Pray.g_00665
OG0000202	Syam.g_02249	Pray.g_00674
OG0000203	Syam.g_02250	Pray.g_00675
OG0000204	Syam.g_02251	Pray.g_00676
OG0000205	Syam.g_02258	Pray.g_00683
OG0000206	Syam.g_02264	Pray.g_00688
OG0000207	Syam.g_02266	Pray.g_00690
OG0000208	Syam.g_02267	Pray.g_00691
OG0000209	Syam.g_02278	Pray.g_00700
OG0000210	Syam.g_02279	Pray.g_00701
OG0000212	Syam.g_00515	Pray.g_00721
OG0000213	Syam.g_00263	Pray.g_00738
OG0000214	Syam.g_00247	Pray.g_00747
OG0000215	Syam.g_00216	Pray.g_00771
OG0000216	Syam.g_00212	Pray.g_00772
OG0000217	Syam.g_00208	Pray.g_00775
OG0000218	Syam.g_00206	Pray.g_00777
OG0000219	Syam.g_00205	Pray.g_00778
OG0000220	Syam.g_00204	Pray.g_00779
OG0000221	Syam.g_00198	Pray.g_00780
OG0000222	Syam.g_00186	Pray.g_00788
OG0000223	Syam.g_00168	Pray.g_00801
OG0000224	Syam.g_00164	Pray.g_00803
OG0000225	Syam.g_00473	Pray.g_00824
OG0000226	Syam.g_00477	Pray.g_00828
OG0000227	Syam.g_00479	Pray.g_00830
OG0000228	Syam.g_00488	Pray.g_00833
OG0000229	Syam.g_01867	Pray.g_00926
OG0000230	Syam.g_01865	Pray.g_00928
OG0000231	Syam.g_01848	Pray.g_00939
OG0000232	Syam.g_01692	Pray.g_00948
OG0000233	Syam.g_01678	Pray.g_00953
OG0000234	Syam.g_01667	Pray.g_00966
OG0000235	Syam.g_00582	Pray.g_00969
OG0000236	Syam.g_00597	Pray.g_00983
OG0000237	Syam.g_00614	Pray.g_00997
OG0000238	Syam.g_00619	Pray.g_01003
OG0000239	Syam.g_00637	Pray.g_01016
OG0000240	Syam.g_00638	Pray.g_01017
OG0000241	Syam.g_01477	Pray.g_01021
OG0000242	Syam.g_00649	Pray.g_01023
OG0000243	Syam.g_00668	Pray.g_01218
OG0000244	Syam.g_00674	Pray.g_01215
OG0000245	Syam.g_00676	Pray.g_01213
OG0000246	Syam.g_00680	Pray.g_01209
OG0000247	Syam.g_00692	Pray.g_01199
OG0000248	Syam.g_00695	Pray.g_01197
OG0000249	Syam.g_00697	Pray.g_01195
OG0000250	Syam.g_01747	Pray.g_01190
OG0000251	Syam.g_01722	Pray.g_01172
OG0000252	Syam.g_01719	Pray.g_01169
OG0000253	Syam.g_01718	Pray.g_01168
OG0000254	Syam.g_01510	Pray.g_01152
OG0000255	Syam.g_01500	Pray.g_01146
OG0000256	Syam.g_01484	Pray.g_01136
OG0000257	Syam.g_01478	Pray.g_01133
OG0000258	Syam.g_01459	Pray.g_01120
OG0000259	Syam.g_01378	Pray.g_01103
OG0000260	Syam.g_01375	Pray.g_01100
OG0000261	Syam.g_01372	Pray.g_01098
OG0000262	Syam.g_01367	Pray.g_01094
OG0000263	Syam.g_00885	Pray.g_01082
OG0000264	Syam.g_00805	Pray.g_01072
OG0000265	Syam.g_01880	Pray.g_01040
OG0000266	Syam.g_01234	Pray.g_01030
OG0000267	Syam.g_01071	Pray.g_00274
OG0000268	Syam.g_01072	Pray.g_00275
OG0000269	Syam.g_01295	Pray.g_00343
OG0000270	Syam.g_01292	Pray.g_00346
OG0000271	Syam.g_01284	Pray.g_00354
OG0000272	Syam.g_01283	Pray.g_00355
OG0000273	Syam.g_00745	Pray.g_00378
OG0000274	Syam.g_00744	Pray.g_00379
OG0000275	Syam.g_00741	Pray.g_00382
OG0000276	Syam.g_00733	Pray.g_00387
OG0000277	Syam.g_00732	Pray.g_00388
OG0000278	Syam.g_00729	Pray.g_00391
OG0000279	Syam.g_00721	Pray.g_00398
OG0000280	Syam.g_00701	Pray.g_00399
OG0000281	Syam.g_00943	Pray.g_00404
OG0000282	Syam.g_01347	Pray.g_00454
OG0000283	Syam.g_01087	Pray.g_00488
OG0000284	Syam.g_01093	Pray.g_00493
OG0000285	Syam.g_01105	Pray.g_00498
OG0000286	Syam.g_01123	Pray.g_00510
OG0000288	Syam.g_01186	Pray.g_00557
OG0000289	Syam.g_01201	Pray.g_00568
OG0000290	Syam.g_00771	Pray.g_00581
OG0000291	Syam.g_00773	Pray.g_00583
OG0000292	Syam.g_02439	Pray.g_00632
OG0000293	Syam.g_01806	Pray.g_00073
OG0000294	Syam.g_01805	Pray.g_00072
OG0000295	Syam.g_01771	Pray.g_00051
OG0000296	Syam.g_01769	Pray.g_00049
OG0000297	Syam.g_00906	Pray.g_00041
OG0000298	Syam.g_00905	Pray.g_00040
OG0000299	Syam.g_00878	Pray.g_00023
OG0000300	Syam.g_00871	Pray.g_00020
OG0000301	Syam.g_00870	Pray.g_00019
OG0000302	Syam.g_00868	Pray.g_00017
OG0000303	Syam.g_00859	Pray.g_00010
OG0000304	Syam.g_00853	Pray.g_00006
OG0000305	Syam.g_00776	Pray.g_01837
OG0000306	Syam.g_01757	Pray.g_01834
OG0000307	Syam.g_00566	Pray.g_01820
OG0000308	Syam.g_00564	Pray.g_01819
OG0000309	Syam.g_00559	Pray.g_01815
OG0000310	Syam.g_01591	Pray.g_01737
OG0000311	Syam.g_01595	Pray.g_01735
OG0000312	Syam.g_01601	Pray.g_01732
OG0000313	Syam.g_01617	Pray.g_01718
OG0000314	Syam.g_01647	Pray.g_01695
OG0000315	Syam.g_01658	Pray.g_01685
OG0000316	Syam.g_01945	Pray.g_01665
OG0000317	Syam.g_01987	Pray.g_01561
OG0000318	Syam.g_01991	Pray.g_01558
OG0000319	Syam.g_02006	Pray.g_01545
OG0000320	Syam.g_02008	Pray.g_01543
OG0000321	Syam.g_02009	Pray.g_01542
OG0000322	Syam.g_02010	Pray.g_01541
OG0000323	Syam.g_02025	Pray.g_01532
OG0000324	Syam.g_01906	Pray.g_01506
OG0000325	Syam.g_00289	Pray.g_01235
OG0000326	Syam.g_00296	Pray.g_01241
OG0000327	Syam.g_00325	Pray.g_01265
OG0000328	Syam.g_00326	Pray.g_01266
OG0000329	Syam.g_00344	Pray.g_01283
OG0000330	Syam.g_00345	Pray.g_01284
OG0000331	Syam.g_00346	Pray.g_01285
OG0000332	Syam.g_00361	Pray.g_01299
OG0000333	Syam.g_00364	Pray.g_01301
OG0000334	Syam.g_00375	Pray.g_01309
OG0000335	Syam.g_00380	Pray.g_01314
OG0000336	Syam.g_00384	Pray.g_01318
OG0000337	Syam.g_00155	Pray.g_01335
OG0000338	Syam.g_00153	Pray.g_01336
OG0000339	Syam.g_00147	Pray.g_01340
OG0000340	Syam.g_00137	Pray.g_01348
OG0000341	Syam.g_00135	Pray.g_01350
OG0000342	Syam.g_00134	Pray.g_01351
OG0000343	Syam.g_00133	Pray.g_01352
OG0000344	Syam.g_00129	Pray.g_01355
OG0000345	Syam.g_00119	Pray.g_01360
OG0000346	Syam.g_00114	Pray.g_01365
OG0000347	Syam.g_00083	Pray.g_01381
OG0000348	Syam.g_00068	Pray.g_01391
OG0000349	Syam.g_00050	Pray.g_01408
OG0000350	Syam.g_00303	Pray.g_01427
OG0000351	Syam.g_02420	Pray.g_01444
OG0000352	Syam.g_02421	Pray.g_01445
OG0000353	Syam.g_02445	Pray.g_01460
OG0000355	Syam.g_00001	Pray.g_01462
OG0000356	Syam.g_00002	Pray.g_01463
OG0000357	Syam.g_00003	Pray.g_01464
OG0000358	Syam.g_00007	Pray.g_01469
OG0000359	Syam.g_00009	Pray.g_01470
OG0000360	Syam.g_00010	Pray.g_01471
OG0000361	Syam.g_00011	Pray.g_01472
OG0000362	Syam.g_00013	Pray.g_01474
OG0000363	Syam.g_00015	Pray.g_01476
OG0000364	Syam.g_00016	Pray.g_01477
OG0000365	Syam.g_00025	Pray.g_01482
OG0000366	Syam.g_00026	Pray.g_01483
OG0000367	Syam.g_00027	Pray.g_01484
OG0000368	Syam.g_00029	Pray.g_01486
OG0000369	Syam.g_00030	Pray.g_01487
OG0000370	Syam.g_00031	Pray.g_01488
OG0000371	Syam.g_00038	Pray.g_01494
OG0000372	Syam.g_00043	Pray.g_01497
OG0000373	Syam.g_00044	Pray.g_01498
OG0000374	Syam.g_00045	Pray.g_01499
OG0000375	Syam.g_00046	Pray.g_00243
OG0000376	Syam.g_00048	Pray.g_00241
OG0000377	Syam.g_02306	Pray.g_00238
OG0000378	Syam.g_02297	Pray.g_00236
OG0000379	Syam.g_02294	Pray.g_00233
OG0000380	Syam.g_02060	Pray.g_00223
OG0000381	Syam.g_02063	Pray.g_00219
OG0000382	Syam.g_02080	Pray.g_00208
OG0000383	Syam.g_02083	Pray.g_00206
OG0000384	Syam.g_02084	Pray.g_00205
OG0000385	Syam.g_02085	Pray.g_00204
OG0000386	Syam.g_02086	Pray.g_00203
OG0000387	Syam.g_02112	Pray.g_00190
OG0000388	Syam.g_02116	Pray.g_00187
OG0000389	Syam.g_02120	Pray.g_00183
OG0000390	Syam.g_02136	Pray.g_00176
OG0000391	Syam.g_02141	Pray.g_00173
OG0000392	Syam.g_02147	Pray.g_00169
OG0000393	Syam.g_02149	Pray.g_00167
OG0000394	Syam.g_02150	Pray.g_00166
OG0000395	Syam.g_02151	Pray.g_00165
OG0000396	Syam.g_02153	Pray.g_00162
OG0000397	Syam.g_02160	Pray.g_00160
OG0000398	Syam.g_02165	Pray.g_00158
OG0000399	Syam.g_02166	Pray.g_00157
OG0000400	Syam.g_02167	Pray.g_00156
OG0000401	Syam.g_02168	Pray.g_00155
OG0000402	Syam.g_02171	Pray.g_00153
OG0000403	Syam.g_02172	Pray.g_00152
OG0000404	Syam.g_02173	Pray.g_00151
OG0000405	Syam.g_02189	Pray.g_00147
OG0000406	Syam.g_02193	Pray.g_00142
OG0000407	Syam.g_02194	Pray.g_00141
OG0000408	Syam.g_02196	Pray.g_00139
OG0000409	Syam.g_02198	Pray.g_00137
OG0000410	Syam.g_02199	Pray.g_00136
OG0000411	Syam.g_02200	Pray.g_00635
OG0000412	Syam.g_02201	Pray.g_00636
OG0000413	Syam.g_02203	Pray.g_00637
OG0000414	Syam.g_02204	Pray.g_00638
OG0000415	Syam.g_02205	Pray.g_00639
OG0000416	Syam.g_02206	Pray.g_00640
OG0000417	Syam.g_02207	Pray.g_00641
OG0000418	Syam.g_02212	Pray.g_00646
OG0000419	Syam.g_02214	Pray.g_00648
OG0000420	Syam.g_02216	Pray.g_00649
OG0000421	Syam.g_02221	Pray.g_00654
OG0000422	Syam.g_02222	Pray.g_00655
OG0000423	Syam.g_02223	Pray.g_00656
OG0000424	Syam.g_02224	Pray.g_00657
OG0000425	Syam.g_02225	Pray.g_00658
OG0000426	Syam.g_02226	Pray.g_00659
OG0000427	Syam.g_02227	Pray.g_00660
OG0000428	Syam.g_02230	Pray.g_00662
OG0000429	Syam.g_02232	Pray.g_00663
OG0000430	Syam.g_02233	Pray.g_00664
OG0000431	Syam.g_02237	Pray.g_00666
OG0000432	Syam.g_02243	Pray.g_00669
OG0000433	Syam.g_02244	Pray.g_00670
OG0000434	Syam.g_02245	Pray.g_00671
OG0000435	Syam.g_02246	Pray.g_00672
OG0000436	Syam.g_02252	Pray.g_00677
OG0000437	Syam.g_02253	Pray.g_00678
OG0000438	Syam.g_02254	Pray.g_00679
OG0000439	Syam.g_02256	Pray.g_00681
OG0000440	Syam.g_02257	Pray.g_00682
OG0000441	Syam.g_02261	Pray.g_00685
OG0000442	Syam.g_02262	Pray.g_00686
OG0000443	Syam.g_02263	Pray.g_00687
OG0000444	Syam.g_02268	Pray.g_00692
OG0000445	Syam.g_02269	Pray.g_00693
OG0000446	Syam.g_02270	Pray.g_00694
OG0000447	Syam.g_02272	Pray.g_00695
OG0000448	Syam.g_02273	Pray.g_00696
OG0000449	Syam.g_02274	Pray.g_00697
OG0000450	Syam.g_02275	Pray.g_00698
OG0000451	Syam.g_02276	Pray.g_00699
OG0000452	Syam.g_02280	Pray.g_00702
OG0000453	Syam.g_02281	Pray.g_00703
OG0000454	Syam.g_02282	Pray.g_00704
OG0000455	Syam.g_02283	Pray.g_00705
OG0000456	Syam.g_02284	Pray.g_00706
OG0000457	Syam.g_02286	Pray.g_00707
OG0000458	Syam.g_02287	Pray.g_00708
OG0000459	Syam.g_02288	Pray.g_00709
OG0000460	Syam.g_00506	Pray.g_00716
OG0000461	Syam.g_00284	Pray.g_00723
OG0000462	Syam.g_00281	Pray.g_00725
OG0000463	Syam.g_00280	Pray.g_00726
OG0000464	Syam.g_00279	Pray.g_00727
OG0000465	Syam.g_00277	Pray.g_00728
OG0000466	Syam.g_00273	Pray.g_00731
OG0000467	Syam.g_00271	Pray.g_00732
OG0000468	Syam.g_00266	Pray.g_00734
OG0000469	Syam.g_00253	Pray.g_00742
OG0000470	Syam.g_00251	Pray.g_00744
OG0000471	Syam.g_00250	Pray.g_00745
OG0000472	Syam.g_00248	Pray.g_00746
OG0000473	Syam.g_00246	Pray.g_00748
OG0000474	Syam.g_00245	Pray.g_00749
OG0000475	Syam.g_00244	Pray.g_00750
OG0000476	Syam.g_00242	Pray.g_00751
OG0000477	Syam.g_00236	Pray.g_00754
OG0000478	Syam.g_00235	Pray.g_00755
OG0000479	Syam.g_00234	Pray.g_00756
OG0000480	Syam.g_00227	Pray.g_00761
OG0000481	Syam.g_00225	Pray.g_00763
OG0000482	Syam.g_00224	Pray.g_00764
OG0000483	Syam.g_00220	Pray.g_00767
OG0000484	Syam.g_00219	Pray.g_00768
OG0000485	Syam.g_00218	Pray.g_00769
OG0000486	Syam.g_00217	Pray.g_00770
OG0000487	Syam.g_00211	Pray.g_00773
OG0000488	Syam.g_00207	Pray.g_00776
OG0000489	Syam.g_00197	Pray.g_00781
OG0000490	Syam.g_00189	Pray.g_00786
OG0000491	Syam.g_00187	Pray.g_00787
OG0000492	Syam.g_00185	Pray.g_00789
OG0000493	Syam.g_00184	Pray.g_00790
OG0000494	Syam.g_00183	Pray.g_00791
OG0000495	Syam.g_00182	Pray.g_00792
OG0000496	Syam.g_00181	Pray.g_00793
OG0000497	Syam.g_00180	Pray.g_00794
OG0000498	Syam.g_00179	Pray.g_00795
OG0000499	Syam.g_00178	Pray.g_00796
OG0000500	Syam.g_00177	Pray.g_00797
OG0000501	Syam.g_00174	Pray.g_00799
OG0000502	Syam.g_00165	Pray.g_00802
OG0000503	Syam.g_00457	Pray.g_00812
OG0000504	Syam.g_00459	Pray.g_00813
OG0000505	Syam.g_00460	Pray.g_00814
OG0000506	Syam.g_00462	Pray.g_00816
OG0000507	Syam.g_00468	Pray.g_00819
OG0000508	Syam.g_00472	Pray.g_00823
OG0000509	Syam.g_00474	Pray.g_00825
OG0000510	Syam.g_00475	Pray.g_00826
OG0000511	Syam.g_00476	Pray.g_00827
OG0000512	Syam.g_00478	Pray.g_00829
OG0000513	Syam.g_00493	Pray.g_00836
OG0000514	Syam.g_00499	Pray.g_00921
OG0000515	Syam.g_00500	Pray.g_00922
OG0000516	Syam.g_01862	Pray.g_00923
OG0000517	Syam.g_01868	Pray.g_00925
OG0000518	Syam.g_01851	Pray.g_00936
OG0000519	Syam.g_01850	Pray.g_00937
OG0000520	Syam.g_01849	Pray.g_00938
OG0000521	Syam.g_01696	Pray.g_00943
OG0000522	Syam.g_01694	Pray.g_00945
OG0000523	Syam.g_01693	Pray.g_00946
OG0000524	Syam.g_01681	Pray.g_00951
OG0000525	Syam.g_01677	Pray.g_00954
OG0000526	Syam.g_01674	Pray.g_00955
OG0000527	Syam.g_01670	Pray.g_00963
OG0000528	Syam.g_00580	Pray.g_00968
OG0000529	Syam.g_00584	Pray.g_00971
OG0000530	Syam.g_00587	Pray.g_00974
OG0000531	Syam.g_00588	Pray.g_00975
OG0000532	Syam.g_00591	Pray.g_00977
OG0000533	Syam.g_00592	Pray.g_00978
OG0000534	Syam.g_00593	Pray.g_00979
OG0000535	Syam.g_00594	Pray.g_00980
OG0000536	Syam.g_00595	Pray.g_00981
OG0000537	Syam.g_00596	Pray.g_00982
OG0000538	Syam.g_00607	Pray.g_00991
OG0000539	Syam.g_00608	Pray.g_00992
OG0000540	Syam.g_00609	Pray.g_00993
OG0000541	Syam.g_00610	Pray.g_00994
OG0000542	Syam.g_00613	Pray.g_00996
OG0000543	Syam.g_00615	Pray.g_00998
OG0000544	Syam.g_00616	Pray.g_00999
OG0000545	Syam.g_00618	Pray.g_01001
OG0000546	Syam.g_00620	Pray.g_01004
OG0000547	Syam.g_00622	Pray.g_01006
OG0000548	Syam.g_00623	Pray.g_01007
OG0000549	Syam.g_00630	Pray.g_01009
OG0000550	Syam.g_00635	Pray.g_01014
OG0000551	Syam.g_00640	Pray.g_01018
OG0000552	Syam.g_00641	Pray.g_01019
OG0000553	Syam.g_00643	Pray.g_01020
OG0000554	Syam.g_00652	Pray.g_01227
OG0000555	Syam.g_00667	Pray.g_01219
OG0000556	Syam.g_00670	Pray.g_01217
OG0000557	Syam.g_00672	Pray.g_01216
OG0000558	Syam.g_00675	Pray.g_01214
OG0000559	Syam.g_00679	Pray.g_01210
OG0000560	Syam.g_00682	Pray.g_01207
OG0000561	Syam.g_00683	Pray.g_01206
OG0000562	Syam.g_00684	Pray.g_01205
OG0000563	Syam.g_00685	Pray.g_01204
OG0000564	Syam.g_00686	Pray.g_01203
OG0000565	Syam.g_00690	Pray.g_01200
OG0000566	Syam.g_00694	Pray.g_01198
OG0000567	Syam.g_00698	Pray.g_01194
OG0000568	Syam.g_01751	Pray.g_01193
OG0000569	Syam.g_01750	Pray.g_01192
OG0000570	Syam.g_01749	Pray.g_01191
OG0000571	Syam.g_01745	Pray.g_01189
OG0000572	Syam.g_01729	Pray.g_01176
OG0000573	Syam.g_01721	Pray.g_01171
OG0000574	Syam.g_01720	Pray.g_01170
OG0000575	Syam.g_01716	Pray.g_01166
OG0000576	Syam.g_01714	Pray.g_01164
OG0000577	Syam.g_01713	Pray.g_01163
OG0000578	Syam.g_01712	Pray.g_01162
OG0000579	Syam.g_01711	Pray.g_01161
OG0000580	Syam.g_01710	Pray.g_01160
OG0000581	Syam.g_01704	Pray.g_01158
OG0000582	Syam.g_01513	Pray.g_01155
OG0000583	Syam.g_01512	Pray.g_01154
OG0000584	Syam.g_01511	Pray.g_01153
OG0000585	Syam.g_01509	Pray.g_01151
OG0000586	Syam.g_01508	Pray.g_01150
OG0000587	Syam.g_01506	Pray.g_01149
OG0000588	Syam.g_01498	Pray.g_01145
OG0000589	Syam.g_01494	Pray.g_01142
OG0000590	Syam.g_01493	Pray.g_01141
OG0000591	Syam.g_01486	Pray.g_01138
OG0000592	Syam.g_01485	Pray.g_01137
OG0000593	Syam.g_01471	Pray.g_01131
OG0000594	Syam.g_01470	Pray.g_01130
OG0000595	Syam.g_01469	Pray.g_01129
OG0000596	Syam.g_01465	Pray.g_01125
OG0000597	Syam.g_01462	Pray.g_01123
OG0000598	Syam.g_01461	Pray.g_01122
