Orthogroup	Syam	Prae
OG0000054	Syam.g_01515	Prae.g_00580
OG0000055	Syam.g_00754	Prae.g_00787
OG0000057	Syam.g_00784	Prae.g_00672
OG0000058	Syam.g_00169	Prae.g_01417, Prae.g_01406
OG0000059	Syam.g_00320	Prae.g_01710
OG0000060	Syam.g_00902	Prae.g_01238
OG0000061	Syam.g_01795	Prae.g_01422, Prae.g_01163
OG0000063	Syam.g_00039	Prae.g_00033
OG0000065	Syam.g_02121	Prae.g_00106
OG0000066	Syam.g_00552, Syam.g_00662	Prae.g_00514
OG0000067	Syam.g_01290	Prae.g_00806
OG0000068	Syam.g_00575	Prae.g_01368
OG0000070	Syam.g_01847	Prae.g_00424
OG0000071	Syam.g_01830	Prae.g_01329
OG0000072	Syam.g_02219	Prae.g_00174
OG0000073	Syam.g_00604	Prae.g_00473
OG0000075	Syam.g_00148	Prae.g_01791
OG0000076	Syam.g_00115	Prae.g_01815
OG0000077	Syam.g_02074	Prae.g_00078
OG0000078	Syam.g_00514	Prae.g_00242
OG0000079	Syam.g_00270	Prae.g_00255
OG0000081	Syam.g_00520	Prae.g_00505
OG0000082	Syam.g_01730	Prae.g_00559
OG0000085	Syam.g_01979	Prae.g_01616
OG0000086	Syam.g_02092	Prae.g_00088
OG0000087	Syam.g_02175	Prae.g_00139
OG0000088	Syam.g_02213	Prae.g_00169
OG0000089	Syam.g_00489	Prae.g_00355
OG0000090	Syam.g_00651	Prae.g_00508
OG0000091	Syam.g_01460	Prae.g_00616
OG0000094	Syam.g_01198	Prae.g_01021
OG0000097	Syam.g_00874	Prae.g_01204
OG0000098	Syam.g_00944	Prae.g_01350
OG0000099	Syam.g_00173	Prae.g_01390
OG0000100	Syam.g_01259	Prae.g_01533
OG0000101	Syam.g_00371	Prae.g_01758
OG0000102	Syam.g_00110	Prae.g_01820
OG0000103	Syam.g_02428	Prae.g_01899
OG0000104	Syam.g_02442	Prae.g_01907
OG0000105	Syam.g_00238	Prae.g_01440
OG0000106	Syam.g_01039	Prae.g_00370
OG0000107	Syam.g_00288	Prae.g_00385
OG0000108	Syam.g_00583	Prae.g_00454
OG0000109	Syam.g_00598	Prae.g_00468
OG0000110	Syam.g_01743	Prae.g_00549
OG0000112	Syam.g_01115	Prae.g_00770
OG0000113	Syam.g_01264	Prae.g_00828
OG0000114	Syam.g_01349	Prae.g_00908
OG0000115	Syam.g_01634	Prae.g_01102
OG0000116	Syam.g_01807	Prae.g_01153
OG0000117	Syam.g_00904	Prae.g_01263
OG0000118	Syam.g_01698	Prae.g_01341
OG0000120	Syam.g_00172	Prae.g_01389
OG0000121	Syam.g_01615	Prae.g_01461
OG0000122	Syam.g_01436	Prae.g_01499
OG0000123	Syam.g_00379	Prae.g_01766
OG0000124	Syam.g_00096	Prae.g_01831
OG0000125	Syam.g_02319	Prae.g_01867
OG0000126	Syam.g_02440	Prae.g_01906
OG0000128	Syam.g_00012	Prae.g_00011
OG0000129	Syam.g_02307	Prae.g_00046
OG0000130	Syam.g_02062	Prae.g_00069
OG0000131	Syam.g_02191	Prae.g_00148
OG0000132	Syam.g_02211	Prae.g_00167
OG0000133	Syam.g_01120	Prae.g_00323
OG0000134	Syam.g_00492	Prae.g_00356
OG0000135	Syam.g_02347	Prae.g_00382
OG0000136	Syam.g_01857	Prae.g_00415
OG0000137	Syam.g_01668	Prae.g_00449
OG0000138	Syam.g_00599	Prae.g_00469
OG0000139	Syam.g_00657	Prae.g_00512
OG0000140	Syam.g_00659	Prae.g_00513
OG0000141	Syam.g_01514	Prae.g_00581
OG0000142	Syam.g_01468	Prae.g_00609
OG0000143	Syam.g_01464	Prae.g_00613
OG0000144	Syam.g_01032	Prae.g_00626
OG0000145	Syam.g_00605	Prae.g_00766
OG0000146	Syam.g_01114	Prae.g_00771
OG0000147	Syam.g_01113	Prae.g_00772
OG0000148	Syam.g_01270	Prae.g_00822
OG0000149	Syam.g_00725	Prae.g_00852
OG0000150	Syam.g_00660	Prae.g_00860
OG0000151	Syam.g_01338	Prae.g_00918
OG0000152	Syam.g_01124	Prae.g_00964
OG0000153	Syam.g_01160	Prae.g_00983
OG0000154	Syam.g_01187	Prae.g_01014
OG0000155	Syam.g_01763	Prae.g_01183
OG0000156	Syam.g_01814	Prae.g_01317
OG0000157	Syam.g_01815	Prae.g_01318
OG0000158	Syam.g_00139	Prae.g_01426
OG0000160	Syam.g_01614	Prae.g_01460
OG0000161	Syam.g_01620	Prae.g_01466
OG0000162	Syam.g_01627	Prae.g_01472
OG0000163	Syam.g_01927	Prae.g_01506
OG0000164	Syam.g_02023	Prae.g_01647
OG0000165	Syam.g_01879, Syam.g_01878	Prae.g_01654
OG0000166	Syam.g_00330	Prae.g_01722
OG0000167	Syam.g_00151	Prae.g_01789
OG0000168	Syam.g_00138	Prae.g_01799
OG0000169	Syam.g_00127	Prae.g_01809
OG0000170	Syam.g_00120	Prae.g_01811
OG0000171	Syam.g_00097	Prae.g_01830
OG0000172	Syam.g_00075	Prae.g_01838
OG0000173	Syam.g_00057	Prae.g_01853
OG0000174	Syam.g_02349	Prae.g_01881
OG0000175	Syam.g_02417	Prae.g_01891
OG0000176	Syam.g_00004	Prae.g_00004
OG0000177	Syam.g_00005	Prae.g_00005
OG0000178	Syam.g_00006	Prae.g_00006
OG0000179	Syam.g_00021	Prae.g_00016
OG0000180	Syam.g_00022	Prae.g_00017
OG0000181	Syam.g_00023	Prae.g_00018
OG0000182	Syam.g_00024	Prae.g_00019
OG0000183	Syam.g_00028	Prae.g_00023
OG0000184	Syam.g_02298	Prae.g_00048
OG0000185	Syam.g_02295	Prae.g_00051
OG0000186	Syam.g_02058	Prae.g_00064
OG0000187	Syam.g_02059	Prae.g_00065
OG0000188	Syam.g_02081	Prae.g_00082
OG0000189	Syam.g_02108	Prae.g_00096
OG0000190	Syam.g_02110	Prae.g_00097
OG0000191	Syam.g_02142	Prae.g_00117
OG0000192	Syam.g_02148	Prae.g_00121
OG0000193	Syam.g_02192	Prae.g_00149
OG0000194	Syam.g_02195	Prae.g_00152
OG0000195	Syam.g_02197	Prae.g_00154
OG0000196	Syam.g_02208	Prae.g_00164
OG0000197	Syam.g_02209	Prae.g_00165
OG0000198	Syam.g_02210	Prae.g_00166
OG0000199	Syam.g_02218	Prae.g_00173
OG0000200	Syam.g_02234	Prae.g_00187
OG0000202	Syam.g_02249	Prae.g_00196
OG0000203	Syam.g_02250	Prae.g_00197
OG0000204	Syam.g_02251	Prae.g_00198
OG0000205	Syam.g_02258	Prae.g_00205
OG0000206	Syam.g_02264	Prae.g_00210
OG0000207	Syam.g_02266	Prae.g_00212
OG0000208	Syam.g_02267	Prae.g_00213
OG0000209	Syam.g_02278	Prae.g_00222
OG0000210	Syam.g_02279	Prae.g_00223
OG0000212	Syam.g_00515	Prae.g_00243
OG0000213	Syam.g_00263	Prae.g_00260
OG0000214	Syam.g_00247	Prae.g_00270
OG0000215	Syam.g_00216	Prae.g_00293
OG0000216	Syam.g_00212	Prae.g_00295
OG0000217	Syam.g_00208	Prae.g_00298
OG0000218	Syam.g_00206	Prae.g_00300
OG0000219	Syam.g_00205	Prae.g_00301
OG0000220	Syam.g_00204	Prae.g_00302
OG0000221	Syam.g_00198	Prae.g_00303
OG0000222	Syam.g_00186	Prae.g_00311
OG0000223	Syam.g_00168	Prae.g_00324
OG0000224	Syam.g_00164	Prae.g_00326
OG0000225	Syam.g_00473	Prae.g_00345
OG0000226	Syam.g_00477	Prae.g_00349
OG0000227	Syam.g_00479	Prae.g_00351
OG0000228	Syam.g_00488	Prae.g_00354
OG0000229	Syam.g_01867	Prae.g_00410
OG0000230	Syam.g_01865	Prae.g_00412
OG0000231	Syam.g_01848	Prae.g_00423
OG0000232	Syam.g_01692	Prae.g_00432
OG0000233	Syam.g_01678	Prae.g_00437
OG0000234	Syam.g_01667	Prae.g_00450
OG0000235	Syam.g_00582	Prae.g_00453
OG0000236	Syam.g_00597	Prae.g_00467
OG0000237	Syam.g_00614	Prae.g_00480
OG0000238	Syam.g_00619	Prae.g_00486
OG0000239	Syam.g_00637	Prae.g_00499
OG0000240	Syam.g_00638	Prae.g_00500
OG0000241	Syam.g_01477	Prae.g_00504
OG0000242	Syam.g_00649	Prae.g_00506
OG0000243	Syam.g_00668	Prae.g_00518
OG0000244	Syam.g_00674	Prae.g_00521
OG0000245	Syam.g_00676	Prae.g_00523
OG0000246	Syam.g_00680	Prae.g_00527
OG0000247	Syam.g_00692	Prae.g_00537
OG0000248	Syam.g_00695	Prae.g_00539
OG0000249	Syam.g_00697	Prae.g_00541
OG0000250	Syam.g_01747	Prae.g_00546
OG0000251	Syam.g_01722	Prae.g_00565
OG0000252	Syam.g_01719	Prae.g_00568
OG0000253	Syam.g_01718	Prae.g_00569
OG0000254	Syam.g_01510	Prae.g_00585
OG0000255	Syam.g_01500	Prae.g_00591
OG0000256	Syam.g_01484	Prae.g_00601
OG0000257	Syam.g_01478	Prae.g_00604
OG0000258	Syam.g_01459	Prae.g_00617
OG0000259	Syam.g_01378	Prae.g_00634
OG0000260	Syam.g_01375	Prae.g_00637
OG0000261	Syam.g_01372	Prae.g_00639
OG0000262	Syam.g_01367	Prae.g_00643
OG0000263	Syam.g_00885	Prae.g_00655
OG0000264	Syam.g_00805	Prae.g_00665
OG0000265	Syam.g_01880	Prae.g_00711
OG0000266	Syam.g_01234	Prae.g_00721
OG0000267	Syam.g_01071	Prae.g_00732
OG0000268	Syam.g_01072	Prae.g_00733
OG0000269	Syam.g_01295	Prae.g_00801
OG0000270	Syam.g_01292	Prae.g_00804
OG0000271	Syam.g_01284	Prae.g_00812
OG0000272	Syam.g_01283	Prae.g_00813
OG0000273	Syam.g_00745	Prae.g_00836
OG0000274	Syam.g_00744	Prae.g_00837
OG0000275	Syam.g_00741	Prae.g_00839
OG0000276	Syam.g_00733	Prae.g_00844
OG0000277	Syam.g_00732	Prae.g_00845
OG0000278	Syam.g_00729	Prae.g_00848
OG0000279	Syam.g_00721	Prae.g_00855
OG0000280	Syam.g_00701	Prae.g_00856
OG0000281	Syam.g_00943	Prae.g_00861
OG0000282	Syam.g_01347	Prae.g_00910
OG0000283	Syam.g_01087	Prae.g_00941
OG0000284	Syam.g_01093	Prae.g_00946
OG0000285	Syam.g_01105	Prae.g_00951
OG0000286	Syam.g_01123	Prae.g_00963
OG0000288	Syam.g_01186	Prae.g_01013
OG0000289	Syam.g_01201	Prae.g_01024
OG0000290	Syam.g_00771	Prae.g_01037
OG0000291	Syam.g_00773	Prae.g_01039
OG0000292	Syam.g_02439	Prae.g_01090
OG0000293	Syam.g_01806	Prae.g_01154
OG0000294	Syam.g_01805	Prae.g_01155
OG0000295	Syam.g_01771	Prae.g_01175
OG0000296	Syam.g_01769	Prae.g_01177
OG0000297	Syam.g_00906	Prae.g_01185
OG0000298	Syam.g_00905	Prae.g_01186
OG0000299	Syam.g_00878	Prae.g_01203
OG0000300	Syam.g_00871	Prae.g_01206
OG0000301	Syam.g_00870	Prae.g_01207
OG0000302	Syam.g_00868	Prae.g_01209
OG0000303	Syam.g_00859	Prae.g_01216
OG0000304	Syam.g_00853	Prae.g_01220
OG0000305	Syam.g_00776	Prae.g_01360
OG0000306	Syam.g_01757	Prae.g_01363
OG0000307	Syam.g_00566	Prae.g_01377
OG0000308	Syam.g_00564	Prae.g_01378
OG0000309	Syam.g_00559	Prae.g_01382
OG0000310	Syam.g_01591	Prae.g_01444
OG0000311	Syam.g_01595	Prae.g_01446
OG0000312	Syam.g_01601	Prae.g_01449
OG0000313	Syam.g_01617	Prae.g_01463
OG0000314	Syam.g_01647	Prae.g_01486
OG0000315	Syam.g_01658	Prae.g_01496
OG0000316	Syam.g_01945	Prae.g_01516
OG0000317	Syam.g_01987	Prae.g_01621
OG0000318	Syam.g_01991	Prae.g_01624
OG0000319	Syam.g_02006	Prae.g_01637
OG0000320	Syam.g_02008	Prae.g_01639
OG0000321	Syam.g_02009	Prae.g_01640
OG0000322	Syam.g_02010	Prae.g_01641
OG0000323	Syam.g_02025	Prae.g_01650
OG0000324	Syam.g_01906	Prae.g_01676
OG0000325	Syam.g_00289	Prae.g_01687
OG0000326	Syam.g_00296	Prae.g_01693
OG0000327	Syam.g_00325	Prae.g_01717
OG0000328	Syam.g_00326	Prae.g_01718
OG0000329	Syam.g_00344	Prae.g_01735
OG0000330	Syam.g_00345	Prae.g_01736
OG0000331	Syam.g_00346	Prae.g_01737
OG0000332	Syam.g_00361	Prae.g_01751
OG0000333	Syam.g_00364	Prae.g_01753
OG0000334	Syam.g_00375	Prae.g_01761
OG0000335	Syam.g_00380	Prae.g_01767
OG0000336	Syam.g_00384	Prae.g_01771
OG0000337	Syam.g_00155	Prae.g_01787
OG0000338	Syam.g_00153	Prae.g_01788
OG0000339	Syam.g_00147	Prae.g_01792
OG0000340	Syam.g_00137	Prae.g_01800
OG0000341	Syam.g_00135	Prae.g_01802
OG0000342	Syam.g_00134	Prae.g_01803
OG0000343	Syam.g_00133	Prae.g_01804
OG0000344	Syam.g_00129	Prae.g_01807
OG0000345	Syam.g_00119	Prae.g_01812
OG0000346	Syam.g_00114	Prae.g_01816
OG0000347	Syam.g_00083	Prae.g_01832
OG0000348	Syam.g_00068	Prae.g_01841
OG0000349	Syam.g_00050	Prae.g_01858
OG0000350	Syam.g_00303	Prae.g_01877
OG0000351	Syam.g_02420	Prae.g_01894
OG0000352	Syam.g_02421	Prae.g_01895
OG0000353	Syam.g_02445	Prae.g_01910
OG0000355	Syam.g_00001	Prae.g_00001
OG0000356	Syam.g_00002	Prae.g_00002
OG0000357	Syam.g_00003	Prae.g_00003
OG0000358	Syam.g_00007	Prae.g_00007
OG0000359	Syam.g_00009	Prae.g_00008
OG0000360	Syam.g_00010	Prae.g_00009
OG0000361	Syam.g_00011	Prae.g_00010
OG0000362	Syam.g_00013	Prae.g_00012
OG0000363	Syam.g_00015	Prae.g_00014
OG0000364	Syam.g_00016	Prae.g_00015
OG0000365	Syam.g_00025	Prae.g_00020
OG0000366	Syam.g_00026	Prae.g_00021
OG0000367	Syam.g_00027	Prae.g_00022
OG0000368	Syam.g_00029	Prae.g_00024
OG0000369	Syam.g_00030	Prae.g_00025
OG0000370	Syam.g_00031	Prae.g_00026
OG0000371	Syam.g_00038	Prae.g_00032
OG0000372	Syam.g_00043	Prae.g_00035
OG0000373	Syam.g_00044	Prae.g_00036
OG0000374	Syam.g_00045	Prae.g_00037
OG0000375	Syam.g_00046	Prae.g_00042
OG0000376	Syam.g_00048	Prae.g_00044
OG0000377	Syam.g_02306	Prae.g_00047
OG0000378	Syam.g_02297	Prae.g_00049
OG0000379	Syam.g_02294	Prae.g_00052
OG0000380	Syam.g_02060	Prae.g_00066
OG0000381	Syam.g_02063	Prae.g_00070
OG0000382	Syam.g_02080	Prae.g_00081
OG0000383	Syam.g_02083	Prae.g_00083
OG0000384	Syam.g_02084	Prae.g_00084
OG0000385	Syam.g_02085	Prae.g_00085
OG0000386	Syam.g_02086	Prae.g_00086
OG0000387	Syam.g_02112	Prae.g_00099
OG0000388	Syam.g_02116	Prae.g_00102
OG0000389	Syam.g_02120	Prae.g_00105
OG0000390	Syam.g_02136	Prae.g_00112
OG0000391	Syam.g_02141	Prae.g_00116
OG0000392	Syam.g_02147	Prae.g_00120
OG0000393	Syam.g_02149	Prae.g_00122
OG0000394	Syam.g_02150	Prae.g_00123
OG0000395	Syam.g_02151	Prae.g_00124
OG0000396	Syam.g_02153	Prae.g_00127
OG0000397	Syam.g_02160	Prae.g_00129
OG0000398	Syam.g_02165	Prae.g_00131
OG0000399	Syam.g_02166	Prae.g_00132
OG0000400	Syam.g_02167	Prae.g_00133
OG0000401	Syam.g_02168	Prae.g_00134
OG0000402	Syam.g_02171	Prae.g_00136
OG0000403	Syam.g_02172	Prae.g_00137
OG0000404	Syam.g_02173	Prae.g_00138
OG0000405	Syam.g_02189	Prae.g_00142
OG0000406	Syam.g_02193	Prae.g_00150
OG0000407	Syam.g_02194	Prae.g_00151
OG0000408	Syam.g_02196	Prae.g_00153
OG0000409	Syam.g_02198	Prae.g_00155
OG0000410	Syam.g_02199	Prae.g_00156
OG0000411	Syam.g_02200	Prae.g_00157
OG0000412	Syam.g_02201	Prae.g_00158
OG0000413	Syam.g_02203	Prae.g_00159
OG0000414	Syam.g_02204	Prae.g_00160
OG0000415	Syam.g_02205	Prae.g_00161
OG0000416	Syam.g_02206	Prae.g_00162
OG0000417	Syam.g_02207	Prae.g_00163
OG0000418	Syam.g_02212	Prae.g_00168
OG0000419	Syam.g_02214	Prae.g_00170
OG0000420	Syam.g_02216	Prae.g_00171
OG0000421	Syam.g_02221	Prae.g_00176
OG0000422	Syam.g_02222	Prae.g_00177
OG0000423	Syam.g_02223	Prae.g_00178
OG0000424	Syam.g_02224	Prae.g_00179
OG0000425	Syam.g_02225	Prae.g_00180
OG0000426	Syam.g_02226	Prae.g_00181
OG0000427	Syam.g_02227	Prae.g_00182
OG0000428	Syam.g_02230	Prae.g_00184
OG0000429	Syam.g_02232	Prae.g_00185
OG0000430	Syam.g_02233	Prae.g_00186
OG0000431	Syam.g_02237	Prae.g_00188
OG0000432	Syam.g_02243	Prae.g_00191
OG0000433	Syam.g_02244	Prae.g_00192
OG0000434	Syam.g_02245	Prae.g_00193
OG0000435	Syam.g_02246	Prae.g_00194
OG0000436	Syam.g_02252	Prae.g_00199
OG0000437	Syam.g_02253	Prae.g_00200
OG0000438	Syam.g_02254	Prae.g_00201
OG0000439	Syam.g_02256	Prae.g_00203
OG0000440	Syam.g_02257	Prae.g_00204
OG0000441	Syam.g_02261	Prae.g_00207
OG0000442	Syam.g_02262	Prae.g_00208
OG0000443	Syam.g_02263	Prae.g_00209
OG0000444	Syam.g_02268	Prae.g_00214
OG0000445	Syam.g_02269	Prae.g_00215
OG0000446	Syam.g_02270	Prae.g_00216
OG0000447	Syam.g_02272	Prae.g_00217
OG0000448	Syam.g_02273	Prae.g_00218
OG0000449	Syam.g_02274	Prae.g_00219
OG0000450	Syam.g_02275	Prae.g_00220
OG0000451	Syam.g_02276	Prae.g_00221
OG0000452	Syam.g_02280	Prae.g_00224
OG0000453	Syam.g_02281	Prae.g_00225
OG0000454	Syam.g_02282	Prae.g_00226
OG0000455	Syam.g_02283	Prae.g_00227
OG0000456	Syam.g_02284	Prae.g_00228
OG0000457	Syam.g_02286	Prae.g_00229
OG0000458	Syam.g_02287	Prae.g_00230
OG0000459	Syam.g_02288	Prae.g_00231
OG0000460	Syam.g_00506	Prae.g_00238
OG0000461	Syam.g_00284	Prae.g_00245
OG0000462	Syam.g_00281	Prae.g_00247
OG0000463	Syam.g_00280	Prae.g_00248
OG0000464	Syam.g_00279	Prae.g_00249
OG0000465	Syam.g_00277	Prae.g_00250
OG0000466	Syam.g_00273	Prae.g_00253
OG0000467	Syam.g_00271	Prae.g_00254
OG0000468	Syam.g_00266	Prae.g_00256
OG0000469	Syam.g_00253	Prae.g_00265
OG0000470	Syam.g_00251	Prae.g_00267
OG0000471	Syam.g_00250	Prae.g_00268
OG0000472	Syam.g_00248	Prae.g_00269
OG0000473	Syam.g_00246	Prae.g_00271
OG0000474	Syam.g_00245	Prae.g_00272
OG0000475	Syam.g_00244	Prae.g_00273
OG0000476	Syam.g_00242	Prae.g_00274
OG0000477	Syam.g_00236	Prae.g_00276
OG0000478	Syam.g_00235	Prae.g_00277
OG0000479	Syam.g_00234	Prae.g_00278
OG0000480	Syam.g_00227	Prae.g_00283
OG0000481	Syam.g_00225	Prae.g_00285
OG0000482	Syam.g_00224	Prae.g_00286
OG0000483	Syam.g_00220	Prae.g_00289
OG0000484	Syam.g_00219	Prae.g_00290
OG0000485	Syam.g_00218	Prae.g_00291
OG0000486	Syam.g_00217	Prae.g_00292
OG0000487	Syam.g_00211	Prae.g_00296
OG0000488	Syam.g_00207	Prae.g_00299
OG0000489	Syam.g_00197	Prae.g_00304
OG0000490	Syam.g_00189	Prae.g_00309
OG0000491	Syam.g_00187	Prae.g_00310
OG0000492	Syam.g_00185	Prae.g_00312
OG0000493	Syam.g_00184	Prae.g_00313
OG0000494	Syam.g_00183	Prae.g_00314
OG0000495	Syam.g_00182	Prae.g_00315
OG0000496	Syam.g_00181	Prae.g_00316
OG0000497	Syam.g_00180	Prae.g_00317
OG0000498	Syam.g_00179	Prae.g_00318
OG0000499	Syam.g_00178	Prae.g_00319
OG0000500	Syam.g_00177	Prae.g_00320
OG0000501	Syam.g_00174	Prae.g_00322
OG0000502	Syam.g_00165	Prae.g_00325
OG0000503	Syam.g_00457	Prae.g_00335
OG0000504	Syam.g_00459	Prae.g_00336
OG0000505	Syam.g_00460	Prae.g_00337
OG0000506	Syam.g_00462	Prae.g_00338
OG0000507	Syam.g_00468	Prae.g_00341
OG0000508	Syam.g_00472	Prae.g_00344
OG0000509	Syam.g_00474	Prae.g_00346
OG0000510	Syam.g_00475	Prae.g_00347
OG0000511	Syam.g_00476	Prae.g_00348
OG0000512	Syam.g_00478	Prae.g_00350
OG0000513	Syam.g_00493	Prae.g_00357
OG0000514	Syam.g_00499	Prae.g_00405
OG0000515	Syam.g_00500	Prae.g_00406
OG0000516	Syam.g_01862	Prae.g_00407
OG0000517	Syam.g_01868	Prae.g_00409
OG0000518	Syam.g_01851	Prae.g_00420
OG0000519	Syam.g_01850	Prae.g_00421
OG0000520	Syam.g_01849	Prae.g_00422
OG0000521	Syam.g_01696	Prae.g_00427
OG0000522	Syam.g_01694	Prae.g_00429
OG0000523	Syam.g_01693	Prae.g_00430
OG0000524	Syam.g_01681	Prae.g_00435
OG0000525	Syam.g_01677	Prae.g_00438
OG0000526	Syam.g_01674	Prae.g_00439
OG0000527	Syam.g_01670	Prae.g_00447
OG0000528	Syam.g_00580	Prae.g_00452
OG0000529	Syam.g_00584	Prae.g_00455
OG0000530	Syam.g_00587	Prae.g_00458
OG0000531	Syam.g_00588	Prae.g_00459
OG0000532	Syam.g_00591	Prae.g_00461
OG0000533	Syam.g_00592	Prae.g_00462
OG0000534	Syam.g_00593	Prae.g_00463
OG0000535	Syam.g_00594	Prae.g_00464
OG0000536	Syam.g_00595	Prae.g_00465
OG0000537	Syam.g_00596	Prae.g_00466
OG0000538	Syam.g_00607	Prae.g_00474
OG0000539	Syam.g_00608	Prae.g_00475
OG0000540	Syam.g_00609	Prae.g_00476
OG0000541	Syam.g_00610	Prae.g_00477
OG0000542	Syam.g_00613	Prae.g_00479
OG0000543	Syam.g_00615	Prae.g_00481
OG0000544	Syam.g_00616	Prae.g_00482
OG0000545	Syam.g_00618	Prae.g_00484
OG0000546	Syam.g_00620	Prae.g_00487
OG0000547	Syam.g_00622	Prae.g_00489
OG0000548	Syam.g_00623	Prae.g_00490
OG0000549	Syam.g_00630	Prae.g_00492
OG0000550	Syam.g_00635	Prae.g_00497
OG0000551	Syam.g_00640	Prae.g_00501
OG0000552	Syam.g_00641	Prae.g_00502
OG0000553	Syam.g_00643	Prae.g_00503
OG0000554	Syam.g_00652	Prae.g_00509
OG0000555	Syam.g_00667	Prae.g_00517
OG0000556	Syam.g_00670	Prae.g_00519
OG0000557	Syam.g_00672	Prae.g_00520
OG0000558	Syam.g_00675	Prae.g_00522
OG0000559	Syam.g_00679	Prae.g_00526
OG0000560	Syam.g_00682	Prae.g_00529
OG0000561	Syam.g_00683	Prae.g_00530
OG0000562	Syam.g_00684	Prae.g_00531
OG0000563	Syam.g_00685	Prae.g_00532
OG0000564	Syam.g_00686	Prae.g_00533
OG0000565	Syam.g_00690	Prae.g_00536
OG0000566	Syam.g_00694	Prae.g_00538
OG0000567	Syam.g_00698	Prae.g_00542
OG0000568	Syam.g_01751	Prae.g_00543
OG0000569	Syam.g_01750	Prae.g_00544
OG0000570	Syam.g_01749	Prae.g_00545
OG0000571	Syam.g_01745	Prae.g_00547
OG0000572	Syam.g_01729	Prae.g_00560
OG0000573	Syam.g_01721	Prae.g_00566
OG0000574	Syam.g_01720	Prae.g_00567
OG0000575	Syam.g_01716	Prae.g_00571
OG0000576	Syam.g_01714	Prae.g_00573
OG0000577	Syam.g_01713	Prae.g_00574
OG0000578	Syam.g_01712	Prae.g_00575
OG0000579	Syam.g_01711	Prae.g_00576
OG0000580	Syam.g_01710	Prae.g_00577
OG0000581	Syam.g_01704	Prae.g_00579
OG0000582	Syam.g_01513	Prae.g_00582
OG0000583	Syam.g_01512	Prae.g_00583
OG0000584	Syam.g_01511	Prae.g_00584
OG0000585	Syam.g_01509	Prae.g_00586
OG0000586	Syam.g_01508	Prae.g_00587
OG0000587	Syam.g_01506	Prae.g_00588
OG0000588	Syam.g_01498	Prae.g_00592
OG0000589	Syam.g_01494	Prae.g_00595
OG0000590	Syam.g_01493	Prae.g_00596
OG0000591	Syam.g_01486	Prae.g_00599
OG0000592	Syam.g_01485	Prae.g_00600
OG0000593	Syam.g_01471	Prae.g_00606
OG0000594	Syam.g_01470	Prae.g_00607
OG0000595	Syam.g_01469	Prae.g_00608
OG0000596	Syam.g_01465	Prae.g_00612
OG0000597	Syam.g_01462	Prae.g_00614
OG0000598	Syam.g_01461	Prae.g_00615
OG0000599	Syam.g_01458	Prae.g_00618
OG0000600	Syam.g_01457	Prae.g_00619
OG0000601	Syam.g_01456	Prae.g_00620
OG0000602	Syam.g_01451	Prae.g_00622
