Orthogroup	Syaf	Prbl
OG0000115	Syaf.g_02445	Prbl.g_00687
OG0000116	Syaf.g_01276	Prbl.g_02069
OG0000117	Syaf.g_01605	Prbl.g_01384
OG0000118	Syaf.g_02544	Prbl.g_01736
OG0000120	Syaf.g_00313	Prbl.g_00892
OG0000121	Syaf.g_02419	Prbl.g_00234, Prbl.g_00240
OG0000123	Syaf.g_00086	Prbl.g_01135
OG0000124	Syaf.g_00414	Prbl.g_02054
OG0000125	Syaf.g_00640	Prbl.g_02231
OG0000126	Syaf.g_00504	Prbl.g_02127
OG0000127	Syaf.g_01541	Prbl.g_00745, Prbl.g_01821
OG0000128	Syaf.g_00486	Prbl.g_02109
OG0000129	Syaf.g_00651	Prbl.g_02243
OG0000130	Syaf.g_00963	Prbl.g_00608
OG0000131	Syaf.g_00833	Prbl.g_00303
OG0000132	Syaf.g_00813	Prbl.g_00283
OG0000133	Syaf.g_01857	Prbl.g_00897
OG0000134	Syaf.g_02804	Prbl.g_02677
OG0000135	Syaf.g_00605	Prbl.g_02190
OG0000136	Syaf.g_01224	Prbl.g_00647
OG0000137	Syaf.g_02498	Prbl.g_01340
OG0000138	Syaf.g_02705	Prbl.g_00528
OG0000139	Syaf.g_02648	Prbl.g_00760
OG0000140	Syaf.g_02646	Prbl.g_00754
OG0000141	Syaf.g_02375	Prbl.g_01751
OG0000142	Syaf.g_02310	Prbl.g_01639
OG0000143	Syaf.g_02306	Prbl.g_01643
OG0000144	Syaf.g_01735	Prbl.g_01042
OG0000145	Syaf.g_02699	Prbl.g_00534
OG0000146	Syaf.g_01851	Prbl.g_02469
OG0000147	Syaf.g_01850	Prbl.g_02468
OG0000148	Syaf.g_02028	Prbl.g_02316
OG0000149	Syaf.g_01371	Prbl.g_01552
OG0000150	Syaf.g_02645	Prbl.g_01576
OG0000151	Syaf.g_02091	Prbl.g_02386
OG0000152	Syaf.g_01861	Prbl.g_02478
OG0000153	Syaf.g_01904	Prbl.g_02505
OG0000154	Syaf.g_01930	Prbl.g_02532
OG0000155	Syaf.g_01324	Prbl.g_00185
OG0000156	Syaf.g_01270	Prbl.g_00115
OG0000157	Syaf.g_01269	Prbl.g_00114
OG0000158	Syaf.g_00364	Prbl.g_00843
OG0000160	Syaf.g_02418	Prbl.g_00241
OG0000161	Syaf.g_02424	Prbl.g_00227
OG0000162	Syaf.g_02431	Prbl.g_00221
OG0000163	Syaf.g_01105	Prbl.g_00452
OG0000164	Syaf.g_00999	Prbl.g_00365
OG0000165	Syaf.g_01197	Prbl.g_00356
OG0000166	Syaf.g_00133	Prbl.g_00962
OG0000167	Syaf.g_00350	Prbl.g_00857
OG0000168	Syaf.g_00365	Prbl.g_00842
OG0000169	Syaf.g_00376	Prbl.g_01302
OG0000170	Syaf.g_00383	Prbl.g_01290
OG0000171	Syaf.g_00413	Prbl.g_02055
OG0000172	Syaf.g_00419	Prbl.g_02021
OG0000173	Syaf.g_00438	Prbl.g_02000
OG0000174	Syaf.g_00603	Prbl.g_02188
OG0000175	Syaf.g_00531	Prbl.g_02150
OG0000176	Syaf.g_00494	Prbl.g_02117
OG0000177	Syaf.g_00493	Prbl.g_02116
OG0000178	Syaf.g_00492	Prbl.g_02115
OG0000179	Syaf.g_00477	Prbl.g_01961
OG0000180	Syaf.g_00476	Prbl.g_01962
OG0000181	Syaf.g_00475	Prbl.g_01963
OG0000182	Syaf.g_00474	Prbl.g_01964
OG0000183	Syaf.g_00470	Prbl.g_01968
OG0000184	Syaf.g_00664	Prbl.g_02251
OG0000185	Syaf.g_00684	Prbl.g_02273
OG0000186	Syaf.g_00968	Prbl.g_00614
OG0000187	Syaf.g_00966	Prbl.g_00613
OG0000188	Syaf.g_00944	Prbl.g_00591
OG0000189	Syaf.g_00916	Prbl.g_00565
OG0000190	Syaf.g_00914	Prbl.g_00563
OG0000191	Syaf.g_00877	Prbl.g_01325
OG0000192	Syaf.g_00871	Prbl.g_01316
OG0000193	Syaf.g_00832	Prbl.g_00302
OG0000194	Syaf.g_00829	Prbl.g_00299
OG0000195	Syaf.g_00827	Prbl.g_00297
OG0000196	Syaf.g_00816	Prbl.g_00286
OG0000197	Syaf.g_00815	Prbl.g_00285
OG0000198	Syaf.g_00814	Prbl.g_00284
OG0000199	Syaf.g_00806	Prbl.g_00277
OG0000200	Syaf.g_00789	Prbl.g_00069
OG0000202	Syaf.g_00770	Prbl.g_00089
OG0000203	Syaf.g_00769	Prbl.g_00090
OG0000204	Syaf.g_00768	Prbl.g_00091
OG0000205	Syaf.g_00761	Prbl.g_00098
OG0000206	Syaf.g_00736	Prbl.g_01282
OG0000207	Syaf.g_00735	Prbl.g_00130
OG0000208	Syaf.g_00734	Prbl.g_00129
OG0000209	Syaf.g_00714	Prbl.g_01256
OG0000210	Syaf.g_00713	Prbl.g_01257
OG0000211	Syaf.g_02791	Prbl.g_01922
OG0000212	Syaf.g_02781	Prbl.g_00192
OG0000213	Syaf.g_00210	Prbl.g_01496
OG0000214	Syaf.g_00226	Prbl.g_01469
OG0000215	Syaf.g_00258	Prbl.g_01439
OG0000216	Syaf.g_00262	Prbl.g_01436
OG0000217	Syaf.g_00266	Prbl.g_01432
OG0000218	Syaf.g_00268	Prbl.g_01428
OG0000219	Syaf.g_00269	Prbl.g_01427
OG0000220	Syaf.g_00270	Prbl.g_01426
OG0000221	Syaf.g_02597, Syaf.g_00273	Prbl.g_01421
OG0000222	Syaf.g_00287	Prbl.g_00911
OG0000223	Syaf.g_00317	Prbl.g_00888
OG0000224	Syaf.g_00324	Prbl.g_00877
OG0000225	Syaf.g_00007	Prbl.g_01218
OG0000226	Syaf.g_00003	Prbl.g_01222
OG0000227	Syaf.g_00001	Prbl.g_01224
OG0000228	Syaf.g_02808	Prbl.g_02673
OG0000229	Syaf.g_01214	Prbl.g_00652
OG0000230	Syaf.g_01216	Prbl.g_00650
OG0000231	Syaf.g_01236	Prbl.g_00635
OG0000232	Syaf.g_02536	Prbl.g_00619
OG0000233	Syaf.g_02528	Prbl.g_01360
OG0000234	Syaf.g_02497	Prbl.g_01339
OG0000235	Syaf.g_02722	Prbl.g_00510
OG0000236	Syaf.g_02707	Prbl.g_00526
OG0000237	Syaf.g_02690	Prbl.g_00800
OG0000238	Syaf.g_02685	Prbl.g_00795
OG0000239	Syaf.g_02669	Prbl.g_00779
OG0000240	Syaf.g_02668	Prbl.g_00778
OG0000241	Syaf.g_02322	Prbl.g_01526
OG0000242	Syaf.g_02656	Prbl.g_00768
OG0000243	Syaf.g_02634	Prbl.g_02647
OG0000244	Syaf.g_02627	Prbl.g_01879
OG0000245	Syaf.g_02625	Prbl.g_01882
OG0000246	Syaf.g_02621	Prbl.g_01886
OG0000247	Syaf.g_02610	Prbl.g_01897
OG0000248	Syaf.g_02607	Prbl.g_01900
OG0000249	Syaf.g_02605	Prbl.g_01902
OG0000250	Syaf.g_02593	Prbl.g_01799
OG0000251	Syaf.g_02568	Prbl.g_01775
OG0000252	Syaf.g_02565	Prbl.g_01772
OG0000253	Syaf.g_02564	Prbl.g_01766
OG0000254	Syaf.g_02371	Prbl.g_01747
OG0000255	Syaf.g_02352	Prbl.g_01612
OG0000256	Syaf.g_02329	Prbl.g_01626
OG0000257	Syaf.g_02323	Prbl.g_01632
OG0000258	Syaf.g_02301	Prbl.g_01655
OG0000259	Syaf.g_02137	Prbl.g_01406
OG0000260	Syaf.g_02134	Prbl.g_01403
OG0000261	Syaf.g_02131	Prbl.g_01400
OG0000262	Syaf.g_02126	Prbl.g_01395
OG0000263	Syaf.g_01585	Prbl.g_01242
OG0000264	Syaf.g_01473	Prbl.g_01859
OG0000266	Syaf.g_01967	Prbl.g_02556
OG0000267	Syaf.g_01787	Prbl.g_02431
OG0000268	Syaf.g_01788	Prbl.g_02432
OG0000269	Syaf.g_02054	Prbl.g_02340
OG0000270	Syaf.g_02051	Prbl.g_02337
OG0000271	Syaf.g_02043	Prbl.g_02329
OG0000272	Syaf.g_02042	Prbl.g_02328
OG0000273	Syaf.g_01392	Prbl.g_01534
OG0000274	Syaf.g_01391	Prbl.g_01535
OG0000275	Syaf.g_01386	Prbl.g_01538
OG0000276	Syaf.g_01379	Prbl.g_01544
OG0000277	Syaf.g_01378	Prbl.g_01545
OG0000278	Syaf.g_01375	Prbl.g_01548
OG0000279	Syaf.g_01367	Prbl.g_01556
OG0000280	Syaf.g_01337	Prbl.g_01562
OG0000281	Syaf.g_01636	Prbl.g_01577
OG0000282	Syaf.g_02101	Prbl.g_02405
OG0000283	Syaf.g_01804	Prbl.g_02443
OG0000284	Syaf.g_01810	Prbl.g_02449
OG0000285	Syaf.g_01842	Prbl.g_01688
OG0000286	Syaf.g_01860	Prbl.g_02477
OG0000287	Syaf.g_01896	Prbl.g_02608
OG0000288	Syaf.g_01929	Prbl.g_02531
OG0000289	Syaf.g_01943	Prbl.g_02544
OG0000290	Syaf.g_01439	Prbl.g_00930
OG0000291	Syaf.g_01441	Prbl.g_00928
OG0000292	Syaf.g_00505	Prbl.g_02128
OG0000293	Syaf.g_01277	Prbl.g_02071
OG0000294	Syaf.g_01278	Prbl.g_02072
OG0000295	Syaf.g_01316	Prbl.g_00178
OG0000296	Syaf.g_01318	Prbl.g_00180
OG0000297	Syaf.g_01607	Prbl.g_01382
OG0000298	Syaf.g_01606	Prbl.g_01383
OG0000299	Syaf.g_01578	Prbl.g_01372
OG0000300	Syaf.g_01571	Prbl.g_02582
OG0000301	Syaf.g_01570	Prbl.g_02583
OG0000302	Syaf.g_01568	Prbl.g_02586
OG0000303	Syaf.g_01559	Prbl.g_00187
OG0000304	Syaf.g_01551	Prbl.g_01102
OG0000305	Syaf.g_01444	Prbl.g_00926
OG0000306	Syaf.g_01332	Prbl.g_01586
OG0000307	Syaf.g_02742	Prbl.g_00494
OG0000308	Syaf.g_02744	Prbl.g_00492
OG0000309	Syaf.g_02749	Prbl.g_00488
OG0000310	Syaf.g_02387	Prbl.g_00160
OG0000311	Syaf.g_02391	Prbl.g_00258
OG0000312	Syaf.g_02397	Prbl.g_00254
OG0000313	Syaf.g_02421	Prbl.g_00230
OG0000314	Syaf.g_02458	Prbl.g_00699
OG0000315	Syaf.g_02468	Prbl.g_00709
OG0000316	Syaf.g_01088	Prbl.g_00441
OG0000317	Syaf.g_01040	Prbl.g_00399
OG0000318	Syaf.g_01032	Prbl.g_00393
OG0000319	Syaf.g_01015	Prbl.g_00376
OG0000320	Syaf.g_01013	Prbl.g_00374
OG0000321	Syaf.g_01012	Prbl.g_00373
OG0000322	Syaf.g_01011	Prbl.g_00372
OG0000323	Syaf.g_00997	Prbl.g_00361
OG0000324	Syaf.g_01164	Prbl.g_00332
OG0000325	Syaf.g_00176	Prbl.g_02683
OG0000326	Syaf.g_00169	Prbl.g_01059
OG0000327	Syaf.g_00138	Prbl.g_00957
OG0000328	Syaf.g_00137	Prbl.g_00958
OG0000329	Syaf.g_00119	Prbl.g_00975
OG0000330	Syaf.g_00118	Prbl.g_00976
OG0000331	Syaf.g_00117	Prbl.g_00977
OG0000332	Syaf.g_00102	Prbl.g_00992
OG0000333	Syaf.g_00099	Prbl.g_00994
OG0000334	Syaf.g_00090	Prbl.g_01131
OG0000335	Syaf.g_00085	Prbl.g_01136
OG0000336	Syaf.g_00081	Prbl.g_01140
OG0000337	Syaf.g_00344	Prbl.g_00863
OG0000338	Syaf.g_00348	Prbl.g_00859
OG0000339	Syaf.g_00355	Prbl.g_00853
OG0000340	Syaf.g_00366	Prbl.g_00841
OG0000341	Syaf.g_00368	Prbl.g_00839
OG0000342	Syaf.g_00369	Prbl.g_00838
OG0000343	Syaf.g_00370	Prbl.g_01307
OG0000344	Syaf.g_00374	Prbl.g_01304
OG0000345	Syaf.g_00384	Prbl.g_01289
OG0000346	Syaf.g_00389	Prbl.g_01284
OG0000347	Syaf.g_00415	Prbl.g_02053
OG0000348	Syaf.g_00427	Prbl.g_02016
OG0000349	Syaf.g_00445	Prbl.g_01992
OG0000350	Syaf.g_00162	Prbl.g_02195
OG0000351	Syaf.g_00528	Prbl.g_02147
OG0000352	Syaf.g_00527	Prbl.g_02146
OG0000353	Syaf.g_00499	Prbl.g_02122
OG0000354	Syaf.g_02680	Prbl.g_00789
OG0000354	Syaf.g_00479	Prbl.g_01959
OG0000355	Syaf.g_00497	Prbl.g_02120
OG0000356	Syaf.g_00496	Prbl.g_02119
OG0000357	Syaf.g_00495	Prbl.g_02118
OG0000358	Syaf.g_00491	Prbl.g_02114
OG0000359	Syaf.g_00489	Prbl.g_02112
OG0000360	Syaf.g_00488	Prbl.g_02111
OG0000361	Syaf.g_00487	Prbl.g_02110
OG0000362	Syaf.g_00485	Prbl.g_02108
OG0000363	Syaf.g_00483	Prbl.g_01955
OG0000364	Syaf.g_00482	Prbl.g_01956
OG0000365	Syaf.g_00473	Prbl.g_01965
OG0000366	Syaf.g_00472	Prbl.g_01966
OG0000367	Syaf.g_00471	Prbl.g_01967
OG0000368	Syaf.g_00469	Prbl.g_01969
OG0000369	Syaf.g_00468	Prbl.g_01970
OG0000370	Syaf.g_00467	Prbl.g_01971
OG0000371	Syaf.g_00458	Prbl.g_01980
OG0000372	Syaf.g_00453	Prbl.g_01985
OG0000373	Syaf.g_00452	Prbl.g_01986
OG0000374	Syaf.g_00451	Prbl.g_01987
OG0000375	Syaf.g_00449	Prbl.g_01988
OG0000376	Syaf.g_00447	Prbl.g_01990
OG0000377	Syaf.g_00654	Prbl.g_02244
OG0000378	Syaf.g_00668	Prbl.g_02258
OG0000379	Syaf.g_00686	Prbl.g_02274
OG0000380	Syaf.g_00965	Prbl.g_00612
OG0000381	Syaf.g_00962	Prbl.g_00607
OG0000382	Syaf.g_00945	Prbl.g_00592
OG0000383	Syaf.g_00941	Prbl.g_00590
OG0000384	Syaf.g_00940	Prbl.g_00589
OG0000385	Syaf.g_00939	Prbl.g_00588
OG0000386	Syaf.g_00938	Prbl.g_00587
OG0000387	Syaf.g_00912	Prbl.g_00561
OG0000388	Syaf.g_00908	Prbl.g_00557
OG0000389	Syaf.g_00904	Prbl.g_00553
OG0000390	Syaf.g_00883	Prbl.g_01331
OG0000391	Syaf.g_00878	Prbl.g_01326
OG0000392	Syaf.g_00872	Prbl.g_01320
OG0000393	Syaf.g_00870	Prbl.g_01315
OG0000394	Syaf.g_00869	Prbl.g_01314
OG0000395	Syaf.g_00868	Prbl.g_01313
OG0000396	Syaf.g_00865	Prbl.g_00827
OG0000397	Syaf.g_00863	Prbl.g_00825
OG0000398	Syaf.g_00858	Prbl.g_00820
OG0000399	Syaf.g_00857	Prbl.g_00819
OG0000400	Syaf.g_00856	Prbl.g_00818
OG0000401	Syaf.g_00855	Prbl.g_00817
OG0000402	Syaf.g_00852	Prbl.g_00815
OG0000403	Syaf.g_00851	Prbl.g_00814
OG0000404	Syaf.g_00850	Prbl.g_00812
OG0000405	Syaf.g_00835	Prbl.g_00305
OG0000406	Syaf.g_00831	Prbl.g_00301
OG0000407	Syaf.g_00830	Prbl.g_00300
OG0000408	Syaf.g_00828	Prbl.g_00298
OG0000409	Syaf.g_00826	Prbl.g_00296
OG0000410	Syaf.g_00825	Prbl.g_00295
OG0000411	Syaf.g_00824	Prbl.g_00294
OG0000412	Syaf.g_00823	Prbl.g_00293
OG0000413	Syaf.g_00821	Prbl.g_00291
OG0000414	Syaf.g_00820	Prbl.g_00290
OG0000415	Syaf.g_00819	Prbl.g_00289
OG0000416	Syaf.g_00818	Prbl.g_00288
OG0000417	Syaf.g_00817	Prbl.g_00287
OG0000418	Syaf.g_00812	Prbl.g_00282
OG0000419	Syaf.g_00810	Prbl.g_00280
OG0000420	Syaf.g_00808	Prbl.g_00279
OG0000421	Syaf.g_00803	Prbl.g_00275
OG0000422	Syaf.g_00802	Prbl.g_00274
OG0000423	Syaf.g_00801	Prbl.g_00273
OG0000424	Syaf.g_00800	Prbl.g_00272
OG0000425	Syaf.g_00799	Prbl.g_00271
OG0000426	Syaf.g_00798	Prbl.g_00270
OG0000427	Syaf.g_00797	Prbl.g_00269
OG0000428	Syaf.g_00794	Prbl.g_02377
OG0000429	Syaf.g_00792	Prbl.g_00066
OG0000430	Syaf.g_00790	Prbl.g_00068
OG0000431	Syaf.g_00786	Prbl.g_00072
OG0000432	Syaf.g_00779	Prbl.g_00079
OG0000433	Syaf.g_00777	Prbl.g_00082
OG0000434	Syaf.g_00776	Prbl.g_00083
OG0000435	Syaf.g_00772	Prbl.g_00086
OG0000436	Syaf.g_00767	Prbl.g_00092
OG0000437	Syaf.g_00766	Prbl.g_00093
OG0000438	Syaf.g_00765	Prbl.g_00094
OG0000439	Syaf.g_00763	Prbl.g_00096
OG0000440	Syaf.g_00762	Prbl.g_00097
OG0000441	Syaf.g_00756	Prbl.g_00104
OG0000442	Syaf.g_00743	Prbl.g_00105
OG0000443	Syaf.g_00739	Prbl.g_01283
OG0000444	Syaf.g_00733	Prbl.g_00127
OG0000445	Syaf.g_00729	Prbl.g_00126
OG0000446	Syaf.g_00728	Prbl.g_00124
OG0000447	Syaf.g_00725	Prbl.g_01244
OG0000448	Syaf.g_00724	Prbl.g_01245
OG0000449	Syaf.g_00723	Prbl.g_01246
OG0000450	Syaf.g_00717	Prbl.g_01252
OG0000451	Syaf.g_00716	Prbl.g_01253
OG0000452	Syaf.g_00712	Prbl.g_01258
OG0000453	Syaf.g_00711	Prbl.g_01259
OG0000454	Syaf.g_00710	Prbl.g_01260
OG0000455	Syaf.g_00709	Prbl.g_01261
OG0000456	Syaf.g_00708	Prbl.g_01262
OG0000457	Syaf.g_00706	Prbl.g_01264
OG0000458	Syaf.g_00705	Prbl.g_01265
OG0000459	Syaf.g_00704	Prbl.g_01266
OG0000460	Syaf.g_02789	Prbl.g_01923
OG0000461	Syaf.g_00183	Prbl.g_02679
OG0000462	Syaf.g_00186	Prbl.g_02666
OG0000463	Syaf.g_00187	Prbl.g_01516
OG0000464	Syaf.g_00188	Prbl.g_01515
OG0000465	Syaf.g_00190	Prbl.g_01513
OG0000466	Syaf.g_00194	Prbl.g_01508
OG0000467	Syaf.g_00196	Prbl.g_01506
OG0000468	Syaf.g_00206	Prbl.g_01499
OG0000469	Syaf.g_00220	Prbl.g_01486
OG0000470	Syaf.g_00222	Prbl.g_01473
OG0000471	Syaf.g_00223	Prbl.g_01472
OG0000472	Syaf.g_00225	Prbl.g_01470
OG0000473	Syaf.g_00227	Prbl.g_01468
OG0000474	Syaf.g_00228	Prbl.g_01467
OG0000475	Syaf.g_00229	Prbl.g_01466
OG0000476	Syaf.g_00231	Prbl.g_01464
OG0000477	Syaf.g_00237	Prbl.g_01459
OG0000478	Syaf.g_00238	Prbl.g_01458
OG0000479	Syaf.g_00239	Prbl.g_01457
OG0000480	Syaf.g_00247	Prbl.g_01450
OG0000481	Syaf.g_00249	Prbl.g_01448
OG0000482	Syaf.g_00250	Prbl.g_01447
OG0000483	Syaf.g_00254	Prbl.g_01443
OG0000484	Syaf.g_00255	Prbl.g_01442
OG0000485	Syaf.g_00256	Prbl.g_01441
OG0000486	Syaf.g_00257	Prbl.g_01440
OG0000487	Syaf.g_00263	Prbl.g_01435
OG0000488	Syaf.g_00267	Prbl.g_01431
OG0000489	Syaf.g_00274	Prbl.g_01420
OG0000490	Syaf.g_00284	Prbl.g_01414
OG0000491	Syaf.g_00285	Prbl.g_01413
OG0000492	Syaf.g_00288	Prbl.g_00909
OG0000493	Syaf.g_00289	Prbl.g_00908
OG0000494	Syaf.g_00290	Prbl.g_00907
OG0000495	Syaf.g_00291	Prbl.g_00906
OG0000496	Syaf.g_00292	Prbl.g_00905
OG0000497	Syaf.g_00293	Prbl.g_00904
OG0000498	Syaf.g_00294	Prbl.g_00903
OG0000499	Syaf.g_00295	Prbl.g_00902
OG0000500	Syaf.g_00296	Prbl.g_00901
OG0000501	Syaf.g_00299	Prbl.g_00898
OG0000502	Syaf.g_00319	Prbl.g_00886
OG0000503	Syaf.g_00023	Prbl.g_01201
OG0000504	Syaf.g_00021	Prbl.g_01203
OG0000505	Syaf.g_00020	Prbl.g_01204
OG0000506	Syaf.g_00018	Prbl.g_01206
OG0000507	Syaf.g_00012	Prbl.g_01210
OG0000508	Syaf.g_00008	Prbl.g_01217
OG0000509	Syaf.g_00006	Prbl.g_01219
OG0000510	Syaf.g_00005	Prbl.g_01220
OG0000511	Syaf.g_00004	Prbl.g_01221
OG0000512	Syaf.g_00002	Prbl.g_01223
OG0000513	Syaf.g_02803	Prbl.g_02678
OG0000514	Syaf.g_02796	Prbl.g_00676
OG0000515	Syaf.g_02795	Prbl.g_00675
OG0000516	Syaf.g_01219	Prbl.g_00663
OG0000517	Syaf.g_01213	Prbl.g_00653
OG0000518	Syaf.g_01230	Prbl.g_00641
OG0000519	Syaf.g_01231	Prbl.g_00640
OG0000520	Syaf.g_01235	Prbl.g_00639
OG0000521	Syaf.g_02542	Prbl.g_00625
OG0000522	Syaf.g_02538	Prbl.g_00623
OG0000523	Syaf.g_02537	Prbl.g_00622
OG0000524	Syaf.g_02531	Prbl.g_01364
OG0000525	Syaf.g_02507	Prbl.g_01348
OG0000526	Syaf.g_02504	Prbl.g_01346
OG0000527	Syaf.g_02500	Prbl.g_01342
OG0000528	Syaf.g_02728	Prbl.g_00506
OG0000529	Syaf.g_02720	Prbl.g_00512
OG0000530	Syaf.g_02717	Prbl.g_00515
OG0000531	Syaf.g_02716	Prbl.g_00516
OG0000532	Syaf.g_02713	Prbl.g_00519
OG0000533	Syaf.g_02712	Prbl.g_00521
OG0000534	Syaf.g_02711	Prbl.g_00522
OG0000535	Syaf.g_02710	Prbl.g_00523
OG0000536	Syaf.g_02709	Prbl.g_00524
OG0000537	Syaf.g_02708	Prbl.g_00525
OG0000538	Syaf.g_02697	Prbl.g_00536
OG0000539	Syaf.g_02696	Prbl.g_00806
OG0000540	Syaf.g_02695	Prbl.g_00805
OG0000541	Syaf.g_02694	Prbl.g_00804
OG0000542	Syaf.g_02691	Prbl.g_00801
