Orthogroup	Syaf	Prak
OG0000183	Syaf.g_00470	Prak.g_00023
OG0000184	Syaf.g_00664	Prak.g_00049
OG0000185	Syaf.g_00684	Prak.g_00052
OG0000186	Syaf.g_00968	Prak.g_00068
OG0000187	Syaf.g_00966	Prak.g_00069
OG0000188	Syaf.g_00944	Prak.g_00086
OG0000189	Syaf.g_00916	Prak.g_00100
OG0000190	Syaf.g_00914	Prak.g_00102
OG0000191	Syaf.g_00877	Prak.g_00125
OG0000192	Syaf.g_00871	Prak.g_00130
OG0000193	Syaf.g_00832	Prak.g_00157
OG0000194	Syaf.g_00829	Prak.g_00160
OG0000195	Syaf.g_00827	Prak.g_00162
OG0000196	Syaf.g_00816	Prak.g_00173
OG0000197	Syaf.g_00815	Prak.g_00174
OG0000198	Syaf.g_00814	Prak.g_00175
OG0000199	Syaf.g_00806	Prak.g_00182
OG0000200	Syaf.g_00789	Prak.g_00196
OG0000202	Syaf.g_00770	Prak.g_00206
OG0000203	Syaf.g_00769	Prak.g_00207
OG0000204	Syaf.g_00768	Prak.g_00208
OG0000205	Syaf.g_00761	Prak.g_00215
OG0000206	Syaf.g_00736	Prak.g_00220
OG0000207	Syaf.g_00735	Prak.g_00223
OG0000208	Syaf.g_00734	Prak.g_00224
OG0000209	Syaf.g_00714	Prak.g_00233
OG0000210	Syaf.g_00713	Prak.g_00234
OG0000211	Syaf.g_02791	Prak.g_00249
OG0000212	Syaf.g_02781	Prak.g_00257
OG0000213	Syaf.g_00210	Prak.g_00275
OG0000214	Syaf.g_00226	Prak.g_00285
OG0000215	Syaf.g_00258	Prak.g_00312
OG0000216	Syaf.g_00262	Prak.g_00313
OG0000217	Syaf.g_00266	Prak.g_00316
OG0000218	Syaf.g_00268	Prak.g_00318
OG0000219	Syaf.g_00269	Prak.g_00319
OG0000220	Syaf.g_00270	Prak.g_00320
OG0000221	Syaf.g_02597, Syaf.g_00273	Prak.g_00321
OG0000222	Syaf.g_00287	Prak.g_00328
OG0000223	Syaf.g_00317	Prak.g_00340
OG0000224	Syaf.g_00324	Prak.g_00342
OG0000225	Syaf.g_00007	Prak.g_00368
OG0000226	Syaf.g_00003	Prak.g_00372
OG0000227	Syaf.g_00001	Prak.g_00374
OG0000228	Syaf.g_02808	Prak.g_00378
OG0000229	Syaf.g_01214	Prak.g_00398
OG0000230	Syaf.g_01216	Prak.g_00400
OG0000231	Syaf.g_01236	Prak.g_00411
OG0000232	Syaf.g_02536	Prak.g_00422
OG0000233	Syaf.g_02528	Prak.g_00428
OG0000234	Syaf.g_02497	Prak.g_00437
OG0000235	Syaf.g_02722	Prak.g_00440
OG0000236	Syaf.g_02707	Prak.g_00454
OG0000237	Syaf.g_02690	Prak.g_00467
OG0000238	Syaf.g_02685	Prak.g_00473
OG0000239	Syaf.g_02669	Prak.g_00484
OG0000240	Syaf.g_02668	Prak.g_00485
OG0000241	Syaf.g_02322	Prak.g_00489
OG0000242	Syaf.g_02656	Prak.g_00491
OG0000243	Syaf.g_02634	Prak.g_00502
OG0000244	Syaf.g_02627	Prak.g_00506
OG0000245	Syaf.g_02625	Prak.g_00508
OG0000246	Syaf.g_02621	Prak.g_00512
OG0000247	Syaf.g_02610	Prak.g_00522
OG0000248	Syaf.g_02607	Prak.g_00525
OG0000249	Syaf.g_02605	Prak.g_00527
OG0000250	Syaf.g_02593	Prak.g_00532
OG0000251	Syaf.g_02568	Prak.g_00552
OG0000252	Syaf.g_02565	Prak.g_00555
OG0000253	Syaf.g_02564	Prak.g_00556
OG0000254	Syaf.g_02371	Prak.g_00573
OG0000255	Syaf.g_02352	Prak.g_00579
OG0000256	Syaf.g_02329	Prak.g_00589
OG0000257	Syaf.g_02323	Prak.g_01113
OG0000258	Syaf.g_02301	Prak.g_01099
OG0000259	Syaf.g_02137	Prak.g_01082
OG0000260	Syaf.g_02134	Prak.g_01079
OG0000261	Syaf.g_02131	Prak.g_01076
OG0000262	Syaf.g_02126	Prak.g_01072
OG0000263	Syaf.g_01585	Prak.g_00808
OG0000264	Syaf.g_01473	Prak.g_00819
OG0000265	Syaf.g_01196	Prak.g_00837
OG0000266	Syaf.g_01967	Prak.g_01053
OG0000267	Syaf.g_01787	Prak.g_01041
OG0000268	Syaf.g_01788	Prak.g_01040
OG0000269	Syaf.g_02054	Prak.g_00840
OG0000270	Syaf.g_02051	Prak.g_00843
OG0000271	Syaf.g_02043	Prak.g_00851
OG0000272	Syaf.g_02042	Prak.g_00852
OG0000273	Syaf.g_01392	Prak.g_00876
OG0000274	Syaf.g_01391	Prak.g_00877
OG0000275	Syaf.g_01386	Prak.g_00880
OG0000276	Syaf.g_01379	Prak.g_00886
OG0000277	Syaf.g_01378	Prak.g_00887
OG0000278	Syaf.g_01375	Prak.g_00890
OG0000279	Syaf.g_01367	Prak.g_00897
OG0000280	Syaf.g_01337	Prak.g_00898
OG0000281	Syaf.g_01636	Prak.g_00905
OG0000282	Syaf.g_02101	Prak.g_00772
OG0000283	Syaf.g_01804	Prak.g_00949
OG0000284	Syaf.g_01810	Prak.g_00954
OG0000285	Syaf.g_01842	Prak.g_00959
OG0000286	Syaf.g_01860	Prak.g_00972
OG0000287	Syaf.g_01896	Prak.g_01238
OG0000288	Syaf.g_01929	Prak.g_01011
OG0000289	Syaf.g_01943	Prak.g_01027
OG0000290	Syaf.g_01439	Prak.g_00923
OG0000291	Syaf.g_01441	Prak.g_00921
OG0000292	Syaf.g_00505	Prak.g_01217
OG0000293	Syaf.g_01277	Prak.g_01182
OG0000294	Syaf.g_01278	Prak.g_01181
OG0000295	Syaf.g_01316	Prak.g_01158
OG0000296	Syaf.g_01318	Prak.g_01156
OG0000297	Syaf.g_01607	Prak.g_01147
OG0000298	Syaf.g_01606	Prak.g_01146
OG0000299	Syaf.g_01578	Prak.g_01127
OG0000300	Syaf.g_01571	Prak.g_01124
OG0000301	Syaf.g_01570	Prak.g_01123
OG0000302	Syaf.g_01568	Prak.g_01121
OG0000303	Syaf.g_01559	Prak.g_01115
OG0000304	Syaf.g_01551	Prak.g_00594
OG0000305	Syaf.g_01444	Prak.g_01215
OG0000306	Syaf.g_01332	Prak.g_00909
OG0000307	Syaf.g_02742	Prak.g_01338
OG0000308	Syaf.g_02744	Prak.g_01339
OG0000309	Syaf.g_02749	Prak.g_01343
OG0000310	Syaf.g_02387	Prak.g_01377
OG0000311	Syaf.g_02391	Prak.g_01379
OG0000312	Syaf.g_02397	Prak.g_01382
OG0000313	Syaf.g_02421	Prak.g_01395
OG0000314	Syaf.g_02458	Prak.g_01418
OG0000315	Syaf.g_02468	Prak.g_01428
OG0000316	Syaf.g_01088	Prak.g_01453
OG0000317	Syaf.g_01040	Prak.g_01642
OG0000318	Syaf.g_01032	Prak.g_01646
OG0000319	Syaf.g_01015	Prak.g_01659
OG0000320	Syaf.g_01013	Prak.g_01661
OG0000321	Syaf.g_01012	Prak.g_01662
OG0000322	Syaf.g_01011	Prak.g_01663
OG0000323	Syaf.g_00997	Prak.g_01672
OG0000324	Syaf.g_01164	Prak.g_01699
OG0000325	Syaf.g_00176	Prak.g_01710
OG0000326	Syaf.g_00169	Prak.g_01717
OG0000327	Syaf.g_00138	Prak.g_01738
OG0000328	Syaf.g_00137	Prak.g_01739
OG0000329	Syaf.g_00119	Prak.g_01756
OG0000330	Syaf.g_00118	Prak.g_01757
OG0000331	Syaf.g_00117	Prak.g_01758
OG0000332	Syaf.g_00102	Prak.g_01772
OG0000333	Syaf.g_00099	Prak.g_01774
OG0000334	Syaf.g_00090	Prak.g_01783
OG0000335	Syaf.g_00085	Prak.g_01788
OG0000336	Syaf.g_00081	Prak.g_01792
OG0000337	Syaf.g_00344	Prak.g_01810
OG0000338	Syaf.g_00348	Prak.g_01811
OG0000339	Syaf.g_00355	Prak.g_01817
OG0000340	Syaf.g_00366	Prak.g_01826
OG0000341	Syaf.g_00368	Prak.g_01828
OG0000342	Syaf.g_00369	Prak.g_01829
OG0000343	Syaf.g_00370	Prak.g_01830
OG0000344	Syaf.g_00374	Prak.g_01833
OG0000345	Syaf.g_00384	Prak.g_01839
OG0000346	Syaf.g_00389	Prak.g_01843
OG0000347	Syaf.g_00415	Prak.g_01860
OG0000348	Syaf.g_00427	Prak.g_01868
OG0000349	Syaf.g_00445	Prak.g_01886
OG0000350	Syaf.g_00162	Prak.g_00656
OG0000351	Syaf.g_00528	Prak.g_01926
OG0000352	Syaf.g_00527	Prak.g_01927
OG0000353	Syaf.g_00499	Prak.g_01944
OG0000355	Syaf.g_00497	Prak.g_00001
OG0000356	Syaf.g_00496	Prak.g_00002
OG0000357	Syaf.g_00495	Prak.g_00003
OG0000358	Syaf.g_00491	Prak.g_00007
OG0000359	Syaf.g_00489	Prak.g_00008
OG0000360	Syaf.g_00488	Prak.g_00009
OG0000361	Syaf.g_00487	Prak.g_00010
OG0000362	Syaf.g_00485	Prak.g_00012
OG0000363	Syaf.g_00483	Prak.g_00014
OG0000364	Syaf.g_00482	Prak.g_00015
OG0000365	Syaf.g_00473	Prak.g_00020
OG0000366	Syaf.g_00472	Prak.g_00021
OG0000367	Syaf.g_00471	Prak.g_00022
OG0000368	Syaf.g_00469	Prak.g_00024
OG0000369	Syaf.g_00468	Prak.g_00025
OG0000370	Syaf.g_00467	Prak.g_00026
OG0000371	Syaf.g_00458	Prak.g_00033
OG0000372	Syaf.g_00453	Prak.g_00036
OG0000373	Syaf.g_00452	Prak.g_00037
OG0000374	Syaf.g_00451	Prak.g_00038
OG0000375	Syaf.g_00449	Prak.g_00040
OG0000376	Syaf.g_00447	Prak.g_00042
OG0000377	Syaf.g_00654	Prak.g_00046
OG0000378	Syaf.g_00668	Prak.g_00050
OG0000379	Syaf.g_00686	Prak.g_00053
OG0000380	Syaf.g_00965	Prak.g_00070
OG0000381	Syaf.g_00962	Prak.g_00075
OG0000382	Syaf.g_00945	Prak.g_00085
OG0000383	Syaf.g_00941	Prak.g_00087
OG0000384	Syaf.g_00940	Prak.g_00088
OG0000385	Syaf.g_00939	Prak.g_00089
OG0000386	Syaf.g_00938	Prak.g_00090
OG0000387	Syaf.g_00912	Prak.g_00104
OG0000388	Syaf.g_00908	Prak.g_00108
OG0000389	Syaf.g_00904	Prak.g_00111
OG0000390	Syaf.g_00883	Prak.g_00121
OG0000391	Syaf.g_00878	Prak.g_00124
OG0000392	Syaf.g_00872	Prak.g_00128
OG0000393	Syaf.g_00870	Prak.g_00131
OG0000394	Syaf.g_00869	Prak.g_00132
OG0000395	Syaf.g_00868	Prak.g_00133
OG0000396	Syaf.g_00865	Prak.g_00135
OG0000397	Syaf.g_00863	Prak.g_00137
OG0000398	Syaf.g_00858	Prak.g_00140
OG0000399	Syaf.g_00857	Prak.g_00141
OG0000400	Syaf.g_00856	Prak.g_00142
OG0000401	Syaf.g_00855	Prak.g_00143
OG0000402	Syaf.g_00852	Prak.g_01035
OG0000403	Syaf.g_00851	Prak.g_00145
OG0000404	Syaf.g_00850	Prak.g_00146
OG0000405	Syaf.g_00835	Prak.g_00150
OG0000406	Syaf.g_00831	Prak.g_00158
OG0000407	Syaf.g_00830	Prak.g_00159
OG0000408	Syaf.g_00828	Prak.g_00161
OG0000409	Syaf.g_00826	Prak.g_00163
OG0000410	Syaf.g_00825	Prak.g_00164
OG0000411	Syaf.g_00824	Prak.g_00165
OG0000412	Syaf.g_00823	Prak.g_00166
OG0000413	Syaf.g_00821	Prak.g_00168
OG0000414	Syaf.g_00820	Prak.g_00169
OG0000415	Syaf.g_00819	Prak.g_00170
OG0000416	Syaf.g_00818	Prak.g_00171
OG0000417	Syaf.g_00817	Prak.g_00172
OG0000418	Syaf.g_00812	Prak.g_00177
OG0000419	Syaf.g_00810	Prak.g_00179
OG0000420	Syaf.g_00808	Prak.g_00180
OG0000421	Syaf.g_00803	Prak.g_00185
OG0000422	Syaf.g_00802	Prak.g_00186
OG0000423	Syaf.g_00801	Prak.g_00187
OG0000424	Syaf.g_00800	Prak.g_00188
OG0000425	Syaf.g_00799	Prak.g_00189
OG0000426	Syaf.g_00798	Prak.g_00190
OG0000427	Syaf.g_00797	Prak.g_00191
OG0000428	Syaf.g_00794	Prak.g_00193
OG0000429	Syaf.g_00792	Prak.g_00194
OG0000430	Syaf.g_00790	Prak.g_00195
OG0000431	Syaf.g_00786	Prak.g_00197
OG0000432	Syaf.g_00779	Prak.g_00201
OG0000433	Syaf.g_00777	Prak.g_00202
OG0000434	Syaf.g_00776	Prak.g_00203
OG0000435	Syaf.g_00772	Prak.g_00204
OG0000436	Syaf.g_00767	Prak.g_00209
OG0000437	Syaf.g_00766	Prak.g_00210
OG0000438	Syaf.g_00765	Prak.g_00211
OG0000439	Syaf.g_00763	Prak.g_00213
OG0000440	Syaf.g_00762	Prak.g_00214
OG0000441	Syaf.g_00756	Prak.g_00217
OG0000442	Syaf.g_00743	Prak.g_00218
OG0000443	Syaf.g_00739	Prak.g_00219
OG0000444	Syaf.g_00733	Prak.g_00225
OG0000445	Syaf.g_00729	Prak.g_00226
OG0000446	Syaf.g_00728	Prak.g_00227
OG0000447	Syaf.g_00725	Prak.g_00228
OG0000448	Syaf.g_00724	Prak.g_00229
OG0000449	Syaf.g_00723	Prak.g_00230
OG0000450	Syaf.g_00717	Prak.g_00231
OG0000451	Syaf.g_00716	Prak.g_00232
OG0000452	Syaf.g_00712	Prak.g_00235
OG0000453	Syaf.g_00711	Prak.g_00236
OG0000454	Syaf.g_00710	Prak.g_00237
OG0000455	Syaf.g_00709	Prak.g_00238
OG0000456	Syaf.g_00708	Prak.g_00239
OG0000457	Syaf.g_00706	Prak.g_00241
OG0000458	Syaf.g_00705	Prak.g_00242
OG0000459	Syaf.g_00704	Prak.g_00243
OG0000460	Syaf.g_02789	Prak.g_00251
OG0000461	Syaf.g_00183	Prak.g_00259
OG0000462	Syaf.g_00186	Prak.g_00261
OG0000463	Syaf.g_00187	Prak.g_00262
OG0000464	Syaf.g_00188	Prak.g_00263
OG0000465	Syaf.g_00190	Prak.g_00264
OG0000466	Syaf.g_00194	Prak.g_00267
OG0000467	Syaf.g_00196	Prak.g_00268
OG0000468	Syaf.g_00206	Prak.g_00271
OG0000469	Syaf.g_00220	Prak.g_00279
OG0000470	Syaf.g_00222	Prak.g_00281
OG0000471	Syaf.g_00223	Prak.g_00282
OG0000472	Syaf.g_00225	Prak.g_00284
OG0000473	Syaf.g_00227	Prak.g_00286
OG0000474	Syaf.g_00228	Prak.g_00287
OG0000475	Syaf.g_00229	Prak.g_00288
OG0000476	Syaf.g_00231	Prak.g_00290
OG0000477	Syaf.g_00237	Prak.g_00293
OG0000478	Syaf.g_00238	Prak.g_00294
OG0000479	Syaf.g_00239	Prak.g_00295
OG0000480	Syaf.g_00247	Prak.g_00300
OG0000481	Syaf.g_00249	Prak.g_00303
OG0000482	Syaf.g_00250	Prak.g_00304
OG0000483	Syaf.g_00254	Prak.g_00307
OG0000484	Syaf.g_00255	Prak.g_00308
OG0000485	Syaf.g_00256	Prak.g_00310
OG0000486	Syaf.g_00257	Prak.g_00311
OG0000487	Syaf.g_00263	Prak.g_00314
OG0000488	Syaf.g_00267	Prak.g_00317
OG0000489	Syaf.g_00274	Prak.g_00322
OG0000490	Syaf.g_00284	Prak.g_00326
OG0000491	Syaf.g_00285	Prak.g_00327
OG0000492	Syaf.g_00288	Prak.g_00329
OG0000493	Syaf.g_00289	Prak.g_00330
OG0000494	Syaf.g_00290	Prak.g_00331
OG0000495	Syaf.g_00291	Prak.g_00332
OG0000496	Syaf.g_00292	Prak.g_00333
OG0000497	Syaf.g_00293	Prak.g_00334
OG0000498	Syaf.g_00294	Prak.g_00335
OG0000499	Syaf.g_00295	Prak.g_00336
OG0000500	Syaf.g_00296	Prak.g_00337
OG0000501	Syaf.g_00299	Prak.g_00338
OG0000502	Syaf.g_00319	Prak.g_00341
OG0000503	Syaf.g_00023	Prak.g_00356
OG0000504	Syaf.g_00021	Prak.g_00358
OG0000505	Syaf.g_00020	Prak.g_00359
OG0000506	Syaf.g_00018	Prak.g_00360
OG0000507	Syaf.g_00012	Prak.g_00363
OG0000508	Syaf.g_00008	Prak.g_00367
OG0000509	Syaf.g_00006	Prak.g_00369
OG0000510	Syaf.g_00005	Prak.g_00370
OG0000511	Syaf.g_00004	Prak.g_00371
OG0000512	Syaf.g_00002	Prak.g_00373
OG0000513	Syaf.g_02803	Prak.g_00382
OG0000514	Syaf.g_02796	Prak.g_00393
OG0000515	Syaf.g_02795	Prak.g_00394
OG0000516	Syaf.g_01219	Prak.g_00395
OG0000517	Syaf.g_01213	Prak.g_00397
OG0000518	Syaf.g_01230	Prak.g_00408
OG0000519	Syaf.g_01231	Prak.g_00409
OG0000520	Syaf.g_01235	Prak.g_00410
OG0000521	Syaf.g_02542	Prak.g_00418
OG0000522	Syaf.g_02538	Prak.g_00420
OG0000523	Syaf.g_02537	Prak.g_00421
OG0000524	Syaf.g_02531	Prak.g_00426
OG0000525	Syaf.g_02507	Prak.g_00430
OG0000526	Syaf.g_02504	Prak.g_00431
OG0000527	Syaf.g_02500	Prak.g_00434
OG0000528	Syaf.g_02728	Prak.g_00439
OG0000529	Syaf.g_02720	Prak.g_00442
OG0000530	Syaf.g_02717	Prak.g_00445
OG0000531	Syaf.g_02716	Prak.g_00446
OG0000532	Syaf.g_02713	Prak.g_00448
OG0000533	Syaf.g_02712	Prak.g_00449
OG0000534	Syaf.g_02711	Prak.g_00450
OG0000535	Syaf.g_02710	Prak.g_00451
OG0000536	Syaf.g_02709	Prak.g_00452
OG0000537	Syaf.g_02708	Prak.g_00453
OG0000538	Syaf.g_02697	Prak.g_00462
OG0000539	Syaf.g_02696	Prak.g_00463
OG0000540	Syaf.g_02695	Prak.g_00464
OG0000541	Syaf.g_02694	Prak.g_00465
OG0000542	Syaf.g_02691	Prak.g_00466
OG0000543	Syaf.g_02689	Prak.g_00468
OG0000544	Syaf.g_02688	Prak.g_00469
OG0000545	Syaf.g_02686	Prak.g_00471
OG0000546	Syaf.g_02684	Prak.g_00474
OG0000547	Syaf.g_02682	Prak.g_00476
OG0000548	Syaf.g_02681	Prak.g_00477
OG0000549	Syaf.g_02676	Prak.g_00479
OG0000550	Syaf.g_02671	Prak.g_00483
OG0000551	Syaf.g_02666	Prak.g_00486
OG0000552	Syaf.g_02665	Prak.g_00487
OG0000553	Syaf.g_02663	Prak.g_00488
OG0000554	Syaf.g_02653	Prak.g_00493
OG0000555	Syaf.g_02635	Prak.g_00501
OG0000556	Syaf.g_02630	Prak.g_00503
OG0000557	Syaf.g_02628	Prak.g_00504
OG0000558	Syaf.g_02626	Prak.g_00507
OG0000559	Syaf.g_02622	Prak.g_00511
OG0000560	Syaf.g_02619	Prak.g_00514
OG0000561	Syaf.g_02618	Prak.g_00515
OG0000562	Syaf.g_02617	Prak.g_00516
OG0000563	Syaf.g_02616	Prak.g_00517
OG0000564	Syaf.g_02615	Prak.g_00518
OG0000565	Syaf.g_02612	Prak.g_00520
OG0000566	Syaf.g_02608	Prak.g_00524
OG0000567	Syaf.g_02604	Prak.g_00528
