Orthogroup	Syaf	Prbd
OG0000084	Syaf.g_02409	Prbd.g_01693
OG0000085	Syaf.g_01048	Prbd.g_01532
OG0000086	Syaf.g_00932	Prbd.g_01156
OG0000087	Syaf.g_00848	Prbd.g_01104, Prbd.g_01103
OG0000088	Syaf.g_00811	Prbd.g_01074
OG0000089	Syaf.g_02807	Prbd.g_00883
OG0000090	Syaf.g_02654	Prbd.g_00709
OG0000091	Syaf.g_02302	Prbd.g_00602
OG0000094	Syaf.g_01940	Prbd.g_00321
OG0000097	Syaf.g_01574	Prbd.g_00509
OG0000098	Syaf.g_01637	Prbd.g_01782
OG0000099	Syaf.g_00312	Prbd.g_01734
OG0000100	Syaf.g_02017	Prbd.g_01614
OG0000101	Syaf.g_00093	Prbd.g_01391
OG0000102	Syaf.g_00393	Prbd.g_01330
OG0000103	Syaf.g_00520	Prbd.g_01250
OG0000104	Syaf.g_00502	Prbd.g_01241
OG0000105	Syaf.g_00235	Prbd.g_00965
OG0000106	Syaf.g_01745	Prbd.g_00868
OG0000107	Syaf.g_00177	Prbd.g_00852
OG0000108	Syaf.g_02721	Prbd.g_00762
OG0000109	Syaf.g_02706	Prbd.g_00748
OG0000110	Syaf.g_02589	Prbd.g_00668
OG0000112	Syaf.g_01852	Prbd.g_00066
OG0000113	Syaf.g_02022	Prbd.g_00124
OG0000114	Syaf.g_02103	Prbd.g_00206
OG0000115	Syaf.g_02445	Prbd.g_00401
OG0000116	Syaf.g_01276	Prbd.g_00458
OG0000117	Syaf.g_01605	Prbd.g_01895
OG0000118	Syaf.g_02544	Prbd.g_01789
OG0000120	Syaf.g_00313	Prbd.g_01737
OG0000121	Syaf.g_02419	Prbd.g_01687
OG0000123	Syaf.g_00086	Prbd.g_01384
OG0000124	Syaf.g_00414	Prbd.g_01318
OG0000125	Syaf.g_00640	Prbd.g_01281
OG0000126	Syaf.g_00504	Prbd.g_01242
OG0000128	Syaf.g_00486	Prbd.g_01226
OG0000129	Syaf.g_00651	Prbd.g_01194
OG0000130	Syaf.g_00963	Prbd.g_01175
OG0000131	Syaf.g_00833	Prbd.g_01095
OG0000132	Syaf.g_00813	Prbd.g_01076
OG0000133	Syaf.g_01857	Prbd.g_00917
OG0000134	Syaf.g_02804	Prbd.g_00882
OG0000135	Syaf.g_00605	Prbd.g_00855
OG0000136	Syaf.g_01224	Prbd.g_01722, Prbd.g_00801
OG0000137	Syaf.g_02498	Prbd.g_00767
OG0000138	Syaf.g_02705	Prbd.g_00747
OG0000139	Syaf.g_02648	Prbd.g_00705
OG0000140	Syaf.g_02646	Prbd.g_00704
OG0000141	Syaf.g_02375	Prbd.g_00637
OG0000142	Syaf.g_02310	Prbd.g_00609
OG0000143	Syaf.g_02306	Prbd.g_00605
OG0000144	Syaf.g_01735	Prbd.g_00592
OG0000145	Syaf.g_02699	Prbd.g_00062
OG0000146	Syaf.g_01851	Prbd.g_00067
OG0000147	Syaf.g_01850	Prbd.g_00068
OG0000148	Syaf.g_02028	Prbd.g_00118
OG0000149	Syaf.g_01371	Prbd.g_00149
OG0000150	Syaf.g_02645	Prbd.g_00157
OG0000151	Syaf.g_02091	Prbd.g_00216
OG0000152	Syaf.g_01861	Prbd.g_00264
OG0000153	Syaf.g_01904	Prbd.g_00283
OG0000154	Syaf.g_01930	Prbd.g_00314
OG0000155	Syaf.g_01324	Prbd.g_00488
OG0000156	Syaf.g_01270	Prbd.g_01812
OG0000157	Syaf.g_01269	Prbd.g_01811
OG0000158	Syaf.g_00364	Prbd.g_01736
OG0000160	Syaf.g_02418	Prbd.g_01688
OG0000161	Syaf.g_02424	Prbd.g_01682
OG0000162	Syaf.g_02431	Prbd.g_01676
OG0000163	Syaf.g_01105	Prbd.g_01642
OG0000164	Syaf.g_00999	Prbd.g_01501
OG0000165	Syaf.g_01197	Prbd.g_01494
OG0000166	Syaf.g_00133	Prbd.g_01427
OG0000167	Syaf.g_00350	Prbd.g_01361
OG0000168	Syaf.g_00365	Prbd.g_01351
OG0000169	Syaf.g_00376	Prbd.g_01341
OG0000170	Syaf.g_00383	Prbd.g_01339
OG0000171	Syaf.g_00413	Prbd.g_01319
OG0000172	Syaf.g_00419	Prbd.g_01310
OG0000173	Syaf.g_00438	Prbd.g_01295
OG0000174	Syaf.g_00603	Prbd.g_01268
OG0000175	Syaf.g_00531	Prbd.g_01258
OG0000176	Syaf.g_00494	Prbd.g_01233
OG0000177	Syaf.g_00493	Prbd.g_01232
OG0000178	Syaf.g_00492	Prbd.g_01231
OG0000179	Syaf.g_00477	Prbd.g_01221
OG0000180	Syaf.g_00476	Prbd.g_01220
OG0000181	Syaf.g_00475	Prbd.g_01219
OG0000182	Syaf.g_00474	Prbd.g_01218
OG0000183	Syaf.g_00470	Prbd.g_01214
OG0000184	Syaf.g_00664	Prbd.g_01191
OG0000185	Syaf.g_00684	Prbd.g_01188
OG0000186	Syaf.g_00968	Prbd.g_01180
OG0000187	Syaf.g_00966	Prbd.g_01179
OG0000188	Syaf.g_00944	Prbd.g_01162
OG0000189	Syaf.g_00916	Prbd.g_01148
OG0000190	Syaf.g_00914	Prbd.g_01147
OG0000191	Syaf.g_00877	Prbd.g_01126
OG0000192	Syaf.g_00871	Prbd.g_01122
OG0000193	Syaf.g_00832	Prbd.g_01094
OG0000194	Syaf.g_00829	Prbd.g_01091
OG0000195	Syaf.g_00827	Prbd.g_01089
OG0000196	Syaf.g_00816	Prbd.g_01079
OG0000197	Syaf.g_00815	Prbd.g_01078
OG0000198	Syaf.g_00814	Prbd.g_01077
OG0000199	Syaf.g_00806	Prbd.g_01070
OG0000200	Syaf.g_00789	Prbd.g_01056
OG0000202	Syaf.g_00770	Prbd.g_01047
OG0000203	Syaf.g_00769	Prbd.g_01046
OG0000204	Syaf.g_00768	Prbd.g_01045
OG0000205	Syaf.g_00761	Prbd.g_01038
OG0000206	Syaf.g_00736	Prbd.g_01033
OG0000207	Syaf.g_00735	Prbd.g_01031
OG0000208	Syaf.g_00734	Prbd.g_01030
OG0000209	Syaf.g_00714	Prbd.g_01021
OG0000210	Syaf.g_00713	Prbd.g_01020
OG0000212	Syaf.g_02781	Prbd.g_00999
OG0000213	Syaf.g_00210	Prbd.g_00982
OG0000214	Syaf.g_00226	Prbd.g_00972
OG0000215	Syaf.g_00258	Prbd.g_00947
OG0000216	Syaf.g_00262	Prbd.g_00945
OG0000217	Syaf.g_00266	Prbd.g_00942
OG0000218	Syaf.g_00268	Prbd.g_00940
OG0000219	Syaf.g_00269	Prbd.g_00939
OG0000220	Syaf.g_00270	Prbd.g_00938
OG0000221	Syaf.g_02597, Syaf.g_00273	Prbd.g_00937
OG0000222	Syaf.g_00287	Prbd.g_00929
OG0000223	Syaf.g_00317	Prbd.g_00916
OG0000224	Syaf.g_00324	Prbd.g_00914
OG0000225	Syaf.g_00007	Prbd.g_00893
OG0000226	Syaf.g_00003	Prbd.g_00889
OG0000227	Syaf.g_00001	Prbd.g_00887
OG0000228	Syaf.g_02808	Prbd.g_00884
OG0000229	Syaf.g_01214	Prbd.g_00806
OG0000230	Syaf.g_01216	Prbd.g_00804
OG0000231	Syaf.g_01236	Prbd.g_00793
OG0000232	Syaf.g_02536	Prbd.g_00784
OG0000233	Syaf.g_02528	Prbd.g_00779
OG0000234	Syaf.g_02497	Prbd.g_00766
OG0000235	Syaf.g_02722	Prbd.g_00763
OG0000236	Syaf.g_02707	Prbd.g_00749
OG0000237	Syaf.g_02690	Prbd.g_00736
OG0000238	Syaf.g_02685	Prbd.g_00730
OG0000239	Syaf.g_02669	Prbd.g_00717
OG0000240	Syaf.g_02668	Prbd.g_00716
OG0000241	Syaf.g_02322	Prbd.g_00712
OG0000242	Syaf.g_02656	Prbd.g_00710
OG0000243	Syaf.g_02634	Prbd.g_00699
OG0000244	Syaf.g_02627	Prbd.g_00696
OG0000245	Syaf.g_02625	Prbd.g_00694
OG0000246	Syaf.g_02621	Prbd.g_00690
OG0000247	Syaf.g_02610	Prbd.g_00680
OG0000248	Syaf.g_02607	Prbd.g_00678
OG0000249	Syaf.g_02605	Prbd.g_00676
OG0000250	Syaf.g_02593	Prbd.g_00671
OG0000251	Syaf.g_02568	Prbd.g_00653
OG0000252	Syaf.g_02565	Prbd.g_00650
OG0000253	Syaf.g_02564	Prbd.g_00649
OG0000254	Syaf.g_02371	Prbd.g_00633
OG0000255	Syaf.g_02352	Prbd.g_00627
OG0000256	Syaf.g_02329	Prbd.g_00617
OG0000257	Syaf.g_02323	Prbd.g_00614
OG0000258	Syaf.g_02301	Prbd.g_00601
OG0000259	Syaf.g_02137	Prbd.g_00584
OG0000260	Syaf.g_02134	Prbd.g_00581
OG0000261	Syaf.g_02131	Prbd.g_00579
OG0000262	Syaf.g_02126	Prbd.g_00575
OG0000263	Syaf.g_01585	Prbd.g_00563
OG0000264	Syaf.g_01473	Prbd.g_00553
OG0000265	Syaf.g_01196	Prbd.g_00007
OG0000266	Syaf.g_01967	Prbd.g_00017
OG0000267	Syaf.g_01787	Prbd.g_00028
OG0000268	Syaf.g_01788	Prbd.g_00029
OG0000269	Syaf.g_02054	Prbd.g_00097
OG0000270	Syaf.g_02051	Prbd.g_00100
OG0000271	Syaf.g_02043	Prbd.g_00108
OG0000272	Syaf.g_02042	Prbd.g_00109
OG0000273	Syaf.g_01392	Prbd.g_00132
OG0000274	Syaf.g_01391	Prbd.g_00133
OG0000275	Syaf.g_01386	Prbd.g_00136
OG0000276	Syaf.g_01379	Prbd.g_00141
OG0000277	Syaf.g_01378	Prbd.g_00142
OG0000278	Syaf.g_01375	Prbd.g_00145
OG0000279	Syaf.g_01367	Prbd.g_00152
OG0000280	Syaf.g_01337	Prbd.g_00153
OG0000281	Syaf.g_01636	Prbd.g_00158
OG0000282	Syaf.g_02101	Prbd.g_00208
OG0000283	Syaf.g_01804	Prbd.g_00241
OG0000284	Syaf.g_01810	Prbd.g_00246
OG0000285	Syaf.g_01842	Prbd.g_00251
OG0000286	Syaf.g_01860	Prbd.g_00263
OG0000288	Syaf.g_01929	Prbd.g_00313
OG0000289	Syaf.g_01943	Prbd.g_00324
OG0000290	Syaf.g_01439	Prbd.g_00337
OG0000291	Syaf.g_01441	Prbd.g_00339
OG0000292	Syaf.g_00505	Prbd.g_00389
OG0000293	Syaf.g_01277	Prbd.g_00459
OG0000294	Syaf.g_01278	Prbd.g_00460
OG0000295	Syaf.g_01316	Prbd.g_00480
OG0000296	Syaf.g_01318	Prbd.g_00482
OG0000297	Syaf.g_01607	Prbd.g_00490
OG0000298	Syaf.g_01606	Prbd.g_00491
OG0000299	Syaf.g_01578	Prbd.g_00508
OG0000300	Syaf.g_01571	Prbd.g_00511
OG0000301	Syaf.g_01570	Prbd.g_00512
OG0000302	Syaf.g_01568	Prbd.g_00514
OG0000303	Syaf.g_01559	Prbd.g_00521
OG0000304	Syaf.g_01551	Prbd.g_00525
OG0000305	Syaf.g_01444	Prbd.g_01772
OG0000306	Syaf.g_01332	Prbd.g_01769
OG0000307	Syaf.g_02742	Prbd.g_01755
OG0000308	Syaf.g_02744	Prbd.g_01754
OG0000309	Syaf.g_02749	Prbd.g_01750
OG0000310	Syaf.g_02387	Prbd.g_01704
OG0000311	Syaf.g_02391	Prbd.g_01702
OG0000312	Syaf.g_02397	Prbd.g_01699
OG0000313	Syaf.g_02421	Prbd.g_01685
OG0000314	Syaf.g_02458	Prbd.g_01662
OG0000315	Syaf.g_02468	Prbd.g_01652
OG0000316	Syaf.g_01088	Prbd.g_01632
OG0000317	Syaf.g_01040	Prbd.g_01527
OG0000318	Syaf.g_01032	Prbd.g_01524
OG0000319	Syaf.g_01015	Prbd.g_01511
OG0000320	Syaf.g_01013	Prbd.g_01509
OG0000321	Syaf.g_01012	Prbd.g_01508
OG0000322	Syaf.g_01011	Prbd.g_01507
OG0000323	Syaf.g_00997	Prbd.g_01498
OG0000324	Syaf.g_01164	Prbd.g_01471
OG0000325	Syaf.g_00176	Prbd.g_01462
OG0000326	Syaf.g_00169	Prbd.g_01456
OG0000327	Syaf.g_00138	Prbd.g_01432
OG0000328	Syaf.g_00137	Prbd.g_01431
OG0000329	Syaf.g_00119	Prbd.g_01414
OG0000330	Syaf.g_00118	Prbd.g_01413
OG0000331	Syaf.g_00117	Prbd.g_01412
OG0000332	Syaf.g_00102	Prbd.g_01398
OG0000333	Syaf.g_00099	Prbd.g_01396
OG0000334	Syaf.g_00090	Prbd.g_01388
OG0000335	Syaf.g_00085	Prbd.g_01383
OG0000336	Syaf.g_00081	Prbd.g_01379
OG0000337	Syaf.g_00344	Prbd.g_01363
OG0000338	Syaf.g_00348	Prbd.g_01362
OG0000339	Syaf.g_00355	Prbd.g_01358
OG0000340	Syaf.g_00366	Prbd.g_01350
OG0000341	Syaf.g_00368	Prbd.g_01348
OG0000342	Syaf.g_00369	Prbd.g_01347
OG0000343	Syaf.g_00370	Prbd.g_01346
OG0000344	Syaf.g_00374	Prbd.g_01343
OG0000345	Syaf.g_00384	Prbd.g_01338
OG0000346	Syaf.g_00389	Prbd.g_01334
OG0000347	Syaf.g_00415	Prbd.g_01317
OG0000348	Syaf.g_00427	Prbd.g_01307
OG0000349	Syaf.g_00445	Prbd.g_01290
OG0000350	Syaf.g_00162	Prbd.g_01272
OG0000351	Syaf.g_00528	Prbd.g_01255
OG0000352	Syaf.g_00527	Prbd.g_01254
OG0000353	Syaf.g_00499	Prbd.g_01238
OG0000355	Syaf.g_00497	Prbd.g_01236
OG0000356	Syaf.g_00496	Prbd.g_01235
OG0000357	Syaf.g_00495	Prbd.g_01234
OG0000358	Syaf.g_00491	Prbd.g_01230
OG0000359	Syaf.g_00489	Prbd.g_01229
OG0000360	Syaf.g_00488	Prbd.g_01228
OG0000361	Syaf.g_00487	Prbd.g_01227
OG0000362	Syaf.g_00485	Prbd.g_01225
OG0000363	Syaf.g_00483	Prbd.g_01223
OG0000364	Syaf.g_00482	Prbd.g_01222
OG0000365	Syaf.g_00473	Prbd.g_01217
OG0000366	Syaf.g_00472	Prbd.g_01216
OG0000367	Syaf.g_00471	Prbd.g_01215
OG0000368	Syaf.g_00469	Prbd.g_01213
OG0000369	Syaf.g_00468	Prbd.g_01212
OG0000370	Syaf.g_00467	Prbd.g_01211
OG0000371	Syaf.g_00458	Prbd.g_01205
OG0000372	Syaf.g_00453	Prbd.g_01202
OG0000373	Syaf.g_00452	Prbd.g_01201
OG0000374	Syaf.g_00451	Prbd.g_01200
OG0000375	Syaf.g_00449	Prbd.g_01198
OG0000376	Syaf.g_00447	Prbd.g_01196
OG0000377	Syaf.g_00654	Prbd.g_01192
OG0000378	Syaf.g_00668	Prbd.g_01190
OG0000379	Syaf.g_00686	Prbd.g_01187
OG0000380	Syaf.g_00965	Prbd.g_01178
OG0000381	Syaf.g_00962	Prbd.g_01174
OG0000382	Syaf.g_00945	Prbd.g_01163
OG0000383	Syaf.g_00941	Prbd.g_01161
OG0000384	Syaf.g_00940	Prbd.g_01160
OG0000385	Syaf.g_00939	Prbd.g_01159
OG0000386	Syaf.g_00938	Prbd.g_01158
OG0000387	Syaf.g_00912	Prbd.g_01145
OG0000388	Syaf.g_00908	Prbd.g_01142
OG0000389	Syaf.g_00904	Prbd.g_01138
OG0000390	Syaf.g_00883	Prbd.g_01131
OG0000391	Syaf.g_00878	Prbd.g_01127
OG0000392	Syaf.g_00872	Prbd.g_01123
OG0000393	Syaf.g_00870	Prbd.g_01121
OG0000394	Syaf.g_00869	Prbd.g_01120
OG0000395	Syaf.g_00868	Prbd.g_01119
OG0000396	Syaf.g_00865	Prbd.g_01116
OG0000397	Syaf.g_00863	Prbd.g_01114
OG0000398	Syaf.g_00858	Prbd.g_01112
OG0000399	Syaf.g_00857	Prbd.g_01111
OG0000400	Syaf.g_00856	Prbd.g_01110
OG0000401	Syaf.g_00855	Prbd.g_01109
OG0000402	Syaf.g_00852	Prbd.g_01107
OG0000403	Syaf.g_00851	Prbd.g_01106
OG0000404	Syaf.g_00850	Prbd.g_01105
OG0000405	Syaf.g_00835	Prbd.g_01100
OG0000406	Syaf.g_00831	Prbd.g_01093
OG0000407	Syaf.g_00830	Prbd.g_01092
OG0000408	Syaf.g_00828	Prbd.g_01090
OG0000409	Syaf.g_00826	Prbd.g_01088
OG0000410	Syaf.g_00825	Prbd.g_01087
OG0000411	Syaf.g_00824	Prbd.g_01086
OG0000412	Syaf.g_00823	Prbd.g_01085
OG0000413	Syaf.g_00821	Prbd.g_01084
OG0000414	Syaf.g_00820	Prbd.g_01083
OG0000415	Syaf.g_00819	Prbd.g_01082
OG0000416	Syaf.g_00818	Prbd.g_01081
OG0000417	Syaf.g_00817	Prbd.g_01080
OG0000418	Syaf.g_00812	Prbd.g_01075
OG0000419	Syaf.g_00810	Prbd.g_01073
OG0000420	Syaf.g_00808	Prbd.g_01072
OG0000421	Syaf.g_00803	Prbd.g_01067
OG0000422	Syaf.g_00802	Prbd.g_01066
OG0000423	Syaf.g_00801	Prbd.g_01065
OG0000424	Syaf.g_00800	Prbd.g_01064
OG0000425	Syaf.g_00799	Prbd.g_01063
OG0000426	Syaf.g_00798	Prbd.g_01062
OG0000427	Syaf.g_00797	Prbd.g_01061
OG0000428	Syaf.g_00794	Prbd.g_01059
OG0000429	Syaf.g_00792	Prbd.g_01058
OG0000430	Syaf.g_00790	Prbd.g_01057
OG0000431	Syaf.g_00786	Prbd.g_01055
OG0000432	Syaf.g_00779	Prbd.g_01052
OG0000433	Syaf.g_00777	Prbd.g_01051
OG0000434	Syaf.g_00776	Prbd.g_01050
OG0000435	Syaf.g_00772	Prbd.g_01049
OG0000436	Syaf.g_00767	Prbd.g_01044
OG0000437	Syaf.g_00766	Prbd.g_01043
OG0000438	Syaf.g_00765	Prbd.g_01042
OG0000439	Syaf.g_00763	Prbd.g_01040
OG0000440	Syaf.g_00762	Prbd.g_01039
OG0000441	Syaf.g_00756	Prbd.g_01036
OG0000442	Syaf.g_00743	Prbd.g_01035
OG0000443	Syaf.g_00739	Prbd.g_01034
OG0000444	Syaf.g_00733	Prbd.g_01029
OG0000445	Syaf.g_00729	Prbd.g_01028
OG0000446	Syaf.g_00728	Prbd.g_01027
OG0000447	Syaf.g_00725	Prbd.g_01026
OG0000448	Syaf.g_00724	Prbd.g_01025
OG0000449	Syaf.g_00723	Prbd.g_01024
OG0000450	Syaf.g_00717	Prbd.g_01023
OG0000451	Syaf.g_00716	Prbd.g_01022
OG0000452	Syaf.g_00712	Prbd.g_01019
OG0000453	Syaf.g_00711	Prbd.g_01018
OG0000454	Syaf.g_00710	Prbd.g_01017
OG0000455	Syaf.g_00709	Prbd.g_01016
OG0000456	Syaf.g_00708	Prbd.g_01015
OG0000457	Syaf.g_00706	Prbd.g_01013
OG0000458	Syaf.g_00705	Prbd.g_01012
OG0000459	Syaf.g_00704	Prbd.g_01011
OG0000460	Syaf.g_02789	Prbd.g_01004
OG0000461	Syaf.g_00183	Prbd.g_00997
OG0000462	Syaf.g_00186	Prbd.g_00995
OG0000463	Syaf.g_00187	Prbd.g_00994
OG0000464	Syaf.g_00188	Prbd.g_00993
OG0000465	Syaf.g_00190	Prbd.g_00992
OG0000466	Syaf.g_00194	Prbd.g_00989
OG0000467	Syaf.g_00196	Prbd.g_00988
OG0000468	Syaf.g_00206	Prbd.g_00986
OG0000469	Syaf.g_00220	Prbd.g_00977
OG0000470	Syaf.g_00222	Prbd.g_00975
OG0000471	Syaf.g_00223	Prbd.g_00974
OG0000472	Syaf.g_00225	Prbd.g_00973
OG0000473	Syaf.g_00227	Prbd.g_00971
OG0000474	Syaf.g_00228	Prbd.g_00970
OG0000475	Syaf.g_00229	Prbd.g_00969
OG0000476	Syaf.g_00231	Prbd.g_00968
OG0000477	Syaf.g_00237	Prbd.g_00964
OG0000478	Syaf.g_00238	Prbd.g_00963
OG0000479	Syaf.g_00239	Prbd.g_00962
OG0000480	Syaf.g_00247	Prbd.g_00957
OG0000481	Syaf.g_00249	Prbd.g_00955
OG0000482	Syaf.g_00250	Prbd.g_00954
OG0000483	Syaf.g_00254	Prbd.g_00951
OG0000484	Syaf.g_00255	Prbd.g_00950
OG0000485	Syaf.g_00256	Prbd.g_00949
OG0000486	Syaf.g_00257	Prbd.g_00948
OG0000487	Syaf.g_00263	Prbd.g_00944
OG0000488	Syaf.g_00267	Prbd.g_00941
OG0000489	Syaf.g_00274	Prbd.g_00936
OG0000490	Syaf.g_00284	Prbd.g_00931
OG0000491	Syaf.g_00285	Prbd.g_00930
OG0000492	Syaf.g_00288	Prbd.g_00928
OG0000493	Syaf.g_00289	Prbd.g_00927
OG0000494	Syaf.g_00290	Prbd.g_00926
OG0000495	Syaf.g_00291	Prbd.g_00925
OG0000496	Syaf.g_00292	Prbd.g_00924
OG0000497	Syaf.g_00293	Prbd.g_00923
OG0000498	Syaf.g_00294	Prbd.g_00922
OG0000499	Syaf.g_00295	Prbd.g_00921
OG0000500	Syaf.g_00296	Prbd.g_00920
OG0000501	Syaf.g_00299	Prbd.g_00918
OG0000502	Syaf.g_00319	Prbd.g_00915
OG0000503	Syaf.g_00023	Prbd.g_00905
OG0000504	Syaf.g_00021	Prbd.g_00904
OG0000505	Syaf.g_00020	Prbd.g_00903
OG0000506	Syaf.g_00018	Prbd.g_00901
OG0000507	Syaf.g_00012	Prbd.g_00898
OG0000508	Syaf.g_00008	Prbd.g_00894
OG0000509	Syaf.g_00006	Prbd.g_00892
OG0000510	Syaf.g_00005	Prbd.g_00891
OG0000511	Syaf.g_00004	Prbd.g_00890
OG0000512	Syaf.g_00002	Prbd.g_00888
OG0000513	Syaf.g_02803	Prbd.g_00881
OG0000514	Syaf.g_02796	Prbd.g_00811
OG0000515	Syaf.g_02795	Prbd.g_00810
OG0000516	Syaf.g_01219	Prbd.g_00809
OG0000517	Syaf.g_01213	Prbd.g_00807
OG0000518	Syaf.g_01230	Prbd.g_00796
OG0000519	Syaf.g_01231	Prbd.g_00795
OG0000520	Syaf.g_01235	Prbd.g_00794
OG0000521	Syaf.g_02542	Prbd.g_00789
OG0000522	Syaf.g_02538	Prbd.g_00787
OG0000523	Syaf.g_02537	Prbd.g_00786
OG0000524	Syaf.g_02531	Prbd.g_00781
OG0000525	Syaf.g_02507	Prbd.g_00778
OG0000526	Syaf.g_02504	Prbd.g_00777
OG0000527	Syaf.g_02500	Prbd.g_00769
OG0000528	Syaf.g_02728	Prbd.g_00764
OG0000529	Syaf.g_02720	Prbd.g_00761
OG0000530	Syaf.g_02717	Prbd.g_00758
OG0000531	Syaf.g_02716	Prbd.g_00757
OG0000532	Syaf.g_02713	Prbd.g_00755
OG0000533	Syaf.g_02712	Prbd.g_00754
OG0000534	Syaf.g_02711	Prbd.g_00753
OG0000535	Syaf.g_02710	Prbd.g_00752
OG0000536	Syaf.g_02709	Prbd.g_00751
OG0000537	Syaf.g_02708	Prbd.g_00750
OG0000538	Syaf.g_02697	Prbd.g_00742
OG0000539	Syaf.g_02696	Prbd.g_00741
OG0000540	Syaf.g_02695	Prbd.g_00740
OG0000541	Syaf.g_02694	Prbd.g_00739
OG0000542	Syaf.g_02691	Prbd.g_00737
OG0000543	Syaf.g_02689	Prbd.g_00735
OG0000544	Syaf.g_02688	Prbd.g_00734
OG0000545	Syaf.g_02686	Prbd.g_00732
OG0000546	Syaf.g_02684	Prbd.g_00729
OG0000547	Syaf.g_02682	Prbd.g_00727
OG0000548	Syaf.g_02681	Prbd.g_00726
OG0000549	Syaf.g_02676	Prbd.g_00724
OG0000550	Syaf.g_02671	Prbd.g_00719
OG0000551	Syaf.g_02666	Prbd.g_00715
