Orthogroup	Syaf	Praz
OG0000062	Syaf.g_02167	Praz.g_00963
OG0000063	Syaf.g_00457	Praz.g_00398
OG0000065	Syaf.g_00903	Praz.g_00467
OG0000066	Syaf.g_02643	Praz.g_01789
OG0000067	Syaf.g_02049	Praz.g_01512
OG0000068	Syaf.g_02733	Praz.g_01139
OG0000070	Syaf.g_01237	Praz.g_01878
OG0000071	Syaf.g_01254	Praz.g_01180
OG0000072	Syaf.g_00805	Praz.g_00531
OG0000073	Syaf.g_02700	Praz.g_01829
OG0000075	Syaf.g_00353	Praz.g_00230
OG0000076	Syaf.g_00388	Praz.g_00205
OG0000077	Syaf.g_00951	Praz.g_00438
OG0000078	Syaf.g_02782	Praz.g_00599
OG0000079	Syaf.g_00197	Praz.g_00612
OG0000081	Syaf.g_02776	Praz.g_01797
OG0000082	Syaf.g_02576	Praz.g_01744
OG0000084	Syaf.g_02409	Praz.g_01045
OG0000085	Syaf.g_01048	Praz.g_00884
OG0000086	Syaf.g_00932	Praz.g_00448
OG0000087	Syaf.g_00848	Praz.g_00499
OG0000088	Syaf.g_00811	Praz.g_00526
OG0000089	Syaf.g_02807	Praz.g_00818
OG0000090	Syaf.g_02654	Praz.g_01795
OG0000091	Syaf.g_02302	Praz.g_01688
OG0000094	Syaf.g_01940	Praz.g_01296
OG0000097	Syaf.g_01574	Praz.g_00713
OG0000098	Syaf.g_01637	Praz.g_01157
OG0000099	Syaf.g_00312	Praz.g_01098
OG0000100	Syaf.g_02017	Praz.g_00967
OG0000101	Syaf.g_00093	Praz.g_00263
OG0000102	Syaf.g_00393	Praz.g_00200
OG0000103	Syaf.g_00520	Praz.g_00120
OG0000104	Syaf.g_00502	Praz.g_00361
OG0000105	Syaf.g_00235	Praz.g_00632
OG0000106	Syaf.g_01745	Praz.g_00804
OG0000107	Syaf.g_00177	Praz.g_00788
OG0000108	Syaf.g_02721	Praz.g_01848
OG0000109	Syaf.g_02706	Praz.g_01834
OG0000110	Syaf.g_02589	Praz.g_01754
OG0000112	Syaf.g_01852	Praz.g_01547
OG0000113	Syaf.g_02022	Praz.g_01490
OG0000114	Syaf.g_02103	Praz.g_01408
OG0000115	Syaf.g_02445	Praz.g_00054
OG0000116	Syaf.g_01276	Praz.g_00002
OG0000117	Syaf.g_01605	Praz.g_01237
OG0000118	Syaf.g_02544	Praz.g_01168
OG0000120	Syaf.g_00313	Praz.g_01118
OG0000121	Syaf.g_02419	Praz.g_01039
OG0000123	Syaf.g_00086	Praz.g_00256
OG0000124	Syaf.g_00414	Praz.g_00189
OG0000125	Syaf.g_00640	Praz.g_00152
OG0000126	Syaf.g_00504	Praz.g_00360
OG0000127	Syaf.g_01151	Praz.g_01255
OG0000128	Syaf.g_00486	Praz.g_00376
OG0000129	Syaf.g_00651	Praz.g_00410
OG0000130	Syaf.g_00963	Praz.g_00429
OG0000131	Syaf.g_00833	Praz.g_00505
OG0000132	Syaf.g_00813	Praz.g_00524
OG0000133	Syaf.g_01857	Praz.g_00679
OG0000134	Syaf.g_02804	Praz.g_00817
OG0000135	Syaf.g_00605	Praz.g_00791
OG0000136	Syaf.g_01224	Praz.g_01887
OG0000137	Syaf.g_02498	Praz.g_01853
OG0000138	Syaf.g_02705	Praz.g_01833
OG0000139	Syaf.g_02648	Praz.g_01791
OG0000140	Syaf.g_02646	Praz.g_01790
OG0000141	Syaf.g_02375	Praz.g_01723
OG0000142	Syaf.g_02310	Praz.g_01695
OG0000143	Syaf.g_02306	Praz.g_01691
OG0000144	Syaf.g_01735	Praz.g_01678
OG0000145	Syaf.g_02699	Praz.g_01554
OG0000146	Syaf.g_01851	Praz.g_01546
OG0000147	Syaf.g_01850	Praz.g_01545
OG0000148	Syaf.g_02028	Praz.g_01496
OG0000149	Syaf.g_01371	Praz.g_01465
OG0000150	Syaf.g_02645	Praz.g_01457
OG0000151	Syaf.g_02091	Praz.g_01398
OG0000152	Syaf.g_01861	Praz.g_01350
OG0000153	Syaf.g_01904	Praz.g_01331
OG0000154	Syaf.g_01930	Praz.g_01303
OG0000155	Syaf.g_01324	Praz.g_00734
OG0000156	Syaf.g_01270	Praz.g_01191
OG0000157	Syaf.g_01269	Praz.g_01190
OG0000158	Syaf.g_00364	Praz.g_01097
OG0000160	Syaf.g_02418	Praz.g_01040
OG0000161	Syaf.g_02424	Praz.g_01034
OG0000162	Syaf.g_02431	Praz.g_01028
OG0000163	Syaf.g_01105	Praz.g_00994
OG0000164	Syaf.g_00999	Praz.g_00853
OG0000165	Syaf.g_01197	Praz.g_00846
OG0000166	Syaf.g_00133	Praz.g_00299
OG0000167	Syaf.g_00350	Praz.g_00232
OG0000168	Syaf.g_00365	Praz.g_00222
OG0000169	Syaf.g_00376	Praz.g_00212
OG0000170	Syaf.g_00383	Praz.g_00210
OG0000171	Syaf.g_00413	Praz.g_00190
OG0000172	Syaf.g_00419	Praz.g_00181
OG0000173	Syaf.g_00438	Praz.g_00166
OG0000174	Syaf.g_00603	Praz.g_00138
OG0000175	Syaf.g_00531	Praz.g_00128
OG0000176	Syaf.g_00494	Praz.g_00369
OG0000177	Syaf.g_00493	Praz.g_00370
OG0000178	Syaf.g_00492	Praz.g_00371
OG0000179	Syaf.g_00477	Praz.g_00381
OG0000180	Syaf.g_00476	Praz.g_00382
OG0000181	Syaf.g_00475	Praz.g_00383
OG0000182	Syaf.g_00474	Praz.g_00384
OG0000183	Syaf.g_00470	Praz.g_00388
OG0000184	Syaf.g_00664	Praz.g_00412
OG0000185	Syaf.g_00684	Praz.g_00415
OG0000186	Syaf.g_00968	Praz.g_00424
OG0000187	Syaf.g_00966	Praz.g_00425
OG0000188	Syaf.g_00944	Praz.g_00442
OG0000189	Syaf.g_00916	Praz.g_00456
OG0000190	Syaf.g_00914	Praz.g_00457
OG0000191	Syaf.g_00877	Praz.g_00477
OG0000192	Syaf.g_00871	Praz.g_00481
OG0000193	Syaf.g_00832	Praz.g_00506
OG0000194	Syaf.g_00829	Praz.g_00509
OG0000195	Syaf.g_00827	Praz.g_00511
OG0000196	Syaf.g_00816	Praz.g_00521
OG0000197	Syaf.g_00815	Praz.g_00522
OG0000198	Syaf.g_00814	Praz.g_00523
OG0000199	Syaf.g_00806	Praz.g_00530
OG0000200	Syaf.g_00789	Praz.g_00544
OG0000202	Syaf.g_00770	Praz.g_00553
OG0000203	Syaf.g_00769	Praz.g_00554
OG0000204	Syaf.g_00768	Praz.g_00555
OG0000205	Syaf.g_00761	Praz.g_00562
OG0000206	Syaf.g_00736	Praz.g_00567
OG0000207	Syaf.g_00735	Praz.g_00569
OG0000208	Syaf.g_00734	Praz.g_00570
OG0000209	Syaf.g_00714	Praz.g_00579
OG0000210	Syaf.g_00713	Praz.g_00580
OG0000212	Syaf.g_02781	Praz.g_00600
OG0000213	Syaf.g_00210	Praz.g_00617
OG0000214	Syaf.g_00226	Praz.g_00626
OG0000215	Syaf.g_00258	Praz.g_00650
OG0000216	Syaf.g_00262	Praz.g_00651
OG0000217	Syaf.g_00266	Praz.g_00654
OG0000218	Syaf.g_00268	Praz.g_00656
OG0000219	Syaf.g_00269	Praz.g_00657
OG0000220	Syaf.g_00270	Praz.g_00658
OG0000221	Syaf.g_02597, Syaf.g_00273	Praz.g_00659
OG0000222	Syaf.g_00287	Praz.g_00667
OG0000223	Syaf.g_00317	Praz.g_00680
OG0000224	Syaf.g_00324	Praz.g_00682
OG0000225	Syaf.g_00007	Praz.g_00348
OG0000226	Syaf.g_00003	Praz.g_00352
OG0000227	Syaf.g_00001	Praz.g_00354
OG0000228	Syaf.g_02808	Praz.g_00819
OG0000229	Syaf.g_01214	Praz.g_01892
OG0000230	Syaf.g_01216	Praz.g_01890
OG0000231	Syaf.g_01236	Praz.g_01879
OG0000232	Syaf.g_02536	Praz.g_01870
OG0000233	Syaf.g_02528	Praz.g_01865
OG0000234	Syaf.g_02497	Praz.g_01852
OG0000235	Syaf.g_02722	Praz.g_01849
OG0000236	Syaf.g_02707	Praz.g_01835
OG0000237	Syaf.g_02690	Praz.g_01822
OG0000238	Syaf.g_02685	Praz.g_01816
OG0000239	Syaf.g_02669	Praz.g_01803
OG0000240	Syaf.g_02668	Praz.g_01802
OG0000241	Syaf.g_02322	Praz.g_01798
OG0000242	Syaf.g_02656	Praz.g_01796
OG0000243	Syaf.g_02634	Praz.g_01785
OG0000244	Syaf.g_02627	Praz.g_01782
OG0000245	Syaf.g_02625	Praz.g_01780
OG0000246	Syaf.g_02621	Praz.g_01776
OG0000247	Syaf.g_02610	Praz.g_01766
OG0000248	Syaf.g_02607	Praz.g_01764
OG0000249	Syaf.g_02605	Praz.g_01762
OG0000250	Syaf.g_02593	Praz.g_01757
OG0000251	Syaf.g_02568	Praz.g_01739
OG0000252	Syaf.g_02565	Praz.g_01736
OG0000253	Syaf.g_02564	Praz.g_01735
OG0000254	Syaf.g_02371	Praz.g_01719
OG0000255	Syaf.g_02352	Praz.g_01713
OG0000256	Syaf.g_02329	Praz.g_01703
OG0000257	Syaf.g_02323	Praz.g_01700
OG0000258	Syaf.g_02301	Praz.g_01687
OG0000259	Syaf.g_02137	Praz.g_01670
OG0000260	Syaf.g_02134	Praz.g_01667
OG0000261	Syaf.g_02131	Praz.g_01665
OG0000262	Syaf.g_02126	Praz.g_01661
OG0000263	Syaf.g_01585	Praz.g_01649
OG0000264	Syaf.g_01473	Praz.g_01639
OG0000265	Syaf.g_01196	Praz.g_01607
OG0000266	Syaf.g_01967	Praz.g_01597
OG0000267	Syaf.g_01787	Praz.g_01586
OG0000268	Syaf.g_01788	Praz.g_01585
OG0000269	Syaf.g_02054	Praz.g_01517
OG0000270	Syaf.g_02051	Praz.g_01514
OG0000271	Syaf.g_02043	Praz.g_01506
OG0000272	Syaf.g_02042	Praz.g_01505
OG0000273	Syaf.g_01392	Praz.g_01482
OG0000274	Syaf.g_01391	Praz.g_01481
OG0000275	Syaf.g_01386	Praz.g_01478
OG0000276	Syaf.g_01379	Praz.g_01473
OG0000277	Syaf.g_01378	Praz.g_01472
OG0000278	Syaf.g_01375	Praz.g_01469
OG0000279	Syaf.g_01367	Praz.g_01462
OG0000280	Syaf.g_01337	Praz.g_01461
OG0000281	Syaf.g_01636	Praz.g_01456
OG0000282	Syaf.g_02101	Praz.g_01406
OG0000283	Syaf.g_01804	Praz.g_01373
OG0000284	Syaf.g_01810	Praz.g_01368
OG0000285	Syaf.g_01842	Praz.g_01363
OG0000286	Syaf.g_01860	Praz.g_01351
OG0000288	Syaf.g_01929	Praz.g_01304
OG0000289	Syaf.g_01943	Praz.g_01292
OG0000290	Syaf.g_01439	Praz.g_01279, Praz.g_00063
OG0000291	Syaf.g_01441	Praz.g_00065
OG0000292	Syaf.g_00505	Praz.g_00114
OG0000293	Syaf.g_01277	Praz.g_00001
OG0000294	Syaf.g_01278	Praz.g_00763
OG0000295	Syaf.g_01316	Praz.g_00742
OG0000296	Syaf.g_01318	Praz.g_00740
OG0000297	Syaf.g_01607	Praz.g_00732
OG0000298	Syaf.g_01606	Praz.g_00731
OG0000299	Syaf.g_01578	Praz.g_00714
OG0000300	Syaf.g_01571	Praz.g_00711
OG0000301	Syaf.g_01570	Praz.g_00710
OG0000302	Syaf.g_01568	Praz.g_00708
OG0000303	Syaf.g_01559	Praz.g_00701
OG0000304	Syaf.g_01551	Praz.g_00697
OG0000305	Syaf.g_01444	Praz.g_01147
OG0000306	Syaf.g_01332	Praz.g_01144
OG0000307	Syaf.g_02742	Praz.g_01130
OG0000308	Syaf.g_02744	Praz.g_01129
OG0000309	Syaf.g_02749	Praz.g_01125
OG0000310	Syaf.g_02387	Praz.g_01056
OG0000311	Syaf.g_02391	Praz.g_01054
OG0000312	Syaf.g_02397	Praz.g_01051
OG0000313	Syaf.g_02421	Praz.g_01037
OG0000314	Syaf.g_02458	Praz.g_01014
OG0000315	Syaf.g_02468	Praz.g_01004
OG0000316	Syaf.g_01088	Praz.g_00984
OG0000317	Syaf.g_01040	Praz.g_00879
OG0000318	Syaf.g_01032	Praz.g_00876
OG0000319	Syaf.g_01015	Praz.g_00863
OG0000320	Syaf.g_01013	Praz.g_00861
OG0000321	Syaf.g_01012	Praz.g_00860
OG0000322	Syaf.g_01011	Praz.g_00859
OG0000323	Syaf.g_00997	Praz.g_00850
OG0000324	Syaf.g_01164	Praz.g_00824
OG0000325	Syaf.g_00176	Praz.g_00334
OG0000326	Syaf.g_00169	Praz.g_00328
OG0000327	Syaf.g_00138	Praz.g_00304
OG0000328	Syaf.g_00137	Praz.g_00303
OG0000329	Syaf.g_00119	Praz.g_00286
OG0000330	Syaf.g_00118	Praz.g_00285
OG0000331	Syaf.g_00117	Praz.g_00284
OG0000332	Syaf.g_00102	Praz.g_00270
OG0000333	Syaf.g_00099	Praz.g_00268
OG0000334	Syaf.g_00090	Praz.g_00260
OG0000335	Syaf.g_00085	Praz.g_00255
OG0000336	Syaf.g_00081	Praz.g_00251
OG0000337	Syaf.g_00344	Praz.g_00234
OG0000338	Syaf.g_00348	Praz.g_00233
OG0000339	Syaf.g_00355	Praz.g_00229
OG0000340	Syaf.g_00366	Praz.g_00221
OG0000341	Syaf.g_00368	Praz.g_00219
OG0000342	Syaf.g_00369	Praz.g_00218
OG0000343	Syaf.g_00370	Praz.g_00217
OG0000344	Syaf.g_00374	Praz.g_00214
OG0000345	Syaf.g_00384	Praz.g_00209
OG0000346	Syaf.g_00389	Praz.g_00204
OG0000347	Syaf.g_00415	Praz.g_00188
OG0000348	Syaf.g_00427	Praz.g_00178
OG0000349	Syaf.g_00445	Praz.g_00161
OG0000350	Syaf.g_00162	Praz.g_00142
OG0000351	Syaf.g_00528	Praz.g_00125
OG0000352	Syaf.g_00527	Praz.g_00124
OG0000353	Syaf.g_00499	Praz.g_00364
OG0000355	Syaf.g_00497	Praz.g_00366
OG0000356	Syaf.g_00496	Praz.g_00367
OG0000357	Syaf.g_00495	Praz.g_00368
OG0000358	Syaf.g_00491	Praz.g_00372
OG0000359	Syaf.g_00489	Praz.g_00373
OG0000360	Syaf.g_00488	Praz.g_00374
OG0000361	Syaf.g_00487	Praz.g_00375
OG0000362	Syaf.g_00485	Praz.g_00377
OG0000363	Syaf.g_00483	Praz.g_00379
OG0000364	Syaf.g_00482	Praz.g_00380
OG0000365	Syaf.g_00473	Praz.g_00385
OG0000366	Syaf.g_00472	Praz.g_00386
OG0000367	Syaf.g_00471	Praz.g_00387
OG0000368	Syaf.g_00469	Praz.g_00389
OG0000369	Syaf.g_00468	Praz.g_00390
OG0000370	Syaf.g_00467	Praz.g_00391
OG0000371	Syaf.g_00458	Praz.g_00397
OG0000372	Syaf.g_00453	Praz.g_00400
OG0000373	Syaf.g_00452	Praz.g_00401
OG0000374	Syaf.g_00451	Praz.g_00402
OG0000375	Syaf.g_00449	Praz.g_00406
OG0000376	Syaf.g_00447	Praz.g_00408
OG0000377	Syaf.g_00654	Praz.g_00411
OG0000378	Syaf.g_00668	Praz.g_00413
OG0000379	Syaf.g_00686	Praz.g_00416
OG0000380	Syaf.g_00965	Praz.g_00426
OG0000381	Syaf.g_00962	Praz.g_00430
OG0000382	Syaf.g_00945	Praz.g_00441
OG0000383	Syaf.g_00941	Praz.g_00443
OG0000384	Syaf.g_00940	Praz.g_00444
OG0000385	Syaf.g_00939	Praz.g_00445
OG0000386	Syaf.g_00938	Praz.g_00446
OG0000387	Syaf.g_00912	Praz.g_00459
OG0000388	Syaf.g_00908	Praz.g_00462
OG0000389	Syaf.g_00904	Praz.g_00466
OG0000390	Syaf.g_00883	Praz.g_00473
OG0000391	Syaf.g_00878	Praz.g_00476
OG0000392	Syaf.g_00872	Praz.g_00480
OG0000393	Syaf.g_00870	Praz.g_00482
OG0000394	Syaf.g_00869	Praz.g_00483
OG0000395	Syaf.g_00868	Praz.g_00484
OG0000396	Syaf.g_00865	Praz.g_00487
OG0000397	Syaf.g_00863	Praz.g_00489
OG0000398	Syaf.g_00858	Praz.g_00491
OG0000399	Syaf.g_00857	Praz.g_00492
OG0000400	Syaf.g_00856	Praz.g_00493
OG0000401	Syaf.g_00855	Praz.g_00494
OG0000402	Syaf.g_00852	Praz.g_00496
OG0000403	Syaf.g_00851	Praz.g_00497
OG0000404	Syaf.g_00850	Praz.g_00498
OG0000405	Syaf.g_00835	Praz.g_00502
OG0000406	Syaf.g_00831	Praz.g_00507
OG0000407	Syaf.g_00830	Praz.g_00508
OG0000408	Syaf.g_00828	Praz.g_00510
OG0000409	Syaf.g_00826	Praz.g_00512
OG0000410	Syaf.g_00825	Praz.g_00513
OG0000411	Syaf.g_00824	Praz.g_00514
OG0000412	Syaf.g_00823	Praz.g_00515
OG0000413	Syaf.g_00821	Praz.g_00516
OG0000414	Syaf.g_00820	Praz.g_00517
OG0000415	Syaf.g_00819	Praz.g_00518
OG0000416	Syaf.g_00818	Praz.g_00519
OG0000417	Syaf.g_00817	Praz.g_00520
OG0000418	Syaf.g_00812	Praz.g_00525
OG0000419	Syaf.g_00810	Praz.g_00527
OG0000420	Syaf.g_00808	Praz.g_00528
OG0000421	Syaf.g_00803	Praz.g_00533
OG0000422	Syaf.g_00802	Praz.g_00534
OG0000423	Syaf.g_00801	Praz.g_00535
OG0000424	Syaf.g_00800	Praz.g_00536
OG0000425	Syaf.g_00799	Praz.g_00537
OG0000426	Syaf.g_00798	Praz.g_00538
OG0000427	Syaf.g_00797	Praz.g_00539
OG0000428	Syaf.g_00794	Praz.g_00541
OG0000429	Syaf.g_00792	Praz.g_00542
OG0000430	Syaf.g_00790	Praz.g_00543
OG0000431	Syaf.g_00786	Praz.g_00545
OG0000432	Syaf.g_00779	Praz.g_00548
OG0000433	Syaf.g_00777	Praz.g_00549
OG0000434	Syaf.g_00776	Praz.g_00550
OG0000435	Syaf.g_00772	Praz.g_00551
OG0000436	Syaf.g_00767	Praz.g_00556
OG0000437	Syaf.g_00766	Praz.g_00557
OG0000438	Syaf.g_00765	Praz.g_00558
OG0000439	Syaf.g_00763	Praz.g_00560
OG0000440	Syaf.g_00762	Praz.g_00561
OG0000441	Syaf.g_00756	Praz.g_00564
OG0000442	Syaf.g_00743	Praz.g_00565
OG0000443	Syaf.g_00739	Praz.g_00566
OG0000444	Syaf.g_00733	Praz.g_00571
OG0000445	Syaf.g_00729	Praz.g_00572
OG0000446	Syaf.g_00728	Praz.g_00573
OG0000447	Syaf.g_00725	Praz.g_00574
OG0000448	Syaf.g_00724	Praz.g_00575
OG0000449	Syaf.g_00723	Praz.g_00576
OG0000450	Syaf.g_00717	Praz.g_00577
OG0000451	Syaf.g_00716	Praz.g_00578
OG0000452	Syaf.g_00712	Praz.g_00581
OG0000453	Syaf.g_00711	Praz.g_00582
OG0000454	Syaf.g_00710	Praz.g_00583
OG0000455	Syaf.g_00709	Praz.g_00584
OG0000456	Syaf.g_00708	Praz.g_00585
OG0000457	Syaf.g_00706	Praz.g_00586
OG0000458	Syaf.g_00705	Praz.g_00587
OG0000459	Syaf.g_00704	Praz.g_00588
OG0000460	Syaf.g_02789	Praz.g_00595
OG0000461	Syaf.g_00183	Praz.g_00602
OG0000462	Syaf.g_00186	Praz.g_00604
OG0000463	Syaf.g_00187	Praz.g_00605
OG0000464	Syaf.g_00188	Praz.g_00606
OG0000465	Syaf.g_00190	Praz.g_00607
OG0000466	Syaf.g_00194	Praz.g_00610
OG0000467	Syaf.g_00196	Praz.g_00611
OG0000468	Syaf.g_00206	Praz.g_00613
OG0000469	Syaf.g_00220	Praz.g_00621
OG0000470	Syaf.g_00222	Praz.g_00623
OG0000471	Syaf.g_00223	Praz.g_00624
OG0000472	Syaf.g_00225	Praz.g_00625
OG0000473	Syaf.g_00227	Praz.g_00627
OG0000474	Syaf.g_00228	Praz.g_00628
OG0000475	Syaf.g_00229	Praz.g_00629
OG0000476	Syaf.g_00231	Praz.g_00630
OG0000477	Syaf.g_00237	Praz.g_00633
OG0000478	Syaf.g_00238	Praz.g_00634
OG0000479	Syaf.g_00239	Praz.g_00635
OG0000480	Syaf.g_00247	Praz.g_00640
OG0000481	Syaf.g_00249	Praz.g_00642
OG0000482	Syaf.g_00250	Praz.g_00643
OG0000483	Syaf.g_00254	Praz.g_00646
OG0000484	Syaf.g_00255	Praz.g_00647
OG0000485	Syaf.g_00256	Praz.g_00648
OG0000486	Syaf.g_00257	Praz.g_00649
OG0000487	Syaf.g_00263	Praz.g_00652
OG0000488	Syaf.g_00267	Praz.g_00655
OG0000489	Syaf.g_00274	Praz.g_00660
OG0000490	Syaf.g_00284	Praz.g_00665
OG0000491	Syaf.g_00285	Praz.g_00666
OG0000492	Syaf.g_00288	Praz.g_00668
OG0000493	Syaf.g_00289	Praz.g_00669
OG0000494	Syaf.g_00290	Praz.g_00670
OG0000495	Syaf.g_00291	Praz.g_00671
OG0000496	Syaf.g_00292	Praz.g_00672
OG0000497	Syaf.g_00293	Praz.g_00673
OG0000498	Syaf.g_00294	Praz.g_00674
OG0000499	Syaf.g_00295	Praz.g_00675
OG0000500	Syaf.g_00296	Praz.g_00676
OG0000501	Syaf.g_00299	Praz.g_00678
OG0000502	Syaf.g_00319	Praz.g_00681
OG0000503	Syaf.g_00023	Praz.g_01931
OG0000504	Syaf.g_00021	Praz.g_01932
OG0000505	Syaf.g_00020	Praz.g_01933
OG0000506	Syaf.g_00018	Praz.g_01935
OG0000507	Syaf.g_00012	Praz.g_00343
OG0000508	Syaf.g_00008	Praz.g_00347
OG0000509	Syaf.g_00006	Praz.g_00349
OG0000510	Syaf.g_00005	Praz.g_00350
OG0000511	Syaf.g_00004	Praz.g_00351
OG0000512	Syaf.g_00002	Praz.g_00353
OG0000513	Syaf.g_02803	Praz.g_00816
OG0000514	Syaf.g_02796	Praz.g_01897
OG0000515	Syaf.g_02795	Praz.g_01896
OG0000516	Syaf.g_01219	Praz.g_01895
OG0000517	Syaf.g_01213	Praz.g_01893
OG0000518	Syaf.g_01230	Praz.g_01882
OG0000519	Syaf.g_01231	Praz.g_01881
OG0000520	Syaf.g_01235	Praz.g_01880
OG0000521	Syaf.g_02542	Praz.g_01875
OG0000522	Syaf.g_02538	Praz.g_01873
OG0000523	Syaf.g_02537	Praz.g_01872
OG0000524	Syaf.g_02531	Praz.g_01867
OG0000525	Syaf.g_02507	Praz.g_01864
OG0000526	Syaf.g_02504	Praz.g_01863
OG0000527	Syaf.g_02500	Praz.g_01855
OG0000528	Syaf.g_02728	Praz.g_01850
OG0000529	Syaf.g_02720	Praz.g_01847
OG0000530	Syaf.g_02717	Praz.g_01844
OG0000531	Syaf.g_02716	Praz.g_01843
OG0000532	Syaf.g_02713	Praz.g_01841
OG0000533	Syaf.g_02712	Praz.g_01840
OG0000534	Syaf.g_02711	Praz.g_01839
OG0000535	Syaf.g_02710	Praz.g_01838
OG0000536	Syaf.g_02709	Praz.g_01837
OG0000537	Syaf.g_02708	Praz.g_01836
OG0000538	Syaf.g_02697	Praz.g_01828
OG0000539	Syaf.g_02696	Praz.g_01827
OG0000540	Syaf.g_02695	Praz.g_01826
OG0000541	Syaf.g_02694	Praz.g_01825
OG0000542	Syaf.g_02691	Praz.g_01823
OG0000543	Syaf.g_02689	Praz.g_01821
OG0000544	Syaf.g_02688	Praz.g_01820
OG0000545	Syaf.g_02686	Praz.g_01818
OG0000546	Syaf.g_02684	Praz.g_01815
OG0000547	Syaf.g_02682	Praz.g_01813
OG0000548	Syaf.g_02681	Praz.g_01812
OG0000549	Syaf.g_02676	Praz.g_01810
OG0000550	Syaf.g_02671	Praz.g_01805
OG0000551	Syaf.g_02666	Praz.g_01801
OG0000552	Syaf.g_02665	Praz.g_01800
OG0000553	Syaf.g_02663	Praz.g_01799
OG0000554	Syaf.g_02653	Praz.g_01794
OG0000555	Syaf.g_02635	Praz.g_01786
OG0000556	Syaf.g_02630	Praz.g_01784
OG0000557	Syaf.g_02628	Praz.g_01783
OG0000558	Syaf.g_02626	Praz.g_01781
OG0000559	Syaf.g_02622	Praz.g_01777
OG0000560	Syaf.g_02619	Praz.g_01774
OG0000561	Syaf.g_02618	Praz.g_01773
OG0000562	Syaf.g_02617	Praz.g_01772
OG0000563	Syaf.g_02616	Praz.g_01771
OG0000564	Syaf.g_02615	Praz.g_01770
OG0000565	Syaf.g_02612	Praz.g_01767
OG0000566	Syaf.g_02608	Praz.g_01765
OG0000567	Syaf.g_02604	Praz.g_01761
OG0000568	Syaf.g_02599	Praz.g_01760
OG0000569	Syaf.g_02596	Praz.g_01759
OG0000570	Syaf.g_02595	Praz.g_01758
