Orthogroup	Syaf	Pran
OG0000082	Syaf.g_02576	Pran.g_01593
OG0000084	Syaf.g_02409	Pran.g_00737
OG0000085	Syaf.g_01048	Pran.g_00963
OG0000086	Syaf.g_00932	Pran.g_00344
OG0000087	Syaf.g_00848	Pran.g_00295
OG0000088	Syaf.g_00811	Pran.g_00266
OG0000089	Syaf.g_02807	Pran.g_01839
OG0000090	Syaf.g_02654	Pran.g_01645
OG0000091	Syaf.g_02302	Pran.g_01536
OG0000093	Syaf.g_01775	Pran.g_00455
OG0000094	Syaf.g_01940	Pran.g_00549
OG0000097	Syaf.g_01574	Pran.g_00019
OG0000098	Syaf.g_01637	Pran.g_00855
OG0000099	Syaf.g_00312	Pran.g_00806
OG0000100	Syaf.g_02017	Pran.g_00659
OG0000101	Syaf.g_00093	Pran.g_01105
OG0000102	Syaf.g_00393	Pran.g_01165
OG0000103	Syaf.g_00520	Pran.g_01244
OG0000104	Syaf.g_00502	Pran.g_01253
OG0000105	Syaf.g_00235	Pran.g_01920
OG0000106	Syaf.g_01745	Pran.g_01824
OG0000107	Syaf.g_00177	Pran.g_01808
OG0000108	Syaf.g_02721	Pran.g_01698
OG0000109	Syaf.g_02706	Pran.g_01684
OG0000110	Syaf.g_02589	Pran.g_01603
OG0000112	Syaf.g_01852	Pran.g_01378
OG0000113	Syaf.g_02022	Pran.g_01321
OG0000114	Syaf.g_02103	Pran.g_00429
OG0000115	Syaf.g_02445	Pran.g_00123
OG0000116	Syaf.g_01276	Pran.g_00070
OG0000117	Syaf.g_01605	Pran.g_01466
OG0000118	Syaf.g_02544	Pran.g_00864
OG0000120	Syaf.g_00313	Pran.g_00752
OG0000121	Syaf.g_02419	Pran.g_00731
OG0000123	Syaf.g_00086	Pran.g_01112
OG0000124	Syaf.g_00414	Pran.g_01176
OG0000125	Syaf.g_00640	Pran.g_01212
OG0000126	Syaf.g_00504	Pran.g_01252
OG0000128	Syaf.g_00486	Pran.g_01268
OG0000129	Syaf.g_00651	Pran.g_00381
OG0000130	Syaf.g_00963	Pran.g_00363
OG0000131	Syaf.g_00833	Pran.g_00288
OG0000132	Syaf.g_00813	Pran.g_00268
OG0000133	Syaf.g_01857	Pran.g_01872
OG0000134	Syaf.g_02804	Pran.g_01838
OG0000135	Syaf.g_00605	Pran.g_01812
OG0000136	Syaf.g_01224	Pran.g_01739
OG0000137	Syaf.g_02498	Pran.g_01703
OG0000138	Syaf.g_02705	Pran.g_01683
OG0000139	Syaf.g_02648	Pran.g_01641
OG0000140	Syaf.g_02646	Pran.g_01640
OG0000141	Syaf.g_02375	Pran.g_01571
OG0000142	Syaf.g_02310	Pran.g_01543
OG0000143	Syaf.g_02306	Pran.g_01539
OG0000144	Syaf.g_01735	Pran.g_01526
OG0000145	Syaf.g_02699	Pran.g_01400
OG0000146	Syaf.g_01851	Pran.g_01377
OG0000147	Syaf.g_01850	Pran.g_01376
OG0000148	Syaf.g_02028	Pran.g_01327
OG0000149	Syaf.g_01371	Pran.g_01297
OG0000150	Syaf.g_02645	Pran.g_01289
OG0000151	Syaf.g_02091	Pran.g_00439
OG0000152	Syaf.g_01861	Pran.g_00487
OG0000153	Syaf.g_01904	Pran.g_00506
OG0000154	Syaf.g_01930	Pran.g_00542
OG0000155	Syaf.g_01324	Pran.g_00040
OG0000156	Syaf.g_01270	Pran.g_00887
OG0000157	Syaf.g_01269	Pran.g_00886
OG0000158	Syaf.g_00364	Pran.g_00822
OG0000160	Syaf.g_02418	Pran.g_00732
OG0000161	Syaf.g_02424	Pran.g_00726
OG0000162	Syaf.g_02431	Pran.g_00720
OG0000163	Syaf.g_01105	Pran.g_00686
OG0000164	Syaf.g_00999	Pran.g_00994
OG0000165	Syaf.g_01197	Pran.g_01001
OG0000166	Syaf.g_00133	Pran.g_01069, Pran.g_01068
OG0000167	Syaf.g_00350	Pran.g_01135
OG0000168	Syaf.g_00365	Pran.g_01144
OG0000169	Syaf.g_00376	Pran.g_01154
OG0000170	Syaf.g_00383	Pran.g_01156
OG0000171	Syaf.g_00413	Pran.g_01175
OG0000172	Syaf.g_00419	Pran.g_01184
OG0000173	Syaf.g_00438	Pran.g_01199
OG0000174	Syaf.g_00603	Pran.g_01226
OG0000175	Syaf.g_00531	Pran.g_01236
OG0000176	Syaf.g_00494	Pran.g_01261
OG0000177	Syaf.g_00493	Pran.g_01262
OG0000178	Syaf.g_00492	Pran.g_01263
OG0000179	Syaf.g_00477	Pran.g_00408
OG0000180	Syaf.g_00476	Pran.g_00407
OG0000181	Syaf.g_00475	Pran.g_00406
OG0000182	Syaf.g_00474	Pran.g_00405
OG0000183	Syaf.g_00470	Pran.g_00401
OG0000184	Syaf.g_00664	Pran.g_00379
OG0000185	Syaf.g_00684	Pran.g_00376
OG0000186	Syaf.g_00968	Pran.g_00368
OG0000187	Syaf.g_00966	Pran.g_00367
OG0000188	Syaf.g_00944	Pran.g_00350
OG0000189	Syaf.g_00916	Pran.g_00337
OG0000190	Syaf.g_00914	Pran.g_00336
OG0000191	Syaf.g_00877	Pran.g_00316
OG0000192	Syaf.g_00871	Pran.g_00312
OG0000193	Syaf.g_00832	Pran.g_00287
OG0000194	Syaf.g_00829	Pran.g_00283
OG0000195	Syaf.g_00827	Pran.g_00281
OG0000196	Syaf.g_00816	Pran.g_00271
OG0000197	Syaf.g_00815	Pran.g_00270
OG0000198	Syaf.g_00814	Pran.g_00269
OG0000199	Syaf.g_00806	Pran.g_00262
OG0000200	Syaf.g_00789	Pran.g_00248
OG0000202	Syaf.g_00770	Pran.g_00239
OG0000203	Syaf.g_00769	Pran.g_00238
OG0000204	Syaf.g_00768	Pran.g_00237
OG0000205	Syaf.g_00761	Pran.g_00230
OG0000206	Syaf.g_00736	Pran.g_00225
OG0000207	Syaf.g_00735	Pran.g_00223
OG0000208	Syaf.g_00734	Pran.g_00222
OG0000209	Syaf.g_00714	Pran.g_00213
OG0000210	Syaf.g_00713	Pran.g_00212
OG0000212	Syaf.g_02781	Pran.g_00193
OG0000213	Syaf.g_00210	Pran.g_01935
OG0000214	Syaf.g_00226	Pran.g_01926
OG0000215	Syaf.g_00258	Pran.g_01902
OG0000216	Syaf.g_00262	Pran.g_01900
OG0000217	Syaf.g_00266	Pran.g_01897
OG0000218	Syaf.g_00268	Pran.g_01895
OG0000219	Syaf.g_00269	Pran.g_01894
OG0000220	Syaf.g_00270	Pran.g_01893
OG0000221	Syaf.g_02597, Syaf.g_00273	Pran.g_01892
OG0000222	Syaf.g_00287	Pran.g_01884
OG0000223	Syaf.g_00317	Pran.g_01871
OG0000224	Syaf.g_00324	Pran.g_01869
OG0000225	Syaf.g_00007	Pran.g_01849
OG0000226	Syaf.g_00003	Pran.g_01845
OG0000227	Syaf.g_00001	Pran.g_01843
OG0000228	Syaf.g_02808	Pran.g_01840
OG0000229	Syaf.g_01214	Pran.g_01744
OG0000230	Syaf.g_01216	Pran.g_01742
OG0000231	Syaf.g_01236	Pran.g_01728
OG0000232	Syaf.g_02536	Pran.g_01720
OG0000233	Syaf.g_02528	Pran.g_01715
OG0000234	Syaf.g_02497	Pran.g_01702
OG0000235	Syaf.g_02722	Pran.g_01699
OG0000236	Syaf.g_02707	Pran.g_01685
OG0000237	Syaf.g_02690	Pran.g_01672
OG0000238	Syaf.g_02685	Pran.g_01666
OG0000239	Syaf.g_02669	Pran.g_01653
OG0000240	Syaf.g_02668	Pran.g_01652
OG0000241	Syaf.g_02322	Pran.g_01648
OG0000242	Syaf.g_02656	Pran.g_01646
OG0000243	Syaf.g_02634	Pran.g_01635
OG0000244	Syaf.g_02627	Pran.g_01632
OG0000245	Syaf.g_02625	Pran.g_01630
OG0000246	Syaf.g_02621	Pran.g_01626
OG0000247	Syaf.g_02610	Pran.g_01616
OG0000248	Syaf.g_02607	Pran.g_01613
OG0000249	Syaf.g_02605	Pran.g_01611
OG0000250	Syaf.g_02593	Pran.g_01606
OG0000251	Syaf.g_02568	Pran.g_01587
OG0000252	Syaf.g_02565	Pran.g_01584
OG0000253	Syaf.g_02564	Pran.g_01583
OG0000254	Syaf.g_02371	Pran.g_01567
OG0000255	Syaf.g_02352	Pran.g_01561
OG0000256	Syaf.g_02329	Pran.g_01551
OG0000257	Syaf.g_02323	Pran.g_01548
OG0000258	Syaf.g_02301	Pran.g_01535
OG0000259	Syaf.g_02137	Pran.g_01518
OG0000260	Syaf.g_02134	Pran.g_01515
OG0000261	Syaf.g_02131	Pran.g_01513
OG0000262	Syaf.g_02126	Pran.g_01509
OG0000263	Syaf.g_01585	Pran.g_01497
OG0000264	Syaf.g_01473	Pran.g_01487
OG0000265	Syaf.g_01196	Pran.g_01460
OG0000266	Syaf.g_01967	Pran.g_01450
OG0000267	Syaf.g_01787	Pran.g_01439
OG0000268	Syaf.g_01788	Pran.g_01438
OG0000269	Syaf.g_02054	Pran.g_01348
OG0000270	Syaf.g_02051	Pran.g_01345
OG0000271	Syaf.g_02043	Pran.g_01337
OG0000272	Syaf.g_02042	Pran.g_01336
OG0000273	Syaf.g_01392	Pran.g_01313
OG0000274	Syaf.g_01391	Pran.g_01312
OG0000275	Syaf.g_01386	Pran.g_01310
OG0000276	Syaf.g_01379	Pran.g_01305
OG0000277	Syaf.g_01378	Pran.g_01304
OG0000278	Syaf.g_01375	Pran.g_01301
OG0000279	Syaf.g_01367	Pran.g_01294
OG0000280	Syaf.g_01337	Pran.g_01293
OG0000281	Syaf.g_01636	Pran.g_01287
OG0000282	Syaf.g_02101	Pran.g_00431
OG0000283	Syaf.g_01804	Pran.g_00464
OG0000284	Syaf.g_01810	Pran.g_00469
OG0000285	Syaf.g_01842	Pran.g_00474
OG0000286	Syaf.g_01860	Pran.g_00486
OG0000288	Syaf.g_01929	Pran.g_00541
OG0000289	Syaf.g_01943	Pran.g_00552
OG0000290	Syaf.g_01439	Pran.g_00565
OG0000291	Syaf.g_01441	Pran.g_00567
OG0000292	Syaf.g_00505	Pran.g_00135
OG0000293	Syaf.g_01277	Pran.g_00069
OG0000294	Syaf.g_01278	Pran.g_00068
OG0000295	Syaf.g_01316	Pran.g_00048
OG0000296	Syaf.g_01318	Pran.g_00046
OG0000297	Syaf.g_01607	Pran.g_00038
OG0000298	Syaf.g_01606	Pran.g_00037
OG0000299	Syaf.g_01578	Pran.g_00020
OG0000300	Syaf.g_01571	Pran.g_00017
OG0000301	Syaf.g_01570	Pran.g_00016
OG0000302	Syaf.g_01568	Pran.g_00014
OG0000303	Syaf.g_01559	Pran.g_00007
OG0000304	Syaf.g_01551	Pran.g_00003
OG0000305	Syaf.g_01444	Pran.g_00848
OG0000306	Syaf.g_01332	Pran.g_00846
OG0000307	Syaf.g_02742	Pran.g_00832
OG0000308	Syaf.g_02744	Pran.g_00831
OG0000309	Syaf.g_02749	Pran.g_00827
OG0000310	Syaf.g_02387	Pran.g_00748
OG0000311	Syaf.g_02391	Pran.g_00746
OG0000312	Syaf.g_02397	Pran.g_00743
OG0000313	Syaf.g_02421	Pran.g_00729
OG0000314	Syaf.g_02458	Pran.g_00706
OG0000315	Syaf.g_02468	Pran.g_00696
OG0000316	Syaf.g_01088	Pran.g_00676
OG0000317	Syaf.g_01040	Pran.g_00968
OG0000318	Syaf.g_01032	Pran.g_00971
OG0000319	Syaf.g_01015	Pran.g_00984
OG0000320	Syaf.g_01013	Pran.g_00986
OG0000321	Syaf.g_01012	Pran.g_00987
OG0000322	Syaf.g_01011	Pran.g_00988
OG0000323	Syaf.g_00997	Pran.g_00997
OG0000324	Syaf.g_01164	Pran.g_01023
OG0000325	Syaf.g_00176	Pran.g_01033
OG0000326	Syaf.g_00169	Pran.g_01039
OG0000327	Syaf.g_00138	Pran.g_01063
OG0000328	Syaf.g_00137	Pran.g_01064
OG0000329	Syaf.g_00119	Pran.g_01082
OG0000330	Syaf.g_00118	Pran.g_01083
OG0000331	Syaf.g_00117	Pran.g_01084
OG0000332	Syaf.g_00102	Pran.g_01098
OG0000333	Syaf.g_00099	Pran.g_01100
OG0000334	Syaf.g_00090	Pran.g_01108
OG0000335	Syaf.g_00085	Pran.g_01113
OG0000336	Syaf.g_00081	Pran.g_01117
OG0000337	Syaf.g_00344	Pran.g_01133
OG0000338	Syaf.g_00348	Pran.g_01134
OG0000339	Syaf.g_00355	Pran.g_01138
OG0000340	Syaf.g_00366	Pran.g_01145
OG0000341	Syaf.g_00368	Pran.g_01147
OG0000342	Syaf.g_00369	Pran.g_01148
OG0000343	Syaf.g_00370	Pran.g_01149
OG0000344	Syaf.g_00374	Pran.g_01152
OG0000345	Syaf.g_00384	Pran.g_01157
OG0000346	Syaf.g_00389	Pran.g_01161
OG0000347	Syaf.g_00415	Pran.g_01177
OG0000348	Syaf.g_00427	Pran.g_01187
OG0000349	Syaf.g_00445	Pran.g_01203
OG0000350	Syaf.g_00162	Pran.g_01222
OG0000351	Syaf.g_00528	Pran.g_01239
OG0000352	Syaf.g_00527	Pran.g_01240
OG0000353	Syaf.g_00499	Pran.g_01256
OG0000355	Syaf.g_00497	Pran.g_01258
OG0000356	Syaf.g_00496	Pran.g_01259
OG0000357	Syaf.g_00495	Pran.g_01260
OG0000358	Syaf.g_00491	Pran.g_01264
OG0000359	Syaf.g_00489	Pran.g_01265
OG0000360	Syaf.g_00488	Pran.g_01266
OG0000361	Syaf.g_00487	Pran.g_01267
OG0000362	Syaf.g_00485	Pran.g_01269
OG0000363	Syaf.g_00483	Pran.g_00410
OG0000364	Syaf.g_00482	Pran.g_00409
OG0000365	Syaf.g_00473	Pran.g_00404
OG0000366	Syaf.g_00472	Pran.g_00403
OG0000367	Syaf.g_00471	Pran.g_00402
OG0000368	Syaf.g_00469	Pran.g_00400
OG0000369	Syaf.g_00468	Pran.g_00399
OG0000370	Syaf.g_00467	Pran.g_00398
OG0000371	Syaf.g_00458	Pran.g_00392
OG0000372	Syaf.g_00453	Pran.g_00389
OG0000373	Syaf.g_00452	Pran.g_00388
OG0000374	Syaf.g_00451	Pran.g_00387
OG0000375	Syaf.g_00449	Pran.g_00385
OG0000376	Syaf.g_00447	Pran.g_00383
OG0000377	Syaf.g_00654	Pran.g_00380
OG0000378	Syaf.g_00668	Pran.g_00378
OG0000379	Syaf.g_00686	Pran.g_00375
OG0000380	Syaf.g_00965	Pran.g_00366
OG0000381	Syaf.g_00962	Pran.g_00362
OG0000382	Syaf.g_00945	Pran.g_00351
OG0000383	Syaf.g_00941	Pran.g_00349
OG0000384	Syaf.g_00940	Pran.g_00348
OG0000385	Syaf.g_00939	Pran.g_00347
OG0000386	Syaf.g_00938	Pran.g_00346
OG0000387	Syaf.g_00912	Pran.g_00334
OG0000388	Syaf.g_00908	Pran.g_00331
OG0000389	Syaf.g_00904	Pran.g_00327
OG0000390	Syaf.g_00883	Pran.g_00320
OG0000391	Syaf.g_00878	Pran.g_00317
OG0000392	Syaf.g_00872	Pran.g_00313
OG0000393	Syaf.g_00870	Pran.g_00311
OG0000394	Syaf.g_00869	Pran.g_00310
OG0000395	Syaf.g_00868	Pran.g_00309
OG0000396	Syaf.g_00865	Pran.g_00307
OG0000397	Syaf.g_00863	Pran.g_00305
OG0000398	Syaf.g_00858	Pran.g_00303
OG0000399	Syaf.g_00857	Pran.g_00302
OG0000400	Syaf.g_00856	Pran.g_00301
OG0000401	Syaf.g_00855	Pran.g_00300
OG0000402	Syaf.g_00852	Pran.g_00298
OG0000403	Syaf.g_00851	Pran.g_00297
OG0000404	Syaf.g_00850	Pran.g_00296
OG0000405	Syaf.g_00835	Pran.g_00292
OG0000406	Syaf.g_00831	Pran.g_00286
OG0000407	Syaf.g_00830	Pran.g_00285
OG0000408	Syaf.g_00828	Pran.g_00282
OG0000409	Syaf.g_00826	Pran.g_00280
OG0000410	Syaf.g_00825	Pran.g_00279
OG0000411	Syaf.g_00824	Pran.g_00278
OG0000412	Syaf.g_00823	Pran.g_00277
OG0000413	Syaf.g_00821	Pran.g_00276
OG0000414	Syaf.g_00820	Pran.g_00275
OG0000415	Syaf.g_00819	Pran.g_00274
OG0000416	Syaf.g_00818	Pran.g_00273
OG0000417	Syaf.g_00817	Pran.g_00272
OG0000418	Syaf.g_00812	Pran.g_00267
OG0000419	Syaf.g_00810	Pran.g_00265
OG0000420	Syaf.g_00808	Pran.g_00264
OG0000421	Syaf.g_00803	Pran.g_00259
OG0000422	Syaf.g_00802	Pran.g_00258
OG0000423	Syaf.g_00801	Pran.g_00257
OG0000424	Syaf.g_00800	Pran.g_00256
OG0000425	Syaf.g_00799	Pran.g_00255
OG0000426	Syaf.g_00798	Pran.g_00254
OG0000427	Syaf.g_00797	Pran.g_00253
OG0000428	Syaf.g_00794	Pran.g_00251
OG0000429	Syaf.g_00792	Pran.g_00250
OG0000430	Syaf.g_00790	Pran.g_00249
OG0000431	Syaf.g_00786	Pran.g_00247
OG0000432	Syaf.g_00779	Pran.g_00244
OG0000433	Syaf.g_00777	Pran.g_00243
OG0000434	Syaf.g_00776	Pran.g_00242
OG0000435	Syaf.g_00772	Pran.g_00241
OG0000436	Syaf.g_00767	Pran.g_00236
OG0000437	Syaf.g_00766	Pran.g_00235
OG0000438	Syaf.g_00765	Pran.g_00234
OG0000439	Syaf.g_00763	Pran.g_00232
OG0000440	Syaf.g_00762	Pran.g_00231
OG0000441	Syaf.g_00756	Pran.g_00228
OG0000442	Syaf.g_00743	Pran.g_00227
OG0000443	Syaf.g_00739	Pran.g_00226
OG0000444	Syaf.g_00733	Pran.g_00221
OG0000445	Syaf.g_00729	Pran.g_00220
OG0000446	Syaf.g_00728	Pran.g_00219
OG0000447	Syaf.g_00725	Pran.g_00218
OG0000448	Syaf.g_00724	Pran.g_00217
OG0000449	Syaf.g_00723	Pran.g_00216
OG0000450	Syaf.g_00717	Pran.g_00215
OG0000451	Syaf.g_00716	Pran.g_00214
OG0000452	Syaf.g_00712	Pran.g_00211
OG0000453	Syaf.g_00711	Pran.g_00210
OG0000454	Syaf.g_00710	Pran.g_00209
OG0000455	Syaf.g_00709	Pran.g_00208
OG0000456	Syaf.g_00708	Pran.g_00207
OG0000457	Syaf.g_00706	Pran.g_00206
OG0000458	Syaf.g_00705	Pran.g_00205
OG0000459	Syaf.g_00704	Pran.g_00204
OG0000460	Syaf.g_02789	Pran.g_00197
OG0000461	Syaf.g_00183	Pran.g_01950
OG0000462	Syaf.g_00186	Pran.g_01948
OG0000463	Syaf.g_00187	Pran.g_01947
OG0000464	Syaf.g_00188	Pran.g_01946
OG0000465	Syaf.g_00190	Pran.g_01945
OG0000466	Syaf.g_00194	Pran.g_01942
OG0000467	Syaf.g_00196	Pran.g_01941
OG0000468	Syaf.g_00206	Pran.g_01939
OG0000469	Syaf.g_00220	Pran.g_01931
OG0000470	Syaf.g_00222	Pran.g_01929
OG0000471	Syaf.g_00223	Pran.g_01928
OG0000472	Syaf.g_00225	Pran.g_01927
OG0000473	Syaf.g_00227	Pran.g_01925
OG0000474	Syaf.g_00228	Pran.g_01924
OG0000475	Syaf.g_00229	Pran.g_01923
OG0000476	Syaf.g_00231	Pran.g_01922
OG0000477	Syaf.g_00237	Pran.g_01919
OG0000478	Syaf.g_00238	Pran.g_01918
OG0000479	Syaf.g_00239	Pran.g_01917
OG0000480	Syaf.g_00247	Pran.g_01912
OG0000481	Syaf.g_00249	Pran.g_01910
OG0000482	Syaf.g_00250	Pran.g_01909
OG0000483	Syaf.g_00254	Pran.g_01906
OG0000484	Syaf.g_00255	Pran.g_01905
OG0000485	Syaf.g_00256	Pran.g_01904
OG0000486	Syaf.g_00257	Pran.g_01903
OG0000487	Syaf.g_00263	Pran.g_01899
OG0000488	Syaf.g_00267	Pran.g_01896
OG0000489	Syaf.g_00274	Pran.g_01891
OG0000490	Syaf.g_00284	Pran.g_01886
OG0000491	Syaf.g_00285	Pran.g_01885
OG0000492	Syaf.g_00288	Pran.g_01883
OG0000493	Syaf.g_00289	Pran.g_01882
OG0000494	Syaf.g_00290	Pran.g_01881
OG0000495	Syaf.g_00291	Pran.g_01880
OG0000496	Syaf.g_00292	Pran.g_01879
OG0000497	Syaf.g_00293	Pran.g_01878
OG0000498	Syaf.g_00294	Pran.g_01877
OG0000499	Syaf.g_00295	Pran.g_01876
OG0000500	Syaf.g_00296	Pran.g_01875
OG0000501	Syaf.g_00299	Pran.g_01873
OG0000502	Syaf.g_00319	Pran.g_01870
OG0000503	Syaf.g_00023	Pran.g_01860
OG0000504	Syaf.g_00021	Pran.g_01859
OG0000505	Syaf.g_00020	Pran.g_01858
OG0000506	Syaf.g_00018	Pran.g_01857
OG0000507	Syaf.g_00012	Pran.g_01854
OG0000508	Syaf.g_00008	Pran.g_01850
OG0000509	Syaf.g_00006	Pran.g_01848
OG0000510	Syaf.g_00005	Pran.g_01847
OG0000511	Syaf.g_00004	Pran.g_01846
OG0000512	Syaf.g_00002	Pran.g_01844
OG0000513	Syaf.g_02803	Pran.g_01837
OG0000514	Syaf.g_02796	Pran.g_01749
OG0000515	Syaf.g_02795	Pran.g_01748
OG0000516	Syaf.g_01219	Pran.g_01747
OG0000517	Syaf.g_01213	Pran.g_01745
OG0000518	Syaf.g_01230	Pran.g_01734
OG0000519	Syaf.g_01231	Pran.g_01733
OG0000520	Syaf.g_01235	Pran.g_01729
OG0000521	Syaf.g_02542	Pran.g_01724
OG0000522	Syaf.g_02538	Pran.g_01723
OG0000523	Syaf.g_02537	Pran.g_01722
OG0000524	Syaf.g_02531	Pran.g_01717
OG0000525	Syaf.g_02507	Pran.g_01714
OG0000526	Syaf.g_02504	Pran.g_01713
OG0000527	Syaf.g_02500	Pran.g_01705
OG0000528	Syaf.g_02728	Pran.g_01700
OG0000529	Syaf.g_02720	Pran.g_01697
OG0000530	Syaf.g_02717	Pran.g_01694
OG0000531	Syaf.g_02716	Pran.g_01693
OG0000532	Syaf.g_02713	Pran.g_01691
OG0000533	Syaf.g_02712	Pran.g_01690
OG0000534	Syaf.g_02711	Pran.g_01689
OG0000535	Syaf.g_02710	Pran.g_01688
OG0000536	Syaf.g_02709	Pran.g_01687
OG0000537	Syaf.g_02708	Pran.g_01686
OG0000538	Syaf.g_02697	Pran.g_01678
OG0000539	Syaf.g_02696	Pran.g_01677
OG0000540	Syaf.g_02695	Pran.g_01676
OG0000541	Syaf.g_02694	Pran.g_01675
OG0000542	Syaf.g_02691	Pran.g_01673
OG0000543	Syaf.g_02689	Pran.g_01671
OG0000544	Syaf.g_02688	Pran.g_01670
OG0000545	Syaf.g_02686	Pran.g_01668
OG0000546	Syaf.g_02684	Pran.g_01665
OG0000547	Syaf.g_02682	Pran.g_01663
OG0000548	Syaf.g_02681	Pran.g_01662
OG0000549	Syaf.g_02676	Pran.g_01660
OG0000550	Syaf.g_02671	Pran.g_01655
OG0000551	Syaf.g_02666	Pran.g_01651
OG0000552	Syaf.g_02665	Pran.g_01650
OG0000553	Syaf.g_02663	Pran.g_01649
OG0000554	Syaf.g_02653	Pran.g_01644
OG0000555	Syaf.g_02635	Pran.g_01636
OG0000556	Syaf.g_02630	Pran.g_01634
OG0000557	Syaf.g_02628	Pran.g_01633
OG0000558	Syaf.g_02626	Pran.g_01631
OG0000559	Syaf.g_02622	Pran.g_01627
OG0000560	Syaf.g_02619	Pran.g_01624
OG0000561	Syaf.g_02618	Pran.g_01623
OG0000562	Syaf.g_02617	Pran.g_01622
OG0000563	Syaf.g_02616	Pran.g_01621
OG0000564	Syaf.g_02615	Pran.g_01620
OG0000565	Syaf.g_02612	Pran.g_01617
OG0000566	Syaf.g_02608	Pran.g_01614
OG0000567	Syaf.g_02604	Pran.g_01610
OG0000568	Syaf.g_02599	Pran.g_01609
OG0000569	Syaf.g_02596	Pran.g_01608
OG0000570	Syaf.g_02595	Pran.g_01607
