Orthogroup	Prbb	Pras
OG0000046	Prbb.g_01816	Pras.g_00543
OG0000047	Prbb.g_02061	Pras.g_00883, Pras.g_00743
OG0000048	Prbb.g_02069	Pras.g_00750
OG0000050	Prbb.g_00032	Pras.g_00873
OG0000051	Prbb.g_00214	Pras.g_01008
OG0000052	Prbb.g_01197, Prbb.g_01329	Pras.g_01223
OG0000053	Prbb.g_00542	Pras.g_01416
OG0000055	Prbb.g_00807, Prbb.g_01218	Pras.g_01723
OG0000056	Prbb.g_00054	Pras.g_00011
OG0000057	Prbb.g_00294	Pras.g_01089
OG0000058	Prbb.g_00478	Pras.g_01353
OG0000059	Prbb.g_01359, Prbb.g_00706	Pras.g_01574
OG0000060	Prbb.g_01212	Pras.g_01594, Pras.g_00529
OG0000061	Prbb.g_01627	Pras.g_00021, Pras.g_01880
OG0000062	Prbb.g_01887	Pras.g_00023
OG0000063	Prbb.g_01399	Pras.g_00150
OG0000065	Prbb.g_01586	Pras.g_00209
OG0000066	Prbb.g_00678	Pras.g_00330, Pras.g_00273, Pras.g_00271, Pras.g_00272
OG0000067	Prbb.g_01199	Pras.g_00166, Pras.g_00142
OG0000068	Prbb.g_02001	Pras.g_00687
OG0000069	Prbb.g_01723	Pras.g_00326
OG0000070	Prbb.g_00078	Pras.g_00881, Pras.g_00191
OG0000071	Prbb.g_00012	Pras.g_00853
OG0000072	Prbb.g_00373	Pras.g_01174
OG0000073	Prbb.g_00673	Pras.g_00327, Pras.g_01545
OG0000074	Prbb.g_00697, Prbb.g_00698	Pras.g_01567
OG0000075	Prbb.g_00790	Pras.g_01708
OG0000076	Prbb.g_01070	Pras.g_01934
OG0000077	Prbb.g_01320, Prbb.g_01786, Prbb.g_01122, Prbb.g_00430, Prbb.g_01245, Prbb.g_01402, Prbb.g_01355	Pras.g_00494
OG0000078	Prbb.g_00388	Pras.g_00294
OG0000079	Prbb.g_01768	Pras.g_00431
OG0000080	Prbb.g_01208	Pras.g_00477
OG0000081	Prbb.g_02034	Pras.g_00717
OG0000082	Prbb.g_02143	Pras.g_00131
OG0000083	Prbb.g_00003	Pras.g_00845
OG0000084	Prbb.g_00006, Prbb.g_00007	Pras.g_00848
OG0000085	Prbb.g_00024	Pras.g_00865
OG0000086	Prbb.g_01195	Pras.g_00892, Pras.g_01273
OG0000087	Prbb.g_00064	Pras.g_00902
OG0000088	Prbb.g_00170	Pras.g_00964
OG0000089	Prbb.g_00179	Pras.g_00972
OG0000090	Prbb.g_00196	Pras.g_00990
OG0000091	Prbb.g_00226	Pras.g_01020
OG0000092	Prbb.g_00227	Pras.g_01021
OG0000093	Prbb.g_00240	Pras.g_01035
OG0000094	Prbb.g_00259	Pras.g_01053
OG0000095	Prbb.g_00263	Pras.g_01059, Pras.g_01058
OG0000096	Prbb.g_00307	Pras.g_01103
OG0000097	Prbb.g_00327	Pras.g_01126
OG0000099	Prbb.g_00345	Pras.g_01145
OG0000100	Prbb.g_00348	Pras.g_01148
OG0000101	Prbb.g_00418	Pras.g_01210
OG0000102	Prbb.g_01326	Pras.g_01236
OG0000103	Prbb.g_00479	Pras.g_01354
OG0000104	Prbb.g_00484, Prbb.g_00485	Pras.g_01358
OG0000105	Prbb.g_00503	Pras.g_01377
OG0000106	Prbb.g_00535	Pras.g_01409
OG0000107	Prbb.g_00536	Pras.g_01410
OG0000108	Prbb.g_00546	Pras.g_01420
OG0000109	Prbb.g_00556	Pras.g_01429
OG0000110	Prbb.g_00572	Pras.g_01445
OG0000111	Prbb.g_00652	Pras.g_01527
OG0000112	Prbb.g_00653	Pras.g_01528
OG0000113	Prbb.g_00737	Pras.g_01628
OG0000114	Prbb.g_00781	Pras.g_01699
OG0000115	Prbb.g_00991	Pras.g_01859
OG0000116	Prbb.g_00995	Pras.g_01863
OG0000117	Prbb.g_01067	Pras.g_01931
OG0000118	Prbb.g_01238	Pras.g_01982
OG0000119	Prbb.g_01890	Pras.g_00026
OG0000120	Prbb.g_01510	Pras.g_00062
OG0000121	Prbb.g_01487	Pras.g_00081
OG0000122	Prbb.g_01467	Pras.g_00101
OG0000123	Prbb.g_01456	Pras.g_00114
OG0000124	Prbb.g_01060	Pras.g_00122
OG0000125	Prbb.g_01598	Pras.g_00221, Pras.g_00222
OG0000126	Prbb.g_01639	Pras.g_00250
OG0000127	Prbb.g_01673	Pras.g_00337
OG0000128	Prbb.g_01687	Pras.g_00351
OG0000129	Prbb.g_01721	Pras.g_00388
OG0000130	Prbb.g_01821	Pras.g_00548
OG0000131	Prbb.g_01858	Pras.g_00586
OG0000132	Prbb.g_01860	Pras.g_00589
OG0000133	Prbb.g_01959	Pras.g_00646
OG0000134	Prbb.g_01995	Pras.g_00682
OG0000135	Prbb.g_01997	Pras.g_00684
OG0000136	Prbb.g_02046	Pras.g_00728
OG0000137	Prbb.g_02082	Pras.g_00761
OG0000138	Prbb.g_02131	Pras.g_00797
OG0000139	Prbb.g_02168	Pras.g_00824
OG0000140	Prbb.g_00001	Pras.g_00843
OG0000141	Prbb.g_00002	Pras.g_00844
OG0000142	Prbb.g_00004	Pras.g_00846
OG0000143	Prbb.g_00005	Pras.g_00847
OG0000144	Prbb.g_00008	Pras.g_00849
OG0000145	Prbb.g_00009	Pras.g_00850
OG0000146	Prbb.g_00010	Pras.g_00851
OG0000147	Prbb.g_00011	Pras.g_00852
OG0000148	Prbb.g_00013	Pras.g_00854
OG0000149	Prbb.g_00015	Pras.g_00856
OG0000150	Prbb.g_00016	Pras.g_00857
OG0000151	Prbb.g_00017	Pras.g_00858
OG0000152	Prbb.g_00018	Pras.g_00859
OG0000153	Prbb.g_00019	Pras.g_00860
OG0000154	Prbb.g_00020	Pras.g_00861
OG0000155	Prbb.g_00021	Pras.g_00862
OG0000156	Prbb.g_00022	Pras.g_00863
OG0000157	Prbb.g_00023	Pras.g_00864
OG0000158	Prbb.g_00025	Pras.g_00866
OG0000159	Prbb.g_00026	Pras.g_00867
OG0000160	Prbb.g_00027	Pras.g_00868
OG0000161	Prbb.g_00028	Pras.g_00869
OG0000162	Prbb.g_00029	Pras.g_00870
OG0000163	Prbb.g_00030	Pras.g_00871
OG0000164	Prbb.g_00033	Pras.g_00874
OG0000165	Prbb.g_00035	Pras.g_00877
OG0000166	Prbb.g_00036	Pras.g_00878
OG0000167	Prbb.g_00037	Pras.g_00879
OG0000168	Prbb.g_00055	Pras.g_00893
OG0000169	Prbb.g_00057	Pras.g_00895
OG0000170	Prbb.g_00058	Pras.g_00896
OG0000171	Prbb.g_00059	Pras.g_00897
OG0000172	Prbb.g_00060	Pras.g_00898
OG0000173	Prbb.g_00061	Pras.g_00899
OG0000174	Prbb.g_00062	Pras.g_00900
OG0000175	Prbb.g_00063	Pras.g_00901
OG0000176	Prbb.g_00065	Pras.g_00903
OG0000177	Prbb.g_00066	Pras.g_00904
OG0000178	Prbb.g_00067	Pras.g_00905
OG0000179	Prbb.g_00119	Pras.g_00916
OG0000180	Prbb.g_00120	Pras.g_00917
OG0000181	Prbb.g_00121	Pras.g_00918
OG0000182	Prbb.g_00124	Pras.g_00921
OG0000183	Prbb.g_00125	Pras.g_00922
OG0000184	Prbb.g_00128	Pras.g_00924
OG0000185	Prbb.g_00132	Pras.g_00928
OG0000186	Prbb.g_00133	Pras.g_00929
OG0000187	Prbb.g_00134	Pras.g_00930
OG0000188	Prbb.g_00135	Pras.g_00931
OG0000189	Prbb.g_00136	Pras.g_00932
OG0000190	Prbb.g_00137	Pras.g_00933
OG0000191	Prbb.g_00138	Pras.g_00934
OG0000192	Prbb.g_00139	Pras.g_00935
OG0000193	Prbb.g_00140	Pras.g_00936
OG0000194	Prbb.g_00141	Pras.g_00937
OG0000195	Prbb.g_00143	Pras.g_00939
OG0000196	Prbb.g_00144	Pras.g_00940
OG0000197	Prbb.g_00145	Pras.g_00941
OG0000198	Prbb.g_00146	Pras.g_00942
OG0000199	Prbb.g_00149	Pras.g_00945
OG0000200	Prbb.g_00150	Pras.g_00946
OG0000201	Prbb.g_00151	Pras.g_00947
OG0000202	Prbb.g_00152	Pras.g_00948
OG0000203	Prbb.g_00153	Pras.g_00949
OG0000204	Prbb.g_00154	Pras.g_00950
OG0000205	Prbb.g_00156	Pras.g_00951
OG0000206	Prbb.g_00157	Pras.g_00952
OG0000207	Prbb.g_00158	Pras.g_00953
OG0000208	Prbb.g_00159	Pras.g_00954
OG0000209	Prbb.g_00160	Pras.g_00955
OG0000210	Prbb.g_00161	Pras.g_00957
OG0000211	Prbb.g_00162	Pras.g_00958
OG0000212	Prbb.g_00163	Pras.g_00959
OG0000213	Prbb.g_00164	Pras.g_00960
OG0000214	Prbb.g_00168	Pras.g_00962
OG0000215	Prbb.g_00169	Pras.g_00963
OG0000216	Prbb.g_00171	Pras.g_00965
OG0000217	Prbb.g_00173	Pras.g_00966
OG0000218	Prbb.g_00174	Pras.g_00967
OG0000219	Prbb.g_00175	Pras.g_00968
OG0000220	Prbb.g_00177	Pras.g_00971
OG0000221	Prbb.g_00180	Pras.g_00973
OG0000222	Prbb.g_00181	Pras.g_00974
OG0000223	Prbb.g_00182	Pras.g_00975
OG0000224	Prbb.g_00185	Pras.g_00978
OG0000225	Prbb.g_00187	Pras.g_00980
OG0000226	Prbb.g_00189	Pras.g_00981
OG0000227	Prbb.g_00190	Pras.g_00982
OG0000228	Prbb.g_00191	Pras.g_00983
OG0000229	Prbb.g_00192	Pras.g_00984
OG0000230	Prbb.g_00193	Pras.g_00985
OG0000231	Prbb.g_01101	Pras.g_00987
OG0000232	Prbb.g_00194	Pras.g_00988
OG0000233	Prbb.g_00197	Pras.g_00991
OG0000234	Prbb.g_00200	Pras.g_00993
OG0000235	Prbb.g_00202	Pras.g_00996
OG0000236	Prbb.g_00203	Pras.g_00997
OG0000237	Prbb.g_00204	Pras.g_00998
OG0000238	Prbb.g_00205	Pras.g_00999
OG0000239	Prbb.g_00206	Pras.g_01000
OG0000240	Prbb.g_00208	Pras.g_01002
OG0000241	Prbb.g_00209	Pras.g_01003
OG0000242	Prbb.g_00210	Pras.g_01004
OG0000243	Prbb.g_00211	Pras.g_01005
OG0000244	Prbb.g_00212	Pras.g_01006
OG0000245	Prbb.g_00213	Pras.g_01007
OG0000246	Prbb.g_00215	Pras.g_01009
OG0000247	Prbb.g_00216	Pras.g_01010
OG0000248	Prbb.g_00217	Pras.g_01011
OG0000249	Prbb.g_00218	Pras.g_01012
OG0000250	Prbb.g_00219	Pras.g_01013
OG0000251	Prbb.g_00220	Pras.g_01014
OG0000252	Prbb.g_00221	Pras.g_01015
OG0000253	Prbb.g_00222	Pras.g_01016
OG0000254	Prbb.g_00224	Pras.g_01018
OG0000255	Prbb.g_00225	Pras.g_01019
OG0000256	Prbb.g_00228	Pras.g_01022
OG0000257	Prbb.g_00229	Pras.g_01024
OG0000258	Prbb.g_00230	Pras.g_01025
OG0000259	Prbb.g_00231	Pras.g_01026
OG0000260	Prbb.g_00232	Pras.g_01027
OG0000261	Prbb.g_00233	Pras.g_01028
OG0000262	Prbb.g_00234	Pras.g_01029
OG0000263	Prbb.g_00235	Pras.g_01030
OG0000264	Prbb.g_00237	Pras.g_01032
OG0000265	Prbb.g_00238	Pras.g_01033
OG0000266	Prbb.g_00239	Pras.g_01034
OG0000267	Prbb.g_00241	Pras.g_01036
OG0000268	Prbb.g_00243	Pras.g_01037
OG0000269	Prbb.g_00244	Pras.g_01038
OG0000270	Prbb.g_00245	Pras.g_01039
OG0000271	Prbb.g_00246	Pras.g_01040
OG0000272	Prbb.g_00247	Pras.g_01041
OG0000273	Prbb.g_00248	Pras.g_01042
OG0000274	Prbb.g_00249	Pras.g_01043
OG0000275	Prbb.g_00250	Pras.g_01044
OG0000276	Prbb.g_00251	Pras.g_01045
OG0000277	Prbb.g_00252	Pras.g_01046
OG0000278	Prbb.g_00253	Pras.g_01047
OG0000279	Prbb.g_00254	Pras.g_01048
OG0000280	Prbb.g_00255	Pras.g_01049
OG0000281	Prbb.g_00257	Pras.g_01051
OG0000282	Prbb.g_00258	Pras.g_01052
OG0000283	Prbb.g_00260	Pras.g_01055
OG0000284	Prbb.g_00261	Pras.g_01056
OG0000285	Prbb.g_00262	Pras.g_01057
OG0000286	Prbb.g_00264	Pras.g_01060
OG0000287	Prbb.g_00265	Pras.g_01061
OG0000288	Prbb.g_00266	Pras.g_01062
OG0000289	Prbb.g_00267	Pras.g_01063
OG0000290	Prbb.g_00268	Pras.g_01064
OG0000291	Prbb.g_00269	Pras.g_01065
OG0000292	Prbb.g_00270	Pras.g_01066
OG0000293	Prbb.g_00271	Pras.g_01067
OG0000294	Prbb.g_00272	Pras.g_01068
OG0000295	Prbb.g_00273	Pras.g_01069
OG0000296	Prbb.g_00274	Pras.g_01070
OG0000297	Prbb.g_00275	Pras.g_01071
OG0000298	Prbb.g_00276	Pras.g_01072
OG0000299	Prbb.g_00277	Pras.g_01073
OG0000300	Prbb.g_00278	Pras.g_01074
OG0000301	Prbb.g_00279	Pras.g_01075
OG0000302	Prbb.g_00280	Pras.g_01076
OG0000303	Prbb.g_00281	Pras.g_01077
OG0000304	Prbb.g_00282	Pras.g_01078
OG0000305	Prbb.g_00283	Pras.g_01079
OG0000306	Prbb.g_00284	Pras.g_01080
OG0000307	Prbb.g_00285	Pras.g_01081
OG0000308	Prbb.g_00286	Pras.g_01082
OG0000309	Prbb.g_00287	Pras.g_01083
OG0000310	Prbb.g_00288	Pras.g_01084
OG0000311	Prbb.g_00290	Pras.g_01085
OG0000312	Prbb.g_00292	Pras.g_01087
OG0000313	Prbb.g_00293	Pras.g_01088
OG0000314	Prbb.g_00297	Pras.g_01091
OG0000315	Prbb.g_00298	Pras.g_01092
OG0000316	Prbb.g_00300	Pras.g_01094
OG0000317	Prbb.g_00302	Pras.g_01096
OG0000318	Prbb.g_00303	Pras.g_01097
OG0000319	Prbb.g_00304	Pras.g_01098
OG0000320	Prbb.g_00305	Pras.g_01099
OG0000321	Prbb.g_00306	Pras.g_01102
OG0000322	Prbb.g_00309	Pras.g_01105
OG0000323	Prbb.g_00310	Pras.g_01106
OG0000324	Prbb.g_00313	Pras.g_01109
OG0000325	Prbb.g_00314	Pras.g_01111
OG0000326	Prbb.g_00315	Pras.g_01112
OG0000327	Prbb.g_00316	Pras.g_01114
OG0000328	Prbb.g_00317	Pras.g_01115
OG0000329	Prbb.g_00318	Pras.g_01116
OG0000330	Prbb.g_00319	Pras.g_01117
OG0000331	Prbb.g_00320	Pras.g_01118
OG0000332	Prbb.g_00321	Pras.g_01119
OG0000333	Prbb.g_00322	Pras.g_01120
OG0000334	Prbb.g_00323	Pras.g_01121
OG0000335	Prbb.g_00324	Pras.g_01122
OG0000336	Prbb.g_00326	Pras.g_01123
OG0000337	Prbb.g_00328	Pras.g_01127
OG0000338	Prbb.g_00329	Pras.g_01128
OG0000339	Prbb.g_00330	Pras.g_01129
OG0000340	Prbb.g_00331	Pras.g_01130
OG0000341	Prbb.g_00334	Pras.g_01134
OG0000342	Prbb.g_00335	Pras.g_01135
OG0000343	Prbb.g_00337	Pras.g_01137
OG0000344	Prbb.g_00338	Pras.g_01138
OG0000345	Prbb.g_00339	Pras.g_01139
OG0000346	Prbb.g_00340	Pras.g_01140
OG0000347	Prbb.g_00341	Pras.g_01141
OG0000348	Prbb.g_00342	Pras.g_01142
OG0000349	Prbb.g_00343	Pras.g_01143
OG0000350	Prbb.g_00344	Pras.g_01144
OG0000351	Prbb.g_00346	Pras.g_01146
OG0000352	Prbb.g_00349	Pras.g_01149
OG0000353	Prbb.g_00350	Pras.g_01150
OG0000354	Prbb.g_00351	Pras.g_01151
OG0000355	Prbb.g_00352	Pras.g_01152
OG0000356	Prbb.g_00353	Pras.g_01153
OG0000357	Prbb.g_00354	Pras.g_01155
OG0000358	Prbb.g_00355	Pras.g_01156
OG0000359	Prbb.g_00356	Pras.g_01157
OG0000360	Prbb.g_00359	Pras.g_01160
OG0000361	Prbb.g_00360	Pras.g_01161
OG0000362	Prbb.g_00361	Pras.g_01162
OG0000363	Prbb.g_00362	Pras.g_01163
OG0000364	Prbb.g_00363	Pras.g_01164
OG0000365	Prbb.g_00364	Pras.g_01165
OG0000366	Prbb.g_00365	Pras.g_01166
OG0000367	Prbb.g_00366	Pras.g_01167
OG0000368	Prbb.g_00367	Pras.g_01168
OG0000369	Prbb.g_00368	Pras.g_01169
OG0000370	Prbb.g_00369	Pras.g_01170
OG0000371	Prbb.g_00370	Pras.g_01171
OG0000372	Prbb.g_00372	Pras.g_01173
OG0000373	Prbb.g_00374	Pras.g_01175
OG0000374	Prbb.g_00375	Pras.g_01176
OG0000375	Prbb.g_00376	Pras.g_01177
OG0000376	Prbb.g_00378	Pras.g_01179
OG0000377	Prbb.g_00384	Pras.g_01180
OG0000378	Prbb.g_00739	Pras.g_01181
OG0000379	Prbb.g_00394	Pras.g_01187
OG0000380	Prbb.g_00396	Pras.g_01188
OG0000381	Prbb.g_00397	Pras.g_01189
OG0000382	Prbb.g_00398	Pras.g_01191
OG0000383	Prbb.g_00401	Pras.g_01194
OG0000384	Prbb.g_00402	Pras.g_01195
OG0000385	Prbb.g_00404	Pras.g_01198
OG0000386	Prbb.g_00405	Pras.g_01199
OG0000387	Prbb.g_00406	Pras.g_01200
OG0000388	Prbb.g_00407	Pras.g_01201
OG0000389	Prbb.g_00408	Pras.g_01202
OG0000390	Prbb.g_00409	Pras.g_01203
OG0000391	Prbb.g_00410	Pras.g_01204
OG0000392	Prbb.g_00411	Pras.g_01205
OG0000393	Prbb.g_00415	Pras.g_01208
OG0000394	Prbb.g_00416	Pras.g_01209
OG0000395	Prbb.g_00419	Pras.g_01211
OG0000396	Prbb.g_00836	Pras.g_01212
OG0000397	Prbb.g_01094	Pras.g_01224
OG0000398	Prbb.g_01124	Pras.g_01232
OG0000399	Prbb.g_01288	Pras.g_01233
OG0000400	Prbb.g_01923	Pras.g_01239
OG0000401	Prbb.g_00436	Pras.g_01309
OG0000402	Prbb.g_00437	Pras.g_01310
OG0000403	Prbb.g_00438	Pras.g_01311
OG0000404	Prbb.g_00440	Pras.g_01313
OG0000405	Prbb.g_00441	Pras.g_01314
OG0000406	Prbb.g_00443	Pras.g_01316
OG0000407	Prbb.g_00444	Pras.g_01317
OG0000408	Prbb.g_00445	Pras.g_01318
OG0000409	Prbb.g_00446	Pras.g_01319
OG0000410	Prbb.g_00447	Pras.g_01320
OG0000411	Prbb.g_00448	Pras.g_01321
OG0000412	Prbb.g_00449	Pras.g_01322
OG0000413	Prbb.g_00450	Pras.g_01323
OG0000414	Prbb.g_00451	Pras.g_01324
OG0000415	Prbb.g_00452	Pras.g_01325
OG0000416	Prbb.g_00453	Pras.g_01326
OG0000417	Prbb.g_00454	Pras.g_01327
OG0000418	Prbb.g_00455	Pras.g_01328
OG0000419	Prbb.g_00456	Pras.g_01329
OG0000420	Prbb.g_00457	Pras.g_01330
OG0000421	Prbb.g_00458	Pras.g_01331
OG0000422	Prbb.g_00460	Pras.g_01332
OG0000423	Prbb.g_00461	Pras.g_01333
OG0000424	Prbb.g_00462	Pras.g_01335
OG0000425	Prbb.g_00468	Pras.g_01339
OG0000426	Prbb.g_00469	Pras.g_01340
OG0000427	Prbb.g_00470	Pras.g_01341
OG0000428	Prbb.g_00472	Pras.g_01342
OG0000429	Prbb.g_00473	Pras.g_01343
OG0000430	Prbb.g_00475	Pras.g_01349
OG0000431	Prbb.g_00476	Pras.g_01351
OG0000432	Prbb.g_00477	Pras.g_01352
OG0000433	Prbb.g_00480	Pras.g_01355
OG0000434	Prbb.g_00482	Pras.g_01356
OG0000435	Prbb.g_00483	Pras.g_01357
OG0000436	Prbb.g_00486	Pras.g_01359
OG0000437	Prbb.g_00488	Pras.g_01361
OG0000438	Prbb.g_00489	Pras.g_01362
OG0000439	Prbb.g_00490	Pras.g_01363
OG0000440	Prbb.g_00491	Pras.g_01365
OG0000441	Prbb.g_00492	Pras.g_01366
OG0000442	Prbb.g_00493	Pras.g_01367
OG0000443	Prbb.g_00494	Pras.g_01368
OG0000444	Prbb.g_00495	Pras.g_01369
OG0000445	Prbb.g_00496	Pras.g_01370
OG0000446	Prbb.g_00497	Pras.g_01371
OG0000447	Prbb.g_00498	Pras.g_01372
OG0000448	Prbb.g_00499	Pras.g_01373
OG0000449	Prbb.g_00504	Pras.g_01378
OG0000450	Prbb.g_00505	Pras.g_01379
OG0000451	Prbb.g_00506	Pras.g_01380
OG0000452	Prbb.g_00507	Pras.g_01381
OG0000453	Prbb.g_00509	Pras.g_01383
OG0000454	Prbb.g_00510	Pras.g_01384
OG0000455	Prbb.g_00511	Pras.g_01385
OG0000456	Prbb.g_00512	Pras.g_01386
OG0000457	Prbb.g_00514	Pras.g_01388
OG0000458	Prbb.g_00516	Pras.g_01390
OG0000459	Prbb.g_00517	Pras.g_01391
OG0000460	Prbb.g_00519	Pras.g_01393
OG0000461	Prbb.g_00520	Pras.g_01394
OG0000462	Prbb.g_00521	Pras.g_01395
OG0000463	Prbb.g_00523	Pras.g_01396
OG0000464	Prbb.g_00527	Pras.g_01401
OG0000465	Prbb.g_00528	Pras.g_01402
OG0000466	Prbb.g_00529	Pras.g_01403
OG0000467	Prbb.g_00530	Pras.g_01404
OG0000468	Prbb.g_00531	Pras.g_01405
OG0000469	Prbb.g_00532	Pras.g_01406
OG0000470	Prbb.g_00533	Pras.g_01407
OG0000471	Prbb.g_00534	Pras.g_01408
OG0000472	Prbb.g_00537	Pras.g_01411
OG0000473	Prbb.g_00538	Pras.g_01412
OG0000474	Prbb.g_00539	Pras.g_01413
OG0000475	Prbb.g_00540	Pras.g_01414
OG0000476	Prbb.g_00541	Pras.g_01415
OG0000477	Prbb.g_00543	Pras.g_01417
OG0000478	Prbb.g_00544	Pras.g_01418
OG0000479	Prbb.g_00545	Pras.g_01419
OG0000480	Prbb.g_00547	Pras.g_01421
OG0000481	Prbb.g_00548	Pras.g_01422
OG0000482	Prbb.g_00550	Pras.g_01423
OG0000483	Prbb.g_00551	Pras.g_01424
OG0000484	Prbb.g_00552	Pras.g_01425
OG0000485	Prbb.g_00553	Pras.g_01426
OG0000486	Prbb.g_00554	Pras.g_01427
OG0000487	Prbb.g_00555	Pras.g_01428
OG0000488	Prbb.g_00557	Pras.g_01430
OG0000489	Prbb.g_00558	Pras.g_01431
OG0000490	Prbb.g_00559	Pras.g_01432
OG0000491	Prbb.g_00560	Pras.g_01433
OG0000492	Prbb.g_00561	Pras.g_01434
OG0000493	Prbb.g_00562	Pras.g_01435
OG0000494	Prbb.g_00564	Pras.g_01437
OG0000495	Prbb.g_00565	Pras.g_01438
OG0000496	Prbb.g_00566	Pras.g_01439
OG0000497	Prbb.g_00567	Pras.g_01440
OG0000498	Prbb.g_00568	Pras.g_01441
OG0000499	Prbb.g_00570	Pras.g_01443
OG0000500	Prbb.g_00571	Pras.g_01444
OG0000501	Prbb.g_00573	Pras.g_01446
OG0000502	Prbb.g_00574	Pras.g_01447
OG0000503	Prbb.g_00575	Pras.g_01448
OG0000504	Prbb.g_00576	Pras.g_01449
OG0000505	Prbb.g_00577	Pras.g_01450
OG0000506	Prbb.g_00578	Pras.g_01451
OG0000507	Prbb.g_00579	Pras.g_01452
OG0000508	Prbb.g_00580	Pras.g_01454
OG0000509	Prbb.g_00581	Pras.g_01455
OG0000510	Prbb.g_00582	Pras.g_01456
OG0000511	Prbb.g_00583	Pras.g_01457
OG0000512	Prbb.g_00584	Pras.g_01459
OG0000513	Prbb.g_00585	Pras.g_01460
OG0000514	Prbb.g_00586	Pras.g_01461
OG0000515	Prbb.g_00587	Pras.g_01463
OG0000516	Prbb.g_00588	Pras.g_01464
OG0000517	Prbb.g_00589	Pras.g_01465
OG0000518	Prbb.g_00591	Pras.g_01467
OG0000519	Prbb.g_00592	Pras.g_01468
OG0000520	Prbb.g_00594	Pras.g_01469
OG0000521	Prbb.g_00593	Pras.g_01470
OG0000522	Prbb.g_00595	Pras.g_01471
OG0000523	Prbb.g_00596	Pras.g_01472
OG0000524	Prbb.g_00597	Pras.g_01473
OG0000525	Prbb.g_00599	Pras.g_01475
OG0000526	Prbb.g_00600	Pras.g_01476
OG0000527	Prbb.g_00601	Pras.g_01477
OG0000528	Prbb.g_00602	Pras.g_01478
OG0000529	Prbb.g_00603	Pras.g_01479
OG0000530	Prbb.g_00604	Pras.g_01480
OG0000531	Prbb.g_00606	Pras.g_01481
OG0000532	Prbb.g_00607	Pras.g_01482
OG0000533	Prbb.g_00608	Pras.g_01483
OG0000534	Prbb.g_00609	Pras.g_01484
OG0000535	Prbb.g_00610	Pras.g_01485
