	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Prak	14.0	10.0	15.0	12.0	8.0	34.0	10.0	20.0	12.0	21.0	0.0	8.0	5.0	9.0	6.0	1.0	13.0	15.0	18.0	15.0	19.0	16.0	10.0	16.0	8.0	8.0	10.0	25.0	29.0	9.0	1.0	1.0	0.0	5.0	15.0	10.0	11.0	11.0	24.0	2.0
Pral	9.0	11.0	13.0	12.0	8.0	36.0	11.0	19.0	15.0	19.0	8.0	0.0	7.0	10.0	6.0	9.0	13.0	14.0	13.0	16.0	16.0	20.0	11.0	12.0	10.0	9.0	12.0	23.0	26.0	11.0	8.0	10.0	8.0	6.0	15.0	14.0	15.0	15.0	25.0	10.0
Pram	10.0	10.0	11.0	12.0	5.0	28.0	8.0	19.0	11.0	24.0	9.0	10.0	0.0	8.0	4.0	10.0	10.0	12.0	18.0	15.0	19.0	16.0	8.0	13.0	7.0	6.0	11.0	27.0	33.0	8.0	9.0	11.0	10.0	0.0	14.0	11.0	12.0	12.0	30.0	11.0
Pran	13.0	5.0	8.0	15.0	8.0	34.0	9.0	23.0	8.0	26.0	15.0	16.0	8.0	0.0	6.0	16.0	8.0	9.0	21.0	22.0	19.0	13.0	9.0	21.0	6.0	8.0	11.0	27.0	30.0	11.0	15.0	16.0	14.0	10.0	13.0	15.0	15.0	15.0	33.0	17.0
Prao	5.0	12.0	4.0	5.0	5.0	35.0	8.0	24.0	11.0	24.0	13.0	14.0	10.0	8.0	0.0	14.0	5.0	5.0	14.0	19.0	10.0	7.0	6.0	5.0	4.0	4.0	7.0	23.0	30.0	3.0	13.0	14.0	13.0	10.0	10.0	15.0	15.0	15.0	31.0	15.0
Prap	14.0	10.0	14.0	12.0	8.0	34.0	10.0	20.0	12.0	22.0	1.0	9.0	5.0	9.0	6.0	0.0	12.0	14.0	18.0	15.0	19.0	16.0	10.0	16.0	8.0	8.0	10.0	26.0	30.0	9.0	2.0	4.0	1.0	5.0	15.0	10.0	11.0	11.0	25.0	2.0
Praq	8.0	8.0	1.0	5.0	2.0	33.0	7.0	21.0	9.0	20.0	14.0	17.0	9.0	6.0	1.0	15.0	0.0	1.0	10.0	21.0	14.0	8.0	5.0	7.0	3.0	2.0	6.0	21.0	29.0	3.0	14.0	15.0	13.0	9.0	13.0	14.0	14.0	14.0	28.0	16.0
Prar	8.0	8.0	2.0	6.0	2.0	36.0	7.0	22.0	9.0	21.0	14.0	17.0	9.0	6.0	1.0	15.0	2.0	0.0	10.0	21.0	12.0	7.0	5.0	5.0	3.0	2.0	6.0	22.0	31.0	3.0	14.0	15.0	13.0	9.0	16.0	15.0	15.0	15.0	28.0	16.0
Pras	4.0	8.0	6.0	7.0	2.0	34.0	2.0	22.0	6.0	23.0	14.0	16.0	13.0	5.0	1.0	15.0	7.0	6.0	0.0	20.0	8.0	6.0	2.0	4.0	2.0	2.0	5.0	20.0	27.0	1.0	14.0	15.0	13.0	13.0	10.0	17.0	17.0	17.0	27.0	16.0
Prat	11.0	14.0	12.0	15.0	9.0	29.0	12.0	18.0	11.0	20.0	14.0	9.0	6.0	11.0	6.0	15.0	12.0	14.0	16.0	0.0	18.0	19.0	12.0	13.0	12.0	11.0	13.0	23.0	26.0	12.0	14.0	16.0	13.0	7.0	14.0	11.0	12.0	12.0	27.0	15.0
Prau	5.0	8.0	5.0	7.0	3.0	34.0	3.0	23.0	8.0	24.0	14.0	16.0	11.0	5.0	1.0	15.0	6.0	6.0	6.0	20.0	0.0	6.0	2.0	4.0	2.0	2.0	6.0	22.0	31.0	2.0	14.0	15.0	13.0	11.0	14.0	18.0	18.0	18.0	29.0	16.0
Prav	5.0	13.0	4.0	4.0	1.0	35.0	7.0	27.0	7.0	22.0	13.0	15.0	9.0	10.0	2.0	14.0	4.0	4.0	7.0	21.0	12.0	0.0	6.0	7.0	3.0	1.0	3.0	22.0	32.0	1.0	13.0	14.0	12.0	9.0	17.0	18.0	18.0	18.0	33.0	15.0
Praw	5.0	9.0	3.0	6.0	3.0	34.0	2.0	27.0	12.0	23.0	15.0	15.0	9.0	8.0	4.0	16.0	5.0	4.0	11.0	19.0	8.0	9.0	0.0	6.0	5.0	3.0	7.0	22.0	27.0	1.0	15.0	16.0	14.0	9.0	9.0	15.0	16.0	16.0	31.0	17.0
Prax	3.0	14.0	2.0	5.0	0.0	38.0	4.0	25.0	9.0	28.0	14.0	17.0	9.0	11.0	2.0	15.0	3.0	3.0	7.0	20.0	5.0	4.0	3.0	0.0	1.0	0.0	4.0	25.0	31.0	2.0	14.0	15.0	13.0	10.0	2.0	15.0	15.0	15.0	37.0	16.0
Pray	4.0	9.0	4.0	3.0	2.0	34.0	3.0	25.0	10.0	25.0	13.0	14.0	12.0	6.0	1.0	14.0	5.0	5.0	11.0	19.0	9.0	5.0	2.0	3.0	0.0	0.0	5.0	26.0	31.0	1.0	13.0	14.0	12.0	12.0	10.0	15.0	15.0	15.0	35.0	15.0
Praz	3.0	9.0	4.0	3.0	2.0	35.0	3.0	26.0	10.0	25.0	13.0	14.0	12.0	6.0	1.0	14.0	4.0	5.0	10.0	19.0	9.0	4.0	2.0	3.0	1.0	0.0	4.0	25.0	32.0	0.0	13.0	14.0	12.0	12.0	9.0	15.0	15.0	15.0	36.0	15.0
Prba	3.0	9.0	4.0	3.0	2.0	35.0	3.0	26.0	10.0	25.0	13.0	14.0	12.0	6.0	1.0	14.0	5.0	5.0	12.0	19.0	9.0	5.0	2.0	3.0	1.0	0.0	0.0	25.0	32.0	1.0	13.0	14.0	12.0	12.0	9.0	14.0	14.0	14.0	36.0	15.0
Prbb	11.0	9.0	13.0	15.0	9.0	34.0	8.0	25.0	9.0	8.0	13.0	11.0	9.0	8.0	6.0	14.0	11.0	14.0	20.0	22.0	20.0	16.0	9.0	15.0	7.0	7.0	10.0	0.0	15.0	10.0	14.0	15.0	12.0	9.0	23.0	13.0	14.0	14.0	20.0	15.0
Prbc	13.0	8.0	13.0	16.0	9.0	34.0	9.0	26.0	11.0	10.0	13.0	14.0	11.0	7.0	7.0	14.0	12.0	15.0	18.0	20.0	19.0	16.0	9.0	14.0	7.0	7.0	10.0	9.0	0.0	10.0	13.0	15.0	13.0	11.0	35.0	12.0	12.0	12.0	29.0	15.0
Prbd	4.0	11.0	3.0	4.0	1.0	37.0	4.0	26.0	11.0	25.0	13.0	16.0	9.0	6.0	3.0	14.0	3.0	4.0	8.0	19.0	6.0	4.0	3.0	5.0	3.0	2.0	5.0	25.0	32.0	0.0	13.0	14.0	12.0	10.0	19.0	16.0	16.0	16.0	33.0	15.0
Prbe	14.0	10.0	15.0	12.0	8.0	34.0	10.0	20.0	12.0	21.0	0.0	8.0	5.0	9.0	6.0	1.0	13.0	15.0	18.0	15.0	19.0	16.0	10.0	16.0	8.0	8.0	10.0	25.0	29.0	9.0	0.0	1.0	0.0	5.0	15.0	10.0	11.0	11.0	24.0	0.0
Prbf	14.0	10.0	14.0	12.0	8.0	34.0	10.0	20.0	12.0	21.0	0.0	8.0	5.0	9.0	6.0	1.0	12.0	14.0	18.0	15.0	19.0	16.0	10.0	16.0	8.0	8.0	10.0	25.0	29.0	9.0	1.0	0.0	1.0	5.0	15.0	10.0	11.0	11.0	24.0	1.0
Prbg	14.0	10.0	14.0	12.0	8.0	34.0	10.0	20.0	12.0	21.0	0.0	8.0	5.0	9.0	6.0	1.0	12.0	14.0	18.0	15.0	19.0	16.0	10.0	16.0	8.0	8.0	10.0	25.0	29.0	9.0	1.0	1.0	0.0	5.0	15.0	10.0	11.0	11.0	24.0	1.0
Prbh	9.0	9.0	10.0	11.0	4.0	28.0	7.0	19.0	11.0	23.0	9.0	9.0	0.0	8.0	3.0	10.0	9.0	11.0	17.0	15.0	18.0	15.0	7.0	13.0	6.0	5.0	10.0	26.0	32.0	8.0	9.0	11.0	9.0	0.0	14.0	11.0	12.0	12.0	29.0	11.0
Prbi	4.0	11.0	3.0	6.0	2.0	39.0	3.0	23.0	11.0	27.0	13.0	17.0	11.0	8.0	2.0	14.0	3.0	3.0	9.0	18.0	9.0	4.0	1.0	5.0	2.0	1.0	4.0	27.0	37.0	2.0	13.0	14.0	12.0	12.0	0.0	14.0	14.0	14.0	35.0	15.0
Prbj	7.0	9.0	9.0	8.0	7.0	38.0	6.0	36.0	9.0	16.0	11.0	12.0	10.0	8.0	5.0	12.0	9.0	10.0	10.0	9.0	15.0	13.0	6.0	12.0	5.0	5.0	7.0	14.0	16.0	5.0	11.0	13.0	11.0	10.0	8.0	0.0	4.0	0.0	15.0	13.0
Prbk	7.0	9.0	9.0	8.0	7.0	40.0	6.0	37.0	9.0	16.0	11.0	12.0	10.0	8.0	5.0	12.0	9.0	10.0	10.0	9.0	15.0	14.0	7.0	13.0	4.0	5.0	7.0	14.0	16.0	5.0	11.0	13.0	11.0	10.0	8.0	5.0	0.0	0.0	15.0	13.0
Prbl	8.0	10.0	10.0	9.0	8.0	39.0	7.0	38.0	9.0	16.0	11.0	13.0	9.0	8.0	6.0	12.0	10.0	11.0	11.0	9.0	16.0	15.0	8.0	13.0	6.0	6.0	8.0	14.0	16.0	5.0	11.0	13.0	11.0	10.0	8.0	5.0	4.0	0.0	15.0	13.0
Prbm	8.0	7.0	11.0	10.0	6.0	32.0	7.0	24.0	9.0	14.0	13.0	11.0	9.0	7.0	4.0	14.0	10.0	12.0	13.0	23.0	16.0	13.0	8.0	13.0	4.0	4.0	7.0	14.0	18.0	7.0	14.0	15.0	12.0	9.0	19.0	14.0	15.0	15.0	0.0	15.0
Prbn	14.0	10.0	15.0	12.0	8.0	34.0	10.0	20.0	12.0	21.0	0.0	8.0	5.0	9.0	6.0	0.0	13.0	15.0	18.0	14.0	19.0	16.0	10.0	16.0	8.0	8.0	10.0	25.0	29.0	9.0	2.0	2.0	0.0	5.0	15.0	10.0	11.0	11.0	24.0	0.0
