	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Prak	34.0	32.0	32.0	33.0	28.0	26.0	34.0	28.0	36.0	26.0	0.0	16.0	18.0	34.0	30.0	2.0	32.0	32.0	32.0	28.0	32.0	30.0	34.0	32.0	30.0	30.0	30.0	26.0	26.0	30.0	0.0	0.0	0.0	18.0	30.0	26.0	26.0	26.0	26.0	0.0
Pral	35.0	33.0	39.0	31.0	37.0	31.0	36.0	27.0	50.0	23.0	18.0	0.0	22.0	37.0	34.0	20.0	39.0	39.0	37.0	20.0	38.0	36.0	36.0	39.0	33.0	33.0	33.0	23.0	29.0	37.0	18.0	18.0	18.0	20.0	40.0	29.0	29.0	31.0	24.0	18.0
Pram	25.0	21.0	23.0	22.0	27.0	26.0	23.0	20.0	25.0	18.0	11.0	15.0	0.0	21.0	25.0	11.0	23.0	23.0	30.0	13.0	26.0	23.0	23.0	23.0	29.0	29.0	29.0	18.0	22.0	23.0	11.0	11.0	11.0	0.0	27.0	24.0	24.0	22.0	18.0	11.0
Pran	16.0	4.0	12.0	13.0	15.0	21.0	16.0	19.0	17.0	16.0	19.0	21.0	17.0	0.0	16.0	19.0	12.0	12.0	10.0	23.0	10.0	21.0	18.0	23.0	13.0	13.0	13.0	16.0	14.0	14.0	19.0	19.0	19.0	17.0	17.0	16.0	16.0	16.0	14.0	19.0
Prao	0.0	12.0	2.0	6.0	2.0	10.0	6.0	10.0	6.0	12.0	12.0	12.0	8.0	12.0	0.0	12.0	2.0	2.0	2.0	12.0	2.0	4.0	8.0	4.0	2.0	2.0	2.0	12.0	14.0	6.0	12.0	12.0	12.0	6.0	4.0	10.0	10.0	12.0	8.0	12.0
Prap	36.0	34.0	34.0	35.0	30.0	28.0	36.0	30.0	38.0	28.0	2.0	18.0	20.0	36.0	32.0	0.0	34.0	34.0	34.0	30.0	34.0	32.0	36.0	34.0	32.0	32.0	32.0	28.0	28.0	32.0	2.0	2.0	2.0	20.0	32.0	28.0	28.0	28.0	28.0	0.0
Praq	12.0	19.0	6.0	18.0	8.0	26.0	9.0	24.0	20.0	28.0	30.0	32.0	23.0	17.0	11.0	26.0	0.0	4.0	15.0	26.0	13.0	9.0	11.0	6.0	10.0	8.0	10.0	26.0	31.0	6.0	30.0	26.0	26.0	21.0	6.0	21.0	21.0	23.0	24.0	30.0
Prar	12.0	19.0	4.0	18.0	6.0	28.0	9.0	26.0	22.0	32.0	34.0	34.0	27.0	19.0	11.0	30.0	2.0	0.0	13.0	30.0	13.0	9.0	9.0	6.0	10.0	10.0	10.0	34.0	37.0	8.0	34.0	30.0	30.0	25.0	6.0	23.0	23.0	25.0	28.0	34.0
Pras	17.0	42.0	22.0	20.0	19.0	23.0	18.0	23.0	33.0	36.0	39.0	29.0	39.0	44.0	30.0	39.0	22.0	22.0	0.0	36.0	14.0	16.0	24.0	17.0	23.0	21.0	25.0	42.0	38.0	18.0	39.0	39.0	39.0	36.0	19.0	23.0	23.0	26.0	28.0	39.0
Prat	45.0	47.0	47.0	46.0	49.0	24.0	43.0	25.0	43.0	42.0	30.0	33.0	30.0	49.0	43.0	30.0	47.0	47.0	44.0	0.0	44.0	47.0	43.0	45.0	43.0	43.0	43.0	44.0	40.0	43.0	30.0	30.0	30.0	31.0	41.0	22.0	22.0	22.0	46.0	28.0
Prau	17.0	35.0	27.0	16.0	13.0	34.0	18.0	32.0	32.0	40.0	40.0	34.0	40.0	39.0	22.0	40.0	29.0	25.0	18.0	41.0	0.0	25.0	18.0	11.0	19.0	19.0	19.0	42.0	42.0	13.0	40.0	40.0	40.0	38.0	20.0	32.0	32.0	34.0	33.0	40.0
Prav	12.0	24.0	14.0	22.0	14.0	25.0	17.0	25.0	20.0	32.0	35.0	48.0	34.0	28.0	20.0	35.0	16.0	14.0	12.0	49.0	17.0	0.0	19.0	8.0	10.0	8.0	10.0	34.0	34.0	9.0	35.0	35.0	35.0	30.0	8.0	27.0	29.0	33.0	28.0	35.0
Praw	12.0	15.0	10.0	7.0	7.0	15.0	0.0	13.0	14.0	23.0	26.0	29.0	21.0	20.0	15.0	26.0	10.0	10.0	4.0	30.0	5.0	12.0	0.0	6.0	4.0	4.0	4.0	21.0	21.0	6.0	26.0	26.0	26.0	18.0	2.0	13.0	15.0	18.0	18.0	26.0
Prax	13.0	41.0	11.0	13.0	15.0	35.0	15.0	33.0	28.0	32.0	36.0	27.0	29.0	45.0	11.0	36.0	15.0	11.0	9.0	30.0	10.0	15.0	15.0	0.0	7.0	7.0	7.0	32.0	30.0	11.0	36.0	36.0	36.0	29.0	11.0	26.0	28.0	28.0	27.0	36.0
Pray	8.0	14.0	6.0	2.0	6.0	12.0	6.0	12.0	16.0	14.0	16.0	20.0	14.0	12.0	8.0	16.0	6.0	6.0	4.0	24.0	4.0	6.0	10.0	2.0	0.0	2.0	2.0	14.0	14.0	6.0	16.0	16.0	16.0	12.0	4.0	10.0	8.0	12.0	8.0	16.0
Praz	6.0	16.0	4.0	0.0	4.0	12.0	4.0	12.0	20.0	14.0	16.0	18.0	12.0	16.0	8.0	16.0	4.0	4.0	4.0	22.0	4.0	2.0	6.0	0.0	0.0	0.0	0.0	14.0	14.0	4.0	16.0	16.0	16.0	10.0	2.0	10.0	10.0	12.0	8.0	16.0
Prba	16.0	24.0	12.0	8.0	10.0	20.0	10.0	18.0	24.0	20.0	20.0	24.0	22.0	22.0	14.0	20.0	12.0	12.0	10.0	26.0	12.0	6.0	14.0	8.0	10.0	8.0	0.0	20.0	20.0	10.0	20.0	20.0	20.0	20.0	8.0	14.0	14.0	16.0	14.0	20.0
Prbb	73.0	58.0	65.0	70.0	75.0	45.0	50.0	35.0	55.0	30.0	68.0	61.0	77.0	69.0	73.0	72.0	56.0	63.0	64.0	62.0	71.0	55.0	56.0	65.0	72.0	70.0	70.0	0.0	27.0	70.0	68.0	68.0	68.0	74.0	77.0	37.0	37.0	38.0	31.0	68.0
Prbc	80.0	70.0	73.0	77.0	74.0	37.0	63.0	34.0	67.0	27.0	63.0	57.0	78.0	74.0	74.0	65.0	70.0	76.0	66.0	57.0	79.0	79.0	67.0	76.0	77.0	82.0	82.0	31.0	0.0	77.0	63.0	63.0	63.0	76.0	91.0	37.0	37.0	37.0	37.0	63.0
Prbd	2.0	22.0	6.0	10.0	4.0	18.0	3.0	12.0	14.0	21.0	19.0	23.0	16.0	22.0	12.0	19.0	6.0	6.0	2.0	25.0	4.0	2.0	3.0	4.0	2.0	0.0	2.0	21.0	21.0	0.0	19.0	19.0	19.0	16.0	4.0	10.0	10.0	10.0	15.0	19.0
Prbe	35.0	33.0	32.0	34.0	29.0	26.0	35.0	28.0	37.0	28.0	2.0	17.0	19.0	35.0	31.0	4.0	33.0	32.0	33.0	28.0	33.0	31.0	35.0	33.0	31.0	31.0	31.0	28.0	26.0	31.0	0.0	2.0	2.0	19.0	31.0	26.0	26.0	26.0	28.0	4.0
Prbf	36.0	34.0	34.0	35.0	30.0	30.0	36.0	32.0	36.0	30.0	2.0	20.0	22.0	36.0	32.0	8.0	34.0	34.0	34.0	32.0	34.0	32.0	36.0	34.0	32.0	32.0	32.0	30.0	30.0	32.0	2.0	0.0	2.0	22.0	32.0	30.0	30.0	30.0	30.0	4.0
Prbg	32.0	30.0	30.0	31.0	26.0	26.0	32.0	28.0	34.0	26.0	0.0	16.0	20.0	32.0	30.0	2.0	30.0	30.0	30.0	26.0	30.0	28.0	32.0	30.0	28.0	28.0	28.0	24.0	26.0	28.0	0.0	2.0	0.0	18.0	28.0	26.0	26.0	26.0	24.0	0.0
Prbh	25.0	23.0	23.0	22.0	27.0	26.0	23.0	20.0	29.0	18.0	11.0	13.0	0.0	25.0	25.0	11.0	23.0	23.0	30.0	15.0	26.0	23.0	23.0	25.0	29.0	29.0	29.0	18.0	22.0	25.0	11.0	11.0	11.0	0.0	29.0	24.0	24.0	24.0	18.0	11.0
Prbi	14.0	28.0	34.0	21.0	16.0	24.0	17.0	29.0	29.0	44.0	31.0	30.0	29.0	26.0	20.0	31.0	28.0	35.0	22.0	28.0	29.0	35.0	19.0	5.0	20.0	18.0	18.0	47.0	71.0	38.0	31.0	31.0	31.0	29.0	0.0	16.0	16.0	16.0	39.0	31.0
Prbj	32.0	31.0	32.0	46.0	32.0	36.0	34.0	27.0	31.0	33.0	24.0	35.0	23.0	31.0	34.0	24.0	32.0	34.0	38.0	26.0	40.0	40.0	34.0	34.0	34.0	34.0	32.0	31.0	29.0	36.0	24.0	24.0	24.0	23.0	34.0	0.0	10.0	10.0	34.0	24.0
Prbk	32.0	31.0	32.0	46.0	32.0	41.0	36.0	28.0	31.0	34.0	26.0	36.0	25.0	31.0	34.0	26.0	32.0	34.0	38.0	27.0	40.0	40.0	36.0	34.0	34.0	34.0	32.0	32.0	28.0	36.0	26.0	26.0	26.0	25.0	34.0	15.0	0.0	8.0	35.0	26.0
Prbl	32.0	31.0	32.0	46.0	32.0	34.0	36.0	24.0	31.0	34.0	26.0	36.0	25.0	31.0	34.0	26.0	32.0	34.0	38.0	27.0	40.0	40.0	36.0	34.0	34.0	34.0	32.0	32.0	28.0	36.0	26.0	26.0	26.0	25.0	34.0	0.0	0.0	0.0	35.0	26.0
Prbm	75.0	75.0	82.0	84.0	105.0	60.0	73.0	44.0	71.0	52.0	72.0	64.0	86.0	86.0	99.0	75.0	74.0	77.0	86.0	73.0	91.0	77.0	78.0	96.0	96.0	99.0	99.0	45.0	71.0	89.0	72.0	72.0	72.0	83.0	96.0	41.0	41.0	42.0	0.0	72.0
Prbn	38.0	36.0	36.0	37.0	32.0	30.0	38.0	32.0	40.0	30.0	4.0	20.0	22.0	38.0	34.0	4.0	36.0	36.0	36.0	30.0	36.0	34.0	38.0	36.0	34.0	34.0	34.0	30.0	30.0	34.0	0.0	2.0	2.0	22.0	34.0	30.0	30.0	30.0	30.0	0.0
