Orthogroup	Praj	Syal
OG0000070	Praj.g_00444	Syal.g_00509
OG0000071	Praj.g_01528	Syal.g_01601
OG0000072	Praj.g_00211	Syal.g_00914
OG0000073	Praj.g_00491	Syal.g_02920
OG0000075	Praj.g_01987	Syal.g_01350
OG0000076	Praj.g_02012	Syal.g_01459
OG0000077	Praj.g_00116	Syal.g_00763, Syal.g_00506
OG0000078	Praj.g_00280	Syal.g_00680
OG0000079	Praj.g_00291	Syal.g_01213
OG0000081	Praj.g_00522	Syal.g_02555
OG0000082	Praj.g_01827	Syal.g_02769
OG0000084	Praj.g_01628	Syal.g_00023
OG0000085	Praj.g_01762	Syal.g_00575
OG0000086	Praj.g_00126	Syal.g_00784
OG0000087	Praj.g_00179	Syal.g_00871
OG0000088	Praj.g_00206	Syal.g_00908
OG0000089	Praj.g_00403	Syal.g_00555
OG0000090	Praj.g_00524	Syal.g_02838
OG0000091	Praj.g_00630	Syal.g_02628
OG0000092	Praj.g_00892	Syal.g_00470
OG0000097	Praj.g_01416	Syal.g_01735, Syal.g_01553
OG0000098	Praj.g_01546	Syal.g_02196
OG0000099	Praj.g_00372	Syal.g_01323
OG0000100	Praj.g_01709	Syal.g_02448
OG0000101	Praj.g_01952	Syal.g_00275
OG0000102	Praj.g_02017	Syal.g_01488
OG0000103	Praj.g_02135	Syal.g_01897, Syal.g_00077
OG0000104	Praj.g_02145	Syal.g_00092
OG0000105	Praj.g_00310	Syal.g_01255
OG0000106	Praj.g_01156, Praj.g_01282	Syal.g_02577
OG0000107	Praj.g_01869	Syal.g_00194
OG0000108	Praj.g_00473	Syal.g_02897
OG0000109	Praj.g_00486	Syal.g_02913
OG0000110	Praj.g_00565	Syal.g_02782
OG0000111	Praj.g_00692	Syal.g_01813
OG0000112	Praj.g_00938	Syal.g_02000
OG0000113	Praj.g_00793, Praj.g_01176	Syal.g_02443
OG0000114	Praj.g_00887	Syal.g_02286
OG0000115	Praj.g_01725	Syal.g_00404
OG0000116	Praj.g_01471	Syal.g_01630
OG0000117	Praj.g_01355	Syal.g_01704
OG0000118	Praj.g_01540	Syal.g_01583
OG0000119	Praj.g_01568	Syal.g_02056
OG0000120	Praj.g_00664	Syal.g_01324
OG0000121	Praj.g_01634	Syal.g_00374
OG0000122	Praj.g_01673	Syal.g_02602
OG0000123	Praj.g_01959	Syal.g_00283
OG0000124	Praj.g_02031	Syal.g_01519
OG0000125	Praj.g_02091	Syal.g_01075
OG0000126	Praj.g_02144	Syal.g_00090
OG0000128	Praj.g_00011	Syal.g_00109
OG0000129	Praj.g_00048	Syal.g_01062
OG0000130	Praj.g_00107	Syal.g_00751
OG0000131	Praj.g_00185	Syal.g_00886
OG0000132	Praj.g_00204	Syal.g_00906
OG0000133	Praj.g_00357	Syal.g_01995
OG0000134	Praj.g_00405	Syal.g_00552
OG0000135	Praj.g_01279	Syal.g_01119
OG0000136	Praj.g_00435	Syal.g_00520
OG0000137	Praj.g_00467	Syal.g_00463
OG0000138	Praj.g_00487	Syal.g_02914
OG0000139	Praj.g_00528	Syal.g_02832
OG0000140	Praj.g_00529	Syal.g_02830
OG0000141	Praj.g_00595	Syal.g_02738
OG0000142	Praj.g_00623	Syal.g_02636
OG0000143	Praj.g_00627	Syal.g_02632
OG0000144	Praj.g_00640	Syal.g_02515
OG0000145	Praj.g_01054	Syal.g_02921
OG0000146	Praj.g_00937	Syal.g_02001
OG0000147	Praj.g_00936	Syal.g_02002
OG0000148	Praj.g_00787	Syal.g_02437
OG0000149	Praj.g_00819	Syal.g_02475
OG0000150	Praj.g_00828	Syal.g_02737
OG0000151	Praj.g_00898	Syal.g_02263
OG0000152	Praj.g_01601, Praj.g_00946	Syal.g_01991
OG0000153	Praj.g_00965	Syal.g_01958
OG0000154	Praj.g_00995	Syal.g_01918
OG0000155	Praj.g_01440	Syal.g_01695
OG0000156	Praj.g_01517	Syal.g_01620
OG0000157	Praj.g_01518	Syal.g_01619
OG0000158	Praj.g_01995	Syal.g_01431
OG0000160	Praj.g_01633	Syal.g_00372
OG0000161	Praj.g_01639	Syal.g_00384
OG0000162	Praj.g_01645	Syal.g_00396
OG0000163	Praj.g_01681	Syal.g_02971
OG0000164	Praj.g_01790	Syal.g_00623
OG0000165	Praj.g_01798	Syal.g_00632
OG0000166	Praj.g_01915	Syal.g_00236
OG0000167	Praj.g_01985	Syal.g_01347
OG0000168	Praj.g_01996	Syal.g_01433
OG0000169	Praj.g_02006	Syal.g_01447
OG0000170	Praj.g_02008	Syal.g_01454
OG0000171	Praj.g_02030	Syal.g_01518
OG0000172	Praj.g_02061	Syal.g_00174, Syal.g_00173
OG0000173	Praj.g_02076	Syal.g_00155
OG0000174	Praj.g_02107	Syal.g_01121
OG0000175	Praj.g_02125	Syal.g_01172
OG0000176	Praj.g_00004	Syal.g_00101
OG0000177	Praj.g_00005	Syal.g_00102
OG0000178	Praj.g_00006	Syal.g_00103
OG0000179	Praj.g_00016	Syal.g_00118
OG0000180	Praj.g_00017	Syal.g_00119
OG0000181	Praj.g_00018	Syal.g_00120
OG0000182	Praj.g_00019	Syal.g_00121
OG0000183	Praj.g_00023	Syal.g_00125
OG0000184	Praj.g_00050	Syal.g_01050
OG0000185	Praj.g_00053	Syal.g_01025
OG0000186	Praj.g_00102	Syal.g_02684, Syal.g_00747
OG0000187	Praj.g_00103	Syal.g_02685, Syal.g_00748
OG0000188	Praj.g_00120	Syal.g_00771
OG0000189	Praj.g_00134	Syal.g_00807
OG0000190	Praj.g_00135	Syal.g_01364
OG0000191	Praj.g_00158	Syal.g_00841
OG0000192	Praj.g_00162	Syal.g_00847
OG0000193	Praj.g_00186	Syal.g_00887
OG0000194	Praj.g_00189	Syal.g_00890
OG0000195	Praj.g_00191	Syal.g_00892
OG0000196	Praj.g_00201	Syal.g_00903
OG0000197	Praj.g_00202	Syal.g_00904
OG0000198	Praj.g_00203	Syal.g_00905
OG0000199	Praj.g_00210	Syal.g_00913
OG0000200	Praj.g_00223	Syal.g_00932
OG0000201	Praj.g_00232	Syal.g_00949
OG0000202	Praj.g_00233	Syal.g_00950
OG0000203	Praj.g_00234	Syal.g_00951
OG0000204	Praj.g_00235	Syal.g_00952
OG0000205	Praj.g_00242	Syal.g_00959
OG0000206	Praj.g_00246	Syal.g_00971
OG0000207	Praj.g_00248	Syal.g_00974
OG0000208	Praj.g_00249	Syal.g_00975
OG0000209	Praj.g_00258	Syal.g_01000
OG0000210	Praj.g_00259	Syal.g_01001
OG0000212	Praj.g_00281	Syal.g_00679
OG0000213	Praj.g_00296	Syal.g_01229
OG0000214	Praj.g_00304	Syal.g_01246
OG0000215	Praj.g_00328	Syal.g_01277
OG0000216	Praj.g_00329	Syal.g_01281
OG0000217	Praj.g_00332	Syal.g_01285
OG0000218	Praj.g_00334	Syal.g_01287
OG0000219	Praj.g_00335	Syal.g_01288
OG0000220	Praj.g_00336	Syal.g_01289
OG0000221	Praj.g_00337	Syal.g_01297
OG0000222	Praj.g_00345	Syal.g_01309
OG0000223	Praj.g_00358	Syal.g_01327
OG0000224	Praj.g_00360	Syal.g_01329
OG0000225	Praj.g_00391	Syal.g_00363
OG0000226	Praj.g_00395	Syal.g_00367
OG0000227	Praj.g_00397	Syal.g_00369
OG0000228	Praj.g_00402	Syal.g_00556
OG0000229	Praj.g_00430	Syal.g_00525
OG0000230	Praj.g_00432	Syal.g_00523
OG0000231	Praj.g_00443	Syal.g_00510
OG0000232	Praj.g_00451	Syal.g_00495
OG0000233	Praj.g_00459	Syal.g_00487
OG0000234	Praj.g_00468	Syal.g_00461
OG0000235	Praj.g_00472	Syal.g_02896
OG0000236	Praj.g_00485	Syal.g_02912
OG0000237	Praj.g_00498	Syal.g_02930
OG0000238	Praj.g_00504	Syal.g_02935
OG0000239	Praj.g_00516	Syal.g_02951
OG0000240	Praj.g_00517	Syal.g_02952
OG0000241	Praj.g_00521	Syal.g_02696
OG0000242	Praj.g_00523	Syal.g_02840
OG0000243	Praj.g_00534	Syal.g_02822
OG0000244	Praj.g_00537	Syal.g_02815
OG0000245	Praj.g_00539	Syal.g_02813
OG0000246	Praj.g_00543	Syal.g_02809
OG0000247	Praj.g_00553	Syal.g_02797
OG0000248	Praj.g_00555	Syal.g_02794
OG0000249	Praj.g_00557	Syal.g_02792
OG0000250	Praj.g_00562	Syal.g_02786
OG0000251	Praj.g_00578	Syal.g_02760
OG0000252	Praj.g_00580	Syal.g_02757
OG0000253	Praj.g_00582	Syal.g_02755
OG0000254	Praj.g_00599	Syal.g_02732
OG0000255	Praj.g_00605	Syal.g_02719
OG0000256	Praj.g_00615	Syal.g_02705
OG0000257	Praj.g_00618	Syal.g_02697
OG0000258	Praj.g_00631	Syal.g_02623
OG0000259	Praj.g_00648	Syal.g_02182
OG0000260	Praj.g_00651	Syal.g_02188
OG0000261	Praj.g_00654	Syal.g_02199
OG0000262	Praj.g_00659	Syal.g_02204
OG0000263	Praj.g_00673	Syal.g_01720
OG0000264	Praj.g_00684	Syal.g_01788
OG0000265	Praj.g_00698	Syal.g_02534
OG0000266	Praj.g_00708	Syal.g_02421
OG0000267	Praj.g_00721	Syal.g_02043
OG0000268	Praj.g_00722	Syal.g_02042
OG0000269	Praj.g_00764	Syal.g_02409
OG0000270	Praj.g_00767	Syal.g_02412
OG0000271	Praj.g_00775	Syal.g_01871
OG0000272	Praj.g_00776	Syal.g_01872
OG0000274	Praj.g_00802	Syal.g_02455
OG0000275	Praj.g_00804	Syal.g_02458
OG0000276	Praj.g_00810	Syal.g_02467
OG0000277	Praj.g_00811	Syal.g_02468
OG0000278	Praj.g_00815	Syal.g_02471
OG0000279	Praj.g_00822	Syal.g_02479
OG0000280	Praj.g_01326	Syal.g_02493
OG0000281	Praj.g_00829	Syal.g_02190
OG0000282	Praj.g_00889	Syal.g_02284
OG0000283	Praj.g_00920	Syal.g_02028
OG0000284	Praj.g_00925	Syal.g_02023
OG0000285	Praj.g_00930	Syal.g_02012
OG0000286	Praj.g_00945	Syal.g_01992
OG0000287	Praj.g_00085	Syal.g_01965
OG0000288	Praj.g_00994	Syal.g_01919
OG0000289	Praj.g_01005	Syal.g_01904
OG0000290	Praj.g_01021	Syal.g_01826
OG0000291	Praj.g_01023	Syal.g_01824
OG0000292	Praj.g_01196	Syal.g_00089
OG0000293	Praj.g_01470	Syal.g_01631
OG0000294	Praj.g_01469	Syal.g_01632
OG0000295	Praj.g_01447	Syal.g_01687
OG0000296	Praj.g_01445	Syal.g_01689
OG0000297	Praj.g_01437	Syal.g_01702
OG0000298	Praj.g_01436	Syal.g_01703
OG0000299	Praj.g_01417	Syal.g_01732
OG0000300	Praj.g_01414	Syal.g_01738
OG0000301	Praj.g_01413	Syal.g_01739
OG0000302	Praj.g_01410	Syal.g_01740
OG0000303	Praj.g_01405	Syal.g_01763
OG0000304	Praj.g_01402	Syal.g_01756
OG0000305	Praj.g_01734	Syal.g_01821
OG0000306	Praj.g_00833	Syal.g_02579
OG0000307	Praj.g_01584	Syal.g_02880
OG0000308	Praj.g_01585	Syal.g_02878
OG0000309	Praj.g_01589	Syal.g_02873
OG0000310	Praj.g_01616	Syal.g_01537
OG0000311	Praj.g_01618	Syal.g_00061
OG0000312	Praj.g_01621	Syal.g_00031
OG0000313	Praj.g_01636	Syal.g_00381
OG0000314	Praj.g_01657	Syal.g_00416
OG0000315	Praj.g_01667	Syal.g_00426
OG0000316	Praj.g_01692	Syal.g_02987
OG0000317	Praj.g_01766	Syal.g_00583
OG0000318	Praj.g_01769	Syal.g_00588
OG0000319	Praj.g_01780	Syal.g_00608
OG0000320	Praj.g_01782	Syal.g_00610
OG0000321	Praj.g_01783	Syal.g_00611
OG0000322	Praj.g_01784	Syal.g_00612
OG0000323	Praj.g_01793	Syal.g_00626
OG0000324	Praj.g_01820	Syal.g_00656
OG0000325	Praj.g_01870	Syal.g_00195
OG0000326	Praj.g_01876	Syal.g_00202
OG0000327	Praj.g_01910	Syal.g_00230
OG0000328	Praj.g_01911	Syal.g_00231
OG0000329	Praj.g_01928	Syal.g_00249
OG0000330	Praj.g_01929	Syal.g_00250
OG0000331	Praj.g_01930	Syal.g_00251
OG0000332	Praj.g_01944	Syal.g_00266
OG0000333	Praj.g_01946	Syal.g_00269
OG0000334	Praj.g_01955	Syal.g_00279
OG0000335	Praj.g_01960	Syal.g_00284
OG0000336	Praj.g_01964	Syal.g_00288
OG0000337	Praj.g_01982	Syal.g_01343
OG0000338	Praj.g_01983	Syal.g_01345
OG0000339	Praj.g_01988	Syal.g_01351
OG0000340	Praj.g_01997	Syal.g_01434
OG0000341	Praj.g_01999	Syal.g_01436
OG0000342	Praj.g_02000	Syal.g_01437
OG0000343	Praj.g_02001	Syal.g_01441
OG0000344	Praj.g_02004	Syal.g_01445
OG0000345	Praj.g_02009	Syal.g_01455
OG0000346	Praj.g_02013	Syal.g_01460
OG0000347	Praj.g_02034	Syal.g_01525
OG0000348	Praj.g_02064	Syal.g_00170
OG0000349	Praj.g_02082	Syal.g_00148
OG0000350	Praj.g_02103	Syal.g_00209
OG0000351	Praj.g_02128	Syal.g_01175
OG0000352	Praj.g_02129	Syal.g_01176
OG0000353	Praj.g_02148	Syal.g_00095
OG0000355	Praj.g_00001	Syal.g_00098
OG0000356	Praj.g_00002	Syal.g_00099
OG0000357	Praj.g_00003	Syal.g_00100
OG0000358	Praj.g_00007	Syal.g_00104
OG0000359	Praj.g_00008	Syal.g_00106
OG0000360	Praj.g_00009	Syal.g_00107
OG0000361	Praj.g_00010	Syal.g_00108
OG0000362	Praj.g_00012	Syal.g_00110
OG0000363	Praj.g_00014	Syal.g_00112
OG0000364	Praj.g_00015	Syal.g_00113
OG0000365	Praj.g_00020	Syal.g_00122
OG0000366	Praj.g_00021	Syal.g_00123
OG0000367	Praj.g_00022	Syal.g_00124
OG0000368	Praj.g_00024	Syal.g_00126
OG0000369	Praj.g_00025	Syal.g_00127
OG0000370	Praj.g_00026	Syal.g_00128
OG0000371	Praj.g_00032	Syal.g_00135
OG0000372	Praj.g_00034	Syal.g_00141
OG0000373	Praj.g_00035	Syal.g_00142
OG0000374	Praj.g_00036	Syal.g_00143
OG0000375	Praj.g_00044	Syal.g_00144
OG0000376	Praj.g_00046	Syal.g_00146
OG0000377	Praj.g_00049	Syal.g_01061
OG0000378	Praj.g_00051	Syal.g_01027
OG0000379	Praj.g_00054	Syal.g_01024
OG0000380	Praj.g_00104	Syal.g_00749
OG0000381	Praj.g_00108	Syal.g_00752
OG0000382	Praj.g_00119	Syal.g_00770
OG0000383	Praj.g_00121	Syal.g_00775
OG0000384	Praj.g_00122	Syal.g_00776
OG0000385	Praj.g_00123	Syal.g_00777
OG0000386	Praj.g_00124	Syal.g_00778
OG0000387	Praj.g_00137	Syal.g_00811
OG0000388	Praj.g_00141	Syal.g_00815
OG0000389	Praj.g_00144	Syal.g_00819
OG0000390	Praj.g_00153	Syal.g_00835
OG0000391	Praj.g_00157	Syal.g_00840
OG0000392	Praj.g_00160	Syal.g_00846
OG0000393	Praj.g_00163	Syal.g_00849
OG0000394	Praj.g_00164	Syal.g_00850
OG0000395	Praj.g_00165	Syal.g_00851
OG0000396	Praj.g_00168	Syal.g_00854
OG0000397	Praj.g_00170	Syal.g_00857
OG0000398	Praj.g_00173	Syal.g_00862
OG0000399	Praj.g_00174	Syal.g_00863
OG0000400	Praj.g_00175	Syal.g_00864
OG0000401	Praj.g_00176	Syal.g_00865
OG0000402	Praj.g_01057	Syal.g_00867
OG0000403	Praj.g_00177	Syal.g_00868
OG0000404	Praj.g_00178	Syal.g_00870
OG0000405	Praj.g_00183	Syal.g_00883
OG0000406	Praj.g_00187	Syal.g_00888
OG0000407	Praj.g_00188	Syal.g_00889
OG0000408	Praj.g_00190	Syal.g_00891
OG0000409	Praj.g_00192	Syal.g_00893
OG0000410	Praj.g_00193	Syal.g_00894
OG0000411	Praj.g_00194	Syal.g_00895
OG0000412	Praj.g_00195	Syal.g_00896
OG0000413	Praj.g_00196	Syal.g_00898
OG0000414	Praj.g_00197	Syal.g_00899
OG0000415	Praj.g_00198	Syal.g_00900
OG0000416	Praj.g_00199	Syal.g_00901
OG0000417	Praj.g_00200	Syal.g_00902
OG0000418	Praj.g_00205	Syal.g_00907
OG0000419	Praj.g_00207	Syal.g_00909
OG0000420	Praj.g_00208	Syal.g_00911
OG0000421	Praj.g_00212	Syal.g_00916
OG0000422	Praj.g_00213	Syal.g_00917
OG0000423	Praj.g_00214	Syal.g_00918
OG0000424	Praj.g_00215	Syal.g_00919
OG0000425	Praj.g_00216	Syal.g_00920
OG0000426	Praj.g_00217	Syal.g_00921
OG0000427	Praj.g_00218	Syal.g_00922
OG0000428	Praj.g_00220	Syal.g_00925
OG0000429	Praj.g_00221	Syal.g_00929
OG0000430	Praj.g_00222	Syal.g_00931
OG0000431	Praj.g_00224	Syal.g_00934
OG0000432	Praj.g_00228	Syal.g_00940
OG0000433	Praj.g_00229	Syal.g_00943
OG0000434	Praj.g_00230	Syal.g_00944
OG0000435	Praj.g_00231	Syal.g_00946
OG0000436	Praj.g_00236	Syal.g_00953
OG0000437	Praj.g_00237	Syal.g_00954
OG0000438	Praj.g_00238	Syal.g_00955
OG0000439	Praj.g_00240	Syal.g_00957
OG0000440	Praj.g_00241	Syal.g_00958
OG0000441	Praj.g_00243	Syal.g_00962
OG0000442	Praj.g_00244	Syal.g_00964
OG0000443	Praj.g_00245	Syal.g_00966
OG0000444	Praj.g_00250	Syal.g_00978
OG0000445	Praj.g_00251	Syal.g_00979
OG0000446	Praj.g_00252	Syal.g_00981
OG0000447	Praj.g_00253	Syal.g_00989
OG0000448	Praj.g_00254	Syal.g_00990
OG0000449	Praj.g_00255	Syal.g_00991
OG0000450	Praj.g_00256	Syal.g_00997
OG0000451	Praj.g_00257	Syal.g_00998
OG0000452	Praj.g_00260	Syal.g_01002
OG0000453	Praj.g_00261	Syal.g_01003
OG0000454	Praj.g_00262	Syal.g_01004
OG0000455	Praj.g_00263	Syal.g_01005
OG0000456	Praj.g_00264	Syal.g_01006
OG0000457	Praj.g_00265	Syal.g_01008
OG0000458	Praj.g_00266	Syal.g_01009
OG0000459	Praj.g_00267	Syal.g_01010
OG0000460	Praj.g_00275	Syal.g_00686
OG0000461	Praj.g_00283	Syal.g_01199
OG0000462	Praj.g_00285	Syal.g_01202
OG0000463	Praj.g_00286	Syal.g_01203
OG0000464	Praj.g_00287	Syal.g_01204
OG0000465	Praj.g_00288	Syal.g_01205
OG0000466	Praj.g_00289	Syal.g_01210
OG0000467	Praj.g_00290	Syal.g_01212
OG0000468	Praj.g_00292	Syal.g_01225
OG0000469	Praj.g_00299	Syal.g_01240
OG0000470	Praj.g_00301	Syal.g_01242
OG0000471	Praj.g_00302	Syal.g_01243
OG0000472	Praj.g_00303	Syal.g_01245
OG0000473	Praj.g_00305	Syal.g_01247
OG0000474	Praj.g_00306	Syal.g_01248
OG0000475	Praj.g_00307	Syal.g_01249
OG0000476	Praj.g_00309	Syal.g_01251
OG0000477	Praj.g_00311	Syal.g_01257
OG0000478	Praj.g_00312	Syal.g_01258
OG0000479	Praj.g_00313	Syal.g_01259
OG0000480	Praj.g_00318	Syal.g_01266
OG0000481	Praj.g_00320	Syal.g_01268
OG0000482	Praj.g_00321	Syal.g_01269
OG0000483	Praj.g_00324	Syal.g_01273
OG0000484	Praj.g_00325	Syal.g_01274
OG0000485	Praj.g_00326	Syal.g_01275
OG0000486	Praj.g_00327	Syal.g_01276
OG0000487	Praj.g_00330	Syal.g_01282
OG0000488	Praj.g_00333	Syal.g_01286
OG0000489	Praj.g_00338	Syal.g_01298
OG0000490	Praj.g_00343	Syal.g_01307
OG0000491	Praj.g_00344	Syal.g_01308
OG0000492	Praj.g_00346	Syal.g_01310
OG0000493	Praj.g_00347	Syal.g_01311
OG0000494	Praj.g_00348	Syal.g_01312
OG0000495	Praj.g_00349	Syal.g_01313
OG0000496	Praj.g_00350	Syal.g_01314
OG0000497	Praj.g_00351	Syal.g_01315
OG0000498	Praj.g_00352	Syal.g_01316
OG0000499	Praj.g_00353	Syal.g_01317
OG0000500	Praj.g_00354	Syal.g_01318
OG0000501	Praj.g_00356	Syal.g_01321
OG0000502	Praj.g_00359	Syal.g_01328
OG0000503	Praj.g_00380	Syal.g_00347
OG0000504	Praj.g_00382	Syal.g_00349
OG0000505	Praj.g_00383	Syal.g_00350
OG0000506	Praj.g_00384	Syal.g_00352
OG0000507	Praj.g_00387	Syal.g_00358
OG0000508	Praj.g_00390	Syal.g_00362
OG0000509	Praj.g_00392	Syal.g_00364
OG0000510	Praj.g_00393	Syal.g_00365
OG0000511	Praj.g_00394	Syal.g_00366
OG0000512	Praj.g_00396	Syal.g_00368
OG0000513	Praj.g_00406	Syal.g_00551
OG0000514	Praj.g_00425	Syal.g_00539
OG0000515	Praj.g_00426	Syal.g_00538
OG0000516	Praj.g_00427	Syal.g_00534
OG0000517	Praj.g_00429	Syal.g_00526
OG0000518	Praj.g_00440	Syal.g_00514
OG0000519	Praj.g_00441	Syal.g_00513
OG0000520	Praj.g_00442	Syal.g_00512
OG0000521	Praj.g_00447	Syal.g_00502
OG0000522	Praj.g_00449	Syal.g_00500
OG0000523	Praj.g_00450	Syal.g_00499
OG0000524	Praj.g_00457	Syal.g_00491
OG0000525	Praj.g_00461	Syal.g_00473
OG0000526	Praj.g_00462	Syal.g_00471
OG0000527	Praj.g_00465	Syal.g_00465
OG0000528	Praj.g_00471	Syal.g_02893
OG0000529	Praj.g_00474	Syal.g_02898
OG0000530	Praj.g_00477	Syal.g_02901
OG0000531	Praj.g_00478	Syal.g_02902
OG0000532	Praj.g_00479	Syal.g_02905
OG0000533	Praj.g_00480	Syal.g_02907
OG0000534	Praj.g_00481	Syal.g_02908
OG0000535	Praj.g_00482	Syal.g_02909
OG0000536	Praj.g_00483	Syal.g_02910
OG0000537	Praj.g_00484	Syal.g_02911
OG0000538	Praj.g_00492	Syal.g_02923
OG0000539	Praj.g_00493	Syal.g_02924
OG0000540	Praj.g_00494	Syal.g_02925
OG0000541	Praj.g_00495	Syal.g_02926
OG0000542	Praj.g_00497	Syal.g_02929
OG0000543	Praj.g_00499	Syal.g_02931
OG0000544	Praj.g_00500	Syal.g_02932
OG0000545	Praj.g_00502	Syal.g_02934
OG0000546	Praj.g_00505	Syal.g_02936
OG0000547	Praj.g_00507	Syal.g_02938
OG0000548	Praj.g_00508	Syal.g_02939
OG0000549	Praj.g_00511	Syal.g_02945
OG0000550	Praj.g_00515	Syal.g_02949
OG0000551	Praj.g_00518	Syal.g_02953
OG0000552	Praj.g_00519	Syal.g_02954
OG0000553	Praj.g_00520	Syal.g_02843
OG0000554	Praj.g_00525	Syal.g_02837
OG0000555	Praj.g_00533	Syal.g_02823
OG0000556	Praj.g_00535	Syal.g_02819
OG0000557	Praj.g_00536	Syal.g_02816
OG0000558	Praj.g_00538	Syal.g_02814
OG0000559	Praj.g_00542	Syal.g_02305, Syal.g_02810
OG0000560	Praj.g_00545	Syal.g_02807
OG0000561	Praj.g_00546	Syal.g_02806
OG0000562	Praj.g_00547	Syal.g_02805
OG0000563	Praj.g_00548	Syal.g_02804
OG0000564	Praj.g_00549	Syal.g_02803
OG0000565	Praj.g_00552	Syal.g_02799
OG0000566	Praj.g_00554	Syal.g_02795
OG0000567	Praj.g_00558	Syal.g_02791
OG0000568	Praj.g_00559	Syal.g_02789
OG0000569	Praj.g_00560	Syal.g_02788
OG0000570	Praj.g_00561	Syal.g_02787
OG0000571	Praj.g_00563	Syal.g_02784
OG0000572	Praj.g_00574	Syal.g_02767
OG0000573	Praj.g_00579	Syal.g_02759
OG0000574	Praj.g_00581	Syal.g_02758
OG0000575	Praj.g_00584	Syal.g_02753
OG0000576	Praj.g_00586	Syal.g_02751
OG0000577	Praj.g_00587	Syal.g_02750
OG0000578	Praj.g_00588	Syal.g_02749
OG0000579	Praj.g_00589	Syal.g_02748
