Orthogroup	Praj	Syap
OG0000103	Praj.g_02135	Syap.g_02607, Syap.g_02608
OG0000104	Praj.g_02145	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Praj.g_00310	Syap.g_01369, Syap.g_01368
OG0000107	Praj.g_01869	Syap.g_02496
OG0000108	Praj.g_00473	Syap.g_00733, Syap.g_02255
OG0000109	Praj.g_00486	Syap.g_00279, Syap.g_02237
OG0000110	Praj.g_00565	Syap.g_01313
OG0000111	Praj.g_00692	Syap.g_01566, Syap.g_01568
OG0000112	Praj.g_00938	Syap.g_02023
OG0000113	Praj.g_00793, Praj.g_01176	Syap.g_02714
OG0000114	Praj.g_00887	Syap.g_01255
OG0000115	Praj.g_01725	Syap.g_02004
OG0000116	Praj.g_01471	Syap.g_00241
OG0000117	Praj.g_01355	Syap.g_01889
OG0000118	Praj.g_01540	Syap.g_02286
OG0000120	Praj.g_00664	Syap.g_02075
OG0000121	Praj.g_01634	Syap.g_02471
OG0000123	Praj.g_01959	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Praj.g_02031	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Praj.g_02091	Syap.g_01046, Syap.g_01047
OG0000126	Praj.g_02144	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000128	Praj.g_00011	Syap.g_00069
OG0000129	Praj.g_00048	Syap.g_00130, Syap.g_00129
OG0000130	Praj.g_00107	Syap.g_01688, Syap.g_01689
OG0000131	Praj.g_00185	Syap.g_02189
OG0000132	Praj.g_00204	Syap.g_01205
OG0000133	Praj.g_00357	Syap.g_02017
OG0000134	Praj.g_00405	Syap.g_02047
OG0000135	Praj.g_01279	Syap.g_02090
OG0000136	Praj.g_00435	Syap.g_00089
OG0000137	Praj.g_00467	Syap.g_02756
OG0000138	Praj.g_00487	Syap.g_00278
OG0000139	Praj.g_00528	Syap.g_00410
OG0000140	Praj.g_00529	Syap.g_01976
OG0000141	Praj.g_00595	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Praj.g_00623	Syap.g_00895, Syap.g_00894
OG0000143	Praj.g_00627	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Praj.g_00640	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Praj.g_01054	Syap.g_01860, Syap.g_01859
OG0000146	Praj.g_00937	Syap.g_02024
OG0000147	Praj.g_00936	Syap.g_02025
OG0000148	Praj.g_00787	Syap.g_02720
OG0000149	Praj.g_00819	Syap.g_00824
OG0000150	Praj.g_00828	Syap.g_01540
OG0000151	Praj.g_00898	Syap.g_00142
OG0000152	Praj.g_01601, Praj.g_00946	Syap.g_02012
OG0000153	Praj.g_00965	Syap.g_02682
OG0000154	Praj.g_00995	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Praj.g_01440	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Praj.g_01517	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Praj.g_01518	Syap.g_00249, Syap.g_00286
OG0000158	Praj.g_01995	Syap.g_01075
OG0000159	Praj.g_02043, Praj.g_02035	Syap.g_00852
OG0000160	Praj.g_01633	Syap.g_02470, Syap.g_02469
OG0000161	Praj.g_01639	Syap.g_02476
OG0000162	Praj.g_01645	Syap.g_02531
OG0000164	Praj.g_01790	Syap.g_01391, Syap.g_01392
OG0000165	Praj.g_01798	Syap.g_01381, Syap.g_01382
OG0000166	Praj.g_01915	Syap.g_00512, Syap.g_01238
OG0000167	Praj.g_01985	Syap.g_02080
OG0000168	Praj.g_01996	Syap.g_01076
OG0000169	Praj.g_02006	Syap.g_01049, Syap.g_01093
OG0000170	Praj.g_02008	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Praj.g_02030	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Praj.g_02061	Syap.g_01143, Syap.g_00635
OG0000173	Praj.g_02076	Syap.g_00982, Syap.g_00983
OG0000174	Praj.g_02107	Syap.g_02092
OG0000175	Praj.g_02125	Syap.g_02654
OG0000176	Praj.g_00004	Syap.g_00059
OG0000177	Praj.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Praj.g_00006	Syap.g_00062
OG0000179	Praj.g_00016	Syap.g_00077, Syap.g_02638
OG0000180	Praj.g_00017	Syap.g_00078, Syap.g_02640
OG0000181	Praj.g_00018	Syap.g_00079, Syap.g_02641
OG0000182	Praj.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Praj.g_00023	Syap.g_00084
OG0000184	Praj.g_00050	Syap.g_01337
OG0000185	Praj.g_00053	Syap.g_01322
OG0000186	Praj.g_00102	Syap.g_01684
OG0000187	Praj.g_00103	Syap.g_01686
OG0000188	Praj.g_00120	Syap.g_02547
OG0000191	Praj.g_00158	Syap.g_02233
OG0000192	Praj.g_00162	Syap.g_02224
OG0000193	Praj.g_00186	Syap.g_02187, Syap.g_02188
OG0000194	Praj.g_00189	Syap.g_02183
OG0000195	Praj.g_00191	Syap.g_02180
OG0000196	Praj.g_00201	Syap.g_01208, Syap.g_02167
OG0000197	Praj.g_00202	Syap.g_01207, Syap.g_02166
OG0000198	Praj.g_00203	Syap.g_01206
OG0000199	Praj.g_00210	Syap.g_01197
OG0000200	Praj.g_00223	Syap.g_01181
OG0000201	Praj.g_00232	Syap.g_02265
OG0000202	Praj.g_00233	Syap.g_02264
OG0000203	Praj.g_00234	Syap.g_01601
OG0000204	Praj.g_00235	Syap.g_01602
OG0000205	Praj.g_00242	Syap.g_01616
OG0000206	Praj.g_00246	Syap.g_01628
OG0000207	Praj.g_00248	Syap.g_01426, Syap.g_00424
OG0000208	Praj.g_00249	Syap.g_00426, Syap.g_01425
OG0000209	Praj.g_00258	Syap.g_01906
OG0000210	Praj.g_00259	Syap.g_01905
OG0000211	Praj.g_00273	Syap.g_01160
OG0000212	Praj.g_00281	Syap.g_02664
OG0000213	Praj.g_00296	Syap.g_00107, Syap.g_01599
OG0000214	Praj.g_00304	Syap.g_02344, Syap.g_02345
OG0000215	Praj.g_00328	Syap.g_01347, Syap.g_01629
OG0000216	Praj.g_00329	Syap.g_01634
OG0000217	Praj.g_00332	Syap.g_01638
OG0000218	Praj.g_00334	Syap.g_01641, Syap.g_01640
OG0000219	Praj.g_00335	Syap.g_01642, Syap.g_01643
OG0000220	Praj.g_00336	Syap.g_01645
OG0000221	Praj.g_00337	Syap.g_01646
OG0000222	Praj.g_00345	Syap.g_01669
OG0000223	Praj.g_00358	Syap.g_02072, Syap.g_02073
OG0000224	Praj.g_00360	Syap.g_02064
OG0000225	Praj.g_00391	Syap.g_00553, Syap.g_00552
OG0000226	Praj.g_00395	Syap.g_02029, Syap.g_02144
OG0000227	Praj.g_00397	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Praj.g_00402	Syap.g_00116, Syap.g_02041
OG0000229	Praj.g_00430	Syap.g_02059
OG0000230	Praj.g_00432	Syap.g_02061
OG0000231	Praj.g_00443	Syap.g_02533
OG0000232	Praj.g_00451	Syap.g_02510, Syap.g_02511
OG0000233	Praj.g_00459	Syap.g_02133
OG0000234	Praj.g_00468	Syap.g_02755
OG0000235	Praj.g_00472	Syap.g_00732, Syap.g_02258
OG0000236	Praj.g_00485	Syap.g_02238
OG0000237	Praj.g_00498	Syap.g_00262, Syap.g_00263
OG0000238	Praj.g_00504	Syap.g_00257, Syap.g_00258
OG0000239	Praj.g_00516	Syap.g_02744
OG0000240	Praj.g_00517	Syap.g_02742
OG0000241	Praj.g_00521	Syap.g_00888
OG0000242	Praj.g_00523	Syap.g_01455
OG0000243	Praj.g_00534	Syap.g_01938
OG0000244	Praj.g_00537	Syap.g_01146, Syap.g_01145
OG0000245	Praj.g_00539	Syap.g_01148
OG0000246	Praj.g_00543	Syap.g_00308
OG0000247	Praj.g_00553	Syap.g_00288, Syap.g_00293
OG0000248	Praj.g_00555	Syap.g_00290
OG0000249	Praj.g_00557	Syap.g_01296, Syap.g_01295
OG0000250	Praj.g_00562	Syap.g_01306
OG0000251	Praj.g_00578	Syap.g_00442
OG0000252	Praj.g_00580	Syap.g_01857
OG0000253	Praj.g_00582	Syap.g_00443
OG0000254	Praj.g_00599	Syap.g_01527, Syap.g_01528
OG0000256	Praj.g_00615	Syap.g_01287
OG0000257	Praj.g_00618	Syap.g_00886
OG0000258	Praj.g_00631	Syap.g_00907
OG0000260	Praj.g_00651	Syap.g_01970
OG0000261	Praj.g_00654	Syap.g_01962, Syap.g_01961
OG0000262	Praj.g_00659	Syap.g_01954
OG0000263	Praj.g_00673	Syap.g_00432, Syap.g_00433
OG0000266	Praj.g_00708	Syap.g_00519
OG0000267	Praj.g_00721	Syap.g_02333, Syap.g_02332
OG0000268	Praj.g_00722	Syap.g_00646
OG0000269	Praj.g_00764	Syap.g_00188
OG0000270	Praj.g_00767	Syap.g_00192
OG0000271	Praj.g_00775	Syap.g_00200, Syap.g_00201
OG0000272	Praj.g_00776	Syap.g_00202
OG0000273	Praj.g_00801	Syap.g_02703
OG0000274	Praj.g_00802	Syap.g_02702
OG0000275	Praj.g_00804	Syap.g_01847
OG0000276	Praj.g_00810	Syap.g_01838, Syap.g_01839
OG0000277	Praj.g_00811	Syap.g_01837
OG0000278	Praj.g_00815	Syap.g_01834
OG0000279	Praj.g_00822	Syap.g_00829, Syap.g_00830
OG0000280	Praj.g_01326	Syap.g_00365
OG0000281	Praj.g_00829	Syap.g_01977
OG0000282	Praj.g_00889	Syap.g_01252
OG0000283	Praj.g_00920	Syap.g_01728
OG0000284	Praj.g_00925	Syap.g_01736
OG0000285	Praj.g_00930	Syap.g_01746, Syap.g_01744
OG0000286	Praj.g_00945	Syap.g_02014, Syap.g_02013
OG0000288	Praj.g_00994	Syap.g_02764, Syap.g_02763
OG0000289	Praj.g_01005	Syap.g_02784
OG0000290	Praj.g_01021	Syap.g_01552
OG0000292	Praj.g_01196	Syap.g_02314
OG0000293	Praj.g_01470	Syap.g_00240
OG0000294	Praj.g_01469	Syap.g_00239
OG0000295	Praj.g_01447	Syap.g_00206
OG0000296	Praj.g_01445	Syap.g_00204
OG0000299	Praj.g_01417	Syap.g_02620
OG0000302	Praj.g_01410	Syap.g_02444, Syap.g_02445
OG0000303	Praj.g_01405	Syap.g_02435
OG0000304	Praj.g_01402	Syap.g_02430
OG0000305	Praj.g_01734	Syap.g_01557
OG0000306	Praj.g_00833	Syap.g_01966
OG0000307	Praj.g_01584	Syap.g_02517
OG0000308	Praj.g_01585	Syap.g_02514, Syap.g_02515
OG0000309	Praj.g_01589	Syap.g_02198, Syap.g_02446
OG0000310	Praj.g_01616	Syap.g_02660, Syap.g_02661
OG0000311	Praj.g_01618	Syap.g_02657
OG0000312	Praj.g_01621	Syap.g_02114
OG0000313	Praj.g_01636	Syap.g_02473
OG0000315	Praj.g_01667	Syap.g_00017
OG0000316	Praj.g_01692	Syap.g_00030
OG0000317	Praj.g_01766	Syap.g_00618
OG0000318	Praj.g_01769	Syap.g_00622, Syap.g_02786
OG0000319	Praj.g_01780	Syap.g_01764, Syap.g_01771
OG0000320	Praj.g_01782	Syap.g_01761, Syap.g_01769
OG0000321	Praj.g_01783	Syap.g_01760, Syap.g_01768
OG0000322	Praj.g_01784	Syap.g_01759, Syap.g_01767
OG0000323	Praj.g_01793	Syap.g_01389
OG0000324	Praj.g_01820	Syap.g_01503
OG0000325	Praj.g_01870	Syap.g_02680
OG0000326	Praj.g_01876	Syap.g_00544
OG0000327	Praj.g_01910	Syap.g_01233, Syap.g_01913
OG0000328	Praj.g_01911	Syap.g_01234, Syap.g_01912
OG0000329	Praj.g_01928	Syap.g_00498
OG0000330	Praj.g_01929	Syap.g_00497
OG0000331	Praj.g_01930	Syap.g_00496
OG0000332	Praj.g_01944	Syap.g_00481
OG0000333	Praj.g_01946	Syap.g_00478
OG0000334	Praj.g_01955	Syap.g_00468
OG0000335	Praj.g_01960	Syap.g_00101, Syap.g_00463
OG0000336	Praj.g_01964	Syap.g_00417, Syap.g_00607
OG0000337	Praj.g_01982	Syap.g_01054
OG0000338	Praj.g_01983	Syap.g_01059
OG0000339	Praj.g_01988	Syap.g_01068
OG0000340	Praj.g_01997	Syap.g_01077
OG0000341	Praj.g_01999	Syap.g_01079
OG0000342	Praj.g_02000	Syap.g_01080, Syap.g_02477
OG0000343	Praj.g_02001	Syap.g_01086, Syap.g_02078
OG0000344	Praj.g_02004	Syap.g_01091
OG0000345	Praj.g_02009	Syap.g_01107, Syap.g_01470
OG0000346	Praj.g_02013	Syap.g_01113
OG0000347	Praj.g_02034	Syap.g_01131, Syap.g_02459
OG0000348	Praj.g_02064	Syap.g_00632
OG0000349	Praj.g_02082	Syap.g_00110, Syap.g_01813
OG0000351	Praj.g_02128	Syap.g_02594
OG0000352	Praj.g_02129	Syap.g_02596, Syap.g_02597
OG0000353	Praj.g_02148	Syap.g_00054
OG0000355	Praj.g_00001	Syap.g_00056
OG0000356	Praj.g_00002	Syap.g_00057
OG0000357	Praj.g_00003	Syap.g_00058
OG0000358	Praj.g_00007	Syap.g_00063
OG0000359	Praj.g_00008	Syap.g_00065
OG0000360	Praj.g_00009	Syap.g_00067
OG0000361	Praj.g_00010	Syap.g_00068
OG0000362	Praj.g_00012	Syap.g_00070
OG0000363	Praj.g_00014	Syap.g_00072
OG0000364	Praj.g_00015	Syap.g_00620
OG0000365	Praj.g_00020	Syap.g_00081
OG0000366	Praj.g_00021	Syap.g_00082
OG0000367	Praj.g_00022	Syap.g_00083
OG0000368	Praj.g_00024	Syap.g_00085
OG0000369	Praj.g_00025	Syap.g_00086
OG0000370	Praj.g_00026	Syap.g_00087
OG0000372	Praj.g_00034	Syap.g_01805
OG0000373	Praj.g_00035	Syap.g_01806
OG0000374	Praj.g_00036	Syap.g_01807
OG0000375	Praj.g_00044	Syap.g_01808
OG0000376	Praj.g_00046	Syap.g_01811
OG0000377	Praj.g_00049	Syap.g_00128
OG0000378	Praj.g_00051	Syap.g_01326
OG0000380	Praj.g_00104	Syap.g_01687
OG0000381	Praj.g_00108	Syap.g_01690
OG0000382	Praj.g_00119	Syap.g_02548
OG0000383	Praj.g_00121	Syap.g_02359
OG0000384	Praj.g_00122	Syap.g_02360
OG0000385	Praj.g_00123	Syap.g_02361
OG0000386	Praj.g_00124	Syap.g_02362
OG0000387	Praj.g_00137	Syap.g_01864
OG0000391	Praj.g_00157	Syap.g_02234
OG0000392	Praj.g_00160	Syap.g_02225
OG0000393	Praj.g_00163	Syap.g_02222
OG0000394	Praj.g_00164	Syap.g_02221
OG0000395	Praj.g_00165	Syap.g_02220
OG0000396	Praj.g_00168	Syap.g_02217
OG0000397	Praj.g_00170	Syap.g_02215
OG0000398	Praj.g_00173	Syap.g_02211
OG0000399	Praj.g_00174	Syap.g_02210
OG0000400	Praj.g_00175	Syap.g_02209
OG0000401	Praj.g_00176	Syap.g_02208
OG0000402	Praj.g_01057	Syap.g_02206
OG0000403	Praj.g_00177	Syap.g_02205
OG0000404	Praj.g_00178	Syap.g_02204, Syap.g_02618
OG0000405	Praj.g_00183	Syap.g_02191
OG0000406	Praj.g_00187	Syap.g_02186
OG0000407	Praj.g_00188	Syap.g_02185
OG0000408	Praj.g_00190	Syap.g_02181, Syap.g_02182
OG0000409	Praj.g_00192	Syap.g_02179
OG0000410	Praj.g_00193	Syap.g_02178
OG0000411	Praj.g_00194	Syap.g_02177
OG0000412	Praj.g_00195	Syap.g_02176
OG0000413	Praj.g_00196	Syap.g_02174
OG0000414	Praj.g_00197	Syap.g_02173
OG0000415	Praj.g_00198	Syap.g_02172
OG0000416	Praj.g_00199	Syap.g_02171
OG0000417	Praj.g_00200	Syap.g_02169
OG0000418	Praj.g_00205	Syap.g_01204
OG0000419	Praj.g_00207	Syap.g_01201
OG0000420	Praj.g_00208	Syap.g_01199
OG0000421	Praj.g_00212	Syap.g_01195
OG0000422	Praj.g_00213	Syap.g_01194
OG0000423	Praj.g_00214	Syap.g_01193
OG0000424	Praj.g_00215	Syap.g_01192
OG0000425	Praj.g_00216	Syap.g_01191
OG0000426	Praj.g_00217	Syap.g_01190
OG0000427	Praj.g_00218	Syap.g_01189
OG0000428	Praj.g_00220	Syap.g_01186
OG0000429	Praj.g_00221	Syap.g_01184
OG0000430	Praj.g_00222	Syap.g_01182
OG0000431	Praj.g_00224	Syap.g_01179
OG0000432	Praj.g_00228	Syap.g_02277
OG0000433	Praj.g_00229	Syap.g_02272
OG0000434	Praj.g_00230	Syap.g_02271
OG0000435	Praj.g_00231	Syap.g_02268
OG0000436	Praj.g_00236	Syap.g_01607
OG0000437	Praj.g_00237	Syap.g_01608
OG0000438	Praj.g_00238	Syap.g_01612
OG0000439	Praj.g_00240	Syap.g_01614
OG0000440	Praj.g_00241	Syap.g_01615
OG0000441	Praj.g_00243	Syap.g_01619
OG0000442	Praj.g_00244	Syap.g_01620
OG0000443	Praj.g_00245	Syap.g_01622
OG0000444	Praj.g_00250	Syap.g_01424
OG0000445	Praj.g_00251	Syap.g_01421
OG0000446	Praj.g_00252	Syap.g_01419
OG0000447	Praj.g_00253	Syap.g_01410
OG0000448	Praj.g_00254	Syap.g_01407
OG0000449	Praj.g_00255	Syap.g_01406
OG0000450	Praj.g_00256	Syap.g_01909
OG0000451	Praj.g_00257	Syap.g_01908
OG0000452	Praj.g_00260	Syap.g_01904
OG0000453	Praj.g_00261	Syap.g_01903
OG0000454	Praj.g_00262	Syap.g_01902
OG0000455	Praj.g_00263	Syap.g_01901
OG0000456	Praj.g_00264	Syap.g_01900
OG0000457	Praj.g_00265	Syap.g_01896
OG0000458	Praj.g_00266	Syap.g_01895
OG0000459	Praj.g_00267	Syap.g_01894
OG0000460	Praj.g_00275	Syap.g_01159
OG0000461	Praj.g_00283	Syap.g_01575
OG0000462	Praj.g_00285	Syap.g_01578
OG0000463	Praj.g_00286	Syap.g_01579
OG0000464	Praj.g_00287	Syap.g_01580
OG0000465	Praj.g_00288	Syap.g_01582
OG0000466	Praj.g_00289	Syap.g_01587
OG0000467	Praj.g_00290	Syap.g_01588
OG0000468	Praj.g_00292	Syap.g_01593
OG0000469	Praj.g_00299	Syap.g_02352
OG0000470	Praj.g_00301	Syap.g_02349
OG0000471	Praj.g_00302	Syap.g_02348
OG0000472	Praj.g_00303	Syap.g_02347
OG0000473	Praj.g_00305	Syap.g_02343
OG0000474	Praj.g_00306	Syap.g_02342
OG0000475	Praj.g_00307	Syap.g_02341
OG0000476	Praj.g_00309	Syap.g_02339
OG0000477	Praj.g_00311	Syap.g_01367
OG0000478	Praj.g_00312	Syap.g_01366
OG0000479	Praj.g_00313	Syap.g_01364
OG0000480	Praj.g_00318	Syap.g_01357
OG0000482	Praj.g_00321	Syap.g_01355
OG0000483	Praj.g_00324	Syap.g_01344
OG0000484	Praj.g_00325	Syap.g_01350
OG0000485	Praj.g_00326	Syap.g_01349
OG0000487	Praj.g_00330	Syap.g_01635
OG0000488	Praj.g_00333	Syap.g_01639
OG0000489	Praj.g_00338	Syap.g_02482
OG0000490	Praj.g_00343	Syap.g_01673
OG0000491	Praj.g_00344	Syap.g_01670
OG0000492	Praj.g_00346	Syap.g_01668
OG0000493	Praj.g_00347	Syap.g_01667
OG0000494	Praj.g_00348	Syap.g_01666
OG0000495	Praj.g_00349	Syap.g_01665
OG0000496	Praj.g_00350	Syap.g_01663
OG0000497	Praj.g_00351	Syap.g_01662
OG0000498	Praj.g_00352	Syap.g_01661
OG0000499	Praj.g_00353	Syap.g_01660
OG0000500	Praj.g_00354	Syap.g_01659
OG0000501	Praj.g_00356	Syap.g_01656
OG0000502	Praj.g_00359	Syap.g_02066
OG0000503	Praj.g_00380	Syap.g_00569
OG0000504	Praj.g_00382	Syap.g_00567
OG0000505	Praj.g_00383	Syap.g_00566
OG0000506	Praj.g_00384	Syap.g_00564
OG0000507	Praj.g_00387	Syap.g_00558
OG0000508	Praj.g_00390	Syap.g_00554
OG0000509	Praj.g_00392	Syap.g_00551
OG0000510	Praj.g_00393	Syap.g_00550
OG0000511	Praj.g_00394	Syap.g_00548
OG0000512	Praj.g_00396	Syap.g_02145
OG0000513	Praj.g_00406	Syap.g_02048
OG0000514	Praj.g_00425	Syap.g_02051
OG0000515	Praj.g_00426	Syap.g_02052
OG0000516	Praj.g_00427	Syap.g_02054
OG0000517	Praj.g_00429	Syap.g_02057
OG0000519	Praj.g_00441	Syap.g_00457
OG0000520	Praj.g_00442	Syap.g_00456
OG0000521	Praj.g_00447	Syap.g_01997
OG0000522	Praj.g_00449	Syap.g_01995
OG0000523	Praj.g_00450	Syap.g_02507
OG0000524	Praj.g_00457	Syap.g_02135
OG0000525	Praj.g_00461	Syap.g_02159
OG0000526	Praj.g_00462	Syap.g_02157
OG0000527	Praj.g_00465	Syap.g_02758
OG0000528	Praj.g_00471	Syap.g_02261
OG0000529	Praj.g_00474	Syap.g_02254
OG0000530	Praj.g_00477	Syap.g_02252
OG0000531	Praj.g_00478	Syap.g_02251
OG0000532	Praj.g_00479	Syap.g_02247
OG0000533	Praj.g_00480	Syap.g_02244
OG0000534	Praj.g_00481	Syap.g_02243
OG0000535	Praj.g_00482	Syap.g_02242
OG0000536	Praj.g_00483	Syap.g_02241
OG0000537	Praj.g_00484	Syap.g_02240
OG0000538	Praj.g_00492	Syap.g_00271
OG0000539	Praj.g_00493	Syap.g_00270
OG0000540	Praj.g_00494	Syap.g_00269
OG0000541	Praj.g_00495	Syap.g_00268
OG0000542	Praj.g_00497	Syap.g_00264
OG0000543	Praj.g_00499	Syap.g_00261
OG0000544	Praj.g_00500	Syap.g_00260
OG0000545	Praj.g_00502	Syap.g_00259
OG0000546	Praj.g_00505	Syap.g_00256
OG0000547	Praj.g_00507	Syap.g_00254
OG0000548	Praj.g_00508	Syap.g_00253
OG0000549	Praj.g_00511	Syap.g_00758
OG0000550	Praj.g_00515	Syap.g_02747
OG0000551	Praj.g_00518	Syap.g_02739
OG0000552	Praj.g_00519	Syap.g_02738
OG0000553	Praj.g_00520	Syap.g_02735
OG0000554	Praj.g_00525	Syap.g_01450
OG0000555	Praj.g_00533	Syap.g_01941
OG0000556	Praj.g_00535	Syap.g_01933
OG0000557	Praj.g_00536	Syap.g_01931
OG0000558	Praj.g_00538	Syap.g_01147
OG0000560	Praj.g_00545	Syap.g_00305
OG0000561	Praj.g_00546	Syap.g_00304
OG0000562	Praj.g_00547	Syap.g_00302
OG0000563	Praj.g_00548	Syap.g_00301
OG0000564	Praj.g_00549	Syap.g_00300
OG0000565	Praj.g_00552	Syap.g_00296
OG0000566	Praj.g_00554	Syap.g_00291
OG0000567	Praj.g_00558	Syap.g_01297
OG0000568	Praj.g_00559	Syap.g_01302
OG0000569	Praj.g_00560	Syap.g_01303
OG0000570	Praj.g_00561	Syap.g_01304
OG0000571	Praj.g_00563	Syap.g_01307
OG0000573	Praj.g_00579	Syap.g_00765
OG0000574	Praj.g_00581	Syap.g_00759
OG0000575	Praj.g_00584	Syap.g_00445
OG0000576	Praj.g_00586	Syap.g_00450
OG0000577	Praj.g_00587	Syap.g_00451
OG0000578	Praj.g_00588	Syap.g_00452
OG0000579	Praj.g_00589	Syap.g_00453
OG0000580	Praj.g_00590	Syap.g_00454
OG0000581	Praj.g_00593	Syap.g_01521
OG0000582	Praj.g_00596	Syap.g_01533
OG0000583	Praj.g_00597	Syap.g_01532
OG0000584	Praj.g_00598	Syap.g_01530
OG0000585	Praj.g_00600	Syap.g_01526
OG0000586	Praj.g_00601	Syap.g_01525
OG0000587	Praj.g_00602	Syap.g_01523
OG0000588	Praj.g_00606	Syap.g_00776
OG0000589	Praj.g_00609	Syap.g_00941
OG0000590	Praj.g_00610	Syap.g_00940
OG0000591	Praj.g_00613	Syap.g_01289
OG0000592	Praj.g_00614	Syap.g_01288
OG0000593	Praj.g_00620	Syap.g_00890
OG0000594	Praj.g_00621	Syap.g_00891
OG0000595	Praj.g_00622	Syap.g_00892
OG0000596	Praj.g_00626	Syap.g_00898
OG0000597	Praj.g_00628	Syap.g_00903
OG0000598	Praj.g_00629	Syap.g_00904
OG0000599	Praj.g_00632	Syap.g_00908
OG0000600	Praj.g_00633	Syap.g_00909
OG0000601	Praj.g_00634	Syap.g_00910
OG0000602	Praj.g_00636	Syap.g_00640
OG0000603	Praj.g_00637	Syap.g_00641
OG0000604	Praj.g_00638	Syap.g_02769
