Orthogroup	Syao	Syaj
OG0000066	Syao.g_01422	Syaj.g_00157
OG0000067	Syao.g_00756	Syaj.g_01023
OG0000068	Syao.g_00868, Syao.g_00036	Syaj.g_00059
OG0000070	Syao.g_00330	Syaj.g_01529
OG0000071	Syao.g_01433	Syaj.g_01511
OG0000072	Syao.g_02509	Syaj.g_01992
OG0000073	Syao.g_00103	Syaj.g_00093
OG0000075	Syao.g_02257	Syaj.g_02457
OG0000076	Syao.g_01949	Syaj.g_02417
OG0000077	Syao.g_02629	Syaj.g_01831
OG0000078	Syao.g_01709	Syaj.g_02880
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syaj.g_02609
OG0000082	Syao.g_01035	Syaj.g_00229
OG0000084	Syao.g_01509	Syaj.g_01375
OG0000085	Syao.g_01569	Syaj.g_01707
OG0000086	Syao.g_02653, Syao.g_01240	Syaj.g_01848
OG0000087	Syao.g_02555	Syaj.g_01945
OG0000088	Syao.g_02503	Syaj.g_01986
OG0000089	Syao.g_01716	Syaj.g_02829, Syaj.g_01915
OG0000090	Syao.g_01412	Syaj.g_00144
OG0000091	Syao.g_00902	Syaj.g_01275
OG0000092	Syao.g_00656	Syaj.g_00339
OG0000093	Syao.g_00739	Syaj.g_01042
OG0000094	Syao.g_00458	Syaj.g_00804
OG0000095	Syao.g_00331	Syaj.g_00427
OG0000098	Syao.g_01374	Syaj.g_02671
OG0000099	Syao.g_02019	Syaj.g_02503
OG0000100	Syao.g_00787	Syaj.g_00987
OG0000102	Syao.g_01945	Syaj.g_02411
OG0000104	Syao.g_02157	Syaj.g_02258
OG0000105	Syao.g_02071, Syao.g_02072	Syaj.g_02573
OG0000106	Syao.g_01385	Syaj.g_01130
OG0000107	Syao.g_01935	Syaj.g_02637
OG0000108	Syao.g_00028	Syaj.g_00072
OG0000110	Syao.g_01051	Syaj.g_00215
OG0000111	Syao.g_00378	Syaj.g_00437
OG0000112	Syao.g_00683, Syao.g_00303	Syaj.g_00907
OG0000113	Syao.g_00782	Syaj.g_00992
OG0000114	Syao.g_00965	Syaj.g_00741
OG0000115	Syao.g_01464, Syao.g_00065	Syaj.g_01402
OG0000116	Syao.g_00137	Syaj.g_00289
OG0000117	Syao.g_00169	Syaj.g_00637
OG0000118	Syao.g_01475	Syaj.g_00267
OG0000120	Syao.g_02009	Syaj.g_02502
OG0000121	Syao.g_01489	Syaj.g_01383
OG0000122	Syao.g_01247	Syaj.g_01250
OG0000123	Syao.g_01832	Syaj.g_02745
OG0000124	Syao.g_02179	Syaj.g_02388
OG0000125	Syao.g_02444	Syaj.g_02117
OG0000126	Syao.g_02198	Syaj.g_02256
OG0000127	Syao.g_02375	Syaj.g_00036
OG0000128	Syao.g_02149	Syaj.g_02274
OG0000129	Syao.g_02434	Syaj.g_02106
OG0000130	Syao.g_02617	Syaj.g_01818
OG0000131	Syao.g_02480	Syaj.g_01964
OG0000132	Syao.g_02501	Syaj.g_01984
OG0000133	Syao.g_00678	Syaj.g_00902
OG0000134	Syao.g_01719	Syaj.g_02832
OG0000135	Syao.g_00147	Syaj.g_02167
OG0000136	Syao.g_01614, Syao.g_01613	Syaj.g_01550
OG0000137	Syao.g_02682	Syaj.g_01444
OG0000138	Syao.g_00108	Syaj.g_00088, Syaj.g_02631
OG0000139	Syao.g_01418	Syaj.g_00150
OG0000140	Syao.g_01373, Syao.g_01372	Syaj.g_00153
OG0000141	Syao.g_01202	Syaj.g_01340
OG0000142	Syao.g_00894	Syaj.g_01283
OG0000143	Syao.g_00898	Syaj.g_01279
OG0000145	Syao.g_00102	Syaj.g_00094
OG0000146	Syao.g_00684, Syao.g_00304	Syaj.g_00908
OG0000147	Syao.g_00305, Syao.g_00685	Syaj.g_00909
OG0000148	Syao.g_00776	Syaj.g_01003
OG0000149	Syao.g_00534	Syaj.g_00369
OG0000150	Syao.g_01203	Syaj.g_01339, Syaj.g_00154
OG0000151	Syao.g_00975	Syaj.g_01074
OG0000152	Syao.g_00674	Syaj.g_00898
OG0000153	Syao.g_00818, Syao.g_01176	Syaj.g_00842
OG0000154	Syao.g_00447	Syaj.g_00814
OG0000155	Syao.g_00178	Syaj.g_00338
OG0000156	Syao.g_00151	Syaj.g_00282
OG0000157	Syao.g_00152	Syaj.g_00281
OG0000158	Syao.g_01141, Syao.g_02267	Syaj.g_02445
OG0000160	Syao.g_01488	Syaj.g_01382
OG0000161	Syao.g_01494	Syaj.g_01389
OG0000162	Syao.g_01515	Syaj.g_01395
OG0000163	Syao.g_01745	Syaj.g_01639
OG0000164	Syao.g_01663	Syaj.g_01758
OG0000165	Syao.g_01655	Syaj.g_01582
OG0000166	Syao.g_01790	Syaj.g_02698
OG0000167	Syao.g_01960	Syaj.g_02460
OG0000168	Syao.g_02128	Syaj.g_02444
OG0000169	Syao.g_02139	Syaj.g_02431, Syaj.g_02429
OG0000170	Syao.g_02148	Syaj.g_02422
OG0000171	Syao.g_02181	Syaj.g_02389
OG0000172	Syao.g_02170	Syaj.g_02365
OG0000173	Syao.g_02212	Syaj.g_02321
OG0000174	Syao.g_02364, Syao.g_02355	Syaj.g_02169
OG0000175	Syao.g_02327, Syao.g_00308	Syaj.g_02229
OG0000176	Syao.g_02165	Syaj.g_02266
OG0000177	Syao.g_02156	Syaj.g_02267
OG0000178	Syao.g_02155	Syaj.g_02268
OG0000179	Syao.g_02250	Syaj.g_02283
OG0000180	Syao.g_02249	Syaj.g_02284
OG0000181	Syao.g_02248	Syaj.g_02285
OG0000182	Syao.g_02247	Syaj.g_02286
OG0000183	Syao.g_02243	Syaj.g_02290
OG0000184	Syao.g_02423	Syaj.g_02098
OG0000185	Syao.g_02410	Syaj.g_02087
OG0000186	Syao.g_02613	Syaj.g_01812
OG0000187	Syao.g_02615	Syaj.g_01814
OG0000188	Syao.g_02637	Syaj.g_01837
OG0000189	Syao.g_02672	Syaj.g_01874
OG0000190	Syao.g_01015	Syaj.g_01876
OG0000191	Syao.g_02573	Syaj.g_01910
OG0000192	Syao.g_02579	Syaj.g_01919
OG0000193	Syao.g_02481	Syaj.g_01965
OG0000194	Syao.g_02484	Syaj.g_01968
OG0000196	Syao.g_02498	Syaj.g_01981
OG0000197	Syao.g_02499	Syaj.g_01982
OG0000198	Syao.g_02500	Syaj.g_01983
OG0000199	Syao.g_02508	Syaj.g_01991
OG0000200	Syao.g_02524	Syaj.g_02008
OG0000201	Syao.g_02540	Syaj.g_02024
OG0000202	Syao.g_02454	Syaj.g_02025
OG0000203	Syao.g_02455	Syaj.g_02026
OG0000204	Syao.g_02456	Syaj.g_02027
OG0000205	Syao.g_02464	Syaj.g_02035
OG0000206	Syao.g_02469	Syaj.g_02043
OG0000207	Syao.g_02471	Syaj.g_02045
OG0000208	Syao.g_02472	Syaj.g_02046
OG0000209	Syao.g_02394	Syaj.g_02070
OG0000210	Syao.g_02395	Syaj.g_02071
OG0000211	Syao.g_01700	Syaj.g_02856
OG0000212	Syao.g_01710	Syaj.g_02881
OG0000213	Syao.g_02098	Syaj.g_02601
OG0000214	Syao.g_02081	Syaj.g_02582
OG0000215	Syao.g_02050	Syaj.g_02551
OG0000216	Syao.g_02045	Syaj.g_02547
OG0000217	Syao.g_02041	Syaj.g_02543
OG0000218	Syao.g_02039	Syaj.g_02541
OG0000219	Syao.g_02038	Syaj.g_02540
OG0000220	Syao.g_02037	Syaj.g_02539
OG0000221	Syao.g_02034	Syaj.g_02530
OG0000222	Syao.g_02023	Syaj.g_02516
OG0000223	Syao.g_00291	Syaj.g_02494
OG0000224	Syao.g_01973	Syaj.g_02487
OG0000225	Syao.g_01751	Syaj.g_02821
OG0000226	Syao.g_01758	Syaj.g_02825
OG0000227	Syao.g_01760	Syaj.g_02827
OG0000228	Syao.g_01715	Syaj.g_02828
OG0000229	Syao.g_01736	Syaj.g_01555
OG0000230	Syao.g_01738	Syaj.g_01553
OG0000232	Syao.g_00057	Syaj.g_01497
OG0000233	Syao.g_02698	Syaj.g_01481
OG0000234	Syao.g_02680	Syaj.g_01442
OG0000235	Syao.g_00029	Syaj.g_00071
OG0000236	Syao.g_00111	Syaj.g_00086
OG0000237	Syao.g_00166	Syaj.g_00103
OG0000238	Syao.g_00161	Syaj.g_00108
OG0000239	Syao.g_01398	Syaj.g_00125
OG0000240	Syao.g_01399	Syaj.g_00126
OG0000241	Syao.g_00887	Syaj.g_01291
OG0000242	Syao.g_01410	Syaj.g_00142
OG0000243	Syao.g_00873	Syaj.g_00164
OG0000244	Syao.g_00865	Syaj.g_00180
OG0000245	Syao.g_00863	Syaj.g_00182
OG0000246	Syao.g_00859	Syaj.g_00186
OG0000247	Syao.g_00847	Syaj.g_00197
OG0000248	Syao.g_00844	Syaj.g_00200
OG0000249	Syao.g_00842	Syaj.g_00202
OG0000250	Syao.g_00835	Syaj.g_00211
OG0000251	Syao.g_01026	Syaj.g_00237
OG0000252	Syao.g_01020	Syaj.g_00243
OG0000253	Syao.g_01003	Syaj.g_00245
OG0000254	Syao.g_01053	Syaj.g_01335
OG0000255	Syao.g_01009	Syaj.g_01315
OG0000256	Syao.g_01328	Syaj.g_01297
OG0000257	Syao.g_00884	Syaj.g_01292
OG0000258	Syao.g_00907	Syaj.g_01274
OG0000259	Syao.g_00933, Syao.g_00932	Syaj.g_00707
OG0000260	Syao.g_00936	Syaj.g_00712
OG0000261	Syao.g_00941	Syaj.g_00715
OG0000262	Syao.g_00946	Syaj.g_00720
OG0000263	Syao.g_00247	Syaj.g_00605
OG0000264	Syao.g_00699	Syaj.g_00485
OG0000266	Syao.g_00480	Syaj.g_00946
OG0000267	Syao.g_00589	Syaj.g_00770
OG0000268	Syao.g_00588	Syaj.g_00771
OG0000269	Syao.g_00751	Syaj.g_01031
OG0000270	Syao.g_00754	Syaj.g_01025
OG0000271	Syao.g_00762	Syaj.g_01017
OG0000272	Syao.g_00763	Syaj.g_01016
OG0000273	Syao.g_00791	Syaj.g_00389
OG0000274	Syao.g_00792	Syaj.g_00388
OG0000275	Syao.g_00438	Syaj.g_00384
OG0000276	Syao.g_00558	Syaj.g_00377
OG0000278	Syao.g_00554	Syaj.g_00373
OG0000279	Syao.g_00529	Syaj.g_00357
OG0000280	Syao.g_00608	Syaj.g_00348
OG0000281	Syao.g_01377	Syaj.g_02670
OG0000282	Syao.g_00967	Syaj.g_00743
OG0000283	Syao.g_00640	Syaj.g_00790
OG0000284	Syao.g_00634	Syaj.g_00930
OG0000285	Syao.g_00706	Syaj.g_00917
OG0000286	Syao.g_00675	Syaj.g_00899
OG0000287	Syao.g_00825	Syaj.g_00849
OG0000288	Syao.g_00446	Syaj.g_00815
OG0000289	Syao.g_00461	Syaj.g_00800
OG0000290	Syao.g_00428	Syaj.g_00424
OG0000291	Syao.g_00333	Syaj.g_00426
OG0000292	Syao.g_02196	Syaj.g_02255
OG0000293	Syao.g_00136	Syaj.g_00290
OG0000295	Syao.g_00186	Syaj.g_00330
OG0000296	Syao.g_00184	Syaj.g_00332
OG0000298	Syao.g_00170	Syaj.g_00638
OG0000299	Syao.g_00231	Syaj.g_00592
OG0000300	Syao.g_00274	Syaj.g_00586
OG0000301	Syao.g_00272, Syao.g_00273	Syaj.g_00585
OG0000302	Syao.g_00271	Syaj.g_00582
OG0000303	Syao.g_00262	Syaj.g_00572
OG0000304	Syao.g_00256	Syaj.g_00566
OG0000305	Syao.g_00388	Syaj.g_00429
OG0000306	Syao.g_01216	Syaj.g_01126
OG0000307	Syao.g_00045	Syaj.g_00051
OG0000308	Syao.g_00047	Syaj.g_00049
OG0000309	Syao.g_02705	Syaj.g_00044
OG0000310	Syao.g_01530	Syaj.g_01358
OG0000311	Syao.g_01533	Syaj.g_01362
OG0000312	Syao.g_01538	Syaj.g_01368
OG0000313	Syao.g_01491	Syaj.g_01386
OG0000314	Syao.g_00078	Syaj.g_01420
OG0000315	Syao.g_00088	Syaj.g_01430
OG0000316	Syao.g_01602	Syaj.g_01664
OG0000317	Syao.g_01560	Syaj.g_01715
OG0000318	Syao.g_01553	Syaj.g_01722
OG0000319	Syao.g_01678	Syaj.g_01741
OG0000320	Syao.g_01676	Syaj.g_01743
OG0000321	Syao.g_01675	Syaj.g_01744
OG0000322	Syao.g_01674	Syaj.g_01745
OG0000323	Syao.g_01661	Syaj.g_01760
OG0000324	Syao.g_01630	Syaj.g_01609
OG0000325	Syao.g_01936	Syaj.g_02638
OG0000327	Syao.g_01795	Syaj.g_02693
OG0000328	Syao.g_01794	Syaj.g_02694
OG0000329	Syao.g_01776	Syaj.g_02712
OG0000330	Syao.g_01775	Syaj.g_02713
OG0000331	Syao.g_01774	Syaj.g_02714
OG0000332	Syao.g_01813	Syaj.g_02729
OG0000333	Syao.g_01810	Syaj.g_02732
OG0000334	Syao.g_01836	Syaj.g_02741
OG0000335	Syao.g_01831	Syaj.g_02746
OG0000336	Syao.g_01827	Syaj.g_02750
OG0000337	Syao.g_01968	Syaj.g_02466
OG0000338	Syao.g_01962	Syaj.g_02462
OG0000339	Syao.g_02259	Syaj.g_02455
OG0000340	Syao.g_02129	Syaj.g_02443
OG0000341	Syao.g_02131	Syaj.g_02441
OG0000342	Syao.g_02132	Syaj.g_02440
OG0000343	Syao.g_02133	Syaj.g_02437
OG0000344	Syao.g_02137	Syaj.g_02433
OG0000345	Syao.g_01953	Syaj.g_02421
OG0000346	Syao.g_01948	Syaj.g_02416
OG0000347	Syao.g_02178	Syaj.g_02383
OG0000348	Syao.g_02166	Syaj.g_02333
OG0000349	Syao.g_02219	Syaj.g_02314
OG0000350	Syao.g_01925	Syaj.g_02652
OG0000351	Syao.g_02331	Syaj.g_02234
OG0000352	Syao.g_02332	Syaj.g_02235
OG0000353	Syao.g_02160	Syaj.g_02261
OG0000354	Syao.g_00154, Syao.g_00155	Syaj.g_00114
OG0000354	Syao.g_02252	Syaj.g_02281
OG0000355	Syao.g_02162	Syaj.g_02263
OG0000356	Syao.g_02163	Syaj.g_02264
OG0000357	Syao.g_02164	Syaj.g_02265
OG0000358	Syao.g_02154	Syaj.g_02269
OG0000359	Syao.g_02152	Syaj.g_02271
OG0000360	Syao.g_02151	Syaj.g_02272
OG0000361	Syao.g_02150	Syaj.g_02273
OG0000362	Syao.g_01954	Syaj.g_02275
OG0000363	Syao.g_02255	Syaj.g_02277
OG0000364	Syao.g_01558	Syaj.g_02278
OG0000365	Syao.g_02246	Syaj.g_02287
OG0000366	Syao.g_02245	Syaj.g_02288
OG0000367	Syao.g_02244	Syaj.g_02289
OG0000368	Syao.g_02242	Syaj.g_02291
OG0000369	Syao.g_02241	Syaj.g_02292
OG0000370	Syao.g_02240	Syaj.g_02293
OG0000371	Syao.g_02231	Syaj.g_02301
OG0000372	Syao.g_02226	Syaj.g_02307
OG0000373	Syao.g_02225	Syaj.g_02308
OG0000374	Syao.g_02224	Syaj.g_02309
OG0000375	Syao.g_02223	Syaj.g_02310
OG0000376	Syao.g_02221	Syaj.g_02312
OG0000377	Syao.g_02429	Syaj.g_02105
OG0000378	Syao.g_02414	Syaj.g_02091
OG0000379	Syao.g_02409	Syaj.g_02086
OG0000380	Syao.g_02616	Syaj.g_01815
OG0000381	Syao.g_02618	Syaj.g_01819
OG0000382	Syao.g_02636	Syaj.g_01836
OG0000383	Syao.g_02643	Syaj.g_01839
OG0000384	Syao.g_02644	Syaj.g_01840
OG0000385	Syao.g_02645	Syaj.g_01841
OG0000386	Syao.g_02646	Syaj.g_01842
OG0000387	Syao.g_01019	Syaj.g_01878
OG0000388	Syao.g_02596	Syaj.g_01882
OG0000389	Syao.g_02599	Syaj.g_01886
OG0000390	Syao.g_02567	Syaj.g_01904
OG0000391	Syao.g_02572	Syaj.g_01909
OG0000392	Syao.g_02578	Syaj.g_01918
OG0000393	Syao.g_02581	Syaj.g_01922
OG0000394	Syao.g_02582	Syaj.g_01923
OG0000395	Syao.g_02583	Syaj.g_01924
OG0000396	Syao.g_02586	Syaj.g_01928
OG0000397	Syao.g_02542	Syaj.g_01930
OG0000398	Syao.g_02547	Syaj.g_01935
OG0000399	Syao.g_02548	Syaj.g_01936
OG0000400	Syao.g_02549	Syaj.g_01937
OG0000401	Syao.g_02550	Syaj.g_01938
OG0000402	Syao.g_02552	Syaj.g_01940
OG0000403	Syao.g_02553	Syaj.g_01941
OG0000404	Syao.g_02554	Syaj.g_01943
OG0000405	Syao.g_02478	Syaj.g_01961
OG0000406	Syao.g_02482	Syaj.g_01966
OG0000407	Syao.g_02483	Syaj.g_01967
OG0000408	Syao.g_02485	Syaj.g_01970
OG0000409	Syao.g_02487	Syaj.g_01972
OG0000410	Syao.g_02488	Syaj.g_01973
OG0000411	Syao.g_02489	Syaj.g_01974
OG0000412	Syao.g_02490	Syaj.g_01975
OG0000413	Syao.g_02492	Syaj.g_01977
OG0000415	Syao.g_02494	Syaj.g_01978
OG0000416	Syao.g_02495	Syaj.g_01979
OG0000417	Syao.g_02497	Syaj.g_01980
OG0000418	Syao.g_02502	Syaj.g_01985
OG0000419	Syao.g_02504	Syaj.g_01987
OG0000420	Syao.g_02506	Syaj.g_01989
OG0000421	Syao.g_02510	Syaj.g_01994
OG0000422	Syao.g_02511	Syaj.g_01995
OG0000423	Syao.g_02512	Syaj.g_01996
OG0000424	Syao.g_02513	Syaj.g_01997
OG0000425	Syao.g_02514	Syaj.g_01998
OG0000426	Syao.g_02515	Syaj.g_01999
OG0000427	Syao.g_02516	Syaj.g_02000
OG0000428	Syao.g_02519	Syaj.g_02003
OG0000429	Syao.g_02522	Syaj.g_02005
OG0000430	Syao.g_02523	Syaj.g_02007
OG0000431	Syao.g_02526	Syaj.g_02010
OG0000432	Syao.g_02532	Syaj.g_02017
OG0000433	Syao.g_02534	Syaj.g_02020
OG0000434	Syao.g_02535	Syaj.g_02021
OG0000435	Syao.g_02538	Syaj.g_02023
OG0000436	Syao.g_02458	Syaj.g_02029
OG0000437	Syao.g_02459	Syaj.g_02030
OG0000438	Syao.g_02460	Syaj.g_02031
OG0000439	Syao.g_02462	Syaj.g_02033
OG0000440	Syao.g_02463	Syaj.g_02034
OG0000441	Syao.g_02466	Syaj.g_02038
OG0000442	Syao.g_02467	Syaj.g_02039
OG0000443	Syao.g_02468	Syaj.g_02040
OG0000444	Syao.g_02473	Syaj.g_02052
OG0000445	Syao.g_02474	Syaj.g_02053
OG0000446	Syao.g_02476	Syaj.g_02055
OG0000447	Syao.g_02383	Syaj.g_02058
OG0000448	Syao.g_02384	Syaj.g_02059
OG0000449	Syao.g_02385	Syaj.g_02060
OG0000450	Syao.g_02391	Syaj.g_02067
OG0000451	Syao.g_02392	Syaj.g_02068
OG0000452	Syao.g_02396	Syaj.g_02072
OG0000453	Syao.g_02397	Syaj.g_02073
OG0000454	Syao.g_02398	Syaj.g_02074
OG0000455	Syao.g_02399	Syaj.g_02075
OG0000456	Syao.g_02400	Syaj.g_02076
OG0000457	Syao.g_02402	Syaj.g_02078
OG0000458	Syao.g_02403	Syaj.g_02079
OG0000459	Syao.g_02404	Syaj.g_02080
OG0000460	Syao.g_01702	Syaj.g_02858
OG0000461	Syao.g_02119	Syaj.g_02623
OG0000462	Syao.g_02116	Syaj.g_02620
OG0000463	Syao.g_02115	Syaj.g_02619
OG0000464	Syao.g_02114	Syaj.g_02618
OG0000465	Syao.g_02112	Syaj.g_02617
OG0000466	Syao.g_02107	Syaj.g_02612
OG0000467	Syao.g_02106	Syaj.g_02610
OG0000468	Syao.g_02102	Syaj.g_02605
OG0000469	Syao.g_02087	Syaj.g_02590
OG0000470	Syao.g_02085	Syaj.g_02586
OG0000471	Syao.g_02084	Syaj.g_02585
OG0000472	Syao.g_02082	Syaj.g_02583
OG0000473	Syao.g_02080	Syaj.g_02581
OG0000474	Syao.g_02079	Syaj.g_02580
OG0000475	Syao.g_02078	Syaj.g_02579
OG0000476	Syao.g_02076	Syaj.g_02577
OG0000477	Syao.g_02069	Syaj.g_02571
OG0000478	Syao.g_02068	Syaj.g_02570
OG0000479	Syao.g_02067	Syaj.g_02569
OG0000480	Syao.g_02060	Syaj.g_02562
OG0000481	Syao.g_01012	Syaj.g_02560
OG0000482	Syao.g_02058	Syaj.g_02559
OG0000483	Syao.g_02054	Syaj.g_02555
OG0000484	Syao.g_02053	Syaj.g_02554
OG0000485	Syao.g_02052	Syaj.g_02553
OG0000486	Syao.g_02051	Syaj.g_02552
OG0000487	Syao.g_02044	Syaj.g_02546
OG0000488	Syao.g_02040	Syaj.g_02542
OG0000489	Syao.g_02033	Syaj.g_02529
OG0000490	Syao.g_02025	Syaj.g_02519
OG0000491	Syao.g_02024	Syaj.g_02517
OG0000492	Syao.g_02022	Syaj.g_02515
OG0000493	Syao.g_02021	Syaj.g_02514
OG0000494	Syao.g_02020	Syaj.g_02513
OG0000495	Syao.g_02018	Syaj.g_02512
OG0000496	Syao.g_02017	Syaj.g_02511
OG0000497	Syao.g_02016	Syaj.g_02510
OG0000498	Syao.g_02015	Syaj.g_02509
OG0000499	Syao.g_02014	Syaj.g_02508
OG0000500	Syao.g_02013	Syaj.g_02507
OG0000501	Syao.g_02010	Syaj.g_02504
OG0000502	Syao.g_01974	Syaj.g_02492
OG0000503	Syao.g_01877	Syaj.g_02805
OG0000504	Syao.g_01875	Syaj.g_02807
OG0000505	Syao.g_01874	Syaj.g_02808
OG0000506	Syao.g_01872	Syaj.g_02810
OG0000507	Syao.g_01866	Syaj.g_02816
OG0000508	Syao.g_01750	Syaj.g_02820
OG0000509	Syao.g_01755	Syaj.g_02822
OG0000510	Syao.g_01756	Syaj.g_02823
OG0000511	Syao.g_01757	Syaj.g_02824
OG0000512	Syao.g_01759	Syaj.g_02826
OG0000513	Syao.g_01720	Syaj.g_02833
OG0000514	Syao.g_01727	Syaj.g_02839
OG0000515	Syao.g_01728	Syaj.g_02840
OG0000516	Syao.g_01730	Syaj.g_01561
OG0000517	Syao.g_01735	Syaj.g_01556
OG0000518	Syao.g_01621	Syaj.g_01544
OG0000519	Syao.g_01622	Syaj.g_01543
OG0000520	Syao.g_01512	Syaj.g_01542
OG0000521	Syao.g_00061	Syaj.g_00271
OG0000522	Syao.g_00059	Syaj.g_00273
OG0000523	Syao.g_00058	Syaj.g_00274
OG0000524	Syao.g_02699	Syaj.g_01485
OG0000525	Syao.g_02691	Syaj.g_01454
OG0000526	Syao.g_02688	Syaj.g_01451
OG0000527	Syao.g_02684	Syaj.g_01446
OG0000528	Syao.g_00031	Syaj.g_00065
OG0000529	Syao.g_00027	Syaj.g_00073
OG0000530	Syao.g_00122	Syaj.g_00076
OG0000531	Syao.g_00121	Syaj.g_00077
OG0000532	Syao.g_00118	Syaj.g_00080
OG0000533	Syao.g_00116	Syaj.g_00081
OG0000534	Syao.g_00115	Syaj.g_00082
OG0000535	Syao.g_00114	Syaj.g_00083
OG0000536	Syao.g_00113	Syaj.g_00084
OG0000537	Syao.g_00112	Syaj.g_00085
OG0000538	Syao.g_00100	Syaj.g_00096
OG0000539	Syao.g_00099	Syaj.g_00097
OG0000540	Syao.g_00098	Syaj.g_00098
OG0000541	Syao.g_00097	Syaj.g_00099
OG0000542	Syao.g_00167	Syaj.g_00102
OG0000543	Syao.g_00165	Syaj.g_00104
OG0000544	Syao.g_00164	Syaj.g_00105
OG0000545	Syao.g_00162	Syaj.g_00107
OG0000546	Syao.g_00160	Syaj.g_00109
OG0000547	Syao.g_00158	Syaj.g_00111
OG0000548	Syao.g_00157	Syaj.g_00112
OG0000549	Syao.g_01391	Syaj.g_00118
OG0000550	Syao.g_01396	Syaj.g_00123
OG0000551	Syao.g_01401	Syaj.g_00128
OG0000552	Syao.g_01402	Syaj.g_00129
OG0000553	Syao.g_01404	Syaj.g_00133
OG0000554	Syao.g_01413	Syaj.g_00145
OG0000555	Syao.g_00875	Syaj.g_00163
OG0000556	Syao.g_00871	Syaj.g_00167
OG0000557	Syao.g_00866	Syaj.g_00178
OG0000558	Syao.g_00864	Syaj.g_00181
OG0000559	Syao.g_00860	Syaj.g_00185
OG0000560	Syao.g_00857	Syaj.g_00188
OG0000561	Syao.g_00856	Syaj.g_00189
OG0000562	Syao.g_00855	Syaj.g_00190
OG0000563	Syao.g_00854	Syaj.g_00191
OG0000564	Syao.g_00853	Syaj.g_00192
OG0000565	Syao.g_00849	Syaj.g_00195
OG0000566	Syao.g_00845	Syaj.g_00199
OG0000567	Syao.g_00841	Syaj.g_00203
OG0000568	Syao.g_00839	Syaj.g_00207
OG0000569	Syao.g_00838	Syaj.g_00208
OG0000570	Syao.g_00837	Syaj.g_00209
