Orthogroup	Syao	Prbf
OG0000042	Syao.g_00019, Syao.g_01941	Prbf.g_00487
OG0000045	Syao.g_01214	Prbf.g_00874
OG0000046	Syao.g_01909, Syao.g_01845	Prbf.g_01666
OG0000047	Syao.g_01899	Prbf.g_01707
OG0000048	Syao.g_02077	Prbf.g_00039
OG0000052	Syao.g_01972	Prbf.g_01380
OG0000053	Syao.g_00067	Prbf.g_00178, Prbf.g_00748
OG0000054	Syao.g_00295, Syao.g_00625	Prbf.g_01889
OG0000055	Syao.g_00498	Prbf.g_00719
OG0000057	Syao.g_00377	Prbf.g_01261
OG0000058	Syao.g_01978, Syao.g_01080	Prbf.g_00117
OG0000059	Syao.g_01801	Prbf.g_00606
OG0000061	Syao.g_00123	Prbf.g_00918
OG0000062	Syao.g_01576	Prbf.g_00242
OG0000063	Syao.g_02230	Prbf.g_00808
OG0000064	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Prbf.g_01394
OG0000065	Syao.g_02600	Prbf.g_01435
OG0000066	Syao.g_01422	Prbf.g_01820, Prbf.g_00781
OG0000067	Syao.g_00756	Prbf.g_01245
OG0000068	Syao.g_00868, Syao.g_00036	Prbf.g_00095
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prbf.g_01738
OG0000070	Syao.g_00330	Prbf.g_01734
OG0000071	Syao.g_01433	Prbf.g_00026
OG0000072	Syao.g_02509, Syao.g_01749	Prbf.g_01505
OG0000073	Syao.g_00103	Prbf.g_01783
OG0000075	Syao.g_02257	Prbf.g_00522
OG0000076	Syao.g_01949	Prbf.g_00496
OG0000077	Syao.g_02629	Prbf.g_01405
OG0000078	Syao.g_01709	Prbf.g_01578
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbf.g_01591
OG0000080	Syao.g_02269	Prbf.g_00129, Prbf.g_00131
OG0000082	Syao.g_01035	Prbf.g_01867, Prbf.g_00704
OG0000084	Syao.g_01509, Syao.g_02606	Prbf.g_00154
OG0000085	Syao.g_01569	Prbf.g_00822, Prbf.g_00701
OG0000086	Syao.g_02653, Syao.g_01240	Prbf.g_01414
OG0000087	Syao.g_02555	Prbf.g_01469
OG0000088	Syao.g_02503	Prbf.g_01500
OG0000089	Syao.g_01716	Prbf.g_01701
OG0000090	Syao.g_01412	Prbf.g_01814
OG0000091	Syao.g_00902	Prbf.g_00990
OG0000093	Syao.g_00739	Prbf.g_01019
OG0000094	Syao.g_00458	Prbf.g_01068
OG0000095	Syao.g_00331	Prbf.g_01170
OG0000097	Syao.g_00973	Prbf.g_00964
OG0000098	Syao.g_01374	Prbf.g_00071
OG0000099	Syao.g_02019	Prbf.g_00118
OG0000100	Syao.g_00787	Prbf.g_00236
OG0000101	Syao.g_01840	Prbf.g_00558
OG0000102	Syao.g_01945	Prbf.g_00491
OG0000103	Syao.g_02340	Prbf.g_00406
OG0000104	Syao.g_02157	Prbf.g_00397
OG0000105	Syao.g_02071, Syao.g_02072	Prbf.g_01614
OG0000106	Syao.g_01385	Prbf.g_00320
OG0000107	Syao.g_01935	Prbf.g_00629
OG0000108	Syao.g_00028	Prbf.g_01763
OG0000109	Syao.g_00110	Prbf.g_01777
OG0000110	Syao.g_01051	Prbf.g_01856
OG0000111	Syao.g_00378	Prbf.g_01260
OG0000112	Syao.g_00683, Syao.g_00303	Prbf.g_01929
OG0000113	Syao.g_00782	Prbf.g_01222
OG0000114	Syao.g_00965	Prbf.g_01320
OG0000115	Syao.g_01464, Syao.g_00065	Prbf.g_00062
OG0000116	Syao.g_00137	Prbf.g_00907
OG0000117	Syao.g_00169	Prbf.g_00945
OG0000118	Syao.g_01475	Prbf.g_00013
OG0000120	Syao.g_02009	Prbf.g_00115
OG0000121	Syao.g_01489	Prbf.g_00159
OG0000122	Syao.g_01247	Prbf.g_00055, Prbf.g_00200
OG0000123	Syao.g_01832	Prbf.g_00551
OG0000124	Syao.g_02179	Prbf.g_00478
OG0000125	Syao.g_02444	Prbf.g_00443
OG0000126	Syao.g_02198	Prbf.g_00398
OG0000128	Syao.g_02149	Prbf.g_00382
OG0000129	Syao.g_02434	Prbf.g_01367
OG0000130	Syao.g_02617	Prbf.g_01396
OG0000131	Syao.g_02480	Prbf.g_01478
OG0000132	Syao.g_02501	Prbf.g_01498
OG0000133	Syao.g_00678	Prbf.g_01661
OG0000134	Syao.g_01719	Prbf.g_01703
OG0000135	Syao.g_00147	Prbf.g_00044
OG0000136	Syao.g_01614, Syao.g_01613	Prbf.g_01725
OG0000137	Syao.g_02682	Prbf.g_01758
OG0000138	Syao.g_00108	Prbf.g_01778
OG0000139	Syao.g_01418, Syao.g_02005	Prbf.g_01818
OG0000140	Syao.g_01373, Syao.g_01372	Prbf.g_01819
OG0000141	Syao.g_01202	Prbf.g_01890
OG0000142	Syao.g_00894	Prbf.g_00982
OG0000143	Syao.g_00898	Prbf.g_00986
OG0000145	Syao.g_00102	Prbf.g_00042
OG0000146	Syao.g_00684, Syao.g_00304	Prbf.g_01928
OG0000147	Syao.g_00305, Syao.g_00685	Prbf.g_01927
OG0000148	Syao.g_00776	Prbf.g_01228
OG0000149	Syao.g_00534	Prbf.g_01196
OG0000150	Syao.g_01203	Prbf.g_01186
OG0000151	Syao.g_00975	Prbf.g_01310
OG0000152	Syao.g_00674	Prbf.g_01117
OG0000153	Syao.g_00818, Syao.g_01176	Prbf.g_01098
OG0000154	Syao.g_00447	Prbf.g_01078
OG0000155	Syao.g_00178	Prbf.g_00939
OG0000156	Syao.g_00151	Prbf.g_00037
OG0000157	Syao.g_00152	Prbf.g_00036
OG0000158	Syao.g_01141, Syao.g_02267	Prbf.g_00514
OG0000159	Syao.g_02006	Prbf.g_01387
OG0000160	Syao.g_01488	Prbf.g_00158
OG0000161	Syao.g_01494	Prbf.g_00164
OG0000162	Syao.g_01515	Prbf.g_00170
OG0000163	Syao.g_01745	Prbf.g_00209
OG0000164	Syao.g_01663	Prbf.g_00669
OG0000165	Syao.g_01655	Prbf.g_00662
OG0000166	Syao.g_01790	Prbf.g_00595
OG0000167	Syao.g_01960	Prbf.g_00524
OG0000168	Syao.g_02128	Prbf.g_00513
OG0000169	Syao.g_02139	Prbf.g_00503
OG0000170	Syao.g_02148	Prbf.g_00500
OG0000171	Syao.g_02181	Prbf.g_00479
OG0000172	Syao.g_02170	Prbf.g_00472
OG0000173	Syao.g_02212	Prbf.g_00457
OG0000174	Syao.g_02364, Syao.g_02355	Prbf.g_00428
OG0000175	Syao.g_02327, Syao.g_00308	Prbf.g_00415
OG0000176	Syao.g_02165	Prbf.g_00389
OG0000177	Syao.g_02156	Prbf.g_00388
OG0000178	Syao.g_02155	Prbf.g_00387
OG0000179	Syao.g_02250	Prbf.g_01338
OG0000180	Syao.g_02249	Prbf.g_01339
OG0000181	Syao.g_02248	Prbf.g_01340
OG0000182	Syao.g_02247	Prbf.g_01341
OG0000183	Syao.g_02243	Prbf.g_01345
OG0000184	Syao.g_02423	Prbf.g_01371
OG0000185	Syao.g_02410	Prbf.g_01374
OG0000186	Syao.g_02613	Prbf.g_01390
OG0000187	Syao.g_02615	Prbf.g_01391
OG0000188	Syao.g_02637	Prbf.g_01408
OG0000189	Syao.g_02672	Prbf.g_01422
OG0000190	Syao.g_01015	Prbf.g_01424
OG0000191	Syao.g_02573	Prbf.g_01447
OG0000192	Syao.g_02579	Prbf.g_01452
OG0000193	Syao.g_02481	Prbf.g_01479
OG0000194	Syao.g_02484	Prbf.g_01482
OG0000195	Syao.g_02486	Prbf.g_01484
OG0000196	Syao.g_02498	Prbf.g_01495
OG0000197	Syao.g_02499	Prbf.g_01496
OG0000198	Syao.g_02500	Prbf.g_01497
OG0000199	Syao.g_02508	Prbf.g_01504
OG0000200	Syao.g_02524	Prbf.g_01518
OG0000201	Syao.g_02540	Prbf.g_01527
OG0000202	Syao.g_02454	Prbf.g_01528
OG0000203	Syao.g_02455	Prbf.g_01529
OG0000204	Syao.g_02456	Prbf.g_01530
OG0000205	Syao.g_02464	Prbf.g_01537
OG0000206	Syao.g_02469	Prbf.g_01542
OG0000207	Syao.g_02471	Prbf.g_01545
OG0000208	Syao.g_02472	Prbf.g_01546
OG0000209	Syao.g_02394	Prbf.g_01555
OG0000210	Syao.g_02395	Prbf.g_01556
OG0000211	Syao.g_01700	Prbf.g_01571
OG0000212	Syao.g_01710	Prbf.g_01579
OG0000213	Syao.g_02098	Prbf.g_01597
OG0000214	Syao.g_02081	Prbf.g_01607
OG0000215	Syao.g_02050	Prbf.g_01634
OG0000216	Syao.g_02045	Prbf.g_01635
OG0000217	Syao.g_02041	Prbf.g_01638
OG0000218	Syao.g_02039	Prbf.g_01640
OG0000219	Syao.g_02038	Prbf.g_01641
OG0000220	Syao.g_02037	Prbf.g_01642
OG0000221	Syao.g_02034	Prbf.g_01643
OG0000222	Syao.g_02023	Prbf.g_01650
OG0000223	Syao.g_00291	Prbf.g_01662
OG0000224	Syao.g_01973	Prbf.g_01664
OG0000225	Syao.g_01751	Prbf.g_01690
OG0000226	Syao.g_01758	Prbf.g_01694
OG0000227	Syao.g_01760	Prbf.g_01696
OG0000228	Syao.g_01715	Prbf.g_01700
OG0000229	Syao.g_01736	Prbf.g_01720
OG0000230	Syao.g_01738	Prbf.g_01722
OG0000231	Syao.g_01513	Prbf.g_01733
OG0000232	Syao.g_00057	Prbf.g_01744
OG0000233	Syao.g_02698	Prbf.g_01750
OG0000234	Syao.g_02680	Prbf.g_01759
OG0000235	Syao.g_00029	Prbf.g_01762
OG0000236	Syao.g_00111	Prbf.g_01776
OG0000237	Syao.g_00166	Prbf.g_01789
OG0000238	Syao.g_00161	Prbf.g_01795
OG0000239	Syao.g_01398	Prbf.g_01806
OG0000240	Syao.g_01399	Prbf.g_01807
OG0000241	Syao.g_00887	Prbf.g_01811
OG0000242	Syao.g_01410	Prbf.g_01813
OG0000243	Syao.g_00873	Prbf.g_01824
OG0000244	Syao.g_00865	Prbf.g_01827
OG0000245	Syao.g_00863	Prbf.g_01829
OG0000246	Syao.g_00859	Prbf.g_01833
OG0000247	Syao.g_00847	Prbf.g_01843
OG0000248	Syao.g_00844	Prbf.g_01846
OG0000249	Syao.g_00842	Prbf.g_01848
OG0000250	Syao.g_00835	Prbf.g_01853
OG0000251	Syao.g_01026	Prbf.g_01873
OG0000252	Syao.g_01020	Prbf.g_01876
OG0000253	Syao.g_01003	Prbf.g_01877
OG0000254	Syao.g_01053	Prbf.g_01894
OG0000255	Syao.g_01009	Prbf.g_01900
OG0000256	Syao.g_01328	Prbf.g_01910
OG0000257	Syao.g_00884	Prbf.g_00977
OG0000258	Syao.g_00907	Prbf.g_00991
OG0000259	Syao.g_00933, Syao.g_00932	Prbf.g_01008
OG0000260	Syao.g_00936	Prbf.g_01011
OG0000261	Syao.g_00941	Prbf.g_01014
OG0000262	Syao.g_00946	Prbf.g_01018
OG0000263	Syao.g_00247	Prbf.g_01282
OG0000264	Syao.g_00699	Prbf.g_01271
OG0000265	Syao.g_00049	Prbf.g_01253
OG0000266	Syao.g_00480	Prbf.g_01037
OG0000267	Syao.g_00589	Prbf.g_01049
OG0000268	Syao.g_00588	Prbf.g_01050
OG0000269	Syao.g_00751	Prbf.g_01250
OG0000270	Syao.g_00754	Prbf.g_01247
OG0000271	Syao.g_00762	Prbf.g_01239
OG0000272	Syao.g_00763	Prbf.g_01238
OG0000273	Syao.g_00791	Prbf.g_01214
OG0000274	Syao.g_00792	Prbf.g_01213
OG0000275	Syao.g_00438	Prbf.g_01210
OG0000276	Syao.g_00558	Prbf.g_01204
OG0000277	Syao.g_00557	Prbf.g_01203
OG0000278	Syao.g_00554	Prbf.g_01200
OG0000279	Syao.g_00529	Prbf.g_01193
OG0000280	Syao.g_00608	Prbf.g_01192
OG0000281	Syao.g_01377	Prbf.g_01185
OG0000282	Syao.g_00967	Prbf.g_01318
OG0000283	Syao.g_00640	Prbf.g_01141
OG0000284	Syao.g_00634	Prbf.g_01136
OG0000285	Syao.g_00706	Prbf.g_01131
OG0000286	Syao.g_00675	Prbf.g_01118
OG0000287	Syao.g_00825	Prbf.g_00065
OG0000288	Syao.g_00446	Prbf.g_01079
OG0000289	Syao.g_00461	Prbf.g_01063
OG0000290	Syao.g_00428	Prbf.g_01167
OG0000291	Syao.g_00333	Prbf.g_01169
OG0000292	Syao.g_02196	Prbf.g_00873
OG0000293	Syao.g_00136	Prbf.g_00908
OG0000294	Syao.g_00135	Prbf.g_00909
OG0000295	Syao.g_00186	Prbf.g_00932
OG0000296	Syao.g_00184	Prbf.g_00934
OG0000297	Syao.g_00171	Prbf.g_00943
OG0000298	Syao.g_00170	Prbf.g_00944
OG0000299	Syao.g_00231	Prbf.g_00963
OG0000300	Syao.g_00274	Prbf.g_00966
OG0000301	Syao.g_00272, Syao.g_00273	Prbf.g_00967
OG0000302	Syao.g_00271	Prbf.g_00969
OG0000303	Syao.g_00262	Prbf.g_00975
OG0000304	Syao.g_00256	Prbf.g_01915
OG0000305	Syao.g_00388	Prbf.g_00875
OG0000306	Syao.g_01216	Prbf.g_01181
OG0000307	Syao.g_00045	Prbf.g_00104
OG0000308	Syao.g_00047	Prbf.g_00105
OG0000309	Syao.g_02705	Prbf.g_00109
OG0000310	Syao.g_01530	Prbf.g_00143
OG0000311	Syao.g_01533	Prbf.g_00145
OG0000312	Syao.g_01538	Prbf.g_00148
OG0000313	Syao.g_01491	Prbf.g_00161
OG0000314	Syao.g_00078	Prbf.g_00184
OG0000315	Syao.g_00088	Prbf.g_00194
OG0000316	Syao.g_01602	Prbf.g_00219
OG0000317	Syao.g_01560	Prbf.g_00696
OG0000318	Syao.g_01553	Prbf.g_00692
OG0000319	Syao.g_01678	Prbf.g_00679
OG0000320	Syao.g_01676	Prbf.g_00677
OG0000321	Syao.g_01675	Prbf.g_00676
OG0000322	Syao.g_01674	Prbf.g_00675
OG0000323	Syao.g_01661	Prbf.g_00666
OG0000324	Syao.g_01630	Prbf.g_00639
OG0000325	Syao.g_01936	Prbf.g_00628
OG0000326	Syao.g_01918	Prbf.g_00621
OG0000327	Syao.g_01795	Prbf.g_00600
OG0000328	Syao.g_01794	Prbf.g_00599
OG0000329	Syao.g_01776	Prbf.g_00582
OG0000330	Syao.g_01775	Prbf.g_00581
OG0000331	Syao.g_01774	Prbf.g_00580
OG0000332	Syao.g_01813	Prbf.g_00566
OG0000333	Syao.g_01810	Prbf.g_00564
OG0000334	Syao.g_01836	Prbf.g_00555
OG0000335	Syao.g_01831	Prbf.g_00550
OG0000336	Syao.g_01827	Prbf.g_00546
OG0000337	Syao.g_01968	Prbf.g_00528
OG0000338	Syao.g_01962	Prbf.g_00527
OG0000339	Syao.g_02259	Prbf.g_00521
OG0000340	Syao.g_02129	Prbf.g_00512
OG0000341	Syao.g_02131	Prbf.g_00510
OG0000342	Syao.g_02132	Prbf.g_00509
OG0000343	Syao.g_02133	Prbf.g_00508
OG0000344	Syao.g_02137	Prbf.g_00505
OG0000345	Syao.g_01953	Prbf.g_00499
OG0000346	Syao.g_01948	Prbf.g_00495
OG0000347	Syao.g_02178	Prbf.g_00477
OG0000348	Syao.g_02166	Prbf.g_00469
OG0000349	Syao.g_02219	Prbf.g_00452
OG0000350	Syao.g_01925	Prbf.g_00351
OG0000351	Syao.g_02331	Prbf.g_00412
OG0000352	Syao.g_02332	Prbf.g_00411
OG0000353	Syao.g_02160	Prbf.g_00394
OG0000355	Syao.g_02162	Prbf.g_00392
OG0000356	Syao.g_02163	Prbf.g_00391
OG0000357	Syao.g_02164	Prbf.g_00390
OG0000358	Syao.g_02154	Prbf.g_00386
OG0000359	Syao.g_02152	Prbf.g_00385
OG0000360	Syao.g_02151	Prbf.g_00384
OG0000361	Syao.g_02150	Prbf.g_00383
OG0000362	Syao.g_01954	Prbf.g_00381
OG0000363	Syao.g_02255	Prbf.g_01336
OG0000364	Syao.g_01558	Prbf.g_01337
OG0000365	Syao.g_02246	Prbf.g_01342
OG0000366	Syao.g_02245	Prbf.g_01343
OG0000367	Syao.g_02244	Prbf.g_01344
OG0000368	Syao.g_02242	Prbf.g_01346
OG0000369	Syao.g_02241	Prbf.g_01347
OG0000370	Syao.g_02240	Prbf.g_01348
OG0000371	Syao.g_02231	Prbf.g_01355
OG0000372	Syao.g_02226	Prbf.g_01358
OG0000373	Syao.g_02225	Prbf.g_01359
OG0000374	Syao.g_02224	Prbf.g_01360
OG0000375	Syao.g_02223	Prbf.g_01362
OG0000376	Syao.g_02221	Prbf.g_01364
OG0000377	Syao.g_02429	Prbf.g_01368
OG0000378	Syao.g_02414	Prbf.g_01372
OG0000379	Syao.g_02409	Prbf.g_01375
OG0000380	Syao.g_02616	Prbf.g_01392
OG0000381	Syao.g_02618	Prbf.g_01397
OG0000382	Syao.g_02636	Prbf.g_01407
OG0000383	Syao.g_02643	Prbf.g_01409
OG0000384	Syao.g_02644	Prbf.g_01410
OG0000385	Syao.g_02645	Prbf.g_01411
OG0000386	Syao.g_02646	Prbf.g_01412
OG0000387	Syao.g_01019	Prbf.g_01426
OG0000388	Syao.g_02596	Prbf.g_01430
OG0000389	Syao.g_02599	Prbf.g_01433
OG0000390	Syao.g_02567	Prbf.g_01443
OG0000391	Syao.g_02572	Prbf.g_01446
OG0000392	Syao.g_02578	Prbf.g_01450
OG0000393	Syao.g_02581	Prbf.g_01453
OG0000394	Syao.g_02582	Prbf.g_01454
OG0000395	Syao.g_02583	Prbf.g_01455
OG0000396	Syao.g_02586	Prbf.g_01457
OG0000397	Syao.g_02542	Prbf.g_01459
OG0000398	Syao.g_02547	Prbf.g_01462
OG0000399	Syao.g_02548	Prbf.g_01463
OG0000400	Syao.g_02549	Prbf.g_01464
OG0000401	Syao.g_02550	Prbf.g_01465
OG0000402	Syao.g_02552	Prbf.g_01055
OG0000403	Syao.g_02553	Prbf.g_01467
OG0000404	Syao.g_02554	Prbf.g_01468
OG0000405	Syao.g_02478	Prbf.g_01472
OG0000406	Syao.g_02482	Prbf.g_01480
OG0000407	Syao.g_02483	Prbf.g_01481
OG0000408	Syao.g_02485	Prbf.g_01483
OG0000409	Syao.g_02487	Prbf.g_01485
OG0000410	Syao.g_02488	Prbf.g_01486
OG0000411	Syao.g_02489	Prbf.g_01487
OG0000412	Syao.g_02490	Prbf.g_01488
OG0000413	Syao.g_02492	Prbf.g_01490
OG0000414	Syao.g_02493	Prbf.g_01491
OG0000415	Syao.g_02494	Prbf.g_01492
OG0000416	Syao.g_02495	Prbf.g_01493
OG0000417	Syao.g_02497	Prbf.g_01494
OG0000418	Syao.g_02502	Prbf.g_01499
OG0000419	Syao.g_02504	Prbf.g_01501
OG0000420	Syao.g_02506	Prbf.g_01502
OG0000421	Syao.g_02510	Prbf.g_01507
OG0000422	Syao.g_02511	Prbf.g_01508
OG0000423	Syao.g_02512	Prbf.g_01509
OG0000424	Syao.g_02513	Prbf.g_01510
OG0000425	Syao.g_02514	Prbf.g_01511
OG0000426	Syao.g_02515	Prbf.g_01512
OG0000427	Syao.g_02516	Prbf.g_01513
OG0000428	Syao.g_02519	Prbf.g_01515
OG0000429	Syao.g_02522	Prbf.g_01516
OG0000430	Syao.g_02523	Prbf.g_01517
OG0000431	Syao.g_02526	Prbf.g_01519
OG0000432	Syao.g_02532	Prbf.g_01523
OG0000433	Syao.g_02534	Prbf.g_01524
OG0000434	Syao.g_02535	Prbf.g_01525
OG0000435	Syao.g_02538	Prbf.g_01526
OG0000436	Syao.g_02458	Prbf.g_01531
OG0000437	Syao.g_02459	Prbf.g_01532
OG0000438	Syao.g_02460	Prbf.g_01533
OG0000439	Syao.g_02462	Prbf.g_01535
OG0000440	Syao.g_02463	Prbf.g_01536
OG0000441	Syao.g_02466	Prbf.g_01539
OG0000442	Syao.g_02467	Prbf.g_01540
OG0000443	Syao.g_02468	Prbf.g_01541
OG0000444	Syao.g_02473	Prbf.g_01547
OG0000445	Syao.g_02474	Prbf.g_01548
OG0000446	Syao.g_02476	Prbf.g_01549
OG0000447	Syao.g_02383	Prbf.g_01550
OG0000448	Syao.g_02384	Prbf.g_01551
OG0000449	Syao.g_02385	Prbf.g_01552
OG0000450	Syao.g_02391	Prbf.g_01553
OG0000451	Syao.g_02392	Prbf.g_01554
OG0000452	Syao.g_02396	Prbf.g_01557
OG0000453	Syao.g_02397	Prbf.g_01558
OG0000454	Syao.g_02398	Prbf.g_01559
OG0000455	Syao.g_02399	Prbf.g_01560
OG0000456	Syao.g_02400	Prbf.g_01561
OG0000457	Syao.g_02402	Prbf.g_01563
OG0000458	Syao.g_02403	Prbf.g_01564
OG0000459	Syao.g_02404	Prbf.g_01565
OG0000460	Syao.g_01702	Prbf.g_01573
OG0000461	Syao.g_02119	Prbf.g_01581
OG0000462	Syao.g_02116	Prbf.g_01583
OG0000463	Syao.g_02115	Prbf.g_01584
OG0000464	Syao.g_02114	Prbf.g_01585
OG0000465	Syao.g_02112	Prbf.g_01586
OG0000466	Syao.g_02107	Prbf.g_01589
OG0000467	Syao.g_02106	Prbf.g_01590
OG0000468	Syao.g_02102	Prbf.g_01593
OG0000469	Syao.g_02087	Prbf.g_01601
OG0000470	Syao.g_02085	Prbf.g_01603
OG0000471	Syao.g_02084	Prbf.g_01604
OG0000472	Syao.g_02082	Prbf.g_01606
OG0000473	Syao.g_02080	Prbf.g_01608
OG0000474	Syao.g_02079	Prbf.g_01609
OG0000475	Syao.g_02078	Prbf.g_01610
OG0000476	Syao.g_02076	Prbf.g_01612
OG0000477	Syao.g_02069	Prbf.g_01615
OG0000478	Syao.g_02068	Prbf.g_01616
OG0000479	Syao.g_02067	Prbf.g_01617
OG0000480	Syao.g_02060	Prbf.g_01622
OG0000481	Syao.g_01012	Prbf.g_01625
OG0000482	Syao.g_02058	Prbf.g_01626
OG0000483	Syao.g_02054	Prbf.g_01629
OG0000484	Syao.g_02053	Prbf.g_01630
OG0000485	Syao.g_02052	Prbf.g_01632
OG0000486	Syao.g_02051	Prbf.g_01633
OG0000487	Syao.g_02044	Prbf.g_01636
OG0000488	Syao.g_02040	Prbf.g_01639
OG0000489	Syao.g_02033	Prbf.g_01644
OG0000490	Syao.g_02025	Prbf.g_01648
OG0000491	Syao.g_02024	Prbf.g_01649
OG0000492	Syao.g_02022	Prbf.g_01651
OG0000493	Syao.g_02021	Prbf.g_01652
OG0000494	Syao.g_02020	Prbf.g_01653
OG0000495	Syao.g_02018	Prbf.g_01654
OG0000496	Syao.g_02017	Prbf.g_01655
OG0000497	Syao.g_02016	Prbf.g_01656
OG0000498	Syao.g_02015	Prbf.g_01657
OG0000499	Syao.g_02014	Prbf.g_01658
OG0000500	Syao.g_02013	Prbf.g_01659
OG0000501	Syao.g_02010	Prbf.g_01660
OG0000502	Syao.g_01974	Prbf.g_01663
OG0000503	Syao.g_01877	Prbf.g_01678
OG0000504	Syao.g_01875	Prbf.g_01680
OG0000505	Syao.g_01874	Prbf.g_01681
OG0000506	Syao.g_01872	Prbf.g_01682
OG0000507	Syao.g_01866	Prbf.g_01685
OG0000508	Syao.g_01750	Prbf.g_01689
OG0000509	Syao.g_01755	Prbf.g_01691
OG0000510	Syao.g_01756	Prbf.g_01692
OG0000511	Syao.g_01757	Prbf.g_01693
OG0000512	Syao.g_01759	Prbf.g_01695
OG0000513	Syao.g_01720	Prbf.g_01704
OG0000514	Syao.g_01727	Prbf.g_01715
OG0000515	Syao.g_01728	Prbf.g_01716
OG0000516	Syao.g_01730	Prbf.g_01717
OG0000517	Syao.g_01735	Prbf.g_01719
OG0000518	Syao.g_01621	Prbf.g_01730
OG0000519	Syao.g_01622	Prbf.g_01731
OG0000520	Syao.g_01512	Prbf.g_01732
OG0000521	Syao.g_00061	Prbf.g_01740
OG0000522	Syao.g_00059	Prbf.g_01742
OG0000523	Syao.g_00058	Prbf.g_01743
OG0000524	Syao.g_02699	Prbf.g_01748
OG0000525	Syao.g_02691	Prbf.g_01752
OG0000526	Syao.g_02688	Prbf.g_01753
OG0000527	Syao.g_02684	Prbf.g_01756
OG0000528	Syao.g_00031	Prbf.g_01761
OG0000529	Syao.g_00027	Prbf.g_01764
OG0000530	Syao.g_00122	Prbf.g_01767
OG0000531	Syao.g_00121	Prbf.g_01768
OG0000532	Syao.g_00118	Prbf.g_01770
OG0000533	Syao.g_00116	Prbf.g_01771
OG0000534	Syao.g_00115	Prbf.g_01772
OG0000535	Syao.g_00114	Prbf.g_01773
OG0000536	Syao.g_00113	Prbf.g_01774
OG0000537	Syao.g_00112	Prbf.g_01775
OG0000538	Syao.g_00100	Prbf.g_01784
OG0000539	Syao.g_00099	Prbf.g_01785
OG0000540	Syao.g_00098	Prbf.g_01786
OG0000541	Syao.g_00097	Prbf.g_01787
OG0000542	Syao.g_00167	Prbf.g_01788
OG0000543	Syao.g_00165	Prbf.g_01790
OG0000544	Syao.g_00164	Prbf.g_01791
OG0000545	Syao.g_00162	Prbf.g_01793
OG0000546	Syao.g_00160	Prbf.g_01796
OG0000547	Syao.g_00158	Prbf.g_01798
OG0000548	Syao.g_00157	Prbf.g_01799
OG0000549	Syao.g_01391	Prbf.g_01801
OG0000550	Syao.g_01396	Prbf.g_01805
OG0000551	Syao.g_01401	Prbf.g_01808
OG0000552	Syao.g_01402	Prbf.g_01809
OG0000553	Syao.g_01404	Prbf.g_01810
OG0000554	Syao.g_01413	Prbf.g_01815
OG0000555	Syao.g_00875	Prbf.g_01823
OG0000556	Syao.g_00871	Prbf.g_01825
OG0000557	Syao.g_00866	Prbf.g_01826
OG0000558	Syao.g_00864	Prbf.g_01828
OG0000559	Syao.g_00860	Prbf.g_01832
OG0000560	Syao.g_00857	Prbf.g_01835
OG0000561	Syao.g_00856	Prbf.g_01836
