Orthogroup	Syao	Praw
OG0000041	Syao.g_00509, Syao.g_01637	Praw.g_00562
OG0000042	Syao.g_00019, Syao.g_01941	Praw.g_00032
OG0000045	Syao.g_00148	Praw.g_00761
OG0000048	Syao.g_02077	Praw.g_00504, Praw.g_00758
OG0000052	Syao.g_01085	Praw.g_01071
OG0000053	Syao.g_00067	Praw.g_00357
OG0000054	Syao.g_00295, Syao.g_00625	Praw.g_00142
OG0000055	Syao.g_00498	Praw.g_01716
OG0000057	Syao.g_00377	Praw.g_01824
OG0000059	Syao.g_01801	Praw.g_01894
OG0000060	Syao.g_00312	Praw.g_01743
OG0000061	Syao.g_00123	Praw.g_00234
OG0000062	Syao.g_01576	Praw.g_00415
OG0000063	Syao.g_02230	Praw.g_01395
OG0000065	Syao.g_02600	Praw.g_01328
OG0000066	Syao.g_01422	Praw.g_00609
OG0000067	Syao.g_00756	Praw.g_01697
OG0000068	Syao.g_00868, Syao.g_00036	Praw.g_01016
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Praw.g_00448
OG0000070	Syao.g_00330	Praw.g_00697
OG0000071	Syao.g_01433	Praw.g_00981
OG0000072	Syao.g_02509, Syao.g_01749	Praw.g_01264
OG0000073	Syao.g_00103	Praw.g_00649
OG0000075	Syao.g_02257	Praw.g_00064
OG0000076	Syao.g_01949	Praw.g_00039
OG0000077	Syao.g_02629	Praw.g_01356
OG0000078	Syao.g_01709	Praw.g_01196
OG0000082	Syao.g_01035	Praw.g_01932
OG0000084	Syao.g_01509, Syao.g_02606	Praw.g_01087
OG0000085	Syao.g_01569	Praw.g_00508
OG0000086	Syao.g_02653, Syao.g_01240	Praw.g_01346
OG0000087	Syao.g_02555	Praw.g_01296
OG0000088	Syao.g_02503	Praw.g_01269
OG0000089	Syao.g_01716	Praw.g_00776
OG0000090	Syao.g_01412	Praw.g_00615
OG0000091	Syao.g_00902	Praw.g_01880
OG0000093	Syao.g_00739	Praw.g_01571
OG0000094	Syao.g_00458	Praw.g_01486
OG0000095	Syao.g_00331	Praw.g_01467
OG0000097	Syao.g_00973	Praw.g_00275
OG0000098	Syao.g_01374	Praw.g_00997
OG0000099	Syao.g_02019	Praw.g_01051
OG0000100	Syao.g_00787	Praw.g_00411
OG0000101	Syao.g_01840	Praw.g_00096
OG0000102	Syao.g_01945	Praw.g_00034
OG0000103	Syao.g_02340	Praw.g_01148
OG0000104	Syao.g_02157	Praw.g_01140
OG0000105	Syao.g_02071, Syao.g_02072	Praw.g_00860
OG0000106	Syao.g_01385	Praw.g_00762
OG0000107	Syao.g_01935	Praw.g_00748
OG0000108	Syao.g_00028	Praw.g_00667
OG0000109	Syao.g_00110	Praw.g_00654
OG0000110	Syao.g_01051	Praw.g_01922
OG0000111	Syao.g_00378	Praw.g_01823
OG0000112	Syao.g_00683, Syao.g_00303	Praw.g_01732
OG0000113	Syao.g_00782	Praw.g_01675
OG0000114	Syao.g_00965	Praw.g_01597
OG0000115	Syao.g_01464, Syao.g_00065	Praw.g_00178
OG0000116	Syao.g_00137	Praw.g_00224
OG0000117	Syao.g_00169	Praw.g_00926
OG0000118	Syao.g_01475	Praw.g_00993
OG0000120	Syao.g_02009	Praw.g_01050
OG0000121	Syao.g_01489	Praw.g_01078
OG0000122	Syao.g_01247	Praw.g_00377
OG0000123	Syao.g_01832	Praw.g_00089
OG0000124	Syao.g_02179	Praw.g_00023
OG0000125	Syao.g_02444	Praw.g_01180
OG0000126	Syao.g_02198	Praw.g_01141
OG0000128	Syao.g_02149	Praw.g_01125
OG0000129	Syao.g_02434	Praw.g_01384
OG0000130	Syao.g_02617	Praw.g_01365
OG0000131	Syao.g_02480	Praw.g_01290
OG0000132	Syao.g_02501	Praw.g_01271
OG0000133	Syao.g_00678	Praw.g_00812
OG0000134	Syao.g_01719	Praw.g_00775
OG0000135	Syao.g_00147	Praw.g_00751
OG0000136	Syao.g_01614, Syao.g_01613	Praw.g_00706
OG0000137	Syao.g_02682	Praw.g_00672
OG0000138	Syao.g_00108	Praw.g_00653
OG0000139	Syao.g_01418, Syao.g_02005	Praw.g_00611
OG0000140	Syao.g_01373, Syao.g_01372	Praw.g_00610
OG0000141	Syao.g_01202	Praw.g_00143
OG0000142	Syao.g_00894	Praw.g_01887
OG0000143	Syao.g_00898	Praw.g_01883
OG0000145	Syao.g_00102	Praw.g_01745
OG0000146	Syao.g_00684, Syao.g_00304	Praw.g_01731
OG0000147	Syao.g_00305, Syao.g_00685	Praw.g_01730
OG0000148	Syao.g_00776	Praw.g_01681
OG0000149	Syao.g_00534	Praw.g_01652
OG0000150	Syao.g_01203	Praw.g_01644
OG0000151	Syao.g_00975	Praw.g_01587
OG0000152	Syao.g_00674	Praw.g_01539
OG0000153	Syao.g_00818, Syao.g_01176	Praw.g_01520
OG0000154	Syao.g_00447	Praw.g_01493
OG0000155	Syao.g_00178	Praw.g_00254
OG0000156	Syao.g_00151	Praw.g_00968
OG0000157	Syao.g_00152	Praw.g_00969
OG0000158	Syao.g_01141, Syao.g_02267	Praw.g_01052
OG0000159	Syao.g_02276	Praw.g_01054
OG0000160	Syao.g_01488	Praw.g_01079, Praw.g_01080
OG0000161	Syao.g_01494	Praw.g_00344
OG0000162	Syao.g_01515	Praw.g_00350
OG0000163	Syao.g_01745	Praw.g_00384
OG0000164	Syao.g_01663	Praw.g_00539
OG0000165	Syao.g_01655	Praw.g_00546
OG0000166	Syao.g_01790	Praw.g_00132
OG0000167	Syao.g_01960	Praw.g_00066
OG0000168	Syao.g_02128	Praw.g_00056
OG0000169	Syao.g_02139	Praw.g_00046
OG0000170	Syao.g_02148	Praw.g_00044
OG0000171	Syao.g_02181	Praw.g_00024
OG0000172	Syao.g_02170	Praw.g_00016
OG0000173	Syao.g_02212	Praw.g_00001
OG0000174	Syao.g_02364, Syao.g_02355	Praw.g_01166
OG0000175	Syao.g_02327, Syao.g_00308	Praw.g_01156
OG0000176	Syao.g_02165	Praw.g_01132
OG0000177	Syao.g_02156	Praw.g_01131
OG0000178	Syao.g_02155	Praw.g_01130
OG0000179	Syao.g_02250	Praw.g_01412
OG0000180	Syao.g_02249	Praw.g_01411
OG0000181	Syao.g_02248	Praw.g_01410
OG0000182	Syao.g_02247	Praw.g_01409
OG0000183	Syao.g_02243	Praw.g_01405
OG0000184	Syao.g_02423	Praw.g_01382
OG0000185	Syao.g_02410	Praw.g_01379
OG0000186	Syao.g_02613	Praw.g_01370
OG0000187	Syao.g_02615	Praw.g_01369
OG0000188	Syao.g_02637	Praw.g_01352
OG0000189	Syao.g_02672	Praw.g_01339
OG0000190	Syao.g_01015	Praw.g_01338
OG0000191	Syao.g_02573	Praw.g_01318
OG0000192	Syao.g_02579	Praw.g_01314
OG0000193	Syao.g_02481	Praw.g_01289
OG0000194	Syao.g_02484	Praw.g_01286
OG0000195	Syao.g_02486	Praw.g_01284
OG0000196	Syao.g_02498	Praw.g_01274
OG0000197	Syao.g_02499	Praw.g_01273
OG0000198	Syao.g_02500	Praw.g_01272
OG0000199	Syao.g_02508	Praw.g_01265
OG0000200	Syao.g_02524	Praw.g_01251
OG0000201	Syao.g_02540	Praw.g_01243
OG0000202	Syao.g_02454	Praw.g_01242
OG0000203	Syao.g_02455	Praw.g_01241
OG0000204	Syao.g_02456	Praw.g_01240
OG0000205	Syao.g_02464	Praw.g_01233
OG0000206	Syao.g_02469	Praw.g_01228
OG0000207	Syao.g_02471	Praw.g_01226
OG0000208	Syao.g_02472	Praw.g_01225
OG0000209	Syao.g_02394	Praw.g_01216
OG0000210	Syao.g_02395	Praw.g_01215
OG0000211	Syao.g_01700	Praw.g_01202
OG0000212	Syao.g_01710	Praw.g_01195
OG0000213	Syao.g_02098	Praw.g_00876
OG0000214	Syao.g_02081	Praw.g_00867
OG0000215	Syao.g_02050	Praw.g_00842
OG0000216	Syao.g_02045	Praw.g_00840
OG0000217	Syao.g_02041	Praw.g_00837
OG0000218	Syao.g_02039	Praw.g_00835
OG0000219	Syao.g_02038	Praw.g_00834
OG0000220	Syao.g_02037	Praw.g_00833
OG0000221	Syao.g_02034	Praw.g_00832
OG0000222	Syao.g_02023	Praw.g_00824
OG0000223	Syao.g_00291	Praw.g_00811
OG0000224	Syao.g_01973	Praw.g_00809
OG0000225	Syao.g_01751	Praw.g_00786
OG0000226	Syao.g_01758	Praw.g_00782
OG0000227	Syao.g_01760	Praw.g_00780
OG0000228	Syao.g_01715	Praw.g_00777
OG0000229	Syao.g_01736	Praw.g_00711
OG0000230	Syao.g_01738	Praw.g_00709
OG0000231	Syao.g_01513	Praw.g_00698
OG0000232	Syao.g_00057	Praw.g_00689
OG0000233	Syao.g_02698	Praw.g_00684
OG0000234	Syao.g_02680	Praw.g_00671
OG0000235	Syao.g_00029	Praw.g_00668
OG0000236	Syao.g_00111	Praw.g_00655
OG0000237	Syao.g_00166	Praw.g_00642
OG0000238	Syao.g_00161	Praw.g_00636
OG0000239	Syao.g_01398	Praw.g_00623
OG0000240	Syao.g_01399	Praw.g_00622
OG0000241	Syao.g_00887	Praw.g_00618
OG0000242	Syao.g_01410	Praw.g_00616
OG0000243	Syao.g_00873	Praw.g_00605
OG0000244	Syao.g_00865	Praw.g_00602
OG0000245	Syao.g_00863	Praw.g_00600
OG0000246	Syao.g_00859	Praw.g_00596
OG0000247	Syao.g_00847	Praw.g_00586
OG0000248	Syao.g_00844	Praw.g_00584
OG0000249	Syao.g_00842	Praw.g_00582
OG0000250	Syao.g_00835	Praw.g_00577
OG0000251	Syao.g_01026	Praw.g_01937
OG0000252	Syao.g_01020	Praw.g_01940
OG0000253	Syao.g_01003	Praw.g_01941
OG0000254	Syao.g_01053	Praw.g_00147
OG0000255	Syao.g_01009	Praw.g_00153
OG0000256	Syao.g_01328	Praw.g_00163
OG0000257	Syao.g_00884	Praw.g_00166
OG0000258	Syao.g_00907	Praw.g_01879
OG0000259	Syao.g_00933, Syao.g_00932	Praw.g_01862
OG0000260	Syao.g_00936	Praw.g_01859
OG0000261	Syao.g_00941	Praw.g_01857
OG0000262	Syao.g_00946	Praw.g_01853
OG0000263	Syao.g_00247	Praw.g_01841
OG0000264	Syao.g_00699	Praw.g_01831
OG0000265	Syao.g_00049	Praw.g_01809
OG0000266	Syao.g_00480	Praw.g_01799
OG0000267	Syao.g_00589	Praw.g_01788
OG0000268	Syao.g_00588	Praw.g_01787
OG0000269	Syao.g_00751	Praw.g_01702
OG0000270	Syao.g_00754	Praw.g_01699
OG0000271	Syao.g_00762	Praw.g_01691
OG0000272	Syao.g_00763	Praw.g_01690
OG0000273	Syao.g_00791	Praw.g_01668
OG0000274	Syao.g_00792	Praw.g_01667
OG0000275	Syao.g_00438	Praw.g_01665
OG0000276	Syao.g_00558	Praw.g_01660
OG0000277	Syao.g_00557	Praw.g_01659
OG0000278	Syao.g_00554	Praw.g_01656
OG0000279	Syao.g_00529	Praw.g_01649
OG0000280	Syao.g_00608	Praw.g_01648
OG0000281	Syao.g_01377	Praw.g_01643
OG0000282	Syao.g_00967	Praw.g_01595
OG0000283	Syao.g_00640	Praw.g_01562
OG0000284	Syao.g_00634	Praw.g_01557
OG0000285	Syao.g_00706	Praw.g_01552
OG0000286	Syao.g_00675	Praw.g_01540
OG0000287	Syao.g_00825	Praw.g_01523
OG0000288	Syao.g_00446	Praw.g_01494
OG0000289	Syao.g_00461	Praw.g_01483
OG0000290	Syao.g_00428	Praw.g_01470
OG0000291	Syao.g_00333	Praw.g_01468
OG0000292	Syao.g_02196	Praw.g_01418
OG0000293	Syao.g_00136	Praw.g_00225
OG0000294	Syao.g_00135	Praw.g_00226
OG0000295	Syao.g_00186	Praw.g_00246
OG0000296	Syao.g_00184	Praw.g_00248
OG0000297	Syao.g_00171	Praw.g_00256
OG0000298	Syao.g_00170	Praw.g_00257
OG0000299	Syao.g_00231	Praw.g_00274
OG0000300	Syao.g_00274	Praw.g_00277
OG0000301	Syao.g_00272, Syao.g_00273	Praw.g_00278
OG0000302	Syao.g_00271	Praw.g_00280
OG0000303	Syao.g_00262	Praw.g_00287
OG0000304	Syao.g_00256	Praw.g_00291
OG0000305	Syao.g_00388	Praw.g_01008
OG0000306	Syao.g_01216	Praw.g_01011
OG0000307	Syao.g_00045	Praw.g_01025
OG0000308	Syao.g_00047	Praw.g_01026
OG0000309	Syao.g_02705	Praw.g_01030
OG0000310	Syao.g_01530	Praw.g_01098
OG0000311	Syao.g_01533	Praw.g_01096
OG0000312	Syao.g_01538	Praw.g_01093
OG0000313	Syao.g_01491	Praw.g_01076
OG0000314	Syao.g_00078	Praw.g_00363
OG0000315	Syao.g_00088	Praw.g_00374
OG0000316	Syao.g_01602	Praw.g_00394
OG0000317	Syao.g_01560	Praw.g_00513
OG0000318	Syao.g_01553	Praw.g_00516
OG0000319	Syao.g_01678	Praw.g_00529
OG0000320	Syao.g_01676	Praw.g_00531
OG0000321	Syao.g_01675	Praw.g_00532
OG0000322	Syao.g_01674	Praw.g_00533
OG0000323	Syao.g_01661	Praw.g_00542
OG0000324	Syao.g_01630	Praw.g_00569
OG0000325	Syao.g_01936	Praw.g_01916
OG0000326	Syao.g_01918	Praw.g_01910
OG0000327	Syao.g_01795	Praw.g_00137
OG0000328	Syao.g_01794	Praw.g_00136
OG0000329	Syao.g_01776	Praw.g_00119
OG0000330	Syao.g_01775	Praw.g_00118
OG0000331	Syao.g_01774	Praw.g_00117
OG0000332	Syao.g_01813	Praw.g_00103
OG0000333	Syao.g_01810	Praw.g_00101
OG0000334	Syao.g_01836	Praw.g_00093
OG0000335	Syao.g_01831	Praw.g_00088
OG0000336	Syao.g_01827	Praw.g_00084
OG0000337	Syao.g_01968	Praw.g_00068
OG0000338	Syao.g_01962	Praw.g_00067
OG0000339	Syao.g_02259	Praw.g_00063
OG0000340	Syao.g_02129	Praw.g_00055
OG0000341	Syao.g_02131	Praw.g_00053
OG0000342	Syao.g_02132	Praw.g_00052
OG0000343	Syao.g_02133	Praw.g_00051
OG0000344	Syao.g_02137	Praw.g_00048
OG0000345	Syao.g_01953	Praw.g_00043
OG0000346	Syao.g_01948	Praw.g_00038
OG0000347	Syao.g_02178	Praw.g_00022
OG0000348	Syao.g_02166	Praw.g_00013
OG0000349	Syao.g_02219	Praw.g_01189
OG0000350	Syao.g_01925	Praw.g_01170
OG0000351	Syao.g_02331	Praw.g_01153
OG0000352	Syao.g_02332	Praw.g_01152
OG0000353	Syao.g_02160	Praw.g_01137
OG0000354	Syao.g_02252	Praw.g_00910
OG0000355	Syao.g_02162	Praw.g_01135
OG0000356	Syao.g_02163	Praw.g_01134
OG0000357	Syao.g_02164	Praw.g_01133
OG0000358	Syao.g_02154	Praw.g_01129
OG0000359	Syao.g_02152	Praw.g_01128
OG0000360	Syao.g_02151	Praw.g_01127
OG0000361	Syao.g_02150	Praw.g_01126
OG0000362	Syao.g_01954	Praw.g_01124
OG0000363	Syao.g_02255	Praw.g_01414
OG0000364	Syao.g_01558	Praw.g_01413
OG0000365	Syao.g_02246	Praw.g_01408
OG0000366	Syao.g_02245	Praw.g_01407
OG0000367	Syao.g_02244	Praw.g_01406
OG0000368	Syao.g_02242	Praw.g_01404
OG0000369	Syao.g_02241	Praw.g_01403
OG0000370	Syao.g_02240	Praw.g_01402
OG0000371	Syao.g_02231	Praw.g_01396
OG0000372	Syao.g_02226	Praw.g_01393
OG0000373	Syao.g_02225	Praw.g_01392
OG0000374	Syao.g_02224	Praw.g_01391
OG0000375	Syao.g_02223	Praw.g_01388
OG0000376	Syao.g_02221	Praw.g_01386
OG0000377	Syao.g_02429	Praw.g_01383
OG0000378	Syao.g_02414	Praw.g_01381
OG0000379	Syao.g_02409	Praw.g_01378
OG0000380	Syao.g_02616	Praw.g_01368
OG0000381	Syao.g_02618	Praw.g_01364
OG0000382	Syao.g_02636	Praw.g_01353
OG0000383	Syao.g_02643	Praw.g_01351
OG0000384	Syao.g_02644	Praw.g_01350
OG0000385	Syao.g_02645	Praw.g_01349
OG0000386	Syao.g_02646	Praw.g_01348
OG0000387	Syao.g_01019	Praw.g_01336
OG0000388	Syao.g_02596	Praw.g_01333
OG0000389	Syao.g_02599	Praw.g_01329
OG0000390	Syao.g_02567	Praw.g_01322
OG0000391	Syao.g_02572	Praw.g_01319
OG0000392	Syao.g_02578	Praw.g_01315
OG0000393	Syao.g_02581	Praw.g_01313
OG0000394	Syao.g_02582	Praw.g_01312
OG0000395	Syao.g_02583	Praw.g_01311
OG0000396	Syao.g_02586	Praw.g_01308
OG0000397	Syao.g_02542	Praw.g_01306
OG0000398	Syao.g_02547	Praw.g_01304
OG0000399	Syao.g_02548	Praw.g_01303
OG0000400	Syao.g_02549	Praw.g_01302
OG0000401	Syao.g_02550	Praw.g_01301
OG0000402	Syao.g_02552	Praw.g_01299
OG0000403	Syao.g_02553	Praw.g_01298
OG0000404	Syao.g_02554	Praw.g_01297
OG0000405	Syao.g_02478	Praw.g_01293
OG0000406	Syao.g_02482	Praw.g_01288
OG0000407	Syao.g_02483	Praw.g_01287
OG0000408	Syao.g_02485	Praw.g_01285
OG0000409	Syao.g_02487	Praw.g_01283
OG0000410	Syao.g_02488	Praw.g_01282
OG0000411	Syao.g_02489	Praw.g_01281
OG0000412	Syao.g_02490	Praw.g_01280
OG0000413	Syao.g_02492	Praw.g_01279
OG0000414	Syao.g_02493	Praw.g_01278
OG0000415	Syao.g_02494	Praw.g_01277
OG0000416	Syao.g_02495	Praw.g_01276
OG0000417	Syao.g_02497	Praw.g_01275
OG0000418	Syao.g_02502	Praw.g_01270
OG0000419	Syao.g_02504	Praw.g_01268
OG0000420	Syao.g_02506	Praw.g_01267
OG0000421	Syao.g_02510	Praw.g_01262
OG0000422	Syao.g_02511	Praw.g_01261
OG0000423	Syao.g_02512	Praw.g_01260
OG0000424	Syao.g_02513	Praw.g_01259
OG0000425	Syao.g_02514	Praw.g_01258
OG0000426	Syao.g_02515	Praw.g_01257
OG0000427	Syao.g_02516	Praw.g_01256
OG0000428	Syao.g_02519	Praw.g_01254
OG0000429	Syao.g_02522	Praw.g_01253
OG0000430	Syao.g_02523	Praw.g_01252
OG0000431	Syao.g_02526	Praw.g_01250
OG0000432	Syao.g_02532	Praw.g_01247
OG0000433	Syao.g_02534	Praw.g_01246
OG0000434	Syao.g_02535	Praw.g_01245
OG0000435	Syao.g_02538	Praw.g_01244
OG0000436	Syao.g_02458	Praw.g_01239
OG0000437	Syao.g_02459	Praw.g_01238
OG0000438	Syao.g_02460	Praw.g_01237
OG0000439	Syao.g_02462	Praw.g_01235
OG0000440	Syao.g_02463	Praw.g_01234
OG0000441	Syao.g_02466	Praw.g_01231
OG0000442	Syao.g_02467	Praw.g_01230
OG0000443	Syao.g_02468	Praw.g_01229
OG0000444	Syao.g_02473	Praw.g_01224
OG0000445	Syao.g_02474	Praw.g_01223
OG0000446	Syao.g_02476	Praw.g_01222
OG0000447	Syao.g_02383	Praw.g_01221
OG0000448	Syao.g_02384	Praw.g_01220
OG0000449	Syao.g_02385	Praw.g_01219
OG0000450	Syao.g_02391	Praw.g_01218
OG0000451	Syao.g_02392	Praw.g_01217
OG0000452	Syao.g_02396	Praw.g_01214
OG0000453	Syao.g_02397	Praw.g_01213
OG0000454	Syao.g_02398	Praw.g_01212
OG0000455	Syao.g_02399	Praw.g_01211
OG0000456	Syao.g_02400	Praw.g_01210
OG0000457	Syao.g_02402	Praw.g_01209
OG0000458	Syao.g_02403	Praw.g_01208
OG0000459	Syao.g_02404	Praw.g_01207
OG0000460	Syao.g_01702	Praw.g_01200
OG0000461	Syao.g_02119	Praw.g_00891
OG0000462	Syao.g_02116	Praw.g_00889
OG0000463	Syao.g_02115	Praw.g_00888
OG0000464	Syao.g_02114	Praw.g_00887
OG0000465	Syao.g_02112	Praw.g_00886
OG0000466	Syao.g_02107	Praw.g_00883
OG0000467	Syao.g_02106	Praw.g_00882
OG0000468	Syao.g_02102	Praw.g_00880
OG0000469	Syao.g_02087	Praw.g_00872
OG0000470	Syao.g_02085	Praw.g_00870
OG0000471	Syao.g_02084	Praw.g_00869
OG0000472	Syao.g_02082	Praw.g_00868
OG0000473	Syao.g_02080	Praw.g_00866
OG0000474	Syao.g_02079	Praw.g_00865
OG0000475	Syao.g_02078	Praw.g_00864
OG0000476	Syao.g_02076	Praw.g_00863
OG0000477	Syao.g_02069	Praw.g_00859
OG0000478	Syao.g_02068	Praw.g_00858
OG0000479	Syao.g_02067	Praw.g_00857
OG0000480	Syao.g_02060	Praw.g_00852
OG0000481	Syao.g_01012	Praw.g_00850
OG0000482	Syao.g_02058	Praw.g_00849
OG0000483	Syao.g_02054	Praw.g_00846
OG0000484	Syao.g_02053	Praw.g_00845
OG0000485	Syao.g_02052	Praw.g_00844
OG0000486	Syao.g_02051	Praw.g_00843
OG0000487	Syao.g_02044	Praw.g_00839
OG0000488	Syao.g_02040	Praw.g_00836
OG0000489	Syao.g_02033	Praw.g_00831
OG0000490	Syao.g_02025	Praw.g_00826
OG0000491	Syao.g_02024	Praw.g_00825
OG0000492	Syao.g_02022	Praw.g_00823
OG0000493	Syao.g_02021	Praw.g_00822
OG0000494	Syao.g_02020	Praw.g_00821
OG0000495	Syao.g_02018	Praw.g_00820
OG0000496	Syao.g_02017	Praw.g_00819
OG0000497	Syao.g_02016	Praw.g_00818
OG0000498	Syao.g_02015	Praw.g_00817
OG0000499	Syao.g_02014	Praw.g_00816
OG0000500	Syao.g_02013	Praw.g_00815
OG0000501	Syao.g_02010	Praw.g_00813
OG0000502	Syao.g_01974	Praw.g_00810
OG0000503	Syao.g_01877	Praw.g_00796
OG0000504	Syao.g_01875	Praw.g_00795
OG0000505	Syao.g_01874	Praw.g_00794
OG0000506	Syao.g_01872	Praw.g_00792
OG0000507	Syao.g_01866	Praw.g_00790
OG0000508	Syao.g_01750	Praw.g_00787
OG0000509	Syao.g_01755	Praw.g_00785
OG0000510	Syao.g_01756	Praw.g_00784
OG0000511	Syao.g_01757	Praw.g_00783
OG0000512	Syao.g_01759	Praw.g_00781
OG0000513	Syao.g_01720	Praw.g_00774
OG0000514	Syao.g_01727	Praw.g_00716
OG0000515	Syao.g_01728	Praw.g_00715
OG0000516	Syao.g_01730	Praw.g_00714
OG0000517	Syao.g_01735	Praw.g_00712
OG0000518	Syao.g_01621	Praw.g_00701
OG0000519	Syao.g_01622	Praw.g_00700
OG0000520	Syao.g_01512	Praw.g_00699
OG0000521	Syao.g_00061	Praw.g_00694
OG0000522	Syao.g_00059	Praw.g_00692
OG0000523	Syao.g_00058	Praw.g_00691
OG0000524	Syao.g_02699	Praw.g_00686
OG0000525	Syao.g_02691	Praw.g_00683
OG0000526	Syao.g_02688	Praw.g_00682
OG0000527	Syao.g_02684	Praw.g_00674
OG0000528	Syao.g_00031	Praw.g_00669
OG0000529	Syao.g_00027	Praw.g_00666
OG0000530	Syao.g_00122	Praw.g_00664
OG0000531	Syao.g_00121	Praw.g_00663
OG0000532	Syao.g_00118	Praw.g_00661
OG0000533	Syao.g_00116	Praw.g_00660
OG0000534	Syao.g_00115	Praw.g_00659
OG0000535	Syao.g_00114	Praw.g_00658
OG0000536	Syao.g_00113	Praw.g_00657
OG0000537	Syao.g_00112	Praw.g_00656
OG0000538	Syao.g_00100	Praw.g_00648
OG0000539	Syao.g_00099	Praw.g_00647
OG0000540	Syao.g_00098	Praw.g_00646
OG0000541	Syao.g_00097	Praw.g_00645
OG0000542	Syao.g_00167	Praw.g_00643
OG0000543	Syao.g_00165	Praw.g_00641
OG0000544	Syao.g_00164	Praw.g_00640
OG0000545	Syao.g_00162	Praw.g_00638
OG0000546	Syao.g_00160	Praw.g_00635
OG0000547	Syao.g_00158	Praw.g_00633
OG0000548	Syao.g_00157	Praw.g_00632
OG0000549	Syao.g_01391	Praw.g_00630
OG0000550	Syao.g_01396	Praw.g_00625
OG0000551	Syao.g_01401	Praw.g_00621
OG0000552	Syao.g_01402	Praw.g_00620
OG0000553	Syao.g_01404	Praw.g_00619
OG0000554	Syao.g_01413	Praw.g_00614
OG0000555	Syao.g_00875	Praw.g_00606
OG0000556	Syao.g_00871	Praw.g_00604
OG0000557	Syao.g_00866	Praw.g_00603
OG0000558	Syao.g_00864	Praw.g_00601
OG0000559	Syao.g_00860	Praw.g_00597
OG0000560	Syao.g_00857	Praw.g_00594
OG0000561	Syao.g_00856	Praw.g_00593
OG0000562	Syao.g_00855	Praw.g_00592
OG0000563	Syao.g_00854	Praw.g_00591
OG0000564	Syao.g_00853	Praw.g_00590
OG0000565	Syao.g_00849	Praw.g_00587
OG0000566	Syao.g_00845	Praw.g_00585
OG0000567	Syao.g_00841	Praw.g_00581
OG0000568	Syao.g_00839	Praw.g_00580
OG0000569	Syao.g_00838	Praw.g_00579
OG0000570	Syao.g_00837	Praw.g_00578
OG0000571	Syao.g_00834	Praw.g_00576
OG0000572	Syao.g_01033	Praw.g_01933
OG0000573	Syao.g_01022	Praw.g_01938
OG0000574	Syao.g_01021	Praw.g_01939
OG0000575	Syao.g_01000	Praw.g_01943
OG0000576	Syao.g_00996	Praw.g_01945
OG0000577	Syao.g_00995	Praw.g_01946
OG0000578	Syao.g_00994	Praw.g_01947
OG0000579	Syao.g_00993	Praw.g_01948
OG0000580	Syao.g_00992	Praw.g_01949
OG0000581	Syao.g_01059	Praw.g_00141
OG0000582	Syao.g_01204	Praw.g_00144
OG0000583	Syao.g_01205	Praw.g_00145
OG0000584	Syao.g_01206	Praw.g_00146
OG0000585	Syao.g_01054	Praw.g_00148
OG0000586	Syao.g_01055	Praw.g_00149
OG0000587	Syao.g_01057	Praw.g_00150
OG0000588	Syao.g_00406	Praw.g_00154
OG0000589	Syao.g_01342	Praw.g_00157
