Orthogroup	Syao	Prbm
OG0000100	Syao.g_00787	Prbm.g_01787
OG0000101	Syao.g_01840	Prbm.g_02033
OG0000102	Syao.g_01945	Prbm.g_02099
OG0000103	Syao.g_02340	Prbm.g_02218
OG0000104	Syao.g_02157	Prbm.g_02229
OG0000105	Syao.g_02071, Syao.g_02072	Prbm.g_00331
OG0000106	Syao.g_01385	Prbm.g_01172, Prbm.g_01237
OG0000107	Syao.g_01935	Prbm.g_01949
OG0000108	Syao.g_00028	Prbm.g_00506
OG0000109	Syao.g_00110	Prbm.g_00519
OG0000110	Syao.g_01051	Prbm.g_00607
OG0000111	Syao.g_00378	Prbm.g_00736
OG0000112	Syao.g_00683, Syao.g_00303	Prbm.g_00980
OG0000113	Syao.g_00782	Prbm.g_00838, Prbm.g_01191
OG0000114	Syao.g_00965	Prbm.g_00929
OG0000115	Syao.g_01464, Syao.g_00065	Prbm.g_01803
OG0000116	Syao.g_00137	Prbm.g_01560
OG0000117	Syao.g_00169	Prbm.g_01522
OG0000118	Syao.g_01475	Prbm.g_01622
OG0000120	Syao.g_02009	Prbm.g_00707
OG0000121	Syao.g_01489	Prbm.g_01712
OG0000122	Syao.g_01247	Prbm.g_01751
OG0000123	Syao.g_01832	Prbm.g_02040
OG0000124	Syao.g_02179	Prbm.g_02111
OG0000125	Syao.g_02444	Prbm.g_02176
OG0000126	Syao.g_02198	Prbm.g_02228
OG0000127	Syao.g_01312	Prbm.g_01293, Prbm.g_01292
OG0000128	Syao.g_02149	Prbm.g_00011
OG0000129	Syao.g_02434	Prbm.g_00053
OG0000130	Syao.g_02617	Prbm.g_00126
OG0000131	Syao.g_02480	Prbm.g_00204
OG0000132	Syao.g_02501	Prbm.g_00223
OG0000133	Syao.g_00678	Prbm.g_00377
OG0000134	Syao.g_01719	Prbm.g_00425
OG0000135	Syao.g_00147	Prbm.g_01389
OG0000136	Syao.g_01614, Syao.g_01613	Prbm.g_00451
OG0000137	Syao.g_02682	Prbm.g_00500
OG0000138	Syao.g_00108	Prbm.g_00520
OG0000139	Syao.g_01418, Syao.g_02005	Prbm.g_00570
OG0000140	Syao.g_01373, Syao.g_01372	Prbm.g_00571
OG0000141	Syao.g_01202	Prbm.g_00638
OG0000142	Syao.g_00894	Prbm.g_00666
OG0000143	Syao.g_00898	Prbm.g_00670
OG0000145	Syao.g_00102	Prbm.g_01094
OG0000146	Syao.g_00684, Syao.g_00304	Prbm.g_00979
OG0000147	Syao.g_00305, Syao.g_00685	Prbm.g_00978
OG0000148	Syao.g_00776	Prbm.g_00832
OG0000149	Syao.g_00534	Prbm.g_00862
OG0000150	Syao.g_01203	Prbm.g_00870
OG0000151	Syao.g_00975	Prbm.g_00940
OG0000152	Syao.g_00674	Prbm.g_00988
OG0000153	Syao.g_00818, Syao.g_01176	Prbm.g_01006
OG0000154	Syao.g_00447	Prbm.g_01035
OG0000155	Syao.g_00178	Prbm.g_01527
OG0000156	Syao.g_00151	Prbm.g_01600
OG0000157	Syao.g_00152	Prbm.g_01601
OG0000158	Syao.g_01141, Syao.g_02267	Prbm.g_02077
OG0000159	Syao.g_02276	Prbm.g_02133
OG0000160	Syao.g_01488	Prbm.g_01711
OG0000161	Syao.g_01494	Prbm.g_01717
OG0000162	Syao.g_01515	Prbm.g_01723
OG0000163	Syao.g_01745	Prbm.g_01759
OG0000164	Syao.g_01663	Prbm.g_01863
OG0000165	Syao.g_01655	Prbm.g_01871
OG0000166	Syao.g_01790	Prbm.g_01996
OG0000167	Syao.g_01960	Prbm.g_02067
OG0000168	Syao.g_02128	Prbm.g_02078
OG0000169	Syao.g_02139	Prbm.g_02088
OG0000170	Syao.g_02148	Prbm.g_02090
OG0000171	Syao.g_02181	Prbm.g_02110
OG0000172	Syao.g_02170	Prbm.g_02146
OG0000173	Syao.g_02212	Prbm.g_02161
OG0000174	Syao.g_02364, Syao.g_02355	Prbm.g_02192
OG0000175	Syao.g_02327, Syao.g_00308	Prbm.g_02209
OG0000176	Syao.g_02165	Prbm.g_00004
OG0000177	Syao.g_02156	Prbm.g_00005
OG0000178	Syao.g_02155	Prbm.g_00006
OG0000179	Syao.g_02250	Prbm.g_00016
OG0000180	Syao.g_02249	Prbm.g_00017
OG0000181	Syao.g_02248	Prbm.g_00018
OG0000182	Syao.g_02247	Prbm.g_00019
OG0000183	Syao.g_02243	Prbm.g_00023
OG0000184	Syao.g_02423	Prbm.g_00055
OG0000185	Syao.g_02410	Prbm.g_00058
OG0000186	Syao.g_02613	Prbm.g_00121
OG0000187	Syao.g_02615	Prbm.g_00122
OG0000188	Syao.g_02637	Prbm.g_00139
OG0000189	Syao.g_02672	Prbm.g_00153
OG0000190	Syao.g_01015	Prbm.g_00154
OG0000191	Syao.g_02573	Prbm.g_00177
OG0000192	Syao.g_02579	Prbm.g_00181
OG0000193	Syao.g_02481	Prbm.g_00205
OG0000194	Syao.g_02484	Prbm.g_00208
OG0000195	Syao.g_02486	Prbm.g_00210
OG0000196	Syao.g_02498	Prbm.g_00220
OG0000197	Syao.g_02499	Prbm.g_00221
OG0000198	Syao.g_02500	Prbm.g_00222
OG0000199	Syao.g_02508	Prbm.g_00229
OG0000200	Syao.g_02524	Prbm.g_00243
OG0000201	Syao.g_02540	Prbm.g_00252
OG0000202	Syao.g_02454	Prbm.g_00253
OG0000203	Syao.g_02455	Prbm.g_00254
OG0000204	Syao.g_02456	Prbm.g_00255
OG0000205	Syao.g_02464	Prbm.g_00262
OG0000206	Syao.g_02469	Prbm.g_00266
OG0000207	Syao.g_02471	Prbm.g_00268
OG0000208	Syao.g_02472	Prbm.g_00269
OG0000209	Syao.g_02394	Prbm.g_00278
OG0000210	Syao.g_02395	Prbm.g_00279
OG0000211	Syao.g_01700	Prbm.g_00293
OG0000212	Syao.g_01710	Prbm.g_00301
OG0000213	Syao.g_02098	Prbm.g_00317
OG0000214	Syao.g_02081	Prbm.g_00325
OG0000215	Syao.g_02050	Prbm.g_00349
OG0000216	Syao.g_02045	Prbm.g_00350
OG0000217	Syao.g_02041	Prbm.g_00353
OG0000218	Syao.g_02039	Prbm.g_00355
OG0000219	Syao.g_02038	Prbm.g_00356
OG0000220	Syao.g_02037	Prbm.g_00357
OG0000221	Syao.g_02034	Prbm.g_00358
OG0000222	Syao.g_02023	Prbm.g_00366
OG0000223	Syao.g_00291	Prbm.g_00378
OG0000224	Syao.g_01973	Prbm.g_00380
OG0000225	Syao.g_01751	Prbm.g_00411
OG0000226	Syao.g_01758	Prbm.g_00415
OG0000227	Syao.g_01760	Prbm.g_00417
OG0000228	Syao.g_01715	Prbm.g_00422
OG0000229	Syao.g_01736	Prbm.g_00446
OG0000230	Syao.g_01738	Prbm.g_00448
OG0000231	Syao.g_01513	Prbm.g_00459
OG0000232	Syao.g_00057	Prbm.g_00484
OG0000233	Syao.g_02698	Prbm.g_00492
OG0000234	Syao.g_02680	Prbm.g_00501
OG0000235	Syao.g_00029	Prbm.g_00505
OG0000236	Syao.g_00111	Prbm.g_00518
OG0000237	Syao.g_00166	Prbm.g_00540
OG0000238	Syao.g_00161	Prbm.g_00546
OG0000239	Syao.g_01398	Prbm.g_00558
OG0000240	Syao.g_01399	Prbm.g_00559
OG0000241	Syao.g_00887	Prbm.g_00563
OG0000242	Syao.g_01410	Prbm.g_00565
OG0000243	Syao.g_00873	Prbm.g_00576
OG0000244	Syao.g_00865	Prbm.g_00579
OG0000245	Syao.g_00863	Prbm.g_00581
OG0000246	Syao.g_00859	Prbm.g_00585
OG0000247	Syao.g_00847	Prbm.g_00595
OG0000248	Syao.g_00844	Prbm.g_00597
OG0000249	Syao.g_00842	Prbm.g_00599
OG0000250	Syao.g_00835	Prbm.g_00604
OG0000251	Syao.g_01026	Prbm.g_00620
OG0000252	Syao.g_01020	Prbm.g_00623
OG0000253	Syao.g_01003	Prbm.g_00625
OG0000254	Syao.g_01053	Prbm.g_00642
OG0000255	Syao.g_01009	Prbm.g_00648
OG0000256	Syao.g_01328	Prbm.g_00658
OG0000257	Syao.g_00884	Prbm.g_00661
OG0000258	Syao.g_00907	Prbm.g_00674
OG0000259	Syao.g_00933, Syao.g_00932	Prbm.g_00691
OG0000260	Syao.g_00936	Prbm.g_00694
OG0000261	Syao.g_00941	Prbm.g_00697
OG0000262	Syao.g_00946	Prbm.g_00702
OG0000263	Syao.g_00247	Prbm.g_00716
OG0000264	Syao.g_00699	Prbm.g_00728
OG0000265	Syao.g_00049	Prbm.g_00742
OG0000266	Syao.g_00480	Prbm.g_00752
OG0000267	Syao.g_00589	Prbm.g_00765
OG0000268	Syao.g_00588	Prbm.g_00766
OG0000269	Syao.g_00751	Prbm.g_00809
OG0000270	Syao.g_00754	Prbm.g_00812
OG0000271	Syao.g_00762	Prbm.g_00820
OG0000272	Syao.g_00763	Prbm.g_00821
OG0000273	Syao.g_00791	Prbm.g_00845
OG0000274	Syao.g_00792	Prbm.g_00846
OG0000275	Syao.g_00438	Prbm.g_00848
OG0000276	Syao.g_00558	Prbm.g_00854
OG0000277	Syao.g_00557	Prbm.g_00855
OG0000278	Syao.g_00554	Prbm.g_00858
OG0000279	Syao.g_00529	Prbm.g_00865
OG0000281	Syao.g_01377	Prbm.g_00871
OG0000282	Syao.g_00967	Prbm.g_00931
OG0000283	Syao.g_00640	Prbm.g_00962
OG0000284	Syao.g_00634	Prbm.g_00967
OG0000285	Syao.g_00706	Prbm.g_00972
OG0000286	Syao.g_00675	Prbm.g_00987
OG0000287	Syao.g_00825	Prbm.g_00102
OG0000288	Syao.g_00446	Prbm.g_01034
OG0000289	Syao.g_00461	Prbm.g_01045
OG0000290	Syao.g_00428	Prbm.g_01061
OG0000291	Syao.g_00333	Prbm.g_01063
OG0000292	Syao.g_02196	Prbm.g_01210
OG0000293	Syao.g_00136	Prbm.g_01559
OG0000294	Syao.g_00135	Prbm.g_01558
OG0000295	Syao.g_00186	Prbm.g_01534
OG0000296	Syao.g_00184	Prbm.g_01532
OG0000297	Syao.g_00171	Prbm.g_01524
OG0000298	Syao.g_00170	Prbm.g_01523
OG0000299	Syao.g_00231	Prbm.g_01503
OG0000300	Syao.g_00274	Prbm.g_01500
OG0000301	Syao.g_00272, Syao.g_00273	Prbm.g_01499
OG0000302	Syao.g_00271	Prbm.g_01497
OG0000303	Syao.g_00262	Prbm.g_01492
OG0000304	Syao.g_00256	Prbm.g_01489
OG0000305	Syao.g_00388	Prbm.g_01812
OG0000306	Syao.g_01216	Prbm.g_00875
OG0000307	Syao.g_00045	Prbm.g_01669
OG0000308	Syao.g_00047	Prbm.g_01670
OG0000309	Syao.g_02705	Prbm.g_01674
OG0000310	Syao.g_01530	Prbm.g_01694
OG0000311	Syao.g_01533	Prbm.g_01696
OG0000312	Syao.g_01538	Prbm.g_01699
OG0000313	Syao.g_01491	Prbm.g_01714
OG0000314	Syao.g_00078	Prbm.g_01735
OG0000315	Syao.g_00088	Prbm.g_01745
OG0000316	Syao.g_01602	Prbm.g_01770
OG0000317	Syao.g_01560	Prbm.g_01839
OG0000318	Syao.g_01553	Prbm.g_01842
OG0000319	Syao.g_01678	Prbm.g_01853
OG0000320	Syao.g_01676	Prbm.g_01855
OG0000321	Syao.g_01675	Prbm.g_01856
OG0000322	Syao.g_01674	Prbm.g_01857
OG0000323	Syao.g_01661	Prbm.g_01866
OG0000324	Syao.g_01630	Prbm.g_01893
OG0000325	Syao.g_01936	Prbm.g_01950
OG0000326	Syao.g_01918	Prbm.g_01956
OG0000327	Syao.g_01795	Prbm.g_01991
OG0000328	Syao.g_01794	Prbm.g_01992
OG0000329	Syao.g_01776	Prbm.g_02009
OG0000330	Syao.g_01775	Prbm.g_02010
OG0000331	Syao.g_01774	Prbm.g_02011
OG0000332	Syao.g_01813	Prbm.g_02025
OG0000333	Syao.g_01810	Prbm.g_02027
OG0000334	Syao.g_01836	Prbm.g_02036
OG0000335	Syao.g_01831	Prbm.g_02041
OG0000336	Syao.g_01827	Prbm.g_02045
OG0000337	Syao.g_01968	Prbm.g_02064
OG0000338	Syao.g_01962	Prbm.g_02065
OG0000339	Syao.g_02259	Prbm.g_02070
OG0000340	Syao.g_02129	Prbm.g_02079
OG0000341	Syao.g_02131	Prbm.g_02081
OG0000342	Syao.g_02132	Prbm.g_02082
OG0000343	Syao.g_02133	Prbm.g_02083
OG0000344	Syao.g_02137	Prbm.g_02086
OG0000345	Syao.g_01953	Prbm.g_02091
OG0000346	Syao.g_01948	Prbm.g_02095
OG0000347	Syao.g_02178	Prbm.g_02114
OG0000348	Syao.g_02166	Prbm.g_02149
OG0000349	Syao.g_02219	Prbm.g_02167
OG0000350	Syao.g_01925	Prbm.g_02188
OG0000351	Syao.g_02331	Prbm.g_02212
OG0000352	Syao.g_02332	Prbm.g_02213
OG0000353	Syao.g_02160	Prbm.g_02232
OG0000354	Syao.g_02252	Prbm.g_01220
OG0000355	Syao.g_02162	Prbm.g_00001
OG0000356	Syao.g_02163	Prbm.g_00002
OG0000357	Syao.g_02164	Prbm.g_00003
OG0000358	Syao.g_02154	Prbm.g_00007
OG0000359	Syao.g_02152	Prbm.g_00008
OG0000360	Syao.g_02151	Prbm.g_00009
OG0000361	Syao.g_02150	Prbm.g_00010
OG0000362	Syao.g_01954	Prbm.g_00012
OG0000363	Syao.g_02255	Prbm.g_00014
OG0000364	Syao.g_01558	Prbm.g_00015
OG0000365	Syao.g_02246	Prbm.g_00020
OG0000366	Syao.g_02245	Prbm.g_00021
OG0000367	Syao.g_02244	Prbm.g_00022
OG0000368	Syao.g_02242	Prbm.g_00024
OG0000369	Syao.g_02241	Prbm.g_00025
OG0000370	Syao.g_02240	Prbm.g_00026
OG0000371	Syao.g_02231	Prbm.g_00032
OG0000372	Syao.g_02226	Prbm.g_00033
OG0000373	Syao.g_02225	Prbm.g_00034
OG0000374	Syao.g_02224	Prbm.g_00035
OG0000375	Syao.g_02223	Prbm.g_00049
OG0000376	Syao.g_02221	Prbm.g_00051
OG0000377	Syao.g_02429	Prbm.g_00054
OG0000378	Syao.g_02414	Prbm.g_00056
OG0000379	Syao.g_02409	Prbm.g_00059
OG0000380	Syao.g_02616	Prbm.g_00123
OG0000381	Syao.g_02618	Prbm.g_00127
OG0000382	Syao.g_02636	Prbm.g_00138
OG0000383	Syao.g_02643	Prbm.g_00140
OG0000384	Syao.g_02644	Prbm.g_00141
OG0000385	Syao.g_02645	Prbm.g_00142
OG0000386	Syao.g_02646	Prbm.g_00143
OG0000387	Syao.g_01019	Prbm.g_00156
OG0000388	Syao.g_02596	Prbm.g_00160
OG0000389	Syao.g_02599	Prbm.g_00163
OG0000390	Syao.g_02567	Prbm.g_00172
OG0000391	Syao.g_02572	Prbm.g_00176
OG0000392	Syao.g_02578	Prbm.g_00179
OG0000393	Syao.g_02581	Prbm.g_00182
OG0000394	Syao.g_02582	Prbm.g_00183
OG0000395	Syao.g_02583	Prbm.g_00184
OG0000396	Syao.g_02586	Prbm.g_00187
OG0000397	Syao.g_02542	Prbm.g_00189
OG0000398	Syao.g_02547	Prbm.g_00192
OG0000399	Syao.g_02548	Prbm.g_00193
OG0000400	Syao.g_02549	Prbm.g_00194
OG0000401	Syao.g_02550	Prbm.g_00195
OG0000402	Syao.g_02552	Prbm.g_01096
OG0000403	Syao.g_02553	Prbm.g_00196
OG0000404	Syao.g_02554	Prbm.g_00197
OG0000405	Syao.g_02478	Prbm.g_00202
OG0000406	Syao.g_02482	Prbm.g_00206
OG0000407	Syao.g_02483	Prbm.g_00207
OG0000408	Syao.g_02485	Prbm.g_00209
OG0000409	Syao.g_02487	Prbm.g_00211
OG0000410	Syao.g_02488	Prbm.g_00212
OG0000411	Syao.g_02489	Prbm.g_00213
OG0000412	Syao.g_02490	Prbm.g_00214
OG0000413	Syao.g_02492	Prbm.g_00215
OG0000414	Syao.g_02493	Prbm.g_00216
OG0000415	Syao.g_02494	Prbm.g_00217
OG0000416	Syao.g_02495	Prbm.g_00218
OG0000417	Syao.g_02497	Prbm.g_00219
OG0000418	Syao.g_02502	Prbm.g_00224
OG0000419	Syao.g_02504	Prbm.g_00226
OG0000420	Syao.g_02506	Prbm.g_00227
OG0000421	Syao.g_02510	Prbm.g_00232
OG0000422	Syao.g_02511	Prbm.g_00233
OG0000423	Syao.g_02512	Prbm.g_00234
OG0000424	Syao.g_02513	Prbm.g_00235
OG0000425	Syao.g_02514	Prbm.g_00236
OG0000426	Syao.g_02515	Prbm.g_00237
OG0000427	Syao.g_02516	Prbm.g_00238
OG0000428	Syao.g_02519	Prbm.g_00240
OG0000429	Syao.g_02522	Prbm.g_00241
OG0000430	Syao.g_02523	Prbm.g_00242
OG0000431	Syao.g_02526	Prbm.g_00244
OG0000432	Syao.g_02532	Prbm.g_00248
OG0000433	Syao.g_02534	Prbm.g_00249
OG0000434	Syao.g_02535	Prbm.g_00250
OG0000435	Syao.g_02538	Prbm.g_00251
OG0000436	Syao.g_02458	Prbm.g_00256
OG0000437	Syao.g_02459	Prbm.g_00257
OG0000438	Syao.g_02460	Prbm.g_00258
OG0000439	Syao.g_02462	Prbm.g_00260
OG0000440	Syao.g_02463	Prbm.g_00261
OG0000441	Syao.g_02466	Prbm.g_00263
OG0000442	Syao.g_02467	Prbm.g_00264
OG0000443	Syao.g_02468	Prbm.g_00265
OG0000444	Syao.g_02473	Prbm.g_00270
OG0000445	Syao.g_02474	Prbm.g_00271
OG0000446	Syao.g_02476	Prbm.g_00272
OG0000447	Syao.g_02383	Prbm.g_00273
OG0000448	Syao.g_02384	Prbm.g_00274
OG0000449	Syao.g_02385	Prbm.g_00275
OG0000450	Syao.g_02391	Prbm.g_00276
OG0000451	Syao.g_02392	Prbm.g_00277
OG0000452	Syao.g_02396	Prbm.g_00280
OG0000453	Syao.g_02397	Prbm.g_00281
OG0000454	Syao.g_02398	Prbm.g_00282
OG0000455	Syao.g_02399	Prbm.g_00283
OG0000456	Syao.g_02400	Prbm.g_00284
OG0000457	Syao.g_02402	Prbm.g_00285
OG0000458	Syao.g_02403	Prbm.g_00286
OG0000459	Syao.g_02404	Prbm.g_00287
OG0000460	Syao.g_01702	Prbm.g_00295
OG0000461	Syao.g_02119	Prbm.g_00303
OG0000462	Syao.g_02116	Prbm.g_00305
OG0000463	Syao.g_02115	Prbm.g_00306
OG0000464	Syao.g_02114	Prbm.g_00307
OG0000465	Syao.g_02112	Prbm.g_00308
OG0000466	Syao.g_02107	Prbm.g_00309
OG0000467	Syao.g_02106	Prbm.g_00310
OG0000468	Syao.g_02102	Prbm.g_00312
OG0000469	Syao.g_02087	Prbm.g_00320
OG0000470	Syao.g_02085	Prbm.g_00322
OG0000471	Syao.g_02084	Prbm.g_00323
OG0000472	Syao.g_02082	Prbm.g_00324
OG0000473	Syao.g_02080	Prbm.g_00326
OG0000474	Syao.g_02079	Prbm.g_00327
OG0000475	Syao.g_02078	Prbm.g_00328
OG0000476	Syao.g_02076	Prbm.g_00330
OG0000477	Syao.g_02069	Prbm.g_00332
OG0000478	Syao.g_02068	Prbm.g_00333
OG0000479	Syao.g_02067	Prbm.g_00334
OG0000480	Syao.g_02060	Prbm.g_00339
OG0000481	Syao.g_01012	Prbm.g_00341
OG0000482	Syao.g_02058	Prbm.g_00342
OG0000483	Syao.g_02054	Prbm.g_00345
OG0000484	Syao.g_02053	Prbm.g_00346
OG0000485	Syao.g_02052	Prbm.g_00347
OG0000486	Syao.g_02051	Prbm.g_00348
OG0000487	Syao.g_02044	Prbm.g_00351
OG0000488	Syao.g_02040	Prbm.g_00354
OG0000489	Syao.g_02033	Prbm.g_00359
OG0000490	Syao.g_02025	Prbm.g_00364
OG0000491	Syao.g_02024	Prbm.g_00365
OG0000492	Syao.g_02022	Prbm.g_00367
OG0000493	Syao.g_02021	Prbm.g_00368
OG0000494	Syao.g_02020	Prbm.g_00369
OG0000495	Syao.g_02018	Prbm.g_00370
OG0000496	Syao.g_02017	Prbm.g_00371
OG0000497	Syao.g_02016	Prbm.g_00372
OG0000498	Syao.g_02015	Prbm.g_00373
OG0000499	Syao.g_02014	Prbm.g_00374
OG0000500	Syao.g_02013	Prbm.g_00375
OG0000501	Syao.g_02010	Prbm.g_00376
OG0000502	Syao.g_01974	Prbm.g_00379
OG0000503	Syao.g_01877	Prbm.g_00400
OG0000504	Syao.g_01875	Prbm.g_00402
OG0000505	Syao.g_01874	Prbm.g_00403
OG0000506	Syao.g_01872	Prbm.g_00404
OG0000507	Syao.g_01866	Prbm.g_00407
OG0000508	Syao.g_01750	Prbm.g_00410
OG0000509	Syao.g_01755	Prbm.g_00412
OG0000510	Syao.g_01756	Prbm.g_00413
OG0000511	Syao.g_01757	Prbm.g_00414
OG0000512	Syao.g_01759	Prbm.g_00416
OG0000513	Syao.g_01720	Prbm.g_00426
OG0000514	Syao.g_01727	Prbm.g_00440
OG0000515	Syao.g_01728	Prbm.g_00441
OG0000516	Syao.g_01730	Prbm.g_00442
OG0000517	Syao.g_01735	Prbm.g_00445
OG0000518	Syao.g_01621	Prbm.g_00456
OG0000519	Syao.g_01622	Prbm.g_00457
OG0000520	Syao.g_01512	Prbm.g_00458
OG0000521	Syao.g_00061	Prbm.g_00480
OG0000522	Syao.g_00059	Prbm.g_00482
OG0000523	Syao.g_00058	Prbm.g_00483
OG0000524	Syao.g_02699	Prbm.g_00490
OG0000525	Syao.g_02691	Prbm.g_00494
OG0000526	Syao.g_02688	Prbm.g_00495
OG0000527	Syao.g_02684	Prbm.g_00498
OG0000528	Syao.g_00031	Prbm.g_00504
OG0000529	Syao.g_00027	Prbm.g_00507
OG0000530	Syao.g_00122	Prbm.g_00510
OG0000531	Syao.g_00121	Prbm.g_00511
OG0000532	Syao.g_00118	Prbm.g_00512
OG0000533	Syao.g_00116	Prbm.g_00513
OG0000534	Syao.g_00115	Prbm.g_00514
OG0000535	Syao.g_00114	Prbm.g_00515
OG0000536	Syao.g_00113	Prbm.g_00516
OG0000537	Syao.g_00112	Prbm.g_00517
OG0000538	Syao.g_00100	Prbm.g_00534
OG0000539	Syao.g_00099	Prbm.g_00535
OG0000540	Syao.g_00098	Prbm.g_00536
OG0000541	Syao.g_00097	Prbm.g_00537
OG0000542	Syao.g_00167	Prbm.g_00539
OG0000543	Syao.g_00165	Prbm.g_00541
OG0000544	Syao.g_00164	Prbm.g_00542
OG0000545	Syao.g_00162	Prbm.g_00544
OG0000546	Syao.g_00160	Prbm.g_00547
OG0000547	Syao.g_00158	Prbm.g_00549
OG0000548	Syao.g_00157	Prbm.g_00550
OG0000549	Syao.g_01391	Prbm.g_00553
OG0000550	Syao.g_01396	Prbm.g_00557
OG0000551	Syao.g_01401	Prbm.g_00560
OG0000552	Syao.g_01402	Prbm.g_00561
OG0000553	Syao.g_01404	Prbm.g_00562
OG0000554	Syao.g_01413	Prbm.g_00567
OG0000555	Syao.g_00875	Prbm.g_00575
OG0000556	Syao.g_00871	Prbm.g_00577
OG0000557	Syao.g_00866	Prbm.g_00578
OG0000558	Syao.g_00864	Prbm.g_00580
