Orthogroup	Praq	Syab
OG0000084	Praq.g_00290	Syab.g_00781
OG0000086	Praq.g_01915	Syab.g_02468
OG0000087	Praq.g_01864	Syab.g_02551
OG0000088	Praq.g_01836	Syab.g_02586
OG0000089	Praq.g_01188	Syab.g_00551
OG0000090	Praq.g_01069	Syab.g_02041
OG0000091	Praq.g_00960	Syab.g_01866
OG0000092	Praq.g_00725	Syab.g_01242, Syab.g_00690
OG0000093	Praq.g_01516	Syab.g_01582
OG0000094	Praq.g_01600	Syab.g_01306
OG0000095	Praq.g_01619	Syab.g_01210
OG0000097	Praq.g_01374	Syab.g_01051
OG0000098	Praq.g_00157	Syab.g_01553
OG0000099	Praq.g_00216	Syab.g_00230
OG0000100	Praq.g_00368	Syab.g_01694
OG0000101	Praq.g_00879	Syab.g_00446
OG0000102	Praq.g_00768	Syab.g_00104
OG0000103	Praq.g_00414	Syab.g_02895, Syab.g_01296
OG0000104	Praq.g_00422	Syab.g_02910
OG0000105	Praq.g_01729	Syab.g_00303
OG0000106	Praq.g_01173	Syab.g_01817
OG0000107	Praq.g_01158	Syab.g_00367
OG0000108	Praq.g_00531	Syab.g_02096
OG0000109	Praq.g_00545	Syab.g_02112
OG0000110	Praq.g_01028	Syab.g_01984
OG0000111	Praq.g_00828	Syab.g_01201
OG0000112	Praq.g_00638	Syab.g_01392
OG0000113	Praq.g_01420	Syab.g_01689
OG0000114	Praq.g_01490	Syab.g_02656, Syab.g_01633
OG0000115	Praq.g_01278	Syab.g_00748
OG0000116	Praq.g_01323	Syab.g_00945
OG0000117	Praq.g_00084	Syab.g_01018
OG0000118	Praq.g_00145	Syab.g_00897
OG0000120	Praq.g_00208	Syab.g_00229
OG0000121	Praq.g_00296	Syab.g_00772
OG0000122	Praq.g_00334	Syab.g_01839
OG0000123	Praq.g_00873	Syab.g_00454
OG0000124	Praq.g_00682	Syab.g_00088
OG0000125	Praq.g_00718	Syab.g_02763
OG0000126	Praq.g_00421	Syab.g_02908
OG0000128	Praq.g_00437	Syab.g_00012
OG0000129	Praq.g_01259	Syab.g_02749
OG0000130	Praq.g_01934	Syab.g_02434
OG0000131	Praq.g_01857	Syab.g_02564
OG0000132	Praq.g_01838	Syab.g_02584
OG0000133	Praq.g_01680	Syab.g_01387
OG0000134	Praq.g_01187	Syab.g_00554
OG0000135	Praq.g_01160	Syab.g_02815
OG0000136	Praq.g_01116	Syab.g_00588
OG0000137	Praq.g_00526	Syab.g_00697
OG0000138	Praq.g_00546	Syab.g_02113
OG0000139	Praq.g_01065	Syab.g_02035
OG0000140	Praq.g_01064	Syab.g_02033
OG0000141	Praq.g_00995	Syab.g_01931
OG0000142	Praq.g_00967	Syab.g_01524, Syab.g_01873
OG0000143	Praq.g_00963	Syab.g_01870
OG0000144	Praq.g_00781	Syab.g_01757
OG0000145	Praq.g_00637	Syab.g_02120
OG0000146	Praq.g_00639	Syab.g_01393
OG0000147	Praq.g_00640	Syab.g_01394
OG0000148	Praq.g_01414	Syab.g_01682, Syab.g_01683
OG0000149	Praq.g_01444	Syab.g_01720
OG0000150	Praq.g_01452	Syab.g_01930
OG0000151	Praq.g_01500	Syab.g_01612
OG0000152	Praq.g_01548	Syab.g_01383
OG0000153	Praq.g_01567	Syab.g_01343
OG0000154	Praq.g_01593	Syab.g_01317
OG0000155	Praq.g_01353	Syab.g_01009
OG0000156	Praq.g_00122	Syab.g_00933
OG0000157	Praq.g_00123	Syab.g_00932
OG0000158	Praq.g_00258	Syab.g_00161
OG0000160	Praq.g_00295	Syab.g_00774
OG0000161	Praq.g_00301	Syab.g_00766
OG0000162	Praq.g_00307	Syab.g_00755
OG0000163	Praq.g_00341	Syab.g_02173
OG0000164	Praq.g_00473	Syab.g_02307
OG0000165	Praq.g_00466	Syab.g_02316
OG0000166	Praq.g_00915	Syab.g_00407
OG0000167	Praq.g_00737	Syab.g_00205
OG0000168	Praq.g_00747	Syab.g_00136
OG0000169	Praq.g_00757	Syab.g_00125
OG0000170	Praq.g_00759	Syab.g_00118
OG0000171	Praq.g_00681	Syab.g_00089
OG0000172	Praq.g_00689	Syab.g_00080
OG0000173	Praq.g_00704	Syab.g_00061
OG0000174	Praq.g_00396	Syab.g_02819
OG0000175	Praq.g_00406	Syab.g_02876
OG0000176	Praq.g_00430	Syab.g_00004
OG0000177	Praq.g_00431	Syab.g_00005
OG0000178	Praq.g_00432	Syab.g_00006
OG0000179	Praq.g_01219	Syab.g_00022
OG0000180	Praq.g_01220	Syab.g_00023
OG0000181	Praq.g_01221	Syab.g_00024
OG0000182	Praq.g_01222	Syab.g_00025
OG0000183	Praq.g_01226	Syab.g_00029
OG0000184	Praq.g_01262	Syab.g_02738
OG0000185	Praq.g_01265	Syab.g_02715
OG0000186	Praq.g_01939	Syab.g_02430
OG0000187	Praq.g_01938	Syab.g_02431
OG0000188	Praq.g_01921	Syab.g_02454
OG0000189	Praq.g_01907	Syab.g_02487
OG0000190	Praq.g_01906	Syab.g_00190, Syab.g_00139
OG0000191	Praq.g_01886	Syab.g_02522
OG0000192	Praq.g_01882	Syab.g_02528
OG0000193	Praq.g_01856	Syab.g_02565
OG0000194	Praq.g_01853	Syab.g_02568
OG0000195	Praq.g_01851	Syab.g_02570
OG0000196	Praq.g_01841	Syab.g_02581
OG0000197	Praq.g_01840	Syab.g_02582
OG0000198	Praq.g_01839	Syab.g_02583
OG0000199	Praq.g_01832	Syab.g_02591
OG0000200	Praq.g_01818	Syab.g_02611
OG0000201	Praq.g_01810	Syab.g_02628
OG0000202	Praq.g_01809	Syab.g_02629
OG0000203	Praq.g_01808	Syab.g_02630
OG0000204	Praq.g_01807	Syab.g_02631
OG0000205	Praq.g_01800	Syab.g_02638
OG0000206	Praq.g_01795	Syab.g_02674
OG0000207	Praq.g_01793	Syab.g_02677
OG0000208	Praq.g_01792	Syab.g_02678
OG0000209	Praq.g_01783	Syab.g_02698
OG0000210	Praq.g_01782	Syab.g_02699
OG0000211	Praq.g_01769	Syab.g_02374
OG0000212	Praq.g_01762	Syab.g_02365
OG0000213	Praq.g_01746	Syab.g_00332
OG0000214	Praq.g_01736	Syab.g_00312
OG0000215	Praq.g_01710	Syab.g_00281
OG0000216	Praq.g_01708	Syab.g_00277
OG0000217	Praq.g_01705	Syab.g_00273
OG0000218	Praq.g_01703	Syab.g_00271
OG0000219	Praq.g_01702	Syab.g_00270
OG0000220	Praq.g_01701	Syab.g_00269
OG0000221	Praq.g_01700	Syab.g_00257
OG0000222	Praq.g_01692	Syab.g_00244
OG0000223	Praq.g_01679	Syab.g_00226
OG0000224	Praq.g_01677	Syab.g_00223
OG0000225	Praq.g_01199	Syab.g_00538
OG0000226	Praq.g_01195	Syab.g_00542
OG0000227	Praq.g_01193	Syab.g_00544
OG0000228	Praq.g_01189	Syab.g_00550
OG0000229	Praq.g_01121	Syab.g_00583
OG0000230	Praq.g_01119	Syab.g_00585
OG0000231	Praq.g_01108	Syab.g_00613
OG0000232	Praq.g_00507	Syab.g_00631
OG0000233	Praq.g_00513	Syab.g_00645
OG0000234	Praq.g_00527	Syab.g_00699
OG0000235	Praq.g_00530	Syab.g_02095
OG0000236	Praq.g_00544	Syab.g_02111
OG0000237	Praq.g_01096	Syab.g_02129
OG0000238	Praq.g_01090	Syab.g_02134
OG0000239	Praq.g_01077	Syab.g_02151
OG0000240	Praq.g_01076	Syab.g_02152
OG0000241	Praq.g_01072	Syab.g_01884
OG0000242	Praq.g_01070	Syab.g_02043
OG0000243	Praq.g_01059	Syab.g_02025
OG0000244	Praq.g_01056	Syab.g_02017
OG0000245	Praq.g_01054	Syab.g_02015
OG0000246	Praq.g_01050	Syab.g_02011
OG0000247	Praq.g_01040	Syab.g_01999
OG0000248	Praq.g_01038	Syab.g_01996
OG0000249	Praq.g_01036	Syab.g_01994
OG0000250	Praq.g_01031	Syab.g_01988
OG0000251	Praq.g_01012	Syab.g_01961
OG0000252	Praq.g_01008	Syab.g_01958
OG0000253	Praq.g_01007	Syab.g_01956
OG0000254	Praq.g_00991	Syab.g_01925
OG0000255	Praq.g_00985	Syab.g_01912
OG0000256	Praq.g_00975	Syab.g_01890
OG0000257	Praq.g_00972	Syab.g_01885
OG0000258	Praq.g_00959	Syab.g_01861
OG0000259	Praq.g_00789	Syab.g_01538
OG0000260	Praq.g_00792	Syab.g_01544
OG0000261	Praq.g_00794	Syab.g_01556
OG0000262	Praq.g_00798	Syab.g_01561
OG0000263	Praq.g_00810	Syab.g_01035
OG0000264	Praq.g_00820	Syab.g_01173
OG0000265	Praq.g_00583	Syab.g_01773
OG0000266	Praq.g_00593	Syab.g_01667
OG0000267	Praq.g_00604	Syab.g_01433
OG0000268	Praq.g_00605	Syab.g_01432
OG0000269	Praq.g_00665	Syab.g_01650
OG0000270	Praq.g_00668	Syab.g_01657
OG0000271	Praq.g_00676	Syab.g_01279
OG0000272	Praq.g_00677	Syab.g_01280
OG0000273	Praq.g_01428	Syab.g_01699
OG0000274	Praq.g_01429	Syab.g_01700
OG0000275	Praq.g_01431	Syab.g_01704
OG0000276	Praq.g_01436	Syab.g_01712
OG0000277	Praq.g_01437	Syab.g_01713
OG0000278	Praq.g_01440	Syab.g_01716
OG0000279	Praq.g_01447	Syab.g_01724
OG0000280	Praq.g_01448	Syab.g_01736
OG0000281	Praq.g_01454	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Praq.g_01492	Syab.g_01631
OG0000283	Praq.g_01525	Syab.g_01418
OG0000284	Praq.g_01530	Syab.g_01413
OG0000285	Praq.g_01535	Syab.g_01402
OG0000286	Praq.g_01547	Syab.g_01384
OG0000287	Praq.g_01564	Syab.g_01350
OG0000288	Praq.g_01592	Syab.g_01318
OG0000289	Praq.g_01603	Syab.g_01303
OG0000290	Praq.g_01616	Syab.g_01213
OG0000291	Praq.g_01618	Syab.g_01211
OG0000292	Praq.g_01667	Syab.g_02907
OG0000293	Praq.g_01324	Syab.g_00946
OG0000294	Praq.g_01325	Syab.g_00947
OG0000295	Praq.g_01345	Syab.g_01001
OG0000296	Praq.g_01347	Syab.g_01003
OG0000297	Praq.g_01355	Syab.g_01016
OG0000298	Praq.g_01356	Syab.g_01017
OG0000299	Praq.g_01373	Syab.g_01047
OG0000300	Praq.g_01376	Syab.g_01054
OG0000301	Praq.g_01377	Syab.g_01055
OG0000302	Praq.g_01379	Syab.g_01056
OG0000303	Praq.g_01386	Syab.g_01149
OG0000304	Praq.g_01390	Syab.g_01143
OG0000305	Praq.g_00167	Syab.g_01208
OG0000306	Praq.g_00170	Syab.g_01819
OG0000307	Praq.g_00186	Syab.g_02078
OG0000308	Praq.g_00187	Syab.g_02076
OG0000309	Praq.g_00191	Syab.g_02071
OG0000310	Praq.g_00279	Syab.g_00817
OG0000311	Praq.g_00281	Syab.g_00811
OG0000312	Praq.g_00284	Syab.g_00793
OG0000313	Praq.g_00298	Syab.g_00769
OG0000314	Praq.g_00321	Syab.g_00736
OG0000315	Praq.g_00331	Syab.g_00726
OG0000316	Praq.g_00351	Syab.g_02189
OG0000317	Praq.g_01954, Praq.g_00499	Syab.g_02251
OG0000318	Praq.g_00496	Syab.g_02257
OG0000319	Praq.g_00483	Syab.g_02291
OG0000320	Praq.g_00481	Syab.g_02293
OG0000321	Praq.g_00480	Syab.g_02294
OG0000322	Praq.g_00479	Syab.g_02295
OG0000323	Praq.g_00470	Syab.g_02310
OG0000324	Praq.g_00444	Syab.g_02341
OG0000325	Praq.g_00950	Syab.g_00368
OG0000326	Praq.g_00944	Syab.g_00375
OG0000327	Praq.g_00920	Syab.g_00402
OG0000328	Praq.g_00919	Syab.g_00403
OG0000329	Praq.g_00902	Syab.g_00420
OG0000330	Praq.g_00901	Syab.g_00421
OG0000331	Praq.g_00900	Syab.g_00422
OG0000332	Praq.g_00886	Syab.g_00437
OG0000333	Praq.g_00884	Syab.g_00440
OG0000334	Praq.g_00876	Syab.g_00450
OG0000335	Praq.g_00872	Syab.g_00455
OG0000336	Praq.g_00868	Syab.g_00459
OG0000337	Praq.g_00735	Syab.g_00210
OG0000338	Praq.g_00736	Syab.g_00207
OG0000339	Praq.g_00740	Syab.g_00201
OG0000340	Praq.g_00748	Syab.g_00135
OG0000341	Praq.g_00750	Syab.g_00157, Syab.g_00133
OG0000342	Praq.g_00751	Syab.g_00132
OG0000343	Praq.g_00752	Syab.g_00131
OG0000344	Praq.g_00755	Syab.g_00127, Syab.g_02424
OG0000345	Praq.g_00760	Syab.g_00117
OG0000346	Praq.g_00764	Syab.g_00112
OG0000347	Praq.g_00683	Syab.g_00087
OG0000348	Praq.g_00692	Syab.g_00076
OG0000349	Praq.g_00709	Syab.g_00054
OG0000350	Praq.g_00392	Syab.g_00382
OG0000351	Praq.g_00409	Syab.g_02879
OG0000352	Praq.g_00410	Syab.g_02880
OG0000353	Praq.g_00425	Syab.g_02913
OG0000355	Praq.g_00427	Syab.g_00001
OG0000356	Praq.g_00428	Syab.g_00002
OG0000357	Praq.g_00429	Syab.g_00003
OG0000358	Praq.g_00433	Syab.g_00007
OG0000359	Praq.g_00434	Syab.g_00009
OG0000360	Praq.g_00435	Syab.g_00010
OG0000361	Praq.g_00436	Syab.g_00011
OG0000362	Praq.g_00438	Syab.g_00013
OG0000363	Praq.g_01217	Syab.g_00015
OG0000364	Praq.g_01218	Syab.g_00016
OG0000365	Praq.g_01223	Syab.g_00026
OG0000366	Praq.g_01224	Syab.g_00027
OG0000367	Praq.g_01225	Syab.g_00028
OG0000368	Praq.g_01227	Syab.g_00030
OG0000369	Praq.g_01228	Syab.g_00031
OG0000370	Praq.g_01229	Syab.g_00032
OG0000371	Praq.g_01235	Syab.g_00711, Syab.g_00039
OG0000372	Praq.g_01239	Syab.g_00045
OG0000373	Praq.g_01240	Syab.g_00046
OG0000374	Praq.g_01241	Syab.g_00047
OG0000375	Praq.g_01255	Syab.g_00050
OG0000376	Praq.g_01257	Syab.g_00052
OG0000377	Praq.g_01261	Syab.g_02748
OG0000378	Praq.g_01263	Syab.g_02717
OG0000379	Praq.g_01266	Syab.g_02714
OG0000380	Praq.g_01937	Syab.g_02432
OG0000381	Praq.g_01933	Syab.g_02435
OG0000382	Praq.g_01922	Syab.g_02453
OG0000383	Praq.g_01920	Syab.g_02459
OG0000384	Praq.g_01919	Syab.g_02460
OG0000385	Praq.g_01918	Syab.g_02461
OG0000386	Praq.g_01917	Syab.g_02462
OG0000387	Praq.g_01904	Syab.g_02491
OG0000388	Praq.g_01901	Syab.g_02495
OG0000389	Praq.g_01897	Syab.g_02499
OG0000390	Praq.g_01890	Syab.g_02516
OG0000391	Praq.g_01887	Syab.g_02521
OG0000392	Praq.g_01883	Syab.g_02527
OG0000393	Praq.g_01881	Syab.g_02530
OG0000394	Praq.g_01880	Syab.g_02531
OG0000395	Praq.g_01879	Syab.g_02532
OG0000396	Praq.g_01876	Syab.g_02535
OG0000397	Praq.g_01874	Syab.g_02537
OG0000398	Praq.g_01872	Syab.g_02542
OG0000399	Praq.g_01871	Syab.g_02543
OG0000400	Praq.g_01870	Syab.g_02544
OG0000401	Praq.g_01869	Syab.g_02545
OG0000402	Praq.g_01867	Syab.g_02547
OG0000403	Praq.g_01866	Syab.g_02548
OG0000404	Praq.g_01865	Syab.g_02550
OG0000405	Praq.g_01861	Syab.g_02562
OG0000406	Praq.g_01855	Syab.g_02566
OG0000407	Praq.g_01854	Syab.g_02567
OG0000408	Praq.g_01852	Syab.g_02569
OG0000409	Praq.g_01850	Syab.g_02571
OG0000410	Praq.g_01849	Syab.g_02572
OG0000411	Praq.g_01848	Syab.g_02573
OG0000412	Praq.g_01847	Syab.g_02574
OG0000413	Praq.g_01846	Syab.g_02576
OG0000414	Praq.g_00554, Praq.g_01845	Syab.g_02577
OG0000415	Praq.g_01844	Syab.g_02578
OG0000416	Praq.g_01843	Syab.g_02579
OG0000417	Praq.g_01842	Syab.g_02580
OG0000418	Praq.g_01837	Syab.g_02585
OG0000419	Praq.g_01835	Syab.g_02587
OG0000420	Praq.g_01834	Syab.g_02589
OG0000421	Praq.g_01829	Syab.g_02595
OG0000422	Praq.g_01828	Syab.g_02596
OG0000423	Praq.g_01827	Syab.g_02597
OG0000424	Praq.g_01826	Syab.g_02598
OG0000425	Praq.g_01825	Syab.g_02599
OG0000426	Praq.g_01824	Syab.g_02600
OG0000427	Praq.g_01823	Syab.g_02601
OG0000428	Praq.g_01821	Syab.g_02604
OG0000429	Praq.g_01820	Syab.g_02608
OG0000430	Praq.g_01819	Syab.g_02610
OG0000431	Praq.g_01817	Syab.g_02613
OG0000432	Praq.g_01814	Syab.g_02619
OG0000433	Praq.g_01813	Syab.g_02622
OG0000434	Praq.g_01812	Syab.g_02623
OG0000435	Praq.g_01811	Syab.g_02625
OG0000436	Praq.g_01806	Syab.g_02632
OG0000437	Praq.g_01805	Syab.g_02633
OG0000438	Praq.g_01804	Syab.g_02634
OG0000439	Praq.g_01802	Syab.g_02636
OG0000440	Praq.g_01801	Syab.g_02637
OG0000441	Praq.g_01798	Syab.g_02641
OG0000442	Praq.g_01797	Syab.g_02642
OG0000443	Praq.g_01796	Syab.g_02668
OG0000444	Praq.g_01791	Syab.g_02681
OG0000445	Praq.g_01790	Syab.g_02682
OG0000446	Praq.g_01789	Syab.g_02684
OG0000447	Praq.g_01788	Syab.g_02687
OG0000448	Praq.g_01787	Syab.g_02688
OG0000449	Praq.g_01786	Syab.g_02689
OG0000450	Praq.g_01785	Syab.g_02695
OG0000451	Praq.g_01784	Syab.g_02696
OG0000452	Praq.g_01781	Syab.g_02701
OG0000453	Praq.g_01780	Syab.g_02702
OG0000454	Praq.g_01779	Syab.g_02703
OG0000455	Praq.g_01778	Syab.g_02704
OG0000456	Praq.g_01777	Syab.g_02705
OG0000457	Praq.g_01776	Syab.g_02707
OG0000458	Praq.g_01775	Syab.g_02708
OG0000459	Praq.g_01774	Syab.g_02709
OG0000460	Praq.g_01767	Syab.g_02372
OG0000461	Praq.g_01760	Syab.g_00356
OG0000462	Praq.g_01758	Syab.g_00352
OG0000463	Praq.g_01757	Syab.g_00351
OG0000464	Praq.g_01756	Syab.g_00350
OG0000465	Praq.g_01755	Syab.g_00349
OG0000466	Praq.g_01752	Syab.g_00343
OG0000467	Praq.g_01751	Syab.g_00341
OG0000468	Praq.g_01750	Syab.g_00336
OG0000469	Praq.g_01741	Syab.g_00318
OG0000470	Praq.g_01739	Syab.g_00316
OG0000471	Praq.g_01738	Syab.g_00315
OG0000472	Praq.g_01737	Syab.g_00313
OG0000473	Praq.g_01735	Syab.g_00311
OG0000474	Praq.g_01734	Syab.g_00310
OG0000475	Praq.g_01733	Syab.g_00309
OG0000476	Praq.g_01732	Syab.g_00307
OG0000477	Praq.g_01728	Syab.g_00301
OG0000478	Praq.g_01727	Syab.g_00300
OG0000479	Praq.g_01726	Syab.g_00299
OG0000480	Praq.g_01721	Syab.g_00292
OG0000481	Praq.g_01718	Syab.g_00290
OG0000482	Praq.g_01717	Syab.g_00289
OG0000483	Praq.g_01714	Syab.g_00285
OG0000484	Praq.g_01713	Syab.g_00284
OG0000485	Praq.g_01712	Syab.g_00283
OG0000486	Praq.g_01711	Syab.g_00282
OG0000487	Praq.g_01707	Syab.g_00276
OG0000488	Praq.g_01704	Syab.g_00272
OG0000489	Praq.g_01699	Syab.g_00256
OG0000490	Praq.g_01694	Syab.g_00247
OG0000491	Praq.g_01693	Syab.g_00245
OG0000492	Praq.g_01691	Syab.g_00243
OG0000493	Praq.g_01690	Syab.g_00242
OG0000494	Praq.g_01689	Syab.g_00241
OG0000495	Praq.g_01688	Syab.g_00240
OG0000496	Praq.g_01687	Syab.g_00239
OG0000497	Praq.g_01686	Syab.g_00238
OG0000498	Praq.g_01685	Syab.g_00237
OG0000499	Praq.g_01684	Syab.g_00236
OG0000500	Praq.g_01683	Syab.g_00235
OG0000501	Praq.g_01681	Syab.g_00232
OG0000502	Praq.g_01678	Syab.g_00224
OG0000503	Praq.g_01211	Syab.g_00523
OG0000504	Praq.g_01210	Syab.g_00525
OG0000505	Praq.g_01209	Syab.g_00526
OG0000506	Praq.g_01207	Syab.g_00528
OG0000507	Praq.g_01204	Syab.g_00533
OG0000508	Praq.g_01200	Syab.g_00537
OG0000509	Praq.g_01198	Syab.g_00539
OG0000510	Praq.g_01197	Syab.g_00540
OG0000511	Praq.g_01196	Syab.g_00541
OG0000512	Praq.g_01194	Syab.g_00543
OG0000513	Praq.g_01186	Syab.g_00555
OG0000514	Praq.g_01126	Syab.g_00566
OG0000515	Praq.g_01125	Syab.g_00567
OG0000516	Praq.g_01124	Syab.g_00575
OG0000517	Praq.g_01122	Syab.g_00582
OG0000518	Praq.g_01111	Syab.g_00594
OG0000519	Praq.g_01110	Syab.g_00610
OG0000520	Praq.g_01109	Syab.g_00611
OG0000521	Praq.g_00502	Syab.g_00624
OG0000522	Praq.g_00504	Syab.g_00626
OG0000523	Praq.g_00505	Syab.g_00627
OG0000524	Praq.g_00511	Syab.g_00640
OG0000525	Praq.g_00514	Syab.g_00671
OG0000526	Praq.g_00515	Syab.g_00689
OG0000527	Praq.g_00524	Syab.g_00695
OG0000528	Praq.g_00529	Syab.g_02092
OG0000529	Praq.g_00532	Syab.g_02097
OG0000530	Praq.g_00535	Syab.g_02100
OG0000531	Praq.g_00536	Syab.g_02101
OG0000532	Praq.g_00538	Syab.g_02104
OG0000533	Praq.g_00539	Syab.g_02106
OG0000534	Praq.g_00540	Syab.g_02107
OG0000535	Praq.g_00541	Syab.g_02108
OG0000536	Praq.g_00542	Syab.g_02109
OG0000537	Praq.g_00543	Syab.g_02110
OG0000538	Praq.g_01102	Syab.g_02122
OG0000539	Praq.g_01101	Syab.g_02123
OG0000540	Praq.g_01100	Syab.g_02124
OG0000541	Praq.g_01099	Syab.g_02125
OG0000542	Praq.g_01097	Syab.g_02128
OG0000543	Praq.g_01095	Syab.g_02130
OG0000544	Praq.g_01094	Syab.g_02131
OG0000545	Praq.g_01092	Syab.g_02133
OG0000546	Praq.g_01089	Syab.g_02135
OG0000547	Praq.g_01087	Syab.g_02137
OG0000548	Praq.g_01086	Syab.g_02138
OG0000549	Praq.g_01084	Syab.g_02144
OG0000550	Praq.g_01079	Syab.g_02149
OG0000551	Praq.g_01075	Syab.g_02153
OG0000552	Praq.g_01074	Syab.g_02154
OG0000553	Praq.g_01073	Syab.g_02046
OG0000554	Praq.g_01068	Syab.g_02040
OG0000555	Praq.g_01060	Syab.g_02026
OG0000556	Praq.g_01058	Syab.g_02022
OG0000557	Praq.g_01057	Syab.g_02019
OG0000558	Praq.g_01055	Syab.g_02016
OG0000559	Praq.g_01051	Syab.g_02012
OG0000560	Praq.g_01048	Syab.g_02009
OG0000561	Praq.g_01047	Syab.g_02008
OG0000562	Praq.g_01046	Syab.g_02007
OG0000563	Praq.g_01045	Syab.g_02006
OG0000564	Praq.g_01044	Syab.g_02005
OG0000565	Praq.g_01041	Syab.g_02001
OG0000566	Praq.g_01039	Syab.g_01997
OG0000567	Praq.g_01035	Syab.g_01993
OG0000568	Praq.g_01034	Syab.g_01991
OG0000569	Praq.g_01033	Syab.g_01990
OG0000570	Praq.g_01032	Syab.g_01989
OG0000571	Praq.g_01030	Syab.g_01986
OG0000572	Praq.g_01017	Syab.g_01969
OG0000573	Praq.g_01010	Syab.g_01960
OG0000574	Praq.g_01009	Syab.g_01959
OG0000575	Praq.g_01005	Syab.g_01954
OG0000576	Praq.g_01003	Syab.g_01952
OG0000577	Praq.g_01002	Syab.g_01951
OG0000578	Praq.g_01001	Syab.g_01950
OG0000579	Praq.g_01000	Syab.g_01949
OG0000580	Praq.g_00999	Syab.g_01948
