Orthogroup	Syap	Prbh
OG0000250	Syap.g_01306	Prbh.g_00257
OG0000251	Syap.g_00442	Prbh.g_00239
OG0000252	Syap.g_01857	Prbh.g_00236
OG0000253	Syap.g_00443	Prbh.g_00235
OG0000254	Syap.g_01527, Syap.g_01528	Prbh.g_00218
OG0000256	Syap.g_01287	Prbh.g_01455
OG0000257	Syap.g_00886	Prbh.g_01223
OG0000258	Syap.g_00907	Prbh.g_01210
OG0000260	Syap.g_01970	Prbh.g_01190
OG0000261	Syap.g_01962, Syap.g_01961	Prbh.g_01187
OG0000262	Syap.g_01954	Prbh.g_01182
OG0000263	Syap.g_00432, Syap.g_00433	Prbh.g_00915
OG0000266	Syap.g_00519	Prbh.g_01163
OG0000267	Syap.g_02333, Syap.g_02332	Prbh.g_01150
OG0000268	Syap.g_00646	Prbh.g_01149
OG0000269	Syap.g_00188	Prbh.g_00948
OG0000270	Syap.g_00192	Prbh.g_00951
OG0000271	Syap.g_00200, Syap.g_00201	Prbh.g_00959
OG0000272	Syap.g_00202	Prbh.g_00960
OG0000273	Syap.g_02703	Prbh.g_00983
OG0000274	Syap.g_02702	Prbh.g_00984
OG0000275	Syap.g_01847	Prbh.g_00987
OG0000276	Syap.g_01839, Syap.g_01838	Prbh.g_00993
OG0000277	Syap.g_01837	Prbh.g_00994
OG0000278	Syap.g_01834	Prbh.g_00997
OG0000279	Syap.g_00829, Syap.g_00830	Prbh.g_01005
OG0000280	Syap.g_00365	Prbh.g_01006
OG0000281	Syap.g_01977	Prbh.g_01013
OG0000282	Syap.g_01252	Prbh.g_00880
OG0000283	Syap.g_01728	Prbh.g_01059
OG0000284	Syap.g_01736	Prbh.g_01064
OG0000285	Syap.g_01746, Syap.g_01744	Prbh.g_01069
OG0000286	Syap.g_02014, Syap.g_02013	Prbh.g_01085
OG0000288	Syap.g_02764, Syap.g_02763	Prbh.g_01120
OG0000289	Syap.g_02784	Prbh.g_01135
OG0000290	Syap.g_01552	Prbh.g_01034
OG0000291	Syap.g_01554	Prbh.g_01032
OG0000292	Syap.g_02314	Prbh.g_01328
OG0000293	Syap.g_00240	Prbh.g_01293
OG0000294	Syap.g_00239	Prbh.g_01292
OG0000295	Syap.g_00206	Prbh.g_01268
OG0000296	Syap.g_00204	Prbh.g_01266
OG0000297	Syap.g_01887	Prbh.g_01257
OG0000298	Syap.g_01888	Prbh.g_01256
OG0000299	Syap.g_02620	Prbh.g_01237
OG0000302	Syap.g_02444, Syap.g_02445	Prbh.g_01231
OG0000303	Syap.g_02435	Prbh.g_01225
OG0000304	Syap.g_02430	Prbh.g_01450
OG0000305	Syap.g_01557	Prbh.g_01326
OG0000306	Syap.g_01966	Prbh.g_01017
OG0000307	Syap.g_02517	Prbh.g_00019
OG0000308	Syap.g_02514, Syap.g_02515	Prbh.g_00020
OG0000309	Syap.g_02198, Syap.g_02446	Prbh.g_00024
OG0000310	Syap.g_02660, Syap.g_02661	Prbh.g_00082
OG0000311	Syap.g_02657	Prbh.g_00084
OG0000312	Syap.g_02114	Prbh.g_00087
OG0000313	Syap.g_02473	Prbh.g_00103
OG0000314	Syap.g_00007	Prbh.g_00126
OG0000315	Syap.g_00017	Prbh.g_00136
OG0000316	Syap.g_00030	Prbh.g_00162
OG0000317	Syap.g_00618	Prbh.g_01785
OG0000318	Syap.g_00622, Syap.g_02786	Prbh.g_01781
OG0000319	Syap.g_01764, Syap.g_01771	Prbh.g_01768
OG0000320	Syap.g_01761, Syap.g_01769	Prbh.g_01766
OG0000321	Syap.g_01760, Syap.g_01768	Prbh.g_01765
OG0000322	Syap.g_01759, Syap.g_01767	Prbh.g_01764
OG0000323	Syap.g_01389	Prbh.g_01755
OG0000324	Syap.g_01503	Prbh.g_01727
OG0000325	Syap.g_02680	Prbh.g_01717
OG0000326	Syap.g_00544	Prbh.g_01710
OG0000327	Syap.g_01233, Syap.g_01913	Prbh.g_01686
OG0000328	Syap.g_01234, Syap.g_01912	Prbh.g_01685
OG0000329	Syap.g_00498	Prbh.g_01668
OG0000330	Syap.g_00497	Prbh.g_01667
OG0000331	Syap.g_00496	Prbh.g_01666
OG0000332	Syap.g_00481	Prbh.g_01652
OG0000333	Syap.g_00478	Prbh.g_01650
OG0000334	Syap.g_00468	Prbh.g_01641
OG0000335	Syap.g_00101, Syap.g_00463	Prbh.g_01636
OG0000336	Syap.g_00417, Syap.g_00607	Prbh.g_01632
OG0000337	Syap.g_01054	Prbh.g_01613
OG0000338	Syap.g_01059	Prbh.g_01612
OG0000339	Syap.g_01068	Prbh.g_01606
OG0000340	Syap.g_01077	Prbh.g_01597
OG0000341	Syap.g_01079	Prbh.g_01595
OG0000342	Syap.g_01080, Syap.g_02477	Prbh.g_01594
OG0000343	Syap.g_01086, Syap.g_02078	Prbh.g_01593
OG0000344	Syap.g_01091	Prbh.g_01590
OG0000345	Syap.g_01107, Syap.g_01470	Prbh.g_01584
OG0000346	Syap.g_02423, Syap.g_01113	Prbh.g_01580
OG0000347	Syap.g_01131, Syap.g_02459	Prbh.g_01563
OG0000348	Syap.g_00632	Prbh.g_01555
OG0000349	Syap.g_00110, Syap.g_01813	Prbh.g_01537
OG0000351	Syap.g_02594	Prbh.g_01497
OG0000352	Syap.g_02596, Syap.g_02597	Prbh.g_01496
OG0000353	Syap.g_00054	Prbh.g_01477
OG0000355	Syap.g_00056	Prbh.g_01475
OG0000356	Syap.g_00057	Prbh.g_01474
OG0000357	Syap.g_00058	Prbh.g_01473
OG0000358	Syap.g_00063	Prbh.g_01469
OG0000359	Syap.g_00065	Prbh.g_01468
OG0000360	Syap.g_00067	Prbh.g_01467
OG0000361	Syap.g_00068	Prbh.g_01466
OG0000362	Syap.g_00070	Prbh.g_01952
OG0000363	Syap.g_00072	Prbh.g_00766
OG0000364	Syap.g_00620	Prbh.g_00765
OG0000365	Syap.g_00081	Prbh.g_00760
OG0000366	Syap.g_00082	Prbh.g_00759
OG0000367	Syap.g_00083	Prbh.g_00758
OG0000368	Syap.g_00085	Prbh.g_00756
OG0000369	Syap.g_00086	Prbh.g_00755
OG0000370	Syap.g_00087	Prbh.g_00754
OG0000372	Syap.g_01805	Prbh.g_00746
OG0000373	Syap.g_01806	Prbh.g_00745
OG0000374	Syap.g_01807	Prbh.g_00744
OG0000375	Syap.g_01808	Prbh.g_00743
OG0000376	Syap.g_01811	Prbh.g_00741
OG0000377	Syap.g_00128	Prbh.g_00737
OG0000378	Syap.g_01326	Prbh.g_00733
OG0000380	Syap.g_01687	Prbh.g_00717
OG0000381	Syap.g_01690	Prbh.g_00712
OG0000382	Syap.g_02548	Prbh.g_00702
OG0000383	Syap.g_02359	Prbh.g_00700
OG0000384	Syap.g_02360	Prbh.g_00699
OG0000385	Syap.g_02361	Prbh.g_00698
OG0000386	Syap.g_02362	Prbh.g_00697
OG0000387	Syap.g_01864	Prbh.g_00684
OG0000391	Syap.g_02234	Prbh.g_00665
OG0000392	Syap.g_02225	Prbh.g_00661
OG0000393	Syap.g_02222	Prbh.g_00658
OG0000394	Syap.g_02221	Prbh.g_00657
OG0000395	Syap.g_02220	Prbh.g_00656
OG0000396	Syap.g_02217	Prbh.g_00654
OG0000397	Syap.g_02215	Prbh.g_00652
OG0000398	Syap.g_02211	Prbh.g_00649
OG0000399	Syap.g_02210	Prbh.g_00648
OG0000400	Syap.g_02209	Prbh.g_00647
OG0000401	Syap.g_02208	Prbh.g_00646
OG0000402	Syap.g_02206	Prbh.g_01144
OG0000403	Syap.g_02205	Prbh.g_00644
OG0000404	Syap.g_02204, Syap.g_02618	Prbh.g_00643
OG0000405	Syap.g_02191	Prbh.g_00639
OG0000406	Syap.g_02186	Prbh.g_00635
OG0000407	Syap.g_02185	Prbh.g_00634
OG0000408	Syap.g_02181, Syap.g_02182	Prbh.g_00632
OG0000409	Syap.g_02179	Prbh.g_00630
OG0000410	Syap.g_02178	Prbh.g_00629
OG0000411	Syap.g_02177	Prbh.g_00628
OG0000412	Syap.g_02176	Prbh.g_00627
OG0000413	Syap.g_02174	Prbh.g_00626
OG0000414	Syap.g_02173	Prbh.g_00625
OG0000415	Syap.g_02172	Prbh.g_00624
OG0000416	Syap.g_02171	Prbh.g_00623
OG0000417	Syap.g_02169	Prbh.g_00622
OG0000418	Syap.g_01204	Prbh.g_00617
OG0000419	Syap.g_01201	Prbh.g_00615
OG0000420	Syap.g_01199	Prbh.g_00614
OG0000421	Syap.g_01195	Prbh.g_00610
OG0000422	Syap.g_01194	Prbh.g_00609
OG0000423	Syap.g_01193	Prbh.g_00608
OG0000424	Syap.g_01192	Prbh.g_00607
OG0000425	Syap.g_01191	Prbh.g_00606
OG0000426	Syap.g_01190	Prbh.g_00605
OG0000427	Syap.g_01189	Prbh.g_00604
OG0000428	Syap.g_01186	Prbh.g_00602
OG0000429	Syap.g_01184	Prbh.g_00601
OG0000430	Syap.g_01182	Prbh.g_00600
OG0000431	Syap.g_01179	Prbh.g_00598
OG0000432	Syap.g_02277	Prbh.g_00594
OG0000433	Syap.g_02272	Prbh.g_00593
OG0000434	Syap.g_02271	Prbh.g_00592
OG0000435	Syap.g_02268	Prbh.g_00591
OG0000436	Syap.g_01607	Prbh.g_00586
OG0000437	Syap.g_01608	Prbh.g_00585
OG0000438	Syap.g_01612	Prbh.g_00584
OG0000439	Syap.g_01614	Prbh.g_00582
OG0000440	Syap.g_01615	Prbh.g_00581
OG0000441	Syap.g_01619	Prbh.g_00578
OG0000442	Syap.g_01620	Prbh.g_00577
OG0000443	Syap.g_01622	Prbh.g_00576
OG0000444	Syap.g_01424	Prbh.g_00571
OG0000445	Syap.g_01421	Prbh.g_00570
OG0000446	Syap.g_01419	Prbh.g_00569
OG0000447	Syap.g_01410	Prbh.g_00568
OG0000448	Syap.g_01407	Prbh.g_00567
OG0000449	Syap.g_01406	Prbh.g_00566
OG0000450	Syap.g_01909	Prbh.g_00565
OG0000451	Syap.g_01908	Prbh.g_00564
OG0000452	Syap.g_01904	Prbh.g_00561
OG0000453	Syap.g_01903	Prbh.g_00560
OG0000454	Syap.g_01902	Prbh.g_00559
OG0000455	Syap.g_01901	Prbh.g_00558
OG0000456	Syap.g_01900	Prbh.g_00557
OG0000457	Syap.g_01896	Prbh.g_00555
OG0000458	Syap.g_01895	Prbh.g_00554
OG0000459	Syap.g_01894	Prbh.g_00553
OG0000460	Syap.g_01159	Prbh.g_00545
OG0000461	Syap.g_01575	Prbh.g_00537
OG0000462	Syap.g_01578	Prbh.g_00535
OG0000463	Syap.g_01579	Prbh.g_00534
OG0000464	Syap.g_01580	Prbh.g_00533
OG0000465	Syap.g_01582	Prbh.g_00532
OG0000466	Syap.g_01587	Prbh.g_00529
OG0000467	Syap.g_01588	Prbh.g_00528
OG0000468	Syap.g_01593	Prbh.g_00525
OG0000469	Syap.g_02352	Prbh.g_00517
OG0000470	Syap.g_02349	Prbh.g_00515
OG0000471	Syap.g_02348	Prbh.g_00514
OG0000472	Syap.g_02347	Prbh.g_00513
OG0000473	Syap.g_02343	Prbh.g_00511
OG0000474	Syap.g_02342	Prbh.g_00510
OG0000475	Syap.g_02341	Prbh.g_00509
OG0000476	Syap.g_02339	Prbh.g_00507
OG0000477	Syap.g_01367	Prbh.g_00504
OG0000478	Syap.g_01366	Prbh.g_00503
OG0000479	Syap.g_01364	Prbh.g_00502
OG0000480	Syap.g_01357	Prbh.g_00497
OG0000482	Syap.g_01355	Prbh.g_00493
OG0000483	Syap.g_01344	Prbh.g_00490
OG0000484	Syap.g_01350	Prbh.g_00489
OG0000485	Syap.g_01349	Prbh.g_00487
OG0000487	Syap.g_01635	Prbh.g_00483
OG0000488	Syap.g_01639	Prbh.g_00480
OG0000489	Syap.g_02482	Prbh.g_00475
OG0000490	Syap.g_01673	Prbh.g_00471
OG0000491	Syap.g_01670	Prbh.g_00470
OG0000492	Syap.g_01668	Prbh.g_00468
OG0000493	Syap.g_01667	Prbh.g_00467
OG0000494	Syap.g_01666	Prbh.g_00466
OG0000495	Syap.g_01665	Prbh.g_00465
OG0000496	Syap.g_01663	Prbh.g_00464
OG0000497	Syap.g_01662	Prbh.g_00463
OG0000498	Syap.g_01661	Prbh.g_00462
OG0000499	Syap.g_01660	Prbh.g_00461
OG0000500	Syap.g_01659	Prbh.g_00460
OG0000501	Syap.g_01656	Prbh.g_00458
OG0000502	Syap.g_02066	Prbh.g_00455
OG0000503	Syap.g_00569	Prbh.g_00439
OG0000504	Syap.g_00567	Prbh.g_00437
OG0000505	Syap.g_00566	Prbh.g_00436
OG0000506	Syap.g_00564	Prbh.g_00435
OG0000507	Syap.g_00558	Prbh.g_00431
OG0000508	Syap.g_00554	Prbh.g_00427
OG0000509	Syap.g_00551	Prbh.g_00425
OG0000510	Syap.g_00550	Prbh.g_00424
OG0000511	Syap.g_00548	Prbh.g_00423
OG0000512	Syap.g_02145	Prbh.g_00421
OG0000513	Syap.g_02048	Prbh.g_00412
OG0000514	Syap.g_02051	Prbh.g_00401
OG0000515	Syap.g_02052	Prbh.g_00400
OG0000516	Syap.g_02054	Prbh.g_00399
OG0000517	Syap.g_02057	Prbh.g_00397
OG0000519	Syap.g_00457	Prbh.g_00385
OG0000520	Syap.g_00456	Prbh.g_00384
OG0000521	Syap.g_01997	Prbh.g_00374
OG0000522	Syap.g_01995	Prbh.g_00372
OG0000523	Syap.g_02507	Prbh.g_00371
OG0000524	Syap.g_02135	Prbh.g_00367
OG0000525	Syap.g_02159	Prbh.g_00363
OG0000526	Syap.g_02157	Prbh.g_00361
OG0000527	Syap.g_02758	Prbh.g_00358
OG0000528	Syap.g_02261	Prbh.g_00353
OG0000529	Syap.g_02254	Prbh.g_00350
OG0000530	Syap.g_02252	Prbh.g_00347
OG0000531	Syap.g_02251	Prbh.g_00346
OG0000532	Syap.g_02247	Prbh.g_00344
OG0000533	Syap.g_02244	Prbh.g_00343
OG0000534	Syap.g_02243	Prbh.g_00342
OG0000535	Syap.g_02242	Prbh.g_00341
OG0000536	Syap.g_02241	Prbh.g_00340
OG0000537	Syap.g_02240	Prbh.g_00339
OG0000538	Syap.g_00271	Prbh.g_00329
OG0000539	Syap.g_00270	Prbh.g_00328
OG0000540	Syap.g_00269	Prbh.g_00327
OG0000541	Syap.g_00268	Prbh.g_00326
OG0000542	Syap.g_00264	Prbh.g_00325
OG0000543	Syap.g_00261	Prbh.g_00323
OG0000544	Syap.g_00260	Prbh.g_00322
OG0000545	Syap.g_00259	Prbh.g_00320
OG0000546	Syap.g_00256	Prbh.g_00317
OG0000547	Syap.g_00254	Prbh.g_00315
OG0000548	Syap.g_00253	Prbh.g_00314
OG0000549	Syap.g_00758	Prbh.g_00311
OG0000550	Syap.g_02747	Prbh.g_00306
OG0000551	Syap.g_02739	Prbh.g_00303
OG0000552	Syap.g_02738	Prbh.g_00302
OG0000553	Syap.g_02735	Prbh.g_00301
OG0000554	Syap.g_01450	Prbh.g_00295
OG0000555	Syap.g_01941	Prbh.g_00288
OG0000556	Syap.g_01933	Prbh.g_00286
OG0000557	Syap.g_01931	Prbh.g_00285
OG0000558	Syap.g_01147	Prbh.g_00283
OG0000560	Syap.g_00305	Prbh.g_00276
OG0000561	Syap.g_00304	Prbh.g_00275
OG0000562	Syap.g_00302	Prbh.g_00274
OG0000563	Syap.g_00301	Prbh.g_00273
OG0000564	Syap.g_00300	Prbh.g_00272
