Orthogroup	Syap	Prbj
OG0000048	Syap.g_02340	Prbj.g_01393
OG0000051	Syap.g_01574	Prbj.g_00705, Prbj.g_02362
OG0000053	Syap.g_02006	Prbj.g_00638
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prbj.g_01758
OG0000057	Syap.g_01569	Prbj.g_00758
OG0000058	Syap.g_02074	Prbj.g_01467
OG0000059	Syap.g_01082, Syap.g_02478	Prbj.g_01521
OG0000059	Syap.g_01918	Prbj.g_01029
OG0000061	Syap.g_00228	Prbj.g_00971
OG0000062	Syap.g_01220	Prbj.g_00881
OG0000063	Syap.g_01796	Prbj.g_01208
OG0000066	Syap.g_01972	Prbj.g_02141
OG0000068	Syap.g_00108, Syap.g_00144	Prbj.g_01639
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbj.g_00118
OG0000071	Syap.g_01483	Prbj.g_01728
OG0000072	Syap.g_00555	Prbj.g_00516
OG0000073	Syap.g_00273	Prbj.g_01608
OG0000075	Syap.g_01064, Syap.g_00664	Prbj.g_01502
OG0000076	Syap.g_01111	Prbj.g_01598
OG0000077	Syap.g_00416	Prbj.g_01900
OG0000078	Syap.g_01149	Prbj.g_02614
OG0000079	Syap.g_01589	Prbj.g_01353
OG0000085	Syap.g_00611	Prbj.g_00869
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbj.g_01547
OG0000088	Syap.g_01202	Prbj.g_00912
OG0000089	Syap.g_00115, Syap.g_02042	Prbj.g_00064
OG0000090	Syap.g_01451	Prbj.g_02127
OG0000091	Syap.g_01861	Prbj.g_02581
OG0000094	Syap.g_02781	Prbj.g_01985
OG0000095	Syap.g_01556	Prbj.g_01838
OG0000098	Syap.g_01975	Prbj.g_00669
OG0000099	Syap.g_01385	Prbj.g_01464
OG0000101	Syap.g_00472	Prbj.g_00415
OG0000102	Syap.g_01116	Prbj.g_01819
OG0000103	Syap.g_02607, Syap.g_02608	Prbj.g_02055
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbj.g_02069
OG0000105	Syap.g_01369, Syap.g_01368	Prbj.g_01397
OG0000107	Syap.g_02496	Prbj.g_02659
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prbj.g_01630
OG0000109	Syap.g_00279, Syap.g_02237	Prbj.g_01614
OG0000110	Syap.g_01313	Prbj.g_01801
OG0000111	Syap.g_01566, Syap.g_01568	Prbj.g_00759
OG0000112	Syap.g_02023	Prbj.g_02276
OG0000113	Syap.g_02714	Prbj.g_02437
OG0000114	Syap.g_01255	Prbj.g_02340
OG0000115	Syap.g_02004	Prbj.g_00634
OG0000116	Syap.g_00241	Prbj.g_00956
OG0000117	Syap.g_01889	Prbj.g_01915
OG0000118	Syap.g_02286	Prbj.g_01742
OG0000120	Syap.g_02075	Prbj.g_01465
OG0000121	Syap.g_02471	Prbj.g_01064, Prbj.g_01058
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbj.g_00406
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbj.g_01281
OG0000125	Syap.g_01046, Syap.g_01047	Prbj.g_01963
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prbj.g_02067
OG0000127	Syap.g_00736	Prbj.g_02148, Prbj.g_00896, Prbj.g_00210
OG0000128	Syap.g_00069	Prbj.g_02085
OG0000129	Syap.g_00130, Syap.g_00129	Prbj.g_01951
OG0000130	Syap.g_01688, Syap.g_01689	Prbj.g_00564
OG0000131	Syap.g_02189	Prbj.g_00543
OG0000132	Syap.g_01205	Prbj.g_00523
OG0000133	Syap.g_02017	Prbj.g_01460
OG0000134	Syap.g_02047	Prbj.g_00067
OG0000135	Syap.g_02090	Prbj.g_02004
OG0000136	Syap.g_00089	Prbj.g_00105
OG0000137	Syap.g_02756	Prbj.g_00128
OG0000138	Syap.g_00278	Prbj.g_01613
OG0000139	Syap.g_00410	Prbj.g_02133
OG0000140	Syap.g_01976	Prbj.g_02139
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbj.g_01757
OG0000142	Syap.g_00895, Syap.g_00894	Prbj.g_02573
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbj.g_02577
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbj.g_00793
OG0000145	Syap.g_01860, Syap.g_01859	Prbj.g_01607
OG0000146	Syap.g_02024	Prbj.g_02277
OG0000147	Syap.g_02025	Prbj.g_02278
OG0000148	Syap.g_02720	Prbj.g_02431
OG0000149	Syap.g_00824	Prbj.g_02488
OG0000150	Syap.g_01540	Prbj.g_02511
OG0000151	Syap.g_00142	Prbj.g_02361
OG0000152	Syap.g_02012	Prbj.g_02268
OG0000153	Syap.g_02682	Prbj.g_02241
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbj.g_02213
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbj.g_00312
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbj.g_00163
OG0000157	Syap.g_00249, Syap.g_00286	Prbj.g_00162
OG0000158	Syap.g_01075	Prbj.g_01514
OG0000160	Syap.g_02470, Syap.g_02469	Prbj.g_01057
OG0000161	Syap.g_02476	Prbj.g_01071
OG0000162	Syap.g_02531	Prbj.g_01077
OG0000164	Syap.g_01391, Syap.g_01392	Prbj.g_00476
OG0000165	Syap.g_01381, Syap.g_01382	Prbj.g_00467
OG0000166	Syap.g_00512, Syap.g_01238	Prbj.g_01019
OG0000167	Syap.g_02080	Prbj.g_01500
OG0000168	Syap.g_01076	Prbj.g_01515
OG0000169	Syap.g_01049, Syap.g_01093	Prbj.g_01581
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbj.g_01593
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbj.g_01282
OG0000172	Syap.g_01143, Syap.g_00635	Prbj.g_01248
OG0000173	Syap.g_00982, Syap.g_00983	Prbj.g_01227
OG0000174	Syap.g_02092	Prbj.g_02006
OG0000175	Syap.g_02654	Prbj.g_02044
OG0000176	Syap.g_00059	Prbj.g_02077
OG0000177	Syap.g_00061, Syap.g_00060	Prbj.g_02078
OG0000178	Syap.g_00062	Prbj.g_02079
OG0000179	Syap.g_00077, Syap.g_02638	Prbj.g_01188
OG0000180	Syap.g_00078, Syap.g_02640	Prbj.g_01189
OG0000181	Syap.g_00079, Syap.g_02641	Prbj.g_01190
OG0000182	Syap.g_00080, Syap.g_02642	Prbj.g_01191
OG0000183	Syap.g_00084	Prbj.g_01195
OG0000184	Syap.g_01337	Prbj.g_01943
OG0000186	Syap.g_01684	Prbj.g_00558
OG0000187	Syap.g_01686	Prbj.g_00560
OG0000188	Syap.g_02547	Prbj.g_00581
OG0000191	Syap.g_02233	Prbj.g_01557
OG0000192	Syap.g_02224	Prbj.g_01566
OG0000193	Syap.g_02187, Syap.g_02188	Prbj.g_00542
OG0000194	Syap.g_02183	Prbj.g_00539
OG0000195	Syap.g_02180	Prbj.g_00537
OG0000196	Syap.g_01208, Syap.g_02167	Prbj.g_00526
OG0000197	Syap.g_01207, Syap.g_02166	Prbj.g_00525
OG0000198	Syap.g_01206	Prbj.g_00524
OG0000199	Syap.g_01197	Prbj.g_00517
OG0000200	Syap.g_01181	Prbj.g_01138
OG0000201	Syap.g_02265	Prbj.g_01157
OG0000202	Syap.g_02264	Prbj.g_01158
OG0000203	Syap.g_01601	Prbj.g_01159
OG0000204	Syap.g_01602	Prbj.g_01160
OG0000205	Syap.g_01616	Prbj.g_01167
OG0000206	Syap.g_01628	Prbj.g_00288
OG0000207	Syap.g_01426, Syap.g_00424	Prbj.g_00234
OG0000208	Syap.g_00426, Syap.g_01425	Prbj.g_00235
OG0000209	Syap.g_01906	Prbj.g_00262
OG0000210	Syap.g_01905	Prbj.g_00263
OG0000211	Syap.g_01160	Prbj.g_00177
OG0000212	Syap.g_02664	Prbj.g_02615
OG0000213	Syap.g_00107, Syap.g_01599	Prbj.g_01362
OG0000214	Syap.g_02344, Syap.g_02345	Prbj.g_01389
OG0000215	Syap.g_01347, Syap.g_01629	Prbj.g_01419
OG0000216	Syap.g_01634	Prbj.g_01422
OG0000217	Syap.g_01638	Prbj.g_01426
OG0000218	Syap.g_01641, Syap.g_01640	Prbj.g_01430
OG0000219	Syap.g_01642, Syap.g_01643	Prbj.g_01431
OG0000220	Syap.g_01645	Prbj.g_01432
OG0000221	Syap.g_01646	Prbj.g_01437
OG0000222	Syap.g_01669	Prbj.g_01446
OG0000223	Syap.g_02072, Syap.g_02073	Prbj.g_01469
OG0000224	Syap.g_02064	Prbj.g_01480
OG0000225	Syap.g_00553, Syap.g_00552	Prbj.g_00323
OG0000226	Syap.g_02029, Syap.g_02144	Prbj.g_00319
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbj.g_00317
OG0000228	Syap.g_00116, Syap.g_02041	Prbj.g_00063
OG0000229	Syap.g_02059	Prbj.g_00100
OG0000230	Syap.g_02061	Prbj.g_00102
OG0000231	Syap.g_02533	Prbj.g_00117
OG0000232	Syap.g_02510, Syap.g_02511	Prbj.g_01888
OG0000233	Syap.g_02133	Prbj.g_00148
OG0000234	Syap.g_02755	Prbj.g_00127
OG0000235	Syap.g_00732, Syap.g_02258	Prbj.g_01631
OG0000236	Syap.g_02238	Prbj.g_01615
OG0000237	Syap.g_00262, Syap.g_00263	Prbj.g_02094
OG0000238	Syap.g_00257, Syap.g_00258	Prbj.g_02098
OG0000239	Syap.g_02744	Prbj.g_02114
OG0000240	Syap.g_02742	Prbj.g_02115
OG0000241	Syap.g_00888	Prbj.g_01116
OG0000242	Syap.g_01455	Prbj.g_02125
OG0000243	Syap.g_01938	Prbj.g_02668
OG0000244	Syap.g_01146, Syap.g_01145	Prbj.g_01859
OG0000245	Syap.g_01148	Prbj.g_01862
OG0000246	Syap.g_00308	Prbj.g_01866
OG0000247	Syap.g_00288, Syap.g_00293	Prbj.g_01877
OG0000248	Syap.g_00290	Prbj.g_01880
OG0000249	Syap.g_01296, Syap.g_01295	Prbj.g_01882
OG0000250	Syap.g_01306	Prbj.g_01805
OG0000251	Syap.g_00442	Prbj.g_01781
OG0000252	Syap.g_01857	Prbj.g_01778
OG0000253	Syap.g_00443	Prbj.g_01772
OG0000254	Syap.g_01527, Syap.g_01528	Prbj.g_01753
OG0000256	Syap.g_01287	Prbj.g_02560
OG0000257	Syap.g_00886	Prbj.g_02566
OG0000258	Syap.g_00907	Prbj.g_02589
OG0000260	Syap.g_01970	Prbj.g_00816
OG0000261	Syap.g_01962, Syap.g_01961	Prbj.g_00819
OG0000262	Syap.g_01954	Prbj.g_00824
OG0000263	Syap.g_00432, Syap.g_00433	Prbj.g_00248
OG0000266	Syap.g_00519	Prbj.g_02189
OG0000267	Syap.g_02333, Syap.g_02332	Prbj.g_02315
OG0000268	Syap.g_00646	Prbj.g_02314
OG0000269	Syap.g_00188	Prbj.g_02407
OG0000270	Syap.g_00192	Prbj.g_02410
OG0000271	Syap.g_00200, Syap.g_00201	Prbj.g_02418
OG0000272	Syap.g_00202	Prbj.g_02419
OG0000274	Syap.g_02702	Prbj.g_02471
OG0000275	Syap.g_01847	Prbj.g_02474
OG0000276	Syap.g_01839, Syap.g_01838	Prbj.g_02480
OG0000277	Syap.g_01837	Prbj.g_02481
OG0000278	Syap.g_01834	Prbj.g_02484
OG0000279	Syap.g_00829, Syap.g_00830	Prbj.g_02492
OG0000280	Syap.g_00365	Prbj.g_02498
OG0000281	Syap.g_01977	Prbj.g_02512
OG0000282	Syap.g_01252	Prbj.g_02342
OG0000283	Syap.g_01728	Prbj.g_02303
OG0000284	Syap.g_01736	Prbj.g_02297
OG0000285	Syap.g_01746, Syap.g_01744	Prbj.g_00694
OG0000286	Syap.g_02014, Syap.g_02013	Prbj.g_02269
OG0000288	Syap.g_02764, Syap.g_02763	Prbj.g_02214
OG0000289	Syap.g_02784	Prbj.g_02201
OG0000290	Syap.g_01552	Prbj.g_01841
OG0000291	Syap.g_01554	Prbj.g_01839
OG0000292	Syap.g_02314	Prbj.g_02066
OG0000293	Syap.g_00240	Prbj.g_00958
OG0000294	Syap.g_00239	Prbj.g_00959
OG0000295	Syap.g_00206	Prbj.g_00304
OG0000296	Syap.g_00204	Prbj.g_00306, Prbj.g_00307
OG0000297	Syap.g_01887	Prbj.g_01913
OG0000298	Syap.g_01888	Prbj.g_01914
OG0000299	Syap.g_02620	Prbj.g_01903
OG0000302	Syap.g_02444, Syap.g_02445	Prbj.g_02159
OG0000303	Syap.g_02435	Prbj.g_00314
OG0000304	Syap.g_02430	Prbj.g_00020
OG0000305	Syap.g_01557	Prbj.g_01837
OG0000306	Syap.g_01966	Prbj.g_02521
OG0000307	Syap.g_02517	Prbj.g_01647
OG0000308	Syap.g_02514, Syap.g_02515	Prbj.g_01649
OG0000309	Syap.g_02198, Syap.g_02446	Prbj.g_01653
OG0000310	Syap.g_02660, Syap.g_02661	Prbj.g_01294
OG0000311	Syap.g_02657	Prbj.g_01040
OG0000312	Syap.g_02114	Prbj.g_01044
OG0000313	Syap.g_02473	Prbj.g_01068
OG0000314	Syap.g_00007	Prbj.g_00646
OG0000315	Syap.g_00017	Prbj.g_00656
OG0000316	Syap.g_00030	Prbj.g_01699
OG0000317	Syap.g_00618	Prbj.g_00863
OG0000318	Syap.g_00622, Syap.g_02786	Prbj.g_00856
OG0000319	Syap.g_01764, Syap.g_01771	Prbj.g_00487
OG0000320	Syap.g_01761, Syap.g_01769	Prbj.g_00485
OG0000321	Syap.g_01760, Syap.g_01768	Prbj.g_00484
OG0000322	Syap.g_01759, Syap.g_01767	Prbj.g_00483
OG0000323	Syap.g_01389	Prbj.g_00472
OG0000324	Syap.g_01503	Prbj.g_00443
OG0000325	Syap.g_02680	Prbj.g_02657
OG0000326	Syap.g_00544	Prbj.g_02649
OG0000327	Syap.g_01233, Syap.g_01913	Prbj.g_01024
OG0000328	Syap.g_01234, Syap.g_01912	Prbj.g_01023
OG0000329	Syap.g_00498	Prbj.g_01006
OG0000330	Syap.g_00497	Prbj.g_01005
OG0000331	Syap.g_00496	Prbj.g_01004
OG0000332	Syap.g_00481	Prbj.g_00989
OG0000333	Syap.g_00478	Prbj.g_00987
OG0000334	Syap.g_00468	Prbj.g_00410
OG0000335	Syap.g_00101, Syap.g_00463	Prbj.g_00405
OG0000336	Syap.g_00417, Syap.g_00607	Prbj.g_00401
OG0000337	Syap.g_01054	Prbj.g_01494
OG0000338	Syap.g_01059	Prbj.g_01498
OG0000339	Syap.g_01068	Prbj.g_01504
OG0000340	Syap.g_01077	Prbj.g_01516
OG0000341	Syap.g_01079	Prbj.g_01518
OG0000342	Syap.g_01080, Syap.g_02477	Prbj.g_01519
OG0000343	Syap.g_01086, Syap.g_02078	Prbj.g_01576
OG0000344	Syap.g_01091	Prbj.g_01579
OG0000345	Syap.g_01107, Syap.g_01470	Prbj.g_01594
OG0000346	Syap.g_01113	Prbj.g_01599
OG0000347	Syap.g_01131, Syap.g_02459	Prbj.g_01280
OG0000348	Syap.g_00632	Prbj.g_01243
OG0000349	Syap.g_00110, Syap.g_01813	Prbj.g_01219
OG0000351	Syap.g_02594	Prbj.g_02047
OG0000352	Syap.g_02596, Syap.g_02597	Prbj.g_02048
OG0000353	Syap.g_00054	Prbj.g_02072
OG0000354	Syap.g_00075, Syap.g_02635	Prbj.g_01186
OG0000355	Syap.g_00056	Prbj.g_02074
OG0000356	Syap.g_00057	Prbj.g_02075
OG0000357	Syap.g_00058	Prbj.g_02076
OG0000358	Syap.g_00063	Prbj.g_02080
OG0000359	Syap.g_00065	Prbj.g_02082
OG0000360	Syap.g_00067	Prbj.g_02083
OG0000361	Syap.g_00068	Prbj.g_02084
OG0000362	Syap.g_00070	Prbj.g_02086
OG0000363	Syap.g_00072	Prbj.g_01182
OG0000364	Syap.g_00620	Prbj.g_01183
OG0000365	Syap.g_00081	Prbj.g_01192
OG0000366	Syap.g_00082	Prbj.g_01193
OG0000367	Syap.g_00083	Prbj.g_01194
OG0000368	Syap.g_00085	Prbj.g_01196
OG0000369	Syap.g_00086	Prbj.g_01197
OG0000370	Syap.g_00087	Prbj.g_01198
OG0000372	Syap.g_01805	Prbj.g_01212
OG0000373	Syap.g_01806	Prbj.g_01213
OG0000374	Syap.g_01807	Prbj.g_01214
OG0000375	Syap.g_01808	Prbj.g_01215
OG0000376	Syap.g_01811	Prbj.g_01217
OG0000377	Syap.g_00128	Prbj.g_01950
OG0000378	Syap.g_01326	Prbj.g_01936
OG0000380	Syap.g_01687	Prbj.g_00561
OG0000381	Syap.g_01690	Prbj.g_00565
OG0000382	Syap.g_02548	Prbj.g_00580
OG0000383	Syap.g_02359	Prbj.g_00582
OG0000384	Syap.g_02360	Prbj.g_00583
OG0000385	Syap.g_02361	Prbj.g_00584
OG0000386	Syap.g_02362	Prbj.g_00585
OG0000387	Syap.g_01864	Prbj.g_00611
OG0000391	Syap.g_02234	Prbj.g_01556
OG0000392	Syap.g_02225	Prbj.g_01562
OG0000393	Syap.g_02222	Prbj.g_01567
OG0000394	Syap.g_02221	Prbj.g_01568
OG0000395	Syap.g_02220	Prbj.g_01569
OG0000396	Syap.g_02217	Prbj.g_01530
OG0000397	Syap.g_02215	Prbj.g_01532
OG0000398	Syap.g_02211	Prbj.g_01537
OG0000399	Syap.g_02210	Prbj.g_01538
OG0000400	Syap.g_02209	Prbj.g_01539
OG0000401	Syap.g_02208	Prbj.g_01540
OG0000402	Syap.g_02206	Prbj.g_01542
OG0000403	Syap.g_02205	Prbj.g_01543
OG0000404	Syap.g_02204, Syap.g_02618	Prbj.g_01545
OG0000405	Syap.g_02191	Prbj.g_00545
OG0000406	Syap.g_02186	Prbj.g_00541
OG0000407	Syap.g_02185	Prbj.g_00540
OG0000408	Syap.g_02181, Syap.g_02182	Prbj.g_00538
OG0000409	Syap.g_02179	Prbj.g_00536
OG0000410	Syap.g_02178	Prbj.g_00535
OG0000411	Syap.g_02177	Prbj.g_00534
OG0000412	Syap.g_02176	Prbj.g_00533
OG0000413	Syap.g_02174	Prbj.g_00531
OG0000414	Syap.g_02173	Prbj.g_00530
OG0000415	Syap.g_02172	Prbj.g_00529
OG0000416	Syap.g_02171	Prbj.g_00528
OG0000417	Syap.g_02169	Prbj.g_00527
OG0000418	Syap.g_01204	Prbj.g_00522
OG0000419	Syap.g_01201	Prbj.g_00520
OG0000420	Syap.g_01199	Prbj.g_00519
OG0000421	Syap.g_01195	Prbj.g_00515
OG0000422	Syap.g_01194	Prbj.g_00514
OG0000423	Syap.g_01193	Prbj.g_00513
OG0000424	Syap.g_01192	Prbj.g_00512
OG0000425	Syap.g_01191	Prbj.g_00511
OG0000426	Syap.g_01190	Prbj.g_00510
OG0000427	Syap.g_01189	Prbj.g_00509
OG0000428	Syap.g_01186	Prbj.g_02369
OG0000429	Syap.g_01184	Prbj.g_01135
OG0000430	Syap.g_01182	Prbj.g_01137
OG0000431	Syap.g_01179	Prbj.g_01141
OG0000432	Syap.g_02277	Prbj.g_01148
OG0000433	Syap.g_02272	Prbj.g_01151
OG0000434	Syap.g_02271	Prbj.g_01152
OG0000435	Syap.g_02268	Prbj.g_01155
OG0000436	Syap.g_01607	Prbj.g_01161
OG0000437	Syap.g_01608	Prbj.g_01162
OG0000438	Syap.g_01612	Prbj.g_01163
OG0000439	Syap.g_01614	Prbj.g_01165
OG0000440	Syap.g_01615	Prbj.g_01166
OG0000441	Syap.g_01619	Prbj.g_01173
OG0000442	Syap.g_01620	Prbj.g_01174
OG0000443	Syap.g_01622	Prbj.g_00289
OG0000444	Syap.g_01424	Prbj.g_00237
OG0000445	Syap.g_01421	Prbj.g_00238
OG0000446	Syap.g_01419	Prbj.g_00240
OG0000447	Syap.g_01410	Prbj.g_00250
OG0000448	Syap.g_01407	Prbj.g_00251
OG0000449	Syap.g_01406	Prbj.g_00252
OG0000450	Syap.g_01909	Prbj.g_00258
OG0000451	Syap.g_01908	Prbj.g_00259
OG0000452	Syap.g_01904	Prbj.g_00264
OG0000453	Syap.g_01903	Prbj.g_00265
OG0000454	Syap.g_01902	Prbj.g_00266
OG0000455	Syap.g_01901	Prbj.g_00267
OG0000456	Syap.g_01900	Prbj.g_00268
OG0000457	Syap.g_01896	Prbj.g_00270
OG0000458	Syap.g_01895	Prbj.g_00271
OG0000459	Syap.g_01894	Prbj.g_00272
OG0000460	Syap.g_01159	Prbj.g_00176
OG0000461	Syap.g_01575	Prbj.g_02661
OG0000462	Syap.g_01578	Prbj.g_01341
OG0000463	Syap.g_01579	Prbj.g_01342
OG0000464	Syap.g_01580	Prbj.g_01343
OG0000465	Syap.g_01582	Prbj.g_01345
OG0000466	Syap.g_01587	Prbj.g_01350
OG0000467	Syap.g_01588	Prbj.g_01352
OG0000468	Syap.g_01593	Prbj.g_01359
OG0000469	Syap.g_02352	Prbj.g_01372
OG0000470	Syap.g_02349	Prbj.g_01385
OG0000471	Syap.g_02348	Prbj.g_01386
OG0000472	Syap.g_02347	Prbj.g_01388
OG0000473	Syap.g_02343	Prbj.g_01390
OG0000474	Syap.g_02342	Prbj.g_01391
OG0000475	Syap.g_02341	Prbj.g_01392
OG0000476	Syap.g_02339	Prbj.g_01394
OG0000477	Syap.g_01367	Prbj.g_01399
OG0000478	Syap.g_01366	Prbj.g_01400
OG0000479	Syap.g_01364	Prbj.g_01401
OG0000480	Syap.g_01357	Prbj.g_01408
OG0000482	Syap.g_01355	Prbj.g_01411
OG0000483	Syap.g_01344	Prbj.g_01415
OG0000484	Syap.g_01350	Prbj.g_01416
OG0000485	Syap.g_01349	Prbj.g_01417
OG0000487	Syap.g_01635	Prbj.g_01423
OG0000488	Syap.g_01639	Prbj.g_01427
OG0000489	Syap.g_02482	Prbj.g_01438
OG0000490	Syap.g_01673	Prbj.g_01444
OG0000491	Syap.g_01670	Prbj.g_01445
OG0000492	Syap.g_01668	Prbj.g_01448
OG0000493	Syap.g_01667	Prbj.g_01449
OG0000494	Syap.g_01666	Prbj.g_01450
OG0000495	Syap.g_01665	Prbj.g_01451
OG0000496	Syap.g_01663	Prbj.g_01452
OG0000497	Syap.g_01662	Prbj.g_01453
OG0000498	Syap.g_01661	Prbj.g_01454
OG0000499	Syap.g_01660	Prbj.g_01455
OG0000500	Syap.g_01659	Prbj.g_01456
OG0000501	Syap.g_01656	Prbj.g_01459
OG0000502	Syap.g_02066	Prbj.g_01471
OG0000503	Syap.g_00569	Prbj.g_00341
OG0000504	Syap.g_00567	Prbj.g_00339
OG0000505	Syap.g_00566	Prbj.g_00338
OG0000506	Syap.g_00564	Prbj.g_00336
OG0000507	Syap.g_00558	Prbj.g_00331
OG0000508	Syap.g_00554	Prbj.g_00324
OG0000509	Syap.g_00551	Prbj.g_00322
OG0000510	Syap.g_00550	Prbj.g_00321
OG0000511	Syap.g_00548	Prbj.g_00320
OG0000512	Syap.g_02145	Prbj.g_00318
OG0000513	Syap.g_02048	Prbj.g_00068
OG0000514	Syap.g_02051	Prbj.g_00076
OG0000515	Syap.g_02052	Prbj.g_00077
OG0000516	Syap.g_02054	Prbj.g_00089
OG0000517	Syap.g_02057	Prbj.g_00099
OG0000519	Syap.g_00457	Prbj.g_00112
OG0000520	Syap.g_00456	Prbj.g_00113
OG0000521	Syap.g_01997	Prbj.g_01894
OG0000522	Syap.g_01995	Prbj.g_01892
OG0000523	Syap.g_02507	Prbj.g_01891
OG0000524	Syap.g_02135	Prbj.g_00152
OG0000525	Syap.g_02159	Prbj.g_00136
OG0000526	Syap.g_02157	Prbj.g_00134
OG0000527	Syap.g_02758	Prbj.g_00130
OG0000528	Syap.g_02261	Prbj.g_01635
OG0000529	Syap.g_02254	Prbj.g_01629
OG0000530	Syap.g_02252	Prbj.g_01626
OG0000531	Syap.g_02251	Prbj.g_01625
OG0000532	Syap.g_02247	Prbj.g_01622
OG0000533	Syap.g_02244	Prbj.g_01620
OG0000534	Syap.g_02243	Prbj.g_01619
OG0000535	Syap.g_02242	Prbj.g_01618
OG0000536	Syap.g_02241	Prbj.g_01617
OG0000537	Syap.g_02240	Prbj.g_01616
OG0000538	Syap.g_00271	Prbj.g_01605
OG0000539	Syap.g_00270	Prbj.g_02088
OG0000540	Syap.g_00269	Prbj.g_02089
OG0000541	Syap.g_00268	Prbj.g_02090
OG0000542	Syap.g_00264	Prbj.g_02093
OG0000543	Syap.g_00261	Prbj.g_02095
OG0000544	Syap.g_00260	Prbj.g_02096
OG0000545	Syap.g_00259	Prbj.g_02097
OG0000546	Syap.g_00256	Prbj.g_02099
OG0000547	Syap.g_00254	Prbj.g_02101
OG0000548	Syap.g_00253	Prbj.g_02102
OG0000549	Syap.g_00758	Prbj.g_02108
OG0000550	Syap.g_02747	Prbj.g_02113
OG0000551	Syap.g_02739	Prbj.g_02117
OG0000552	Syap.g_02738	Prbj.g_02118
OG0000553	Syap.g_02735	Prbj.g_02123
OG0000554	Syap.g_01450	Prbj.g_02128
OG0000555	Syap.g_01941	Prbj.g_02146
OG0000556	Syap.g_01933	Prbj.g_02666
OG0000557	Syap.g_01931	Prbj.g_01858
OG0000558	Syap.g_01147	Prbj.g_01861
OG0000560	Syap.g_00305	Prbj.g_01868
OG0000561	Syap.g_00304	Prbj.g_01869
OG0000562	Syap.g_00302	Prbj.g_01870
OG0000563	Syap.g_00301	Prbj.g_01871
OG0000564	Syap.g_00300	Prbj.g_01872
OG0000565	Syap.g_00296	Prbj.g_01875
OG0000566	Syap.g_00291	Prbj.g_01879
OG0000567	Syap.g_01297	Prbj.g_01883
