Orthogroup	Syap	Syaa
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Syaa.g_01502
OG0000057	Syap.g_01569	Syaa.g_01466, Syaa.g_00889
OG0000058	Syap.g_02074	Syaa.g_00193, Syaa.g_00455
OG0000059	Syap.g_01918	Syaa.g_02315
OG0000060	Syap.g_00795	Syaa.g_01007
OG0000061	Syap.g_00870	Syaa.g_00469
OG0000061	Syap.g_00228	Syaa.g_00770
OG0000062	Syap.g_01220	Syaa.g_00571
OG0000063	Syap.g_01796	Syaa.g_00042
OG0000066	Syap.g_01972	Syaa.g_01968
OG0000067	Syap.g_00194	Syaa.g_01154
OG0000068	Syap.g_00108, Syap.g_00144	Syaa.g_02059
OG0000069	Syap.g_01543, Syap.g_01545	Syaa.g_01497
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syaa.g_00718
OG0000073	Syap.g_00273	Syaa.g_02030
OG0000075	Syap.g_01064, Syap.g_00664	Syaa.g_00157
OG0000076	Syap.g_01111	Syaa.g_00123
OG0000078	Syap.g_01149	Syaa.g_02103
OG0000079	Syap.g_01589	Syaa.g_00303
OG0000080	Syap.g_01707, Syap.g_00630, Syap.g_01035	Syaa.g_00487
OG0000085	Syap.g_00611	Syaa.g_00564
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syaa.g_02433
OG0000088	Syap.g_01202	Syaa.g_02474
OG0000089	Syap.g_00115, Syap.g_02042	Syaa.g_02149
OG0000090	Syap.g_01451	Syaa.g_01980
OG0000091	Syap.g_01861	Syaa.g_01625
OG0000094	Syap.g_02781	Syaa.g_01288
OG0000095	Syap.g_01556	Syaa.g_00879
OG0000098	Syap.g_01975	Syaa.g_01970
OG0000099	Syap.g_01385	Syaa.g_00202
OG0000102	Syap.g_01116	Syaa.g_00118
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syaa.g_02754
OG0000105	Syap.g_01369, Syap.g_01368	Syaa.g_00270
OG0000107	Syap.g_02496	Syaa.g_02351
OG0000108	Syap.g_00733, Syap.g_02255	Syaa.g_02051
OG0000109	Syap.g_00279, Syap.g_02237	Syaa.g_02036
OG0000110	Syap.g_01313	Syaa.g_01918
OG0000111	Syap.g_01566, Syap.g_01568	Syaa.g_00888
OG0000112	Syap.g_02023	Syaa.g_01366
OG0000113	Syap.g_02714	Syaa.g_01196
OG0000114	Syap.g_01255	Syaa.g_01094
OG0000115	Syap.g_02004	Syaa.g_01795
OG0000116	Syap.g_00241	Syaa.g_00757
OG0000117	Syap.g_01889	Syaa.g_01009
OG0000118	Syap.g_02286	Syaa.g_01874
OG0000120	Syap.g_02075	Syaa.g_00201
OG0000121	Syap.g_02471	Syaa.g_01777
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syaa.g_02242
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syaa.g_00092
OG0000125	Syap.g_01046, Syap.g_01047	Syaa.g_02598
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syaa.g_02752
OG0000127	Syap.g_00736	Syaa.g_00934
OG0000127	Syap.g_00737, Syap.g_00735	Syaa.g_00377, Syaa.g_00390
OG0000128	Syap.g_00069	Syaa.g_00012
OG0000129	Syap.g_00130, Syap.g_00129	Syaa.g_02586
OG0000130	Syap.g_01688, Syap.g_01689	Syaa.g_00354
OG0000131	Syap.g_02189	Syaa.g_02448
OG0000132	Syap.g_01205	Syaa.g_02472
OG0000133	Syap.g_02017	Syaa.g_01361
OG0000134	Syap.g_02047	Syaa.g_02146
OG0000135	Syap.g_02090	Syaa.g_02649
OG0000136	Syap.g_00089	Syaa.g_00708
OG0000137	Syap.g_02756	Syaa.g_01842
OG0000138	Syap.g_00278	Syaa.g_02035
OG0000139	Syap.g_00410	Syaa.g_01974
OG0000140	Syap.g_01976	Syaa.g_01971
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syaa.g_01689
OG0000142	Syap.g_00895, Syap.g_00894	Syaa.g_01633
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syaa.g_01629
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syaa.g_01446
OG0000145	Syap.g_01860, Syap.g_01859	Syaa.g_02029
OG0000146	Syap.g_02024	Syaa.g_01367
OG0000147	Syap.g_02025	Syaa.g_01368
OG0000148	Syap.g_02720	Syaa.g_01190
OG0000149	Syap.g_00824	Syaa.g_00826
OG0000150	Syap.g_01540	Syaa.g_01688
OG0000151	Syap.g_00142	Syaa.g_01107
OG0000152	Syap.g_02012	Syaa.g_01357
OG0000153	Syap.g_02682	Syaa.g_01324
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syaa.g_01298
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syaa.g_00804
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syaa.g_00751
OG0000157	Syap.g_00249, Syap.g_00286	Syaa.g_00750
OG0000158	Syap.g_01075	Syaa.g_00148
OG0000159	Syap.g_00852	Syaa.g_00456
OG0000160	Syap.g_02470, Syap.g_02469	Syaa.g_01776
OG0000161	Syap.g_02476	Syaa.g_01782
OG0000162	Syap.g_02531	Syaa.g_01788
OG0000165	Syap.g_01381, Syap.g_01382	Syaa.g_00681
OG0000166	Syap.g_00512, Syap.g_01238	Syaa.g_02289
OG0000167	Syap.g_02080	Syaa.g_00160
OG0000168	Syap.g_01076	Syaa.g_00145
OG0000169	Syap.g_01049, Syap.g_01093	Syaa.g_00134
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syaa.g_00128
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syaa.g_00093
OG0000172	Syap.g_01143, Syap.g_00635	Syaa.g_00079
OG0000173	Syap.g_00982, Syap.g_00983	Syaa.g_00060
OG0000174	Syap.g_02092	Syaa.g_02651
OG0000175	Syap.g_02654	Syaa.g_02726
OG0000176	Syap.g_00059	Syaa.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Syaa.g_00005
OG0000178	Syap.g_00062	Syaa.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Syaa.g_00023
OG0000180	Syap.g_00078, Syap.g_02640	Syaa.g_00024
OG0000181	Syap.g_00079, Syap.g_02641	Syaa.g_00025
OG0000182	Syap.g_00080, Syap.g_02642	Syaa.g_00026
OG0000183	Syap.g_00084	Syaa.g_00030
OG0000184	Syap.g_01337	Syaa.g_02578
OG0000185	Syap.g_01322	Syaa.g_02575
OG0000186	Syap.g_01684	Syaa.g_00359
OG0000187	Syap.g_01686	Syaa.g_00358
OG0000188	Syap.g_02547	Syaa.g_00334
OG0000191	Syap.g_02233	Syaa.g_02404
OG0000192	Syap.g_02224	Syaa.g_02410
OG0000193	Syap.g_02187, Syap.g_02188	Syaa.g_02449
OG0000194	Syap.g_02183	Syaa.g_02452
OG0000196	Syap.g_01208, Syap.g_02167	Syaa.g_02469
OG0000197	Syap.g_01207, Syap.g_02166	Syaa.g_02470
OG0000198	Syap.g_01206	Syaa.g_02471
OG0000199	Syap.g_01197	Syaa.g_02479
OG0000200	Syap.g_01181	Syaa.g_02496
OG0000201	Syap.g_02265	Syaa.g_02521
OG0000202	Syap.g_02264	Syaa.g_02522
OG0000203	Syap.g_01601	Syaa.g_02523
OG0000204	Syap.g_01602	Syaa.g_02524
OG0000205	Syap.g_01616	Syaa.g_02531
OG0000206	Syap.g_01628	Syaa.g_02538
OG0000207	Syap.g_01426, Syap.g_00424	Syaa.g_02540
OG0000208	Syap.g_00426, Syap.g_01425	Syaa.g_02541
OG0000209	Syap.g_01906	Syaa.g_02556
OG0000210	Syap.g_01905	Syaa.g_02557
OG0000211	Syap.g_01160	Syaa.g_02113
OG0000212	Syap.g_02664	Syaa.g_02102
OG0000213	Syap.g_00107, Syap.g_01599	Syaa.g_00295
OG0000214	Syap.g_02344, Syap.g_02345	Syaa.g_00279
OG0000215	Syap.g_01347, Syap.g_01629	Syaa.g_00248
OG0000216	Syap.g_01634	Syaa.g_00244
OG0000217	Syap.g_01638	Syaa.g_00240
OG0000218	Syap.g_01641, Syap.g_01640	Syaa.g_00238
OG0000219	Syap.g_01642, Syap.g_01643	Syaa.g_00237
OG0000220	Syap.g_01645	Syaa.g_00236
OG0000221	Syap.g_01646	Syaa.g_00229
OG0000222	Syap.g_01669	Syaa.g_00215
OG0000223	Syap.g_02072, Syap.g_02073	Syaa.g_00192
OG0000224	Syap.g_02064	Syaa.g_00183
OG0000225	Syap.g_00553, Syap.g_00552	Syaa.g_02166
OG0000226	Syap.g_02029, Syap.g_02144	Syaa.g_02162
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syaa.g_02160
OG0000228	Syap.g_00116, Syap.g_02041	Syaa.g_02150
OG0000229	Syap.g_02059	Syaa.g_00703
OG0000230	Syap.g_02061	Syaa.g_00705
OG0000231	Syap.g_02533	Syaa.g_00717
OG0000232	Syap.g_02510, Syap.g_02511	Syaa.g_01858
OG0000233	Syap.g_02133	Syaa.g_01853
OG0000234	Syap.g_02755	Syaa.g_01841
OG0000235	Syap.g_00732, Syap.g_02258	Syaa.g_02052
OG0000236	Syap.g_02238	Syaa.g_02037
OG0000237	Syap.g_00262, Syap.g_00263	Syaa.g_02020
OG0000238	Syap.g_00257, Syap.g_00258	Syaa.g_02015
OG0000239	Syap.g_02744	Syaa.g_01996
OG0000240	Syap.g_02742	Syaa.g_01995
OG0000241	Syap.g_00888	Syaa.g_01644
OG0000242	Syap.g_01455	Syaa.g_01982
OG0000243	Syap.g_01938	Syaa.g_01960
OG0000244	Syap.g_01146, Syap.g_01145	Syaa.g_01954
OG0000245	Syap.g_01148	Syaa.g_01952
OG0000246	Syap.g_00308	Syaa.g_01948
OG0000247	Syap.g_00288, Syap.g_00293	Syaa.g_01937
OG0000248	Syap.g_00290	Syaa.g_01934
OG0000249	Syap.g_01296, Syap.g_01295	Syaa.g_01932
OG0000250	Syap.g_01306	Syaa.g_01922
OG0000251	Syap.g_00442	Syaa.g_01897
OG0000252	Syap.g_01857	Syaa.g_01894
OG0000253	Syap.g_00443	Syaa.g_01893
OG0000254	Syap.g_01527, Syap.g_01528	Syaa.g_01684
OG0000256	Syap.g_01287	Syaa.g_01651
OG0000257	Syap.g_00886	Syaa.g_01645
OG0000258	Syap.g_00907	Syaa.g_01624
OG0000260	Syap.g_01970	Syaa.g_01066
OG0000261	Syap.g_01962, Syap.g_01961	Syaa.g_01069
OG0000262	Syap.g_01954	Syaa.g_01074
OG0000263	Syap.g_00432, Syap.g_00433	Syaa.g_00989
OG0000266	Syap.g_00519	Syaa.g_01257, Syaa.g_01258
OG0000267	Syap.g_02333, Syap.g_02332	Syaa.g_01409
OG0000268	Syap.g_00646	Syaa.g_01408
OG0000269	Syap.g_00188	Syaa.g_01149
OG0000270	Syap.g_00192	Syaa.g_01152
OG0000271	Syap.g_00200, Syap.g_00201	Syaa.g_01160
OG0000272	Syap.g_00202	Syaa.g_01161
OG0000274	Syap.g_02702	Syaa.g_00843
OG0000275	Syap.g_01847	Syaa.g_00840
OG0000276	Syap.g_01839, Syap.g_01838	Syaa.g_00834
OG0000278	Syap.g_01834	Syaa.g_00830
OG0000279	Syap.g_00829, Syap.g_00830	Syaa.g_00822
OG0000280	Syap.g_00365	Syaa.g_00815
OG0000282	Syap.g_01252	Syaa.g_01096
OG0000283	Syap.g_01728	Syaa.g_01396
OG0000284	Syap.g_01736	Syaa.g_01390
OG0000285	Syap.g_01746, Syap.g_01744	Syaa.g_01377
OG0000286	Syap.g_02014, Syap.g_02013	Syaa.g_01358
OG0000288	Syap.g_02764, Syap.g_02763	Syaa.g_01299
OG0000289	Syap.g_02784	Syaa.g_01285
OG0000290	Syap.g_01552	Syaa.g_00875
OG0000291	Syap.g_01554	Syaa.g_00877
OG0000292	Syap.g_02314	Syaa.g_02751
OG0000293	Syap.g_00240	Syaa.g_00758
OG0000295	Syap.g_00206	Syaa.g_00796
OG0000296	Syap.g_00204	Syaa.g_00798
OG0000297	Syap.g_01887	Syaa.g_01021
OG0000298	Syap.g_01888	Syaa.g_01010
OG0000299	Syap.g_02620	Syaa.g_00982
OG0000302	Syap.g_02444, Syap.g_02445	Syaa.g_00972
OG0000303	Syap.g_02435	Syaa.g_00963
OG0000304	Syap.g_02430	Syaa.g_00957
OG0000305	Syap.g_01557	Syaa.g_00881
OG0000306	Syap.g_01966	Syaa.g_00807
OG0000307	Syap.g_02517	Syaa.g_02068
OG0000308	Syap.g_02514, Syap.g_02515	Syaa.g_02070
OG0000309	Syap.g_02198, Syap.g_02446	Syaa.g_02075
OG0000310	Syap.g_02660, Syap.g_02661	Syaa.g_01752
OG0000311	Syap.g_02657	Syaa.g_01757
OG0000312	Syap.g_02114	Syaa.g_01762
OG0000313	Syap.g_02473	Syaa.g_01779
OG0000314	Syap.g_00007	Syaa.g_01806
OG0000315	Syap.g_00017	Syaa.g_01816
OG0000316	Syap.g_00030	Syaa.g_00598
OG0000317	Syap.g_00618	Syaa.g_00556
OG0000318	Syap.g_00622, Syap.g_02786	Syaa.g_00550
OG0000319	Syap.g_01764, Syap.g_01771	Syaa.g_00532
OG0000320	Syap.g_01761, Syap.g_01769	Syaa.g_00530
OG0000321	Syap.g_01760, Syap.g_01768	Syaa.g_00529
OG0000322	Syap.g_01759, Syap.g_01767	Syaa.g_00528
OG0000323	Syap.g_01389	Syaa.g_00496
OG0000324	Syap.g_01503	Syaa.g_00653
OG0000325	Syap.g_02680	Syaa.g_02350
OG0000326	Syap.g_00544	Syaa.g_02343
OG0000327	Syap.g_01233, Syap.g_01913	Syaa.g_02294
OG0000328	Syap.g_01234, Syap.g_01912	Syaa.g_02293
OG0000329	Syap.g_00498	Syaa.g_02275
OG0000330	Syap.g_00497	Syaa.g_02274
OG0000331	Syap.g_00496	Syaa.g_02273
OG0000333	Syap.g_00478	Syaa.g_02255
OG0000334	Syap.g_00468	Syaa.g_02246
OG0000335	Syap.g_00101, Syap.g_00463	Syaa.g_02241
OG0000336	Syap.g_00417, Syap.g_00607	Syaa.g_02237
OG0000337	Syap.g_01054	Syaa.g_00167
OG0000338	Syap.g_01059	Syaa.g_00162
OG0000339	Syap.g_01068	Syaa.g_00156
OG0000340	Syap.g_01077	Syaa.g_00144
OG0000341	Syap.g_01079	Syaa.g_00142
OG0000342	Syap.g_01080, Syap.g_02477	Syaa.g_00141
OG0000343	Syap.g_01086, Syap.g_02078	Syaa.g_00140
OG0000344	Syap.g_01091	Syaa.g_00136
OG0000345	Syap.g_01107, Syap.g_01470	Syaa.g_00127
OG0000346	Syap.g_02423, Syap.g_01113	Syaa.g_00122
OG0000347	Syap.g_01131, Syap.g_02459	Syaa.g_00088
OG0000348	Syap.g_00632	Syaa.g_00071
OG0000349	Syap.g_00110, Syap.g_01813	Syaa.g_00053
OG0000351	Syap.g_02594	Syaa.g_02730
OG0000352	Syap.g_02596, Syap.g_02597	Syaa.g_02731
OG0000353	Syap.g_00054	Syaa.g_02757
OG0000354	Syap.g_00075, Syap.g_02635	Syaa.g_00019, Syaa.g_00020
OG0000355	Syap.g_00056	Syaa.g_00001
OG0000356	Syap.g_00057	Syaa.g_00002
OG0000357	Syap.g_00058	Syaa.g_00003
OG0000358	Syap.g_00063	Syaa.g_00007
OG0000359	Syap.g_00065	Syaa.g_00009
OG0000360	Syap.g_00067	Syaa.g_00010
OG0000361	Syap.g_00068	Syaa.g_00011
OG0000362	Syap.g_00070	Syaa.g_00013
OG0000363	Syap.g_00072	Syaa.g_00015
OG0000364	Syap.g_00620	Syaa.g_00016
OG0000365	Syap.g_00081	Syaa.g_00027
OG0000366	Syap.g_00082	Syaa.g_00028
OG0000367	Syap.g_00083	Syaa.g_00029
OG0000368	Syap.g_00085	Syaa.g_00031
OG0000369	Syap.g_00086	Syaa.g_00032
OG0000370	Syap.g_00087	Syaa.g_00033
OG0000372	Syap.g_01805	Syaa.g_00046
OG0000373	Syap.g_01806	Syaa.g_00047
OG0000374	Syap.g_01807	Syaa.g_00048
OG0000375	Syap.g_01808	Syaa.g_00049
OG0000376	Syap.g_01811	Syaa.g_00051
OG0000377	Syap.g_00128	Syaa.g_02585
OG0000378	Syap.g_01326	Syaa.g_02577
OG0000380	Syap.g_01687	Syaa.g_00357
OG0000381	Syap.g_01690	Syaa.g_00353
OG0000382	Syap.g_02548	Syaa.g_00335
OG0000383	Syap.g_02359	Syaa.g_00333
OG0000384	Syap.g_02360	Syaa.g_00332
OG0000385	Syap.g_02361	Syaa.g_00331
OG0000386	Syap.g_02362	Syaa.g_00330
OG0000387	Syap.g_01864	Syaa.g_02371
OG0000391	Syap.g_02234	Syaa.g_02403
OG0000392	Syap.g_02225	Syaa.g_02409
OG0000393	Syap.g_02222	Syaa.g_02412
OG0000394	Syap.g_02221	Syaa.g_02413
OG0000395	Syap.g_02220	Syaa.g_02414
OG0000396	Syap.g_02217	Syaa.g_02417
OG0000397	Syap.g_02215	Syaa.g_02419
OG0000398	Syap.g_02211	Syaa.g_02424
OG0000399	Syap.g_02210	Syaa.g_02425
OG0000400	Syap.g_02209	Syaa.g_02426
OG0000401	Syap.g_02208	Syaa.g_02427
OG0000402	Syap.g_02206	Syaa.g_02429
OG0000403	Syap.g_02205	Syaa.g_02430
OG0000404	Syap.g_02204, Syap.g_02618	Syaa.g_02431
OG0000405	Syap.g_02191	Syaa.g_02446
OG0000406	Syap.g_02186	Syaa.g_02450
OG0000407	Syap.g_02185	Syaa.g_02451
OG0000408	Syap.g_02181, Syap.g_02182	Syaa.g_02458
OG0000409	Syap.g_02179	Syaa.g_02460
OG0000410	Syap.g_02178	Syaa.g_02461
OG0000411	Syap.g_02177	Syaa.g_02462
OG0000412	Syap.g_02176	Syaa.g_02463
OG0000413	Syap.g_02174	Syaa.g_02465
OG0000415	Syap.g_02172	Syaa.g_02466
OG0000416	Syap.g_02171	Syaa.g_02467
OG0000417	Syap.g_02169	Syaa.g_02468
OG0000418	Syap.g_01204	Syaa.g_02473
OG0000419	Syap.g_01201	Syaa.g_02475
OG0000420	Syap.g_01199	Syaa.g_02477
OG0000421	Syap.g_01195	Syaa.g_02482
OG0000422	Syap.g_01194	Syaa.g_02483
OG0000423	Syap.g_01193	Syaa.g_02484
OG0000424	Syap.g_01192	Syaa.g_02485
OG0000425	Syap.g_01191	Syaa.g_02486
OG0000426	Syap.g_01190	Syaa.g_02487
OG0000427	Syap.g_01189	Syaa.g_02488
OG0000428	Syap.g_01186	Syaa.g_02491
OG0000429	Syap.g_01184	Syaa.g_02493
OG0000430	Syap.g_01182	Syaa.g_02495
OG0000431	Syap.g_01179	Syaa.g_02498
OG0000432	Syap.g_02277	Syaa.g_02504
OG0000433	Syap.g_02272	Syaa.g_02513
OG0000434	Syap.g_02271	Syaa.g_02514
OG0000435	Syap.g_02268	Syaa.g_02516
OG0000436	Syap.g_01607	Syaa.g_02525
OG0000437	Syap.g_01608	Syaa.g_02526
OG0000438	Syap.g_01612	Syaa.g_02527
OG0000439	Syap.g_01614	Syaa.g_02529
OG0000440	Syap.g_01615	Syaa.g_02530
OG0000441	Syap.g_01619	Syaa.g_02534
OG0000442	Syap.g_01620	Syaa.g_02535
OG0000443	Syap.g_01622	Syaa.g_02536
OG0000444	Syap.g_01424	Syaa.g_02542
OG0000445	Syap.g_01421	Syaa.g_02543
OG0000446	Syap.g_01419	Syaa.g_02545
OG0000447	Syap.g_01410	Syaa.g_02548
OG0000448	Syap.g_01407	Syaa.g_02549
OG0000449	Syap.g_01406	Syaa.g_02550
OG0000450	Syap.g_01909	Syaa.g_02553
OG0000451	Syap.g_01908	Syaa.g_02554
OG0000452	Syap.g_01904	Syaa.g_02558
OG0000453	Syap.g_01903	Syaa.g_02559
OG0000454	Syap.g_01902	Syaa.g_02560
OG0000455	Syap.g_01901	Syaa.g_02561
OG0000456	Syap.g_01900	Syaa.g_02562
OG0000457	Syap.g_01896	Syaa.g_02564
OG0000458	Syap.g_01895	Syaa.g_02565
OG0000459	Syap.g_01894	Syaa.g_02566
OG0000460	Syap.g_01159	Syaa.g_02111
OG0000461	Syap.g_01575	Syaa.g_00318
OG0000462	Syap.g_01578	Syaa.g_00315
OG0000463	Syap.g_01579	Syaa.g_00314
OG0000464	Syap.g_01580	Syaa.g_00313
OG0000465	Syap.g_01582	Syaa.g_00311
OG0000466	Syap.g_01587	Syaa.g_00306
OG0000467	Syap.g_01588	Syaa.g_00304
OG0000468	Syap.g_01593	Syaa.g_00299
OG0000469	Syap.g_02352	Syaa.g_00285
OG0000470	Syap.g_02349	Syaa.g_00283
OG0000471	Syap.g_02348	Syaa.g_00282
OG0000472	Syap.g_02347	Syaa.g_00280
OG0000473	Syap.g_02343	Syaa.g_00278
OG0000474	Syap.g_02342	Syaa.g_00277
OG0000475	Syap.g_02341	Syaa.g_00276
OG0000476	Syap.g_02339	Syaa.g_00274
OG0000477	Syap.g_01367	Syaa.g_00268
OG0000478	Syap.g_01366	Syaa.g_00267
OG0000479	Syap.g_01364	Syaa.g_00266
OG0000480	Syap.g_01357	Syaa.g_00259
OG0000482	Syap.g_01355	Syaa.g_00256
OG0000483	Syap.g_01344	Syaa.g_00252
OG0000484	Syap.g_01350	Syaa.g_00251
OG0000485	Syap.g_01349	Syaa.g_00250
OG0000487	Syap.g_01635	Syaa.g_00243
OG0000488	Syap.g_01639	Syaa.g_00239
OG0000489	Syap.g_02482	Syaa.g_00228
OG0000490	Syap.g_01673	Syaa.g_00220
OG0000491	Syap.g_01670	Syaa.g_00218
OG0000492	Syap.g_01668	Syaa.g_00214
OG0000493	Syap.g_01667	Syaa.g_00213
OG0000494	Syap.g_01666	Syaa.g_00212
OG0000495	Syap.g_01665	Syaa.g_00211
OG0000496	Syap.g_01663	Syaa.g_00210
OG0000497	Syap.g_01662	Syaa.g_00209
OG0000498	Syap.g_01661	Syaa.g_00208
OG0000499	Syap.g_01660	Syaa.g_00207
OG0000500	Syap.g_01659	Syaa.g_00206
OG0000501	Syap.g_01656	Syaa.g_00203
OG0000502	Syap.g_02066	Syaa.g_00190
OG0000503	Syap.g_00569	Syaa.g_02182
OG0000504	Syap.g_00567	Syaa.g_02180
OG0000505	Syap.g_00566	Syaa.g_02179
OG0000506	Syap.g_00564	Syaa.g_02177
OG0000507	Syap.g_00558	Syaa.g_02171
OG0000508	Syap.g_00554	Syaa.g_02167
OG0000509	Syap.g_00551	Syaa.g_02165
OG0000510	Syap.g_00550	Syaa.g_02164
OG0000511	Syap.g_00548	Syaa.g_02163
OG0000512	Syap.g_02145	Syaa.g_02161
OG0000513	Syap.g_02048	Syaa.g_02145
OG0000514	Syap.g_02051	Syaa.g_02118
OG0000515	Syap.g_02052	Syaa.g_02117
OG0000516	Syap.g_02054	Syaa.g_00698
OG0000517	Syap.g_02057	Syaa.g_00702
OG0000519	Syap.g_00457	Syaa.g_00715
OG0000520	Syap.g_00456	Syaa.g_00716
OG0000521	Syap.g_01997	Syaa.g_01864
OG0000522	Syap.g_01995	Syaa.g_01862
OG0000523	Syap.g_02507	Syaa.g_01859
OG0000524	Syap.g_02135	Syaa.g_01856
OG0000525	Syap.g_02159	Syaa.g_01851
OG0000526	Syap.g_02157	Syaa.g_01848
OG0000527	Syap.g_02758	Syaa.g_01844
OG0000528	Syap.g_02261	Syaa.g_02054
OG0000529	Syap.g_02254	Syaa.g_02050
OG0000530	Syap.g_02252	Syaa.g_02047
OG0000531	Syap.g_02251	Syaa.g_02046
OG0000532	Syap.g_02247	Syaa.g_02043
OG0000533	Syap.g_02244	Syaa.g_02042
OG0000534	Syap.g_02243	Syaa.g_02041
OG0000535	Syap.g_02242	Syaa.g_02040
OG0000536	Syap.g_02241	Syaa.g_02039
OG0000537	Syap.g_02240	Syaa.g_02038
OG0000538	Syap.g_00271	Syaa.g_02027
OG0000539	Syap.g_00270	Syaa.g_02026
OG0000540	Syap.g_00269	Syaa.g_02025
OG0000541	Syap.g_00268	Syaa.g_02024
OG0000542	Syap.g_00264	Syaa.g_02021
OG0000543	Syap.g_00261	Syaa.g_02019
OG0000544	Syap.g_00260	Syaa.g_02018
OG0000545	Syap.g_00259	Syaa.g_02016
OG0000546	Syap.g_00256	Syaa.g_02014
OG0000547	Syap.g_00254	Syaa.g_02012
OG0000548	Syap.g_00253	Syaa.g_02011
OG0000549	Syap.g_00758	Syaa.g_02003
OG0000550	Syap.g_02747	Syaa.g_01998
OG0000551	Syap.g_02739	Syaa.g_01993
OG0000552	Syap.g_02738	Syaa.g_01992
OG0000553	Syap.g_02735	Syaa.g_01990
OG0000554	Syap.g_01450	Syaa.g_01979
OG0000555	Syap.g_01941	Syaa.g_01961
OG0000556	Syap.g_01933	Syaa.g_01957
OG0000557	Syap.g_01931	Syaa.g_01955
OG0000558	Syap.g_01147	Syaa.g_01953
OG0000560	Syap.g_00305	Syaa.g_01946
OG0000561	Syap.g_00304	Syaa.g_01945
OG0000562	Syap.g_00302	Syaa.g_01944
OG0000563	Syap.g_00301	Syaa.g_01943
OG0000564	Syap.g_00300	Syaa.g_01942
OG0000565	Syap.g_00296	Syaa.g_01939
OG0000566	Syap.g_00291	Syaa.g_01935
OG0000567	Syap.g_01297	Syaa.g_01931
OG0000568	Syap.g_01302	Syaa.g_01928
OG0000569	Syap.g_01303	Syaa.g_01925
OG0000570	Syap.g_01304	Syaa.g_01924
OG0000571	Syap.g_01307	Syaa.g_01920
OG0000573	Syap.g_00765	Syaa.g_01896
OG0000574	Syap.g_00759	Syaa.g_01895
OG0000575	Syap.g_00445	Syaa.g_01891
