Orthogroup	Syap	Pram
OG0000068	Syap.g_00108, Syap.g_00144	Pram.g_01468
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Pram.g_00391
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Pram.g_00385
OG0000071	Syap.g_01483	Pram.g_01230
OG0000072	Syap.g_00555	Pram.g_00156
OG0000073	Syap.g_01020	Pram.g_01426
OG0000073	Syap.g_00273	Pram.g_00437
OG0000075	Syap.g_01064, Syap.g_00664	Pram.g_01807
OG0000076	Syap.g_01111	Pram.g_01833
OG0000077	Syap.g_00416	Pram.g_00063
OG0000078	Syap.g_01149	Pram.g_00227
OG0000079	Syap.g_01589	Pram.g_00240
OG0000080	Syap.g_01003, Syap.g_01707, Syap.g_00630, Syap.g_01035	Pram.g_01408
OG0000085	Syap.g_00611	Pram.g_01265
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Pram.g_00125
OG0000088	Syap.g_01202	Pram.g_00151
OG0000089	Syap.g_00115, Syap.g_02042	Pram.g_00352
OG0000090	Syap.g_01451	Pram.g_00471
OG0000091	Syap.g_01861	Pram.g_01068
OG0000094	Syap.g_02781	Pram.g_00987
OG0000095	Syap.g_01556	Pram.g_00888
OG0000098	Syap.g_01975	Pram.g_01478
OG0000099	Syap.g_01385	Pram.g_01445
OG0000101	Syap.g_00472	Pram.g_01770
OG0000102	Syap.g_01116	Pram.g_01838
OG0000103	Syap.g_02607, Syap.g_02608	Pram.g_01925
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Pram.g_01934
OG0000105	Syap.g_01369, Syap.g_01368	Pram.g_00262
OG0000107	Syap.g_02496	Pram.g_01696
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Pram.g_00416
OG0000109	Syap.g_00279, Syap.g_02237	Pram.g_00430
OG0000110	Syap.g_01313	Pram.g_00513
OG0000111	Syap.g_01566, Syap.g_01568	Pram.g_00793
OG0000112	Syap.g_02023	Pram.g_00935
OG0000113	Syap.g_02714	Pram.g_00832
OG0000114	Syap.g_01255	Pram.g_00734
OG0000115	Syap.g_02004	Pram.g_01201
OG0000116	Syap.g_00241	Pram.g_01151
OG0000117	Syap.g_01889	Pram.g_01112
OG0000118	Syap.g_02286	Pram.g_01242
OG0000120	Syap.g_02075	Pram.g_01446
OG0000121	Syap.g_02471	Pram.g_01376
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Pram.g_01777
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Pram.g_01850
OG0000125	Syap.g_01046, Syap.g_01047	Pram.g_01886
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Pram.g_01933
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Pram.g_00611
OG0000128	Syap.g_00069	Pram.g_01949
OG0000129	Syap.g_00130, Syap.g_00129	Pram.g_00029
OG0000130	Syap.g_01688, Syap.g_01689	Pram.g_00054
OG0000131	Syap.g_02189	Pram.g_00130
OG0000132	Syap.g_01205	Pram.g_00149
OG0000133	Syap.g_02017	Pram.g_00310
OG0000134	Syap.g_02047	Pram.g_00354
OG0000135	Syap.g_02090	Pram.g_01589
OG0000136	Syap.g_00089	Pram.g_00376
OG0000137	Syap.g_02756	Pram.g_00411
OG0000138	Syap.g_00278	Pram.g_00431
OG0000139	Syap.g_00410	Pram.g_00475
OG0000140	Syap.g_01976	Pram.g_00476
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Pram.g_00545
OG0000142	Syap.g_00895, Syap.g_00894	Pram.g_01075
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Pram.g_01072
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Pram.g_01058
OG0000145	Syap.g_01860, Syap.g_01859	Pram.g_01534
OG0000146	Syap.g_02024	Pram.g_00934
OG0000147	Syap.g_02025	Pram.g_00933
OG0000148	Syap.g_02720	Pram.g_00826
OG0000149	Syap.g_00824	Pram.g_00858
OG0000150	Syap.g_01540	Pram.g_00868
OG0000151	Syap.g_00142	Pram.g_00744
OG0000152	Syap.g_02012	Pram.g_00943
OG0000153	Syap.g_02682	Pram.g_00961
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Pram.g_00978
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Pram.g_01118
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Pram.g_01219
OG0000157	Syap.g_00249, Syap.g_00286	Pram.g_01220
OG0000158	Syap.g_01075	Pram.g_01815
OG0000159	Syap.g_00700	Pram.g_01438
OG0000159	Syap.g_00852	Pram.g_00045
OG0000160	Syap.g_02470, Syap.g_02469	Pram.g_01377
OG0000161	Syap.g_02476	Pram.g_01145, Pram.g_01371
OG0000162	Syap.g_02531	Pram.g_01365
OG0000164	Syap.g_01391, Syap.g_01392	Pram.g_01656
OG0000165	Syap.g_01381, Syap.g_01382	Pram.g_01664
OG0000166	Syap.g_00512, Syap.g_01238	Pram.g_01733
OG0000167	Syap.g_02080	Pram.g_01805
OG0000168	Syap.g_01076	Pram.g_01816
OG0000169	Syap.g_01049, Syap.g_01093	Pram.g_01826
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Pram.g_01829
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Pram.g_01849
OG0000172	Syap.g_01143, Syap.g_00635	Pram.g_01856
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Pram.g_01871
OG0000174	Syap.g_02092	Pram.g_01902
OG0000175	Syap.g_02654	Pram.g_01914
OG0000176	Syap.g_00059	Pram.g_01942
OG0000177	Syap.g_00061, Syap.g_00060	Pram.g_01943
OG0000178	Syap.g_00062	Pram.g_01944
OG0000179	Syap.g_00077, Syap.g_02638	Pram.g_00003
OG0000180	Syap.g_00078, Syap.g_02640	Pram.g_00004
OG0000181	Syap.g_00079, Syap.g_02641	Pram.g_00005
OG0000182	Syap.g_00080, Syap.g_02642	Pram.g_00006
OG0000183	Syap.g_00084	Pram.g_00010
OG0000184	Syap.g_01337	Pram.g_00033
OG0000185	Syap.g_01322	Pram.g_00036
OG0000186	Syap.g_01684	Pram.g_00048
OG0000187	Syap.g_01686	Pram.g_00049
OG0000188	Syap.g_02547	Pram.g_00066
OG0000191	Syap.g_02233	Pram.g_00103
OG0000192	Syap.g_02224	Pram.g_00108
OG0000193	Syap.g_02187, Syap.g_02188	Pram.g_00131
OG0000194	Syap.g_02183	Pram.g_00134
OG0000195	Syap.g_02180	Pram.g_00136
OG0000196	Syap.g_01208, Syap.g_02167	Pram.g_00146
OG0000197	Syap.g_01207, Syap.g_02166	Pram.g_00147
OG0000198	Syap.g_01206	Pram.g_00148
OG0000199	Syap.g_01197	Pram.g_00155
OG0000200	Syap.g_01181	Pram.g_00168
OG0000201	Syap.g_02265	Pram.g_00177
OG0000202	Syap.g_02264	Pram.g_00178
OG0000203	Syap.g_01601	Pram.g_00179
OG0000204	Syap.g_01602	Pram.g_00180
OG0000205	Syap.g_01616	Pram.g_00187
OG0000206	Syap.g_01628	Pram.g_00192
OG0000207	Syap.g_01426, Syap.g_00424	Pram.g_00194
OG0000208	Syap.g_00426, Syap.g_01425	Pram.g_00195
OG0000209	Syap.g_01906	Pram.g_00204
OG0000210	Syap.g_01905	Pram.g_00205
OG0000211	Syap.g_01160	Pram.g_00220
OG0000212	Syap.g_02664	Pram.g_00228
OG0000213	Syap.g_00107, Syap.g_01599	Pram.g_00246
OG0000214	Syap.g_02344, Syap.g_02345	Pram.g_00255
OG0000215	Syap.g_01347, Syap.g_01629	Pram.g_00282
OG0000216	Syap.g_01634	Pram.g_00283
OG0000217	Syap.g_01638	Pram.g_00286
OG0000218	Syap.g_01641, Syap.g_01640	Pram.g_00288
OG0000219	Syap.g_01642, Syap.g_01643	Pram.g_00289
OG0000220	Syap.g_01645	Pram.g_00290
OG0000221	Syap.g_01646	Pram.g_00291
OG0000222	Syap.g_01669	Pram.g_00298
OG0000223	Syap.g_02072, Syap.g_02073	Pram.g_00311
OG0000224	Syap.g_02064	Pram.g_00313
OG0000225	Syap.g_00553, Syap.g_00552	Pram.g_00341
OG0000226	Syap.g_02029, Syap.g_02144	Pram.g_00345
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Pram.g_00347
OG0000228	Syap.g_00116, Syap.g_02041	Pram.g_00351
OG0000229	Syap.g_02059	Pram.g_00371
OG0000230	Syap.g_02061	Pram.g_00373
OG0000231	Syap.g_02533	Pram.g_00384
OG0000232	Syap.g_02510, Syap.g_02511	Pram.g_00397
OG0000233	Syap.g_02133	Pram.g_00402
OG0000234	Syap.g_02755	Pram.g_00412
OG0000235	Syap.g_00732, Syap.g_02258	Pram.g_00415
OG0000236	Syap.g_02238	Pram.g_00429
OG0000237	Syap.g_00262, Syap.g_00263	Pram.g_00443
OG0000238	Syap.g_00257, Syap.g_00258	Pram.g_00449
OG0000239	Syap.g_02744	Pram.g_00462
OG0000240	Syap.g_02742	Pram.g_00463
OG0000241	Syap.g_00888	Pram.g_00468
OG0000242	Syap.g_01455	Pram.g_00470
OG0000243	Syap.g_01938	Pram.g_00480
OG0000244	Syap.g_01146, Syap.g_01145	Pram.g_00483
OG0000245	Syap.g_01148	Pram.g_00485
OG0000246	Syap.g_00308	Pram.g_00489
OG0000247	Syap.g_00288, Syap.g_00293	Pram.g_00500
OG0000248	Syap.g_00290	Pram.g_00503
OG0000249	Syap.g_01296, Syap.g_01295	Pram.g_00505
OG0000250	Syap.g_01306	Pram.g_00510
OG0000251	Syap.g_00442	Pram.g_00528
OG0000252	Syap.g_01857	Pram.g_00531
OG0000253	Syap.g_00443	Pram.g_00532
OG0000254	Syap.g_01527, Syap.g_01528	Pram.g_00549
OG0000256	Syap.g_01287	Pram.g_00566
OG0000257	Syap.g_00886	Pram.g_01080
OG0000258	Syap.g_00907	Pram.g_01067
OG0000260	Syap.g_01970	Pram.g_01047
OG0000261	Syap.g_01962, Syap.g_01961	Pram.g_01044
OG0000262	Syap.g_01954	Pram.g_01039
OG0000263	Syap.g_00432, Syap.g_00433	Pram.g_00771
OG0000266	Syap.g_00519	Pram.g_01020
OG0000267	Syap.g_02333, Syap.g_02332	Pram.g_01007
OG0000268	Syap.g_00646	Pram.g_01006
OG0000269	Syap.g_00188	Pram.g_00804
OG0000270	Syap.g_00192	Pram.g_00807
OG0000271	Syap.g_00200, Syap.g_00201	Pram.g_00815
OG0000272	Syap.g_00202	Pram.g_00816
OG0000273	Syap.g_02703	Pram.g_00839
OG0000274	Syap.g_02702	Pram.g_00840
OG0000275	Syap.g_01847	Pram.g_00843
OG0000276	Syap.g_01839, Syap.g_01838	Pram.g_00849
OG0000277	Syap.g_01837	Pram.g_00850
OG0000278	Syap.g_01834	Pram.g_00853
OG0000279	Syap.g_00829, Syap.g_00830	Pram.g_00861
OG0000280	Syap.g_00365	Pram.g_00862
OG0000281	Syap.g_01977	Pram.g_00870
OG0000282	Syap.g_01252	Pram.g_00736
OG0000283	Syap.g_01728	Pram.g_00916
OG0000284	Syap.g_01736	Pram.g_00921
OG0000285	Syap.g_01746, Syap.g_01744	Pram.g_00926
OG0000286	Syap.g_02014, Syap.g_02013	Pram.g_00942
OG0000288	Syap.g_02764, Syap.g_02763	Pram.g_00977
OG0000289	Syap.g_02784	Pram.g_00992
OG0000290	Syap.g_01552	Pram.g_00891
OG0000291	Syap.g_01554	Pram.g_00889
OG0000292	Syap.g_02314	Pram.g_01185
OG0000293	Syap.g_00240	Pram.g_01150
OG0000294	Syap.g_00239	Pram.g_01149
OG0000295	Syap.g_00206	Pram.g_01125
OG0000296	Syap.g_00204	Pram.g_01123
OG0000297	Syap.g_01887	Pram.g_01114
OG0000298	Syap.g_01888	Pram.g_01113
OG0000299	Syap.g_02620	Pram.g_01094
OG0000302	Syap.g_02444, Syap.g_02445	Pram.g_01088
OG0000303	Syap.g_02435	Pram.g_01082
OG0000304	Syap.g_02430	Pram.g_00571
OG0000305	Syap.g_01557	Pram.g_01183
OG0000306	Syap.g_01966	Pram.g_00874
OG0000307	Syap.g_02517	Pram.g_01458
OG0000308	Syap.g_02514, Syap.g_02515	Pram.g_01457
OG0000309	Syap.g_02198, Syap.g_02446	Pram.g_01453
OG0000310	Syap.g_02660, Syap.g_02661	Pram.g_01395
OG0000311	Syap.g_02657	Pram.g_01393
OG0000312	Syap.g_02114	Pram.g_01390
OG0000313	Syap.g_02473	Pram.g_01374
OG0000314	Syap.g_00007	Pram.g_01351
OG0000315	Syap.g_00017	Pram.g_01341
OG0000316	Syap.g_00030	Pram.g_01315
OG0000317	Syap.g_00618	Pram.g_01629
OG0000318	Syap.g_00622, Syap.g_02786	Pram.g_01633
OG0000319	Syap.g_01764, Syap.g_01771	Pram.g_01646
OG0000320	Syap.g_01761, Syap.g_01769	Pram.g_01648
OG0000321	Syap.g_01760, Syap.g_01768	Pram.g_01649
OG0000322	Syap.g_01759, Syap.g_01767	Pram.g_01650
OG0000323	Syap.g_01389	Pram.g_01659
OG0000324	Syap.g_01503	Pram.g_01687
OG0000325	Syap.g_02680	Pram.g_01697
OG0000326	Syap.g_00544	Pram.g_01704
OG0000327	Syap.g_01233, Syap.g_01913	Pram.g_01728
OG0000328	Syap.g_01234, Syap.g_01912	Pram.g_01729
OG0000329	Syap.g_00498	Pram.g_01746
OG0000330	Syap.g_00497	Pram.g_01747
OG0000331	Syap.g_00496	Pram.g_01748
OG0000332	Syap.g_00481	Pram.g_01762
OG0000333	Syap.g_00478	Pram.g_01764
OG0000334	Syap.g_00468	Pram.g_01773
OG0000335	Syap.g_00101, Syap.g_00463	Pram.g_01778
OG0000336	Syap.g_00417, Syap.g_00607	Pram.g_01782
OG0000337	Syap.g_01054	Pram.g_01801
OG0000338	Syap.g_01059	Pram.g_01802
OG0000339	Syap.g_01068	Pram.g_01808
OG0000340	Syap.g_01077	Pram.g_01817
OG0000341	Syap.g_01079	Pram.g_01819
OG0000342	Syap.g_01080, Syap.g_02477	Pram.g_01820
OG0000343	Syap.g_01086, Syap.g_02078	Pram.g_01821
OG0000344	Syap.g_01091	Pram.g_01824
OG0000345	Syap.g_01107, Syap.g_01470	Pram.g_01830
OG0000346	Syap.g_02423, Syap.g_01113	Pram.g_01834
OG0000347	Syap.g_01131, Syap.g_02459	Pram.g_01851
OG0000348	Syap.g_00632	Pram.g_01859
OG0000349	Syap.g_00110, Syap.g_01813	Pram.g_01877
OG0000351	Syap.g_02594	Pram.g_01917
OG0000352	Syap.g_02596, Syap.g_02597	Pram.g_01918
OG0000353	Syap.g_00054	Pram.g_01937
OG0000355	Syap.g_00056	Pram.g_01939
OG0000356	Syap.g_00057	Pram.g_01940
OG0000357	Syap.g_00058	Pram.g_01941
OG0000358	Syap.g_00063	Pram.g_01945
OG0000359	Syap.g_00065	Pram.g_01946
OG0000360	Syap.g_00067	Pram.g_01947
OG0000361	Syap.g_00068	Pram.g_01948
OG0000362	Syap.g_00070	Pram.g_01950
OG0000363	Syap.g_00072	Pram.g_00001
OG0000364	Syap.g_00620	Pram.g_00002
OG0000365	Syap.g_00081	Pram.g_00007
OG0000366	Syap.g_00082	Pram.g_00008
OG0000367	Syap.g_00083	Pram.g_00009
OG0000368	Syap.g_00085	Pram.g_00011
OG0000369	Syap.g_00086	Pram.g_00012
OG0000370	Syap.g_00087	Pram.g_00013
OG0000372	Syap.g_01805	Pram.g_00021
OG0000373	Syap.g_01806	Pram.g_00022
OG0000374	Syap.g_01807	Pram.g_00023
OG0000375	Syap.g_01808	Pram.g_00024
OG0000376	Syap.g_01811	Pram.g_00026
OG0000377	Syap.g_00128	Pram.g_00030
OG0000378	Syap.g_01326	Pram.g_00034
OG0000380	Syap.g_01687	Pram.g_00050
OG0000381	Syap.g_01690	Pram.g_00055
OG0000382	Syap.g_02548	Pram.g_00065
OG0000383	Syap.g_02359	Pram.g_00067
OG0000384	Syap.g_02360	Pram.g_00068
OG0000385	Syap.g_02361	Pram.g_00069
OG0000386	Syap.g_02362	Pram.g_00070
OG0000387	Syap.g_01864	Pram.g_00083
OG0000391	Syap.g_02234	Pram.g_00102
OG0000392	Syap.g_02225	Pram.g_00106
OG0000393	Syap.g_02222	Pram.g_00109
OG0000394	Syap.g_02221	Pram.g_00110
OG0000395	Syap.g_02220	Pram.g_00111
OG0000396	Syap.g_02217	Pram.g_00113
OG0000397	Syap.g_02215	Pram.g_00115
OG0000398	Syap.g_02211	Pram.g_00118
OG0000399	Syap.g_02210	Pram.g_00119
OG0000400	Syap.g_02209	Pram.g_00120
OG0000401	Syap.g_02208	Pram.g_00121
OG0000402	Syap.g_02206	Pram.g_01001
OG0000403	Syap.g_02205	Pram.g_00123
OG0000404	Syap.g_02204, Syap.g_02618	Pram.g_00124
OG0000405	Syap.g_02191	Pram.g_00128
OG0000406	Syap.g_02186	Pram.g_00132
OG0000407	Syap.g_02185	Pram.g_00133
OG0000408	Syap.g_02181, Syap.g_02182	Pram.g_00135
OG0000409	Syap.g_02179	Pram.g_00137
OG0000410	Syap.g_02178	Pram.g_00138
OG0000411	Syap.g_02177	Pram.g_00139
OG0000412	Syap.g_02176	Pram.g_00140
OG0000413	Syap.g_02174	Pram.g_00141
OG0000414	Syap.g_02173	Pram.g_00142
OG0000415	Syap.g_02172	Pram.g_00143
OG0000416	Syap.g_02171	Pram.g_00144
OG0000417	Syap.g_02169	Pram.g_00145
OG0000418	Syap.g_01204	Pram.g_00150
OG0000419	Syap.g_01201	Pram.g_00152
OG0000420	Syap.g_01199	Pram.g_00153
OG0000421	Syap.g_01195	Pram.g_00157
OG0000422	Syap.g_01194	Pram.g_00158
OG0000423	Syap.g_01193	Pram.g_00159
OG0000424	Syap.g_01192	Pram.g_00160
OG0000425	Syap.g_01191	Pram.g_00161
OG0000426	Syap.g_01190	Pram.g_00162
OG0000427	Syap.g_01189	Pram.g_00163
OG0000428	Syap.g_01186	Pram.g_00165
OG0000429	Syap.g_01184	Pram.g_00166
OG0000430	Syap.g_01182	Pram.g_00167
OG0000431	Syap.g_01179	Pram.g_00169
OG0000432	Syap.g_02277	Pram.g_00173
OG0000433	Syap.g_02272	Pram.g_00174
OG0000434	Syap.g_02271	Pram.g_00175
OG0000435	Syap.g_02268	Pram.g_00176
OG0000436	Syap.g_01607	Pram.g_00181
OG0000437	Syap.g_01608	Pram.g_00182
OG0000438	Syap.g_01612	Pram.g_00183
OG0000439	Syap.g_01614	Pram.g_00185
OG0000440	Syap.g_01615	Pram.g_00186
OG0000441	Syap.g_01619	Pram.g_00189
OG0000442	Syap.g_01620	Pram.g_00190
OG0000443	Syap.g_01622	Pram.g_00191
OG0000444	Syap.g_01424	Pram.g_00196
OG0000445	Syap.g_01421	Pram.g_00197
OG0000446	Syap.g_01419	Pram.g_00198
OG0000447	Syap.g_01410	Pram.g_00199
OG0000448	Syap.g_01407	Pram.g_00200
OG0000449	Syap.g_01406	Pram.g_00201
OG0000450	Syap.g_01909	Pram.g_00202
OG0000451	Syap.g_01908	Pram.g_00203
OG0000452	Syap.g_01904	Pram.g_00206
OG0000453	Syap.g_01903	Pram.g_00207
OG0000454	Syap.g_01902	Pram.g_00208
OG0000455	Syap.g_01901	Pram.g_00209
OG0000456	Syap.g_01900	Pram.g_00210
OG0000457	Syap.g_01896	Pram.g_00212
OG0000458	Syap.g_01895	Pram.g_00213
OG0000459	Syap.g_01894	Pram.g_00214
OG0000460	Syap.g_01159	Pram.g_00222
OG0000461	Syap.g_01575	Pram.g_00230
OG0000462	Syap.g_01578	Pram.g_00232
OG0000463	Syap.g_01579	Pram.g_00233
OG0000464	Syap.g_01580	Pram.g_00234
OG0000465	Syap.g_01582	Pram.g_00235
OG0000466	Syap.g_01587	Pram.g_00238
OG0000467	Syap.g_01588	Pram.g_00239
OG0000468	Syap.g_01593	Pram.g_00242
OG0000469	Syap.g_02352	Pram.g_00250
OG0000470	Syap.g_02349	Pram.g_00252
OG0000471	Syap.g_02348	Pram.g_00253
OG0000472	Syap.g_02347	Pram.g_00254
OG0000473	Syap.g_02343	Pram.g_00256
OG0000474	Syap.g_02342	Pram.g_00257
OG0000475	Syap.g_02341	Pram.g_00258
OG0000476	Syap.g_02339	Pram.g_00260
OG0000477	Syap.g_01367	Pram.g_00263
OG0000478	Syap.g_01366	Pram.g_00264
OG0000479	Syap.g_01364	Pram.g_00265
OG0000480	Syap.g_01357	Pram.g_00270
OG0000482	Syap.g_01355	Pram.g_00274
OG0000483	Syap.g_01344	Pram.g_00277
OG0000484	Syap.g_01350	Pram.g_00278
OG0000485	Syap.g_01349	Pram.g_00280
OG0000487	Syap.g_01635	Pram.g_00284
OG0000488	Syap.g_01639	Pram.g_00287
OG0000489	Syap.g_02482	Pram.g_00292
OG0000490	Syap.g_01673	Pram.g_00296
OG0000491	Syap.g_01670	Pram.g_00297
OG0000492	Syap.g_01668	Pram.g_00299
OG0000493	Syap.g_01667	Pram.g_00300
OG0000494	Syap.g_01666	Pram.g_00301
OG0000495	Syap.g_01665	Pram.g_00302
OG0000496	Syap.g_01663	Pram.g_00303
OG0000497	Syap.g_01662	Pram.g_00304
OG0000498	Syap.g_01661	Pram.g_00305
OG0000499	Syap.g_01660	Pram.g_00306
OG0000500	Syap.g_01659	Pram.g_00307
OG0000501	Syap.g_01656	Pram.g_00309
OG0000502	Syap.g_02066	Pram.g_00312
OG0000503	Syap.g_00569	Pram.g_00328
OG0000504	Syap.g_00567	Pram.g_00330
OG0000505	Syap.g_00566	Pram.g_00331
OG0000506	Syap.g_00564	Pram.g_00332
OG0000507	Syap.g_00558	Pram.g_00336
OG0000508	Syap.g_00554	Pram.g_00340
OG0000509	Syap.g_00551	Pram.g_00342
OG0000510	Syap.g_00550	Pram.g_00343
OG0000511	Syap.g_00548	Pram.g_00344
OG0000512	Syap.g_02145	Pram.g_00346
OG0000513	Syap.g_02048	Pram.g_00355
OG0000514	Syap.g_02051	Pram.g_00366
OG0000515	Syap.g_02052	Pram.g_00367
OG0000516	Syap.g_02054	Pram.g_00368
OG0000517	Syap.g_02057	Pram.g_00370
OG0000519	Syap.g_00457	Pram.g_00382
OG0000520	Syap.g_00456	Pram.g_00383
OG0000521	Syap.g_01997	Pram.g_00393
OG0000522	Syap.g_01995	Pram.g_00395
OG0000523	Syap.g_02507	Pram.g_00396
OG0000524	Syap.g_02135	Pram.g_00400
OG0000525	Syap.g_02159	Pram.g_00404
OG0000526	Syap.g_02157	Pram.g_00406
OG0000527	Syap.g_02758	Pram.g_00409
OG0000528	Syap.g_02261	Pram.g_00414
OG0000529	Syap.g_02254	Pram.g_00417
OG0000530	Syap.g_02252	Pram.g_00420
OG0000531	Syap.g_02251	Pram.g_00421
OG0000532	Syap.g_02247	Pram.g_00423
OG0000533	Syap.g_02244	Pram.g_00424
OG0000534	Syap.g_02243	Pram.g_00425
OG0000535	Syap.g_02242	Pram.g_00426
OG0000536	Syap.g_02241	Pram.g_00427
OG0000537	Syap.g_02240	Pram.g_00428
OG0000538	Syap.g_00271	Pram.g_00438
OG0000539	Syap.g_00270	Pram.g_00439
OG0000540	Syap.g_00269	Pram.g_00440
OG0000541	Syap.g_00268	Pram.g_00441
OG0000542	Syap.g_00264	Pram.g_00442
OG0000543	Syap.g_00261	Pram.g_00444
OG0000544	Syap.g_00260	Pram.g_00445
OG0000545	Syap.g_00259	Pram.g_00447
OG0000546	Syap.g_00256	Pram.g_00450
OG0000547	Syap.g_00254	Pram.g_00452
OG0000548	Syap.g_00253	Pram.g_00453
OG0000549	Syap.g_00758	Pram.g_00456
OG0000550	Syap.g_02747	Pram.g_00461
OG0000551	Syap.g_02739	Pram.g_00464
OG0000552	Syap.g_02738	Pram.g_00465
OG0000553	Syap.g_02735	Pram.g_00466
OG0000554	Syap.g_01450	Pram.g_00472
OG0000555	Syap.g_01941	Pram.g_00479
OG0000556	Syap.g_01933	Pram.g_00481
OG0000557	Syap.g_01931	Pram.g_00482
OG0000558	Syap.g_01147	Pram.g_00484
OG0000560	Syap.g_00305	Pram.g_00491
OG0000561	Syap.g_00304	Pram.g_00492
OG0000562	Syap.g_00302	Pram.g_00493
OG0000563	Syap.g_00301	Pram.g_00494
OG0000564	Syap.g_00300	Pram.g_00495
OG0000565	Syap.g_00296	Pram.g_00498
OG0000566	Syap.g_00291	Pram.g_00502
OG0000567	Syap.g_01297	Pram.g_00506
OG0000568	Syap.g_01302	Pram.g_00507
OG0000569	Syap.g_01303	Pram.g_00508
OG0000570	Syap.g_01304	Pram.g_00509
OG0000571	Syap.g_01307	Pram.g_00511
OG0000573	Syap.g_00765	Pram.g_00529
OG0000574	Syap.g_00759	Pram.g_00530
OG0000575	Syap.g_00445	Pram.g_00534
OG0000576	Syap.g_00450	Pram.g_00536
OG0000577	Syap.g_00451	Pram.g_00537
OG0000578	Syap.g_00452	Pram.g_00538
OG0000579	Syap.g_00453	Pram.g_00539
OG0000580	Syap.g_00454	Pram.g_00540
OG0000581	Syap.g_01521	Pram.g_00543
OG0000582	Syap.g_01533	Pram.g_00546
OG0000583	Syap.g_01532	Pram.g_00547
OG0000584	Syap.g_01530	Pram.g_00548
OG0000585	Syap.g_01526	Pram.g_00550
