Orthogroup	Syap	Syar
OG0000131	Syap.g_02189	Syar.g_00078
OG0000132	Syap.g_01205	Syar.g_00099
OG0000133	Syap.g_02017	Syar.g_02543
OG0000134	Syap.g_02047	Syar.g_02009, Syar.g_01165
OG0000135	Syap.g_02090	Syar.g_00698
OG0000136	Syap.g_00089	Syar.g_02874
OG0000137	Syap.g_02756	Syar.g_01273
OG0000138	Syap.g_00278	Syar.g_01486
OG0000139	Syap.g_00410	Syar.g_03245, Syar.g_02348
OG0000140	Syap.g_01976	Syar.g_02344
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syar.g_02129
OG0000142	Syap.g_00895, Syap.g_00894	Syar.g_02418
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syar.g_02422
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syar.g_02441
OG0000145	Syap.g_01860, Syap.g_01859	Syar.g_01494
OG0000146	Syap.g_02024	Syar.g_02549
OG0000147	Syap.g_02025	Syar.g_02550
OG0000148	Syap.g_02720	Syar.g_02658
OG0000149	Syap.g_00824	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Syap.g_01540	Syar.g_02130
OG0000151	Syap.g_00142	Syar.g_02038
OG0000152	Syap.g_02012	Syar.g_02539
OG0000153	Syap.g_02682	Syar.g_02503
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syar.g_01800
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syar.g_01959
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syar.g_01517
OG0000157	Syap.g_00249, Syap.g_00286	Syar.g_01516
OG0000158	Syap.g_01075	Syar.g_00650
OG0000159	Syap.g_00852	Syar.g_02359
OG0000160	Syap.g_02470, Syap.g_02469	Syar.g_02807
OG0000161	Syap.g_02476	Syar.g_02801
OG0000162	Syap.g_02531	Syar.g_02863
OG0000164	Syap.g_01391, Syap.g_01392	Syar.g_02969
OG0000165	Syap.g_01381, Syap.g_01382	Syar.g_02976
OG0000166	Syap.g_00512, Syap.g_01238	Syar.g_01034
OG0000167	Syap.g_02080	Syar.g_00662
OG0000168	Syap.g_01076	Syar.g_00246
OG0000169	Syap.g_01049, Syap.g_01093	Syar.g_00262
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syar.g_00613
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syar.g_00587
OG0000172	Syap.g_01143, Syap.g_00635	Syar.g_00547
OG0000173	Syap.g_00982, Syap.g_00983	Syar.g_00528
OG0000174	Syap.g_02092	Syar.g_00701
OG0000175	Syap.g_02654	Syar.g_00438
OG0000176	Syap.g_00059	Syar.g_00474
OG0000177	Syap.g_00061, Syap.g_00060	Syar.g_00475
OG0000178	Syap.g_00062	Syar.g_00476
OG0000179	Syap.g_00077, Syap.g_02638	Syar.g_00489
OG0000180	Syap.g_00078, Syap.g_02640	Syar.g_00490
OG0000181	Syap.g_00079, Syap.g_02641	Syar.g_00491
OG0000182	Syap.g_00080, Syap.g_02642	Syar.g_00492
OG0000183	Syap.g_00084	Syar.g_00496
OG0000184	Syap.g_01337	Syar.g_00897
OG0000185	Syap.g_01322	Syar.g_00909
OG0000186	Syap.g_01684	Syar.g_03036
OG0000187	Syap.g_01686	Syar.g_03038
OG0000188	Syap.g_02547	Syar.g_03058
OG0000191	Syap.g_02233	Syar.g_00039
OG0000192	Syap.g_02224	Syar.g_00046
OG0000193	Syap.g_02187, Syap.g_02188	Syar.g_00079
OG0000194	Syap.g_02183	Syar.g_00082
OG0000195	Syap.g_02180	Syar.g_00084
OG0000196	Syap.g_01208, Syap.g_02167	Syar.g_00096
OG0000197	Syap.g_01207, Syap.g_02166	Syar.g_00097
OG0000198	Syap.g_01206	Syar.g_00098
OG0000199	Syap.g_01197	Syar.g_00106
OG0000200	Syap.g_01181	Syar.g_00124
OG0000201	Syap.g_02265	Syar.g_01000
OG0000202	Syap.g_02264	Syar.g_00998
OG0000203	Syap.g_01601	Syar.g_00997
OG0000204	Syap.g_01602	Syar.g_00996
OG0000205	Syap.g_01616	Syar.g_00988
OG0000206	Syap.g_01628	Syar.g_00963
OG0000207	Syap.g_01426, Syap.g_00424	Syar.g_00957
OG0000208	Syap.g_00426, Syap.g_01425	Syar.g_00956
OG0000209	Syap.g_01906	Syar.g_00936, Syar.g_03261
OG0000210	Syap.g_01905	Syar.g_00935
OG0000211	Syap.g_01160	Syar.g_03026
OG0000212	Syap.g_02664	Syar.g_03017
OG0000213	Syap.g_00107, Syap.g_01599	Syar.g_00187
OG0000214	Syap.g_02344, Syap.g_02345	Syar.g_00209
OG0000215	Syap.g_01347, Syap.g_01629	Syar.g_00239
OG0000216	Syap.g_01634	Syar.g_00244
OG0000217	Syap.g_01638	Syar.g_00854
OG0000218	Syap.g_01641, Syap.g_01640	Syar.g_00852
OG0000219	Syap.g_01642, Syap.g_01643	Syar.g_00851
OG0000220	Syap.g_01645	Syar.g_00850, Syar.g_02026
OG0000221	Syap.g_01646	Syar.g_00834
OG0000222	Syap.g_01669	Syar.g_02119, Syar.g_00728
OG0000223	Syap.g_02072, Syap.g_02073	Syar.g_00649
OG0000224	Syap.g_02064	Syar.g_00273
OG0000225	Syap.g_00553, Syap.g_00552	Syar.g_01142
OG0000226	Syap.g_02029, Syap.g_02144	Syar.g_01146
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syar.g_01148
OG0000228	Syap.g_00116, Syap.g_02041	Syar.g_01161
OG0000229	Syap.g_02059	Syar.g_01177
OG0000230	Syap.g_02061	Syar.g_01179
OG0000231	Syap.g_02533	Syar.g_02865, Syar.g_03151
OG0000232	Syap.g_02510, Syap.g_02511	Syar.g_01424
OG0000233	Syap.g_02133	Syar.g_01247
OG0000234	Syap.g_02755	Syar.g_01275
OG0000235	Syap.g_00732, Syap.g_02258	Syar.g_01468
OG0000236	Syap.g_02238	Syar.g_01484
OG0000237	Syap.g_00262, Syap.g_00263	Syar.g_01503
OG0000238	Syap.g_00257, Syap.g_00258	Syar.g_01508
OG0000239	Syap.g_02744	Syar.g_02687
OG0000240	Syap.g_02742	Syar.g_02686
OG0000241	Syap.g_00888	Syar.g_02410
OG0000242	Syap.g_01455	Syar.g_01926
OG0000243	Syap.g_01938	Syar.g_02335
OG0000244	Syap.g_01146, Syap.g_01145	Syar.g_02327
OG0000245	Syap.g_01148	Syar.g_02325
OG0000246	Syap.g_00308	Syar.g_02321
OG0000247	Syap.g_00288, Syap.g_00293	Syar.g_02310
OG0000248	Syap.g_00290	Syar.g_02307, Syar.g_03293
OG0000249	Syap.g_01296, Syap.g_01295	Syar.g_02305
OG0000250	Syap.g_01306	Syar.g_02299
OG0000251	Syap.g_00442	Syar.g_03207, Syar.g_02194
OG0000252	Syap.g_01857	Syar.g_02189, Syar.g_03263
OG0000253	Syap.g_00443	Syar.g_02028
OG0000254	Syap.g_01527, Syap.g_01528	Syar.g_02169
OG0000256	Syap.g_01287	Syar.g_02244
OG0000257	Syap.g_00886	Syar.g_02407, Syar.g_01762
OG0000258	Syap.g_00907	Syar.g_02427
OG0000260	Syap.g_01970	Syar.g_03220, Syar.g_02475
OG0000261	Syap.g_01962, Syap.g_01961	Syar.g_01916
OG0000262	Syap.g_01954	Syar.g_01690
OG0000263	Syap.g_00432, Syap.g_00433	Syar.g_01991
OG0000266	Syap.g_00519	Syar.g_01570
OG0000267	Syap.g_02333	Syar.g_01873
OG0000268	Syap.g_00646	Syar.g_02589
OG0000269	Syap.g_00188	Syar.g_02634
OG0000270	Syap.g_00192	Syar.g_00744, Syar.g_02637
OG0000271	Syap.g_00200, Syap.g_00201	Syar.g_02645
OG0000272	Syap.g_00202	Syar.g_02646
OG0000273	Syap.g_02703	Syar.g_02481
OG0000274	Syap.g_02702	Syar.g_02482
OG0000275	Syap.g_01847	Syar.g_01810
OG0000276	Syap.g_01839, Syap.g_01838	Syar.g_01817
OG0000277	Syap.g_01837	Syar.g_01818
OG0000278	Syap.g_01834	Syar.g_01821, Syar.g_03174
OG0000279	Syap.g_00829, Syap.g_00830	Syar.g_01838
OG0000280	Syap.g_00365	Syar.g_02067
OG0000281	Syap.g_01977	Syar.g_02218
OG0000282	Syap.g_01252	Syar.g_01614
OG0000283	Syap.g_01728	Syar.g_02574
OG0000284	Syap.g_01736	Syar.g_02568
OG0000285	Syap.g_01746, Syap.g_01744	Syar.g_02560
OG0000286	Syap.g_02014, Syap.g_02013	Syar.g_02540
OG0000288	Syap.g_02764, Syap.g_02763	Syar.g_01801
OG0000289	Syap.g_02784	Syar.g_03305, Syar.g_01786
OG0000290	Syap.g_01552	Syar.g_01928
OG0000291	Syap.g_01554	Syar.g_01930
OG0000292	Syap.g_02314	Syar.g_00463
OG0000293	Syap.g_00240	Syar.g_03297, Syar.g_01526
OG0000294	Syap.g_00239	Syar.g_01527
OG0000295	Syap.g_00206	Syar.g_01951
OG0000296	Syap.g_00204	Syar.g_01953
OG0000297	Syap.g_01887	Syar.g_01967
OG0000298	Syap.g_01888	Syar.g_01968
OG0000299	Syap.g_02620	Syar.g_01704
OG0000302	Syap.g_02444, Syap.g_02445	Syar.g_01713
OG0000303	Syap.g_02435	Syar.g_01723
OG0000304	Syap.g_02430	Syar.g_01728
OG0000305	Syap.g_01557	Syar.g_01933, Syar.g_03163
OG0000306	Syap.g_01966	Syar.g_01884
OG0000307	Syap.g_02517	Syar.g_01452, Syar.g_03153
OG0000308	Syap.g_02514, Syap.g_02515	Syar.g_01450
OG0000309	Syap.g_02198, Syap.g_02446	Syar.g_01239
OG0000310	Syap.g_02660, Syap.g_02661	Syar.g_02826
OG0000311	Syap.g_02657	Syar.g_02823
OG0000312	Syap.g_02114	Syar.g_02818
OG0000313	Syap.g_02473	Syar.g_02804
OG0000314	Syap.g_00007	Syar.g_01403
OG0000315	Syap.g_00017	Syar.g_01393
OG0000316	Syap.g_00030	Syar.g_02885
OG0000317	Syap.g_00618	Syar.g_02926
OG0000318	Syap.g_00622, Syap.g_02786	Syar.g_02930
OG0000319	Syap.g_01764, Syap.g_01771	Syar.g_02954
OG0000320	Syap.g_01761, Syap.g_01769	Syar.g_02956
OG0000321	Syap.g_01760, Syap.g_01768	Syar.g_02957
OG0000322	Syap.g_01759, Syap.g_01767	Syar.g_02958
OG0000323	Syap.g_01389	Syar.g_02973
OG0000324	Syap.g_01503	Syar.g_00350, Syar.g_03001
OG0000325	Syap.g_02680	Syar.g_03291, Syar.g_00148
OG0000326	Syap.g_00544	Syar.g_00139, Syar.g_03134
OG0000327	Syap.g_01233, Syap.g_01913	Syar.g_01029
OG0000328	Syap.g_01234, Syap.g_01912	Syar.g_01030
OG0000329	Syap.g_00498	Syar.g_03189, Syar.g_01048
OG0000330	Syap.g_00497	Syar.g_01049
OG0000331	Syap.g_00496	Syar.g_01050, Syar.g_03191
OG0000332	Syap.g_00481	Syar.g_01064
OG0000333	Syap.g_00478	Syar.g_01067
OG0000334	Syap.g_00468	Syar.g_01076
OG0000335	Syap.g_00101, Syap.g_00463	Syar.g_01080
OG0000336	Syap.g_00417, Syap.g_00607	Syar.g_01084
OG0000337	Syap.g_01054	Syar.g_00285
OG0000338	Syap.g_01059	Syar.g_03225, Syar.g_00287
OG0000339	Syap.g_01068	Syar.g_00658
OG0000340	Syap.g_01077	Syar.g_00247
OG0000341	Syap.g_01079	Syar.g_00249
OG0000342	Syap.g_01080, Syap.g_02477	Syar.g_00250
OG0000343	Syap.g_01086, Syap.g_02078	Syar.g_00256
OG0000344	Syap.g_01091	Syar.g_00260
OG0000345	Syap.g_01107, Syap.g_01470	Syar.g_00612
OG0000346	Syap.g_01113	Syar.g_00607
OG0000347	Syap.g_01131, Syap.g_02459	Syar.g_00558
OG0000348	Syap.g_00632	Syar.g_00544
OG0000349	Syap.g_00110, Syap.g_01813	Syar.g_00521
OG0000351	Syap.g_02594	Syar.g_00442
OG0000352	Syap.g_02596, Syap.g_02597	Syar.g_00443
OG0000353	Syap.g_00054	Syar.g_00469
OG0000354	Syap.g_00075, Syap.g_02635	Syar.g_00487
OG0000355	Syap.g_00056	Syar.g_00471
OG0000356	Syap.g_00057	Syar.g_00472
OG0000357	Syap.g_00058	Syar.g_00473
OG0000358	Syap.g_00063	Syar.g_00477
OG0000359	Syap.g_00065	Syar.g_00479
OG0000360	Syap.g_00067	Syar.g_00480
OG0000361	Syap.g_00068	Syar.g_00481
OG0000362	Syap.g_00070	Syar.g_00483
OG0000363	Syap.g_00072	Syar.g_00484
OG0000364	Syap.g_00620	Syar.g_02928
OG0000365	Syap.g_00081	Syar.g_00493
OG0000366	Syap.g_00082	Syar.g_00494
OG0000367	Syap.g_00083	Syar.g_00495
OG0000368	Syap.g_00085	Syar.g_00497
OG0000369	Syap.g_00086	Syar.g_00498
OG0000370	Syap.g_00087	Syar.g_00499
OG0000372	Syap.g_01805	Syar.g_00514
OG0000373	Syap.g_01806	Syar.g_00515
OG0000374	Syap.g_01807	Syar.g_00516
OG0000375	Syap.g_01808	Syar.g_00517
OG0000376	Syap.g_01811	Syar.g_00519
OG0000377	Syap.g_00128	Syar.g_00322
OG0000378	Syap.g_01326	Syar.g_00905
OG0000380	Syap.g_01687	Syar.g_03039
OG0000381	Syap.g_01690	Syar.g_03041
OG0000382	Syap.g_02548	Syar.g_03057
OG0000383	Syap.g_02359	Syar.g_03074
OG0000384	Syap.g_02360	Syar.g_03075
OG0000385	Syap.g_02361	Syar.g_03076
OG0000386	Syap.g_02362	Syar.g_03077
OG0000387	Syap.g_01864	Syar.g_03109
OG0000391	Syap.g_02234	Syar.g_00038
OG0000392	Syap.g_02225	Syar.g_00045
OG0000393	Syap.g_02222	Syar.g_00048
OG0000394	Syap.g_02221	Syar.g_00049
OG0000395	Syap.g_02220	Syar.g_00050
OG0000396	Syap.g_02217	Syar.g_00053
OG0000397	Syap.g_02215	Syar.g_00055
OG0000398	Syap.g_02211	Syar.g_00060
OG0000399	Syap.g_02210	Syar.g_00061
OG0000400	Syap.g_02209	Syar.g_00062
OG0000401	Syap.g_02208	Syar.g_00063
OG0000402	Syap.g_02206	Syar.g_00065
OG0000403	Syap.g_02205	Syar.g_00066
OG0000404	Syap.g_02204, Syap.g_02618	Syar.g_00067
OG0000405	Syap.g_02191	Syar.g_00076
OG0000406	Syap.g_02186	Syar.g_00080
OG0000407	Syap.g_02185	Syar.g_00081
OG0000408	Syap.g_02181, Syap.g_02182	Syar.g_00083
OG0000409	Syap.g_02179	Syar.g_00085
OG0000410	Syap.g_02178	Syar.g_00086
OG0000411	Syap.g_02177	Syar.g_00087
OG0000412	Syap.g_02176	Syar.g_00088
OG0000413	Syap.g_02174	Syar.g_00090
OG0000414	Syap.g_02173	Syar.g_00091
OG0000415	Syap.g_02172	Syar.g_00092
OG0000416	Syap.g_02171	Syar.g_00093
OG0000417	Syap.g_02169	Syar.g_00095
OG0000418	Syap.g_01204	Syar.g_00100
OG0000419	Syap.g_01201	Syar.g_00102
OG0000420	Syap.g_01199	Syar.g_00104
OG0000421	Syap.g_01195	Syar.g_00109
OG0000422	Syap.g_01194	Syar.g_00110
OG0000423	Syap.g_01193	Syar.g_00111
OG0000424	Syap.g_01192	Syar.g_00112
OG0000425	Syap.g_01191	Syar.g_00113
OG0000426	Syap.g_01190	Syar.g_00114
OG0000427	Syap.g_01189	Syar.g_00115
OG0000428	Syap.g_01186	Syar.g_00118
OG0000429	Syap.g_01184	Syar.g_00121
OG0000430	Syap.g_01182	Syar.g_00123
OG0000431	Syap.g_01179	Syar.g_00127
OG0000432	Syap.g_02277	Syar.g_01009
OG0000433	Syap.g_02272	Syar.g_01007
OG0000434	Syap.g_02271	Syar.g_01006
OG0000435	Syap.g_02268	Syar.g_01003
OG0000436	Syap.g_01607	Syar.g_00994
OG0000437	Syap.g_01608	Syar.g_00993
OG0000438	Syap.g_01612	Syar.g_00992
OG0000439	Syap.g_01614	Syar.g_00990
OG0000440	Syap.g_01615	Syar.g_00989
OG0000441	Syap.g_01619	Syar.g_00986
OG0000442	Syap.g_01620	Syar.g_00977
OG0000443	Syap.g_01622	Syar.g_00964
OG0000444	Syap.g_01424	Syar.g_00954
OG0000445	Syap.g_01421	Syar.g_00953
OG0000446	Syap.g_01419	Syar.g_00951
OG0000447	Syap.g_01410	Syar.g_00948
OG0000448	Syap.g_01407	Syar.g_00947
OG0000449	Syap.g_01406	Syar.g_00946
OG0000450	Syap.g_01909	Syar.g_00939
OG0000451	Syap.g_01908	Syar.g_00938
OG0000452	Syap.g_01904	Syar.g_00934
OG0000453	Syap.g_01903	Syar.g_00933
OG0000454	Syap.g_01902	Syar.g_00932
OG0000455	Syap.g_01901	Syar.g_00931
OG0000456	Syap.g_01900	Syar.g_00930
OG0000457	Syap.g_01896	Syar.g_00928
OG0000458	Syap.g_01895	Syar.g_00918
OG0000459	Syap.g_01894	Syar.g_00917
OG0000460	Syap.g_01159	Syar.g_03024
OG0000461	Syap.g_01575	Syar.g_00153
OG0000462	Syap.g_01578	Syar.g_00155
OG0000463	Syap.g_01579	Syar.g_00156
OG0000464	Syap.g_01580	Syar.g_00157
OG0000465	Syap.g_01582	Syar.g_00159
OG0000466	Syap.g_01587	Syar.g_00164
OG0000467	Syap.g_01588	Syar.g_00165
OG0000468	Syap.g_01593	Syar.g_00170
OG0000469	Syap.g_02352	Syar.g_00203
OG0000470	Syap.g_02349	Syar.g_00206
OG0000471	Syap.g_02348	Syar.g_00207
OG0000472	Syap.g_02347	Syar.g_00208
OG0000473	Syap.g_02343	Syar.g_00210
OG0000474	Syap.g_02342	Syar.g_00211
OG0000475	Syap.g_02341	Syar.g_00212
OG0000476	Syap.g_02339	Syar.g_00214
OG0000477	Syap.g_01367	Syar.g_00219
OG0000478	Syap.g_01366	Syar.g_00220
OG0000479	Syap.g_01364	Syar.g_00221
OG0000480	Syap.g_01357	Syar.g_00228
OG0000482	Syap.g_01355	Syar.g_00231
OG0000483	Syap.g_01344	Syar.g_00235
OG0000484	Syap.g_01350	Syar.g_00236
OG0000485	Syap.g_01349	Syar.g_00237
OG0000487	Syap.g_01635	Syar.g_00245
OG0000488	Syap.g_01639	Syar.g_00853
OG0000489	Syap.g_02482	Syar.g_00833
OG0000490	Syap.g_01673	Syar.g_00823
OG0000491	Syap.g_01670	Syar.g_00822
OG0000492	Syap.g_01668	Syar.g_00727
OG0000493	Syap.g_01667	Syar.g_00726
OG0000494	Syap.g_01666	Syar.g_00725
OG0000495	Syap.g_01665	Syar.g_00724
OG0000496	Syap.g_01663	Syar.g_00723
OG0000497	Syap.g_01662	Syar.g_00722
OG0000498	Syap.g_01661	Syar.g_00721
OG0000499	Syap.g_01660	Syar.g_00720
OG0000500	Syap.g_01659	Syar.g_00719
OG0000501	Syap.g_01656	Syar.g_00716
OG0000502	Syap.g_02066	Syar.g_00275
OG0000503	Syap.g_00569	Syar.g_01118
OG0000504	Syap.g_00567	Syar.g_01120
OG0000505	Syap.g_00566	Syar.g_01121
OG0000506	Syap.g_00564	Syar.g_01123
OG0000507	Syap.g_00558	Syar.g_01129
OG0000508	Syap.g_00554	Syar.g_01141
OG0000509	Syap.g_00551	Syar.g_01143
OG0000510	Syap.g_00550	Syar.g_01144
OG0000511	Syap.g_00548	Syar.g_01145
OG0000512	Syap.g_02145	Syar.g_01147
OG0000513	Syap.g_02048	Syar.g_01166
OG0000514	Syap.g_02051	Syar.g_01169
OG0000515	Syap.g_02052	Syar.g_01170
OG0000516	Syap.g_02054	Syar.g_01172
OG0000517	Syap.g_02057	Syar.g_01176
OG0000519	Syap.g_00457	Syar.g_02867
OG0000520	Syap.g_00456	Syar.g_02866
OG0000521	Syap.g_01997	Syar.g_01419
OG0000522	Syap.g_01995	Syar.g_01421
OG0000523	Syap.g_02507	Syar.g_01422
OG0000524	Syap.g_02135	Syar.g_01244
OG0000525	Syap.g_02159	Syar.g_01263
OG0000526	Syap.g_02157	Syar.g_01266
OG0000527	Syap.g_02758	Syar.g_01271
OG0000528	Syap.g_02261	Syar.g_01466
OG0000529	Syap.g_02254	Syar.g_01470
OG0000530	Syap.g_02252	Syar.g_01473
OG0000531	Syap.g_02251	Syar.g_01474
OG0000532	Syap.g_02247	Syar.g_01477
OG0000533	Syap.g_02244	Syar.g_01479
OG0000534	Syap.g_02243	Syar.g_01480
OG0000535	Syap.g_02242	Syar.g_01481
OG0000536	Syap.g_02241	Syar.g_01482
OG0000537	Syap.g_02240	Syar.g_01483
OG0000538	Syap.g_00271	Syar.g_01496
OG0000539	Syap.g_00270	Syar.g_01497
OG0000540	Syap.g_00269	Syar.g_01498
OG0000541	Syap.g_00268	Syar.g_01499
OG0000542	Syap.g_00264	Syar.g_01502
OG0000543	Syap.g_00261	Syar.g_01504
OG0000544	Syap.g_00260	Syar.g_01505
OG0000545	Syap.g_00259	Syar.g_01507
OG0000546	Syap.g_00256	Syar.g_01509
OG0000547	Syap.g_00254	Syar.g_01511
OG0000548	Syap.g_00253	Syar.g_01512
OG0000549	Syap.g_00758	Syar.g_02693
OG0000550	Syap.g_02747	Syar.g_02689
OG0000551	Syap.g_02739	Syar.g_02684
OG0000552	Syap.g_02738	Syar.g_02683
OG0000553	Syap.g_02735	Syar.g_02679
OG0000554	Syap.g_01450	Syar.g_02352
OG0000555	Syap.g_01941	Syar.g_02336
OG0000556	Syap.g_01933	Syar.g_02332
OG0000557	Syap.g_01931	Syar.g_02328
OG0000558	Syap.g_01147	Syar.g_02326
OG0000560	Syap.g_00305	Syar.g_02320
OG0000561	Syap.g_00304	Syar.g_02319
OG0000562	Syap.g_00302	Syar.g_02318
OG0000563	Syap.g_00301	Syar.g_02317
OG0000564	Syap.g_00300	Syar.g_02316
OG0000565	Syap.g_00296	Syar.g_02312
OG0000566	Syap.g_00291	Syar.g_02308
OG0000567	Syap.g_01297	Syar.g_02304
OG0000568	Syap.g_01302	Syar.g_02302
OG0000569	Syap.g_01303	Syar.g_02301
OG0000570	Syap.g_01304	Syar.g_02300
