Orthogroup	Syap	Syai
OG0000131	Syap.g_02189	Syai.g_02608
OG0000132	Syap.g_01205	Syai.g_02628
OG0000133	Syap.g_02017	Syai.g_01507
OG0000134	Syap.g_02047	Syai.g_00520
OG0000135	Syap.g_02090	Syai.g_02826
OG0000136	Syap.g_00089	Syai.g_02217
OG0000137	Syap.g_02756	Syai.g_00865
OG0000138	Syap.g_00278	Syai.g_00654
OG0000139	Syap.g_00410	Syai.g_00714
OG0000140	Syap.g_01976	Syai.g_00716
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syai.g_01041
OG0000142	Syap.g_00895, Syap.g_00894	Syai.g_01104
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syai.g_01108
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syai.g_01608
OG0000145	Syap.g_01860, Syap.g_01859	Syai.g_00660
OG0000146	Syap.g_02024	Syai.g_01513
OG0000147	Syap.g_02025	Syai.g_01514
OG0000148	Syap.g_02720	Syai.g_01361
OG0000149	Syap.g_00824	Syai.g_02059
OG0000150	Syap.g_01540	Syai.g_00717
OG0000151	Syap.g_00142	Syai.g_01280
OG0000152	Syap.g_02012	Syai.g_01503
OG0000153	Syap.g_02682	Syai.g_01461
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syai.g_01434
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syai.g_02109
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syai.g_02162
OG0000157	Syap.g_00249, Syap.g_00286	Syai.g_02163
OG0000158	Syap.g_01075	Syai.g_00135
OG0000160	Syap.g_02470, Syap.g_02469	Syai.g_00952
OG0000161	Syap.g_02476	Syai.g_00946
OG0000162	Syap.g_02531	Syai.g_00939
OG0000165	Syap.g_01381, Syap.g_01382	Syai.g_02244
OG0000166	Syap.g_00512, Syap.g_01238	Syai.g_00364
OG0000167	Syap.g_02080	Syai.g_00164
OG0000168	Syap.g_01076	Syai.g_00134
OG0000169	Syap.g_01049, Syap.g_01093	Syai.g_00123
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syai.g_00116
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syai.g_00090
OG0000172	Syap.g_01143, Syap.g_00635	Syai.g_00083
OG0000173	Syap.g_00982, Syap.g_00983	Syai.g_00064
OG0000174	Syap.g_02092	Syai.g_02828
OG0000175	Syap.g_02654	Syai.g_02901
OG0000176	Syap.g_00059	Syai.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Syai.g_00005
OG0000178	Syap.g_00062	Syai.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Syai.g_00023
OG0000180	Syap.g_00078, Syap.g_02640	Syai.g_00024
OG0000181	Syap.g_00079, Syap.g_02641	Syai.g_00025
OG0000182	Syap.g_00080, Syap.g_02642	Syai.g_00026
OG0000183	Syap.g_00084	Syai.g_00030
OG0000184	Syap.g_01337	Syai.g_02756
OG0000185	Syap.g_01322	Syai.g_02734
OG0000186	Syap.g_01684	Syai.g_02469
OG0000187	Syap.g_01686	Syai.g_02471
OG0000188	Syap.g_02547	Syai.g_02494
OG0000191	Syap.g_02233	Syai.g_02562
OG0000192	Syap.g_02224	Syai.g_02569
OG0000193	Syap.g_02187, Syap.g_02188	Syai.g_02609
OG0000194	Syap.g_02183	Syai.g_02612
OG0000196	Syap.g_01208, Syap.g_02167	Syai.g_02625
OG0000197	Syap.g_01207, Syap.g_02166	Syai.g_02626
OG0000198	Syap.g_01206	Syai.g_02627
OG0000199	Syap.g_01197	Syai.g_02635
OG0000200	Syap.g_01181	Syai.g_02651
OG0000201	Syap.g_02265	Syai.g_02667
OG0000202	Syap.g_02264	Syai.g_02668
OG0000203	Syap.g_01601	Syai.g_02669
OG0000204	Syap.g_01602	Syai.g_02670
OG0000205	Syap.g_01616	Syai.g_02677
OG0000206	Syap.g_01628	Syai.g_02684
OG0000207	Syap.g_01426, Syap.g_00424	Syai.g_02686
OG0000208	Syap.g_00426, Syap.g_01425	Syai.g_02687
OG0000209	Syap.g_01906	Syai.g_02699
OG0000210	Syap.g_01905	Syai.g_02700
OG0000211	Syap.g_01160	Syai.g_00533
OG0000212	Syap.g_02664	Syai.g_00544
OG0000213	Syap.g_00107, Syap.g_01599	Syai.g_00292
OG0000214	Syap.g_02344, Syap.g_02345	Syai.g_00276
OG0000215	Syap.g_01347, Syap.g_01629	Syai.g_00245
OG0000216	Syap.g_01634	Syai.g_00241
OG0000217	Syap.g_01638	Syai.g_00237
OG0000218	Syap.g_01641, Syap.g_01640	Syai.g_00235
OG0000219	Syap.g_01642, Syap.g_01643	Syai.g_00234
OG0000220	Syap.g_01645	Syai.g_00233
OG0000221	Syap.g_01646	Syai.g_00227
OG0000222	Syap.g_01669	Syai.g_00215
OG0000223	Syap.g_02072, Syap.g_02073	Syai.g_00194
OG0000224	Syap.g_02064	Syai.g_00186
OG0000225	Syap.g_00553, Syap.g_00552	Syai.g_00502
OG0000226	Syap.g_02029, Syap.g_02144	Syai.g_00506
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Syai.g_00508
OG0000228	Syap.g_00116, Syap.g_02041	Syai.g_00516
OG0000229	Syap.g_02059	Syai.g_02228
OG0000230	Syap.g_02061	Syai.g_02226
OG0000231	Syap.g_02533	Syai.g_02208
OG0000232	Syap.g_02510, Syap.g_02511	Syai.g_00846
OG0000233	Syap.g_02133	Syai.g_00855
OG0000234	Syap.g_02755	Syai.g_00866
OG0000235	Syap.g_00732, Syap.g_02258	Syai.g_00637
OG0000236	Syap.g_02238	Syai.g_00652
OG0000237	Syap.g_00262, Syap.g_00263	Syai.g_00669
OG0000238	Syap.g_00257, Syap.g_00258	Syai.g_00674
OG0000239	Syap.g_02744	Syai.g_00691
OG0000240	Syap.g_02742	Syai.g_00692
OG0000241	Syap.g_00888	Syai.g_01085, Syai.g_01089
OG0000242	Syap.g_01455	Syai.g_00705
OG0000243	Syap.g_01938	Syai.g_00726
OG0000244	Syap.g_01146, Syap.g_01145	Syai.g_00731
OG0000245	Syap.g_01148	Syai.g_00733
OG0000246	Syap.g_00308	Syai.g_00737
OG0000247	Syap.g_00288, Syap.g_00293	Syai.g_00748
OG0000248	Syap.g_00290	Syai.g_00751
OG0000249	Syap.g_01296, Syap.g_01295	Syai.g_00753
OG0000250	Syap.g_01306	Syai.g_00762
OG0000251	Syap.g_00442	Syai.g_00789
OG0000252	Syap.g_01857	Syai.g_00797
OG0000253	Syap.g_00443	Syai.g_00798
OG0000254	Syap.g_01527, Syap.g_01528	Syai.g_01045
OG0000256	Syap.g_01287	Syai.g_01077
OG0000257	Syap.g_00886	Syai.g_01084
OG0000258	Syap.g_00907	Syai.g_01113
OG0000260	Syap.g_01970	Syai.g_01232
OG0000261	Syap.g_01962, Syap.g_01961	Syai.g_01235
OG0000262	Syap.g_01954	Syai.g_01240
OG0000263	Syap.g_00432, Syap.g_00433	Syai.g_01776
OG0000266	Syap.g_00519	Syai.g_01401
OG0000267	Syap.g_02333, Syap.g_02332	Syai.g_01569
OG0000268	Syap.g_00646	Syai.g_01568
OG0000269	Syap.g_00188	Syai.g_01316
OG0000270	Syap.g_00192	Syai.g_01319
OG0000271	Syap.g_00200, Syap.g_00201	Syai.g_01327
OG0000272	Syap.g_00202	Syai.g_01328
OG0000274	Syap.g_02702	Syai.g_02038
OG0000275	Syap.g_01847	Syai.g_02043
OG0000276	Syap.g_01839, Syap.g_01838	Syai.g_02051
OG0000277	Syap.g_01837	Syai.g_02052
OG0000278	Syap.g_01834	Syai.g_02055
OG0000279	Syap.g_00829, Syap.g_00830	Syai.g_02063
OG0000280	Syap.g_00365	Syai.g_02084
OG0000281	Syap.g_01977	Syai.g_01719
OG0000282	Syap.g_01252	Syai.g_01263
OG0000283	Syap.g_01728	Syai.g_01554
OG0000284	Syap.g_01736	Syai.g_01548
OG0000285	Syap.g_01746, Syap.g_01744	Syai.g_01522
OG0000286	Syap.g_02014, Syap.g_02013	Syai.g_01504
OG0000288	Syap.g_02764, Syap.g_02763	Syai.g_01435
OG0000289	Syap.g_02784	Syai.g_01421
OG0000290	Syap.g_01552	Syai.g_02010
OG0000291	Syap.g_01554	Syai.g_02008
OG0000292	Syap.g_02314	Syai.g_02926
OG0000293	Syap.g_00240	Syai.g_02155
OG0000295	Syap.g_00206	Syai.g_02117
OG0000296	Syap.g_00204	Syai.g_02115
OG0000298	Syap.g_01888	Syai.g_01755
OG0000299	Syap.g_02620	Syai.g_01783
OG0000302	Syap.g_02444, Syap.g_02445	Syai.g_01793
OG0000303	Syap.g_02435	Syai.g_01802
OG0000304	Syap.g_02430	Syai.g_01826
OG0000305	Syap.g_01557	Syai.g_02005
OG0000306	Syap.g_01966	Syai.g_02090
OG0000307	Syap.g_02517	Syai.g_00619
OG0000308	Syap.g_02514, Syap.g_02515	Syai.g_00617
OG0000309	Syap.g_02198, Syap.g_02446	Syai.g_00612
OG0000310	Syap.g_02660, Syap.g_02661	Syai.g_00989
OG0000311	Syap.g_02657	Syai.g_00985
OG0000312	Syap.g_02114	Syai.g_00966
OG0000313	Syap.g_02473	Syai.g_00949
OG0000314	Syap.g_00007	Syai.g_00908
OG0000315	Syap.g_00017	Syai.g_00897
OG0000316	Syap.g_00030	Syai.g_02320, Syai.g_02322
OG0000317	Syap.g_00618	Syai.g_02373
OG0000318	Syap.g_00622, Syap.g_02786	Syai.g_02379
OG0000319	Syap.g_01764, Syap.g_01771	Syai.g_02395
OG0000320	Syap.g_01761, Syap.g_01769	Syai.g_02397
OG0000321	Syap.g_01760, Syap.g_01768	Syai.g_02398
OG0000322	Syap.g_01759, Syap.g_01767	Syai.g_02399
OG0000323	Syap.g_01389	Syai.g_02413
OG0000324	Syap.g_01503	Syai.g_02272
OG0000325	Syap.g_02680	Syai.g_00320
OG0000326	Syap.g_00544	Syai.g_00327
OG0000327	Syap.g_01233, Syap.g_01913	Syai.g_00359
OG0000328	Syap.g_01234, Syap.g_01912	Syai.g_00360
OG0000329	Syap.g_00498	Syai.g_00378
OG0000330	Syap.g_00497	Syai.g_00379
OG0000331	Syap.g_00496	Syai.g_00380
OG0000333	Syap.g_00478	Syai.g_00398
OG0000334	Syap.g_00468	Syai.g_00407
OG0000335	Syap.g_00101, Syap.g_00463	Syai.g_00412
OG0000336	Syap.g_00417, Syap.g_00607	Syai.g_00416
OG0000337	Syap.g_01054	Syai.g_00169
OG0000338	Syap.g_01059	Syai.g_00166
OG0000339	Syap.g_01068	Syai.g_00160
OG0000340	Syap.g_01077	Syai.g_00133
OG0000341	Syap.g_01079	Syai.g_00131
OG0000342	Syap.g_01080, Syap.g_02477	Syai.g_00130
OG0000343	Syap.g_01086, Syap.g_02078	Syai.g_00129
OG0000344	Syap.g_01091	Syai.g_00125
OG0000345	Syap.g_01107, Syap.g_01470	Syai.g_00115
OG0000346	Syap.g_02423, Syap.g_01113	Syai.g_00110
OG0000347	Syap.g_01131, Syap.g_02459	Syai.g_00087
OG0000348	Syap.g_00632	Syai.g_00076
OG0000349	Syap.g_00110, Syap.g_01813	Syai.g_00057
OG0000351	Syap.g_02594	Syai.g_02904
OG0000352	Syap.g_02596, Syap.g_02597	Syai.g_02905
OG0000353	Syap.g_00054	Syai.g_02932
OG0000354	Syap.g_00075, Syap.g_02635	Syai.g_00019
OG0000355	Syap.g_00056	Syai.g_00001
OG0000356	Syap.g_00057	Syai.g_00002
OG0000357	Syap.g_00058	Syai.g_00003
OG0000358	Syap.g_00063	Syai.g_00007
OG0000359	Syap.g_00065	Syai.g_00009
OG0000360	Syap.g_00067	Syai.g_00010
OG0000361	Syap.g_00068	Syai.g_00011
OG0000362	Syap.g_00070	Syai.g_00013
OG0000363	Syap.g_00072	Syai.g_00015
OG0000364	Syap.g_00620	Syai.g_00016
OG0000365	Syap.g_00081	Syai.g_00027
OG0000366	Syap.g_00082	Syai.g_00028
OG0000367	Syap.g_00083	Syai.g_00029
OG0000368	Syap.g_00085	Syai.g_00031
OG0000369	Syap.g_00086	Syai.g_00032
OG0000370	Syap.g_00087	Syai.g_00033
OG0000372	Syap.g_01805	Syai.g_00047
OG0000373	Syap.g_01806	Syai.g_00048
OG0000374	Syap.g_01807	Syai.g_00049
OG0000375	Syap.g_01808	Syai.g_00053
OG0000376	Syap.g_01811	Syai.g_00055
OG0000377	Syap.g_00128	Syai.g_02769
OG0000378	Syap.g_01326	Syai.g_02751
OG0000380	Syap.g_01687	Syai.g_02472
OG0000381	Syap.g_01690	Syai.g_02475
OG0000382	Syap.g_02548	Syai.g_02493
OG0000383	Syap.g_02359	Syai.g_02498
OG0000384	Syap.g_02360	Syai.g_02499
OG0000385	Syap.g_02361	Syai.g_02500
OG0000386	Syap.g_02362	Syai.g_02501
OG0000387	Syap.g_01864	Syai.g_02534
OG0000391	Syap.g_02234	Syai.g_02561
OG0000392	Syap.g_02225	Syai.g_02568
OG0000393	Syap.g_02222	Syai.g_02570
OG0000394	Syap.g_02221	Syai.g_02571
OG0000395	Syap.g_02220	Syai.g_02572
OG0000396	Syap.g_02217	Syai.g_02575
OG0000397	Syap.g_02215	Syai.g_02577
OG0000398	Syap.g_02211	Syai.g_02582
OG0000399	Syap.g_02210	Syai.g_02583
OG0000400	Syap.g_02209	Syai.g_02584
OG0000401	Syap.g_02208	Syai.g_02585
OG0000402	Syap.g_02206	Syai.g_02588
OG0000403	Syap.g_02205	Syai.g_02589
OG0000404	Syap.g_02204, Syap.g_02618	Syai.g_02590
OG0000405	Syap.g_02191	Syai.g_02606
OG0000406	Syap.g_02186	Syai.g_02610
OG0000407	Syap.g_02185	Syai.g_02611
OG0000408	Syap.g_02181, Syap.g_02182	Syai.g_02613
OG0000409	Syap.g_02179	Syai.g_02615
OG0000410	Syap.g_02178	Syai.g_02616
OG0000411	Syap.g_02177	Syai.g_02617
OG0000412	Syap.g_02176	Syai.g_02618
OG0000413	Syap.g_02174	Syai.g_02620
OG0000414	Syap.g_02173	Syai.g_02621
OG0000415	Syap.g_02172	Syai.g_02622
OG0000416	Syap.g_02171	Syai.g_02623
OG0000417	Syap.g_02169	Syai.g_02624
OG0000418	Syap.g_01204	Syai.g_02629
OG0000419	Syap.g_01201	Syai.g_02631
OG0000420	Syap.g_01199	Syai.g_02633
OG0000421	Syap.g_01195	Syai.g_02638
OG0000422	Syap.g_01194	Syai.g_02639
OG0000423	Syap.g_01193	Syai.g_02640
OG0000424	Syap.g_01192	Syai.g_02641
OG0000425	Syap.g_01191	Syai.g_02642
OG0000426	Syap.g_01190	Syai.g_02643
OG0000427	Syap.g_01189	Syai.g_02644
OG0000428	Syap.g_01186	Syai.g_02647
OG0000429	Syap.g_01184	Syai.g_02649
OG0000430	Syap.g_01182	Syai.g_02650
OG0000431	Syap.g_01179	Syai.g_02654
OG0000432	Syap.g_02277	Syai.g_02660
OG0000433	Syap.g_02272	Syai.g_02662
OG0000434	Syap.g_02271	Syai.g_02663
OG0000435	Syap.g_02268	Syai.g_02666
OG0000436	Syap.g_01607	Syai.g_02671
OG0000437	Syap.g_01608	Syai.g_02672
OG0000438	Syap.g_01612	Syai.g_02673
OG0000439	Syap.g_01614	Syai.g_02675
OG0000440	Syap.g_01615	Syai.g_02676
OG0000441	Syap.g_01619	Syai.g_02681
OG0000442	Syap.g_01620	Syai.g_02682
OG0000443	Syap.g_01622	Syai.g_02683
OG0000444	Syap.g_01424	Syai.g_02688
OG0000445	Syap.g_01421	Syai.g_02689
OG0000446	Syap.g_01419	Syai.g_02690
OG0000447	Syap.g_01410	Syai.g_02693
OG0000448	Syap.g_01407	Syai.g_02694
OG0000449	Syap.g_01406	Syai.g_02695
OG0000450	Syap.g_01909	Syai.g_02696
OG0000451	Syap.g_01908	Syai.g_02697
OG0000452	Syap.g_01904	Syai.g_02701
OG0000453	Syap.g_01903	Syai.g_02702
OG0000454	Syap.g_01902	Syai.g_02703
OG0000455	Syap.g_01901	Syai.g_02704
OG0000456	Syap.g_01900	Syai.g_02705
OG0000457	Syap.g_01896	Syai.g_02707
OG0000458	Syap.g_01895	Syai.g_02708
OG0000459	Syap.g_01894	Syai.g_02709
OG0000460	Syap.g_01159	Syai.g_00535
OG0000461	Syap.g_01575	Syai.g_00314
OG0000462	Syap.g_01578	Syai.g_00311
OG0000463	Syap.g_01579	Syai.g_00310
OG0000464	Syap.g_01580	Syai.g_00309
OG0000465	Syap.g_01582	Syai.g_00307
OG0000466	Syap.g_01587	Syai.g_00303
OG0000467	Syap.g_01588	Syai.g_00301
OG0000468	Syap.g_01593	Syai.g_00296
OG0000469	Syap.g_02352	Syai.g_00282
OG0000470	Syap.g_02349	Syai.g_00280
OG0000471	Syap.g_02348	Syai.g_00279
OG0000472	Syap.g_02347	Syai.g_00277
OG0000473	Syap.g_02343	Syai.g_00275
OG0000474	Syap.g_02342	Syai.g_00274
OG0000475	Syap.g_02341	Syai.g_00273
OG0000476	Syap.g_02339	Syai.g_00271
OG0000477	Syap.g_01367	Syai.g_00265
OG0000478	Syap.g_01366	Syai.g_00264
OG0000479	Syap.g_01364	Syai.g_00263
OG0000480	Syap.g_01357	Syai.g_00256
OG0000482	Syap.g_01355	Syai.g_00253
OG0000483	Syap.g_01344	Syai.g_00249
OG0000484	Syap.g_01350	Syai.g_00248
OG0000485	Syap.g_01349	Syai.g_00247
OG0000487	Syap.g_01635	Syai.g_00240
OG0000488	Syap.g_01639	Syai.g_00236
OG0000489	Syap.g_02482	Syai.g_00226
OG0000490	Syap.g_01673	Syai.g_00218
OG0000491	Syap.g_01670	Syai.g_00217
OG0000492	Syap.g_01668	Syai.g_00214
OG0000493	Syap.g_01667	Syai.g_00213
OG0000494	Syap.g_01666	Syai.g_00212
OG0000495	Syap.g_01665	Syai.g_00211
OG0000496	Syap.g_01663	Syai.g_00210
OG0000497	Syap.g_01662	Syai.g_00209
OG0000498	Syap.g_01661	Syai.g_00208
OG0000499	Syap.g_01660	Syai.g_00207
OG0000500	Syap.g_01659	Syai.g_00206
OG0000501	Syap.g_01656	Syai.g_00203
OG0000502	Syap.g_02066	Syai.g_00192
OG0000503	Syap.g_00569	Syai.g_00486
OG0000504	Syap.g_00567	Syai.g_00488
OG0000505	Syap.g_00566	Syai.g_00489
OG0000506	Syap.g_00564	Syai.g_00491
OG0000507	Syap.g_00558	Syai.g_00497
OG0000508	Syap.g_00554	Syai.g_00501
OG0000509	Syap.g_00551	Syai.g_00503
OG0000510	Syap.g_00550	Syai.g_00504
OG0000511	Syap.g_00548	Syai.g_00505
OG0000512	Syap.g_02145	Syai.g_00507
OG0000513	Syap.g_02048	Syai.g_00521
OG0000514	Syap.g_02051	Syai.g_00528
OG0000515	Syap.g_02052	Syai.g_00529
OG0000516	Syap.g_02054	Syai.g_02223
OG0000517	Syap.g_02057	Syai.g_02229
OG0000519	Syap.g_00457	Syai.g_02210
OG0000520	Syap.g_00456	Syai.g_02209
OG0000521	Syap.g_01997	Syai.g_00842
OG0000522	Syap.g_01995	Syai.g_00844
OG0000523	Syap.g_02507	Syai.g_00845
OG0000524	Syap.g_02135	Syai.g_00852
OG0000525	Syap.g_02159	Syai.g_00856
OG0000526	Syap.g_02157	Syai.g_00859
OG0000527	Syap.g_02758	Syai.g_00863
OG0000528	Syap.g_02261	Syai.g_00633
OG0000529	Syap.g_02254	Syai.g_00639
OG0000530	Syap.g_02252	Syai.g_00642
OG0000531	Syap.g_02251	Syai.g_00643
OG0000532	Syap.g_02247	Syai.g_00646
OG0000533	Syap.g_02244	Syai.g_00647
OG0000534	Syap.g_02243	Syai.g_00648
OG0000535	Syap.g_02242	Syai.g_00649
OG0000536	Syap.g_02241	Syai.g_00650
OG0000537	Syap.g_02240	Syai.g_00651
OG0000538	Syap.g_00271	Syai.g_00662
OG0000539	Syap.g_00270	Syai.g_00663
OG0000540	Syap.g_00269	Syai.g_00664
OG0000541	Syap.g_00268	Syai.g_00665
OG0000542	Syap.g_00264	Syai.g_00668
OG0000543	Syap.g_00261	Syai.g_00670
OG0000544	Syap.g_00260	Syai.g_00671
OG0000545	Syap.g_00259	Syai.g_00673
OG0000546	Syap.g_00256	Syai.g_00675
OG0000547	Syap.g_00254	Syai.g_00677
OG0000548	Syap.g_00253	Syai.g_00678
OG0000549	Syap.g_00758	Syai.g_00684
OG0000550	Syap.g_02747	Syai.g_00689
OG0000551	Syap.g_02739	Syai.g_00694
OG0000552	Syap.g_02738	Syai.g_00695
OG0000553	Syap.g_02735	Syai.g_00698
OG0000554	Syap.g_01450	Syai.g_00708
OG0000555	Syap.g_01941	Syai.g_00725
OG0000556	Syap.g_01933	Syai.g_00728
OG0000557	Syap.g_01931	Syai.g_00730
OG0000558	Syap.g_01147	Syai.g_00732
OG0000560	Syap.g_00305	Syai.g_00739
OG0000561	Syap.g_00304	Syai.g_00740
OG0000562	Syap.g_00302	Syai.g_00741
OG0000563	Syap.g_00301	Syai.g_00742
OG0000564	Syap.g_00300	Syai.g_00743
OG0000565	Syap.g_00296	Syai.g_00746
OG0000566	Syap.g_00291	Syai.g_00750
OG0000567	Syap.g_01297	Syai.g_00754
OG0000568	Syap.g_01302	Syai.g_00758
OG0000569	Syap.g_01303	Syai.g_00759
OG0000570	Syap.g_01304	Syai.g_00760
OG0000571	Syap.g_01307	Syai.g_00764
OG0000573	Syap.g_00765	Syai.g_00790
OG0000574	Syap.g_00759	Syai.g_00796
OG0000575	Syap.g_00445	Syai.g_00800
OG0000576	Syap.g_00450	Syai.g_00802
OG0000577	Syap.g_00451	Syai.g_00803
OG0000578	Syap.g_00452	Syai.g_00804
OG0000579	Syap.g_00453	Syai.g_00805
OG0000580	Syap.g_00454	Syai.g_00806
OG0000581	Syap.g_01521	Syai.g_00812
OG0000582	Syap.g_01533	Syai.g_01042
OG0000583	Syap.g_01532	Syai.g_01043
OG0000584	Syap.g_01530	Syai.g_01044
OG0000585	Syap.g_01526	Syai.g_01046
OG0000586	Syap.g_01525	Syai.g_01047
OG0000587	Syap.g_01523	Syai.g_01049
OG0000588	Syap.g_00776	Syai.g_01063
OG0000589	Syap.g_00941	Syai.g_01066
OG0000590	Syap.g_00940	Syai.g_01067
OG0000591	Syap.g_01289	Syai.g_01075
OG0000592	Syap.g_01288	Syai.g_01076
OG0000593	Syap.g_00890	Syai.g_01100
OG0000594	Syap.g_00891	Syai.g_01101
OG0000595	Syap.g_00892	Syai.g_01102
OG0000596	Syap.g_00898	Syai.g_01107
OG0000597	Syap.g_00903	Syai.g_01110
OG0000598	Syap.g_00904	Syai.g_01111
OG0000599	Syap.g_00908	Syai.g_01114
OG0000600	Syap.g_00909	Syai.g_01115
OG0000601	Syap.g_00910	Syai.g_01116
OG0000602	Syap.g_00640	Syai.g_01121
OG0000603	Syap.g_00641	Syai.g_01122
OG0000604	Syap.g_02769	Syai.g_01125
OG0000605	Syap.g_02501, Syap.g_02771	Syai.g_01609
OG0000606	Syap.g_02506	Syai.g_01221
