Orthogroup	Prbm	Prar
OG0000126	Prbm.g_01660	Prar.g_00911
OG0000127	Prbm.g_01696	Prar.g_00352
OG0000128	Prbm.g_01711	Prar.g_00338
OG0000129	Prbm.g_01745	Prar.g_00810
OG0000130	Prbm.g_01839	Prar.g_01145
OG0000131	Prbm.g_01876	Prar.g_01959
OG0000132	Prbm.g_01878	Prar.g_00595, Prar.g_01956
OG0000133	Prbm.g_01991	Prar.g_01068
OG0000134	Prbm.g_02027	Prar.g_01032
OG0000135	Prbm.g_02029	Prar.g_01030
OG0000136	Prbm.g_02079	Prar.g_00638
OG0000137	Prbm.g_02114	Prar.g_00669
OG0000138	Prbm.g_02176	Prar.g_00704
OG0000139	Prbm.g_02212	Prar.g_00055
OG0000140	Prbm.g_00001	Prar.g_00037
OG0000141	Prbm.g_00002	Prar.g_00036
OG0000142	Prbm.g_00004	Prar.g_00034
OG0000143	Prbm.g_00005	Prar.g_00033
OG0000144	Prbm.g_00007	Prar.g_00031
OG0000145	Prbm.g_00008	Prar.g_00030
OG0000146	Prbm.g_00009	Prar.g_00029
OG0000147	Prbm.g_00010	Prar.g_00028
OG0000148	Prbm.g_00012	Prar.g_00026
OG0000149	Prbm.g_00014	Prar.g_00024
OG0000150	Prbm.g_00015	Prar.g_00023
OG0000151	Prbm.g_00016	Prar.g_00022
OG0000152	Prbm.g_00017	Prar.g_00021
OG0000153	Prbm.g_00018	Prar.g_00020
OG0000154	Prbm.g_00019	Prar.g_00019
OG0000155	Prbm.g_00020	Prar.g_00018
OG0000156	Prbm.g_00021	Prar.g_00017
OG0000157	Prbm.g_00022	Prar.g_00016
OG0000158	Prbm.g_00024	Prar.g_00014
OG0000159	Prbm.g_00025	Prar.g_00013
OG0000160	Prbm.g_00026	Prar.g_00012
OG0000161	Prbm.g_00027	Prar.g_00011
OG0000162	Prbm.g_00028	Prar.g_00010
OG0000163	Prbm.g_00029	Prar.g_00009
OG0000164	Prbm.g_00032	Prar.g_00006
OG0000165	Prbm.g_00033	Prar.g_00002
OG0000166	Prbm.g_00034	Prar.g_00001
OG0000167	Prbm.g_00035	Prar.g_00594
OG0000168	Prbm.g_00049	Prar.g_00580
OG0000169	Prbm.g_00051	Prar.g_00578
OG0000170	Prbm.g_00052	Prar.g_00577
OG0000171	Prbm.g_00053	Prar.g_00576
OG0000172	Prbm.g_00054	Prar.g_00574
OG0000173	Prbm.g_00055	Prar.g_00573
OG0000174	Prbm.g_00056	Prar.g_00572
OG0000175	Prbm.g_00057	Prar.g_00571
OG0000176	Prbm.g_00059	Prar.g_00569
OG0000177	Prbm.g_00060	Prar.g_00568
OG0000178	Prbm.g_00061	Prar.g_00567
OG0000179	Prbm.g_00121	Prar.g_00554
OG0000180	Prbm.g_00122	Prar.g_00553
OG0000181	Prbm.g_00123	Prar.g_00552
OG0000182	Prbm.g_00126	Prar.g_00549
OG0000183	Prbm.g_00127	Prar.g_00548
OG0000184	Prbm.g_00130	Prar.g_00255
OG0000185	Prbm.g_00134	Prar.g_00251
OG0000186	Prbm.g_00135	Prar.g_00250
OG0000187	Prbm.g_00136	Prar.g_00249
OG0000188	Prbm.g_00137	Prar.g_00248
OG0000189	Prbm.g_00138	Prar.g_00247
OG0000190	Prbm.g_00139	Prar.g_00246
OG0000191	Prbm.g_00140	Prar.g_00245
OG0000192	Prbm.g_00141	Prar.g_00244
OG0000193	Prbm.g_00142	Prar.g_00243
OG0000194	Prbm.g_00143	Prar.g_00242
OG0000195	Prbm.g_00145	Prar.g_00240
OG0000196	Prbm.g_00146	Prar.g_00239
OG0000197	Prbm.g_00147	Prar.g_00238
OG0000198	Prbm.g_00148	Prar.g_00237
OG0000199	Prbm.g_00151	Prar.g_00234
OG0000200	Prbm.g_00152	Prar.g_00233
OG0000201	Prbm.g_00153	Prar.g_00232
OG0000202	Prbm.g_00154	Prar.g_00231
OG0000203	Prbm.g_00155	Prar.g_00230
OG0000204	Prbm.g_00156	Prar.g_00229
OG0000205	Prbm.g_00158	Prar.g_00228
OG0000206	Prbm.g_00159	Prar.g_00227
OG0000207	Prbm.g_00160	Prar.g_00226
OG0000208	Prbm.g_00161	Prar.g_00225
OG0000209	Prbm.g_00162	Prar.g_00224
OG0000210	Prbm.g_00163	Prar.g_00222
OG0000211	Prbm.g_00164	Prar.g_00221
OG0000212	Prbm.g_00165	Prar.g_00220
OG0000213	Prbm.g_00166	Prar.g_00219
OG0000214	Prbm.g_00170	Prar.g_00217
OG0000215	Prbm.g_00171	Prar.g_00216
OG0000216	Prbm.g_00173	Prar.g_00214
OG0000217	Prbm.g_00175	Prar.g_00213
OG0000218	Prbm.g_00176	Prar.g_00212
OG0000219	Prbm.g_00177	Prar.g_00211
OG0000220	Prbm.g_00179	Prar.g_00208
OG0000221	Prbm.g_00182	Prar.g_00206
OG0000222	Prbm.g_00183	Prar.g_00205
OG0000223	Prbm.g_00184	Prar.g_00204
OG0000224	Prbm.g_00187	Prar.g_00201
OG0000225	Prbm.g_00189	Prar.g_00199
OG0000226	Prbm.g_00191	Prar.g_00198
OG0000227	Prbm.g_00192	Prar.g_00197
OG0000228	Prbm.g_00193	Prar.g_00196
OG0000229	Prbm.g_00194	Prar.g_00195
OG0000230	Prbm.g_00195	Prar.g_00194
OG0000231	Prbm.g_01096	Prar.g_00192
OG0000232	Prbm.g_00196	Prar.g_00191
OG0000233	Prbm.g_00199	Prar.g_00188
OG0000234	Prbm.g_00202	Prar.g_00186
OG0000235	Prbm.g_00204	Prar.g_00182
OG0000236	Prbm.g_00205	Prar.g_00181
OG0000237	Prbm.g_00206	Prar.g_00180
OG0000238	Prbm.g_00207	Prar.g_00179
OG0000239	Prbm.g_00208	Prar.g_00178
OG0000240	Prbm.g_00210	Prar.g_00176
OG0000241	Prbm.g_00211	Prar.g_00175
OG0000242	Prbm.g_00212	Prar.g_00174
OG0000243	Prbm.g_00213	Prar.g_00173
OG0000244	Prbm.g_00214	Prar.g_00172
OG0000245	Prbm.g_00215	Prar.g_00171
OG0000246	Prbm.g_00217	Prar.g_00169
OG0000247	Prbm.g_00218	Prar.g_00168
OG0000248	Prbm.g_00219	Prar.g_00167
OG0000249	Prbm.g_00220	Prar.g_00166
OG0000250	Prbm.g_00221	Prar.g_00165
OG0000251	Prbm.g_00222	Prar.g_00164
OG0000252	Prbm.g_00223	Prar.g_00163
OG0000253	Prbm.g_00224	Prar.g_00162
OG0000254	Prbm.g_00226	Prar.g_00160
OG0000255	Prbm.g_00227	Prar.g_00159
OG0000256	Prbm.g_00230	Prar.g_00156
OG0000257	Prbm.g_00232	Prar.g_00154
OG0000258	Prbm.g_00233	Prar.g_00153
OG0000259	Prbm.g_00234	Prar.g_00152
OG0000260	Prbm.g_00235	Prar.g_00151
OG0000261	Prbm.g_00236	Prar.g_00150
OG0000262	Prbm.g_00237	Prar.g_00149
OG0000263	Prbm.g_00238	Prar.g_00148
OG0000264	Prbm.g_00240	Prar.g_00146
OG0000265	Prbm.g_00241	Prar.g_00145
OG0000266	Prbm.g_00242	Prar.g_00144
OG0000267	Prbm.g_00244	Prar.g_00142
OG0000268	Prbm.g_00246	Prar.g_00141
OG0000269	Prbm.g_00247	Prar.g_00140
OG0000270	Prbm.g_00248	Prar.g_00139
OG0000271	Prbm.g_00249	Prar.g_00138
OG0000272	Prbm.g_00250	Prar.g_00137
OG0000273	Prbm.g_00251	Prar.g_00136
OG0000274	Prbm.g_00252	Prar.g_00135
OG0000275	Prbm.g_00253	Prar.g_00134
OG0000276	Prbm.g_00254	Prar.g_00133
OG0000277	Prbm.g_00255	Prar.g_00132
OG0000278	Prbm.g_00256	Prar.g_00131
OG0000279	Prbm.g_00257	Prar.g_00130
OG0000280	Prbm.g_00258	Prar.g_00129
OG0000281	Prbm.g_00260	Prar.g_00127
OG0000282	Prbm.g_00261	Prar.g_00126
OG0000283	Prbm.g_00263	Prar.g_00123
OG0000284	Prbm.g_00264	Prar.g_00122
OG0000285	Prbm.g_00265	Prar.g_00121
OG0000286	Prbm.g_00267	Prar.g_00119
OG0000287	Prbm.g_00268	Prar.g_00118
OG0000288	Prbm.g_00269	Prar.g_00117
OG0000289	Prbm.g_00270	Prar.g_00116
OG0000290	Prbm.g_00271	Prar.g_00115
OG0000291	Prbm.g_00272	Prar.g_00114
OG0000292	Prbm.g_00273	Prar.g_00113
OG0000293	Prbm.g_00274	Prar.g_00112
OG0000294	Prbm.g_00275	Prar.g_00111
OG0000295	Prbm.g_00276	Prar.g_00110
OG0000296	Prbm.g_00277	Prar.g_00109
OG0000297	Prbm.g_00278	Prar.g_00108
OG0000298	Prbm.g_00279	Prar.g_00107
OG0000299	Prbm.g_00280	Prar.g_00106
OG0000300	Prbm.g_00281	Prar.g_00105
OG0000301	Prbm.g_00282	Prar.g_00104
OG0000302	Prbm.g_00283	Prar.g_00103
OG0000303	Prbm.g_00284	Prar.g_00102
OG0000304	Prbm.g_00285	Prar.g_00101
OG0000305	Prbm.g_00286	Prar.g_00100
OG0000306	Prbm.g_00287	Prar.g_00099
OG0000307	Prbm.g_00288	Prar.g_00098
OG0000308	Prbm.g_00289	Prar.g_00097
OG0000309	Prbm.g_00290	Prar.g_00096
OG0000310	Prbm.g_00291	Prar.g_00095
OG0000311	Prbm.g_00293	Prar.g_00094
OG0000312	Prbm.g_00295	Prar.g_00092
OG0000313	Prbm.g_00296	Prar.g_00091
OG0000314	Prbm.g_00300	Prar.g_00088
OG0000315	Prbm.g_00301	Prar.g_00087
OG0000316	Prbm.g_00303	Prar.g_00085
OG0000317	Prbm.g_00305	Prar.g_00083
OG0000318	Prbm.g_00306	Prar.g_00082
OG0000319	Prbm.g_00307	Prar.g_00081
OG0000320	Prbm.g_00308	Prar.g_00080
OG0000321	Prbm.g_00309	Prar.g_00077
OG0000322	Prbm.g_00312	Prar.g_00334
OG0000323	Prbm.g_00313	Prar.g_00333
OG0000324	Prbm.g_00317	Prar.g_00330
OG0000325	Prbm.g_00318	Prar.g_00328
OG0000326	Prbm.g_00319	Prar.g_00327
OG0000327	Prbm.g_00320	Prar.g_00325
OG0000328	Prbm.g_00321	Prar.g_00324
OG0000329	Prbm.g_00322	Prar.g_00323
OG0000330	Prbm.g_00323	Prar.g_00322
OG0000331	Prbm.g_00324	Prar.g_00321
OG0000332	Prbm.g_00325	Prar.g_00320
OG0000333	Prbm.g_00326	Prar.g_00319
OG0000334	Prbm.g_00327	Prar.g_00318
OG0000335	Prbm.g_00328	Prar.g_00317
OG0000336	Prbm.g_00330	Prar.g_00316
OG0000337	Prbm.g_00332	Prar.g_00312
OG0000338	Prbm.g_00333	Prar.g_00311
OG0000339	Prbm.g_00334	Prar.g_00310
OG0000340	Prbm.g_00335	Prar.g_00309
OG0000341	Prbm.g_00339	Prar.g_00305
OG0000342	Prbm.g_00340	Prar.g_00304
OG0000343	Prbm.g_00342	Prar.g_00302
OG0000344	Prbm.g_00343	Prar.g_00301
OG0000345	Prbm.g_00344	Prar.g_00300
OG0000346	Prbm.g_00345	Prar.g_00299
OG0000347	Prbm.g_00346	Prar.g_00298
OG0000348	Prbm.g_00347	Prar.g_00297
OG0000349	Prbm.g_00348	Prar.g_00296
OG0000350	Prbm.g_00349	Prar.g_00295
OG0000351	Prbm.g_00351	Prar.g_00292
OG0000352	Prbm.g_00354	Prar.g_00289
OG0000353	Prbm.g_00355	Prar.g_00288
OG0000354	Prbm.g_00356	Prar.g_00287
OG0000355	Prbm.g_00357	Prar.g_00286
OG0000356	Prbm.g_00358	Prar.g_00285
OG0000357	Prbm.g_00359	Prar.g_00284
OG0000358	Prbm.g_00360	Prar.g_00283
OG0000359	Prbm.g_00361	Prar.g_00282
OG0000360	Prbm.g_00364	Prar.g_00279
OG0000361	Prbm.g_00365	Prar.g_00278
OG0000362	Prbm.g_00366	Prar.g_00277
OG0000363	Prbm.g_00367	Prar.g_00276
OG0000364	Prbm.g_00368	Prar.g_00275
OG0000365	Prbm.g_00369	Prar.g_00274
OG0000366	Prbm.g_00370	Prar.g_00273
OG0000367	Prbm.g_00371	Prar.g_00272
OG0000368	Prbm.g_00372	Prar.g_00271
OG0000369	Prbm.g_00373	Prar.g_00270
OG0000370	Prbm.g_00374	Prar.g_00269
OG0000371	Prbm.g_00375	Prar.g_00268
OG0000372	Prbm.g_00376	Prar.g_00266
OG0000373	Prbm.g_00378	Prar.g_00264
OG0000374	Prbm.g_00379	Prar.g_00263
OG0000375	Prbm.g_00380	Prar.g_00262
OG0000376	Prbm.g_00382	Prar.g_00260
OG0000377	Prbm.g_00388	Prar.g_00259
OG0000378	Prbm.g_00768	Prar.g_00258
OG0000379	Prbm.g_00400	Prar.g_00394
OG0000380	Prbm.g_00402	Prar.g_00395
OG0000381	Prbm.g_00403	Prar.g_00396
OG0000382	Prbm.g_00404	Prar.g_00398
OG0000383	Prbm.g_00407	Prar.g_00401
OG0000384	Prbm.g_00408	Prar.g_00402
OG0000385	Prbm.g_00410	Prar.g_00405
OG0000386	Prbm.g_00411	Prar.g_00406
OG0000387	Prbm.g_00412	Prar.g_00407
OG0000388	Prbm.g_00413	Prar.g_00408
OG0000389	Prbm.g_00414	Prar.g_00409
OG0000390	Prbm.g_00415	Prar.g_00410
OG0000391	Prbm.g_00416	Prar.g_00411
OG0000392	Prbm.g_00417	Prar.g_00412
OG0000393	Prbm.g_00422	Prar.g_00415
OG0000394	Prbm.g_00423	Prar.g_00416
OG0000395	Prbm.g_00426	Prar.g_00418
OG0000396	Prbm.g_00866	Prar.g_00419
OG0000397	Prbm.g_01088	Prar.g_00432
OG0000398	Prbm.g_01121	Prar.g_00440
OG0000399	Prbm.g_01353	Prar.g_00441
OG0000400	Prbm.g_01949	Prar.g_00446
OG0000401	Prbm.g_00440	Prar.g_00479
OG0000402	Prbm.g_00441	Prar.g_00480
OG0000403	Prbm.g_00442	Prar.g_00481
OG0000404	Prbm.g_00445	Prar.g_00483
OG0000405	Prbm.g_00446	Prar.g_00484
OG0000406	Prbm.g_00448	Prar.g_00486
OG0000407	Prbm.g_00449	Prar.g_00487
OG0000408	Prbm.g_00450	Prar.g_00488
OG0000409	Prbm.g_00451	Prar.g_00489
OG0000410	Prbm.g_00452	Prar.g_00490
OG0000411	Prbm.g_00453	Prar.g_00491
OG0000412	Prbm.g_00454	Prar.g_00492
OG0000413	Prbm.g_00455	Prar.g_00493
OG0000414	Prbm.g_00456	Prar.g_00494
OG0000415	Prbm.g_00457	Prar.g_00495
OG0000416	Prbm.g_00458	Prar.g_00496
OG0000417	Prbm.g_00459	Prar.g_00497
OG0000418	Prbm.g_00460	Prar.g_00498
OG0000419	Prbm.g_00461	Prar.g_00499
OG0000420	Prbm.g_00462	Prar.g_00500
OG0000421	Prbm.g_00480	Prar.g_00501
OG0000422	Prbm.g_00482	Prar.g_00503
OG0000423	Prbm.g_00483	Prar.g_00504
OG0000424	Prbm.g_00484	Prar.g_00506
OG0000425	Prbm.g_00490	Prar.g_00510
OG0000426	Prbm.g_00491	Prar.g_00511
OG0000427	Prbm.g_00492	Prar.g_00512
OG0000428	Prbm.g_00494	Prar.g_00513
OG0000429	Prbm.g_00495	Prar.g_00514
OG0000430	Prbm.g_00497	Prar.g_00521
OG0000431	Prbm.g_00498	Prar.g_00523
OG0000432	Prbm.g_00499	Prar.g_00524
OG0000433	Prbm.g_00502	Prar.g_00527
OG0000434	Prbm.g_00504	Prar.g_00528
OG0000435	Prbm.g_00505	Prar.g_00529
OG0000436	Prbm.g_00507	Prar.g_00531
OG0000437	Prbm.g_00509	Prar.g_00533
OG0000438	Prbm.g_00510	Prar.g_00534
OG0000439	Prbm.g_00511	Prar.g_00535
OG0000440	Prbm.g_00512	Prar.g_00537
OG0000441	Prbm.g_00513	Prar.g_00538
OG0000442	Prbm.g_00514	Prar.g_00539
OG0000443	Prbm.g_00515	Prar.g_00540
OG0000444	Prbm.g_00516	Prar.g_00541
OG0000445	Prbm.g_00517	Prar.g_00542
OG0000446	Prbm.g_00518	Prar.g_00543
OG0000447	Prbm.g_00519	Prar.g_00544
OG0000448	Prbm.g_00520	Prar.g_00545
OG0000449	Prbm.g_00534	Prar.g_01331
OG0000450	Prbm.g_00535	Prar.g_01332
OG0000451	Prbm.g_00536	Prar.g_01333
OG0000452	Prbm.g_00537	Prar.g_01334
OG0000453	Prbm.g_00539	Prar.g_01336
OG0000454	Prbm.g_00540	Prar.g_01337
OG0000455	Prbm.g_00541	Prar.g_01338
OG0000456	Prbm.g_00542	Prar.g_01339
OG0000457	Prbm.g_00544	Prar.g_01341
OG0000458	Prbm.g_00546	Prar.g_01343
OG0000459	Prbm.g_00547	Prar.g_01344
OG0000460	Prbm.g_00549	Prar.g_01345
OG0000461	Prbm.g_00550	Prar.g_01346
OG0000462	Prbm.g_00551	Prar.g_01347
OG0000463	Prbm.g_00553	Prar.g_01348
OG0000464	Prbm.g_00557	Prar.g_01353
OG0000465	Prbm.g_00558	Prar.g_01355
OG0000466	Prbm.g_00559	Prar.g_01356
OG0000467	Prbm.g_00560	Prar.g_01357
OG0000468	Prbm.g_00561	Prar.g_01358
OG0000469	Prbm.g_00562	Prar.g_01359
OG0000470	Prbm.g_00563	Prar.g_01360
OG0000471	Prbm.g_00564	Prar.g_01361
OG0000472	Prbm.g_00567	Prar.g_01364
OG0000473	Prbm.g_00568	Prar.g_01365
OG0000474	Prbm.g_00569	Prar.g_01366
OG0000475	Prbm.g_00570	Prar.g_01367
OG0000476	Prbm.g_00571	Prar.g_01368
OG0000477	Prbm.g_00573	Prar.g_01370
OG0000478	Prbm.g_00574	Prar.g_01371
OG0000479	Prbm.g_00575	Prar.g_01372
OG0000480	Prbm.g_00577	Prar.g_01374
OG0000481	Prbm.g_00578	Prar.g_01375
OG0000482	Prbm.g_00579	Prar.g_01376
OG0000483	Prbm.g_00580	Prar.g_01377
OG0000484	Prbm.g_00581	Prar.g_01378
OG0000485	Prbm.g_00582	Prar.g_01379
OG0000486	Prbm.g_00583	Prar.g_01380
OG0000487	Prbm.g_00584	Prar.g_01381
OG0000488	Prbm.g_00586	Prar.g_01383
OG0000489	Prbm.g_00587	Prar.g_01384
OG0000490	Prbm.g_00588	Prar.g_01385
OG0000491	Prbm.g_00589	Prar.g_01386
OG0000492	Prbm.g_00590	Prar.g_01387
OG0000493	Prbm.g_00591	Prar.g_01388
OG0000494	Prbm.g_00593	Prar.g_01390
OG0000495	Prbm.g_00594	Prar.g_01391
OG0000496	Prbm.g_00595	Prar.g_01392
OG0000497	Prbm.g_00596	Prar.g_01393
OG0000498	Prbm.g_00597	Prar.g_01394
OG0000499	Prbm.g_00599	Prar.g_01396
OG0000500	Prbm.g_00600	Prar.g_01397
OG0000501	Prbm.g_00602	Prar.g_01399
OG0000502	Prbm.g_00603	Prar.g_01400
OG0000503	Prbm.g_00604	Prar.g_01401
OG0000504	Prbm.g_00605	Prar.g_01402
OG0000505	Prbm.g_00606	Prar.g_01403
OG0000506	Prbm.g_00607	Prar.g_01404
OG0000507	Prbm.g_00608	Prar.g_01405
OG0000508	Prbm.g_00609	Prar.g_01407
OG0000509	Prbm.g_00610	Prar.g_01408
OG0000510	Prbm.g_00611	Prar.g_01409
OG0000511	Prbm.g_00612	Prar.g_01410
OG0000512	Prbm.g_00613	Prar.g_01411
OG0000513	Prbm.g_00614	Prar.g_01412
OG0000514	Prbm.g_00615	Prar.g_01413
OG0000515	Prbm.g_00616	Prar.g_01415
OG0000516	Prbm.g_00617	Prar.g_01416
OG0000517	Prbm.g_00618	Prar.g_01417
OG0000518	Prbm.g_00620	Prar.g_01420
OG0000519	Prbm.g_00621	Prar.g_01422
OG0000520	Prbm.g_00624	Prar.g_01423
OG0000521	Prbm.g_00623	Prar.g_01424
OG0000522	Prbm.g_00625	Prar.g_01425
OG0000523	Prbm.g_00626	Prar.g_01426
OG0000524	Prbm.g_00627	Prar.g_01427
OG0000525	Prbm.g_00629	Prar.g_01429
OG0000526	Prbm.g_00630	Prar.g_01430
OG0000527	Prbm.g_00631	Prar.g_01431
OG0000528	Prbm.g_00632	Prar.g_01432
OG0000529	Prbm.g_00633	Prar.g_01433
OG0000530	Prbm.g_00634	Prar.g_01434
OG0000531	Prbm.g_00636	Prar.g_01435
OG0000532	Prbm.g_00637	Prar.g_01436
OG0000533	Prbm.g_00638	Prar.g_01437
OG0000534	Prbm.g_00639	Prar.g_01438
OG0000535	Prbm.g_00640	Prar.g_01439
OG0000536	Prbm.g_00641	Prar.g_01440
OG0000537	Prbm.g_00642	Prar.g_01441
OG0000538	Prbm.g_00643	Prar.g_01442
OG0000539	Prbm.g_00644	Prar.g_01443
OG0000540	Prbm.g_00645	Prar.g_01444
