Orthogroup	Prbm	Praa
OG0000108	Prbm.g_00576	Praa.g_00544
OG0000109	Prbm.g_00585	Praa.g_00553
OG0000110	Prbm.g_00601	Praa.g_00569
OG0000111	Prbm.g_00682	Praa.g_00651
OG0000112	Prbm.g_00683	Praa.g_00652
OG0000113	Prbm.g_00766	Praa.g_00733
OG0000114	Prbm.g_00812	Praa.g_00801
OG0000115	Prbm.g_00988	Praa.g_00964
OG0000116	Prbm.g_00992	Praa.g_00968
OG0000117	Prbm.g_01061	Praa.g_01036
OG0000118	Prbm.g_01210	Praa.g_01089
OG0000119	Prbm.g_01913	Praa.g_01130
OG0000120	Prbm.g_01542	Praa.g_01165
OG0000121	Prbm.g_01519	Praa.g_01184
OG0000122	Prbm.g_01499	Praa.g_01203
OG0000123	Prbm.g_01489	Praa.g_01216
OG0000124	Prbm.g_01054	Praa.g_01224
OG0000125	Prbm.g_01622	Praa.g_01330
OG0000126	Prbm.g_01660	Praa.g_01366
OG0000127	Prbm.g_01696	Praa.g_01463
OG0000128	Prbm.g_01711	Praa.g_01477
OG0000129	Prbm.g_01745	Praa.g_01513
OG0000130	Prbm.g_01839	Praa.g_01633
OG0000131	Prbm.g_01876	Praa.g_01672
OG0000132	Prbm.g_01878	Praa.g_01675
OG0000133	Prbm.g_01991	Praa.g_01734
OG0000134	Prbm.g_02027	Praa.g_01770
OG0000135	Prbm.g_02029	Praa.g_01772
OG0000136	Prbm.g_02079	Praa.g_01817
OG0000137	Prbm.g_02114	Praa.g_01849
OG0000138	Prbm.g_02176	Praa.g_01885
OG0000139	Prbm.g_02212	Praa.g_01911
OG0000140	Prbm.g_00001	Praa.g_00001
OG0000141	Prbm.g_00002	Praa.g_00002
OG0000142	Prbm.g_00004	Praa.g_00004
OG0000143	Prbm.g_00005	Praa.g_00005
OG0000144	Prbm.g_00007	Praa.g_00007
OG0000145	Prbm.g_00008	Praa.g_00008
OG0000146	Prbm.g_00009	Praa.g_00009
OG0000147	Prbm.g_00010	Praa.g_00010
OG0000148	Prbm.g_00012	Praa.g_00012
OG0000149	Prbm.g_00014	Praa.g_00014
OG0000150	Prbm.g_00015	Praa.g_00015
OG0000151	Prbm.g_00016	Praa.g_00016
OG0000152	Prbm.g_00017	Praa.g_00017
OG0000153	Prbm.g_00018	Praa.g_00018
OG0000154	Prbm.g_00019	Praa.g_00019
OG0000155	Prbm.g_00020	Praa.g_00020
OG0000156	Prbm.g_00021	Praa.g_00021
OG0000157	Prbm.g_00022	Praa.g_00022
OG0000158	Prbm.g_00024	Praa.g_00024
OG0000159	Prbm.g_00025	Praa.g_00025
OG0000160	Prbm.g_00026	Praa.g_00026
OG0000161	Prbm.g_00027	Praa.g_00027
OG0000162	Prbm.g_00028	Praa.g_00028
OG0000163	Prbm.g_00029	Praa.g_00029
OG0000164	Prbm.g_00032	Praa.g_00032
OG0000165	Prbm.g_00033	Praa.g_00035
OG0000166	Prbm.g_00034	Praa.g_00036
OG0000167	Prbm.g_00035	Praa.g_00037
OG0000168	Prbm.g_00049	Praa.g_00040
OG0000169	Prbm.g_00051	Praa.g_00042
OG0000170	Prbm.g_00052	Praa.g_00043
OG0000171	Prbm.g_00053	Praa.g_00044
OG0000172	Prbm.g_00054	Praa.g_00045
OG0000173	Prbm.g_00055	Praa.g_00046
OG0000174	Prbm.g_00056	Praa.g_00047
OG0000175	Prbm.g_00057	Praa.g_00048
OG0000176	Prbm.g_00059	Praa.g_00050
OG0000177	Prbm.g_00060	Praa.g_00051
OG0000178	Prbm.g_00061	Praa.g_00052
OG0000179	Prbm.g_00121	Praa.g_00064
OG0000180	Prbm.g_00122	Praa.g_00065
OG0000181	Prbm.g_00123	Praa.g_00066
OG0000182	Prbm.g_00126	Praa.g_00069
OG0000183	Prbm.g_00127	Praa.g_00070
OG0000184	Prbm.g_00130	Praa.g_00073
OG0000185	Prbm.g_00134	Praa.g_00077
OG0000186	Prbm.g_00135	Praa.g_00078
OG0000187	Prbm.g_00136	Praa.g_00079
OG0000188	Prbm.g_00137	Praa.g_00080
OG0000189	Prbm.g_00138	Praa.g_00081
OG0000190	Prbm.g_00139	Praa.g_00082
OG0000191	Prbm.g_00140	Praa.g_00083
OG0000192	Prbm.g_00141	Praa.g_00084
OG0000193	Prbm.g_00142	Praa.g_00085
OG0000194	Prbm.g_00143	Praa.g_00086
OG0000195	Prbm.g_00145	Praa.g_00088
OG0000196	Prbm.g_00146	Praa.g_00089
OG0000197	Prbm.g_00147	Praa.g_00090
OG0000198	Prbm.g_00148	Praa.g_00091
OG0000199	Prbm.g_00151	Praa.g_00094
OG0000200	Prbm.g_00152	Praa.g_00095
OG0000201	Prbm.g_00153	Praa.g_00096
OG0000202	Prbm.g_00154	Praa.g_00097
OG0000203	Prbm.g_00155	Praa.g_00098
OG0000204	Prbm.g_00156	Praa.g_00099
OG0000205	Prbm.g_00158	Praa.g_00100
OG0000206	Prbm.g_00159	Praa.g_00101
OG0000207	Prbm.g_00160	Praa.g_00102
OG0000208	Prbm.g_00161	Praa.g_00103
OG0000209	Prbm.g_00162	Praa.g_00104
OG0000210	Prbm.g_00163	Praa.g_00106
OG0000211	Prbm.g_00164	Praa.g_00107
OG0000212	Prbm.g_00165	Praa.g_00108
OG0000213	Prbm.g_00166	Praa.g_00109
OG0000214	Prbm.g_00170	Praa.g_00111
OG0000215	Prbm.g_00171	Praa.g_00112
OG0000216	Prbm.g_00173	Praa.g_00114
OG0000217	Prbm.g_00175	Praa.g_00115
OG0000218	Prbm.g_00176	Praa.g_00116
OG0000219	Prbm.g_00177	Praa.g_00117
OG0000220	Prbm.g_00179	Praa.g_00120
OG0000221	Prbm.g_00182	Praa.g_00122
OG0000222	Prbm.g_00183	Praa.g_00123
OG0000223	Prbm.g_00184	Praa.g_00124
OG0000224	Prbm.g_00187	Praa.g_00127
OG0000225	Prbm.g_00189	Praa.g_00129
OG0000226	Prbm.g_00191	Praa.g_00130
OG0000227	Prbm.g_00192	Praa.g_00131
OG0000228	Prbm.g_00193	Praa.g_00132
OG0000229	Prbm.g_00194	Praa.g_00133
OG0000230	Prbm.g_00195	Praa.g_00134
OG0000231	Prbm.g_01096	Praa.g_00136
OG0000232	Prbm.g_00196	Praa.g_00137
OG0000233	Prbm.g_00199	Praa.g_00140
OG0000234	Prbm.g_00202	Praa.g_00142
OG0000235	Prbm.g_00204	Praa.g_00145
OG0000236	Prbm.g_00205	Praa.g_00146
OG0000237	Prbm.g_00206	Praa.g_00147
OG0000238	Prbm.g_00207	Praa.g_00148
OG0000239	Prbm.g_00208	Praa.g_00149
OG0000240	Prbm.g_00210	Praa.g_00151
OG0000241	Prbm.g_00211	Praa.g_00152
OG0000242	Prbm.g_00212	Praa.g_00153
OG0000243	Prbm.g_00213	Praa.g_00154
OG0000244	Prbm.g_00214	Praa.g_00155
OG0000245	Prbm.g_00215	Praa.g_00156
OG0000246	Prbm.g_00217	Praa.g_00158
OG0000247	Prbm.g_00218	Praa.g_00159
OG0000248	Prbm.g_00219	Praa.g_00160
OG0000249	Prbm.g_00220	Praa.g_00161
OG0000250	Prbm.g_00221	Praa.g_00162
OG0000251	Prbm.g_00222	Praa.g_00163
OG0000252	Prbm.g_00223	Praa.g_00164
OG0000253	Prbm.g_00224	Praa.g_00165
OG0000254	Prbm.g_00226	Praa.g_00167
OG0000255	Prbm.g_00227	Praa.g_00168
OG0000256	Prbm.g_00230	Praa.g_00171
OG0000257	Prbm.g_00232	Praa.g_00173
OG0000258	Prbm.g_00233	Praa.g_00174
OG0000259	Prbm.g_00234	Praa.g_00175
OG0000260	Prbm.g_00235	Praa.g_00176
OG0000261	Prbm.g_00236	Praa.g_00177
OG0000262	Prbm.g_00237	Praa.g_00178
OG0000263	Prbm.g_00238	Praa.g_00179
OG0000264	Prbm.g_00240	Praa.g_00181
OG0000265	Prbm.g_00241	Praa.g_00182
OG0000266	Prbm.g_00242	Praa.g_00183
OG0000267	Prbm.g_00244	Praa.g_00185
OG0000268	Prbm.g_00246	Praa.g_00186
OG0000269	Prbm.g_00247	Praa.g_00187
OG0000270	Prbm.g_00248	Praa.g_00188
OG0000271	Prbm.g_00249	Praa.g_00189
OG0000272	Prbm.g_00250	Praa.g_00190
OG0000273	Prbm.g_00251	Praa.g_00191
OG0000274	Prbm.g_00252	Praa.g_00192
OG0000275	Prbm.g_00253	Praa.g_00193
OG0000276	Prbm.g_00254	Praa.g_00194
OG0000277	Prbm.g_00255	Praa.g_00195
OG0000278	Prbm.g_00256	Praa.g_00196
OG0000279	Prbm.g_00257	Praa.g_00197
OG0000280	Prbm.g_00258	Praa.g_00198
OG0000281	Prbm.g_00260	Praa.g_00200
OG0000282	Prbm.g_00261	Praa.g_00201
OG0000283	Prbm.g_00263	Praa.g_00204
OG0000284	Prbm.g_00264	Praa.g_00205
OG0000285	Prbm.g_00265	Praa.g_00206
OG0000286	Prbm.g_00267	Praa.g_00208
OG0000287	Prbm.g_00268	Praa.g_00209
OG0000288	Prbm.g_00269	Praa.g_00210
OG0000289	Prbm.g_00270	Praa.g_00211
OG0000290	Prbm.g_00271	Praa.g_00212
OG0000291	Prbm.g_00272	Praa.g_00213
OG0000292	Prbm.g_00273	Praa.g_00214
OG0000293	Prbm.g_00274	Praa.g_00215
OG0000294	Prbm.g_00275	Praa.g_00216
OG0000295	Prbm.g_00276	Praa.g_00217
OG0000296	Prbm.g_00277	Praa.g_00218
OG0000297	Prbm.g_00278	Praa.g_00219
OG0000298	Prbm.g_00279	Praa.g_00220
OG0000299	Prbm.g_00280	Praa.g_00221
OG0000300	Prbm.g_00281	Praa.g_00222
OG0000301	Prbm.g_00282	Praa.g_00223
OG0000302	Prbm.g_00283	Praa.g_00224
OG0000303	Prbm.g_00284	Praa.g_00225
OG0000304	Prbm.g_00285	Praa.g_00226
OG0000305	Prbm.g_00286	Praa.g_00227
OG0000306	Prbm.g_00287	Praa.g_00228
OG0000307	Prbm.g_00288	Praa.g_00229
OG0000308	Prbm.g_00289	Praa.g_00230
OG0000309	Prbm.g_00290	Praa.g_00231
OG0000310	Prbm.g_00291	Praa.g_00232
OG0000311	Prbm.g_00293	Praa.g_00233
OG0000312	Prbm.g_00295	Praa.g_00235
OG0000313	Prbm.g_00296	Praa.g_00236
OG0000314	Prbm.g_00300	Praa.g_00239
OG0000315	Prbm.g_00301	Praa.g_00240
OG0000316	Prbm.g_00303	Praa.g_00242
OG0000317	Prbm.g_00305	Praa.g_00244
OG0000318	Prbm.g_00306	Praa.g_00245
OG0000319	Prbm.g_00307	Praa.g_00246
OG0000320	Prbm.g_00308	Praa.g_00247
OG0000321	Prbm.g_00309	Praa.g_00250
OG0000322	Prbm.g_00312	Praa.g_00253
OG0000323	Prbm.g_00313	Praa.g_00254
OG0000324	Prbm.g_00317	Praa.g_00257
OG0000325	Prbm.g_00318	Praa.g_00259
OG0000326	Prbm.g_00319	Praa.g_00260
OG0000327	Prbm.g_00320	Praa.g_00262
OG0000328	Prbm.g_00321	Praa.g_00263
OG0000329	Prbm.g_00322	Praa.g_00264
OG0000330	Prbm.g_00323	Praa.g_00265
OG0000331	Prbm.g_00324	Praa.g_00266
OG0000332	Prbm.g_00325	Praa.g_00267
OG0000333	Prbm.g_00326	Praa.g_00268
OG0000334	Prbm.g_00327	Praa.g_00269
OG0000335	Prbm.g_00328	Praa.g_00270
OG0000336	Prbm.g_00330	Praa.g_00271
OG0000337	Prbm.g_00332	Praa.g_00275
OG0000338	Prbm.g_00333	Praa.g_00276
OG0000339	Prbm.g_00334	Praa.g_00277
OG0000340	Prbm.g_00335	Praa.g_00278
OG0000341	Prbm.g_00339	Praa.g_00282
OG0000342	Prbm.g_00340	Praa.g_00283
OG0000343	Prbm.g_00342	Praa.g_00285
OG0000344	Prbm.g_00343	Praa.g_00286
OG0000345	Prbm.g_00344	Praa.g_00287
OG0000346	Prbm.g_00345	Praa.g_00288
OG0000347	Prbm.g_00346	Praa.g_00289
OG0000348	Prbm.g_00347	Praa.g_00290
OG0000349	Prbm.g_00348	Praa.g_00291
OG0000350	Prbm.g_00349	Praa.g_00292
OG0000351	Prbm.g_00351	Praa.g_00295
OG0000352	Prbm.g_00354	Praa.g_00298
OG0000353	Prbm.g_00355	Praa.g_00299
OG0000354	Prbm.g_00356	Praa.g_00300
OG0000355	Prbm.g_00357	Praa.g_00301
OG0000356	Prbm.g_00358	Praa.g_00302
OG0000357	Prbm.g_00359	Praa.g_00303
OG0000358	Prbm.g_00360	Praa.g_00304
OG0000359	Prbm.g_00361	Praa.g_00305
OG0000360	Prbm.g_00364	Praa.g_00308
OG0000361	Prbm.g_00365	Praa.g_00309
OG0000362	Prbm.g_00366	Praa.g_00310
OG0000363	Prbm.g_00367	Praa.g_00311
OG0000364	Prbm.g_00368	Praa.g_00312
OG0000365	Prbm.g_00369	Praa.g_00313
OG0000366	Prbm.g_00370	Praa.g_00314
OG0000367	Prbm.g_00371	Praa.g_00315
OG0000368	Prbm.g_00372	Praa.g_00316
OG0000369	Prbm.g_00373	Praa.g_00317
OG0000370	Prbm.g_00374	Praa.g_00318
OG0000371	Prbm.g_00375	Praa.g_00319
OG0000372	Prbm.g_00376	Praa.g_00321
OG0000373	Prbm.g_00378	Praa.g_00323
OG0000374	Prbm.g_00379	Praa.g_00324
OG0000375	Prbm.g_00380	Praa.g_00325
OG0000376	Prbm.g_00382	Praa.g_00327
OG0000377	Prbm.g_00388	Praa.g_00328
OG0000378	Prbm.g_00768	Praa.g_00329
OG0000379	Prbm.g_00400	Praa.g_00334
OG0000380	Prbm.g_00402	Praa.g_00335
OG0000381	Prbm.g_00403	Praa.g_00336
OG0000382	Prbm.g_00404	Praa.g_00338
OG0000383	Prbm.g_00407	Praa.g_00340
OG0000384	Prbm.g_00408	Praa.g_00341
OG0000385	Prbm.g_00410	Praa.g_00344
OG0000386	Prbm.g_00411	Praa.g_00345
OG0000387	Prbm.g_00412	Praa.g_00346
OG0000388	Prbm.g_00413	Praa.g_00347
OG0000389	Prbm.g_00414	Praa.g_00348
OG0000390	Prbm.g_00415	Praa.g_00349
OG0000391	Prbm.g_00416	Praa.g_00350
OG0000392	Prbm.g_00417	Praa.g_00351
OG0000393	Prbm.g_00422	Praa.g_00354
OG0000394	Prbm.g_00423	Praa.g_00355
OG0000395	Prbm.g_00426	Praa.g_00357
OG0000396	Prbm.g_00866	Praa.g_00358
OG0000397	Prbm.g_01088	Praa.g_00370
OG0000398	Prbm.g_01121	Praa.g_00378
OG0000399	Prbm.g_01353	Praa.g_00379
OG0000400	Prbm.g_01949	Praa.g_00383
OG0000401	Prbm.g_00440	Praa.g_00431
OG0000402	Prbm.g_00441	Praa.g_00432
OG0000403	Prbm.g_00442	Praa.g_00433
OG0000404	Prbm.g_00445	Praa.g_00435
OG0000405	Prbm.g_00446	Praa.g_00436
OG0000406	Prbm.g_00448	Praa.g_00437
OG0000407	Prbm.g_00449	Praa.g_00438
OG0000408	Prbm.g_00450	Praa.g_00439
OG0000409	Prbm.g_00451	Praa.g_00440
OG0000410	Prbm.g_00452	Praa.g_00441
OG0000411	Prbm.g_00453	Praa.g_00442
OG0000412	Prbm.g_00454	Praa.g_00443
OG0000413	Prbm.g_00455	Praa.g_00444
OG0000414	Prbm.g_00456	Praa.g_00445
OG0000415	Prbm.g_00457	Praa.g_00446
OG0000416	Prbm.g_00458	Praa.g_00447
OG0000417	Prbm.g_00459	Praa.g_00448
OG0000418	Prbm.g_00460	Praa.g_00449
OG0000419	Prbm.g_00461	Praa.g_00450
OG0000420	Prbm.g_00462	Praa.g_00451
OG0000421	Prbm.g_00480	Praa.g_00452
OG0000422	Prbm.g_00482	Praa.g_00454
OG0000423	Prbm.g_00483	Praa.g_00455
OG0000424	Prbm.g_00484	Praa.g_00457
OG0000425	Prbm.g_00490	Praa.g_00461
OG0000426	Prbm.g_00491	Praa.g_00462
OG0000427	Prbm.g_00492	Praa.g_00463
OG0000428	Prbm.g_00494	Praa.g_00464
OG0000429	Prbm.g_00495	Praa.g_00465
OG0000430	Prbm.g_00497	Praa.g_00471
OG0000431	Prbm.g_00498	Praa.g_00473
OG0000432	Prbm.g_00499	Praa.g_00474
OG0000433	Prbm.g_00502	Praa.g_00477
OG0000434	Prbm.g_00504	Praa.g_00478
OG0000435	Prbm.g_00505	Praa.g_00479
OG0000436	Prbm.g_00507	Praa.g_00481
OG0000437	Prbm.g_00509	Praa.g_00483
OG0000438	Prbm.g_00510	Praa.g_00484
OG0000439	Prbm.g_00511	Praa.g_00485
OG0000440	Prbm.g_00512	Praa.g_00487
OG0000441	Prbm.g_00513	Praa.g_00488
OG0000442	Prbm.g_00514	Praa.g_00489
OG0000443	Prbm.g_00515	Praa.g_00490
OG0000444	Prbm.g_00516	Praa.g_00491
OG0000445	Prbm.g_00517	Praa.g_00492
OG0000446	Prbm.g_00518	Praa.g_00493
OG0000447	Prbm.g_00519	Praa.g_00494
OG0000448	Prbm.g_00520	Praa.g_00495
OG0000449	Prbm.g_00534	Praa.g_00500
OG0000450	Prbm.g_00535	Praa.g_00501
OG0000451	Prbm.g_00536	Praa.g_00502
OG0000452	Prbm.g_00537	Praa.g_00503
OG0000453	Prbm.g_00539	Praa.g_00505
OG0000454	Prbm.g_00540	Praa.g_00506
OG0000455	Prbm.g_00541	Praa.g_00507
OG0000456	Prbm.g_00542	Praa.g_00508
OG0000457	Prbm.g_00544	Praa.g_00510
OG0000458	Prbm.g_00546	Praa.g_00512
OG0000459	Prbm.g_00547	Praa.g_00513
OG0000460	Prbm.g_00549	Praa.g_00515
OG0000461	Prbm.g_00550	Praa.g_00516
OG0000462	Prbm.g_00551	Praa.g_00517
OG0000463	Prbm.g_00553	Praa.g_00518
OG0000464	Prbm.g_00557	Praa.g_00523
OG0000465	Prbm.g_00558	Praa.g_00525
OG0000466	Prbm.g_00559	Praa.g_00526
OG0000467	Prbm.g_00560	Praa.g_00527
OG0000468	Prbm.g_00561	Praa.g_00528
OG0000469	Prbm.g_00562	Praa.g_00529
OG0000470	Prbm.g_00563	Praa.g_00530
OG0000471	Prbm.g_00564	Praa.g_00531
OG0000472	Prbm.g_00567	Praa.g_00534
OG0000473	Prbm.g_00568	Praa.g_00535
OG0000474	Prbm.g_00569	Praa.g_00536
OG0000475	Prbm.g_00570	Praa.g_00537
OG0000476	Prbm.g_00571	Praa.g_00538
OG0000477	Prbm.g_00573	Praa.g_00540
OG0000478	Prbm.g_00574	Praa.g_00541
OG0000479	Prbm.g_00575	Praa.g_00543
OG0000480	Prbm.g_00577	Praa.g_00545
OG0000481	Prbm.g_00578	Praa.g_00546
OG0000482	Prbm.g_00579	Praa.g_00547
OG0000483	Prbm.g_00580	Praa.g_00548
OG0000484	Prbm.g_00581	Praa.g_00549
OG0000485	Prbm.g_00582	Praa.g_00550
OG0000486	Prbm.g_00583	Praa.g_00551
OG0000487	Prbm.g_00584	Praa.g_00552
OG0000488	Prbm.g_00586	Praa.g_00554
OG0000489	Prbm.g_00587	Praa.g_00555
OG0000490	Prbm.g_00588	Praa.g_00556
OG0000491	Prbm.g_00589	Praa.g_00557
OG0000492	Prbm.g_00590	Praa.g_00558
OG0000493	Prbm.g_00591	Praa.g_00559
OG0000494	Prbm.g_00593	Praa.g_00561
OG0000495	Prbm.g_00594	Praa.g_00562
OG0000496	Prbm.g_00595	Praa.g_00563
OG0000497	Prbm.g_00596	Praa.g_00564
OG0000498	Prbm.g_00597	Praa.g_00565
OG0000499	Prbm.g_00599	Praa.g_00567
OG0000500	Prbm.g_00600	Praa.g_00568
OG0000501	Prbm.g_00602	Praa.g_00570
OG0000502	Prbm.g_00603	Praa.g_00571
OG0000503	Prbm.g_00604	Praa.g_00572
OG0000504	Prbm.g_00605	Praa.g_00573
OG0000505	Prbm.g_00606	Praa.g_00574
OG0000506	Prbm.g_00607	Praa.g_00575
OG0000507	Prbm.g_00608	Praa.g_00576
OG0000508	Prbm.g_00609	Praa.g_00578
OG0000509	Prbm.g_00610	Praa.g_00579
OG0000510	Prbm.g_00611	Praa.g_00580
OG0000511	Prbm.g_00612	Praa.g_00581
OG0000512	Prbm.g_00613	Praa.g_00582
OG0000513	Prbm.g_00614	Praa.g_00583
OG0000514	Prbm.g_00615	Praa.g_00584
OG0000515	Prbm.g_00616	Praa.g_00586
OG0000516	Prbm.g_00617	Praa.g_00587
OG0000517	Prbm.g_00618	Praa.g_00588
OG0000518	Prbm.g_00620	Praa.g_00591
OG0000519	Prbm.g_00621	Praa.g_00592
OG0000520	Prbm.g_00624	Praa.g_00593
OG0000521	Prbm.g_00623	Praa.g_00594
OG0000522	Prbm.g_00625	Praa.g_00595
OG0000523	Prbm.g_00626	Praa.g_00596
OG0000524	Prbm.g_00627	Praa.g_00597
OG0000525	Prbm.g_00629	Praa.g_00599
OG0000526	Prbm.g_00630	Praa.g_00600
OG0000527	Prbm.g_00631	Praa.g_00601
OG0000528	Prbm.g_00632	Praa.g_00602
OG0000529	Prbm.g_00633	Praa.g_00603
OG0000530	Prbm.g_00634	Praa.g_00604
OG0000531	Prbm.g_00636	Praa.g_00605
OG0000532	Prbm.g_00637	Praa.g_00606
OG0000533	Prbm.g_00638	Praa.g_00607
OG0000534	Prbm.g_00639	Praa.g_00608
OG0000535	Prbm.g_00640	Praa.g_00609
OG0000536	Prbm.g_00641	Praa.g_00610
OG0000537	Prbm.g_00642	Praa.g_00611
OG0000538	Prbm.g_00643	Praa.g_00612
OG0000539	Prbm.g_00644	Praa.g_00613
OG0000540	Prbm.g_00645	Praa.g_00614
OG0000541	Prbm.g_00646	Praa.g_00615
OG0000542	Prbm.g_00647	Praa.g_00616
OG0000543	Prbm.g_00648	Praa.g_00617
OG0000544	Prbm.g_00649	Praa.g_00618
OG0000545	Prbm.g_00652	Praa.g_00621
