Orthogroup	Syah	Prag
OG0000107	Syah.g_00688	Prag.g_00378
OG0000108	Syah.g_00997	Prag.g_00459
OG0000109	Syah.g_01012	Prag.g_00473
OG0000110	Syah.g_01124	Prag.g_00553
OG0000111	Syah.g_02021	Prag.g_00677
OG0000112	Syah.g_01613	Prag.g_00771
OG0000113	Syah.g_01752	Prag.g_00828
OG0000114	Syah.g_01529	Prag.g_00906
OG0000115	Syah.g_01269	Prag.g_01097
OG0000116	Syah.g_02175	Prag.g_01143
OG0000117	Syah.g_01425	Prag.g_01298
OG0000118	Syah.g_01173	Prag.g_01367
OG0000120	Syah.g_00145	Prag.g_01423
OG0000121	Syah.g_01287	Prag.g_01492
OG0000122	Syah.g_01900	Prag.g_01530
OG0000123	Syah.g_00793	Prag.g_01811
OG0000124	Syah.g_00272	Prag.g_01877
OG0000125	Syah.g_00504	Prag.g_01913
OG0000126	Syah.g_00379	Prag.g_01952
OG0000128	Syah.g_00361	Prag.g_00011
OG0000129	Syah.g_00516	Prag.g_00044
OG0000130	Syah.g_02483	Prag.g_00063
OG0000131	Syah.g_00052	Prag.g_00138
OG0000132	Syah.g_00072	Prag.g_00157
OG0000133	Syah.g_01618	Prag.g_00313
OG0000134	Syah.g_00891	Prag.g_00351
OG0000135	Syah.g_00465	Prag.g_00375
OG0000136	Syah.g_02227	Prag.g_00420
OG0000137	Syah.g_01221	Prag.g_00454
OG0000138	Syah.g_01013	Prag.g_00474
OG0000139	Syah.g_01070	Prag.g_00516
OG0000140	Syah.g_01071	Prag.g_00517
OG0000141	Syah.g_01981	Prag.g_00585
OG0000142	Syah.g_01935	Prag.g_00613
OG0000143	Syah.g_01931	Prag.g_00617
OG0000144	Syah.g_01824	Prag.g_00630
OG0000145	Syah.g_01019	Prag.g_00758
OG0000146	Syah.g_01612	Prag.g_00772
OG0000147	Syah.g_01611	Prag.g_00773
OG0000148	Syah.g_01758	Prag.g_00822
OG0000149	Syah.g_02096	Prag.g_00851
OG0000150	Syah.g_01980	Prag.g_00859
OG0000151	Syah.g_01820	Prag.g_00916
OG0000152	Syah.g_01622	Prag.g_00964
OG0000153	Syah.g_01656	Prag.g_00983
OG0000154	Syah.g_01682	Prag.g_01010
OG0000155	Syah.g_02123	Prag.g_01173
OG0000156	Syah.g_02185	Prag.g_01342
OG0000157	Syah.g_02186	Prag.g_01343
OG0000158	Syah.g_00204	Prag.g_01425
OG0000160	Syah.g_01289	Prag.g_01491
OG0000161	Syah.g_01282	Prag.g_01497
OG0000162	Syah.g_01276	Prag.g_01503
OG0000163	Syah.g_02315	Prag.g_01537
OG0000164	Syah.g_02423	Prag.g_01693
OG0000165	Syah.g_02251	Prag.g_01700
OG0000166	Syah.g_00747	Prag.g_01768
OG0000167	Syah.g_00183	Prag.g_01834
OG0000168	Syah.g_00205	Prag.g_01844
OG0000169	Syah.g_00237	Prag.g_01854
OG0000170	Syah.g_00245	Prag.g_01856
OG0000171	Syah.g_00271	Prag.g_01876
OG0000172	Syah.g_00293	Prag.g_01884
OG0000173	Syah.g_00313	Prag.g_01899
OG0000174	Syah.g_00461	Prag.g_01927
OG0000175	Syah.g_00402	Prag.g_01937
OG0000176	Syah.g_00369	Prag.g_00004
OG0000177	Syah.g_00368	Prag.g_00005
OG0000178	Syah.g_00367	Prag.g_00006
OG0000179	Syah.g_00355	Prag.g_00016
OG0000180	Syah.g_00354	Prag.g_00017
OG0000181	Syah.g_00353	Prag.g_00018
OG0000182	Syah.g_00352	Prag.g_00019
OG0000183	Syah.g_00348	Prag.g_00023
OG0000184	Syah.g_00525	Prag.g_00046
OG0000185	Syah.g_00528	Prag.g_00049
OG0000186	Syah.g_02479	Prag.g_00058
OG0000187	Syah.g_02480	Prag.g_00059
OG0000188	Syah.g_02501	Prag.g_00076
OG0000189	Syah.g_02526	Prag.g_00089
OG0000190	Syah.g_02528	Prag.g_00090
OG0000191	Syah.g_00008	Prag.g_00110
OG0000192	Syah.g_00013	Prag.g_00114
OG0000193	Syah.g_00053	Prag.g_00139
OG0000194	Syah.g_00056	Prag.g_00142
OG0000195	Syah.g_00058	Prag.g_00144
OG0000196	Syah.g_00069	Prag.g_00154
OG0000197	Syah.g_00070	Prag.g_00155
OG0000198	Syah.g_00071	Prag.g_00156
OG0000199	Syah.g_00079	Prag.g_00163
OG0000200	Syah.g_00616	Prag.g_00177
OG0000201	Syah.g_00601	Prag.g_00185
OG0000202	Syah.g_00600	Prag.g_00186
OG0000203	Syah.g_00599	Prag.g_00187
OG0000204	Syah.g_00598	Prag.g_00188
OG0000205	Syah.g_00591	Prag.g_00195
OG0000206	Syah.g_00578	Prag.g_00200
OG0000207	Syah.g_00575	Prag.g_00202
OG0000208	Syah.g_00574	Prag.g_00203
OG0000209	Syah.g_00544	Prag.g_00212
OG0000210	Syah.g_00543	Prag.g_00213
OG0000211	Syah.g_00904	Prag.g_00226
OG0000212	Syah.g_00913	Prag.g_00233
OG0000213	Syah.g_00657	Prag.g_00249
OG0000214	Syah.g_00641	Prag.g_00258
OG0000215	Syah.g_00101	Prag.g_00283
OG0000216	Syah.g_00105	Prag.g_00285
OG0000217	Syah.g_00109	Prag.g_00288
OG0000218	Syah.g_00111	Prag.g_00290
OG0000219	Syah.g_00112	Prag.g_00291
OG0000220	Syah.g_00113	Prag.g_00292
OG0000221	Syah.g_00120	Prag.g_00293
OG0000222	Syah.g_00131	Prag.g_00301
OG0000223	Syah.g_00153	Prag.g_00314
OG0000224	Syah.g_00162	Prag.g_00316
OG0000225	Syah.g_00874	Prag.g_00340
OG0000226	Syah.g_00878	Prag.g_00344
OG0000227	Syah.g_00880	Prag.g_00346
OG0000228	Syah.g_00887	Prag.g_00349
OG0000229	Syah.g_02236	Prag.g_00415
OG0000230	Syah.g_02234	Prag.g_00417
OG0000231	Syah.g_02218	Prag.g_00428
OG0000232	Syah.g_01206	Prag.g_00437
OG0000233	Syah.g_01210	Prag.g_00442
OG0000234	Syah.g_01222	Prag.g_00455
OG0000235	Syah.g_00996	Prag.g_00458
OG0000236	Syah.g_01011	Prag.g_00472
OG0000237	Syah.g_01028	Prag.g_00485
OG0000238	Syah.g_01032	Prag.g_00491
OG0000239	Syah.g_01048	Prag.g_00504
OG0000240	Syah.g_01049	Prag.g_00505
OG0000241	Syah.g_01944	Prag.g_00509
OG0000242	Syah.g_01062	Prag.g_00511
OG0000243	Syah.g_01079	Prag.g_00522
OG0000244	Syah.g_01087	Prag.g_00525
OG0000245	Syah.g_01090	Prag.g_00527
OG0000246	Syah.g_01094	Prag.g_00531
OG0000247	Syah.g_01106	Prag.g_00541
OG0000248	Syah.g_01109	Prag.g_00543
OG0000249	Syah.g_01111	Prag.g_00545
OG0000250	Syah.g_01120	Prag.g_00550
OG0000251	Syah.g_01145	Prag.g_00569
OG0000252	Syah.g_01148	Prag.g_00572
OG0000253	Syah.g_01149	Prag.g_00573
OG0000254	Syah.g_01976	Prag.g_00589
OG0000255	Syah.g_01968	Prag.g_00595
OG0000256	Syah.g_01952	Prag.g_00605
OG0000257	Syah.g_01945	Prag.g_00608
OG0000258	Syah.g_01926	Prag.g_00621
OG0000259	Syah.g_01494	Prag.g_00638
OG0000260	Syah.g_01497	Prag.g_00641
OG0000261	Syah.g_01500	Prag.g_00643
OG0000262	Syah.g_01505	Prag.g_00647
OG0000263	Syah.g_01410	Prag.g_00659
OG0000264	Syah.g_02000	Prag.g_00669
OG0000265	Syah.g_02252	Prag.g_00692
OG0000266	Syah.g_01714	Prag.g_00702
OG0000267	Syah.g_01574	Prag.g_00713
OG0000268	Syah.g_01575	Prag.g_00714
OG0000269	Syah.g_01784	Prag.g_00801
OG0000270	Syah.g_01781	Prag.g_00804
OG0000271	Syah.g_01773	Prag.g_00812
OG0000272	Syah.g_01772	Prag.g_00813
OG0000273	Syah.g_02075	Prag.g_00835
OG0000274	Syah.g_02076	Prag.g_00836
OG0000275	Syah.g_02081	Prag.g_00838
OG0000276	Syah.g_02088	Prag.g_00843
OG0000277	Syah.g_02089	Prag.g_00844
OG0000278	Syah.g_02092	Prag.g_00847
OG0000279	Syah.g_02100	Prag.g_00854
OG0000280	Syah.g_02112	Prag.g_00855
OG0000281	Syah.g_00722	Prag.g_00860
OG0000282	Syah.g_01531	Prag.g_00908
OG0000283	Syah.g_01585	Prag.g_00941
OG0000284	Syah.g_01591	Prag.g_00946
OG0000285	Syah.g_01603	Prag.g_00951
OG0000286	Syah.g_01621	Prag.g_00963
OG0000287	Syah.g_01231, Syah.g_01649	Prag.g_00980
OG0000288	Syah.g_01681	Prag.g_01009
OG0000289	Syah.g_01695	Prag.g_01020
OG0000290	Syah.g_02033	Prag.g_01033
OG0000291	Syah.g_02031	Prag.g_01035
OG0000292	Syah.g_00380	Prag.g_01085
OG0000293	Syah.g_02173	Prag.g_01144
OG0000294	Syah.g_02172	Prag.g_01145
OG0000295	Syah.g_02131	Prag.g_01165
OG0000296	Syah.g_02129	Prag.g_01167
OG0000297	Syah.g_01427	Prag.g_01175
OG0000298	Syah.g_01426	Prag.g_01176
OG0000299	Syah.g_01404	Prag.g_01193
OG0000300	Syah.g_01397	Prag.g_01196
OG0000301	Syah.g_01396	Prag.g_01197
OG0000302	Syah.g_01395	Prag.g_01199
OG0000303	Syah.g_01387	Prag.g_01206
OG0000304	Syah.g_01382	Prag.g_01210
OG0000305	Syah.g_02028	Prag.g_01381
OG0000306	Syah.g_02116	Prag.g_01384
OG0000307	Syah.g_00978	Prag.g_01398
OG0000308	Syah.g_00976	Prag.g_01399
OG0000309	Syah.g_00971	Prag.g_01403
OG0000310	Syah.g_01321	Prag.g_01473
OG0000311	Syah.g_01317	Prag.g_01475
OG0000312	Syah.g_01304	Prag.g_01478
OG0000313	Syah.g_01285	Prag.g_01494
OG0000314	Syah.g_01259	Prag.g_01516
OG0000315	Syah.g_01248	Prag.g_01527
OG0000316	Syah.g_02333	Prag.g_01547
OG0000317	Syah.g_02380	Prag.g_01667
OG0000318	Syah.g_02385	Prag.g_01670
OG0000319	Syah.g_02405	Prag.g_01683
OG0000320	Syah.g_02407	Prag.g_01685
OG0000321	Syah.g_02408	Prag.g_01686
OG0000322	Syah.g_02409	Prag.g_01687
OG0000323	Syah.g_02425	Prag.g_01696
OG0000324	Syah.g_02278	Prag.g_01723
OG0000325	Syah.g_00689	Prag.g_01733
OG0000326	Syah.g_00696	Prag.g_01739
OG0000327	Syah.g_00742	Prag.g_01763
OG0000328	Syah.g_00743	Prag.g_01764
OG0000329	Syah.g_00760	Prag.g_01781
OG0000330	Syah.g_00761	Prag.g_01782
OG0000331	Syah.g_00762	Prag.g_01783
OG0000332	Syah.g_00776	Prag.g_01797
OG0000333	Syah.g_00779	Prag.g_01799
OG0000334	Syah.g_00789	Prag.g_01807
OG0000335	Syah.g_00794	Prag.g_01812
OG0000336	Syah.g_00798	Prag.g_01816
OG0000337	Syah.g_00178	Prag.g_01832
OG0000338	Syah.g_00181	Prag.g_01833
OG0000339	Syah.g_00188	Prag.g_01837
OG0000340	Syah.g_00206	Prag.g_01845
OG0000341	Syah.g_00208	Prag.g_01847
OG0000342	Syah.g_00209	Prag.g_01848
OG0000343	Syah.g_00231	Prag.g_01849
OG0000344	Syah.g_00235	Prag.g_01852
OG0000345	Syah.g_00246	Prag.g_01857
OG0000346	Syah.g_00251	Prag.g_01862
OG0000347	Syah.g_00275	Prag.g_01878
OG0000348	Syah.g_00301	Prag.g_01887
OG0000349	Syah.g_00320	Prag.g_01904
OG0000350	Syah.g_00703	Prag.g_01923
OG0000351	Syah.g_00399	Prag.g_01940
OG0000352	Syah.g_00398	Prag.g_01941
OG0000353	Syah.g_00374	Prag.g_01956
OG0000354	Syah.g_00561	Prag.g_01282
OG0000355	Syah.g_00372	Prag.g_00001
OG0000356	Syah.g_00371	Prag.g_00002
OG0000357	Syah.g_00370	Prag.g_00003
OG0000358	Syah.g_00366	Prag.g_00007
OG0000359	Syah.g_00364	Prag.g_00008
OG0000360	Syah.g_00363	Prag.g_00009
OG0000361	Syah.g_00362	Prag.g_00010
OG0000362	Syah.g_00360	Prag.g_00012
OG0000363	Syah.g_00358	Prag.g_00014
OG0000364	Syah.g_00357	Prag.g_00015
OG0000365	Syah.g_00351	Prag.g_00020
OG0000366	Syah.g_00350	Prag.g_00021
OG0000367	Syah.g_00349	Prag.g_00022
OG0000368	Syah.g_00347	Prag.g_00024
OG0000369	Syah.g_00346	Prag.g_00025
OG0000370	Syah.g_00345	Prag.g_00026
OG0000371	Syah.g_00338	Prag.g_00032
OG0000372	Syah.g_00333	Prag.g_00035
OG0000373	Syah.g_00332	Prag.g_00036
OG0000374	Syah.g_00331	Prag.g_00037
OG0000375	Syah.g_00329	Prag.g_00040
OG0000376	Syah.g_00327	Prag.g_00042
OG0000377	Syah.g_00517	Prag.g_00045
OG0000378	Syah.g_00526	Prag.g_00047
OG0000379	Syah.g_00529	Prag.g_00050
OG0000380	Syah.g_02481	Prag.g_00060
OG0000381	Syah.g_02484	Prag.g_00064
OG0000382	Syah.g_02500	Prag.g_00075
OG0000383	Syah.g_02502	Prag.g_00077
OG0000384	Syah.g_02503	Prag.g_00078
OG0000385	Syah.g_02504	Prag.g_00079
OG0000386	Syah.g_02505	Prag.g_00080
OG0000387	Syah.g_02530	Prag.g_00092
OG0000388	Syah.g_02533	Prag.g_00095
OG0000389	Syah.g_02536	Prag.g_00099
OG0000390	Syah.g_00002	Prag.g_00106
OG0000391	Syah.g_00007	Prag.g_00109
OG0000392	Syah.g_00012	Prag.g_00113
OG0000393	Syah.g_00014	Prag.g_00115
OG0000394	Syah.g_00015	Prag.g_00116
OG0000395	Syah.g_00016	Prag.g_00117
OG0000396	Syah.g_00019	Prag.g_00120
OG0000397	Syah.g_00021	Prag.g_00122
OG0000398	Syah.g_00027	Prag.g_00124
OG0000399	Syah.g_00028	Prag.g_00125
OG0000400	Syah.g_00029	Prag.g_00126
OG0000401	Syah.g_00030	Prag.g_00127
OG0000402	Syah.g_00033	Prag.g_00129
OG0000403	Syah.g_00034	Prag.g_00130
OG0000404	Syah.g_00036	Prag.g_00131
OG0000405	Syah.g_00050	Prag.g_00135
OG0000406	Syah.g_00054	Prag.g_00140
OG0000407	Syah.g_00055	Prag.g_00141
OG0000408	Syah.g_00057	Prag.g_00143
OG0000409	Syah.g_00059	Prag.g_00145
OG0000410	Syah.g_00060	Prag.g_00146
OG0000411	Syah.g_00061	Prag.g_00147
OG0000412	Syah.g_00062	Prag.g_00148
OG0000413	Syah.g_00064	Prag.g_00149
OG0000414	Syah.g_00065	Prag.g_00150
OG0000415	Syah.g_00066	Prag.g_00151
OG0000416	Syah.g_00067	Prag.g_00152
OG0000417	Syah.g_00068	Prag.g_00153
OG0000418	Syah.g_00073	Prag.g_00158
OG0000419	Syah.g_00075	Prag.g_00160
OG0000420	Syah.g_00077	Prag.g_00161
OG0000421	Syah.g_00082	Prag.g_00166
OG0000422	Syah.g_00083	Prag.g_00167
OG0000423	Syah.g_00084	Prag.g_00168
OG0000424	Syah.g_00085	Prag.g_00169
OG0000425	Syah.g_00086	Prag.g_00170
OG0000426	Syah.g_00087	Prag.g_00171
OG0000427	Syah.g_00088	Prag.g_00172
OG0000428	Syah.g_00620	Prag.g_00174
OG0000429	Syah.g_00618	Prag.g_00175
OG0000430	Syah.g_00617	Prag.g_00176
OG0000431	Syah.g_00613	Prag.g_00178
OG0000432	Syah.g_00607	Prag.g_00181
OG0000433	Syah.g_00605	Prag.g_00182
OG0000434	Syah.g_00604	Prag.g_00183
OG0000435	Syah.g_00602	Prag.g_00184
OG0000436	Syah.g_00597	Prag.g_00189
OG0000437	Syah.g_00596	Prag.g_00190
OG0000438	Syah.g_00595	Prag.g_00191
OG0000439	Syah.g_00593	Prag.g_00193
OG0000440	Syah.g_00592	Prag.g_00194
OG0000441	Syah.g_00585	Prag.g_00197
OG0000442	Syah.g_00580	Prag.g_00198
OG0000443	Syah.g_00579	Prag.g_00199
OG0000444	Syah.g_00573	Prag.g_00204
OG0000445	Syah.g_00572	Prag.g_00205
OG0000446	Syah.g_00570	Prag.g_00206
OG0000447	Syah.g_00567	Prag.g_00207
OG0000448	Syah.g_00566	Prag.g_00208
OG0000449	Syah.g_00565	Prag.g_00209
OG0000450	Syah.g_00547	Prag.g_00210
OG0000451	Syah.g_00546	Prag.g_00211
OG0000452	Syah.g_00542	Prag.g_00214
OG0000453	Syah.g_00541	Prag.g_00215
OG0000454	Syah.g_00540	Prag.g_00216
OG0000455	Syah.g_00539	Prag.g_00217
OG0000456	Syah.g_00538	Prag.g_00218
OG0000457	Syah.g_00536	Prag.g_00219
OG0000458	Syah.g_00535	Prag.g_00220
OG0000459	Syah.g_00534	Prag.g_00221
OG0000460	Syah.g_00906	Prag.g_00228
OG0000461	Syah.g_00678	Prag.g_00235
OG0000462	Syah.g_00675	Prag.g_00237
OG0000463	Syah.g_00674	Prag.g_00238
OG0000464	Syah.g_00673	Prag.g_00239
OG0000465	Syah.g_00672	Prag.g_00240
OG0000466	Syah.g_00668	Prag.g_00243
OG0000467	Syah.g_00666	Prag.g_00244
OG0000468	Syah.g_00661	Prag.g_00245
OG0000469	Syah.g_00647	Prag.g_00253
OG0000470	Syah.g_00645	Prag.g_00255
OG0000471	Syah.g_00644	Prag.g_00256
OG0000472	Syah.g_00642	Prag.g_00257
OG0000473	Syah.g_00640	Prag.g_00259
OG0000474	Syah.g_00639	Prag.g_00260
OG0000475	Syah.g_00638	Prag.g_00261
OG0000476	Syah.g_00636	Prag.g_00262
OG0000477	Syah.g_00630	Prag.g_00266
OG0000478	Syah.g_00629	Prag.g_00267
OG0000479	Syah.g_00628	Prag.g_00268
OG0000480	Syah.g_00089	Prag.g_00273
OG0000481	Syah.g_00091	Prag.g_00275
OG0000482	Syah.g_00092	Prag.g_00276
OG0000483	Syah.g_00096	Prag.g_00279
OG0000484	Syah.g_00097	Prag.g_00280
OG0000485	Syah.g_00098	Prag.g_00281
OG0000486	Syah.g_00099	Prag.g_00282
OG0000487	Syah.g_00106	Prag.g_00286
OG0000488	Syah.g_00110	Prag.g_00289
OG0000489	Syah.g_00121	Prag.g_00294
OG0000490	Syah.g_00129	Prag.g_00299
OG0000491	Syah.g_00130	Prag.g_00300
OG0000492	Syah.g_00132	Prag.g_00302
OG0000493	Syah.g_00133	Prag.g_00303
OG0000494	Syah.g_00134	Prag.g_00304
OG0000495	Syah.g_00135	Prag.g_00305
OG0000496	Syah.g_00136	Prag.g_00306
OG0000497	Syah.g_00137	Prag.g_00307
OG0000498	Syah.g_00138	Prag.g_00308
OG0000499	Syah.g_00139	Prag.g_00309
OG0000500	Syah.g_00140	Prag.g_00310
OG0000501	Syah.g_00143	Prag.g_00312
OG0000502	Syah.g_00155	Prag.g_00315
OG0000503	Syah.g_00858	Prag.g_00329
OG0000504	Syah.g_00860	Prag.g_00330
OG0000505	Syah.g_00861	Prag.g_00331
OG0000506	Syah.g_00863	Prag.g_00333
OG0000507	Syah.g_00869	Prag.g_00336
OG0000508	Syah.g_00873	Prag.g_00339
OG0000509	Syah.g_00875	Prag.g_00341
OG0000510	Syah.g_00876	Prag.g_00342
OG0000511	Syah.g_00877	Prag.g_00343
OG0000512	Syah.g_00879	Prag.g_00345
OG0000513	Syah.g_00892	Prag.g_00352
OG0000514	Syah.g_00899	Prag.g_00410
OG0000515	Syah.g_00900	Prag.g_00411
OG0000516	Syah.g_02231	Prag.g_00412
OG0000517	Syah.g_02237	Prag.g_00414
OG0000518	Syah.g_02221	Prag.g_00425
OG0000519	Syah.g_02220	Prag.g_00426
OG0000520	Syah.g_02219	Prag.g_00427
OG0000521	Syah.g_01202	Prag.g_00432
OG0000522	Syah.g_01204	Prag.g_00434
OG0000523	Syah.g_01205	Prag.g_00435
OG0000524	Syah.g_01207	Prag.g_00440
OG0000525	Syah.g_01212	Prag.g_00443
OG0000526	Syah.g_01215	Prag.g_00444
OG0000527	Syah.g_01219	Prag.g_00452
OG0000528	Syah.g_00991	Prag.g_00457
OG0000529	Syah.g_00998	Prag.g_00460
OG0000530	Syah.g_01001	Prag.g_00463
OG0000531	Syah.g_01002	Prag.g_00464
OG0000532	Syah.g_01005	Prag.g_00466
OG0000533	Syah.g_01006	Prag.g_00467
OG0000534	Syah.g_01007	Prag.g_00468
OG0000535	Syah.g_01008	Prag.g_00469
OG0000536	Syah.g_01009	Prag.g_00470
OG0000537	Syah.g_01010	Prag.g_00471
OG0000538	Syah.g_01021	Prag.g_00479
OG0000539	Syah.g_01022	Prag.g_00480
OG0000540	Syah.g_01023	Prag.g_00481
OG0000541	Syah.g_01024	Prag.g_00482
OG0000542	Syah.g_01027	Prag.g_00484
OG0000543	Syah.g_01029	Prag.g_00486
OG0000545	Syah.g_01031	Prag.g_00489
OG0000546	Syah.g_01033	Prag.g_00492
OG0000547	Syah.g_01035	Prag.g_00494
OG0000548	Syah.g_01036	Prag.g_00495
OG0000549	Syah.g_01042	Prag.g_00497
OG0000550	Syah.g_01046	Prag.g_00502
OG0000551	Syah.g_01051	Prag.g_00506
OG0000552	Syah.g_01052	Prag.g_00507
OG0000553	Syah.g_01054	Prag.g_00508
OG0000554	Syah.g_01065	Prag.g_00513
OG0000555	Syah.g_01078	Prag.g_00521
OG0000556	Syah.g_01084	Prag.g_00523
OG0000557	Syah.g_01086	Prag.g_00524
OG0000558	Syah.g_01088	Prag.g_00526
OG0000559	Syah.g_01093	Prag.g_00530
OG0000560	Syah.g_01096	Prag.g_00533
OG0000561	Syah.g_01097	Prag.g_00534
OG0000562	Syah.g_01098	Prag.g_00535
OG0000563	Syah.g_01099	Prag.g_00536
OG0000564	Syah.g_01100	Prag.g_00537
OG0000565	Syah.g_01104	Prag.g_00540
OG0000566	Syah.g_01108	Prag.g_00542
OG0000567	Syah.g_01112	Prag.g_00546
OG0000568	Syah.g_01116	Prag.g_00547
OG0000569	Syah.g_01117	Prag.g_00548
OG0000570	Syah.g_01118	Prag.g_00549
OG0000571	Syah.g_01122	Prag.g_00551
OG0000572	Syah.g_01137	Prag.g_00564
OG0000573	Syah.g_01146	Prag.g_00570
OG0000574	Syah.g_01147	Prag.g_00571
OG0000575	Syah.g_01151	Prag.g_00575
OG0000576	Syah.g_01153	Prag.g_00577
OG0000577	Syah.g_01154	Prag.g_00578
OG0000578	Syah.g_01155	Prag.g_00579
OG0000579	Syah.g_01156	Prag.g_00580
OG0000580	Syah.g_01157	Prag.g_00581
OG0000581	Syah.g_01163	Prag.g_00583
OG0000582	Syah.g_01979	Prag.g_00586
OG0000583	Syah.g_01978	Prag.g_00587
