Orthogroup	Syah	Prbj
OG0000063	Syah.g_00337	Prbj.g_01208
OG0000066	Syah.g_01073	Prbj.g_02141
OG0000067	Syah.g_01779	Prbj.g_02412
OG0000068	Syah.g_00986	Prbj.g_01639
OG0000070	Syah.g_02217	Prbj.g_00118
OG0000071	Syah.g_01863, Syah.g_02199	Prbj.g_01728
OG0000072	Syah.g_00080	Prbj.g_00516
OG0000073	Syah.g_01018	Prbj.g_01608
OG0000075	Syah.g_00186	Prbj.g_01502
OG0000076	Syah.g_00250	Prbj.g_01598
OG0000077	Syah.g_02494	Prbj.g_01900
OG0000078	Syah.g_00912	Prbj.g_02614
OG0000081	Syah.g_02471	Prbj.g_00799
OG0000082	Syah.g_01136	Prbj.g_01789
OG0000084	Syah.g_02105, Syah.g_01296	Prbj.g_01052
OG0000085	Syah.g_02372	Prbj.g_00869
OG0000086	Syah.g_02511	Prbj.g_00589
OG0000087	Syah.g_00038	Prbj.g_01547
OG0000088	Syah.g_00074	Prbj.g_00521, Prbj.g_00912
OG0000089	Syah.g_00888	Prbj.g_00064
OG0000090	Syah.g_01064	Prbj.g_02127
OG0000091	Syah.g_01927	Prbj.g_02581
OG0000093	Syah.g_01794	Prbj.g_02388
OG0000094	Syah.g_01692	Prbj.g_01985
OG0000095	Syah.g_02030	Prbj.g_01838
OG0000097	Syah.g_01400	Prbj.g_02152
OG0000098	Syah.g_00723	Prbj.g_00669
OG0000099	Syah.g_00144	Prbj.g_01464
OG0000100	Syah.g_01747	Prbj.g_00185, Prbj.g_02442
OG0000101	Syah.g_00785	Prbj.g_00981
OG0000102	Syah.g_00255	Prbj.g_01819
OG0000103	Syah.g_00391	Prbj.g_02055
OG0000104	Syah.g_00377	Prbj.g_02069
OG0000105	Syah.g_00632	Prbj.g_01397
OG0000106	Syah.g_01544	Prbj.g_00875
OG0000108	Syah.g_00997	Prbj.g_01630
OG0000109	Syah.g_01012	Prbj.g_01614
OG0000110	Syah.g_01124	Prbj.g_01801
OG0000111	Syah.g_02021	Prbj.g_00759
OG0000112	Syah.g_01613	Prbj.g_02276
OG0000113	Syah.g_01752	Prbj.g_02437
OG0000114	Syah.g_01529	Prbj.g_02340
OG0000115	Syah.g_01269	Prbj.g_00634
OG0000116	Syah.g_02175	Prbj.g_00956
OG0000117	Syah.g_01425	Prbj.g_01915
OG0000118	Syah.g_01173	Prbj.g_01742
OG0000120	Syah.g_00145	Prbj.g_01465
OG0000121	Syah.g_01287	Prbj.g_01064, Prbj.g_01058
OG0000122	Syah.g_01900	Prbj.g_02627
OG0000123	Syah.g_00793	Prbj.g_00406
OG0000124	Syah.g_00272	Prbj.g_01281
OG0000125	Syah.g_00504	Prbj.g_01963
OG0000126	Syah.g_00379	Prbj.g_02067
OG0000128	Syah.g_00361	Prbj.g_02085
OG0000129	Syah.g_00516	Prbj.g_01951
OG0000130	Syah.g_02483	Prbj.g_00564
OG0000131	Syah.g_00052	Prbj.g_00543
OG0000132	Syah.g_00072	Prbj.g_00523
OG0000133	Syah.g_01618	Prbj.g_01460
OG0000134	Syah.g_00891	Prbj.g_00067
OG0000135	Syah.g_00465	Prbj.g_02004
OG0000136	Syah.g_02227	Prbj.g_00105
OG0000137	Syah.g_01221	Prbj.g_00128
OG0000138	Syah.g_01013	Prbj.g_01613
OG0000139	Syah.g_01070	Prbj.g_02133
OG0000140	Syah.g_01071	Prbj.g_02139
OG0000141	Syah.g_01981	Prbj.g_01757
OG0000142	Syah.g_01935	Prbj.g_02573
OG0000143	Syah.g_01931	Prbj.g_02577
OG0000144	Syah.g_01824	Prbj.g_00793
OG0000145	Syah.g_01019	Prbj.g_01607
OG0000146	Syah.g_01612	Prbj.g_02277
OG0000147	Syah.g_01611	Prbj.g_02278
OG0000148	Syah.g_01758	Prbj.g_02431
OG0000149	Syah.g_02096	Prbj.g_02488
OG0000150	Syah.g_01980	Prbj.g_02511
OG0000151	Syah.g_01820	Prbj.g_02361
OG0000152	Syah.g_01622	Prbj.g_02268
OG0000153	Syah.g_01656	Prbj.g_02241
OG0000154	Syah.g_01682	Prbj.g_02213
OG0000155	Syah.g_02123	Prbj.g_00312
OG0000156	Syah.g_02185	Prbj.g_00163
OG0000157	Syah.g_02186	Prbj.g_00162
OG0000158	Syah.g_00204	Prbj.g_01514
OG0000160	Syah.g_01289	Prbj.g_01057
OG0000161	Syah.g_01282	Prbj.g_01071
OG0000162	Syah.g_01276	Prbj.g_01077
OG0000163	Syah.g_02315	Prbj.g_01688
OG0000164	Syah.g_02423	Prbj.g_00476
OG0000165	Syah.g_02251	Prbj.g_00467
OG0000166	Syah.g_00747	Prbj.g_01019
OG0000167	Syah.g_00183	Prbj.g_01500
OG0000168	Syah.g_00205	Prbj.g_01515
OG0000169	Syah.g_00237	Prbj.g_01581
OG0000170	Syah.g_00245	Prbj.g_01593
OG0000171	Syah.g_00271	Prbj.g_01282
OG0000172	Syah.g_00293	Prbj.g_01248
OG0000173	Syah.g_00313	Prbj.g_01227
OG0000174	Syah.g_00461	Prbj.g_02006
OG0000175	Syah.g_00402	Prbj.g_02044
OG0000176	Syah.g_00369	Prbj.g_02077
OG0000177	Syah.g_00368	Prbj.g_02078
OG0000178	Syah.g_00367	Prbj.g_02079
OG0000179	Syah.g_00355	Prbj.g_01188
OG0000180	Syah.g_00354	Prbj.g_01189
OG0000181	Syah.g_00353	Prbj.g_01190
OG0000182	Syah.g_00352	Prbj.g_01191
OG0000183	Syah.g_00348	Prbj.g_01195
OG0000184	Syah.g_00525	Prbj.g_01943
OG0000186	Syah.g_02479	Prbj.g_00558
OG0000187	Syah.g_02480	Prbj.g_00560
OG0000188	Syah.g_02501	Prbj.g_00581
OG0000189	Syah.g_02526	Prbj.g_00607
OG0000190	Syah.g_02528	Prbj.g_00609
OG0000191	Syah.g_00008	Prbj.g_01557
OG0000192	Syah.g_00013	Prbj.g_01566
OG0000193	Syah.g_00053	Prbj.g_00542
OG0000194	Syah.g_00056	Prbj.g_00539
OG0000195	Syah.g_00058	Prbj.g_00537
OG0000196	Syah.g_00069	Prbj.g_00526
OG0000197	Syah.g_00070	Prbj.g_00525
OG0000198	Syah.g_00071	Prbj.g_00524
OG0000199	Syah.g_00079	Prbj.g_00517
OG0000200	Syah.g_00616	Prbj.g_01138
OG0000201	Syah.g_00601	Prbj.g_01157
OG0000202	Syah.g_00600	Prbj.g_01158
OG0000203	Syah.g_00599	Prbj.g_01159
OG0000204	Syah.g_00598	Prbj.g_01160
OG0000205	Syah.g_00591	Prbj.g_01167
OG0000206	Syah.g_00578	Prbj.g_00288
OG0000207	Syah.g_00575	Prbj.g_00234
OG0000208	Syah.g_00574	Prbj.g_00235
OG0000209	Syah.g_00544	Prbj.g_00262
OG0000210	Syah.g_00543	Prbj.g_00263
OG0000211	Syah.g_00904	Prbj.g_00177
OG0000212	Syah.g_00913	Prbj.g_02615
OG0000213	Syah.g_00657	Prbj.g_01362
OG0000214	Syah.g_00641	Prbj.g_01389
OG0000215	Syah.g_00101	Prbj.g_01419
OG0000216	Syah.g_00105	Prbj.g_01422
OG0000217	Syah.g_00109	Prbj.g_01426
OG0000218	Syah.g_00111	Prbj.g_01430
OG0000219	Syah.g_00112	Prbj.g_01431
OG0000220	Syah.g_00113	Prbj.g_01432
OG0000221	Syah.g_00120	Prbj.g_01437
OG0000222	Syah.g_00131	Prbj.g_01446
OG0000223	Syah.g_00153	Prbj.g_01469
OG0000224	Syah.g_00162	Prbj.g_01480
OG0000225	Syah.g_00874	Prbj.g_00323
OG0000226	Syah.g_00878	Prbj.g_00319
OG0000227	Syah.g_00880	Prbj.g_00317
OG0000228	Syah.g_00887	Prbj.g_00063
OG0000229	Syah.g_02236	Prbj.g_00100
OG0000230	Syah.g_02234	Prbj.g_00102
OG0000231	Syah.g_02218	Prbj.g_00117
OG0000232	Syah.g_01206	Prbj.g_01888
OG0000233	Syah.g_01210	Prbj.g_00148
OG0000234	Syah.g_01222	Prbj.g_00127
OG0000235	Syah.g_00996	Prbj.g_01631
OG0000236	Syah.g_01011	Prbj.g_01615
OG0000237	Syah.g_01028	Prbj.g_02094
OG0000238	Syah.g_01032	Prbj.g_02098
OG0000239	Syah.g_01048	Prbj.g_02114
OG0000240	Syah.g_01049	Prbj.g_02115
OG0000241	Syah.g_01944	Prbj.g_01116
OG0000242	Syah.g_01062	Prbj.g_02125
OG0000243	Syah.g_01079	Prbj.g_02668
OG0000244	Syah.g_01087	Prbj.g_01859
OG0000245	Syah.g_01090	Prbj.g_01862
OG0000246	Syah.g_01094	Prbj.g_01866
OG0000247	Syah.g_01106	Prbj.g_01877
OG0000248	Syah.g_01109	Prbj.g_01880
OG0000249	Syah.g_01111	Prbj.g_01882
OG0000250	Syah.g_01120	Prbj.g_01805
OG0000251	Syah.g_01145	Prbj.g_01781
OG0000252	Syah.g_01148	Prbj.g_01778
OG0000253	Syah.g_01149	Prbj.g_01772
OG0000254	Syah.g_01976	Prbj.g_01753
OG0000255	Syah.g_01968	Prbj.g_02546
OG0000256	Syah.g_01952	Prbj.g_02560
OG0000257	Syah.g_01945	Prbj.g_02566
OG0000258	Syah.g_01926	Prbj.g_02589
OG0000259	Syah.g_01494	Prbj.g_00812
OG0000260	Syah.g_01497	Prbj.g_00816
OG0000261	Syah.g_01500	Prbj.g_00819
OG0000262	Syah.g_01505	Prbj.g_00824
OG0000263	Syah.g_01410	Prbj.g_00248
OG0000264	Syah.g_02000	Prbj.g_00933
OG0000265	Syah.g_02252	Prbj.g_02178
OG0000266	Syah.g_01714	Prbj.g_02189
OG0000267	Syah.g_01574	Prbj.g_02315
OG0000268	Syah.g_01575	Prbj.g_02314
OG0000269	Syah.g_01784	Prbj.g_02407
OG0000270	Syah.g_01781	Prbj.g_02410
OG0000271	Syah.g_01773	Prbj.g_02418
OG0000272	Syah.g_01772	Prbj.g_02419
OG0000273	Syah.g_02075	Prbj.g_02470
OG0000274	Syah.g_02076	Prbj.g_02471
OG0000275	Syah.g_02081	Prbj.g_02474
OG0000276	Syah.g_02088	Prbj.g_02480
OG0000277	Syah.g_02089	Prbj.g_02481
OG0000278	Syah.g_02092	Prbj.g_02484
OG0000279	Syah.g_02100	Prbj.g_02492
OG0000280	Syah.g_02112	Prbj.g_02498
OG0000281	Syah.g_00722	Prbj.g_02512
OG0000282	Syah.g_01531	Prbj.g_02342
OG0000283	Syah.g_01585	Prbj.g_02303
OG0000284	Syah.g_01591	Prbj.g_02297
OG0000285	Syah.g_01603	Prbj.g_00694
OG0000286	Syah.g_01621	Prbj.g_02269
OG0000287	Syah.g_01649	Prbj.g_00722
OG0000288	Syah.g_01681	Prbj.g_02214
OG0000289	Syah.g_01695	Prbj.g_02201
OG0000290	Syah.g_02033	Prbj.g_01841
OG0000291	Syah.g_02031	Prbj.g_01839
OG0000292	Syah.g_00380	Prbj.g_02066
OG0000293	Syah.g_02173	Prbj.g_00958
OG0000294	Syah.g_02172	Prbj.g_00959
OG0000295	Syah.g_02131	Prbj.g_00304
OG0000296	Syah.g_02129	Prbj.g_00306, Prbj.g_00307
OG0000297	Syah.g_01427	Prbj.g_01913
OG0000298	Syah.g_01426	Prbj.g_01914
OG0000299	Syah.g_01404	Prbj.g_01903
OG0000300	Syah.g_01397	Prbj.g_02155
OG0000301	Syah.g_01396	Prbj.g_02156
OG0000302	Syah.g_01395	Prbj.g_02159
OG0000303	Syah.g_01387	Prbj.g_00314
OG0000304	Syah.g_01382	Prbj.g_00020
OG0000305	Syah.g_02028	Prbj.g_01837
OG0000306	Syah.g_02116	Prbj.g_02521
OG0000307	Syah.g_00978	Prbj.g_01647
OG0000308	Syah.g_00976	Prbj.g_01649
OG0000309	Syah.g_00971	Prbj.g_01653
OG0000310	Syah.g_01321	Prbj.g_01294
OG0000311	Syah.g_01317	Prbj.g_01040
OG0000312	Syah.g_01304	Prbj.g_01044
OG0000313	Syah.g_01285	Prbj.g_01068
OG0000314	Syah.g_01259	Prbj.g_00646
OG0000315	Syah.g_01248	Prbj.g_00656
OG0000316	Syah.g_02333	Prbj.g_01699
OG0000317	Syah.g_02380	Prbj.g_00863
OG0000318	Syah.g_02385	Prbj.g_00856
OG0000319	Syah.g_02405	Prbj.g_00487
OG0000320	Syah.g_02407	Prbj.g_00485
OG0000321	Syah.g_02408	Prbj.g_00484
OG0000322	Syah.g_02409	Prbj.g_00483
OG0000323	Syah.g_02425	Prbj.g_00472
OG0000324	Syah.g_02278	Prbj.g_00443
OG0000325	Syah.g_00689	Prbj.g_02657
OG0000326	Syah.g_00696	Prbj.g_02649
OG0000327	Syah.g_00742	Prbj.g_01024
OG0000328	Syah.g_00743	Prbj.g_01023
OG0000329	Syah.g_00760	Prbj.g_01006
OG0000330	Syah.g_00761	Prbj.g_01005
OG0000331	Syah.g_00762	Prbj.g_01004
OG0000332	Syah.g_00776	Prbj.g_00989
OG0000333	Syah.g_00779	Prbj.g_00987
OG0000334	Syah.g_00789	Prbj.g_00410
OG0000335	Syah.g_00794	Prbj.g_00405
OG0000336	Syah.g_00798	Prbj.g_00401
OG0000337	Syah.g_00178	Prbj.g_01494
OG0000338	Syah.g_00181	Prbj.g_01498
OG0000339	Syah.g_00188	Prbj.g_01504
OG0000340	Syah.g_00206	Prbj.g_01516
OG0000341	Syah.g_00208	Prbj.g_01518
OG0000342	Syah.g_00209	Prbj.g_01519
OG0000343	Syah.g_00231	Prbj.g_01576
OG0000344	Syah.g_00235	Prbj.g_01579
OG0000345	Syah.g_00246	Prbj.g_01594
OG0000346	Syah.g_00251	Prbj.g_01599
OG0000347	Syah.g_00275	Prbj.g_01280
OG0000348	Syah.g_00301	Prbj.g_01243
OG0000349	Syah.g_00320	Prbj.g_01219
OG0000350	Syah.g_00703	Prbj.g_01999
OG0000351	Syah.g_00399	Prbj.g_02047
OG0000352	Syah.g_00398	Prbj.g_02048
OG0000353	Syah.g_00374	Prbj.g_02072
OG0000354	Syah.g_01038	Prbj.g_02104
OG0000354	Syah.g_00561	Prbj.g_01186
OG0000355	Syah.g_00372	Prbj.g_02074
OG0000356	Syah.g_00371	Prbj.g_02075
OG0000357	Syah.g_00370	Prbj.g_02076
OG0000358	Syah.g_00366	Prbj.g_02080
OG0000359	Syah.g_00364	Prbj.g_02082
OG0000360	Syah.g_00363	Prbj.g_02083
OG0000361	Syah.g_00362	Prbj.g_02084
OG0000362	Syah.g_00360	Prbj.g_02086
OG0000363	Syah.g_00358	Prbj.g_01182
OG0000364	Syah.g_00357	Prbj.g_01183
OG0000365	Syah.g_00351	Prbj.g_01192
OG0000366	Syah.g_00350	Prbj.g_01193
OG0000367	Syah.g_00349	Prbj.g_01194
OG0000368	Syah.g_00347	Prbj.g_01196
OG0000369	Syah.g_00346	Prbj.g_01197
OG0000370	Syah.g_00345	Prbj.g_01198
OG0000371	Syah.g_00338	Prbj.g_01207
OG0000372	Syah.g_00333	Prbj.g_01212
OG0000373	Syah.g_00332	Prbj.g_01213
OG0000374	Syah.g_00331	Prbj.g_01214
OG0000375	Syah.g_00329	Prbj.g_01215
OG0000376	Syah.g_00327	Prbj.g_01217
OG0000377	Syah.g_00517	Prbj.g_01950
OG0000378	Syah.g_00526	Prbj.g_01936
OG0000379	Syah.g_00529	Prbj.g_01920
OG0000380	Syah.g_02481	Prbj.g_00561
OG0000381	Syah.g_02484	Prbj.g_00565
OG0000382	Syah.g_02500	Prbj.g_00580
OG0000383	Syah.g_02502	Prbj.g_00582
OG0000384	Syah.g_02503	Prbj.g_00583
OG0000385	Syah.g_02504	Prbj.g_00584
OG0000386	Syah.g_02505	Prbj.g_00585
OG0000387	Syah.g_02530	Prbj.g_00611
OG0000388	Syah.g_02533	Prbj.g_00615
OG0000389	Syah.g_02536	Prbj.g_00619
OG0000390	Syah.g_00002	Prbj.g_01551
OG0000391	Syah.g_00007	Prbj.g_01556
OG0000392	Syah.g_00012	Prbj.g_01562
OG0000393	Syah.g_00014	Prbj.g_01567
OG0000394	Syah.g_00015	Prbj.g_01568
OG0000395	Syah.g_00016	Prbj.g_01569
OG0000396	Syah.g_00019	Prbj.g_01530
OG0000397	Syah.g_00021	Prbj.g_01532
OG0000398	Syah.g_00027	Prbj.g_01537
OG0000399	Syah.g_00028	Prbj.g_01538
OG0000400	Syah.g_00029	Prbj.g_01539
OG0000401	Syah.g_00030	Prbj.g_01540
OG0000402	Syah.g_00033	Prbj.g_01542
OG0000403	Syah.g_00034	Prbj.g_01543
OG0000404	Syah.g_00036	Prbj.g_01545
OG0000405	Syah.g_00050	Prbj.g_00545
OG0000406	Syah.g_00054	Prbj.g_00541
OG0000407	Syah.g_00055	Prbj.g_00540
OG0000408	Syah.g_00057	Prbj.g_00538
OG0000409	Syah.g_00059	Prbj.g_00536
OG0000410	Syah.g_00060	Prbj.g_00535
OG0000411	Syah.g_00061	Prbj.g_00534
OG0000412	Syah.g_00062	Prbj.g_00533
OG0000413	Syah.g_00064	Prbj.g_00531
OG0000414	Syah.g_00065	Prbj.g_00530
OG0000415	Syah.g_00066	Prbj.g_00529
OG0000416	Syah.g_00067	Prbj.g_00528
OG0000417	Syah.g_00068	Prbj.g_00527
OG0000418	Syah.g_00073	Prbj.g_00522
OG0000419	Syah.g_00075	Prbj.g_00520
OG0000420	Syah.g_00077	Prbj.g_00519
OG0000421	Syah.g_00082	Prbj.g_00515
OG0000422	Syah.g_00083	Prbj.g_00514
OG0000423	Syah.g_00084	Prbj.g_00513
OG0000424	Syah.g_00085	Prbj.g_00512
OG0000425	Syah.g_00086	Prbj.g_00511
OG0000426	Syah.g_00087	Prbj.g_00510
OG0000427	Syah.g_00088	Prbj.g_00509
OG0000428	Syah.g_00620	Prbj.g_02369
OG0000429	Syah.g_00618	Prbj.g_01135
OG0000430	Syah.g_00617	Prbj.g_01137
OG0000431	Syah.g_00613	Prbj.g_01141
OG0000432	Syah.g_00607	Prbj.g_01148
OG0000433	Syah.g_00605	Prbj.g_01151
OG0000434	Syah.g_00604	Prbj.g_01152
OG0000435	Syah.g_00602	Prbj.g_01155
OG0000436	Syah.g_00597	Prbj.g_01161
OG0000437	Syah.g_00596	Prbj.g_01162
OG0000438	Syah.g_00595	Prbj.g_01163
OG0000439	Syah.g_00593	Prbj.g_01165
OG0000440	Syah.g_00592	Prbj.g_01166
OG0000441	Syah.g_00585	Prbj.g_01173
OG0000442	Syah.g_00580	Prbj.g_01174
OG0000443	Syah.g_00579	Prbj.g_00289
OG0000444	Syah.g_00573	Prbj.g_00237
OG0000445	Syah.g_00572	Prbj.g_00238
OG0000446	Syah.g_00570	Prbj.g_00240
OG0000447	Syah.g_00567	Prbj.g_00250
OG0000448	Syah.g_00566	Prbj.g_00251
OG0000449	Syah.g_00565	Prbj.g_00252
OG0000450	Syah.g_00547	Prbj.g_00258
OG0000451	Syah.g_00546	Prbj.g_00259
OG0000452	Syah.g_00542	Prbj.g_00264
OG0000453	Syah.g_00541	Prbj.g_00265
OG0000454	Syah.g_00540	Prbj.g_00266
OG0000455	Syah.g_00539	Prbj.g_00267
OG0000456	Syah.g_00538	Prbj.g_00268
OG0000457	Syah.g_00536	Prbj.g_00270
OG0000458	Syah.g_00535	Prbj.g_00271
OG0000459	Syah.g_00534	Prbj.g_00272
OG0000460	Syah.g_00906	Prbj.g_00176
OG0000461	Syah.g_00678	Prbj.g_02661
OG0000462	Syah.g_00675	Prbj.g_01341
OG0000463	Syah.g_00674	Prbj.g_01342
OG0000464	Syah.g_00673	Prbj.g_01343
OG0000465	Syah.g_00672	Prbj.g_01345
OG0000466	Syah.g_00668	Prbj.g_01350
OG0000467	Syah.g_00666	Prbj.g_01352
OG0000468	Syah.g_00661	Prbj.g_01359
OG0000469	Syah.g_00647	Prbj.g_01372
OG0000470	Syah.g_00645	Prbj.g_01385
OG0000471	Syah.g_00644	Prbj.g_01386
OG0000472	Syah.g_00642	Prbj.g_01388
OG0000473	Syah.g_00640	Prbj.g_01390
OG0000474	Syah.g_00639	Prbj.g_01391
OG0000475	Syah.g_00638	Prbj.g_01392
OG0000476	Syah.g_00636	Prbj.g_01394
OG0000477	Syah.g_00630	Prbj.g_01399
OG0000478	Syah.g_00629	Prbj.g_01400
OG0000479	Syah.g_00628	Prbj.g_01401
OG0000480	Syah.g_00089	Prbj.g_01408
OG0000481	Syah.g_00091	Prbj.g_01410
OG0000482	Syah.g_00092	Prbj.g_01411
OG0000483	Syah.g_00096	Prbj.g_01415
OG0000484	Syah.g_00097	Prbj.g_01416
OG0000485	Syah.g_00098	Prbj.g_01417
OG0000486	Syah.g_00099	Prbj.g_01418
OG0000487	Syah.g_00106	Prbj.g_01423
OG0000488	Syah.g_00110	Prbj.g_01427
OG0000489	Syah.g_00121	Prbj.g_01438
OG0000490	Syah.g_00129	Prbj.g_01444
OG0000491	Syah.g_00130	Prbj.g_01445
OG0000492	Syah.g_00132	Prbj.g_01448
OG0000493	Syah.g_00133	Prbj.g_01449
OG0000494	Syah.g_00134	Prbj.g_01450
OG0000495	Syah.g_00135	Prbj.g_01451
OG0000496	Syah.g_00136	Prbj.g_01452
OG0000497	Syah.g_00137	Prbj.g_01453
OG0000498	Syah.g_00138	Prbj.g_01454
OG0000499	Syah.g_00139	Prbj.g_01455
OG0000500	Syah.g_00140	Prbj.g_01456
OG0000501	Syah.g_00143	Prbj.g_01459
OG0000502	Syah.g_00155	Prbj.g_01471
OG0000503	Syah.g_00858	Prbj.g_00341
OG0000504	Syah.g_00860	Prbj.g_00339
OG0000505	Syah.g_00861	Prbj.g_00338
OG0000506	Syah.g_00863	Prbj.g_00336
OG0000507	Syah.g_00869	Prbj.g_00331
OG0000508	Syah.g_00873	Prbj.g_00324
OG0000509	Syah.g_00875	Prbj.g_00322
OG0000510	Syah.g_00876	Prbj.g_00321
OG0000511	Syah.g_00877	Prbj.g_00320
OG0000512	Syah.g_00879	Prbj.g_00318
OG0000513	Syah.g_00892	Prbj.g_00068
OG0000514	Syah.g_00899	Prbj.g_00076
OG0000515	Syah.g_00900	Prbj.g_00077
OG0000516	Syah.g_02231	Prbj.g_00089
OG0000517	Syah.g_02237	Prbj.g_00099
OG0000518	Syah.g_02221	Prbj.g_00111
OG0000519	Syah.g_02220	Prbj.g_00112
OG0000520	Syah.g_02219	Prbj.g_00113
OG0000521	Syah.g_01202	Prbj.g_01894
OG0000522	Syah.g_01204	Prbj.g_01892
OG0000523	Syah.g_01205	Prbj.g_01891
OG0000524	Syah.g_01207	Prbj.g_00152
OG0000525	Syah.g_01212	Prbj.g_00136
OG0000526	Syah.g_01215	Prbj.g_00134
OG0000527	Syah.g_01219	Prbj.g_00130
OG0000528	Syah.g_00991	Prbj.g_01635
OG0000529	Syah.g_00998	Prbj.g_01629
OG0000530	Syah.g_01001	Prbj.g_01626
OG0000531	Syah.g_01002	Prbj.g_01625
OG0000532	Syah.g_01005	Prbj.g_01622
OG0000533	Syah.g_01006	Prbj.g_01620
OG0000534	Syah.g_01007	Prbj.g_01619
OG0000535	Syah.g_01008	Prbj.g_01618
OG0000536	Syah.g_01009	Prbj.g_01617
OG0000537	Syah.g_01010	Prbj.g_01616
OG0000538	Syah.g_01021	Prbj.g_01605
OG0000539	Syah.g_01022	Prbj.g_02088
OG0000540	Syah.g_01023	Prbj.g_02089
OG0000541	Syah.g_01024	Prbj.g_02090
OG0000542	Syah.g_01027	Prbj.g_02093
OG0000543	Syah.g_01029	Prbj.g_02095
OG0000545	Syah.g_01031	Prbj.g_02097
OG0000546	Syah.g_01033	Prbj.g_02099
OG0000547	Syah.g_01035	Prbj.g_02101
OG0000548	Syah.g_01036	Prbj.g_02102
OG0000549	Syah.g_01042	Prbj.g_02108
OG0000550	Syah.g_01046	Prbj.g_02113
OG0000551	Syah.g_01051	Prbj.g_02117
OG0000552	Syah.g_01052	Prbj.g_02118
OG0000553	Syah.g_01054	Prbj.g_02123
OG0000554	Syah.g_01065	Prbj.g_02128
OG0000555	Syah.g_01078	Prbj.g_02146
OG0000556	Syah.g_01084	Prbj.g_02666
OG0000557	Syah.g_01086	Prbj.g_01858
OG0000558	Syah.g_01088	Prbj.g_01861
OG0000559	Syah.g_01093	Prbj.g_01865
OG0000560	Syah.g_01096	Prbj.g_01868
OG0000561	Syah.g_01097	Prbj.g_01869
OG0000562	Syah.g_01098	Prbj.g_01870
OG0000563	Syah.g_01099	Prbj.g_01871
OG0000564	Syah.g_01100	Prbj.g_01872
OG0000565	Syah.g_01104	Prbj.g_01875
OG0000566	Syah.g_01108	Prbj.g_01879
OG0000567	Syah.g_01112	Prbj.g_01883
OG0000568	Syah.g_01116	Prbj.g_01885
