Orthogroup	Syah	Prae
OG0000039	Syah.g_02074	Prae.g_00660
OG0000040	Syah.g_01908	Prae.g_01597
OG0000040	Syah.g_00431	Prae.g_01143
OG0000041	Syah.g_02271, Syah.g_02039	Prae.g_01669
OG0000042	Syah.g_00261	Prae.g_01822
OG0000045	Syah.g_01872	Prae.g_00371
OG0000047	Syah.g_00847	Prae.g_00331
OG0000048	Syah.g_00637	Prae.g_00374
OG0000050	Syah.g_00941	Prae.g_01077
OG0000051	Syah.g_02473	Prae.g_01294
OG0000053	Syah.g_01267	Prae.g_01479
OG0000054	Syah.g_01982, Syah.g_01862	Prae.g_00580
OG0000055	Syah.g_01878, Syah.g_02071	Prae.g_00787
OG0000057	Syah.g_02020	Prae.g_00672
OG0000059	Syah.g_00737	Prae.g_01710
OG0000060	Syah.g_01515	Prae.g_01238
OG0000061	Syah.g_00215	Prae.g_01422
OG0000061	Syah.g_02158	Prae.g_01163
OG0000062	Syah.g_02365	Prae.g_01537
OG0000063	Syah.g_00337	Prae.g_00033
OG0000065	Syah.g_02537, Syah.g_02443	Prae.g_00106
OG0000066	Syah.g_01073	Prae.g_00514
OG0000067	Syah.g_01779	Prae.g_00806
OG0000068	Syah.g_00986	Prae.g_01368
OG0000069	Syah.g_01715	Prae.g_01573
OG0000070	Syah.g_02217	Prae.g_00424
OG0000071	Syah.g_01863, Syah.g_02199	Prae.g_01329
OG0000072	Syah.g_00080	Prae.g_00174
OG0000073	Syah.g_01018	Prae.g_00473
OG0000074	Syah.g_00951	Prae.g_00656
OG0000075	Syah.g_00186	Prae.g_01791
OG0000076	Syah.g_00250	Prae.g_01815
OG0000077	Syah.g_02494	Prae.g_00078
OG0000078	Syah.g_00912	Prae.g_00242
OG0000079	Syah.g_00665	Prae.g_00255
OG0000081	Syah.g_00922, Syah.g_02471	Prae.g_00505
OG0000082	Syah.g_01136	Prae.g_00559
OG0000084	Syah.g_02105, Syah.g_01296	Prae.g_01455
OG0000085	Syah.g_02372	Prae.g_01616
OG0000086	Syah.g_02511	Prae.g_00088
OG0000087	Syah.g_00038	Prae.g_00139
OG0000088	Syah.g_00074	Prae.g_00169
OG0000089	Syah.g_00888	Prae.g_00355
OG0000090	Syah.g_01064	Prae.g_00508
OG0000091	Syah.g_01927	Prae.g_00616
OG0000093	Syah.g_01794	Prae.g_00933
OG0000094	Syah.g_01692	Prae.g_01021
OG0000095	Syah.g_02030	Prae.g_01040
OG0000097	Syah.g_01400	Prae.g_01204
OG0000098	Syah.g_00723	Prae.g_01350
OG0000099	Syah.g_00144	Prae.g_01390
OG0000100	Syah.g_01747	Prae.g_01533
OG0000101	Syah.g_00785	Prae.g_01758
OG0000102	Syah.g_00255	Prae.g_01820
OG0000103	Syah.g_00391	Prae.g_01899
OG0000104	Syah.g_00377	Prae.g_01907
OG0000105	Syah.g_00632	Prae.g_01440
OG0000106	Syah.g_01544	Prae.g_00370
OG0000107	Syah.g_00688	Prae.g_00385
OG0000108	Syah.g_00997	Prae.g_00454
OG0000109	Syah.g_01012	Prae.g_00468
OG0000110	Syah.g_01124	Prae.g_00549
OG0000111	Syah.g_02021	Prae.g_00673
OG0000112	Syah.g_01613	Prae.g_00770
OG0000113	Syah.g_01752	Prae.g_00828
OG0000114	Syah.g_01529	Prae.g_00908
OG0000115	Syah.g_01269	Prae.g_01102
OG0000116	Syah.g_02175	Prae.g_01153
OG0000117	Syah.g_01425	Prae.g_01263
OG0000118	Syah.g_01173	Prae.g_01341
OG0000120	Syah.g_00145	Prae.g_01389
OG0000121	Syah.g_01287	Prae.g_01461
OG0000122	Syah.g_01900	Prae.g_01499
OG0000123	Syah.g_00793	Prae.g_01766
OG0000124	Syah.g_00272	Prae.g_01831
OG0000125	Syah.g_00504	Prae.g_01867
OG0000126	Syah.g_00379	Prae.g_01906
OG0000128	Syah.g_00361	Prae.g_00011
OG0000129	Syah.g_00516	Prae.g_00046
OG0000130	Syah.g_02483	Prae.g_00069
OG0000131	Syah.g_00052	Prae.g_00148
OG0000132	Syah.g_00072	Prae.g_00167
OG0000133	Syah.g_01618	Prae.g_00323
OG0000134	Syah.g_00891	Prae.g_00356
OG0000135	Syah.g_00465	Prae.g_00382
OG0000136	Syah.g_02227	Prae.g_00415
OG0000137	Syah.g_01221	Prae.g_00449
OG0000138	Syah.g_01013	Prae.g_00469
OG0000139	Syah.g_01070	Prae.g_00512
OG0000140	Syah.g_01071	Prae.g_00513
OG0000141	Syah.g_01981	Prae.g_00581
OG0000142	Syah.g_01935	Prae.g_00609
OG0000143	Syah.g_01931	Prae.g_00613
OG0000144	Syah.g_01824	Prae.g_00626
OG0000145	Syah.g_01019	Prae.g_00766
OG0000146	Syah.g_01612	Prae.g_00771
OG0000147	Syah.g_01611	Prae.g_00772
OG0000148	Syah.g_01758	Prae.g_00822
OG0000149	Syah.g_02096	Prae.g_00852
OG0000150	Syah.g_01980	Prae.g_00860
OG0000151	Syah.g_01820	Prae.g_00918
OG0000152	Syah.g_01622	Prae.g_00964
OG0000153	Syah.g_01656	Prae.g_00983
OG0000154	Syah.g_01682	Prae.g_01014
OG0000155	Syah.g_02123	Prae.g_01183
OG0000156	Syah.g_02185	Prae.g_01317
OG0000157	Syah.g_02186	Prae.g_01318
OG0000158	Syah.g_00204	Prae.g_01426
OG0000160	Syah.g_01289	Prae.g_01460
OG0000161	Syah.g_01282	Prae.g_01466
OG0000162	Syah.g_01276	Prae.g_01472
OG0000163	Syah.g_02315	Prae.g_01506
OG0000164	Syah.g_02423	Prae.g_01647
OG0000165	Syah.g_02251	Prae.g_01654
OG0000166	Syah.g_00747	Prae.g_01722
OG0000167	Syah.g_00183	Prae.g_01789
OG0000168	Syah.g_00205	Prae.g_01799
OG0000169	Syah.g_00237	Prae.g_01809
OG0000170	Syah.g_00245	Prae.g_01811
OG0000171	Syah.g_00271	Prae.g_01830
OG0000172	Syah.g_00293	Prae.g_01838
OG0000173	Syah.g_00313	Prae.g_01853
OG0000174	Syah.g_00461	Prae.g_01881
OG0000175	Syah.g_00402	Prae.g_01891
OG0000176	Syah.g_00369	Prae.g_00004
OG0000177	Syah.g_00368	Prae.g_00005
OG0000178	Syah.g_00367	Prae.g_00006
OG0000179	Syah.g_00355	Prae.g_00016
OG0000180	Syah.g_00354	Prae.g_00017
OG0000181	Syah.g_00353	Prae.g_00018
OG0000182	Syah.g_00352	Prae.g_00019
OG0000183	Syah.g_00348	Prae.g_00023
OG0000184	Syah.g_00525	Prae.g_00048
OG0000185	Syah.g_00528	Prae.g_00051
OG0000186	Syah.g_02479	Prae.g_00064
OG0000187	Syah.g_02480	Prae.g_00065
OG0000188	Syah.g_02501	Prae.g_00082
OG0000189	Syah.g_02526	Prae.g_00096
OG0000190	Syah.g_02528	Prae.g_00097
OG0000191	Syah.g_00008	Prae.g_00117
OG0000192	Syah.g_00013	Prae.g_00121
OG0000193	Syah.g_00053	Prae.g_00149
OG0000194	Syah.g_00056	Prae.g_00152
OG0000195	Syah.g_00058	Prae.g_00154
OG0000196	Syah.g_00069	Prae.g_00164
OG0000197	Syah.g_00070	Prae.g_00165
OG0000198	Syah.g_00071	Prae.g_00166
OG0000199	Syah.g_00079	Prae.g_00173
OG0000200	Syah.g_00616	Prae.g_00187
OG0000201	Syah.g_00601	Prae.g_00195
OG0000202	Syah.g_00600	Prae.g_00196
OG0000203	Syah.g_00599	Prae.g_00197
OG0000204	Syah.g_00598	Prae.g_00198
OG0000205	Syah.g_00591	Prae.g_00205
OG0000206	Syah.g_00578	Prae.g_00210
OG0000207	Syah.g_00575	Prae.g_00212
OG0000208	Syah.g_00574	Prae.g_00213
OG0000209	Syah.g_00544	Prae.g_00222
OG0000210	Syah.g_00543	Prae.g_00223
OG0000211	Syah.g_00904	Prae.g_00236
OG0000212	Syah.g_00913	Prae.g_00243
OG0000213	Syah.g_00657	Prae.g_00260
OG0000214	Syah.g_00641	Prae.g_00270
OG0000215	Syah.g_00101	Prae.g_00293
OG0000216	Syah.g_00105	Prae.g_00295
OG0000217	Syah.g_00109	Prae.g_00298
OG0000218	Syah.g_00111	Prae.g_00300
OG0000219	Syah.g_00112	Prae.g_00301
OG0000220	Syah.g_00113	Prae.g_00302
OG0000221	Syah.g_00120	Prae.g_00303
OG0000222	Syah.g_00131	Prae.g_00311
OG0000223	Syah.g_00153	Prae.g_00324
OG0000224	Syah.g_00162	Prae.g_00326
OG0000225	Syah.g_00874	Prae.g_00345
OG0000226	Syah.g_00878	Prae.g_00349
OG0000227	Syah.g_00880	Prae.g_00351
OG0000228	Syah.g_00887	Prae.g_00354
OG0000229	Syah.g_02236	Prae.g_00410
OG0000230	Syah.g_02234	Prae.g_00412
OG0000231	Syah.g_02218	Prae.g_00423
OG0000232	Syah.g_01206	Prae.g_00432
OG0000233	Syah.g_01210	Prae.g_00437
OG0000234	Syah.g_01222	Prae.g_00450
OG0000235	Syah.g_00996	Prae.g_00453
OG0000236	Syah.g_01011	Prae.g_00467
OG0000237	Syah.g_01028	Prae.g_00480
OG0000238	Syah.g_01032	Prae.g_00486
OG0000239	Syah.g_01048	Prae.g_00499
OG0000240	Syah.g_01049	Prae.g_00500
OG0000241	Syah.g_01944	Prae.g_00504
OG0000242	Syah.g_01062	Prae.g_00506
OG0000243	Syah.g_01079	Prae.g_00518
OG0000244	Syah.g_01087	Prae.g_00521
OG0000245	Syah.g_01090	Prae.g_00523
OG0000246	Syah.g_01094	Prae.g_00527
OG0000247	Syah.g_01106	Prae.g_00537
OG0000248	Syah.g_01109	Prae.g_00539
OG0000249	Syah.g_01111	Prae.g_00541
OG0000250	Syah.g_01120	Prae.g_00546
OG0000251	Syah.g_01145	Prae.g_00565
OG0000252	Syah.g_01148	Prae.g_00568
OG0000253	Syah.g_01149	Prae.g_00569
OG0000254	Syah.g_01976	Prae.g_00585
OG0000255	Syah.g_01968	Prae.g_00591
OG0000256	Syah.g_01952	Prae.g_00601
OG0000257	Syah.g_01945	Prae.g_00604
OG0000258	Syah.g_01926	Prae.g_00617
OG0000259	Syah.g_01494	Prae.g_00634
OG0000260	Syah.g_01497	Prae.g_00637
OG0000261	Syah.g_01500	Prae.g_00639
OG0000262	Syah.g_01505	Prae.g_00643
OG0000263	Syah.g_01410	Prae.g_00655
OG0000264	Syah.g_02000	Prae.g_00665
OG0000265	Syah.g_02252	Prae.g_00711
OG0000266	Syah.g_01714	Prae.g_00721
OG0000267	Syah.g_01574	Prae.g_00732
OG0000268	Syah.g_01575	Prae.g_00733
OG0000269	Syah.g_01784	Prae.g_00801
OG0000270	Syah.g_01781	Prae.g_00804
OG0000271	Syah.g_01773	Prae.g_00812
OG0000272	Syah.g_01772	Prae.g_00813
OG0000273	Syah.g_02075	Prae.g_00836
OG0000274	Syah.g_02076	Prae.g_00837
OG0000275	Syah.g_02081	Prae.g_00839
OG0000276	Syah.g_02088	Prae.g_00844
OG0000277	Syah.g_02089	Prae.g_00845
OG0000278	Syah.g_02092	Prae.g_00848
OG0000279	Syah.g_02100	Prae.g_00855
OG0000280	Syah.g_02112	Prae.g_00856
OG0000281	Syah.g_00722	Prae.g_00861
OG0000282	Syah.g_01531	Prae.g_00910
OG0000283	Syah.g_01585	Prae.g_00941
OG0000284	Syah.g_01591	Prae.g_00946
OG0000285	Syah.g_01603	Prae.g_00951
OG0000286	Syah.g_01621	Prae.g_00963
OG0000287	Syah.g_01231, Syah.g_01649	Prae.g_00980
OG0000288	Syah.g_01681	Prae.g_01013
OG0000289	Syah.g_01695	Prae.g_01024
OG0000290	Syah.g_02033	Prae.g_01037
OG0000291	Syah.g_02031	Prae.g_01039
OG0000292	Syah.g_00380	Prae.g_01090
OG0000293	Syah.g_02173	Prae.g_01154
OG0000294	Syah.g_02172	Prae.g_01155
OG0000295	Syah.g_02131	Prae.g_01175
OG0000296	Syah.g_02129	Prae.g_01177
OG0000297	Syah.g_01427	Prae.g_01185
OG0000298	Syah.g_01426	Prae.g_01186
OG0000299	Syah.g_01404	Prae.g_01203
OG0000300	Syah.g_01397	Prae.g_01206
OG0000301	Syah.g_01396	Prae.g_01207
OG0000302	Syah.g_01395	Prae.g_01209
OG0000303	Syah.g_01387	Prae.g_01216
OG0000304	Syah.g_01382	Prae.g_01220
OG0000305	Syah.g_02028	Prae.g_01360
OG0000306	Syah.g_02116	Prae.g_01363
OG0000307	Syah.g_00978	Prae.g_01377
OG0000308	Syah.g_00976	Prae.g_01378
OG0000309	Syah.g_00971	Prae.g_01382
OG0000310	Syah.g_01321	Prae.g_01444
OG0000311	Syah.g_01317	Prae.g_01446
OG0000312	Syah.g_01304	Prae.g_01449
OG0000313	Syah.g_01285	Prae.g_01463
OG0000314	Syah.g_01259	Prae.g_01486
OG0000315	Syah.g_01248	Prae.g_01496
OG0000316	Syah.g_02333	Prae.g_01516
OG0000317	Syah.g_02380	Prae.g_01621
OG0000318	Syah.g_02385	Prae.g_01624
OG0000319	Syah.g_02405	Prae.g_01637
OG0000320	Syah.g_02407	Prae.g_01639
OG0000321	Syah.g_02408	Prae.g_01640
OG0000322	Syah.g_02409	Prae.g_01641
OG0000323	Syah.g_02425	Prae.g_01650
OG0000324	Syah.g_02278	Prae.g_01676
OG0000325	Syah.g_00689	Prae.g_01687
OG0000326	Syah.g_00696	Prae.g_01693
OG0000327	Syah.g_00742	Prae.g_01717
OG0000328	Syah.g_00743	Prae.g_01718
OG0000329	Syah.g_00760	Prae.g_01735
OG0000330	Syah.g_00761	Prae.g_01736
OG0000331	Syah.g_00762	Prae.g_01737
OG0000332	Syah.g_00776	Prae.g_01751
OG0000333	Syah.g_00779	Prae.g_01753
OG0000334	Syah.g_00789	Prae.g_01761
OG0000335	Syah.g_00794	Prae.g_01767
OG0000336	Syah.g_00798	Prae.g_01771
OG0000337	Syah.g_00178	Prae.g_01787
OG0000338	Syah.g_00181	Prae.g_01788
OG0000339	Syah.g_00188	Prae.g_01792
OG0000340	Syah.g_00206	Prae.g_01800
OG0000341	Syah.g_00208	Prae.g_01802
OG0000342	Syah.g_00209	Prae.g_01803
OG0000343	Syah.g_00231	Prae.g_01804
OG0000344	Syah.g_00235	Prae.g_01807
OG0000345	Syah.g_00246	Prae.g_01812
OG0000346	Syah.g_00251	Prae.g_01816
OG0000347	Syah.g_00275	Prae.g_01832
OG0000348	Syah.g_00301	Prae.g_01841
OG0000349	Syah.g_00320	Prae.g_01858
OG0000350	Syah.g_00703	Prae.g_01877
OG0000351	Syah.g_00399	Prae.g_01894
OG0000352	Syah.g_00398	Prae.g_01895
OG0000353	Syah.g_00374	Prae.g_01910
OG0000354	Syah.g_00561	Prae.g_00689
OG0000355	Syah.g_00372	Prae.g_00001
OG0000356	Syah.g_00371	Prae.g_00002
OG0000357	Syah.g_00370	Prae.g_00003
OG0000358	Syah.g_00366	Prae.g_00007
OG0000359	Syah.g_00364	Prae.g_00008
OG0000360	Syah.g_00363	Prae.g_00009
OG0000361	Syah.g_00362	Prae.g_00010
OG0000362	Syah.g_00360	Prae.g_00012
OG0000363	Syah.g_00358	Prae.g_00014
OG0000364	Syah.g_00357	Prae.g_00015
OG0000365	Syah.g_00351	Prae.g_00020
OG0000366	Syah.g_00350	Prae.g_00021
OG0000367	Syah.g_00349	Prae.g_00022
OG0000368	Syah.g_00347	Prae.g_00024
OG0000369	Syah.g_00346	Prae.g_00025
OG0000370	Syah.g_00345	Prae.g_00026
OG0000371	Syah.g_00338	Prae.g_00032
OG0000372	Syah.g_00333	Prae.g_00035
OG0000373	Syah.g_00332	Prae.g_00036
OG0000374	Syah.g_00331	Prae.g_00037
OG0000375	Syah.g_00329	Prae.g_00042
OG0000376	Syah.g_00327	Prae.g_00044
OG0000377	Syah.g_00517	Prae.g_00047
OG0000378	Syah.g_00526	Prae.g_00049
OG0000379	Syah.g_00529	Prae.g_00052
OG0000380	Syah.g_02481	Prae.g_00066
OG0000381	Syah.g_02484	Prae.g_00070
OG0000382	Syah.g_02500	Prae.g_00081
OG0000383	Syah.g_02502	Prae.g_00083
OG0000384	Syah.g_02503	Prae.g_00084
OG0000385	Syah.g_02504	Prae.g_00085
OG0000386	Syah.g_02505	Prae.g_00086
OG0000387	Syah.g_02530	Prae.g_00099
OG0000388	Syah.g_02533	Prae.g_00102
OG0000389	Syah.g_02536	Prae.g_00105
OG0000390	Syah.g_00002	Prae.g_00112
OG0000391	Syah.g_00007	Prae.g_00116
OG0000392	Syah.g_00012	Prae.g_00120
OG0000393	Syah.g_00014	Prae.g_00122
OG0000394	Syah.g_00015	Prae.g_00123
OG0000395	Syah.g_00016	Prae.g_00124
OG0000396	Syah.g_00019	Prae.g_00127
OG0000397	Syah.g_00021	Prae.g_00129
OG0000398	Syah.g_00027	Prae.g_00131
OG0000399	Syah.g_00028	Prae.g_00132
OG0000400	Syah.g_00029	Prae.g_00133
OG0000401	Syah.g_00030	Prae.g_00134
OG0000402	Syah.g_00033	Prae.g_00136
OG0000403	Syah.g_00034	Prae.g_00137
OG0000404	Syah.g_00036	Prae.g_00138
OG0000405	Syah.g_00050	Prae.g_00142
OG0000406	Syah.g_00054	Prae.g_00150
OG0000407	Syah.g_00055	Prae.g_00151
OG0000408	Syah.g_00057	Prae.g_00153
OG0000409	Syah.g_00059	Prae.g_00155
OG0000410	Syah.g_00060	Prae.g_00156
OG0000411	Syah.g_00061	Prae.g_00157
OG0000412	Syah.g_00062	Prae.g_00158
OG0000413	Syah.g_00064	Prae.g_00159
OG0000414	Syah.g_00065	Prae.g_00160
OG0000415	Syah.g_00066	Prae.g_00161
OG0000416	Syah.g_00067	Prae.g_00162
OG0000417	Syah.g_00068	Prae.g_00163
OG0000418	Syah.g_00073	Prae.g_00168
OG0000419	Syah.g_00075	Prae.g_00170
OG0000420	Syah.g_00077	Prae.g_00171
OG0000421	Syah.g_00082	Prae.g_00176
OG0000422	Syah.g_00083	Prae.g_00177
OG0000423	Syah.g_00084	Prae.g_00178
OG0000424	Syah.g_00085	Prae.g_00179
OG0000425	Syah.g_00086	Prae.g_00180
OG0000426	Syah.g_00087	Prae.g_00181
OG0000427	Syah.g_00088	Prae.g_00182
OG0000428	Syah.g_00620	Prae.g_00184
OG0000429	Syah.g_00618	Prae.g_00185
OG0000430	Syah.g_00617	Prae.g_00186
OG0000431	Syah.g_00613	Prae.g_00188
OG0000432	Syah.g_00607	Prae.g_00191
OG0000433	Syah.g_00605	Prae.g_00192
OG0000434	Syah.g_00604	Prae.g_00193
OG0000435	Syah.g_00602	Prae.g_00194
OG0000436	Syah.g_00597	Prae.g_00199
OG0000437	Syah.g_00596	Prae.g_00200
OG0000438	Syah.g_00595	Prae.g_00201
OG0000439	Syah.g_00593	Prae.g_00203
OG0000440	Syah.g_00592	Prae.g_00204
OG0000441	Syah.g_00585	Prae.g_00207
OG0000442	Syah.g_00580	Prae.g_00208
OG0000443	Syah.g_00579	Prae.g_00209
OG0000444	Syah.g_00573	Prae.g_00214
OG0000445	Syah.g_00572	Prae.g_00215
OG0000446	Syah.g_00570	Prae.g_00216
OG0000447	Syah.g_00567	Prae.g_00217
OG0000448	Syah.g_00566	Prae.g_00218
OG0000449	Syah.g_00565	Prae.g_00219
OG0000450	Syah.g_00547	Prae.g_00220
OG0000451	Syah.g_00546	Prae.g_00221
OG0000452	Syah.g_00542	Prae.g_00224
OG0000453	Syah.g_00541	Prae.g_00225
OG0000454	Syah.g_00540	Prae.g_00226
OG0000455	Syah.g_00539	Prae.g_00227
OG0000456	Syah.g_00538	Prae.g_00228
OG0000457	Syah.g_00536	Prae.g_00229
OG0000458	Syah.g_00535	Prae.g_00230
OG0000459	Syah.g_00534	Prae.g_00231
OG0000460	Syah.g_00906	Prae.g_00238
OG0000461	Syah.g_00678	Prae.g_00245
OG0000462	Syah.g_00675	Prae.g_00247
OG0000463	Syah.g_00674	Prae.g_00248
OG0000464	Syah.g_00673	Prae.g_00249
OG0000465	Syah.g_00672	Prae.g_00250
OG0000466	Syah.g_00668	Prae.g_00253
OG0000467	Syah.g_00666	Prae.g_00254
OG0000468	Syah.g_00661	Prae.g_00256
OG0000469	Syah.g_00647	Prae.g_00265
OG0000470	Syah.g_00645	Prae.g_00267
OG0000471	Syah.g_00644	Prae.g_00268
OG0000472	Syah.g_00642	Prae.g_00269
OG0000473	Syah.g_00640	Prae.g_00271
OG0000474	Syah.g_00639	Prae.g_00272
OG0000475	Syah.g_00638	Prae.g_00273
OG0000476	Syah.g_00636	Prae.g_00274
OG0000477	Syah.g_00630	Prae.g_00276
OG0000478	Syah.g_00629	Prae.g_00277
OG0000479	Syah.g_00628	Prae.g_00278
OG0000480	Syah.g_00089	Prae.g_00283
OG0000481	Syah.g_00091	Prae.g_00285
OG0000482	Syah.g_00092	Prae.g_00286
OG0000483	Syah.g_00096	Prae.g_00289
OG0000484	Syah.g_00097	Prae.g_00290
OG0000485	Syah.g_00098	Prae.g_00291
OG0000486	Syah.g_00099	Prae.g_00292
OG0000487	Syah.g_00106	Prae.g_00296
OG0000488	Syah.g_00110	Prae.g_00299
OG0000489	Syah.g_00121	Prae.g_00304
OG0000490	Syah.g_00129	Prae.g_00309
OG0000491	Syah.g_00130	Prae.g_00310
OG0000492	Syah.g_00132	Prae.g_00312
OG0000493	Syah.g_00133	Prae.g_00313
OG0000494	Syah.g_00134	Prae.g_00314
OG0000495	Syah.g_00135	Prae.g_00315
OG0000496	Syah.g_00136	Prae.g_00316
OG0000497	Syah.g_00137	Prae.g_00317
OG0000498	Syah.g_00138	Prae.g_00318
OG0000499	Syah.g_00139	Prae.g_00319
OG0000500	Syah.g_00140	Prae.g_00320
OG0000501	Syah.g_00143	Prae.g_00322
OG0000502	Syah.g_00155	Prae.g_00325
OG0000503	Syah.g_00858	Prae.g_00335
OG0000504	Syah.g_00860	Prae.g_00336
OG0000505	Syah.g_00861	Prae.g_00337
OG0000506	Syah.g_00863	Prae.g_00338
OG0000507	Syah.g_00869	Prae.g_00341
OG0000508	Syah.g_00873	Prae.g_00344
OG0000509	Syah.g_00875	Prae.g_00346
OG0000510	Syah.g_00876	Prae.g_00347
OG0000511	Syah.g_00877	Prae.g_00348
OG0000512	Syah.g_00879	Prae.g_00350
OG0000513	Syah.g_00892	Prae.g_00357
OG0000514	Syah.g_00899	Prae.g_00405
OG0000515	Syah.g_00900	Prae.g_00406
OG0000516	Syah.g_02231	Prae.g_00407
OG0000517	Syah.g_02237	Prae.g_00409
OG0000518	Syah.g_02221	Prae.g_00420
OG0000519	Syah.g_02220	Prae.g_00421
OG0000520	Syah.g_02219	Prae.g_00422
OG0000521	Syah.g_01202	Prae.g_00427
OG0000522	Syah.g_01204	Prae.g_00429
OG0000523	Syah.g_01205	Prae.g_00430
OG0000524	Syah.g_01207	Prae.g_00435
OG0000525	Syah.g_01212	Prae.g_00438
OG0000526	Syah.g_01215	Prae.g_00439
OG0000527	Syah.g_01219	Prae.g_00447
OG0000528	Syah.g_00991	Prae.g_00452
OG0000529	Syah.g_00998	Prae.g_00455
OG0000530	Syah.g_01001	Prae.g_00458
OG0000531	Syah.g_01002	Prae.g_00459
OG0000532	Syah.g_01005	Prae.g_00461
OG0000533	Syah.g_01006	Prae.g_00462
OG0000534	Syah.g_01007	Prae.g_00463
OG0000535	Syah.g_01008	Prae.g_00464
OG0000536	Syah.g_01009	Prae.g_00465
OG0000537	Syah.g_01010	Prae.g_00466
OG0000538	Syah.g_01021	Prae.g_00474
OG0000539	Syah.g_01022	Prae.g_00475
OG0000540	Syah.g_01023	Prae.g_00476
OG0000541	Syah.g_01024	Prae.g_00477
OG0000542	Syah.g_01027	Prae.g_00479
OG0000543	Syah.g_01029	Prae.g_00481
OG0000545	Syah.g_01031	Prae.g_00484
OG0000546	Syah.g_01033	Prae.g_00487
OG0000547	Syah.g_01035	Prae.g_00489
OG0000548	Syah.g_01036	Prae.g_00490
OG0000549	Syah.g_01042	Prae.g_00492
OG0000550	Syah.g_01046	Prae.g_00497
OG0000551	Syah.g_01051	Prae.g_00501
OG0000552	Syah.g_01052	Prae.g_00502
OG0000553	Syah.g_01054	Prae.g_00503
OG0000554	Syah.g_01065	Prae.g_00509
OG0000555	Syah.g_01078	Prae.g_00517
OG0000556	Syah.g_01084	Prae.g_00519
OG0000557	Syah.g_01086	Prae.g_00520
OG0000558	Syah.g_01088	Prae.g_00522
OG0000559	Syah.g_01093	Prae.g_00526
OG0000560	Syah.g_01096	Prae.g_00529
OG0000561	Syah.g_01097	Prae.g_00530
OG0000562	Syah.g_01098	Prae.g_00531
OG0000563	Syah.g_01099	Prae.g_00532
OG0000564	Syah.g_01100	Prae.g_00533
OG0000565	Syah.g_01104	Prae.g_00536
OG0000566	Syah.g_01108	Prae.g_00538
OG0000567	Syah.g_01112	Prae.g_00542
OG0000568	Syah.g_01116	Prae.g_00543
OG0000569	Syah.g_01117	Prae.g_00544
OG0000570	Syah.g_01118	Prae.g_00545
OG0000571	Syah.g_01122	Prae.g_00547
OG0000572	Syah.g_01137	Prae.g_00560
OG0000573	Syah.g_01146	Prae.g_00566
OG0000574	Syah.g_01147	Prae.g_00567
OG0000575	Syah.g_01151	Prae.g_00571
OG0000576	Syah.g_01153	Prae.g_00573
OG0000577	Syah.g_01154	Prae.g_00574
OG0000578	Syah.g_01155	Prae.g_00575
OG0000579	Syah.g_01156	Prae.g_00576
OG0000580	Syah.g_01157	Prae.g_00577
OG0000581	Syah.g_01163	Prae.g_00579
OG0000582	Syah.g_01979	Prae.g_00582
OG0000583	Syah.g_01978	Prae.g_00583
