Orthogroup	Syad	Prbd
OG0000060	Syad.g_02370, Syad.g_00899, Syad.g_01508	Prbd.g_00824
OG0000061	Syad.g_01152	Prbd.g_00468
OG0000062	Syad.g_02598	Prbd.g_01610
OG0000063	Syad.g_00202	Prbd.g_01204
OG0000065	Syad.g_02801, Syad.g_02574	Prbd.g_01137
OG0000066	Syad.g_00992	Prbd.g_00703
OG0000067	Syad.g_01889	Prbd.g_00102
OG0000068	Syad.g_00891	Prbd.g_01764
OG0000070	Syad.g_02424	Prbd.g_00792
OG0000071	Syad.g_02405	Prbd.g_01801
OG0000072	Syad.g_02905	Prbd.g_01069
OG0000073	Syad.g_00926	Prbd.g_00743
OG0000075	Syad.g_00416	Prbd.g_01359
OG0000076	Syad.g_00348	Prbd.g_01335
OG0000077	Syad.g_02741	Prbd.g_01166
OG0000078	Syad.g_00824	Prbd.g_01000
OG0000079	Syad.g_00565	Prbd.g_00987
OG0000081	Syad.g_00833	Prbd.g_00711
OG0000082	Syad.g_01063	Prbd.g_00658
OG0000084	Syad.g_02272	Prbd.g_01693
OG0000085	Syad.g_02612	Prbd.g_01532
OG0000086	Syad.g_02770	Prbd.g_01156
OG0000087	Syad.g_02860	Prbd.g_01104, Prbd.g_01103
OG0000088	Syad.g_02899	Prbd.g_01074
OG0000089	Syad.g_00785, Syad.g_02829	Prbd.g_00883
OG0000090	Syad.g_00977	Prbd.g_00709
OG0000091	Syad.g_02144	Prbd.g_00602
OG0000092	Syad.g_01190	Prbd.g_01193
OG0000093	Syad.g_01905	Prbd.g_00232
OG0000094	Syad.g_01676	Prbd.g_00321
OG0000095	Syad.g_01290	Prbd.g_00340
OG0000097	Syad.g_01458	Prbd.g_00509
OG0000098	Syad.g_00625	Prbd.g_01782
OG0000099	Syad.g_00460	Prbd.g_01734
OG0000100	Syad.g_01846	Prbd.g_01614
OG0000101	Syad.g_00694	Prbd.g_01391
OG0000102	Syad.g_00343	Prbd.g_01330
OG0000103	Syad.g_00143	Prbd.g_01250
OG0000104	Syad.g_00158	Prbd.g_01241
OG0000105	Syad.g_00530	Prbd.g_00965
OG0000106	Syad.g_01993	Prbd.g_00868
OG0000107	Syad.g_00590	Prbd.g_00852
OG0000108	Syad.g_00904	Prbd.g_00762
OG0000109	Syad.g_00919	Prbd.g_00748
OG0000110	Syad.g_01048	Prbd.g_00668
OG0000111	Syad.g_01300	Prbd.g_00545
OG0000112	Syad.g_01766	Prbd.g_00066
OG0000113	Syad.g_01851	Prbd.g_00124
OG0000114	Syad.g_01617	Prbd.g_00206
OG0000115	Syad.g_02300	Prbd.g_00401
OG0000116	Syad.g_01123	Prbd.g_00458
OG0000117	Syad.g_01510	Prbd.g_01895
OG0000118	Syad.g_01104	Prbd.g_01789
OG0000119	Syad.g_01168	Prbd.g_01768
OG0000120	Syad.g_00459	Prbd.g_01737
OG0000121	Syad.g_02280	Prbd.g_01687
OG0000122	Syad.g_02122	Prbd.g_01649
OG0000123	Syad.g_00701	Prbd.g_01384
OG0000124	Syad.g_00320	Prbd.g_01318
OG0000125	Syad.g_03040	Prbd.g_01281
OG0000126	Syad.g_00156	Prbd.g_01242
OG0000128	Syad.g_00174	Prbd.g_01226
OG0000129	Syad.g_03028	Prbd.g_01194
OG0000130	Syad.g_02728	Prbd.g_01175
OG0000131	Syad.g_02876	Prbd.g_01095
OG0000132	Syad.g_02897	Prbd.g_01076
OG0000133	Syad.g_01761	Prbd.g_00917
OG0000134	Syad.g_00788	Prbd.g_00882
OG0000135	Syad.g_00063	Prbd.g_00855
OG0000136	Syad.g_02445	Prbd.g_01722, Prbd.g_00801
OG0000137	Syad.g_02353	Prbd.g_00767
OG0000138	Syad.g_00920	Prbd.g_00747
OG0000139	Syad.g_00983	Prbd.g_00705
OG0000140	Syad.g_00987	Prbd.g_00704
OG0000141	Syad.g_02208	Prbd.g_00637
OG0000142	Syad.g_02152	Prbd.g_00609
OG0000143	Syad.g_02148	Prbd.g_00605
OG0000144	Syad.g_02024	Prbd.g_00592
OG0000145	Syad.g_00927	Prbd.g_00062
OG0000146	Syad.g_01767	Prbd.g_00067
OG0000147	Syad.g_01768	Prbd.g_00068
OG0000148	Syad.g_01861	Prbd.g_00118
OG0000149	Syad.g_01221	Prbd.g_00149
OG0000150	Syad.g_02207, Syad.g_00989	Prbd.g_00157
OG0000151	Syad.g_01956	Prbd.g_00216
OG0000152	Syad.g_01757	Prbd.g_00264
OG0000153	Syad.g_01713	Prbd.g_00283
OG0000154	Syad.g_01686	Prbd.g_00314
OG0000155	Syad.g_01189	Prbd.g_00488
OG0000156	Syad.g_01116	Prbd.g_01812
OG0000157	Syad.g_01115	Prbd.g_01811
OG0000158	Syad.g_00374	Prbd.g_01736
OG0000160	Syad.g_02279	Prbd.g_01688
OG0000161	Syad.g_02287	Prbd.g_01682
OG0000162	Syad.g_02293	Prbd.g_01676
OG0000163	Syad.g_02542	Prbd.g_01642
OG0000164	Syad.g_02659	Prbd.g_01501
OG0000165	Syad.g_02476	Prbd.g_01494
OG0000166	Syad.g_00654	Prbd.g_01427
OG0000167	Syad.g_00419	Prbd.g_01361
OG0000168	Syad.g_00371	Prbd.g_01351
OG0000169	Syad.g_00360	Prbd.g_01341
OG0000170	Syad.g_00353	Prbd.g_01339
OG0000171	Syad.g_00321	Prbd.g_01319
OG0000172	Syad.g_00244	Prbd.g_01310
OG0000173	Syad.g_00220	Prbd.g_01295
OG0000174	Syad.g_00065	Prbd.g_01268
OG0000175	Syad.g_00129	Prbd.g_01258
OG0000176	Syad.g_00166	Prbd.g_01233
OG0000177	Syad.g_00167	Prbd.g_01232
OG0000178	Syad.g_00168	Prbd.g_01231
OG0000179	Syad.g_00183	Prbd.g_01221
OG0000180	Syad.g_00184	Prbd.g_01220
OG0000181	Syad.g_00185	Prbd.g_01219
OG0000182	Syad.g_00186	Prbd.g_01218
OG0000183	Syad.g_00190	Prbd.g_01214
OG0000184	Syad.g_03018	Prbd.g_01191
OG0000185	Syad.g_03006	Prbd.g_01188
OG0000186	Syad.g_02722	Prbd.g_01180
OG0000187	Syad.g_02724	Prbd.g_01179
OG0000188	Syad.g_02759	Prbd.g_01162
OG0000189	Syad.g_02788	Prbd.g_01148
OG0000190	Syad.g_02790	Prbd.g_01147
OG0000191	Syad.g_02824	Prbd.g_01126
OG0000192	Syad.g_02834	Prbd.g_01122
OG0000193	Syad.g_02877	Prbd.g_01094
OG0000194	Syad.g_02880	Prbd.g_01091
OG0000195	Syad.g_02884	Prbd.g_01089
OG0000196	Syad.g_02894	Prbd.g_01079
OG0000197	Syad.g_02895	Prbd.g_01078
OG0000198	Syad.g_02896	Prbd.g_01077
OG0000199	Syad.g_02904	Prbd.g_01070
OG0000200	Syad.g_02921	Prbd.g_01056
OG0000201	Syad.g_02937	Prbd.g_01048
OG0000202	Syad.g_02938	Prbd.g_01047
OG0000203	Syad.g_02939	Prbd.g_01046
OG0000204	Syad.g_02940	Prbd.g_01045
OG0000205	Syad.g_02948	Prbd.g_01038
OG0000206	Syad.g_02955	Prbd.g_01033
OG0000207	Syad.g_02957	Prbd.g_01031
OG0000208	Syad.g_02958	Prbd.g_01030
OG0000209	Syad.g_02981	Prbd.g_01021
OG0000210	Syad.g_02982	Prbd.g_01020
OG0000211	Syad.g_00813	Prbd.g_01006
OG0000212	Syad.g_00825	Prbd.g_00999
OG0000213	Syad.g_00556	Prbd.g_00982
OG0000214	Syad.g_00538	Prbd.g_00972
OG0000215	Syad.g_00508	Prbd.g_00947
OG0000216	Syad.g_00504, Syad.g_00285	Prbd.g_00945
OG0000217	Syad.g_00500	Prbd.g_00942
OG0000218	Syad.g_00498	Prbd.g_00940
OG0000219	Syad.g_00497	Prbd.g_00939
OG0000220	Syad.g_00496	Prbd.g_00938
OG0000221	Syad.g_00488	Prbd.g_00937
OG0000222	Syad.g_00473	Prbd.g_00929
OG0000223	Syad.g_00451	Prbd.g_00916
OG0000224	Syad.g_00444	Prbd.g_00914
OG0000225	Syad.g_00777	Prbd.g_00893
OG0000226	Syad.g_00781	Prbd.g_00889
OG0000227	Syad.g_00783	Prbd.g_00887
OG0000228	Syad.g_00784	Prbd.g_00884
OG0000229	Syad.g_02450	Prbd.g_00806
OG0000230	Syad.g_02448	Prbd.g_00804
OG0000231	Syad.g_02436	Prbd.g_00793
OG0000232	Syad.g_02392	Prbd.g_00784
OG0000233	Syad.g_02382	Prbd.g_00779
OG0000234	Syad.g_02351	Prbd.g_00766
OG0000235	Syad.g_00903	Prbd.g_00763
OG0000236	Syad.g_00918	Prbd.g_00749
OG0000237	Syad.g_00936	Prbd.g_00736
OG0000238	Syad.g_00941	Prbd.g_00730
OG0000239	Syad.g_00957	Prbd.g_00717
OG0000240	Syad.g_00958	Prbd.g_00716
OG0000241	Syad.g_02160	Prbd.g_00712
OG0000242	Syad.g_00975	Prbd.g_00710
OG0000243	Syad.g_01000	Prbd.g_00699
OG0000244	Syad.g_01012	Prbd.g_00696
OG0000245	Syad.g_01014	Prbd.g_00694
OG0000246	Syad.g_01017	Prbd.g_00690
OG0000247	Syad.g_01029	Prbd.g_00680
OG0000248	Syad.g_01032	Prbd.g_00678
OG0000249	Syad.g_01034	Prbd.g_00676
OG0000250	Syad.g_01044	Prbd.g_00671
OG0000251	Syad.g_01071	Prbd.g_00653
OG0000252	Syad.g_01078	Prbd.g_00650
OG0000253	Syad.g_01081	Prbd.g_00649
OG0000254	Syad.g_02203	Prbd.g_00633
OG0000255	Syad.g_02185	Prbd.g_00627
OG0000256	Syad.g_02167	Prbd.g_00617
OG0000257	Syad.g_02161	Prbd.g_00614
OG0000258	Syad.g_02143	Prbd.g_00601
OG0000259	Syad.g_01576	Prbd.g_00584
OG0000260	Syad.g_01587	Prbd.g_00581
OG0000261	Syad.g_01590	Prbd.g_00579
OG0000262	Syad.g_01595	Prbd.g_00575
OG0000263	Syad.g_01475	Prbd.g_00563
OG0000264	Syad.g_01360	Prbd.g_00553
OG0000265	Syad.g_01383	Prbd.g_00007
OG0000266	Syad.g_01804	Prbd.g_00017
OG0000267	Syad.g_01645	Prbd.g_00028
OG0000268	Syad.g_01646	Prbd.g_00029
OG0000269	Syad.g_01894	Prbd.g_00097
OG0000270	Syad.g_01891	Prbd.g_00100
OG0000271	Syad.g_01883	Prbd.g_00108
OG0000272	Syad.g_01882	Prbd.g_00109
OG0000273	Syad.g_01247	Prbd.g_00132
OG0000274	Syad.g_01246	Prbd.g_00133
OG0000275	Syad.g_01242	Prbd.g_00136
OG0000276	Syad.g_01229	Prbd.g_00141
OG0000277	Syad.g_01228	Prbd.g_00142
OG0000278	Syad.g_01225	Prbd.g_00145
OG0000279	Syad.g_01208	Prbd.g_00152
OG0000280	Syad.g_01198	Prbd.g_00153
OG0000281	Syad.g_00624	Prbd.g_00158
OG0000282	Syad.g_01619	Prbd.g_00208
OG0000283	Syad.g_01661	Prbd.g_00241
OG0000284	Syad.g_01787	Prbd.g_00246
OG0000285	Syad.g_01776	Prbd.g_00251
OG0000286	Syad.g_01758	Prbd.g_00263
OG0000287	Syad.g_01720	Prbd.g_00280
OG0000288	Syad.g_01687	Prbd.g_00313
OG0000289	Syad.g_01672	Prbd.g_00324
OG0000290	Syad.g_01287	Prbd.g_00337
OG0000291	Syad.g_01289	Prbd.g_00339
OG0000292	Syad.g_00155	Prbd.g_00389
OG0000293	Syad.g_01124	Prbd.g_00459
OG0000294	Syad.g_01125	Prbd.g_00460
OG0000295	Syad.g_01181	Prbd.g_00480
OG0000296	Syad.g_01183	Prbd.g_00482
OG0000297	Syad.g_01512	Prbd.g_00490
OG0000298	Syad.g_01511	Prbd.g_00491
OG0000299	Syad.g_01462	Prbd.g_00508
OG0000300	Syad.g_01455	Prbd.g_00511
OG0000301	Syad.g_01454	Prbd.g_00512
OG0000302	Syad.g_01453	Prbd.g_00514
OG0000303	Syad.g_01442	Prbd.g_00521
OG0000304	Syad.g_01436	Prbd.g_00525
OG0000305	Syad.g_01292	Prbd.g_01772
OG0000306	Syad.g_01989	Prbd.g_01769
OG0000307	Syad.g_00883	Prbd.g_01755
OG0000308	Syad.g_00881	Prbd.g_01754
OG0000309	Syad.g_00876	Prbd.g_01750
OG0000310	Syad.g_02250	Prbd.g_01704
OG0000311	Syad.g_02254	Prbd.g_01702
OG0000312	Syad.g_02265	Prbd.g_01699
OG0000313	Syad.g_02284	Prbd.g_01685
OG0000314	Syad.g_02313, Syad.g_02231	Prbd.g_01662
OG0000315	Syad.g_02323	Prbd.g_01652
OG0000316	Syad.g_02564	Prbd.g_01632
OG0000317	Syad.g_02620	Prbd.g_01527
OG0000318	Syad.g_02624	Prbd.g_01524
OG0000319	Syad.g_02642	Prbd.g_01511
OG0000320	Syad.g_02644	Prbd.g_01509
OG0000321	Syad.g_02645	Prbd.g_01508
OG0000322	Syad.g_02646	Prbd.g_01507
OG0000323	Syad.g_02661	Prbd.g_01498
OG0000324	Syad.g_02505	Prbd.g_01471
OG0000325	Syad.g_00591	Prbd.g_01462
OG0000326	Syad.g_00598	Prbd.g_01456
OG0000327	Syad.g_00649	Prbd.g_01432
OG0000328	Syad.g_00650	Prbd.g_01431
OG0000329	Syad.g_00668	Prbd.g_01414
OG0000330	Syad.g_00669	Prbd.g_01413
OG0000331	Syad.g_00670	Prbd.g_01412
OG0000332	Syad.g_00685	Prbd.g_01398
OG0000333	Syad.g_00688	Prbd.g_01396
OG0000334	Syad.g_00697	Prbd.g_01388
OG0000335	Syad.g_00702	Prbd.g_01383
OG0000336	Syad.g_00706	Prbd.g_01379
OG0000337	Syad.g_00425, Syad.g_00427	Prbd.g_01363
OG0000338	Syad.g_00421	Prbd.g_01362
OG0000339	Syad.g_00414	Prbd.g_01358
OG0000340	Syad.g_00370	Prbd.g_01350
OG0000341	Syad.g_00368	Prbd.g_01348
OG0000342	Syad.g_00367	Prbd.g_01347
OG0000343	Syad.g_00366	Prbd.g_01346
OG0000344	Syad.g_00362	Prbd.g_01343
OG0000345	Syad.g_00352	Prbd.g_01338
OG0000346	Syad.g_00347	Prbd.g_01334
OG0000347	Syad.g_00318	Prbd.g_01317
OG0000348	Syad.g_00233	Prbd.g_01307
OG0000349	Syad.g_00213	Prbd.g_01290
OG0000350	Syad.g_00605	Prbd.g_01272
OG0000351	Syad.g_00134	Prbd.g_01255
OG0000352	Syad.g_00135	Prbd.g_01254
OG0000353	Syad.g_00161	Prbd.g_01238
OG0000355	Syad.g_00163	Prbd.g_01236
OG0000356	Syad.g_00164	Prbd.g_01235
OG0000357	Syad.g_00165	Prbd.g_01234
OG0000358	Syad.g_00169	Prbd.g_01230
OG0000359	Syad.g_00171	Prbd.g_01229
OG0000360	Syad.g_00172	Prbd.g_01228
OG0000361	Syad.g_00173	Prbd.g_01227
OG0000362	Syad.g_00175	Prbd.g_01225
OG0000363	Syad.g_00177	Prbd.g_01223
OG0000364	Syad.g_00178	Prbd.g_01222
OG0000365	Syad.g_00187	Prbd.g_01217
OG0000366	Syad.g_00188	Prbd.g_01216
OG0000367	Syad.g_00189	Prbd.g_01215
OG0000368	Syad.g_00191	Prbd.g_01213
OG0000369	Syad.g_00192	Prbd.g_01212
OG0000370	Syad.g_00193	Prbd.g_01211
OG0000371	Syad.g_00201	Prbd.g_01205
OG0000372	Syad.g_00206	Prbd.g_01202
OG0000373	Syad.g_00207	Prbd.g_01201
OG0000374	Syad.g_00208	Prbd.g_01200
OG0000375	Syad.g_00209	Prbd.g_01198
OG0000376	Syad.g_00211	Prbd.g_01196
OG0000377	Syad.g_03027	Prbd.g_01192
OG0000378	Syad.g_03012	Prbd.g_01190
OG0000379	Syad.g_03005	Prbd.g_01187
OG0000380	Syad.g_02725	Prbd.g_01178
OG0000381	Syad.g_02729	Prbd.g_01174
OG0000382	Syad.g_02758	Prbd.g_01163
OG0000383	Syad.g_02761	Prbd.g_01161
OG0000384	Syad.g_02762	Prbd.g_01160
OG0000385	Syad.g_02763	Prbd.g_01159
OG0000386	Syad.g_02764	Prbd.g_01158
OG0000387	Syad.g_02792	Prbd.g_01145
OG0000388	Syad.g_02796	Prbd.g_01142
OG0000389	Syad.g_02800	Prbd.g_01138
OG0000390	Syad.g_02818	Prbd.g_01131
OG0000391	Syad.g_02823	Prbd.g_01127
OG0000392	Syad.g_02833	Prbd.g_01123
OG0000393	Syad.g_02837	Prbd.g_01121
OG0000394	Syad.g_02838	Prbd.g_01120
OG0000395	Syad.g_02839	Prbd.g_01119
OG0000396	Syad.g_02843	Prbd.g_01116
OG0000397	Syad.g_02845	Prbd.g_01114
OG0000398	Syad.g_02850	Prbd.g_01112
OG0000399	Syad.g_02851	Prbd.g_01111
OG0000400	Syad.g_02852	Prbd.g_01110
OG0000401	Syad.g_02853	Prbd.g_01109
OG0000402	Syad.g_02855	Prbd.g_01107
OG0000403	Syad.g_02856	Prbd.g_01106
OG0000404	Syad.g_02858	Prbd.g_01105
OG0000405	Syad.g_02874	Prbd.g_01100
OG0000406	Syad.g_02878	Prbd.g_01093
OG0000407	Syad.g_02879	Prbd.g_01092
OG0000408	Syad.g_02883	Prbd.g_01090
OG0000409	Syad.g_02885	Prbd.g_01088
OG0000410	Syad.g_02886	Prbd.g_01087
OG0000411	Syad.g_02887	Prbd.g_01086
OG0000412	Syad.g_02888	Prbd.g_01085
OG0000413	Syad.g_02890	Prbd.g_01084
OG0000415	Syad.g_02891	Prbd.g_01082
OG0000416	Syad.g_02892	Prbd.g_01081
OG0000417	Syad.g_02893	Prbd.g_01080
OG0000418	Syad.g_02898	Prbd.g_01075
OG0000419	Syad.g_02900	Prbd.g_01073
OG0000420	Syad.g_02902	Prbd.g_01072
OG0000421	Syad.g_02907	Prbd.g_01067
OG0000422	Syad.g_02908	Prbd.g_01066
OG0000423	Syad.g_02909	Prbd.g_01065
OG0000424	Syad.g_02910	Prbd.g_01064
OG0000425	Syad.g_02911	Prbd.g_01063
OG0000426	Syad.g_02912	Prbd.g_01062
OG0000427	Syad.g_02913	Prbd.g_01061
OG0000428	Syad.g_02916	Prbd.g_01059
OG0000429	Syad.g_02918	Prbd.g_01058
OG0000430	Syad.g_02920	Prbd.g_01057
OG0000431	Syad.g_02923	Prbd.g_01055
OG0000432	Syad.g_02930	Prbd.g_01052
OG0000433	Syad.g_02933	Prbd.g_01051
OG0000434	Syad.g_02934	Prbd.g_01050
OG0000435	Syad.g_02936	Prbd.g_01049
OG0000436	Syad.g_02942	Prbd.g_01044
OG0000437	Syad.g_02943	Prbd.g_01043
OG0000438	Syad.g_02944	Prbd.g_01042
OG0000439	Syad.g_02946	Prbd.g_01040
OG0000440	Syad.g_02947	Prbd.g_01039
OG0000441	Syad.g_02951	Prbd.g_01036
OG0000442	Syad.g_02952	Prbd.g_01035
OG0000443	Syad.g_02953	Prbd.g_01034
OG0000444	Syad.g_02964	Prbd.g_01029
OG0000445	Syad.g_02965	Prbd.g_01028
OG0000446	Syad.g_02967	Prbd.g_01027
OG0000447	Syad.g_02970	Prbd.g_01026
OG0000448	Syad.g_02971	Prbd.g_01025
OG0000449	Syad.g_02972	Prbd.g_01024
OG0000450	Syad.g_02978	Prbd.g_01023
OG0000451	Syad.g_02979	Prbd.g_01022
OG0000452	Syad.g_02983	Prbd.g_01019
OG0000453	Syad.g_02984	Prbd.g_01018
OG0000454	Syad.g_02985	Prbd.g_01017
OG0000455	Syad.g_02986	Prbd.g_01016
OG0000456	Syad.g_02987	Prbd.g_01015
OG0000457	Syad.g_02989	Prbd.g_01013
OG0000458	Syad.g_02998	Prbd.g_01012
OG0000459	Syad.g_02999	Prbd.g_01011
OG0000460	Syad.g_00815	Prbd.g_01004
OG0000461	Syad.g_00579	Prbd.g_00997
OG0000462	Syad.g_00576	Prbd.g_00995
OG0000463	Syad.g_00575	Prbd.g_00994
OG0000464	Syad.g_00574	Prbd.g_00993
OG0000465	Syad.g_00573	Prbd.g_00992
OG0000466	Syad.g_00568	Prbd.g_00989
OG0000467	Syad.g_00566	Prbd.g_00988
OG0000468	Syad.g_00561	Prbd.g_00986
OG0000469	Syad.g_00545	Prbd.g_00977
OG0000470	Syad.g_00542	Prbd.g_00975
OG0000471	Syad.g_00541	Prbd.g_00974
OG0000472	Syad.g_00539	Prbd.g_00973
OG0000473	Syad.g_00537	Prbd.g_00971
OG0000474	Syad.g_00536	Prbd.g_00970
OG0000475	Syad.g_00535	Prbd.g_00969
OG0000476	Syad.g_00533	Prbd.g_00968
OG0000477	Syad.g_00528	Prbd.g_00964
OG0000478	Syad.g_00527	Prbd.g_00963
OG0000479	Syad.g_00526	Prbd.g_00962
OG0000480	Syad.g_00520	Prbd.g_00957
OG0000481	Syad.g_00518	Prbd.g_00955
OG0000482	Syad.g_00517	Prbd.g_00954
OG0000483	Syad.g_00513	Prbd.g_00951
OG0000484	Syad.g_00512	Prbd.g_00950
OG0000485	Syad.g_00511	Prbd.g_00949
OG0000486	Syad.g_00510	Prbd.g_00948
OG0000487	Syad.g_00503	Prbd.g_00944
OG0000488	Syad.g_00499	Prbd.g_00941
OG0000489	Syad.g_00487	Prbd.g_00936
OG0000490	Syad.g_00475	Prbd.g_00931
OG0000491	Syad.g_00474	Prbd.g_00930
OG0000492	Syad.g_00472	Prbd.g_00928
OG0000493	Syad.g_00471	Prbd.g_00927
OG0000494	Syad.g_00470	Prbd.g_00926
OG0000495	Syad.g_00469	Prbd.g_00925
OG0000496	Syad.g_00468	Prbd.g_00924
OG0000497	Syad.g_00467	Prbd.g_00923
OG0000498	Syad.g_00466	Prbd.g_00922
OG0000499	Syad.g_00465	Prbd.g_00921
OG0000500	Syad.g_00464	Prbd.g_00920
OG0000501	Syad.g_00461	Prbd.g_00918
OG0000502	Syad.g_00449	Prbd.g_00915
OG0000503	Syad.g_00761	Prbd.g_00905
OG0000504	Syad.g_00763	Prbd.g_00904
OG0000505	Syad.g_00764	Prbd.g_00903
OG0000506	Syad.g_00766	Prbd.g_00901
OG0000507	Syad.g_00772	Prbd.g_00898
OG0000508	Syad.g_00776	Prbd.g_00894
OG0000509	Syad.g_00778	Prbd.g_00892
OG0000510	Syad.g_00779	Prbd.g_00891
OG0000511	Syad.g_00780	Prbd.g_00890
OG0000512	Syad.g_00782	Prbd.g_00888
OG0000513	Syad.g_00789	Prbd.g_00881
OG0000514	Syad.g_00795	Prbd.g_00811
OG0000515	Syad.g_00796	Prbd.g_00810
OG0000516	Syad.g_02456	Prbd.g_00809
OG0000517	Syad.g_02451	Prbd.g_00807
OG0000518	Syad.g_02439	Prbd.g_00796
OG0000519	Syad.g_02438	Prbd.g_00795
OG0000520	Syad.g_02437	Prbd.g_00794
OG0000521	Syad.g_01108	Prbd.g_00789
OG0000522	Syad.g_01109	Prbd.g_00787
OG0000523	Syad.g_01110	Prbd.g_00786
OG0000524	Syad.g_02386	Prbd.g_00781
OG0000525	Syad.g_02363	Prbd.g_00778
OG0000526	Syad.g_02360	Prbd.g_00777
OG0000527	Syad.g_02355	Prbd.g_00769
OG0000528	Syad.g_00897	Prbd.g_00764
OG0000529	Syad.g_00905	Prbd.g_00761
OG0000530	Syad.g_00908	Prbd.g_00758
OG0000531	Syad.g_00909	Prbd.g_00757
OG0000532	Syad.g_00912	Prbd.g_00755
OG0000533	Syad.g_00913	Prbd.g_00754
OG0000534	Syad.g_00914	Prbd.g_00753
OG0000535	Syad.g_00915	Prbd.g_00752
OG0000536	Syad.g_00916	Prbd.g_00751
OG0000537	Syad.g_00917	Prbd.g_00750
OG0000538	Syad.g_00929	Prbd.g_00742
OG0000539	Syad.g_00930	Prbd.g_00741
OG0000540	Syad.g_00931	Prbd.g_00740
OG0000541	Syad.g_00932	Prbd.g_00739
OG0000542	Syad.g_00935	Prbd.g_00737
OG0000543	Syad.g_00937	Prbd.g_00735
OG0000544	Syad.g_00938	Prbd.g_00734
OG0000545	Syad.g_00940	Prbd.g_00732
OG0000546	Syad.g_00942	Prbd.g_00729
OG0000547	Syad.g_00944	Prbd.g_00727
OG0000548	Syad.g_00945	Prbd.g_00726
OG0000549	Syad.g_00952	Prbd.g_00724
OG0000550	Syad.g_00956	Prbd.g_00719
OG0000551	Syad.g_00960	Prbd.g_00715
OG0000552	Syad.g_00961	Prbd.g_00714
OG0000553	Syad.g_00965	Prbd.g_00713
OG0000554	Syad.g_00978	Prbd.g_00708
OG0000555	Syad.g_00999	Prbd.g_00700
OG0000556	Syad.g_01003	Prbd.g_00698
OG0000557	Syad.g_01011	Prbd.g_00697
OG0000558	Syad.g_01013	Prbd.g_00695
OG0000559	Syad.g_01016	Prbd.g_00691
OG0000560	Syad.g_01019	Prbd.g_00688
